[00:00.000 --> 00:11.640]  Waging war on corruption.
[23:23.880 --> 23:26.120]  When the government fears the people, that's called liberty.
[23:26.120 --> 23:28.720]  When the people fear the government, it's called tyranny.
[23:28.720 --> 23:31.480]  And by the way, pull this up from Reuters for folks.
[23:31.480 --> 23:32.640]  I mean, it was all over the place,
[23:32.640 --> 23:34.560]  but they'll like seeing it in Reuters.
[23:35.880 --> 23:38.200]  Intelligence agencies given access
[23:38.200 --> 23:40.880]  to all Americans' financial information.
[23:41.840 --> 23:44.480]  Remember Richard Nixon was gonna go to jail
[23:44.480 --> 23:47.320]  till he resigned for having IRS files?
[23:47.320 --> 23:48.280]  He wasn't supposed to have that.
[23:48.280 --> 23:49.320]  Well, he's the president.
[23:49.320 --> 23:50.240]  He's a dictator.
[23:50.240 --> 23:53.040]  He's our daddy, like Chris Rock said, of Obama.
[23:53.040 --> 23:54.560]  No, he wasn't.
[23:54.560 --> 23:56.240]  The president can't molest children.
[23:56.240 --> 23:58.680]  The president can't rob banks.
[23:58.680 --> 23:59.680]  At least they could in the past,
[23:59.680 --> 24:00.960]  but now they're the president.
[24:00.960 --> 24:02.080]  Yeah, there it is, exclusive.
[24:02.080 --> 24:05.960]  US plans to let spy agencies scour American finances.
[24:05.960 --> 24:07.640]  Now, it came out because of leaks
[24:07.640 --> 24:09.240]  of Obama's cybersecurity order
[24:09.240 --> 24:10.840]  that if you actually typed it in,
[24:10.840 --> 24:15.200]  MSNBC or CNBC got it right.
[24:15.200 --> 24:19.560]  Go back with that search to just Google or startpage.com
[24:19.560 --> 24:22.480]  and type in the same headline,
[24:22.480 --> 24:24.840]  but click on the first article from four days ago
[24:24.840 --> 24:26.360]  and send it to that new one out of Reuters.
[24:26.360 --> 24:30.400]  It's actually spy agencies have been scouring your data.
[24:30.400 --> 24:32.560]  See, oh yeah, for years.
[24:32.560 --> 24:34.200]  It's a felony every time they do it.
[24:34.200 --> 24:35.040]  Now they're spinning it.
[24:35.040 --> 24:39.520]  Oh, they're about to get access to stop Al-Qaeda, of course,
[24:39.520 --> 24:41.520]  which the government's put in charge in Libya,
[24:41.520 --> 24:43.040]  Syria, and Afghanistan,
[24:43.040 --> 24:45.880]  and now it's coming out that the government runs Al-Qaeda.
[24:45.880 --> 24:49.360]  I heard three shows, I think it was Wednesday of this week,
[24:49.360 --> 24:53.480]  local radio, just surfing the talk radio,
[24:53.480 --> 24:57.080]  one out of San Antonio, two out of Austin,
[24:57.080 --> 25:00.080]  talking about the government running Taliban and Al-Qaeda,
[25:00.080 --> 25:02.880]  talking about how they use it to take our liberties
[25:02.880 --> 25:05.520]  and how they wind up radical terrorists.
[25:05.520 --> 25:07.920]  It isn't that the government does all the attacks.
[25:07.920 --> 25:09.120]  Let me explain this.
[25:09.120 --> 25:11.960]  Criminal elements in government and mega corporations
[25:11.960 --> 25:13.840]  finance and fund them.
[25:13.840 --> 25:18.840]  So, and the low level jihadi doesn't even know that,
[25:21.040 --> 25:22.920]  but it keeps coming out at the highest level
[25:22.920 --> 25:25.320]  the Al-Qaeda commanders work for,
[25:25.320 --> 25:30.320]  CIA, private corporations, MI6, MI5, Shin Bet, Mossad.
[25:34.040 --> 25:37.400]  The French intelligence has been caught, of course you do.
[25:37.400 --> 25:39.000]  Every time a French president gets caught
[25:39.000 --> 25:40.280]  with some hooker or something,
[25:40.280 --> 25:42.440]  there's a terror attack or a threat of one.
[25:42.440 --> 25:45.080]  I mean, Clinton even got caught
[25:45.080 --> 25:47.360]  missiling aspirin factories in Africa
[25:47.360 --> 25:50.160]  when it got proven he was lying about Monica Lewinsky.
[25:50.160 --> 25:53.200]  And then news came out of him raping women,
[25:53.200 --> 25:56.800]  and then he paid them off, and boom, missile attacks.
[25:56.800 --> 25:59.840]  Missiles, this is what they do.
[26:01.040 --> 26:03.480]  Governor Ridge two years ago, I guess he has a conscience,
[26:03.480 --> 26:04.760]  former head of Homeland Security,
[26:04.760 --> 26:06.600]  first head of Homeland Security, wrote a book and said,
[26:06.600 --> 26:09.520]  I didn't like being ordered to issue fake terror alerts
[26:09.520 --> 26:10.840]  every time the Bush administration
[26:10.840 --> 26:12.520]  had some embarrassing news.
[26:12.520 --> 26:15.480]  Look, whether terrorism's all real or not,
[26:15.480 --> 26:17.160]  most of it's fake, we know that,
[26:17.160 --> 26:18.120]  don't give into it.
[26:18.120 --> 26:20.400]  Say, fine, I don't want security on planes.
[26:20.400 --> 26:22.920]  Let something happen one out of a million.
[26:22.920 --> 26:26.200]  I'd rather have that than live in a giant prison
[26:26.200 --> 26:29.720]  where the government that's so big it can protect everybody,
[26:29.720 --> 26:31.000]  well, it's gonna go ahead and enslave you.
[26:31.000 --> 26:33.400]  Kind of like, hey, isn't this chip in my arm great?
[26:33.400 --> 26:35.880]  I can buy and sell with it, can't lose it.
[26:35.880 --> 26:37.920]  And they know everywhere you go, everything you do,
[26:37.920 --> 26:39.800]  and you're like, well, I don't have nothing to hide.
[26:39.800 --> 26:41.560]  Well, it's not that you are bad,
[26:41.560 --> 26:43.760]  so you're showing how good you are.
[26:43.760 --> 26:45.440]  It's kind of like, I'm not gonna lock my doors
[26:45.440 --> 26:47.480]  because I'm not a bad person.
[26:47.480 --> 26:50.560]  You don't lock your doors because you're a bad person.
[26:50.560 --> 26:52.880]  You lock your doors, I know this is elementary,
[26:52.880 --> 26:54.200]  but not for some people.
[26:54.200 --> 26:57.280]  You don't lock your doors to protect yourself from yourself.
[26:57.280 --> 27:00.240]  You lock your doors to protect yourself from other people.
[27:00.240 --> 27:01.840]  You don't protect your data
[27:01.840 --> 27:03.600]  because you have something to hide.
[27:04.520 --> 27:07.440]  You know, I get in bed with my wife sometimes, you know,
[27:07.440 --> 27:09.400]  to have male-female relations,
[27:09.400 --> 27:11.280]  and you know, we lower the blinds.
[27:11.280 --> 27:14.200]  You know, put a movie on for the kids downstairs.
[27:14.200 --> 27:16.440]  I mean, it's like, what do I have to hide?
[27:16.440 --> 27:17.760]  Well, I just like to be private.
[27:17.760 --> 27:20.680]  You know, my bathroom, I got a bathroom door.
[27:20.680 --> 27:22.760]  I close the door when I go to the bathroom.
[27:22.760 --> 27:24.720]  In fact, here at the office, they automatically close.
[27:24.720 --> 27:26.040]  Maybe the windows should be open
[27:26.040 --> 27:27.960]  to prove I'm not doing something bad in there.
[27:27.960 --> 27:29.360]  You know, I mean, they sat all over the country.
[27:29.360 --> 27:31.880]  We need to inspect your backyard gardens.
[27:31.880 --> 27:33.960]  You might be groving something illegal.
[27:33.960 --> 27:35.080]  Oh, that makes a lot of sense.
[27:35.080 --> 27:37.480]  I mean, they're treating us like total criminals,
[27:37.480 --> 27:39.520]  and now they're treating us like criminals.
[27:39.520 --> 27:41.400]  They're treating us like total criminals,
[27:41.400 --> 27:44.920]  and now they're taking everybody's bank accounts in Cyprus
[27:44.920 --> 27:46.760]  and taking 10% off the top,
[27:46.760 --> 27:49.400]  and they've put federal regulations in here
[27:49.400 --> 27:51.480]  six years ago to take your pension funds,
[27:51.480 --> 27:52.920]  public and private, and quote,
[27:52.920 --> 27:54.760]  guard them for government purposes.
[27:54.760 --> 27:56.880]  They've had Senate hearings in the last few years,
[27:56.880 --> 27:58.520]  you know, that they've gotten wide coverage,
[27:58.520 --> 28:02.040]  where they're talking about taking 10% off your account
[28:02.040 --> 28:05.120]  when the government takes it over to manage it.
[28:05.120 --> 28:06.840]  Isn't that nice?
[28:06.840 --> 28:08.280]  This is after-tax money.
[28:08.280 --> 28:12.160]  Tax is on over and over and over again.
[28:12.160 --> 28:13.560]  Folks, we're being robbed.
[28:13.560 --> 28:15.920]  They knew Obamacare would bankrupt healthcare.
[28:15.920 --> 28:18.200]  They knew it would double premiums the first year.
[28:18.200 --> 28:20.560]  They knew that this all came out.
[28:20.560 --> 28:22.640]  They want to bankrupt it,
[28:22.640 --> 28:25.280]  and I've been saying this for 17 years
[28:25.280 --> 28:27.320]  because I saw the globalist do this
[28:27.320 --> 28:28.320]  in third-world countries,
[28:28.320 --> 28:30.440]  and then nine years ago in 2002,
[28:31.360 --> 28:33.280]  the IMF World Bank plans got leaked
[28:33.280 --> 28:35.680]  when Joseph Stichlitz left the World Bank.
[28:35.680 --> 28:36.760]  He says he didn't do it.
[28:36.760 --> 28:37.640]  Yeah, right.
[28:37.640 --> 28:39.920]  The Nobel Prize winner had him on like five times,
[28:39.920 --> 28:43.720]  and it came out that they're planning
[28:43.720 --> 28:46.000]  an implosion here by design,
[28:46.000 --> 28:47.720]  in Europe and here the exact plan.
[28:47.720 --> 28:49.480]  It's in my book, Descent into Tyranny,
[28:49.480 --> 28:51.800]  now an e-book at prisonplanet.tv.
[28:51.800 --> 28:53.160]  We're going to come back with the attack now
[28:53.160 --> 28:54.280]  on the First Amendment.
[28:54.280 --> 28:55.440]  They're not going to just take the guns.
[28:55.440 --> 28:56.320]  They're going to take everything,
[28:56.320 --> 28:57.720]  your money, everything.
[29:00.480 --> 29:01.400]  If you're listening,
[29:01.400 --> 29:04.280]  you know your basic freedoms are being threatened every day.
[29:04.280 --> 29:05.160]  If you're listening,
[29:05.160 --> 29:07.560]  you know the economy is not getting better.
[29:07.560 --> 29:10.240]  You know gas and food prices are skyrocketing.
[29:10.240 --> 29:12.520]  Now is the time to get prepared.
[29:12.520 --> 29:14.280]  For years, we've told you about our friends
[29:14.280 --> 29:15.480]  at eFoods Direct.
[29:15.480 --> 29:16.680]  They have the best tasting,
[29:16.680 --> 29:18.720]  long-term, storable food on the planet.
[29:18.720 --> 29:21.760]  This food will taste just as great 25 years from now
[29:21.760 --> 29:22.840]  as it does tonight.
[29:22.840 --> 29:25.680]  A long-term food supply allows you to freeze the cost
[29:25.680 --> 29:28.680]  and the availability of the one thing you need most.
[29:28.680 --> 29:32.320]  Be prepared and get your supply from eFoods Direct.
[29:32.320 --> 29:34.200]  Right now is the best time to stock up
[29:34.200 --> 29:35.480]  and save hundreds of dollars
[29:35.480 --> 29:37.840]  with free shipping on all food supplies.
[29:37.840 --> 29:40.440]  Give yourself peace of mind and be prepared.
[29:40.440 --> 29:44.400]  Act now and call 800-409-5633
[29:44.400 --> 29:47.520]  or visit eFoodsDirect.com slash Alex.
[29:47.520 --> 29:50.160]  Get free shipping on all orders for a limited time.
[29:50.160 --> 29:53.200]  Call 800-409-5633
[29:53.200 --> 29:56.480]  or go to eFoodsDirect.com slash Alex.
[29:56.480 --> 30:00.160]  You can bet your life on eFoods Direct.
[30:00.160 --> 30:03.600]  You prepare by purchasing gold, food, and firearms.
[30:03.600 --> 30:05.840]  But if you don't have a home security system,
[30:05.840 --> 30:07.360]  then you're missing a critical weapon
[30:07.360 --> 30:09.640]  in your arsenal for home protection.
[30:09.640 --> 30:11.400]  When you're sleeping or away from home,
[30:11.400 --> 30:13.480]  who's watching out for intruders?
[30:13.480 --> 30:15.080]  Check out SimpliSafe.
[30:15.080 --> 30:17.480]  It's a new do-it-yourself home security system
[30:17.480 --> 30:19.520]  that is completely wireless.
[30:19.520 --> 30:22.240]  Go to getsimplisafe.com.
[30:22.240 --> 30:24.960]  SimpliSafe is independent and off the grid.
[30:24.960 --> 30:26.360]  It runs on battery power,
[30:26.360 --> 30:29.320]  so even if the grid goes down, you're protected.
[30:29.320 --> 30:30.960]  It's completely customizable,
[30:30.960 --> 30:33.080]  so you can use it in your home, business,
[30:33.080 --> 30:36.000]  boat, trailer, storage unit, or shed.
[30:36.000 --> 30:38.320]  Getsimplisafe.com.
[30:38.320 --> 30:40.640]  SimpliSafe is also ridiculously easy
[30:40.640 --> 30:43.040]  to install yourself in under 20 minutes,
[30:43.040 --> 30:45.680]  so there's no need to let a stranger into your home.
[30:45.680 --> 30:47.360]  If you move or need to relocate,
[30:47.360 --> 30:49.800]  you can take the system with you wherever you go.
[30:49.800 --> 30:51.120]  You aren't always at home,
[30:51.120 --> 30:52.920]  but SimpliSafe will stand guard,
[30:52.920 --> 30:56.760]  protecting your property 24 hours a day, seven days a week.
[30:56.760 --> 30:59.640]  Again, that's getsimplisafe.com.
[30:59.640 --> 31:03.800]  Introducing Pro1, all of your filtration in one system,
[31:03.800 --> 31:05.200]  portable, on the go.
[31:05.200 --> 31:07.600]  No more do you have two or three filters
[31:07.600 --> 31:09.720]  to just reduce sodium fluoride.
[31:09.720 --> 31:12.240]  You have a system that cuts out the sodium fluoride
[31:12.240 --> 31:15.800]  and up to 95% of hydrofluorosolic acid.
[31:15.800 --> 31:17.640]  Advanced manufacturing technology
[31:17.640 --> 31:20.280]  combines silver-impregnated white ceramic
[31:20.280 --> 31:22.840]  with new Aquamedics advanced media
[31:22.840 --> 31:25.160]  for removal of fluoride and other heavy metals,
[31:25.160 --> 31:26.800]  all in one filter element.
[31:26.800 --> 31:29.720]  It is the only one that does it, and out of the gates,
[31:29.720 --> 31:33.360]  we have it discounted at 10% off with promo code WATER.
[31:33.360 --> 31:36.360]  This is the only system that in one unit
[31:36.360 --> 31:40.960]  helps reduce or remove pesticides, herbicides, chloramines,
[31:40.960 --> 31:44.440]  ammonia and chlorine, hydrofluorosolic acid,
[31:44.440 --> 31:46.120]  the most common form of fluoride
[31:46.120 --> 31:48.240]  not covered by other fluoride filter brands,
[31:48.240 --> 31:50.640]  and sodium hexafluorosilicate.
[31:50.640 --> 31:53.680]  Get your Pro Pure with the new Pro1 filters today
[31:53.680 --> 31:58.680]  at infowarstore.com or by calling 888-253-3139.
[32:01.520 --> 32:03.640]  If you want an American company
[32:03.640 --> 32:06.880]  with American products made by Americans,
[32:06.880 --> 32:09.640]  here is the Cal-Bend Soap Company.
[32:09.640 --> 32:11.360]  Alex and his staff have used
[32:11.360 --> 32:13.800]  these Pure Soap products for years.
[32:13.800 --> 32:15.760]  These all-natural soaps are made
[32:15.760 --> 32:18.720]  from the highest quality vegetable and coconut oils
[32:18.720 --> 32:21.080]  that are earth-friendly and safe.
[32:21.080 --> 32:24.120]  See them on the web at 5starsoap.com
[32:24.120 --> 32:28.960]  or call 800-340-7091 for a free catalog.
[32:28.960 --> 32:31.320]  Buy the one- to two-month sample package
[32:31.320 --> 32:33.600]  and enjoy soaps that are twice as good
[32:33.600 --> 32:36.200]  as what you're using now, or save big
[32:36.200 --> 32:38.480]  with a one- to two-year supply of soaps
[32:38.480 --> 32:40.280]  for all your cleaning needs.
[32:40.280 --> 32:42.280]  This is an amazing deal.
[32:42.280 --> 32:44.160]  You can save thousands of dollars
[32:44.160 --> 32:47.520]  and you will love the way real soap makes you feel.
[32:47.520 --> 32:50.240]  See them on the web at 5starsoap.com
[32:50.240 --> 32:55.240]  or call 800-340-7091 for a free catalog.
[33:00.960 --> 33:04.520]  Coast to Coast, direct from Austin.
[33:04.520 --> 33:08.200]  You're listening to the Alex Jones Broadcasting Network.
[33:10.480 --> 33:04.220]  ["The
[33:04.220 --> 33:09.220]  We now take you live to the Central Texas Command Center
[33:09.220 --> 33:12.220]  and the heart of the resistance.
[33:12.220 --> 33:15.220]  Rallying patriots worldwide.
[33:19.220 --> 33:23.220]  You're listening to the Alex Jones Show.
[33:23.220 --> 33:28.220]  We now take you live to the Central Texas Command Center
[33:28.220 --> 33:31.220]  and the heart of the resistance.
[33:31.220 --> 33:35.220]  You're listening to the Alex Jones Show.
[33:35.220 --> 33:38.220]  That's right, and here is a nine-minute report
[33:38.220 --> 33:40.220]  that Aaron Dykes filed dealing with the fact
[33:40.220 --> 33:46.220]  that the media freaks out whenever members of the press
[33:46.220 --> 33:50.220]  get detained for filming overseas and call it a police state.
[33:50.220 --> 33:53.220]  But here in America, I mean, this is the tip of the iceberg,
[33:53.220 --> 33:55.220]  how much my crew and other crews have been harassed
[33:55.220 --> 33:59.220]  filming on city streets, you name it, all over this country.
[33:59.220 --> 34:01.220]  And it shows the power structure.
[34:01.220 --> 34:04.220]  It wants to intimidate the press, and it's despicable,
[34:04.220 --> 34:05.220]  and it needs to stop.
[34:05.220 --> 34:06.220]  Here's that report.
[34:06.220 --> 34:08.220]  Aaron Dykes here for Infowars.com.
[34:08.220 --> 34:10.220]  Now, it's all over the media
[34:10.220 --> 34:14.220]  how a Sky News reporter in China was detained by police
[34:14.220 --> 34:16.220]  because they were filming at the Tiananmen Square,
[34:16.220 --> 34:20.220]  and they were talking about the 1989 Tiananmen Square protests.
[34:20.220 --> 34:21.220]  Not very well.
[34:21.220 --> 34:24.220]  We're trying to be detained by the Beijing police.
[34:24.220 --> 34:27.220]  That's when police approached them and put them on a bus.
[34:27.220 --> 34:31.220]  They stopped us because of one word, I think it was.
[34:31.220 --> 34:33.220]  We were talking about the 1989 protests.
[34:33.220 --> 34:35.220]  They didn't like that they stopped us,
[34:35.220 --> 34:38.220]  and so now we're reporting to the police station.
[34:38.220 --> 34:39.220]  And then later told them
[34:39.220 --> 34:41.220]  they weren't authorized to do their media work.
[34:41.220 --> 34:43.220]  By the media policies in China,
[34:43.220 --> 34:45.220]  and if you'd like to go on with your media work,
[34:45.220 --> 34:46.220]  you need to get the permissions.
[34:46.220 --> 34:48.220]  As an Infowars reporter for more than seven years,
[34:48.220 --> 34:51.220]  I've been all over the country filming B-roll,
[34:51.220 --> 34:53.220]  filming protests, doing interviews for Alex,
[34:53.220 --> 34:56.220]  and I've encountered this over and over again.
[34:56.220 --> 34:58.220]  Especially in cities like Washington, D.C.,
[34:58.220 --> 35:01.220]  where we're told that you can't film in public
[35:01.220 --> 35:03.220]  even though there's a clear First Amendment.
[35:03.220 --> 35:04.220]  How you doing, guys?
[35:04.220 --> 35:05.220]  How you doing?
[35:05.220 --> 35:07.220]  Can I take a look at your film permit real quick?
[35:07.220 --> 35:08.220]  Sorry?
[35:08.220 --> 35:09.220]  Your film permit?
[35:09.220 --> 35:11.220]  Yeah, it's called the First Amendment.
[35:14.220 --> 35:15.220]  Hey, how you doing?
[35:15.220 --> 35:16.220]  Hey, how are you?
[35:16.220 --> 35:17.220]  Can you take the camera off, please?
[35:17.220 --> 35:18.220]  Is that related?
[35:18.220 --> 35:19.220]  Okay.
[35:19.220 --> 35:20.220]  Is there a problem?
[35:20.220 --> 35:21.220]  Yes.
[35:21.220 --> 35:22.220]  Thanks.
[35:22.220 --> 35:23.220]  Do you have a driver's license on you?
[35:23.220 --> 35:25.220]  Well, sir, like I said,
[35:25.220 --> 35:27.220]  there's a sign right here that states,
[35:27.220 --> 35:29.220]  no electrical equipment, no video camera, no filming.
[35:31.220 --> 35:33.220]  Okay, they got three cop cars on us.
[35:36.220 --> 35:37.220]  They're not letting us leave.
[35:37.220 --> 35:38.220]  They're taking some shots, man.
[35:42.220 --> 35:43.220]  Well, is there a law or...
[35:43.220 --> 35:44.220]  I mean...
[35:44.220 --> 35:46.220]  You can't, you can't film in the building.
[35:46.220 --> 35:48.220]  You need to go through public affairs.
[35:48.220 --> 35:50.220]  No, I was just getting some material shots.
[35:50.220 --> 35:51.220]  No, you need to go through public affairs
[35:51.220 --> 35:53.220]  where you can videotape or take pictures.
[35:53.220 --> 35:55.220]  Of any federal building.
[35:58.220 --> 35:59.220]  They won't film me.
[35:59.220 --> 36:01.220]  They might be looking for me in a wreck, man.
[36:01.220 --> 36:02.220]  I killed one today.
[36:02.220 --> 36:03.220]  I didn't kill one today.
[36:03.220 --> 36:04.220]  I killed this one.
[36:04.220 --> 36:07.220]  Do you folks have a permit to film here?
[36:07.220 --> 36:08.220]  We do not.
[36:08.220 --> 36:10.220]  We don't, but we're just about done.
[36:10.220 --> 36:13.220]  In Kansas City, we were approached by security guards
[36:13.220 --> 36:16.220]  who said they had been contacted by the Federal Reserve Bank,
[36:16.220 --> 36:19.220]  which was more than 200 yards across the street
[36:19.220 --> 36:22.220]  while we were filming from inside a World War I memorial.
[36:22.220 --> 36:24.220]  And they tried to force us to identify ourself
[36:24.220 --> 36:28.220]  and then to leave under duress of being threatened with arrest.
[36:28.220 --> 36:30.220]  The Federal Bank is concerned about you guys
[36:30.220 --> 36:32.220]  taking video of their building.
[36:32.220 --> 36:34.220]  They just want to make sure to leave
[36:34.220 --> 36:36.220]  when you're back to them.
[36:36.220 --> 36:37.220]  I'm sorry?
[36:37.220 --> 36:40.220]  We were just seeing who you were and what you're doing.
[36:40.220 --> 36:41.220]  What's your name?
[36:41.220 --> 36:42.220]  My name's Aaron.
[36:42.220 --> 36:43.220]  Okay.
[36:43.220 --> 36:44.220]  Hey, Arwin.
[36:44.220 --> 36:45.220]  You're fine.
[36:45.220 --> 36:46.220]  We're just checking out this memorial.
[36:46.220 --> 36:48.220]  Not doing anything wrong, okay?
[36:48.220 --> 36:49.220]  What's your last name, sir?
[36:49.220 --> 36:51.220]  I'm not going to give you my last name.
[36:51.220 --> 36:54.220]  I'm not going to give you my last name.
[36:54.220 --> 36:55.220]  You guys can leave right now.
[36:55.220 --> 36:57.220]  Come on, guys. Let's go.
[36:57.220 --> 36:59.220]  Now, why do I have to leave?
[36:59.220 --> 37:01.220]  Because you're with him.
[37:01.220 --> 37:03.220]  Where's the property at?
[37:03.220 --> 37:04.220]  The whole park.
[37:04.220 --> 37:06.220]  Well, if he gave his name, then he doesn't have to leave.
[37:06.220 --> 37:09.220]  He did give his name, but he's kind of guilt by association.
[37:09.220 --> 37:10.220]  You guys can go ahead and go.
[37:10.220 --> 37:12.220]  What is guilt by association?
[37:12.220 --> 37:13.220]  Sir, we're not going to answer any more questions.
[37:13.220 --> 37:14.220]  You can go to jail or you can leave.
[37:14.220 --> 37:16.220]  Are you a police officer, sir?
[37:16.220 --> 37:17.220]  We do have arrest powers.
[37:17.220 --> 37:19.220]  Do you want to go to jail?
[37:19.220 --> 37:20.220]  Am I under arrest?
[37:20.220 --> 37:21.220]  No, you're not under arrest.
[37:21.220 --> 37:22.220]  Not yet.
[37:22.220 --> 37:23.220]  You need to leave.
[37:23.220 --> 37:24.220]  You're encroaching on our First Amendment right.
[37:24.220 --> 37:25.220]  No, we are not.
[37:25.220 --> 37:26.220]  Why not?
[37:26.220 --> 37:28.220]  Is this public property?
[37:28.220 --> 37:29.220]  We have a right.
[37:29.220 --> 37:30.220]  Go ahead and go.
[37:30.220 --> 37:31.220]  Now.
[37:31.220 --> 37:34.220]  Then at the Texas Capitol, I was approached by an aggressive officer who didn't like the
[37:34.220 --> 37:39.220]  fact that I was filming and tried to force me to identify myself and detain me until
[37:39.220 --> 37:41.220]  he talked with his superiors.
[37:46.220 --> 37:47.220]  Can you talk to me?
[37:47.220 --> 37:48.220]  Yeah.
[37:48.220 --> 37:50.220]  Who are you?
[37:50.220 --> 37:51.220]  You did.
[37:51.220 --> 37:52.220]  Huh?
[37:52.220 --> 37:53.220]  Let me see your ID.
[37:53.220 --> 37:54.220]  You don't have an ID?
[37:54.220 --> 37:55.220]  No.
[37:55.220 --> 37:56.220]  Let me see your driver's license.
[37:56.220 --> 37:57.220]  Peace officer, sir.
[37:57.220 --> 38:00.220]  I'm a state police and point the camera some other direction.
[38:00.220 --> 38:02.220]  Don't touch my camera.
[38:02.220 --> 38:03.220]  ID, sir.
[38:03.220 --> 38:05.220]  Show me your ID, please.
[38:05.220 --> 38:06.220]  Why?
[38:08.220 --> 38:09.220]  Suspicious person, how's that?
[38:09.220 --> 38:11.220]  Let me see your ID, please, sir.
[38:11.220 --> 38:12.220]  It happens at airports.
[38:12.220 --> 38:17.220]  Even though TSA's own policy admits that people have the right to film their encounters,
[38:17.220 --> 38:22.220]  we're told over and over again that we can't film TSA and that we don't have a right to
[38:22.220 --> 38:27.220]  report on what's happening inside airports in clear violation of the First Amendment
[38:27.220 --> 38:28.220]  and common law.
[38:28.220 --> 38:29.220]  I want to sell this.
[38:29.220 --> 38:30.220]  Okay.
[38:30.220 --> 38:31.220]  You can't do that, sir.
[38:31.220 --> 38:34.220]  It says on the website we can't.
[38:34.220 --> 38:36.220]  The website says we can't.
[38:36.220 --> 38:37.220]  Sir?
[38:37.220 --> 38:40.220]  Sir, the First Amendment says we don't need permission.
[38:40.220 --> 38:41.220]  Yes, you do.
[38:41.220 --> 38:42.220]  It's the First Amendment.
[38:42.220 --> 38:44.220]  Sir, do you write the Constitution?
[38:44.220 --> 38:49.220]  Alex Jones encountered this in 2004, as you've seen in his film Martial Law, where thousands
[38:49.220 --> 38:53.220]  and thousands of protesters are arrested for no reason and journalists are intimidated
[38:53.220 --> 38:58.220]  again and again by police and told they don't have permission to film on the city streets
[38:58.220 --> 38:59.220]  of New York.
[38:59.220 --> 39:03.220]  The police have been arresting reporters across the city, and a judge had ordered them to
[39:03.220 --> 39:06.220]  stop, but that just seemed to encourage them.
[39:06.220 --> 39:08.220]  Take him out.
[39:08.220 --> 39:12.220]  How about we go to whoever gains us here and get him involved?
[39:12.220 --> 39:15.220]  I just ask you to do me a favor and not tape over here.
[39:15.220 --> 39:16.220]  It's my fault, sir.
[39:16.220 --> 39:18.220]  Listen, first of all, I'm talking.
[39:18.220 --> 39:20.220]  I don't need you to interrupt me while I'm talking.
[39:20.220 --> 39:21.220]  All right?
[39:21.220 --> 39:22.220]  Okay.
[39:22.220 --> 39:25.220]  And I just got finished telling him that I don't want him taped over here.
[39:25.220 --> 39:30.220]  Meanwhile, trading videos created by Homeland Security and sent to law enforcement agencies
[39:30.220 --> 39:36.220]  throughout the nation advise officers to view photographers as potential terrorist threats
[39:36.220 --> 39:39.220]  and to run them through the terrorist screening database.
[39:39.220 --> 39:43.220]  See, way down there, there's a woman taking photos of the dam.
[39:43.220 --> 39:47.220]  Someone called 911 and reported a suspicious person.
[39:47.220 --> 39:50.220]  As you guessed, she's going to be a Category 3 hit.
[39:50.220 --> 39:55.220]  And since it's very important that we don't let her know that we know, both the dispatcher
[39:55.220 --> 39:59.220]  and the officer need to make sure she doesn't hear the radio traffic.
[39:59.220 --> 40:00.220]  Stand by.
[40:00.220 --> 40:02.220]  If I could ask you to wait right here, please.
[40:02.220 --> 40:03.220]  Sure.
[40:03.220 --> 40:07.220]  All over the country, there have been cases of reporters being arrested for simply filming
[40:07.220 --> 40:12.220]  federal buildings or police officers.
[40:12.220 --> 40:15.220]  Police arrest folks all over the country for filming them in public, no matter how many
[40:15.220 --> 40:18.220]  times state and federal courts say it's constitutional.
[40:18.220 --> 40:22.220]  And federal buildings, they'll say, don't videotape, even if it's the middle of downtown
[40:22.220 --> 40:24.220]  Austin, like we're terrorists.
[40:24.220 --> 40:30.220]  Our own Infowars magazine reporter was threatened with arrest for filming a judicial building
[40:30.220 --> 40:35.220]  in downtown Austin until Alex Jones protested the building and got them to admit that indeed
[40:35.220 --> 40:39.220]  the reporter had the right to take photographs of the building.
[40:39.220 --> 40:45.220]  But listen, all I'm saying is she, okay, so it's not illegal for her as a journalist to
[40:45.220 --> 40:46.220]  take photos of this building.
[40:46.220 --> 40:47.220]  Okay.
[40:47.220 --> 40:48.220]  Okay.
[40:48.220 --> 40:49.220]  Okay.
[40:49.220 --> 40:52.220]  Because because I had to sit there and explain to her that she's not going to go to jail.
[40:52.220 --> 40:57.220]  In states like Illinois, they've abused wiretapping laws set up in the 70s meant to protect people
[40:57.220 --> 41:03.220]  from covert recordings and tried to apply them to out in the open cameras and audio
[41:03.220 --> 41:05.220]  recorders trying to say that it's a crime.
[41:05.220 --> 41:11.220]  Authorities are being ordered to stop arresting and charging citizens who record audio of
[41:11.220 --> 41:12.220]  police in public.
[41:12.220 --> 41:17.220]  But the ruling is only a temporary order, which says the Illinois eavesdropping law
[41:17.220 --> 41:19.220]  likely violates the First Amendment.
[41:19.220 --> 41:25.220]  And they've even threatened people with life in prison for multiple counts of filming police.
[41:25.220 --> 41:31.220]  Allison had faced eavesdropping charges for recording audio of law enforcement in public.
[41:31.220 --> 41:36.220]  Crawford County State's Attorney Tom Wiseman charged Allison with five felony counts.
[41:36.220 --> 41:39.220]  Each carries up to 15 years in prison.
[41:39.220 --> 41:41.220]  Do you really think he deserves prison time?
