[00:00.000 --> 00:20.000]  InferWars, the most banned network in the world.
[40:20.000 --> 40:25.000]  But the first is the key one. That's the one that they're coming after. And that's why they're coming after GAB so hard.
[40:25.000 --> 40:35.000]  Because if you're allowed to talk about these things, if you're allowed to say, hey, wait a minute, this is not good, you know, it's going to it's going to put a damper on their efforts to take away the rest of our freedoms.
[40:35.000 --> 40:42.000]  Well, that's right. You can't let the slaves organize. I mean, Trump can't launch his own social network. He's so surrounded by traders.
[40:42.000 --> 40:54.000]  You've got millions and millions of people on his own page or two million followers for him, but he won't touch you. We now know because Jared Kushner, I guess, reached out to you guys and said, you must ban free speech and then we'll come on your site.
[40:54.000 --> 40:56.000]  It's very, very shameful. We'll be right back.
[40:56.000 --> 41:21.000]  The globalists are having their revolution, but free humanity has to have its revolution. We have to first recognize this anti-human takeovers, trying to enslave the entire biological processes of humans and turn us into these artificial, corporate, controlled slaves,
[41:21.000 --> 41:34.000]  worse than slaves, just property from cradle to grave of the system, rendered down to be servile minions of the system and a ritual of dominance and satanic control.
[41:34.000 --> 41:44.000]  We have to recognize the great reset post-industrial world, which realizes a nightmare dystopia and we have to promote liberty and freedom that is the opposite of their dystopia.
[41:44.000 --> 41:57.000]  It's that choice. It's that realization that's going to change the world and it's the only choice we've got, freedom or slavery, good or evil. It is a spiritual battle and info wars at the tip of the spear fighting it.
[42:14.000 --> 42:36.000]  33139 is the info wars store hotline.
[42:36.000 --> 42:44.000]  Info wars store dot com is simply the best. Info wars store dot com beats out all the rest.
[42:44.000 --> 42:50.000]  33139 is the info wars store hotline.
[42:50.000 --> 42:58.000]  33139 is the info wars store hotline.
[42:58.000 --> 43:05.000]  The scientific dictatorship that I've been warning you about for 27 years has now gone from beta testing to operational.
[43:05.000 --> 43:11.000]  The globalists are out on the open with their planetary depopulation takeover, their robot takeover.
[43:11.000 --> 43:19.000]  But the good news is we've been working and you've been working and others have been working across the planet for decades to get ready for this, to be able to find it off.
[43:19.000 --> 43:25.000]  Humanity is strong. We're incredible and if we're aware of the attack that's happening, we have a real chance of defeating it.
[43:25.000 --> 43:34.000]  If we ask God for guidance, we will defeat it. So prayer is essential, research is essential, getting prepared is essential and warning others is absolutely essential.
[43:34.000 --> 43:44.000]  And at the same time, supporting info wars by buying high quality products to keep us on air is essential because they're great products for you and your family and they're also funding our operation.
[43:44.000 --> 43:54.000]  Info wars store dot com. Info wars store dot com is incredible. A lot of our products that have been sold out because the supply chain breakdowns are back in like bodies, vaso beats and others.
[43:54.000 --> 43:58.000]  So get them today at info wars store dot com and I thank you for being part of the resistance.
[43:58.000 --> 44:10.000]  All of the experts agree that getting proper sleep is the cornerstone of good health. It has been proven that a poor sleep schedule is linked with numerous health problems including weight gain, memory issues, mood changes,
[44:10.000 --> 44:28.000]  poor concentration and even a weakened immune system. Introducing rocket rest, the new product from our Dr. Jones naturals line at info wars store dot com. The new rocket rest formula is loaded with the best natural ingredients to help not only improve your quality of sleep, but help you wake up feeling refreshed.
[44:28.000 --> 44:46.000]  Many competitors sleep formulas focus only on getting you to sleep but rocket rest was specifically formulated to help you feel rested and ready to take on the next day. It uses a unique quick release capsule system to ensure fast delivery of deep sleep support ingredients like melatonin and magnesium.
[44:46.000 --> 44:58.000]  Rocket rest helps you fall asleep fast, stay asleep and wake up feeling rested. So get the new rocket rest formula from Dr. Jones naturals right now at info wars store dot com.
[45:16.000 --> 45:42.000]  This is a big, big story. It's massive. And it's it's broken at gab. It's gotten out there. It hasn't gotten the huge national attention it needs to. I like President Trump. I know the globalist Katie.
[45:42.000 --> 46:00.000]  I know he's getting good Republicans elected to Congress by record numbers. But then those Congress people are kicked off Twitter and Facebook and YouTube. Even members of the Senate have hearings about the Wuhan lab and have witnesses and that gets blocked by Facebook by Twitter by YouTube.
[46:00.000 --> 46:14.000]  We have a meeting, a secret meeting coming up in just a week or so in California with all the heads of big tech that are going to be meeting there colluding. That's called a monopoly. But here's Andrew Torba. He leaves Silicon Valley. I know what five, six, seven years ago.
[46:14.000 --> 46:30.000]  It goes off starts gab. It's been successful for a long time. And they're trying to shut him down because it's just like the free internet was three or four years ago. But the reason this is so huge is he was on months ago saying we have 2.1 million people just on the Trump page.
[46:30.000 --> 46:50.000]  We update all your tweets there. We put all your press releases out for you. No strings attached. We will give it to you. Well, he got a response back and it's not good, ladies and gentlemen, it's not good. So exclusively from Andrew Torba, the founder of gab, please give us the sad news because we're not trying to be mean to
[46:50.000 --> 47:04.000]  Trump. But this just shows who's around him. Yeah, unfortunately, the president has a lot of people around him who do not support free speech. You know, one of the conditions that they had in order for him to join the platform was for us to quote unquote do
[47:04.000 --> 47:20.000]  something about criticism of Israel and criticism of Jewish people. Now, let me make something very clear threats of violence or, you know, calling for, you know, any sort of illegal activity towards certain groups or individuals. We have zero tolerance for that. We've always had zero tolerance for that.
[47:20.000 --> 47:36.000]  But if you want to criticize certain groups, if you want to criticize certain people, if you want to mock certain people, that is protected by the First Amendment. And therefore it's protected by gab's terms of service. So this was a non starter for us. We were not going to budge. We were not going to sell out.
[47:36.000 --> 47:51.000]  We were not going to change our terms of service. And now what we see is, you know, the joint's rumble, the video platform. And on the day that he joined, they changed their terms of service to ban hate speech and to specifically ban anti semitism.
[47:51.000 --> 48:03.000]  So it appears that what they have done is they have caved to those demands of censorship from the people around the president, whereas we did not. So, you know, this is the reality of the situation. A lot of people don't want to hear this.
[48:03.000 --> 48:16.000]  They don't want to believe this, but the people around the president do not support free speech. And for whatever reason, he's allowing it. So, you know, this is something that needs to be confronted and it needs to be talked about. And that is the reason why he is not on gab.
[48:16.000 --> 48:27.000]  You know, and it's really unfortunate because we have millions of people that are following his page. We're posting all of his statements there automatically. It gets some of the highest engagement of anyone on the site.
[48:27.000 --> 48:39.000]  And we're going to continue to do that, by the way. So if you want to see all of his statements uncensored and be able to comment and see what other people are saying about his statements uncensored, you can follow his account on gab at real Donald Trump.
[48:39.000 --> 48:58.000]  By the way, not to interrupt the limit of time. We'll do five more minutes to the next hour, but you're giving him a real service that his own people won't do. He launched his own desk of the former president, and it was basically like a one person message board, 1992, 1993 technology that totally failed because it wasn't interactive.
[48:58.000 --> 49:09.000]  So you're doing more than all his people and all his billions can do. You've got it. Everything he does, you put there for him and they won't even treat you like you're a human being.
[49:09.000 --> 49:24.000]  Yeah, yeah, they pretend that we don't exist. And it's again, it's really unfortunate and we're going to continue doing that because I think the people deserve to see what he's saying and they deserve to have a voice and see what other people think about what he's saying, you know, on our platform.
[49:24.000 --> 49:37.000]  And, you know, we have tens of thousands of people that are engaging with every one of his posts. You know, some of his engagement is actually, you know, mirroring some of the engagement that he used to get on Twitter in terms of how many people are commenting and reposting and sharing it.
[49:37.000 --> 49:46.000]  And, you know, one of the things that I think people are not really thinking about right now is, you know, you cannot operate within the big tech ecosystem.
[49:46.000 --> 50:00.000]  We see Jason Miller launch Getter, which is, you know, you know, their attempt at trying to take on Twitter. And it's on the app stores and they're using Amazon AWS for hosting and they have Google services baked in.
[50:00.000 --> 50:08.000]  And he goes on Steve Bannon's war room and he says, we're using artificial intelligence to ban hate speech. Well, this is no different than what Facebook and Twitter are doing.
[50:08.000 --> 50:13.000]  So how are you offering an alternative to Facebook and Twitter? We're banning conservatives.
[50:13.000 --> 50:22.000]  That's right. They banned the president and stole the election from him saying it's hate speech. They define birdwatching as white supremacy. Now I'm not joking, folks.
[50:22.000 --> 50:27.000]  So there's no limit to this. We've got to stop surrendering to being called racist.
[50:27.000 --> 50:38.000]  Right. You cannot use the enemies lexicon, the enemies terminology. You cannot operate within the enemies framework. We have to operate outside and we have to totally reject it.
[50:38.000 --> 50:45.000]  So me, for example, I reject the term hate speech completely. Are there hateful people in the world? Absolutely.
[50:45.000 --> 50:53.000]  But, you know, this, this concept of hate speech is totally absurd and is totally alien to American culture and to the American president.
[50:53.000 --> 50:59.000]  First amendment has here. We don't ban black lives matter when they say white people are inherently evil. They have a right to be edits.
[50:59.000 --> 51:03.000]  We have a right to counter them. And the answer to bad speech is, is more good speech.
[51:03.000 --> 51:13.000]  So let's talk about you. You're the only successful outfit that hasn't sold out in fours is the only big multimedia independent group that is being super hardcore.
[51:13.000 --> 51:18.000]  I wish there were more newsmax, you know, even backed off challenge the election. I'm not competition with them. They do a lot of great work.
[51:18.000 --> 51:21.000]  I'm glad they're there. You got Fox Nation. That's doing a great job.
[51:21.000 --> 51:30.000]  But we're the only truly independent multimedia radio TV print operation. You're the only independent social media of any giant size.
[51:30.000 --> 51:36.000]  And that's why your enemy number one and so many fools are like, well, I'm not gab. I don't care if they can take you down.
[51:36.000 --> 51:42.000]  They can take everybody down. We have mass murder shot on video on YouTube and on Twitter and on Facebook.
[51:42.000 --> 51:49.000]  That's fine and dandy. But when one guy five minutes before he shoots up, you know, a synagogue, which was terrible, says I'm going in and doing it.
[51:49.000 --> 51:56.000]  You get blamed. That's like saying if somebody called over an AT&T cell phone called in a bomb threat that AT&T is to blame.
[51:56.000 --> 52:05.000]  It's such a dangerous precedent. And I read these letters by congressional groups, including Republicans and the governor of Texas saying ban gab.
[52:05.000 --> 52:12.000]  That's just criminal. That's I want to support governor Abbott, but I can't. That's monstrous behavior from him.
[52:12.000 --> 52:18.000]  Yeah, the Republican establishment has been coming after us big time because they know that they cannot control the narrative.
[52:18.000 --> 52:22.000]  They cannot control the flow of information on gab.
[52:22.000 --> 52:30.000]  And one of the reasons that we're still standing and we're so successful and I would argue the same for you as well is that we're supported by our community.
[52:30.000 --> 52:33.000]  You're supported by the viewers. We're supported by our users.
[52:33.000 --> 52:48.000]  There have been many times over the past five years that people have tried to bias out or tried to tempt me with money or with status or with celebrity or whatever you want to call it.
[52:48.000 --> 52:59.000]  The devil has tempted me in many, many ways and each time God has given me the grace and the humility to reject that temptation and to focus on our mission because it's so important.
[52:59.000 --> 53:09.000]  It's not about me. It's not about shutting me up. It's about shutting the millions of people on gab up and getting them complacent with the narratives that the establishment wants them to buy into.
[53:09.000 --> 53:21.000]  And they can't do that on gab. They come over to gab. They're welcome to, but I think they're going to find out very quickly what the people think of them and that their narratives don't hold as much weight as they do on the big tech platforms.
[53:21.000 --> 53:29.000]  That's right. I'm going to explain it. The globalist big tech media has made deals and bought off most of the Republican leadership like Governor Abbott, Google's taken over Texas.
[53:29.000 --> 53:41.000]  And they want to be able to gaslight us when they do things like open borders and world government and race war. They don't want people to be able to organize, post an article, a video, show what they saw so other people see that and don't go alone.
[53:41.000 --> 53:54.000]  They want us absolutely alone as prisoners on this plantation as they roll out the contact tracers and the next variants of the next lockdown, they don't want us to have a place to organize and say, hey, here's hydroxychloroquine.
[53:54.000 --> 54:04.000]  Here's rendezvous here. You know, here is all these other treatments that are 99% effective that they want to be able to carry out their crimes against us. So this is bigger than Democrat Republican.
[54:04.000 --> 54:13.000]  This is about the basic right of speech. And it's about this global corporate takeover happening in America right now and stopping it so everybody should join gab.
[54:13.000 --> 54:30.000]  Everybody should sign up with Andrew Torbett to five more minutes was we got to go to break. But I tell you folks, this is so important. I'm going to hit after he's gone in the segment, the second segment next hour before we're joined by Nick Flantes about the contact tracers, what they're going to do when they come to your doors.
[54:30.000 --> 54:36.000]  And now they're going to rapidly escalate that to arresting you and taking you out of your home and setting the precedent to do that.
[54:36.000 --> 54:43.000]  And once they have that precedent, that's their cover for total martial law, the UN itself and Klaus Schwab the Davos group admitted.
[54:43.000 --> 54:51.000]  So we'll do five more minutes with Andrew Torbett and talk about some of the exciting new developments that are about to be announced hopefully here today at gab and more separately.
[54:51.000 --> 55:00.000]  I'm not supported by big corporate sponsors. I'm supported by you. We've extended double patriot points and free shipping through Saturday at infowarstore.com.
[55:00.000 --> 55:14.000]  And they said one more day yesterday. It's one more day today for DNA Force Plus or flagship product at 40% off and also some of the other products at 40% off that are going to end today.
[55:14.000 --> 55:22.000]  In fact, here it is DNA Force Plus final day bodies ultimate formula 40% off final day. It will be the last day.
[55:22.000 --> 55:31.000]  That's about to sell out months and months or more comes in survival shield X2 deep breath crystal iodine the good allergen 40% off with free ship double patriot points.
[55:31.000 --> 55:35.000]  We're going to keep that going for a few weeks till it sells out. That's not going to be our sale until it sells out.
[55:35.000 --> 55:45.000]  But it's going to sell out quickly alpha power 40% off turbo force selling out only a few days left 40% off all an infowarstore.com and that keeps us on air and we salute you and thank you.
[55:45.000 --> 55:47.000]  We'll be right back. Stay with us.
[55:47.000 --> 55:58.000]  Well, all the big box stores are making record profits. So is Amazon because they designed the global shutdown to destroy small and medium sized businesses.
[55:58.000 --> 56:12.000]  And it is wreaking havoc in the supply chain. Thousands and thousands of small companies have completely shut down and others are struggling to stay open because they can't get raw materials.
[56:12.000 --> 56:19.000]  Whether it's food, whether it's medicine, whether it's supplements, whether it's for textiles, whatever the product is, you see it in the news.
[56:19.000 --> 56:25.000]  It is record level supply chain breakdowns because the global is shut down the world economy for more than a year.
[56:25.000 --> 56:32.000]  And now they're trying to bring the shutdown back again. In fact, in areas like India and areas of Africa, the shutdown is ongoing.
[56:32.000 --> 56:35.000]  It's killing those people in massive numbers.
[56:35.000 --> 56:46.000]  So the info wars doesn't have a lot of our best selling products anymore for six, seven, eight months because of this. So to make up a shortfall, please buy T shirts, books, films, things like that at infowarstore.com.
[56:46.000 --> 57:06.000]  And please try to keep us on the air.
[57:16.000 --> 57:22.000]  T shirts get some supplements because it's that money that helps us stay on air in the face of this thing.
[57:22.000 --> 57:28.000]  I need your help more than ever now. I want to keep fighting the globalists, but I can't do it if you don't support us.
[57:28.000 --> 57:39.000]  So pray for us, word of mouth, tell folks about the broadcast, however you can, and buy great products that will enrich you and your family's lives every day at infowarstore.com.
[57:39.000 --> 57:49.000]  Whether it's high quality coffee or supplements or books or films, all of it nurtures the soul. All of it empowers humanity. All of it is pro human and pro God. Thank you so much.
[58:09.000 --> 58:22.000]  All right, final segment with Andrew Torba. Hopefully you can join me for a special Saturday broadcast with me with Michael Malus.
[58:22.000 --> 58:30.000]  But I wanted to raise this globalist technocrats, the old Bilderberg style secret meeting in Idaho this week.
[58:30.000 --> 58:43.000]  This week's already here. Time moves so fast that you get older. And they're meeting in Idaho, NPR called it the summer camp for billionaires in the intensely secretive organization.
[58:43.000 --> 58:52.000]  And there they are all setting up their whole operation. Globalist technocrats, the old Bilderberg secret meeting in Idaho this week.
[58:52.000 --> 59:00.000]  You know, I'm tempted to jump on a plane and get there right now. Your comment on that Andrew Torba. Talk about a monopoly. There it is.
[59:00.000 --> 59:04.000]  And then other key things. What's coming to gap next? And how do we support gap?
[59:04.000 --> 59:15.000]  Yeah, so I mean, this meeting is, you know, the cool kids club, right? This is where they decide, you know, how they're going to handle stifling people who are talking about things that they don't want them talking about.
[59:15.000 --> 59:24.000]  You know, we've seen these style of meetings before the election and they're probably gearing up for 2022 censorship if I had to guess and narrative crafting at these type of things.
[59:24.000 --> 59:33.000]  But in terms of gab, we have a lot on the table. So for the past five years, we've been working on defending and protecting free speech online.
[59:33.000 --> 59:41.000]  Now we're working on building free markets. So we have gab pay, which is our PayPal alternative that is currently in beta testing.
[59:41.000 --> 59:53.000]  We're kind of dogfooding it, using it as our own payment processor for ourselves right now. But, you know, over the course of the next several months, we're going to be rolling this out to all of our users to be able to create an account, hook up their bank account,
[59:53.000 --> 1:00:00.000]  and then send money to one another. It's going to be a game changer for censorship online, especially financial censorship.
[1:00:00.000 --> 1:00:11.000]  Just yesterday, Alex, we got banned from another bank ourselves, which I think is the fourth or fifth this year alone under what is likely operation choke point from the Biden administration.
[1:00:11.000 --> 1:00:20.000]  Of course, we had no problems with banks for the entire Trump administration and all of a sudden Biden gets in the office and we've been banned from four or five banks over the past several months.
[1:00:20.000 --> 1:00:34.000]  You know, there's a lot else going on. We have gab ads, which we're working on. There are so many small business owners. There are so many, you know, alternative media outlets and people who just create things and build things and have services
[1:00:34.000 --> 1:00:46.000]  and want to get in front of the gab community. So that's the next big thing that we're coming out with is the ability to have small business owners, you know, media outlets, whoever wants to really be able to advertise on gab
[1:00:46.000 --> 1:00:59.000]  and reach a very big audience of about 20 million people every month. So those are the two big things that we're working on right now is really creating a free market on top of the free speech platform so that we can build our own economy
[1:00:59.000 --> 1:01:09.000]  separate from, you know, the woke global homo economy that is shutting people down and is pushing all of this propaganda in our faces 24 seven.
[1:01:09.000 --> 1:01:20.000]  Well, that's right. I'm reading about this big big tech Bilderberg meeting Ivanka Trump and Jared Kushner close advisors within President Trump attended the meeting in 2017 and they're getting all these big tech deals themselves.
[1:01:20.000 --> 1:01:31.000]  While they behind the scenes try to pressure the former president to make you censor free speech on gab. I mean, it's it's really simple with these guys have done it's very, very dangerous.
[1:01:31.000 --> 1:01:40.000]  It's un-American and now they've suppressed known treatments for COVID-19, making them all accomplices to genocide and violations of the Nuremberg code.
[1:01:40.000 --> 1:01:47.000]  Well, you know what I say is if you're on gab, you're essentially living in the future and it's the same thing like if you watch info as you're living in the future, right?
[1:01:47.000 --> 1:01:55.000]  All the things that are coming out now, you know, we knew and we were talking about and people on gab were talking about you were talking about over a year and a half ago, right?
[1:01:55.000 --> 1:02:03.000]  The Wuhan lab stuff and the hydroxychloroquine stuff, all of these things people were talking about and we're surfacing on gab on info wars.
[1:02:03.000 --> 1:02:08.000]  So, you know, if you're watching info wars, if you're on gab, congratulations, you're living in the future.
[1:02:08.000 --> 1:02:12.000]  And that's that's the power of the free flow of information and that's the power of free speech.
[1:02:12.000 --> 1:02:24.000]  And that's why what we're doing is so important so people can be informed and not told, you know, by these oligarchs and by these, you know, four or five media companies, four or five big tech companies, what truth is.
[1:02:24.000 --> 1:02:27.000]  Well, I remember back in the day when they said Bilderberg didn't exist, we had to prove it exists.
[1:02:27.000 --> 1:02:29.000]  Now they admit these globalists are meeting in secret.
[1:02:29.000 --> 1:02:36.000]  Maybe I should go on a plane today and interview you via Skype live from this event in Idaho.
[1:02:36.000 --> 1:02:38.000]  Maybe I should, I'm serious.
[1:02:38.000 --> 1:02:39.000]  This kind of snuck up on us.
[1:02:39.000 --> 1:02:42.000]  I've been looking for a place to draw attention to Bill Gates.
[1:02:42.000 --> 1:02:44.000]  All right, Andrew Torba at gab.
[1:02:44.000 --> 1:02:45.000]  You're amazing.
[1:02:45.000 --> 1:02:48.000]  Everybody should go there and get involved today and also follow our pages.
[1:02:48.000 --> 1:02:49.000]  Thank you so much, sir.
[1:02:49.000 --> 1:02:56.000]  Thanks, Alex. God bless.
[1:02:56.000 --> 1:02:59.000]  Well, all the big box stores are making record profits.
[1:02:59.000 --> 1:03:07.000]  So is Amazon because they designed the global shutdown to destroy small and medium sized businesses.
[1:03:07.000 --> 1:03:11.000]  And it is wreaking havoc in the supply chain.
[1:03:11.000 --> 1:03:18.000]  Thousands and thousands of small companies have completely shut down and others are struggling to stay open because
[1:03:18.000 --> 1:03:25.000]  they can't get raw materials, whether it's for food, whether it's for medicine, whether it's for supplements, whether it's for textiles.
[1:03:25.000 --> 1:03:28.000]  Whatever the product is, you see it in the news.
[1:03:28.000 --> 1:03:34.000]  It is record level supply chain breakdowns because the globalists shut down the world of comics for more than a year.
[1:03:34.000 --> 1:03:36.000]  Now they're trying to bring the shutdown back again.
[1:03:36.000 --> 1:03:41.000]  In fact, areas like India and areas of Africa, the shutdown is ongoing.
[1:03:41.000 --> 1:03:44.000]  It's killing those people in massive numbers.
[1:03:44.000 --> 1:03:49.000]  So the Info Wars doesn't have a lot of our best selling products anymore, 6, 7, 8 months, because of this.
[1:03:49.000 --> 1:03:55.000]  So to make up this work, please buy T-shirts, books, films, things like that at infowarstore.com.
[1:03:55.000 --> 1:04:15.000]  Please try to keep us on the air.
[1:04:15.000 --> 1:04:25.000]  I've got a lot of serious news to cover here today. We've got all the attempts to push force inoculations and the rest of it unfolding.
[1:04:25.000 --> 1:04:35.000]  And the elite of, quote, big tech are meeting in secret to, of course, roll out their next big lockdown, their next big system to force us onto AI
[1:04:35.000 --> 1:04:41.000]  to only communicate via Zoom and Skype and all these systems so they can surveil us.
[1:04:41.000 --> 1:04:45.000]  They're meeting right now. We're telling you about that coming up here in a moment.
[1:04:45.000 --> 1:04:51.000]  But I thought let's have some fun. This is a video that's going to be the featured video upon Band-Aid video.
[1:04:51.000 --> 1:04:58.000]  Proof aliens want to rule the world. That was the joke title Rob Dugay, but I gave it global exclusive.
[1:04:58.000 --> 1:05:03.000]  Aliens interviewed on CNN. It's pretty hilarious.
[1:05:03.000 --> 1:05:08.000]  And of course, it is satire. The CNN will probably say that we're being serious.
[1:05:08.000 --> 1:05:13.000]  But this is actually what Brian Stelter and Oliver Darcy had to say. We just had a little fun with it.
[1:05:13.000 --> 1:05:17.000]  So it's interesting for radio listeners, but really funny for TV viewers.
[1:05:17.000 --> 1:05:23.000]  So I suggest you go watch the video. It's the featured video at band.video.
[1:05:23.000 --> 1:05:26.000]  That's a band URL blocked on Twitter and Facebook.
[1:05:26.000 --> 1:05:33.000]  So you need to search free world news right there in the corner right up there, freeworldnews.tv.
[1:05:33.000 --> 1:05:36.000]  And then share that link. You're doing a great job sharing it folks.
[1:05:36.000 --> 1:05:41.000]  We're having a big effect. Here it is. World explosive aliens reveal themselves on CNN. Here it is.
[1:05:41.000 --> 1:05:55.000]  Choose your own reality culture is pervading every corner of American life. Choose your own reality.
[1:05:55.000 --> 1:06:02.000]  If you want to believe that the pro-Trump riots of January 6th were instigated by the feds, you can choose a show that claims that is true.
[1:06:02.000 --> 1:06:08.000]  You can choose a TV star who claims it's real. Carlson is a conspiracy monger, but he's far from the first.
[1:06:08.000 --> 1:06:18.000]  As my colleague Oliver Darcy pointed out this week, Carlson is sounding more and more like Info Wars host and notorious conspiracy theorist Alex Jones.
[1:06:18.000 --> 1:06:21.000]  You can hear the similarity.
[1:06:21.000 --> 1:06:23.000]  The NSA has been reading our emails.
[1:06:23.000 --> 1:06:28.000]  It's not that I think the government spies on me. It's admitted that they do it.
[1:06:28.000 --> 1:06:33.000]  It is a lie to say there are no risks. There are risks in everything, including in getting a vaccine.
[1:06:33.000 --> 1:06:37.000]  Everybody's got family that got killed or got sick from a vaccine.
[1:06:37.000 --> 1:06:46.000]  So FBI operatives were organizing the attack on the Capitol on January 6th according to government documents.
[1:06:46.000 --> 1:06:56.000]  It is overwhelming the evidence that criminal elements of the federal government provocateur and staged January 6th.
[1:06:56.000 --> 1:06:59.000]  All right, Oliver Darcy is back with me.
[1:06:59.000 --> 1:07:05.000]  I think the sound speaks for itself. Is it a stretch to say that Tucker Carlson is the new Alex Jones?
[1:07:05.000 --> 1:07:10.000]  It's not a stretch, Brian. Tucker Carlson is the new Alex Jones.
[1:07:10.000 --> 1:07:17.000]  If you watch Tucker Carlson's program and you watch Alex Jones' program, they might differ a little bit in antics and the way they deliver their message,
[1:07:17.000 --> 1:07:27.000]  but that message to viewers is consistent and it's pretty identical. Whether it's talking about vaccine conspiracy theories, false flag conspiracy theories,
[1:07:27.000 --> 1:07:33.000]  deep state conspiracy theories, the messages that Tucker Carlson and Alex Jones are sending are the same.
[1:07:33.000 --> 1:07:39.000]  They seem to see eye to eye on the biggest issues that they talk about every single night.
[1:07:39.000 --> 1:07:42.000]  Don't blink. Don't even blink.
[1:07:42.000 --> 1:07:47.000]  Do we know anything about their relationship, whether they have one? Because we played two back-to-back sound bites.
[1:07:47.000 --> 1:07:52.000]  One is of Tucker sympathizing with Jones, but the other one has Alex Jones basically saying,
[1:07:52.000 --> 1:07:57.000]  hey, I'm going to let Tucker present this January 6th conspiracy theory first.
[1:07:57.000 --> 1:08:02.000]  I'm going to let Tucker present the inside job theory because he's going to do a great job with it.
[1:08:02.000 --> 1:08:07.000]  And when I heard that, I thought, are these two guys in cahoots? Are they friends? Do they communicate?
[1:08:07.000 --> 1:08:09.000]  Let's listen to these two sound bites and then we'll talk about it.
[1:08:09.000 --> 1:08:16.000]  I made the decision not to get into this until it broke on Tucker because I thought he'd do a better job than I did.
[1:08:16.000 --> 1:08:18.000]  He did. He did a great job in 15 minutes.
[1:08:18.000 --> 1:08:21.000]  Why do we laugh at Alex Jones again since your question?
[1:08:21.000 --> 1:08:24.000]  Are they bros? What do we know about the relationship?
[1:08:24.000 --> 1:08:27.000]  It does sound like they're talking to each other, right, Brian?
[1:08:27.000 --> 1:08:32.000]  Look, you don't have to take it from us. Just listen to that clip you played of Tucker Carlson.
[1:08:32.000 --> 1:08:39.000]  He's basically saying that he doesn't think that Alex Jones's views are out there, that they're crazy.
[1:08:39.000 --> 1:08:44.000]  Evidently, he thinks that their legitimate should be debated and he's bringing them up on his own show.
[1:08:44.000 --> 1:08:52.000]  And Brian, this matters because these far-right conspiracy theories, they used to be confined to the info war section on the Internet.
[1:08:52.000 --> 1:08:58.000]  You used to have to seek them out. I'm not that old, but I remember when the Republican Party and Fox News
[1:08:58.000 --> 1:09:03.000]  mocked Alex Jones and said, that guy is crazy. We're not going to touch that sort of stuff.
[1:09:03.000 --> 1:09:08.000]  But now, Fox's face is effectively Alex Jones.
[1:09:08.000 --> 1:09:14.000]  The de facto leader of the Republican Party is touting the same stuff that Jones touts on his show.
[1:09:14.000 --> 1:09:20.000]  And Fox remains silent about what would be true and abuse of power.
[1:09:20.000 --> 1:09:25.000]  If the NSA is actually reading Tucker's emails, then that's really disturbing.
[1:09:25.000 --> 1:09:29.000]  But for some reason, Fox hasn't condemned the NSA. They haven't demanded an investigation.
[1:09:29.000 --> 1:09:35.000]  They haven't called for congressional inquiry. Like, Fox hasn't said anything. It's like they don't believe him.
[1:09:35.000 --> 1:09:51.000]  CNN Raining today. Low watermark this week on Monday. Not a single show cracked one million viewers.
[1:10:06.000 --> 1:10:12.000]  All right, that full reports at band.video. Nick Fuentes is coming up. World exclusive. Aliens reveal themselves on CNN.
[1:10:12.000 --> 1:10:17.000]  It's a funny video where we manipulated their heads. Looks like aliens. It's pretty ridiculous.
[1:10:17.000 --> 1:10:20.000]  Hey, I didn't have time to get into the shed. It's our top story today.
[1:10:20.000 --> 1:10:28.000]  But I'm going to cover the Davos group and their move towards total censorship and the big Davos secret meeting going on right now in Idaho.
[1:10:28.000 --> 1:10:34.000]  That's coming up later. We're going to have all those articles and documents for you on that front and what the contact traces are about
[1:10:34.000 --> 1:10:40.000]  and how this is the roll out of martial law. But here we are from last year, several clips.
[1:10:40.000 --> 1:10:50.000]  First at Saki saying this yesterday, but several clips laying out the fact that they are coming with door to door forced inoculations. Here it is.
[1:10:50.000 --> 1:11:06.000]  President will outline five areas his team is focused on to get more Americans vaccinated. One targeted community by community door to door outreach to get remaining Americans vaccinated by ensuring they have the information they need on how both safe and accessible the vaccine is.
[1:11:06.000 --> 1:11:21.000]  They are establishing Maoist style brigades across Europe and the United States that will be the general public in uniforms enforcing forced inoculation. They're going to use peer pressure to do it.
[1:11:21.000 --> 1:11:27.000]  And they're going to use a medical tyranny because they can claim that it's quote, unideological.
[1:11:27.000 --> 1:11:45.000]  This is the exactly what I would do if I was going to be taking over like this. National brigades coming to forcibly inoculate you and your family reporting and tracking with dogs that quote smell COVID.
[1:11:45.000 --> 1:12:05.000]  Oh, but it's not political. It's for everyone's safety, but it's the Democrats and the WHO with all their fake models and all their lies and Fauci running the lab. Congress introduces bill to allow government to mass test Americans for COVID-19 in their homes forcibly.
[1:12:05.000 --> 1:12:29.000]  And ladies and gentlemen, let me give you the bill number, shall I? 6666. Just like that. World governments announced forced inoculations, implantable microchips, tracer teams to come inspect your home, and now 60 plus days later, it's like, oh, this is never going to end.
[1:12:29.000 --> 1:12:42.000]  We're going to come to your house. They now are. I have the articles and we're going to forcibly inoculate you. This will be true warfare, economic, cultural, and then physical of the rollout of secret police arrest teams, contact tracers.
[1:12:42.000 --> 1:12:47.000]  It's all official. Now everything we've warned of is now out in the open.
