[00:00:18.334 --> 00:00:20.135]  It's Monday, January 25th.
[01:08:14.235 --> 01:08:34.244]  Twenty-six, seven years ago, when I was first on air, it was in scientific publications that they had spider goats, they had human-animal hybrids, they had humanses, they had pigs that were basically pure muscle, that were part human, they had humans growing inside pigs, humans growing inside cows, but it was all in the literature.
[01:08:34.991 --> 01:08:45.699]  Like, admitted going on in Argentina of all places, in Costa Rica of all places, in Communist China, in Singapore.
[01:08:45.699 --> 01:08:48.601]  That's where they admittedly were doing it.
[01:08:48.601 --> 01:08:49.742]  They had bases, though.
[01:08:49.742 --> 01:08:51.904]  It was like they had tortured black sites all over the world.
[01:08:53.507 --> 01:08:59.756]  They have bases, underground bases, all over the western world doing stuff way advanced than that.
[01:08:59.756 --> 01:09:01.878]  And like I told you, it's industrial scale.
[01:09:01.878 --> 01:09:03.621]  It's like saying my dad worked in a steel mill.
[01:09:03.621 --> 01:09:07.606]  They tried to hire my dad who was one of the first guys doing implants.
[01:09:07.606 --> 01:09:09.789]  He taught implants at Baylor University.
[01:09:10.630 --> 01:09:12.291]  They tried to recruit him, and it wasn't just him.
[01:09:12.291 --> 01:09:20.578]  They tried to recruit a lot of the top dentists in Dallas and oral surgeons to go live in Maryland at a Site R, basically.
[01:09:20.578 --> 01:09:24.801]  It was near Site R, and create cyborgs.
[01:09:24.801 --> 01:09:25.862]  And they told my dad that.
[01:09:25.862 --> 01:09:28.003]  I mean, they didn't tell him the rest.
[01:09:28.003 --> 01:09:28.964]  I forget the exact stuff.
[01:09:28.964 --> 01:09:30.765]  I was like eight years old, and he was talking about it with my mom.
[01:09:30.765 --> 01:09:33.207]  He was going to get paid $400-something thousand dollars.
[01:09:33.207 --> 01:09:34.508]  Back then, that would be like $3 million a year to
[01:09:37.230 --> 01:09:41.793]  Go in months at a time to an underground base, and then come back out, out of the base, okay?
[01:09:41.793 --> 01:09:46.196]  So that's, I don't know, how old was I when I was like, what year was I, like eight years old?
[01:09:46.196 --> 01:09:50.800]  I was born in 1974, so I guess that'd be like 1982, 1983.
[01:09:50.800 --> 01:09:56.984]  And a lot of my dad's friends went.
[01:09:56.984 --> 01:10:01.687]  And they went, they moved to Maryland, they went to an underground base, and did God knows what, implanting things in bone.
[01:10:01.687 --> 01:10:03.749]  That's all they were told, cyborg, cybernetics.
[01:10:04.662 --> 01:10:12.386]  And so, again, you go see movies like Terminator, you see these underground bases with all this stuff going on, that's actually going on, okay?
[01:10:12.386 --> 01:10:13.907]  And the globalists are tired of hiding this.
[01:10:13.907 --> 01:10:16.209]  They're tired of hiding the human-animal hybrids.
[01:10:16.209 --> 01:10:22.112]  They've definitely got stuff like replicants, but here's the thing, it doesn't create the superhumans like they said.
[01:10:22.112 --> 01:10:27.135]  It creates all sorts of medical problems and total mental illness, and there's just something wrong with these people.
[01:10:28.237 --> 01:10:43.408]  That's what the transgenderism is about, is if you'll accept a man being in women's sports, or you'll accept a man with male genitals going to the doctor and saying he needs a pap smear, if you will accept all of that, well then you'll accept these clones they're going to start telling you about.
[01:10:43.408 --> 01:10:45.569]  Oh, it's Billy, the first human clone.
[01:10:45.569 --> 01:10:48.491]  His parents both had genetic disorders, but they deserved a child.
[01:10:48.491 --> 01:10:54.475]  So, this major biotech company combined their genetics and fixed it, and he's the first humanoid.
[01:10:54.475 --> 01:10:56.497]  But of course he has rights.
[01:10:58.194 --> 01:11:04.916]  And once you say that humanoid has rights, well now the corporations can produce whatever they want and whoever they want.
[01:11:04.916 --> 01:11:05.956]  Okay?
[01:11:05.956 --> 01:11:06.916]  And so that's the end of it.
[01:11:06.916 --> 01:11:13.538]  This is a giant science race into the future to do gene therapy on you.
[01:11:13.538 --> 01:11:14.598]  These are not vaccines.
[01:11:14.598 --> 01:11:20.300]  These mRNA are reprogramming your DNA, reprogramming your cells to control you.
[01:11:21.653 --> 01:11:31.252]  And so when they had a lockdown and showed you robots at the baseball games, and the football games, the basketball games, and the soccer games all dancing while you're locked up, they're telling you the age of humans is over.
[01:11:32.128 --> 01:11:41.631]  Because the globalists want you to roll over, they want you to die, they want you to not know how to run a farm, or not know how to run a ranch, or not know how to run an auto parts store, or run an auto repair place.
[01:11:41.631 --> 01:11:43.552]  All the new cars, you can't work on them.
[01:11:43.552 --> 01:11:45.052]  Everything's going to be driverless.
[01:11:45.052 --> 01:11:52.795]  And this Event 201, which is what you're seeing now, the Great Reset, is the beta test for the big real bio-attacks that are coming.
[01:11:52.795 --> 01:11:54.796]  And I told you that 12 months ago when this started.
[01:11:54.796 --> 01:11:58.777]  Bill Gates, four months later, went on Cobrair and said, this is a drill.
[01:11:58.777 --> 01:12:00.718]  Terrorists are about to release a real bio-weapon.
[01:12:01.806 --> 01:12:04.748]  Somebody thinks, oh, we're going to get out of the mask, it's going to be okay.
[01:12:04.748 --> 01:12:07.949]  We'll get a little COVID tracking, you know, still wear a mask to fly.
[01:12:07.949 --> 01:12:09.790]  And some people will have these COVID passports.
[01:12:09.790 --> 01:12:10.831]  It's whatever's convenient.
[01:12:11.610 --> 01:12:15.513]  And then they hit you with a big bioweapon and really lock your ass down.
[01:12:15.513 --> 01:12:17.955]  And then this time hundreds of millions die and it's a real weapon.
[01:12:17.955 --> 01:12:24.761]  And then the next time billions die, but you've all learned how to stay locked down, how to behave, and not get out of control while they kill you.
[01:12:24.761 --> 01:12:26.242]  So that's what the martial law is about.
[01:12:26.242 --> 01:12:27.403]  It's what the global government's about.
[01:12:27.403 --> 01:12:30.225]  It's getting you all locked down and prepared ahead of this happening.
[01:12:30.225 --> 01:12:33.348]  And look, I'm sorry this is so scary, but this is their admitted plan.
[01:12:33.968 --> 01:12:35.449]  So you can live in denial all day long.
[01:12:35.449 --> 01:12:37.289]  The age of humans is over.
[01:12:37.289 --> 01:12:39.090]  That's why they're destroying the military.
[01:12:39.090 --> 01:12:41.050]  That's why it's going all robot.
[01:12:41.050 --> 01:12:42.671]  That's why they're destroying the family.
[01:12:42.671 --> 01:12:44.171]  This is the shutdown of humanity.
[01:12:44.171 --> 01:12:52.634]  And I could sit here all day and talk about Joe Biden's super unpopular, and Joe Biden can hardly talk, and his hot mic saying, I don't even know what I'm signing.
[01:12:52.634 --> 01:12:58.456]  And while he's signing executive orders, there's a hot mic about, yeah, I did my plea bargain deal.
[01:12:59.721 --> 01:13:03.306]  You've got a bunch of compromised Chinese communist agents in there.
[01:13:03.306 --> 01:13:10.014]  The bureaucracy loves it because it can now literally make deals while using Biden as the fall guy to sell America out.
[01:13:11.045 --> 01:13:12.825]  And then that further demoralizes America.
[01:13:12.825 --> 01:13:17.006]  You see the Chinese troops all marching in lockstep with their parades, all exact.
[01:13:17.006 --> 01:13:21.407]  Hundreds of thousands of them, Xi Jinping, not a citizen in sight, like the Hunger Games.
[01:13:21.407 --> 01:13:22.747]  And then you see our events.
[01:13:22.747 --> 01:13:24.067]  Total squalor.
[01:13:24.067 --> 01:13:25.507]  No one there to see Biden.
[01:13:25.507 --> 01:13:27.888]  Troops laying around in heaps everywhere.
[01:13:27.888 --> 01:13:34.529]  Congresswoman saw troops asleep without masks on, came over and bitched at them like dogs had them thrown out.
[01:13:34.529 --> 01:13:36.709]  Because it's all about demoralizing you.
[01:13:36.709 --> 01:13:38.250]  It's all about running you down.
[01:13:38.250 --> 01:13:39.950]  It's all about making you feel like you're pathetic.
[01:13:41.007 --> 01:13:53.860]  Instead of absolutely never wearing the mask, never submitting to them, speaking up everywhere, saying no, telling doctors that when you take a vaccine, okay, you sign a liability form, getting aggressive outside of violence.
[01:13:53.860 --> 01:13:54.921]  That's what it's going to take.
[01:13:54.921 --> 01:13:58.384]  And violence isn't the answer here, because the public's too dumbed down about who the real enemy is.
[01:13:59.085 --> 01:14:01.407]  We have to take our culture back.
[01:14:01.407 --> 01:14:04.389]  We have to absolutely not support the globalists anymore.
[01:14:04.389 --> 01:14:05.670]  That's how we're going to win.
[01:14:05.670 --> 01:14:06.991]  Oh, and I'm ranting here.
[01:14:06.991 --> 01:14:14.097]  I'm going to do one more segment with you and cover some other important topics, but how surreal is it to see all of this unfolding and then going into overdrive?
[01:14:15.575 --> 01:14:18.819]  Well, I didn't think we'd witness it this fast.
[01:14:18.819 --> 01:14:21.503]  I mean, people always ask, oh, when is it going to get that bad?
[01:14:21.503 --> 01:14:24.927]  I figured it would be more of the next generation that we're going to have to face this.
[01:14:24.927 --> 01:14:28.792]  But they're really bringing all the heat on us right now.
[01:14:28.792 --> 01:14:31.635]  And my biggest fear, I think, watching the COVID
[01:14:32.316 --> 01:14:35.198]  Uh, rollout worldwide is exactly what you're talking about.
[01:14:35.198 --> 01:14:36.119]  It was just a test.
[01:14:36.119 --> 01:14:38.100]  They just tested something that wasn't deadly.
[01:14:38.100 --> 01:14:40.481]  Maybe they have a deadly agent, maybe they don't.
[01:14:40.481 --> 01:14:45.364]  Uh, but it was a test and they get all the testing worldwide so they can see how effective it is, they can see how it spreads.
[01:14:45.364 --> 01:14:50.808]  A whole mass test, they can see how easy it'll lock down, which areas are easier, which are how to spread it, all of this stuff.
[01:14:51.488 --> 01:15:05.862]  But you know, the surrealness is it's like, we had to do tornado drills in Missouri when we were in school, and so we'd do a tornado drill maybe every other month or something, and you'd go to a designated hallway or whatever in the basement, and you'd get down and you'd crouch down, that'd be the tornado drill.
[01:15:05.862 --> 01:15:07.323]  Well, that would be like...
[01:15:08.271 --> 01:15:13.632]  They have a tornado drill and it's sunny outside, and you know, a couple of your classmates are actually panicked.
[01:15:13.632 --> 01:15:14.352]  Oh my gosh!
[01:15:14.352 --> 01:15:15.073]  Tornado!
[01:15:15.073 --> 01:15:15.613]  Oh no!
[01:15:15.613 --> 01:15:15.993]  Oh!
[01:15:15.993 --> 01:15:17.313]  You're like, hey, it's just a drill.
[01:15:17.313 --> 01:15:18.233]  Like, no reason.
[01:15:18.233 --> 01:15:19.794]  And that's like the whole world.
[01:15:19.794 --> 01:15:31.236]  It's like this whole drill of a pandemic that's not even happening, and yet they're crying, screaming out in total panic over a drill, over a test that's not even real.
[01:15:31.236 --> 01:15:33.357]  Well that's because people are primed that if they're a victim,
[01:15:35.135 --> 01:15:36.116]  It's like a currency.
[01:15:36.116 --> 01:15:36.917]  Oh, I'm a victim.
[01:15:36.917 --> 01:15:37.898]  I went through COVID.
[01:15:37.898 --> 01:15:38.999]  Oh, I survived it.
[01:15:38.999 --> 01:15:53.031]  When all you're doing is having your future taken away, all you're doing is starving the third world to death, so it collapses and the UN can organize it as an invasion force to take your country over, and then the UN again is the solution to the global migrant crisis, which they created with the COVID lockdown.
[01:15:53.331 --> 01:15:55.513]  COVID didn't cost tens of millions to starve to death.
[01:15:55.513 --> 01:15:55.954]  The lockdown did.
[01:15:55.954 --> 01:16:02.079]  What if you could cut your heating bills this winter with your existing wood-burning fireplace and not spend thousands doing it?
[01:16:02.079 --> 01:16:05.042]  You can with Great Wall of Fire Fireplace Grates.
[01:16:05.042 --> 01:16:13.210]  Our U.S.-patented, made-in-America Wall of Fire Grates increase fireplace efficiency, eliminate fireplace smoke problems, and come with a 30-day money-back guarantee.
[01:16:13.610 --> 01:16:23.126]  See our greats in action and get free shipping from wall of fire .com or call 800 2 7 4 7 3 6 4 fireplace heat without fireplace smoke.
[01:16:23.126 --> 01:16:24.649]  Wall of fire .com
[01:16:29.033 --> 01:16:35.339]  Have you ever thought about turning your Glock, XD Family, or 1911 handgun into a semi-automatic carbine?
[01:16:35.339 --> 01:16:37.541]  It only takes about 30 seconds.
[01:16:37.541 --> 01:16:45.708]  The MAC Tech Carbine Upper is classified as an accessory and can be delivered right to your doorstep with no FFL or background check required.
[01:16:45.708 --> 01:16:48.490]  It's the world's most versatile pistol accessory.
[01:16:48.490 --> 01:16:50.452]  Build your custom upper today.
[01:16:50.452 --> 01:16:52.874]  Simply go to handgunconversion.com.
[01:16:52.874 --> 01:16:54.475]  That's handgunconversion.com.
[01:16:55.765 --> 01:16:59.807]  Hey everybody, confused about staying healthy in a crazy COVID culture?
[01:16:59.807 --> 01:17:00.567]  Me too.
[01:17:00.567 --> 01:17:07.669]  But listen, after all the research, all the conflicting studies, after all the squabbling, there's one thing almost everyone agrees on.
[01:17:07.669 --> 01:17:11.651]  It's that immune system health can literally be the difference between life and death.
[01:17:12.051 --> 01:17:13.952]  You probably already believe that.
[01:17:13.952 --> 01:17:14.972]  I certainly do.
[01:17:14.972 --> 01:17:15.912]  So here's the thing.
[01:17:15.912 --> 01:17:24.794]  I wanted to get past the craziness and find out which plant-based substances actually have studies that demonstrate some efficacy in immune support.
[01:17:24.794 --> 01:17:30.236]  Now, you'll have to sign a waiver, but you can check out what I've discovered at StrongerDefense.com.
[01:17:30.236 --> 01:17:31.296]  No cures or treatments there.
[01:17:31.576 --> 01:17:40.805]  Instead, little known but shocking immune system research and a breakthrough immune support product based on that research called Immune 10X.
[01:17:40.805 --> 01:17:41.706]  And the best part?
[01:17:41.706 --> 01:17:48.433]  You can go to the Stronger Defense website right now and claim your own supply of Immune 10X without paying anything today.
[01:17:48.433 --> 01:17:49.274]  Crazy, right?
[01:17:49.274 --> 01:17:53.258]  Learn more about this unusual limited time offer at StrongerDefense.com.
[01:17:53.258 --> 01:17:54.740]  That's StrongerDefense.com.
[01:17:56.445 --> 01:18:00.286]  Cognitive dissonance is a major issue amongst the left.
[01:18:00.286 --> 01:18:04.607]  It can be very stressful dealing with facts you refuse to accept.
[01:18:04.607 --> 01:18:13.150]  If you have a family member suffering from this degenerative mental condition, buy them a bottle of Ultimate Fish Oil from Infowarsstore.com.
[01:18:13.470 --> 01:18:30.074]  Studies have suggested that fish oils and fish oil supplementation can slightly lower blood pressure, decrease triglyceride levels, decrease the growth rate of plaque, and provide a soothing reduction in inflammatory responses in joints and the digestive system.
[01:18:30.074 --> 01:18:41.116]  Recent studies have suggested that high EPA and DHA fish oil can stimulate immune function by increasing the concentration and activity of immune cells.
[01:18:41.616 --> 01:18:50.107]  It worked for my family, and now I can have a logical and calm discussion about actual facts that pertain to reality.
[01:18:50.107 --> 01:18:55.653]  Get your ultimate fish oil for a friend, family member, or yourself at InfowarsStore.com.
[01:18:57.964 --> 01:19:00.467]  We have the technocrats are controlling the food supply.
[01:19:00.467 --> 01:19:03.551]  Secure your own safe source of food supply sale.
[01:19:03.551 --> 01:19:09.178]  It's the new prices in 2021, but it's the lowest price for high quality food you're going to find at infowarsstore.com.
[01:19:09.178 --> 01:19:11.441]  The subsection is preparewithalex.com.
[01:19:11.441 --> 01:19:14.885]  And it's all these globalists do this and as they hoard the food and as they prepare.
[01:19:15.686 --> 01:19:19.729]  You need to understand that you need 25-year food supply in the last 25 years.
[01:19:19.729 --> 01:19:23.752]  One month, three months, six months, one year supplies, and it's the highest quality you're going to find.
[01:19:23.752 --> 01:19:34.460]  And it's just good to have that checkbox taken care of, and you know you're getting good food at a very good price, and you know that a small percentage of it, because there's not much profit in this, goes to us to fund our operation.
[01:19:34.460 --> 01:19:38.543]  So, prepareitalex.com or infowarsstore.com, you can find the
[01:19:38.643 --> 01:19:39.703]  You're listening to the Alex Jones Show!
[01:20:11.618 --> 01:20:13.479]  Two big articles.
[01:20:13.479 --> 01:20:17.020]  Two big articles on Infowars.com.
[01:20:17.020 --> 01:20:18.201]  Ron Paul.
[01:20:18.201 --> 01:20:20.642]  When fascism comes, it will be wearing a mask.
[01:20:20.642 --> 01:20:23.363]  Very important article.
[01:20:23.363 --> 01:20:23.903]  Another one.
[01:20:23.903 --> 01:20:30.506]  Gretchen Whitmer, the mass killer governor that sent the COVID positive patients to the one place that might kill somebody.
[01:20:30.506 --> 01:20:31.166]  Old folks homes.
[01:20:32.694 --> 01:20:38.018]  She's come out and said that she can't stand people that have one rule for others, a different one for themselves.
[01:20:38.018 --> 01:20:48.006]  And once anyone arrested, not social distancing, not wearing a mask or out in public, even though she goes out on boats when she's not supposed to or tries to, she doesn't wear a mask in public.
[01:20:48.006 --> 01:20:56.872]  She doesn't social distance because it's okay because she's a globalist, just like the governor of New York, just like the governor of California.
[01:20:56.872 --> 01:21:01.136]  These people are piles of evil trash who flaunt all of this.
[01:21:03.263 --> 01:21:05.044]  In your face.
[01:21:05.044 --> 01:21:09.086]  Oh, and there is so much news to cover, so many issues to hit.
[01:21:09.086 --> 01:21:14.990]  I've got a few final points that I want to hit here, but what else do you have coming up?
[01:21:14.990 --> 01:21:16.571]  Tell folks what you've got coming up after I leave.
[01:21:17.213 --> 01:21:21.695]  Well, we've got the Davos Forum that is meeting right now.
[01:21:21.695 --> 01:21:28.458]  That's a totally anti-American group of globalist elites working on ways to defeat our free market.
[01:21:28.458 --> 01:21:30.979]  You have all the evidence now of Joe Biden.
[01:21:30.979 --> 01:21:33.900]  I mean, forget about the treason he committed before.
[01:21:33.900 --> 01:21:36.541]  He's just committing open treason now right in the White House.
[01:21:36.541 --> 01:21:38.262]  But I'm not even sure if he knows what's going on.
[01:21:38.262 --> 01:21:42.964]  He even admits unwittingly in his own videos when signing the executive orders.
[01:21:42.964 --> 01:21:44.104]  He might not even know he's on camera.
[01:21:44.104 --> 01:21:45.204]  He just says, what am I signing?
[01:21:45.204 --> 01:21:45.985]  I don't know what I'm signing.
[01:21:47.076 --> 01:21:50.297]  And then of course you have the Democrats now targeting Alex.
[01:21:50.297 --> 01:21:55.459]  Any Trump supporter, and they say any Trump supporter can be labeled a domestic terrorist.
[01:21:55.459 --> 01:22:00.422]  Any Trump supporter should not be allowed to join the military.
[01:22:00.422 --> 01:22:04.643]  And they want to send us to re-education camps and gulags.
[01:22:04.643 --> 01:22:08.785]  There are a few Republicans fighting back, but it's not enough.
[01:22:08.785 --> 01:22:11.526]  And then you of course have the race baiting of the mainstream media continuing.
[01:22:11.526 --> 01:22:13.047]  But you know Alex, you said something earlier.
[01:22:14.087 --> 01:22:19.911]  About how you go to bed and you sleep well and it's like, oh you wake up feeling refreshed and then it hits you about the New World Order.
[01:22:19.911 --> 01:22:20.752]  I'm like the opposite.
[01:22:20.752 --> 01:22:29.899]  I'll like go through a day with like gallows humor of having it all and then I lay in bed at night and I'm just like, is this the last night I get to lay in my bed?
[01:22:29.899 --> 01:22:32.101]  Is this the last night I get to have a pillow under me?
[01:22:32.101 --> 01:22:36.804]  Is this the last night I'm not sleeping on a cold hard cement before they haul us off to Gulags?
[01:22:37.885 --> 01:22:41.008]  It's a creeping thing, but as we see, it moves fast.
[01:22:41.008 --> 01:22:42.189]  Let me just agree with you there.
[01:22:42.189 --> 01:22:43.329]  Let me just agree with you.
[01:22:43.329 --> 01:22:45.331]  I was laying in bed last night.
[01:22:45.331 --> 01:22:49.955]  They're talking about putting us in prison for our political views and saying they're going to do it.
[01:22:49.955 --> 01:22:54.578]  And I'm literally laying there going, man, this bed's comfortable compared to a prison bed, but this is going to burn itself out.
[01:22:54.578 --> 01:22:57.261]  These crazies are already turning on each other.
[01:22:57.261 --> 01:23:00.483]  They're not as well organized as the Soviets or the Nazis were.
[01:23:00.483 --> 01:23:05.147]  They have more power, they have more high tech, but this is not going to go the way they want.
[01:23:05.507 --> 01:23:11.592]  They're, their previous power grabs led to giant populist awakenings and huge landslides against them.
[01:23:11.592 --> 01:23:22.301]  So now they've had to steal elections, provocateur our big event so that they could make millions or a million people look bad with a few hundred bad apples and then call it the new Pearl Harbor when they only killed four of us.
[01:23:23.101 --> 01:23:23.721]  I don't know.
[01:23:47.129 --> 01:23:53.510]  Allows us to stay strong in the face of this, and allows us to develop contingency operations and other things, okay?
[01:23:53.510 --> 01:23:57.051]  So, believe me, what you see going on on the surface is most of what we're doing.
[01:23:57.051 --> 01:23:59.891]  There's a lot of stuff going on behind the surface.
[01:23:59.891 --> 01:24:02.372]  I need everyone to go to MFullWarStore.com.
[01:24:02.372 --> 01:24:03.412]  And I know it's sold out.
[01:24:03.412 --> 01:24:07.052]  The Trader Joe's shirt, we only ordered 2,000, didn't know it would be popular.
[01:24:07.052 --> 01:24:08.313]  They sold out in like a day or two.
[01:24:08.313 --> 01:24:09.773]  We're putting that on a waiting list.
[01:24:09.773 --> 01:24:10.733]  It's made in America.
[01:24:10.733 --> 01:24:11.893]  More come in next week.
[01:24:11.893 --> 01:24:13.654]  We're ordering 10,000 now.
[01:24:13.654 --> 01:24:15.674]  Trader Joe with Joe Biden on the front.
[01:24:16.724 --> 01:24:17.504]  That shirt's there.
[01:24:17.504 --> 01:24:19.445]  Go buy a Tyranny Response Team shirt.
[01:24:19.445 --> 01:24:21.765]  Go buy a Mass Murderers Agree to Gun Control Work shirt.
[01:24:21.765 --> 01:24:25.867]  And listen, Body's Ultimate Turmeric Formula is 95% curcuminoid.
[01:24:25.867 --> 01:24:26.847]  It's a powdered tablet.
[01:24:26.847 --> 01:24:27.467]  It's amazing.
[01:24:27.467 --> 01:24:28.367]  People love it.
[01:24:28.367 --> 01:24:29.528]  It's at InfoWarshaw.com.
[01:24:29.528 --> 01:24:32.809]  We have the Liquid Turmeric Extract that's incredible as well.
[01:24:32.809 --> 01:24:34.209]  That is still massively discounted.
[01:24:34.209 --> 01:24:37.290]  It's going to sell out by this weekend, but I'm keeping it discounted.
[01:24:38.174 --> 01:24:39.075]  Massively as well.
[01:24:56.616 --> 01:25:01.300]  100%, 100% reviews, ladies and gentlemen, at InfoWarsTore.com.
[01:25:01.300 --> 01:25:08.126]  Get in there, get our bodies, get our liquid turmeric as well, but also get super male vitality.
[01:25:08.126 --> 01:25:14.771]  And if there's one thing you'd take, I would take the X2 or the X3, the true deep-earth crystal iodine, the missing link.
[01:25:14.771 --> 01:25:22.217]  Even the UN admits on Wikipedia that over 2 billion people have mental disabilities or lower cognitive function because of lack of iodine.
[01:25:22.217 --> 01:25:23.398]  Most iodine is bound.
[01:25:24.946 --> 01:25:32.428]  You don't absorb it when it's in food and most things except for seafood, there isn't any in there.
[01:25:32.428 --> 01:25:33.428]  This stuff is amazing.
[01:25:33.428 --> 01:25:35.689]  If you simply take it, it will change your life.
[01:25:35.689 --> 01:25:40.070]  I know it's changed my life and it's also essential to your metabolic system and immune system.
[01:25:40.070 --> 01:25:42.371]  X3 has the deep earth crystalline as well.
[01:25:42.371 --> 01:25:46.652]  Scientists explained to us that some people, very low percentage, can't absorb pure iodine.
[01:25:46.652 --> 01:25:48.633]  Just like most folks can't absorb bound iodine.
[01:25:49.093 --> 01:25:49.533]  So this is
[01:26:19.073 --> 01:26:19.353]  I don't know.
[01:26:40.165 --> 01:26:41.546]  They had to go up in prices a little bit.
[01:26:41.546 --> 01:26:43.767]  The competitors already went up in prices 10 months ago.
[01:26:43.767 --> 01:26:45.668]  They had to go up in prices because of inflation.
[01:26:45.668 --> 01:26:47.728]  Food prices are going up for them massively.
[01:26:47.728 --> 01:26:49.289]  They only went up a little bit.
[01:26:49.289 --> 01:26:49.729]  And that's it.
[01:26:49.729 --> 01:26:58.293]  PrepareWithAlex.com, that takes you right to a subsection of InfoWarsStore.com, where you find the entire spectrum of their food, the lowest price you're going to find it anywhere.
[01:26:58.293 --> 01:27:01.995]  PrepareWithAlex.com, a subsection of InfoWars.com.
[01:27:01.995 --> 01:27:06.757]  And I'm telling you, the way inflation is going to heat up, they don't want to go up in prices in six months.
[01:27:06.757 --> 01:27:08.138]  The competitors are already going up again.
[01:27:09.284 --> 01:27:15.807]  I can tell you, we make a very small profit off of this, and so do they, to be competitive and to be high quality.
[01:27:15.807 --> 01:27:17.287]  Now, we sell more than anybody else.
[01:27:17.287 --> 01:27:18.388]  They're the biggest company now.
[01:27:18.388 --> 01:27:26.391]  They're only 14 years old, but they've been the biggest company for four years now because they sell the highest quality, best package, longest lasting food for the price you're going to find.
[01:27:26.391 --> 01:27:31.013]  You can find stuff cheaper, not much out there that tastes terrible, is horribly packaged.
[01:27:31.013 --> 01:27:33.914]  This is super inexpensive for very decent food.
[01:27:33.914 --> 01:27:37.376]  Some of it tastes gourmet, most of it tastes great, some of it tastes okay.
[01:27:38.578 --> 01:27:41.299]  But it doesn't make you get sick like some of the other storable food out there.
[01:27:41.299 --> 01:27:50.743]  So for the price, and the quantity I get, this is the company, I tested out a lot of companies 12 years ago, when I got rid of some of my food sponsors that had been good, but weren't good anymore.
[01:27:50.743 --> 01:27:58.207]  And I got my Patriot, when they were only about two years old, got their food, loved it, used it for about a year, and said, I want you to be my sponsor.
[01:27:58.207 --> 01:28:02.168]  They've now been a sponsor for 11, 12 years, and they're ready to ship.
[01:28:02.168 --> 01:28:03.549]  They've got the food right now.
[01:28:03.549 --> 01:28:07.431]  Go to preparewithalex.com or infowrestore.com, go to the food section,
[01:28:08.211 --> 01:28:11.992]  You'll find it all there, but I need a war chest to fight the globalists.
[01:28:11.992 --> 01:28:13.853]  You just saw them shut down Parler.
[01:28:13.853 --> 01:28:15.854]  You see them shutting down all the rest of the infrastructure.
[01:28:15.854 --> 01:28:20.776]  Folks, I don't spend time on air because it pleases the enemy talking about this, but they are pounding us.
[01:28:20.776 --> 01:28:22.036]  They are attacking us.
[01:28:22.036 --> 01:28:29.439]  I spend hours every day just keeping us on air, literally like a Star Trek episode where the ship's engine's going out, and we're still in the fight.
[01:28:29.439 --> 01:28:32.120]  We're not making a big deal about it to you, but believe me,
[01:28:33.433 --> 01:28:37.296]  I need your prayer, I need your support, and I need a crap ton of money.
[01:28:37.296 --> 01:28:45.423]  I mean, if I had $10 million, because if you sell $10 million of product, if we sell $10 million of food, we get like a million dollars, okay?
[01:28:45.423 --> 01:28:47.744]  Sounds like a lot, it's not running a network like this.
[01:28:47.744 --> 01:28:54.270]  With the supplements, it's a bigger profit than that, but still, if I had 10 million, I could absolutely do things you wouldn't believe.
[01:28:55.010 --> 01:28:55.710]  And get ahead of the clock.
[01:28:55.710 --> 01:29:03.913]  Attention radio listeners, if you're concerned about the coming chaos after the November elections, this will be an extremely important message.
[01:29:03.913 --> 01:29:04.773]  Here's why.
[01:29:04.773 --> 01:29:11.695]  No matter what the outcome in November, catastrophic social upheaval is a very real possibility.
[01:29:11.695 --> 01:29:12.996]  Here's why this is important.
[01:29:13.376 --> 01:29:21.659]  Listen, we all know that silver and gold have been historic hedges against the uncertain waves of social chaos and unstable currencies.
[01:29:21.659 --> 01:29:30.763]  But did you know that there's been times in the past, during times of extreme hardship, when Americans put another store of value above even silver and gold?
[01:29:30.763 --> 01:29:31.464]  It's true.
[01:29:31.464 --> 01:29:38.206]  Open-pollinated seeds have been, and could very well be, the ultimate store of value in the coming hard times ahead.
[01:29:38.206 --> 01:29:41.948]  Go to survivalseedbank.com to get heirloom seeds below wholesale.
[01:29:42.188 --> 01:29:47.591]  Visit SurvivalSeedBank.com this week and get hundreds of dollars in free bonuses.
[01:29:47.591 --> 01:29:48.892]  Beat the coming chaos.
[01:29:48.892 --> 01:29:50.273]  Beat rising food prices.
[01:29:50.273 --> 01:29:51.874]  But above all, don't wait.
[01:29:51.874 --> 01:29:54.876]  Beat the crowds by claiming your own Survival Seed Bank today.
[01:29:56.556 --> 01:30:00.419]  The globalists are taking control of the entire human genome.
[01:30:00.419 --> 01:30:03.002]  They are forcing mutations.
[01:30:03.002 --> 01:30:06.605]  This is forced evolution, or de-evolution.
[01:30:06.605 --> 01:30:14.552]  When you look at all the major research, all the major programs they're carrying out, they are not to produce people that are smarter, or folks that live longer, or are more moral.
[01:30:15.132 --> 01:30:18.474]  No, it's turning humanity into a commodity.
[01:30:18.474 --> 01:30:25.838]  Now we see some propaganda like Communist China bragging, hey, we've done mRNA vaccines to make our soldiers supermen.
[01:30:25.838 --> 01:30:29.840]  That's a way to make it sexy that, hey, we're experimenting on our troops.
[01:30:29.840 --> 01:30:35.903]  Well, the same things would happen to our troops, and thousands and thousands would die each time they tried a new experimental vaccine.
[01:30:36.363 --> 01:30:40.789]  I'm talking to high-level folks inside the federal government and the state of Texas Health Department.
