[00:00.000 --> 00:11.000]  And it's time for humanity to stand up in the Info War and say, I don't know what's going
[37:32.000 --> 37:41.000]  because I know their plan. I made films off their own documents and now here we are in the year 2022.
[37:41.000 --> 37:49.000]  See all of Greg Rees' incredible reports at band.video and infowars.com.
[37:49.000 --> 37:54.000]  So let's put the full show headline of it. We can for viewers right now. I'll read it for radio listeners.
[37:54.000 --> 38:00.000]  But that's where we are. They want you to accept pedophilia. They want you to accept owning nothing, having nothing.
[38:00.000 --> 38:07.000]  They want you to accept eating bugs and all of this to get you to give up on your life force and common sense.
[38:07.000 --> 38:19.000]  Sunday Live. Dim's rammed through massive spending bill weaponizing IRS like it's middle class and imposing great reset measures.
[38:19.000 --> 38:30.000]  It can't get more predatory than this. These are true psychotic monsters that point at those of us that oppose them and say,
[38:30.000 --> 38:40.000]  we're bad for questioning the big events when almost every case they have staged the events or provocateur the events.
[38:40.000 --> 38:47.000]  So is Alex Jones the villain like all the corporate media tells you or is it Klaus Schwab?
[38:47.000 --> 38:57.000]  Is it Bill Gates? Is it Prince Charles? They fly around on private jets. They live like kings.
[38:57.000 --> 39:04.000]  But they tell you you should starve to death. They tell you you should go away.
[39:04.000 --> 39:10.000]  This has been their project. It's been their operations. How I can predict the next phases of it.
[39:10.000 --> 39:21.000]  We can get off this ride though at any time by recognizing how predatory and how evil, how evil these people are.
[39:21.000 --> 39:31.000]  Now we've got your Hernandez joining us. He's an amazing reporter. He's got hundreds of millions of views conservatively in his videos.
[39:31.000 --> 39:42.000]  And he's now being censored and banned off of YouTube because he simply showed drag queen pedophile time events where they admit they're grooming our children.
[39:42.000 --> 39:46.000]  They say we're grooming your children. He'll join us next hour.
[39:46.000 --> 39:51.000]  Because remember they claim they care about the children all day.
[39:51.000 --> 39:59.000]  What they want to do is destroy the children's innocence. That's coming up next hour.
[39:59.000 --> 40:05.000]  But let me go ahead and mention this because we're front and center in the news.
[40:05.000 --> 40:11.000]  Whether it's Texas or Connecticut in blue city controlled zones.
[40:11.000 --> 40:17.000]  I'm being sued by Soros back Democrat operatives for questioning a mass shooting 10 years ago.
[40:17.000 --> 40:22.000]  And I'm the worst man in the world. I didn't lie about WMD's on purpose.
[40:22.000 --> 40:31.000]  I didn't promote pedophilia. I didn't human traffic children over the border. No, I simply said gun owners aren't to blame for mass shootings.
[40:31.000 --> 40:34.000]  Criminals and crazies are.
[40:34.000 --> 40:41.000]  But look at this headline. UN warns of worrying and dangerous conspiracy theories.
[40:41.000 --> 40:50.000]  The UN calls for censoring anyone questioning open borders, elections, gun control or forced injections.
[40:50.000 --> 41:04.000]  Alex Jones and a 65 million fine. It's not even right. It's 47 million. It's captured 5 million, but it doesn't matter. That's meant to scare you.
[41:04.000 --> 41:18.000]  And now we have raw story and ABC news and the New York Times all saying Alex Jones lawsuit verdict is bad news for the conspiracy viewing host at Fox legal expert.
[41:18.000 --> 41:22.000]  Another headline, Apple news, top of Apple news.
[41:22.000 --> 41:32.000]  We need honest reporting, less conspiracy theory and more facts, which they give us why Alex Jones is only one who lost big in the Sandy Hook verdict.
[41:32.000 --> 41:39.000]  And they're going to say we're going to silence everyone in the Apple news story.
[41:39.000 --> 41:47.000]  The Sandy Hook lawyer says it's time to take Alex Jones out and everybody else like him.
[41:47.000 --> 41:56.000]  And it goes on from there. But thank God that Charlie Kirk and Mike Cernovich and.
[41:56.000 --> 41:59.000]  Jack Pasobic and.
[41:59.000 --> 42:13.000]  Steve Bannon and countless others have come to our defense realizing it's us today. It's them tomorrow. Representative Taylor Green says info works founder Alex Jones being politically persecuted.
[42:13.000 --> 42:20.000]  Roger Stone calls for contributions to help Alex Jones after $45.2 million verdict.
[42:20.000 --> 42:27.000]  Hernandez coming up says what happens to Alex Jones is criminal. He was the first to be censored by big tech everywhere.
[42:27.000 --> 42:36.000]  Now he is the first to be persecuted with defamation cases that set him up to lose all because of free speech.
[42:36.000 --> 42:44.000]  And we've got more coming up, but I am honored to be in this position because I believe in you and we're going to win. And Texas caps these things.
[42:44.000 --> 42:50.000]  All we need is the money for appeals. All we need is the support through the bankruptcy. We're going to keep fighting.
[42:50.000 --> 42:56.000]  The money you donate, the money you give buying products will not go to them. It will go to keep us on air.
[42:56.000 --> 43:07.000]  infoworkstore.com.
[43:26.000 --> 43:34.000]  If you're buying this book, you're going to prove that censorship doesn't work, that freedom is alive in this country. This is essential reading.
[43:34.000 --> 43:41.000]  And you know, I would go right now and buy it before the censorship kicks in. It's not going to be available in bookstores.
[43:41.000 --> 43:48.000]  It's not going to be available in libraries. They're going to try to take it down from every platform that they can, but they're not going to be able to do it.
[43:48.000 --> 43:59.000]  Prove that censorship doesn't work by the great reset. Thank you, Alex Jones. I really appreciate you having me on and I appreciate you writing this book and getting the information out there.
[44:38.000 --> 44:45.000]  So the only way you fail is not taking action today and ordering bodies ultimate tumor formula at infoworkstore.com.
[44:45.000 --> 44:57.000]  It is simply amazing. Discover the power of your humanoids at 95% at infowarstore.com today with bodies ultimate tumor formula.
[44:57.000 --> 45:15.000]  info wars has been vindicated. We've been proven right. World government, the new world order is out of the open. And now more than ever, the forces of Satan are trying to shut down this broadcast. The forces of anti-human, godless new world order are out of control.
[45:15.000 --> 45:34.000]  So now realize we have pushed them out of the light. We have pushed them out in the open and they are so upset and they are so scared. So while you still can, because any day can be our last broadcast, spread the word about the show, share the article, share the videos, and please fund us while getting great products at the same time at infowarstore.com.
[45:34.000 --> 45:46.000]  Books, films, t-shirts, great supplements, vitamin real fusion, bodies ultimate tumor formula, Ultra 12, diet force so much more right now at infowarstore.com.
[45:46.000 --> 45:53.000]  But whatever you do, pray for justice and pray for freedom and pray for the children and pray for free speech and justice to win.
[45:53.000 --> 45:59.000]  Thank you so much for joining us. Now spread the word my friends. We're involved in an epic historic battle.
[45:59.000 --> 46:10.000]  I don't care if you work in a cafeteria or a pump gas or whether you're a farmer, a rancher, a doctor, a lawyer, or a millionaire. Fortune and Money magazine have all done these profiles. You see it every year.
[46:10.000 --> 46:26.000]  30 different tax returns, 30 different answers. 50 different tax returns, 50 different answers. And almost all of them just screw you over, especially the big firms and the big tax groups, because they're part of the system and they don't want the general public understanding this and knowing this show.
[46:26.000 --> 46:37.000]  It's a very important situation with inflation and all the things out there hurting everybody. To be able to do things tax wise, it's legal and lawful that allows you to keep more of your money.
[46:37.000 --> 46:42.000]  We wouldn't even be here if I hadn't gotten great tax advice in the last few years.
[46:42.000 --> 46:57.000]  The only way you fail is not writing down the URL jonestaxrelief.com. One word jonestaxrelief.com or call 833-900-4285. 833-900-4285.
[47:22.000 --> 47:30.000]  Right now, you are listening to the most forbidden information on planet Earth.
[47:30.000 --> 47:43.000]  Think about that. The enemy is running thousands of articles a day and hundreds of TV programs conservatively trying to shut us down. Why is that? Ask the question.
[47:43.000 --> 47:49.000]  Because they know we've got their number and they know the people resonate with us.
[47:49.000 --> 48:01.000]  So if you'll simply spread the word about the live feeds, if you'll simply support the broadcast, if you'll simply support the products at infohorsetour.com, it's game over.
[48:01.000 --> 48:14.000]  So let's play these clips back to back. This is Bannon talking about what Trump's going to do if he wins again and how they were caught flat footed six years ago and I believe him.
[48:14.000 --> 48:30.000]  And then we've got another clip here. We're going to air it back to back of Harriet Hagman, who is set to defeat Liz Cheney in the run, that congressional seat.
[48:30.000 --> 48:34.000]  Powerful stuff. Let's air these back to back.
[48:34.000 --> 48:55.000]  That's why Cash Patel, this great patriot. People think Cash is just a genius about counterterrorism and national security and everything like that and he is and he'll be the head of the CIA in the second term.
[48:55.000 --> 49:00.000]  But Cash understands the administrative state. This is more than a bureaucracy, right?
[49:00.000 --> 49:08.000]  This is an organic thing that's grown. It has its own courts. It puts its own legislation out in the federal register. It has its own enforcement capability.
[49:08.000 --> 49:14.000]  It's an absolute government that must be taken apart brick by brick.
[49:14.000 --> 49:19.000]  And Cash gave us, Cash showed us how, actually this has been reporting it.
[49:19.000 --> 49:34.000]  Remember, we have 4,000 political appointees in any administration. Roughly 1,000 have to be sent to confirm. So they're going to take a while. 3,000 can hit the beach day one.
[49:34.000 --> 49:43.000]  In 16, obviously it was a come from behind victory. We didn't have this. We didn't have the troops. We hadn't really gotten organized like that.
[49:43.000 --> 49:52.000]  But now we have no excuse. This is why you have all these great think tanks coming up. We're going to have a well trained cadre of people that will hit the beach day one.
[49:52.000 --> 50:02.000]  And their number one thing is to start taking apart the federal bureaucracy brick by brick.
[50:02.000 --> 50:11.000]  We're fed up with the Green New Deal and the socialists who created it. We're fed up with the attacks on our fossil fuel and energy industries.
[50:11.000 --> 50:19.000]  We're fed up with an open border. We're fed up with human trafficking. We're fed up with fentanyl flooding our country.
[50:19.000 --> 50:31.000]  And we're fed up with illegal immigration. We're fed up with critical race theory. We're fed up with boys competing in girl sports.
[50:31.000 --> 50:45.000]  We're fed up with the liberal media, Twitter, Facebook, Google and YouTube for blocking conservative speech.
[50:45.000 --> 50:52.000]  We're fed up with our government and universities censoring conservative thought canceling debate and rewriting history.
[50:52.000 --> 51:02.000]  We're fed up with the corruption in the FBI, the Department of Homeland Security, the CIA, the NSA, and the Vice Court.
[51:02.000 --> 51:16.000]  We're fed up with mass mandates, vaccine mandates, the CDC, the NIH, the WHO and the misinformation campaign surrounding COVID-19.
[51:16.000 --> 51:34.000]  We're fed up with Anthony Fauci. We're fed up with the politicians in the elitists in DC who are getting rich while the middle class falls further behind every year.
[51:34.000 --> 51:50.000]  We're fed up with Joe Biden with Nancy Pelosi. We're fed up with the January 6th Commission and those people who think that they can gaslight us.
[51:50.000 --> 52:02.000]  And we're fed up with Liz Cheney.
[52:02.000 --> 52:20.000]  We are putting everyone on notice. As of November 8th, we're taking our country back.
[52:20.000 --> 52:33.000]  So the globalists are in free fall. They're desperate. They're losing. And they think that they can target the Alex Joneses of the world and shut us down and demonize us.
[52:33.000 --> 52:42.000]  But they'll be able to intimidate everybody else to not speak up. But I bet on you a long time ago, and I know you're going to win.
[52:42.000 --> 52:49.000]  It's going to be hard. It's not going to be easy. But we're going to win together.
[52:49.000 --> 52:56.000]  Now coming up, we have Drew Hernandez, who's exposed the government pedophile rings and is being censored.
[52:56.000 --> 53:03.000]  And then we've got my Connecticut lawyer and the Sandy Hook anti-free speech globalist takeover situation joining us.
[53:03.000 --> 53:11.000]  And then Owen Shroyer is coming up as well. So it's a big broadcast. We still have left. And we have so much more.
[53:11.000 --> 53:21.000]  The illegal aliens being shipped by Texas to New York City and DC and they're freaking out. We have the videos of that. That's coming up.
[53:21.000 --> 53:29.000]  But before I go any further, I'm going to tell you bottom line. We're not backed by George Soros. We're not backed by the Democratic Party.
[53:29.000 --> 53:37.000]  We're not backed by the Rockefeller Foundation. We're backed by you. And we will never give up. And we know God's in charge.
[53:37.000 --> 53:45.000]  And you've done incredible things spreading the word about this broadcast and praying for this broadcast and financially supporting it.
[53:45.000 --> 53:57.000]  But I'm telling you now, we can stay on air for years, no matter what they do, if you back us, you make the decision whether we stay in attack formation.
[53:57.000 --> 54:12.000]  It's up to you. So I need you now to make the decision to go to infowarstore.com and get this little baby, the original Super Blue you asked so much for.
[54:12.000 --> 54:28.000]  Back in stock available, 50% off with the other products, the super whitening, coral calcium, super silver coral, and of course the activated charcoal toothpaste.
[54:28.000 --> 54:35.000]  Get them separately, 40% off or together, 50% off. I need you to go to infowarstore.com and get Vitamin Refusion.
[54:35.000 --> 54:48.000]  And get body's ultimate turmeric formula. And you can go there and get diet force. It's almost sold out. A bunch of concentrated known enzymes and compounds that naturally speed up your metabolism to lose weight.
[54:48.000 --> 55:00.000]  I'm still a husky guy, still big. I've lost, I weighed today, 46 pounds, ladies and gentlemen, in three months with just the samples we got before it came in.
[55:00.000 --> 55:12.000]  Diet force, infowarstore.com, X2, Polymblock, Ultra 12, infowarstore.com.
[55:12.000 --> 55:16.000]  And I just trust in God. I trust in God to work through you.
[55:16.000 --> 55:31.000]  And just to go to infowarstore.com and get Brainforce Ultra and Brainforce Plus and to get knockout and get living defense and to get lung cleanse and to get it all, basso beach, you name it, infowarstore.com.
[55:31.000 --> 55:51.000]  Because we're a rallying point. We are something that globalists hate because the spirit we have is the same spirit you have and they want to shut it down. And there's nothing I want more than to never bow to these people and never let them win.
[55:51.000 --> 56:01.000]  We played you earlier. We'll play at the first five minutes of the next hour before Drew Hernandez, a beautiful soul, joins us.
[56:01.000 --> 56:10.000]  Where the lawyers for the Democratic Party say, once we silence Jones, we'll silence all of the conservatives, all the populace, all the Christians.
[56:10.000 --> 56:21.000]  They said it in the fake trial where I was already found guilty by the blue haired crazy gentlelady. She actually wears like blue wigs, SJW.
[56:21.000 --> 56:37.000]  People say, man, how are you taking it? How's it going? I expect to be attacked by these people. I expect to be persecuted, but I expect, because I know who you are, that you're going to support yourself and your family and not let these bastards win.
[56:37.000 --> 56:50.000]  So I want you to go now to infowarstore.com. If you will simply buy the products that already enrich your life, it will empower us to not just fight back during this huge attack, but win during this attack.
[56:50.000 --> 57:08.000]  Infowarstore.com and then take the live feed of infowarstore.com. Support that local radio station or TV station picking us up and just say the rebellions now. This is the black sheep.
[57:08.000 --> 57:17.000]  This is the real outlaw. This is the rebel. This is what we support. And I want to thank all of the patriot, conservative and nationalist leaders.
[57:17.000 --> 57:25.000]  It lets me know there's a lot of good people from Tucker Carlson to Joe Rogan that have been backing us in this fight that realize they're next if we fall.
[57:25.000 --> 57:32.000]  So we are winning big time. And that's why our enemies are so panicked because they bet on the wrong horse. They bet on Satan.
[57:32.000 --> 57:49.000]  Infowarstore.com or triple eight two five three three one three nine. Please buy the products now. We'll be right back hour.
[58:02.000 --> 58:11.000]  Don't panic. Stay calm because now is the time that we must get our bearings and steer the ship onto a safe sound course.
[58:11.000 --> 58:23.000]  There is nothing stopping we the people from making our own rules and building our own society. All we got to do is survive the crash and right now we still have time to prepare.
[58:23.000 --> 58:36.000]  The world fiat currency system is racing towards zero. It's time to convert it into hard assets now, including food, water and survival gear to keep us strong and at the ready.
[58:36.000 --> 58:49.000]  Go to prepare today.com for the essentials, storable foods, water filtration, first aid, power and more at prepare today.com.
[58:49.000 --> 58:59.000]  The number one selling category in supplements worldwide is fat burners is weight loss formulas. And listen, there are hundreds of them out there that work.
[58:59.000 --> 59:16.000]  But most of them do it in a toxic way. Ladies and gentlemen, we went out and did deep research on the safest, healthiest ways to take your overall body's metabolic system and your metabolism and turn that clock back
[59:16.000 --> 59:28.000]  by turning up your metabolism. Ladies and gentlemen, Diet Force does it in a clean, healthy way. It's amazing. I've almost lost 40 pounds the last three months just using the samples of it.
[59:28.000 --> 59:35.000]  But now it's come into the Info War Store and is ready for sale to you and your family exclusively at infowarstore.com.
[59:35.000 --> 59:48.000]  Diet Force from X7 is supposed to be available at infowarstore.com for 40% off. I want you to experience Diet Force for yourself. I can't wait for the reviews. It's worked great for me.
[1:00:05.000 --> 1:00:22.000]  From the front lines of the information war, it's Alex Jones.
[1:00:46.000 --> 1:00:56.000]  For less than 20 minutes, Alex Jones questioned the official narrative of the Sandy Hook School shooting because for the so-called truth or community, that was the big story.
[1:00:56.000 --> 1:01:14.000]  And so he did his job and covered the story. Just like he's done for the other 1.8 million minutes of his career, Alex Jones has been questioning the official narrative of the corrupt mainstream media and exposing the authoritarian cabal hiding in the shadows for 28 years.
[1:01:14.000 --> 1:01:38.000]  And over time, this revival of truth has grown into millions worldwide. Alex Jones expanded his broadcast by selling a line of products focused on healing from the toxic world of a corrupt system, which has allowed Info Wars to remain a free public broadcast to combat the dangerous lies of the mainstream media.
[1:01:38.000 --> 1:01:53.000]  In 2018, with zero evidence of their wild claims, a George Soros-funded lawsuit was filed against Alex Jones and Info Wars. Four months later, big tech removes Info Wars from the internet.
[1:01:53.000 --> 1:02:15.000]  We were meant to be destroyed four years ago, but thanks to an awakened audience that cares about the truth, the Info Wars signal has only grown stronger. And now they are no longer hiding the fact that they are standing on the graves of dead children and using their grieving parents as a political weapon to silence all of alternative news media.
[1:02:15.000 --> 1:02:31.000]  I ask that with your verdict, you not only take Alex Jones' platform that he talks about away, I ask that you make certain he can't rebuild the platform. That's what matters.
[1:02:31.000 --> 1:02:59.000]  Take him out of this discourse, of this misinformation, of this peddling of lies, and make sure he can't do it again. Alex Jones is patient zero for our society's inability to speak without lies. He is patient zero for alternative facts.
[1:02:59.000 --> 1:03:08.000]  And according to Judge Gamble, acting like O'Brien straight out of George Orwell's 1984, the judge decides what is true.
[1:03:08.000 --> 1:03:29.000]  You may not say to this jury that you comply with stubbornness. That is not true. You may not say it again. You may not tell this jury that you are bankrupt. That is also not true. You're already under oath to tell the truth.
[1:03:29.000 --> 1:03:55.000]  You've already violated that oath twice today in just those two examples. It seems absurd to instruct you again that you must tell the truth while you testify. Yet here I am. You must tell the truth while you testify. This is not your show. Do you understand what I have said?
[1:03:55.000 --> 1:04:11.000]  Yes, I believe what I said was true. You believe everything you say is true, but it isn't. Your beliefs do not make something true. That is what we're doing here. Just because you claim to think something is true does not make it true.
[1:04:11.000 --> 1:04:25.000]  There's going to be a large set of plaintiffs who are going to be dividing up the corpse of Info Wars in the bankruptcy estate. The decision to terminate the Info Wars broadcast is not in the hands of this crooked cabal.
[1:04:25.000 --> 1:04:45.000]  It is and always has been the will of our audience that decide our fate. The Info Wars audience has mobilized and awakened the world to the threat that is globalism and with your continued support we will keep going. Join us now and support the Info War.
[1:04:45.000 --> 1:04:57.000]  You have the decision in your hands now. You spread the word, you pray, you buy products, you never surrender, we will win. If not, it's a fate worse than death.
[1:05:15.000 --> 1:05:38.000]  There are only 75 points left in the three-point series exclusively right now at 1776point.com. And for the final 75 people become founding members for this big project we're launching in the near future, you'll also get a personal signed piece of art I made of the Sheepdog chasing the wolf in a personal message.
[1:05:38.000 --> 1:05:59.000]  It's your last chance to get all three points at 1776point.com. This is history happening now. Info Wars thanks to your support is changing the world and this is the final 75 three-point set exclusively available at 1776point.com.
[1:06:08.000 --> 1:06:15.000]  For this information it's Alex Jones coming to you live from the front lines of the Info War.
[1:06:15.000 --> 1:06:41.000]  For Hernandez. Feeling like a woman.
[1:06:41.000 --> 1:07:05.000]  If you're a radio listener, the Pito armies are now literally parading children in public with men with giant fake breasts, children on stripper poles.
[1:07:05.000 --> 1:07:24.000]  I mean this is satanic as it gets. This is their religion and now they're censoring people across the board that expose it.
[1:07:24.000 --> 1:07:42.000]  This is an open window ticket asylum taking over. And I've got some breaking news for you here that just came out today. God help us.
[1:07:42.000 --> 1:07:54.000]  He was arrested. Counselor who organized drag queen showtime arrested for having sex with 15 year old student.
[1:07:54.000 --> 1:07:59.000]  Political correctness hampers crackdown on child sex grooming.
[1:07:59.000 --> 1:08:13.000]  Breaking YouTuber moves drew Hernandez anti-grooming videos for hate speech.
[1:08:13.000 --> 1:08:21.000]  Weiner says gay shouldn't avoid sex parties orges during monkey pox though they caused it.
[1:08:21.000 --> 1:08:36.000]  Thrust out STD clinic struggle to handle surge in monkey pox patients as the U.S. operate grows. Christian high school in Manhattan at a church hosted mandatory drag queen in place of church service.
[1:08:36.000 --> 1:08:42.000]  Trans activists pledges to send hormone drugs to youth across state lines.
[1:08:42.000 --> 1:08:49.000]  Quote gay couple charged with using adopted kids to make child porn.
[1:08:49.000 --> 1:08:56.000]  Victor or bond the president of Hungary says less drag queens more Chuck Norris.
[1:08:56.000 --> 1:09:00.000]  And it goes on.
[1:09:00.000 --> 1:09:02.000]  From there.
[1:09:02.000 --> 1:09:11.000]  James Lindsay blacklisted for Twitter for criticizing the left the grooming of children talked top academic.
[1:09:11.000 --> 1:09:20.000]  Meanwhile we have a video will play at the start of the next segment of the wife of John McCain saying they all knew Epstein was raping children but they covered it up.
[1:09:20.000 --> 1:09:22.000]  We'll show you that video.
[1:09:22.000 --> 1:09:27.000]  Drew Hernandez is an investigative reporter commentator and host of front lines.
[1:09:27.000 --> 1:09:35.000]  Andrew Hernandez live drew h live dot com and he's being censored for exposing this evil attack big tech is complicit.
[1:09:35.000 --> 1:09:39.000]  In every crime we can imagine drew Hernandez. Thanks for joining us.
[1:09:39.000 --> 1:09:46.000]  Alex thanks for having me man. Good to see you and shout out to the Info Wars family and Info Wars Army and the getter chat and worldwide.
[1:09:46.000 --> 1:09:55.000]  I mean here we are Alex you're no stranger to censorship. You're no stranger to exposing the petal file rings and the petal groups here in the United States and worldwide.
[1:09:55.000 --> 1:10:05.000]  But as of recently here with my own little Lane my own channel on the turning point USA channel YouTube decided to take down six episodes and three on my own personal channel.
[1:10:05.000 --> 1:10:17.000]  We're all specifically reporting on the majority of stories like the ones you just read off and the clips when I was at Pride LA literally exposing these drag freaks on floats offering loop to children.
[1:10:17.000 --> 1:10:28.000]  YouTube drew a line in the sand and they took down six episodes that were exposing the groomer agenda because they called it hate speech which everyone watching this is like yes Drew we know that's what YouTube does.
[1:10:28.000 --> 1:10:30.000]  They've drawn a line in the sand.
[1:10:30.000 --> 1:10:37.000]  What's interesting right now is we're going to continue to push back right now because we are going to continue our show on rumble as well.
[1:10:37.000 --> 1:10:46.000]  And by God's grace we're going to have our show airing every single night on real America's voice every single night on the app and everywhere you could watch it at 7 30 p.m. Pacific Standard Time.
[1:10:46.000 --> 1:10:47.000]  That's 10.
[1:10:47.000 --> 1:10:55.000]  By the way we're we apologize for having to show this for TV viewers but radio listeners are lucky not to see this but we have a response.
[1:10:55.000 --> 1:10:58.000]  This is happening to children. This is going on.
[1:10:58.000 --> 1:11:06.000]  Exactly Alex. I mean see this is this is what they do. This is why censorship is an obvious slippery slope because of free speech.
[1:11:06.000 --> 1:11:21.000]  But it also can damage the innocence of children because there are legitimate stories like the one you just cited in Arizona legitimate stories of children being raped by people who identify in the LGBTQ community actual groomers.
[1:11:21.000 --> 1:11:25.000]  Now you can't report on that on YouTube because that's hate speech.
[1:11:25.000 --> 1:11:28.000]  So who do you think takes advantage of that Alex you know the answer.
[1:11:28.000 --> 1:11:35.000]  Let's just say we know big tech big techs run by pedophiles the whole new order is so this is just incredible.
[1:11:35.000 --> 1:11:36.000]  Absolutely.
[1:11:36.000 --> 1:11:48.000]  But what happens here is anytime someone comes out and reports on a genuine story on YouTube big tech here on social media or whatever you actually call a groomer a groomer.
[1:11:48.000 --> 1:11:55.000]  That's offensive and we don't want to hurt the feelings of the gay people or anyone that might identify in the LGBTQ community.
[1:11:55.000 --> 1:11:57.000]  They're now hiding behind that.
[1:11:57.000 --> 1:12:06.000]  So now we have actual pedophiles and groomers that are getting a pass because now they could just hide behind the LGBTQ community and the rainbow flag Alex.
[1:12:06.000 --> 1:12:18.000]  So that's why this is the total depravity and they're going to censor anyone doesn't matter what you politically affiliate as whether you're left or right gay straight doesn't matter if you come out and call out groomers on YouTube.
[1:12:18.000 --> 1:12:23.000]  You're going to get silenced and canceled and censored and you're you're going to be the platform which is not anything new.
[1:12:23.000 --> 1:12:26.000]  But we're talking about the innocence of children.
[1:12:26.000 --> 1:12:32.000]  You cannot report on this on YouTube anymore because it would bring them down if it was shown they want to do it instead of their children.
[1:12:32.000 --> 1:12:36.000]  Again, every day they're busing the drag queen story time raping children.
[1:12:36.000 --> 1:12:39.000]  I've got stacks of articles showing us.
[1:12:39.000 --> 1:12:43.000]  And Alex, you and I have both talked about this and reported on this.
[1:12:43.000 --> 1:12:45.000]  They're open about it.
[1:12:45.000 --> 1:12:47.000]  They're not offended by being called out.
[1:12:47.000 --> 1:12:50.000]  They're not offended by oh you're slandering us for being groomers.
[1:12:50.000 --> 1:12:51.000]  No.
[1:12:51.000 --> 1:12:53.000]  Oh, it's not them about being offended.
[1:12:53.000 --> 1:12:55.000]  It's about them being.
[1:12:55.000 --> 1:12:58.000]  They go to city councils and say we're grooming your children.
[1:12:58.000 --> 1:13:08.000]  Disney Disney employees and producers are on record on zoom meetings literally saying we have a not so secret gay agenda.
[1:13:08.000 --> 1:13:15.000]  Targeting your kids through our content through our movies through the stuff that we create through our art.
[1:13:15.000 --> 1:13:18.000]  It's because again, no grown adult wants to have sex with them.
[1:13:18.000 --> 1:13:21.000]  These are literally organized predators.
[1:13:21.000 --> 1:13:22.000]  Absolutely.
[1:13:22.000 --> 1:13:29.000]  And they know they could get away with it because they just hide behind the rainbow flag because they've set themselves up as this protected class.
[1:13:29.000 --> 1:13:30.000]  Listen, I don't care.
[1:13:30.000 --> 1:13:32.000]  Gay, straight, trans, whatever.
[1:13:32.000 --> 1:13:34.000]  You go after children.
[1:13:34.000 --> 1:13:36.000]  I'm going to expose you.
[1:13:36.000 --> 1:13:38.000]  I don't care what if there's an R next to your name.
[1:13:38.000 --> 1:13:40.000]  If there's a D next to your name.
[1:13:40.000 --> 1:13:41.000]  I don't care if you are.
[1:13:41.000 --> 1:13:42.000]  That's right.
[1:13:42.000 --> 1:13:43.000]  They bit not more than they could chew.
[1:13:43.000 --> 1:13:46.000]  But pedophiles can't help but go after kids.
[1:13:46.000 --> 1:13:48.000]  So they're making their move right now through Hernandez.
[1:13:48.000 --> 1:13:50.000]  How do you see this unfolding?
[1:13:50.000 --> 1:13:53.000]  I mean, I think this is going to continue to get worse.
[1:13:53.000 --> 1:14:04.000]  I think we're going to see more innocence continue to get violated because now you can't come out and report if there's a genuine case of a child being groomed and raped.
[1:14:04.000 --> 1:14:09.000]  And if it happens by an LGBTQ identifying person, it's going to be censored.
[1:14:09.000 --> 1:14:11.000]  It's going to be shut up.
[1:14:11.000 --> 1:14:14.000]  This is what they did against Rhonda Santis in Florida.
[1:14:14.000 --> 1:14:17.000]  He implemented anti child grooming, lost to protect children.
[1:14:17.000 --> 1:14:22.000]  That's where it came from and they come out and they slander it as being an anti gay bill.
[1:14:22.000 --> 1:14:28.000]  They hide behind this Alex and now they're hiding their pedophilia behind the LGBTQ flag and the rainbow flag.
[1:14:28.000 --> 1:14:35.000]  I think this is going to get worse because now you're not able to call this out and especially what's happening with you and Sandy Hook as well.
[1:14:35.000 --> 1:14:36.000]  I mean, what's next?
[1:14:36.000 --> 1:14:43.000]  Are you going to get sued for legitimately reporting on a story of a child being groomed and raped by an LGBTQ person?
[1:14:43.000 --> 1:14:46.000]  I think the answer to that is possibly yes.
[1:14:46.000 --> 1:14:50.000]  The new precedent is being set by Alex Jones and this is for anybody in the media.
[1:14:50.000 --> 1:14:51.000]  Anybody.
[1:14:51.000 --> 1:14:53.000]  It doesn't matter if you're left or right.
[1:14:53.000 --> 1:14:58.000]  If you are targeted by this regime and you go out of line, you think out of line, you speak out of line.
[1:14:58.000 --> 1:15:00.000]  You are literally in the crosshairs.
[1:15:00.000 --> 1:15:02.000]  This is what people do not understand.
[1:15:02.000 --> 1:15:04.000]  Well, the left wants to abort all the kids.
[1:15:04.000 --> 1:15:06.000]  They can't kill after abortion.
[1:15:06.000 --> 1:15:08.000]  They try to ruin with this.
[1:15:08.000 --> 1:15:11.000]  I mean, this is literally a cult.
[1:15:11.000 --> 1:15:12.000]  It's a death cult.
[1:15:12.000 --> 1:15:13.000]  It's a sex cult.
[1:15:13.000 --> 1:15:15.000]  It's a disgusting perverted cult.
[1:15:15.000 --> 1:15:20.000]  They're obviously targeting children in many ways and they're not going to stop and they're open about it.
[1:15:20.000 --> 1:15:24.000]  And they just want to silence anybody because they want people to think that it's normal.
[1:15:24.000 --> 1:15:26.000]  This is Sodom and Gomorrah level type stuff, Alex.
[1:15:26.000 --> 1:15:28.000]  And I'm not going to put up with it.
[1:15:28.000 --> 1:15:29.000]  You're not going to put up with it.
[1:15:29.000 --> 1:15:32.000]  The chat and the followers and the listeners are not going to put up with it.
[1:15:32.000 --> 1:15:34.000]  I don't care what you identify as politically.
[1:15:34.000 --> 1:15:37.000]  Do not let anyone target the innocence of children.
[1:15:37.000 --> 1:15:38.000]  Well, that's right.
[1:15:38.000 --> 1:15:41.000]  They're censoring gays against groomers right now.
[1:15:41.000 --> 1:15:43.000]  So it seems like everything's accelerating.
