[00:00:08.604 --> 00:00:10.707]  It's Sunday, September 25th.
[00:30:46.621 --> 00:30:52.567]  So again, the left is having fun right now with all the censorship and tyranny, pretending like they're part of the power structure.
[00:30:52.567 --> 00:30:54.630]  But they're all going to be targeted by this nightmare as well.
[00:30:54.630 --> 00:31:01.117]  We need to get back to basic human rights and promote them, or all of us will be enslaved by this horrible technocracy run by the globalists.
[00:31:02.233 --> 00:31:13.981]  So when I first started taking Survival Shield, basically I was 275 pounds, I was overweight, I had brain fog like you wouldn't believe, I was barely holding on to a job, and I heard Dr. Grip on your show and I listened to it.
[00:31:13.981 --> 00:31:17.163]  So the first one I got was the original Survival Shield, the X1, and it worked
[00:31:17.944 --> 00:31:18.504]  Pretty good.
[00:31:18.504 --> 00:31:20.566]  And then, shortly thereafter, you came out with X2.
[00:31:20.566 --> 00:31:24.569]  You have, you know, with a deep root source, you know, and I got really excited about that, so I took it.
[00:31:24.569 --> 00:31:31.275]  And man, in two weeks, I went from brain fog to, like, literally, like, my brain was enlightened, you know?
[00:31:31.275 --> 00:31:32.316]  I could think again.
[00:31:32.316 --> 00:31:34.157]  I could connect with people again.
[00:31:34.157 --> 00:31:40.522]  And over the course of the next couple of years, I got my health back, and I religiously take basically all of your supplements.
[00:31:40.522 --> 00:31:42.904]  They're all absolutely amazing supplements.
[00:31:42.904 --> 00:31:44.806]  The one I like recently is Knockout.
[00:31:44.806 --> 00:31:47.047]  It'll literally, like, if you want to sleep, just take it.
[00:31:47.047 --> 00:31:47.588]  It's amazing.
[00:31:47.748 --> 00:31:48.268]  It works.
[00:31:48.268 --> 00:31:50.830]  But anyway, so the point is, we have to get ourselves clean.
[00:31:50.830 --> 00:31:53.331]  We have to break free of the globalist system.
[00:31:53.331 --> 00:31:57.014]  And the only way to do that is to take our own health into our own hands.
[00:31:57.014 --> 00:31:58.294]  Beautifully said, brother.
[00:31:58.294 --> 00:32:00.236]  I thank you so much for your call, and Godspeed.
[00:32:02.028 --> 00:32:04.189]  I'll tell you what's life and death.
[00:32:04.189 --> 00:32:11.091]  If you don't have freedom of speech, if you don't have the right to be able to communicate, then you don't have a future.
[00:32:11.091 --> 00:32:16.913]  Always when governments take away speech, they then enslave the population, and then they finally start exterminating the population.
[00:32:16.913 --> 00:32:22.075]  And America, the entire world, is going down the tubes because the UN Global's directed Great Reset.
[00:32:22.515 --> 00:32:26.858]  That's why it's more important than ever that InfoWars stay on the air and that all of us stay healthy.
[00:32:26.858 --> 00:32:34.883]  That's why I'm offering a bunch of our best-selling products at 50% off for a limited time, only until the end of the month of September.
[00:32:34.883 --> 00:32:38.806]  That's only about 12-13 days as of the time we're taping this.
[00:32:38.806 --> 00:32:41.047]  And that means all these amazing products.
[00:32:41.047 --> 00:32:44.389]  We have Ultra 12, highest quality B12, taken out of the tongue.
[00:32:44.389 --> 00:32:48.312]  We have Winter Sun, highest quality organic vitamin D3, taken out of the tongue.
[00:32:48.312 --> 00:32:48.892]  Amazing.
[00:32:48.892 --> 00:32:50.133]  We've got Knock Out the Sleep Aid.
[00:32:50.133 --> 00:32:51.194]  We've got Hair and Beard Formula.
[00:32:51.394 --> 00:32:52.595]  You're listening to the Alex Jones Show!
[00:33:15.606 --> 00:33:17.308]  Big Brother.
[00:33:17.308 --> 00:33:19.631]  Mainstream media.
[00:33:19.631 --> 00:33:21.434]  Government cover-ups.
[00:33:21.434 --> 00:33:23.517]  You want to stop tyranny?
[00:33:23.517 --> 00:33:25.659]  Well, so does he.
[00:33:25.659 --> 00:33:30.366]  Live from the InfoWars.com studios, it's Alex Jones.
[00:33:32.745 --> 00:33:49.591]  All right it is 7 30 a.m in the morning in Sydney Australia one of the locked down areas there in southern Australia and Ricardo Bossi is the real deal he was a commander nationally of the SAS during the whole Kuwait operations and he is a
[00:33:50.071 --> 00:33:53.314]  He's a well-known corporate advisor and leader in Australia.
[00:33:53.314 --> 00:33:54.775]  I'm not going to go over it all.
[00:33:54.775 --> 00:33:59.258]  But he heads up Australia One Party, AustraliaOneParty.com.
[00:33:59.258 --> 00:34:06.344]  And I was already familiar with who he was because I follow world politics all over the planet, but especially, quote, Western-style countries.
[00:34:06.344 --> 00:34:08.686]  And I've certainly wanted to visit Australia before.
[00:34:08.686 --> 00:34:09.967]  I have a lot of listeners there.
[00:34:09.967 --> 00:34:17.112]  But then I saw a very powerful video that we put out last week with added pieces of news and video clips.
[00:34:18.081 --> 00:34:18.381]  All right.
[00:34:35.291 --> 00:34:37.132]  Australia is where we're going to be.
[00:34:37.132 --> 00:34:38.893]  It's where Canada already is partially.
[00:34:38.893 --> 00:34:40.273]  It's where Europe is.
[00:34:40.273 --> 00:34:42.034]  And I have Klaus Schwab's own documents.
[00:34:42.034 --> 00:34:46.856]  I have Bill Gates' own documents where they admit this is their planetary takeover.
[00:34:46.856 --> 00:34:49.177]  But Ricardo Bossi with his whole...
[00:34:50.828 --> 00:35:04.154]  Special Forces background and global connections has really great gravitas to speak to this, and specifically with the terrible things the Australian police are doing, now backed up by the military.
[00:35:04.154 --> 00:35:09.237]  This is basically a once-free, beautiful nation turning into North Korea, in my view.
[00:35:09.237 --> 00:35:11.158]  And again, it's the same global forces doing it.
[00:35:11.158 --> 00:35:12.779]  So thank you for joining us, Ricardo.
[00:35:12.779 --> 00:35:14.279]  It's great to have you here.
[00:35:14.279 --> 00:35:17.541]  And please give us the latest of what's happening to the land down under.
[00:35:19.471 --> 00:35:20.051]  Hi, Alex.
[00:35:20.051 --> 00:35:22.673]  Thank you very much for your kind invitation.
[00:35:22.673 --> 00:35:29.316]  And before we kick off, let me just thank you for your fearless and heroic pursuit of the truth.
[00:35:29.316 --> 00:35:31.617]  It's been nearly three decades for you.
[00:35:31.617 --> 00:35:33.498]  So this has been a long haul.
[00:35:33.498 --> 00:35:34.439]  So thank you so much.
[00:35:34.439 --> 00:35:36.339]  So what's happening down, down under?
[00:35:36.339 --> 00:35:44.764]  What you're witnessing is the rebirth of a moral, sovereign and self-reliant nation.
[00:35:44.764 --> 00:35:46.685]  We've got to focus on this the right way.
[00:35:46.685 --> 00:35:48.366]  We know exactly what's going on.
[00:35:48.366 --> 00:35:49.146]  Look, as a soldier,
[00:35:50.367 --> 00:35:52.909]  I always ask people a simple question.
[00:35:52.909 --> 00:35:59.715]  Is the history of mankind, the history of peace, punctuated by war or is it the history of war punctuated by peace?
[00:35:59.715 --> 00:36:06.260]  And depending on how you answer that question will reveal to you your view and knowledge of history.
[00:36:06.260 --> 00:36:15.628]  Now, I'm a soldier so I know that the history of mankind is constant war punctuated by periods of peace because the right people step up and do the right thing.
[00:36:15.628 --> 00:36:18.671]  So please understand what you are witnessing, what the world is witnessing
[00:36:19.446 --> 00:36:23.587]  Is the rebirth of a moral, sovereign and self-reliant nation.
[00:36:23.587 --> 00:36:24.467]  It's as simple as that.
[00:36:24.467 --> 00:36:25.488]  Now it's hurt.
[00:36:25.488 --> 00:36:26.968]  It's going to hurt.
[00:36:26.968 --> 00:36:28.508]  There's going to be some pain.
[00:36:28.508 --> 00:36:31.949]  But if we see this the right way, we'll see exactly what the opportunity is.
[00:36:31.949 --> 00:36:35.750]  The moment we get fearful, the moment we think we're going to lose, we lose.
[00:36:35.750 --> 00:36:37.371]  The moment we know we're going to win, we win.
[00:36:37.371 --> 00:36:40.012]  Because that's what happens in a fight.
[00:36:40.012 --> 00:36:42.792]  There's two boxes going at it.
[00:36:42.792 --> 00:36:44.913]  And the one that decides it's going to lose, does.
[00:36:45.854 --> 00:36:46.795]  Well, we're not doing that.
[00:36:46.795 --> 00:36:48.076]  We know exactly what we're doing.
[00:36:48.076 --> 00:36:48.716]  We have a plan.
[00:36:48.716 --> 00:36:49.577]  We're working the plan.
[00:36:49.577 --> 00:36:51.538]  We're being very careful about it.
[00:36:51.538 --> 00:37:06.469]  But the way I described it in that piece was non-violent, non-cooperation, the moral victory that we need to have in Australia and show the rest of the world what can and must be done.
[00:37:06.469 --> 00:37:08.530]  And so there's a short intro.
[00:37:08.530 --> 00:37:12.533]  This is a war without doubt, but it is the rebirth of our nation.
[00:37:13.490 --> 00:37:14.891]  Well, you're right, it's the rebirth.
[00:37:14.891 --> 00:37:16.772]  I totally agree with you, because the globalists say that.
[00:37:16.772 --> 00:37:28.119]  They say Bolsonaro, the awakening in Europe, in the US, in the UK, and Brexit, and Australia demanding its liberty, and nationalist and patriot parties gaining more and more support.
[00:37:28.119 --> 00:37:36.804]  This whole worldwide lockdown, Operation Lockstep by the Rockefeller Foundation and the UN, in their own admission, is to counter the populist uprising they see happening.
[00:37:37.484 --> 00:37:42.770]  And so we have to see this as an opportunity and as the old corrupt system in crisis.
[00:37:42.770 --> 00:37:43.451]  I agree with you.
[00:37:43.451 --> 00:37:47.916]  So I get up here and list all these terrible, scary things and some of the people think I'm trying to scare folks.
[00:37:47.916 --> 00:37:53.983]  No, I believe that once people are faced by the evil, they'll want to stand up and do something about it.
[00:37:53.983 --> 00:37:54.724]  And that's exactly it.
[00:37:54.724 --> 00:37:57.968]  And this is where the globalists have misread the Australian people because
[00:37:58.621 --> 00:38:03.242]  They think the Anglophone world is this amorphous mass that responds identically, and we don't.
[00:38:03.242 --> 00:38:04.782]  We're very, very different.
[00:38:04.782 --> 00:38:10.303]  And what they see as complacency in the Australian people is actually just a resilience.
[00:38:10.303 --> 00:38:15.464]  This is a hard country, and you've got to be hard to take it, and you can't afford to jump at every shadow.
[00:38:15.464 --> 00:38:21.645]  And so they see this complacency as, they see our lack of movement as complacency.
[00:38:21.645 --> 00:38:22.085]  It's not.
[00:38:22.085 --> 00:38:23.345]  It's just resilience.
[00:38:23.345 --> 00:38:25.226]  We are slow to anger as a people.
[00:38:25.226 --> 00:38:26.566]  We are very slow to anger.
[00:38:27.550 --> 00:38:30.192]  We're very tolerant people.
[00:38:30.192 --> 00:38:34.414]  But I can tell you, when an Australian gets their blood up, it'll start.
[00:38:34.414 --> 00:38:36.275]  And we're beginning to see it now.
[00:38:36.275 --> 00:38:39.377]  Now the key point here is, we have to win this for ourselves.
[00:38:39.377 --> 00:38:42.378]  We can't outsource this any further.
[00:38:42.378 --> 00:38:48.702]  And just like, and the analogy I use when I'm talking to my people is, it's similar to D-Day.
[00:38:48.702 --> 00:38:50.963]  We have to take Normandy.
[00:38:50.963 --> 00:38:54.105]  Now, the day we land on Normandy, we're going to need a lot of troops.
[00:38:54.944 --> 00:38:57.745]  I don't care how good your six people are.
[00:38:57.745 --> 00:39:00.967]  You can't take Normandy beaches with six people.
[00:39:00.967 --> 00:39:02.147]  You need big numbers.
[00:39:02.147 --> 00:39:05.428]  And the analogy I use is, if a thousand turn up, we have a problem.
[00:39:05.428 --> 00:39:07.409]  If ten thousand turn up, the police have a problem.
[00:39:07.409 --> 00:39:10.250]  If a hundred thousand turn up, then the politicians have got a problem.
[00:39:10.250 --> 00:39:11.651]  If a million turn up, we win.
[00:39:11.651 --> 00:39:15.153]  Because there are not enough police, there are not enough prisons to lock us up.
[00:39:15.153 --> 00:39:17.073]  So we've got to take Normandy beach.
[00:39:17.073 --> 00:39:20.855]  Now, having taken the beach doesn't mean that we're going to be in Berlin by next week.
[00:39:21.718 --> 00:39:29.305]  This has been an exquisitely designed and executed strategy over decades, decades and decades and decades, and we have evidence of that.
[00:39:29.305 --> 00:39:33.368]  Just like you have evidence, we'd like our evidence too.
[00:39:33.368 --> 00:39:45.739]  There's a document from 1980 from the Australian Senate, a Senate inquiry into the implications for Australia of the new international economic order, and the book is quite clear.
[00:39:45.739 --> 00:39:46.879]  The report they wrote, February 1980,
[00:39:48.109 --> 00:39:54.615]  That we are fully engaged, the Australian nation apparently is fully engaged, and they're going to use every tool at their disposal.
[00:39:54.615 --> 00:40:03.663]  Personalities, the news media, the unions, everybody has to promote this new international economic order, which as you know, which was just one of the steps down the path.
[00:40:03.663 --> 00:40:13.993]  And so this very delicately, very exquisitely designed and executed strategy has penetrated every aspect and every arm of the government.
[00:40:14.838 --> 00:40:17.219]  And so it's going to take us time to get through this.
[00:40:17.219 --> 00:40:21.101]  But once we get on that beach at Normandy, that's the toehold.
[00:40:21.101 --> 00:40:22.821]  Once we get there, we start moving across.
[00:40:22.821 --> 00:40:24.362]  And the people are learning that.
[00:40:24.362 --> 00:40:32.386]  And to quote a famous American, Oliver Wendell Holmes, their hearts are being touched with fire.
[00:40:32.386 --> 00:40:37.288]  For the first time, the Australian people have to fight for their country on their land.
[00:40:37.288 --> 00:40:38.908]  Now, that's common around the world.
[00:40:38.908 --> 00:40:39.529]  It really is.
[00:40:39.529 --> 00:40:40.749]  But for us, no.
[00:40:40.749 --> 00:40:42.790]  We've been, we're very fortunate.
[00:40:43.556 --> 00:40:49.581]  Now, the upside of having a good, quiet life is it doesn't make for the toughest of people, but they are learning fast.
[00:40:49.581 --> 00:40:56.387]  And that fire that's touching their Australian hearts, the rest of the world can see what we are doing.
[00:40:56.387 --> 00:41:01.771]  And we will win this peaceably, and we must.
[00:41:01.771 --> 00:41:10.358]  Because if we had the arms which were taken from us, courtesy of one of our Prime Ministers after what has been called a false flag operation at Port Arthur,
[00:41:11.756 --> 00:41:18.699]  The damage it would do to us as a nation to take up arms against each other is something we don't necessarily want.
[00:41:18.699 --> 00:41:25.283]  So we want to do this peaceably, and we want to do this morally, because that will allow us to win the peace that follows.
[00:41:25.283 --> 00:41:27.464]  And this is just as critical to winning this war.
[00:41:27.464 --> 00:41:30.125]  Now we're going to win this war, of that I have no doubt.
[00:41:30.125 --> 00:41:33.467]  We have the numbers, we have the strategy, we have the plan, we have the people.
[00:41:33.467 --> 00:41:37.569]  We can win this, because they cannot win without our consent.
[00:41:37.569 --> 00:41:39.069]  And we're waking up.
[00:41:39.069 --> 00:41:40.150]  But once the war is won,
[00:41:41.041 --> 00:41:45.722]  We need to immediately transition into rebuilding and reforming this nation.
[00:41:45.722 --> 00:41:47.183]  And Australia has already got that plan.
[00:41:47.183 --> 00:41:47.823]  We're working on it.
[00:41:47.823 --> 00:41:49.444]  We've been working on it for some time.
[00:41:49.444 --> 00:41:54.385]  So this seamless transition from water peace is what we're working on.
[00:41:54.385 --> 00:41:57.526]  So it's going to be a great example for the rest of the world to follow.
[00:41:57.526 --> 00:41:59.947]  Because as you say, I think you're right.
[00:41:59.947 --> 00:42:01.347]  We are the test case.
[00:42:01.347 --> 00:42:03.328]  But the globalists have misread us badly.
[00:42:04.488 --> 00:42:13.933]  You know, for an intelligent and well-designed plan, these buffoons, these imbeciles, these moral crittens have misread their adversary badly.
[00:42:13.933 --> 00:42:16.054]  They should read a bit of Sun Tzu, I think.
[00:42:16.054 --> 00:42:19.535]  But they've misread Australia and they've misread the world and they will lose.
[00:42:19.535 --> 00:42:20.396]  It's only a matter of time.
[00:42:21.223 --> 00:42:30.914]  When we come back, Ricardo Bossi, AustralianOneParty.com, is going to continue to lay out what's really happening in Australia, and again, the rest of the world, because this is a test.
[00:42:30.914 --> 00:42:32.335]  The UN admits it.
[00:42:32.335 --> 00:42:34.097]  It's in all their statements.
[00:42:34.097 --> 00:42:37.361]  So is Europe, so is the UK, so is Canada.
[00:42:37.361 --> 00:42:38.822]  And you're now seeing this come here.
[00:42:38.822 --> 00:42:40.964]  So we're going to talk about the fact that this is globalist.
[00:42:41.525 --> 00:42:48.371]  And if the people of Australia or America or anywhere else understand this is an outside foreign takeover, they will unify against it.
[00:42:48.371 --> 00:42:54.015]  But when it gets to like puppets like Biden or their Prime Minister there, you have to understand they're just front people.
[00:42:54.015 --> 00:42:58.599]  We must unify and understand the lockdowns are directed by Klaus Schwab and Bill Gates.
[00:42:58.599 --> 00:42:59.300]  They are the enemy.
[00:43:01.980 --> 00:43:06.581]  You want to have a double-blind, randomized placebo testing.
[00:43:06.581 --> 00:43:20.965]  What that means is you give 20,000 people the vaccine when it comes to phase 2, phase 3 trials, and you give 20,000 people a placebo, and then you really look at health outcomes for a long period of time, not four weeks.
[00:43:22.436 --> 00:43:26.662]  A lot of these injuries, the autoimmune injuries, you're not going to see in four weeks.
[00:43:26.662 --> 00:43:29.606]  The cancer, you're not going to see in four weeks.
[00:43:29.606 --> 00:43:36.175]  And many of the neurological injuries, you won't see for four weeks, if the experience with other vaccines is instructive.
[00:43:37.456 --> 00:43:46.639]  You look at the other vaccines that are currently in the schedule, and there's about 400 injuries, illnesses, chronic illnesses that are listed.
[00:43:46.639 --> 00:43:47.839]  Robert Kennedy Jr.
[00:43:47.839 --> 00:43:55.782]  is just one of more than 40 powerful voices in the film Covidland, exclusively available at covidland.com.
[00:43:55.782 --> 00:43:59.803]  When you order it now, you get a free copy of Endgame, Blueprint for Global Enslavement.
[00:44:01.718 --> 00:44:07.920]  Finally, vitamin D3 and vitamin K, that are both essential, are getting the respect and the attention they deserve.
[00:44:07.920 --> 00:44:11.021]  We've got a great product, it's been out for six years, Winter Sun.
[00:44:11.021 --> 00:44:17.623]  Long before the big crisis came along, we were there saying, this is high quality, this will make you healthy, this will be better for you and your family.
[00:44:17.623 --> 00:44:22.565]  But, what else doesn't get attention and needs to be looked at, is vitamin B12.
[00:44:22.565 --> 00:44:26.486]  It is just as essential, it is just as important, and it is amazing.
[00:44:26.486 --> 00:44:29.687]  And it's not just about your immune system, it's about every part of your body.
[00:44:30.547 --> 00:44:30.867]  I think?
[00:45:00.549 --> 00:45:00.670]  25% off.
[00:45:02.196 --> 00:45:07.498]  I'm up here working on a Thursday night in mid-April 2021, and I just want to say something.
[00:45:07.498 --> 00:45:12.359]  I am so blessed and honored to work with this incredible crew that has come together over the years.
[00:45:12.359 --> 00:45:17.221]  It is truly an answer to prayer, and I am so blessed and thankful for all of you, the listeners of this show.
[00:45:17.221 --> 00:45:20.121]  I want you to know that I love you, and I appreciate you.
[00:45:20.121 --> 00:45:23.502]  Whether you are old, whether you are Hispanic, white, black, it doesn't matter.
[00:45:23.502 --> 00:45:24.683]  You got red blood.
[00:45:24.683 --> 00:45:31.605]  And if you love freedom and justice, and if you love our innocent children, we are brothers and sisters together, and it has just been
[00:45:32.225 --> 00:45:35.146]  An incredible experience to work with you over the years.
[00:45:35.146 --> 00:45:39.007]  And as crazy as things are, I want to keep working into the future.
[00:45:39.007 --> 00:45:41.907]  But again, that's really up to you and up to God.
[00:45:41.907 --> 00:45:47.529]  So please, I hope God works through you and puts a message in your heart to support us.
[00:45:47.529 --> 00:45:49.429]  Again, that's up to you and your relationship with God.
[00:45:49.429 --> 00:45:53.830]  I just want to thank you all for the years of support you've given us and what you've done.
[00:45:53.830 --> 00:45:57.951]  And just ask you again to pray to God and ask what God's vision is for you.
[00:45:57.951 --> 00:46:00.912]  And hopefully God will touch your heart to continue to support InfoWars.
[00:46:00.912 --> 00:46:01.272]  God bless.
[00:46:02.108 --> 00:46:04.650]  We're already halfway through September 2021.
[00:46:04.650 --> 00:46:07.452]  It's just incredible.
[00:46:07.452 --> 00:46:12.415]  And now the world is waking up that InfoWars was the tip of the spear and was dead on.
[00:46:12.415 --> 00:46:14.816]  That's why it's more important than ever to keep us on air.
[00:46:14.816 --> 00:46:30.447]  And I thank you all for your support, your prayers, and your word of mouth that is key to circumvent and override the censors and get great products at InfoWarsStore.com at the same time that are 50% off that make you healthier, wiser, and overall a stronger immune system.
[00:46:30.447 --> 00:46:30.907]  We have
[00:46:31.187 --> 00:46:32.529]  Winter sun, 50% off.
[00:46:32.529 --> 00:46:34.051]  Vitamin D3, back in stock.
[00:46:34.051 --> 00:46:36.074]  We have Ultra 12, high quality Vitamin B12.
[00:46:36.074 --> 00:46:37.415]  Taking it out of the tongue again.
[00:46:37.415 --> 00:46:38.557]  Back in stock, 50% off.
[00:46:38.557 --> 00:46:41.581]  We have our incredibly strong turmeric extract concentrate.
[00:46:41.581 --> 00:46:42.963]  Back in stock, 50% off.
[00:46:42.963 --> 00:46:43.984]  We have our great Sleep Aid.
[00:46:44.963 --> 00:46:48.727]  Knock out, back in stock, InfoWarStore.com and the hair and beard formula for men.
[00:46:48.727 --> 00:46:49.648]  It's also great for women.
[00:46:49.648 --> 00:46:50.749]  It's really a multivitamin.
[00:46:50.749 --> 00:46:55.314]  Back in stock, all 50% off at InfoWarStore.com.
[00:46:55.314 --> 00:46:57.155]  We can't stay on air without you.
[00:46:57.155 --> 00:46:58.537]  Please continue to support us.
[00:46:58.537 --> 00:47:00.038]  I want to thank you from the bottom of my heart.
[00:47:00.038 --> 00:47:00.959]  Plus, these are great products.
[00:47:00.959 --> 00:47:05.524]  Please take action.
[00:47:05.524 --> 00:47:08.187]  You're listening to the Alex Jones Show.
[00:47:25.531 --> 00:47:27.311]  A lot of people say, where's the military?
[00:47:27.311 --> 00:47:28.072]  Where's the veterans?
[00:47:28.072 --> 00:47:28.972]  Where's the generals?
[00:47:28.972 --> 00:47:33.073]  Well, look at Bolsonaro, taking his country back and saying we're under globalist attack.
[00:47:33.073 --> 00:47:34.214]  They control Big Pharma.
[00:47:34.214 --> 00:47:35.194]  They're trying to enslave us.
[00:47:36.308 --> 00:47:37.409]  That's really what's happening.
[00:47:37.409 --> 00:47:39.510]  Trump did that to a certain extent.
[00:47:39.510 --> 00:47:43.333]  Boris Johnson acted like he was a patriot, but turned out to be a double agent.
[00:47:43.333 --> 00:47:44.554]  Maybe they had too much dirt on him.
[00:47:44.554 --> 00:47:47.195]  But Ricardo Bossi is a great leader over in Australia.
[00:47:47.195 --> 00:47:48.676]  He's not the man they fear.
[00:47:48.676 --> 00:47:57.983]  He's an author, speaker, consultant, and former Australian Army Special Forces Lieutenant Colonel, having successfully been selected for the Australian Special Air Services Regiment.
[00:47:58.303 --> 00:48:07.633]  Ricardo went to be appointed national commander Australian SAS forces in Kuwait as well as the director of future capability development in headquarters special operations amongst others.
[00:48:07.633 --> 00:48:18.405]  So just like General Flynn here fighting back as well because he sees a threat as well as consulting and it goes on from there all the things advising the military the Australian government so he's in a perfect position to say to the police and military
[00:48:18.945 --> 00:48:19.786]  What are you doing?
[00:48:19.786 --> 00:48:25.871]  But notice it's leftist controlled cities that are showing the example for the rest of Australia, and then the example of the world.
[00:48:25.871 --> 00:48:31.056]  Just like leftist cities have done some similar things here, but the rebellion was so great they had to back off.
[00:48:31.056 --> 00:48:33.238]  So, laying this out, I want to explain to everybody.
[00:48:34.358 --> 00:48:38.139]  Australia is tomorrow's tyranny today.
[00:48:38.139 --> 00:48:40.459]  This is an exact blueprint, as we've already laid out.
[00:48:40.459 --> 00:48:42.820]  That's why their fight is our fight.
[00:48:42.820 --> 00:48:45.360]  So this isn't like, oh, we just care about Australia.
[00:48:45.360 --> 00:48:47.781]  No, I care about my family and the country and the whole world.
[00:48:47.781 --> 00:48:51.681]  And we defeat the globalists in one Western country, we'll defeat them everywhere.
[00:48:51.681 --> 00:48:55.082]  Or if Australia falls like dominoes, we will fall.
[00:48:55.082 --> 00:48:58.763]  So, Colonel, please continue laying this out for people.
[00:48:58.763 --> 00:48:59.003]  Sure.
[00:49:00.470 --> 00:49:07.056]  Just before you left the last segment, you mentioned about the leadership of the Western world being puppets, and you're exactly right.
[00:49:07.056 --> 00:49:16.264]  And it is a little frustrating hearing people say, Biden said this and Morrison did that and Dan Andrews, who's our Victorian Premier, which is like your state governor.
[00:49:16.264 --> 00:49:16.785]  These people
[00:49:17.637 --> 00:49:18.958]  Couldn't find a beer in a brewery.
[00:49:18.958 --> 00:49:20.978]  I mean they're so grossly incompetent.
[00:49:20.978 --> 00:49:21.719]  Exactly.
[00:49:21.719 --> 00:49:30.082]  And so even the language that people use when the mainstream media and even the critics of the leadership use their names.
[00:49:30.082 --> 00:49:31.062]  It's not them.
[00:49:31.062 --> 00:49:31.823]  They are puppets.
[00:49:31.823 --> 00:49:33.163]  We know they're puppets.
[00:49:33.163 --> 00:49:34.203]  They're imbeciles.
[00:49:34.203 --> 00:49:39.185]  It's the party machine and behind the party machine you've got the backers and behind the backers you've got the real power brokers.
[00:49:39.185 --> 00:49:41.026]  And as you know there are several layers.
[00:49:41.026 --> 00:49:45.688]  So we've got to really build a cat here and understand that these fools aren't running the show.
[00:49:46.611 --> 00:49:53.856]  And the way I put it to our people, because what they are doing to us in a real sense, is they want to foment a rebellion.
[00:49:53.856 --> 00:49:55.678]  And they're very good at this.
[00:49:55.678 --> 00:49:59.260]  They want us to react in a violent way.
[00:49:59.260 --> 00:50:00.641]  That's exactly what they're after.
[00:50:00.641 --> 00:50:03.623]  That'll give them the excuse to get even more violent.
[00:50:03.623 --> 00:50:08.767]  Now, in analysing an enemy's actions, you try to see some underlying logic.
[00:50:08.767 --> 00:50:10.828]  And there is one, but it's not obvious to them.
[00:50:10.828 --> 00:50:13.310]  Because people keep saying to me, why are the police so rough?
[00:50:13.310 --> 00:50:14.951]  Why are they bashing up
[00:50:16.946 --> 00:50:17.907]  Women on the street.
[00:50:17.907 --> 00:50:21.830]  Why are they spraying old ladies in the street?
[00:50:21.830 --> 00:50:23.472]  They want the response.
[00:50:23.472 --> 00:50:27.055]  The globalists want us to push back in a violent way.
[00:50:27.055 --> 00:50:31.939]  Once that happens, they will come down even harder.
[00:50:31.939 --> 00:50:38.044]  It is as clear as day and that's why our whole response must be predicated on non-violent non-cooperation.
[00:50:38.044 --> 00:50:39.225]  Because we can bring them to a halt.
[00:50:40.104 --> 00:50:42.865]  24 million people, and let's say there's a million crooks in the place.
[00:50:42.865 --> 00:50:50.548]  That leaves 24 million of us, which is less than a tenth of the United States population, but about the same area.
[00:50:50.548 --> 00:51:00.031]  If we just stood and said no, we just refused to play the game, we'll still be law-abiding citizens, we'll still do what we've got to do, but we just won't play the game anymore.
[00:51:00.031 --> 00:51:01.692]  There's not enough police to help.
[00:51:01.692 --> 00:51:06.174]  Now the other good part is the police are cracking, and so are the doctors and so are the lawyers.
[00:51:06.174 --> 00:51:07.354]  The wedge has started.
[00:51:08.303 --> 00:51:10.664]  And so once again the globalists have missed out.
[00:51:10.664 --> 00:51:16.005]  They're trying to foment this rebellion and so subtle is their plan.
[00:51:16.005 --> 00:51:22.526]  For example, the idea of a corporate entity which is Australia and a corporate entity which is the Queen of Australia.
[00:51:22.526 --> 00:51:23.586]  There is some truth to that.
[00:51:23.586 --> 00:51:29.608]  There's also a lot of misinformation because they're trying to G up all sorts of different responses to it.
[00:51:29.608 --> 00:51:35.449]  And so what we try to do is we try to stay above the nonsense detail and just focus on what's got to be done.
[00:51:36.218 --> 00:51:36.498]  And what's
[00:51:52.608 --> 00:51:55.951]  With peaceful Australians saying, no consent, no consent.
[00:51:55.951 --> 00:51:58.192]  And Mr. Bossie, let's explain how this works.
[00:51:58.192 --> 00:52:00.274]  For people that don't know, you're historically totally right.
[00:52:00.274 --> 00:52:07.659]  Because we put your video out, it got 600,000 views on our site, 500,000 views, and millions around the web once we amplified it.
[00:52:07.659 --> 00:52:09.360]  It was already popular in Australia.
[00:52:09.360 --> 00:52:11.342]  And fools saw it and said one of two things.
[00:52:11.342 --> 00:52:13.403]  Yeah, he's right, let's start killing.
[00:52:13.403 --> 00:52:16.846]  Or they said, oh look, he's like you, he's trying to get people to be violent.
[00:52:16.846 --> 00:52:17.967]  No, you were very clear.
[00:52:17.967 --> 00:52:20.529]  You said no consent, no consent, no consent.
[00:52:20.529 --> 00:52:21.469]  Mahatma Gandhi,
[00:52:22.370 --> 00:52:23.791]  Martin Luther King Jr.
[00:52:23.791 --> 00:52:25.772]  topping Jesus Christ.
[00:52:25.772 --> 00:52:27.773]  That is what we're talking about.
[00:52:27.773 --> 00:52:37.098]  And then when they crack the heads, it hurts them not getting a physical war going, which destabilizes and collapses the country for several years.
[00:52:37.098 --> 00:52:41.120]  Then they come in as the savior, overthrow the government, and the globalists put in their new government.
[00:52:41.120 --> 00:52:43.381]  Klaus Schwab has written books on this.
[00:52:43.381 --> 00:52:44.342]  The UN talks about it.
