[00:00:00.817 --> 00:00:02.922]  We are drugged out!
[00:59:20.735 --> 00:59:32.121]  That everyone go to Infowars.com forward slash newsletter and sign up via email so there's no way the censors can get between us with critical videos, articles, breaking news, intel, you name it.
[00:59:32.121 --> 00:59:40.086]  And so now I ask you more than ever to share the Infowars.com articles, to share the videos, to tell people about the local stations you're listening to.
[00:59:40.086 --> 00:59:47.149]  The bare minimum you can do is sign up for the free newsletter at Infowars.com forward slash newsletter.
[00:59:47.149 --> 00:59:49.891]  We are the renaissance and we are winning.
[00:59:53.301 --> 01:00:12.048]  You're listening to The Alex Jones Show.
[01:00:12.048 --> 01:00:18.371]  Live from Austin, Texas, broadcasting live, it's Alex Jones.
[01:00:20.131 --> 01:00:23.453]  We are only on Periscope on Twitter right now.
[01:00:23.453 --> 01:00:26.375]  We've been banned off Facebook and YouTube live streaming.
[01:00:26.375 --> 01:00:31.959]  And I'm sure it'll be Periscope in the next few days.
[01:00:31.959 --> 01:00:36.122]  And that's because the establishment is making its move against free speech here in America.
[01:00:36.122 --> 01:00:37.744]  They've already done it in Communist China.
[01:00:37.744 --> 01:00:39.725]  They've already done it in Europe.
[01:00:39.725 --> 01:00:42.347]  They admit they're now doing it here.
[01:00:42.347 --> 01:00:45.109]  Now why is this the most banned information in the world?
[01:00:45.987 --> 01:00:58.271]  If you type in Alex Jones into Google or Bing today, there are over 10,000 articles in the last couple days lying about what I've said and what I've done, and then never showing you in the articles what I said or what I did.
[01:00:58.271 --> 01:01:01.572]  That is 101 violation of journalism, because these aren't journalists.
[01:01:01.572 --> 01:01:03.432]  These are killers of free speech.
[01:01:03.432 --> 01:01:10.514]  These are corporate mercenaries making their move ahead of the 2018 midterms.
[01:01:10.514 --> 01:01:13.135]  What is the radical information
[01:01:14.301 --> 01:01:15.983]  That we're covering here.
[01:01:15.983 --> 01:01:17.464]  What is it?
[01:01:17.464 --> 01:01:21.729]  It's that the Chinese communists and big banks, along with Hollywood, took the U.S.
[01:01:21.729 --> 01:01:23.170]  over.
[01:01:23.170 --> 01:01:25.232]  And we're running it into the ground by design.
[01:01:25.232 --> 01:01:29.757]  And then the dark horse candidate, Donald Trump, got elected and began to reverse it in the last year and a half.
[01:01:29.757 --> 01:01:33.401]  And they're now panicking because prosperity is coming back in.
[01:01:33.401 --> 01:01:36.264]  And so they have engaged in a massive shadow ban.
[01:01:37.921 --> 01:01:44.243]  A blocking of Christians, Libertarians, Conservatives, Nationalists, the President, in the last year and a half.
[01:01:44.243 --> 01:01:45.864]  They've dialed the President back over 90%.
[01:01:45.864 --> 01:01:51.406]  There's major analytic sites that track it, where people subscribe to his Twitter, they don't get the information.
[01:01:52.466 --> 01:02:02.112]  But now they're pushing it up to 97% against myself, Paul Watson, and others at NewsWars.com and InfoWars.com.
[01:02:02.112 --> 01:02:06.934]  And yeah, the other so-called conservatives thought, well, that's just them being censored, it's not us.
[01:02:06.934 --> 01:02:08.535]  Now they're all being censored.
[01:02:08.535 --> 01:02:10.377]  Members of Congress are being blocked.
[01:02:10.377 --> 01:02:14.279]  They're not able to even have their speeches on C-SPAN on Facebook or Twitter.
[01:02:15.492 --> 01:02:20.735]  There is a massive assault going on against the First Amendment ahead of the midterms.
[01:02:20.735 --> 01:02:31.423]  And the media is trying to set the precedent, lying about info wars, misrepresenting what we've done, never showing you what we supposedly said, to shut us down, to set the precedent against everyone.
[01:02:31.423 --> 01:02:41.089]  So, the most censored thing in the world isn't devil worship, or pornography, or people being tortured, or Islamists being brought in to do all this stuff.
[01:02:41.089 --> 01:02:42.130]  No.
[01:02:42.130 --> 01:02:42.410]  It's me.
[01:02:43.800 --> 01:02:51.222]  Pointing out and raising the alarm as a modern Paul Revere that this draconian censorship and control is here.
[01:02:51.222 --> 01:02:54.183]  Go see the videos that they've taken us off Facebook and YouTube for.
[01:02:54.183 --> 01:02:55.763]  Go see them!
[01:02:55.763 --> 01:02:57.263]  They say I beat up a kid.
[01:02:57.263 --> 01:03:02.125]  I showed ABC News footage of some punk kid attacking an adult and the guy pushes him down.
[01:03:02.125 --> 01:03:03.305]  It's all over the news.
[01:03:03.305 --> 01:03:03.725]  I covered it.
[01:03:05.589 --> 01:03:13.292]  Go show my Islamophobia, which is some leftist college term, it's anti-free speech, where I show Islamists pouring across the border in Europe.
[01:03:13.292 --> 01:03:16.073]  Go see the videos they don't want you to see.
[01:03:16.073 --> 01:03:25.917]  They want to lie to you about those videos, misrepresent, and then set the precedent to shut it all down.
[01:03:25.917 --> 01:03:30.579]  This is happening right now because they know America is waking up.
[01:03:30.579 --> 01:03:32.900]  They know the world is waking up.
[01:03:34.477 --> 01:03:38.280]  They know you're waking up.
[01:03:38.280 --> 01:03:44.525]  And they've been censoring, and they've been controlling, and they've been bullying, and they weren't even looking for you to stop.
[01:03:45.506 --> 01:03:45.986]  Posting.
[01:03:45.986 --> 01:03:59.858]  They were looking for you to join them in a Pavlovian carrot versus the stick equation to start putting out globalist propaganda because you were not getting promoted on their platforms.
[01:03:59.858 --> 01:04:00.738]  But you didn't do that.
[01:04:00.738 --> 01:04:08.285]  You didn't sell out like the average Daily Beast writer or even Wall Street Journal writer or others did that parrot the line.
[01:04:09.053 --> 01:04:10.335]  They're like, aren't you like us?
[01:04:10.335 --> 01:04:13.198]  I mean, we've been blocking you on Facebook and Twitter.
[01:04:13.198 --> 01:04:14.900]  Pages you built, pages you promoted.
[01:04:14.900 --> 01:04:17.343]  We've been not letting you talk to conservatives for years.
[01:04:17.343 --> 01:04:19.045]  We've been shadow banning you.
[01:04:19.045 --> 01:04:22.349]  And now, you are not giving in.
[01:04:22.349 --> 01:04:26.034]  Well, we're just going to ban you outright.
[01:04:29.474 --> 01:04:33.897]  And they go, oh, 90 days on YouTube for the election, 30 days on Facebook.
[01:04:33.897 --> 01:04:36.900]  And they sit back and they act like, oh, will he do it again?
[01:04:36.900 --> 01:04:38.621]  Will he beat up a baby again?
[01:04:38.621 --> 01:04:42.364]  They don't show me beating the baby up.
[01:04:42.364 --> 01:04:43.625]  Telltale sign.
[01:04:43.625 --> 01:04:48.348]  They just say, and when they finally ban me completely, they'll go, he got warned a lot.
[01:04:48.348 --> 01:04:51.250]  Everybody's like, yeah, we saw all of the news.
[01:04:51.250 --> 01:04:53.492]  We never saw what he said.
[01:04:53.492 --> 01:04:54.733]  We never saw what he did.
[01:04:54.733 --> 01:04:57.315]  I uploaded a video.
[01:04:58.206 --> 01:05:18.181]  I want to plow into all of this, but I'm going to spend a few minutes here first, just encouraging listeners to understand that when you buy t-shirts, or water filtration systems, or books, or videos, or other material from InfoWarsTore.com, you are funding the revolution.
[01:05:18.181 --> 01:05:20.302]  I mean, I cannot say it any clearer.
[01:05:20.302 --> 01:05:24.285]  And so it is essential that you purchase the products at InfoWarsTore.com.
[01:05:24.285 --> 01:05:25.326]  I want to thank everybody that has.
[01:05:25.726 --> 01:05:31.530]  We've got the best fluoride-free toothpaste with colloidal silver and with high-quality atomic iodine in it.
[01:05:31.530 --> 01:05:33.932]  You cannot beat that for children and adults.
[01:05:33.932 --> 01:05:36.573]  We've got the best mouthwash designed by Dr. Jones.
[01:05:36.573 --> 01:05:37.494]  That's my dad.
[01:05:37.494 --> 01:05:39.355]  The colloidal silver and iodine as well.
[01:05:39.355 --> 01:05:41.857]  Infowarslife.com or 888-253-3139.
[01:05:41.857 --> 01:05:51.043]  And your purchase of the products stands with us, stands with America, stands with Trump, stands against the globalists and their satanic pedophile armies.
[01:05:51.043 --> 01:05:55.486]  And that's who they are, and they know we know who they are, and they're coming back against us, so we need your support.
[01:06:03.292 --> 01:06:10.218]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[01:06:10.218 --> 01:06:14.882]  I'm just an average man with an average life.
[01:06:14.882 --> 01:06:18.164]  I work for 95, hell, I pay the price.
[01:06:18.164 --> 01:06:22.368]  All I want is to be left alone in my average home.
[01:06:45.054 --> 01:06:47.496]  We are back live broadcasting worldwide.
[01:06:47.496 --> 01:06:49.397]  I am your host Alex Jones.
[01:06:49.397 --> 01:06:55.302]  The left, the globalists, the big corporations backed up by communist China are really upset America is coming back.
[01:06:56.604 --> 01:06:57.805]  They're panicking.
[01:06:57.805 --> 01:06:59.025]  They don't know what to do.
[01:06:59.025 --> 01:07:05.969]  And so they are launching massive censorship campaigns where they don't just ban people off Twitter, Facebook, YouTube.
[01:07:05.969 --> 01:07:10.691]  They then lie about why they took you off and don't show why they did it.
[01:07:10.691 --> 01:07:16.654]  Just an absolute 101 journalism red flag.
[01:07:16.654 --> 01:07:19.196]  And so they are bullying the American people.
[01:07:19.196 --> 01:07:20.536]  They are bullying Christians.
[01:07:20.536 --> 01:07:22.397]  They are bullying conservatives.
[01:07:22.397 --> 01:07:25.279]  They're nudging us like the big
[01:07:26.690 --> 01:07:28.554]  Liberal Foundations talked about.
[01:07:28.554 --> 01:07:32.042]  They are teaching us how to submit.
[01:07:33.544 --> 01:07:36.725]  And so I want to ask listeners, where do you think this is going?
[01:07:36.725 --> 01:07:39.825]  What do you think the President needs to do?
[01:07:39.825 --> 01:07:51.208]  I'm specifically opening the phones up about conservatives, about libertarians, about Christians and others who have been censored, who have been blocked, who have been persecuted.
[01:07:51.208 --> 01:07:54.189]  I mean, I was just search-engineering this during the break.
[01:07:54.189 --> 01:07:58.650]  They're not just saying, don't say the mother word and don't say the name mother and father.
[01:08:00.086 --> 01:08:11.751]  In public schools in Europe, in the US and Canada, they're now saying, they're telling preschoolers and first graders, don't say best, because that'll hurt somebody's feelings.
[01:08:11.751 --> 01:08:13.532]  This is political correctness.
[01:08:13.532 --> 01:08:19.134]  This is total psychological warfare, meant to create jellyfish basket cases.
[01:08:19.134 --> 01:08:22.956]  It's beyond, you know, giving everybody a trophy.
[01:08:22.956 --> 01:08:24.657]  It's now, don't say somebody's the best.
[01:08:26.010 --> 01:08:33.555]  School's banned from using the terms mom and dad as boys told to dress up as girls in non-gender specific free play.
[01:08:33.555 --> 01:08:37.718]  Say, oh, the school's going to have you dress up as a girl.
[01:08:37.718 --> 01:08:39.980]  We're going to sexually direct you.
[01:08:39.980 --> 01:08:40.840]  That's the Daily Mail.
[01:08:40.840 --> 01:08:47.625]  And if you criticize it, we're going to take your kids away from you.
[01:08:47.625 --> 01:08:49.246]  How'd you ever think they'd get our kids?
[01:08:49.246 --> 01:08:50.847]  That's how they're doing it right there.
[01:08:50.847 --> 01:08:52.709]  And they're making their move right now.
[01:08:53.991 --> 01:08:58.033]  Meanwhile, the very same crazy leftists are allied with radical imams.
[01:08:58.033 --> 01:09:02.055]  You've got 10 million military-age men brought in the last five years to Europe.
[01:09:02.055 --> 01:09:07.798]  You've got the admission now that, oh, we do want to repopulate Europe with Islamists.
[01:09:07.798 --> 01:09:14.382]  And you've got people being arrested that criticize or even report on the crime that's taking place.
[01:09:14.382 --> 01:09:15.562]  What a time to be alive!
[01:09:15.562 --> 01:09:20.505]  And then the president tries to reverse that, tries to stand up against it, so he gets demonized.
[01:09:21.980 --> 01:09:39.316]  And lied about, and again I saw a CNN article this weekend going, Trump hasn't implemented the judge's order to reunite all children with their parents because most children don't have parents with them.
[01:09:39.316 --> 01:09:43.340]  And again, that predates, that's an Obama policy, and it predates
[01:09:44.440 --> 01:09:50.342]  And the little girl in the famous photo that they photoshopped with Trump, the girl was with her mother, never taken away.
[01:09:50.342 --> 01:09:51.203]  But it doesn't matter.
[01:09:51.203 --> 01:09:56.245]  It's a triumph of fraud.
[01:09:56.245 --> 01:09:59.566]  So watch the articles up on Infowars.com.
[01:09:59.566 --> 01:10:01.327]  I'm going to play it and then read the subtitles.
[01:10:01.327 --> 01:10:09.430]  Copenhagen Imam, Jihad Necessity for the Muslim Invasion and Conquest of Europe.
[01:10:09.430 --> 01:10:12.271]  And again, when I read this, this is the Imam's words.
[01:10:13.666 --> 01:10:18.189]  And this is the standard thought process.
[01:10:18.189 --> 01:10:42.006]  Imran Mardahar Abdallah of the Al-Farq Mas in Copenhagen, told his followers the final solution, that's a Nazi term by the way, to the problem of the Levant, that's the big Islamic land, after the establishment of the Caliphate and the elimination of the Jewish entity, will be through the conquest of Europe.
[01:10:42.876 --> 01:10:46.919]  Abdullah was speaking on a video shot last year.
[01:10:46.919 --> 01:10:49.141]  Now, now, now.
[01:10:49.141 --> 01:10:52.463]  Here's the issue.
[01:10:52.463 --> 01:10:55.525]  Europe was invaded over a hundred times by the Muslims.
[01:10:55.525 --> 01:10:59.108]  Turkey was Constantinople.
[01:10:59.108 --> 01:11:03.651]  Now it is Istanbul.
[01:11:03.651 --> 01:11:04.852]  The Great Blue Mosque.
[01:11:04.852 --> 01:11:05.632]  Oh, look at the architecture.
[01:11:05.632 --> 01:11:06.413]  It was Christian built.
[01:11:08.268 --> 01:11:09.529]  That's a fact.
[01:11:09.529 --> 01:11:12.811]  But they teach in schools that the Crusades invaded.
[01:11:12.811 --> 01:11:16.453]  Well, I guess kind of like Hitler attacked us and we invaded Germany.
[01:11:16.453 --> 01:11:20.735]  I mean, I guess we did invade Germany, but he attacked first.
[01:11:20.735 --> 01:11:23.116]  We did invade the Pacific.
[01:11:23.116 --> 01:11:25.678]  We did go after Japan, but they attacked first.
[01:11:25.678 --> 01:11:33.082]  So, I mean, I guess technically the Crusades did invade the Middle East after a hundred plus invasions, and they pushed all the way almost through Poland
[01:11:34.534 --> 01:11:37.135]  Czechoslovakia into Germany.
[01:11:37.135 --> 01:11:42.377]  And people went, you know, this is getting out of hand here.
[01:11:42.377 --> 01:11:49.040]  And then it took 200 years to kick them out of Spain and kick them out of Eastern Europe.
[01:11:49.040 --> 01:11:53.722]  It was called the Reconquest or the La Reconquista.
[01:11:53.722 --> 01:11:57.564]  Why is it called a Reconquering?
[01:11:57.564 --> 01:12:00.265]  Reconquista.
[01:12:00.265 --> 01:12:01.385]  Because you were conquered.
[01:12:01.385 --> 01:12:02.766]  See, you reconquered.
[01:12:03.783 --> 01:12:07.826]  So you get invaded and you take it back, it's a reconquista, see?
[01:12:07.826 --> 01:12:22.095]  So, that's what's so insane about all this, is they teach in schools, even when I was in school, that America's bad, America's evil, and the Christians are bad, and they hurt the poor little Muslims and invaded the poor little Muslims who were so peaceful.
[01:12:22.095 --> 01:12:30.101]  I mean, Mohammed was running slaves all over North Africa, his people were after him, you know, all of it, little kids, sex, slavery, I mean, all of it is in there.
[01:12:30.101 --> 01:12:31.902]  And you're not supposed to say that!
[01:12:31.902 --> 01:12:33.283]  That's historical facts!
[01:12:34.284 --> 01:12:41.091]  And so all the EU censorship, all the control, it's now coming here.
[01:12:41.091 --> 01:12:47.918]  So let's go ahead and start getting in to one of the main Imams in Copenhagen with the general public and their Stockholm Syndrome.
[01:12:47.918 --> 01:12:51.441]  Here it is.
[01:12:51.441 --> 01:12:53.744]  The final solution to the problem of Levant.
[01:12:54.704 --> 01:13:11.397]  After the establishment of the Caliphate and the elimination of the Jewish entity, we will, through the conquest of Europe, the Mediterranean Sea in its entirety, with all its shores and coasts, must become purely Islamic.
[01:13:11.397 --> 01:13:13.779]  Hit pause.
[01:13:13.779 --> 01:13:17.642]  Oh, you're not going to get to be Christian once you conquer, like everywhere else?
[01:13:17.642 --> 01:13:19.444]  Oh, oh!
[01:13:19.444 --> 01:13:20.485]  It must be purely, 100%,
[01:13:28.200 --> 01:13:30.522]  But I thought it was the religion of peace.
[01:13:30.522 --> 01:13:34.224]  I mean, gay people are married by the Islamist system.
[01:13:34.224 --> 01:13:35.825]  I mean, they're not thrown off buildings.
[01:13:35.825 --> 01:13:38.847]  I mean... Oh, but I need to be censored.
[01:13:38.847 --> 01:13:39.468]  I understand.
[01:13:39.468 --> 01:13:40.449]  I was homophobic.
[01:13:41.443 --> 01:13:42.564]  I understand.
[01:13:42.564 --> 01:13:44.645]  Here, let's just continue.
[01:13:44.645 --> 01:13:50.008]  He goes on to say, no judgment day until Muslims slay the Jews, but that's Danish imam.
[01:13:50.008 --> 01:13:53.470]  This guy says similar stuff, but you know what?
[01:13:53.470 --> 01:13:53.890]  I'm sorry.
[01:13:53.890 --> 01:13:56.331]  This is cultural enrichment, so I should apologize.
[01:13:56.331 --> 01:13:57.732]  The imam's right.
[01:13:57.732 --> 01:13:58.472]  I'm a bad person.
[01:13:58.472 --> 01:13:58.713]  Here you go.
[01:14:02.502 --> 01:14:10.808]  Thus fulfilling the promise of the Prophet Muhammad about the conquest of Rome, who the Muslims almost took three times.
[01:14:10.808 --> 01:14:12.970]  Europe must be invaded again.
[01:14:12.970 --> 01:14:14.691]  History must repeat itself.
[01:14:14.691 --> 01:14:16.913]  Pause!
[01:14:16.913 --> 01:14:18.474]  They taught me in high school and college.
[01:14:18.474 --> 01:14:19.295]  We invaded them.
[01:14:19.295 --> 01:14:20.035]  Wait, wait.
[01:14:20.035 --> 01:14:21.836]  This guy says the Muslims invaded us?
[01:14:21.836 --> 01:14:24.158]  Back it up ten seconds.
[01:14:24.158 --> 01:14:25.079]  This is incredible.
[01:14:25.079 --> 01:14:26.460]  Of course, it's true.
[01:14:27.910 --> 01:14:29.430]  Europe must be invented again.
[01:14:29.430 --> 01:14:30.871]  History must repeat itself.
[01:14:30.871 --> 01:14:38.273]  Oh, oh, okay, go ahead.
[01:14:38.273 --> 01:14:45.395]  We must have a new Tariq, and we will sail the seas across the Strait of Gibraltar.
[01:14:45.395 --> 01:14:46.915]  Oh, invade Spain again.
[01:14:46.915 --> 01:14:53.757]  And we will liberate Ali Andalus, restoring it to the bosom of Islam.
[01:14:53.757 --> 01:14:56.438]  That, that's, uh, that's Spain?
[01:14:56.438 --> 01:14:57.178]  This is, back it up.
[01:14:58.507 --> 01:15:01.509]  To the bosom, where everybody's trying to flee the bosom of Islam.
[01:15:01.509 --> 01:15:02.790]  Everybody's like, get me out of here!
[01:15:02.790 --> 01:15:05.772]  God, it's hell on earth!
[01:15:05.772 --> 01:15:07.454]  Meanwhile, you want to restore it to your bosom.
[01:15:07.454 --> 01:15:09.055]  I think you can.
[01:15:09.055 --> 01:15:10.556]  I don't want to be in your bosom, buddy.
[01:15:10.556 --> 01:15:11.917]  I don't want to be your bosom, bud.
[01:15:11.917 --> 01:15:13.278]  How's that sound?
[01:15:13.278 --> 01:15:16.540]  I'm not cutting women's genitals off, and I'm not throwing gays off buildings.
[01:15:16.540 --> 01:15:18.282]  I know I'm the bad guy, I understand.
[01:15:18.282 --> 01:15:21.224]  And we will liberate, restoring it to the bosom of Islam.
[01:15:21.224 --> 01:15:26.528]  Can we look up al-Andalus?
[01:15:26.528 --> 01:15:27.649]  I think that's southern Spain.
[01:15:29.145 --> 01:15:33.949]  And, uh, I know they took over, uh, Sicily and, well, everywhere.
[01:15:33.949 --> 01:15:37.331]  I mean, hell, they pushed all the way to Rome three times.
[01:15:37.331 --> 01:15:41.014]  The Vatican had 200-foot walls and held them back.
[01:15:41.014 --> 01:15:45.977]  But the Vatican today says, open up everything and pull down your walls, but we're going to keep ours.
[01:15:45.977 --> 01:15:54.523]  We'll come back with one of the main imams there in Copenhagen, Denmark, and they got them in Sweden, got them everywhere saying the same stuff.
[01:15:54.523 --> 01:15:55.144]  We'll play it all.
[01:15:57.350 --> 01:16:01.213]  Most of you know that heart disease is the number one silent killer in the U.S.
[01:16:01.213 --> 01:16:06.216]  What if I told you for just $54.95 a month you could fight against heart disease naturally?
[01:16:06.216 --> 01:16:11.039]  At Heart and Body Extract, we've been helping thousands of people get back to a healthier heart.
[01:16:11.039 --> 01:16:12.380]  Don't just take my word for it.
[01:16:12.380 --> 01:16:16.143]  Check out all of the success stories at HBExtract.com.
[01:16:16.143 --> 01:16:17.143]  Or to order, call 866-295-5305.
[01:16:17.143 --> 01:16:17.343]  That's 866-295-5305.
[01:16:23.167 --> 01:16:24.789]  HB extract dot com.
[01:16:24.789 --> 01:16:27.092]  Don't risk it when you can take charge of it.
[01:16:27.092 --> 01:16:29.695]  Get the ultimate knife at an ultimate price.
[01:16:29.695 --> 01:16:31.417]  The Fox Carambit Knife.
[01:16:31.417 --> 01:16:33.078]  Finally available in the US.
[01:16:33.078 --> 01:16:35.822]  The Fox Carambit Knife opens with one hand.
[01:16:35.822 --> 01:16:37.604]  Faster than you can pull a handgun.
[01:16:37.944 --> 01:16:44.269]  For utility, for defense, and for way less than other knives of this caliber, go to TheUltimateKnife.com.
[01:16:44.269 --> 01:16:49.414]  Truly the best knife you will ever own, and only available at TheUltimateKnife.com.
[01:16:49.414 --> 01:16:52.156]  Use promo code RADIO at checkout for free shipping.
[01:16:52.156 --> 01:16:56.039]  Get the ultimate knife at the ultimate price at TheUltimateKnife.com.
[01:16:57.145 --> 01:17:00.248]  This is Jessica Armand, founder of My Magic Mud.
[01:17:00.248 --> 01:17:05.192]  Our team helped organize a successful effort to remove fluoride from our city's water supply.
[01:17:05.192 --> 01:17:06.913]  This is our passion.
[01:17:06.913 --> 01:17:11.097]  My Magic Mud Oral Care purifies and brightens your smile naturally.
[01:17:11.097 --> 01:17:17.102]  GCN listeners, please support my family business by purchasing our products from your local health food store.
[01:17:17.102 --> 01:17:19.724]  We're also available at CVS Pharmacy.
[01:17:19.724 --> 01:17:25.168]  Or visit us at MyMagicMud.com and take 10% off now with coupon code GCN10.
[01:17:26.710 --> 01:17:31.473]  If you like alkaline water or know someone that does, you're going to love the Dillon Living Water Bottle.
[01:17:31.473 --> 01:17:35.836]  It creates alkaline water on the go while reducing plastic waste and saving you money.
[01:17:35.836 --> 01:17:44.062]  Made with surgical grade stainless steel, the Dillon Bottle increases the pH up to 9 to deliver both alkaline and antioxidant water anywhere you want it.
[01:17:44.062 --> 01:17:47.404]  Alkaline water is healthier, tastes better, and can even boost energy.
[01:17:47.404 --> 01:17:52.107]  The Dillon Bottle makes it easy and affordable to be healthy and achieve optimal hydration.
[01:17:52.107 --> 01:17:54.949]  Get your Dillon Bottle today at DYLN.CO.
[01:17:54.949 --> 01:17:55.990]  That's DYLN.CO.
[01:17:59.052 --> 01:18:03.657]  Patrick, in the great nation of Australia, you're on the air worldwide.
[01:18:03.657 --> 01:18:04.218]  Thanks for calling.
[01:18:04.218 --> 01:18:05.279]  Hey Alex, mate.
[01:18:05.279 --> 01:18:09.263]  I've been following you since I was 14 and I'm 32 now.
[01:18:09.263 --> 01:18:17.972]  I remember back when InfoWars and Prison Planet, it was just blue text on a white screen and I had to load down the page on my dial-up internet and I thought it was
[01:18:18.032 --> 01:18:34.140]  That's pretty cool and read all the books and seen all the DVDs and followed all your guests and I've been using your products since the first iteration of Survival Shield and since then I'm on the X2, the Super Male Vitality, the Caveman, the Real Red Pill, Micro ZX Body, it's all amazing.
[01:18:34.780 --> 01:18:43.370]  Yeah, and I wanted to say that by following you so much, it's like you're just detoxing the mind, you're detoxing the body, you're detoxing the spirit.
[01:18:43.370 --> 01:18:48.276]  And it's just the more you know God, the more you fear God, but the more you chase God.
[01:18:48.276 --> 01:18:53.882]  And I wanted to say that it's an honor to stand side by side with you, the crew, and the listeners out there, 1776 worldwide.
[01:18:58.499 --> 01:19:02.444]  Living in volcano may sound more dramatic than it really is.
[01:19:02.444 --> 01:19:05.748]  The real drama can be found here in Leilani Estates.
[01:19:05.748 --> 01:19:12.017]  But a lot of us on the Big Island rely on rainwater and we need to be concerned about ash and acid rain.
[01:19:12.017 --> 01:19:14.780]  Volcanic ash may contain heavy metal particles.
[01:19:15.501 --> 01:19:19.324]  An acid rain could lower the pH of the water to unhealthy levels.
[01:19:19.324 --> 01:19:25.810]  To find out, we employed a series of tests for heavy metals, alkalinity, and pH.
[01:19:25.810 --> 01:19:30.774]  What we learned was that there was in fact unhealthy levels of heavy metals and acidity in the rainwater.
[01:19:31.522 --> 01:19:35.424]  Next, we tested the water from our Alexa Pure gravity filter.
[01:19:35.424 --> 01:19:42.647]  And not only were the heavy metal levels within safe measure, but the pH was also restored to optimal levels.
[01:19:42.647 --> 01:19:47.329]  As it turns out, the filter on the Alexa Pure raises the pH of the water.
[01:19:47.329 --> 01:19:53.551]  So what we've learned is that volcanic ash and acid rain can contaminate a rainwater supply.
[01:19:53.551 --> 01:19:57.513]  But more importantly, a good water filtration system will purify it.
[01:20:01.289 --> 01:20:04.031]  You're listening to The Alex Jones Show.
[01:20:04.031 --> 01:20:14.957]  I've got a good woman at home who thinks I'm
[01:20:30.413 --> 01:20:33.934]  I get whiskey bent and hell bound.
[01:20:52.617 --> 01:20:55.419]  Article up on Infowars.com.
[01:20:55.419 --> 01:20:57.521]  More powerful info from the President.
[01:20:57.521 --> 01:21:02.724]  Yesterday he said, I'm not going to let all these American haters, the media, sell out the country, the globalists, and bankrupt it.
[01:21:02.724 --> 01:21:03.945]  It's over, you American haters.
[01:21:03.945 --> 01:21:04.866]  You're sick.
[01:21:04.866 --> 01:21:05.846]  You're crazy.
[01:21:05.846 --> 01:21:07.447]  The country makes you wealthy and powerful.
[01:21:07.447 --> 01:21:08.348]  Why are you out to get it?
[01:21:08.348 --> 01:21:11.290]  You're just dumb.
[01:21:11.290 --> 01:21:12.191]  He's back at it again.
[01:21:12.191 --> 01:21:14.472]  A Steve Watson article on Infowars.com.
[01:21:14.472 --> 01:21:17.114]  So critical to get this out.
[01:21:17.114 --> 01:21:19.456]  Trump slams very
[01:21:21.340 --> 01:21:23.681]  Unpatriotic and fake journalist.
[01:21:23.681 --> 01:21:32.766]  He says, I will not allow our great country to be sold out by anti-Trump haters in the dying newspaper industry.
[01:21:32.766 --> 01:21:44.032]  When the media, driven insane by their Trump derangement syndrome, reveals internal deliberations of our government, it truly puts the lives of many, not just journalists, at risk.
[01:21:44.032 --> 01:21:45.013]  Very unpatriotic.
[01:21:45.013 --> 01:21:49.575]  Freedom of the press also comes with a responsibility to report the news, like the economy.
[01:21:53.593 --> 01:21:59.777]  Over 90% of the media coverage of the administration is negative, despite tremendously positive results we're achieving.
[01:21:59.777 --> 01:22:02.939]  It's no surprise that confidence in the media is at an all-time low.
[01:22:02.939 --> 01:22:07.182]  I will not allow our great country to be sold out by anti-Trump haters.
[01:22:07.182 --> 01:22:16.547]  Yeah, they got the publisher of the New York Times, the owner is Carlos Slim, but they don't have him do it, they have the token New Yorker.
[01:22:19.212 --> 01:22:21.134]  Go, please stop attacking us, it's very dangerous.
[01:22:21.134 --> 01:22:26.317]  Hell, you punch Trump a million times in the face, he says you're a bunch of liars, and you go, how dare you?
[01:22:26.317 --> 01:22:28.919]  I mean, there's no logic there.
[01:22:28.919 --> 01:22:32.502]  Let me get back to the imam.
[01:22:32.502 --> 01:22:36.165]  Because I can show you the imam of Jerusalem, I can show you top imams in the U.S.
[01:22:36.165 --> 01:22:37.866]  It's not like we're cherry-picking here.
[01:22:37.866 --> 01:22:38.567]  Hell, the U.N.
[01:22:38.567 --> 01:22:40.709]  says it's an invasion of Europe.
[01:22:40.709 --> 01:22:43.791]  They're allowed to rape women, do whatever they want, they don't get in trouble.
[01:22:47.827 --> 01:22:50.869]  But then you criticize it.
[01:22:50.869 --> 01:22:53.450]  In Germany, they arrest you.
[01:22:53.450 --> 01:23:01.375]  Facebook hired former members of the Stasi three years ago to police it.
[01:23:01.375 --> 01:23:05.598]  And Facebook's just selling the idea to Americans with me now and YouTube.
[01:23:05.598 --> 01:23:07.819]  Oh, well, he bullied a baby.
[01:23:07.819 --> 01:23:09.200]  We won't show you the baby.
[01:23:09.200 --> 01:23:10.621]  Won't show you the child, but he bullied him.
[01:23:11.803 --> 01:23:15.366]  And then he did this and that and finally we just got to ban him.
[01:23:15.366 --> 01:23:18.889]  And then other conservatives will go, well, he is a bad guy.
[01:23:18.889 --> 01:23:23.313]  We're going to virtue signal and go along with the dying corporate media.
[01:23:23.313 --> 01:23:27.216]  And then you'll be next, which has already happened.
[01:23:27.216 --> 01:23:30.899]  Congressman Gates was sitting there going, well, you're a private corporation, Google, Facebook, Twitter.
