[00:00:03.086 --> 00:00:04.287]  You found it!
[00:50:23.585 --> 00:50:26.451]  You make that decision, but please make that decision today.
[00:50:26.451 --> 00:50:27.413]  Please take action.
[00:51:02.526 --> 00:51:07.409]  This is Greg Reese for InfoWarsNewsWars.com on the ground in Hong Kong.
[00:51:07.409 --> 00:51:16.896]  We are here at Victoria Park, right behind me to my right, which is where the epic photograph was just taken days ago of over a million Hong Kongers in protest.
[00:51:16.896 --> 00:51:19.178]  They're saying 20% of the population.
[00:51:19.178 --> 00:51:21.539]  And that's what we're here for on the ground reporting on.
[00:51:21.539 --> 00:51:27.063]  It's been about 11 weeks of unrest since the extradition bill crisis that began in June.
[00:51:28.124 --> 00:51:31.805]  And since then, there's been massive protests, just like all over the world.
[00:51:31.805 --> 00:51:36.806]  There seems to be an awakening all over the world against globalism, against tyranny.
[00:51:36.806 --> 00:51:50.490]  Just yesterday, a man was arrested at a border checkpoint in Lo Wu, Hong Kong, after a knife attack on three people at Lennon Wall in Sung Kwan O. And it left a journalist in critical condition.
[00:51:50.490 --> 00:51:54.731]  Now, this is a very interesting story when you look at what's been happening in the past few weeks.
[00:51:54.731 --> 00:51:56.212]  And the people here are very suspicious.
[00:51:57.216 --> 00:51:58.336]  Of the police lately.
[00:51:58.336 --> 00:52:00.337]  We're going to be doing some man on the streets while we're here.
[00:52:00.337 --> 00:52:08.060]  But since we've been here, we've talked to everyone we've run into from the airport to the cab driver to people at the stores, people at the hotel.
[00:52:08.060 --> 00:52:11.741]  And what we've been hearing is the same story.
[00:52:11.741 --> 00:52:21.985]  Unlike in Western countries, where there seems to be a divide as to fake news and real news, it seems like everyone here has become very suspicious of the police.
[00:52:21.985 --> 00:52:24.146]  Everyone here seems to be in support of the protesters.
[00:52:25.183 --> 00:52:34.405]  And here's some of the stories that we've been getting that have led to this questioning of the police and suspicion of the Hong Kong police.
[00:52:34.405 --> 00:52:40.247]  On July 21st, at a train station protest, there were six men detained and they were released.
[00:52:40.247 --> 00:52:42.147]  They were all wearing white.
[00:52:42.147 --> 00:52:45.628]  They were said to be members of the local triad
[00:52:46.667 --> 00:53:10.401]  Organized crime organization and where they were using wooden poles and steel rods and targeting protesters Now they were arrested It was it was announced that they were members of organized crime and they were released and it was the releasing of these six men that really Started getting the attention of a lot of Hong Kongers and they were getting really upset with their police who up until now They've considered to be a very fair non-political police force
[00:53:12.254 --> 00:53:19.119]  According to a news report, Low said that the going rate for an attack like Sunday's could be as much as 10 million Hong Kong dollars.
[00:53:19.119 --> 00:53:22.141]  That's 1.28 million per attack.
[00:53:22.141 --> 00:53:24.002]  Most of it would go to the triad leader.
[00:53:25.669 --> 00:53:34.355]  The full Greg Reese report and more from Hong Kong can be found at InfoWars.com.
[00:53:34.355 --> 00:53:38.218]  All of our news coverage can be found at InfoWars.com.
[00:53:38.218 --> 00:53:45.664]  Of course, knowing that URL, knowing that website, knowing that link is imperative now because
[00:53:46.883 --> 00:53:56.631]  As you know, anything Alex Jones, anything InfoWars ends up getting banned on just about 98% of social media.
[00:53:56.631 --> 00:54:06.378]  But here we are, nonetheless, at InfoWars.com slash show, broadcasting live from the InfoWars World Headquarters in Austin, Texas.
[00:54:06.378 --> 00:54:11.302]  Now, coming up, we've got
[00:54:13.134 --> 00:54:27.548]  The interview of, we've got more clips from Sargon of Arkad, we've got more clips from, or we're going to be having in studio live, Count Dankula.
[00:54:27.548 --> 00:54:33.073]  So this is all coming up on the Alex Jones Show as well as some other news coverage.
[00:54:35.382 --> 00:55:01.258]  So before we go to this break here in three minutes and really delve into Alex with Sargon of Akkad and then my in-studio guest Count Dankula, you had 30 women testifying today on the Jeffrey Epstein sex trafficking.
[00:55:01.258 --> 00:55:03.059]  And it apparently got pretty heated.
[00:55:04.190 --> 00:55:06.571]  Obviously the victims are upset.
[00:55:06.571 --> 00:55:09.032]  The lawyers warned Epstein would be killed in prison.
[00:55:09.032 --> 00:55:10.872]  He then was.
[00:55:10.872 --> 00:55:12.393]  They lied, said it was suicide.
[00:55:12.393 --> 00:55:22.697]  The judge allowed the witnesses to speak today despite the prosecutors trying to shut that down, but it ended up being very heated.
[00:55:22.697 --> 00:55:30.340]  As you can imagine, the victims were upset that the federal government allowed Epstein to operate all of these years.
[00:55:34.002 --> 00:55:43.570]  So it's not as much about us sitting here saying, well, we told you about Epstein years ago.
[00:55:43.570 --> 00:55:45.231]  Infowars is tomorrow's news today.
[00:55:45.231 --> 00:55:46.092]  Yes, that's true.
[00:55:46.092 --> 00:55:46.852]  You already know that.
[00:55:46.852 --> 00:56:00.303]  But the takeaway is that you have such shadowy, powerful forces with
[00:56:02.256 --> 00:56:18.283]  For lack of a better word, abilities to pull off this murder of Jeffrey Epstein, have the media totally covered up, claim it was suicide, have to have multiple people on the inside part of this, people in the media part of this.
[00:56:18.283 --> 00:56:28.988]  What shadow forces, what secret cabal has that much power?
[00:56:28.988 --> 00:56:30.329]  Has that much influence?
[00:56:32.819 --> 00:56:44.665]  And you see the names in Jeffrey Epstein's little black book with royalty and elite politicians.
[00:56:44.665 --> 00:56:50.087]  And then today, you just had a top executive.
[00:56:50.087 --> 00:56:56.950]  I forget the individual's name from the Motion Pictures Association of America.
[00:56:56.950 --> 00:57:00.072]  Yeah, that's the go-between between Hollywood and Congress.
[00:57:01.428 --> 00:57:13.557]  Yeah, top executive from the MPAA busted for child sex abuse.
[00:57:13.557 --> 00:57:18.760]  So you've now had multiple Disney people get hit with charges of pedophilia.
[00:57:18.760 --> 00:57:26.086]  You've had top Democrat staffers get caught with gigabytes of child porn.
[00:57:26.086 --> 00:57:27.407]  You've got Clinton
[00:57:28.959 --> 00:57:35.765]  Going on Epstein's Lolita pedophile jet to pedophile island.
[00:57:35.765 --> 00:57:38.668]  You've got other names like George Nader.
[00:57:38.668 --> 00:57:41.530]  It's all coming out.
[00:57:41.530 --> 00:57:42.651]  It's all coming out.
[00:57:42.651 --> 00:57:48.096]  But you know, the 30 women today were ignored by media.
[00:57:50.396 --> 00:57:51.597]  We've had this in for two weeks.
[00:57:51.597 --> 00:57:54.958]  I've been so busy, I haven't talked about it because I've been covering news.
[00:57:54.958 --> 00:57:56.199]  But it's very exciting.
[00:57:56.199 --> 00:57:58.520]  It's Super Silver Skin Cream.
[00:57:58.520 --> 00:58:00.041]  It's got all of these benefits.
[00:58:00.041 --> 00:58:01.122]  Too many to mention.
[00:58:01.122 --> 00:58:02.402]  But it's revolutionary.
[00:58:02.402 --> 00:58:03.343]  It's brand new.
[00:58:03.343 --> 00:58:04.183]  People are going to love it.
[00:58:04.183 --> 00:58:06.324]  Introducing the new Super Silver Skin Cream.
[00:58:06.324 --> 00:58:07.265]  Exclusively at 4store.com.
[00:58:07.265 --> 00:58:08.065]  25% off introductory price.
[00:58:09.206 --> 00:58:11.887]  The new Super Silver Skin Cream is the best of both worlds.
[00:58:11.887 --> 00:58:14.128]  It helps reduce wrinkles and keep your skin healthy.
[00:58:14.128 --> 00:58:17.990]  Super Silver Skin Cream is infused with patented Silver Sol Technology.
[00:58:17.990 --> 00:58:23.032]  It's used by top hospitals and health clinics to kill off everything from MRSA to Candida fungus.
[00:58:23.032 --> 00:58:34.136]  It's also loaded with the best natural ingredients for your skin, like coconut oil, vitamin E. Unlike most skin creams, Super Silver Skin Cream is free of BPA, parabens, harsh preservatives, and sulfates.
[00:58:34.136 --> 00:58:36.157]  It's got the highly sought-after hyaluronic
[00:58:36.257 --> 00:58:38.880]  We have acid, we have little tubes of it, we have big tubes of it.
[00:58:38.880 --> 00:58:39.962]  This stuff is the real deal.
[00:58:39.962 --> 00:58:44.208]  Get Super Silver Skin Cream exclusively at Inforestore.com while supplies last.
[00:58:44.208 --> 00:58:47.111]  So please, check it out, the new products at Inforestore.com.
[00:58:47.111 --> 00:58:48.013]  25% off as an introductory.
[00:58:50.984 --> 00:58:53.025]  Robert Moritz, what has Big Tech become?
[00:58:53.025 --> 00:59:01.549]  Big Tech are big babies that have become big bullies, and the way they did so is because they face no consequence, social, economic, political, or legal, for their illicit activities over two decades.
[00:59:01.549 --> 00:59:12.875]  And because of that, that's why the courts, the judges, the juries, the members of the independent free press that care about this, the ordinary members of the public and the audience that care about this, have to bring real social, political, economic consequence to their
[00:59:12.935 --> 00:59:13.355]  We're good to go.
[00:59:42.895 --> 00:59:44.396]  You're listening to the Alex Jones Show!
[01:00:18.101 --> 01:00:22.785]  Welcome back to the Alex Jones Show.
[01:00:22.785 --> 01:00:24.686]  Owen Schroeder sitting in right now.
[01:00:24.686 --> 01:00:31.932]  We're about to be going back to Alex Jones with Sargon of Akkad.
[01:00:31.932 --> 01:00:34.273]  And so you're not going to want to miss that.
[01:00:34.273 --> 01:00:42.920]  But, you know, one of the major roles of InfoWars is to point out the elephant in the room
[01:00:45.029 --> 01:01:04.440]  Crapping all over everything that nobody else wants to touch Now you can reach your own conclusions as to why we have to do that, but that's our role I'm not even seeing any media coverage today Just from monitoring mainstream news cable news everything.
[01:01:04.440 --> 01:01:13.746]  I mean the drudge report has some stuff on it But for the most part this is going pretty much uncovered today I mean the New York Times did cover it, but it's not really getting much
[01:01:14.983 --> 01:01:16.224]  Press attention.
[01:01:16.224 --> 01:01:18.326]  What am I talking about?
[01:01:18.326 --> 01:01:35.859]  30 women testifying today in front of a judge to the crimes of Jeffrey Epstein and the industrial level sex trafficking pedophile network that he was running.
[01:01:35.859 --> 01:01:40.703]  I mean, this story is so crazy, folks.
[01:01:40.703 --> 01:01:44.006]  You know, it came out that Epstein's butler
[01:01:45.435 --> 01:01:57.183]  He took very, very detailed notes in his own little black book, if you will, on Epstein's behavior and practices and everything.
[01:01:57.183 --> 01:02:04.028]  And when he brought that to the federal government, the butler ended up going to jail.
[01:02:04.028 --> 01:02:12.934]  So Epstein is running around a total FBI informant protected by the federal government running an industrial level pedophile ring, sex orgy island, and all the crap that's going on.
[01:02:13.948 --> 01:02:14.969]  That's all real.
[01:02:14.969 --> 01:02:17.130]  That's on record.
[01:02:17.130 --> 01:02:18.670]  That's not hearsay.
[01:02:18.670 --> 01:02:20.971]  That's not he said, she said.
[01:02:20.971 --> 01:02:21.752]  This is known.
[01:02:21.752 --> 01:02:22.712]  This has been known.
[01:02:22.712 --> 01:02:26.734]  This has been convicted charges against Epstein.
[01:02:26.734 --> 01:02:28.655]  So, where's the media?
[01:02:28.655 --> 01:02:31.997]  Now, let's recall.
[01:02:31.997 --> 01:02:42.762]  You had a doddering, seeming like an MK Ultra victim just sucked on a helium balloon, Christine Blasey Ford.
[01:02:43.721 --> 01:02:49.468]  Uh, yeah, uh, Brett Kavanaugh and five of his friends gang-raped me at a party.
[01:02:49.468 --> 01:02:57.719]  I don't know when, or where, or who I was at the time, but it was Kavanaugh and he can't be on the Supreme Court because he raped me.
[01:02:57.719 --> 01:02:58.480]  I know it was him.
[01:03:00.458 --> 01:03:05.221]  So that's totally fraudulent, but it gets all the media attention.
[01:03:05.221 --> 01:03:07.783]  Every cable news network covering it.
[01:03:07.783 --> 01:03:12.866]  Highlights across primetime news, international news, everything.
[01:03:12.866 --> 01:03:27.396]  Christine Blasey Ford, who sounds like she just sucked down a whole helium balloon, and doesn't even seem all there, kind of a mental fop,
[01:03:28.735 --> 01:03:30.258]  That's the biggest story ever.
[01:03:30.258 --> 01:03:35.246]  A bunch of hearsay, nonsense, nothing on record, all politically motivated.
[01:03:35.246 --> 01:03:36.868]  Total fake news.
[01:03:36.868 --> 01:03:39.513]  But it gets all the attention, right?
[01:03:39.513 --> 01:03:40.695]  Now you have 30 women!
[01:03:44.352 --> 01:03:55.944]  Testifying against a convicted sex trafficker, a convicted pedophile running industrial level pedophile sex networks, and no media coverage.
[01:03:55.944 --> 01:03:57.646]  Nothing on cable news.
[01:03:57.646 --> 01:03:58.847]  Nothing on Fox.
[01:03:58.847 --> 01:04:00.029]  Nothing on CNN.
[01:04:00.029 --> 01:04:01.770]  Nothing on MSNBC.
[01:04:01.770 --> 01:04:04.373]  Nothing on all the alphabet news agencies.
[01:04:04.373 --> 01:04:06.375]  Nothing.
[01:04:06.375 --> 01:04:06.796]  Nothing.
[01:04:07.912 --> 01:04:08.992]  Christine Blasey Ford?
[01:04:08.992 --> 01:04:12.213]  Uh, Brett Kavanaugh raped me at a party.
[01:04:12.213 --> 01:04:13.613]  Everyone covers it.
[01:04:13.613 --> 01:04:14.913]  Total fake news.
[01:04:14.913 --> 01:04:26.696]  Real news, industrial level pedophile networks, industrial level sex trafficking, convicted charges, 30 women testifying in court, in front of a judge, and what do you get?
[01:04:26.696 --> 01:04:27.216]  Nothing.
[01:04:27.216 --> 01:04:32.877]  And if that isn't the absolute state
[01:04:34.881 --> 01:04:35.981]  Of the American media.
[01:04:35.981 --> 01:04:40.783]  If that isn't the absolute state of the American media, I don't know what is.
[01:04:40.783 --> 01:04:47.504]  Christine Blasey Ford, a helium balloon in a wig, gets all the press attention.
[01:04:47.504 --> 01:04:53.546]  30 women testifying against a convicted pedophile sex trafficker, and the news won't even mention it.
[01:04:53.546 --> 01:04:53.946]  Why?
[01:04:53.946 --> 01:04:57.447]  Because Epstein had top Democrats and elites on his list.
[01:04:58.655 --> 01:04:58.975]  Alex?
[01:04:58.975 --> 01:04:59.375]  Yes?
[01:04:59.375 --> 01:05:02.076]  I gotta plug for the Patriot points I get.
[01:05:02.076 --> 01:05:02.516]  Oh, thanks!
[01:05:02.516 --> 01:05:05.716]  I've gotten $180 so far this year, and I feel like I'm stealing from you.
[01:05:05.716 --> 01:05:08.817]  I buy so much in the store because, I mean, I don't want to give that money to Walmart.
[01:05:08.817 --> 01:05:12.038]  I don't want to give that money to people who are going to donate it to causes I don't believe in.
[01:05:12.038 --> 01:05:13.598]  So I'd rather give that money to you.
[01:05:13.598 --> 01:05:14.738]  And I'm getting quality products.
[01:05:14.738 --> 01:05:17.279]  The products that I do receive have changed my life.
[01:05:17.279 --> 01:05:19.499]  I mean, the X2 has really done a lot for me.
[01:05:19.499 --> 01:05:20.279]  I've lost weight.
[01:05:20.279 --> 01:05:22.040]  My brain works a whole lot better.
[01:05:22.040 --> 01:05:23.820]  My kids, they use the toupee.
[01:05:23.820 --> 01:05:27.061]  My son used to get these little sore throats, and he puts X2 in water and drinks it.
[01:05:28.081 --> 01:05:31.183]  Well, sir, let me break this down for you.
[01:05:31.183 --> 01:05:32.664]  I want high-quality stuff in there.
[01:05:32.664 --> 01:05:33.725]  I want a good price.
[01:05:33.725 --> 01:05:37.808]  But I've kind of habituated everybody to where everybody buys when it's 50% off.
[01:05:37.808 --> 01:05:39.389]  I'm making $2 on my toothpaste 50% off.
[01:05:39.389 --> 01:05:43.672]  And so it's the same thing with, like, the fish oil or the turmeric or the bone broth.
[01:05:43.672 --> 01:05:44.632]  Thank you so much for the plugs.
[01:05:44.632 --> 01:05:48.835]  But listen, when people get the Patriot points, a lot of times it makes things a loss later.
[01:05:48.835 --> 01:05:56.520]  Because if you're already getting 10% off because you're on auto ship, and then we're doing 50% off, and then you do something like that, where you have Patriot points, we lose money.
[01:05:56.520 --> 01:05:56.900]  But that's OK.
[01:05:56.900 --> 01:05:57.781]  Thanks for the support.
[01:06:01.082 --> 01:06:03.763]  Waging war on corruption.
[01:06:03.763 --> 01:06:17.227]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[01:06:17.227 --> 01:06:19.888]  Waging war on corruption.
[01:06:19.888 --> 01:06:25.030]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[01:06:30.268 --> 01:06:36.311]  Sargon Akkad, also known as Carl, has millions and millions of followers on YouTube and other platforms.
[01:06:36.311 --> 01:06:38.692]  He's also been deplatformed some places.
[01:06:38.692 --> 01:06:51.677]  And he's with us right now, in studio, to just talk about the world, the place it's in right now, and where he thinks these revolutions of populism versus, what would you call it, globalism are going.
[01:06:51.677 --> 01:06:52.718]  Thanks for coming to the studio with us.
[01:06:53.137 --> 01:06:53.977]  My pleasure, thanks for having me.
[01:06:53.977 --> 01:06:55.198]  Been a fan of your work for a while.
[01:06:55.198 --> 01:06:56.538]  Thank you, same.
[01:06:56.538 --> 01:07:02.841]  So, first off, your handle, Sargon, where does that name come from?
[01:07:02.841 --> 01:07:05.262]  It comes from a Middle Eastern emperor.
[01:07:05.262 --> 01:07:16.506]  I didn't think anything was ever going to come of anything when I first started uploading videos to YouTube, and so I just used it because it was the tags that I used when I was playing video games online.
[01:07:18.046 --> 01:07:21.107]  Completely inauspicious, no thought put into it whatsoever.
[01:07:21.107 --> 01:07:24.228]  And if I could go back and redo it, I'd just use my real name.
[01:07:24.228 --> 01:07:25.929]  Well, it's good to have you here with us.
[01:07:25.929 --> 01:07:27.129]  Thank you.
[01:07:27.129 --> 01:07:34.491]  You were on yesterday, did a great job with Owen Schroyer, covered some of the big breaking news, but commercial-free here right now.
[01:07:34.491 --> 01:07:35.951]  What do you want to get into today?
[01:07:35.951 --> 01:07:37.452]  What's front and center for you?
[01:07:38.576 --> 01:07:43.600]  Um, well at the moment I'm doing a part two to the Jeffrey Epstein video I just did.
[01:07:43.600 --> 01:07:51.586]  These are taking quite a lot of time because there's a lot of stuff happening and a lot of strange information coming out about the whole case.
[01:07:51.586 --> 01:07:54.208]  The fact that he had broken bones in his
[01:07:55.168 --> 01:08:19.265]  throat that were broken in such a way that is to indicate that was most likely strangling rather than choking on a paper thin bit of sheet from his bunk bed that that's particularly interesting to me because and especially this is his cellmate was moved out of the cell the day before he died and all of this it's it's all very very suspect
[01:08:21.066 --> 01:08:25.349]  But we're hearing from the new Attorney General that, oh, it probably was suicide.
[01:08:25.349 --> 01:08:34.293]  I mean, I find that very, very suspicious when Epstein told people that the previous cellmate had tried to basically kill him.
[01:08:34.293 --> 01:08:36.615]  He told people that he feared for his life.
[01:08:36.615 --> 01:08:42.678]  And then to just have the media say it's a conspiracy theory out of the gates to question it, that just doesn't hold water.
[01:08:43.539 --> 01:08:50.604]  Yeah, I mean, I don't think they have much room to call people conspiracy theorists after the whole Russia thing, but I agree.
[01:08:50.604 --> 01:08:57.368]  There is definitely something to this, and there is definitely... It's definitely easier for them if it just goes away.
[01:08:59.232 --> 01:09:10.508]  Where do you at a gut level, and I know you're not a guy that even theorizes, you just go with the facts, that you pride yourself on that, eloquently so, but I mean, gut level, if you had to just dead reckon, where is this going?
[01:09:10.508 --> 01:09:13.892]  I mean, I see it as another bellwether of the collapse of confidence in the system.
[01:09:15.314 --> 01:09:37.911]  I think that, I mean, personally, if I would speculate or hypothesize, I would suggest that Epstein was using his particular interest in sex trafficking young girls in order to create a very deep network of connections with very powerful and high-profile people, including people like Matt Groening from The Simpsons and things like this.
[01:09:37.911 --> 01:09:43.235]  I mean, I don't know why he was doing it, but it seems that that's the sort of thing that he was facilitating.
[01:09:43.875 --> 01:09:45.496]  Well, I happen to know what he was doing.
[01:09:45.496 --> 01:09:56.964]  I mean, he was heading up as one of the main promoters of this Eugenics Institute that was set up by the Rockefellers and others inside the Albert Einstein Institute.
[01:09:56.964 --> 01:09:57.284]  Right.
[01:09:57.284 --> 01:10:08.992]  And a lot of this, I covered it 10-12 years ago when it came out on ABC News, letting guard him, that he was in there quarterbacking and organizing these meetings that were, quote, creating an alternative world government for depopulation.
[01:10:09.332 --> 01:10:15.556]  Behind closed doors on this New York campus, a secret gathering of some of the world's most powerful people.
[01:10:15.556 --> 01:10:18.198]  Gates, Buffett, Bloomberg, Winfrey.
[01:10:18.198 --> 01:10:26.503]  Together with others at the meeting, including George Soros, Ted Turner, David Rockefeller, they're worth more than 125 billion dollars.
[01:10:26.503 --> 01:10:32.807]  That much money, that much power around one table, it begs the question, what were they doing?
[01:10:32.807 --> 01:10:34.128]  What were they scheming?
[01:10:39.773 --> 01:10:51.746]  I haven't been able to find anything about that, but there was a report that he apparently wished to seed the human race with his genes.
[01:10:51.746 --> 01:10:52.266]  Yes.
[01:10:52.266 --> 01:10:53.728]  Which is particularly strange.
[01:10:53.988 --> 01:11:09.818]  Well, after we're off air today, and since this isn't live, I may just add it in post, we have the articles out of the Guardian, ABC News, you name it, where the group that he was one of the main heads of was organizing an alternate world government and a plan for depopulation.
[01:11:09.818 --> 01:11:12.200]  Bill and Melinda Gates went.
[01:11:12.200 --> 01:11:13.401]  A bunch of other people went.
[01:11:13.401 --> 01:11:13.881]  Oprah Winfrey.
[01:11:14.201 --> 01:11:18.724]  Well, the population control is something that they are concerned about because of climate change, isn't it?
[01:11:18.724 --> 01:11:22.506]  They think that this is... and they're not wrong either.
[01:11:22.506 --> 01:11:26.488]  It's creating climate change as far as they're concerned.
[01:11:26.488 --> 01:11:28.510]  But this is not in Western countries.
[01:11:28.510 --> 01:11:33.172]  Western countries are on form with this sort of thing because we're actually concerned about it.
[01:11:33.172 --> 01:11:35.494]  But places like China and India just don't care.
[01:11:35.494 --> 01:11:39.476]  And there's no way that we can compel them to care about the amount of pollutants they're putting out to the atmosphere.
[01:11:40.951 --> 01:11:56.827]  I watched just last night an old, like three, four-year-old documentary by RT Documentaries that was showing shipwrecking in India and how these people are treated worse than slaves 500 years ago and how they're paid $3 a day, no health care, no nothing.
[01:11:56.827 --> 01:11:57.788]  It was just nightmarish.
[01:11:58.413 --> 01:12:03.215]  Yeah, that's the neoliberal corporate consensus for you.
[01:12:03.215 --> 01:12:12.000]  It's okay to exploit these people in foreign countries as long as Nike gets to produce shoes at ridiculously cheap prices that Colin Kaepernick can get offended over.
[01:12:12.000 --> 01:12:26.387]  How did we, as a nation, it seems, stop caring about slave labor or goods being produced by slaves, and then embrace communist China and not care about total surveillance grids?
[01:12:26.387 --> 01:12:27.108]  I mean, it just seems like
[01:12:28.436 --> 01:12:35.863]  During the Obama era, there seemed to be a point when we went off a cliff where we just didn't even pay lip service to basic Western values anymore.
[01:12:35.863 --> 01:12:36.885]  It's quite wild, isn't it?
[01:12:36.885 --> 01:12:45.093]  Because after Edward Snowden and the rest showed that we were having everything surveilled, everyone just carried on as if it wasn't happening.
[01:12:45.093 --> 01:12:48.616]  I mean, it's still going on and no one complains.
[01:12:48.616 --> 01:12:50.098]  It just is normal now.
[01:12:50.498 --> 01:12:54.521]  It's just part of reality that everything you say on the internet or via phones or anything.
[01:12:54.521 --> 01:13:03.207]  I mean like Facebook the other day was revealed to be transcribing, paying contractors to transcribe voice calls made over Facebook.
[01:13:03.207 --> 01:13:03.448]  Why?
[01:13:04.448 --> 01:13:21.706]  Well, Paul Watson and I in 2005 found corporate perspectives put out by Google to shareholders that they were listening over microphones and sending it back to corporate headquarters and then designing advertising programs for people.
[01:13:21.706 --> 01:13:23.808]  But we were called conspiracy theorists even though we had
[01:13:24.898 --> 01:13:27.260]  The question is what do you think happens next?
[01:13:44.071 --> 01:13:49.552]  Um, I mean, the least scary option is that this is just a marketing ploy.
[01:13:49.552 --> 01:13:59.275]  Because one of the things that people notice, and you see a lot of people talking about it, go in front of your Alexa or something and start talking about something that you've never mentioned before.
[01:13:59.275 --> 01:14:01.436]  Some weird foreign product or something like that.
[01:14:01.436 --> 01:14:06.317]  And you'll see it in your Facebook recommendations or the adverts, you know, the tailored advertising.
[01:14:06.317 --> 01:14:09.838]  So, there definitely is something going on there.
[01:14:09.838 --> 01:14:10.858]  Oh, they admit they're doing that!
[01:14:11.178 --> 01:14:13.220]  Well yeah, but hopefully it's just for advertising.
[01:14:13.220 --> 01:14:15.381]  Hopefully it's just to try and get money out of you.
[01:14:15.381 --> 01:14:17.743]  That's the least nefarious thing that they could be doing.
[01:14:17.743 --> 01:14:24.789]  Well sure, that's just the Trojan Horse itself, but it's all really about total power, total surveillance.
[01:14:24.789 --> 01:14:27.251]  And that's why Facebook's now saying, whatever you do,
[01:14:29.591 --> 01:14:42.478]  Even outside of Facebook, we're monitoring it and we will affect your social credit score if you don't behave and do what we want for even stuff you did in the past that we may later change and say is now politically incorrect.
[01:14:43.704 --> 01:14:45.845]  Well, yeah, that's what happened to me with Patreon.
[01:14:45.845 --> 01:14:54.267]  I wasn't using Patreon when I was arguing with Nazis, incidentally, and that was what got me banned from Patreon.
[01:14:54.267 --> 01:14:59.889]  So, yeah, they're laying claim to your behaviour off of their platforms, which is rather terrifying.
[01:15:00.109 --> 01:15:03.592]  You brought up Epstein first and then I kind of took you down a rabbit trail.
[01:15:03.592 --> 01:15:05.393]  What else on your radar screen?
[01:15:05.393 --> 01:15:13.399]  What would you say your core issues are that made you so successful and so famous online and so loved by a lot of people and then made the left jealous of you?
[01:15:13.399 --> 01:15:18.782]  I mean, is it because you were able to convince the left because I wouldn't call you a right winger?
[01:15:18.782 --> 01:15:20.724]  How would you describe yourself and what are your main tenets?
[01:15:21.384 --> 01:15:26.548]  I'm an English liberal, so I guess you'd call me a centrist over here.
[01:15:26.548 --> 01:15:30.150]  I think that the right has some things that are correct and the left has some things that are correct.
[01:15:30.150 --> 01:15:45.020]  But the problem is at the moment, the right has committed to its republican values, but the left has failed to acknowledge that these are worthy values and have actually decided that radical left-wing values, socialism and communism, are actually more morally
[01:15:46.462 --> 01:15:48.127]  More morally superior.
[01:15:48.127 --> 01:15:50.775]  And so they've shifted dramatically to the left.
[01:15:50.775 --> 01:15:52.700]  There's lots of studies and data that show this.
[01:15:57.293 --> 01:16:03.017]  Finally, there's a way for you to get into the blockchain, the hottest financial sector without all the speculation.
[01:16:03.017 --> 01:16:08.140]  Now, enjoy a 27% annualized payment each month without the ups and downs of Bitcoin.
[01:16:08.140 --> 01:16:15.846]  Seen on programs broadcast on Fox Business News, blockchain data centers offer an equipment leasing program in the explosive digital asset marketplace.
[01:16:15.846 --> 01:16:23.731]  Inspired by entrepreneurs who sold picks and shovels during the gold rush, the money is in the mining equipment used to manufacture dozens of critical digital assets.
[01:16:23.891 --> 01:16:25.691]  Not a security IPO or note.
[01:16:25.691 --> 01:16:35.213]  Blockchain data centers have a proven turnkey equipment sale leaseback program with a 27% annualized lease payment deposited into your bank account each month.
[01:16:35.213 --> 01:16:36.053]  Don't miss this one.
[01:16:36.053 --> 01:16:37.354]  Stake your claim today.
[01:16:37.354 --> 01:16:37.634]  Call 800-600-3388.
[01:16:37.634 --> 01:16:37.934]  That's 800-600-3388.
[01:16:37.934 --> 01:16:40.034]  These valuable lease contracts won't last long.
[01:16:40.034 --> 01:16:40.274]  Call now.
[01:16:40.274 --> 01:16:40.354]  800-600-3388.
[01:16:40.354 --> 01:16:40.394]  800-600-3388.
[01:16:50.776 --> 01:16:51.156]  We're good to go.
[01:17:20.037 --> 01:17:27.999]  Hi, I'm Dan Pilla.
[01:17:27.999 --> 01:17:31.920]  I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[01:17:31.920 --> 01:17:33.461]  I sued the IRS and won.
[01:17:33.461 --> 01:17:36.402]  I beat the IRS then, and I've been beating them ever since.
[01:17:36.402 --> 01:17:41.603]  I wrote the book on tax debt settlement, and I've helped thousands of people deal with tax problems they thought might never be solved.
[01:17:41.963 --> 01:17:43.164]  I can help you too.
[01:17:43.164 --> 01:17:46.106]  If you owe taxes you can't pay, don't wait another day.
[01:17:46.106 --> 01:17:48.328]  There's no such thing as a hopeless tax case.
[01:17:48.328 --> 01:17:52.771]  Call 800-34-NO-TAX or go to my website, danpilla.com.
[01:17:52.771 --> 01:18:01.116]  That's danpilla.com, danpilla.com.
[01:18:01.116 --> 01:18:04.559]  It's just heavy, heavy, heavy.
[01:18:04.559 --> 01:18:07.781]  Make no mistake, it's... We're not in Kansas anymore.
[01:18:07.781 --> 01:18:09.582]  We're not in Kansas anymore.
[01:18:12.659 --> 01:18:17.343]  If you have a corrupt media, you don't have a democracy.
[01:18:17.343 --> 01:18:20.446]  I don't think we've seen division like this in America since Vietnam.
[01:18:20.446 --> 01:18:22.427]  It's a form of fascism.
[01:18:22.427 --> 01:18:26.190]  The high court will examine free speech rights and social media.
