[00:00:13.977 --> 00:00:18.842]  Defending the Republic from enemies foreign and domestic.
[00:25:51.170 --> 00:25:53.571]  As it waves its arms at you, it still wins.
[00:25:53.571 --> 00:25:57.573]  So I want to play this clip of Limbaugh, because remember, we can put it on screen.
[00:25:57.573 --> 00:25:59.214]  Anybody can type into a search engine.
[00:26:00.060 --> 00:26:07.344]  We writers, just to point out how we've been right, because they're always saying we're fake and they're trying to shut us down, because we're telling the truth.
[00:26:07.344 --> 00:26:11.227]  We are really the standard of as most accurate as you're going to get.
[00:26:11.227 --> 00:26:14.008]  We make mistakes sometimes, but we're trying to tell the truth.
[00:26:14.008 --> 00:26:15.029]  Opposite of CNN.
[00:26:15.029 --> 00:26:21.013]  So they brand us as fake, as making stuff up, and blah, blah, blah.
[00:26:21.013 --> 00:26:22.393]  All this because they're the fraud.
[00:26:24.127 --> 00:26:31.917]  The years I've been telling you about the Deep State Coup, the 25th Amendment, exactly how they were doing it, the rogue elements who was involved, you can see it.
[00:26:31.917 --> 00:26:43.011]  And then, it's been months that the documents have come out, and the emails, and the text messages, and the congressional testimonies, exactly as I said, Sprock and all these guys are scared going, we're gonna go to jail!
[00:26:47.714 --> 00:26:48.495]  We're good to go.
[00:27:17.108 --> 00:27:27.551]  Alright, it appears that we have just lost Alex, but he will be joining us in the next segment, or if he's able to get through here before the end of this segment, I'm sure he will, but I can finish off the analogy he's making.
[00:27:27.551 --> 00:27:40.455]  If you understand the history, Tokyo Rose was a Japanese broadcaster that would go on air, I believe it was after we dropped the atom bombs on Japan, and would say, oh, the U.S.
[00:27:40.455 --> 00:27:41.736]  armies are retreating!
[00:27:41.736 --> 00:27:43.196]  Japanese victory for all!
[00:27:43.196 --> 00:27:43.696]  Hooray!
[00:27:43.696 --> 00:27:45.237]  Today's a great day for Japan!
[00:27:46.494 --> 00:28:02.764]  That's what CNN, MSNBC, ABC, NBC, New York Times, Washington Post does when they say every new story they run, Cohen's gonna bring down Trump, Manafort will bring down Trump, Stone will bring down Trump, and the list goes on and on.
[00:28:02.764 --> 00:28:04.845]  Russian collusion, they have no Russian collusion.
[00:28:04.845 --> 00:28:08.308]  I mean, they've tried everything.
[00:28:08.308 --> 00:28:15.012]  And so they've got their minions on air as the Tokyo Roses telling the brainwashed masses
[00:28:16.448 --> 00:28:19.009]  That everything's gonna be okay.
[00:28:19.009 --> 00:28:20.490]  Don't worry.
[00:28:20.490 --> 00:28:23.131]  We're gonna get Trump.
[00:28:23.131 --> 00:28:24.852]  We've got him.
[00:28:24.852 --> 00:28:26.893]  We've got the evidence.
[00:28:26.893 --> 00:28:27.914]  We've got the documents.
[00:28:27.914 --> 00:28:29.255]  We've got the Russian collusion.
[00:28:29.255 --> 00:28:29.995]  We've got it all.
[00:28:29.995 --> 00:28:33.017]  And we're gonna get Trump.
[00:28:33.017 --> 00:28:41.141]  But the truth is, Trump's got all the evidence on them.
[00:28:41.141 --> 00:28:43.202]  Alex Jones, would you like to take us to break?
[00:28:44.679 --> 00:28:46.381]  Sorry, my line cut out.
[00:28:46.381 --> 00:28:52.468]  When we come back, I'm going to try to settle down and just lay out the big picture of what's about to happen next and why the enemy's coming after everybody.
[00:28:52.468 --> 00:28:53.990]  InfoWars is only the first domino.
[00:28:53.990 --> 00:28:54.631]  We all know that.
[00:28:54.631 --> 00:28:55.672]  Everything's confirmed.
[00:28:55.672 --> 00:28:57.534]  We've been dead on, so just stay with us.
[00:29:01.710 --> 00:29:04.791]  At its regular price, it's a little over $3.
[00:29:04.791 --> 00:29:09.672]  When we have it discounted, it's about $2.50 a piece.
[00:29:09.672 --> 00:29:13.653]  Comparable bars are between $5 and $7 a piece at Whole Foods.
[00:29:13.653 --> 00:29:15.053]  This is high-end.
[00:29:15.053 --> 00:29:17.994]  When you get one box, you get them at basically $3.
[00:29:17.994 --> 00:29:22.395]  You get them for $2.50 or so when you get it at the current launch discount.
[00:29:23.015 --> 00:29:31.927]  This took over a year to get the top manufacturing developer in the country to get it all ready and to have the manufacturing line prepared and to make this.
[00:29:31.927 --> 00:29:34.350]  It's available exclusively at InfoWarsLife.com.
[00:29:34.350 --> 00:29:34.751]  It's simple.
[00:29:34.751 --> 00:29:40.378]  You get the highest quality protein bars in two different flavors and you fund the war against the globalists.
[00:29:40.839 --> 00:29:41.299]  We're good to go.
[00:30:00.413 --> 00:30:03.194]  Stress is a natural part of life.
[00:30:03.194 --> 00:30:09.476]  Work, family, friends, and everyday accidents can put a lot of strain on the body and your mood.
[00:30:09.476 --> 00:30:11.216]  Don't let life weigh you down.
[00:30:11.216 --> 00:30:18.078]  Happies is a powerful mood and stress support formula that has your back against life's daily inconveniences.
[00:30:18.078 --> 00:30:24.260]  Made with ancient ingredients used for thousands of years, Happies can help you take back the day.
[00:30:24.260 --> 00:30:30.022]  With our powerhouse formula, Happies can be an important part of your daily supplement routine.
[00:30:30.362 --> 00:30:38.609]  With poor diet and the constant on and off of your work life, it's more important than ever to support your body in the fight against stress.
[00:30:38.609 --> 00:30:49.498]  With powerful ingredients combined to help support the mind and body, Happies helps support during stress, promotes overall well-being, and helps support your mood.
[00:30:49.498 --> 00:30:51.620]  Don't live your life bogged down.
[00:30:51.620 --> 00:30:58.346]  Help your body overcome the effects of daily stress and pressure today with Happies from InfoWarsStore.com.
[00:31:00.393 --> 00:31:06.717]  We're bringing back one of the biggest fan favorite formulas we've ever offered with even better ingredients.
[00:31:06.717 --> 00:31:08.257]  Ultimate Bone Broth.
[00:31:08.257 --> 00:31:14.601]  Info Wars Life is proud to bring you a powerhouse bone broth formula to help push you to your limits.
[00:31:14.601 --> 00:31:18.043]  This incredible formula will help you get the most out of your workout.
[00:31:18.303 --> 00:31:35.917]  With the power of ultra-high quality bone broth, one of the most popular health trends on the planet, built with more than seven different superfoods and crucial compounds, Ultimate Bone Broth will help support your healthy muscles, digestion, tendons and ligaments, while also supporting your body's fight against free radicals.
[00:31:35.917 --> 00:31:41.182]  This incredible chicken bone broth formula contains time-tested ingredients such as turmeric root,
[00:31:41.722 --> 00:31:47.750]  Chaga mushroom, goji berry powder, bee pollen, and alfalfa herb powder to support your body.
[00:31:47.750 --> 00:31:51.736]  It's time to experience what Ultimate Bone Broth can do for you.
[00:31:51.736 --> 00:31:53.879]  Get Ultimate Bone Broth now at 50% off.
[00:32:00.382 --> 00:32:03.985]  InfoWars Life is bringing you a breakthrough in modern medicine.
[00:32:03.985 --> 00:32:05.746]  Introducing Pollen Block.
[00:32:05.746 --> 00:32:17.814]  We have found an extraordinary new, natural way to alleviate seasonal distress symptoms, including promoting clear nasal and sinus passageways, eye comfort, and respiratory function.
[00:32:17.814 --> 00:32:26.540]  In the 1960s, researchers in France noticed that people who ate certain quail eggs experienced less seasonal immune and inflammatory responses.
[00:32:27.000 --> 00:32:32.743]  They began studying this effect in published trials, and decades later, we now have the fruit of this research.
[00:32:32.743 --> 00:32:38.046]  A fast-acting, chewable tablet that helps alleviate seasonal distress symptoms.
[00:32:38.046 --> 00:32:40.647]  Pollen block is natural and effective.
[00:32:40.647 --> 00:32:42.368]  It is not an antihistamine.
[00:32:42.368 --> 00:32:52.374]  In fact, current research has found that it actually acts by blocking the activity of tryptase, which is an enzyme that amplifies immune and inflammatory responses in the body.
[00:32:52.374 --> 00:32:54.475]  Go outside and enjoy the air you breathe!
[00:32:55.015 --> 00:33:03.399]  Head to Infowarslife.com and grab a pack of our Pollen Block chewable tablets.
[00:33:03.399 --> 00:33:06.040]  You're listening to the Alex Jones Show!
[00:33:11.283 --> 00:33:11.883]  We've got it.
[00:33:11.883 --> 00:33:18.406]  This transmission is coming to you.
[00:33:18.406 --> 00:33:22.788]  Waging war on corruption.
[00:33:22.788 --> 00:33:28.410]  It's Alex Jones coming to you live from the front lines of the InfoWar.
[00:33:39.691 --> 00:33:45.834]  Truly an incredible time to be alive, ladies and gentlemen.
[00:33:45.834 --> 00:33:47.895]  Welcome back to the Alex Jones Show.
[00:33:47.895 --> 00:33:52.037]  Alex Jones is on the line with us.
[00:33:52.037 --> 00:33:56.739]  And it's really impossible to measure what is the biggest news right now.
[00:33:56.739 --> 00:33:59.560]  Of course, it's all connected.
[00:33:59.560 --> 00:34:01.361]  It all stems from the same thing.
[00:34:01.361 --> 00:34:06.443]  A bunch of kleptocrat, bureaucrat, technocrats
[00:34:07.697 --> 00:34:12.118]  Have occupied the US government and we're selling it down the drain and we're ready to overflow it.
[00:34:12.118 --> 00:34:14.758]  The American people rose up and elected Donald Trump.
[00:34:14.758 --> 00:34:30.742]  And now that group of vicious criminals are doing everything they possibly can to stop America from getting out of the corpse that they were nailing shut and identifying them and doing what God's justice may be.
[00:34:30.742 --> 00:34:31.222]  So Alex,
[00:34:32.296 --> 00:34:48.647]  What do the American people do when they see that there is an open coup against the President of the United States, when there's media hoaxes every week now trying to demonize the President and his supporters, and, of course, you have the Russian collusion narrative totally boomeranging back onto the Democrats.
[00:34:48.647 --> 00:34:49.968]  When will that investigation happen?
[00:34:49.968 --> 00:34:53.811]  So, it's really an amazing, we call it the quickening, Alex.
[00:34:53.811 --> 00:34:58.654]  It's really amazing that all this is happening at once, and it just provides really a window
[00:35:00.655 --> 00:35:08.240]  Into how the deep state operates and how they've been in control for so long and how they're panicking right now that they're losing their grasp on the public.
[00:35:08.240 --> 00:35:08.620]  That's right.
[00:35:08.620 --> 00:35:13.704]  Let me try to answer that incredibly well stated question this way.
[00:35:13.704 --> 00:35:16.405]  Ladies and gentlemen, there's a thousand channels out there on cable.
[00:35:16.405 --> 00:35:18.607]  There's a million channels on the internet.
[00:35:18.607 --> 00:35:21.469]  And most of it is absolute pure garbage that's been done by the sign.
[00:35:22.389 --> 00:35:25.113]  But what is the most censored, most demonized, most attacked thing out there?
[00:35:25.113 --> 00:35:29.258]  It's InfoWars.com, it's NewsWars.com, it's President Trump.
[00:35:29.258 --> 00:35:31.220]  Now, why is that?
[00:35:31.220 --> 00:35:34.324]  And they also constantly want to get rid of DrugReport.com.
[00:35:34.324 --> 00:35:35.085]  It's because...
[00:35:35.988 --> 00:35:37.109]  Importers are perfect.
[00:35:37.109 --> 00:35:37.970]  I'm not perfect.
[00:35:37.970 --> 00:35:39.291]  But I mean well.
[00:35:39.291 --> 00:35:40.191]  I'm trying to tell the truth.
[00:35:40.191 --> 00:35:41.192]  I care about the country.
[00:35:41.192 --> 00:35:43.894]  The president does some things I don't like.
[00:35:43.894 --> 00:35:46.916]  But I know for a fact he's actually the president.
[00:35:46.916 --> 00:35:48.638]  He actually calls the shots.
[00:35:48.638 --> 00:35:49.638]  Not the bureaucrats.
[00:35:49.638 --> 00:35:51.580]  He's gotten rid of almost all the lobbyists.
[00:35:51.580 --> 00:35:54.042]  And that's why they're so angry.
[00:35:54.042 --> 00:35:59.386]  He's actually trying to do things he thinks is best for the country.
[00:35:59.386 --> 00:35:59.646]  Period.
[00:36:00.425 --> 00:36:06.890]  And that's why they're angry, is all these special interests from Hollywood, the Chi-Coms, the rest of them, don't have full control.
[00:36:06.890 --> 00:36:10.353]  And they're fighting for what they think was already their quarry.
[00:36:10.353 --> 00:36:11.834]  What they already owned.
[00:36:11.834 --> 00:36:13.455]  What they'd already captured.
[00:36:13.455 --> 00:36:14.616]  What they had already usurped.
[00:36:14.616 --> 00:36:21.742]  And so, I was trying to tell the guys during the break, and gals over at the office, what we're going to call this show today once it's posted at Infowars.com.
[00:36:23.073 --> 00:36:31.497]  Sometimes the full show, even though we've been censored, ends up having a million viewers in the next few days and people get excited about it and email it out and share it.
[00:36:31.497 --> 00:36:32.917]  People don't, it's about 50,000 views.
[00:36:32.917 --> 00:36:38.460]  The live show has millions tuned in right now, but the archive of this is really important.
[00:36:38.460 --> 00:36:42.962]  We pay for the bandwidth, we pay for the servers, we do all this because we need to have a record.
[00:36:44.433 --> 00:36:47.255]  Of what we've said, because that's the power of Infowars.
[00:36:47.255 --> 00:36:52.918]  Later, when it comes true, it's that evergreen power that scares the power structure so much.
[00:36:52.918 --> 00:36:57.220]  That's why the only people that can carry the ball during the censorship is the audience.
[00:36:57.220 --> 00:36:59.021]  So again, you're more important than ever.
[00:36:59.021 --> 00:37:02.162]  So, here's what's happening.
[00:37:02.162 --> 00:37:04.504]  We're in the middle of an attempt to complete overthrow of the country.
[00:37:04.504 --> 00:37:11.467]  Trump and the American people, through a nationalist insurgency, because the Globals were so arrogant, got Trump in and a beachhead.
[00:37:11.467 --> 00:37:12.928]  That has been fought to a standstill.
[00:37:13.686 --> 00:37:15.247]  The Deep State's been exposed on many fronts.
[00:37:15.247 --> 00:37:15.868]  They're in trouble.
[00:37:15.868 --> 00:37:18.990]  But for whatever reason, Trump isn't moving against them.
[00:37:18.990 --> 00:37:22.192]  And so I've fought long and hard about this and what's really going on.
[00:37:22.192 --> 00:37:40.205]  And the truth is, Trump is surrounded by a bunch of yes-men who are following a lot of his orders but still not willing to go on the offense against the globalist criminals politically, economically, and through the judicial system.
[00:37:40.205 --> 00:37:40.625]  Okay, fine.
[00:37:41.588 --> 00:37:43.149]  It's up to us to do that.
[00:37:43.149 --> 00:37:46.252]  So yeah, I don't like some of his compromises on immigration.
[00:37:46.252 --> 00:37:47.813]  I don't like some of the other deals he's made.
[00:37:47.813 --> 00:37:51.456]  But if you look at everything in the main, he's at least our president.
[00:37:51.456 --> 00:37:52.757]  The globalists are angry about that.
[00:37:52.757 --> 00:38:00.083]  They're trying to remove him because what they've got in store is so much worse if they get in.
[00:38:00.083 --> 00:38:01.163]  Has he gotten it all done?
[00:38:01.163 --> 00:38:01.964]  He's gotten a lot done.
[00:38:01.964 --> 00:38:03.005]  He's done a great job in many ways.
[00:38:04.215 --> 00:38:08.140]  But if we just sit here and are holier-than-thou like Ian Coulter, we're going to lose the whole shooting match.
[00:38:08.140 --> 00:38:11.745]  Listen, Hillary was going to crack down on free speech and do a bunch of bad stuff once she got in.
[00:38:11.745 --> 00:38:12.746]  That was admitted.
[00:38:12.746 --> 00:38:20.497]  But now that they've had their nose bloodied, and their ribs politically broken, and their leg broken, they aren't going to give us any quarter.
[00:38:20.497 --> 00:38:21.959]  When they get back into power...
[00:38:22.927 --> 00:38:26.630]  They're going to come for the guns, your children, the borders.
[00:38:26.630 --> 00:38:27.650]  They're going to start wars.
[00:38:27.650 --> 00:38:29.112]  They've said they're going to do it.
[00:38:29.112 --> 00:38:32.114]  They are in a mad dog, insane craze.
[00:38:32.114 --> 00:38:33.655]  Talking about 70-90% taxes.
[00:38:33.655 --> 00:38:36.577]  Talking about, you're going to have your meat taken away from you.
[00:38:36.577 --> 00:38:37.177]  Guaranteed.
[00:38:37.177 --> 00:38:39.379]  Cory Booker.
[00:38:39.379 --> 00:38:40.680]  America sucks.
[00:38:40.680 --> 00:38:42.321]  It was never great.
[00:38:42.321 --> 00:38:43.862]  These are enemies.
[00:38:43.862 --> 00:38:47.205]  They were hired and chosen because they're low IQ traders.
[00:38:47.205 --> 00:38:51.628]  They will serve the CHICOMs and the megacorporations and the Apples and the Tim Cooks.
[00:38:52.899 --> 00:38:54.240]  And here's the good part about it.
[00:38:54.240 --> 00:38:56.962]  God always says this in the Bible, and I've seen it in my own life.
[00:38:56.962 --> 00:38:59.203]  It's all true.
[00:38:59.203 --> 00:39:10.510]  Evil, when it thinks it's about to take over, shows who it is, and we have all been shown the abject, insane, over-the-top, foaming-at-the-mouth evil of these people.
[00:39:10.510 --> 00:39:14.752]  They have really shown us just how bad they are and all the crazy things.
[00:39:14.752 --> 00:39:17.414]  When we come back, we'll get into it, and then I'll get out of here.
[00:39:17.414 --> 00:39:21.076]  This Chessie Smollett, Mullet guy,
[00:39:22.074 --> 00:39:37.112]  Well, of course, obviously there weren't two dudes in Chicago in the middle of 20 Below in the night running up to some black gay actor and putting a noose around his neck and dumping bleach on him and calling him the N-word and keep America great and make America great.
[00:39:38.292 --> 00:39:39.894]  Obviously that was out of central casting.
[00:39:39.894 --> 00:39:42.416]  Well now they busted the Nigerians trying to get out of the country.
[00:39:42.416 --> 00:39:44.097]  The Nigerians have turned state's evidence.
[00:39:44.097 --> 00:39:44.938]  We knew this days ago.
[00:39:44.938 --> 00:39:48.701]  Now even CNN is having to admit it and get ahead of it.
[00:39:48.701 --> 00:39:53.986]  And now reportedly the police are looking for the so-called empire actor.
[00:39:54.386 --> 00:40:03.591]  But all he was doing was continuing what he sees on HBO, on ABC, on NBC, on Netflix.
[00:40:03.591 --> 00:40:08.775]  Every show you tune into is how white people are all racist and how black people are oppressed.
[00:40:08.775 --> 00:40:13.958]  It's a wonder more black people aren't rioting or killing people or staging things.
[00:40:13.958 --> 00:40:19.401]  Because you turn on television and every program you see is kind of an erasion program.
[00:40:20.465 --> 00:40:21.706]  ...manipulate black people.
[00:40:21.706 --> 00:40:25.828]  Black people and women are targeted by high-tech brainwashing.
[00:40:25.828 --> 00:40:35.172]  So instead of hating them and getting down to the level of the brainwashing, as most black folks don't buy it, most women don't buy it, we have to reach out to these people and show them the programming and imagine...
[00:40:36.030 --> 00:40:42.513]  We're not supposed to question public events like dead babies and incubators that didn't happen to start the Iraq War, or other events.
[00:40:42.513 --> 00:40:47.215]  But this just proves it to everybody that almost every hate crime out there is staged.
[00:40:47.215 --> 00:40:54.439]  Because the truth is, America and England and other countries and the nations that ended slavery were the ones that first said, get rid of it.
[00:40:54.439 --> 00:41:00.622]  So how are we the bad people for being the first ones that got rid of it, when in Africa and the Middle East, it's still legal?
[00:41:00.622 --> 00:41:03.824]  So when we come back, we'll talk about that, but again to the audience.
[00:41:03.824 --> 00:41:04.664]  Ladies and gentlemen,
[00:41:05.564 --> 00:41:08.188]  It's an epic track whether InfoWars is going to be able to continue on.
[00:41:08.188 --> 00:41:09.330]  I've tried to expand.
[00:41:09.330 --> 00:41:10.652]  The enemies want us to stand still.
[00:41:10.652 --> 00:41:13.998]  I hate to be honest about that and admit it, but you've seen everything they've done.
[00:41:13.998 --> 00:41:16.922]  The censorship, the attacks, the kicking us off, everything.
[00:41:16.922 --> 00:41:18.024]  The suing us.
[00:41:18.024 --> 00:41:18.865]  But we can win!
[00:41:19.808 --> 00:41:25.409]  The audience goes, wow, I need high-quality toothpastes, fluoride-free, oil, silver, iodine, fortified.
[00:41:25.409 --> 00:41:26.950]  I need high-quality coffee.
[00:41:26.950 --> 00:41:34.552]  I need to get great protein bars that are $5, $6, $7 value at Whole Foods for $3 a piece on average.
[00:41:34.552 --> 00:41:41.513]  Right now, $2.40 per bar in the 12-packs we're selling of the new high-end InfoWars protein bars.
[00:41:41.513 --> 00:41:43.434]  I guess they'll call that snake protein next.
[00:41:43.434 --> 00:41:48.255]  The media demonizes it that we dare, after they've taken everything from us, sell great products to you,
[00:41:48.835 --> 00:41:50.356]  So you support us, we get the word out.
[00:41:50.356 --> 00:41:50.916]  So here's the deal.
[00:41:50.916 --> 00:41:55.678]  I want to thank all the listeners that have brought products from Forestore.com.
[00:41:55.678 --> 00:41:57.919]  But you hear a lot of marketing, a lot of stuff out there.
[00:41:57.919 --> 00:41:59.640]  My marketing is straight shooting.
[00:41:59.640 --> 00:42:06.483]  We've got great supplements, the best fish oil, the best nootropics, the best energy products out there.
[00:42:06.483 --> 00:42:14.106]  TurboForce, BrainForce Plus, all of it is 50% off right now, but we've got it in the sale in the next few days because we're running low on BrainForce.
[00:42:14.566 --> 00:42:14.906]  I think so.
[00:42:33.038 --> 00:42:34.059]  We are the people.
[00:42:34.059 --> 00:42:36.100]  People always say, we're the patriots.
[00:42:36.100 --> 00:42:38.042]  Why don't we stand up against the New World Order?
[00:42:38.042 --> 00:42:39.343]  Why don't we stand up against Iliadus?
[00:42:39.343 --> 00:42:48.630]  We're doing it thanks to you, but now we're in the middle of the most intense fight ever, and it's going to get more intense, so we need your commitment now at infowaresport.com.
[00:42:48.630 --> 00:42:59.038]  We're not calling toll-free, triple-8-2-5-3-3-1-3-9, but whatever you do, spread the word about the broadcast every day, because you are the resistance, and they can't stop you when you take action.
[00:42:59.038 --> 00:43:00.319]  We'll be back with Critical Role.
[00:43:01.259 --> 00:43:05.243]  No, I'm still strong at 45 is that I won't be there for my children someday.
[00:43:05.243 --> 00:43:07.024]  That's why I need to make them strong now.
[00:43:07.024 --> 00:43:08.786]  Now I can be there for my children.
[00:43:08.786 --> 00:43:10.628]  Now I can make them strong.
[00:43:10.628 --> 00:43:12.269]  Now I can instruct them.
[00:43:12.269 --> 00:43:15.131]  Now I can teach them what I've learned, but not once I'm gone.
[00:43:15.131 --> 00:43:20.256]  You think of this digital age, your words going forever, but now they're even better getting rid of what you said they were before.
[00:43:20.256 --> 00:43:25.040]  It's so much easier to burn video or text or languages now that we have high tech book
[00:43:25.100 --> 00:43:25.820]  Burning isn't it?
[00:43:25.820 --> 00:43:29.463]  But I have joined my will to the resistance.
[00:43:29.463 --> 00:43:34.426]  I can't be destroyed now as long as I realize I've done right and as long as the people know the truth.
[00:43:34.426 --> 00:43:41.331]  And you can't be destroyed either as long as you bind yourself to something and commit to it and go through the fire for it.
[00:43:41.331 --> 00:43:45.113]  There is a magic that then takes place that transcends space and time.
[00:43:45.113 --> 00:43:49.376]  When you commit via word of mouth or to pray for us or to spread our articles and videos,
[00:43:49.756 --> 00:43:52.721]  That overrides everything the enemy's doing.
[00:43:52.721 --> 00:43:55.946]  So please now, commit to support InfoWars however you can.
[00:43:55.946 --> 00:43:59.331]  And realize your provision to InfoWars is your own provision.
[00:44:00.416 --> 00:44:05.259]  As the years go by, it gets harder and harder to keep up with your body's nutritional needs.
[00:44:05.259 --> 00:44:14.726]  With changes in diet, unnatural ingredients, and stress, you may not be able to get all the necessary nutrients, amino acids, vitamins, and minerals needed daily.
[00:44:14.726 --> 00:44:19.549]  That's why InfoWars Life created the powerful Vitamin Mineral Fusion Formula.
[00:44:19.549 --> 00:44:27.795]  A new platinum standard of advanced multivitamin formulation, Vitamin Mineral Fusion uses a unique delivery system to maximize the effects
[00:44:27.895 --> 00:44:31.057]  And give your body the tools it needs to support your body.
[00:44:31.057 --> 00:44:39.963]  Using a proprietary process, we've managed to make this powerhouse formula into a delicious, concentrated drink mix that's loaded with high-quality ingredients.
[00:44:39.963 --> 00:44:48.789]  Perfect for a hot summer day or relaxing at home, Vitamin Mineral Fusion is loaded with 34 different essential vitamins, minerals, amino acids and more.
[00:44:48.789 --> 00:44:55.573]  Start supporting your body's needs in a great-tasting, natural and affordable drink mix with Vitamin Mineral Fusion today.
[00:44:55.573 --> 00:44:57.395]  Available at Infowarsstore.com.
[00:45:03.358 --> 00:45:12.784]  One of the most incredible cups of coffee can be found in the high mountains of southern Mexico, where the Chiapas farmers have spent years perfecting their techniques.
[00:45:12.784 --> 00:45:23.810]  Based off hundreds of years of traditional techniques and perfect conditions, we've sourced only the best to provide you with our immune support and Wake Up America Patriot Blend Coffee.
[00:45:24.190 --> 00:45:30.094]  Ancient Mayan knowledge is paired with the natural fertility of the land to generate the world's finest coffee beans.
[00:45:30.094 --> 00:45:41.621]  Carefully harvested and free of toxic chemicals used in big agricultural productions, Patriot Blend coffees have a smooth, bold flavor with great depth to give you just what you need in the morning.
[00:45:41.621 --> 00:45:45.883]  You can even choose to start your morning healthier with the Immune Support Blend.
[00:45:45.883 --> 00:45:52.007]  Infused with a powerful blend to support your immune response and stamina, it's time to take care of your morning routine.
[00:45:52.307 --> 00:46:01.092]  Get a bag of Patriot Blend coffee to support the show while enhancing your morning routine at InfoWarsStore.com.
[00:46:01.092 --> 00:46:01.592]  It's simple.
[00:46:01.592 --> 00:46:07.715]  If you want to beat the globalists, if you want to take on the new world order, I'm not doing Bitcoin pump and dumps with Jack Dorsey.
[00:46:07.715 --> 00:46:10.197]  I'm not sitting here selling you cancer cures.
[00:46:10.197 --> 00:46:13.839]  I'm not sitting here, you know, selling you late-term abortion and all the great it is.
[00:46:13.839 --> 00:46:16.600]  I just go out and say, what is the top heart pill?
[00:46:16.600 --> 00:46:17.701]  What is the top tumor?
[00:46:17.701 --> 00:46:19.822]  It's a bestseller because it's anti-inflammatory.
[00:46:19.822 --> 00:46:21.743]  And what's the best lab in the country?
[00:46:21.863 --> 00:46:22.904]  Okay, they're the highest rated.
[00:46:22.904 --> 00:46:24.846]  I'm like, you're only 50% curcuminoid?
[00:46:24.846 --> 00:46:28.589]  Well, yeah, they only put $5 product in the bottle, but that's still incredible, sir.
[00:46:28.589 --> 00:46:31.612]  I'm like, uh, what's the highest you could do a month later?
[00:46:31.612 --> 00:46:31.892]  Uh, 90, 95%.
[00:46:31.892 --> 00:46:33.333]  No one's ever done that.
[00:46:33.333 --> 00:46:35.255]  I said, how much does that cost per bottle?
[00:46:35.255 --> 00:46:36.176]  It costs $10.
[00:46:36.176 --> 00:46:37.697]  No one's ever done that.
[00:46:37.697 --> 00:46:40.400]  Sir, the average competitor's 3 to 5%.
[00:46:40.400 --> 00:46:41.200]  The top brand's 50%.
[00:46:41.200 --> 00:46:43.102]  I'm like, we're going to have 95% curcuminoid.
[00:46:44.363 --> 00:46:47.286]  I mean, you understand, like, that's, like, our information's explosive.
[00:46:47.286 --> 00:46:47.907]  Our fish oil.
[00:46:47.907 --> 00:46:50.429]  I go out and I get the cleanest, the best.
[00:46:50.429 --> 00:46:51.490]  My children take it.
[00:46:51.490 --> 00:46:55.834]  You think I'm gonna give you fish oil that isn't the very damn best on my soul?
[00:46:55.834 --> 00:46:58.857]  You think I'm gonna screw somebody over like one of these devil worshippers?
[00:46:58.857 --> 00:46:59.318]  Never!
[00:46:59.318 --> 00:47:03.422]  InfoWarship.com.
[00:47:03.422 --> 00:47:06.025]  You're listening to the Alex Jones Show.
[00:47:13.169 --> 00:47:15.830]  Waging war on corruption.
[00:47:15.830 --> 00:47:26.055]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:47:26.055 --> 00:47:35.300]  Thousands and thousands of times in the last 20 plus years on air, I've prepared for hours and gotten all the notes and all the articles together.
[00:47:35.300 --> 00:47:39.001]  And then the magnitude of it just gets me upset with the earnestness.
[00:47:39.001 --> 00:47:39.442]  But you know what?
[00:47:39.442 --> 00:47:42.163]  The Lord works mysterious ways, so thanks for putting up with me.
[00:47:43.653 --> 00:47:45.754]  But I go back to this.
[00:47:45.754 --> 00:47:48.455]  I've been fighting the globalists for 24 years on air.
[00:47:48.455 --> 00:47:50.436]  I've been politically active for 26.
[00:47:50.436 --> 00:47:57.039]  There are a lot of people came before us that knew what was happening and thank God for them and we wouldn't have any chance.
[00:47:57.039 --> 00:48:01.040]  And we better be thanking Donald Trump for our lucky stars here.
[00:48:01.040 --> 00:48:05.882]  Because I get persecuted for supporting Trump, he gets persecuted for supporting America.
[00:48:05.882 --> 00:48:07.143]  It doesn't mean he's perfect.
[00:48:07.143 --> 00:48:09.144]  It isn't even about Trump anymore.
[00:48:09.144 --> 00:48:11.645]  It's about the globalists wanting control of the nation.
[00:48:12.597 --> 00:48:15.419]  Just sign it over and control it.
[00:48:15.419 --> 00:48:16.540]  So think about Limbaugh.
[00:48:16.540 --> 00:48:17.501]  I mentioned this earlier.
[00:48:17.501 --> 00:48:18.762]  I didn't play it.
[00:48:18.762 --> 00:48:24.027]  He comes out and he says there's a silent coup using FBI agents and then the deep state against the president.
[00:48:24.027 --> 00:48:26.889]  Well, the Washington Post calls it that now.
[00:48:26.889 --> 00:48:28.130]  And defends it.
[00:48:28.130 --> 00:48:32.233]  Hell, people say I'm this rocket scientist and how did I know?
[00:48:32.233 --> 00:48:33.715]  Olin mentioned it earlier.
[00:48:33.715 --> 00:48:37.278]  Senator Schumer, when he was president-elect.
[00:48:37.278 --> 00:48:38.619]  Two days before the president got sworn in.
[00:48:39.477 --> 00:48:42.778]  So the Deep State has seven ways to Sunday to get back at somebody.
