[00:00:09.608 --> 00:00:13.493]  He's pounding down, loaded up and trucking.
[00:53:07.552 --> 00:53:10.574]  So thank God for the Hill.
[00:53:10.574 --> 00:53:14.317]  It is neither a conservative or liberal news site.
[00:53:19.466 --> 00:53:23.627]  Yeah, everything that John Solomon has been reporting on ends up coming true.
[00:53:23.627 --> 00:53:24.547]  Same with Sarah Carter.
[00:53:24.547 --> 00:53:25.968]  Again, they were both at Circa News.
[00:53:25.968 --> 00:53:27.808]  John Solomon now with The Hill.
[00:53:27.808 --> 00:53:31.969]  Another reporter that's been doing great work, Chuck Ross for The Daily Caller.
[00:53:31.969 --> 00:53:34.510]  He puts out this piece today.
[00:53:34.510 --> 00:53:38.791]  Senate panel hits back at Fusion GPS over op-ed claims.
[00:53:38.791 --> 00:53:42.793]  Spokesman for Chuck Grassley says that Fusion GPS asked during August 22nd
[00:53:44.173 --> 00:53:45.674]  I guess it was a hearing.
[00:53:45.674 --> 00:53:55.018]  For the transcript, for that transcript to be kept confidential and then Glenn Simpson of Fusion GPS declined an invitation for an open hearing.
[00:53:55.018 --> 00:54:05.542]  So this is Fusion GPS now, Roger, that is realizing that the heat is on them and they're trying to avoid any toxicity of this whole thing as well.
[00:54:06.806 --> 00:54:09.306]  Well, it is extraordinary.
[00:54:09.306 --> 00:54:10.267]  The worm is turning.
[00:54:10.267 --> 00:54:30.010]  We also have stunning news of my old partner and boyhood friend Paul Manafort's lawsuit against the bogus conduct of an investigation by Robert Mueller and the FBI, in this case, DOJ.
[00:54:30.010 --> 00:54:36.071]  Manafort and his lawyers have been keeping thread, as they say, for many, many months.
[00:54:36.773 --> 00:54:41.455]  Manafort's civil liberties have been systematically violated.
[00:54:41.455 --> 00:54:44.016]  His due process has been violated.
[00:54:44.016 --> 00:54:51.638]  The thug tactics of Mueller's bully boy hit squad have violated his constitutional rights.
[00:54:51.638 --> 00:54:58.321]  And I always believed there was a lawsuit or series of devastating lawsuits coming.
[00:54:58.974 --> 00:55:08.618]  Manafort is a feisty Italian-American, and he said from the beginning he would not plead guilty to things that he had not done.
[00:55:08.618 --> 00:55:16.502]  He refused the entreaties of the special counsel to simply roll on Donald Trump.
[00:55:16.502 --> 00:55:22.324]  We'll make all your tax problems, all your money laundering problems, if they're real, go away.
[00:55:22.324 --> 00:55:24.105]  Just give us the president.
[00:55:24.105 --> 00:55:28.307]  Just tell us that you colluded with the Russians and Trump knew everything.
[00:55:28.982 --> 00:55:34.944]  Manafort has refused to do this because to do so, he would have to lie.
[00:55:34.944 --> 00:55:37.005]  He would have to perjure himself.
[00:55:37.005 --> 00:55:53.170]  And now, Manafort strikes back in a devastating lawsuit that cuts to the heart of the abuse of power by Mueller and the Justice Department in this incredible witch hunt.
[00:55:53.170 --> 00:55:56.111]  And this is obviously going to be a story we're going to keep tabs on.
[00:55:57.751 --> 00:56:02.976]  And as I'm... I didn't even make this connection until just now hearing you talk about this.
[00:56:02.976 --> 00:56:13.365]  I'm wondering if there's any connection here with this lawsuit to the timing of this excoriation of Steve Bannon today.
[00:56:13.365 --> 00:56:19.991]  It was Steve Bannon, essentially in these alleged direct quotes in the book that came out, saying
[00:56:21.101 --> 00:56:30.871]  Manafort was laundering money to Russia through an intermediary, Jared Kushner, and that gets published apparently straight out of the mouth of Steve Bannon.
[00:56:30.871 --> 00:56:33.935]  He's yet to say that that quote isn't real.
[00:56:33.935 --> 00:56:39.901]  Breitbart actually ended up publishing that quote as if it were real, so who knows the story there.
[00:56:39.901 --> 00:56:43.525]  But I'm just curious now, I'm wondering if the timing of this
[00:56:44.747 --> 00:57:01.458]  Is someone orchestrated because it's an awfully great coincidence that the same day Manafort is suing back against the Mueller probe for entrapment, you've got Bannon saying that Manafort and Kushner are guilty.
[00:57:01.458 --> 00:57:04.100]  So that's just a weird another ripple that we have in this deal.
[00:57:04.860 --> 00:57:05.201]  Indeed.
[00:57:05.201 --> 00:57:10.624]  Look, I'm not going to criticize Steve Bannon because I don't think infighting in the movement is a good idea.
[00:57:10.624 --> 00:57:12.186]  I agree with Steve on many things.
[00:57:12.186 --> 00:57:14.908]  I disagree with him on others.
[00:57:14.908 --> 00:57:20.872]  He was, you know, he was addressed in the worst addressed list in a jovial manner.
[00:57:21.572 --> 00:57:31.840]  And I must say this, Michael Wolff, the author of this book, has a notorious reputation for falsification of words, lying, and making things up.
[00:57:31.840 --> 00:57:35.062]  So I'm going to give Bannon the benefit of the doubt.
[00:57:35.062 --> 00:57:36.223]  I do know this.
[00:57:36.223 --> 00:57:40.987]  Paul Manafort was not laundering money through Jared Kushner to Russia.
[00:57:40.987 --> 00:57:44.610]  It doesn't even make sense.
[00:57:44.610 --> 00:57:46.171]  All right, there goes Roger Stone.
[00:57:46.171 --> 00:57:47.031]  This is The War Room.
[00:57:47.031 --> 00:57:47.632]  We'll be right back.
[00:57:49.457 --> 00:57:56.899]  I am very proud to announce the introduction of the highest quality InfoWars Biome Defense Probiotic.
[00:57:56.899 --> 00:58:10.122]  We wanted to come out with the largest spectrum of high quality known probiotics that have been proven to improve overall digestion and health and detoxification in the body.
[00:58:11.062 --> 00:58:22.954]  Biome Defense is an exclusive blend of 50 billion live and active cultures from over 23 different probiotic strains that are known to support digestion and intestinal function.
[00:58:22.954 --> 00:58:28.919]  Our researchers are confident that we have been able to develop what will be the leading probiotic on the market.
[00:58:29.660 --> 00:58:38.683]  Secure your biome defense in ultra strength or regular strength at InfoWarsLife.com today and get started supporting your digestive system naturally.
[00:58:38.683 --> 00:58:46.885]  We've been testing this formula for years, but this is the limited first run to the public, so please take advantage of it today, support your own health, and support the InfoWar.
[00:58:49.881 --> 00:59:01.984]  Top scientists and researchers agree we are being hit by toxic weapons in the food and water supply that are making us fat, sick, and stupid.
[00:59:01.984 --> 00:59:03.364]  So what do we do about it?
[00:59:03.364 --> 00:59:06.685]  Well, for starters, don't just sit there and take it.
[00:59:06.685 --> 00:59:12.786]  Fight back with the all-new supercharged Brain Force Plus and feel the rush
[00:59:13.186 --> 00:59:14.467]  Without the crash.
[00:59:14.467 --> 00:59:20.670]  RainForce Plus is the next generation of advanced neural activation and nootropics.
[00:59:20.670 --> 00:59:26.613]  And now we've added a brand new ingredient called Black Pepper Fruit Extract.
[00:59:26.613 --> 00:59:28.614]  It gives you an added kick.
[00:59:29.434 --> 00:59:42.156]  Other ingredients include vitamin B12 and neurological tonic and cognitive enhancers that will allow you to flip the switch and supercharge your state of mind.
[00:59:42.156 --> 00:59:43.476]  It's the real deal.
[00:59:43.476 --> 00:59:45.217]  Brain Force Plus.
[00:59:45.217 --> 00:59:48.577]  Secure your bottle right now at InfoWarsStore.com.
[01:00:03.177 --> 01:00:08.599]  The silent majority is no longer silent.
[01:00:08.599 --> 01:00:14.102]  This is The War Room with Owens Troyer at infowars.com forward slash show.
[01:00:24.892 --> 01:00:27.193]  Welcome back to the War Room.
[01:00:27.193 --> 01:00:36.978]  I've got a series of video clips here that prove what Roger Stone was talking about here on the War Room months ago.
[01:00:36.978 --> 01:00:48.665]  That is, they are trying to invoke the 25th Amendment against President Trump in order to remove him from office.
[01:00:48.665 --> 01:00:50.866]  I've also got a stack of news on that.
[01:00:52.361 --> 01:01:01.230]  Especially when it comes to the tweet about or I guess against Kim Jong-un talking about the size of their red button.
[01:01:05.131 --> 01:01:16.442]  But, let's first start with this clip because, I mean, let's go full on, let's just get the craziest out there before we even get into the something that actually has a little substance to it.
[01:01:16.442 --> 01:01:19.145]  I mean, at least they are responding to a tweet.
[01:01:19.145 --> 01:01:21.987]  But this is a MSNBC clip.
[01:01:22.648 --> 01:01:28.272]  Where they say that Trump's sexual insecurity is threatening to annihilate the planet.
[01:01:28.272 --> 01:01:28.892]  This is true.
[01:01:28.892 --> 01:01:37.157]  His sexual insecurity, folks, here is MSNBC going, well, full Trump derangement syndrome.
[01:01:37.157 --> 01:01:46.082]  This interesting thought from Donald Trump about the size of his nuclear button and the threat that he just put up against the North Korean leader.
[01:01:46.082 --> 01:01:46.463]  Your thoughts?
[01:01:47.063 --> 01:01:56.768]  As we saw all through 2017, men with profound sexual insecurity can wreak a lot of havoc in the lives of women, in the lives of their families.
[01:01:56.768 --> 01:02:02.491]  But perhaps never have we seen men with profound sexual and masculine insecurities.
[01:02:02.491 --> 01:02:04.171]  Take a pause right there.
[01:02:04.171 --> 01:02:08.494]  This is the funniest thing that I find about mainstream news.
[01:02:08.494 --> 01:02:12.976]  And this is why InfoWars is so popular amongst thinking individuals.
[01:02:14.224 --> 01:02:14.885]  Think about this.
[01:02:14.885 --> 01:02:17.588]  This is how MSNBC conducts this segment.
[01:02:17.588 --> 01:02:25.278]  Okay, we've got this talking point here that Trump is sexually insecure and that's why he sent out the red button tweet to Kim Jong-un.
[01:02:25.278 --> 01:02:27.061]  So they're like, yeah, yeah, yeah.
[01:02:27.061 --> 01:02:28.362]  And so that's their talking point.
[01:02:29.488 --> 01:02:37.932]  So then this conehead-looking individual has to get up here and just force a conversation like, well, yeah, I mean, clearly he's sexually insecure.
[01:02:37.932 --> 01:02:39.213]  I mean, I've read the tweet.
[01:02:39.213 --> 01:02:41.014]  We've heard about the small hands.
[01:02:41.014 --> 01:02:42.575]  He responded to the small hands.
[01:02:42.575 --> 01:02:47.857]  And so they're up here pontificating over a nothing burger, over a talking point.
[01:02:47.857 --> 01:02:49.598]  We don't do talking points here.
[01:02:49.598 --> 01:02:51.920]  We do critical thinking and analysis.
[01:02:51.920 --> 01:02:54.341]  Let's go back to the talking point conehead.
[01:02:55.009 --> 01:02:55.089]  What?! !
[01:03:18.117 --> 01:03:19.158]  Yeah, yeah.
[01:03:19.158 --> 01:03:21.280]  I don't know who that goon is.
[01:03:21.280 --> 01:03:23.662]  I wonder, I mean, I don't know.
[01:03:23.662 --> 01:03:28.205]  Anand Giriharadas.
[01:03:28.205 --> 01:03:35.171]  Arad Giriharadas reports on the nuclear meltdown at Fukushima.
[01:03:35.171 --> 01:03:37.633]  I mean, he's sitting here talking about an uninhabitable planet.
[01:03:37.633 --> 01:03:47.061]  Okay, how about the nuclear radiation just leaking into the Pacific Ocean non-stop for almost 10 years now, is it?
[01:03:48.872 --> 01:03:55.194]  But it trumps sexual insecurity as a threat to a habitable planet.
[01:03:55.194 --> 01:04:00.876]  How about all the chemicals that we know they spray in the atmosphere, that they put in the water.
[01:04:00.876 --> 01:04:01.676]  I mean, think about that.
[01:04:01.676 --> 01:04:05.497]  They put chemicals in the water.
[01:04:05.497 --> 01:04:09.939]  That is a basic element for all of life on this planet.
[01:04:11.075 --> 01:04:31.968]  So they poison the water supply that we drink, they poison the water supply that we use to water our plants, water our animals, but Trump's sexuality is insecure, and that is a threat to the habitable planet that we live on.
[01:04:31.968 --> 01:04:36.570]  But Kim Jong-un, though, isn't the threat.
[01:04:36.570 --> 01:04:37.411]  It's President Trump.
[01:04:38.939 --> 01:04:43.702]  Now again, I'm not even sitting here saying whether I like these tweets or dislike these tweets.
[01:04:43.702 --> 01:04:47.044]  Just neutral on that subject.
[01:04:47.044 --> 01:04:48.045]  It's just sad.
[01:04:48.045 --> 01:04:49.206]  This is how I miss it.
[01:04:49.206 --> 01:04:58.351]  So Trump then tweets out, I will be announcing the most dishonest and corrupt media awards of the year Monday at 5 o'clock.
[01:04:58.351 --> 01:05:00.573]  Pike in Arizona, you're on the air worldwide, go ahead.
[01:05:01.500 --> 01:05:03.422]  Oh, Alex, you can rant any day of the week.
[01:05:03.422 --> 01:05:13.931]  Thank you, sir, for doing what you do and being a patriot and doing your best to save America and encouraging us as fellow patriots to do that in our local areas as well.
[01:05:13.931 --> 01:05:17.294]  And as a longtime InfoWars listener, I want to say thanks.
[01:05:17.774 --> 01:05:18.094]  Absolutely.
[01:05:40.211 --> 01:05:53.445]  Because then we could all, as educated patriots, help our other countrymen and women understand that there's bigger problems going on, and if we can get our houses in order and be good to each other and ourselves, we can take our country back.
[01:06:14.139 --> 01:06:16.067]  This is the War Room!
[01:06:29.105 --> 01:06:38.974]  So you first heard it reported at Infowars.com the Deep State would be trying to invoke the 25th Amendment and have President Trump removed from office.
[01:06:38.974 --> 01:06:41.016]  They're laying the groundwork for that right now.
[01:06:41.016 --> 01:06:42.777]  They don't quite have the votes.
[01:06:42.777 --> 01:06:44.799]  They do believe they can get the votes in the midterms.
[01:06:44.799 --> 01:06:48.122]  They'll be sadly mistaking on that.
[01:06:48.122 --> 01:06:49.964]  But Trump tweets this out yesterday.
[01:06:51.300 --> 01:06:56.664]  He says, I will be announcing the most dishonest and corrupt media awards of the year on Monday at five o'clock.
[01:06:56.664 --> 01:06:58.385]  I'm assuming that's next week.
[01:06:58.385 --> 01:07:03.569]  Subjects will cover dishonesty and bad reporting in various categories from the fake news media.
[01:07:03.569 --> 01:07:05.831]  Stay tuned.
[01:07:05.831 --> 01:07:08.693]  Is President Trump serious about this?
[01:07:08.693 --> 01:07:10.754]  I'm certainly looking forward to it.
[01:07:10.754 --> 01:07:14.817]  In fact, he probably is saying that's going to be Monday, five o'clock Eastern.
[01:07:14.817 --> 01:07:17.539]  That's four o'clock Central when the war room is live.
[01:07:17.539 --> 01:07:20.001]  So next Monday, we might be live when President Trump
[01:07:21.027 --> 01:07:39.798]  I guess move forward with this plan for the most dishonest media but you can really see how they operate as we were playing that last MSNBC clip and we've got another NBC clip we've got a Fox Business clip we've got a CNN clip here but you can see
[01:07:41.337 --> 01:07:44.859]  What I was talking about in the last segment, how they have a talking point.
[01:07:44.859 --> 01:07:50.921]  It's not about, here's the research that I did, or here's what my sources are saying, or here's how this is developing.
[01:07:50.921 --> 01:07:55.183]  It's, here's a Democrat created talking point, now let's pontificate on it.
[01:07:55.183 --> 01:07:56.524]  Okay, what's the talking point?
[01:07:56.524 --> 01:08:03.347]  Trump's crazy, and he has a small man part, and that's why he is tweeting to Kim Jong-un.
[01:08:03.347 --> 01:08:03.827]  Okay, go!
[01:08:05.305 --> 01:08:10.767]  And so there they go, and then the talking point is created, and then it manifests itself.
[01:08:10.767 --> 01:08:16.409]  Of course, I mean, Trump did create it by saying what he said in the tweet, which was, Okay.
[01:08:34.013 --> 01:08:44.237]  Now, Kim Jong-un has actually responded to that by trying to reach out to have talks with Seoul and South Korea, but regardless, look at how they respond.
[01:08:44.237 --> 01:08:49.740]  This is because they're trying to invoke the 25th Amendment, as we reported months ago.
[01:08:49.740 --> 01:08:55.522]  CNN says, why Twitter won't block Trump despite his nuclear threats?
[01:08:55.522 --> 01:08:56.903]  Oh, it's a nuclear threat now!
[01:08:57.671 --> 01:09:07.920]  It's a nuclear threat now when he's trying to stop the nuclear threat that is the radical North Korean regime.
[01:09:07.920 --> 01:09:09.821]  Trump's the bad guy.
[01:09:09.821 --> 01:09:14.265]  But yeah, they want Twitter to block President Trump for sure, which I actually have decided now.
[01:09:14.265 --> 01:09:15.406]  I hope Twitter does block Trump.
[01:09:16.531 --> 01:09:24.838]  I would love for Twitter to block President Trump because the first thing he does is either start a new social network of his own or move to Gab.
[01:09:24.838 --> 01:09:27.980]  Either one of those formulas means Twitter dies.
[01:09:27.980 --> 01:09:30.522]  So please, Twitter, block President Trump.
[01:09:30.522 --> 01:09:31.603]  But they're smarter than that.
[01:09:31.603 --> 01:09:34.305]  They know that Trump is the only reason why they're probably not going under.
[01:09:35.851 --> 01:09:40.813]  You've got Hillary's spokesman calls for Trump to be banned from Twitter over Newt tweet.
[01:09:40.813 --> 01:09:42.094]  That's Brian Fallon.
[01:09:42.094 --> 01:09:42.754]  So there you go.
[01:09:42.754 --> 01:09:43.595]  Yeah.
[01:09:43.595 --> 01:09:44.915]  Oh, how dare he?
[01:09:44.915 --> 01:09:58.802]  We've got all of these good racist liberals tweeting death to President Trump, tweeting death to white people, you know, insulting his family, saying things about Barron, but Trump needs to be banned for addressing the North Korean situation.
[01:09:58.802 --> 01:10:04.805]  Morning Joe, Trump's nuclear button tweet suggests President is demented and deranged.
[01:10:05.795 --> 01:10:06.716]  Oh.
[01:10:06.716 --> 01:10:10.959]  I thought they were talking about Mika and Joe as demented and deranged.
[01:10:10.959 --> 01:10:11.780]  But no, I was wrong.
[01:10:11.780 --> 01:10:12.520]  It was actually Trump.
[01:10:12.520 --> 01:10:13.401]  I should have known that, though.
[01:10:13.401 --> 01:10:16.123]  That's just one of their favorite talking points.
[01:10:16.123 --> 01:10:27.212]  You've got The View goes off on Trump's intensely phallic, intensely phallic, they say, nuclear brag needs to be medicated and hospitalized.
[01:10:27.212 --> 01:10:30.695]  Again, that's probably the entire staff of The View, but I digress.
[01:10:30.695 --> 01:10:31.435]  Joy Baer says,
[01:10:32.389 --> 01:10:37.792]  Trump needs to be medicated and hospitalized at this point or he's just going to kill all of us.
[01:10:37.792 --> 01:10:52.361]  Well I would base, I would say my conclusion based on what you said is that you are the one that indeed needs to be medicated and hospitalized and probably put in a straight jacket in a rubber room before you kill yourself.
[01:10:52.361 --> 01:10:58.985]  So then she speculates he'll blow the whole world up so that his stupid sons don't have to go to jail.
[01:10:59.926 --> 01:11:04.068]  Boy, she really brought into that Russian collusion thing, didn't poor Joy Bayer.
[01:11:04.068 --> 01:11:08.611]  Yeah, we told you that's what they were going to try to do.
[01:11:08.611 --> 01:11:08.891]  So now...
[01:11:20.290 --> 01:11:24.513]  You just heard from MSNBC his sexual insecurity.
[01:11:24.513 --> 01:11:26.694]  I mean, he's clearly sexually insecure.
[01:11:26.694 --> 01:11:34.419]  I mean, how could you possibly land a wife like Melania unless you're sexually insecure?
[01:11:34.419 --> 01:11:39.242]  I mean, a woman like that, you just need no security at all to try to approach a woman like that.
[01:11:39.242 --> 01:11:43.805]  So clearly the MSNBC really knows what they're talking about there.
[01:11:43.805 --> 01:11:49.589]  But this is NBC saying that Trump's tweet could provoke Kim Jong-un.
[01:11:51.989 --> 01:11:57.153]  These juvenile and immature and destabilizing tweets kind of suggest that.
[01:11:57.153 --> 01:12:03.758]  And Kim Jong-un is far more likely to lash out, to attack South Korea, to attack Japan, to use his chemical weapons.
[01:12:03.758 --> 01:12:05.060]  So he's the crazy one then?
[01:12:05.060 --> 01:12:06.821]  Sounds to me like he's the crazy one.
[01:12:06.821 --> 01:12:13.506]  So I think this is very destabilizing and this is a tweet that could lead to confrontation and maybe even war.
[01:12:13.506 --> 01:12:18.750]  So it's kind of like the whole radical Islam thing where they'll say,
[01:12:19.861 --> 01:12:28.308]  You know, don't try to close the borders or, you know, don't say bad things about Muslim countries, otherwise they're going to try to stab you and kill you.
[01:12:28.308 --> 01:12:31.590]  And you're like, what?
[01:12:31.590 --> 01:12:32.671]  It's like the same thing here.
[01:12:32.671 --> 01:12:38.796]  It's like, well, President Trump needs to not talk about Kim Jong-un like that because he could use a chemical weapon.
[01:12:40.222 --> 01:12:42.344]  So he's the bad guy?
[01:12:42.344 --> 01:12:43.825]  Or... Oh.
[01:12:43.825 --> 01:12:46.147]  Okay, well, maybe they'll figure that one out.
[01:12:46.147 --> 01:12:48.188]  Maybe they'll just go to North Korea.
[01:12:48.188 --> 01:12:48.909]  How about that?
[01:12:48.909 --> 01:12:52.151]  Why don't they try to get a comment from Kim Jong-un?
[01:12:52.151 --> 01:12:54.633]  Oh, because he's a radical dictator and won't talk to you.
[01:12:54.633 --> 01:12:55.354]  Oh.
[01:12:55.354 --> 01:12:57.395]  Okay, sorry, I forgot about that aspect.
[01:12:57.395 --> 01:13:05.442]  Here's Brian Stelter, George Costanza of CNN Fake News, questioning President Trump's mental fitness.
[01:13:06.482 --> 01:13:09.643]  Joining us now is CNN Senior Media Correspondent Brian Stelter.
[01:13:09.643 --> 01:13:11.363]  Any idea exactly what he's talking about?
[01:13:11.363 --> 01:13:13.924]  This is something he seemed to propose before the New Year, Anderson.
[01:13:13.924 --> 01:13:16.944]  The idea of a fake news trophy that should be awarded.
[01:13:16.944 --> 01:13:18.785]  The RNC... Oh, you'll be on there, buddy!
[01:13:18.785 --> 01:13:20.745]  ...said they would take nominations.
[01:13:20.745 --> 01:13:27.267]  It seems the president, right out of reality TV here, wants to create a moment of drama where he'll announce the winners.
[01:13:27.267 --> 01:13:29.867]  Obviously, in the grand scheme of things... Okay, pause it right there.
[01:13:29.867 --> 01:13:30.408]  Pause it right there.
[01:13:30.408 --> 01:13:32.048]  Let's just make sure that we recognize here.
[01:13:33.108 --> 01:13:39.792]  I would say CNN and MSNBC probably have the most nominations as we prepare for President Trump's Fake News Awards.
[01:13:39.792 --> 01:13:43.014]  Alright, let's go back to one of the fakest names in news, Brian Stelter.
[01:13:43.014 --> 01:13:46.356]  ...the day, but this came just a few minutes after the nuclear button tweet.
[01:13:46.356 --> 01:13:48.137]  So, what's on the President's mind?
[01:13:48.137 --> 01:13:49.758]  We know what's on the President's mind.
[01:13:49.758 --> 01:13:54.160]  Sixteen tweets today to start the new year, some of them deeply disturbing.
[01:13:54.160 --> 01:13:57.803]  Right, I mean, considering how the new year has started... Deeply disturbing.
[01:13:57.803 --> 01:13:59.764]  I mean, what does this say about the year?
[01:14:00.644 --> 01:14:01.684]  Madness!
[01:14:01.684 --> 01:14:03.745]  And I think we should start to call it that, shouldn't we?
[01:14:03.745 --> 01:14:13.386]  You know, when President Trump was inaugurated last January, some writers, some columnists like Andrew Sullivan started right away to raise concerns about the President's mental health, about his fitness.
[01:14:13.386 --> 01:14:13.987]  Oh!
[01:14:13.987 --> 01:14:17.567]  In the months that followed, we saw Republican senators like Jeff Flake.
[01:14:17.567 --> 01:14:18.727]  By the way, pause it right there.
[01:14:18.727 --> 01:14:24.449]  This is the same Brian Stelter, the George Costanza of news.
[01:14:24.449 --> 01:14:26.029]  These are the same people that were
[01:14:27.719 --> 01:14:31.344]  Offended that anyone would report on Hillary Clinton's health.
[01:14:31.344 --> 01:14:32.305]  Do you remember that?
[01:14:32.305 --> 01:14:36.571]  Do you remember how offended they were when people were reporting on Hillary Clinton's health?
[01:14:36.571 --> 01:14:38.614]  That's funny how that works.
[01:14:38.614 --> 01:14:39.575]  It's funny how that works.
[01:14:39.575 --> 01:14:43.481]  You're telling me that a racist liberal on CNN has double standards?
[01:14:44.942 --> 01:14:46.083]  Shocking!
[01:14:46.083 --> 01:14:48.784]  Let's go back to George Costanza, I mean Brian Stelter.
[01:14:59.241 --> 01:15:04.786]  If this were the leader of Germany or China or Brazil, what would we say?
[01:15:04.786 --> 01:15:06.788]  How would we cover these tweets?
[01:15:06.788 --> 01:15:09.471]  We would say, these are the messages from a person who is not well.
[01:15:09.471 --> 01:15:11.813]  From a leader who is not fit for office.
[01:15:11.813 --> 01:15:16.878]  Well, I mean, the counter-argument to that is, look, he just has a different style.
[01:15:16.878 --> 01:15:23.565]  Interesting, Brian Stelter, because... Do you even report on anything else other than Trump?
[01:15:25.319 --> 01:15:27.240]  I mean, it's a nice proposal that you make.
[01:15:27.240 --> 01:15:29.541]  It's a nice concept, you know.
[01:15:29.541 --> 01:15:36.405]  But have you reported on anything else other than your strange obsession with President Trump?
[01:15:36.405 --> 01:15:38.246]  That's the other thing about this.
[01:15:38.246 --> 01:15:43.669]  Brian Stelter is so obsessed with President Trump, he would live in his jock if he could.
[01:15:43.669 --> 01:15:46.850]  He would literally live in President Trump's underwear if he could.
[01:15:46.850 --> 01:15:48.871]  That's how obsessed with Donald Trump they are.
[01:15:48.871 --> 01:15:52.233]  But Brian Stelter might get around to covering some other foreign leader.
[01:15:52.233 --> 01:15:52.934]  Maybe.
[01:15:52.934 --> 01:15:53.514]  We'll find out.
[01:15:57.663 --> 01:16:03.525]  2017 has been a earth-shaking year.
[01:16:03.525 --> 01:16:06.706]  And 2018, guaranteed, is even gonna be wilder.
[01:16:06.706 --> 01:16:11.487]  In fact, my good friend, Stefan Molyneux, said it's gonna be like the Battle of the Gods, Ragnarok.
[01:16:11.487 --> 01:16:13.507]  So get ready, ladies and gentlemen.
[01:16:13.507 --> 01:16:25.831]  And that's why, thanking you for all your support, we are extending free shipping store-wide at infowarestore.com into early January, and the massive 50 to 67% off all our best-selling items.
[01:16:26.671 --> 01:16:32.776]  So ladies and gentlemen, whether it's Colloidal Silver, or Brain Force, or MycoZX, or Floralife, they're now back in stock.
[01:16:32.776 --> 01:16:37.900]  They're all massively discounted with free shipping at InfoWareStore.com.
[01:16:37.900 --> 01:16:46.908]  Take advantage of it right through the new year in a salute to the InfoWarriors and into a thanks to all of you that have made this operation possible.
[01:16:47.208 --> 01:16:57.873]  From myself, the entire InfoWars crew, thank you for your support, thank you for bringing America back from the edge of death, and thank you for standing against the globalists and their bullying garbage.
[01:16:57.873 --> 01:17:03.016]  Introducing Floralife, the new probiotic line developed exclusively by InfoWars Life.
[01:17:03.016 --> 01:17:07.778]  After years of research on the human microbiome, not all probiotics are made the same.
[01:17:07.778 --> 01:17:12.300]  Floralife probiotics use a unique targeted delivery system that bypasses the stomach
[01:17:12.540 --> 01:17:13.000]  I think so.
[01:17:32.807 --> 01:17:36.408]  Did you know that over 80% of your immune system is located in your gut?
[01:17:36.408 --> 01:17:41.150]  That's why increasing gut probiotic levels is so important for overall health.
[01:17:41.150 --> 01:17:49.232]  Floralife is sold as a 15 billion probiotic for everyday maintenance care and a 50 billion probiotic for a 30-day advanced gut restoration program.
[01:17:49.232 --> 01:17:53.434]  Head to infowarslife.com to pick up your bottle of Floralife probiotics today.
[01:17:53.434 --> 01:17:54.734]  That's infowarslife.com.
[01:17:58.579 --> 01:18:01.982]  Introducing CellForce by InfoWars Life.
[01:18:01.982 --> 01:18:05.966]  CellForce focuses on mitochondria efficiency and protection.
[01:18:05.966 --> 01:18:09.309]  Mitochondria produce over 95% of your energy.
[01:18:09.309 --> 01:18:11.831]  They are your body's cellular engines.
[01:18:11.831 --> 01:18:16.575]  CellForce helps promote your cellular energy production by supporting mitochondria.
[01:18:16.575 --> 01:18:18.917]  Much like a cellular engine overhaul.
[01:18:18.917 --> 01:18:25.303]  Because when your mitochondria don't run at 100% efficiency, then they start producing reactive oxygen species.
[01:18:25.923 --> 01:18:34.107]  Top scientists agree that aging is most likely caused by cellular damage, resulting from these reactive oxygen species.
[01:18:34.107 --> 01:18:39.169]  The antioxidants found in cell force are some of the most powerful available on the market.
[01:18:39.169 --> 01:18:46.152]  The stronger the antioxidant, the better its ability to scavenge for these reactive oxygen species and other free radicals.
[01:18:46.812 --> 01:18:51.716]  Boost, protect and adapt with CellForce from InfoWars Life.
[01:18:51.716 --> 01:18:58.482]  Head to InfoWarsLife.com or call 1-888-253-3139.
[01:18:58.482 --> 01:19:08.832]  We have developed with the top firms in the United States powerful 50 billion live organism probiotic flora life that is so critical
[01:19:10.168 --> 01:19:12.789]  To having a healthy gut and a healthy life.
[01:19:12.789 --> 01:19:16.090]  And it has changed my life and so many other people's lives.
[01:19:16.090 --> 01:19:25.772]  The other part is a compound like MycoZx that has all these key ingredients of organic herbs and other systems that are known to break down this garbage in the body.
[01:19:25.772 --> 01:19:35.555]  That's why as we go through Christmas and now into the new year, we're extending the free shipping and 50% off on all our best-selling items while supplies last.
[01:19:35.555 --> 01:19:37.696]  You can also get the two products together
[01:19:38.675 --> 01:19:42.696]  And get them at 50% off when you combo them.
[01:19:42.696 --> 01:19:44.897]  So popular, sold out for more than six months.
[01:19:44.897 --> 01:19:50.718]  Now back in stock for a limited time at InfoWarsStore.com, InfoWarsLive.com, or by calling toll-free, AAA253-3139.
[01:19:50.718 --> 01:19:51.499]  The War Room.
[01:19:51.499 --> 01:19:52.299]  InfoWars.com, forge slash show.
[01:20:21.735 --> 01:20:33.811]  Okay, now we've seen the signs of movement against the Deep State, and now we're actually starting to get some rubber meeting the road here.
[01:20:33.811 --> 01:20:38.437]  You've got Manafort about to, or has filed a lawsuit against the Mueller probe.
[01:20:39.398 --> 01:20:42.260]  And then also, this just broke today.
