[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones. Coming to you live from the front lines of the Info War.
[36:07.000 --> 36:23.000]  It's got a creepy sounding text right there. Yes, mom knows sparkling crystal clear 7-Up is so pure, so good, so wholesome that folks of all ages, even tiny Tars like you, can fresh up all day like.
[36:23.000 --> 36:34.000]  And then it says get a family supply of 24 bottles by 7-Up by the case or get the handy 7-Up family pack. And the slogan is you like it, it likes you.
[36:34.000 --> 36:47.000]  That's how it's for creativity from the 1950s. You like it, it likes you. I'm actually, I'm cracking up at some of this stuff.
[36:47.000 --> 36:54.000]  I'm going to bring some more ads from the museum. Here's another ad from the Museum of Junk Food History. This is from 1955.
[36:54.000 --> 37:01.000]  This isn't about infants, but just another ad to show you that I'm collecting these things. And some of them are fascinating.
[37:01.000 --> 37:03.000]  You should see all the marketing to infants and children.
[37:03.000 --> 37:09.000]  In any case, I want to bring in John Rappaport from NoMoreFakeNews.com to comment on that issue.
[37:09.000 --> 37:16.000]  And then let's get into the vaccine seizures of babies. And why is it the doctors are saying seizures are now good for your babies?
[37:16.000 --> 37:24.000]  John Rappaport is, of course, from NoMoreFakeNews.com. He's a researcher, a journalist, a really intelligent investigator.
[37:24.000 --> 37:28.000]  And he's hosted the Alex Jones Show before as well. John, are you with us today?
[37:28.000 --> 37:35.000]  I am, Mike. Great to be here. Yeah, you like it, it likes you. I grew up with that. I remember it very well.
[37:35.000 --> 37:42.000]  And, you know, it's one of those things that used to stick in your mind. I mean, you really would. You like it, it likes you.
[37:42.000 --> 37:47.000]  OK, you like it. Let me have a 7-up. Really? Oh, yeah, definitely.
[37:47.000 --> 37:54.000]  Oh, man. That and the T-zone for smoking. You got some of those ads in the museum?
[37:54.000 --> 37:59.000]  I haven't collected smoking ads, no. Just the junk food ads.
[37:59.000 --> 38:05.000]  A doctor in a white coat? No, no. But I've seen that. So, you know, doctors recommend camels more than any other cigarette?
[38:05.000 --> 38:08.000]  Yeah, like strikes camels, yeah.
[38:08.000 --> 38:14.000]  Well, this is what's going on today, John. We've got, in our world today, the corporations are marketing poison to children.
[38:14.000 --> 38:21.000]  The vaccines are probably, of course, the best example of that. Now, the 7-up marketing to children probably stopped a couple of decades to go,
[38:21.000 --> 38:28.000]  well, at least in the blatant way that it's shown here. But the vaccine marketing is in your face right now today.
[38:28.000 --> 38:32.000]  What's your latest information on the vaccine front, John?
[38:32.000 --> 38:39.000]  Well, the government is still trying to deny, of course, that there's any link to autism, despite the fact that it's been shown,
[38:39.000 --> 38:49.000]  that they actually paid out 83 parents of children, brain damaged children, and the brain damaged from vaccines.
[38:49.000 --> 38:57.000]  And these children all had autism. So, they've actually paid it out, linked to vaccines.
[38:57.000 --> 39:04.000]  They've as much as admitted that there's a link, while on the other hand, the PR machine keeps rolling on and saying,
[39:04.000 --> 39:10.000]  oh, there's no connection, no problem, and everything's fine, and vaccines have nothing to do with autism.
[39:10.000 --> 39:14.000]  So, this is just sheer, I mean, it's lying.
[39:14.000 --> 39:19.000]  But how long can they keep this up, John? It's clear that the truth is getting out there.
[39:19.000 --> 39:28.000]  Even Donald Trump went on Fox News and said his own employees took a baby, got multiple vaccines. Three hours later, the baby was autistic.
[39:28.000 --> 39:34.000]  Even Donald Trump, and he's in favor of vaccines, and he's speaking out against it now.
[39:34.000 --> 39:38.000]  Well, they're running out of room, Mike. What can I say?
[39:38.000 --> 39:47.000]  You know, all they can do is scream at people who point out the fallacies and who say the truth,
[39:47.000 --> 39:51.000]  and they can say, well, you're wrong, you're not a scientist, you wouldn't know.
[39:51.000 --> 39:59.000]  And not only that, but you're dangerous, very dangerous, because you could keep people from getting their children vaccinated,
[39:59.000 --> 40:01.000]  and then, you know, the world would end.
[40:01.000 --> 40:05.000]  Well, that's the message of Melinda Gates now, from the Bill and Melinda Gates Foundation,
[40:05.000 --> 40:11.000]  that anyone who questions the Bill Gates vaccination agenda might be hurting people.
[40:11.000 --> 40:17.000]  No, you can't question their campaign of mass vaccination. You might be causing death, they say.
[40:17.000 --> 40:24.000]  So those who are actually killing the children are saying that the people questioning them are the baby killers.
[40:24.000 --> 40:35.000]  What I want to see at a big speech of Bill Gates in a giant hall is one of these kids from India who's one of the 47,500
[40:35.000 --> 40:41.000]  who've developed paralysis from the polio vaccine that Gates is supporting.
[40:41.000 --> 40:49.000]  I want to see one of those children come up the front aisle, down the center, in a wheelchair,
[40:49.000 --> 40:56.000]  and look at Bill Gates and say, thanks, Bill. That's what I want to see, because that's what's really happening.
[40:56.000 --> 41:01.000]  Yeah, exactly, exactly. We need to have the confrontation of truth here.
[41:01.000 --> 41:06.000]  And there is this wave of polio across India today, or polio-like paralysis,
[41:06.000 --> 41:10.000]  but it's not being caused by polio in the wild. It's being caused by the polio vaccines.
[41:10.000 --> 41:15.000]  In fact, Aaron Dykes and Paul Watson did a story on that posted on Infowars.com.
[41:15.000 --> 41:20.000]  So it's gotten to the point where the diseases are now being caused by the vaccines.
[41:20.000 --> 41:25.000]  We even had the Institute of Medicine admit that the measles vaccines caused the measles.
[41:25.000 --> 41:33.000]  Absolutely. And I can tell you that in the story that I researched many years ago
[41:33.000 --> 41:39.000]  and got a tremendously reliable source to tell me, you know, in the early 1970s,
[41:39.000 --> 41:44.000]  the United Nations says, well, we wiped out smallpox in Africa with the vaccine,
[41:44.000 --> 41:48.000]  and it's the greatest thing that's ever happened to humanity and so on and so on.
[41:48.000 --> 41:54.000]  Well, I know for a fact that after that campaign was over, there was a secret meeting in Geneva,
[41:54.000 --> 41:57.000]  a secret, secret meeting of the World Health Organization,
[41:57.000 --> 42:02.000]  where they decided, a committee, that they would never use that vaccine again.
[42:02.000 --> 42:07.000]  And the reason? Because it was causing smallpox. That was it.
[42:07.000 --> 42:11.000]  But on the other hand, they said, oh, we absolutely wiped out smallpox in Africa.
[42:11.000 --> 42:15.000]  A highly, highly dangerous vaccine that they put on the shelf,
[42:15.000 --> 42:20.000]  and they hid the facts from the public that they were actually causing smallpox.
[42:20.000 --> 42:25.000]  And then at some point, they must have realized, wait a minute, this smallpox vaccine is great
[42:25.000 --> 42:30.000]  at reducing the global population. Let's keep the vaccine agenda moving forward
[42:30.000 --> 42:35.000]  so we can actually cause fatalities and reduce global population
[42:35.000 --> 42:38.000]  and just feed right into the eugenics global depopulation agenda,
[42:38.000 --> 42:41.000]  which Bill Gates openly admits he's a fan of.
[42:41.000 --> 42:42.000]  I mean, it's all right there.
[42:42.000 --> 42:44.000]  Yeah, he's right out there. He's right out in front.
[42:44.000 --> 42:46.000]  All right, we've got to go to a break.
[42:46.000 --> 42:50.000]  To hear more with John Rappaport more about vaccines and other topics straight ahead
[42:50.000 --> 43:19.000]  on The Alex Jones Show, stay with us. We'll be right back.
[43:20.000 --> 43:49.000]  We'll be right back.
[43:50.000 --> 43:56.000]  Zero, three, six, five. Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[43:56.000 --> 44:21.000]  This is Alex Jones for survivalseedbank.com.
[44:27.000 --> 44:30.000]  Is it affordable? Absolutely.
[44:30.000 --> 44:35.000]  The new Alex Jones Family Pack saves you up to 50% compared to other food storage companies.
[44:35.000 --> 44:41.000]  See the comparison at efoodsdirect.com forward slash Alex or call 800-409-5633.
[44:41.000 --> 44:46.000]  My friends, as crazy as this world is today, you'd be nuts to not get a storeable food supply.
[44:46.000 --> 44:51.000]  Give eFoods Direct a call and order one of The Alex Jones Family Packs and test it out today.
[44:51.000 --> 44:59.000]  Start your journey of food independence today at eFoodsDirect.com forward slash Alex or call 800-409-5633.
[44:59.000 --> 45:03.000]  Four, five, six, even seven dollars a gallon.
[45:03.000 --> 45:09.000]  According to fuel industry insiders and economic experts, those are the forecasted fuel prices with no end in sight.
[45:09.000 --> 45:13.000]  Fight back fuel prices with a fuel saver from airfusionsystems.com.
[45:13.000 --> 45:16.000]  These fuel savers can save you from 20 to 40%.
[45:16.000 --> 45:21.000]  They're designed to fit any vehicle from compacts to SUVs to transport trucks.
[45:21.000 --> 45:24.000]  The fuel saver works on all gas, diesel, even propane engines.
[45:24.000 --> 45:28.000]  Easy do-it-yourself installation in about 15 minutes, and the best part?
[45:28.000 --> 45:35.000]  No engine modifications, no computer chipping, no running wires, no chemicals, no water, no running costs, and no maintenance.
[45:35.000 --> 45:38.000]  And these fuel savers come complete with all parts and accessories.
[45:38.000 --> 45:50.000]  See how it works at airfusionsystems.com, spelled A-I-R-F-U-S-I-O-N systems.com, or call 888-887-9981.
[45:50.000 --> 45:53.000]  888-887-9981.
[45:53.000 --> 45:56.000]  Fuel savers from airfusionsystems.com.
[45:56.000 --> 45:59.000]  Save fuel, save money, save earth.
[45:59.000 --> 46:06.000]  When you're out on the road, the last place you want to be is on the road.
[46:06.000 --> 46:12.000]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[46:12.000 --> 46:20.000]  There's a place down at Tennessee, where they make blue diamond gusset jeans.
[46:20.000 --> 46:28.000]  They so pride in every stitch, guarantee you love the way they fit.
[46:28.000 --> 46:33.000]  They put a diamond gusset in the crotch, where you need it most.
[46:33.000 --> 46:39.000]  Blue diamond gussets got it, others don't.
[46:39.000 --> 46:45.000]  We turned jeans inside out, diamond gusset jeans, made in the USA with unparalleled quality.
[46:45.000 --> 46:52.000]  Our Defender motorcycle jeans combine gusset comfort with Kevlar protection, so you can ride all day with confidence.
[46:52.000 --> 46:55.000]  Order yours at gusset.com.
[46:55.000 --> 46:59.000]  Diamond gusset jeans got it, others don't.
[46:59.000 --> 47:04.000]  Coast to coast, direct from Austin.
[47:04.000 --> 47:09.000]  You're listening to the Alex Jones Broadcasting Network.
[47:09.000 --> 47:16.000]  What we've got here is failure to communicate.
[47:16.000 --> 47:20.000]  Some man you just can't reach.
[47:20.000 --> 47:25.000]  So you get what we had here last week, which is the way he wants.
[47:25.000 --> 47:42.000]  We're talking with John Rappaport, an investigative journalist, researcher, about vaccines, seizures, and children, and much more here on the Alex Jones show this Sunday, April 22nd.
[47:42.000 --> 47:46.000]  This clock is throwing me off a little bit. I apologize for the listeners.
[47:46.000 --> 47:56.000]  But look, the news is hard hitting. That's what matters, and our guest is right on the money, and we're going to be going into some of the details of not just vaccines, but talking about NSA surveillance.
[47:56.000 --> 48:07.000]  The NSA is now tracking 20 million transactions in total of the American people, your phone calls, your emails, other forms of data from Americans.
[48:07.000 --> 48:16.000]  And this is all authorized under the USA Patriot Act, and it's something that the NSA said they were not doing in the past.
[48:16.000 --> 48:18.000]  They said they don't monitor your email, turns out they are.
[48:18.000 --> 48:22.000]  John Rappaport joins us from NoMoreFakeNews.com.
[48:22.000 --> 48:35.000]  And John, what is your take on this just incredible expansion of the police state surveilling every little detail of our lives and tracking everything that we are doing and what we might do?
[48:35.000 --> 48:40.000]  Well, this was the agenda all along, Mike. I mean, the agenda was not to catch terrorists.
[48:40.000 --> 48:50.000]  The agenda is total control over the society so that they can say, OK, well, let's put these emails over here because these could be dangerous people.
[48:50.000 --> 48:53.000]  Well, what does that mean? Well, they can redefine that any way they want to.
[48:53.000 --> 48:58.000]  They can say, well, you're speaking out against the government. Therefore, you must be dangerous.
[48:58.000 --> 49:05.000]  So we put you in this pile over here and we want to investigate, do a little background check and so on and so forth.
[49:05.000 --> 49:10.000]  You know, I mean, I'm talking about it as if it's low tech, but that's basically what they're doing.
[49:10.000 --> 49:16.000]  They're filtering out these conversations, whether it's phone or email, and they're looking for key words and phrases,
[49:16.000 --> 49:27.000]  and they're looking for what they consider to be danger signs because NSA is in charge of one of the main technical pillars of the New World Order.
[49:27.000 --> 49:33.000]  I mean, that's their job, is to keep everybody obedient, everybody talking about what they're supposed to be talking about,
[49:33.000 --> 49:40.000]  and not talking about anything else. It's very simple. That's their gig. That's what they do.
[49:40.000 --> 49:45.000]  And then they as well come right out and say it. And they as well say, yes, this is what we represent.
[49:45.000 --> 49:54.000]  We're trying to keep you under wraps and repress anything that you might be thinking or saying that could be against the government,
[49:54.000 --> 49:58.000]  against the established order, against any government agency.
[49:58.000 --> 50:04.000]  In fact, when are we going to see surveillance, not only surveillance, but action taken?
[50:04.000 --> 50:13.000]  Well, you know, you spoke out against this mega corporation, and therefore, you know, we're going to institute some kind of a search warrant
[50:13.000 --> 50:15.000]  or we're going to put you on a list.
[50:15.000 --> 50:21.000]  Well, wait a minute. We've already got this. We've got a corporation basically declaring war on the state of Vermont.
[50:21.000 --> 50:26.000]  Monsanto has threatened Vermont. This is now a corporation threatening a state.
[50:26.000 --> 50:35.000]  I've got it in my pile here. Monsanto has threatened Vermont with expensive lawsuits if Vermont goes ahead and requires the labeling of GMOs in that state.
[50:35.000 --> 50:40.000]  And in fact, Roddy Cummins from the Organic Consumers Association penned an article that we published called,
[50:40.000 --> 50:43.000]  Is Vermont's Governor Surrendering to Monsanto?
[50:43.000 --> 50:48.000]  So now we've got corporations strong arming states of the union.
[50:48.000 --> 50:52.000]  And don't you think that's going to be backed up by the NSA?
[50:52.000 --> 50:57.000]  I mean, they can now say, OK, so let's focus on Vermont emails for a while.
[50:57.000 --> 51:03.000]  Let's screw in the lens a little tighter, and let's see what the conversations are about.
[51:03.000 --> 51:14.000]  These are the Monsanto GMO foods, et cetera, et cetera, because naturally, we, the NSA, are behind Monsanto's effort to keep labeling away.
[51:14.000 --> 51:16.000]  So that's how it works.
[51:16.000 --> 51:21.000]  Let's take this, John, beyond the news. Let's go into the deep psychological reality that we're dealing with here.
[51:21.000 --> 51:27.000]  The human brain is not wired to recognize a slow creeping threat.
[51:27.000 --> 51:36.000]  The human brain is wired with the fight-or-flight response dealing with an immediate life-danger-danger-ing threat.
[51:36.000 --> 51:38.000]  You know, a tiger about to eat you or something like that.
[51:38.000 --> 51:41.000]  Another person attacking you. The adrenaline starts pumping.
[51:41.000 --> 51:44.000]  You recognize the danger. You fight or you run.
[51:44.000 --> 51:50.000]  But the slow creeping tyranny seems to be happening without any psychological recognition.
[51:50.000 --> 51:52.000]  It's outside of the awareness of most people.
[51:52.000 --> 52:01.000]  Even it's gotten to the point where people like you and me and the entire Infowars crew, we've become somewhat desensitized to the creeping tyranny every single day.
[52:01.000 --> 52:06.000]  The police state seems more and more normal, even to us, accidentally.
[52:06.000 --> 52:17.000]  Of course. And you know, the people who want to remain brain dead about all of this are quite willing to do it, as you say, because they don't want to get into the fight-or-flight mechanism.
[52:17.000 --> 52:23.000]  They want to pretend, I'm talking now about the sheep, they want to pretend that everything is pretty much okay.
[52:23.000 --> 52:26.000]  So what do they require? Assurances.
[52:26.000 --> 52:34.000]  NSA comes out and says, this is preposterous. We would never do this, or if we would, it wouldn't have any bad intention.
[52:34.000 --> 52:41.000]  It's just like when Obama says, yes, I can kill anybody I want to, but I would never do it.
[52:41.000 --> 52:43.000]  Are you kidding? That would be absurd.
[52:43.000 --> 52:45.000]  And so everybody says, oh, thank goodness.
[52:45.000 --> 52:47.000]  It's on the law books. He could do it.
[52:47.000 --> 52:49.000]  But it's just one of those quirks.
[52:49.000 --> 52:54.000]  You know, they pass the law, but they don't really mean it, which of course is completely insane.
[52:54.000 --> 53:00.000]  But this is, again, this is what's happening in psychology of this is very important to understand.
[53:00.000 --> 53:06.000]  They say, we want the power, but we promise we won't use it. Remember what Obama said, I won't sign the NDAA, and he did.
[53:06.000 --> 53:09.000]  And he said, I don't want the arrest Americans section in it.
[53:09.000 --> 53:13.000]  But then it turns out he's the one who demanded it to be put in there.
[53:13.000 --> 53:15.000]  How many campaign promises has he broken?
[53:15.000 --> 53:21.000]  I want to shut down the secret prisons and he turns out he expands them and he gives more power to the government and the military
[53:21.000 --> 53:27.000]  to actually run secret prisons and secretly arrest Americans and interrogate Americans and deny them their due process.
[53:27.000 --> 53:31.000]  It's just on and on. There's no end to this.
[53:31.000 --> 53:39.000]  And what concerns me again back to my main point, John, is that the average American citizen just, it's like the frog in the boiling water.
[53:39.000 --> 53:44.000]  By the time they wake up, it's going to be too late for them. They're already behind the curve.
[53:44.000 --> 53:46.000]  You bet. Absolutely.
[53:46.000 --> 53:49.000]  Well, what do you think the job of the president is really?
[53:49.000 --> 53:51.000]  The job of the president is to be a PR front man.
[53:51.000 --> 53:54.000]  I don't care whether it's Obama, Bush, Clinton, whoever.
[53:54.000 --> 54:00.000]  They're there to present a face to the public saying, hey, I'm just like you. I'm a good guy.
[54:00.000 --> 54:02.000]  I wouldn't do anything to hurt you.
[54:02.000 --> 54:07.000]  And everybody goes, well, I guess that's right. I mean, look at him. He's chatty. He can talk.
[54:07.000 --> 54:11.000]  He plays golf. He jogs. Whatever he does, he plays a saxophone.
[54:11.000 --> 54:13.000]  So he must be okay.
[54:13.000 --> 54:16.000]  I mean, this guy is not going to turn against me.
[54:16.000 --> 54:18.000]  Well, that's what a PR front man does.
[54:18.000 --> 54:24.000]  He ensures everybody, everything's okay. Meanwhile, in the background, all of this very sinister stuff is going on.
[54:24.000 --> 54:28.000]  This is why I think Disney movies are very deceptive because they train.
[54:28.000 --> 54:32.000]  If you watch a Disney movie for kids, the bad guys always look bad.
[54:32.000 --> 54:37.000]  They wear black. They have a sinister mustache. They talk in a sinister way.
[54:37.000 --> 54:39.000]  You can immediately identify they're the bad guy.
[54:39.000 --> 54:44.000]  But in the real world, a lot of the bad guys are prepped for television.
[54:44.000 --> 54:49.000]  They've got the teleprompters, the makeup, the hair, the right shoes, the right shoe shine color.
[54:49.000 --> 54:55.000]  There's been all kinds of polls and surveys of thousands of people to determine the exact color and shape of the tie.
[54:55.000 --> 54:57.000]  Should it be striped or solid?
[54:57.000 --> 55:05.000]  So they're put out there as this wonderful looking good guy when, in fact, they're the demonic evil doer
[55:05.000 --> 55:11.000]  that the Disney movies would tend to portray as a sinister, evil-looking person.
[55:11.000 --> 55:16.000]  You bet. I mean, who is the most sympathetic president we've had in memory, Jimmy Carter?
[55:16.000 --> 55:21.000]  I just like you. I like you. And I like you even more than I like you.
[55:21.000 --> 55:28.000]  In the meantime, what's he doing? He's turning over the foreign policy of the United States to six guys from the Trilateral Commission.
[55:28.000 --> 55:33.000]  And he's saying, that doesn't really matter because I like you. And I really like you.
[55:33.000 --> 55:36.000]  Wait, isn't that the slogan from 7up? You like it. It likes you.
[55:36.000 --> 55:39.000]  Jimmy Carter drinks 7up.
[55:39.000 --> 55:44.000]  That's exactly it. You see, that's the same technique. It's absolutely the same technique.
[55:44.000 --> 55:54.000]  And you're right. What we need from Disney, if you're listening, is we need a movie where the bad guy looks great.
[55:54.000 --> 55:59.000]  He looks terrific and he acts really great. And then the good guy looks bad.
[55:59.000 --> 56:05.000]  Let's just turn it around for a while and make about 50 of those and people might start to wake up.
[56:05.000 --> 56:10.000]  Yeah, exactly. And I think, look at what is really authentic. I think that's the key question.
[56:10.000 --> 56:16.000]  If you watch Info Wars, if you listen to Alex Jones, if you just look at what we wear, for example,
[56:16.000 --> 56:19.000]  you could tell that this, I didn't spend a fortune on this wardrobe.
[56:19.000 --> 56:26.000]  This was my ranch shirt because I actually, I have goats and I have free range chickens and I take care of ranch animals.
[56:26.000 --> 56:31.000]  And I was actually on a tractor this morning before I came in here, literally working on the tractor before the show.
[56:31.000 --> 56:39.000]  It's authentic. There are no teleprompters here, whether it's Rob Dew or John Baum or anyone who's hosting Aaron Dykes.
[56:39.000 --> 56:45.000]  There are no teleprompters. This is reality. This is real, live thinking people who aren't puppets.
[56:45.000 --> 56:50.000]  That's the difference where everything from the conventional media, from the White House especially,
[56:50.000 --> 56:58.000]  is shaped and sculpted to push the buttons of your psychology that will make you love what they're doing.
[56:58.000 --> 57:02.000]  I think this is now turning against them because of the internet.
[57:02.000 --> 57:08.000]  Because people are realizing just what you said, Mike, the people that are supposed to be authentic who are the real phonies,
[57:08.000 --> 57:13.000]  they're relying on one script after another, script, script, teleprompter, teleprompter.
[57:13.000 --> 57:16.000]  And when the teleprompter breaks down, they don't know what to do.
[57:16.000 --> 57:17.000]  Yeah, literally.
[57:17.000 --> 57:21.000]  You know, it's just if somebody put the switch and they're just standing there, you know, what do I do now?
[57:21.000 --> 57:24.000]  What do I say? Because I've got nothing really.
[57:24.000 --> 57:29.000]  We should demand teleprompter-free representatives in Washington.
[57:29.000 --> 57:31.000]  Yeah, that's a great idea.
[57:31.000 --> 57:36.000]  A lot more with John Rappaport straight ahead. This is Mike Adams hosting for Alex Jones.
[57:36.000 --> 57:57.000]  We'll be right back after this break with much more. Stay with us.
[58:06.000 --> 58:15.000]  I'm completely depleted of almost all of the key minerals and trace elements that our bodies need to rebuild themselves, fight off cancer, and be healthy.
[58:15.000 --> 58:21.000]  I then searched out the best vitamin and mineral company out there and discovered Young Jevity.
[58:21.000 --> 58:29.000]  The Young Jevity products are designed to give you the real nutrition you need, and once you've got that, you don't have to eat as much to be satisfied.
[58:29.000 --> 58:35.000]  I've lost 37 pounds in two months simply getting the vitamins and minerals I need.
[58:35.000 --> 58:47.000]  Check it out for yourself. It's incredible. Go to infowarseteam.com today and order your first canister of Beyond Tangy Tangerine Complete Multivitamin Mineral Complex Dietary Supplement.
[58:47.000 --> 59:05.000]  That's infowarseteam.com. This is Alex Jones with five good reasons you should consider buying a solar power generator.
[59:05.000 --> 59:18.000]  Total government control of electricity in the name of smart grid technology is coming. Number three, in some areas of the country, the power grid is dangerously overloaded. And now, new socialist legislation is only compounding the problem.
[59:18.000 --> 59:25.000]  Number four, dangerous weather is always a threat to local grids. Every year, thousands of families lose their power from weather-related onages.
[59:25.000 --> 59:35.000]  Number five, a solar power generator provides powerful backup insurance and peace of mind. Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[59:35.000 --> 59:50.000]  You can get more information at www.mysolarbackup.com. That's mysolarbackup.com. Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-877-327-0365.
[59:50.000 --> 59:58.000]  Coast to coast, direct from Austin. You're listening to the Alex Jones Broadcasting Network.
[59:58.000 --> 1:00:12.000]  From his Central Texas Command Center, deep behind enemy lines, the information war continues. It's Alex Jones and the GCN Radio Network.
[1:00:12.000 --> 1:00:22.000]  We're continuing our interview today, and welcome back to the Alex Jones Show. This is Mike Adams, the health ranger filling in for Alex on this live Sunday edition.
[1:00:22.000 --> 1:00:30.000]  Alex is working on other projects today, but he does have an interview with Senator Rand Paul coming up in about half an hour.
[1:00:30.000 --> 1:00:47.000]  It looks to be a really interesting interview where Rand Paul is going to be talking about what he calls a calamity. That's his word for it. The financial calamity that is ahead for us if we don't make some very important and urgent changes in our financial dealings here in this country.
[1:00:47.000 --> 1:01:03.000]  John Rappaport from NoMoreFakeNews.com is joining us right now, and we've been talking about a number of issues. I want to open the discussion with this, John. Isn't it interesting how the more we learn about the way the government really works, about the way the media really works,
[1:01:03.000 --> 1:01:19.000]  about alternative news like InfoWars, isn't it interesting how we can take that knowledge and then look back into the past and reanalyze, reinterpret events in the past with greater wisdom, for example, Oklahoma City.
[1:01:19.000 --> 1:01:33.000]  So Alex has been talking about this movie quite a bit, A Noble Lie, right here, which is a really very informative film. And I realized from this that back in, I believe Oklahoma City was in 1994, 1995, here it is.
[1:01:33.000 --> 1:01:49.000]  Back then, I remember believing the government's story when they said they found the axle of a truck, the truck that blew up, and they said they could read the vehicle number off the axle, and then they could locate the vehicle, and they found Timothy McVeigh based off of that.
[1:01:49.000 --> 1:02:03.000]  I remember buying that, you know, I was younger, I was like, okay, yeah, maybe the vehicle numbers are on the axles. Well, turns out that's complete fiction. There are no VIN numbers on axles of vehicles, and now we know that. Now we can look back into the past and we can reinterpret that.
[1:02:03.000 --> 1:02:10.000]  What are your thoughts on this, John, and are there some other topics that we need to reanalyze now based on what we know today?
[1:02:10.000 --> 1:02:24.000]  Well, it's interesting you bring that up, Mike, because in 1995, I wrote a book called Oklahoma City Bombing, The Suppressed Truth, and what I did was I started interviewing people who were down there at the time.
[1:02:24.000 --> 1:02:49.000]  The full story was not clear. The new video Noble Truth is a more complete story, but I remember calling a reporter on the main newspaper in Oklahoma City, and I said, you know, somebody must have seen this building come down.
[1:02:49.000 --> 1:03:03.000]  Come on, I've been reading all these news reports and so on, and I don't see one witness who actually was on the street and saw the building collapse and was interviewed by the FBI or the police or whatever.
[1:03:03.000 --> 1:03:10.000]  And she said, yeah, so when I said, well, don't you think that's important? Because, for example, suppose the building came straight down.
[1:03:10.000 --> 1:03:19.000]  That indicates that it was not a truck bomb that caused that horizontal damage, but there were interior charges placed on the structure, and it came straight down.
[1:03:19.000 --> 1:03:30.000]  She said, well, there was one guy I interviewed, and she gave me his name. It's in the book. She said, you could talk to him, and I said, so give me his phone number, and we wrangled, and I got his phone number, and I called him up.
[1:03:30.000 --> 1:03:40.000]  He denied everything. He said, no, I never saw it come down. I saw it after it came down. I called back the reporter on the Oklahoma paper, and I said, he just called you a liar, and she said, absolutely not.
[1:03:40.000 --> 1:03:53.000]  She said, I've got my notes here. I talked to this guy. He said that the building came straight down. He saw it. He was on the street, and he's never been interviewed extensively by the FBI.
[1:03:53.000 --> 1:04:01.000]  And that was the tip off to me, that the whole thing was a sham right from the beginning. And that's how the book started.
[1:04:01.000 --> 1:04:10.000]  And, you know, when the Twin Towers came down, I wrote on No More Fake News. The first thing I wrote that morning was, look at the explosion.
[1:04:10.000 --> 1:04:20.000]  Look at the explosion, please. I don't know what's happening yet, but if you look at the nature of the explosion, you're going to find out something here, I'm sure of it.
[1:04:20.000 --> 1:04:29.000]  And, you know, a few weeks later, people began writing and talking about, hey, sections of this building just came falling straight down. How do you do that?
[1:04:29.000 --> 1:04:36.000]  Yeah, exactly. I remember I had a friend who was in the Army at that time, and he was actually trained in the use of explosives in the Army.
[1:04:36.000 --> 1:04:43.000]  And he did the numbers for me and wrote down the numbers of the how many feet per second of the blast wave and so on.
[1:04:43.000 --> 1:04:49.000]  And he said the Oklahoma City couldn't be from that truck bomb. And I didn't know what to make of it at the time. I didn't know. So what am I supposed to do?
[1:04:49.000 --> 1:04:55.000]  Well, now I know, and we'll be right back on the Alex Jones Show. Straight ahead, more on Oklahoma City.
[1:05:19.000 --> 1:05:27.000]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[1:05:27.000 --> 1:05:33.000]  Buy the one to two month sample package and enjoy soaps that are twice as good as what you're using now.
[1:05:33.000 --> 1:05:40.000]  Or save big with a one to two year supply of soaps for all your cleaning needs. This is an amazing deal.
[1:05:40.000 --> 1:05:45.000]  You can save thousands of dollars and you will love the way real soap makes you feel.
[1:05:45.000 --> 1:05:54.000]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[1:06:16.000 --> 1:06:25.000]  We're talking with investigative researcher John Rappaport. This is the Alex Jones Show. Thank you once again for joining us.
[1:06:25.000 --> 1:06:36.000]  Mike Adams filling in for Alex today on the Sunday Live Edition. And in just about 20 minutes or so, Alex actually has an interview with Senator Rand Paul.
[1:06:36.000 --> 1:06:40.000]  That's an interview you absolutely do not want to miss. It's hard hitting.
[1:06:40.000 --> 1:06:54.000]  Now, what we're talking about right now is how I think America has a heightened sense of skepticism today that did not exist in 1994, 1995 with Oklahoma City,
[1:06:54.000 --> 1:07:03.000]  even with the RAID, the ATF RAID on Waco, even 2001, the 9-11 Twin Towers and WTC-7.
[1:07:03.000 --> 1:07:07.000]  I think we have a lot more skepticism today. I think people ask more questions today.
[1:07:07.000 --> 1:07:17.000]  In a sense, I would actually say that InfoWars helps prevent false flag attacks because the corrupt elements of government that try to plan these attacks,
[1:07:17.000 --> 1:07:26.000]  and it's probably just some subculture of evil, evil doers to use George Bush's word inside government who plan and plot these things,
[1:07:26.000 --> 1:07:35.000]  they got to be listening to this show and saying, how do we pull off an attack that Alex Jones and his network of tipsters won't detect?
[1:07:35.000 --> 1:07:40.000]  Because they can't get away with it anymore. And that's saving lives. That's actually defending life.
[1:07:40.000 --> 1:07:45.000]  So that's one more way in which InfoWars saves lives. John, your thoughts on the subject.
