[00:00.000 --> 00:11.600]  It's the most wonderful time of the year.
[53:25.600 --> 53:27.600]  That's why I'm going down to APD.
[53:27.600 --> 53:29.600]  I'm going to file charges.
[53:29.600 --> 53:34.600]  I'm going to want an investigation because we need to have a public pressure on our police
[53:34.600 --> 53:35.600]  force to do something about this.
[53:35.600 --> 53:39.600]  And as he tries to say, he's like, oh, you don't like the Second Amendment now?
[53:39.600 --> 53:41.600]  No, I never said I don't like the Second Amendment.
[53:41.600 --> 53:43.600]  I don't like you trying to intimidate me with a gun out here.
[53:43.600 --> 53:44.600]  And by the way...
[53:44.600 --> 53:47.600]  It's like saying if somebody runs over to you with a car, you go, whoa, what?
[53:47.600 --> 53:48.600]  You don't like F-150s?
[53:48.600 --> 53:49.600]  No.
[53:49.600 --> 53:54.600]  You're there blocking his access with clubs and a gun threatening him saying, ooh, you're
[53:54.600 --> 53:55.600]  scared, aren't you, boy?
[53:55.600 --> 53:56.600]  That will send them to prison.
[53:56.600 --> 53:57.600]  And I don't even...
[53:57.600 --> 54:02.600]  That comment right there shows the whole plan, the admission, the confession.
[54:02.600 --> 54:04.600]  Alex, I don't even have a free hand at this deal.
[54:04.600 --> 54:08.600]  I have one hand holding a microphone and one hand holding a camera.
[54:08.600 --> 54:09.600]  So I'm just...
[54:09.600 --> 54:11.600]  God, those guys are like textbook slimy, man.
[54:11.600 --> 54:12.600]  Oh my God.
[54:12.600 --> 54:14.600]  But you know, it's just like...
[54:14.600 --> 54:19.600]  I'm sorry that they didn't get raised right or they never got taught discipline or they
[54:19.600 --> 54:20.600]  never grew up.
[54:20.600 --> 54:23.600]  I don't know what their deal is or they're just fluoride heads that eat McDonald's.
[54:23.600 --> 54:24.600]  I don't understand...
[54:24.600 --> 54:25.600]  Look at this guy.
[54:25.600 --> 54:26.600]  Yeah.
[54:26.600 --> 54:27.600]  And then there's this guy.
[54:27.600 --> 54:28.600]  All right.
[54:28.600 --> 54:32.600]  So here's this guy, Joshua Pineda of Safe Streets Projects.
[54:32.600 --> 54:33.600]  Okay?
[54:33.600 --> 54:37.600]  He tells me, yeah, they have their faces covered so they can beat you up.
[54:37.600 --> 54:39.600]  This guy runs the Safe Streets Project.
[54:39.600 --> 54:41.600]  It's an anti-cop group.
[54:41.600 --> 54:43.600]  And he's okay with them beating me up.
[54:43.600 --> 54:44.600]  I mean, so much for Safe Streets.
[54:44.600 --> 54:46.600]  You've got armed gangs with guns.
[54:46.600 --> 54:51.600]  I mean, in the third world, you hear armed men, intimidated reporters in Venezuela.
[54:51.600 --> 54:53.600]  Or you hear, you know...
[54:53.600 --> 54:56.600]  You had armed men follow you for at least 20 minutes.
[54:56.600 --> 54:59.600]  But following me around, shoving me with clubs.
[54:59.600 --> 55:02.600]  They have these little plastic shields that they like to bring out too.
[55:02.600 --> 55:03.600]  You can see them in this video.
[55:03.600 --> 55:05.600]  They spray paint and they decorate them with all their stuff.
[55:05.600 --> 55:06.600]  Look at this guy.
[55:06.600 --> 55:08.600]  I mean, they're all wearing masks.
[55:08.600 --> 55:09.600]  They're all wearing sunglasses.
[55:09.600 --> 55:10.600]  They all have hoods over their heads.
[55:10.600 --> 55:11.600]  It was a warm day out.
[55:11.600 --> 55:14.600]  They didn't need that because they're cowards.
[55:14.600 --> 55:16.600]  That's why they bring the firearms so they can beat you up.
[55:16.600 --> 55:17.600]  There he is.
[55:17.600 --> 55:20.600]  And then if you try them, they just, you know, take you out.
[55:20.600 --> 55:23.600]  I mean, and by the way, that guy, Joshua Pineda, who runs Safe Streets projects,
[55:23.600 --> 55:27.600]  he admitted to Millie Weaver that he does good fellatio.
[55:27.600 --> 55:28.600]  He said that on camera.
[55:28.600 --> 55:29.600]  So this is the type of people.
[55:29.600 --> 55:31.600]  I mean, these people are mentally deranged.
[55:31.600 --> 55:32.600]  They're sick.
[55:32.600 --> 55:36.600]  But it's okay if a leftist makes a hateful, verbal thing on a woman.
[55:36.600 --> 55:38.600]  No, he meant on a man.
[55:38.600 --> 55:39.600]  Oh.
[55:39.600 --> 55:41.600]  Yeah, he's of that type.
[55:41.600 --> 55:43.600]  I don't want to misgender him, but...
[55:43.600 --> 55:45.600]  So the point is he's just running around.
[55:45.600 --> 55:46.600]  They're just crazy.
[55:46.600 --> 55:47.600]  These people are out of control.
[55:47.600 --> 55:51.600]  They're mental. They need some serious, serious help.
[55:51.600 --> 55:54.600]  And we don't really have the mental institution.
[55:54.600 --> 55:56.600]  Why would you tell Millie Weaver that?
[55:56.600 --> 55:58.600]  He doesn't like women.
[55:58.600 --> 56:04.600]  No, he was bragging on camera that he does good male fallatio.
[56:04.600 --> 56:06.600]  That's how sick and twisted these people are.
[56:06.600 --> 56:07.600]  I don't even care.
[56:07.600 --> 56:08.600]  That's your thing, whatever.
[56:08.600 --> 56:13.600]  But now you got guns keeping people from going to a rally of a woman kill body legal alien
[56:13.600 --> 56:15.600]  that an activist jury released.
[56:15.600 --> 56:19.600]  It's like if you shoot this girl, she dies in her dad's arms and the media goes,
[56:19.600 --> 56:21.600]  well, we don't want to give Trump a win.
[56:21.600 --> 56:24.600]  We're going to let him go, which only made Trump stronger.
[56:24.600 --> 56:25.600]  That's nothing.
[56:25.600 --> 56:26.600]  The Democrats are crazy.
[56:26.600 --> 56:30.600]  It's like the white guy that got tortured who was autistic by the six racist blacks.
[56:30.600 --> 56:31.600]  She walks.
[56:31.600 --> 56:33.600]  And they cut chunks out of his head.
[56:33.600 --> 56:34.600]  He's totally...
[56:34.600 --> 56:35.600]  That was obviously always real.
[56:35.600 --> 56:36.600]  Well, it was real.
[56:36.600 --> 56:37.600]  There were arrests made.
[56:37.600 --> 56:39.600]  And then the media said, oh, that's fake info.
[56:39.600 --> 56:40.600]  What's about this fake video?
[56:40.600 --> 56:41.600]  It's obviously not real.
[56:41.600 --> 56:46.600]  The judge released him on probation, kidnapping and torturing and saying,
[56:46.600 --> 56:48.600]  we're going to kill you.
[56:48.600 --> 56:53.600]  They did a live leak for hours talking about how we're going to gash in the back of a truck.
[56:53.600 --> 56:54.600]  We're going to throw you in the water.
[56:54.600 --> 56:56.600]  We're going to slit your throat.
[56:56.600 --> 56:57.600]  You crack your head.
[56:57.600 --> 56:58.600]  A total hate crime.
[56:58.600 --> 57:01.600]  And then the judge just says, we're letting him go.
[57:01.600 --> 57:03.600]  Well, look, you had the video surface.
[57:03.600 --> 57:04.600]  There was a case.
[57:04.600 --> 57:08.600]  I forget where it was, but there's a case where there's a guy with his hands over his
[57:08.600 --> 57:11.600]  head and the police executes him from behind.
[57:11.600 --> 57:14.600]  Now, this is a white male, so the media doesn't cover it.
[57:14.600 --> 57:19.600]  If that was a minority that got shot, the CNN would be covering all day.
[57:19.600 --> 57:20.600]  This is case closed.
[57:20.600 --> 57:22.600]  The officer was out of line and he walked.
[57:22.600 --> 57:25.600]  But they don't cover it on mainstream news because they can't race bait over it.
[57:25.600 --> 57:27.600]  They can't incite racial hatred over it.
[57:27.600 --> 57:28.600]  And it shows everything.
[57:28.600 --> 57:30.600]  It shows the double standard right there.
[57:30.600 --> 57:33.600]  When we come back, we're going to play some of this video, some of this audio.
[57:33.600 --> 57:35.600]  We've had to bleep it because these folks are hardly talked.
[57:35.600 --> 57:38.600]  Every other word is a cuss word.
[57:38.600 --> 57:39.600]  Where they go, you scared?
[57:39.600 --> 57:40.600]  You scared?
[57:40.600 --> 57:44.600]  I mean, they just have no idea that they're the archetypal group of little wimpy, demonic,
[57:44.600 --> 57:47.600]  thug, snake-like bullies.
[57:47.600 --> 57:54.600]  I am very proud to announce the introduction of the highest quality info wars, biome defense,
[57:54.600 --> 57:55.600]  probiotic.
[57:55.600 --> 58:02.600]  We wanted to come out with the largest spectrum of high quality known probiotics that have
[58:02.600 --> 58:09.600]  proven to improve overall digestion and health and detoxification in the body.
[58:09.600 --> 58:16.600]  Biome defense is an exclusive blend of 50 billion live and active cultures from over 23 different
[58:16.600 --> 58:21.600]  probiotic strains that are known to support digestion and intestinal function.
[58:21.600 --> 58:26.600]  Our researchers are confident that we have been able to develop what will be the leading
[58:26.600 --> 58:28.600]  probiotic on the market.
[58:28.600 --> 58:40.600]  We've been testing this formula for years, but this is the limited first round of the
[58:40.600 --> 58:45.600]  public, so please take advantage of it today, support your own health, and support the info
[58:45.600 --> 58:46.600]  war.
[58:46.600 --> 58:51.600]  Matt in Ohio, you're on the air.
[58:51.600 --> 58:52.600]  Matt, go ahead.
[58:52.600 --> 58:57.600]  Hey, listen, I just wanted to say real quick, I'm a long time listener of info wars, and
[58:57.600 --> 59:02.600]  I just wanted to say that the t-shirts that you guys are offering are absolutely fantastic,
[59:02.600 --> 59:06.600]  and that really is a great way to deal with this battle in the info war.
[59:06.600 --> 59:12.600]  It might seem like a simple thing, but particularly these slogan t-shirts that you guys got up
[59:12.600 --> 59:14.600]  right now are absolutely amazing.
[59:14.600 --> 59:15.600]  Well, thank you.
[59:15.600 --> 59:20.600]  My favorite new one is the don't tread on me, but said it says won't tread on me, and
[59:20.600 --> 59:24.600]  it's a big day glow snake, Gadsden snake, and then it's got the American flag, infowars.com,
[59:24.600 --> 59:25.600]  on the right arm.
[59:25.600 --> 59:31.600]  I mean, that's a great way just to meet like-minded people, and spread the word, and also exercise
[59:31.600 --> 59:32.600]  free speech.
[59:32.600 --> 59:35.600]  And the newest one is trigger warning t-shirt.
[59:35.600 --> 59:41.600]  Trigger warning t-shirt, which is the symbol of a trigger with a yield sign and an infowars.com
[59:41.600 --> 59:42.600]  on the back.
[59:42.600 --> 01:00:10.600]  This is the new shirt of the mind, available exclusively at infowars.com.
[01:00:10.600 --> 01:00:29.600]  So Belle Edmonds is coming up with us for the next hour and a half or so.
[01:00:29.600 --> 01:00:35.600]  She'll be here breaking down everything that's unfolding, because she's a former FBI translator
[01:00:35.600 --> 01:00:42.600]  of NSA transcripts, just key critical analysis on everything that's happening with Fuse and
[01:00:42.600 --> 01:00:45.600]  GPS, the Russiagate thing, the pedophile networks, everything.
[01:00:45.600 --> 01:00:49.400]  You're going to be in here with us a little bit at first, but then you're going down to
[01:00:49.400 --> 01:00:55.240]  the police station to file a police report for criminal investigation of an armed group
[01:00:55.240 --> 01:01:01.400]  of masked men wearing communist bandanas and flags with assault rifles and clubs physically
[01:01:01.400 --> 01:01:05.560]  attacking you and saying, we're here to intimidate you and scare you and violate your civil
[01:01:05.560 --> 01:01:06.560]  rights.
[01:01:06.560 --> 01:01:09.160]  I mean, open and shut case, it's incredible.
[01:01:09.160 --> 01:01:13.360]  And the police saw the whole thing too, so they know that this happened, so I'm not
[01:01:13.360 --> 01:01:18.400]  just going to be doing them an eyewitness account that they aren't already aware of,
[01:01:18.400 --> 01:01:19.400]  so they know about that.
[01:01:19.400 --> 01:01:22.720]  And you don't want to bash the police, but during the break, you asked for help, they
[01:01:22.720 --> 01:01:23.720]  stood there and watched it.
[01:01:23.720 --> 01:01:24.720]  Yeah.
[01:01:24.720 --> 01:01:27.720]  Well, I mean, I just don't understand, because clearly this is an organized group.
[01:01:27.720 --> 01:01:31.160]  I mean, these guys are organized- Hey, officers, I'm trying to walk in that park and men with
[01:01:31.160 --> 01:01:34.320]  guns and masks are bumping into me- For 20 minutes!
[01:01:34.320 --> 01:01:35.880]  And the cops are like, sorry, bro!
[01:01:35.880 --> 01:01:41.920]  Okay, so then, and if you watch the full video, you can hear, I say, so do I have to walk
[01:01:41.920 --> 01:01:45.000]  into this crowd and have them assault me and get arrested?
[01:01:45.000 --> 01:01:46.000]  Is that what has to happen?
[01:01:46.000 --> 01:01:48.600]  Because, I mean, essentially, that's what would have happened if I just didn't decide
[01:01:48.600 --> 01:01:49.600]  to run around them.
[01:01:49.600 --> 01:01:52.440]  I mean, you know, but is that what the cops wanted?
[01:01:52.440 --> 01:01:54.800]  So I said that and they still didn't do anything.
[01:01:54.800 --> 01:01:57.720]  But we've got an open and shut case, we've got it all on video.
[01:01:57.720 --> 01:02:02.680]  I do believe, again, we have it on video, the guy is like ticking his trigger with his
[01:02:02.680 --> 01:02:03.680]  finger.
[01:02:03.680 --> 01:02:05.320]  They're saying, you're scared, aren't you?
[01:02:05.320 --> 01:02:08.120]  Yeah, so he's like, oh, you're scared, I'm like, well, aren't you trying to scare me?
[01:02:08.120 --> 01:02:09.120]  Yeah, there it is right there.
[01:02:09.120 --> 01:02:10.120]  There, he's taking his trigger finger.
[01:02:10.120 --> 01:02:11.640]  I'm like, well, aren't you trying to scare me?
[01:02:11.640 --> 01:02:15.320]  You're out here with your faces covered, you're pointing guns in my direction, you're not
[01:02:15.320 --> 01:02:17.400]  letting me in the park, you're clearly violating my life.
[01:02:17.400 --> 01:02:20.280]  And all these guys look like soy boys.
[01:02:20.280 --> 01:02:25.120]  I mean, you could, you know, stack up 20, 30 of them and just get a nice melee gun and
[01:02:25.120 --> 01:02:27.040]  probably get a nice workout in.
[01:02:27.040 --> 01:02:28.680]  But they don't want to fight you one-on-one.
[01:02:28.680 --> 01:02:32.640]  That's the thing, they want to come out here with their faces covered, with their weapons,
[01:02:32.640 --> 01:02:34.960]  and gang up on you and ambush you.
[01:02:34.960 --> 01:02:37.960]  There's no way any one of those guys would have gone one-on-one with me.
[01:02:37.960 --> 01:02:39.440]  There's no way.
[01:02:39.440 --> 01:02:43.640]  But a lot of tyrants are cowards and they get together in big groups and take over countries.
[01:02:43.640 --> 01:02:45.080]  That's, well, that's the overall doctrine.
[01:02:45.080 --> 01:02:46.720]  I mean, that's what these people are following.
[01:02:46.720 --> 01:02:47.720]  That's what they don't understand.
[01:02:47.720 --> 01:02:48.720]  Let's play.
[01:02:48.720 --> 01:02:49.720]  The history of coming.
[01:02:49.720 --> 01:02:50.720]  Let's, I mean, let's play part of this video.
[01:02:50.720 --> 01:02:51.720]  It's posted on infowars.com.
[01:02:51.720 --> 01:02:53.720]  It's posted on our Facebook and Twitter.
[01:02:53.720 --> 01:02:57.000]  And of course, you're going to retweet it, I guess, so people can find it on your Twitter.
[01:02:57.000 --> 01:02:58.520]  Tell folks how they follow you on Twitter.
[01:02:58.520 --> 01:03:04.840]  And all I do is Owen will tweet that out, shocking Antifa invades a dead woman's memorial.
[01:03:04.840 --> 01:03:06.120]  That is the highlight clip.
[01:03:06.120 --> 01:03:08.600]  And then the full video is also on the YouTube channel.
[01:03:08.600 --> 01:03:10.320]  The whole video is an hour and seven minutes.
[01:03:10.320 --> 01:03:14.320]  Let's go ahead and roll just part of the intimidation right here.
[01:03:14.320 --> 01:03:15.320]  I'm scared.
[01:03:15.320 --> 01:03:17.320]  Yeah, because your arm is shaking.
[01:03:17.320 --> 01:03:18.320]  My arm is shaking.
[01:03:18.320 --> 01:03:19.320]  Yes, your left arm is shaking.
[01:03:19.320 --> 01:03:20.320]  What do you think's wrong with them?
[01:03:20.320 --> 01:03:21.320]  Am I like, am I scared of you?
[01:03:21.320 --> 01:03:22.800]  I think you're absolutely terrified.
[01:03:22.800 --> 01:03:30.080]  Well, I mean, you guys are out here with guns, so, you know, and it's not like wearing a
[01:03:30.080 --> 01:03:33.440]  Trump hat is a safe thing to do against the Second Amendment.
[01:03:33.440 --> 01:03:34.440]  When did I say that?
[01:03:34.440 --> 01:03:37.040]  Well, you're the one that's saying we're out here with guns.
[01:03:37.040 --> 01:03:38.540]  Is that not true?
[01:03:38.540 --> 01:03:39.560]  What did he just whisper in your ear?
[01:03:39.560 --> 01:03:41.800]  Are you guys planning on trying to assault me here?
[01:03:41.800 --> 01:03:47.200]  So, so I'm literally surrounded by a bunch of guys that have their faces covered and shields
[01:03:47.200 --> 01:03:49.320]  and bats and guns.
[01:03:49.320 --> 01:03:51.360]  And he's trying to say, oh my gosh, look at this guy, he's scared.
[01:03:51.360 --> 01:03:52.520]  Are you not trying to intimidate me?
[01:03:52.520 --> 01:03:55.360]  Is that not your purpose out here?
[01:03:55.360 --> 01:04:01.080]  So all I'm trying to do is to get to the Kate Steinle march because Kate Steinle was killed
[01:04:01.080 --> 01:04:02.280]  and we're trying to honor dead people.
[01:04:02.280 --> 01:04:04.480]  And this is what I get.
[01:04:04.480 --> 01:04:06.000]  What is wrong with you guys?
[01:04:06.000 --> 01:04:07.000]  Seriously?
[01:04:07.000 --> 01:04:11.200]  Again, if you're a radio listener, they follow him and not letting him into the bar.
[01:04:11.200 --> 01:04:12.200]  Are you guys on some sort of like pharmaceutical drugs?
[01:04:12.200 --> 01:04:14.200]  Like what is the deal with you?
[01:04:14.200 --> 01:04:15.600]  This is not normal behavior.
[01:04:15.600 --> 01:04:16.600]  Do you know that?
[01:04:16.600 --> 01:04:17.600]  You all are adults.
[01:04:17.600 --> 01:04:20.320]  You're behaving like children.
[01:04:20.320 --> 01:04:21.320]  You know that?
[01:04:21.320 --> 01:04:22.320]  You're behaving like children.
[01:04:22.320 --> 01:04:23.320]  We're going to go to Breit.
[01:04:23.320 --> 01:04:24.320]  We're going to go to Breit.
[01:04:24.320 --> 01:04:25.320]  Right.
[01:04:25.320 --> 01:04:26.320]  Atrazine.
[01:04:26.320 --> 01:04:28.320]  Why don't you read a study before you come out here and cover your face?
[01:04:28.320 --> 01:04:29.320]  What are you doing?
[01:04:29.320 --> 01:04:33.000]  We're going to go to Breit and come back and I'm going to bring Sabelle Edmonds in here.
[01:04:33.000 --> 01:04:34.000]  You're going to ride shotgun with us.
[01:04:34.000 --> 01:04:35.000]  Get in the bottom of the hour.
[01:04:35.000 --> 01:04:38.520]  Then I'm going to be with her for an hour and also take some calls because again, she's
[01:04:38.520 --> 01:04:45.480]  a perfect guest to have in studio right now to just go over the big picture from an insider
[01:04:45.480 --> 01:04:49.320]  to understand geopolitically what's happening, what's happening in the government, General
[01:04:49.320 --> 01:04:51.320]  Flynn and so much more.
[01:04:51.320 --> 01:04:52.320]  I'm Alex Jones.
[01:04:52.320 --> 01:04:56.320]  Please spread the live links in fourwars.com for our show.
[01:04:56.320 --> 01:05:03.680]  Top scientists and researchers agree we are being hit by toxic weapons in the food and
[01:05:03.680 --> 01:05:09.040]  water supply that are making us fat, sick and stupid.
[01:05:09.040 --> 01:05:10.360]  So what do we do about it?
[01:05:10.360 --> 01:05:13.840]  Well, for starters, don't just sit there and take it.
[01:05:13.840 --> 01:05:20.560]  Fight back with the all new supercharged Brain Force Plus and feel the rush without
[01:05:20.560 --> 01:05:21.560]  the crash.
[01:05:21.560 --> 01:05:27.560]  Brain Force Plus is the next generation of advanced neural activation and new tropics
[01:05:27.560 --> 01:05:33.960]  and now we've added a brand new ingredient called black pepper fruit extract that gives
[01:05:33.960 --> 01:05:36.560]  you an added kick.
[01:05:36.560 --> 01:05:42.880]  Other ingredients include vitamin B12 and neurological tonic and cognitive enhancers
[01:05:42.880 --> 01:05:49.240]  that will allow you to flip the switch and supercharge your state of mind.
[01:05:49.240 --> 01:05:50.760]  It's the real deal.
[01:05:50.760 --> 01:05:57.960]  Brain Force Plus, secure your bottle right now at infowarstore.com.
[01:05:57.960 --> 01:06:01.760]  You're listening to the Alex Jones show.
[01:06:01.760 --> 01:06:08.680]  Hi, this is Spiro with a very important update on Newsbud's upcoming trip to Austin, Texas
[01:06:08.680 --> 01:06:13.040]  where Newsbud's founder Sebel Edmonds and the Newsbud crew will be joined by Mark S.
[01:06:13.040 --> 01:06:15.520]  Hall to take on the guland network.
[01:06:15.520 --> 01:06:19.680]  Now we are calling on everyone who can make it to these events to show up and take nonviolent
[01:06:19.680 --> 01:06:24.880]  action against this criminal network who has been able to establish over 160 charter schools
[01:06:24.880 --> 01:06:29.800]  across this country with the help of pocketed politicians loyal to the guland network which
[01:06:29.800 --> 01:06:34.320]  has infiltrated all branches of government and is more powerful and influential than
[01:06:34.320 --> 01:06:36.240]  the infamous George Soros.
[01:06:36.240 --> 01:06:39.800]  But not many people are even aware of its existence and that's why Newsbud is taking
[01:06:39.800 --> 01:06:43.760]  action to help inform the parents who are unknowingly sending their children to these
[01:06:43.760 --> 01:06:47.080]  charter schools which have engaged in criminal activity.
[01:06:47.080 --> 01:06:51.200]  Sebel Edmonds and the Newsbud crew will be in Austin, Texas in front of the Harmony Science
[01:06:51.200 --> 01:06:57.320]  Academy in Cedar Park on Tuesday December 12th from 7.45 to 9.00 a.m. where we'll be
[01:06:57.320 --> 01:07:01.960]  handing out flyers to parents to help them become aware of exactly who is running these
[01:07:01.960 --> 01:07:04.240]  schools and what they are engaged in.
[01:07:04.240 --> 01:07:09.320]  Now the second event which we encourage everyone to attend will take place about an hour later
[01:07:09.320 --> 01:07:14.920]  in front of the Capitol building downtown Austin on Tuesday December 12th at 10 a.m.
[01:07:14.920 --> 01:07:19.360]  Where FBI whistleblower, Newsbud founder and chief editor Sebel Edmonds will be joined
[01:07:19.360 --> 01:07:23.640]  by Mark S. Hall the award winning director and producer of the documentary film Killing
[01:07:23.640 --> 01:07:27.360]  Ed which focuses in detail on the guland charter schools.
[01:07:27.360 --> 01:07:29.920]  They will both be speaking live in front of the Capitol.
[01:07:29.920 --> 01:07:33.960]  Again, Sebel Edmonds and Mark Hall will be live speaking in front of the Texas State
[01:07:33.960 --> 01:07:36.280]  Capitol on Tuesday December 12th.
[01:07:36.280 --> 01:07:37.880]  Be there at 10 a.m.
[01:07:37.880 --> 01:07:41.400]  For more information about this event make your way to newsbud.com.
[01:07:41.400 --> 01:07:45.480]  We have all of the information there, the date, the times and the locations as well
[01:07:45.480 --> 01:07:49.200]  as a printable version of the flyer we'll be handing out to the parents.
[01:07:49.200 --> 01:07:52.800]  If you're unable to make it to Austin for this event be sure to support Newsbud's fundraiser
[01:07:52.800 --> 01:07:57.040]  so we can continue to do these events and travel across the country and keep the doors
[01:07:57.040 --> 01:07:58.440]  open here at Newsbud.
[01:07:58.440 --> 01:08:03.800]  We're currently running a fundraiser as Newsbud is 100% independent people funded media and
[01:08:03.800 --> 01:08:05.880]  none of this is possible without your support.
[01:08:05.880 --> 01:08:08.200]  Thank you for your support and we will see you in Texas.
[01:08:35.880 --> 01:08:42.920]  If you don't, if you won't, if you fail to understand, then the same incredible terror
[01:08:42.920 --> 01:08:45.040]  that's menacing me will strike in you.
[01:08:45.040 --> 01:08:49.040]  The function of all life is survival.
[01:08:49.040 --> 01:08:54.040]  Sleep, sleep, sleep.
[01:08:54.040 --> 01:08:56.040]  Come on, let's go, let's go, let's go.
[01:08:56.040 --> 01:08:58.040]  Lock the door, lock the door.
[01:08:58.040 --> 01:09:02.040]  They're coming, they're coming, help, help, they're coming, they're coming.
[01:09:02.040 --> 01:09:04.040]  Listen to me, listen to me.
[01:09:04.040 --> 01:09:08.040]  Help me, do it next, please, please, do it next, we're in danger.
[01:09:08.040 --> 01:09:10.040]  Please, listen to me, it's something terrible.
[01:09:10.040 --> 01:09:14.040]  Please, do it next, here they are, they're already here.
[01:09:14.040 --> 01:09:18.040]  Help, do it next, they're coming, they're coming.
[01:09:18.040 --> 01:09:20.040]  Sleep, the seed is planted.
[01:09:20.040 --> 01:09:25.040]  Sleep, sleep, terror grows.
[01:09:25.040 --> 01:09:29.040]  Elizabeth, wake up, get you when you sleep, sit up.
[01:09:29.040 --> 01:09:33.040]  Invasion of the body snatchers.
[01:09:33.040 --> 01:09:35.040]  All of a sudden, they're growing like parasites.
[01:09:35.040 --> 01:09:37.040]  Is it contagious?
[01:09:37.040 --> 01:09:39.040]  It's from Riala homies.
[01:09:39.040 --> 01:09:41.040]  It looked right at me, you need to get out.
[01:09:41.040 --> 01:09:45.040]  You're looking at it as if it was human or not human.
[01:09:45.040 --> 01:09:49.040]  Now, the classic fear begins to grow.
[01:09:49.040 --> 01:09:51.040]  We're being cornered.
[01:09:51.040 --> 01:09:54.040]  In a modern masterpiece of science fiction.
[01:09:54.040 --> 01:09:56.040]  Barricaded in the street.
[01:09:56.040 --> 01:10:00.040]  Invasion of the body snatchers.
[01:10:00.040 --> 01:10:03.040]  The land of the walking dead.
[01:10:21.040 --> 01:10:26.040]  If you are receiving this transmission, you are the resistance.
[01:10:26.040 --> 01:10:29.040]  It's Alex Jones.
[01:10:29.040 --> 01:10:32.040]  Right, and if you're on a radio station tuning in,
[01:10:32.040 --> 01:10:36.040]  you heard of a promo piece for a tour that Sebel Edmonds is on,
[01:10:36.040 --> 01:10:39.040]  our next guest here in studio with us.
[01:10:39.040 --> 01:10:41.040]  I want to keep on with Troyer and one of our reporters
[01:10:41.040 --> 01:10:43.040]  because he's been reading into her reports
[01:10:43.040 --> 01:10:48.040]  and reading her articles from newsbud.com.
[01:10:48.040 --> 01:10:54.040]  Dealing with all this and expanding on that.
[01:10:54.040 --> 01:10:59.040]  We've got just this incredible political backdrop
[01:10:59.040 --> 01:11:03.040]  that's unfolding right now here in the United States.
[01:11:03.040 --> 01:11:05.040]  That's why it's good to have Sebel Edmonds here with us
[01:11:05.040 --> 01:11:07.040]  because she can get into the whole police state
[01:11:07.040 --> 01:11:09.040]  and the whole surveillance grid
[01:11:09.040 --> 01:11:15.040]  because she worked inside the FBI.
[01:11:15.040 --> 01:11:17.040]  I think that's the best way to introduce this.
[01:11:17.040 --> 01:11:19.040]  Just talk about yourself a little bit, Sebel,
[01:11:19.040 --> 01:11:22.040]  and your story because it's really kind of like a skeleton key
[01:11:22.040 --> 01:11:27.040]  into all these other big issues.
[01:11:27.040 --> 01:11:30.040]  My activism in the United States actually started
[01:11:30.040 --> 01:11:37.040]  with my one-year work with the FBI right after 9-11.
[01:11:37.040 --> 01:11:39.040]  I became a whistleblower.
[01:11:39.040 --> 01:11:42.040]  At the time, I didn't even know what whistleblowing was.
[01:11:42.040 --> 01:11:45.040]  It's just that I saw, I got to see
[01:11:45.040 --> 01:11:50.040]  some incredibly high-level criminal operations
[01:11:50.040 --> 01:11:55.040]  and cover-up by entities within our government,
[01:11:55.040 --> 01:11:58.040]  and I didn't go and leak everything to the media.
[01:11:58.040 --> 01:12:00.040]  I went to the appropriate channels.
[01:12:00.040 --> 01:12:03.040]  I went to the Congress, the appropriate committee,
[01:12:03.040 --> 01:12:06.040]  and nothing happened.
[01:12:06.040 --> 01:12:08.040]  I went to the IG, and nothing happened.
[01:12:08.040 --> 01:12:09.040]  I went to the court.
[01:12:09.040 --> 01:12:11.040]  I was blocked all the way.
[01:12:11.040 --> 01:12:12.040]  I went up to the Supreme Court,
[01:12:12.040 --> 01:12:16.040]  and they said everything about what I was blowing the whistle on,
[01:12:16.040 --> 01:12:21.040]  reporting they were all classified at highest level.
[01:12:21.040 --> 01:12:23.040]  Again, they scaled up right after 9-11,
[01:12:23.040 --> 01:12:25.040]  so you're there literally weeks after?
[01:12:25.040 --> 01:12:27.040]  Three days after.
[01:12:27.040 --> 01:12:29.040]  Most of it's classified,
[01:12:29.040 --> 01:12:31.040]  but the stuff you were hearing,
[01:12:31.040 --> 01:12:33.040]  you've testified to Congress in secret,
[01:12:33.040 --> 01:12:35.040]  and you've broken some of the gag orders very valiantly
[01:12:35.040 --> 01:12:39.040]  and talked about just the incredible things you were hearing.
[01:12:39.040 --> 01:12:40.040]  Absolutely.
[01:12:40.040 --> 01:12:42.040]  I had to go inside skiffs.
[01:12:42.040 --> 01:12:45.040]  These are the secure compartmentalized facilities
[01:12:45.040 --> 01:12:47.040]  where nobody can eavesdrop.
[01:12:47.040 --> 01:12:50.040]  That's where you can talk and discuss these issues
[01:12:50.040 --> 01:12:53.040]  with people who have security clearance.
[01:12:53.040 --> 01:12:55.040]  And I have to say this, Alex.
[01:12:55.040 --> 01:12:57.040]  Many of these issues,
[01:12:57.040 --> 01:12:59.040]  they shouldn't even have been classified.
[01:12:59.040 --> 01:13:03.040]  So when you have a government with unchecked power
[01:13:03.040 --> 01:13:06.040]  to classify and make anything they want secret,
[01:13:06.040 --> 01:13:07.040]  what you're going to get?
[01:13:07.040 --> 01:13:09.040]  You're going to get abuse of that power,
