[00:00.000 --> 00:03.440]  mainstream media, government cover-ups.
[38:34.740 --> 38:38.740]  Everybody within the reach of this voice, please get out there and get active.
[38:38.740 --> 38:40.740]  We've done this here around Chicago.
[38:40.740 --> 38:46.740]  We started a couple of groups, my own group, DuPage911Truth.org.
[38:46.740 --> 38:51.740]  We're advertising right now on Prison Planet, fourth banner down.
[38:51.740 --> 38:56.740]  We're sponsoring Richard Gage on May 30th, 2008.
[38:56.740 --> 39:01.740]  If you want to get your pre-tickets, go down to the banner, click on it, and support our
[39:01.740 --> 39:02.740]  cause.
[39:02.740 --> 39:03.740]  We need all the help we can get.
[39:03.740 --> 39:05.740]  And it's good you're bringing out Richard Gage.
[39:05.740 --> 39:07.740]  I mean, he gives an excellent presentation.
[39:07.740 --> 39:13.740]  In fact, he gave one in New York where he really breaks down how Building 7 was brought down
[39:13.740 --> 39:14.740]  in the controlled demolition.
[39:14.740 --> 39:19.740]  One of my favorite points in that presentation is when he shows the quote-unquote World Trade
[39:19.740 --> 39:26.740]  Center meteorites, which are an amalgamation of the pulverized concrete and molten metal
[39:26.740 --> 39:32.740]  that form these huge rocks that could have only been formed if the steel didn't indeed melt.
[39:32.740 --> 39:34.740]  That's for sure.
[39:34.740 --> 39:37.740]  I saw Richard Gage there at the theater.
[39:37.740 --> 39:43.740]  I can't remember which night that was, and he was engaged in conversation with you and
[39:43.740 --> 39:47.740]  Dylan, and Richard is a courageous man.
[39:47.740 --> 39:49.740]  I don't think he has his own practice.
[39:49.740 --> 39:51.740]  I think he's working for another firm.
[39:51.740 --> 39:55.740]  And for him to go out on a limb like this is really risking all.
[39:55.740 --> 39:56.740]  Oh, he has risked it all.
[39:56.740 --> 39:58.740]  And yeah, you are correct.
[39:58.740 --> 39:59.740]  He doesn't have his own firm.
[39:59.740 --> 40:01.740]  I'm pretty sure he does freelancing.
[40:01.740 --> 40:03.740]  And he's about all the time.
[40:03.740 --> 40:08.740]  And for him to dedicate so much time to 9-Eleven Truth shows what a good person he is.
[40:08.740 --> 40:11.740]  And he's really, he's put out all the stops, man.
[40:11.740 --> 40:15.740]  He's actually in Alex Jones' new film, The 9-Eleven Chronicles.
[40:15.740 --> 40:20.740]  He's got a little part in there where he basically goes over Building 7 and how it's absolutely
[40:20.740 --> 40:21.740]  a controlled demolition.
[40:21.740 --> 40:23.740]  But you and I both know that, John.
[40:23.740 --> 40:28.740]  I mean, the evidence is so clear that that building was brought down in a controlled manner and covered up.
[40:28.740 --> 40:29.740]  Okay, great.
[40:29.740 --> 40:31.740]  Another reminder.
[40:31.740 --> 40:37.740]  All the Chicago listeners, please go to the banner fourth down from the top prison planet.
[40:37.740 --> 40:38.740]  Get your tickets.
[40:38.740 --> 40:39.740]  Please support Richard Gage.
[40:39.740 --> 40:40.740]  All right.
[40:40.740 --> 40:42.740]  Thank you so much for the call, John.
[40:42.740 --> 40:45.740]  Let's move on to Larry in Indiana.
[40:45.740 --> 40:46.740]  Larry, are you with us?
[40:46.740 --> 40:47.740]  Hello, Jason.
[40:47.740 --> 40:48.740]  How are you doing, man?
[40:48.740 --> 40:49.740]  Very good.
[40:49.740 --> 40:55.740]  I passed out some of your loose change to here as well as 9-Eleven Ripple Effect and others.
[40:55.740 --> 41:00.740]  We even tried to have a public showing here in Indiana.
[41:00.740 --> 41:01.740]  Mixed results.
[41:01.740 --> 41:05.740]  Most people don't want to hear it, but on a personal level, you can give those out.
[41:05.740 --> 41:09.740]  I wanted to point something out for this real important guys.
[41:09.740 --> 41:14.740]  On Friday, in the third hour, Alex Jones had Michael Hoffman on.
[41:14.740 --> 41:20.740]  If you have the access to the archives, I cannot highly recommend enough that you hear this show.
[41:20.740 --> 41:27.740]  Michael went into the involvement of Israel into 9-Eleven and the U.S. Government Affairs.
[41:27.740 --> 41:30.740]  He went into the difference between the Torah and the Talmud.
[41:30.740 --> 41:32.740]  That is the key, folks.
[41:32.740 --> 41:37.740]  I don't know if you know it or not, Jason, but the Talmud is a satanic doctrine, T-A-L-M-U-D,
[41:37.740 --> 41:44.740]  that you've got real pious Hebrew Torah-worshiping Jews, and then you've got these bloodthirsty
[41:44.740 --> 41:49.740]  Zionists that work in our government and run Israel.
[41:49.740 --> 41:52.740]  They're the ones that are trying to get us into a war with Iran.
[41:52.740 --> 41:56.740]  They're the ones that are taking the guns from the veterans in this country.
[41:56.740 --> 41:59.740]  We're talking Schumer, Feinstein, Boxer, et cetera.
[41:59.740 --> 42:05.740]  They're the ones that are giving our troops to practice, putting us in camps, and to kill us.
[42:05.740 --> 42:08.740]  I've read Codex Magica.
[42:08.740 --> 42:13.740]  I've been interested in Tex-Mar stuff for a number of years.
[42:13.740 --> 42:17.740]  I'm not 100% into everything, but I go and check everything out.
[42:17.740 --> 42:21.740]  Actually, in my new movie, Fabled Enemies, I am going to go into Israel's role into 9-Eleven.
[42:21.740 --> 42:24.740]  I know it hasn't been in any of the other documentaries.
[42:24.740 --> 42:28.740]  I'm really going to go into not only the dancing Israelis who were detained,
[42:28.740 --> 42:32.740]  or the Israelis that were detained at the George Washington Bridge with the explosives,
[42:32.740 --> 42:35.740]  but also into the Fox News report of how it all works.
[42:35.740 --> 42:38.740]  How does an international spiring like this work?
[42:38.740 --> 42:41.740]  Well, they use companies like Amdox and Converse,
[42:41.740 --> 42:45.740]  which have close military-industrial complex ties to the state of Israel,
[42:45.740 --> 42:50.740]  in order to compromise all of these different intelligence organizations.
[42:50.740 --> 42:55.740]  That coupled with the fact that they have dual citizens located in almost every area of our government.
[42:55.740 --> 42:58.740]  People like Michael Schertoff, who at the time of 9-Eleven,
[42:58.740 --> 43:01.740]  was the head of the criminal division at the Attorney General's office,
[43:01.740 --> 43:02.740]  and now-
[43:02.740 --> 43:04.740]  And let Israeli terrorists go.
[43:04.740 --> 43:07.740]  Yeah, oh, absolutely. And now he is the head of Homeland Security.
[43:07.740 --> 43:10.740]  We have another dual citizen out there named Paul Wolfewitz,
[43:10.740 --> 43:12.740]  who is the assistant secretary of defense.
[43:12.740 --> 43:15.740]  I mean, he's really under the radar for most people,
[43:15.740 --> 43:19.740]  but he's one of those guys that writes these policy papers with the PNAC crew.
[43:19.740 --> 43:21.740]  Have a Larry Silverstein.
[43:21.740 --> 43:22.740]  Well, there's another guy.
[43:22.740 --> 43:26.740]  Well, again, the ties to Israel are definitely there,
[43:26.740 --> 43:28.740]  and I'm going to be going over them in the new movie.
[43:28.740 --> 43:30.740]  I hope people check it out. Larry, I thank you for the call.
[43:30.740 --> 43:31.740]  Yep.
[43:31.740 --> 43:34.740]  Let's move on to Justin in New Jersey.
[43:34.740 --> 43:35.740]  Justin, are you with us?
[43:35.740 --> 43:37.740]  Hey, what's going on? How are you doing?
[43:37.740 --> 43:38.740]  Good, man. How are you doing?
[43:38.740 --> 43:40.740]  I'm doing all right.
[43:40.740 --> 43:43.740]  I just got a couple things to comment on.
[43:43.740 --> 43:47.740]  First of all, you're talking about this police state and all this martial law stuff.
[43:47.740 --> 43:55.740]  I actually did a thesis paper on the Rex 84 for my project at Rutgers University here in New Jersey,
[43:55.740 --> 43:58.740]  and I put out a series of posters.
[43:58.740 --> 44:04.740]  Basically, talking about Rex 84 and the different scenarios that will go down to different executive orders.
[44:04.740 --> 44:08.740]  I got the website up. It's rex84.info.
[44:08.740 --> 44:10.740]  I urge y'all to check it out.
[44:10.740 --> 44:12.740]  There's copies of people to print out.
[44:12.740 --> 44:15.740]  Why don't you tell people what Rex 84 is?
[44:15.740 --> 44:18.740]  You and I both know it, but some of our listeners probably don't.
[44:18.740 --> 44:27.740]  Rex 84 was basically the readiness exercises put forth by, I guess you want to call it the Neocons, 1984.
[44:27.740 --> 44:34.740]  Basically, the Bush administration now, and it basically allows for martial law to be enacted within the United States.
[44:34.740 --> 44:39.740]  It's kind of a continuity of government type thing where they're going to round us up and pass into FEMA camps.
[44:39.740 --> 44:41.740]  Yeah, exactly. It is continuity of government.
[44:41.740 --> 44:44.740]  I mean, they've had these things actually since 1962.
[44:44.740 --> 44:47.740]  They've been around for a while, so I just want to kind of...
[44:47.740 --> 44:52.740]  Well, they've absolutely progressed, too, and one of my big points, Justin,
[44:52.740 --> 44:56.740]  that makes me feel really uncomfortable is that in the last few years,
[44:56.740 --> 44:59.740]  they commissioned Halliburton to build these new FEMA camps.
[44:59.740 --> 45:06.740]  Now, Halliburton has since moved their base of operations from the United States to Dubai.
[45:06.740 --> 45:11.740]  So let's say martial law does come, and they start rounding people up, and people get wind of it,
[45:11.740 --> 45:15.740]  and they're like, screw this, I'm not going to any Halliburton FEMA camp, I'm not going.
[45:15.740 --> 45:22.740]  Well, it's going to be awfully hard to go challenge Halliburton when Halliburton isn't in the United States, it's in Dubai.
[45:22.740 --> 45:27.740]  And what's even scarier is that Halliburton, if they ever feel threatened,
[45:27.740 --> 45:33.740]  will just commission more CACI forces or Blackwater forces to be their military,
[45:33.740 --> 45:38.740]  and they'll really have an endless supply of mercenaries to round us up and put us into these camps.
[45:38.740 --> 45:41.740]  That's what really scares me about these continuity of government programs.
[45:41.740 --> 45:45.740]  It completely takes out Congress, it takes out the will of the people,
[45:45.740 --> 45:48.740]  and it puts power into the hands of a few dictators.
[45:48.740 --> 45:52.740]  And folks, that's what happened on 9-11, the continuity of government plan went into effect.
[45:52.740 --> 45:54.740]  We still don't know if it ever went out of effect.
[45:54.740 --> 45:55.740]  This is true.
[45:55.740 --> 45:56.740]  It's scary, man.
[45:56.740 --> 45:59.740]  You know, you try and talk to people about this stuff.
[45:59.740 --> 46:04.740]  For instance, I wrote an English class over there, and for my thesis paper,
[46:04.740 --> 46:07.740]  I was trying to write about 9-11 being an inside job and whatnot,
[46:07.740 --> 46:10.740]  and I was basically told, you can't write it, you can't prove it.
[46:10.740 --> 46:12.740]  It's unparalleled, you can't write that paper.
[46:12.740 --> 46:15.740]  And it is provable, that's the crazy thing, is that you can put out so much evidence
[46:15.740 --> 46:18.740]  that it is obviously not what they told us, and they still won't hear it, man.
[46:18.740 --> 46:21.740]  It's the thought police, it's 1984 all over again.
[46:21.740 --> 46:24.740]  It's really a part of Brave New World because everybody's so drugged up.
[46:24.740 --> 46:26.740]  It's disgusting.
[46:26.740 --> 46:30.740]  I mean, the universities, for instance, they got the mental health facilities over there.
[46:30.740 --> 46:36.740]  You go in there and all you see is posters for a Prozac, all these drugs.
[46:36.740 --> 46:37.740]  It's just ridiculous.
[46:37.740 --> 46:39.740]  Yeah, we are taking him there.
[46:39.740 --> 46:41.740]  They really kill your brain.
[46:41.740 --> 46:43.740]  I got so many friends on that stuff.
[46:43.740 --> 46:45.740]  I urge them all to get off of it.
[46:45.740 --> 46:48.740]  If anybody's on those medications, I urge everybody just drop it now.
[46:48.740 --> 46:50.740]  It'll get you in the air really well.
[46:50.740 --> 46:53.740]  I'm with you, Justin. Thank you so much for the call.
[46:53.740 --> 46:54.740]  Let's move on to the next caller.
[46:54.740 --> 46:56.740]  Let's go to Peter in Alabama.
[46:56.740 --> 46:58.740]  Peter, are you with me?
[46:58.740 --> 46:59.740]  Hey, how are you doing?
[46:59.740 --> 47:00.740]  Good, man. How are you doing?
[47:00.740 --> 47:02.740]  Not bad. It's good to talk to you.
[47:02.740 --> 47:06.740]  I just wanted to say to everybody that the Fed has pushed back the Real ID Act date
[47:06.740 --> 47:11.740]  to December 31, 2009, no longer this month of 2008.
[47:11.740 --> 47:15.740]  Well, I feel like they're going to keep pushing it back as more and more people like yourself
[47:15.740 --> 47:18.740]  keep challenging it and making other people aware about it.
[47:18.740 --> 47:21.740]  All right. Well, that's good. Hopefully it'll never come.
[47:21.740 --> 47:25.740]  Well, yeah, I mean, this is something that people individually have to fight back on a state level.
[47:25.740 --> 47:28.740]  I mean, that's the key is that, you know, we're not going to be able to do this nationally,
[47:28.740 --> 47:32.740]  but if we can get groups together in the state, and it's not that hard to explain to people
[47:32.740 --> 47:34.740]  that this is your papers, please.
[47:34.740 --> 47:37.740]  In fact, I would say a good tool is, I don't know if you've seen these yet,
[47:37.740 --> 47:42.740]  but there's a couple of MTV ads out there which really basically make the point
[47:42.740 --> 47:44.740]  the Holocaust happened to people like us.
[47:44.740 --> 47:46.740]  And one of them takes place in the subway.
[47:46.740 --> 47:49.740]  And basically these guys are all in a subway train all of a sudden.
[47:49.740 --> 47:52.740]  It's men in black uniforms, guns, everybody's separated.
[47:52.740 --> 47:56.740]  They break up a family. They round them up, you know, your papers, please.
[47:56.740 --> 47:58.740]  And then it says the Holocaust happened to people like us.
[47:58.740 --> 48:00.740]  Then another one is, yeah, it's crazy.
[48:00.740 --> 48:04.740]  And then they sweep a house, you know, a normal average every day American family.
[48:04.740 --> 48:07.740]  They sweep a house in under 30 seconds. They get everybody out,
[48:07.740 --> 48:10.740]  and they're put onto a concentration camp truck.
[48:10.740 --> 48:14.740]  And they make the point again, you know, the Holocaust happened to people like us.
[48:14.740 --> 48:18.740]  It's these kind of steps like a national ID card that allows things like that to happen.
[48:18.740 --> 48:21.740]  Well, they're not sweeping my house. I got plenty of 762,
[48:21.740 --> 48:24.740]  but their names on it, they tried to do that unlawfully.
[48:24.740 --> 48:25.740]  Well, that's why we need guns.
[48:25.740 --> 48:28.740]  I mean, honestly, the Second Amendment, like Jesse Wintour, is not there
[48:28.740 --> 48:30.740]  so we can go hunting deer folks.
[48:30.740 --> 48:32.740]  It's to protect us from a tyrannical government.
[48:32.740 --> 48:35.740]  And this government is out of control.
[48:35.740 --> 48:36.740]  And I mean, I live in New York, man.
[48:36.740 --> 48:42.740]  It's so hard to have a firearm outside of a.22 or a shotgun or a rifle, you know, in your home.
[48:42.740 --> 48:46.740]  It's so tough to get a carry permit for a pistol.
[48:46.740 --> 48:49.740]  I mean, you literally have to be either a cop or an ex-military guy
[48:49.740 --> 48:54.740]  or have like a long, long, long line of security personnel or cops recommending you.
[48:54.740 --> 48:55.740]  It's tough, man.
[48:55.740 --> 48:59.740]  It's not like that everywhere in America, but it's like that in places like New York
[48:59.740 --> 49:00.740]  where the population's heavy.
[49:00.740 --> 49:04.740]  I mean, there's eight million people in Manhattan alone.
[49:04.740 --> 49:06.740]  I don't know what's disturbing to me.
[49:06.740 --> 49:07.740]  All right, Peter, I thank you for the call.
[49:07.740 --> 49:10.740]  Let's jump to Stephen in Texas.
[49:10.740 --> 49:11.740]  Stephen, are you there?
[49:11.740 --> 49:13.740]  Yeah, good morning, Jason.
[49:13.740 --> 49:14.740]  How are you doing now?
[49:14.740 --> 49:15.740]  I guess it's afternoon where you are.
[49:15.740 --> 49:18.740]  Yeah, I had several things I wanted to share.
[49:18.740 --> 49:24.740]  I've got a good friend of mine who's a student in a Bible college here in East Texas, Northamea.
[49:24.740 --> 49:32.740]  And this guy has experienced in the last year a plethora of the issues that Alex has been talking about in a show.
[49:32.740 --> 49:39.740]  Probably a year or so ago, more than that, I actually had this friend of mine watch with me terror storming.
[49:39.740 --> 49:41.740]  He was just, his mouth was on the ground.
[49:41.740 --> 49:45.740]  So he's really gotten on board with this whole thing of making people aware what's going on.
[49:45.740 --> 49:46.740]  He's very vocal.
[49:46.740 --> 49:49.740]  He's very astute, very studied up and what he checks out.
[49:49.740 --> 49:52.740]  And he's very authoritative when he speaks, just like Alex.
[49:52.740 --> 49:56.740]  Well, anyway, here's what he's had happen since he's taken this stand.
[49:56.740 --> 50:01.740]  First of all, he mentioned a college professor, and this is a little Bible college in East Texas.
[50:01.740 --> 50:08.740]  This guy, Bob, that Alex has spoken of, that's going around saying we need to tear down the Constitution,
[50:08.740 --> 50:09.740]  get rid of our nation state.
[50:09.740 --> 50:13.740]  He actually was invited by a professor to speak at the college there.
[50:13.740 --> 50:14.740]  Oh, love it.
[50:14.740 --> 50:21.740]  Because the professor wanted to get an opposing view of what is right as far as our constitutional right.
[50:21.740 --> 50:26.740]  But when Mr. Bobby came out with basically getting rid of the United States as a nation,
[50:26.740 --> 50:28.740]  this guy got really upset at him.
[50:28.740 --> 50:29.740]  The professor invited him.
[50:29.740 --> 50:35.740]  It was really angry and rebuked him because he said, you're a traitor and you ought to be tried for treason.
[50:35.740 --> 50:36.740]  All right, Steven, stay right there.
[50:36.740 --> 50:38.740]  I want to get into more of this on the other side.
[50:38.740 --> 50:44.740]  We're also going to be having Paul Joseph Watson at one and Jim Mars at two info wars.com, prisonplanet.com.
[50:44.740 --> 50:51.740]  It is The Alex Jones Show.
[51:14.740 --> 51:20.740]  You can connect to our amazing online store, whether you're looking for survival and wellness products like Berkey water filters,
[51:20.740 --> 51:23.740]  or you would like a book on the history of the Federal Reserve.
[51:23.740 --> 51:28.740]  We've got the most well researched and documented titles all available at prisonplanet.com,
[51:28.740 --> 51:34.740]  or if you'd like, you can give the info or store a call at 888-253-3139,
[51:34.740 --> 51:40.740]  or you can view more than a thousand titles in super high quality right now at prisonplanet.tv.
[51:40.740 --> 51:46.740]  Knowledge is power, and the information you need to effectively wake up your fellow man and fight the New World Order
[51:46.740 --> 51:51.740]  is available right now at truthnews.us and prisonplanet.tv.
[51:51.740 --> 52:14.740]  Join the info war today.
[52:40.740 --> 52:44.740]  Let SnyderHealth.com provide the water ionizer that's right for you and your family.
[52:44.740 --> 52:50.740]  Call us today at 877-356-2508 and visit us online at SnyderHealth.com.
[52:50.740 --> 52:56.740]  Imagine walking down the street and hearing footsteps behind you.
[52:56.740 --> 53:01.740]  They get closer and closer, and suddenly you have a sense something bad is going to happen.
[53:01.740 --> 53:03.740]  What are you going to do to defend yourself?
[53:03.740 --> 53:08.740]  TebowTech specializes in non-lethal self defense products for you and your family,
[53:08.740 --> 53:12.740]  with everything from stun guns and tasers to personal alarms and pepper spray.
[53:12.740 --> 53:17.740]  TebowTech will arm you with the most advanced non-lethal products anywhere on the net.
[53:17.740 --> 53:22.740]  Not sure where to start? The TebowTech Essentials Package is great for you or to share with your family.
[53:22.740 --> 53:27.740]  It comes with a 950,000 volt cell phone stun gun, a multi-pack of pepper sprays,
[53:27.740 --> 53:33.740]  an extremely loud personal alarm, and a how-to book for defending yourself with pepper spray all at a low price.
[53:33.740 --> 53:40.740]  With these or any of TebowTech's products, you have the tools to defend yourself against an attack and get yourself to safety.
[53:40.740 --> 53:43.740]  Don't be a victim. Be a victor.
[53:43.740 --> 53:52.740]  Stock up now. TebowTech.com. That's T-B-O-T-E-C-H.com.
[54:06.740 --> 54:10.740]  Alright, it's the Alex Jones Show. We are back alive!
[54:10.740 --> 54:16.740]  And I want to invite everybody out to the Alamo Draft House on May 17th and May 18th,
[54:16.740 --> 54:21.740]  where Alex Jones is going to be sneak peeking his 9-11 Chronicles Part 1 Truth Rise.
[54:21.740 --> 54:28.740]  And remember, folks, you won't be able to get that on the website until at least mid-June, possibly early July.
[54:28.740 --> 54:34.740]  So if you want to catch a sneak peek, you're out in Texas. It's over at the Alamo Draft House Saturday, May 17th at 4 p.m.
[54:34.740 --> 54:42.740]  and Sunday, May 18th at 7 p.m. If you want to support this broadcast, otherwise, it'd probably be a good idea to get a prisonplanet.tv membership.
[54:42.740 --> 54:47.740]  That's the way you can see my pretty face and Alex's pretty face in the fourth hour.
[54:47.740 --> 54:51.740]  We stream a full hour, if you will, on the video.
[54:51.740 --> 55:01.740]  On top of all of Alex Jones' documentary films, everything from police state 1 through 3 to loose changes on there.
[55:01.740 --> 55:06.740]  It's all there. Prisonplanet.tv has weekly TV reports. That's how you support the broadcast.
[55:06.740 --> 55:12.740]  Or you can go to the InfoWars shop and pick up American Drug War, a movie I highly recommend.
[55:12.740 --> 55:16.740]  I watched it. I think it was in December. I finally got to see it. It's an excellent film.
[55:16.740 --> 55:22.740]  You can get William Lewis' Washington You're Fired. We had William on yesterday, a class act all the way.
[55:22.740 --> 55:26.740]  Or you can get Endgame, Alex's latest, as well as loose change Final Cut.
[55:26.740 --> 55:32.740]  Alright, let's go back to Steve and we're discussing this Bobbit character and how he's prancing around the United States,
[55:32.740 --> 55:35.740]  talking about how we need to end the Constitution and Bill of Rights.
[55:35.740 --> 55:40.740]  So, obviously, the professor was pretty opposed to this after he heard him speak.
[55:40.740 --> 55:45.740]  We told him, you're not welcome here ever again. You know, told him he should be tried for treason.
[55:45.740 --> 55:56.740]  And the thing is, my friend, he's been showing his fellow students these videos like Endgame and Terrorism, Terrorstorm and Loose Change.
[55:56.740 --> 56:02.740]  He's trying to do what we're all trying to do, which is wake people up and make them aware so we can stand up to this monster.
[56:02.740 --> 56:10.740]  Here's another thing. A friend in the college whose pastor was approached by a FEMA representative
[56:10.740 --> 56:14.740]  and told to preach from Romans 13. This pastor refused.
[56:14.740 --> 56:22.740]  Oh, that's weird because apparently that doesn't exist even though Alex had some of the preachers come on.
[56:22.740 --> 56:25.740]  Talk about how they had been approached to be recruited for this.
[56:25.740 --> 56:28.740]  One of them got paperwork, sent it down to the Info Wars office.
[56:28.740 --> 56:32.740]  We printed it over at infowars.com and prisonplanet.com.
[56:32.740 --> 56:38.740]  And it's obvious that FEMA's there to try to cull the Christian masses into their camps.
[56:38.740 --> 56:45.740]  Having the preachers sell out their quote-unquote flock to death. It's pretty scary, man.
[56:45.740 --> 56:50.740]  I mean, that's what it is. They're going to enslave these people through someone who is their authoritative role model.
[56:50.740 --> 56:56.740]  See, that's why it's so hard for me to get down with the Christian religion.
[56:56.740 --> 57:01.740]  It's not that I don't like the philosophies and morality of Christianity.
[57:01.740 --> 57:03.740]  I think they're great. I think the life lessons are great.
[57:03.740 --> 57:10.740]  But so many people who follow this religion just blindly follow whatever their preacher says.
[57:10.740 --> 57:15.740]  They believe that George W. Bush is of the Lord and that he worships Jesus Christ.
[57:15.740 --> 57:22.740]  And that all these Christian conservatives on the right really believe in Christianity and they don't.
[57:22.740 --> 57:27.740]  These are guys that are looking for gay bathroom sex in an airport.
[57:27.740 --> 57:36.740]  These are guys that head up the government's CPS department and then get caught eye-emming 16-year-old boy pages.
[57:36.740 --> 57:39.740]  That's what they're into. They're into going to the Bohemian Grove.
[57:39.740 --> 57:42.740]  Stephen, I thank you for the call, man. It just makes me sick.
[57:42.740 --> 57:45.740]  There's nothing Christian about the majority of these guys.
[57:45.740 --> 57:52.740]  And yet Christians are just going to follow whatever their pastors say, whatever these guys say outwardly.
[57:52.740 --> 57:58.740]  Oh, I talked to God. You know, God made me president.
[57:58.740 --> 58:02.740]  God made me president. All right, let's move on to some more phone calls.
[58:02.740 --> 58:04.740]  Let's go to Craig in D.C.
[58:04.740 --> 58:07.740]  All right, wait. I guess we'll take Craig in D.C. after the break.
[58:07.740 --> 58:10.740]  I forget that we're about to be back at the top of the hour.
[58:10.740 --> 58:17.740]  Remember, and now we're going to have Paul Joseph Watson, author of Order Out of Chaos and the prisonplanet.com webmaster,
[58:17.740 --> 58:19.740]  as well as Jim Mars in the next couple hours.
[58:19.740 --> 58:22.740]  It's the Alex Jones show. Stick around. I'll be back after this.
[58:59.740 --> 59:02.740]  For thousands of years, their Dark Order grew.
[59:02.740 --> 59:12.740]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[59:12.740 --> 59:22.740]  For the first time in history, the elite's plan for world government is blown wide open. You will learn the secret that drives the entire New World Order agenda.
[59:22.740 --> 59:24.740]  Ilbert is making great progress toward a world government.
[59:24.740 --> 59:29.740]  Most people have no idea. They're not after money. They have all the money they need. They're after power. That's their affidavit.
[59:29.740 --> 59:38.740]  Order in-game on DVD at prisonplanet.com or infowars.com, or watch it online right now at prisonplanet.tv.
[59:38.740 --> 59:43.740]  In-game, blueprint for global enslaving. You have been warned.
[59:46.740 --> 59:52.740]  Waging war on corruption. Alex Jones on the GCN Radio Network.
[59:57.740 --> 1:00:02.740]  Government cover-ups. You want answers? Well, so does he.
[1:00:02.740 --> 1:00:11.740]  He's Alex Jones on the GCN Radio Network. And now, live from Austin, Texas, Alex Jones.
[1:00:12.740 --> 1:00:22.740]  All right, folks, we are back for the second hour of this global transmission against tyranny, against all enemies, foreign and domestic.
[1:00:22.740 --> 1:00:29.740]  Especially when those domestic enemies are prancing around universities talking about the end of the Constitution and the Bill of Rights.
[1:00:29.740 --> 1:00:37.740]  And they're going to recruit your preachers in order to cull the masses into FEMA camps built by Halliburne.
[1:00:37.740 --> 1:00:44.740]  That's where we're at. Pretty scary stuff, but reality. I mean, everything I just said there is really going on.
[1:00:44.740 --> 1:00:49.740]  FEMA is recruiting pastors and preachers to preach to you.
[1:00:49.740 --> 1:00:53.740]  Romans, where you give in to the government. The government is God, isn't that nice?
[1:00:53.740 --> 1:01:00.740]  The government is not God, folks. Governments throughout history are not there for the people.
[1:01:00.740 --> 1:01:08.740]  They're manipulated. They're there to eviscerate our rights. They're there to dominate us.
[1:01:08.740 --> 1:01:11.740]  That's why dictatorships pop up all throughout the world.
[1:01:11.740 --> 1:01:18.740]  And constitutional republics and democracies are not the norm. You need to get it through your head.
[1:01:18.740 --> 1:01:24.740]  We're lucky. We're real lucky to be where we are. We're in a position right now where we can still fight a lot of this.
[1:01:24.740 --> 1:01:32.740]  But people's heads are so much in the sand by their infotainment, which is really our own faults for falling for it.
[1:01:32.740 --> 1:01:37.740]  These 24-hour news networks, even CNN and Fox News, all that other stuff.
[1:01:37.740 --> 1:01:44.740]  Half of its Britney Spears, like I care, or Anna Nicole Smith, like I really do like that Jesse Ventura went out there and said,
[1:01:44.740 --> 1:01:54.740]  you know, Anna Nicole Smith was nothing but a model, and they covered her death for two months on every 24-hour news network.
[1:01:54.740 --> 1:01:58.740]  And there were entire shows like Larry King Live dedicated to it.
[1:01:58.740 --> 1:02:04.740]  And let's not forget about her death scandal right before that, the baby scandal. Who cares?
[1:02:04.740 --> 1:02:11.740]  How does her having a baby with six other dudes affect my life at all? It doesn't.
[1:02:11.740 --> 1:02:18.740]  The only way it affects my life is it dumbs my neighbors down enough to where they don't even care that 9-11 is a false flag attack
[1:02:18.740 --> 1:02:25.740]  that's taken away all our rights and freedoms and is killing American soldiers day after day overseas in Afghanistan and Iraq.
[1:02:25.740 --> 1:02:31.740]  And let's not mention all the brown people we've killed because obviously they're brown and they're not human.
[1:02:31.740 --> 1:02:36.740]  You know, they're less than human somehow because they're born in Afghanistan and Iraq.
[1:02:36.740 --> 1:02:43.740]  You know, let's bomb into the Stone Age. Let's make it a glass parking lot. I've only heard that 300 dozen times.
[1:02:43.740 --> 1:02:48.740]  All right, let's keep going with the callers. Let's go to Craig in DC. Craig, are you there?
[1:02:48.740 --> 1:02:50.740]  Hey, Jason, what's up, man?
[1:02:50.740 --> 1:02:51.740]  How you doing, man?
[1:02:51.740 --> 1:02:58.740]  Hey, you know what? I'm real good. It's a real pleasure to talk to you. I've seen your loose change films and those are something else, man.
[1:02:58.740 --> 1:02:59.740]  Well, thank you, man.
[1:02:59.740 --> 1:03:07.740]  I don't want to sound stupid in asking this question, but was the purpose of each successive one, it's not to usurp the previous one,
[1:03:07.740 --> 1:03:11.740]  it's to continue to build the narrative, I suppose, right?
[1:03:11.740 --> 1:03:14.740]  Oh, absolutely. And the way I looked at it is this, all right?
[1:03:14.740 --> 1:03:19.740]  For instance, you know, Dylan did the first edition all on his own. It was a 60-minute documentary.
[1:03:19.740 --> 1:03:21.740]  It opened up a lot of eyes, okay?
[1:03:21.740 --> 1:03:26.740]  And when I saw that, I saw the potential for this thing to be the one that broke into the mainstream.
[1:03:26.740 --> 1:03:34.740]  So I met Dylan and Corey prior to the second edition. We took the best 30 minutes from the second edition and we made this 90-minute narrative.
[1:03:34.740 --> 1:03:40.740]  Now, this one blew up out of the sky. I mean, it was featured on every news channel and brought us around the country.
[1:03:40.740 --> 1:03:45.740]  Caught a lot of eyes, had O'Reilly bashing us, got us into this next project.
[1:03:45.740 --> 1:03:53.740]  And what we tried to do with the final cut that we didn't do so much in the second edition was to try to stay away from what we thought happened
