[00:00:09.732 --> 00:00:13.093]  It's Sunday, October 30th, 2022.
[00:29:18.504 --> 00:29:19.344]  It's came over.
[00:29:19.344 --> 00:29:25.047]  And all over the planet, humanity is awakening and peacefully fighting back.
[00:29:25.047 --> 00:29:29.649]  And our main tool is free speech and the truth we promote using free speech.
[00:29:29.649 --> 00:29:35.812]  That's why when you share articles and videos from Man.Video or Infowars.com or Newswars.com, it changes the world.
[00:29:36.292 --> 00:29:48.256]  And that's why when you go to InfoWarsTore.com and get amazing products that empower you and your body and your immune system and that of your family, you're also empowering the tip of the spear in the fight against the globalists.
[00:29:48.256 --> 00:29:54.378]  The fight starts at InfoWars.com and the support of the fight starts at InfoWarsTore.com.
[00:29:54.378 --> 00:29:56.179]  God bless and thank you all for your support.
[00:29:59.741 --> 00:30:01.322]  Look around you.
[00:30:01.322 --> 00:30:06.343]  Everything I predicted from the Globalist's own documents, from their own admissions, is now happening.
[00:30:06.343 --> 00:30:10.245]  Infowars credibility, my credibility has never been higher.
[00:30:10.245 --> 00:30:19.568]  And it's because of your backing of this operation that I can steadfastly, despite the censorship and the boycotts and the attacks and the lawsuits, stay on air.
[00:30:19.568 --> 00:30:25.230]  But now we're reaching the most critical juncture in the fight together.
[00:30:25.230 --> 00:30:28.831]  So I want to ask all of you today to help keep me on the air.
[00:30:29.671 --> 00:30:32.795]  In my decades on air, I've never asked for personal donations.
[00:30:32.795 --> 00:30:39.083]  But I'm being forced by the Bankruptcy Court to pay for 40% of the legal fees, and I can't fund those myself.
[00:30:39.083 --> 00:30:40.365]  It's unsustainable.
[00:30:40.365 --> 00:30:41.606]  So please, visit.
[00:30:42.674 --> 00:30:44.656]  SaveInfoWars.com.
[00:30:44.656 --> 00:30:52.781]  SaveInfoWars.com, where you can make straight donations, $5, $10, $50, $100, whatever you can, so that I can continue to persevere.
[00:30:52.781 --> 00:30:55.763]  I'll never give up, I'll never give in, but I could give out.
[00:30:55.763 --> 00:30:57.064]  Thank you for your support.
[00:30:57.064 --> 00:30:58.185]  Wouldn't be here without you.
[00:30:58.185 --> 00:30:59.486]  SaveInfoWars.com.
[00:30:59.486 --> 00:31:01.788]  Look, it's not hype, but InfoWars has changed the world.
[00:31:02.660 --> 00:31:07.022]  It's not hype that your support of Input Wars is the reason we were able to do this.
[00:31:07.022 --> 00:31:08.703]  So I salute you and I thank you.
[00:31:08.703 --> 00:31:12.625]  Now, you know about fluoride, the bad halogen on the periodic table.
[00:31:12.625 --> 00:31:16.527]  Well, high-quality iodine is the good halogen and does the opposite of fluoride.
[00:31:16.527 --> 00:31:18.989]  And when you've got it in your body, it doesn't just supercharge your cells.
[00:31:18.989 --> 00:31:20.229]  It doesn't just give you more energy.
[00:31:20.229 --> 00:31:21.350]  It doesn't just boost your immune system.
[00:31:21.850 --> 00:31:28.054]  But it also blocks the bad halogens in the fluoride, chlorine, bromide, bromine family.
[00:31:28.054 --> 00:31:36.499]  So ladies and gentlemen, it takes about two weeks for X3 to kick in on average, taking two drops every day, and almost everyone has dramatic results.
[00:31:36.499 --> 00:31:38.000]  Plus it funds the InfoWarp.
[00:31:38.000 --> 00:31:41.802]  So what do you have to lose but taking action?
[00:31:41.802 --> 00:31:44.404]  Experience X3, finally back in stock.
[00:31:44.804 --> 00:31:49.170]  At Infowarestore.com right now for 50% off.
[00:31:49.170 --> 00:31:51.393]  Experience Tri-Ionine.
[00:31:51.393 --> 00:31:53.796]  Learn about the Ionine Fluoride Conspiracy.
[00:31:53.796 --> 00:31:57.921]  Learn how to counter the fluoride and fund the Infowar and empower your life.
[00:31:57.921 --> 00:31:59.003]  At Infowarestore.com.
[00:32:01.752 --> 00:32:05.936]  The biggest sale of 2022 is running right now at InfoWareStore.com.
[00:32:05.936 --> 00:32:11.101]  Incredible products like X3 and Vitamineral Fusion, DNA Force Plus.
[00:32:11.101 --> 00:32:18.389]  If you want to boost your body's energy, your stamina, your libido, particularly your immune system, these are the products and they're all
[00:32:18.889 --> 00:32:30.779]  40 to 50% off, but when you use promo code 17761776 at checkout, you get an additional 10% off and double Patriot points on your next order.
[00:32:30.779 --> 00:32:43.029]  So please visit InfoWarsTore.com today and experience X3, experience Vibrant Mineral Fusion, experience DNA Force Plus, and so many other great products, and know you're keeping the tip of the spear on air.
[00:32:43.029 --> 00:32:47.492]  So again, 1776 is the promo code at InfoWarsTore.com for an additional 10% off
[00:32:48.353 --> 00:32:54.381]  I want to thank you all for your support, because these products aren't just amazing, they also fund the InfoWar 360 win.
[00:32:54.381 --> 00:32:55.863]  Again, thanks for your support.
[00:32:55.863 --> 00:32:57.324]  It's a critical fight.
[00:32:57.324 --> 00:32:58.806]  Visit InfoWarshow.com right now.
[00:33:21.245 --> 00:33:41.730]  Live from the InfoWars.com studios, you're listening to the Alex Jones Show.
[00:33:41.730 --> 00:33:48.952]  So last week, America's biggest coalition of rabbis
[00:33:50.754 --> 00:34:15.815]  wrote an open letter calling for the head of the ADL to resign or be removed and the reason they did that is you can read their letter is they said you know anti-semitism is a real thing and not a good thing and people should oppose it and I agree with that but what you're doing going after President Trump and Tucker Carlson and others that are good people
[00:34:17.529 --> 00:34:25.733]  is discrediting the ADL and discrediting groups that are against anti-semitism, and it's a lie!
[00:34:25.733 --> 00:34:40.441]  In fact, I forgot to send you guys this report, so I'll just pull it up on my phone here from the largest coalition of rabbis.
[00:34:40.441 --> 00:34:42.542]  Here's the actual headline.
[00:34:42.542 --> 00:34:43.223]  It's loading here.
[00:34:44.997 --> 00:34:59.802]  This is the Coalition of Jewish Values, rabbinic group, largest in the country, calls for CEO Greenblatt's resignation after ADL tweets minimizes the Holocaust.
[00:34:59.802 --> 00:35:08.206]  Because he said, Tucker Carlson is a Nazi and is as bad as Hitler.
[00:35:08.206 --> 00:35:11.687]  Tucker Carlson is dangerous to tyrants and the ADL is basically just a
[00:35:12.728 --> 00:35:17.870]  Group the Globalist Rent to go out and call anybody that's for freedom a Nazi.
[00:35:17.870 --> 00:35:24.553]  And this major rabbinical organization said, what you're doing is evil.
[00:35:24.553 --> 00:35:28.795]  It's incredibly evil.
[00:35:28.795 --> 00:35:33.277]  And so the good news is here, people across the board are done with the ADL.
[00:35:33.277 --> 00:35:40.320]  The bad news is, the Anti-Defamation League is completely globalist, completely leftist.
[00:35:41.553 --> 00:35:49.035]  It defends radical Islam while attacking basic American values and attacking Christians and creating dissension.
[00:35:49.035 --> 00:35:52.956]  But that's what the left does.
[00:35:52.956 --> 00:35:55.597]  That's what they're all about.
[00:35:55.597 --> 00:36:09.541]  And so when Elon Musk finally, after months and months of fighting, got control of Twitter, they sent out this desperate letter saying,
[00:36:11.502 --> 00:36:21.848]  That if Trump and Alex Jones and Steve Bannon return to Twitter, would quote, lead to dire consequences of violence, when we're not calling for violence.
[00:36:21.848 --> 00:36:27.231]  It's the left burning down billions of dollars of cities and killing hundreds of people and calling it mostly peaceful.
[00:36:27.231 --> 00:36:28.772]  It's just preposterous.
[00:36:30.182 --> 00:36:37.266]  That a former president, who had the election stolen from him, was taken off Twitter when he said, peacefully march the Capitol.
[00:36:37.266 --> 00:36:43.089]  And the left had provocateurs there, and then they falsely claimed that Trump ordered people to attack the Capitol.
[00:36:43.089 --> 00:36:45.571]  That's a fraud!
[00:36:45.571 --> 00:36:47.692]  And they go on to attack yours truly.
[00:36:47.692 --> 00:36:51.214]  And then Andrew Tate, he's a misogynist.
[00:36:51.214 --> 00:36:52.655]  He can't be allowed on either.
[00:36:52.655 --> 00:36:55.937]  Who died and made the ADL our controllers?
[00:36:58.131 --> 00:37:20.295]  Because the closest thing I've seen to Nazis in America is the left, and the ADL, and the Southern Poverty Law Center, and their vaccine passports, and their lockdowns, and their bullying that violates the Nuremberg Code, trying to make us take experimental shots, and the social credit score that'll take your bank account and your job if they don't agree with your political views.
[00:37:20.295 --> 00:37:23.156]  That's already happening.
[00:37:23.156 --> 00:37:24.996]  It's been tested on myself and Laura Loomer.
[00:37:27.452 --> 00:37:28.573]  So this is dangerous.
[00:37:28.573 --> 00:37:33.735]  The closest thing I've seen to what the Nazis did is being executed by the left.
[00:37:33.735 --> 00:37:47.703]  And if you look at who commands the censors and the think tanks and the so-called fact-checking groups that tell big tech what to do, it's the Democratic Party on record illegally coordinating it with the ADL.
[00:37:47.703 --> 00:37:56.708]  And the ADL and Southern Poverty Law Center, they're just as bad, are interfaced with big tech, surveilling and watching what you say and do, even in private messages.
[00:37:58.544 --> 00:38:08.967]  Worried about Communist China setting up illegal police stations across the U.S., which they are, to intimidate Chinese dissidents and Chinese American citizens.
[00:38:08.967 --> 00:38:10.368]  But what about the ADL?
[00:38:10.368 --> 00:38:12.808]  It's outrageous what they do.
[00:38:12.808 --> 00:38:18.670]  In the name of leftism, they're cutting little girls' breasts and little boys' penises off, the leftists.
[00:38:18.670 --> 00:38:25.152]  And in the name of being liberal, they're surveilling and censoring people and lying about us and calling us Nazis.
[00:38:26.966 --> 00:38:30.107]  Hoping people carry out violence against us.
[00:38:30.107 --> 00:38:38.529]  So ADL melts down over Trump, Alex Jones, Steve Bannon returning to Twitter would lead to dire consequences.
[00:38:38.529 --> 00:38:39.669]  Here's the actual letter.
[00:38:39.669 --> 00:38:43.890]  Five things the ADL is watching following Elon Musk buying Twitter.
[00:38:43.890 --> 00:38:47.550]  They wanted to say Elon Musk is dangerous.
[00:38:47.550 --> 00:38:49.811]  The head of the ADL has gone on Axial TV to say it.
[00:38:51.994 --> 00:39:00.257]  They go on to say, in addition, other high-profile dangerous individuals, that's the term Facebook uses, written by the ADL, may be allowed to return to Twitter.
[00:39:00.257 --> 00:39:04.519]  White supremacist and former Ku Klux Klan leader David Duke.
[00:39:04.519 --> 00:39:06.080]  White nationalist Nick Fuentes.
[00:39:06.080 --> 00:39:08.021]  Conspiracy theorist Alex Jones.
[00:39:08.021 --> 00:39:09.701]  Former Trump advisor Steve Bannon.
[00:39:09.701 --> 00:39:11.202]  Misogynist Andrew Tate.
[00:39:15.902 --> 00:39:24.589]  So I'm going to say this right now and then hit all the other huge economy news, Russia war news, Pelosi, what really happened at the attack at the House.
[00:39:24.589 --> 00:39:29.373]  It wasn't an attack, it was some type of bondage trust gone bad, it looks like.
[00:39:29.373 --> 00:39:34.316]  Another drug-fueled type operation.
[00:39:34.316 --> 00:39:35.457]  All the evidence is leaning towards.
[00:39:35.457 --> 00:39:37.679]  We're going to hit all of that coming up and more.
[00:39:37.679 --> 00:39:41.002]  I want to just tell the listeners something, the viewers something.
[00:39:41.735 --> 00:39:43.757]  You want somebody to take on the Democratic Party?
[00:39:43.757 --> 00:39:45.298]  You want somebody to take on the Deep State?
[00:39:45.298 --> 00:39:48.361]  You want somebody to take on the ADL, the Southern Poverty Law Center?
[00:39:48.361 --> 00:39:51.724]  And take on the big media?
[00:39:51.724 --> 00:39:52.625]  Big tech, all of it?
[00:39:52.625 --> 00:39:55.387]  We're doing it.
[00:39:55.387 --> 00:40:02.214]  So, we are recognized by the globalists as the biggest threat to their criminal enterprise.
[00:40:03.533 --> 00:40:15.056]  And so I know most of the listeners get this, but I want to really sink in to the masses of people that tune in here and never spread the word, or never go buy a book, or a supplement, or a film, or a t-shirt.
[00:40:15.056 --> 00:40:19.237]  We don't have George Soros and the New World Order funding us.
[00:40:19.237 --> 00:40:23.599]  We don't have British Intelligence funding us, like so much of the left.
[00:40:23.599 --> 00:40:28.620]  We are funded by you and we've got great products you need.
[00:40:28.620 --> 00:40:31.181]  And I've been so busy, we've extended the sale,
[00:40:31.946 --> 00:40:42.695]  Through the weekend of up to 60% off with promo code 1776 on Vitamin Mineral Fusion, DNA Force Plus, X3, and more.
[00:40:42.695 --> 00:40:44.496]  Everything's 45% off.
[00:40:44.496 --> 00:40:53.423]  With promo code 1776, there's an additional 10% added at checkout off the cost at infowarrestore.com.
[00:40:53.423 --> 00:41:00.769]  And a lot of these products, like Ultimate Krill Oil and Alpha Power and X3 and Brain Force Ultra,
[00:41:01.852 --> 00:41:18.646]  And D3, high quality D3 gummies with calcium and our super Linus Pauling formula of 1100% daily allowance of organic vitamin C with rose hips and zinc that turbo charges your immune system and just your mind and everything.
[00:41:18.646 --> 00:41:19.267]  That's all.
[00:41:19.267 --> 00:41:27.834]  50 to 60% off with the promo code because everything's 40 to 50% off, but everything gets an additional 10% off on it.
[00:41:30.595 --> 00:41:32.156]  You need to experience X3.
[00:41:32.156 --> 00:41:33.777]  Most people have iodine deficiency.
[00:41:33.777 --> 00:41:34.658]  Most iodine's bound.
[00:41:34.658 --> 00:41:36.860]  You don't absorb what you get in the food.
[00:41:36.860 --> 00:41:38.361]  You do this, it's a game changer.
[00:41:38.361 --> 00:41:39.722]  It takes two weeks to kick in.
[00:41:39.722 --> 00:41:42.945]  But something like Brain Force Ultra kicks in in 15 minutes.
[00:41:42.945 --> 00:41:46.547]  It's an incredible focus nootropic, like nothing you've ever taken.
[00:41:46.547 --> 00:41:48.469]  Mental focus clarity.
[00:41:48.469 --> 00:41:55.935]  It's like a, for me, it's like a intellectual aphrodisiac.
[00:41:55.935 --> 00:41:58.136]  And it dissipates in three hours.
[00:41:58.136 --> 00:41:59.037]  Very special formula.
[00:41:59.037 --> 00:41:59.778]  Nobody else has got it.
[00:42:00.540 --> 00:42:06.944]  Then you got RainForce Plus, that's good, clean, very strong, healthy, nootropic, lasts five to six hours.
[00:42:06.944 --> 00:42:08.585]  TurboForce is still sold out.
[00:42:08.585 --> 00:42:09.666]  Hopefully it comes in soon.
[00:42:09.666 --> 00:42:14.989]  It's 10 hours of insane Tyrannosaurus Rex, Godzilla, King Kong energy.
[00:42:14.989 --> 00:42:17.270]  But they're all different formulas.
[00:42:17.270 --> 00:42:19.412]  But you can get them right now.
[00:42:19.412 --> 00:42:24.575]  RainForce Plus, RainForce Ultra, at InfoWarshore.com for 60% off.
[00:42:24.575 --> 00:42:25.616]  And that's how you keep us on air.
[00:42:25.616 --> 00:42:26.957]  So I want to thank all of you that have supported.
[00:42:26.957 --> 00:42:28.317]  I want to encourage everybody else.
[00:42:28.317 --> 00:42:29.058]  You want to be in the fight?
[00:42:30.430 --> 00:42:33.452]  We can beat them if we have the funds for the appeals.
[00:42:33.452 --> 00:42:36.834]  All the things we're doing are still on the air for years, in their face, during this critical time.
[00:42:36.834 --> 00:42:42.697]  But only you can come through now and spread the word about the broadcast, share the articles, share the videos, and buy great products.
[00:42:42.697 --> 00:42:43.638]  So take action.
[00:42:43.638 --> 00:42:44.959]  Don't procrastinate.
[00:42:44.959 --> 00:42:47.640]  Infowarsstore.com.
[00:42:47.640 --> 00:42:50.902]  And again, this sales got in because a bunch of stuff is on the verge of selling out.
[00:42:50.902 --> 00:42:53.103]  We're just going to keep it up there for a few more days.
[00:42:53.103 --> 00:42:54.925]  Infowarsstore.com.
[00:42:54.925 --> 00:42:55.965]  Promo code 1776 for 10% off extra.
[00:42:59.639 --> 00:43:01.480]  It's our bestseller.
[00:43:01.480 --> 00:43:05.243]  We first came out with it five years ago, and it was a moderate seller.
[00:43:05.243 --> 00:43:13.930]  But as folks tried Vitamin Mineral Fusion and experienced the way it made them feel and how healthy it made them, it has become our number one overall bestseller.
[00:43:13.930 --> 00:43:16.932]  And it's been sold out for a while, but it's finally back in stock.
[00:43:16.932 --> 00:43:23.577]  Vitamin Mineral Fusion doesn't just supercharge your immune system, but it helps every cellular function of the body.
[00:43:23.577 --> 00:43:24.578]  It has all the minerals.
[00:43:25.118 --> 00:43:26.519]  All the key amino acids.
[00:43:26.519 --> 00:43:30.680]  All of the essential vitamins that you need to live and be healthy.
[00:43:30.680 --> 00:43:33.282]  Essential means without these things you die.
[00:43:33.282 --> 00:43:35.342]  And so much of the food is debased.
[00:43:35.342 --> 00:43:37.263]  There's so many chemicals in the environment.
[00:43:37.263 --> 00:43:41.125]  It is critical to bolster our body's defenses with a product like this.
[00:43:41.385 --> 00:43:48.291]  Now there are other great Vitamin Mineral products out there, but this is amongst the very best, and it's a low price, and it funds the InfoWare.
[00:43:48.291 --> 00:43:56.077]  So the only way you lose is not taking action today, getting Vitamin Mineral Fusion finally back in stock at InfoWareStore.com for 50% off.
[00:43:56.077 --> 00:43:58.739]  Vitamin Mineral Fusion, back in stock, InfoWareStore.com.
[00:44:01.704 --> 00:44:05.886]  The biggest sale of 2022 is running right now at InfoWareStore.com.
[00:44:05.886 --> 00:44:11.048]  Incredible products like X3 and VitaMineral Fusion, DNA Force Plus.
[00:44:11.048 --> 00:44:18.312]  If you want to boost your body's energy, your stamina, your libido, particularly your immune system, these are the products and they're all
[00:44:18.832 --> 00:44:30.719]  40 to 50% off, but when you use promo code 17761776 at checkout, you get an additional 10% off and double Patriot points on your next order.
[00:44:30.719 --> 00:44:41.584]  So please visit InfoWarsTore.com today and experience X3, experience Vitamin Mineral Fusion, experience DNA Force Plus, and so many other great products, and know you're keeping the tip of the spear on air.
[00:44:41.584 --> 00:44:47.388]  So again, 1776 is the promo code at InfoWarsTore.com for an additional 10% off,
[00:44:48.288 --> 00:44:54.330]  I want to thank you all for your support, because these products aren't just amazing, they also fund the InfoWar 360Win.
[00:44:54.330 --> 00:44:55.810]  Again, thanks for your support.
[00:44:55.810 --> 00:44:57.270]  It's a critical fight.
[00:44:57.270 --> 00:44:59.211]  Visit InfoWarShore.com right now.
[00:44:59.211 --> 00:45:02.692]  Everybody says they want people to stand up and fight tyranny.
[00:45:02.692 --> 00:45:05.833]  But when you fight tyranny, the new world order comes after you.
[00:45:05.833 --> 00:45:06.593]  Now, I knew that.
[00:45:07.438 --> 00:45:11.680]  And for 28 years I've been on air exposing these people, and together we've had a great effect.
[00:45:11.680 --> 00:45:14.161]  But listen, they're coming after us right now.
[00:45:14.161 --> 00:45:18.983]  They're trying to shut us down, but they can't beat the power of we the people, of you and I together.
[00:45:18.983 --> 00:45:25.966]  So please visit InfoWarsTore.com and get incredible, game-changing products, while at the same time keeping us on air.
[00:45:26.326 --> 00:45:35.119]  We have the biggest sale of the year running right now at InfoWareStore.com, and you get an additional 10% off on the deals that are at least 40% off.
[00:45:35.119 --> 00:45:40.446]  Many are 50% off on Vitamineral Fusion, X3, DNA Force Plus, you name it.
[00:45:40.446 --> 00:45:41.187]  So on top of 50% off,
[00:45:42.997 --> 00:45:45.238]  Think about a world without InfoWars.
[00:45:45.238 --> 00:45:50.799]  Just take a moment and sit back and think about all the incredible guests and callers and stories we've broken together.
[00:45:50.799 --> 00:45:52.520]  This family that is InfoWars.
[00:46:13.669 --> 00:46:29.904]  Think about how InfoWars is cited by Joe Rogan and Tucker Carlson and Bolsonaro and other foreign leaders like Nigel Farage as being the main impetus towards firing up their main base to defeat the New World Order.
[00:46:29.904 --> 00:46:38.992]  The only reason humanity is still in the fight today is because the viewers and listeners of this broadcast have taken action and supported this show.
[00:46:40.282 --> 00:46:41.964]  I don't take the credit.
[00:46:41.964 --> 00:46:43.685]  I give you the credit.
[00:46:43.685 --> 00:46:46.288]  And now, InfoWars is facing its darkest hours.
[00:46:46.288 --> 00:46:47.909]  It isn't going to give up.
[00:46:47.909 --> 00:46:49.751]  Without your support, we could be shut down.
[00:46:49.751 --> 00:46:53.034]  Please go to SaveInfoWars.com today.
[00:46:53.034 --> 00:46:59.900]  SaveInfoWars.com today and donate for our legal defense fund.
[00:46:59.900 --> 00:47:05.806]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:47:14.824 --> 00:47:21.849]  Well, we've been predicting an October surprise right before the election.
[00:47:21.849 --> 00:47:23.911]  Doesn't mean they're going to actually stage something.
[00:47:23.911 --> 00:47:26.853]  They could just use an event and spin it the way they want.
[00:47:26.853 --> 00:47:39.723]  And we've seen Paul Pelosi, the embattled husband of Nancy Pelosi, and the billions, not hundreds of millions, they've made off insider trading deals, reportedly attacked
[00:47:41.004 --> 00:47:48.386]  Late last week by a man with a hammer, but they held up the details of it for a while and said, well, he was in his underwear.
[00:47:48.386 --> 00:47:52.227]  And then, well, the glass was knocked out from the inside out.
[00:47:52.227 --> 00:47:56.308]  And then somebody unnamed let the police in the building.
[00:47:56.308 --> 00:48:04.990]  And the police didn't tell us until today that they found both men in their underwear in Paul Pelosi and Nancy Pelosi's bedroom.
[00:48:04.990 --> 00:48:07.210]  She was off in D.C.
[00:48:07.210 --> 00:48:10.371]  So I guess when the cats away, the mice
[00:48:11.980 --> 00:48:13.801]  The mic's play.
[00:48:13.801 --> 00:48:21.364]  And this is looking more and more like some type of homosexual interlude or rendezvous.
[00:48:21.364 --> 00:48:22.824]  And I'll give it to Paul Pelosi.
[00:48:22.824 --> 00:48:24.285]  At least it wasn't the kid that was in there.
[00:48:25.131 --> 00:48:27.513]  The 40-year-old man.
[00:48:27.513 --> 00:48:37.800]  So, my issue here is how they've spun the whole thing, put up fake websites that he was a right-winger when he was a leftist, nudist, big Democrat supporter on record.
[00:48:37.800 --> 00:48:39.181]  That's all been confirmed.
[00:48:39.181 --> 00:48:45.205]  And the websites put up Friday saying he was a right-wing QAnon person are not true.
[00:48:45.205 --> 00:48:46.746]  So, maybe they weren't gay.
[00:48:46.746 --> 00:48:50.328]  They were just hanging out in their underwear with hammers.
[00:48:50.328 --> 00:48:52.730]  And then, here's the most important point.
[00:48:55.257 --> 00:49:02.280]  When Paul Pelosi called 911, we're going to play that tape for you here in a moment.
[00:49:02.280 --> 00:49:06.241]  He said, I know the man and listed his name.
[00:49:06.241 --> 00:49:11.043]  So he knows a man and lists his name, but then goes, oh, and tells it up.
[00:49:11.043 --> 00:49:16.265]  Actually, I don't know him when he figures out how that sounds.
[00:49:16.265 --> 00:49:20.787]  And the police are obviously controlled by Democrats there in San Francisco.
[00:49:20.787 --> 00:49:22.308]  They won't even respond to regular crime.
[00:49:24.468 --> 00:49:48.603]  And so they waited until Sunday to release today that Pelosi is refusing to release surveillance footage to them, and Paul Pelosi was in his underwear in a bedroom with him, and that he'd gone in the bathroom and called the police, but then come back out and joined the man.
[00:49:48.603 --> 00:49:51.745]  Then they began to hit each other with hammers again,
[00:49:53.430 --> 00:49:56.873]  And the police aimed guns at him and said, put your hammer down.
[00:49:56.873 --> 00:50:06.259]  And the younger man did not put his hammer down and continued to try to attack Pelosi, but they didn't shoot him because they could obviously tell this was some kind of weirdo stuff going on.
[00:50:06.259 --> 00:50:12.104]  This has come out now from the police, but it's getting almost zero news coverage.
[00:50:14.472 --> 00:50:15.675]  What they've released so far.
[00:50:15.675 --> 00:50:17.819]  They haven't released what Pelosi said.
[00:50:17.819 --> 00:50:21.747]  It's just the dispatcher telling police what Pelosi told them.
[00:50:21.747 --> 00:50:24.172]  We need to get that full tape released.
[00:50:24.172 --> 00:50:24.513]  Here it is.
[00:50:25.464 --> 00:50:29.588]  Our officers observed Mr. Pelosi and the suspect, both holding a hammer.
[00:50:29.588 --> 00:50:33.971]  The suspect pulled the hammer away from Mr. Pelosi, and violently assaulted him with it.
[00:50:33.971 --> 00:50:36.894]  Our officers immediately tackled the suspect, disarmed him.
[00:50:36.894 --> 00:50:41.538]  Northern 4 car, pay priority 910, 2640 Broadway, cross of Scott and Normandy.
[00:50:41.538 --> 00:50:42.739]  May have a 14 hour copy.
[00:50:42.739 --> 00:50:46.101]  RP stated that there's a male in the home, and that he's going to wait for his wife.
[00:50:46.101 --> 00:50:49.144]  RP stated that he doesn't know who the male is, but he advised that his name is David.
[00:50:49.545 --> 00:50:50.846]  And that he is a friend?
[00:50:50.846 --> 00:50:51.086]  R.P.
[00:50:51.086 --> 00:50:52.126]  Sound is somewhat confused.
[00:50:52.126 --> 00:50:56.909]  It's Code 3 at 2640 Broadway for a 14-hour... Code 3.
[00:50:56.909 --> 00:50:58.490]  Everyone call the victim's physician here.
[00:50:58.490 --> 00:51:00.251]  It's on scene 2640 Broadway.
[00:51:00.251 --> 00:51:02.272]  Special call, special call Medic 66.
[00:51:02.272 --> 00:51:04.633]  Location 2640 Broadway.
[00:51:04.633 --> 00:51:07.114]  Cross of Scott and Normandy Terrace.
[00:51:07.114 --> 00:51:08.595]  This is Code 3.
[00:51:08.595 --> 00:51:10.576]  That's a second medic for a second patient.
[00:51:10.576 --> 00:51:12.377]  Special call for R.C.1.
[00:51:12.377 --> 00:51:15.179]  R.C.1 location 2640 Broadway.
[00:51:15.179 --> 00:51:16.419]  Cross of Scott and Normandy.
[00:51:23.562 --> 00:51:30.808]  So, what do you want to bet this never hits court and this gets quietly handled?
[00:51:30.808 --> 00:51:37.695]  Two men in their underwear with hammers in a bedroom.
[00:51:37.695 --> 00:51:41.919]  There's a full police press conference on this, but you've got to really dig to find it.
[00:51:41.919 --> 00:51:42.960]  We can play the whole thing if you want.
[00:51:46.331 --> 00:51:48.572]  The police have guns on them.
[00:51:48.572 --> 00:51:49.333]  Both men.
[00:51:49.333 --> 00:51:50.294]  Pelosi.
[00:51:50.294 --> 00:51:52.635]  Paul Pelosi has police aiming guns at him.
[00:51:52.635 --> 00:52:01.801]  The police come in to the bedroom and there's two men in their underwear with hammers.
[00:52:01.801 --> 00:52:05.523]  And the police say, drop it!
[00:52:05.523 --> 00:52:09.005]  And the younger man doesn't and continues to try to attack Pelosi.
[00:52:09.005 --> 00:52:12.147]  What in the hell is going on here?
[00:52:12.147 --> 00:52:14.709]  This is not someone breaking in and saying, where's
[00:52:16.590 --> 00:52:21.254]  Nancy Pelosi.
[00:52:21.254 --> 00:52:28.761]  I'd give it about a 99% chance this is some kind of weird, wacko stuff going on.
[00:52:28.761 --> 00:52:29.802]  But that isn't the issue.
[00:52:29.802 --> 00:52:33.085]  These are two adults, and I'm against violence.
[00:52:33.085 --> 00:52:40.752]  I saw all the left celebrate, literally, I got clip after clip, when Rand Paul got six ribs broken, a lung punctured.
[00:52:40.752 --> 00:52:42.934]  And they said, good, too bad this guy didn't kill him.
[00:52:44.079 --> 00:52:52.584]  Senator Paul comes out and says, this is terrible violence, it's a bad thing, we're against this and the left says it's too bad you didn't die again.
[00:52:52.584 --> 00:52:56.967]  Mostly peaceful protest.
[00:52:56.967 --> 00:53:07.273]  And so all over, CNN, MSNBC, Washington Post, New York Times, he is a right winger!
[00:53:07.273 --> 00:53:09.034]  It's the new January 6th.
[00:53:09.034 --> 00:53:12.997]  Well they said January 6th was worse than Pearl Harbor and 9-11.
[00:53:14.881 --> 00:53:20.565]  Peter Strzok said on TV two weeks ago that 9-11 doesn't even compare to January 6th.
[00:53:20.565 --> 00:53:22.946]  Yeah, 3,000 dead.
[00:53:22.946 --> 00:53:25.768]  January 6th, four dead patriots, no dead cops.
[00:53:25.768 --> 00:53:30.592]  9-11 doesn't even compare to this.
[00:53:30.592 --> 00:53:41.439]  Well, then I guess they'll probably say 9-11 doesn't compare to Paul Pelosi in his underwear with some dude with hammers in their bedroom.
[00:53:41.439 --> 00:53:44.481]  And who is the unnamed person let in the police?
[00:53:46.809 --> 00:54:10.019]  If I had to speculate, and it's not hard to speculate, if you've studied the lifestyles of these folks, they were both on cocaine or meth, and they were going crazy, doing God knows what to each other, and one of them got pissed off at the other one, and things went haywire really, really, really quick.
[00:54:12.308 --> 00:54:15.769]  And if you question that, you're called a conspiracy theorist.
[00:54:15.769 --> 00:54:18.670]  Well, all they do is lie to us.
[00:54:18.670 --> 00:54:21.991]  All they do is have a history of fraud.
[00:54:21.991 --> 00:54:28.853]  So we would be insane if we didn't question what's going on here.
[00:54:28.853 --> 00:54:31.074]  Here's some of the memes that came out.
[00:54:31.074 --> 00:54:31.854]  You can see the full...
[00:54:32.776 --> 00:54:37.498]  Press conference and listen to the 9-1-1 tape if you want it on Infowars.com.
[00:54:37.498 --> 00:54:45.100]  Police dispatch, Paul Pelosi said he doesn't know who the male is but advised his name is David and he's a friend.
[00:54:45.100 --> 00:54:53.604]  Paul Pelosi attacker lived in Berkeley hippie nudist colony.
