[00:00.000 --> 00:06.000]  In this present crisis, government is not the solution to our problem.
[27:16.000 --> 27:22.000]  And then also pedophile rings from Mexico to the UK that have been exposed in mainstream media.
[27:22.000 --> 27:23.000]  Big deal on that front.
[27:23.000 --> 27:25.000]  That's coming up in the second hour as well.
[27:25.000 --> 27:28.000]  But the point I'm getting at is the system's losing.
[27:28.000 --> 27:33.000]  Gandhi said first they ignore you, then they laugh at you, then they attack you, then you win.
[27:33.000 --> 27:36.000]  Well, we're now to the attack mode.
[27:36.000 --> 27:37.000]  Okay?
[27:37.000 --> 27:43.000]  So that's a very positive thing that that's happening right now because people within the system now know we're telling the truth.
[27:43.000 --> 27:51.000]  People within Google and within Microsoft and within the Pentagon, the majority of the Pentagon know we're telling the truth now.
[27:51.000 --> 28:02.000]  The system is in big trouble. What are they going to do? They're going to shut us up with, quote, shiny style net censorship that Syspa and Sopa and the rest of them admit they're modeled after.
[28:02.000 --> 28:08.000]  So they're trying to bring in cybersecurity right now, not to protect the Internet, but to shut it down.
[28:08.000 --> 28:11.000]  And you've got the anti-gunners at South by Southwest two weeks ago.
[28:11.000 --> 28:20.000]  We covered this bragging that they were going to start being able to censor any pro-gun websites on Facebook and not let gun shops be on there to advertise legally.
[28:20.000 --> 28:28.000]  We've had listeners pouring in their letters shutting down their Facebooks because they have a gun shop and they're advertising their guns there.
[28:28.000 --> 28:34.000]  You can't sell guns on Facebook. It just advertises we have guns as you live in, say, Phoenix.
[28:34.000 --> 28:44.000]  Most newspapers won't let you run your gun ad in them. Most websites won't. This is the censorship, folks, a unified oppression.
[28:44.000 --> 28:53.000]  Then you've got the demonization, saying you're a racist or you're a hater if you criticize collectivism or communism or socialism or globalism or Agenda 21.
[28:53.000 --> 29:00.000]  You've got that going on. You've got Syspa, Sopa. You've got Senator Rockefeller saying we'd be better off without the Internet. Let's get rid of it.
[29:00.000 --> 29:10.000]  I mentioned Facebook. And don't forget, this year they've legalized the CIA and Pentagon being involved in domestic propaganda lies.
[29:10.000 --> 29:20.000]  That's associated press roiders. They're ordering the Pentagon to go out and engage in psyopsis against the public. Total tyranny.
[29:20.000 --> 29:27.000]  So that's just some of the things that we're facing and dealing with. You've got ten different Democratic senators calling for a return to the fairness doctrine.
[29:27.000 --> 29:32.000]  That's kind of like the Affordable Care Act's called Affordable when it's not. Patriot Act's called Patriotic when it's not.
[29:32.000 --> 29:40.000]  It's called the fairness doctrine that you can't have any political views that aren't basically socialist or that the government doesn't agree with.
[29:40.000 --> 29:47.000]  They're calling for that on talk radio. All of this is happening. All of this is going on right now.
[29:47.000 --> 29:54.000]  It's a very serious situation when they just announced last week that they were going to give government.
[29:54.000 --> 30:06.000]  This is only in FullWars.com, an article by Paul Watson. They were going to give government certified supermods, moderators the power to just go through the Google YouTube system
[30:06.000 --> 30:13.000]  and shut down sites for quote, community guidelines violations. No cussing, no profanity, no nakedness, no nothing.
[30:13.000 --> 30:27.000]  The socialists find it not right to show that Democratic constituents in Austin, Texas and Washington, D.C. and Los Angeles, California, 90-plus percent say, kill all conservatives, take their guns or put them in death camps.
[30:27.000 --> 30:32.000]  Because we're going to defeat them if we just show what scum they are.
[30:32.000 --> 30:40.000]  I've gone to show the Federal Reserve in San Antonio. Private Federal Reserve and protested them raising our taxes through the income tax that they're paid.
[30:40.000 --> 30:53.000]  And they had my video and my site taken down until I threatened to sue them and I got into a whole court process and then got the connections into the higher levels so that I wouldn't begin to lawsuits with them anymore.
[30:53.000 --> 30:59.000]  That's how that happened because they explained to me there's supermods in government corporations, you name it, that are doing this.
[30:59.000 --> 31:09.000]  So I had to be a supermod and go above their head. I haven't even told Mark this yet. I gave him an email, one of the head people, to be able to even get them to review it so his site would come back.
[31:09.000 --> 31:19.000]  Most people don't get that. It's only because Mark's gotten big enough as Jim Garrison, the guy that exposed the Kennedy assassination, said, he said, I'm still alive because I'm in the sunshine because I am a big mouth.
[31:19.000 --> 31:26.000]  It's when you keep your mouth shut, the wolves take over. It's when you don't speak out against censorship or bullying, you get dominated.
[31:26.000 --> 31:33.000]  So we're going to have Mark with us 15 minutes to the next hour and we're going to get some comments from David Knight at the M4 studio coming up.
[31:33.000 --> 31:41.000]  But Mark, a big backlash helped you get back up there. We had some contacts in there as well to get it immediately looked at this weekend.
[31:41.000 --> 31:47.000]  But again, people say, so what if some guy with 60, 70 million views, whatever it was, got shut down? Why do I care?
[31:47.000 --> 31:55.000]  You know, I'm a Democrat. I saw him celebrating you were shut down. Don't these idiots get it? I mean, if they were trying to shut down Michael Moore, I would defend him.
[31:55.000 --> 31:58.000]  Don't they have any common sense, Mark?
[31:58.000 --> 32:11.000]  They don't. And as you saw in some of my videos, the petition videos, when people support a particular president or an ideology, they will literally sign their name, birth date, and a signature to eliminate the rights of the opposing party.
[32:11.000 --> 32:26.000]  So short-sighted that they don't understand or they literally just can't even think more than five minutes into the future about what may happen, what will happen, once the coin is flipped, once an opposing political party is in power.
[32:26.000 --> 32:32.000]  And thank you very much for helping me get this channel back. And you've articulated this situation so well.
[32:32.000 --> 32:42.000]  Listen, don't thank me, Mark. We're in a war. They're going to get our guns. They say our kids belong to them. We are soldiers in full level combat. It's a pleasure on Saturday morning to be on the phone.
[32:42.000 --> 32:46.000]  It's a pleasure to be fighting. This is a war. We're going to kick their ass.
[32:46.000 --> 32:58.000]  This is a constant battle. And if we didn't put up this resistance, by this point next year, just virtually anybody that was speaking out, you use the word bossy. You say that somebody's bossy.
[32:58.000 --> 33:06.000]  The First Lady says, don't use the word bossy. I say I don't like it. That pig wants to control our speech. He's a book burning witch.
[33:06.000 --> 33:10.000]  I'm sorry. I'm going to come back and give you the floor. I didn't mean to rant. Stay there.
[33:10.000 --> 33:19.000]  See, he's mentioning how they're trying to control the language, how they're saying you can't say bossy. Kids can't draw a picture of a gun. They get arrested in art class.
[33:19.000 --> 33:31.000]  If you eat your pastry wrong, it looks like a gun. The police come. This is a total, total takeover. Mark Dice, censored by YouTube, channel taken down because he was conservative, because he was a Christian.
[33:31.000 --> 33:37.000]  We know the videos that got censored when we came back.
[33:37.000 --> 33:43.000]  Hello, this is Hank Hill, and I'm telling you what, you need to listen to Alex Jones.
[33:43.000 --> 33:49.000]  Yeah, yeah, yeah. Infoworth.com.
[33:52.000 --> 34:01.000]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[34:01.000 --> 34:07.000]  By the way, I didn't tell the crew to come in with that Mike Judge intro. He cut for me at his house last year.
[34:07.000 --> 34:12.000]  Yeah, I'm good friends with Mike Judge. We go shooting and listen to rockabilly music all the time.
[34:12.000 --> 34:18.000]  He lives here in Austin, part of the town, and he's not out in Los Angeles with his HBO show and the rest of it.
[34:18.000 --> 34:26.000]  And the reason I bring him up is to not name drop a maker of idiocracy and so many other masterpieces, extract, you name it.
[34:26.000 --> 34:33.000]  The reason I bring him up is he said in an interview we did last year that he's scared to even be somewhat libertarian
[34:33.000 --> 34:38.000]  because they'll try to censor him and persecute him and come after him, and he talked about the Hollywood mafia.
[34:38.000 --> 34:44.000]  And of course, we've talked a lot about that privately. I can mention it because he didn't say it's off record.
[34:44.000 --> 34:51.000]  I know a lot of the people in Hollywood, even bigger than Mike Judge, who's probably got a billion dollar franchise on his hands or more,
[34:51.000 --> 34:57.000]  was king of the hill, beef with some butt head, the rest of it. And even at that level, they try to keep him on a short leash
[34:57.000 --> 35:03.000]  because they're not real liberals, folks. Mike Judge is a real liberal. I know him very well. He's into freedom.
[35:03.000 --> 35:07.000]  And these people that say they're liberals, they're not, is what I'm getting at.
[35:07.000 --> 35:12.000]  And one other point, Cass Sunstein six years ago when he was entering the White House, as the White House regulations are,
[35:12.000 --> 35:17.000]  looked this up, said we're going to create a fake alternative media and go out and create in-fighting.
[35:17.000 --> 35:27.000]  And we're going to infiltrate mainstream media like Fox News and like Drugs Report if we can and others and destroy them.
[35:27.000 --> 35:31.000]  Now, that was actually in political a few years ago because they bragged to him.
[35:31.000 --> 35:37.000]  Media matters run by the White House said we want to infiltrate and sabotage from within.
[35:37.000 --> 35:43.000]  I mean, this is a war for them to get our kids, to get our guns, to get our property.
[35:43.000 --> 35:47.000]  They are usurpers that pose with the fake moral high ground.
[35:47.000 --> 35:54.000]  And so I want to point that out. That's why I've taken the clear example for 18 years, 19 years on air, but the last three or four,
[35:54.000 --> 36:00.000]  clearly that I will not attack someone who is a real libertarian or constitutionalist.
[36:00.000 --> 36:04.000]  Short of you trying to stab my children. You do that, I'll take care of you.
[36:04.000 --> 36:11.000]  But we have got to unify around free speech, property rights, Constitution, or we're done.
[36:11.000 --> 36:15.000]  We're done. Forget the labels. Mark Dice, I give you the floor.
[36:15.000 --> 36:17.000]  We're going to come back with more examples in the next hour with you.
[36:17.000 --> 36:25.000]  But you've just gone through censorship and come to the other side because you were big enough to have a support base and because we had some contacts.
[36:25.000 --> 36:28.000]  I predict you would have gotten your channel back already.
[36:28.000 --> 36:31.000]  You know, I talked to you today and of course it went through and did happen.
[36:31.000 --> 36:34.000]  But it would have been a week or so before it went up to the right channels.
[36:34.000 --> 36:40.000]  But for most people that aren't big like you are, you don't have, you know, the connections.
[36:40.000 --> 36:42.000]  Most people just get censored.
[36:42.000 --> 36:51.000]  And there is an intensifying censorship where Navy SEALs put out memes about Benghazi on their official Navy SEAL Facebook and they get shut down.
[36:51.000 --> 36:55.000]  Or you criticize Obamacare, you get shut down on Facebook or Reddit.
[36:55.000 --> 37:01.000]  You know, these people are censoring and lying about it and they're dirtbags. Go ahead.
[37:01.000 --> 37:07.000]  Yeah, I'm fortunate enough to have such a big and dedicated following that they applied 24-hour pressure on YouTube.
[37:07.000 --> 37:11.000]  They're trending on Facebook and to have you watching my back as well.
[37:11.000 --> 37:17.000]  But if some, you know, smaller media organization or an independent guy were to have this happen to him, they probably have little recourse.
[37:17.000 --> 37:22.000]  And it's incredible the mysterious Orwellian policies of YouTube.
[37:22.000 --> 37:27.000]  You know, they list obviously if you have animal abuse, if somebody is making bombs, doing drugs online.
[37:27.000 --> 37:29.000]  Those are clear terms of service violations.
[37:29.000 --> 37:36.000]  They also put in there that they just reserve the right to remove your video for any reason.
[37:36.000 --> 37:47.000]  And unless you're an establishment insider like Robin Thicke, who was the guy that Miley Virus was grinding with during her Illuminati-themed Video Music Award performance,
[37:47.000 --> 37:52.000]  you know, he puts out a music video with a bunch of women topless, which is basically porn.
[37:52.000 --> 37:54.000]  It gets flagged by the YouTube community.
[37:54.000 --> 38:00.000]  But because he's an establishment insider, they put the video back up, a bunch of porn on YouTube.
[38:00.000 --> 38:07.000]  Yeah, let's be clear, you're a media critic with a media degree who's been successful for a decade all over the country.
[38:07.000 --> 38:11.000]  They are censoring a critic they don't like who follows all the rules.
[38:11.000 --> 38:12.000]  That is dangerous.
[38:12.000 --> 38:14.000]  It's a very dangerous precedent.
[38:14.000 --> 38:19.000]  We're living in a society now where you don't need to round up books door to door with the military.
[38:19.000 --> 38:22.000]  All you need to do is delete them remotely.
[38:22.000 --> 38:31.000]  As you know, as much of this audience probably knows, they can literally and have remotely deleted books from Kindle, from your iBooks,
[38:31.000 --> 38:37.000]  from your own device the next time it connects to a Wi-Fi connection.
[38:37.000 --> 38:41.000]  It disappears down the memory hole, which is a term that George Orwell created.
[38:41.000 --> 38:53.000]  And the only reason that we know this is because some people in the tech field had their copy of George Orwell's novel 1984 disappear from their Kindle a couple years ago,
[38:53.000 --> 38:55.000]  and they started reporting on it.
[38:55.000 --> 39:00.000]  So if this happened to just your average person, they might tweet out to their friends, they might post on their Facebook,
[39:00.000 --> 39:02.000]  it's not going to get picked up in the media.
[39:02.000 --> 39:09.000]  So we're actually very lucky that the Orwellian book disappearing down the memory hole was even picked up.
[39:09.000 --> 39:16.000]  And now we know that literally with the push of a button, not only can they just remotely delete your books from your iBooks.
[39:16.000 --> 39:20.000]  They can delete your entire voice off the Internet with the Shazam-type technology.
[39:20.000 --> 39:22.000]  They can memory hole everything.
[39:22.000 --> 39:25.000]  That's what's so bad about cloud computing is you don't have hard copies.
[39:25.000 --> 39:26.000]  But let's expand.
[39:26.000 --> 39:29.000]  I consulted on Jesse Ventura's first, second, and third season.
[39:29.000 --> 39:32.000]  I was in four episodes each season, 12 episodes.
[39:32.000 --> 39:38.000]  And the one I called Ventura at night, when it aired, I said, I can't believe that just aired.
[39:38.000 --> 39:39.000]  Congratulations.
[39:39.000 --> 39:43.000]  And it was the one on FEMA camps, Threat Fusion Centers proving it all.
[39:43.000 --> 39:44.000]  Congress called up and threatened.
[39:44.000 --> 39:46.000]  This later came out in the news.
[39:46.000 --> 39:48.000]  Threatened Time Warner got it removed.
[39:48.000 --> 39:49.000]  It never aired again.
[39:49.000 --> 39:54.000]  They're supposed to air like 50 times because it had like two million viewers the first time and then, you know, over and over again, they air it.
[39:54.000 --> 39:55.000]  That's how they make their money back.
[39:55.000 --> 40:04.000]  They erased it off all the Teavos and Time Warner boxes of people that had downloaded it to watch and later had to admit they'd done that.
[40:04.000 --> 40:06.000]  See, that's an example of the censorship, Mark.
[40:06.000 --> 40:10.000]  And when they censor you or me or anybody, they're censoring us all.
[40:10.000 --> 40:11.000]  That's why I don't think me.
[40:11.000 --> 40:14.000]  When they were censoring you, buddy, they were censoring me.
[40:14.000 --> 40:17.000]  I took it like somebody was punching me in the nose.
[40:17.000 --> 40:20.000]  Because you know that they're going to come for anybody else next.
[40:20.000 --> 40:21.000]  And that's why it's a constant balance.
[40:21.000 --> 40:22.000]  They are coming for me when they go for you.
[40:22.000 --> 40:24.000]  They are coming for me.
[40:24.000 --> 40:25.000]  That's the whole people.
[40:25.000 --> 40:28.000]  So many yuppies think, I don't care if something happens to him or her.
[40:28.000 --> 40:30.000]  I don't care as long as nothing happens to me.
[40:30.000 --> 40:33.000]  When you don't hang together, folks, you hang separate.
[40:33.000 --> 40:34.000]  Go ahead. I'm sorry.
[40:34.000 --> 40:36.000]  It's incredible.
[40:36.000 --> 40:40.000]  The liberal establishment is particularly known for just labeling something
[40:40.000 --> 40:42.000]  that disagrees with them, hate speech.
[40:42.000 --> 40:45.000]  For example, we have the St. Patrick's Day Parade last week.
[40:45.000 --> 40:49.000]  And there was some gay rights groups that wanted to march in the parade
[40:49.000 --> 40:52.000]  with their signs promoting their sexuality.
[40:52.000 --> 40:55.000]  Well, this is a St. Patrick's Day Parade.
[40:55.000 --> 40:56.000]  This is not a gay pride parade.
[40:56.000 --> 40:58.000]  It's not Gay Pride Day.
[40:58.000 --> 41:01.000]  No disrespect to the gay community, but it's not your place to be putting
[41:01.000 --> 41:07.000]  your political and personal preference in technically a Catholic parade.
[41:07.000 --> 41:12.000]  And so the Mayor of New York and the Mayor of Boston
[41:12.000 --> 41:15.000]  said that the parade was anti-gay.
[41:15.000 --> 41:17.000]  And so if you were to just report on this, they could say,
[41:17.000 --> 41:19.000]  oh, well, okay, so you disagree with that?
[41:19.000 --> 41:20.000]  You disagree with gay marriage?
[41:20.000 --> 41:21.000]  Here's an example.
[41:21.000 --> 41:27.000]  I was downtown with my children today, walking the dog,
[41:27.000 --> 41:30.000]  and these two gay guys walk right up in front of the kids.
[41:30.000 --> 41:33.000]  They obviously knew who I was and started making out right in front of my kids.
[41:33.000 --> 41:36.000]  And if two adults were doing that, it'd be creepy and weird.
[41:36.000 --> 41:37.000]  A man and a woman.
[41:37.000 --> 41:40.000]  It's all about forcing us, throwing it in our face.
[41:40.000 --> 41:41.000]  I'm sick of it.
[41:41.000 --> 41:43.000]  It's a takeover.
[41:43.000 --> 41:46.000]  It is a cult takeover, and I'm sick of it.
[41:46.000 --> 41:47.000]  Go ahead. I'm sorry.
[41:47.000 --> 41:48.000]  Yeah, it is.
[41:48.000 --> 41:51.000]  And the military researched a gay bomb.
[41:51.000 --> 41:54.000]  I mean, they literally wanted to use pheromones and copulants
[41:54.000 --> 41:58.000]  to poison a population of enemy soldiers
[41:58.000 --> 42:00.000]  and to turn them into homeless people.
[42:00.000 --> 42:02.000]  There is an obsession with recruiting the children.
[42:02.000 --> 42:04.000]  Keep your hands off my children.
[42:04.000 --> 42:05.000]  Go ahead.
[42:05.000 --> 42:06.000]  Disney Channel.
[42:06.000 --> 42:10.000]  The Disney Channel just introduced the gay character on one of their shows
[42:10.000 --> 42:14.000]  owned by, you know, ABC, an affiliate.
[42:14.000 --> 42:18.000]  And yeah, no disrespect to people who have that preference.
[42:18.000 --> 42:21.000]  Yeah, let's get that straight, exactly.
[42:21.000 --> 42:23.000]  I'm not sitting here obsessed with what you do.
[42:23.000 --> 42:25.000]  It's not because I'm shocked by it.
[42:25.000 --> 42:26.000]  I want to make you do what I want.
[42:26.000 --> 42:30.000]  It's that I'm sick of being force fed this agenda of gay rights
[42:30.000 --> 42:36.000]  attached to a bunch of anti-gun, anti-family crap, anti-John Wayne crap.
[42:36.000 --> 42:37.000]  You do what you want.
[42:37.000 --> 42:41.000]  You let me do what I want and keep your hands off my kids' brains.
[42:41.000 --> 42:42.000]  Go ahead, Mark.
[42:42.000 --> 42:43.000]  That's what they're trying to do.
[42:43.000 --> 42:45.000]  And obviously, this is to break down the family,
[42:45.000 --> 42:48.000]  to break down the moral fabric of society,
[42:48.000 --> 42:53.000]  to break down the nuclear family-committed monogamous relationships.
[42:53.000 --> 42:55.000]  They want the state to raise the children.
[42:55.000 --> 42:57.000]  I mean, it's basically hate speech.
[42:57.000 --> 43:00.000]  Now, if you just say that, I would prefer that my wife would stay at home
[43:00.000 --> 43:01.000]  and raise the kids.
[43:01.000 --> 43:02.000]  Oh, well, you're misogynist.
[43:02.000 --> 43:03.000]  You hate women.
[43:03.000 --> 43:05.000]  I mean, you're being bossy.
[43:05.000 --> 43:06.000]  You know, it's incredible.
[43:06.000 --> 43:08.000]  I mean, we've really touched on Beyonce,
[43:08.000 --> 43:11.000]  the big celebrity boffamette worshipping bimbo,
[43:11.000 --> 43:15.000]  as I like to call her, with Michelle Obama saying,
[43:15.000 --> 43:16.000]  they're just going to ban the word bossy.
[43:16.000 --> 43:17.000]  So, I mean, they want it, literally,
[43:17.000 --> 43:20.000]  if you just happen to say that one of your boss
[43:20.000 --> 43:22.000]  or a co-worker or a manager has just been a little bossy,
[43:22.000 --> 43:25.000]  that's considered to be, you know, like dropping the N-word
[43:25.000 --> 43:28.000]  or, you know, dropping an F-bomb at the office.
[43:28.000 --> 43:30.000]  They want you to be fired.
[43:30.000 --> 43:31.000]  Exactly.
[43:31.000 --> 43:33.000]  How about we ban their control freak behavior?
[43:33.000 --> 43:36.000]  By the way, folks, you can still go to markdice.com.
[43:36.000 --> 43:38.000]  They've just restored his YouTube channels
[43:38.000 --> 43:40.000]  because of the major pressure and some connections.
[43:40.000 --> 43:42.000]  We have to get it reviewed quicker.
[43:42.000 --> 43:44.000]  But, again, we all hang together or hang separate,
[43:44.000 --> 43:45.000]  as Benjamin Franklin said.
[43:45.000 --> 43:48.000]  And that's why it's important to support infowars.com
[43:48.000 --> 43:51.000]  and prisonplanet.com and the actual sites
[43:51.000 --> 43:54.000]  because our DrugsReport.com or WorldNet Daily.com,
[43:54.000 --> 43:57.000]  because they can't shut those off as easily.
[43:57.000 --> 43:59.000]  They've got to have more due process.
[43:59.000 --> 44:02.000]  But these big, multi-faceted third-party platforms,
[44:02.000 --> 44:04.000]  they can shut us down on them.
[44:04.000 --> 44:06.000]  We're still there. We still use it
[44:06.000 --> 44:08.000]  because that's where the people are and we're in a war.
[44:08.000 --> 44:10.000]  We're not going to be deterred from where the people are.
[44:10.000 --> 44:12.000]  We're going to take it over.
[44:12.000 --> 44:15.000]  From his Central Texas Command Center,
[44:15.000 --> 44:19.000]  deep behind enemy lines, the information war continues.
[44:19.000 --> 44:23.000]  It's Alex Jones and the GCN Radio Network.
[44:27.000 --> 44:31.000]  It really is dark satire how over the top it is
[44:31.000 --> 44:33.000]  to have the government mouthpiece is saying,
[44:33.000 --> 44:35.000]  we're going to ban you using the word bossy.
[44:35.000 --> 44:38.000]  If you write an essay about hunting with your grandfather
[44:38.000 --> 44:40.000]  with a shotgun for ducks, we're going to arrest you
[44:40.000 --> 44:42.000]  or kick you out of school and then say,
[44:42.000 --> 44:44.000]  well, it's school policy.
[44:44.000 --> 44:47.000]  They're just setting the precedent for total authoritarianism.
[44:47.000 --> 44:49.000]  We've got Mark with us this segment and one more.
[44:49.000 --> 44:52.000]  And David Knight's got a bunch of Second Amendment breaking news,
[44:52.000 --> 44:54.000]  huge pedophile ring news that's breaking
[44:54.000 --> 44:56.000]  that really shows you how evil these people are
[44:56.000 --> 44:58.000]  and why they want the kids.
[44:58.000 --> 45:00.000]  And that's really the agenda that's happening here.
[45:00.000 --> 45:01.000]  But Mark, I've been ranting.
[45:01.000 --> 45:04.000]  Make other points that you've been chomping at the bit to get to.
[45:04.000 --> 45:07.000]  You've articulated quite a bit of it.
[45:07.000 --> 45:11.000]  It's just incredible how the Liberals' establishment today,
[45:11.000 --> 45:14.000]  and of course, very similar if the Republicans were in power,
[45:14.000 --> 45:19.000]  but what we're having today is people will agree to a label.
[45:19.000 --> 45:22.000]  If you just simply say, oh, that's racist.
[45:22.000 --> 45:23.000]  People are so mindless.
[45:23.000 --> 45:24.000]  They'll just agree with you.
[45:24.000 --> 45:25.000]  Oh, that's sexist.
[45:25.000 --> 45:28.000]  Oh, that's what people have determined are sexist.
[45:28.000 --> 45:29.000]  They don't think for themselves.
[45:29.000 --> 45:31.000]  And that's what I tried to illustrate
[45:31.000 --> 45:33.000]  and hopefully did illustrate with my YouTube videos,
[45:33.000 --> 45:36.000]  the petition series where, I mean, you've showed many of them,
[45:36.000 --> 45:38.000]  much of the audience may know,
[45:38.000 --> 45:41.000]  where I just asked people to sign a petition to using the keywords,
[45:41.000 --> 45:46.000]  we used to support Obama and, and then just insert crazy idea here
[45:46.000 --> 45:49.000]  from banning the First Amendment, banning the Second Amendment,
[45:49.000 --> 45:51.000]  banning the Third, banning the Fourth, banning the Fifth,
[45:51.000 --> 45:52.000]  Sixth, Seventh, Eighth,
[45:52.000 --> 45:54.000]  and then just repealing the whole Bill of Rights.
[45:54.000 --> 45:59.000]  I mean, literally in 10 minutes on a Monday afternoon at the beach,
[45:59.000 --> 46:01.000]  if this was a Saturday afternoon, people would have signed the petition.
[46:01.000 --> 46:03.000]  Yeah, you're not cherry picking people.
[46:03.000 --> 46:05.000]  I mean, we went out and interviewed 12 people
[46:05.000 --> 46:08.000]  and 11 said ban water for Obama.
[46:08.000 --> 46:11.000]  Well, I remember after I started these,
[46:11.000 --> 46:13.000]  some of your crew was out here in San Diego shooting
[46:13.000 --> 46:17.000]  and they contacted me and we went out and we shot some footage.
[46:17.000 --> 46:20.000]  And I was glad that they could see firsthand that, I mean,
[46:20.000 --> 46:23.000]  it's nine out of 10, eight out of 10 people will sign it.
[46:23.000 --> 46:25.000]  And I wanted people to argue with me.
[46:25.000 --> 46:27.000]  I mean, I would include that in the video.
[46:27.000 --> 46:29.000]  I want to, to make the point, having people say,
[46:29.000 --> 46:31.000]  wait, why would you want to do this? This is ridiculous.
[46:31.000 --> 46:33.000]  Why would you want to repeal the First Amendment?
[46:33.000 --> 46:36.000]  But it's just incredible how,
[46:36.000 --> 46:41.000]  since everything has rolled out onto these private corporate systems
[46:41.000 --> 46:44.000]  and the terms of service are just so Orwellian.
[46:44.000 --> 46:46.000]  I mean, if they just said, yeah, you know what,
[46:46.000 --> 46:49.000]  if you just say, if you just question whether President Obama,
[46:49.000 --> 46:52.000]  you know, was born in America, maybe he was born in Kenya,
[46:52.000 --> 46:54.000]  that's racist. That's a racist. We've just...
[46:54.000 --> 46:56.000]  And by the way, let's add the key here.
[46:56.000 --> 46:58.000]  They're adding these rules to the internet wide.
[46:58.000 --> 47:01.000]  So it's not like, oh, well, Google's its own company, so let them do it.
[47:01.000 --> 47:04.000]  No, no, they're bringing this in with Syspa and SOPA,
[47:04.000 --> 47:08.000]  internet IDs, all of it, to a web bill of rights they're calling it.
[47:08.000 --> 47:09.000]  And Mark, do something for me.
[47:09.000 --> 47:11.000]  You know I went and questioned politicians
[47:11.000 --> 47:13.000]  and went to universities to confront dumb people
[47:13.000 --> 47:15.000]  and went out and did mail on the street before you did.
[47:15.000 --> 47:17.000]  You do a better job, I think, than even I have.
[47:17.000 --> 47:19.000]  I've promoted you. I don't even care.
[47:19.000 --> 47:23.000]  My reporters are so nice that I'll say,
[47:23.000 --> 47:25.000]  go ask the same questions or ask similar ones.
[47:25.000 --> 47:27.000]  They go, that's Mark Dice's bit.
[47:27.000 --> 47:30.000]  And I have to tell them, listen, Mark wants you to do it,
[47:30.000 --> 47:33.000]  and we want everybody else to do it, to expose the tyranny.
[47:33.000 --> 47:35.000]  We're not copying J-Walking.
[47:35.000 --> 47:38.000]  People forever have gone out and shown dumbed-down populations.
[47:38.000 --> 47:39.000]  That's how you expose it.
[47:39.000 --> 47:42.000]  Give my reporters permission from you
[47:42.000 --> 47:45.000]  to basically take your questions and go out and redo it.
[47:45.000 --> 47:46.000]  Do it.
[47:46.000 --> 47:49.000]  You know, take the concept and put your own personal spin on it.
[47:49.000 --> 47:53.000]  Verify that it's not just people in Southern California that are doing it.
[47:53.000 --> 47:54.000]  Exactly.
[47:54.000 --> 47:56.000]  This is not about Mark Dice or Alex Jones.
[47:56.000 --> 47:59.000]  It's about showing how fascistic these nutballs are.
[47:59.000 --> 48:00.000]  Yeah, it's incredible.
[48:00.000 --> 48:03.000]  And if it happens in Texas where you're located,
[48:03.000 --> 48:05.000]  I mean, it's going to happen everywhere.
[48:05.000 --> 48:07.000]  We may expect such a thing to happen here in, you know,
[48:07.000 --> 48:11.000]  Airhead, the land of fruits and nuts, which is Southern California.
[48:11.000 --> 48:15.000]  But I've seen your crew demonstrating some of the same concepts that I've done,
[48:15.000 --> 48:16.000]  and it's the same thing.
[48:16.000 --> 48:17.000]  Yeah.
[48:17.000 --> 48:19.000]  Can you name any of the Bill of Rights?
[48:19.000 --> 48:21.000]  What's ban water?
[48:21.000 --> 48:22.000]  It's incredible.
[48:22.000 --> 48:26.000]  I mean, I never thought when I started this that I could have just went right down the line,
[48:26.000 --> 48:28.000]  First Amendment, Second, Third, Fourth, Fifth, Sixth, Seventh, Eighth,
[48:28.000 --> 48:30.000]  the whole Bill of Rights.
[48:30.000 --> 48:33.000]  Let's save the Holocaust Beach Festival.
[48:33.000 --> 48:37.000]  I mean, the Holocaust Beach Festival video, I didn't even know if I should post it.
[48:37.000 --> 48:39.000]  I didn't know if it was a bad taste.
[48:39.000 --> 48:43.000]  I posted it, and I mean, nobody questioned me.
[48:43.000 --> 48:45.000]  It was 10 minutes in everybody.
[48:45.000 --> 48:47.000]  And like, let's burn Jews on the beach for Obama.
[48:47.000 --> 48:48.000]  I had no idea.
[48:48.000 --> 48:52.000]  They thought the Holocaust Beach Festival was a big party at the beach,
[48:52.000 --> 48:54.000]  and you could go and look it up on YouTube.
[48:54.000 --> 48:57.000]  Where I said they have the Jews of a contest to bury people in the sand.
[48:57.000 --> 48:58.000]  They have big bonfires.
[48:58.000 --> 48:59.000]  It's a big festival.
[48:59.000 --> 49:01.000]  The Jews, they have the Holocaust reenactment.
[49:01.000 --> 49:03.000]  Alex is what I told these idiots.
[49:03.000 --> 49:05.000]  And they signed a petition to save this.
[49:05.000 --> 49:06.000]  This is how brain dead.
[49:06.000 --> 49:07.000]  That's it.
[49:07.000 --> 49:10.000]  And the system doesn't want it known what they've done.
[49:13.000 --> 49:16.000]  There are, of course, those who do not want us to speak.
[49:16.000 --> 49:17.000]  We think.
[49:17.000 --> 49:18.000]  Just let me think.
[49:18.000 --> 49:20.000]  Even now, orders are being shouted into telephones,
[49:20.000 --> 49:23.000]  and men with guns will soon be on their way.
[49:23.000 --> 49:24.000]  It's chances that...
[49:24.000 --> 49:25.000]  Damn it.
