[00:00:00.869 --> 00:00:06.991]  I am really honored to have Michael Bagnerik in studio with us for several reasons.
[00:22:43.504 --> 00:22:44.665]  That's right, free!
[00:22:44.665 --> 00:22:53.210]  The Genesis Communications Radio Network is holding a contest for two weeks of free advertising for any new company looking to get national and global exposure.
[00:22:53.210 --> 00:22:55.752]  Simply call toll free 877-996-4327 extension 332 and request a GCN media kit.
[00:23:01.035 --> 00:23:11.218]  You will then be automatically entered to win one of three campaign packages to run for two weeks free on GCN's AM and FM affiliates, live internet streams, and shortwave radio.
[00:23:11.218 --> 00:23:17.599]  We are so confident that advertising on GCN works that we are giving away two weeks of advertising free to prove it.
[00:23:17.599 --> 00:23:24.541]  Your campaign will include numerous 60-second commercials, a web banner on GCNlive.com, and production of your commercial if needed.
[00:23:24.841 --> 00:23:30.005]  Call toll-free 877-996-4327, extension 332.
[00:23:30.005 --> 00:23:30.945]  Call now.
[00:23:30.945 --> 00:23:33.207]  Contest open to any business requesting immediate hit by phone.
[00:23:33.207 --> 00:23:34.348]  No purchase necessary to win.
[00:23:34.348 --> 00:23:35.769]  Not open to current GCN sponsors.
[00:23:35.769 --> 00:23:37.230]  Odds of winning are dependent on the number of entries.
[00:23:37.230 --> 00:23:37.850]  Contest ends 1-31-06.
[00:23:43.348 --> 00:23:49.590]  I want to now, with Michael Bagneri, get into the Constitution, the Bill of Rights.
[00:23:49.590 --> 00:23:53.691]  About five, six years ago, he did a video presentation, which I've got to get a copy of.
[00:23:53.691 --> 00:24:01.634]  I ought to call my friend Chris Athanas and get a copy of that that he produced for local TV and maybe even sell it out of the office or something once I approach him about it, but we never did anything.
[00:24:02.354 --> 00:24:12.744]  It's just an hour-long program where Michael Bagnerich is sitting there in a backyard at a table going through the Constitution, but then Chris Athanas built all these graphics to explain it and how it works.
[00:24:12.744 --> 00:24:18.289]  And at the end of it, I mean, just a layman will really understand how beautiful it is, how important it is.
[00:24:18.289 --> 00:24:21.512]  Red Beckman in years past, one of the granddaddies of this movement for liberty,
[00:24:22.032 --> 00:24:23.813]  Rediscovering Liberty.
[00:24:23.813 --> 00:24:33.820]  He had like four or five hour seminars he would go over, explaining the role of the people above the government, not the people below the government.
[00:24:33.820 --> 00:24:37.323]  In a situation where you're a slave, the government is above you.
[00:24:37.323 --> 00:24:40.565]  And they're officials, they're authorities.
[00:24:40.565 --> 00:24:43.367]  And then down here, we're their minions.
[00:24:43.367 --> 00:24:46.569]  But in a free society, they're servants, and we're the sovereigns.
[00:24:46.569 --> 00:24:49.832]  But we'll talk about that in a few minutes, before we go back to Michael Bagnerik.
[00:24:49.832 --> 00:24:50.212]  And later,
[00:24:51.318 --> 00:24:55.821]  He's going to be with us some into the next hour, and we'll take a few phone calls if you'd like to talk to him at 1-800-259-9231.
[00:24:55.821 --> 00:24:56.041]  That's 1-800-259-9231.
[00:24:56.041 --> 00:24:58.983]  But before we go back to Michael Magnarik...
[00:25:05.794 --> 00:25:07.436]  This is the last few days.
[00:25:07.436 --> 00:25:11.140]  On Sunday we're going to take the specials down.
[00:25:11.140 --> 00:25:20.409]  You can get a PrisonPlanet.tv membership, all 14 of my films, all my weekly TV reports, all my special interviews that we're doing here in studio.
[00:25:20.409 --> 00:25:23.633]  Not only now will you get the weekly TV reports we do,
[00:25:24.786 --> 00:25:31.252]  But you'll also get at least, you know, every week at least one person we're going to interview in studio.
[00:25:31.252 --> 00:25:37.898]  You'll get the video of that with documents and with information posted within that little mini-documentary.
[00:25:37.898 --> 00:25:40.960]  In fact, we're videotaping this with a two-camera shoot right now.
[00:25:40.960 --> 00:25:44.243]  That's going to be on PrisonPlanet.tv.
[00:25:44.243 --> 00:25:50.869]  So, PrisonPlanet.tv, all my films, my book, Paul Watson's book, a bunch of other books and videos we've posted and authorized to post.
[00:25:51.669 --> 00:25:53.351]  It's normally 15 cents a day.
[00:25:53.351 --> 00:25:55.874]  You can get a monthly subscription for $5.95.
[00:25:55.874 --> 00:25:57.775]  But we have yearly subscriptions.
[00:25:57.775 --> 00:26:00.378]  Well, right now you get 5 plus months.
[00:26:00.378 --> 00:26:03.281]  5.3 months is what it comes out to.
[00:26:03.281 --> 00:26:05.423]  Free when you get a yearly subscription.
[00:26:05.423 --> 00:26:09.166]  That's only going for about 3 or 4 more days.
[00:26:09.166 --> 00:26:11.128]  So go to prisonplanet.tv and get a membership.
[00:26:12.646 --> 00:26:25.928]  If you want a hard copy of my new film, Martial Law, that exposes who was really behind 9-11 and what the globalist master plan is and the latest police state developments, it's a mini-series, three hours long, on one DVD or one VHS.
[00:26:25.928 --> 00:26:30.509]  We've got specials running on that until next week, the first of next week.
[00:26:30.509 --> 00:26:33.550]  We have specials on my new film, The Order of Death.
[00:26:33.550 --> 00:26:39.131]  When you get The Order of Death, it comes with the re-edited, updated Dark Secrets Inside Bohemian Grove.
[00:26:39.131 --> 00:26:41.651]  Two films on one DVD for one price.
[00:26:42.391 --> 00:26:44.492]  Just a whole plethora of specials.
[00:26:44.492 --> 00:26:48.973]  T-shirts that are normally $19.95 are $9.95 right now.
[00:26:48.973 --> 00:26:51.754]  It's all up on Infowars.com.
[00:26:51.754 --> 00:26:54.174]  And when you support us, we're able to do even more.
[00:26:54.174 --> 00:26:56.475]  We're able to expand what we do on the Internet.
[00:26:56.475 --> 00:27:02.156]  We're able to engage in more productions and more high-quality productions.
[00:27:02.156 --> 00:27:09.058]  So you're really contributing to the frontline fight against the globalists and their world government program of enslavement.
[00:27:09.418 --> 00:27:21.828]  So again, Infowars.com to get hard copies, or PrisonPlanet.tv, or call toll-free to get my documentaries at 1-888-253-3139.
[00:27:21.828 --> 00:27:26.371]  That's 888-253-3139.
[00:27:26.371 --> 00:27:27.652]  Please take advantage of that.
[00:27:27.652 --> 00:27:34.398]  Michael Bagnerik, again, former presidential candidate on the Libertarian ticket in 2004, their last major candidate, one of their most successful.
[00:27:34.978 --> 00:27:43.700]  Now running for Congress, I think he has a shot at it, against Michael McCaul, District 10, and that's up, you know, from Georgetown down south of Austin.
[00:27:43.700 --> 00:27:45.840]  It is the Central Capital District.
[00:27:45.840 --> 00:27:50.441]  He'd be another Ron Paul, his policies are excellent up there on the Hill.
[00:27:50.441 --> 00:27:51.421]  We need him.
[00:27:51.421 --> 00:28:03.364]  Before we get into the Constitution, and you really are a constitutional scholar and you teach those classes, which makes you, you know, the right man for the job, tell us about your website, your campaign, how folks get involved.
[00:28:04.248 --> 00:28:19.127]  The website is very easy, it's badnarik.org, B-A-D-N-A-R-I-K dot O-R-G, and you can go there, find out our address, our phone number.
[00:28:19.127 --> 00:28:20.749]  Our phone number is 512-833-9000.
[00:28:26.255 --> 00:28:27.517]  637-6860.
[00:28:27.517 --> 00:28:32.422]  And if you live... Well, we are making this a nationwide campaign.
[00:28:32.422 --> 00:28:36.105]  We want people to call in from all 50 states.
[00:28:36.105 --> 00:28:43.853]  Ron Paul gets contributions from all 50 states, and we are hoping to do, you know, very close to the same thing.
[00:28:44.033 --> 00:28:51.661]  Well, it's going to take money to go after the CHICOM's operative, Michael McCall.
[00:28:51.661 --> 00:28:54.784]  Give that website out again, and please give us that phone number again.
[00:28:54.784 --> 00:29:04.214]  The website is badnarek.org, B-A-D-N-A-R-I-K dot O-R-G, and the phone number is 5-1-2
[00:29:06.938 --> 00:29:17.432]  And we've got a link to it up on Infowars.com, but will you spell out Bagnard for us?
[00:29:17.432 --> 00:29:17.973]  Yes.
[00:29:17.973 --> 00:29:21.377]  B as in boy, A, D as in dog, N-A-R-I-K.
[00:29:23.971 --> 00:29:28.432]  Folks, you need to go to Infowars.com if you didn't write that down or if you missed that address.
[00:29:28.432 --> 00:29:34.234]  We have a big link to it right there in the guest section on the front page to Michael Bagnerik's website.
[00:29:34.234 --> 00:29:37.435]  Now, we've got some time in this segment.
[00:29:37.435 --> 00:29:41.176]  Let's go through, for those that don't know, I know most of our audience is pretty well-educated,
[00:29:41.756 --> 00:30:03.190]  I mean, there's so much to know about the Founding Fathers, the struggle, why America was different, what a republic is, and then maybe talk about the First Amendment, the Second Amendment, the Fourth Amendment, the Tenth Amendment, some of the things that are really under attack right now, and where Washington has gone wrong, because Washington just announces itself as God, and so many people think, well, if they say they're God, they must be.
[00:30:11.696 --> 00:30:12.656]  We're good to go.
[00:30:28.061 --> 00:30:32.722]  The power that Congress has is granted to them by the people.
[00:30:32.722 --> 00:30:34.603]  Government has privileges.
[00:30:34.603 --> 00:30:37.344]  We, the people, have rights.
[00:30:37.344 --> 00:30:38.424]  And you need to know the difference.
[00:30:38.424 --> 00:30:43.946]  And anyone who denies that need only look to the preamble of the Declaration of Independence.
[00:30:43.946 --> 00:30:44.626]  Right.
[00:30:44.626 --> 00:30:50.728]  We have the right to alter or abolish any government that is violating our rights.
[00:30:50.728 --> 00:30:51.788]  But we're also compelled.
[00:30:51.788 --> 00:30:52.709]  It's our duty.
[00:30:52.709 --> 00:30:55.569]  Yes, later in the Declaration it does say that.
[00:30:57.590 --> 00:31:04.318]  The foundation of my Constitution class is the difference between rights and privileges.
[00:31:04.318 --> 00:31:08.043]  A right is something that you can do without asking for permission.
[00:31:08.786 --> 00:31:14.150]  A privilege, on the other hand, is something that someone of a higher authority allows you to do.
[00:31:14.150 --> 00:31:20.053]  So a right is organic and springs from the wellspring of human life and this planet.
[00:31:20.053 --> 00:31:21.775]  I mean, we have the right to not be slaves.
[00:31:21.775 --> 00:31:24.256]  We have the right to defend ourselves if someone's trying to kill us.
[00:31:24.256 --> 00:31:24.937]  Absolutely.
[00:31:24.937 --> 00:31:30.040]  We have the right to not go be slaves in the military.
[00:31:30.040 --> 00:31:32.722]  Well, to put it simply, we have the right to be left alone.
[00:31:32.722 --> 00:31:32.902]  Yes.
[00:31:33.522 --> 00:31:35.965]  So, we the people have rights.
[00:31:35.965 --> 00:31:39.709]  We gave certain limited privileges to the government.
[00:31:39.709 --> 00:31:42.372]  The government works for us, not the other way around.
[00:31:42.372 --> 00:31:46.276]  They have limited powers that they've been delegated by us, their bosses.
[00:31:46.276 --> 00:31:47.397]  Absolutely.
[00:31:47.397 --> 00:31:51.041]  Now, you and I both know that they haven't paid attention to the Constitution.
[00:31:51.041 --> 00:31:52.002]  I doubt that they've read it.
[00:31:52.617 --> 00:31:59.341]  They've usurped it aggressively and are now trying to perfect a total despotism.
[00:31:59.341 --> 00:32:00.442]  Absolutely.
[00:32:00.442 --> 00:32:02.963]  So, simple examples.
[00:32:02.963 --> 00:32:09.627]  I will wager none of your listeners has a church permit.
[00:32:09.627 --> 00:32:16.271]  Nobody within the sound of our voice has filled out a government form that allows them to exercise their religion.
[00:32:17.196 --> 00:32:21.419]  Because religion is... we have a right to freedom of religion.
[00:32:21.419 --> 00:32:25.943]  Congress shall make no law respecting an establishment of religion or prohibiting the free exercise thereof.
[00:32:25.943 --> 00:32:27.104]  Absolutely.
[00:32:27.104 --> 00:32:31.588]  And if you ask somebody for their church permit, they look at you like you've grown another head.
[00:32:31.588 --> 00:32:33.509]  Well, that's the way the First Amendment works.
[00:32:33.509 --> 00:32:35.431]  Well, if that's true, then why
[00:32:36.091 --> 00:32:42.475]  Do you or I have to get a concealed carry permit in order to exercise our right to keep and bear arms?
[00:32:42.475 --> 00:32:43.155]  Well, that's the thing.
[00:32:43.155 --> 00:32:48.239]  We think it's a victory to get a concealed carry, and after two years, crime in every state drops by around 20 percent.
[00:32:48.239 --> 00:32:49.699]  You know, some states 18, some 25.
[00:32:49.699 --> 00:32:50.820]  Florida's like 25, we're about 20 percent.
[00:32:52.381 --> 00:32:54.602]  People think, well, at least crime's going down, I can carry a gun.
[00:32:54.602 --> 00:32:57.164]  But wait a minute, they've now turned a right into a privilege.
[00:32:57.164 --> 00:33:09.110]  You're acquiescing and by color of law, possession is nine-tenths of the law, by the basic custom, you are now creating a false common law that it is a privilege.
[00:33:09.110 --> 00:33:09.631]  That's right.
[00:33:09.631 --> 00:33:11.272]  It's kind of a de facto law.
[00:33:11.272 --> 00:33:13.813]  It's just the way everybody assumes that it is.
[00:33:13.813 --> 00:33:16.675]  I guess I could have just shortened my whole diatribe and said color of law.
[00:33:20.153 --> 00:33:26.234]  One of the big things that happened last year was the Supreme Court decision on Kelo versus New London.
[00:33:26.234 --> 00:33:34.756]  The whole purpose of the Constitution and the government that it creates is to protect your life, your liberty, and private property.
[00:33:34.756 --> 00:33:42.578]  And the Kelo decision basically struck that down, reversed everything, and said the government can take your property pretty much for anything it wants.
[00:33:43.498 --> 00:33:53.281]  And, as I said earlier, I had about a dozen anonymous phone calls, people calling me up to confirm that, I mean, the Supreme Court's not supposed to be able to do that.
[00:33:53.281 --> 00:33:56.342]  Well, they do it because they can get away with it.
[00:33:56.342 --> 00:34:00.884]  We, the people, need to stand up and we need to understand the Constitution.
[00:34:01.522 --> 00:34:10.650]  We need to understand what privileges we have given the government so that when the government violates those privileges, we can call them to task.
[00:34:10.650 --> 00:34:11.391]  Well, that's the thing.
[00:34:11.391 --> 00:34:13.973]  I mean, a citizen's rulebook, and you've got one right here.
[00:34:13.973 --> 00:34:18.077]  You've got the United States Constitution, you know, right here.
[00:34:18.077 --> 00:34:19.038]  It's so simple.
[00:34:19.038 --> 00:34:20.639]  I mean, this is what America is.
[00:34:21.520 --> 00:34:22.441]  Absolutely.
[00:34:22.441 --> 00:34:31.646]  And the average person, they know all about Vince Young's passing record, they know all about the Dallas Cowboys, which, fine, if you want to know about that, know about it.
[00:34:31.646 --> 00:34:36.048]  Why I get angry is, though, they know nothing about the playbook of America.
[00:34:36.048 --> 00:34:37.229]  That's right.
[00:34:37.229 --> 00:34:46.774]  But they'll tell you they've got rights all day, they'll tell you it's a free country, but then I know, because I've researched this in depth, and you know because you've researched it, they're totally violating it.
[00:34:46.774 --> 00:34:47.695]  I mean, the new London
[00:34:48.553 --> 00:34:52.195]  Supreme Court ruling for those that don't know, and I want you to elaborate on this.
[00:34:52.195 --> 00:34:53.655]  But we've interviewed the parties involved.
[00:34:53.655 --> 00:35:01.459]  The big secret is, as I said earlier, they don't just take your property, they then don't even give you what it says on the tax rolls it's worth.
[00:35:01.459 --> 00:35:07.101]  And normally, best use could be anywhere from three to ten times what the tax roll says.
[00:35:07.101 --> 00:35:13.744]  But $300,000 houses, $307,000 in one case, they go, well, we'll give you $50,000 because a lot price.
[00:35:13.744 --> 00:35:15.965]  But if you fight us in court, and this happened five years ago,
[00:35:16.485 --> 00:35:16.985]  We're good to go.
[00:35:34.663 --> 00:35:58.159]  said that if a local politician wants to just give your land or say they're going to give your land to some local private developer because he can do something better with it and quote pay more taxes that goes back to the Queen saying I'm gonna take your noble lands and give it to another noble because he says he can do more for me I mean that is that not classical feudalism?
[00:35:58.159 --> 00:35:58.819]  Absolutely!
[00:35:59.279 --> 00:36:03.762]  And again, once people start to recognize that, and I think they are.
[00:36:03.762 --> 00:36:05.723]  That's why I'm optimistic.
[00:36:05.723 --> 00:36:15.249]  I think the average person on the street is starting to understand just how vast the usurpation of government power has been.
[00:36:15.249 --> 00:36:18.111]  I mean, your listeners have been following you for a long time.
[00:36:18.111 --> 00:36:20.212]  They know most of these details.
[00:36:20.212 --> 00:36:22.874]  The thing is that your average person on the street
[00:36:25.997 --> 00:36:29.521]  We've now got about 10 new affiliates in the last two weeks, so we've got a lot of new listeners.
[00:36:29.521 --> 00:36:30.542]  Bobby, boil it down for them.
[00:36:32.295 --> 00:36:36.017]  The purpose of the Constitution and the government is to protect your property.
[00:36:36.017 --> 00:36:36.717]  They're not.
[00:36:36.717 --> 00:36:40.319]  They're taking your property, they're not even paying you for it.
[00:36:40.319 --> 00:36:55.104]  We just had the President admit on television not long ago that, oh yes, we are spying on people inside the United States, and well, we didn't get a warrant because that was really kind of a nuisance for us, but it was in your best interest, so just trust me.
[00:36:55.104 --> 00:36:58.045]  But then I had a problem with the FISA Court where they can come back in a month.
[00:36:58.045 --> 00:36:59.586]  That isn't even really a real warrant either.
[00:37:00.086 --> 00:37:02.548]  Now rubber stamps aren't even good enough!
[00:37:30.426 --> 00:37:31.968]  I've heard you say that many times.
[00:37:31.968 --> 00:37:32.588]  How then?
[00:37:32.588 --> 00:37:35.631]  I mean, why is the elite just so arrogant right now?
[00:37:36.847 --> 00:37:37.948]  I don't know that.
[00:37:37.948 --> 00:37:41.931]  I wish I did understand why they think the things they do.
[00:37:41.931 --> 00:37:46.334]  I think it would help us to defeat them at the polls.
[00:37:46.334 --> 00:37:51.457]  My job right now is just to take this message to the people in District 10.
[00:37:51.457 --> 00:37:54.599]  Again, we are going to be walking the district, shaking hands with people.
[00:37:54.599 --> 00:37:59.143]  I want to get to know what people think, get an opportunity to talk to them.
[00:37:59.143 --> 00:38:00.483]  This is not rocket science.
[00:38:00.483 --> 00:38:02.265]  This is really simple stuff.
[00:38:02.265 --> 00:38:04.106]  Why do they think they can get away with it?
[00:38:04.870 --> 00:38:12.056]  I guess they've gotten away with so much more in the past that... I don't know, but I'm not going to let them do it.
[00:38:12.056 --> 00:38:15.299]  I'm going to basically win this election.
[00:38:15.299 --> 00:38:17.581]  I'm going to become the first Libertarian in Congress.
[00:38:17.581 --> 00:38:19.543]  I'm going to be there to back up Ron Paul.
[00:38:22.817 --> 00:38:26.662]  When I win, this is going to shake up the political community.
[00:38:26.662 --> 00:38:39.360]  Americans across the nation are going to understand that they do have a choice, that libertarians can win, and I think that this is going to be the beginning of restoring the republic that you and I love so much.
[00:38:40.876 --> 00:38:44.739]  Well, I tell you, I mean, all over the country people are ready.
[00:38:44.739 --> 00:38:49.522]  I mean, there are a bunch of states introducing legislation to secede right now in the north, the south.
[00:38:49.522 --> 00:38:51.523]  I mean, there's wild stuff happening.
[00:38:51.523 --> 00:39:01.290]  We need to make sure that serious professional people like yourself are leading this instead of the buffoons the media tries to so often focus in on.
[00:39:01.290 --> 00:39:02.951]  What about the Second Amendment, Michael?
[00:39:02.951 --> 00:39:07.814]  We saw actual gun confiscation of even the undamaged areas, the unflooded areas,
[00:39:08.514 --> 00:39:15.595]  The Army's first mission, with the FBI leading them, and this is all on national news, was to come in and go into rich people's homes, even.
[00:39:15.595 --> 00:39:18.776]  I say that because, you know, even the poor folks, usually they do this too.
[00:39:18.776 --> 00:39:25.637]  Now it's, we're going into the million-dollar houses, we're going to put you down in the dirt, take your guns, and then let you stay in your house where you can't defend yourself.
[00:39:25.637 --> 00:39:28.758]  What would you do as a congressman if you saw that happening?
[00:39:28.758 --> 00:39:33.819]  Oh, I would make the announcement that 20,000 gun laws in the United States are unconstitutional.
[00:39:34.319 --> 00:39:40.384]  Because they infringe on your right to self-defense and the right to defend your children.
[00:39:40.384 --> 00:39:43.646]  Self-defense is a natural right.
[00:39:43.646 --> 00:39:47.029]  Everybody has... It is the most base right.
[00:39:47.029 --> 00:39:48.970]  Only slaves are not allowed to defend themselves.
[00:39:48.970 --> 00:39:49.891]  That's right.
[00:39:49.891 --> 00:40:03.541]  And one of the reasons that I left California and moved to Texas was because the California legislature passed 18 anti-gun laws, six of which would turn me into a felon overnight.
[00:40:03.621 --> 00:40:04.942]  That was a decade ago or so.
[00:40:04.942 --> 00:40:08.663]  That was about 97, February and March of 97.
[00:40:08.663 --> 00:40:18.548]  And so, you know, I have always said that, you know, I am not going to turn over my guns to any state or federal authority, period.
[00:40:18.548 --> 00:40:24.151]  We need to retain the right to defend ourselves and the right to defend our country.
[00:40:24.151 --> 00:40:28.873]  And any government official that is trying to take your guns away from you is trying to make you a victim.
[00:40:30.402 --> 00:40:31.563]  Well, I mean, it's crazy.
[00:40:31.563 --> 00:40:34.784]  I mean, imagine going to the cops and telling them, give us your guns.
[00:40:34.784 --> 00:40:35.604]  We're not saying that.
[00:40:35.604 --> 00:40:37.265]  They should be able to defend themselves.
[00:40:37.265 --> 00:40:38.566]  Why do they want my guns?
[00:40:38.566 --> 00:40:44.528]  I know most police say they don't want our guns, but I mean, we saw in New Orleans and now in L.A., they're banning a lot of guns.
[00:40:44.528 --> 00:40:46.129]  San Francisco's outright banned them.
[00:40:46.129 --> 00:40:50.111]  We have Republican governors from Schwarzenegger to Pataki going after guns.
[00:40:50.111 --> 00:40:52.632]  We have Mayor Bloomberg saying he's declared war on guns.
[00:40:53.428 --> 00:40:57.234]  And I mean, how does that keep me safe when the cop pulls me over and has to search my car for guns?
[00:40:57.234 --> 00:40:58.355]  I mean, it's a joke!
[00:40:58.355 --> 00:40:59.497]  It is a joke.
[00:40:59.497 --> 00:41:08.671]  And statistically, any time you have strong gun control, such as Washington, D.C., New York, Chicago, Los Angeles, you also have high crime and murder.
[00:41:09.271 --> 00:41:18.625]  In all the places where people are allowed to carry guns and defend themselves, the crime rate is very low or drops precipitously as soon as they pass the law.
[00:41:18.625 --> 00:41:19.446]  Well, exactly.
[00:41:19.446 --> 00:41:24.172]  In England, after they confiscated guns about a decade ago,
[00:41:25.033 --> 00:41:27.876]  Every year the crime rate doubles until now.
[00:41:27.876 --> 00:41:31.620]  In international statistics, they have a much higher crime rate than America.
[00:41:31.620 --> 00:41:33.641]  They're number one in industrialized nations.
[00:41:33.641 --> 00:41:35.243]  We're number 14.
[00:41:35.243 --> 00:41:37.465]  Only Switzerland is safer than the U.S.
[00:41:37.465 --> 00:41:39.427]  But the mainstream media won't tell you those numbers.
[00:41:41.208 --> 00:41:48.854]  Hey folks, Alex Jones here, announcing the release of my most comprehensive documentary exposing the New World Order's orchestration of the September 11th attacks yet.
[00:41:48.854 --> 00:41:53.818]  In my new film, The Masters of Terror, we chronicle the globalist master plan for world domination.
[00:41:53.818 --> 00:41:59.462]  The Masters of Terror details how the elite are using manufactured terrorism to drive the world population into accepting tyranny.
[00:41:59.702 --> 00:42:11.633]  Witness in horror the execution of the September 11th attacks and the ensuing whitewash, the cashless society control grid, implantable microchips, mass mind control, militarization of police, concentration camps, foreign troops massing on U.S.
[00:42:11.633 --> 00:42:16.337]  soil, the USA Patriot Act, Super Big Brother Total Information Awareness Network, and much, much more.
[00:42:16.337 --> 00:42:19.059]  It is absolutely vital that everyone see the masters of terror.
[00:42:19.059 --> 00:42:25.785]  Only by exposing the perpetrators of September 11th can we stop them from carrying out the next wave of attacks and destroying our constitutional republic.
[00:42:26.005 --> 00:42:31.289]  Order online now at Infowars.com or PrisonPlanet.com or by calling 1-888-253-3139.
[00:42:31.289 --> 00:42:31.689]  That's 888-253-3139.
[00:42:40.114 --> 00:42:47.902]  Get the new Berkey Battery Adapter, an inexpensive yet long-term backup power supply for your Berkey Light LED system.
[00:42:47.902 --> 00:43:00.855]  The Berkey's LED lamps are unique because, incredibly, they have an average life of over 11 years of continuous use and are so bright they can be spotted for more than a mile in the dark, yet require very little energy.
[00:43:01.155 --> 00:43:04.797]  That's why this revolutionary new technology is a bit expensive.
[00:43:04.797 --> 00:43:06.278]  But it's worth every penny.
[00:43:06.278 --> 00:43:15.564]  Because the low energy LEDs are able to provide light all night long for over two weeks on a single set of four AA alkaline batteries.
[00:43:15.564 --> 00:43:16.244]  That's right!
[00:43:16.244 --> 00:43:23.649]  Incredibly, your emergency light will operate every night for over two weeks for the price of four small AA batteries.
[00:43:23.649 --> 00:43:27.931]  Be prepared for unexpected emergencies and get the Berkey Battery Adapter.
[00:43:27.931 --> 00:43:29.812]  Complete with on-off switch for only $10.
[00:43:30.953 --> 00:43:36.016]  We're calling New Millennium at 888-803-4438.
[00:43:36.016 --> 00:43:39.638]  That's toll-free, 888-803-4438.
[00:43:39.638 --> 00:43:48.163]  Herbal Healer Academy is the global supplier of the finest natural medicine that you may need in these troubled times.
[00:43:48.163 --> 00:43:50.624]  We specialize in keeping you alive and healthy.
[00:43:50.624 --> 00:43:56.948]  We provide outstanding products like ECAC, colloidal silver 500 parts per million, olive leaf extract,
[00:43:57.288 --> 00:43:57.949]  We're good to go!
[00:44:26.810 --> 00:44:30.052]  We have been working hard since 1988 to save the remnant.
[00:44:30.052 --> 00:44:41.099]  That's HerbalHealer.com, your website for safe, effective natural alternatives and education.
[00:44:41.099 --> 00:44:46.102]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:44:46.892 --> 00:44:50.194]  Because there's a war on for your mind.
[00:44:50.194 --> 00:45:07.705]  The former presidential candidate of the Libertarian Party, really one of the only serious third parties out there, and now the third largest office-holding party in the country, he's now running for District 10 right here in Central Texas against Michael McCaul, who really is one of the worst congressmen we have.
[00:45:07.705 --> 00:45:09.646]  He is a horrible police state
[00:45:10.574 --> 00:45:16.776]  Minion, Maven, Pusher, Pimp, whatever you want to call him and he's really got to be stopped.
[00:45:17.339 --> 00:45:23.881]  And so be sure to go to InfoWars.com and link through to Bagnaric's website over there.
[00:45:23.881 --> 00:45:25.401]  Michael Bagnaric is our guest.
[00:45:25.401 --> 00:45:29.303]  We're going to start the third hour here in a few minutes and we're going to take calls.
[00:45:29.303 --> 00:45:32.083]  Jason, Stuart, Tim, Joe, Pat and many others.
[00:45:32.083 --> 00:45:33.584]  The toll free number to join us is 1-800-259-9231.
[00:45:33.584 --> 00:45:38.005]  We're going to cycle through your calls quickly.
[00:45:38.005 --> 00:45:43.507]  We hit that break and you were still going about, because you don't have your headset on yet.
[00:45:43.507 --> 00:45:44.467]  We'll do that when you take the calls.
[00:45:45.413 --> 00:45:51.017]  We hit that break and you were still going about the Second Amendment and using the Kennesaw, Georgia example?
[00:45:51.017 --> 00:45:51.877]  Right.
[00:45:51.877 --> 00:45:53.018]  I was just contrasting.
[00:45:53.018 --> 00:45:57.181]  All the cities that have gun control have high crime.
[00:45:57.181 --> 00:46:07.368]  Kennesaw, Georgia is a small town just northwest of Atlanta and several years ago they passed a law that requires a homeowner to have a gun.
[00:46:07.368 --> 00:46:15.093]  Now they've never arrested anybody for not having a gun but it was interesting that as soon as they passed this law saying that homeowners have to have a gun
[00:46:15.633 --> 00:46:19.696]  Home invasions in that city dropped by 90 percent.
[00:46:19.696 --> 00:46:23.179]  Nobody's crawling through anybody's window anymore because you could get hurt.
[00:46:23.179 --> 00:46:28.142]  By the way, I've had their police chief on, I've had their mayor on, and that's true.
[00:46:28.142 --> 00:46:31.444]  It was actually, I believe, 92 percent.
[00:46:31.444 --> 00:46:37.229]  So it's even better, and the only reason I know that is because we have a section on the website about it.
[00:46:37.229 --> 00:46:44.073]  But imagine, they were having a crime wave because all the crime was coming in from Atlanta, and now it's non-existent.
[00:46:44.073 --> 00:46:44.814]  I mean, it's simple.
[00:46:45.558 --> 00:46:47.319]  Take Texas here.
[00:46:47.319 --> 00:46:50.581]  The criminals go into the inner city areas where they know people aren't armed.
[00:46:50.581 --> 00:46:54.343]  They would never try to just go into somebody's house when people are there.
[00:46:54.343 --> 00:46:56.804]  It's very rare because you do that, you die.
[00:46:56.804 --> 00:46:57.565]  Absolutely.
[00:46:57.565 --> 00:47:07.931]  I mean, you know, right here in this safe next to me, I've got it's a safe so nobody can get into it but me, I mean, right now somebody comes in here and tries to harm me or my staff, it's bye-bye.
[00:47:07.931 --> 00:47:09.492]  And that's not a bad thing.
[00:47:09.492 --> 00:47:10.392]  That's good.
[00:47:10.392 --> 00:47:11.453]  It's a good thing.
[00:47:11.453 --> 00:47:13.634]  Everybody has a survival instinct.
[00:47:14.432 --> 00:47:19.554]  I talked to women who say they would do anything to protect their children.
[00:47:19.554 --> 00:47:27.418]  And I said, well, if you have someone crawling through the window at 2 o'clock in the morning with a bloody machete, would you take a gun and use it to protect your children?
[00:47:27.418 --> 00:47:29.859]  They said, oh no, that's dangerous.
[00:47:29.859 --> 00:47:33.620]  Well then, clearly, you would not do anything to protect your children.
[00:47:33.620 --> 00:47:39.783]  Why would you give up the one tool that would allow you to protect your children efficiently and safely?
[00:47:40.103 --> 00:47:41.304]  Well, that's the crazy thing.
[00:47:41.304 --> 00:47:48.049]  There was the famous case five years ago, and I mean, these cases we see every week, but I interviewed some of the family and people involved as they cried on air.
