[00:00:13.078 --> 00:00:13.218]  Food.
[00:34:45.201 --> 00:34:48.143]  And then they're under their control forever.
[00:34:48.143 --> 00:34:53.487]  So just take what happened with this corrupt FBI agent and make it a hundred times worse than you've got that.
[00:34:53.487 --> 00:35:00.633]  Because if you're a new listener, I'm going to explain this to everybody very, very slowly here, so there's not any confusion or any debates about this.
[00:35:03.132 --> 00:35:13.415]  I had not read this article when it came out a week ago because I've been so busy and I've already knew all about it, knew all the details, and thought that it would just be a whitewash, and to a certain extent it is.
[00:35:13.415 --> 00:35:31.919]  But they admit in New Yorker Magazine in a cover story, ladies and gentlemen, a cover story that they supplied 30,000 children over 25 years to over 100 towns and cities to other top psychiatrists who would then place them
[00:35:32.922 --> 00:35:42.769]  On average, at age 3 to 5, with a convicted brutal child rapist, they would then pay for the child to live with a brutal child rapist to create a new family and a form of love.
[00:35:42.769 --> 00:35:46.591]  Boys with men, it was 10 to 1 boys, because you know, we're tough, we can take it.
[00:35:46.591 --> 00:35:48.213]  And also some girls.
[00:35:48.213 --> 00:35:52.495]  And they would place them again with a lesbian who would torture them.
[00:35:52.495 --> 00:35:57.559]  And then it was their job to then manage them and hire them out
[00:35:58.775 --> 00:35:59.275]  We're good to go.
[00:36:19.712 --> 00:36:23.833]  This has come out, and it's really hard for me to talk about all this, but this has all been in police reports.
[00:36:23.833 --> 00:36:25.254]  This has all been confirmed.
[00:36:25.254 --> 00:36:27.094]  You just don't hear about it on the news.
[00:36:27.094 --> 00:36:28.655]  But this is done in the United States.
[00:36:28.655 --> 00:36:29.855]  It's done in Italy.
[00:36:29.855 --> 00:36:30.635]  It's done in Russia.
[00:36:30.635 --> 00:36:32.036]  It's done everywhere.
[00:36:32.036 --> 00:36:36.117]  And the descriptions of the snuff films that have come out in federal court are...
[00:36:37.360 --> 00:36:46.668]  30 men raping two-year-old boys until their intestines fall out of them, then they blow their heads off with .357 magnums, and then basically wallow in their blood.
[00:36:46.668 --> 00:36:47.908]  I really don't want to keep going here.
[00:36:47.908 --> 00:36:51.271]  I can, folks, for you, but you understand this is industrial level.
[00:36:51.271 --> 00:36:51.872]  It's massive.
[00:36:51.872 --> 00:36:54.474]  There are children in cages by the thousands all over the U.S.
[00:36:54.474 --> 00:36:57.516]  right now hanging upside down with people drinking their blood, okay?
[00:36:57.516 --> 00:37:00.538]  And that's why Joe Biden makes such a big joke about it.
[00:37:00.538 --> 00:37:02.079]  And look, some of them think they're vampires.
[00:37:02.079 --> 00:37:03.100]  Some of them drink blood.
[00:37:03.100 --> 00:37:04.281]  Others just like to rape them.
[00:37:04.281 --> 00:37:05.402]  Others just like the power.
[00:37:05.402 --> 00:37:06.523]  But it is wholesale
[00:37:07.811 --> 00:37:12.653]  Torturing a child of these Satanists and the demons that are in them, they describe it like an accordion.
[00:37:12.653 --> 00:37:18.975]  And they stretch them and they pull them until the light goes out of their eyes, and they call that when they're used up.
[00:37:18.975 --> 00:37:24.578]  And so you have to understand, right now children are being murdered, their teeth are being pulled out with pliers, everything.
[00:37:24.578 --> 00:37:31.480]  This is the main German news, confirmed, nobody's going to jail, 30,000 little boys and girls delivered to be gang-raped.
[00:37:31.480 --> 00:37:32.661]  It describes in these reports
[00:37:33.379 --> 00:37:33.660]  I don't know.
[00:37:43.991 --> 00:37:49.335]  Some make bread, you know, you go when you're in Europe and you go visit a place and eat dinner at the nunnery or whatever.
[00:37:49.335 --> 00:37:52.357]  No, no, this is just the priest doing this.
[00:37:52.357 --> 00:38:04.225]  The nuns are hired to then take the little boys in so they can be gang raped until they're bleeding, and that's the report here, again, until they're bleeding, viciously raped, and then they're sprayed off with fire hoses.
[00:38:04.886 --> 00:38:09.212]  As young as five and told to go back to the orphanage and not complain.
[00:38:09.212 --> 00:38:13.099]  And if they do complain, well you know there's folks that want to pay to kill kids.
[00:38:13.099 --> 00:38:18.107]  And so they videotape the little boys being tortured to death and then they show the other little boys this.
[00:38:18.880 --> 00:38:25.543]  And then when they complain, they put them on drugs, they fry their brains, and then they use them as drug dealers on the street once they're 15, once they're 18.
[00:38:25.543 --> 00:38:26.904]  Islam does the same thing.
[00:38:26.904 --> 00:38:27.864]  You've all heard of harems.
[00:38:27.864 --> 00:38:30.125]  Harems are big slave dungeons.
[00:38:30.125 --> 00:38:33.607]  That's why Islam works so well with the pedophile rings in Europe.
[00:38:33.607 --> 00:38:38.509]  One town grooming thousands of girls as young as 7, kidnapped, their parents complain, the police won't help them.
[00:38:38.889 --> 00:38:50.975]  Because the police are an army of pedophiles now in Germany, an army of pedophiles in the UK, an army of pedophiles in Scotland, an army of pedophiles in Italy, an army of pedophiles in France, and I don't want to explain something.
[00:38:52.345 --> 00:38:53.566]  They're not all pedophiles.
[00:38:53.566 --> 00:38:57.850]  The low-level ones are saying, we don't want lockdowns, we don't want checkpoints, we think the virus is a fraud.
[00:38:57.850 --> 00:39:05.658]  But when you understand, wear a mask over your face, have three-year-olds wear a mask, that's because they want to be able to transport kids around and train kids that they're prisoners.
[00:39:05.658 --> 00:39:11.704]  The TSA screening, top psychologists have admitted, is basically a pedophile training so kids get used to being touched.
[00:39:11.704 --> 00:39:14.026]  All of this is about turning us into a commodity
[00:39:14.838 --> 00:39:26.064]  Being able to say we're non-essential, lock us down in our houses whenever they want, and do whatever they want with us, and give us unapproved, deadly vaccines, and then say we're murderers when we don't go along with it and agree to it.
[00:39:26.064 --> 00:39:27.704]  And I've got even bigger news, Owen.
[00:39:27.704 --> 00:39:31.546]  I've got a bunch of massive news I'm going to hit here today.
[00:39:31.546 --> 00:39:32.627]  Let me just tell you what it is.
[00:39:32.627 --> 00:39:34.468]  Everybody's freaking out about this for a solid week.
[00:39:34.468 --> 00:39:34.708]  St.
[00:39:34.708 --> 00:39:35.548]  Jones was right again.
[00:39:35.548 --> 00:39:36.729]  Oh my God, it's so incredible.
[00:39:36.729 --> 00:39:37.969]  No, it's not incredible.
[00:39:37.969 --> 00:39:40.571]  I'm going to give you the rest of the story on weather control that is incredible.
[00:39:40.571 --> 00:39:43.472]  Everybody's freaking out about Dubai, making it rain, and admitting they are.
[00:39:43.988 --> 00:39:47.891]  I told you 20 years ago Dubai was doing that because it was in mainstream news then.
[00:39:47.891 --> 00:39:57.399]  We've got huge breaking news from the South Texas border in McAllen where the Catholic Charities that now admit they've expanded to this whole road have all these buildings.
[00:39:57.399 --> 00:40:01.383]  They admit that one building alone processes 1,000 children a day.
[00:40:01.383 --> 00:40:05.806]  They're processing thousands of children overall into the Catholic Charity a day.
[00:40:05.806 --> 00:40:09.590]  And they now admit they're asking the Border Patrol to stop that it's too much for them.
[00:40:09.590 --> 00:40:11.051]  They're having to build new buildings.
[00:40:11.671 --> 00:40:12.612]  But it's not stopping.
[00:40:12.612 --> 00:40:16.914]  So, even the leftists can't even handle the dealers that they've started and brought in.
[00:40:16.914 --> 00:40:21.117]  Again, most of that is about child sex trafficking and trafficking kidnapped children.
[00:40:21.117 --> 00:40:22.177]  That's even come out in the U.S.
[00:40:22.177 --> 00:40:29.201]  Senate report that a large number of them do end up in sex trafficking, being abused and murdered.
[00:40:29.201 --> 00:40:32.563]  Then we'll tie it all into how this is war and how this is a medical dictatorship.
[00:40:32.563 --> 00:40:36.045]  And if you think it's bad now, once they get it cemented and locked into place,
[00:40:37.384 --> 00:40:38.945]  Then it's only going to get 10 times worse.
[00:40:38.945 --> 00:40:40.026]  The lockdown never ended.
[00:40:40.026 --> 00:40:43.089]  Now it's about to get more intense right when they claim that it is ending.
[00:40:43.089 --> 00:40:45.490]  That's the psychological warfare.
[00:40:45.490 --> 00:40:49.354]  So we're going to lay all this out and how to defeat it on the other side.
[00:40:49.354 --> 00:40:57.340]  But you must first admit that your enemies are literal psychotic demons, a legion of satanic doom who are lying and want to murder you and your family.
[00:40:57.340 --> 00:41:00.642]  But I'll tell you who's got five star ratings when it comes to customer service.
[00:41:00.642 --> 00:41:03.785]  I'll tell you who built his network and infrastructure
[00:41:04.634 --> 00:41:12.117]  And has thousands of employees here in the United States and sources materials all over North America and from Africa as well, which he's proud of.
[00:41:12.117 --> 00:41:15.978]  That's where you get the good cotton and they put it together here in the United States.
[00:41:15.978 --> 00:41:18.979]  And that is Mike Lindell.
[00:41:18.979 --> 00:41:20.420]  Mike Lindell is a patriot.
[00:41:20.420 --> 00:41:22.120]  Mike Lindell is fighting.
[00:41:22.120 --> 00:41:27.762]  He is bold and he's got his products in stock ready to ship to you.
[00:41:27.762 --> 00:41:29.123]  When you use promo code
[00:41:30.058 --> 00:41:33.320]  Alex, you get the best specials they've got.
[00:41:33.320 --> 00:41:35.941]  Up to 66% off with promo code Alex.
[00:41:35.941 --> 00:41:46.868]  Whether it's their entire line of sheets, or human beds that are revolutionary and very, very popular, or animal beds for dogs and cats, or the great towels, or the pillows that they're best known for.
[00:41:46.868 --> 00:41:47.608]  And he's done great.
[00:41:47.608 --> 00:41:48.348]  His people are great.
[00:41:48.348 --> 00:41:51.350]  They've really come through and taken us out of the red into the black.
[00:41:51.350 --> 00:41:54.012]  So thank you all for shopping at MyPillow.com.
[00:41:54.012 --> 00:41:56.273]  Up to 66% off with promo code Alex.
[00:41:57.975 --> 00:42:00.860]  The biosecurity state is here.
[00:42:00.860 --> 00:42:06.791]  It's an anti-human eugenics operation training us that humans are dirty, bad, and evil.
[00:42:06.791 --> 00:42:08.955]  The corrupt puppet Prime Minister of Canada.
[00:42:09.818 --> 00:42:28.489]  Who says he admires the communist dictatorship of Xi Jinping and wishes to make Canada's fame has announced that they're buying vaccines for every person in the country all the way out to 2024 and that in 2024 you will again take two shots and he says it'll be whatever Pfizer cooks up and wants to put in your body.
[00:42:29.207 --> 00:42:30.988]  This is the Rockefeller Foundation.
[00:42:30.988 --> 00:42:33.669]  They developed this whole plan with Bill Gates.
[00:42:33.669 --> 00:42:35.909]  They're now implementing it, and now they've announced that U.S.
[00:42:35.909 --> 00:42:38.450]  policy is set by the private Rockefeller Foundation.
[00:42:38.450 --> 00:42:48.754]  Of course, the Rockefeller Foundation, by the 30s, was the main funder of Adolf, A. Louis Hitler, and the eugenics at Cold Springs Harbor that trained the Kaiser Wilhelm Institute in Germany.
[00:42:48.754 --> 00:42:50.715]  And bull wars will continue to steadfastly fight this.
[00:42:50.715 --> 00:42:52.195]  I don't know how long we can.
[00:42:52.195 --> 00:42:53.556]  The enemy's coming for us all now.
[00:42:53.556 --> 00:42:55.156]  God bless, and good luck.
[00:42:55.156 --> 00:42:56.697]  I would, again, get right with God right now.
[00:42:58.732 --> 00:43:07.235]  Ladies and gentlemen, Owen Schroyer here, the host of the InfoWars War Room, and I am very excited about our latest supplement addition to InfoWarsStore.com.
[00:43:07.235 --> 00:43:17.339]  Now, I've been supplementing with greens fibers and vegetable capsules for a long time, and so I was excited to hear that we were adding our own greens fiber caps to InfoWarsStore.com.
[00:43:17.819 --> 00:43:20.743]  But then I read the ingredients and I was blown away.
[00:43:20.743 --> 00:43:21.905]  Listen to this.
[00:43:21.905 --> 00:43:23.167]  Organic pea fiber.
[00:43:23.167 --> 00:43:24.608]  Organic alfalfa leaf.
[00:43:24.608 --> 00:43:26.070]  Organic wheatgrass leaf.
[00:43:26.070 --> 00:43:27.512]  Organic cilantro leaf.
[00:43:27.512 --> 00:43:28.934]  Organic kale leaf.
[00:43:28.934 --> 00:43:30.496]  Organic flax sprout.
[00:43:30.496 --> 00:43:32.099]  Organic quinoa sprout.
[00:43:32.099 --> 00:43:32.840]  Ladies and gentlemen,
[00:43:33.420 --> 00:43:35.522]  All of these things are so incredible for your health.
[00:43:35.522 --> 00:43:39.365]  Just one of these ingredients can be a life-changing supplement for your health.
[00:43:39.365 --> 00:43:44.128]  And we've packed it all in to Fiber Green Caps at Infowarsstore.com.
[00:43:44.128 --> 00:43:48.011]  So I'm excited to add this to my supplement routine every day.
[00:43:48.011 --> 00:43:50.193]  I suggest that you do the same thing.
[00:43:50.193 --> 00:43:53.055]  And right now, it's at an introductory price of $19.95.
[00:43:53.055 --> 00:43:54.576]  That's 33% off at Infowarsstore.com.
[00:43:58.932 --> 00:44:07.118]  I preach about the dangers of cell phones all day long because they're supercomputers controlled by big tech that are spying on us everywhere we go and what we do.
[00:44:07.118 --> 00:44:15.885]  But because they have great cameras and great recording systems and great ways to communicate, I still have one because this Trojan horse, this Promethean Fire, has a lot of power.
[00:44:15.885 --> 00:44:22.850]  But when I'm not using it, I lock it up in a high-quality Faraday cage, a privacy pocket, at InfoWarsTore.com.
[00:44:22.850 --> 00:44:25.472]  We finally got them back in stock, the highest rated.
[00:44:25.472 --> 00:44:27.894]  They fit almost all types of Androids and iPhones.
[00:44:28.314 --> 00:44:28.854]  I think?
[00:44:48.144 --> 00:44:56.188]  This is a great way to limit your phone time use, it's a great way to spend more time with your family, and it's a great way to know you're not being tracked by the criminal globalist system.
[00:44:56.188 --> 00:45:01.971]  They're 50% off right now at mfulmorestore.com.
[00:45:01.971 --> 00:45:12.656]  You're listening to the Alex Jones Show.
[00:45:12.656 --> 00:45:13.777]  The beast in me
[00:45:23.729 --> 00:45:27.591]  Well, ladies and gentlemen, it is a spiritual battle.
[00:45:27.591 --> 00:45:30.212]  And the devil wants to have his way with this country.
[00:45:30.212 --> 00:45:34.994]  And we cannot allow that to happen.
[00:45:34.994 --> 00:45:41.557]  And I understand people probably tune into this and hear Alex Jones speaking about these sordid topics.
[00:45:41.557 --> 00:45:44.059]  But this is the reality, ladies and gentlemen.
[00:45:44.059 --> 00:45:46.580]  And ignoring it is not going to make it go away.
[00:45:47.837 --> 00:45:55.341]  And so, you're going to see a lot of people responding to all the lies being told today on Capitol Hill, and that's a good thing.
[00:45:55.341 --> 00:46:02.205]  And, you know, maybe this will finally be the awakening moment America needs to realize how corrupt the government is and the television media is.
[00:46:02.205 --> 00:46:08.489]  But, Alex, it's quite a stunning thing to witness, even though we know it's all real.
[00:46:09.179 --> 00:46:21.105]  Just like it's a stunning thing for you to read that story headlining the New Yorker, even though you knew that years ago, still, reading it, seeing it, hey, they put kids in the hands of pedophiles to be raped and tortured and murdered?
[00:46:21.105 --> 00:46:26.268]  Yeah, that's a shocking thing, even though you already knew about it.
[00:46:26.268 --> 00:46:31.390]  And it was done from the highest levels of the German government, working with the CIA and MKUltra.
[00:46:31.390 --> 00:46:34.712]  And again, that's what MKUltra was all about, ladies and gentlemen.
[00:46:35.385 --> 00:46:37.507]  was manipulating the minds of children.
[00:46:37.507 --> 00:46:39.348]  There was all different types of studies done.
[00:46:39.348 --> 00:46:41.669]  Some were given DMT, some were given LSD.
[00:46:41.669 --> 00:46:43.671]  We're talking thousands of hits of it.
[00:46:43.671 --> 00:46:44.871]  Others were given electroshock.
[00:46:44.871 --> 00:46:47.213]  Others were done, you know, all sorts of experiments.
[00:46:47.213 --> 00:46:51.416]  And this even came out on the History Channel and Discovery Channel 25-30 years ago.
[00:46:51.416 --> 00:47:03.164]  They had some good documentaries on there admitting Dr. Ewing Cameron and Dr. John Lee and West ran facilities in the US and Canada with up to 10,000 little boys and girls in them at one time.
[00:47:04.091 --> 00:47:07.174]  That had been taken from foster homes.
[00:47:07.174 --> 00:47:18.643]  In some cases, though, the CIA would put their own children in facilities for CIA medical staff to gang rape them, and then they called it a study.
[00:47:18.643 --> 00:47:23.847]  And again, that's what says right here, gang raping 30,000 children, New Yorker Magazine, as a study.
[00:47:23.847 --> 00:47:24.428]  So I'll tell you something.
[00:47:25.638 --> 00:47:26.638]  They later removed this.
[00:47:26.638 --> 00:47:30.440]  We made a big deal about it back in the late 1990s, but then it's in other U.S.
[00:47:30.440 --> 00:47:32.460]  code, and I haven't memorized it.
[00:47:32.460 --> 00:47:37.022]  It's so powerful and so important, and people would really wake up when they saw this, because in one part of the code, they outlawed it.
[00:47:37.022 --> 00:47:39.003]  The next part of the code, they legalized it.
[00:47:39.003 --> 00:47:39.363]  U.S.
[00:47:39.363 --> 00:47:40.983]  Code Title 50, Chapter 32, 1528, Paragraph B said,
[00:47:47.088 --> 00:47:57.714]  Biological, chemical, radiological and other parts of lethal or deadly testing is illegal unless conducted for scientific or law enforcement purposes.
[00:47:57.714 --> 00:48:02.437]  And so as long as you say something's research, you can torture children, murder people, you name it.
[00:48:02.437 --> 00:48:05.939]  And again, it's about how many people can you in an industrial scale?
[00:48:05.939 --> 00:48:15.005]  It wasn't just Jeffrey Epstein who reportedly was servicing out more than 500 people a week at facilities all over
[00:48:15.976 --> 00:48:16.556]  We're good to go.
[00:48:42.549 --> 00:48:43.049]  I don't think so.
[00:49:06.030 --> 00:49:23.424]  Where they would take people and just do absolutely horrible stuff and get people super drugged up, super drugged up out of their minds, and then these rich guys would take their wives, and usually women aren't the ones wanting to torture kids, but they've got to where they got women that are into this now, and large, large portions of women, because that's what they really want.
[00:49:23.424 --> 00:49:28.708]  People don't think of a woman as a person that will do this, but after a woman's raped little girls and little boys,
[00:49:29.346 --> 00:49:29.786]  That's right.
[00:49:51.781 --> 00:49:55.985]  They're being told they're being recruited into an international agency that's saving the Earth.
[00:49:55.985 --> 00:50:04.553]  We've got to do horrible things to save the Earth, but we're the guardians of the Earth, the guardians of the galaxy, and we're just going to do beautiful things once we do this.
[00:50:04.553 --> 00:50:08.016]  But to conquer evil, we've got to be more evil than the evil.
[00:50:08.016 --> 00:50:10.238]  In justifies the means.
[00:50:10.238 --> 00:50:14.441]  And once they teach them that Machiavelli precept, it's all over.
[00:50:14.441 --> 00:50:15.002]  So understand.
[00:50:16.385 --> 00:50:24.029]  They want to overwhelm you to where you get so used to lies, so used to corruption, so used to being gas lit that you just give up.
[00:50:24.029 --> 00:50:39.778]  Well, at the same time as January 6 hearings are about the announcement by all the big tech companies that they're working with the CIA to spy on everyone in lifetime and saying anyone that is listed as a white supremacist is a terrorist and will be banned from commerce or having a job or life.
[00:50:39.778 --> 00:50:42.300]  Now, the definition of a white supremacist is anyone that questions lockdowns,
[00:50:43.118 --> 00:50:56.387]  Anyone that questions January 6th, anyone that questions the election, anyone that questions, actually say it in that report I keep showing from June of this year, the new national directive by the President, or so-called President.
[00:50:56.387 --> 00:51:04.031]  And so now you see the rollout as we learn we're the terrorists, because we don't want to be locked down, because we don't want open borders, because we don't want all this happening.
[00:51:04.031 --> 00:51:04.692]  And you have to understand,
[00:51:05.939 --> 00:51:07.320]  It is ruthless people.
[00:51:07.320 --> 00:51:11.523]  Think about the type of people that knowingly want to place children.
[00:51:11.523 --> 00:51:12.384]  This is all over the U.S.
[00:51:12.384 --> 00:51:12.704]  as well.
[00:51:12.704 --> 00:51:15.967]  The U.S., through the CIA, had Germany do this.
[00:51:15.967 --> 00:51:18.569]  It was an occupied country in the West.
[00:51:18.569 --> 00:51:23.152]  And don't worry, the Russians did similar things, but not quite to that level in the East.
[00:51:23.152 --> 00:51:24.874]  But this is about mind control.
[00:51:24.874 --> 00:51:28.817]  If you can get people to torture little kids and rape little kids, you can get them to do anything.
[00:51:28.817 --> 00:51:30.358]  And so again, we've all heard of gangs that
[00:51:31.005 --> 00:51:42.135]  Okay, white supremacist gang, you got to go shoot a black person to get in, or some of the Hispanic gangs, you got to go shoot a rival gang to get in, or the black gangs, you got to go shoot another rival gang to get into it.
[00:51:42.135 --> 00:51:47.820]  Everybody knows to get even higher up, you got to knock over a liquor store and kill somebody or something like that.
[00:51:47.820 --> 00:51:50.322]  So we know we can trust you, you just murdered somebody.
[00:51:50.322 --> 00:51:52.844]  Now you're in the club because we're murderers too.
[00:51:52.844 --> 00:51:54.726]  That's low-level baby stuff.
[00:51:55.532 --> 00:52:10.224]  You know, the Italian Mafia, oh, you gotta, you know, kill at least three or four people, and we gotta know who you kill, be able to destroy you anytime, and come from the right family, so we know going back four or five generations, you know, that you're not gonna screw us over, or we'll kill your family.
[00:52:10.224 --> 00:52:16.689]  Those are like, you hear about organized crime on those levels, because that's baby stuff, ladies and gentlemen, that's child's play.
[00:52:16.689 --> 00:52:22.374]  The real stuff is in movies like Godfather 2, where they've moved their operations out to Reno,
[00:52:23.241 --> 00:52:26.122]  Uh, Nevada, and out to Lake Tahoe, and the U.S.
[00:52:26.122 --> 00:52:36.807]  Senator comes and says, I want millions of dollars, or I'm not going to let you have your gaming license out here, moving your family out here, Mr. Corleone, and they go, get out of here, we're not going to pay you.
[00:52:36.807 --> 00:52:39.628]  And then they drug the Senator, put him in a room with a dead hooker.
[00:52:39.628 --> 00:52:41.549]  That's exactly what goes on.
[00:52:41.549 --> 00:52:46.211]  That's low-level, that scene is like lightweight baby stuff, okay?
[00:52:46.849 --> 00:52:55.686]  Killing a hooker with heroin, drugging you with a drink, putting you in a hotel room with a dead hooker is entry-level stuff, okay?
[00:52:55.686 --> 00:52:56.888]  That is just entry-level.
[00:52:57.805 --> 00:53:00.967]  Because that's all based, Mario Puzo wrote that about real people.
[00:53:00.967 --> 00:53:02.328]  Those are all real characters, real people.
[00:53:02.328 --> 00:53:05.069]  That stuff really happened that you see in that book.
[00:53:05.069 --> 00:53:08.131]  Frank Sinatra, all the characters that you see in that are real people.
[00:53:08.131 --> 00:53:10.853]  The horse head getting cut off, put in the bed, that really happened.
[00:53:10.853 --> 00:53:12.033]  All that's real stuff, okay?
[00:53:12.033 --> 00:53:16.476]  Horse heads in beds, killing hookers, putting them in beds with senators.
[00:53:16.476 --> 00:53:19.558]  That's the opening level salvo.
[00:53:19.558 --> 00:53:21.419]  We've got to go to break.
[00:53:21.419 --> 00:53:22.980]  I'm going to come back and talk about how we defeat this.
[00:53:23.803 --> 00:53:32.247]  And talk about the big breaking border news, and get into weather control, and the rest of the story, since people now go, oh my god, it's on CBS News, they control the weather with antennas!
[00:53:32.247 --> 00:53:35.769]  Yeah, antennas are how they do it now.
[00:53:35.769 --> 00:53:38.870]  Everybody keeps thinking it's done with spraying.
[00:53:38.870 --> 00:53:43.892]  Spraying's old school, going on since the 1920s, perfected by Vietnam.
[00:53:43.892 --> 00:53:45.693]  By the 60s, they could control weather.
[00:53:45.693 --> 00:53:46.794]  That's all been declassified.
[00:53:46.794 --> 00:53:52.016]  But I'm going to give you the rest of the story of what they're currently doing when we come back, separately.
[00:53:52.927 --> 00:53:56.950]  I've extended it one week because they're having record food sales ready to ship food to you right now.
[00:53:56.950 --> 00:54:02.394]  But coming up, they may start having to wait a few weeks because there's that much of a demand as people figure out the world's breaking down.
[00:54:03.147 --> 00:54:06.469]  And they are buying up all the raw food.
[00:54:06.469 --> 00:54:08.250]  The grocery stores are buying it all up.
[00:54:08.250 --> 00:54:09.271]  They're jacking up prices.
[00:54:09.271 --> 00:54:11.572]  They're making the packages smaller.
[00:54:11.572 --> 00:54:14.834]  My Patriot Supply does not make your packages smaller.
[00:54:14.834 --> 00:54:16.635]  They're the same size as they ever were.
[00:54:16.635 --> 00:54:19.657]  You're getting 2,020 prices in 2021.
[00:54:19.657 --> 00:54:22.679]  They decided not to raise prices this year to totally dominate the market.
[00:54:22.679 --> 00:54:23.299]  I love them.
[00:54:23.299 --> 00:54:24.700]  They're awesome guys.
[00:54:24.700 --> 00:54:26.681]  They got the best food at the lowest price.
[00:54:26.681 --> 00:54:28.142]  Right now, they're even better than ever.
[00:54:28.142 --> 00:54:29.723]  The deals they've got blow everything away.
[00:54:30.791 --> 00:54:31.892]  The Globalists want you dependent.
[00:54:31.892 --> 00:54:33.213]  They want you under their control.
[00:54:33.213 --> 00:54:36.996]  A big thing you need is water filtration, air filtration, and storable foods.
[00:54:36.996 --> 00:54:39.418]  They've got them all at InfoWarsTore.com.
[00:54:39.418 --> 00:54:40.219]  They're in our back end.
[00:54:40.219 --> 00:54:41.100]  We're partnered with them.
[00:54:41.100 --> 00:54:47.185]  You get an additional 10% off their already lowest prices exclusively at InfoWarsTore.com.
[00:54:47.185 --> 00:54:51.669]  Get your orders in now, because if the Globalists are successful at accelerating the destabilization,
[00:54:52.669 --> 00:54:54.510]  By the fall, we could see major food shortages.
[00:54:54.510 --> 00:54:56.171]  Hell, we're already seeing it around the world.
[00:54:56.171 --> 00:54:56.991]  We're already seeing riots.
[00:54:56.991 --> 00:54:59.653]  We're already seeing empty store shelves in the Northeast.
[00:54:59.653 --> 00:55:01.613]  This is what the shutdown did.
[00:55:01.613 --> 00:55:03.174]  Shutdown 2 goes in.
[00:55:03.174 --> 00:55:05.395]  Most small businesses intend to never reopen.
[00:55:05.395 --> 00:55:12.619]  The chain reaction will be over the top, so I'm sad this is happening, but those of you that are informed should get ready now, and your purchase supports the InfoWars.
[00:55:12.619 --> 00:55:17.021]  So, InfoWarsStore.com, it will end on the 1st of August.
[00:55:17.021 --> 00:55:18.242]  I guess that's Monday or Sunday.
[00:55:18.242 --> 00:55:20.102]  It's 100% will end.
[00:55:20.102 --> 00:55:21.183]  We've extended it another week.
[00:55:21.900 --> 00:55:22.540]  But that's it.
[00:55:22.540 --> 00:55:26.182]  InfoWarsTore.com or AAA-253-3139.
[00:55:26.182 --> 00:55:34.307]  Also ending Sunday is the 50% off on the privacy pouches so your phones aren't tracked by the contact tracers, hackers, and other criminal groups.
[00:55:34.307 --> 00:55:39.250]  And we're going to be sold out at current rates on the dropper bottles of X2 within a week as well.
[00:55:39.250 --> 00:55:42.331]  That's still 40% off at InfoWarsTore.com.
[00:55:42.331 --> 00:55:46.674]  The good allergen for your stamina, your libido, your energy, but mainly your immune system.
[00:55:46.674 --> 00:55:47.414]  The Missing Link X2.
[00:55:50.795 --> 00:55:52.076]  Jacob in Ohio.
[00:55:52.076 --> 00:55:52.456]  Welcome.
[00:55:52.456 --> 00:55:52.896]  Go ahead.
[00:55:52.896 --> 00:55:54.197]  Hey, how's it going, Alex?
[00:55:54.197 --> 00:55:54.757]  Good, bro.
[00:55:54.757 --> 00:55:55.878]  Great last caller.
[00:55:55.878 --> 00:55:58.919]  I just wanted to start with plugging your sleep supplement.
[00:55:58.919 --> 00:56:04.622]  It's basically the only way I get sleep anymore with all the gaslighting, demoralization, and absurdity.
[00:56:04.622 --> 00:56:06.724]  It's like we're living in a twilight zone, man.
[00:56:06.724 --> 00:56:07.144]  All right.
[00:56:07.144 --> 00:56:08.424]  Eric in New Hampshire.
[00:56:08.424 --> 00:56:09.365]  Eric, thanks for calling.
[00:56:09.365 --> 00:56:09.545]  Go ahead.
[00:56:09.725 --> 00:56:11.267]  Hey Alex, thanks for taking my call.
[00:56:11.267 --> 00:56:14.291]  If I could, I just want to throw a quick plug out for the point of the product.
[00:56:14.291 --> 00:56:15.953]  The X-Tube does wonders.
[00:56:15.953 --> 00:56:17.094]  I recommend it to everybody.
[00:56:17.094 --> 00:56:18.276]  You're on the fence about it.
[00:56:18.276 --> 00:56:19.076]  Get off the fence.
[00:56:19.076 --> 00:56:19.958]  Get the product.
[00:56:19.958 --> 00:56:21.159]  Support the info war.
[00:56:21.159 --> 00:56:22.461]  Tyler in Maine.
[00:56:22.461 --> 00:56:23.121]  You're on the air.
[00:56:23.121 --> 00:56:23.682]  Thanks for rolling.
[00:56:23.682 --> 00:56:24.022]  Go ahead.
[00:56:24.022 --> 00:56:25.745]  Hey Alex, it's great to be on with you.
[00:56:25.745 --> 00:56:26.505]  It's an honor.
[00:56:26.505 --> 00:56:26.786]  Honor.
[00:56:26.786 --> 00:56:27.346]  Talk to you.
[00:56:27.346 --> 00:56:27.707]  Awesome.
[00:56:28.247 --> 00:56:32.049]  Uh, so, first thing I wanted to do is say I love the product.
[00:56:32.049 --> 00:56:34.150]  Alpha Power, even at 29.
[00:56:34.150 --> 00:56:36.412]  If you ask my better half, she loves it.
[00:56:36.412 --> 00:56:37.972]  Uh, and it helps in the bedroom.
[00:56:37.972 --> 00:56:39.573]  So, just number one for a few weeks.
[00:56:39.573 --> 00:56:40.634]  Well, it definitely works.
[00:56:40.634 --> 00:56:42.255]  It's not a joke.
[00:56:42.255 --> 00:56:53.101]  Absolutely.
