[00:00:10.659 --> 00:00:12.208]  Hi, Steve Adler.
[00:36:07.420 --> 00:36:10.182]  And they were like, well, we do it very professional.
[00:36:10.182 --> 00:36:13.003]  And again, that's how this is all done.
[00:36:13.003 --> 00:36:15.025]  It's very, oh, it's very matter-of-fact.
[00:36:15.025 --> 00:36:17.246]  But, oh, COVID is the scariest thing we ever saw!
[00:36:17.246 --> 00:36:19.867]  Two and a half million will be dead in two months!
[00:36:19.867 --> 00:36:21.408]  Everyone run for the hills!
[00:36:21.408 --> 00:36:21.989]  And then meanwhile,
[00:36:23.029 --> 00:36:26.111]  They exaggerated it 25 times what it actually was.
[00:36:26.111 --> 00:36:29.333]  And most of that's exaggerated numbers that they add of other people.
[00:36:29.333 --> 00:36:31.695]  And you see the headlines, COVID WAS WORSE THAN WE THOUGHT!
[00:36:31.695 --> 00:36:35.157]  ABC NEWS, CNN, DOCTORS OVERWHELMED!
[00:36:35.157 --> 00:36:36.898]  So much worse than they thought!
[00:36:36.898 --> 00:36:41.601]  All of it hype, all of it BS, and empty hospitals.
[00:36:41.601 --> 00:36:44.303]  But there are always real pneumonias, real flus, real death.
[00:36:44.303 --> 00:36:46.644]  And they're there saying all of that is this.
[00:36:46.644 --> 00:36:47.065]  Incredible.
[00:36:48.035 --> 00:36:50.336]  So let's go to just two minutes of the video.
[00:36:50.336 --> 00:37:04.202]  The full video is posted at band.video, the full interview, with this lady, this great nurse, from October 4th, 2015, confirming vaccines killing babies.
[00:37:04.202 --> 00:37:06.803]  In fact, we posted the video in full to InfoWars.com.
[00:37:06.803 --> 00:37:09.505]  Flashback nurse confirms vaccines killing babies.
[00:37:09.505 --> 00:37:11.085]  Here it is.
[00:37:11.085 --> 00:37:12.986]  I think we are doing them too young.
[00:37:12.986 --> 00:37:15.447]  I think we are doing way too many at once.
[00:37:15.447 --> 00:37:16.968]  If you just look at how fast
[00:37:17.697 --> 00:37:28.461]  The schedule has grown, but I think what a lot of people don't realize in a closed space like a NICU, is they've decided that we need to vaccinate these babies on time.
[00:37:28.461 --> 00:37:31.722]  Two months after they're born, bam, there it goes.
[00:37:31.722 --> 00:37:38.165]  This baby could be four months early and still supposed to be inside their mother and weighing three or four pounds.
[00:37:38.165 --> 00:37:39.045]  Oh, that's a good point.
[00:37:39.045 --> 00:37:41.646]  And getting the same amount of vaccine as a 200-pound man.
[00:37:41.646 --> 00:37:43.307]  And I've sat in a
[00:37:47.290 --> 00:37:54.273]  In a room with all of our on-call staff, physicians, and practitioners, like, oh wow, this is so embarrassing.
[00:37:54.273 --> 00:37:59.855]  This 25-weeker never actually required a breathing tube and going on the vent, you know, after he was born.
[00:37:59.855 --> 00:38:03.736]  He was so strong, but we gave him his two-month vaccinations and he got intubated last night.
[00:38:03.736 --> 00:38:05.457]  Ha ha ha, oop, how embarrassing.
[00:38:05.457 --> 00:38:06.077]  Like, it's funny.
[00:38:06.556 --> 00:38:07.196]  Wow.
[00:38:07.196 --> 00:38:14.460]  I mean, the step-down units are calling the NICU saying, hey, we're going to go ahead and give these four babies their two-month shots today.
[00:38:14.460 --> 00:38:25.625]  Make sure you have beds ready because we all know they're going to have increased breathing difficulty, feeding and digestion difficulty, apnea, you know, forgetting to breathe, and bradycardia.
[00:38:25.625 --> 00:38:28.607]  This is what goes on.
[00:38:28.607 --> 00:38:34.510]  So the whole medical ethic of first do no harm just goes out the door so they can follow the vaccine company's schedule.
[00:38:35.404 --> 00:38:42.007]  Somehow it's just everybody's on this straight, they're marching the line of this is what we need to do.
[00:38:42.007 --> 00:38:52.212]  And so now that I'm in private practice in the clinics, you just see these kids, they are so sick and they come in sick.
[00:38:52.212 --> 00:39:02.136]  And a lot of pediatricians are giving them vaccines while they're sick, even though that is a contraindication and they're just getting kicked farther down over and over and over again.
[00:39:02.136 --> 00:39:03.657]  So chronic ear infections,
[00:39:04.324 --> 00:39:06.865]  Of course, autism rate 1 in 64.
[00:39:06.865 --> 00:39:09.186]  Who knows what the number is going to be next.
[00:39:09.186 --> 00:39:10.406]  Yeah.
[00:39:10.406 --> 00:39:16.488]  Eczema, you know, all sorts of just asthma, all sorts of problems going on.
[00:39:16.488 --> 00:39:18.449]  And we just keep toeing the line.
[00:39:18.449 --> 00:39:20.049]  I really don't understand.
[00:39:20.049 --> 00:39:23.091]  Kicking them while they're down.
[00:39:23.091 --> 00:39:26.712]  Violating the indications on this, because they put the fine print, don't do it.
[00:39:26.712 --> 00:39:29.733]  But the bioethics board says it because they want to kill kids.
[00:39:29.733 --> 00:39:30.993]  They're in a death cult.
[00:39:30.993 --> 00:39:32.654]  This is a sick cult of freaks.
[00:39:33.809 --> 00:39:35.812]  I've had family that worked highest levels in the medical field.
[00:39:35.812 --> 00:39:36.953]  They told me about this when I was a kid.
[00:39:36.953 --> 00:39:38.135]  I didn't believe it.
[00:39:38.135 --> 00:39:41.158]  But there's probably 10% of these doctors that are part of this death cult.
[00:39:41.158 --> 00:39:44.322]  And they literally get sexual arousal out of killing babies and others.
[00:39:44.322 --> 00:39:47.086]  You always hear about the doctors they catch, the nurses they catch killing kids.
[00:39:47.086 --> 00:39:49.589]  Well, then that's just part of the cult and they get caught.
[00:39:49.589 --> 00:39:51.652]  Bill Gates is the leader of the death cult.
[00:39:51.652 --> 00:39:52.653]  He wants to kill you and your family.
[00:39:54.528 --> 00:40:00.390]  If you think 2020 has been an insane and dangerous year, just wait until you see the year 2021.
[00:40:00.390 --> 00:40:02.730]  I'm Alex Jones.
[00:40:02.730 --> 00:40:06.171]  I started InfoWars, but I couldn't have done any of this without you.
[00:40:06.171 --> 00:40:13.633]  And now InfoWars is more important than ever because the general population of the planet is weighing up the fact that we've done our research and we've been dead on.
[00:40:14.193 --> 00:40:24.817]  That's why it's so important for those of you out there that have supported the broadcasts and the websites and the films and all the rest of the information we put out to realize how important your work has been and to redouble your efforts.
[00:40:24.817 --> 00:40:26.617]  So I salute you and I thank you.
[00:40:26.617 --> 00:40:29.538]  Also, as Christmas is almost here, don't wait!
[00:40:29.538 --> 00:40:32.099]  Do your shopping at InfoWareStore.com.
[00:40:32.099 --> 00:40:34.820]  Get amazing good suitables that boost your immune system,
[00:40:35.340 --> 00:40:38.864]  And make your life so much better overall for adults and children.
[00:40:38.864 --> 00:40:42.227]  Get great water filtration, air filtration that enriches your life.
[00:40:42.227 --> 00:40:50.395]  Books, films, t-shirts, survival gear, storable food, locket pockets, privacy pouches, and so much more at infowarestore.com.
[00:40:50.395 --> 00:40:52.637]  And again, thank you all for your support and Merry Christmas.
[00:40:52.637 --> 00:40:52.977]  God bless.
[00:40:53.678 --> 00:40:59.004]  There is an economic war taking place of the ruling class to consolidate power and control.
[00:40:59.004 --> 00:41:09.355]  There's a headline out from Zero Hedge that breaks down Bloomberg numbers that global airlines are set to lose $157 billion this year by the end of December.
[00:41:09.355 --> 00:41:12.538]  It's already over $130 billion they've lost.
[00:41:12.538 --> 00:41:13.799]  Why would they take part?
[00:41:14.840 --> 00:41:18.962]  In the hoax, in the lockdown, in the hysteria, if it hurts them, we'll see.
[00:41:18.962 --> 00:41:21.624]  That'll knock out all the small airlines and consolidate control.
[00:41:21.624 --> 00:41:24.065]  And it's the same in every single industry.
[00:41:24.065 --> 00:41:26.246]  And the big megabanks have unlimited capital.
[00:41:26.246 --> 00:41:30.829]  They want to bankrupt the world economy in order to buy it up for pennies on the dollar.
[00:41:30.829 --> 00:41:35.351]  That's why the great stock market crash of 29 later turned out was engineered by some central banks.
[00:41:35.351 --> 00:41:37.733]  This is how the globalists take control.
[00:41:38.553 --> 00:41:49.397]  It starves the third world to death, makes the first world poor, it's economic warfare, and it gives cover to the big mega banks that created thousands of trillions of dollars in fake derivatives.
[00:41:49.397 --> 00:41:51.198]  Only the truth will set us free.
[00:41:51.198 --> 00:41:51.838]  InfoWars.com.
[00:41:55.524 --> 00:41:59.850]  The trick that social engineers use is very, very simple.
[00:41:59.850 --> 00:42:10.644]  They just teach us that the architecture of civilization, that the trajectory of a species is designed by these ever-knowing, loving, liberal technocrats.
[00:42:11.725 --> 00:42:14.488]  And that if we just sit back and enjoy the ride, everything will be great.
[00:42:14.488 --> 00:42:20.452]  But then they tell us that humans are obsolete, non-essential, that we're bad for the Earth, and we need to be phased out.
[00:42:20.452 --> 00:42:30.601]  So, they're very open about what they're doing, and they count on us just being very passive, living in the Matrix-like system that they're building.
[00:42:31.281 --> 00:42:38.482]  But what defines humans more than anything from the rest of the quote animal kingdom is that we control our environment.
[00:42:38.482 --> 00:42:40.603]  We build our own environments.
[00:42:40.603 --> 00:42:41.943]  We create our own systems.
[00:42:41.943 --> 00:42:48.444]  We really geoengineer and terraform the planet and its systems towards our aims.
[00:42:48.444 --> 00:42:53.065]  But instead, we're acting like animals, letting the globalists play the part of humans and us as cattle.
[00:42:53.065 --> 00:42:55.205]  And that's the trick.
[00:42:55.205 --> 00:42:57.446]  You must guard your humanity.
[00:42:57.446 --> 00:42:59.246]  You must guard your children's humanity.
[00:43:00.271 --> 00:43:03.053]  You must guard the very genetic code of the planet.
[00:43:03.053 --> 00:43:07.195]  The globalists have set themselves up as the guardians of this world.
[00:43:07.195 --> 00:43:11.558]  But they are the ones that are overriding every genetic system and poisoning the planet.
[00:43:11.558 --> 00:43:18.982]  They are the ones that are now engaged in genetic takeover of every human on Earth to the GMO crops.
[00:43:18.982 --> 00:43:21.463]  And now they've moved on to their main target.
[00:43:21.463 --> 00:43:25.946]  Humanity with the mRNA vaccines, which are not vaccines.
[00:43:25.946 --> 00:43:27.087]  They are recombinant DNA.
[00:43:28.294 --> 00:43:37.020]  From aborted, cloned fetuses who are then inserted into your genome to take over your body's systems.
[00:43:37.020 --> 00:43:44.085]  Go read the actual inserts for the mRNA vaccines and then remember you've been warned.
[00:43:44.085 --> 00:43:46.947]  This is the equivalent of an alien takeover.
[00:43:46.947 --> 00:43:53.131]  Whether it's interdimensional, whether it's little green men, the globalists are acting like another species that's overtaking us and overriding us.
[00:43:53.131 --> 00:43:54.052]  It's all the same in the end.
[00:43:57.930 --> 00:44:00.539]  You're listening to The Alex Jones Show.
[00:44:20.868 --> 00:44:24.632]  Well, you snap your fingers, and you're inside the New World Order.
[00:44:24.632 --> 00:44:33.980]  Whether you live in Europe, whether you live in the US, whether you live in Africa, whether you live in Latin America, whether you live in Asia, it's all the same global system, the same apps, the same big tech companies.
[00:44:33.980 --> 00:44:45.230]  They tell you you're not essential, they tell you you're a piece of garbage, and they tell you that it's going to be mandatory to have a vaccine, even though if you read the literature, anyone who's ever had a bad allergic response to peanuts,
[00:44:46.124 --> 00:44:51.806]  To bumblebees, to honeybees, to penicillin.
[00:44:51.806 --> 00:44:53.247]  They'll tell you.
[00:44:53.247 --> 00:44:58.709]  If you go into the hospital or go to the doctor, do you have a history of anaphylactic shock?
[00:44:58.709 --> 00:45:01.790]  I was just talking to my lawyer yesterday.
[00:45:01.790 --> 00:45:08.092]  He'd never had allergies, but he'd forgotten to take his penicillin after he got a tooth worked on.
[00:45:08.092 --> 00:45:12.394]  He doubled the dose and had a huge anaphylactic response and collapsed.
[00:45:12.394 --> 00:45:15.215]  Woke up a day later in the hospital, almost died.
[00:45:16.820 --> 00:45:20.681]  And they've told him, you can't take vaccines now.
[00:45:20.681 --> 00:45:25.003]  We had a lady worked here.
[00:45:25.003 --> 00:45:30.005]  She was going to go again to Vietnam.
[00:45:30.005 --> 00:45:32.146]  And this is about five years ago.
[00:45:32.146 --> 00:45:33.366]  They told her take all these shots.
[00:45:33.366 --> 00:45:34.366]  She took them.
[00:45:34.366 --> 00:45:39.408]  She collapsed, had medical problems, shut down her immune system for six months.
[00:45:39.408 --> 00:45:42.489]  She wore a mask here in the office and then she went and got another job.
[00:45:42.489 --> 00:45:43.810]  And by the way, never got to go to Vietnam.
[00:45:45.376 --> 00:45:58.579]  Again, two people that work here who get really mad if I even hint who they are, lost babies that were totally healthy on their second round of shots.
[00:45:58.579 --> 00:46:00.439]  One was a boy, one was a girl.
[00:46:00.439 --> 00:46:03.019]  These are real people.
[00:46:03.019 --> 00:46:05.520]  This is real.
[00:46:05.520 --> 00:46:10.501]  My grandmother was told she got polio from the vaccine from her doctor here in Austin in the 1950s.
[00:46:13.649 --> 00:46:17.171]  She lived a tortured life after that.
[00:46:17.171 --> 00:46:18.272]  She was a beauty queen.
[00:46:18.272 --> 00:46:19.833]  She was a wonderful person.
[00:46:19.833 --> 00:46:25.096]  It tortured the hell out of her for the rest of her life.
[00:46:25.096 --> 00:46:33.401]  So, they're normalizing coming after you with not even the old-fashioned tainted vaccines with cancer viruses and the rest of it.
[00:46:33.401 --> 00:46:36.963]  They're coming at you with a genetic re-engineering system
[00:46:38.308 --> 00:46:53.044]  And then Apple, Google, Facebook, and Twitter, when you put up the head of the EU advisory board, or you put up the former head science officer of Pfizer, saying this targets the uterus, they are banning it.
[00:46:53.044 --> 00:46:57.529]  They are aiding and abetting Joseph Mingala level depopulation.
[00:46:57.529 --> 00:47:00.152]  They are violently attacking us now.
[00:47:01.547 --> 00:47:03.669]  They are not liberals that are misguided.
[00:47:03.669 --> 00:47:21.963]  They are eugenicist death cult members at Google, at Facebook, at Twitter, run by Microsoft and IBM that created them all as sub front companies with the eugenics cults inside British US intelligence.
[00:47:21.963 --> 00:47:28.248]  And it's not our whole government, but this is a governmental directed system.
[00:47:28.248 --> 00:47:31.071]  And my dad, I knew, was involved in a lot of weird stuff.
[00:47:32.395 --> 00:47:42.260]  He never told me any of this until Endgame was almost done in 2007.
[00:47:42.260 --> 00:47:43.781]  We're going to a ballet recital.
[00:47:43.781 --> 00:47:51.205]  I've told the story 30 times probably for my first daughter.
[00:47:51.205 --> 00:47:59.769]  And my mom and dad sat there and watched the end of the movie that I was finishing the end.
[00:47:59.769 --> 00:48:01.890]  I make these films in linear and
[00:48:03.840 --> 00:48:06.382]  She goes, David, that's not true.
[00:48:06.382 --> 00:48:07.003]  Cause she knew.
[00:48:07.003 --> 00:48:08.564]  And he goes, oh, it's absolutely true.
[00:48:08.564 --> 00:48:09.805]  It's worse than that.
[00:48:09.805 --> 00:48:17.491]  So on the way to the ballet recital, 20 minutes away, he went ahead and just told us all about it.
[00:48:17.491 --> 00:48:22.435]  And it's something all of us already know.
[00:48:22.435 --> 00:48:25.478]  But they were recruiting the smartest high school students.
[00:48:25.478 --> 00:48:29.281]  There were six of them out of Texas, the group he was in, planned to at UT.
[00:48:29.281 --> 00:48:31.523]  And after he'd been in that for a while,
[00:48:33.715 --> 00:48:39.977]  We're not talking about interning where you give people coffee, like MD Anderson Cancer Research Facility when you're 15, 16 years old.
[00:48:39.977 --> 00:48:44.598]  Seeing people with their lower mandibles removed, you know, people that signed on to trials of lethal stuff.
[00:48:44.598 --> 00:48:48.200]  I mean, my dad was put right into the program, okay?
[00:48:48.200 --> 00:48:55.882]  And then the head of the botany department calls him in when he's 18 and says, we're setting up a world government.
[00:48:55.882 --> 00:48:56.682]  We're the elite.
[00:48:56.682 --> 00:48:57.983]  We're going to wipe out all the dumb people.
[00:48:57.983 --> 00:48:58.483]  Are you on board?
[00:48:59.855 --> 00:49:05.356]  Didn't tell me that till 2008 or whatever it was.
[00:49:05.356 --> 00:49:08.237]  So folks, this is the real world.
[00:49:08.237 --> 00:49:13.598]  And you can sit there and play games with it and rearrange deck chairs on the Titanic.
[00:49:13.598 --> 00:49:19.319]  But we engage in real wide spectrum analysis of systems and what the governing class is into.
[00:49:19.319 --> 00:49:20.879]  And we know their number.
[00:49:20.879 --> 00:49:23.740]  And now everything we told you, they're externalizing.
[00:49:23.740 --> 00:49:26.340]  And they're doing this.
[00:49:26.340 --> 00:49:28.021]  And you look at Congress, they're always 100 steps behind.
[00:49:29.895 --> 00:49:38.601]  Because they're lawyers, caught in their own little process, believing, like Chinese emperors, they're in charge, when they're not.
[00:49:38.601 --> 00:49:43.044]  Congress lives in the Forbidden City.
[00:49:43.044 --> 00:49:49.109]  And this is an allegory or a parallel to where we are now.
[00:49:49.109 --> 00:49:55.033]  You go back to the Qin Dynasty and all the rest of it, I've probably only read 20 books on Chinese history, I should read more.
[00:49:56.949 --> 00:49:59.390]  Not exaggerated, that's a small amount for me to read on that subject.
[00:49:59.390 --> 00:50:12.256]  I got too much into European history, too much into Mesoamerican and all sorts of other ones, but... Probably read more on Japan than I have on China, and China's so central and important, but it's the oldest centralized civilization.
[00:50:12.256 --> 00:50:24.341]  And starting about 4,000 years ago, over about 1,000 years, the kind of legalist class had learned how to tell the royalty, you're so powerful, and you're so important,
[00:50:25.185 --> 00:50:26.507]  That no one can see you.
[00:50:26.507 --> 00:50:31.112]  You're a god and you can't wipe your own butt and you can't take out your own trash.
[00:50:31.112 --> 00:50:32.553]  You can't feed yourself.
[00:50:32.553 --> 00:50:35.897]  So you got to have your feet bound because you've got to be carried because you're a god.
[00:50:35.897 --> 00:50:37.359]  You never touch the ground.
[00:50:37.359 --> 00:50:40.022]  You've got to wear little shoes so you can't walk.
[00:50:40.202 --> 00:50:40.842]  Prove it.
[00:50:40.842 --> 00:50:44.124]  You gotta have long fingernails so you can't feed yourself.
[00:50:44.124 --> 00:51:01.533]  And after about a thousand years of them slowly domesticating them and teaching them that they were elitist, they finally had literally mentally retarded Chinese emperors who would just sit there and couldn't wipe their own butts, and storytellers would come in and read them books all day.
[00:51:01.533 --> 00:51:05.255]  And then the legalist class, the power behind the throne, ran China.
[00:51:07.315 --> 00:51:09.256]  Well, Congress is almost like that.
[00:51:09.256 --> 00:51:10.736]  They don't know how things work.
[00:51:10.736 --> 00:51:12.397]  They don't know how things operate.
[00:51:12.397 --> 00:51:15.418]  They don't even know what's going on.
[00:51:15.418 --> 00:51:24.902]  And we're totally—they're all lawyers in fancy suits and ties, and big tech knows how to come lie to them and pay them money and make them feel important and fly them around on jets.
[00:51:24.902 --> 00:51:25.882]  They're idiots.
[00:51:25.882 --> 00:51:29.683]  They're lightweight morons.
[00:51:29.683 --> 00:51:30.924]  This is the data.
[00:51:30.924 --> 00:51:32.364]  This is how the world works.
[00:51:32.364 --> 00:51:33.325]  This is the nightmare.
[00:51:34.221 --> 00:51:42.166]  And now I always knew that when it finally went operational, people would have heard what I said and would go, Oh my God, it's true.
[00:51:42.166 --> 00:51:45.488]  And we are seeing a big awakening.
[00:51:45.488 --> 00:51:51.732]  But it isn't about myself getting vindicated.
[00:51:51.732 --> 00:51:55.895]  It is about the reality of what you are up against.
[00:51:57.250 --> 00:52:01.051]  They are telling all the sheeple that they are obsolete.
[00:52:01.051 --> 00:52:02.512]  They're telling them, though, everything will be fine.
[00:52:02.512 --> 00:52:05.573]  You'll be able to go outside again, have a job again, if you take the shot.
[00:52:05.573 --> 00:52:07.753]  Now they're like, no, the shot's coming, but that's not enough.
[00:52:07.753 --> 00:52:10.854]  You still another year of you're non-essential.
[00:52:10.854 --> 00:52:20.497]  So they're totally domesticated, never working again, to be totally obsolete, to then continue to take vaccines that totally sterilize them.
[00:52:20.497 --> 00:52:22.678]  And at a sick level of survival of the fittest, I'm like,
[00:52:24.431 --> 00:52:26.972]  Yeah, if you're dumb enough to buy into this, you deserve to be sterilized.
[00:52:26.972 --> 00:52:31.955]  I mean, and I'm really struggling with this, not because you can't beat him, join him.
[00:52:31.955 --> 00:52:38.199]  If the public fails this test, I guess Bill Gates is actually right.
[00:52:38.199 --> 00:52:49.866]  I mean, if you people really let them do this to you and let them kill babies with vaccines and let them do all that, then I just want to say something to the political class serving us that thinks they're cute.
[00:52:49.866 --> 00:52:50.366]  You're idiots.
[00:52:53.871 --> 00:52:58.996]  Because there is a God in this universe and there will be metaphysical punishment for what you've been involved in.
[00:52:58.996 --> 00:53:05.943]  And then if you look at Bill Gates and his family, the asters and all, they're horrible people.
[00:53:05.943 --> 00:53:07.004]  Their children are horrible.
[00:53:07.004 --> 00:53:08.445]  They're totally unhappy.
[00:53:08.445 --> 00:53:10.467]  They are just murderous creatures that want power.
[00:53:10.467 --> 00:53:12.489]  They're not trying to guard the earth.
[00:53:12.489 --> 00:53:14.271]  They just like the power and control over it.
[00:53:15.708 --> 00:53:16.969]  All right, I'm going to go to break.
[00:53:16.969 --> 00:53:20.272]  I'm not fun about Bill Gates or Ted Turner or George Soros.
[00:53:20.272 --> 00:53:21.253]  They're all the same group.
[00:53:21.253 --> 00:53:22.574]  The Good Club, as they call it.
[00:53:22.574 --> 00:53:23.875]  I'm funded by you.
[00:53:23.875 --> 00:53:25.176]  And where did my Block It Pockets go?
[00:53:25.176 --> 00:53:26.737]  I guess Owen took them in his studio.
[00:53:26.737 --> 00:53:28.979]  We've got these great little Faraday cages.
[00:53:28.979 --> 00:53:31.241]  They're like 99% good.
[00:53:31.241 --> 00:53:34.484]  If you're right under a cell tower, it'll still beam through it and get your location.
[00:53:34.484 --> 00:53:37.666]  Well, the Contact Tracers and the Globalist, we just got a bunch of these in this week.
[00:53:37.666 --> 00:53:38.827]  They were sold out for months.
[00:53:38.827 --> 00:53:39.788]  They're the highest quality.
[00:53:39.788 --> 00:53:40.929]  They're $19.95.
[00:53:40.929 --> 00:53:42.671]  People sell this exact same unit for $29.95 all day long.
[00:53:44.312 --> 00:53:46.413]  The reason we sell so many is we sell at the lowest price.
[00:53:46.413 --> 00:53:50.194]  You're going to find a high-quality locket pocket for your Droid or iPhone anywhere.
[00:53:50.194 --> 00:53:51.074]  You put it away.
[00:53:51.074 --> 00:53:52.595]  When you want to use it, you do.
[00:53:52.595 --> 00:53:54.635]  Doesn't matter if you turn your location services off.
[00:53:54.635 --> 00:53:55.476]  They're still tracking you.
[00:53:55.476 --> 00:53:56.156]  It's hardwired in.
[00:53:56.156 --> 00:53:56.976]  That's all admitted.
[00:53:56.976 --> 00:54:02.538]  So you've got to put it in a Faraday cage when you sleep at night, when you travel, when you go places, when you do something private.
[00:54:03.018 --> 00:54:08.365]  When you're, you know, going to do whatever it is you're doing, they are using the info against you.
[00:54:08.365 --> 00:54:12.110]  So, InfoWars Privacy Pouch, back in stock with InfoWars printed on it.
[00:54:12.110 --> 00:54:13.291]  100% reviews.
[00:54:13.291 --> 00:54:18.578]  InfoWarsStore.com, the ultimate stocking stuffer, the ultimate gift for yourself or your family or friends.
[00:54:18.578 --> 00:54:19.239]  Get a bunch of them.
[00:54:20.526 --> 00:54:21.767]  Make like nine bucks a piece on them.
[00:54:21.767 --> 00:54:23.429]  That's how little the markup is.
[00:54:23.429 --> 00:54:25.430]  And it funds our operation.
[00:54:25.430 --> 00:54:26.531]  And we've got other big sales.
[00:54:26.531 --> 00:54:27.132]  Free shipping.
[00:54:27.132 --> 00:54:28.813]  We've got X2.
[00:54:28.813 --> 00:54:30.154]  We've got Alpha Power.
[00:54:30.154 --> 00:54:32.016]  We've got so many great things.
[00:54:32.016 --> 00:54:32.797]  Like Prostagard.
[00:54:32.797 --> 00:54:35.479]  It's got all the other vitamins and minerals for everybody in them.
[00:54:35.479 --> 00:54:36.099]  Back in stock.
[00:54:36.099 --> 00:54:37.801]  The Christmas Super Sale.
[00:54:37.801 --> 00:54:38.822]  Up to 60% off.
[00:54:38.822 --> 00:54:40.343]  Get your orders in before the 18th.
[00:54:40.343 --> 00:54:42.225]  And make sure you get delivery before Christmas.
[00:54:44.622 --> 00:54:45.042]  The U.S.
[00:54:45.042 --> 00:54:55.389]  Postal Service tells InfoWars that as long as you get your order in by December 18th, and we're able to ship it out by that date, you will get it anywhere in the United States before Christmas.
[00:54:55.389 --> 00:54:56.549]  But listen, don't wait.
[00:54:56.549 --> 00:54:58.891]  Do your shopping at InfoWarsStore.com.
[00:54:58.891 --> 00:55:01.912]  Get great products and fund the InfoWars.
[00:55:01.912 --> 00:55:06.115]  Now at the most critical time, not just in InfoWars history, but this country's history.
[00:55:06.115 --> 00:55:07.576]  You have invested in InfoWars.
[00:55:07.916 --> 00:55:16.700]  You've prayed for us, you've spread the word, you've bought the products, and you've gotten the benefits of the information warfare, of the truth, in the fight against the globalists.
[00:55:16.700 --> 00:55:25.464]  But now is the time to redouble all our efforts in praying for a Great Awakening, which is starting to happen, in spreading the word about it, fullwars.com, newswars.com.
[00:55:26.224 --> 00:55:26.845]  We're good to go.
[00:55:44.605 --> 00:55:58.594]  The Pope came out yesterday and announced a global government corporate alliance to redistribute wealth and create a planetary universal income, which of course the United Nations and global corporations will control through the apps on your phone and finally a chip under your skin.
[00:55:58.594 --> 00:56:00.616]  It's all now completely official.
[00:56:00.616 --> 00:56:05.419]  Part of the UN Great Reset of the Davos Group and Klaus Schwab.
[00:56:05.979 --> 00:56:13.304]  All officially written about in hundreds of books by Schwab and Rockefeller Foundation, all the rest of them, agenda 21, agenda 2030, it's here.
[00:56:13.304 --> 00:56:18.688]  And only gets worse, like being fed into a wood chipper, or a meat grinder, until you reject it all.
[00:56:20.487 --> 00:56:26.813]  And the rejection starts with realizing it's a spiritual battle, good versus evil, and stopping abortion.
[00:56:26.813 --> 00:56:28.994]  We must start valuing human life again.
[00:56:28.994 --> 00:56:35.900]  We must start saying that we are not expendable, that we are not disposable, that we are essential.
[00:56:35.900 --> 00:56:38.643]  Until we do that, we are all slaves.
[00:56:38.643 --> 00:56:42.086]  We must stand up and declare our basic God-given human rights now.
[00:56:47.481 --> 00:56:50.093]  You're listening to The Alex Jones Show.
[00:57:17.137 --> 00:57:19.482]  All right, we're back.
[00:57:19.482 --> 00:57:22.908]  We've got Ezra Levant joining us next segment.
[00:57:22.908 --> 00:57:24.972]  He did a four-year request.
[00:57:24.972 --> 00:57:27.056]  He's being harassed by Justin Trudeau.
[00:57:28.476 --> 00:57:30.397]  The guy that said the Great Reset's here.
[00:57:30.397 --> 00:57:34.140]  Let's get that clip ready next segment for the UN Takeover.
[00:57:34.140 --> 00:57:37.242]  And they got a bunch of documents, I guess they accidentally didn't redact it.
[00:57:37.242 --> 00:57:38.843]  These documents were already public.
[00:57:38.843 --> 00:57:45.087]  But they got a bunch of documents, 30-something pages, about Chinese troops coming in to learn the secrets of the Canadian military.
[00:57:45.087 --> 00:57:50.851]  The Canadian military secretly blocked it, and Trudeau threw a temper tantrum because he's a Chi-Com globalist.
[00:57:50.851 --> 00:57:52.773]  That's all coming up next segment.
[00:57:53.433 --> 00:57:57.375]  That ties into Swallow's Well and ties into Hunter Biden.
[00:57:57.375 --> 00:57:59.156]  In fact, get that Hunter Biden clip with him.
[00:57:59.156 --> 00:58:00.936]  I met with the top Chinese spy chief!
[00:58:00.936 --> 00:58:02.957]  I'm under criminal investigation!
[00:58:02.957 --> 00:58:03.738]  My daddy!
[00:58:03.738 --> 00:58:06.499]  My poppy poppy!
[00:58:06.499 --> 00:58:06.659]  So...
[00:58:07.935 --> 00:58:10.037]  Ezra Levant, joining us next segment.
[00:58:10.037 --> 00:58:11.719]  Let's just play a few of these clips, though.
[00:58:11.719 --> 00:58:12.920]  They all go together.
[00:58:12.920 --> 00:58:16.024]  This is a New York lawmaker introduces a bill to make vaccine mandatory.
[00:58:16.024 --> 00:58:22.530]  Of course, they're not going to take it, so there's always loopholes, where if you have an allergy or illness or whatever, you don't have to, but they won't tell the public that.
[00:58:22.530 --> 00:58:23.832]  It's all about fraud upon fraud.
[00:58:25.162 --> 00:58:28.103]  Violates the Nuremberg Code, Geneva Convention, you name it.
[00:58:28.103 --> 00:58:39.407]  And then let's play the clip of Carrie Mullis, the PCR inventor, who right before all this started said Fauci was a fraud, and they shouldn't be getting ready to use it, and then he mysteriously died.
[00:58:39.407 --> 00:58:45.189]  Another big whistleblower just died, who said she would never commit suicide if exposed Big Pharma and the vaccines.
[00:58:45.189 --> 00:58:49.751]  But let's play the local newscast, and then let's play this inventor of PCR tests.
[00:58:50.384 --> 00:58:56.748]  We've all been waiting for a vaccine because that is part of the solution to moving our lives ahead.
