[00:00.000 --> 00:22.000]  Waging war on corruption. It's Alex Jones. Coming to you live from the front lines of the Info War.
[28:53.000 --> 29:03.000]  Are we choosing our own destiny, or has it been pre-selected for us?
[29:03.000 --> 29:09.000]  As we've moved through history, every great leader has had to understand the potential of information.
[29:09.000 --> 29:16.000]  Billions of dollars have been spent privately and publicly looking at how to tap into your psyche.
[29:16.000 --> 29:21.000]  From compulsory state education to the Hollywood media brainwashing machine,
[29:21.000 --> 29:26.000]  we are kept in perpetual bondage to the ideas that shape our actions.
[29:26.000 --> 29:31.000]  When somebody obscures that feedback loop between you observing and testing it out and verifying it,
[29:31.000 --> 29:33.000]  they can take total control of your awareness.
[29:33.000 --> 29:36.000]  All of this is happening so fast, you need to be ahead of the game.
[29:36.000 --> 29:43.000]  How to engineer the opinion of the American people so that they would not only endorse but demand a war.
[29:43.000 --> 29:46.000]  Out of another one, another plane to set.
[29:46.000 --> 29:54.000]  Get your copy of State of Mind The Movie at infowars.com
[29:54.000 --> 29:59.000]  and remember, every order at infowarsstore.com receives a free citizen rulebook.
[29:59.000 --> 30:05.000]  Introducing Pro 1. All of your filtration in one system portable on the go.
[30:05.000 --> 30:09.000]  No more do you have two or three filters to just reduce sodium fluoride.
[30:09.000 --> 30:17.000]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilic acid advanced manufacturing technology
[30:17.000 --> 30:22.000]  combines silver impregnated white ceramic with new aqua medics advanced media
[30:22.000 --> 30:26.000]  a removal of fluoride and other heavy metals all in one filter element.
[30:26.000 --> 30:29.000]  It is the only one that does it and out of the gates.
[30:29.000 --> 30:33.000]  We have it discounted at 10% off with promo code water.
[30:33.000 --> 30:42.000]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine,
[30:42.000 --> 30:48.000]  hydrofluorosilic acid, the most common form of fluoride not covered by other fluoride filter brands,
[30:48.000 --> 30:50.000]  and sodium hexafluorosilicate.
[30:50.000 --> 30:55.000]  Get your Pro Pure with a new Pro 1 filter today at infowarsstore.com
[30:55.000 --> 30:59.000]  or by calling 888-253-3139.
[30:59.000 --> 31:07.000]  Calben soap company can save you thousands of dollars and give you good old fashioned real soap that is triple concentrated
[31:07.000 --> 31:11.000]  and made from the highest quality vegetable and coconut oils.
[31:11.000 --> 31:15.000]  See them on the web www.5starsope.com
[31:15.000 --> 31:22.000]  or call 1-800-340-7091 for a free catalog and buy American made products.
[31:22.000 --> 31:29.000]  Order the sampler, a one to two month supply or get a one to two year supply of soaps for all your cleaning needs.
[31:29.000 --> 31:32.000]  You're getting soap products twice as good as what you're using now.
[31:32.000 --> 31:37.000]  This is an amazing deal and you will love the way real soap makes your skin feel.
[31:37.000 --> 31:44.000]  Call 1-800-340-7091 or visit www.5starsope.com.
[31:44.000 --> 31:49.000]  Alex and his staff have used these earth friendly pure soaps for years.
[31:49.000 --> 31:54.000]  See them on the web www.5starsope.com
[31:54.000 --> 32:20.000]  or call 1-800-340-7091 for a catalog.
[32:25.000 --> 32:30.000]  You'll get 24 hour protection for just $14.99 a month.
[32:30.000 --> 32:33.000]  There are no hidden fees and no contracts.
[32:33.000 --> 32:37.000]  You'll save thousands plus you're protected by their 100% money back guarantee.
[32:37.000 --> 32:41.000]  Protect yourself against home invasions and break ins.
[32:41.000 --> 32:47.000]  Order your simply safe system now and receive a wireless keychain remote, a $25 gift free.
[32:47.000 --> 32:50.000]  So don't waste your time dealing with scum.
[32:50.000 --> 33:00.000]  Visit www.getsimplysafe.com
[33:00.000 --> 33:03.000]  Coast to coast direct from Austin.
[33:03.000 --> 33:31.000]  You're listening to the Alex Jones Broadcasting Network.
[33:31.000 --> 33:33.000]  I'm David Knight filling in for Alex.
[33:33.000 --> 33:36.000]  Alex is going to be joining us in the second hour.
[33:36.000 --> 33:42.000]  But if you'd like to call in the show, our number is 877-789-2539.
[33:42.000 --> 33:48.000]  We're going to be taking calls. That number again is 877-789-2539.
[33:48.000 --> 33:52.000]  Now I mentioned at the beginning of the show about a new surgical honey.
[33:52.000 --> 33:54.000]  I wanted to make a correction about that.
[33:54.000 --> 33:57.000]  That was actually something that was tested in Hampshire hospitals.
[33:57.000 --> 34:00.000]  That I mentioned it as being New Hampshire.
[34:00.000 --> 34:04.000]  It was actually the old Hampshire, the Hampshire in England.
[34:04.000 --> 34:09.000]  And it's in the British National Health System was actually testing this.
[34:09.000 --> 34:12.000]  It's a surgical honey. They call it a surgical honey.
[34:12.000 --> 34:14.000]  They say it is bioengineered.
[34:14.000 --> 34:17.000]  So I don't know how that differs from regular honey.
[34:17.000 --> 34:21.000]  They say that honey to some extent has been used for quite some time to treat wounds.
[34:21.000 --> 34:26.000]  But something else has been used for quite some time to treat wounds has been silver.
[34:26.000 --> 34:30.000]  That's available to you now. The surgical honey is not available.
[34:30.000 --> 34:33.000]  But silver is. And you can get new supernatural silver.
[34:33.000 --> 34:38.000]  It's a safe and effective means of killing pathogens where antibiotics and other drugs fail.
[34:38.000 --> 34:43.000]  Because they're using antibiotics so often that bugs are building up an immunity to it.
[34:43.000 --> 34:46.000]  But silver is something that has always been very effective in terms of treating wounds,
[34:46.000 --> 34:50.000]  in terms of helping to kill bacteria, to aid healing.
[34:50.000 --> 34:54.000]  If you want more information about how supernatural silver can protect you and your family,
[34:54.000 --> 34:59.000]  go to www.supernaturalsilver.com and use the promo code Alex says.
[34:59.000 --> 35:04.000]  That's A-L-E-X-S-A-Y-S and get 20% off.
[35:04.000 --> 35:09.000]  Now we were just talking before the break about these terror alerts.
[35:09.000 --> 35:15.000]  And it's kind of interesting because people don't really think about what's going on with the NSA.
[35:15.000 --> 35:17.000]  A lot of people are outraged about what's going on.
[35:17.000 --> 35:20.000]  There's some people who are informed, some early adopters,
[35:20.000 --> 35:23.000]  but the general public just doesn't see what's going on.
[35:23.000 --> 35:26.000]  There was a comedian that we had, and what was the guy's name again, guys?
[35:26.000 --> 35:28.000]  I can't remember his name.
[35:28.000 --> 35:32.000]  We showed this video where he was going around, and he had a set of headphones,
[35:32.000 --> 35:37.000]  and he had a mic on a boom, and he would walk over and put it over people's heads.
[35:37.000 --> 35:41.000]  And he would tell them, and basically like he's recording them,
[35:41.000 --> 35:48.000]  and he's in a black suit, like men in black, and he's got sunglasses on, like some kind of an intelligence agent.
[35:48.000 --> 35:51.000]  And people were immediately taken back because they could see what was happening.
[35:51.000 --> 35:57.000]  They don't see when their email is being intercepted, when it's being stored, when it's being datamined.
[35:57.000 --> 36:02.000]  They don't see when this type of stuff is happening, and they don't think it's anything they should really get afraid of.
[36:02.000 --> 36:06.000]  But you know, Tom Mabe? Yeah, that's a comedian.
[36:06.000 --> 36:13.000]  It was a really funny piece, and you know, it was showed how comedy and satire can really wake people up to a truth.
[36:13.000 --> 36:15.000]  I mean, it was very, very effective.
[36:15.000 --> 36:18.000]  But people look at this and they say, well, I don't have anything to hide.
[36:18.000 --> 36:22.000]  I don't care if the IRS is looking at my, or the NSA is looking at my stuff.
[36:22.000 --> 36:28.000]  Well, actually there's some breaking news here about the IRS is now targeting small businesses.
[36:28.000 --> 36:31.000]  And one of the ways that they're doing it is with data mining.
[36:31.000 --> 36:37.000]  Small business owners across the country are receiving letters from the IRS questioning if they're reporting all their cash income.
[36:37.000 --> 36:42.000]  It's a new push by the agency that some are saying could unnecessarily create fear in the small business community.
[36:42.000 --> 36:45.000]  The IRS would never want to create fear, would they?
[36:45.000 --> 36:49.000]  I mean, they basically feed off of it like vampires feed off of blood.
[36:49.000 --> 36:51.000]  I mean, the IRS is all about fear.
[36:51.000 --> 36:55.000]  But anyway, what they're doing is they're sending out these letters that are not audit letters,
[36:55.000 --> 36:58.000]  but they're saying it's a notification of possible income reporting.
[36:58.000 --> 37:08.000]  Now, an accountant says, this is Fran Coet, who's quoted in the article by the Wall Street Journal, says,
[37:08.000 --> 37:16.000]  there are many reasons why, even if you're the most honest taxpayer, you're not going to match what credit card records show.
[37:16.000 --> 37:23.000]  Because, for example, she says when a company sells a gift card, it does not count for accounting purposes as a sale at that time.
[37:23.000 --> 37:29.000]  They don't count it as a sale in most accounting systems until that card is actually cashed in and something is purchased with it.
[37:29.000 --> 37:33.000]  But according to the credit card companies, it shows up as a sale.
[37:33.000 --> 37:36.000]  It shows up as income to those businesses.
[37:36.000 --> 37:39.000]  So the IRS comes in and says there's a discrepancy.
[37:39.000 --> 37:44.000]  Even if that's all there is to it, you still have to take time out of your business.
[37:44.000 --> 37:45.000]  You've got to pay an accountant.
[37:45.000 --> 37:47.000]  You've got to do it yourself if you're a very small business.
[37:47.000 --> 37:54.000]  You've got to take the time to go and prove your innocence to the IRS because you were, of course, guilty if they accuse you of something.
[37:54.000 --> 37:56.000]  You don't have the presumption of innocence.
[37:56.000 --> 37:59.000]  They don't have to prove that a crime has been committed.
[37:59.000 --> 38:03.000]  You have to prove to them that a crime hasn't been committed.
[38:03.000 --> 38:11.000]  The IRS, the EPA, the DEA, all these agencies, they have basically turned our form of government on its head.
[38:11.000 --> 38:15.000]  You're presumed to be guilty until you prove your innocence.
[38:15.000 --> 38:18.000]  That's basically the presumption that the TSA has.
[38:18.000 --> 38:19.000]  You're all guilty.
[38:19.000 --> 38:26.000]  You're all terrorist until you let them stick their hands down your pants, which presumably proves that you are now innocent,
[38:26.000 --> 38:29.000]  even though maybe you've lost your innocence at that point.
[38:29.000 --> 38:34.000]  You know, the purpose of the IRS has always been about fear mongering. The purpose of the IRS has never been about generating revenue.
[38:34.000 --> 38:37.000]  It's always been about controlling you.
[38:37.000 --> 38:44.000]  And of course, the money that the IRS gets is money that just pays the interest on the national debt.
[38:44.000 --> 38:52.000]  That was proven by the Reagan Administration's Grace Commission, and it is no coincidence that the IRS was created at the same time the Federal Reserve was.
[38:52.000 --> 38:59.000]  Basically, the United States has been on an interest-only note payment to the big banks for about 100 years now.
[38:59.000 --> 39:03.000]  And we're going to see if they're going to call the note or not.
[39:03.000 --> 39:08.000]  But it's not just these types of things. It's not just the fear mongering that the government is doing.
[39:08.000 --> 39:14.000]  Look at this new crime wave that the FBI admitted this last week.
[39:14.000 --> 39:17.000]  News of a new crime wave broke this week.
[39:17.000 --> 39:22.000]  A criminal organization admitted that it committed over 5,600 crimes in a year.
[39:22.000 --> 39:26.000]  Violent crimes, drug manufacturing and trafficking, and political corruption.
[39:26.000 --> 39:29.000]  That criminal organization, the FBI.
[39:29.000 --> 39:36.000]  In a story reported by USA Today, licensed criminals, FBI informants, authorized to break the law 5,600 times in one year.
[39:36.000 --> 39:41.000]  They reported in at least 5,658 cases in a single year alone,
[39:41.000 --> 39:50.000]  the FBI authorized its informants to commit crimes varying from selling drugs to plotting robberies according to a copy of the FBI report obtained by USA Today.
[39:50.000 --> 39:57.000]  After much redacting by the authorities, the Watered Down FBI's 2011 report obtained under the Freedom of Information Act
[39:57.000 --> 40:06.000]  has revealed that agents had been authorizing 15 crimes a day on average in order to get the necessary information from their informants.
[40:06.000 --> 40:11.000]  The document does not indicate the severity of the crimes authorized by the agency,
[40:11.000 --> 40:16.000]  nor does it include material about violations that were committed without the government's permission.
[40:16.000 --> 40:25.000]  It just cites a number of 5,658 Tier 1 and Tier 2 infractions committed by criminals to help the Bureau battle crime.
[40:25.000 --> 40:32.000]  This is what the FBI says without any sense of irony, what would otherwise be illegal activities.
[40:32.000 --> 40:40.000]  And of course the ATF and the DEA admit to doing the same thing, but they say they have no idea how many incidents happened.
[40:40.000 --> 40:44.000]  What are Tier 1 crimes? According to the Department of Justice,
[40:44.000 --> 40:51.000]  misdemeanors or felonies under federal state or local law if, quote, engaged in by a person acting without authorization,
[40:51.000 --> 40:57.000]  unquote, including acts of violence, corrupt conduct by senior federal state or local public officials,
[40:57.000 --> 41:04.000]  or the manufacturing, importing, exporting, possession or trafficking and control substances of certain quantities.
[41:04.000 --> 41:09.000]  A convicted pimp, extortionist, car thief, and all-around thug.
[41:09.000 --> 41:15.000]  But an ABC News investigation found that Manny Shapayev is not in prison for life,
[41:15.000 --> 41:22.000]  but living a life of luxury and fast cars in Florida, thanks to his work as a government witness and FBI informant.
[41:22.000 --> 41:28.000]  An allegation that Shapayev's FBI agent Handler not only tried to interfere in the murder investigation,
[41:28.000 --> 41:30.000]  but took lavish gifts and cash.
[41:30.000 --> 41:36.000]  The FBI's supervisor over this says, it sounds like a lot, but you have to keep that in context.
[41:36.000 --> 41:38.000]  So what is the context?
[41:38.000 --> 41:45.000]  As far as drug trafficking, we know that poppy production in Afghanistan for three years in a row has broken previous record productions.
[41:45.000 --> 41:52.000]  Afghanistan under U.S. occupation has gone from providing 10% of the world's supply to 90%.
[41:52.000 --> 41:57.000]  But another way, since U.S. occupation, drug production is 40 times higher,
[41:57.000 --> 42:01.000]  and that translates to one million additional deaths.
[42:01.000 --> 42:04.000]  Have these opium fields, and we are tolerating it.
[42:04.000 --> 42:07.000]  We are tolerating the cultivation of the opium.
[42:07.000 --> 42:09.000]  The lemma it is with the opium trade.
[42:09.000 --> 42:11.000]  They make so much money off the opium.
[42:11.000 --> 42:18.000]  And just yesterday, news broke that the U.S. Air Force transported 24 tons of cocaine from Costa Rica to Miami
[42:18.000 --> 42:23.000]  with a stop along the way in Nicaragua, just like when Reagan was funding the Contras with cocaine.
[42:23.000 --> 42:27.000]  So much for the war on drugs, which is actually a war of drugs.
[42:27.000 --> 42:33.000]  A war conducted by the federal government against the American people and against our rights, where they manufacture and ship in.
[42:33.000 --> 42:37.000]  Well, that's part of the report. You can see that full report on the nightly news.
[42:37.000 --> 42:41.000]  You can see it on the archives on Prison Planet TV. You can also see it on YouTube.
[42:41.000 --> 43:07.000]  We'll be right back.
[43:11.000 --> 43:13.000]  We are what we eat.
[43:41.000 --> 44:09.000]  With over 3,000 years of historic use, pure silver continues to be one of nature's most reliable and effective agents against fighting viruses,
[44:09.000 --> 44:14.000]  mold, fungus, bacteria, pathogens, and parasites.
[44:14.000 --> 44:22.000]  At Silver Lungs, we have developed a reliable and easy to use full production system for creating endless pure nano-silver solutions
[44:22.000 --> 44:25.000]  right from the convenience and comfort of your home.
[44:25.000 --> 44:30.000]  Your self-produced nano-silver solutions can be applied topically to the skin.
[44:30.000 --> 44:34.000]  For many who are new to silver that wish to try silver for the first time,
[44:34.000 --> 44:40.000]  we offer a full line of consumables and cosmetics, such as our 2-ounce nano-silver nasal sprays,
[44:40.000 --> 44:46.000]  our nano-silver soap, and our most popular product, the all-natural nano-silver gel.
[44:46.000 --> 44:54.000]  Visit www.silverlungs.com to learn more about the industry-leading technology of the Silver Lungs system.
[44:54.000 --> 44:59.000]  That's www.silverlungs.com.
[44:59.000 --> 45:04.000]  There's a false sense of security that the greatest economic crash since the Great Depression is over.
[45:04.000 --> 45:10.000]  But unemployment is still at a 20-year high, and until Americans are working again, the economy has not recovered.
[45:10.000 --> 45:12.000]  What is the smartest investment you can make?
[45:12.000 --> 45:13.000]  It's food.
[45:13.000 --> 45:20.000]  Having a supply of e-foods direct 25-year shelf-life food is your best investment for the Trouble Times today and the future.
[45:20.000 --> 45:25.000]  For 32 years, the folks at e-foods direct have helped thousands take the trouble out of Trouble Times.
[45:25.000 --> 45:30.000]  So to celebrate our 32-year anniversary, get the best insurance possible with a special one-time offer,
[45:30.000 --> 45:34.000]  a two-month food supply for only $320 and free shipping.
[45:34.000 --> 45:41.000]  That's 352 servings of our newest and most popular award-winning recipes at less than $1 per serving.
[45:41.000 --> 45:45.000]  The 25-year shelf-life allows you to lock your food cost against inflation.
[45:45.000 --> 45:50.000]  Call 800-409-5633 or go to e-foodsdirect.com slash alex.
[45:50.000 --> 45:59.000]  The two-month supply is only available for a limited time. Call 800-409-5633 or go to e-foodsdirect.com slash alex.
[45:59.000 --> 46:07.000]  Dozens of diseases ranging from the common cold and flu to MRSA and pneumonia are all caused by infectious pathogens.
[46:07.000 --> 46:11.000]  Fortunately, a simple, safe and effective alternative exists.
[46:11.000 --> 46:21.000]  Supernatural silver is a new and vastly improved type of silver solution that is safe and extremely effective against 143 types of bacteria,
[46:21.000 --> 46:28.000]  both forms of viruses, mold and yeast, and a limited number of parasites. It can even purify water.
[46:28.000 --> 46:33.000]  Supernatural silver comes in both liquid and gel for internal or external use.
[46:33.000 --> 46:41.000]  With over 180 scientific studies by independent universities, hospitals, research institutions and nursing homes,
[46:41.000 --> 46:45.000]  Supernatural silver is a powerful weapon in the fight against disease.
[46:45.000 --> 46:53.000]  To see how Supernatural silver can give you and your loved ones protection and peace of mind, go to supernaturalsilver.com.
[46:53.000 --> 47:00.000]  Use the promo code PROTECTED for 20% off and like us on Facebook.
[47:00.000 --> 47:09.000]  Coast to coast, direct from Austin. You're listening to the Alex Jones Broadcasting Network.
[47:30.000 --> 47:36.000]  In the next hour, we're going to be talking about some of the developments that happened this last week in the War on Terror.
[47:36.000 --> 47:40.000]  Now, we were just playing before the break. We were playing a special report.
[47:40.000 --> 47:45.000]  I think it was last Monday that USA Today broke this story.
[47:45.000 --> 47:57.000]  Basically, there were 5600 crime incidents in 2011 that the FBI admitted were allowed to be conducted by informants in their program.
[47:57.000 --> 48:04.000]  Now, these were serious crimes. These are Tier 1 and Tier 2. Tier 1 crimes are things like violent crime,
[48:04.000 --> 48:10.000]  corruption of political officials, as well as the manufacturing and trafficking of drugs.
[48:10.000 --> 48:14.000]  And in that special report, we talked about how, and Alex has mentioned this many times,
[48:14.000 --> 48:21.000]  but you can see the clips from it was Geraldo Rivera who went to Afghanistan and was talking about what a dilemma.
[48:21.000 --> 48:26.000]  You know, they've got this tough thing. They don't like poppy seeds, but there's just so much money in it.
[48:26.000 --> 48:29.000]  So, they're allowing the farmers to do this.
[48:29.000 --> 48:35.000]  But we know that once NATO forces got there, the Taliban had not been dealing drugs.
[48:35.000 --> 48:38.000]  The Taliban had been stopping the production of poppies.
[48:38.000 --> 48:41.000]  It had gone down to only 10% of the world's supply.
[48:41.000 --> 48:51.000]  After NATO got there, now for the last three years, we've had record production of poppy in Afghanistan under NATO supervision
[48:51.000 --> 49:01.000]  and with NATO assistance and with the CIA running it, being one of the biggest drug smugglers and mafia organizations in the world.
[49:01.000 --> 49:10.000]  They now have gone from 10% of the world's production of poppies to 90% of the world's production of poppy,
[49:10.000 --> 49:13.000]  which is used to make heroin and other types of drugs like that.
[49:13.000 --> 49:21.000]  And then cocaine. We had 24 tons of cocaine being flown in from Costa Rica this last week.
[49:21.000 --> 49:24.000]  And the Costa Rica government was complaining about that.
[49:24.000 --> 49:26.000]  The Americans just kind of came in and commandeered it.
[49:26.000 --> 49:31.000]  They flew it in. They didn't file any paperwork saying that it was destroyed.
[49:31.000 --> 49:34.000]  And coincidentally, they stopped in Nicaragua.
[49:34.000 --> 49:43.000]  Remember when they used cocaine trafficking to fund their secret contra wars? The Reagan administration? The big drug warriors? The zero-tolerance Reagan administration?
[49:43.000 --> 49:45.000]  Remember when they did that?
[49:45.000 --> 49:49.000]  This is the kind of corruption that leads us to call this a war of drugs.
[49:49.000 --> 49:57.000]  And we have many former law enforcement agents as well as retired prosecutors who are speaking out against that,
[49:57.000 --> 50:03.000]  who are talking about the corruption and talking about how prohibition simply does not work.
[50:03.000 --> 50:06.000]  It doesn't get rid of it any more than alcohol prohibition did.
[50:06.000 --> 50:12.000]  So regardless of the negative consequences of these drugs, we're not saying that cocaine and heroin are good things.
[50:12.000 --> 50:18.000]  We're just saying that once you start prohibition, you now have the same problems that you did before
[50:18.000 --> 50:23.000]  and another whole set of problems in terms of drug cartels being built up in Mexico,
[50:23.000 --> 50:27.000]  throughout Central and South America, throughout Afghanistan.
[50:27.000 --> 50:32.000]  You have this secret funding that is going on for all kinds of terrorist organizations.
[50:32.000 --> 50:37.000]  You have corruption of the government in all these different countries, including the United States.
[50:37.000 --> 50:45.000]  All of that is happening. All of those are byproducts of prohibition regardless of how bad these substances are.
[50:45.000 --> 50:49.000]  Now, we see that there's real fear in the government.
[50:49.000 --> 50:56.000]  There's real fear that people are losing their confidence in the stories that the government's been telling us about the war on terror,
[50:56.000 --> 50:58.000]  about the war on drugs.
[50:58.000 --> 51:04.000]  And one of the persons who is really concerned about that, of course, is Senator McCain,
[51:04.000 --> 51:09.000]  who basically has built his entire career on fear mongering.
[51:09.000 --> 51:15.000]  And he's very concerned. He says that right now, there's a kind of generational change.
[51:15.000 --> 51:18.000]  Young Americans do not trust this government.
[51:18.000 --> 51:21.000]  And without trusting government, you can't do a lot of things.
[51:21.000 --> 51:23.000]  That's exactly right, Senator McCain.
[51:23.000 --> 51:29.000]  You're trying to get people to wake up to the scam that you've been running so they don't blindly trust your lies,
[51:29.000 --> 51:34.000]  so that there's a lot of things that you've been doing that are killing people, that are violating the Constitution,
[51:34.000 --> 51:39.000]  that are destroying the fundamental legal groundwork of this country, you and Lindsey Graham.
[51:39.000 --> 51:41.000]  And we're going to wake people up to that.
[51:41.000 --> 51:44.000]  We're going to get people to understand that they can't trust what you're saying.
[51:44.000 --> 51:47.000]  They can't trust this fear mongering that you're creating.
[51:47.000 --> 51:51.000]  That was one of the things in the report talking about the war on terror that we didn't get to.
[51:51.000 --> 51:54.000]  And that is the dictionary definition of terrorism.
[51:54.000 --> 52:02.000]  The dictionary definition of terrorism is using fear and terror to achieve political goals.
[52:02.000 --> 52:06.000]  Now, if that's not what the government is doing, what are they doing?
[52:06.000 --> 52:12.000]  I mean, everything that has happened in the last week with all of these bogus warnings about somewhere,
[52:12.000 --> 52:15.000]  somewhere in the world we don't know when, we don't know where, we don't know how,
[52:15.000 --> 52:17.000]  but it's going to be really, really big.
[52:17.000 --> 52:20.000]  And you should all be very much afraid because the government is going to be there to protect you.
[52:20.000 --> 52:22.000]  That is nothing but terrorism.
[52:22.000 --> 52:25.000]  It's a kind of, if we want to call it a soft kind of terrorism,
[52:25.000 --> 52:28.000]  but it is still a form of propaganda.
[52:28.000 --> 52:30.000]  It's a form of terrorism.
[52:30.000 --> 52:38.000]  And it's all being done to try to keep people from being concerned about these violations of their fundamental rights,
[52:38.000 --> 52:39.000]  being done by the NSA.
[52:39.000 --> 52:43.000]  And now, of course, we've been told all along that there's a lot of oversight about this
[52:43.000 --> 52:45.000]  and we really shouldn't be worried about it.
[52:45.000 --> 52:52.000]  Let's listen to what President Obama just told us this last week in a press conference.
[52:52.000 --> 52:58.000]  Having said that, though, if you are outside of the intelligence community,
[52:58.000 --> 53:03.000]  if you are the ordinary person and you start seeing a bunch of headlines saying,
[53:03.000 --> 53:09.000]  US, Big Brother, looking down on you, collecting telephone records, et cetera,
[53:09.000 --> 53:13.000]  well, understandably, people would be concerned.
[53:13.000 --> 53:19.000]  I would be, too, if I wasn't inside the government.
[53:19.000 --> 53:22.000]  We should just blindly trust him, shouldn't we?
[53:22.000 --> 53:24.000]  You know, the founders had a response to that.
[53:24.000 --> 53:28.000]  They knew that people were going to come along and try to get dictatorial powers
[53:28.000 --> 53:30.000]  and they were going to say, just trust us.
[53:30.000 --> 53:35.000]  And they said, put no trust in man, but bind them down with the chains of the Constitution.
[53:35.000 --> 53:37.000]  Now, one of the ways that they tell us that we're supposed to trust them is they say,
[53:37.000 --> 53:39.000]  oh, we've got congressional oversight.
[53:39.000 --> 53:41.000]  That also would not be true.
[53:41.000 --> 53:43.000]  They would be lying about that as well.
[53:43.000 --> 53:46.000]  Glenn Greenwald reported last week with a Guardian said,
[53:46.000 --> 53:49.000]  members of Congress have been denied access to basic information about the NSA.
[53:49.000 --> 53:52.000]  We've got a couple of congressmen here that are complaining about this.
[53:52.000 --> 53:57.000]  They say these programs are subject to congressional oversight and congressional reauthorization
[53:57.000 --> 54:00.000]  and congressional debate, said the President.
[54:00.000 --> 54:04.000]  However, members of Congress are unaware of the very existence of these programs
[54:04.000 --> 54:08.000]  and two members of the House, a GOP member and a Democrat member.
[54:08.000 --> 54:11.000]  The GOP would be Morgan Griffith of Virginia.
[54:11.000 --> 54:14.000]  The Democrat would be Representative Alan Grayson of Florida.
[54:14.000 --> 54:19.000]  They have provided the Guardian with numerous letters and emails documenting their persistent
[54:19.000 --> 54:23.000]  but unsuccessful efforts to learn about these NSA programs
[54:23.000 --> 54:26.000]  and about relevant FISA court rulings.
[54:26.000 --> 54:30.000]  Now, the simple fact of the matter is we have a secretive court like a star chamber
[54:30.000 --> 54:34.000]  that is making these secretive rulings that even the congressmen cannot see.
[54:34.000 --> 54:39.000]  However, we do know that some of these FISA rulings have ruled that what the government is doing,
[54:39.000 --> 54:42.000]  what the NSA is doing, is not even allowed.
[54:42.000 --> 54:45.000]  So this is a secretive court that doesn't have a jury.
[54:45.000 --> 54:49.000]  It doesn't have an oppositional dynamic to it like a real court would have.
[54:49.000 --> 54:54.000]  And of course, they believe that they're coming up with decisions that alter our constitution.
[54:54.000 --> 54:57.000]  Now, even the real Supreme Court doesn't have that power,
[54:57.000 --> 54:59.000]  but they believe that's what they're doing.
[54:59.000 --> 55:01.000]  And yet, we're not allowed to see those decisions.
[55:01.000 --> 55:04.000]  The Congress is not even allowed to see those decisions.
[55:04.000 --> 55:08.000]  And yet, we're supposed to blindly trust Obama in this.
[55:08.000 --> 55:10.000]  This is absolutely amazing.
[55:10.000 --> 55:15.000]  These are repealing fundamental structures that have been put in place
[55:15.000 --> 55:19.000]  going back to the Middle Ages in English and American traditional common law.
[55:19.000 --> 55:26.000]  And this fundamental legal structure is being destroyed in the name of protecting us
[55:26.000 --> 55:30.000]  in the name of saying that we're going to keep you safe.
[55:30.000 --> 55:34.000]  And one of the ways that they put this, in this article where they're quoting John McCain,
[55:34.000 --> 55:36.000]  this was from the Washington Times,
[55:36.000 --> 55:44.000]  they said the NSA's data collection efforts have led to a debate on national security versus privacy.
[55:44.000 --> 55:47.000]  That is not the opposition there.
[55:47.000 --> 55:48.000]  That is not the dynamic.
[55:48.000 --> 55:52.000]  You don't have a trade-off between national security and privacy.
[55:52.000 --> 55:55.000]  There isn't some kind of zero-sum game here.
[55:55.000 --> 55:59.000]  If you don't have privacy, you are going to become a slave.
[55:59.000 --> 56:03.000]  So the question is between privacy and slavery.
[56:03.000 --> 56:04.000]  Do you understand?
[56:04.000 --> 56:08.000]  It's privacy versus slavery, not privacy versus security.
[56:08.000 --> 56:14.000]  If you give up your freedoms and your constitutional guarantees of protection of innocent till proven guilty,
[56:14.000 --> 56:19.000]  due process, all of these things, having an open trial or open proceedings
[56:19.000 --> 56:23.000]  instead of these secretive star chamber courts that nobody is allowed to see,
[56:23.000 --> 56:28.000]  if we go down that dark path, we may never come back as a country.
[56:28.000 --> 56:33.000]  Certainly not come back without some kind of a horrible revolution.
[56:33.000 --> 56:37.000]  This is the sort of thing that has been fought and won hundreds of years ago.
[56:37.000 --> 56:42.000]  And we are seeing these things falling very rapidly, like dominoes in America.
[56:42.000 --> 56:46.000]  All of our protections as citizens are being taken away.
[56:46.000 --> 56:53.000]  And of course we're being told like in Elysium that everything will be solved if you just become a citizen.
[56:53.000 --> 56:55.000]  You're going to get health care and all that sort of thing.
[56:55.000 --> 56:59.000]  Well, guess what? The people on the ground had Obamacare, as Rob Duke pointed out,
[56:59.000 --> 57:02.000]  but they didn't have anywhere near like the Obamacare the people in Elysium had.
[57:02.000 --> 57:05.000]  And we're going to talk about that right after we come back.
[57:05.000 --> 57:34.000]  So stay tuned.
[57:35.000 --> 57:53.000]  Every three seconds someone becomes a victim of identity theft.
[57:53.000 --> 57:58.000]  We also hear news stories every day about the NSA spying on U.S. citizens.
[57:58.000 --> 58:02.000]  It is now more important than ever to protect yourself and your information on the Web.
[58:02.000 --> 58:06.000]  PrivateInternetAccess.com is a virtual private network service
[58:06.000 --> 58:10.000]  that can encrypt your internet connection while hiding your IP address.
[58:10.000 --> 58:15.000]  Their service also provides firewall protection in order to prevent data mining and unwanted exposure.
[58:15.000 --> 58:18.000]  They keep no records of your web browsing history.
