[00:00.000 --> 00:10.000]  Hello, this is Hank Hill, and I'm telling you what, you need to listen to Alex Jones.
[31:59.000 --> 32:05.000]  The globalist social engineers are not just targeting us with propaganda. They are manipulating our genetics.
[32:05.000 --> 32:14.000]  They are being targeted at every level by estrogen mimickers that lower our testosterone and other hormones and natural compounds that the body needs.
[32:14.000 --> 32:30.000]  After consulting top doctors, nutritionists, pharmacists, and others, we have developed what I believe is the ultimate non-GMO organic supermail vitality formula sourced from powerful organic herbs and then concentrated for maximum potency.
[32:30.000 --> 32:38.000]  Supermail vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[32:38.000 --> 32:44.000]  Supermail vitality by InfoWarsLife is so powerful that I only take half the recommended dose.
[32:44.000 --> 32:53.000]  For a limited time, we are offering 15% of SupermailVitality at InfoWarsLife.com to introduce you to this powerful supplement.
[32:53.000 --> 33:00.000]  Visit InfoWarsLife.com today to secure your supermail vitality, InfoWarsLife.com.
[33:24.000 --> 33:35.000]  It was three years ago that I sent Paul Watson, who works for us from London, working on InfoWars.com and PrismPlanet.com.
[33:35.000 --> 33:42.000]  And he's now a guest on Michael Savage, Coast to Coast AM, BBC.
[33:42.000 --> 33:48.000]  He's been offered his own TV shows. I told him, go ahead and take them.
[33:48.000 --> 33:58.000]  I sent him to Switzerland and we had three and a half million viewers over three days on the Ustream he did covering Bilderberg.
[33:58.000 --> 34:05.000]  Three and a half million views on an iPhone 4. Not to mention the millions of listeners every day when it's on the radio.
[34:05.000 --> 34:17.000]  How is the dinosaur media going to tell you Bilderberg group and global government doesn't exist and special interests don't exist when I can send somebody with a $250 phone?
[34:17.000 --> 34:24.000]  And we can have, granted the data package was like $10,000 from Switzerland though to do all that video streaming.
[34:24.000 --> 34:33.000]  But still, three and a half million viewers for $10,000, count the airfare in hotel, maybe $15,000, $20,000, I don't know.
[34:33.000 --> 34:42.000]  The point is, is that normally to have three and a half million viewers, you would have to spend on average $300,000, $400,000.
[34:42.000 --> 34:50.000]  I've been in national TV production. I mean, I'm on two History Channel and Discovery Channel, two on History Channel, two on Discovery Channel right now.
[34:50.000 --> 34:55.000]  I haven't even watched my shelf on these shows. They just come to the interviews, people tell me they see them.
[34:55.000 --> 35:00.000]  Book of Secrets, there's a bunch of others. So I'm not here bragging, hey, I'm this big media guy.
[35:00.000 --> 35:10.000]  It's just that I'm explaining mainstream media does not matter to me because I can have a real unfiltered conversation with you.
[35:10.000 --> 35:17.000]  I can give you complex ideas and get your complex ideas back. That's what I'm looking for is long dialogue, long discussions, complex discussions.
[35:17.000 --> 35:27.000]  That's what's going to save us, not little sound bites of, you know, Alex Jones talking about the Masons or the New World Order on mainstream television where it's compartmentalized.
[35:27.000 --> 35:38.000]  I still do it because it brings people to MfoldWars.com. It brings them this radio show and you're saying, why are you getting into media when we're talking about what happened out in Nevada?
[35:38.000 --> 35:46.000]  We just joined us two different standoffs with armed police under federal orders to shoot and kill people.
[35:46.000 --> 35:56.000]  And the last one ended at about five o'clock yesterday with me chewing my fingernails here in Austin, watching David Knight, our reporter and the cameraman,
[35:56.000 --> 36:04.000]  Josh Owens with the Fox News cameraman, march at the head of hundreds of cowboys on horses and over a thousand people total,
[36:04.000 --> 36:13.000]  men, women and children with militia, normal citizens, military vets and clearly active duty people.
[36:13.000 --> 36:19.000]  And David talked to some of them. They were what I thought. I said, those people up there standing around Bundy and some of those guys.
[36:19.000 --> 36:24.000]  I mean, those are like real operators. I mean, you could just see them. And I said, wow, and I could see their faces, their body language.
[36:24.000 --> 36:32.000]  It was not infiltrators. It was real. I mean, we had real people there ready to, if the fed shot people, they were going to have a war right there.
[36:32.000 --> 36:36.000]  They weren't looking for a war. Everybody had their guns down going, go ahead, kill us.
[36:36.000 --> 36:43.000]  I mean, that takes incredible courage and the feds stood down with live video feeds going back to Lainley, Virginia and back to the White House.
[36:43.000 --> 36:51.000]  You can bet your bottom dollar. Stealing 600,000 acres. They already stole all the other acreage. That sounds like a lot, folks.
[36:51.000 --> 36:59.000]  You need 50 to 100 acres or more depending on the desert per cow than to get enough food.
[36:59.000 --> 37:04.000]  600,000 acres in the desert is nothing. He had like 800 head of cattle. They stole about 400 of them.
[37:04.000 --> 37:10.000]  And so they said, we're leaving. Okay, you can still range on the land if they destroyed his windmills and water tanks.
[37:10.000 --> 37:16.000]  He said, no, sheriff. I don't care if the BLM put a press release out. They got one hour to release my cows.
[37:16.000 --> 37:22.000]  They'll come running back to the broken water tanks. I can go fix them before they all die.
[37:22.000 --> 37:26.000]  And they said, no, and a bunch of them had already died out in the heat.
[37:26.000 --> 37:30.000]  And so he said, that's it, folks. Saddle up. We're going in. We're going over. And they show up.
[37:30.000 --> 37:35.000]  And there are the feds in paramilitary outfits. We're going to show the video here in a moment.
[37:35.000 --> 37:39.000]  Pointing their guns at everybody.
[37:39.000 --> 37:47.000]  Saying, we will shoot you. We will kill you if you cross the line. Well, the people did and they backed down.
[37:47.000 --> 37:52.000]  And they kept their guns down. I'd say maybe half the people from what I saw were carrying guns.
[37:52.000 --> 38:02.000]  Women, you name it. Old, young, black, white. And by the time they got down there, there were the paramilitary police shaking with their guns pointed at them.
[38:02.000 --> 38:07.000]  These are people that were tasering women for no reason days before attacking old men, beating people up.
[38:07.000 --> 38:12.000]  That videotaped the snipers aiming at the Bundy house. They wanted to intimidate everybody.
[38:12.000 --> 38:17.000]  Don't you get it? Americans aren't intimidated by all this. Not real Americans.
[38:17.000 --> 38:24.000]  That's why all these vets and current military showed up who loved their families.
[38:24.000 --> 38:38.000]  I mean, you think all those men, women and children, you think all those old ranchers, you think all those military men that were out there suited up, wanted to have their guns at their side and march towards the police who were saying, we're going to kill you?
[38:38.000 --> 38:45.000]  We have the audio. It's coming up. All loudspeakers, we're going to shoot.
[38:45.000 --> 38:53.000]  They said, you know what? We're not cowards like you. And the feds were hiding, shaking behind their vehicles, shaking behind their vehicles.
[38:53.000 --> 39:02.000]  We have high-deaf video of it. Scared. This was almost at Tiananmen Square, but instead of the tanks running over the people, the tanks stood down.
[39:02.000 --> 39:07.000]  They had multiple giant black armored vehicles. They had an Iraq. They've been bringing into fight locals.
[39:07.000 --> 39:24.000]  Now confirmed, it's for that. And of course, the big reason, when this happened Friday, when we learned Friday that it was a Harry Reid Chinese government land grab and that the main solar farm, just like Solyndra, was going to be based in his ranch where he has the service rights on record,
[39:24.000 --> 39:27.000]  registered with the state as the governor admits.
[39:27.000 --> 39:40.000]  I told the feds to stand down. They still didn't. He has those rights and they didn't want to pay him for them. They offered him paltry sums 10 years ago and again, four years ago to sell out his rights.
[39:40.000 --> 39:45.000]  And he said, I can't live off that. Plus, I've been here forever. No.
[39:45.000 --> 39:54.000]  And so their answer was just two weeks ago, nearby, they shot a kid on a bicycle, a teenager, who didn't stop on his 10 speed BLM shot him in the back.
[39:54.000 --> 40:04.000]  I mean, imagine there's no one out there, but BLM, they're not controlling the border and they just come over and harass you. I've been harassed by the BLM.
[40:04.000 --> 40:15.000]  When I was at Big Bend last year, I told the story, rude, mean, mean, not just mean to me, being rude to people who ask them directions.
[40:15.000 --> 40:24.000]  These are childlike people, folks. You've got a gun in a uniform and you're not polite to women asking directions. You're bugging your eyes out and puffing up your shoulders.
[40:24.000 --> 40:30.000]  That's the opposite of a guardian, the opposite of a warrior, an opposite of a peacekeeper, the opposite of a peace officer.
[40:30.000 --> 40:36.000]  Well, you just think because peace officers are honorable and friendly and are nice little kids, they're wimps.
[40:36.000 --> 40:40.000]  Take the fictitious character based on a lot of real sheriffs of Matt Dillon.
[40:40.000 --> 40:46.000]  Was Matt Dillon a wimp because he was nice? Would Matt Dillon run around stirring up fights with people for no reason?
[40:46.000 --> 40:53.000]  No, no, the truth is, ladies and gentlemen, the citizens would love police if they acted more like police of old.
[40:53.000 --> 41:02.000]  They were never perfect. Nobody's perfect. But this imperious paramilitary aggressive attitude, people are done, folks. They're done.
[41:02.000 --> 41:11.000]  And the most imperious group is the feds. Now, I said I'd play this clip this segment. I'll do it next because this is just so historic.
[41:11.000 --> 41:24.000]  And the reason I got off into Paul Watson and the media is it doesn't matter if MSNBC and CNN didn't cover what really happened and said Bundy was just a thief basically out there squatting on land and not paying range fees.
[41:24.000 --> 41:26.000]  The facts are out.
[41:26.000 --> 41:34.000]  We have more people on a Ustream feed when Drudge links to it, DrudgeReport.com, than CNN has viewers at that time.
[41:34.000 --> 41:43.000]  Don't you people get it? Infowars.com usually gets a million visitors a day. The numbers just came in today. Guess how many visitors we had yesterday?
[41:43.000 --> 41:50.000]  Take a little wild guess. 5 million unique IP addresses. 5 million, 100 something thousand.
[41:50.000 --> 42:01.000]  President Planet usually gets 300, 400,000 over a million. My Facebook's millions. Twitter, 100. We are the media, folks. People haven't figured that out yet.
[42:01.000 --> 42:09.000]  Infowars is big any day of the week. You add Drudge, the powerhouse. See, Drudge doesn't cover what the mainstream media says cover. Sometimes he does.
[42:09.000 --> 42:18.000]  He covers what he thinks is important. You've got feds tasering and beating up women for no reason and people that try to have free speech and hold up signs on the side of the highway in the middle of the desert.
[42:18.000 --> 42:27.000]  Well, Drudge starts linking to it because he doesn't like that. He likes freedom. He has empathy with people being abused because he knows deep down he can be abused too.
[42:27.000 --> 42:36.000]  Just like I do. See, we're all in this together. And so thanks to WorldNet Daily, Drudge, others, this became the number one story in the world.
[42:36.000 --> 42:43.000]  Infowars.com stories were in the top 10 every day last week. Number one yesterday, number one today. Go to the aggregator. We have an article about it.
[42:43.000 --> 42:53.000]  Number one story in the world. In the world. In the world is a land rights fight. See, we're capturing the imagination. And we're showing the mainstream media is broken and dead.
[42:53.000 --> 42:58.000]  And we're showing people in high death marching against men with guns. This is incredible.
[42:58.000 --> 43:03.000]  A chemical spill contaminating the water supply in nine West Virginia counties.
[43:03.000 --> 43:07.000]  This year alone, over 300,000 people in West Virginia had their drinking water contaminated.
[43:07.000 --> 43:11.000]  What are the health effects of having these drugs in our drinking water?
[43:11.000 --> 43:14.000]  It's forced medical treatment without the consent of residents.
[43:14.000 --> 43:21.000]  My friends, water filtration is one of the most basic actions you can take to protect you and your family from the harmful toxins and heavy metals in your tap water.
[43:21.000 --> 43:25.000]  On average, the county says it sprays with glyphosate at least once a week.
[43:25.000 --> 43:30.000]  Few filters cut out the glyphosates that is found in water supplies worldwide.
[43:30.000 --> 43:36.000]  Remove pesticides, herbicides, chloramines, hydrofluorosalic acid, sodium hexafluorosilicate.
[43:36.000 --> 43:41.000]  All right, it is in tea, it's in coffee, it's in water, it's in bread, it's in toothpaste.
[43:41.000 --> 43:45.000]  It is our responsibility to protect our families. The establishment's not going to do it.
[43:45.000 --> 43:48.000]  It's time to take action. It's time to filter our water.
[43:48.000 --> 43:55.000]  Visit infowarstore.com and use promo code WATER to get 10% off their entire family of incredible products.
[43:55.000 --> 43:59.000]  Or call toll-free 888-253-3139.
[43:59.000 --> 44:06.000]  From the water table to our soils to the atmosphere itself, our world is becoming more and more toxic each and every day.
[44:06.000 --> 44:08.000]  But it's not just the air outside that's toxic.
[44:08.000 --> 44:14.000]  Indoor air has been shown to have two to five times higher concentrations of pollutants than even outdoor air.
[44:14.000 --> 44:19.000]  And most Americans spend 90% of their time inside using toxic chemicals within their homes.
[44:19.000 --> 44:22.000]  There are more than 42 million smokers in the United States.
[44:22.000 --> 44:31.000]  Well over a thousand types of mold in mildew linked to numerous conditions. And don't forget the fact that 6 million Americans live with pets they're allergic to as well.
[44:31.000 --> 44:41.000]  When I began to research these statistics, it was clear to me it was time to start cleansing my lungs in order to combat the toxic environment that we cannot escape but that we can fight back against.
[44:41.000 --> 44:46.000]  Made with organic and wild cultivated herbs and manufactured in the USA.
[44:46.000 --> 44:52.000]  The new InfoWars Life Lung Cleans is here in a convenient spray bottle that can be brought with you throughout any toxic environment.
[44:52.000 --> 44:59.000]  Now available exclusively at infowarslife.com or by calling toll-free 888-253-3139.
[44:59.000 --> 45:02.000]  This is Alex Jones for infowarslife.com.
[45:02.000 --> 45:10.000]  The latest in preparedness is now here, an electrically stabilized colloidal silver solution that can be added to both your home cabinet and preparedness pack alike.
[45:10.000 --> 45:15.000]  Concentrated to 30 parts per million in what has been dubbed the survival silver solution.
[45:15.000 --> 45:25.000]  The new InfoWars Life Silver Bullet Colloidal Silver is the answer for you and your family and it's entirely free of toxic artificial additives that are loaded into many products.
[45:25.000 --> 45:34.000]  The InfoWars Life Silver Bullet Silver is so powerful that it is concentrated into a two ounce body and is not recommended for extended continual use.
[45:34.000 --> 45:36.000]  This is not a low grade formula.
[45:36.000 --> 45:49.000]  We are working with one of the top laboratory manufacturers in the United States to bring you the best form of colloidal silver using electrical processes within a base of deionized water for your preparedness storage.
[45:49.000 --> 46:10.000]  For your home kitchen purchase your bottle of infowarslife.com Silver Bullet Colloidal Silver today and find other amazing supplements at infowarslife.com.
[46:10.000 --> 46:13.000]  We are partnering this year with the NFL.
[46:13.000 --> 46:21.000]  The NFL has become a political weapon against the Second Amendment and pushes Obamacare. MSNBC tells us that our children belong to the state.
[46:21.000 --> 46:28.000]  We have to break through our kind of private idea that kids belong to their parents or kids belong to their families and recognize that kids belong to whole communities.
[46:28.000 --> 46:37.000]  It is more important than ever to realize that we are not the alternative media. We are the true media. The establishment dinosaur press is dying.
[46:37.000 --> 46:41.000]  We are in an information war and we are losing that war.
[46:41.000 --> 46:45.000]  Join us at infowarsnews.com and prisonplanet.tv.
[46:45.000 --> 46:48.000]  Members can share their memberships with up to 11 people.
[46:48.000 --> 46:56.000]  By subscribing you will literally be buying war bonds in the info war to expand our operation in the face of the tyrants.
[46:56.000 --> 47:19.000]  Join us at www.prisonplanet.tv.
[47:19.000 --> 47:26.000]  The raging war on corruption is Alex Jones.
[47:26.000 --> 47:31.000]  And the season for liberty.
[47:31.000 --> 47:37.000]  Again, this is about the mainstream media not being able to lie and spin. It's about government not having credibility.
[47:37.000 --> 47:45.000]  It's about more than half the west being under federal control, 90% of Nevada, 80% of other states in many of those areas.
[47:45.000 --> 47:51.000]  And they're just kicking everybody off. They're tearing up the roads. They're kicking people off that had grazing rights.
[47:51.000 --> 47:56.000]  People that actually own the property, they're kicking off, who have ranches inside these areas.
[47:56.000 --> 48:00.000]  And it's a stated agenda to get us off and get us dependent.
[48:00.000 --> 48:03.000]  While beef is at all time high.
[48:03.000 --> 48:13.000]  But because of the new real media, we're not the alternative media, we are bigger in most cases than mainstream media.
[48:13.000 --> 48:18.000]  When it comes to news, where we're not bigger is entertainment. That dwarfs everything and that's where the real propaganda is at.
[48:18.000 --> 48:22.000]  And more and more I'm trying to focus on showing propaganda that's in entertainment.
[48:22.000 --> 48:28.000]  All the anti-gun, new world order garbage that you see in TV and movies.
[48:28.000 --> 48:32.000]  But just John Baum was talking about this, everybody I've talked to.
[48:32.000 --> 48:40.000]  I ran into two cops on the street who said good job, you know, with what happened out in Nevada.
[48:40.000 --> 48:47.000]  And then I ran into somebody last night who heard a cop listening to my show, video feeds yesterday.
[48:47.000 --> 48:50.000]  And he was all excited that nobody got hurt and was for the ranchers, obviously.
[48:50.000 --> 48:55.000]  And then John Ballin. John Ballin, I tell folks what you saw yesterday.
[48:55.000 --> 49:01.000]  Yeah, I was just driving around yesterday, having my day off and I was listening to the local rock station, KLBJ.
[49:01.000 --> 49:02.000]  93.7.
[49:02.000 --> 49:10.000]  And Bito, the local DJ, went to a break and started talking about the, and I'll show it right here for viewers.
[49:10.000 --> 49:15.000]  The article by Kit Daniels about the FAA designates Bunny Ranch and no flies.
[49:15.000 --> 49:19.000]  So the local station was plugging our article. And then tell folks when you got home.
[49:19.000 --> 49:22.000]  And then I got home in a completely unrelated search.
[49:22.000 --> 49:25.000]  I have a Blu-ray player hooked up to a cable system. It's a little complicated.
[49:25.000 --> 49:31.000]  But I went to the YouTube channel and I was just flipping through the channels and news and politics.
[49:31.000 --> 49:37.000]  Bam, there's David Knight's face. Number one story. It's, it's everywhere.
[49:37.000 --> 49:44.000]  And again, we do that now every week, folks. And again, we're not bragging. This is your media.
[49:44.000 --> 49:49.000]  The system is a fraud. And the feds were saying, we're about to play this video.
[49:49.000 --> 49:53.000]  We're going to shoot you if you come on this property.
[49:53.000 --> 49:59.000]  That the governor already said, no, it, Bundy's got the service rights. He did. I mean, it's, it's the law.
[49:59.000 --> 50:02.000]  And they, and the feds just say, well, we're the law. We're going to ignore that.
[50:02.000 --> 50:08.000]  Kind of like Benghazi or Fast and Furious or the attorney general refusing subpoenas.
[50:08.000 --> 50:14.000]  And now members of Congress are saying, you should be in jail.
[50:14.000 --> 50:20.000]  You've got to call it what it is when it's criminal. It's criminal.
[50:20.000 --> 50:24.000]  And so that's why this is so big. And again, people say, Alex, why weren't you out there?
[50:24.000 --> 50:28.000]  Well, hey, I had no idea it would get this huge. And it was a big story. I sent reporters out there.
[50:28.000 --> 50:33.000]  But why did I send Paul Watson to get three and a half million viewers in Switzerland in beautiful Switzerland?
[50:33.000 --> 50:36.000]  You don't think I don't want to go to Switzerland? I have three children.
[50:36.000 --> 50:40.000]  I have to run this whole operation while being on air three, four hours a day.
[50:40.000 --> 50:45.000]  The nightly news, everything. Believe me, folks, I want to be able to go on the road more and I do.
[50:45.000 --> 50:48.000]  And I've been arrested probably five times.
[50:48.000 --> 50:54.000]  But the haters are going to hate the whole point is I'm not some media guy who wants to be the only guy.
[50:54.000 --> 51:00.000]  I have looked for reporters and looked for people that won't stab me in the back,
[51:00.000 --> 51:04.000]  that won't get on power trips, that won't flip out when I give them the ball.
[51:04.000 --> 51:07.000]  I'm more of a coach. There are people with better skills than I.
[51:07.000 --> 51:10.000]  David Knight comes off so smooth, so nice, so knowledgeable.
[51:10.000 --> 51:15.000]  He knows as much as I do about stuff. But he's a father of multiple children and is adopted.
[51:15.000 --> 51:20.000]  His great wife, Josh Owen, has been down here about a year, does an incredible job.
[51:20.000 --> 51:24.000]  He went to the NSA and threatened to arrest him as well in Utah. They're just a great team.
[51:24.000 --> 51:26.000]  And let me tell you, it feels good.
[51:26.000 --> 51:33.000]  I want to be able to put my reporters like Jakari Jackson and Kit Daniels and Leanne McAdoo and all these people up front.
[51:33.000 --> 51:35.000]  And I'm able to now.
[51:35.000 --> 51:41.000]  They went last week and asked the big questions at the Fort Hood shooting that nobody asked about drugs.
[51:41.000 --> 51:44.000]  And the general said no, he was on a bunch of different drugs.
[51:44.000 --> 51:51.000]  See, when none of the other media, over 100 other media were at Fort Hood and no one would ask questions but our people.
[51:51.000 --> 51:55.000]  And then why don't you have concealed carry on Fort Hoods besides the Dallas, literally.
[51:55.000 --> 51:57.000]  Bigger than Dallas. It's huge.
[51:57.000 --> 52:00.000]  You got all these communities there and they can't have guns to protect themselves.
[52:00.000 --> 52:06.000]  And so he caused that national debate. Now Congress is looking at letting people be armed on military basis to protect themselves.
[52:06.000 --> 52:10.000]  Not that we're even special. We'll just ask common sense questions.
[52:10.000 --> 52:15.000]  And so, see, it's about my reporters. It's about you, the listeners being reporters.
[52:15.000 --> 52:18.000]  Starting your own YouTube, starting your own news organization.
[52:18.000 --> 52:21.000]  You are the resistance. It's not Alex Jones.
[52:21.000 --> 52:29.000]  I mean, I'll be frank with you. If I can hire somebody and train them and they're better than me, I'm going to go off the air, folks.
[52:29.000 --> 52:31.000]  You ready for that?
[52:31.000 --> 52:33.000]  I don't want to be on the air.
[52:33.000 --> 52:37.000]  I want to be behind the scenes going over news, going, I think Harry Reid's involved.
[52:37.000 --> 52:40.000]  They're involved in other land grabs. Look into it. And they go, really, Alex? Where do you get that?
[52:40.000 --> 52:43.000]  Two hours later, they find all the documents. It's a national news story.
[52:43.000 --> 52:46.000]  And that's why the BLM backed off and said, fine, we're pulling out.
[52:46.000 --> 52:52.000]  It was because now that the Chinese government and Harry Reid are involved land grabbing, they knew it was a PR disaster when drugs linked to it.
[52:52.000 --> 52:54.000]  Number one story on the Internet Friday and Saturday.
[52:54.000 --> 52:58.000]  Number one, we have the article at infowars.com by the aggregators, Alex and others.
[52:58.000 --> 53:03.000]  Number one, hands down with double the traffic of the next biggest story.
[53:03.000 --> 53:09.000]  That was Obama letting the NSA spy on people through Heartbleed, the bug.
[53:09.000 --> 53:13.000]  I already told you that last week. Of course, it's a government operation giving out those keys.
[53:13.000 --> 53:17.000]  They're looking at all the new encryption system they've got even better keys to.
[53:17.000 --> 53:20.000]  I know how the enemy operates, folks. This is all I do.
[53:20.000 --> 53:24.000]  So my whole mission here, ladies and gentlemen, is to build the coverage.
[53:24.000 --> 53:32.000]  I've looked, you've seen the people I bring on air, the folks I try to work with, nine times out of 10, they flip out and go nuts and think that I needed them or something.
[53:32.000 --> 53:36.000]  And that it was about my ego and their ego. No, it's about defeating the new world order.
[53:36.000 --> 53:42.000]  It's about stopping the gun grab. It's about stopping all the forced abortion worldwide.
[53:42.000 --> 53:48.000]  It's about building a better world based on justice and going to the stars together.
[53:48.000 --> 53:52.000]  Now, I'm going to narrate some of this that's not good for radio, but most of it is.
[53:52.000 --> 54:00.000]  This is David Knight with the high def cameras, with Joshua and going up to the line and the Fed saying,
[54:00.000 --> 54:04.000]  we will shoot you on the loudspeakers and then the national media would not tell anybody this happened.
[54:04.000 --> 54:10.000]  Okay, but then the Fed stood down and backed off, released the cattle and left.
[54:10.000 --> 54:12.000]  They're aiming guns at people saying we're going to kill you.
[54:12.000 --> 54:17.000]  The people walk with their guns down saying, go ahead, kill us. 1776 will start.
[54:17.000 --> 54:20.000]  That was actually being chanted. Here is the audio and video.
[54:20.000 --> 54:44.000]  Court order, you will be shot. It gets clearer as they get closer.
[54:44.000 --> 54:50.000]  The people marching with the cowboys on the federal armored vehicles and cars with the snipers trained on them saying,
[54:50.000 --> 55:04.000]  we will shoot you. They've got come and take it flags, cold pepper flags.
[55:04.000 --> 55:06.000]  The crowd is now moving forward toward the barrier.
[55:06.000 --> 55:12.000]  One man's sort of walking forward, they've been telling everybody they're going to shoot if we don't move back.
[55:12.000 --> 55:18.000]  People are moving forward with their hands in the air, holding flags with both hands in the air.
[55:18.000 --> 55:36.000]  It's a mixture of people on foot, as you can see, people on foot and cowboys.
[55:36.000 --> 55:42.000]  It's time to talk upstairs with Metro. All right, push these people back up off the gate.
[55:42.000 --> 55:48.000]  We're going to work to release these cattle. Listen to me.
[55:48.000 --> 55:53.000]  They're one of the paramilitary BLM as they're about to push the final gates down.
[55:53.000 --> 55:56.000]  They've crossed over the line saying fine, we'll release the cattle.
[55:56.000 --> 56:00.000]  They said they weren't going to. They said they were going to leave in a few days because they'd finished their roundup.
[56:00.000 --> 56:07.000]  No, no, they released the cattle and now they're going to put the water drainage back in that his family built all of it.
[56:07.000 --> 56:11.000]  You wonder why beef prices are up? Cattle ranching is being shut down all over.
[56:11.000 --> 56:16.000]  Most people I know are getting out of cattle ranching because the regulations, the harassment, you can't make money on it.
[56:16.000 --> 56:20.000]  How's that for a socialist country, just like Venezuela? Let's go back to it.
[56:20.000 --> 56:30.000]  I know, I get that. When we push them back up off the gate right now, we're going to work with you and you.
[56:30.000 --> 56:34.000]  You two come in with me, we're not going to rest here.
[56:34.000 --> 56:38.000]  You're not going to stay there, that's great.
[56:38.000 --> 56:43.000]  This makes me proud of America. They're telling the Bundy father and sons to come with them.
[56:43.000 --> 56:46.000]  But I need, it's only going to be Bundy and his sons.
[56:46.000 --> 56:51.000]  That's the people or not, and you guys need to leave. You need to leave, that's the term.
[56:51.000 --> 56:57.000]  You need to de-escalate the situation. I'm a party on your right.
[56:57.000 --> 57:02.000]  De-escalate the globalists or buts are in this country. They're shutting us down.
[57:02.000 --> 57:17.000]  Jim 21, Cloward and Piven.
[57:17.000 --> 57:34.000]  And they start cutting the fence down and removing it. And the feds pull out. They overrun them. They said we will shoot you. It's on the audio. And the people start riding through, folks. This is America. This is what made us great.
[57:34.000 --> 57:48.000]  And you globalists, go ahead. Go ahead and start shooting Americans. See what happens. I don't want this civil war. Look at the feds, the guys with their machine guns backing it off.
[57:48.000 --> 57:52.000]  Alex Jones here to tell you about how you can help spread liberty worldwide.
[57:52.000 --> 58:06.000]  I'm also enjoying what I have found to be the best tasting 100% organic coffee on the planet. For more than a decade, my favorite coffee has come from the high mountains of southern Mexico where the Chiapas farmers grow their unique shade grown Arabica beans.
[58:06.000 --> 58:11.000]  We have now managed to secure the sought after beans in a highly customized blend.
[58:11.000 --> 58:25.000]  Discover and try a bag of the Patriot blend 100% organic coffee at infowarslife.com. This coffee gives you a long, smooth pick me up for hours without the headaches and heartburn that so many other coffees give me personally.
[58:25.000 --> 58:32.000]  Hands down, this is my favorite coffee. And it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[58:32.000 --> 58:42.000]  Drop by the site today, order a bag or two and I don't think you're going to be disappointed. Available in original or with our immune support infusion blend. You will be supporting a free press.
[58:42.000 --> 58:49.000]  All the while enjoying a truly great tasting cup of my favorite coffee. Available at infowarslife.com.
[58:49.000 --> 58:53.000]  A chemical spill contaminating the water supply in nine West Virginia counties.
[58:53.000 --> 58:57.000]  This year alone over 300,000 people in West Virginia had their drinking water contaminated.
[58:57.000 --> 59:01.000]  What are the health effects of having these drugs in our drinking water?
[59:01.000 --> 59:04.000]  It's forced medical treatment without the consent of residents.
[59:04.000 --> 59:11.000]  My friends, water filtration is one of the most basic actions you can take to protect you and your family from the harmful toxins and heavy metals in your tap water.
[59:11.000 --> 59:15.000]  On average, the county says it sprays with glyphosate at least once a week.
[59:15.000 --> 59:20.000]  Few filters cut out the glyphosate that is found in water supplies worldwide.
[59:20.000 --> 59:26.000]  Remove pesticides, herbicides, chloramines, hydrofluorosalic acid, sodium hexafluorosilicate.
[59:26.000 --> 59:31.000]  All right, it is in tea, it's in coffee, it's in water, it's in breads, it's toothpaste.
[59:31.000 --> 59:34.000]  It is our responsibility to protect our families. The establishment's not going to do it.
[59:34.000 --> 59:37.000]  It's time to take action. It's time to filter our water.
[59:37.000 --> 59:44.000]  Visit infowarsstore.com and use promo code WATER to get 10% off their entire family of incredible products.
[59:44.000 --> 59:49.000]  Our call toll free 888-253-3139.
[59:49.000 --> 59:53.000]  Coast to coast, direct from Austin.
[59:53.000 --> 59:57.000]  You're listening to the Alex Jones Broadcasting Network.
[01:00:00.000 --> 01:00:07.000]  From his Central Texas Command Center deep behind enemy lines, the information war continues.
[01:00:07.000 --> 01:00:11.000]  It's Alex Jones and the GCN Radio Network.
[01:00:13.000 --> 01:00:19.000]  You know, coming up in the next segment, I'm going to give the number out for folks that were out in Nevada
[01:00:19.000 --> 01:00:25.000]  to give their take on what you witnessed there of the thousand or so people that went over the line
[01:00:25.000 --> 01:00:29.000]  while the feds were saying we're going to shoot you.
[01:00:29.000 --> 01:00:34.000]  And to see how the BLM tasered people attacked people from behind the week before,
[01:00:34.000 --> 01:00:37.000]  that's why all the paramilitary folks showed up.
[01:00:37.000 --> 01:00:42.000]  Because people see women and folks being tasered and beat, we're sick of it.
[01:00:42.000 --> 01:00:47.000]  I mean, for the average cowardly bootlicker that thinks it's fun to beat up innocents,
[01:00:47.000 --> 01:00:52.000]  maybe that's cool for men, not tough guys, but men.
[01:00:52.000 --> 01:00:57.000]  Seeing innocent people abuse, whether it's Tiananmen Square or Nazi Germany,
[01:00:57.000 --> 01:01:02.000]  I see those black and white film footage of them marching those naked women with their babies into those pits
[01:01:02.000 --> 01:01:08.000]  and shooting them at Nazi Germany when they were invading Ukraine, Poland, other areas.
[01:01:08.000 --> 01:01:14.000]  And I mean, I get violently angry because I have empathy, ladies and gentlemen.
[01:01:14.000 --> 01:01:19.000]  I think about how do you march naked women with babies in and shoot them in a pit?
[01:01:19.000 --> 01:01:22.000]  Well, you follow orders, I guess. Well, here's a little newsflash for you.
[01:01:22.000 --> 01:01:28.000]  I'm not going to stand here and watch this. I'm not looking for a fight. I don't want to fight.
