[00:00.000 --> 00:20.000]  It's for Wars, tomorrow's news, today.
[38:00.640 --> 38:04.120]  something and I said on here when that document came out those videos came out
[38:04.120 --> 38:10.840]  we learned about it till January 2020 I said this COVID thing out of England
[38:10.840 --> 38:14.680]  that's really where it comes out of and into the US and given to the Chinese
[38:14.680 --> 38:23.600]  this bio weapon cooked up in London it's the answer to this to have such a huge
[38:23.600 --> 38:28.640]  event and so many people freaked out and scared that then people will accept the
[38:28.640 --> 38:32.680]  injections their gene therapies and then I went and looked by February of last
[38:32.680 --> 38:39.080]  year on record with top scientists all agreeing that you could never have again
[38:39.080 --> 38:44.000]  a COVID vaccine for the entire Corona family because of the protein in the
[38:44.000 --> 38:49.080]  virus is the same protein all over your body so your body attacks itself and you
[38:49.080 --> 38:53.560]  die of blood clots in your lungs heart and brain bare minimum and I started
[38:53.560 --> 38:57.560]  seeing this in February and just started studying more I mean I've read
[38:57.560 --> 39:01.480]  thousands of studies I've had hundreds of doctors and scientists on we've played
[39:01.480 --> 39:05.720]  clips of hundreds of others here I've got like 35 clips of scientists top
[39:05.720 --> 39:12.000]  people Nobel Prize winners just totally freaking out right now and back then they
[39:12.000 --> 39:16.040]  said it's going to cause blood clots it's going to hurt people it's gonna cause
[39:16.040 --> 39:21.040]  autoimmune responses so that the people that have taken the shots are going to
[39:21.040 --> 39:25.960]  slough these prions these viruses off and it's gonna cause a giant wave of
[39:25.960 --> 39:31.760]  illness within six to eight months now that was all theoretical now they did
[39:31.760 --> 39:36.280]  the injections the gene therapy it's not a vaccine and now everybody I know
[39:36.280 --> 39:43.000]  that is around family that's been injected with these so-called vaccines
[39:43.000 --> 39:49.040]  that are really nanotech replicators are now getting sick literally half the
[39:49.040 --> 39:54.160]  people I know are sick and in bed right now I asked them to call everyone they
[39:54.160 --> 40:00.240]  know everyone they know is 30 40 50% sick I my my wife went to Omaha to see
[40:00.240 --> 40:05.560]  family half the people are sick she got sick up there it's everywhere see it was
[40:05.560 --> 40:10.840]  fake a year ago and they called car wrecks and cancer and gunshot wounds and
[40:10.840 --> 40:15.480]  motorcycle accidents COVID that was to get you to take the shot there's a real
[40:15.480 --> 40:19.200]  virus gain a function of Camero they own and they already tested it in rats
[40:19.200 --> 40:25.680]  years ago that when you then create a vaccine for that virus it produces
[40:25.680 --> 40:29.480]  something that replicates in your body and they discovered this 50 years ago
[40:29.480 --> 40:33.200]  if you try to make a vaccine for any coronavirus even with standard vaccines
[40:33.200 --> 40:37.320]  it produces these prions that are deadly that slough it's basically a
[40:37.320 --> 40:41.680]  synthetic virus so they knew and found she knew and Gates knew and in
[40:41.680 --> 40:47.640]  University of Texas led the national initiative for Obama and Fauci from 2010
[40:47.640 --> 40:55.080]  to 2015 and spent hundreds and millions of dollars at Baylor Medical and UT
[40:55.080 --> 41:00.120]  Medical with five other universities seven total and they did hundreds of
[41:00.120 --> 41:03.440]  studies on rats and other animals and found almost a hundred percent death
[41:03.440 --> 41:07.000]  rate from prions and they say in the studies that I've shown you dozens of
[41:07.000 --> 41:13.640]  times do not give this to humans it will kill them so they knew this would
[41:13.640 --> 41:18.520]  happen you understand what that means it's over folks they have been planted
[41:18.520 --> 41:23.520]  half the United States at least with a system that's basically spongiform
[41:23.520 --> 41:30.400]  encephalopathy mad cow disease I have just today seven scientists that are
[41:30.400 --> 41:37.240]  about to tell you this on video next hour clips seven former head of the
[41:37.240 --> 41:43.680]  science division of Pfizer top scientists at MIT you name it they did it on
[41:43.680 --> 41:51.280]  purpose they've never had a vaccine for the cold because it kills the animals
[41:51.280 --> 41:56.600]  and in human trials they've done all over the world it kills a large percentage
[41:56.600 --> 42:05.320]  of those in the human trials normally 30% are dead within a year do you
[42:05.320 --> 42:08.800]  understand what this means
[42:09.280 --> 42:13.880]  everybody's calling me oh you're right again oh how'd you know that all over
[42:13.880 --> 42:17.280]  the US they keep babies alive and harvest their organs and vivisect them
[42:17.280 --> 42:20.800]  all their hearts are still beating and do experiments on them because it was in
[42:20.800 --> 42:25.360]  the damn letter return 20 years ago now it's mainstream news they're coming for
[42:25.360 --> 42:30.760]  you they're killing you and they don't care if you're a schoolteacher or a
[42:30.760 --> 42:36.040]  bureaucrat or a banker so many CEOs and top people have died from the shots as
[42:36.040 --> 42:43.520]  well this is just hell on earth premeditated psychotic murder and now
[42:43.520 --> 42:46.760]  they're gonna say this winter with all the incredible death you never see
[42:46.760 --> 42:49.960]  stuff like this in the summer all these diseases imagine this winter they're
[42:49.960 --> 42:53.760]  gonna blame the unvaccinated and declare martial law and Biden's ready to do it
[42:53.760 --> 43:01.960]  my god it's here total extermination so when I first started taking survival
[43:01.960 --> 43:06.340]  shield basically I was 275 pounds I was overweight I had brain fog like you
[43:06.340 --> 43:10.560]  wouldn't believe I was barely holding on to a job and I heard Dr. Group on your
[43:10.560 --> 43:13.880]  show and I listened to it so the first one I got was the original survival
[43:13.880 --> 43:17.800]  shield the X1 and it worked pretty good and then shortly thereafter you came out
[43:17.800 --> 43:20.640]  with that too you have you know with the deep burdens towards you know and I got
[43:20.640 --> 43:24.600]  really excited about that so I took it and man in two weeks I went from brain
[43:24.600 --> 43:29.880]  fog to like literally like my brain was enlightened you know I could think again
[43:29.880 --> 43:34.120]  I could connect with people again and over the course of the next couple of
[43:34.120 --> 43:37.680]  years I got my health back and I religiously take basically all of your
[43:37.680 --> 43:41.040]  supplements there they're all absolutely amazing supplements the one I like
[43:41.040 --> 43:44.800]  recently is knockout literally like if you want to sleep just take it it's
[43:44.800 --> 43:48.480]  amazing it works but anyway so the point is we have to get ourselves clean
[43:48.480 --> 43:52.280]  that's a break free of the globalist system and the only way to do that is to
[43:52.280 --> 43:56.560]  take our own health into our own hand beautifully said brother I thank you so
[43:56.560 --> 44:02.080]  much for your call and Godspeed it is through our five senses that we are
[44:02.080 --> 44:07.040]  kept fascinated and hypnotized by the lies we are told and the only way to see
[44:07.040 --> 44:12.040]  through this illusion is with our higher senses which is why fluoridated water is
[44:12.040 --> 44:16.960]  a big problem consuming too much fluoride forms phosphate crystals around the
[44:16.960 --> 44:21.800]  pineal gland and shuts down its natural functions natural functions which have
[44:21.800 --> 44:26.040]  been known for millennia the Hindu chakras align with the endocrine system
[44:26.040 --> 44:31.240]  the chakra aligned with the pineal gland is the third eye also described as the
[44:31.240 --> 44:35.560]  seat of the soul the pineal gland is what connects us to higher levels of
[44:35.560 --> 44:40.680]  consciousness and otherwise unseen dimensions of reality fluoride free
[44:40.680 --> 44:46.040]  water is essential to keeping our pineal gland healthy our water filtration
[44:46.040 --> 44:51.080]  systems with the proper filters will keep your drinking water fluoride free and
[44:51.080 --> 44:56.400]  the propure showerhead will seal the deal get them both today for yourself or a
[44:56.400 --> 45:04.000]  friend at infowarstore.com let's go back in time say to the mid 1990s and then
[45:04.000 --> 45:08.480]  imagine a science fiction movie set in the year 2020 where a world government's
[45:08.480 --> 45:12.000]  being established where members of Congress and former presidents are
[45:12.000 --> 45:16.800]  centered by big tech and where if you don't take an experimental injection that
[45:16.800 --> 45:21.840]  grows blood plots and prions all over your body that you're not allowed to
[45:21.840 --> 45:27.360]  fly on an airplane think about that because that's where we are imagine just
[45:27.360 --> 45:32.120]  20 30 years ago tell just five years ago if somebody told you this would be
[45:32.120 --> 45:37.080]  happening but it is happening now and then they tell you oh sorry it's not a
[45:37.080 --> 45:41.080]  vaccine is a gene therapy and it doesn't really work she got to take it every few
[45:41.080 --> 45:45.240]  months and the people that have submitted say great I want to take it all
[45:45.240 --> 45:48.800]  the time so I can go outside and not get sick from COVID even though it gets you
[45:48.800 --> 45:52.880]  sick from COVID and now there's record numbers of really sick people from the
[45:52.880 --> 45:57.280]  sloughing the shedding of the virus and that's in mainline studies Bill Gates and
[45:57.280 --> 46:03.320]  Fauci did this need to go to prison for it right now the first time I heard the
[46:03.320 --> 46:08.320]  speech the first time I read the writings of Teddy Roosevelt I was in sixth
[46:08.320 --> 46:13.480]  grade and we have this history teacher that had us write a paper on the man in
[46:13.480 --> 46:17.280]  the arena and I just remember thinking about that saying I want to be the man
[46:17.280 --> 46:20.960]  in the arena but when it comes to media in full wars has been the tip of that
[46:20.960 --> 46:26.000]  spear but Mike Lindell has come along and done just as good a job as we've done
[46:26.000 --> 46:30.160]  maybe even better when it comes to election fraud and other issues and
[46:30.160 --> 46:36.160]  that's why you go to my pillow.com use promo code Alex you get up to 66% off
[46:36.160 --> 46:39.960]  on all the amazing products he's got so many not just pillows not just towels
[46:39.960 --> 46:44.480]  not the sheets and then you fund info wars and Mike Lindell and the fight for
[46:44.480 --> 46:47.280]  free speech against the globalist there's not a better place to spend your
[46:47.280 --> 46:51.440]  money than my pillow.com with promo code Alex and if you do it it funds the
[46:51.440 --> 46:55.240]  info war it funds the election investigation and it stands up against
[46:55.240 --> 47:01.760]  these globalist bullies my pillow.com promo code Alex take action now
[47:01.760 --> 47:07.760]  you're listening to the Alex Jones show
[47:23.280 --> 47:28.480]  well ladies and gentlemen thank you so much for joining us on this August 15
[47:28.480 --> 47:32.800]  Sunday broadcast Chris Skyes can be popping up the star of the next hour he
[47:32.800 --> 47:37.600]  led giant demonstrations in Canada in just the last few days there are huge
[47:37.600 --> 47:44.680]  demonstrations from Israel to the UK to France to Germany all over the world
[47:44.680 --> 47:48.440]  there's protests in African countries against lockdowns where it actually
[47:48.440 --> 47:53.360]  stars people to death when that happens and so millions are hitting the streets
[47:53.360 --> 47:58.320]  and the it seems the epicenter one of the most oppressive places other than
[47:58.320 --> 48:03.600]  Australia the former president colony great people by the way just like Israel
[48:03.600 --> 48:11.160]  is Israel and we had Shlomo Gordon on a while back ago I wanted to get a quick
[48:11.160 --> 48:15.760]  update this segment the next segment from him he's originally from Chicago then
[48:15.760 --> 48:20.200]  went to Israel was a tank crewman the Israeli army so he bio physics University
[48:20.200 --> 48:23.640]  I'm not gonna go over at all and sort of getting involved in Israeli politics is
[48:23.640 --> 48:29.640]  now we started up a pro-medical freedom party in Israel has been helping leave
[48:29.640 --> 48:35.000]  the opposition to what I can only call 1984 the government freedom bracelets
[48:35.000 --> 48:40.560]  and freedom passes and now one of the most highly so-called injected or
[48:40.560 --> 48:46.800]  inoculated groups in the world what is it eight out of ten I was reading are
[48:46.800 --> 48:50.600]  having massive numbers of people vaccinated in the hospital so to give us
[48:50.600 --> 48:57.120]  the latest on this bizarre 1984 epicenter that Israel's become is mr. Gordon
[48:57.120 --> 49:02.400]  thanks for coming on with us hi thank you so much Alex show only got about 15
[49:02.400 --> 49:08.360]  minutes tell us what's happening yeah so like you said at this point the rate of
[49:08.360 --> 49:11.800]  people being in the hospital if they're vaccinated or not vaccinated it's a
[49:11.800 --> 49:17.760]  total joke at this point the percentage of people who are vaccinated out of the
[49:17.760 --> 49:22.480]  total sick and hot in the COVID words in the hospitals are higher than the
[49:22.480 --> 49:26.240]  percentage of the population that are vaccinated so the meaning so the meaning
[49:26.240 --> 49:31.160]  of that is that you're even more likely to be in a COVID word of the hospital if
[49:31.160 --> 49:35.600]  you're vaccinated and they're starting with the with the third dose for people
[49:35.600 --> 49:40.920]  who are 40 plus I just wanted to tie in with what you were recently speaking
[49:40.920 --> 49:45.720]  about about them in America being called domestic terrorists if you don't want to
[49:45.720 --> 49:51.320]  get the jabs you're gonna be a domestic terrorist but here in Israel first we
[49:51.320 --> 49:56.560]  call this anti-vaxxers then they called us COVID deniers which is the worst
[49:56.560 --> 50:01.480]  because you know that that's supposed to be like Holocaust deniers right so
[50:01.480 --> 50:07.280]  they're calling Jews who some of which had our descendants of Holocaust
[50:07.280 --> 50:13.680]  survivors they're calling them COVID deniers on the same you know expression
[50:13.680 --> 50:20.720]  of Holocaust deniers and then and now they've moved forward to a vaccine
[50:20.720 --> 50:27.280]  refusers on the same idea of people who refuse to drive to the army so it's
[50:27.280 --> 50:31.400]  like if you're patriotic you drive to the army and you get vaccinated that's the
[50:31.400 --> 50:36.360]  idea so if you're you're also not patriotic and recent and I one of the
[50:36.360 --> 50:41.840]  reasons I wanted to mention my army service as a as a tank loader is that I
[50:41.840 --> 50:47.120]  serve as you said after moving to Israel spent three years mandatory service
[50:47.120 --> 50:53.800]  seven years in reserves and I recently for all intents and purposes
[50:53.800 --> 51:01.440]  not only discharged because I didn't get vaccinated and now people were joking
[51:01.440 --> 51:06.320]  about that oh can we let the anti-vaxxers not pay taxes to that's gonna
[51:06.320 --> 51:09.880]  really make them you know and by the way I don't want to correct you because I
[51:09.880 --> 51:13.800]  have to say vaccine to people know what that means this is not a vaccine this is
[51:13.800 --> 51:17.720]  a gene therapy they call a vaccine that was never correct me if I'm wrong but
[51:17.720 --> 51:21.400]  just like in Europe just like in the US just like in Canada they skip the normal
[51:21.400 --> 51:26.480]  approval process in Israel right they skip the process and we actually tried
[51:26.480 --> 51:33.920]  to while I was running for Vanessa back in 2019 I came across from being in
[51:33.920 --> 51:38.040]  contact with activists I came across this story called the Saidi's app and I
[51:38.040 --> 51:42.160]  have on my YouTube I have also video it's called on YouTube it's called huge
[51:42.160 --> 51:50.040]  scandal in Israel something along those lines half a million Israeli babies over
[51:50.040 --> 51:53.200]  the course of five years got an experimental hepatitis B vaccine and
[51:53.200 --> 52:00.640]  that also they skipped over usually Israel trusts yeah here in the bottom
[52:00.640 --> 52:11.880]  left corner scandal in Israel I did the subtitles for that one so yeah they
[52:11.880 --> 52:16.600]  skipped over usually of Israel unfortunately trusts American standards
[52:16.600 --> 52:20.000]  the FDA well on that one they didn't even wait for the FDA approval that was
[52:20.000 --> 52:24.720]  an experimental Israel vaccine they probably thought that it wasn't gonna
[52:24.720 --> 52:30.920]  cause significantly more damages because it had the same amount of of antigen and
[52:30.920 --> 52:36.560]  adjuvants but the way that it was distributed within the vaccine ended
[52:36.560 --> 52:41.200]  up causing crate one of the women in in the in the picture of that video
[52:41.200 --> 52:46.560]  Nourit she actually had both of her twins but were autistic from from the
[52:46.560 --> 52:51.360]  vaccine just to get it was extremely dangerous one so Israel unfortunately has
[52:51.360 --> 52:56.960]  a dark history of human experimentation the truth has to be said and by the way
[52:56.960 --> 53:00.240]  let's expand on that I mean I don't say this
[53:00.240 --> 53:05.720]  statistically of Israel is gonna follow what the United States does the US is a
[53:05.720 --> 53:09.480]  big country nice people but our medical system has been extremely evil and
[53:09.480 --> 53:13.440]  everything that somebody in World War two learned they learned from the British
[53:13.440 --> 53:16.760]  and the United States called eugenics and all the secret testing and let's not
[53:16.760 --> 53:20.720]  forget 40 years of injecting black people with syphilis and then having them
[53:20.720 --> 53:25.120]  spread it to hundreds of thousands of people tens of thousands died of that
[53:25.120 --> 53:29.640]  brain-eating disease so I hope Israel doesn't copy the US to start injecting
[53:29.640 --> 53:36.200]  you with syphilis unfortunately the hard truth and again just I want people
[53:36.200 --> 53:42.280]  understand where I'm coming from I'm very much if we're done with the
[53:42.280 --> 53:47.120]  spectrum of right and left I'm very much on the right I'm very very in favor of
[53:47.120 --> 53:51.400]  having a Jewish country with Jewish values with the Jewish majority I'm
[53:51.400 --> 53:56.800]  definitely on the left I'm actually I see live over the green line I'm set I
[53:56.800 --> 54:01.640]  live in the West Bank or I'm a settler or whatever you want to call it so just
[54:01.640 --> 54:07.800]  so people can know where I'm coming from okay and like I said I served in in no
[54:07.800 --> 54:12.880]  no we understand and so tell us tell us what it's doing is really but but just
[54:12.880 --> 54:19.240]  so the people understand that the current state of Israel meaning not King
[54:19.240 --> 54:25.120]  Solomon and not and not the Hasmonean dynasty under the Kohanim under the
[54:25.120 --> 54:30.480]  priest Judah Makhavi and the like the current state of Israel that we're
[54:30.480 --> 54:35.200]  living in the way that it was founded was an extremely problematic way there
[54:35.200 --> 54:40.160]  were all sorts of deals cut with you know the Belford Declaration for example
[54:40.160 --> 54:47.840]  if you look at who it's written to it's to it's it's the Baron Rothschild okay
[54:47.840 --> 54:51.840]  that's sure you're saying you're saying you're a you're a Jews you you care
[54:51.840 --> 54:55.040]  about it really care about Jews yeah and you're saying there are evil groups
[54:55.040 --> 54:59.880]  manipulating Israel towards a very dangerous place yeah but it's been from
[54:59.880 --> 55:05.600]  the get-go and that's why when the wonderful one of the most wonderful
[55:05.600 --> 55:10.800]  groups of Jews or the Jews that came to that we lived in Yemen and came to and
[55:10.800 --> 55:15.320]  they were so pure and had such pure intentions and they came to they came
[55:15.320 --> 55:20.040]  to the land of Israel and they saw the the the processes being manifested and
[55:20.040 --> 55:24.280]  now you're getting targeted and now you're getting targeted again and then
[55:24.280 --> 55:28.560]  their kids get kidnapped you know and the fact of the matter is that the
[55:28.560 --> 55:34.480]  these the labor Zionists who created the state are very problematic they work
[55:34.480 --> 55:38.240]  together with the Nazis in some cases that's why you have groups like
[55:38.240 --> 55:42.960]  Nitori Carter who you know the one the ultra orthodox Jews that go and meet
[55:42.960 --> 55:46.360]  with the Iranians and the Palestinians what I totally disagree with them but
[55:46.360 --> 55:53.280]  the reason that they exist is because the the labor Zionists had it had the
[55:53.280 --> 55:58.480]  ability to save 500,000 Hungarian Jews from the Nazis and the reason they
[55:58.480 --> 56:01.320]  didn't was because they were ultra orthodox and that didn't fit in with
[56:01.320 --> 56:05.040]  their narrative and with their agenda that's right that's a historical historical
[56:05.040 --> 56:09.320]  fact that they blocked well total millions of Jews escaping Europe during
[56:09.320 --> 56:14.960]  World War two right right so and many and many Jews who were more religious they
[56:14.960 --> 56:18.360]  went to the West they went to America they went to other places they went to
[56:18.360 --> 56:22.080]  South America after after the Holocaust they went to why is modern Israel
[56:22.080 --> 56:26.400]  persecuting what they call ultra orthodox which are just Old Testament
[56:26.400 --> 56:32.160]  Talmud following Jews why are they doing that again you have to understand so
[56:32.160 --> 56:37.120]  there's there's different levels of it the historical level of it is to
[56:37.120 --> 56:41.400]  understand where these labor Zionists came from it's the same place that
[56:41.400 --> 56:45.520]  reformed Judaism came out of which unfortunately in America everyone's
[56:45.520 --> 56:51.720]  affected by it because reformed basically they managed to a hundred years
[56:51.720 --> 56:56.360]  150 years ago you couldn't imagine a Jew that wasn't keeping Shabbat that wasn't
[56:56.360 --> 57:01.560]  keeping the holidays it wasn't keeping kosher and what happened was there was
[57:01.560 --> 57:06.120]  the Sabbath TN movement Shabbat like to be okay listen I will have you back on
[57:06.120 --> 57:08.760]  for a full hour is your smart guy you're really interesting and my producer
[57:08.760 --> 57:12.000]  has been following your work you come over a whole hour sometime this week but
[57:12.000 --> 57:15.160]  I got you on for a limited time because I just wanted to get an update on what is
[57:15.160 --> 57:18.320]  happening with these shots the fact that it's in the news the majority of the
[57:18.320 --> 57:22.880]  people in hospital the most sick have taken it and just what's coming next
[57:22.880 --> 57:25.760]  now they've got boosters they're trying to make people take they're even getting
[57:25.760 --> 57:28.400]  sick or so when I come back in two minutes to you for five minutes yeah
[57:28.400 --> 57:31.440]  give us an update on that and then this is fascinating stuff I know you know
[57:31.440 --> 57:34.880]  your history I would love to hear from you on that feel like like Israel's one
[57:34.880 --> 57:38.200]  monolithic group and obviously if you're educated it's not this is very
[57:38.200 --> 57:42.400]  sophisticated stuff there's a big spiritual fight over Israel going on so
[57:42.400 --> 57:46.080]  we'll be right back ladies and gentlemen hour number two the Chris guy as well I'm
[57:46.080 --> 57:49.080]  Alex Jones stay with us
[57:49.560 --> 57:53.000]  Gerald and South Carolina go ahead you're on the air trying to move quicker
[57:53.000 --> 57:57.040]  hey Alex welcome would like to say first off thanks for being the voice of
[57:57.040 --> 58:00.920]  reason and amongst all this stupidity wanted to warn people I've been trying
[58:00.920 --> 58:06.280]  to get a hold of you for a year okay I'm a double amputee and I have bacteria
[58:06.280 --> 58:11.040]  infection on my lung that'll never go away living defense saved my life they
[58:11.040 --> 58:16.120]  had me on antibiotics for two years that almost killed me living defense brought
[58:16.120 --> 58:21.560]  me back I wanted to just quote from the Bible Jesus is saying as to where we are
[58:21.560 --> 58:27.200]  right now this is Matthew 24 verse 9 then they shall deliver you up to be
[58:27.200 --> 58:33.080]  afflicted and shall kill you and you shall be hated of all nations for my
[58:33.080 --> 58:38.000]  name's sake and then shall many be offended and shall betray one another and
[58:38.000 --> 58:42.960]  shall hate one another right where we're at brother and that's because God's name
[58:42.960 --> 58:46.240]  is on the founding of this country no matter what they say and that's why the
[58:46.240 --> 58:52.680]  enemy hates it because God created this country for only one week we're running
[58:52.680 --> 58:57.800]  booster bodies natural defenses super sale and we have the vitamin D3 gummies
[58:57.800 --> 59:03.520]  with calcium 50% off so essential for your immune system vitamin C zinc and
[59:03.520 --> 59:09.720]  rose hips very strong formula this is 50% off at info or store.com now back at
[59:09.720 --> 59:15.160]  stock just came back in yesterday very powerful pure tumor extract tincture not
[59:15.160 --> 59:19.200]  a sure immune system but for inflammation and a lot more and then
[59:19.200 --> 59:22.480]  sold out for more than six months because of supply chain breakdowns we
[59:22.480 --> 59:25.760]  finally have the activated charcoal toothpaste with a natural peppermint and
[59:25.760 --> 59:30.920]  so much more back at stock from Dr. Jones naturals and the mouthwash with the
[59:30.920 --> 59:34.600]  activated charcoal and essential oils is back at stock these are great products
[59:34.600 --> 59:37.800]  they're high quality and they fund the info wars so thank you all for your
[59:37.800 --> 59:42.000]  support check them out today at infowarstore.com the sale runs for
[59:42.000 --> 59:47.560]  only one week it is the booster bodies natural defenses super sale and another
[59:47.560 --> 59:53.600]  part of the sale ending is the privacy pouches for your cell phone you're
[59:53.600 --> 1:00:17.120]  listening to the Alex Jones show you know I loaded all this music into the
[1:00:17.120 --> 1:00:22.960]  computer years ago and it's kind of fun to play happy music like this but we're
[1:00:22.960 --> 1:00:27.800]  not the happy show we used to be our way no ladies and gentlemen we're not
[1:00:27.800 --> 1:00:32.920]  because I've read literally I've scanned over thousands of documents I've read
[1:00:32.920 --> 1:00:39.240]  hundreds of that all the scientists on it's a hundred percent bad the vaccine
[1:00:39.240 --> 1:00:43.760]  they made it doesn't work it makes your body attack itself so why globally was
[1:00:43.760 --> 1:00:48.000]  this done well it's a form of warfare and we're living in it but I wanted you
[1:00:48.000 --> 1:00:51.800]  to hear from somebody specifically who's got a one of the main political
[1:00:51.800 --> 1:00:57.000]  parties that's having some success getting people elected in Israel for
[1:00:57.000 --> 1:01:03.800]  medical freedom and tyranny always comes first with the medical tyranny in the
[1:01:03.800 --> 1:01:10.400]  last 200 years and so got four minutes left with mr. Gordon slow mo Gordon and
[1:01:10.400 --> 1:01:14.960]  there's any website people should check out it's at slow mo Gordon underscore
[1:01:14.960 --> 1:01:19.600]  Gordon on Twitter YouTube slow mo Gordon does a lot of great work so in the four
[1:01:19.600 --> 1:01:22.520]  minutes we got left I'll invite you back for a full hour soon as you're ready to
[1:01:22.520 --> 1:01:25.360]  do it I know it's late at night over there and I appreciate you being on with
[1:01:25.360 --> 1:01:29.040]  us just in a few minutes tell us what it's like in Israel living under this
[1:01:29.040 --> 1:01:34.680]  medical martial law I think that's a fair term to use yeah well so I just want
[1:01:34.680 --> 1:01:38.920]  to give you a quick rundown since we are limited time of what's starting this
[1:01:38.920 --> 1:01:43.720]  Wednesday so the corona cabinet sounds so official right first of all they
[1:01:43.720 --> 1:01:51.360]  decided to start doing the third dose for 40 age 40 years old and above so
[1:01:51.360 --> 1:01:56.840]  they're already the eventual goal of having three times a year or however
[1:01:56.840 --> 1:02:01.320]  often they're already clearly moving forward to that they're already throwing
[1:02:01.320 --> 1:02:06.160]  hints in the media at some point we'll talk about the fourth and fifth dose the
[1:02:06.160 --> 1:02:10.440]  stuff like that so we're already in the game we're already beyond the game of oh
[1:02:10.440 --> 1:02:14.920]  I'll just get these two jabs and then we go back to normal we're already no this
[1:02:14.920 --> 1:02:19.920]  is the new normal it's already in your face so starting Wednesday we're going
[1:02:19.920 --> 1:02:25.640]  to full green pass so the meaning of this is first of all three year olds since
[1:02:25.640 --> 1:02:30.480]  they're too young to get vaccinated yet at the moment they will need a negative
[1:02:30.480 --> 1:02:36.120]  PCR test and anyone else will need a green pass or a negative test so anyone
[1:02:36.120 --> 1:02:41.680]  from basically everyone's in the same boat from three years and above is in
[1:02:41.680 --> 1:02:45.440]  the same boat you either need to be vaccinated proof that you were sick and
[1:02:45.440 --> 1:02:48.280]  got better and they're making it much more difficult to get the
[1:02:48.280 --> 1:02:52.560]  serological tests they're they're saying oh it's not for sure that you were
[1:02:52.560 --> 1:02:55.720]  sick it's not for sure that you have antibodies on you it's for sure we
[1:02:55.720 --> 1:03:05.040]  inject you with the with the RNA mRNA whatever it is so anyone so you'll
[1:03:05.040 --> 1:03:08.880]  need a green test or a negative test which you have to do the same day but
[1:03:08.880 --> 1:03:12.080]  who's gonna bother doing that right because if you get a positive test
[1:03:12.080 --> 1:03:15.680]  you're gonna have to be at home for 10 days or two weeks I'm not sure what it
[1:03:15.680 --> 1:03:20.320]  is at the moment so you know one wants to be quarantined so the the bottom line
[1:03:20.320 --> 1:03:24.280]  is you need to get vaccinated or else you won't be able to go into any of these
[1:03:24.280 --> 1:03:31.720]  places conferences and exhibitions hotels gyms and studios pools and
[1:03:31.720 --> 1:03:39.520]  country clubs clubs and parties restaurants bars cafes higher education
[1:03:39.520 --> 1:03:44.560]  so colleges and universities you won't be able to get a normal education if
[1:03:44.560 --> 1:03:48.520]  you're not vaccinated you won't be able to go into the university I studied at
[1:03:48.520 --> 1:03:54.360]  university by line won't be able to go in there without a green pass tourist
[1:03:54.360 --> 1:04:01.680]  attractions museums libraries obviously most people get their education on the
[1:04:01.680 --> 1:04:05.680]  internet these days but in case you want to open up a book you want to go to a
[1:04:05.680 --> 1:04:09.520]  library and open up a book you're gonna need to get vaccinated and visiting
[1:04:09.520 --> 1:04:15.040]  elderly homes so how many how many how many citizens there's about nine
[1:04:15.040 --> 1:04:19.560]  million citizens in Israel how many citizens have not been is this referring
[1:04:19.560 --> 1:04:26.520]  to one million that means and there's a chance that we're out of time I'm gonna
[1:04:26.520 --> 1:04:29.760]  invite you back on sometime the next week for a full hour I really appreciate
[1:04:29.760 --> 1:04:33.680]  you but at 20 seconds they really want to put this experimental thing in us top
[1:04:33.680 --> 1:04:37.200]  scientists say it's depopulation gut level you're a smart guy what do you
[1:04:37.200 --> 1:04:45.560]  think this is I think it has to do with the population and I think it has to do
[1:04:45.560 --> 1:04:51.840]  with controlling the population that is continues to exist I agree it's a binary
[1:04:51.840 --> 1:04:55.680]  weapon they're implanting prions in you they've got a cure but you got to submit
[1:04:55.680 --> 1:05:01.360]  to them to get it we'll talk to you soon
[1:05:01.360 --> 1:05:06.480]  in Ohio welcome go ahead hey how's it going Alex the great last caller I just
[1:05:06.480 --> 1:05:10.480]  wanted to start with plugging your sleep supplements it's basically the only way
[1:05:10.480 --> 1:05:14.800]  I get sleep anymore with all the gaslighting moralization and absurdity
[1:05:14.800 --> 1:05:18.720]  it's like we're living at a twilight zone and all right Eric's in New Hampshire
[1:05:18.720 --> 1:05:22.520]  Eric thanks for calling go ahead Alex for taking my call if I could I just want
[1:05:22.520 --> 1:05:26.440]  to throw a quick plug out for the part of the product the X2 does wonders they
[1:05:26.440 --> 1:05:29.760]  recommend it to everybody here on the fence about it get off the fence get the
[1:05:29.760 --> 1:05:33.800]  product support the info or Tyler in Maine you're on the air thanks for
[1:05:33.800 --> 1:05:37.360]  rolling go ahead hey Alex it's great to be on with you it's an honor honor talk
[1:05:37.360 --> 1:05:42.760]  to you awesome so personally I wanted to do was say I love the products alpha
[1:05:42.760 --> 1:05:47.680]  power even at 29 if you ask my better half she loves it and it helps in the
[1:05:47.680 --> 1:05:55.160]  bedroom so just number one for a few only works this time Joe
[1:05:55.160 --> 1:06:02.160]  you you
[1:06:13.160 --> 1:06:19.960]  ladies and gentlemen it's the Alex Jones show Sunday edition August 15th global
[1:06:19.960 --> 1:06:23.480]  emergency transmission ice up maybe every six months so we have an emergency
[1:06:23.480 --> 1:06:27.320]  broadcast now it's every other day because we are deep in the emergency now
