[00:00.000 --> 00:22.000]  If you are receiving this transmission, you are the resistance.
[32:04.000 --> 32:12.000]  Ladies and gentlemen just like our information is game changing our products are game changing and so many people are deficient in iodine.
[32:12.000 --> 32:21.000]  It's not the soil anymore most of the ocean is contaminated but when you get high quality tri iodine all three of the healthy types together
[32:21.000 --> 32:26.000]  it does amazing things for your stamina your libido but most importantly your immune system.
[32:26.000 --> 32:36.000]  So X3 the only tri iodine on the market highest grade is now exclusively available again at 50% off at infowarstore.com.
[32:36.000 --> 32:44.000]  If you've not experienced clean pure iodine and what it does for your body takes about two weeks to kick it on average you really need to experience X3.
[32:44.000 --> 32:50.000]  Those of you that have tried it and used it I know you're going to be reordering it but particularly those that have never tried the product you need it
[32:50.000 --> 32:57.000]  because it's amazing what does for your body it's the good halogen not the bad halogen and it funds the info war a true 360 win.
[32:57.000 --> 33:26.000]  So again X3 back in stock 50% off for a limited time leading a frontal assault on the lies of the New World Order. It's Alex Jones from the front lines of the information war. It's Alex Jones.
[33:26.000 --> 33:45.000]  Gentlemen we are live broadcasting worldwide on this Sunday February 27th 2022 broadcast and we have powerful corporate global interest that think they're smart.
[33:45.000 --> 33:58.000]  Everybody else think they can take the world over and they set up the communist Chinese and gave them one sided trade policies to transfer all our jobs and everything we've got over there.
[33:58.000 --> 34:10.000]  And then anybody could tell you down the road the communist Chinese are going to double cross the globalist the CFR the people that said oh it's the Chinese century they're invincible they're perfect.
[34:10.000 --> 34:28.000]  And as soon as the Chinese broke their deal with them six seven years ago they cut their GDP growth from 15% to 10% to 5% to 3% to teach them to behave themselves and of course the communists didn't care they wanted to be in charge themselves.
[34:28.000 --> 34:44.000]  Like Hitler and Stalin in the early 1940s had a deal to divide Eastern Europe amongst themselves and of course Hitler then double cross Stalin that's what these criminals always do.
[34:44.000 --> 34:54.000]  Well Putin doesn't have any deals with the West and all he sees is weapons and things being shipped in and prepared to attack them ladies and gentlemen.
[34:54.000 --> 35:04.000]  And he sees the immorality of the West and he talks about it he talks about the clip on Friday nobody's aired it we're going to air it coming up start of the next hour or I'm walking out of here.
[35:04.000 --> 35:10.000]  One way or another we'll air the whole damn speech if we have to.
[35:10.000 --> 35:14.000]  So.
[35:14.000 --> 35:20.000]  I've tried to explain to people for a long long time how serious things are.
[35:20.000 --> 35:26.000]  And I understand we've been raised in the country that's been so free and so open that we're domesticated don't get how much how much danger we're in but.
[35:26.000 --> 35:41.000]  All of that saved up freedom and all that saved up Liberty and all that saved up security that we had in the bank ladies and gentlemen is almost gone now.
[35:41.000 --> 35:46.000]  And at a certain point there's probably no reason to even talk about this anymore I'm going to go I'm going to go.
[35:46.000 --> 35:53.000]  I'm not mad I just I'm going to go home be with my family folks you just enjoy yourselves and knock yourselves out I'm serious I'm going I'm out of here.
[35:53.000 --> 36:07.000]  And it's not that I'm at the crew I'm at anybody I just can't do this anymore I can't pretend anymore I can't go along with it the globalists are going to destroy the whole planet they can't be stopped they're Satanist.
[36:07.000 --> 36:11.000]  I just prepared too much for the show.
[36:11.000 --> 36:16.000]  I prepared like eight hours just to have prepared like six seven hours a day I just can't do it anymore.
[36:16.000 --> 36:36.000]  I'm not even complaining I just there's there's there's no way to go read all this and look at all this and know all this and then just sit around while the whole culture is totally asleep while the ship's sinking and on fire and it just becomes an absurdity.
[36:36.000 --> 36:42.000]  Maybe God just can allow the planet to be destroyed and maybe that's the best thing.
[36:42.000 --> 36:47.000]  I mean I'm not going to blame God if there's big nuclear flashes and we're all dead in a couple days or weeks.
[36:47.000 --> 36:51.000]  I mean let's just get it over with seriously doesn't Hollywood need to be gone.
[36:51.000 --> 37:02.000]  I mean don't New York you know and I know there's a lot of good people there but it's like the same time just blow us up God let's just get it over with seriously.
[37:02.000 --> 37:07.000]  But you know the children don't deserve to die so so I.
[37:07.000 --> 37:15.000]  I shouldn't even sit here and entertain on hypothetical.
[37:15.000 --> 37:22.000]  I'm going to air a tape and I'm not sure if I'm going to come back when I give the crew ready from you know in case I go because seriously I just I need to be with my family.
[37:22.000 --> 37:32.000]  I think I'm taking off this next week in the middle all this just all of this obscenity and just all of this insanity.
[37:32.000 --> 37:36.000]  I'm just not going to be here because I think that's the right thing to actually do is not even talk about it not even to look at it.
[37:36.000 --> 37:37.000]  It's like the CNN crap.
[37:37.000 --> 37:38.000]  I don't even care.
[37:38.000 --> 37:43.000]  They're stalking either liars but it's emblematic of how well the whole world burns down and goes down.
[37:43.000 --> 37:51.000]  They're like trying to stop somebody who's trying to stop it and lying about them.
[37:51.000 --> 37:55.000]  I've got all these clips and all this news.
[37:55.000 --> 38:00.000]  I mean who even you don't even want to know this stuff to you.
[38:00.000 --> 38:11.000]  Probably don't.
[38:11.000 --> 38:20.000]  Yeah just play in the pw bureaucracy.
[38:20.000 --> 38:25.000]  The scum bags that prey on America's children are multiplying.
[38:25.000 --> 38:28.000]  They're so brazen that they hunt them on social media.
[38:28.000 --> 38:29.000]  Danny.
[38:29.000 --> 38:31.000]  No I need your help now.
[38:31.000 --> 38:33.000]  Does it look like we're trying to fight you?
[38:33.000 --> 38:34.000]  No.
[38:34.000 --> 38:36.000]  You were masturbating to the 13 year old girl.
[38:36.000 --> 38:37.000]  Got you.
[38:37.000 --> 38:38.000]  Can you come and get me Danny?
[38:38.000 --> 38:39.000]  On the video channel.
[38:39.000 --> 38:40.000]  Help me Danny.
[38:40.000 --> 38:41.000]  Danny will you come help him?
[38:41.000 --> 38:45.000]  Sometimes they're even the developers of those platforms.
[38:45.000 --> 38:49.000]  So when he told you he was 13 what was you thinking?
[38:49.000 --> 38:52.000]  I didn't know exactly.
[38:52.000 --> 38:55.000]  I thought maybe it was someone in trouble if they were reaching out.
[38:55.000 --> 38:57.000]  Someone thought they knew me.
[38:57.000 --> 39:00.000]  So I was like I'll continue this conversation.
[39:00.000 --> 39:04.000]  You weren't even like whoa you're 13 don't talk to me?
[39:04.000 --> 39:05.000]  Yes of course.
[39:05.000 --> 39:12.000]  Okay because you're not once in this whole conversation expressed or he expressed that he was in any kind of trouble.
[39:12.000 --> 39:18.000]  So he never told you that he was in any kind of trouble so I wouldn't say that for your defense.
[39:18.000 --> 39:19.000]  We'll keep going.
[39:19.000 --> 39:24.000]  He said better watch my language with you and he said why?
[39:24.000 --> 39:26.000]  Because you're a young man you said.
[39:26.000 --> 39:30.000]  A Vancouver teacher has been implicated in a child pornography ring.
[39:30.000 --> 39:33.000]  Police in Australia have announced the arrest of 11 people.
[39:33.000 --> 39:35.000]  Two are Canadians.
[39:35.000 --> 39:39.000]  As Teresa LaLonde reports the ring allegedly operated through Facebook.
[39:39.000 --> 39:45.000]  If we can stop it at that initial point then we can lessen the impact on the child and hopefully
[39:45.000 --> 39:50.000]  you know lessen the distribution of their images and videos of them being tortured.
[39:50.000 --> 39:54.000]  Facebook would deactivate the suspect's site but not contact police.
[39:54.000 --> 39:57.000]  The suspects would simply set up a new account in a different name.
[39:57.000 --> 39:59.000]  They are their teachers.
[39:59.000 --> 40:02.000]  They are in top positions in law enforcement.
[40:02.000 --> 40:08.000]  These two individuals the deputy in Livingston Parish and his teacher wife who was a middle school teacher
[40:08.000 --> 40:10.000]  got caught by Adobe.
[40:10.000 --> 40:12.000]  They were photoshopping things.
[40:12.000 --> 40:16.000]  He turned them into authorities in Louisiana which launched an investigation.
[40:16.000 --> 40:20.000]  Authorities for the Attorney General's office showed up at the couple's house.
[40:20.000 --> 40:26.000]  They found this safe full of hard drives, computers, thumb drives, things like that.
[40:26.000 --> 40:31.000]  All of it was encrypted with a software called Keep My Data Safe.
[40:31.000 --> 40:34.000]  So essentially they had to come in and decode everything.
[40:34.000 --> 40:37.000]  When they decoded everything they were alarmed at what they saw.
[40:37.000 --> 40:40.000]  They saw child porn, they saw child rape.
[40:40.000 --> 40:49.000]  They also saw what appeared to be this deputy who was ejaculating on sweets that were then being served to his wife's class.
[40:49.000 --> 40:54.000]  They are in the tax-fueled bureaucracy that runs our lives.
[40:54.000 --> 40:59.000]  The Defense Department releasing brand new details into an investigation involving child pornography
[40:59.000 --> 41:04.000]  and dozens of its workers and contractors, some with top level security clearance.
[41:04.000 --> 41:08.000]  Not only are these very serious accusations but investigators say some of the people involved
[41:08.000 --> 41:11.000]  were handling the nation's most sensitive secrets.
[41:11.000 --> 41:14.000]  Take a look at this for instance, the National Security Agency,
[41:14.000 --> 41:21.000]  the National Reconnaissance Office and the very secretive Defense Advanced Research Projects Agency.
[41:21.000 --> 41:26.000]  Others also worked on actual military installations including Edwards Air Force Base in California
[41:26.000 --> 41:30.000]  and also the California based Naval Air Warfare Center.
[41:30.000 --> 41:35.000]  So they had access to military secrets in some cases and military hardware.
[41:35.000 --> 41:44.000]  The Department of Defense computers are being misused to share, to spread, to access child pornography.
[41:44.000 --> 41:49.000]  The Department of Defense does not have an adequate way of responding to this,
[41:49.000 --> 41:54.000]  of tracking down and investigating who is an individual is misusing these computers,
[41:54.000 --> 41:59.000]  who is sharing these pornographic images of children, who is sending them to whom.
[41:59.000 --> 42:02.000]  This is the hill to die on.
[42:02.000 --> 42:06.000]  The raid has gone on long enough, they can't have our children.
[42:06.000 --> 42:35.000]  John Baum reporting.
[42:36.000 --> 43:04.000]  I stay on air selling high quality products
[43:04.000 --> 43:07.000]  that you need, that you want, and that you're going to be happy with.
[43:07.000 --> 43:10.000]  That's why you come back and buy products from me again.
[43:10.000 --> 43:12.000]  It's a symbiotic relationship.
[43:12.000 --> 43:15.000]  I promote liberty, I promote freedom, I fight the globalist,
[43:15.000 --> 43:19.000]  and I'm able to do that because you buy products and at foreshore.com.
[43:19.000 --> 43:23.000]  And listen, all the products are great, but when it comes to high quality storeable food
[43:23.000 --> 43:27.000]  in an inflationary system with major supply chain breakdowns,
[43:27.000 --> 43:31.000]  this is an absolute 360 win, a no brainer.
[43:31.000 --> 43:35.000]  And they've got high quality storeable food ready to ship to you right now.
[43:35.000 --> 43:40.000]  The great folks at my patron supply exclusively prepare with alex.com discounted.
[43:40.000 --> 43:43.000]  So again, beat inflation, be prepared, fund the info war.
[43:43.000 --> 43:47.000]  The only way you lose is not taking action at infowarstore.com
[43:47.000 --> 43:50.000]  or prepare with alex.com right now.
[43:50.000 --> 43:52.000]  This is high quality storeable food.
[43:52.000 --> 43:53.000]  This is how you beat inflation.
[43:53.000 --> 43:55.000]  Get yours today, it's ready to ship.
[43:55.000 --> 43:59.000]  But I wouldn't wait because prices are about to go up because inflation is exploding.
[43:59.000 --> 44:03.000]  Anything of real quality, anything of lasting durability,
[44:03.000 --> 44:07.000]  anything that's really satisfying, empowering and fulfilling,
[44:07.000 --> 44:09.000]  it's going to be hard to attain.
[44:09.000 --> 44:13.000]  And when it comes to information, boy is that true today.
[44:13.000 --> 44:20.000]  We see the entire global corrupt, anti-human depopulation, great reset combine
[44:20.000 --> 44:26.000]  trying to collapse our society to build on its ashes, their transhumanist nightmare vision.
[44:26.000 --> 44:30.000]  Suppressing the voices of good people all around the world
[44:30.000 --> 44:35.000]  and of doctors and scientists and engineers that are exposing all their lies,
[44:35.000 --> 44:39.000]  their COVID hysteria, their world's going to end in 2030,
[44:39.000 --> 44:42.000]  carbon tax, global warming bull, all of it.
[44:42.000 --> 44:46.000]  And none of it can succeed, none of it can actually be carried out
[44:46.000 --> 44:49.000]  unless everybody is silenced and gas lit.
[44:49.000 --> 44:53.000]  And that's why truth comes with hard work and with research and with diligence
[44:53.000 --> 44:57.000]  and that's why it's hard to share in full wars links and ban video links.
[44:57.000 --> 45:00.000]  That's why we've got to share them now more than ever.
[45:00.000 --> 45:07.000]  The globalist social engineers always intended to push their COVID biomedical tyranny
[45:07.000 --> 45:11.000]  lockdowns until the populations rebelled.
[45:11.000 --> 45:15.000]  They would then use that as the pretext for permanent martial law
[45:15.000 --> 45:20.000]  and banning and arresting anybody that speaks out against their lies.
[45:20.000 --> 45:24.000]  But because of so many scientists and engineers and researchers and others
[45:24.000 --> 45:29.000]  coming public and whistleblowers, now their whole project is falling apart
[45:29.000 --> 45:35.000]  because the people are aware that it is a world government corporate takeover
[45:35.000 --> 45:38.000]  and so it's pulling back the curtain now more than ever.
[45:38.000 --> 45:44.000]  The problem is some globalist controlled areas are not going to give up on their takeover like Canada
[45:44.000 --> 45:50.000]  that now declared a civil emergency in martial law in Ontario and other areas of the world
[45:50.000 --> 45:52.000]  are following suit like Australia.
[45:52.000 --> 45:54.000]  So pray for these folks big time.
[45:54.000 --> 45:58.000]  It's a very serious situation and stay tuned into infowars.com
[45:58.000 --> 46:25.000]  Our route is absolutely paramount.
[46:28.000 --> 46:30.000]  We need to be able to keep up the pace.
[46:30.000 --> 46:34.000]  Our natural mixture harnesses the power of 10 known ingredients
[46:34.000 --> 46:38.000]  to let your body relax and get the sleep you need.
[46:38.000 --> 46:40.000]  Wake up refreshed and take on the day.
[46:40.000 --> 46:44.000]  InfoWarsLife wants to bring you a sleep support formula
[46:44.000 --> 46:48.000]  that goes above and beyond other leading brands at an affordable price.
[46:48.000 --> 46:52.000]  Get the sleep you deserve and experience the power of knockout.
[46:52.000 --> 46:56.000]  Head on over to infowarslife.com and say goodbye to fatigue.
[46:56.000 --> 46:59.000]  That's infowarslife.com
[47:27.000 --> 47:33.000]  Listen, I want to apologize and I mean it from the bottom of my heart to the listeners and the crew
[47:33.000 --> 47:39.000]  but I'm not somebody that sits here and acts like I'm not, you know that I'm something I'm not.
[47:39.000 --> 47:42.000]  I really care, I'm really informed, I'm really involved
[47:42.000 --> 47:47.000]  and I'm at the end of my rope with all the stuff going on in the world
[47:47.000 --> 47:53.000]  and I know the globalists nine times out of ten are the ones lighting the fuse
[47:53.000 --> 47:57.000]  that are endangering all of our lives and our children's lives
[47:57.000 --> 48:02.000]  and it's like the Donald Barkley show.
[48:02.000 --> 48:06.000]  I wasn't crazy because I didn't know enough, I knew too much.
[48:06.000 --> 48:09.000]  I'm going to stop now, you have my word,
[48:09.000 --> 48:13.000]  I've gotten good about not blowing up on air better than I was
[48:13.000 --> 48:18.000]  and I'm going to start over and I'm going to plow through the news
[48:18.000 --> 48:22.000]  but you have to understand something ladies and gentlemen, there's also a great frustration
[48:22.000 --> 48:28.000]  just this stack right here is so horrible
[48:28.000 --> 48:33.000]  and I refuse to rationalize what's going on and like not making a big deal in my brain
[48:33.000 --> 48:35.000]  and go into Stockholm syndrome.
[48:35.000 --> 48:39.000]  If there's one thing Alex Jones doesn't have, it's the Stockholm gene
[48:39.000 --> 48:45.000]  where when I'm being abused I can make excuses for it and I can decide I don't like it
[48:45.000 --> 48:49.000]  and you can just go along with it.
[48:49.000 --> 48:52.000]  I can decide I don't like being awake.
[48:52.000 --> 48:54.000]  I don't have the Stockholm gene
[48:54.000 --> 48:58.000]  and instead when people are enslaving me and my family and enslaving you
[48:58.000 --> 49:01.000]  I get extremely upset about it
[49:01.000 --> 49:07.000]  and just this stack alone right here is unbelievable.
[49:07.000 --> 49:11.000]  Do you know what happens?
[49:11.000 --> 49:18.000]  They had three more universities with CRISPR gene editors scan the damn COVID-19
[49:18.000 --> 49:22.000]  and it is 100% made in a lab
[49:22.000 --> 49:26.000]  and it's 100% made by Moderna
[49:26.000 --> 49:32.000]  and it's 100% made in 2016.
[49:32.000 --> 49:35.000]  I had family and friends die.
[49:35.000 --> 49:38.000]  They murdered people I know
[49:38.000 --> 49:42.000]  and debilitated other people I care about.
[49:42.000 --> 49:45.000]  And now they start a war with Russia.
[49:45.000 --> 49:48.000]  I'm so sick of Bill Gates.
[49:48.000 --> 49:50.000]  I'm so sick of Barack Obama.
[49:50.000 --> 49:52.000]  I'm so sick of Hillary Clinton.
[49:52.000 --> 49:57.000]  I can't even look at him anymore.
[49:57.000 --> 50:00.000]  If Vladimir Putin had his fingerprints on a bio weapon
[50:00.000 --> 50:02.000]  I'd say go to war with the Russians.
[50:02.000 --> 50:04.000]  I've never been to Russia.
[50:04.000 --> 50:06.000]  I don't have a dog in that fight
[50:06.000 --> 50:09.000]  but I don't ever catch the Russians messing with me.
[50:09.000 --> 50:12.000]  All I get is the criminals raping me and my family
[50:12.000 --> 50:14.000]  and raping you telling me I'm a Russian.
[50:14.000 --> 50:16.000]  And you know why they call me a Russian?
[50:16.000 --> 50:19.000]  Because the Russians aren't bowing down to their crap either.
[50:19.000 --> 50:21.000]  That's why they call us a Russian.
[50:21.000 --> 50:24.000]  They call anybody that doesn't get down on their knees
[50:24.000 --> 50:26.000]  and bow down to Hollywood
[50:26.000 --> 50:32.000]  and let them screw our kids and eff us over the Russians.
[50:32.000 --> 50:34.000]  See Russia is the new American
[50:34.000 --> 50:35.000]  because they captured America.
[50:35.000 --> 50:37.000]  You can't have a free open country
[50:37.000 --> 50:40.000]  because everybody else might want that.
[50:40.000 --> 50:42.000]  See what's happened is
[50:42.000 --> 50:44.000]  people used to love these rants
[50:44.000 --> 50:46.000]  but they're not good for me when I do them.
[50:46.000 --> 50:48.000]  And I stopped doing the rants over the years.
[50:48.000 --> 50:50.000]  You notice that I get pissed and got to walk off the show
[50:50.000 --> 50:52.000]  because I don't want to start doing this.
[50:56.000 --> 50:58.000]  I mean I'm not going to stand here
[50:58.000 --> 51:01.000]  and watch George Soros and Barack Obama
[51:01.000 --> 51:03.000]  blow the damn planet off
[51:03.000 --> 51:08.000]  because they got some kind of satanic fetish with it.
[51:08.000 --> 51:11.000]  See I told you I was going to focus the cover of the news.
[51:11.000 --> 51:14.000]  I'm going to behead myself.
[51:14.000 --> 51:16.000]  I'm going to take deep breaths
[51:16.000 --> 51:18.000]  and we're going to go through all of it in the next hour.
[51:18.000 --> 51:21.000]  And if I have to I'll push the grato and shroyer back
[51:21.000 --> 51:23.000]  30 minutes so I can cover all this
[51:23.000 --> 51:26.000]  because I got ready to cover all this
[51:26.000 --> 51:29.000]  and I got prepared probably a little too much
[51:29.000 --> 51:32.000]  any time I prepare 15 hours for a show.
[51:32.000 --> 51:34.000]  It's the weekend but I don't ever stop working.
[51:34.000 --> 51:35.000]  I apologize.
[51:35.000 --> 51:37.000]  I have to learn I've got to just prepare for a couple of hours.
[51:37.000 --> 51:38.000]  That's enough.
[51:38.000 --> 51:41.000]  Instead of literally reading
[51:41.000 --> 51:44.000]  three times more than what you see on my desk here I read.
[51:44.000 --> 51:46.000]  At least three times.
[51:46.000 --> 51:48.000]  Thousands of pages and thousands of videos
[51:48.000 --> 51:50.000]  and hundreds of videos.
[51:50.000 --> 51:52.000]  Oh my God.
[51:56.000 --> 51:58.000]  But you don't need me to tell you how screwed your big screw.
[51:58.000 --> 52:00.000]  Oh by the way I've got another video clip
[52:00.000 --> 52:02.000]  we'll never have time to get to, my fault.
[52:02.000 --> 52:04.000]  That people are like why don't you just play the clip.
[52:04.000 --> 52:06.000]  You know what maybe I should just start the next hour
[52:06.000 --> 52:08.000]  and just play clips and not talk
[52:08.000 --> 52:10.000]  and just let it be self-explanatory to you.
[52:10.000 --> 52:12.000]  Did you see Joe Biden?
[52:12.000 --> 52:14.000]  He said oh the economy's great.
[52:14.000 --> 52:17.000]  He fixed it
[52:17.000 --> 52:19.000]  and you're mentally ill
[52:19.000 --> 52:21.000]  because you don't like the inflation.
[52:21.000 --> 52:24.000]  He actually said that
[52:24.000 --> 52:27.000]  in that little chicken head,
[52:27.000 --> 52:29.000]  chicken neck,
[52:29.000 --> 52:31.000]  babbling BS.
[52:31.000 --> 52:34.000]  It's like blood in the water to China and Russia.
[52:34.000 --> 52:36.000]  We're cursed.
[52:36.000 --> 52:38.000]  This is what God has put over us.
[52:38.000 --> 52:40.000]  He's a corpse.
[52:40.000 --> 52:43.000]  He's a reanimated piece of beef jerky.
[52:56.000 --> 52:59.000]  Let me do this in a few minutes that are left here.
[52:59.000 --> 53:01.000]  Just tell you what I got in the stack.
[53:01.000 --> 53:03.000]  You know I called it
[53:03.000 --> 53:05.000]  a month ago when
[53:05.000 --> 53:07.000]  the CEO of Pfizer said
[53:07.000 --> 53:09.000]  oh we actually make
[53:09.000 --> 53:11.000]  whole viruses artificial in the lab.
[53:11.000 --> 53:13.000]  We did make COVID-19.
[53:13.000 --> 53:15.000]  People went what do you mean you made COVID-19?
[53:15.000 --> 53:17.000]  He goes oh you know
[53:17.000 --> 53:19.000]  off the other virus just to cover their ass.
[53:19.000 --> 53:21.000]  Now the head of Moderna
[53:21.000 --> 53:23.000]  went on Fox News
[53:23.000 --> 53:25.000]  and admitted
[53:25.000 --> 53:27.000]  the videos on infowords.com
[53:27.000 --> 53:29.000]  that okay it's man made big deal
[53:29.000 --> 53:31.000]  because they're caught red
[53:31.000 --> 53:33.000]  handed with all the top universities.
[53:33.000 --> 53:35.000]  They look at it and they go
[53:35.000 --> 53:37.000]  you know a 57 Chevy when you see one.
[53:37.000 --> 53:39.000]  Or you know a Dallas Cowboy
[53:39.000 --> 53:41.000]  helmet when you see one.
[53:41.000 --> 53:43.000]  Or you know what a Christmas tree is
[53:43.000 --> 53:45.000]  or what Santa Claus looks like
[53:45.000 --> 53:47.000]  or what George Washington looks like
[53:47.000 --> 53:49.000]  or what Jesus looks like.
[53:49.000 --> 53:51.000]  You know what the Hindenburg looked like.
[53:53.000 --> 53:55.000]  And they look at it and they go
[53:55.000 --> 53:57.000]  good God this is the most ridiculous
[53:57.000 --> 53:59.000]  man made virus we've ever seen.
[53:59.000 --> 54:01.000]  It's got all the codes
[54:01.000 --> 54:03.000]  how it was cut together. It's synthetic.
[54:03.000 --> 54:05.000]  None of it's real.
[54:05.000 --> 54:07.000]  It's not even pieces of viruses.
[54:07.000 --> 54:09.000]  The whole damn thing is synthetic.
[54:09.000 --> 54:11.000]  And then they got
[54:11.000 --> 54:13.000]  this little chicken neck weasel
[54:13.000 --> 54:15.000]  up there like it's funny that they made it
[54:15.000 --> 54:17.000]  and they killed all these people.
[54:17.000 --> 54:19.000]  And then they shut the economy down.
[54:19.000 --> 54:21.000]  And then they
[54:21.000 --> 54:23.000]  murdered all those people
[54:23.000 --> 54:25.000]  and ran around and pissed on us
[54:25.000 --> 54:27.000]  and then they made hundreds of billions of dollars.
[54:29.000 --> 54:31.000]  And now they're up there giggling
[54:31.000 --> 54:33.000]  and snickering look look he's got like
[54:33.000 --> 54:35.000]  a 50 million
[54:35.000 --> 54:37.000]  dollar painting hanging on the wall behind him.
[54:49.000 --> 54:51.000]  I got a stack of that.
[54:51.000 --> 54:53.000]  I got stuff even worse than that.
[54:53.000 --> 54:55.000]  How do you
[54:55.000 --> 54:57.000]  like what world do we wake up?
[54:57.000 --> 54:59.000]  Oh well he's not a soldier
[54:59.000 --> 55:01.000]  so he's allowed to kill us with shots.
[55:01.000 --> 55:03.000]  He's not a soldier.
[55:03.000 --> 55:05.000]  He's allowed to create this
[55:05.000 --> 55:07.000]  caught red-handed with the COVID
[55:07.000 --> 55:09.000]  spike protein
[55:09.000 --> 55:11.000]  program delivery system
[55:11.000 --> 55:13.000]  2016 and we had the documents
[55:13.000 --> 55:15.000]  two years ago that it was made in a lab
[55:15.000 --> 55:17.000]  and the emails how they tried to release it
[55:17.000 --> 55:19.000]  and set the Pentagon up and everything else.
[55:19.000 --> 55:21.000]  But just this story alone
[55:21.000 --> 55:23.000]  you can make 20 movies about
[55:23.000 --> 55:25.000]  you can talk about it for a thousand years.
[55:25.000 --> 55:27.000]  This is the crime of the century.
[55:27.000 --> 55:29.000]  And that's just one giant
[55:29.000 --> 55:31.000]  bombshell massive revelation.
[55:31.000 --> 55:33.000]  Modernist CEO struggles
[55:33.000 --> 55:35.000]  to answer why COVID-19 contains
[55:35.000 --> 55:37.000]  patented gene sequence.
[55:37.000 --> 55:39.000]  It's one out of
[55:39.000 --> 55:41.000]  three trillion that you could find
[55:41.000 --> 55:43.000]  that.
[55:43.000 --> 55:45.000]  And that's just in the wild much less a company
[55:45.000 --> 55:47.000]  that makes those things
[55:47.000 --> 55:49.000]  that was at the center of it
[55:49.000 --> 55:51.000]  partially by Bill Gates having it
[55:51.000 --> 55:53.000]  three four years before the virus
[55:53.000 --> 55:55.000]  is released.
[55:55.000 --> 55:57.000]  Impossible.
[55:57.000 --> 55:59.000]  It's one thing to say one out of three trillion
[55:59.000 --> 56:01.000]  this could occur naturally in nature
[56:01.000 --> 56:03.000]  but then the very company that rolls
[56:03.000 --> 56:05.000]  it out to try to make you take
[56:05.000 --> 56:07.000]  it is the one years before that has
[56:07.000 --> 56:09.000]  it. That's impossible.
[56:09.000 --> 56:11.000]  Impossible.
[56:11.000 --> 56:13.000]  Impossible.
[56:13.000 --> 56:15.000]  Impossible.
[56:15.000 --> 56:17.000]  Impossible.
[56:17.000 --> 56:19.000]  And so because I tell the truth
[56:19.000 --> 56:21.000]  the deep state goes around
[56:21.000 --> 56:23.000]  and pays Judas Iscariots
[56:23.000 --> 56:25.000]  off to lie about me
[56:25.000 --> 56:27.000]  in HBO, CNN,
[56:27.000 --> 56:29.000]  Netflix, you name it
[56:29.000 --> 56:31.000]  specials and it doesn't hurt me
[56:31.000 --> 56:33.000]  when they're lying about me. It hurts me
[56:33.000 --> 56:35.000]  that people I never did
[56:35.000 --> 56:37.000]  anything to
[56:37.000 --> 56:39.000]  are literally whole cloth lying
[56:39.000 --> 56:41.000]  about me
[56:41.000 --> 56:43.000]  for 20 pieces of silver
[56:43.000 --> 56:45.000]  when their own future
[56:45.000 --> 56:47.000]  is hanging in the balance
[56:47.000 --> 56:49.000]  they don't even have life force.
[56:49.000 --> 56:51.000]  They don't have
[56:51.000 --> 56:53.000]  and I mean look at this little CEO
[56:53.000 --> 56:55.000]  look at this guy. He dumped
[56:55.000 --> 56:57.000]  all his stock before they plunged it
[56:57.000 --> 56:59.000]  in a criminal pump and dump. Don't hold your breath
[56:59.000 --> 57:01.000]  for the Justice Department doing anything about him
[57:01.000 --> 57:03.000]  because he's like Nancy Pelosi and all the members
[57:03.000 --> 57:05.000]  of Congress.
[57:05.000 --> 57:07.000]  He's above the law.
[57:07.000 --> 57:09.000]  He's allowed to do whatever
[57:09.000 --> 57:11.000]  he wants
[57:11.000 --> 57:13.000]  and it just gets more insane.
[57:13.000 --> 57:15.000]  This is all COVID
[57:15.000 --> 57:17.000]  nightmare information
[57:17.000 --> 57:19.000]  all of it confirmed, all of it horrible
[57:19.000 --> 57:21.000]  but we're so tough
[57:21.000 --> 57:23.000]  they use that against us.
[57:23.000 --> 57:25.000]  Now that it's come out they did it
[57:25.000 --> 57:27.000]  now that they've moved on to a new subject
[57:27.000 --> 57:29.000]  though they're going to bring a lockdowns back later
[57:29.000 --> 57:31.000]  we're all just supposed to forget about it
[57:31.000 --> 57:33.000]  and rush ourselves off and all the people we
[57:33.000 --> 57:35.000]  buried and just move forward
[57:35.000 --> 57:37.000]  no we're not going to move forward
[57:37.000 --> 57:39.000]  and if it's my dying breath
[57:39.000 --> 57:41.000]  we're going to make sure you guys are prosecuted
[57:41.000 --> 57:43.000]  by Senator Bill Gates
[57:43.000 --> 57:45.000]  Peter Dazik
[57:45.000 --> 57:47.000]  that little monster
[57:47.000 --> 57:49.000]  garden known fouchy
[57:49.000 --> 57:51.000]  Experience the next level
[57:51.000 --> 57:53.000]  in high powered energy
[57:53.000 --> 57:55.000]  new tropics with our latest brain force offering
[57:55.000 --> 57:57.000]  Brain Force Ultra
[57:57.000 --> 57:59.000]  Now it is easier than ever to take
[57:59.000 --> 58:01.000]  in the new liquid form
[58:01.000 --> 58:03.000]  with eight beneficial super ingredients
[58:03.000 --> 58:05.000]  Brain Force Ultra is the result of years
[58:05.000 --> 58:07.000]  of enhanced formulation
[58:07.000 --> 58:09.000]  three of toxic additives
[58:09.000 --> 58:11.000]  specifically selected for its many key properties
[58:11.000 --> 58:13.000]  some of the proprietary
[58:13.000 --> 58:15.000]  super ingredients behind Brain Force Ultra
[58:15.000 --> 58:16.000]  include
[58:16.000 --> 58:17.000]  Garamaseep
