[00:00:08.949 --> 00:00:09.390]  Death and taxes.
[00:40:13.295 --> 00:40:14.836]  Do the math.
[00:40:14.836 --> 00:40:15.356]  So get it.
[00:40:15.356 --> 00:40:16.537]  Get your friends and family to watch.
[00:40:16.537 --> 00:40:17.857]  Download the films you want.
[00:40:17.857 --> 00:40:18.597]  Burn them to disk.
[00:40:18.597 --> 00:40:21.358]  A lot of other films have been authorized to be posted on there.
[00:40:21.358 --> 00:40:22.299]  This is our place.
[00:40:23.567 --> 00:40:28.511]  Okay, InfoWars.com, PrisonPlanet.com, PrisonPlanet.tv.
[00:40:28.511 --> 00:40:35.237]  These are our operations to then flood the enemy transmission sites with our information.
[00:40:35.237 --> 00:40:38.881]  We jack in to the mind control matrix through these ports.
[00:40:40.302 --> 00:40:42.483]  But our ports are under attack.
[00:40:42.483 --> 00:40:47.425]  Our ports we have to pour money into to keep up and deal with the dirty tricks and the sabotage and the rest of it.
[00:40:47.425 --> 00:40:48.605]  You never hear about it.
[00:40:48.605 --> 00:40:58.689]  So realize it is a war and these are gun emplacements firing on enemy forces, blowing their major capital ships into burning hulks.
[00:40:59.269 --> 00:41:01.291]  We are smashing through their lies.
[00:41:01.291 --> 00:41:03.694]  We are overrunning their positions.
[00:41:03.694 --> 00:41:05.576]  Because the enemy is pathetic.
[00:41:05.576 --> 00:41:10.121]  Their whole program is to attack mesmerized, unconscious zombies.
[00:41:14.537 --> 00:41:16.158]  Anyone can fight them.
[00:41:16.158 --> 00:41:22.083]  Truth stands up if it's said by a little old lady on crutches who's had a stroke and can hardly talk.
[00:41:22.083 --> 00:41:28.748]  Her utterance of the New World Orders of fraud and evil and anti-human and anti-God shakes it to its core.
[00:41:28.748 --> 00:41:31.250]  It tells you you don't have power because you do have power.
[00:41:33.143 --> 00:41:44.585]  So I want to see everyone go and become PrisonPlanet.tv members and I want to see you download the material off of it and make hard copies and create backup archives and libraries in your home for what's coming in the future.
[00:41:45.814 --> 00:41:47.554]  And to put it on AXS television.
[00:41:47.554 --> 00:41:48.955]  A lot of TV stations.
[00:41:48.955 --> 00:41:50.295]  Don't wait for orders from headquarters.
[00:41:50.295 --> 00:41:50.975]  You're authorized.
[00:41:50.975 --> 00:41:51.935]  You've been doing it.
[00:41:51.935 --> 00:41:57.557]  We've got a form on there that authorizes it for commercial TV or for AXS TV, whatever.
[00:41:57.557 --> 00:41:58.777]  Just download the nightly news.
[00:41:58.777 --> 00:42:00.117]  Put it on your TV station.
[00:42:00.117 --> 00:42:01.657]  People are doing that all over.
[00:42:01.657 --> 00:42:03.738]  They're not waiting for orders from headquarters.
[00:42:03.738 --> 00:42:04.838]  There is no headquarters.
[00:42:04.838 --> 00:42:06.318]  That's why we cannot be stopped.
[00:42:06.318 --> 00:42:07.319]  We have the truth.
[00:42:07.319 --> 00:42:10.920]  We have God on our side if we take action.
[00:42:10.920 --> 00:42:12.920]  So again, become a PrisonPlanet.tv member.
[00:42:14.400 --> 00:42:15.361]  Do it today.
[00:42:15.361 --> 00:42:17.062]  Go to Infowarslife.com.
[00:42:17.062 --> 00:42:20.025]  Try the X2 super nascent iodine.
[00:42:20.025 --> 00:42:27.932]  Try the super male vitality, the super female vitality that goes in and blocks all these artificial hormones they've been adding to our food and water.
[00:42:27.932 --> 00:42:32.116]  It helps your body create its own natural enzymes and things.
[00:42:32.116 --> 00:42:33.717]  Just go research the information.
[00:42:33.717 --> 00:42:35.319]  Infowarslife.com.
[00:42:35.319 --> 00:42:36.760]  Fuel our operation.
[00:42:36.760 --> 00:42:38.161]  Midair refueling.
[00:42:38.161 --> 00:42:39.863]  Fuel us and you get this commitment.
[00:42:40.748 --> 00:42:52.133]  You will get absolute Americana love of liberty, love of justice, love of stomping on tyrants, savage attack on the New World Order, 110% going in.
[00:42:52.133 --> 00:42:54.894]  You want an information warfare kamikaze attack?
[00:42:54.894 --> 00:42:57.315]  This is it, ladies and gentlemen.
[00:42:57.315 --> 00:43:04.558]  And believe me, we've already flown through the enemy repeatedly, and we only get stronger on the other side every time we ram up against the enemy.
[00:43:05.694 --> 00:43:12.555]  They can be absolutely destroyed if we find our soul, our heart again, and repent.
[00:43:12.555 --> 00:43:17.476]  And stop using evil systems of thought, evil systems of manipulation.
[00:43:17.476 --> 00:43:21.697]  And just straight forward, shoot straight in life, that's what it's all about.
[00:43:21.697 --> 00:43:24.078]  And that means telling the truth about the New World Order.
[00:43:24.078 --> 00:43:31.219]  It's bad for everybody, even the technocrats at top that think they're become god men and are going to merge with the cybernetic interfaces.
[00:43:35.106 --> 00:43:41.911]  So again, PrisonPlanet.tv, InfowarsStore.com, or 888-253-3139.
[00:43:41.911 --> 00:43:43.072]  We fund our operation.
[00:43:43.072 --> 00:43:49.957]  We're expanding our operation the old-fashioned way by selling high-quality products at extremely low prices, and we appreciate your support.
[00:43:49.957 --> 00:43:55.361]  High-quality water filters that cut out the fluoride, the glyphosates, and the rest of it at the lowest price out there.
[00:43:55.361 --> 00:43:56.381]  Promo code WATER, 10% off.
[00:43:57.878 --> 00:44:05.223]  And then you get a great water filter that I personally use, that you've heard the rave reviews, that cuts out almost everything, and then you support the transmission.
[00:44:05.223 --> 00:44:07.684]  Win, win, win, win.
[00:44:07.684 --> 00:44:09.165]  Winning.
[00:44:09.165 --> 00:44:11.127]  Symbiotic relationships.
[00:44:11.127 --> 00:44:13.388]  That's what we're about here, ladies and gentlemen.
[00:44:13.388 --> 00:44:14.949]  And we will defend your rights.
[00:44:14.949 --> 00:44:16.330]  You will defend our rights.
[00:44:16.330 --> 00:44:17.291]  I am with you.
[00:44:17.291 --> 00:44:18.191]  You are with me.
[00:44:18.191 --> 00:44:18.912]  It's real simple.
[00:44:21.488 --> 00:44:26.309]  I love workin' hard, I love fightin' tyrants, but I mean, I'll be honest, I would never commit suicide, ladies and gentlemen.
[00:44:26.309 --> 00:44:27.329]  I love life so much.
[00:44:27.329 --> 00:44:28.950]  But I'll be quite honest with people.
[00:44:28.950 --> 00:44:31.390]  Somebody walks up to me in public and blows my brains out?
[00:44:31.390 --> 00:44:34.191]  You just got me off work, ladies and gentlemen!
[00:44:34.191 --> 00:44:36.051]  You think I'm afraid of any of it?
[00:44:36.051 --> 00:44:37.991]  I'm afraid of nothing other than failing.
[00:44:37.991 --> 00:44:39.912]  I'm afraid of not being a good person.
[00:44:39.912 --> 00:44:43.052]  I'm afraid of my soul not being lined up, pointed at God.
[00:44:43.052 --> 00:44:45.273]  And I'm afraid of not going with God.
[00:44:45.273 --> 00:44:46.873]  Vaya con Dios.
[00:44:46.873 --> 00:44:48.274]  That's all I'm afraid of.
[00:44:48.274 --> 00:44:49.134]  I'm free!
[00:44:49.134 --> 00:44:50.314]  Has anybody figured that out yet?
[00:44:54.246 --> 00:44:59.772]  New World Order kills me, all they've done is punched me out of work.
[00:44:59.772 --> 00:45:02.494]  And people say, don't tell them what you're afraid of.
[00:45:02.494 --> 00:45:04.977]  Obviously, I don't want to be in a torture camp.
[00:45:04.977 --> 00:45:07.960]  Obviously, I don't want to be kept for 30 years in a dungeon.
[00:45:07.960 --> 00:45:11.143]  But if that's the cost, I tell you, I'm not afraid to die.
[00:45:11.143 --> 00:45:12.404]  I'm afraid of that.
[00:45:12.404 --> 00:45:13.105]  And I'm ready!
[00:45:13.105 --> 00:45:13.606]  I'm ready!
[00:45:13.606 --> 00:45:14.987]  I'm ready for it all!
[00:45:14.987 --> 00:45:17.590]  You can even destroy my mind, you'll never get my soul!
[00:45:19.093 --> 00:45:23.095]  You think God counts it when you torture somebody into giving up?
[00:45:23.095 --> 00:45:23.475]  No!
[00:45:23.475 --> 00:45:24.776]  Those people go right to God!
[00:45:24.776 --> 00:45:27.897]  And that's where I want to be for eternity in the universe!
[00:45:27.897 --> 00:45:30.178]  And all the things God's got ready for us!
[00:45:30.178 --> 00:45:31.299]  All the great adventures!
[00:45:31.299 --> 00:45:32.379]  This is only the beginning!
[00:45:32.379 --> 00:45:34.240]  This is only boot camp!
[00:45:34.240 --> 00:45:38.603]  And I want to come out of here with an A-plus!
[00:45:38.603 --> 00:45:39.543]  You understand that?
[00:45:39.543 --> 00:45:41.004]  This isn't a game, people!
[00:45:41.004 --> 00:45:42.584]  This is the real deal!
[00:45:42.584 --> 00:45:47.327]  Alright, let's go ahead and take a couple of these phone calls and then...
[00:45:48.550 --> 00:45:53.113]  Department of Justice report says regions near Mexico border most crime ridden in the U.S.
[00:45:53.113 --> 00:45:55.315]  except for Chicago.
[00:45:55.315 --> 00:46:00.618]  Everywhere run by the evil New World Order is a cesspit of pain because that's what they like.
[00:46:00.618 --> 00:46:03.120]  They're pointed at their God.
[00:46:03.120 --> 00:46:04.361]  They've gone with their God.
[00:46:04.361 --> 00:46:07.023]  They've gone with the devil.
[00:46:07.023 --> 00:46:11.706]  How do you say that in Spanish?
[00:46:11.706 --> 00:46:14.288]  Visa con Dios?
[00:46:14.288 --> 00:46:15.149]  Go with God?
[00:46:15.149 --> 00:46:16.690]  Vaya con Satanás.
[00:46:18.271 --> 00:46:20.712]  Yeah, that's their slogan.
[00:46:20.712 --> 00:46:27.254]  Vaya... Vaya... Sounds better to say Vaya con Diablo.
[00:46:27.254 --> 00:46:29.754]  Yeah, Vaya con Diablo.
[00:46:29.754 --> 00:46:30.875]  Yeah, not me!
[00:46:30.875 --> 00:46:32.235]  No!
[00:46:32.235 --> 00:46:33.575]  No!
[00:46:33.575 --> 00:46:35.856]  Not going with Diablo.
[00:46:35.856 --> 00:46:39.017]  Because I got enough Diablo in me to know where that really goes.
[00:46:39.017 --> 00:46:42.238]  And let me tell you something, I'm not signing on to any of that.
[00:46:45.700 --> 00:46:48.361]  Devil sells it like a hot cheerleader with a devil tail.
[00:46:48.361 --> 00:46:50.383]  That's not what the devil's like.
[00:46:50.383 --> 00:46:55.585]  At the bottom of a spider hole, there's a big mean spider gonna suck your soul out.
[00:46:55.585 --> 00:46:59.247]  Nothing but pain and anguish and dishonor and weakness.
[00:46:59.247 --> 00:47:03.349]  I don't want any part of it!
[00:47:03.349 --> 00:47:04.370]  I'm not even getting to the news yet.
[00:47:04.370 --> 00:47:06.171]  I'm gonna go to your phone calls like I said I would.
[00:47:06.171 --> 00:47:08.792]  Let's talk to Dakota in Nevada.
[00:47:08.792 --> 00:47:09.453]  You're on the air.
[00:47:09.453 --> 00:47:10.793]  Go ahead.
[00:47:10.793 --> 00:47:11.234]  Yes, sir.
[00:47:12.761 --> 00:47:30.838]  I want to talk about the pressure that's being set by the police not following the Constitution and where that points us as people and how we're expected, you know, to lay down our arms if the police can't even protect us, then who's left?
[00:47:33.356 --> 00:47:43.260]  Well, no, that's the breakdown of society, and that's why you see sheriffs and police chiefs everywhere with a look of manliness on their faces, but concerned, their eyes wide open, their eyes focused.
[00:47:43.260 --> 00:47:47.161]  Black sheriffs, Hispanic sheriffs, white sheriffs, you name it, police chiefs everywhere.
[00:47:47.161 --> 00:47:57.605]  There was more yesterday, saying the government is creating lawlessness, there is a crime wave, buy guns, defend yourselves, always carry a gun, go out and get basic training with it.
[00:47:57.605 --> 00:48:00.206]  You know, we're with you because they care about humanity.
[00:48:01.135 --> 00:48:04.737]  You're going to see cops say, we're going to defend the Constitution and Bill of Rights.
[00:48:04.737 --> 00:48:06.598]  We know evil's taking over.
[00:48:06.598 --> 00:48:09.919]  Or they're going to say, I don't care, I can do whatever I want.
[00:48:09.919 --> 00:48:16.063]  You're going to see those two things happen as America circles the black hole.
[00:48:16.063 --> 00:48:21.985]  As we go faster and faster and faster into that vortex.
[00:48:21.985 --> 00:48:26.368]  So, I mean, places like Chicago and New York are just going to collapse.
[00:48:27.910 --> 00:48:31.912]  And then the suburbs will be fine in Chicago, they've got the actual middle class people.
[00:48:31.912 --> 00:48:35.553]  In Chicago, one area is nice and safe, the next area is a living hell.
[00:48:35.553 --> 00:48:37.194]  You're just going to see compartmentalization.
[00:48:37.194 --> 00:48:38.934]  L.A.'
[00:48:38.914 --> 00:48:41.995]  's going to collapse, it already is collapsing.
[00:48:41.995 --> 00:48:43.516]  It's just, it's already burning.
[00:48:43.516 --> 00:48:51.219]  I mean, last time I was in L.A., I was sitting there, literally, at somebody's house.
[00:48:51.219 --> 00:48:54.060]  In this big swimming pool, with a butler bringing me iced tea.
[00:48:58.267 --> 00:49:05.132]  With women laid out in bikinis, with ash raining down.
[00:49:05.132 --> 00:49:09.455]  And the time I'd been there before at a movie star's house, there was ash raining down that time.
[00:49:09.455 --> 00:49:10.996]  I mean, ash like hell.
[00:49:10.996 --> 00:49:14.318]  And as I flew in, the city was burning all over.
[00:49:14.318 --> 00:49:18.441]  And you could just feel the spirit of the town.
[00:49:18.441 --> 00:49:20.482]  The saint of Los Angeles.
[00:49:20.482 --> 00:49:23.524]  El Diablo.
[00:49:23.524 --> 00:49:25.345]  And I was like, this is hell.
[00:49:25.345 --> 00:49:26.286]  I need to get out of here.
[00:49:28.170 --> 00:49:34.013]  And I've been invited out there literally 50 times since then or more, and I've not gone.
[00:49:34.013 --> 00:49:35.314]  No, no, no.
[00:49:35.314 --> 00:49:38.156]  I will not set foot in Los Angeles.
[00:49:38.156 --> 00:49:39.797]  I mean, it is a real spirit of evil.
[00:49:39.797 --> 00:49:41.238]  You don't feel it in Santa Cruz.
[00:49:41.238 --> 00:49:42.699]  You don't feel it in San Diego.
[00:49:42.699 --> 00:49:45.000]  You don't even feel it in San Francisco.
[00:49:45.000 --> 00:49:47.722]  You feel it in L.A., man.
[00:49:47.722 --> 00:49:49.043]  I will not get near it.
[00:49:49.043 --> 00:49:50.084]  Anyways, anything else, caller?
[00:49:52.030 --> 00:49:59.477]  I just had one more question and that's how far do you think this is going to go before anybody wakes up?
[00:49:59.477 --> 00:50:00.838]  Bioweapons being released.
[00:50:00.838 --> 00:50:03.940]  I don't know if it's this with Ebola, probably not.
[00:50:03.940 --> 00:50:04.761]  Billions dead.
[00:50:04.761 --> 00:50:05.962]  World government.
[00:50:05.962 --> 00:50:06.343]  Robot.
[00:50:07.082 --> 00:50:09.925]  Robots on the streets, drones flying around with taser guns.
[00:50:09.925 --> 00:50:12.748]  Told people about that 15 years ago, it's now rolled out.
[00:50:12.748 --> 00:50:17.834]  Just armored vehicles, disease, almost complete infertility in the population.
[00:50:17.834 --> 00:50:24.541]  It'll just exponentially grow in the decades to come until, if God doesn't intervene, no flesh will be spared.
[00:50:25.322 --> 00:50:28.244]  And Joel Olsteen will be on TV the whole time.
[00:50:28.244 --> 00:50:29.265]  Name it and claim it.
[00:50:29.265 --> 00:50:36.189]  And the big mega-churches will have their counselors telling their wives to divorce their husbands and worship the government.
[00:50:36.189 --> 00:50:38.711]  It'll just be absolute Satanism in the streets.
[00:50:38.711 --> 00:50:43.554]  Does that answer your question?
[00:50:43.554 --> 00:50:44.154]  Absolutely.
[00:50:44.154 --> 00:50:44.735]  Thank you, sir.
[00:50:44.735 --> 00:50:46.436]  Appreciate your call.
[00:50:46.436 --> 00:50:47.757]  We're going to go to Jordan.
[00:50:49.156 --> 00:50:51.821]  And Zach and John and Rob and others.
[00:50:51.821 --> 00:50:53.705]  I'm your host Alex Jones.
[00:50:53.705 --> 00:50:56.310]  We'll just continue steaming forward with your calls.
[00:50:56.310 --> 00:50:59.857]  We have a special guest joining us on the Global Meltdown and more.
[00:50:59.857 --> 00:51:00.298]  Stay with us.
[00:51:02.850 --> 00:51:04.692]  Adam Miller here with Midas Resources.
[00:51:04.692 --> 00:51:06.294]  Today, August 6th, 2014, gold opened at $1308.50.
[00:51:06.294 --> 00:51:09.819]  A one ounce gold coin can be purchased for $13.56, $6.78 for a half ounce, or $3.39 for a quarter ounce.
[00:51:09.819 --> 00:51:10.279]  That's $13.56, $6.78, and $3.39.
[00:51:21.383 --> 00:51:22.564]  Hi, this is Ted Anderson.
[00:51:22.564 --> 00:51:27.948]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[00:51:27.948 --> 00:51:28.829]  Wait a sec.
[00:51:28.829 --> 00:51:33.232]  Gold and silver is going up while Congress is trying to settle on the next debt increase.
[00:51:33.232 --> 00:51:34.954]  And there's no end to this madness.
[00:51:34.954 --> 00:51:40.138]  That old 401k and IRA can be converted into physical gold without tax consequences.
[00:51:40.718 --> 00:51:43.641]  I explained this in my book, 10 Reasons to Buy Gold.
[00:51:43.641 --> 00:51:44.982]  Don't let time slip away.
[00:51:44.982 --> 00:51:46.504]  Call for your free copy today.
[00:51:46.504 --> 00:51:46.744]  800-686-2237.
[00:51:46.744 --> 00:51:48.846]  Get away from that Washington spin and get honest answers about gold.
[00:51:48.846 --> 00:51:48.906]  800-686-2237.
[00:51:48.906 --> 00:51:49.627]  The book is free.
[00:51:49.627 --> 00:51:49.667]  800-686-2237.
[00:52:02.236 --> 00:52:05.077]  Hi folks, Alex Jones here with some important information.
[00:52:05.077 --> 00:52:10.178]  I want to tell you about Matt Redhawk and his team of Patriots over at MyPatriotSupply.
[00:52:10.178 --> 00:52:18.299]  Several years ago, Matt was sitting in his two-bedroom apartment, frustrated with the direction this country was headed and the Charlatans willing to sell us out for a quick buck.
[00:52:18.299 --> 00:52:22.820]  Deciding to take action, a company run by Patriots for Patriots was born.
[00:52:22.820 --> 00:52:26.621]  MyPatriotSupply has never taken a loan or accepted outside funding.
[00:52:26.801 --> 00:52:32.745]  They now operate two distribution facilities and employ over 50 hard-working American men and women.
[00:52:32.745 --> 00:52:35.907]  It is rare to find companies who practice what they preach.
[00:52:35.907 --> 00:52:41.291]  And that's why I stock my pantry with high-quality storable foods from My Patriot Supply.
[00:52:41.291 --> 00:52:49.437]  Go to mypatriotsupply.com forward slash alex today for special offers on emergency food storage or call their preparedness specialist at 866-229-0927.
[00:52:49.437 --> 00:52:49.657]  That's 866-229-0927.
[00:52:56.001 --> 00:52:58.627]  Do business with someone who shares your values.
[00:52:58.627 --> 00:53:01.292]  Buypatriotsupply.com slash Alex.
[00:53:02.125 --> 00:53:06.468]  Are you happy doing your laundry with perfume detergents that irritate your skin?
[00:53:06.468 --> 00:53:11.211]  Are you happy washing your hands with stinking fragrances that gives your skin rashes?
[00:53:11.211 --> 00:53:15.293]  Are you happy paying new higher prices for smaller boxes?
[00:53:15.293 --> 00:53:27.160]  Find your happiness today with our 1 to 4 year supply of Pure Soaps or our 1 to 2 month sampler with Bar Soap, Shampoo, Laundry and Dish Soap at 5starsoap.com.
[00:53:27.160 --> 00:53:28.701]  You deserve the best.
[00:53:28.701 --> 00:53:31.023]  Happiness is 5starsoap.com.
[00:53:31.543 --> 00:53:34.265]  Silver has always been nature's very own antibiotic.
[00:53:34.265 --> 00:53:38.568]  And only one system allows you to generate an endless supply of natural silver solutions.
[00:53:38.568 --> 00:53:39.969]  SilverLungs.com.
[00:53:39.969 --> 00:53:42.651]  You'll find no wild claims or pseudoscience.
[00:53:42.651 --> 00:53:45.653]  Just a lifetime of nano-sized pure silver solutions.
[00:53:45.653 --> 00:53:47.995]  The Silver Lungs Generator allows you to make your own.
[00:53:47.995 --> 00:53:49.896]  So stop paying for silver solutions.
[00:53:49.896 --> 00:53:55.460]  The unique lung delivery system targets respiratory infections where other silver solutions simply cannot reach.
[00:53:55.460 --> 00:53:59.263]  See the Silver Lungs Generator and lung delivery system at SilverLungs.com.
[00:53:59.263 --> 00:54:00.764]  That's SilverLungs.com.
[00:54:04.850 --> 00:54:16.154]  The preacher man says it's the end of time and the Mississippi River, she's a gold drive.
[00:54:16.154 --> 00:54:22.096]  The interest is up and the stock market's down and you're only getting mugged if you go downtown.
[00:54:27.980 --> 00:54:44.590]  We're going to go right back to your phone calls, and then Bill Bonner, who's a famous entrepreneur, famous best-selling author, is going to be joining us about his new book that's coming out.
[00:54:44.590 --> 00:54:48.853]  He's a two-time New York Times best-selling author, historian, economist, entrepreneur.
[00:54:48.853 --> 00:54:53.596]  You see him on television a lot as an analyst, and he's going to be joining us
[00:54:55.560 --> 00:55:02.184]  To give us a global view on the economy and where the world is going.
[00:55:02.184 --> 00:55:03.865]  Hey guys, I had his book in here last week.
[00:55:03.865 --> 00:55:07.488]  Will somebody find that for me or get me the info on his book?
[00:55:07.488 --> 00:55:09.589]  So that we can break that down when he comes on with us.
[00:55:09.589 --> 00:55:12.491]  I know he doesn't really want to come on about the book, but I want to talk about that some.
[00:55:12.491 --> 00:55:13.251]  Thank you.
[00:55:13.251 --> 00:55:14.012]  That's coming up.
[00:55:14.012 --> 00:55:21.957]  And then we have joining us as well, Joel Skousen, who's also lived all over the world and is an expert on pandemics and strategic relocation.
[00:55:23.035 --> 00:55:26.636]  Not even so much saying this Ebola is going to become a pandemic here in the U.S.
[00:55:26.636 --> 00:55:33.899]  Obviously Africa already has a tragedy, but what would another bioweapon or something getting out look like?
[00:55:33.899 --> 00:55:35.559]  What would the panicking look like?
[00:55:35.559 --> 00:55:41.682]  Hey, re-pull me that article from yesterday about, I think it was 30 things you need to know about the Ebola thing, and then I've got another one today.
[00:55:41.682 --> 00:55:44.343]  I want to go over that with him in the third hour today.
[00:55:44.343 --> 00:55:45.723]  Let's go back to your calls.
[00:55:45.723 --> 00:55:47.644]  Jordan in Colorado, you're on the air.
[00:55:47.644 --> 00:55:48.024]  Go ahead.
[00:55:49.192 --> 00:55:53.977]  Well, first off, I just want to let you know I'm a former SEER instructor in the United States Air Force.
[00:55:53.977 --> 00:56:00.264]  For those listeners that don't know, a SEER instructor is a survival, evasion, resistance, and escape specialist.
[00:56:00.264 --> 00:56:04.729]  What we do is we teach people how to survive in the woods if they were to go down behind enemy lines.
[00:56:05.149 --> 00:56:05.650]  I don't know.
[00:56:25.189 --> 00:56:28.652]  All the soldiers that were with him have clearly said that he was a deserter.
[00:56:28.652 --> 00:56:30.913]  He left a note saying that he was leaving.
[00:56:30.913 --> 00:56:34.236]  Why is this even being allowed to go forward?
[00:56:34.236 --> 00:56:38.559]  Why is he not being hung on the steps of the National Mall?
[00:56:38.559 --> 00:56:44.223]  I mean, that's what is called for in the UCNJ when you commit treason.
[00:56:44.223 --> 00:56:46.525]  Well, that's interesting, sir.
[00:56:46.525 --> 00:56:47.786]  Where do you see all this going?
[00:56:50.218 --> 00:56:51.219]  World War III.
[00:56:51.219 --> 00:56:55.981]  I mean, with everything that's going on in Russia and Ukraine right now, Obama is pissing Putin off.
[00:56:55.981 --> 00:56:57.141]  It is not looking good.
[00:56:57.141 --> 00:57:02.743]  He is having, you know, a unit-measuring contest, so to say, right now with Putin.
[00:57:02.743 --> 00:57:05.845]  All the thing that's going on in Africa is Ebola, man.
[00:57:05.845 --> 00:57:08.206]  It's scaring the ever-loving crap out of me.
[00:57:10.090 --> 00:57:14.174]  It's going to global war, is what they're trying to do.
[00:57:14.174 --> 00:57:21.180]  I see by 2016, martial law is definitely going to be declared so that Obama will try to stay in office.
[00:57:21.180 --> 00:57:24.342]  And once that happens, civil war will erupt.
[00:57:24.342 --> 00:57:28.286]  Other countries will see us as weak and then they'll move in and try to swoop in on us while we're weak.
[00:57:29.039 --> 00:57:39.266]  Well I know this, a major time of global change is upon us and that's why the Chinese are saying they're going to grab the Philippines or areas of it and parts of Japan that Japan claims are their islands.
[00:57:39.266 --> 00:57:42.529]  That's why you see Al-Qaeda moving into Africa under IS.
[00:57:42.529 --> 00:57:45.150]  That's why you see the West moving into Ukraine.
[00:57:45.150 --> 00:57:48.132]  It's why you see all these new alliances being made in the BRICS.
[00:57:48.132 --> 00:57:50.174]  It's why you see Homeland Security clamping down.
[00:57:51.855 --> 00:58:01.339]  We're going into a mafia-based economy, and the military admits they're getting ready for collapse, but the troops are being told, oh, we don't know why this happened.
[00:58:01.339 --> 00:58:15.004]  No, we've been maneuvered into this position under Agenda 21, and again, Cloward and Piven is only one aspect, or one university perspective, on how to wreck the country to make us domestic.
[00:58:15.004 --> 00:58:17.845]  Slaves.
[00:58:17.845 --> 00:58:19.026]  And that's what this has come down to.
[00:58:20.370 --> 00:58:27.376]  We can sit here and look at all the different angles, all the different parts, all of it all day, and have excuses for why they do this or why they do that.
[00:58:27.376 --> 00:58:29.638]  Bottom line, the Globalists want to wreck this society.
[00:58:29.638 --> 00:58:30.759]  To control us.
[00:58:30.759 --> 00:58:32.321]  That's how they politically dominate us.
[00:58:32.321 --> 00:58:34.162]  It's a form of siege.
[00:58:34.162 --> 00:58:35.924]  John, you're up next.
[00:58:35.924 --> 00:58:39.847]  Then, Zach, Rob, Jeff, and many others.
[00:58:39.847 --> 00:58:42.810]  Stay with us.
[00:58:42.810 --> 00:58:44.632]  Thank you for listening to GCN.
[00:58:46.058 --> 00:58:52.404]  Visit GCNlive.com today.
[00:58:52.404 --> 00:58:56.227]  City of Austin tap water versus filtered City of Austin tap water.
[00:58:56.227 --> 00:58:57.469]  I mean, I taste dirt in it.
[00:58:57.469 --> 00:58:58.810]  God knows what's in there.
[00:58:58.810 --> 00:59:03.034]  These people just sampled City of Austin tap water straight from the faucet.
[00:59:03.034 --> 00:59:08.779]  Next, we had them try a sample of tap water filtered with a ProPure G2.0 filtration system.
[00:59:08.939 --> 00:59:09.999]  That one is better.
[00:59:09.999 --> 00:59:11.239]  Tastes like nothing.
[00:59:11.239 --> 00:59:12.680]  Yep, I know what good water tastes like.
[00:59:12.680 --> 00:59:13.320]  It's good water.
[00:59:13.320 --> 00:59:19.281]  Most tap water contains added substances, like fluoride, chlorine, glyphosate, and many others.
[00:59:19.281 --> 00:59:26.522]  Studies prove that these substances are linked to an assortment of major health issues, including tooth decay, lowered IQ, and even cancer.
[00:59:26.522 --> 00:59:29.223]  It tastes like you're drinking out of the lake when you're drinking tap water.
[00:59:29.223 --> 00:59:37.144]  The ProPure® G2.0 filtration system removes these deadly substances, leaving only fresh-tasting, deliciously clean water.
[00:59:37.304 --> 00:59:38.904]  Okay, this is very tasty.
[00:59:38.904 --> 00:59:39.525]  Good water.
[00:59:39.525 --> 00:59:40.105]  Refreshing.
[00:59:40.105 --> 00:59:40.745]  It's good!
[00:59:40.745 --> 00:59:43.246]  Go to InfoWarsStore.com today.
[00:59:43.246 --> 00:59:47.247]  Use promo code WATER and save 10% off your ProPure purchase.
[00:59:47.247 --> 00:59:47.967]  Or call 1-888-253-3139.
[00:59:47.967 --> 00:59:50.108]  Waging war on corruption.
[00:59:50.108 --> 00:59:56.030]  Alex Jones on the GCM Radio Network.
[01:00:08.240 --> 01:00:13.086]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:13.086 --> 01:00:14.668]  You want answers?
[01:00:14.668 --> 01:00:16.210]  Well, so does he.
[01:00:16.210 --> 01:00:20.415]  He's Alex Jones on the GCN Radio Network.
[01:00:20.415 --> 01:00:24.480]  And now, live from Austin, Texas, Alex Jones.
[01:00:31.735 --> 01:00:33.617]  Hey Alex, I feel like a first time caller.
[01:00:59.153 --> 01:01:02.574]  I think the last time I got in was, like, 99 or something.
[01:01:02.574 --> 01:01:07.434]  Yeah, I think if you haven't called in in 15 years, I think that counts as a first-time caller.
[01:01:07.434 --> 01:01:13.956]  Yeah, I mean, it's hard to get in, but that's okay because everybody's waking up.
[01:01:13.956 --> 01:01:18.996]  Hey, you remember a time when the news come on?
[01:01:18.996 --> 01:01:26.578]  I remember, you know, coming home from school and you'd have so-and-so in Saigon and so-and-so in Paris reporting this.
[01:01:26.578 --> 01:01:27.618]  Do you remember that?
[01:01:29.380 --> 01:01:30.861]  Yes, I do.
[01:01:30.861 --> 01:01:35.946]  Yeah, and I don't want, and nowadays, I mean, that was gone a long time ago.
[01:01:35.946 --> 01:01:40.650]  Nowadays, you know, it's all propaganda stuff.
[01:01:40.650 --> 01:01:45.154]  Oh yeah, now there's hardly ever reporters there in the field are telling you what's happening.
[01:01:45.154 --> 01:01:49.438]  It's always just press releases that have no reflection of reality.
