[00:00.000 --> 00:07.000]  Ladies and gentlemen, it's Wednesday the 21st of December 2016. I'm Alex Jones.
[49:01.000 --> 49:21.000]  USA, you pay. Caliphate is on its way. USA, soon you'll pay. Caliphate is on its way.
[49:21.000 --> 49:31.000]  Okay, that is in the UK. We have the other one here in the US this week as well. We can put some of those articles up on screen, but I'm not going to play them just because I can't stand to look at it.
[49:31.000 --> 49:41.000]  And a bunch of arrogant, nerdy wells, most of them on welfare, it's well known they milk it, running around bitching. And most of these aren't even real immigrants. They're like former prisoners, criminals.
[49:41.000 --> 49:50.000]  The colleges and the public schools and the prisons are where this is all being done. They're recruiting. And the left just loves it.
[49:50.000 --> 50:02.000]  Now, let me go ahead and go to this next piece that I mentioned. This is up on infowars.com. They have pulled this down. They do not want you to be aware of this.
[50:02.000 --> 50:14.000]  They've got scores of other videos from the same show on MTV where they have white men crying. I just showed it on screen earlier saying we're sorry, we're racist, all the bad in the world is because of us.
[50:14.000 --> 50:26.000]  And then all these weird white people with these other weird bullying racist minorities saying, listen, you're fundamentally bad. Do you understand?
[50:26.000 --> 50:35.000]  And the universities teach the end of whiteness, how great it's going to be. We must all look alike. We must all interbreed into Mongols.
[50:35.000 --> 50:48.000]  And I'm not against hybrid vigor and people that are mixed. It's just different. The point is making us all mix into a Mongol. When I say Mongol, I mean a Mongol with no culture, a corporate Mongol.
[50:48.000 --> 50:59.000]  It's just programmable. That's a consumer that doesn't even know what they're doing. Again, I'm all for free market, all for wealth, all for power for people individually directed how they see fit in a free market.
[50:59.000 --> 51:14.000]  I'm totally against empty consumerism with what the globalists say we must have. Two different things. They always claim that I'm contradicting myself because they don't understand nuances or the incredible spectrum of free will.
[51:14.000 --> 51:38.000]  Now, let's go to this truly disgusting. I kept wondering, when will MTV go too far? Well, when they got 99% down votes, that's what they got. And when everybody even the left freaked out on this, it finally was so much the Stockholm syndrome, learned helplessness, normalcy bias, white people that hate themselves, their religion is hating themselves to finally hear being white inherently is bad period.
[51:38.000 --> 51:44.000]  They finally went, oh my God, this is racism.
[51:44.000 --> 51:50.000]  Hello, white guys. It's about to be a new year. And there's a few things we think you could do a little bit better in 2017.
[51:50.000 --> 52:08.000]  I love that they use soft beta white males and then they cut to a black guy with a cat on his shirt. It's all non threatening. I'm wearing pink socks. I've got a cat on, but I'm saying hardcore racist stuff that the KKK would say about black people against white people.
[52:08.000 --> 52:23.000]  It's their uniform. It's all trendy, soft, fun, vicious. We're not gonna let you keep it in your money. We're gonna run your life or tell you what words to use. It's a cult using race based garbage as its operating system. Here it is.
[52:23.000 --> 52:32.000]  Hey, fellow white guys. It's about to be a new year. And there's a few things we think you could do a little bit better in 2017. Resolutions for white guys.
[52:32.000 --> 52:45.000]  Try to recognize that America was never great for anyone who wasn't a white guy. Can we all just agree that black lives matter? Isn't the opposite of all lives matter? Black lives just matter. There's no need to overcomplicate it.
[52:45.000 --> 52:47.000]  Also, new lives matter.
[52:47.000 --> 53:05.000]  Do you notice the arrogance of your watching and the hatred of these people's eyes? Their whole cult is that they feel inferior, whether they're a wimpy white guy or whatever, and then they're going around to bully and boss you around in a gang of limp-wristed twits that couldn't fight their way out of a wet paper bag.
[53:05.000 --> 53:24.000]  And they have no idea about the history here in the United States. They have no idea about what happened to the North, the South, what the pirate ships were consisted of, where libertarianism began. They have no idea that the West was this new Atlantis experiment of true liberalism to try to set up a new system to then phase all of that out.
[53:24.000 --> 53:42.000]  Russian historians know that. They claim they're a land-based empire against the whole Atlantean experience. But you don't even know that true liberalism came out of the West. You're sitting here saying that Christian liberalism is the worst thing in the world, but let me tell you, any black folks I know that ever actually go to Africa, they come back going,
[53:42.000 --> 54:04.000]  well, I love America now. Absolutely you do. Or you go to other places. I'm telling you, this is crazy. But again, minorities are the majority now in most areas. The globalists want to blow up that upwardly mobile, classically liberal stairway to wealth and security and culture.
[54:04.000 --> 54:19.000]  That's what they're doing because they're bringing in poverty. They're giving you college degrees that are worthless. They don't want you to have this birthright. Fake liberalism is the globalist counterfeit to kill the real Thomas Jeffersonian liberalism they want to destroy.
[54:19.000 --> 54:38.000]  Then Russia decries the anti-family, anti-human liberalism they see and believe that that's the original liberalism that was here in the United States and Europe when it's not. So Alexander, Duggan and others who are smart people need to actually reassess their analysis if they want to look at that.
[54:38.000 --> 54:52.000]  I think it's good that Russia is being pro-family, anti-destruction of the family, cutting taxes for the family, pro-freedom, pro-sovereignty. That's all great, pro-male role model because that only empowers the women.
[54:52.000 --> 55:12.000]  So you don't fall to Islam where it's the mutated extreme of that. But to insult and attack the entire Western experiment, look at the technology, look at the society, look at the culture. You don't need to go in some troglodyte direction just because the modern false left has hijacked technology and used it to enslave.
[55:12.000 --> 55:22.000]  Now that's a message to Russia, that's not really a message to the general public, but I'm sure some of the public will get it, maybe some of the fake liberals will break out of the control paradigm they're in and vomit out the poison and realize you've been brainwashed.
[55:22.000 --> 55:24.000]  There's still time. Let's go back.
[55:24.000 --> 55:33.000]  Also, blue lives matter isn't a thing. Cops weren't born with blue skin, right? I mean, yeah, they weren't born blue.
[55:33.000 --> 55:36.000]  Stop bragging about being woke. Stop saying woke.
[55:36.000 --> 55:39.000]  Learn what mansplaining is and then stop doing it.
[55:39.000 --> 55:50.000]  I love how the media always says men who are white are the only ones that sit with their legs apart. See, giving us new things we've done that are bad. Women sit with their legs apart.
[55:50.000 --> 55:58.000]  That's how you sit back and relax. Obama does it all the time, but it's okay when he does. Google Obama Man Spreading.
[55:58.000 --> 56:04.000]  If you do it, it's wrong to sit back on a couch and relax or there's room on a subway to sit back and lean back.
[56:04.000 --> 56:11.000]  You've got to be uptight because you're a man. But even worse, you're a white man.
[56:11.000 --> 56:19.000]  Oh, mansplaining, not man spreading. Oh, exactly. Men aren't supposed to talk and be leaders and know things. Oh, yeah, that's even worse.
[56:19.000 --> 56:23.000]  Only the state is your God. Right, women? Here it is.
[56:23.000 --> 56:31.000]  Don't prioritize the well-being of an Ivy League athlete over the woman he assaulted. We all love Beyonce. And yes, she's black.
[56:31.000 --> 56:39.000]  Back it up to the start. Notice you've got all these black football players, all these black sports players beating up women, doing all this stuff.
[56:39.000 --> 56:51.000]  But we've got to go find one white swimmer that reportedly date-raped somebody and make it the end of the world because white males are rapist even though they're the lowest demographic group other than some Asian males to rape.
[56:51.000 --> 57:05.000]  Doesn't matter. Say they are. And then say some white guys rape a black girl at a lacrosse deal when she was a stripper. Turn out it wasn't true. But again, this is the media projecting all bull, all weaponized racist garbage.
[57:05.000 --> 57:06.000]  Here it is.
[57:06.000 --> 57:12.000]  Hey, fellow white guys, it's about to be a new year. And there's a few things we think you could do a little bit better in 2017.
[57:12.000 --> 57:15.000]  You know, start over again. I'm sorry. We're going to go out to break with it. I'm not going to interrupt this time.
[57:15.000 --> 57:24.000]  The first white guy is like real wimpy. Oh, hi. And that's, you're a good white guy. You have a chicken neck and you do what you're told and you don't exist and you don't affect change.
[57:24.000 --> 57:30.000]  You're not part of history. You roll over and culturally die. Then you're going to be accepted. Okay. Let's play it.
[57:30.000 --> 57:39.000]  Hey, fellow white guys, it's about to be a new year. And there's a few things we think you could do a little bit better in 2017.
[57:39.000 --> 57:45.000]  First off, try to recognize that America was never great for anyone who wasn't a white guy.
[57:45.000 --> 57:53.000]  Can we all just agree that black lives matter isn't the opposite of all lives matter? Black lives just matter. There's no need to overcomplicate it.
[57:53.000 --> 57:59.000]  You overcomplicated it. You were the ones that always kept saying only black lives matter.
[57:59.000 --> 58:04.000]  And like taking over events saying only black lives matter and going after folks that said all lives matter.
[58:04.000 --> 58:07.000]  Learn what mansplaining is and then stop doing it.
[58:07.000 --> 58:12.000]  Oh, and if you're a judge, don't prioritize the well-being of an Ivy League athlete over the woman he assaulted.
[58:12.000 --> 58:18.000]  We all love Beyonce. And yes, she's black, so of course she cares about black issues.
[58:18.000 --> 58:20.000]  I'm talking to you, quads news.
[58:20.000 --> 58:23.000]  Feel free to take Kanye West though. You guys can have it.
[58:23.000 --> 58:25.000]  You know what you did, Kanye.
[58:25.000 --> 58:28.000]  Nobody who has black friends says that they have black friends.
[58:28.000 --> 58:33.000]  And just because you have black friends doesn't mean you're not racist. You're gonna be racist with black friends.
[58:33.000 --> 58:38.000]  Look guys, we know nobody's perfect. But honestly, we do a little better in 2017.
[58:38.000 --> 58:41.000]  Some of you guys do a great job. Some of you don't.
[58:41.000 --> 58:42.000]  Bullies.
[58:42.000 --> 58:44.000]  Please. Because 2016 is bad.
[58:44.000 --> 58:45.000]  Please, kiss our ass more.
[58:45.000 --> 58:46.000]  You can't be worse than this.
[58:46.000 --> 58:48.000]  Please grovel down. We're bullies.
[58:48.000 --> 58:55.000]  In case you haven't heard, Info Wars has become the most influential media outlet in America.
[58:55.000 --> 58:58.000]  We're making freedom go viral.
[58:58.000 --> 59:03.000]  And now we are proud to announce a new weapon in the epic battle against the globalist.
[59:03.000 --> 59:05.000]  Info Wars Prime.
[59:05.000 --> 59:09.000]  Where you can watch live, high definition feeds of the Alex Jones show.
[59:09.000 --> 59:15.000]  Plus exclusive insider videos from the Info Wars crew and behind the scenes action.
[59:15.000 --> 59:19.000]  Go to infowars.com forward slash app and download today.
[59:19.000 --> 59:23.000]  Info Wars Prime is available right now for your iPhone or Android.
[59:23.000 --> 59:28.000]  You will have access to exclusive videos that you can't see anywhere else.
[59:28.000 --> 59:34.000]  That means live coverage of events and breaking news on location as it happens.
[59:34.000 --> 59:41.000]  You can also take advantage of amazing deals from the Info Wars store that are only available for Info Wars Prime subscribers.
[59:41.000 --> 59:45.000]  That's Info Wars Prime at infowars.com forward slash app.
[59:45.000 --> 01:00:00.000]  If you can hear my voice, you are the resistance.
[01:00:16.000 --> 01:00:25.000]  So if you just joined us, I just spent the last 10 minutes or so of the last hour covering a Kit Daniels article.
[01:00:25.000 --> 01:00:29.000]  Up on infowars.com that needs to go viral because MTV is scared of this.
[01:00:29.000 --> 01:00:30.000]  This went too far.
[01:00:30.000 --> 01:00:34.000]  They've got all these other videos they've done with white men crying and saying, I'm sorry, I'm evil.
[01:00:34.000 --> 01:00:35.000]  Our race is bad.
[01:00:35.000 --> 01:00:36.000]  We're bad people.
[01:00:36.000 --> 01:00:41.000]  I mean, this is like Hitler, but from the MTV perspective against white people.
[01:00:41.000 --> 01:00:46.000]  I mean, it is not the ideology against non-whites, but turned around the other way.
[01:00:46.000 --> 01:00:47.000]  It is crazy.
[01:00:47.000 --> 01:00:52.000]  MTV pulls racist resolutions for white guys' video amid outrage.
[01:00:52.000 --> 01:00:57.000]  And again, Kit's going to post some of the older videos.
[01:00:57.000 --> 01:01:02.000]  They've done on the same show that we've covered where, again, whites apologize for being whites.
[01:01:02.000 --> 01:01:04.000]  This is being taught in high schools, colleges, everywhere.
[01:01:04.000 --> 01:01:06.000]  They are stunting your children.
[01:01:06.000 --> 01:01:15.000]  They're turning them into mentally ill, crazy people that hate themselves and turning the minorities into brown KKK members if they can.
[01:01:15.000 --> 01:01:20.000]  While the school tries to teach your five-year-old, they're a trainee and should cut their penis off.
[01:01:20.000 --> 01:01:22.000]  So, I mean, this is what's going on in this country, folks.
[01:01:22.000 --> 01:01:24.000]  It's unbelievable.
[01:01:24.000 --> 01:01:30.000]  So we're going to, again, add those other articles to the story that's up on infowars.com that needs to go viral.
[01:01:30.000 --> 01:01:37.000]  Now, as if that isn't bad enough, we have Michelle Obama running around.
[01:01:37.000 --> 01:01:40.000]  And by the way, she looks like a snapping turtle.
[01:01:40.000 --> 01:01:42.000]  I don't say she looks like a snapping turtle because she's black.
[01:01:42.000 --> 01:01:43.000]  And I just like black people.
[01:01:43.000 --> 01:01:45.000]  I know a lot of really good-looking black ladies.
[01:01:45.000 --> 01:01:49.000]  It's because she looks like a hateful snapping turtle who's a man.
[01:01:49.000 --> 01:01:51.000]  She looks like a trainee.
[01:01:51.000 --> 01:01:56.000]  And of course, I say that's the media attacks me because everybody hates the media and they just come to us with media taxes.
[01:01:56.000 --> 01:01:59.000]  And the media hadn't figured out how much they're hated, so they keep taking the bait.
[01:01:59.000 --> 01:02:00.000]  But, sorry, video.
[01:02:00.000 --> 01:02:03.000]  Michelle Obama compares Americans to toddlers.
[01:02:03.000 --> 01:02:07.000]  Now, I compare myself to an albino gorilla, so it's okay to insult people.
[01:02:07.000 --> 01:02:09.000]  And then if you can prayer around and say it about yourself.
[01:02:09.000 --> 01:02:11.000]  But getting serious, that's what my kids call me.
[01:02:11.000 --> 01:02:13.000]  They go, you look like a gorilla, daddy.
[01:02:13.000 --> 01:02:16.000]  You're hairy like one, daddy.
[01:02:16.000 --> 01:02:18.000]  I could do kind of have a chest like a gorilla.
[01:02:18.000 --> 01:02:23.000]  The fact that guys this morning, we were out exercising and they were calling me a gorilla.
[01:02:23.000 --> 01:02:25.000]  So, anyways, continuing.
[01:02:25.000 --> 01:02:30.000]  That was Q and Pat and my son was out with us this morning exercising and hiking.
[01:02:30.000 --> 01:02:33.000]  It was all a big, big funny about how I look like a gorilla.
[01:02:33.000 --> 01:02:35.000]  Better than a snapping turtle.
[01:02:35.000 --> 01:02:37.000]  Now continuing.
[01:02:37.000 --> 01:02:42.000]  U.S. confidence surges to highest level that Gallup has ever recorded on Trumpphobia.
[01:02:42.000 --> 01:02:43.000]  But that's okay.
[01:02:43.000 --> 01:02:44.000]  He's a bad person.
[01:02:44.000 --> 01:02:45.000]  He doesn't know what he's doing.
[01:02:45.000 --> 01:02:48.000]  Michelle Obama and Michael Moore, they know everything.
[01:02:48.000 --> 01:02:53.000]  Meanwhile, she compares people that voted, the American people for Trump, as toddlers that hit their head.
[01:02:53.000 --> 01:02:55.000]  She's the mommy, we're the idiots.
[01:02:55.000 --> 01:02:57.000]  Here she is with Oprah Winfrey.
[01:02:57.000 --> 01:03:01.000]  Let's analyze this propaganda.
[01:03:01.000 --> 01:03:06.000]  Your husband's administration, everything, the election was all about hope.
[01:03:06.000 --> 01:03:10.000]  Do you think that this administration achieved that?
[01:03:10.000 --> 01:03:12.000]  Yes.
[01:03:12.000 --> 01:03:13.000]  I do.
[01:03:13.000 --> 01:03:16.000]  Because we feel the difference now.
[01:03:16.000 --> 01:03:17.000]  Racial division.
[01:03:17.000 --> 01:03:21.000]  Now we're feeling what not having hope feels like.
[01:03:21.000 --> 01:03:23.000]  Exuberance.
[01:03:23.000 --> 01:03:25.000]  Hoping is necessary.
[01:03:25.000 --> 01:03:30.000]  It's a necessary concept.
[01:03:30.000 --> 01:03:37.000]  Barack didn't just talk about hope because he thought it was just a nice slogan to get votes.
[01:03:37.000 --> 01:03:43.000]  He and I and so many believe that if you, what else do you have if you don't have hope?
[01:03:43.000 --> 01:03:47.000]  What do you give your kids if you can't give them hope?
[01:03:47.000 --> 01:03:52.000]  Our children respond to crises the way they see us respond.
[01:03:52.000 --> 01:03:58.000]  It's like the toddler that bumps his head on the table and they look up at you to figure out whether it hurts.
[01:03:58.000 --> 01:04:01.000]  And if you're like, oh my God, they're crying.
[01:04:01.000 --> 01:04:03.000]  But if you're like, you know what, babe, it's okay.
[01:04:03.000 --> 01:04:04.000]  It's okay.
[01:04:04.000 --> 01:04:06.000]  And I feel that way about the nation.
[01:04:06.000 --> 01:04:13.000]  I feel that Barack has been that for the nation in ways that people will come to appreciate.
[01:04:13.000 --> 01:04:15.000]  That's enough.
[01:04:15.000 --> 01:04:20.000]  So Barack Obama is our daddy and we've hit our head.
[01:04:20.000 --> 01:04:22.000]  She's talking about her constituents.
[01:04:22.000 --> 01:04:25.000]  She's not talking about the people that she thinks are idiots about it for Trump.
[01:04:25.000 --> 01:04:29.000]  She's saying her constituents are like toddlers that have hit their head.
[01:04:29.000 --> 01:04:31.000]  That's about what they're like, actually.
[01:04:31.000 --> 01:04:34.000]  And they look up to her and she goes, that's okay, baby.
[01:04:34.000 --> 01:04:36.000]  It's going to be all right.
[01:04:36.000 --> 01:04:39.000]  I mean the arrogance, the elitism.
[01:04:39.000 --> 01:04:45.000]  These are the folks that go to Africa and tell people they can't have cars or air conditioning as he walks off Air Force One
[01:04:45.000 --> 01:04:48.000]  with 10 planes behind him and thousands of people.
[01:04:48.000 --> 01:04:53.000]  And carbon footprints bigger than anything you can imagine and 50 million a day being spent.
[01:04:53.000 --> 01:05:10.000]  But you can't have a house or a car or an air conditioner.
[01:05:10.000 --> 01:05:27.000]  Yesterday, Krugman posted a short article on his Twitter account, warning America about what he calls Trumponomics.
[01:05:27.000 --> 01:05:43.000]  Most of us living outside the matrix know better than to take Krugman seriously because he's been wrong so many times in the past.
[01:05:43.000 --> 01:06:06.000]  I'm very proud to announce the introduction of the highest quality Info Wars biome defense probiotic.
[01:06:06.000 --> 01:06:20.000]  We wanted to come out with the largest spectrum of high quality known probiotics that have been proven to improve overall digestion and health and detoxification in the body.
[01:06:20.000 --> 01:06:32.000]  Biome defense is an exclusive blend of 50 billion live and active cultures from over 23 different probiotic strains that are known to support digestion and intestinal function.
[01:06:32.000 --> 01:06:39.000]  Our researchers are confident that we have been able to develop what will be the leading probiotic on the market.
[01:06:39.000 --> 01:06:48.000]  Secure your biome defense in ultra strength or regular strength at infowarslife.com today and get started supporting your digestive system naturally.
[01:06:48.000 --> 01:06:58.000]  We've been testing this formula for years but this is the limited first run to the public so please take advantage of it today, support your own health and support the Info War.
[01:06:58.000 --> 01:07:07.000]  Please listen carefully because I'm about to point out three things that will save you a lot of money while you get high quality products and fund the Info War, a 360 win.
[01:07:07.000 --> 01:07:14.000]  Number one, when you choose auto ship before checkout, we give you 10% off on your order at infowarsore.com.
[01:07:14.000 --> 01:07:22.000]  Number two, you're also able to get items that are out of stock when you sign up for auto ship because we hold back a surplus for auto ship customers.
[01:07:22.000 --> 01:07:28.000]  Number three, we're giving you free shipping on all orders above $50.
[01:07:28.000 --> 01:07:34.000]  Listeners have been requesting this for years because it's so easy to forget to reorder the products that you need each month.
[01:07:34.000 --> 01:07:41.000]  Just go to infowarsore.com, select your favorite product or products, click on auto ship and choose how often you want us to send you another order.
[01:07:41.000 --> 01:07:48.000]  As you know, I coined the term 360 win and with the new auto ship feature at infowarslife.com this is a sure win.
[01:07:48.000 --> 01:07:54.000]  10% off on auto ship. Win, win, win at infowarslife.com. Free shipping on orders above $50.
[01:07:54.000 --> 01:08:00.000]  And all out of stock items are never out of stock when you sign up for auto ship.
[01:08:00.000 --> 01:08:06.000]  The answer.
[01:08:06.000 --> 01:08:16.000]  The answer to 1984 is 1776. You're listening to the Alex Jones show.
[01:08:16.000 --> 01:08:22.000]  So Michelle Obama comes out with Oprah Winfrey and insults her supporters.
[01:08:22.000 --> 01:08:27.000]  We played the full clip and context earlier. I'm going to play it again in a moment, just the short part where she says, you know,
[01:08:27.000 --> 01:08:33.000]  let's see the nation is toddlers that hit their head on a table and they look up at mommy and you've got to tell them everything's all right.
[01:08:33.000 --> 01:08:37.000]  We're going to bleed you dry. She didn't actually say what she was thinking.
[01:08:37.000 --> 01:08:43.000]  But she says, we're going to take care of you. That's how she sees her constituents as a bunch of toddlers.
[01:08:43.000 --> 01:08:52.000]  And I got to say, we've gone out and seen their constituents. They do look like a bunch of toddlers who've been through shock therapy and then a lobotomy with an ice pit.
[01:08:52.000 --> 01:08:56.000]  And then the rest of them are a bunch of parasites feeding on the lobotomized toddlers.
[01:08:56.000 --> 01:08:59.000]  So it's a very, very sad situation.
[01:08:59.000 --> 01:09:04.000]  Indeed, we have Chris Hayes. We covered last hour. It's up on infowars.com.
[01:09:04.000 --> 01:09:17.000]  Trying to cover up right now the fact that it's Islamic terror that killed the ambassador in Turkey and ran over the people at the Christmas festival there in Berlin.
[01:09:17.000 --> 01:09:21.000]  Whatever happened to Berlin?
[01:09:21.000 --> 01:09:29.000]  Well, I guess it's been brainwashed. That's that's what's going on there in there in there in Berlin.
[01:09:29.000 --> 01:09:38.000]  And of course, you should add in the state of Berlin has its own state. Their Secretary of State, it calls for Sharia law just last week.
[01:09:38.000 --> 01:09:43.000]  She's a woman. She doesn't wear a burqa in public, but she wants you to have to wear one.
[01:09:43.000 --> 01:09:55.000]  And Muslim men have announced in France that if they see women out without burqas or in French cafes, they're going to have Sharia law caning carried out against them.
[01:09:55.000 --> 01:10:04.000]  And the Stockholm syndrome women, most of them, they love it. They just want to make sure your daughter, your mother has to put on a burqa as well.
[01:10:04.000 --> 01:10:09.000]  So that's all coming up. We also have several guests joining us today.
[01:10:09.000 --> 01:10:20.000]  Last hour, I played the video that they have removed. They don't want you to see it. MTV pulls racist resolution for white guys video amid outrage.
[01:10:20.000 --> 01:10:25.000]  Quite frankly, this isn't even as bad as some of the videos that we had articles on last year.
[01:10:25.000 --> 01:10:31.000]  If we should pull some of those videos again, download them and play them where they have white men going, I'm sorry, I call the Lord, whites are evil.
[01:10:31.000 --> 01:10:35.000]  They're like, that's right. Whites are inherently bad. Learn to say it. Learn to say it.
[01:10:35.000 --> 01:10:42.000]  The only good whites, though, are the ones that say whites are inherently bad and then they can yell, you're an effing white male at another white male.
[01:10:42.000 --> 01:10:48.000]  Your opinion doesn't matter.
[01:10:48.000 --> 01:10:52.000]  So this is what they're pushing. We're going to be looking at that in great detail.
[01:10:52.000 --> 01:10:57.000]  We've got a lot of really exciting economic news I want to get to first.
[01:10:57.000 --> 01:11:02.000]  And Paul Krugman has really gone to the next level.
[01:11:02.000 --> 01:11:05.000]  But first, before I do that, let's play the clip.
[01:11:05.000 --> 01:11:10.000]  Again, that's up on infowars.com. Michelle Obama compares Americans to toddlers.
[01:11:10.000 --> 01:11:19.000]  Her constituents, particularly, they've hit their head. They're looking up at mommy and she'll make it all okay.
[01:11:19.000 --> 01:11:24.000]  Our children respond to crises the way they see us respond.
[01:11:24.000 --> 01:11:30.000]  You know, it's like the toddler that bumps his head on the table and they look up at you to figure out whether it hurts.
[01:11:30.000 --> 01:11:35.000]  And if you're like, oh my God, they're crying. But if you're like, you know what, babe, it's okay. It's okay.
[01:11:35.000 --> 01:11:45.000]  And I feel that way about the nation. I feel that Barak has been that for the nation in ways that people will come to appreciate.
[01:11:45.000 --> 01:11:54.000]  Having a grown up in the White House who can say to you in times of crisis and turmoil, hey, it's going to be okay.
[01:11:54.000 --> 01:12:00.000]  Let's remember the good things that we have. Let's look at the future. Let's look at all the things that we're building.
[01:12:00.000 --> 01:12:07.000]  All of this is important for our kids to stay focused and to keep the cult focused.
[01:12:07.000 --> 01:12:09.000]  Like their work isn't in vain.
[01:12:09.000 --> 01:12:11.000]  To not look at how your unemployment's done if you're black.
[01:12:11.000 --> 01:12:13.000]  What will we do if we don't have hope, Oprah?
[01:12:13.000 --> 01:12:15.000]  Just to not see our families have been broken up.
[01:12:15.000 --> 01:12:20.000]  To not see how you've been put in prison in jail by the Democrats pledging to quote the predators in jail,
[01:12:20.000 --> 01:12:23.000]  take them to heal, domesticate you, which they did in the 60s.
[01:12:23.000 --> 01:12:27.000]  Just stay on the plantation. She'll take good care of you toddlers.
[01:12:27.000 --> 01:12:31.000]  Well, I don't want to be a toddler. What about you? I want to be a man.
[01:12:31.000 --> 01:12:34.000]  Women want to be women. We want to be free.
[01:12:34.000 --> 01:12:41.000]  Now, before I get to Paul Krugman, blowing both of his proverbial political feed off again with incredible statements
[01:12:41.000 --> 01:12:47.000]  and what's really happening in the economy to his chagrin.
[01:12:47.000 --> 01:12:53.000]  Before I do that, I want to air a piece that will certainly trigger folks.
[01:12:53.000 --> 01:12:57.000]  First for TV viewers, let's put it on screen in front of me and then behind me.
[01:12:57.000 --> 01:13:00.000]  Paul Watson tweeted today, the ultimate triggering.
[01:13:00.000 --> 01:13:08.000]  Merry Christmas. Doesn't Christmas feel a little more special this year?
[01:13:08.000 --> 01:13:10.000]  Making Christmas great again.
[01:13:10.000 --> 01:13:12.000]  And for radio listeners, it's got the baby Jesus.
[01:13:12.000 --> 01:13:15.000]  It's got the American flag, President of the United States.
[01:13:15.000 --> 01:13:21.000]  It's got Trump all happy presiding over it all with Sandy Claus back there as well.
[01:13:21.000 --> 01:13:25.000]  And little presents under the tree and it's so falling.
[01:13:25.000 --> 01:13:29.000]  It's so nice. Winter festival. Don't say Christmas.
[01:13:29.000 --> 01:13:33.000]  Don't even say holiday now. Let the triggering begin.
[01:13:33.000 --> 01:13:35.000]  Well, it was getting rich a few weeks ago.
[01:13:35.000 --> 01:13:42.000]  Like in Trump to the grizzly bear in the Revenant, tearing Leonardo DiCaprio apart.
[01:13:42.000 --> 01:13:45.000]  But I can't stand Leonardo DiCaprio and his politics.
[01:13:45.000 --> 01:13:48.000]  I like him as an actor. Great, great movie. Very historical.
[01:13:48.000 --> 01:13:51.000]  I just stopped gushing. The Mexican director, I think is the best.
[01:13:51.000 --> 01:13:53.000]  I forget his name, best director out there. They call that racism.
[01:13:53.000 --> 01:13:55.000]  I just say he's a Mexican director like the Russian director.
[01:13:55.000 --> 01:13:57.000]  But I said to the word Mexican, I'm racist, I'm racist.
[01:13:57.000 --> 01:13:59.000]  I think he's the best director out there, racist, racist, racist.
[01:13:59.000 --> 01:14:04.000]  We're admiring someone. See the mind control just totally putting us into a catatonic basket case.
[01:14:04.000 --> 01:14:08.000]  Learned helplessness, mind control system where we don't communicate with each other
[01:14:08.000 --> 01:14:10.000]  because we want to be correct and nothing's correct.
[01:14:10.000 --> 01:14:14.000]  Everything's bad. Only, only, only CNN can tell us about WikiLeaks.
[01:14:14.000 --> 01:14:20.000]  So I'm going to retweet during the break at Real Alex Jones. Doesn't Christmas feel more special this year?
[01:14:20.000 --> 01:14:23.000]  We're going to retweet that out to everyone.
[01:14:23.000 --> 01:14:27.000]  And I want to encourage my graphics folks to also put out some politically incorrect stuff as well.
[01:14:27.000 --> 01:14:33.000]  Maybe even the little baby Jesus on it. I love little baby Jesus to quote Talladega Knights.
[01:14:33.000 --> 01:14:41.000]  But before we do that, let's go ahead and play the Revenant piece here
[01:14:41.000 --> 01:14:47.000]  where someone took the point of what Genners was talking about and put it to the big screen.
[01:14:47.000 --> 01:14:51.000]  Donald Trump is the grizzly bear in the Revenant.
[01:14:57.000 --> 01:14:59.000]  First of all, Rand Paul shouldn't even be on the stage.
[01:14:59.000 --> 01:15:02.000]  Jeff Bush is a low energy person.
[01:15:02.000 --> 01:15:05.000]  Carson is lower energy than Butch. I don't get it.
[01:15:05.000 --> 01:15:07.000]  If you're a child, molester, there's no cure.
[01:15:07.000 --> 01:15:12.000]  I never attacked him on his look and believe me, there's plenty of subject matter right there.
[01:15:12.000 --> 01:15:14.000]  I could have said mid. Drop to your knees.
[01:15:14.000 --> 01:15:18.000]  He's a war hero because he was captured. I like people that weren't captured, okay?
[01:15:18.000 --> 01:15:24.000]  I've never seen a human being eaten in such a disgusting fashion.
[01:15:24.000 --> 01:15:27.000]  They're losers. They're babies. It's Rubio.
[01:15:27.000 --> 01:15:29.000]  Little Marco. Little Marco.
[01:15:29.000 --> 01:15:33.000]  Little Marco and he's not cool. He sweats too much.
[01:15:33.000 --> 01:15:37.000]  And then, of course, we have Crooked Hillary. Crooked Hillary, Bob.
[01:15:37.000 --> 01:15:40.000]  She's been crooked from the beginning.
[01:15:40.000 --> 01:15:42.000]  As I say, Crooked Hillary. Crooked Hillary.
[01:15:42.000 --> 01:15:44.000]  She's as crooked as they come.
[01:15:44.000 --> 01:15:46.000]  I've never seen Crooked Hillary clear.
[01:15:46.000 --> 01:15:48.000]  Such a nasty one.
[01:15:48.000 --> 01:15:51.000]  Donald Trump is not in charge of the law in our country.
[01:15:51.000 --> 01:15:53.000]  Because you'd be in jail.
[01:15:53.000 --> 01:15:56.000]  Do we like the media?
[01:15:56.000 --> 01:15:58.000]  Do we hate the media?
[01:15:58.000 --> 01:16:00.000]  They are terrible.
[01:16:00.000 --> 01:16:04.000]  They are the worst sleazy guy right over here from ABC.
[01:16:04.000 --> 01:16:06.000]  Blood coming out of her wherever.
