[00:00.000 --> 00:13.000]  Defending the Republic from enemies born and domestic it's Alex Jones
[1:06:36.000 --> 1:06:51.000]  I was thinking about the film network earlier you know the one with the scene where he leans out the window or he encourages people to lean out the window and shout I'm mad at Helen I'm not going to take it anymore well in the UK we lean out of the window and we
[1:06:51.000 --> 1:07:13.000]  are going to get into this article later by the way we've got Andrew take coming up in the second hour in the next hour going to cover an article about restaurants making diners eat in pods
[1:07:13.000 --> 1:07:27.000]  working a pod socializing a pod because apparently this is a new one on me after March 2020 humans suddenly stopped having immune systems now we've literally got to live our lives in the prison pod
[1:07:27.000 --> 1:07:42.000]  why doesn't the government just mandate everybody live in you know those zorbing balls and just live in those living a pod the boy in the bubble there was a film I think it was back in the 70s with John Travolta called the boy in the bubble where he basically has no immune system
[1:07:42.000 --> 1:07:57.000]  and he's forced to live life inside a giant pod that's basically what we're being asked to do with his mother and father having to cradle and hug him wearing these biological gloves that they shoved through this pod just to have contact with their own son
[1:07:57.000 --> 1:08:16.000]  that's what we're being told to do I'm going to get into that later what's going on in a strip one today though well of course last night we had profess they see John Travolta the boy in the bubble that film is not the highest quality but it's definitely has echoes of our situation we're facing today
[1:08:16.000 --> 1:08:34.000]  Professor lockdown this is the guy who created the model the Imperial College model in the UK which warned the government that if they didn't impose a lockdown and social distancing measures 500,000 people in the UK would die
[1:08:34.000 --> 1:08:51.000]  that model has been totally eviscerated and then if you look at Sweden which I'm also going to get into later which of course didn't have a lockdown there are rates the rate of infection is the same as the UK's and their death rate a capita if you compare their population to as
[1:08:51.000 --> 1:09:11.000]  inclusive of the obvious vast difference in population their death rate was lower than the UK they didn't lock down anything what was the point we were told we had to lock down to save lives and protect the NHS the NHS was never overwhelmed
[1:09:11.000 --> 1:09:25.000]  the hospital beds the acute hospital beds are four times emptier than normal the nightingale hospitals that they built to cope with the overflow most of them are now either not going to open or being closed down already
[1:09:25.000 --> 1:09:41.000]  you have the professor of cancer at Kings College University London coming out and saying that excess cancer deaths there'll be more excess cancer deaths than total coronavirus deaths in the UK over the next five years what was the point
[1:09:41.000 --> 1:10:00.000]  Professor lockdown the brainchild behind all this the Boris Johnson stupidly listened to has been caught violating his own lockdown headline RT Professor lockdown Ferguson resigns after violating quarantine he designed to meet married lover
[1:10:00.000 --> 1:10:14.000]  Professor Neil Ferguson author of apocalyptic coronavirus models which was listened to by the government has resigned from his position as advisor to 10 Downing Street after revelations he violated quarantine himself to meet with a married lover
[1:10:14.000 --> 1:10:32.000]  the woman had two kids she in fact complained I'm going to get into that in a minute what happened following Ferguson's resignation on Tuesday night the Daily Telegraph made it public that the man known as Professor lockdown now known as Professor pants down had allowed a married mother with whom he was having an affair to visit him at least twice
[1:10:32.000 --> 1:10:52.000]  during the quarantine the woman was identified as Antonia stats 38 and now there are jokes about him massaging the stats the first visit was reportedly on March 30 as Ferguson warned the British public that lockdown measures in effect for a week at that time would have to remain in place
[1:10:52.000 --> 1:11:07.000]  until June Boris Johnson is going to give a speech on Sunday by the way probably extending them another three weeks despite the fact the peak of the virus was a month ago he said I accept I made an error a judgment and took the wrong course of action
[1:11:07.000 --> 1:11:23.000]  confirming that he's resigned from the government's mission but he maintained the call for a lockdown of course he's not going to be subject to it the minister in Scotland Scotland's chief medical officer she violated her own lockdown to visit her second home
[1:11:23.000 --> 1:11:38.000]  it's one rule for them one rule for everyone else though he's still calling for the lockdown to continue even though he's wantonly violated there's more detail to this though and in fact there's an excellent website for lockdown skeptics dot org run by
[1:11:38.000 --> 1:11:54.000]  Toby young of the spectator and he cites the comment of Professor Pence down Ferguson who said I acted in the belief that I was immune having tested positive for coronavirus and completely isolated myself for at least two weeks after developing symptoms
[1:11:54.000 --> 1:12:09.000]  so be uncommon so not only does professor lockdown think you do develop immunity after recovering from COVID-19 of course now they're trying to tell us that that doesn't happen so they have yet another excuse to keep these ridiculous measures in place forever
[1:12:09.000 --> 1:12:25.000]  but you don't even need to take an antibody test to prove it which he didn't if only all of us who think we've had it were free to act in the same way now if you look at the woman herself 38 year old Antonio stats mother of two married
[1:12:25.000 --> 1:12:40.000]  according to the telegraph she lives in a $1.9 million house in London and has quo and open marriage how's that working out for you they dug up a podcast of her and she appeared on a podcast on March 31 which is now being removed
[1:12:40.000 --> 1:12:56.000]  24 hours after visiting Professor Pence down in which she complains that the lockdown is putting a strain on her marriage yeah maybe the fact you're having an affair with the architect of the lockdown is putting a strain on your marriage even more
[1:12:56.000 --> 1:13:15.000]  and then you can look at her politics and it's a big coincidence that a lot of these people who are so vehemently for these draconian lockdown measures are you guessed it for leftists the telegraph has her down as a left wing campaign or a reference to the fact she campaign against leaving the EU
[1:13:15.000 --> 1:13:33.000]  and it's a long standing environmental activist who supported Greta Bumberg's climate strike so he and it's always the biggest virtue signalers who who are the biggest hypocrites every single time in fact there's a picture of her delivering a petition to end fossil fuel
[1:13:33.000 --> 1:13:54.000]  subsidies subsidies to 10 Downing Street and her politics are as this article explains far left even further to the left as compared to Professor Pence down himself so the very architect of the lockdown program in the UK the one that they said was necessary to say 500,000 lives
[1:13:54.000 --> 1:14:15.000]  now other professors are saying that more people will die of cancer anyway the guy the head honcho behind the entire program violated his own lockdown absolutely incredible but half of the course given what happened in Chicago there with the mayor and of course in Scotland with Scotland's chief medical officer
[1:14:15.000 --> 1:14:36.000]  now Boris Johnson is set to give a speech on Sunday as I said what's interesting about the lockdown in the UK is that the British population like no other has been terrified beyond belief terrorized by the necessity for this despite obviously reaching the peak of coronavirus cases over a month ago
[1:14:36.000 --> 1:14:54.000]  many of them want the lockdown to go on for months and months more I know people bar men people who work jobs mainly based on tips who are basically at this point completely bankrupt they're out of jobs they're losing their homes but there's a big segment of the British population
[1:14:54.000 --> 1:15:12.000]  who are lazy and want to sit on their behinds for the next three four months and could collect the government paycheck 80% of their wages are covered by the government so in no other country do you see support for lockdown than the UK from all the polls that I've seen to the point
[1:15:12.000 --> 1:15:31.000]  and I'm going to get into this more in the next segment they asked people about the lockdown and 50. In fact it was 60% in a poll said they wanted it to be more draconian the only place basically in the United Kingdom that you're allowed to go is the supermarket and the parks
[1:15:31.000 --> 1:15:49.000]  60% of people in this poll wanted the government to close down the parks so we wouldn't be allowed to go anywhere I mean what has happened this has been an experiment in mass obedience and the results have not come out too good if you believe in
[1:15:49.000 --> 1:15:56.000]  freedom of mobility and all that goes with it we're going to get into that study in the next segment summit dot news don't go away
[1:15:56.000 --> 1:16:11.000]  this is a pandemic survival alert and the most time sensitive messages you will hear this year you still have time to plan a one acre crisis garden and secure a supply of your own nutrient dense food but time is running out and it's one deadline you don't want to miss
[1:16:11.000 --> 1:16:26.000]  who should plan a crisis garden individuals families churches communities anyone or any group that sees hard times ahead let's face it even the main line media is talking about food supply disruptions and the growing number of grocery store workers who are becoming sick but there's more
[1:16:26.000 --> 1:16:41.000]  packing plans are closing mile long lines at food pantries and more farmers now in financial trouble the truth is growing nutrient dense vegetables this summer may be the single most important thing you do go to survival seed bank dot com and watch the new video to
[1:16:41.000 --> 1:16:59.000]  understand what we're really up against get free bonus seeds special quarantine reports to don't wait every minute counts go to survival seed bank dot com that's survival seed bank dot com you know what's really smart wash your hands frequently practice social
[1:16:59.000 --> 1:17:14.000]  distancing and stay home of told to do so you know what's really dumb to ignore your immune system right now more than ever your health depends on a strong immune system the experts at immunocorp will give you their seven step guide to immunity for
[1:17:14.000 --> 1:17:30.000]  life free why because we want you to be smart and healthy simply call eight hundred four four six three zero six three or click immunity for life dot com immunocorp has been producing the world's leading immune system products for more than two decades
[1:17:30.000 --> 1:17:47.000]  to get your free seven step guide to immunity for life call eight hundred four four six three zero six three eight hundred four four six three zero six three be smart don't ignore your immune system your life depends on it call eight hundred four four six three zero six three
[1:17:47.000 --> 1:18:06.000]  three four click immunity for life dot com immunity for life dot com the America that we've known and loved the America that was the land of the free home of the brave is dying right now and everything our enemies are doing is about
[1:18:06.000 --> 1:18:20.000]  domesticating us shutting us down and making us dependent on them the food shortages have begun the depression is going to be long and very very serious in fact it's probably too late now even turn back Trump tried to stop it but the mainstream media working with the
[1:18:20.000 --> 1:18:34.000]  tricom is blocked it that's why you and myself everybody else has to get prepared now do not wait it's not about the virus it's about the economic chaos that's going to be unleashed in the next six months to a year get your high quality swarble foods and
[1:18:34.000 --> 1:18:50.000]  for short com they're available again before a limited time the food supply is running out there are major shortages this is a globalist siege a globalist lockdown globalist terrorism but we the people the patriots have to be prepared we've
[1:18:50.000 --> 1:18:56.000]  already been proven right about prepping so far we'll get ready to be really proven right your swarble foods now and for or stored dot com
[1:18:56.000 --> 1:19:03.000]  Make a friend with death. It's the same soul that no one knows who first said it.
[1:19:03.000 --> 1:19:08.000]  Every culture has their own way of memorializing that simple statement.
[1:19:08.000 --> 1:19:14.000]  But you don't want to make a friend of the death of civilization and the death of the human species.
[1:19:14.000 --> 1:19:19.000]  The moment of truth is now here. We are facing the post-human era.
[1:19:19.000 --> 1:19:25.000]  And I've been warning you for many years that they would use a global viral crisis to click.
[1:19:25.000 --> 1:19:29.000]  Put us in the cage and then roll out the robot takeover.
[1:19:29.000 --> 1:19:36.000]  This is just the beta test. China is moving out of beta and into operational control.
[1:19:36.000 --> 1:19:43.000]  In just a few years, we will be under full globalist control, forced inoculations, total surveillance.
[1:19:43.000 --> 1:19:49.000]  We're all being taught that we are obsolete. The term they use is non-essential.
[1:19:49.000 --> 1:19:57.000]  This is not some dystopian novel. This is reality. This is the New World Order. This is Satanism.
[1:20:19.000 --> 1:20:26.000]  There has really been an exercise in mass conformity if you look at it from the British perspective.
[1:20:26.000 --> 1:20:30.000]  And this whole social distancing thing, there's a new study.
[1:20:30.000 --> 1:20:36.000]  We're at Twitter thread by a doctor, Dr. Muge Cebic. This again is on lockdownskeptics.org.
[1:20:36.000 --> 1:20:42.000]  He's an infectious disease researcher at St Andrews University. She, sorry.
[1:20:42.000 --> 1:20:47.000]  She cites numerous research studies suggesting that close and prolonged exposure to someone infected with the virus
[1:20:47.000 --> 1:20:51.000]  is necessary for transmission, making a nonsense of social distancing rules.
[1:20:51.000 --> 1:21:00.000]  So you have to be in close proximity with someone for an extended period of time to transmit this disease according to new research.
[1:21:00.000 --> 1:21:07.000]  So this whole thing about social distancing, which now has got to the point where they're talking about putting markers on the pavement,
[1:21:07.000 --> 1:21:10.000]  where you can't get close to somebody based on this marker.
[1:21:10.000 --> 1:21:19.000]  They've got facial recognition cameras in the works to tie your face into the social credit score that they're going to roll out, Chinese style.
[1:21:19.000 --> 1:21:21.000]  And again, what are the punishments going to be?
[1:21:21.000 --> 1:21:29.000]  Fines, a lowering of your social credit score, a revoke of your social media posting privileges, perhaps.
[1:21:29.000 --> 1:21:34.000]  The article goes on to say, in terms of this social distancing being questioned,
[1:21:34.000 --> 1:21:41.000]  the most likely hotspots are not sporting arenas, shopping centers, restaurants, cafes, et cetera, but hospitals and care homes.
[1:21:41.000 --> 1:21:48.000]  The doctor said, quote, casual short interactions are not the main driver of the epidemic.
[1:21:48.000 --> 1:21:53.000]  The technical way of putting this is that the virus is no social meal infection.
[1:21:53.000 --> 1:21:58.000]  Incidentally, this is another person, Matt Ridley's reason for becoming a lockdown skeptic,
[1:21:58.000 --> 1:22:07.000]  because more and more of the science is saying that this social distancing that we've been doing for the past six weeks has no impact whatsoever.
[1:22:07.000 --> 1:22:15.000]  Meanwhile, Reuters reports, Dutch restaurant trials glass booths for dining amid coronavirus.
[1:22:15.000 --> 1:22:20.000]  Again, live in a pod, work in a pod, socialize in a pod, eat bugs.
[1:22:20.000 --> 1:22:25.000]  The Dutch restaurant has come up with an idea on how to offer classy outdoor dining.
[1:22:25.000 --> 1:22:32.000]  In the age of coronavirus, small glass cabins built for two or three people, creating intimate cocoons on a public patio.
[1:22:32.000 --> 1:22:37.000]  Waiters wear gloves and transparent face shields and use longboard to bring dishes into the glass cabins
[1:22:37.000 --> 1:22:40.000]  to ensure minimal physical contact with customers.
[1:22:40.000 --> 1:22:48.000]  They're talking about having to have a table between every diner, you know, immediately cut restaurant income in half.
[1:22:48.000 --> 1:22:51.000]  They're talking about putting pods around everyone when they get on airplanes.
[1:22:51.000 --> 1:23:00.000]  The boss of Heathrow came out yesterday, I'm going to get into this later, and said this social distancing in airports is not going to work.
[1:23:00.000 --> 1:23:10.000]  It's practically impossible to be two meters away from somebody when you're boarding a plane, unless you want the queue for the plane to stretch for a kilometer.
[1:23:10.000 --> 1:23:13.000]  Absolutely incredible.
[1:23:13.000 --> 1:23:19.000]  While the concept is currently being trialled only for family and friends of staff, it certainly looks glamorous.
[1:23:19.000 --> 1:23:24.000]  No, it doesn't. Having your dinner in a greenhouse is not glamorous.
[1:23:24.000 --> 1:23:29.000]  It's super cozy. It's really cozy. It's nice and the food is delicious.
[1:23:29.000 --> 1:23:36.000]  Just making everyone a surf, not only making them a surf, making it sound cozy.
[1:23:36.000 --> 1:23:42.000]  And people are terrified. People in the UK are still terrified. They want them to lock down parks.
[1:23:42.000 --> 1:23:50.000]  60% in a pole said this social distancing, this draconian lockdown doesn't go far enough.
[1:23:50.000 --> 1:23:59.000]  The comedian Sam Hyde did a skit where he was like, stay at home, sit on a chair, go to your basement, sit on a chair, face the wall.
[1:23:59.000 --> 1:24:02.000]  Don't look out the window and stay there for four to 10 years.
[1:24:02.000 --> 1:24:07.000]  Some of these people in these poles would actually probably unironically support that.
[1:24:07.000 --> 1:24:14.000]  The only place British people are allowed to go, unless they're going to Tesco Supermarket, is parks.
[1:24:14.000 --> 1:24:21.000]  So every weekend on a Saturday and a Sunday, the entire population of London is crammed into these parks.
[1:24:21.000 --> 1:24:26.000]  There's no social distancing. People are running. People are spitting as they run.
[1:24:26.000 --> 1:24:31.000]  They're spitting on the floor. They're breathing. They're running past you. You've got bikes, kids running around everywhere.
[1:24:31.000 --> 1:24:40.000]  There's no social distancing. They've crammed the entire population of the city into eight major parks across the city.
[1:24:40.000 --> 1:24:47.000]  Insane. ITV reports, Cambridge study finds Brits are most concerned about COVID-19 risk.
[1:24:47.000 --> 1:24:53.000]  Cambridge researchers have found that Brits are more worried about coronavirus than Italy, Spain or South Korea.
[1:24:53.000 --> 1:25:03.000]  The study is carried out by the University of Winston Centre for Risk and Evidence, and it shows that basically British people are the most petrified.
[1:25:03.000 --> 1:25:07.000]  Here's the poll I was talking about earlier. A headline out of The Independent.
[1:25:07.000 --> 1:25:13.000]  Coronavirus British public backs tighter lockdown restrictions if needed to beat disease.
[1:25:13.000 --> 1:25:22.000]  This is a BMG survey. It said if there were indications that support will wane, it said that there were indications that support will wane.
[1:25:22.000 --> 1:25:33.000]  And it says if the government came out and said that these lockdown measures will be extended into the summer, only 41% said that would be unreasonable.
[1:25:33.000 --> 1:25:40.000]  41%, that means the majority, unless they've got an option for don't know, which is not specified in the article.
[1:25:40.000 --> 1:25:48.000]  The majority are happy for it to be extended to August, and then only 48%, still a minority if you don't have a don't know answer,
[1:25:48.000 --> 1:25:54.000]  are happy for it to be extended into September. So another four months from now.
[1:25:54.000 --> 1:26:00.000]  Again, a lot of these people, if you said, stay at home for the next two years, they'd say yes, and they'd take their paycheck,
[1:26:00.000 --> 1:26:05.000]  and they'd lean out the window every Thursday at 8pm and clap, big brother.
[1:26:05.000 --> 1:26:16.000]  12%, one in eight of the population said they believed a continuation of tight social distancing measures lasting nine months or more stretching into 2021 would be reasonable.
[1:26:16.000 --> 1:26:20.000]  So over 10% of the population want this to go on for another year.
[1:26:20.000 --> 1:26:25.000]  Participants support the government's approach to COVID-19, 57% support.
[1:26:25.000 --> 1:26:32.000]  64% said the government was right to prioritize saving lives at the risk of harming jobs.
[1:26:32.000 --> 1:26:39.000]  Yeah, the professor of cancer at King's College says there will be more excess cancer death than COVID deaths.
[1:26:39.000 --> 1:26:42.000]  That's not saving lives, that's costing lives.
[1:26:42.000 --> 1:26:50.000]  You've got cancer patients who can't get screenings, who can't get treatment, can't get chemotherapy, thousands will die.
[1:26:50.000 --> 1:26:59.000]  Already have, in many cases, some of these numbers of the daily fatalities include people who can't get treatment for cancer.
[1:26:59.000 --> 1:27:05.000]  27% said the UK was well prepared for an outbreak, 52% said it was not.
[1:27:05.000 --> 1:27:13.000]  Here's the stat, 46% said they were not stringent enough, opposition to the restrictions of strongest amongst the young.
[1:27:13.000 --> 1:27:20.000]  And then it says with controversy raging over police officers' efforts to prevent sunbathing, God forbid.
[1:27:20.000 --> 1:27:27.000]  60% said they would back the closure of all parks if people continue to ignore social distancing rules.
[1:27:27.000 --> 1:27:35.000]  60% want the government to close down the only place that you're basically allowed to go, apart from food shopping.
[1:27:35.000 --> 1:27:37.000]  Absolutely incredible.
[1:27:37.000 --> 1:27:44.000]  They've taped off park benches, not even park benches, benches in the streets in residential areas.
[1:27:44.000 --> 1:27:47.000]  They've taped them off with police tape.
[1:27:47.000 --> 1:27:50.000]  That's going to stop coronavirus, isn't it?
[1:27:50.000 --> 1:27:59.000]  Can you imagine you're some elderly person who's going out for their government allotted one hour daily exercise for a walk?
[1:27:59.000 --> 1:28:05.000]  Suddenly you get some chest pains or something, maybe you've got an ailment, you want to sit down, no you can't,
[1:28:05.000 --> 1:28:12.000]  because that's going to stop COVID-19, putting two bits of tape over a frigging park bench.
[1:28:12.000 --> 1:28:13.000]  Absolutely incredible.
[1:28:13.000 --> 1:28:18.000]  There's an article by Michael Snyder, which I'm going to get into after the break.
[1:28:18.000 --> 1:28:22.000]  This is going to make social distancing a permanent part of our lives,
[1:28:22.000 --> 1:28:30.000]  because again, it's about the enforcement of absurd petty rules on a whim that they can reintroduce at any point.
[1:28:30.000 --> 1:28:33.000]  They say, John, you say, how high?
[1:28:33.000 --> 1:28:41.000]  And given how the polls are looking at the UK, a lot of people are perfectly happy to continue jumping in lockstep in the government.
[1:28:41.000 --> 1:28:49.000]  I'm going to get into that and more how Sweden has responded to the coronavirus and why it's so different to the rest of the world and why it's actually working.
[1:28:49.000 --> 1:28:51.000]  Don't go away, we'll be right back.
[1:28:51.000 --> 1:29:14.000]  We'll see you next time.
[1:29:21.000 --> 1:29:26.000]  Ships free at fullycookedbacon.com, fullycookedbacon.com.
[1:29:51.000 --> 1:29:56.000]  Trust your family survival to survivalistcamps.com.
[1:30:22.000 --> 1:30:26.000]  A weak microchip that comes with the vaccine and so much more.
[1:30:26.000 --> 1:30:31.000]  And Bill Gates admits that 700,000 people will get sick and die from it.
[1:30:31.000 --> 1:30:36.000]  So remember, folks, they're coming to hurt you and your family and destroy your basic rights.
[1:30:36.000 --> 1:30:39.000]  The same left that says to kill babies all day long.
[1:30:39.000 --> 1:30:40.000]  Women own their bodies.
[1:30:40.000 --> 1:30:44.000]  Now say you don't own your body and they're coming to forcibly inoculate you.
[1:30:44.000 --> 1:30:47.000]  If you don't submit, you can't buy or sell or leave your home.
[1:30:47.000 --> 1:30:48.000]  Mark the beast.
[1:30:48.000 --> 1:30:52.000]  Oh, and guess what, Jeffrey Epstein and all these people hang out together with Bill Gates
[1:30:52.000 --> 1:30:55.000]  under a bunch of dirty devil worshipers in your face.
[1:30:55.000 --> 1:31:24.000]  They hate you and your family.
[1:31:25.000 --> 1:31:32.000]  Who transferred the bio weapons to communist China so we could now release the weapon.
[1:31:32.000 --> 1:31:39.000]  But without the loving liberal media scaring you in the submission and the corporate press,
[1:31:39.000 --> 1:31:46.000]  worshiping corporations that shut down all access as well as blue city governors and mayors,
[1:31:46.000 --> 1:31:52.000]  we would never have been able to imbue the depression that will destroy your future forever
[1:31:52.000 --> 1:31:54.000]  and starve the third world.
[1:31:54.000 --> 1:31:57.000]  Well done, American cowards.
[1:31:57.000 --> 1:32:02.000]  Feudalism in the ancient world from Asia to Europe, from Africa to Latin America,
[1:32:02.000 --> 1:32:04.000]  was the most common form of government.
[1:32:04.000 --> 1:32:09.000]  You had a ruling class, the nobility, the king and queen sitting on top of it,
[1:32:09.000 --> 1:32:15.000]  and the rest of the public were kept at a subsistence starving level for control.
[1:32:15.000 --> 1:32:18.000]  In fact, in most cultures, they called the peasants the little people
[1:32:18.000 --> 1:32:23.000]  because they were usually a foot or more shorter than the lords and ladies
[1:32:23.000 --> 1:32:27.000]  because they kept them again at a starving level.
[1:32:27.000 --> 1:32:32.000]  They were so busy trying to survive, they would never try to challenge the entrenched elite.
[1:32:32.000 --> 1:32:36.000]  Well now all the big Google owners and the Rockefellers and the Rothschilds,
[1:32:36.000 --> 1:32:41.000]  the Jeff Bezos is the world, they're sitting back on their giant estates with their jet helicopters
[1:32:41.000 --> 1:32:46.000]  and private jets living the life, laughing at you shut down,
[1:32:46.000 --> 1:32:49.000]  going bankrupt in the third world starving to death.
[1:32:49.000 --> 1:32:55.000]  Their religion is power and control and they are pressing that advantage against us.
[1:32:55.000 --> 1:33:22.000]  We must break free from these monsters.
[1:33:22.000 --> 1:33:28.000]  The creator, the writer of Black Mirror, which if you haven't seen it, is a dystopian sci-fi TV series.
[1:33:28.000 --> 1:33:33.000]  I'm going to get into this later, has announced that he stopped writing the new series of Black Mirror
[1:33:33.000 --> 1:33:38.000]  because the real world is more dystopian than his television program.
[1:33:38.000 --> 1:33:40.000]  This is where we're at.
[1:33:40.000 --> 1:33:43.000]  There's a Michael Snyder article called,
[1:33:43.000 --> 1:33:46.000]  They Want to Make Social Distancing a Permanent Part of Their Lives.
[1:33:46.000 --> 1:33:50.000]  He talks about this, they're talking about putting physical markings on sidewalks.
[1:33:50.000 --> 1:33:56.000]  This is out the Daily Mail, in order to constantly remind us all not to walk too closely to one another.
[1:33:56.000 --> 1:34:05.000]  About 15 years ago in the UK, everybody suddenly started noticing the emergence of people wearing high-vis jackets,
[1:34:05.000 --> 1:34:08.000]  barking orders at everyone and telling them what to do.
[1:34:08.000 --> 1:34:13.000]  I'm not talking about high people who wear high-vis jackets for, you know, if they're working on construction sites
[1:34:13.000 --> 1:34:15.000]  or doing something potentially dangerous.
[1:34:15.000 --> 1:34:19.000]  I'm talking about just enforcers within society.
[1:34:19.000 --> 1:34:26.000]  So this high-vis jacket became the kind of emblem, the kind of motif of these new enforcers on top of the police
[1:34:26.000 --> 1:34:29.000]  that were barking orders telling everyone what to do.
[1:34:29.000 --> 1:34:34.000]  Now the police wear those high-vis jackets, British police used to dress well.
[1:34:34.000 --> 1:34:38.000]  They used to dress in a way which would attract, garner respect.
[1:34:38.000 --> 1:34:42.000]  Now they all look like these same petty high-vis enforcers.
[1:34:42.000 --> 1:34:44.000]  They don't get respected.
[1:34:44.000 --> 1:34:52.000]  As we reported, in many migrant areas of major cities in Europe, these lockdown measures, these social distancing measures
[1:34:52.000 --> 1:34:54.000]  are being completely ignored.
[1:34:54.000 --> 1:35:01.000]  In fact, in France, the Interior Minister even said we shouldn't enforce legally these social distancing measures
[1:35:01.000 --> 1:35:06.000]  in certain migrant ghetto areas because it could lead to riots.
[1:35:06.000 --> 1:35:12.000]  So again, the people crafting the policies aren't following the policies or violating the policies.
[1:35:12.000 --> 1:35:17.000]  People in certain areas of society, certain areas of cities are protected.
[1:35:17.000 --> 1:35:21.000]  They don't have to follow the policies, only you, only the plebs.
[1:35:21.000 --> 1:35:28.000]  They're talking about arrows on the ground and other physical markers to encourage and enforce distance.
[1:35:28.000 --> 1:35:31.000]  Imagine sidewalks with scoring every six feet.
[1:35:31.000 --> 1:35:36.000]  So those walking could make sure they're the human equivalent of a few car lengths behind.
[1:35:36.000 --> 1:35:39.000]  Or large sculptures deployed to separate people.
[1:35:39.000 --> 1:35:48.000]  So imagine the cost involved in putting markers on pavements on sidewalks every six feet around the entire country.
[1:35:48.000 --> 1:35:51.000]  What a pointless waste of money.
[1:35:51.000 --> 1:36:01.000]  And again, the proliferation of signs of street furniture, signs barking orders telling you what you can and can't do.
[1:36:01.000 --> 1:36:08.000]  If you look at any high street 40, 50 years ago, there were hardly any signs telling people what to do whatsoever.
[1:36:08.000 --> 1:36:14.000]  I'm not just talking about traffic signs, I'm talking about, you know, creating this pod planet prison society
[1:36:14.000 --> 1:36:22.000]  where you're told how to behave, how to walk, how to behave around other people every two minutes, everywhere you look.
[1:36:22.000 --> 1:36:29.000]  Walmart and other major retailers are already starting to put arrows on the floor to remind us which direction to shop
[1:36:29.000 --> 1:36:32.000]  so that we can maintain proper social distancing.
[1:36:32.000 --> 1:36:42.000]  I saw in the supermarket the other day on Instagram a video of barriers that would normally be used for road traffic repairs
[1:36:42.000 --> 1:36:48.000]  inside supermarkets telling people you can't walk this way down this aisle.
[1:36:48.000 --> 1:36:50.000]  The aisle wasn't even blocked off.
[1:36:50.000 --> 1:36:53.000]  You could only approach it from the opposite side.
[1:36:53.000 --> 1:36:55.000]  Again, completely pointless.
[1:36:55.000 --> 1:36:57.000]  It's absolute madness.
[1:36:57.000 --> 1:37:02.000]  Especially as I mentioned earlier, these new studies suggesting to catch it to transmit the virus,
[1:37:02.000 --> 1:37:06.000]  you have to live in very close proximity for an extended period of time.
[1:37:06.000 --> 1:37:09.000]  So none of this matters anyway.
[1:37:09.000 --> 1:37:11.000]  Article continues.
[1:37:11.000 --> 1:37:15.000]  We are being told that restaurants may have to start paying empty tables between customers.
[1:37:15.000 --> 1:37:19.000]  Sports stadiums may have to keep at least half their seats empty.
[1:37:19.000 --> 1:37:22.000]  And churches may have to start holding services in shifts.
[1:37:22.000 --> 1:37:29.000]  Again, in terms of restaurants, sports stadiums, businesses literally just lopping off half of their income immediately.
[1:37:29.000 --> 1:37:32.000]  That's really going to get the economy going again, isn't it?
[1:37:32.000 --> 1:37:38.000]  Just like in the days after 9-11, we would be told that the changes are just temporary measures.
[1:37:38.000 --> 1:37:43.000]  Once we accept temporary measures long enough, they have a way of becoming permanent.
[1:37:43.000 --> 1:37:45.000]  Again, that's the whole point, isn't it?
[1:37:45.000 --> 1:37:52.000]  We were told we had to go through this for a period of about six weeks, maybe two months, to get back to normal.
[1:37:52.000 --> 1:37:57.000]  Then about three weeks ago, they suddenly said, oh no, you're never going to get back to normal.
[1:37:57.000 --> 1:37:59.000]  This is the new normal.
[1:37:59.000 --> 1:38:04.000]  Why did we do all that in the first place then, if that was your plan all along?
[1:38:04.000 --> 1:38:11.000]  The new normal is living in a pod, working in a pod, dining in a pod,
[1:38:11.000 --> 1:38:18.000]  and following these bizarre social distancing measures that the new studies suggest are completely pointless.
[1:38:18.000 --> 1:38:25.000]  In the UK, headline 18 million people entered the UK as the coronavirus pandemic was raging,
[1:38:25.000 --> 1:38:29.000]  18 million people entered the UK in the three months before lockdown,
[1:38:29.000 --> 1:38:33.000]  with hardly any of them undergoing health screenings or being put into quarantine.
[1:38:33.000 --> 1:38:44.000]  100,000 people from foreign countries are arriving at UK airports still to this day every single week.
[1:38:44.000 --> 1:38:51.000]  You're not even allowed to drive to the airport unless you're an essential worker or you've got an essential reason to be there.
[1:38:51.000 --> 1:38:56.000]  But 100,000 people are arriving every single week with no health checks whatsoever.
[1:38:56.000 --> 1:39:03.000]  Bolt migrants, I'm going to get into this in a minute, arriving on the coast in greater numbers than before the lockdown in some areas,
[1:39:03.000 --> 1:39:08.000]  getting taxi services from the government to bring them in.
[1:39:08.000 --> 1:39:16.000]  Meanwhile, they're talking about, oh, maybe we can have, we can go outside and have a picnic in a month.
[1:39:16.000 --> 1:39:25.000]  The Mirror reports only 273 people out of 18.1 million who came to the country in three months leading up to the nationwide lockdown were put into quarantine.
[1:39:25.000 --> 1:39:31.000]  This means that tens of thousands of people were entering from coronavirus affected countries, including Italy and Spain,
[1:39:31.000 --> 1:39:35.000]  and were then allowed to circulate amongst the general population.
[1:39:35.000 --> 1:39:39.000]  Now, a labor MP called Stephen Doherty questioned this.
[1:39:39.000 --> 1:39:45.000]  Actually, some of the labor politicians have been good in questioning the government on this, not to give them a little bit of credit.
[1:39:45.000 --> 1:39:54.000]  He said, on what scientific basis were a handful of flights from Wuhan and one from a Tokyo from Tokyo singled out for extreme attention?
