[00:00.000 --> 00:24.000]  It's a war, tomorrow's news, today.
[54:02.000 --> 54:08.000]  Some women carry it in their purses. You can get your very own signed copy of my presidential pardon,
[54:08.000 --> 54:11.000]  a great Christmas gift. I will personalize it to you.
[54:11.000 --> 54:17.000]  By the way, when I announced that I was selling these Alex, the people with the Daily Beast went completely insane.
[54:17.000 --> 54:26.000]  So now, if you go to StoneZone.com and go to the shop, put in promo code DailyBeast and you'll get a 10% discount.
[54:26.000 --> 54:30.000]  Roger, we love you. We appreciate you. Be safe. We'll talk soon.
[54:30.000 --> 54:33.000]  God bless you, Alex. Keep up the good fight.
[54:33.000 --> 54:37.000]  I'll try, brother. Let me say something about what he just said.
[54:37.000 --> 54:46.000]  We're not backed by the Republican Party, by the Democratic Party, by George Soros, by Bill Gates, by Pfizer, by the ADL, by the New World Order, by nobody, but you.
[54:46.000 --> 54:51.000]  So the media makes fun of Roger Stone selling t-shirts and signed stones.
[54:51.000 --> 55:02.000]  Well, we go to the people. It's a badge of honor. It's a badge of how we're grassroots that we fund ourselves with books and films and high quality supplements and things that you need.
[55:02.000 --> 55:08.000]  And so please, you're not going to get the information we're about to cover next hour anywhere else.
[55:08.000 --> 55:15.000]  The euthanasia of children has now begun, even healthy ones in places like Canada, and it's already starting here.
[55:15.000 --> 55:19.000]  We've got two powerful special reports on that. It's even worse than I was reporting on yesterday.
[55:19.000 --> 55:27.000]  I'm going to start the next hour on that. They need air superiority with no one challenging it so they can gaslight us with all this garbage.
[55:27.000 --> 55:38.000]  This broadcast reaches millions and millions and millions of people a day thanks to the hardcore minority of people that actually buy the products and share the articles and videos.
[55:38.000 --> 55:46.000]  Everybody would pray for the broadcast. If everybody would share the videos and articles, if everybody would buy the products, we could change the whole world even faster and better.
[55:46.000 --> 55:52.000]  But plus, these are great products you need to make your life much richer, much healthier.
[55:52.000 --> 55:57.000]  So I want to be very clear here. We are running the best sales of the year right now.
[55:57.000 --> 56:00.000]  They'll run through Christmas, but most of stuff will be sold out way before Christmas.
[56:00.000 --> 56:10.000]  But despite the fact that DNA Force Plus and X3 and vitamin mineral fusion and body's ultimate turmeric formula and supermobile vitality and all this stuff is very close to selling out,
[56:10.000 --> 56:21.000]  I'm going to keep it at 50 to 60% off with promo code 1776 until it all sells out because I want you to get a great deal and I need to bring in the money period just to stay on air.
[56:21.000 --> 56:25.000]  So we're blasting everything out in a clearance sale.
[56:25.000 --> 56:31.000]  You should get your Christmas shopping done now and stock up on all these great products despite the fact that X3 will be sold out in a week.
[56:31.000 --> 56:40.000]  It is still, ladies and gentlemen, 50% off with promo code 1776 at checkout and double patriot points.
[56:40.000 --> 56:47.000]  Brain Force Plus, 60% off. Knockout sleep support. Amazing. 50% off. Out of power. 50% off for your male vitality and female vitality.
[56:47.000 --> 56:56.000]  Basil beats, creates the nitrous oxide in the blood, so good for your heart and cardiovascular. That's really important nowadays. 50% off for Vibalshield X3. Again, body's vitamin mineral fusion.
[56:56.000 --> 57:04.000]  It's all there. Ultimate fish oil, ultimate krill oil, immune support. Physiomagnetism has the highest quality magnesium that I don't know of any other company that actually has this high grade magnesium.
[57:04.000 --> 57:10.000]  And it's so good for your joints, your muscles, your bones, your cardiovascular, your whole body. All these are synergistic.
[57:10.000 --> 57:18.000]  If you just took three products, it'd be vitamin mineral fusion, X3, and I'd have to say DNA Force Plus. But they're all incredible.
[57:18.000 --> 57:25.000]  I want to thank you all for your support. Go to infowarstore.com right now and get these while you still can and keep us on the air.
[57:25.000 --> 57:32.000]  Truly changing the world together. Infowarstore.com or triple aid 253-3139.
[57:32.000 --> 57:41.000]  Massive news sponsored by you, brought to the world by you. Coming up, hour number two. Stay with us.
[57:41.000 --> 58:07.000]  The Globalist are in an absolute panic right now. They are attacking and suing and censoring and spying on and engaging in bullying and physical attacks against populist conservatives and Christians.
[58:07.000 --> 58:16.000]  Not just in America, but worldwide. And their number one most hated enemy in the media is Info Wars because we know the Globalist number.
[58:16.000 --> 58:21.000]  We know their operation. We know their modus operandi and we know how to take them down peacefully.
[58:21.000 --> 58:28.000]  We've got great products that fund the operation that also are incredibly powerful and the highest quality for your immune system and more.
[58:28.000 --> 58:40.000]  We have the biggest sell of the year going right now. Black Friday comes early. Use promo code 1776 and get up to 60% off on these best selling products at infowarstore.com.
[58:40.000 --> 58:46.000]  Biggest sell of the year. Promo code 1776 up to 60% off. Take action now and empower your body.
[58:46.000 --> 59:00.000]  Once a tragedy reaches a level of national significance, American citizens should be allowed to basically question that event in any way that they deemed fit.
[59:00.000 --> 59:05.000]  The First Amendment is unique in the world. That's what they want to take away. Your ability to speak freely.
[59:05.000 --> 59:10.000]  So they're going to go for Mike Lindell next. Or are they going to go for Steve Bannon? Or are they going to go for Tucker Carlson?
[59:10.000 --> 59:17.000]  I studied the Globalist 30 years ago, but only 28 years. And I knew they were planning all of this. And I warned the public as a modern Paul Revere.
[59:17.000 --> 59:27.000]  But I couldn't have done it without your support. And now because we've been so successful warning the population of the planet, not just America, we're public enemy number one when it comes to the Globalist agenda.
[59:27.000 --> 59:32.000]  That's why it's more important than ever to realize how successful Info Wars has been because of your past support.
[59:32.000 --> 59:42.000]  So I salute you and I thank you. And I ask you now, the critical juncture of the battle, free double your efforts by visiting infowarstore.com and getting amazing products that keep us on air.
[59:42.000 --> 01:00:03.000]  1776 is the promo code. The destination is infowarstore.com. And I thank you all for your support.
[01:00:12.000 --> 01:00:38.000]  Hold on, my friends, the children and our entire future species is counting on us now. We should be honored to be in this position and persecuted
[01:00:38.000 --> 01:00:47.000]  by the most evil forces history of this planet. Their covert operations have now been drawn out in the open.
[01:00:47.000 --> 01:00:56.000]  The process of them trying to break us with the process of their downfall and destruction. It has been foretold.
[01:00:56.000 --> 01:01:16.000]  And now you see it all beginning to manifest as the mind of man is made in the image of God. But we envision over time, you're able to realize that's why they feed us ugliness and death and destruction and tell us we're trash.
[01:01:16.000 --> 01:01:28.000]  So we manifest the dystopic system that Hollywood spreads. We will manifest the blueprint that God has given us and our stairway to heaven.
[01:01:28.000 --> 01:01:38.000]  All right, I want to do this. Some stations don't carry this segment. And this is some big news. So I'm going to come back in with the latest developments on the next big rollout.
[01:01:38.000 --> 01:01:49.000]  They've been beta testing and that is forced government intimidated social credit score suicide. And exactly as I told you in in game, made in 2007, we talk about that.
[01:01:49.000 --> 01:01:56.000]  It's now here exactly as we said, because we're going off their own blueprints. And so that's coming up next segment.
[01:01:56.000 --> 01:02:15.000]  I also intend to open the phones up this hour. Steve quail is going to be joining us. We've got a lot of global government news that we're going to be getting to as well, shocking clips out of the big UN summit just ended incredible
[01:02:15.000 --> 01:02:33.000]  announcements of censorship, world government tyranny and a quarterback at worldwide the ADL. It will be in charge. They're in charge of policy and then government then empowers them and tells big tech and corporations to follow their orders.
[01:02:33.000 --> 01:02:48.000]  And this is truly a mafia, truly something that would make even some of the worst totalitarians blush by how massive this is and how incredibly widespread it is.
[01:02:48.000 --> 01:02:52.000]  So we're going to be laying all of that out.
[01:02:52.000 --> 01:03:03.000]  And today, there are two reports that tie in to all of this. We're going to be getting to Canadian government preparing the youth and I shoulder without parental consent.
[01:03:03.000 --> 01:03:12.000]  It's one of the reports and then globalist push mass suicide. This will take until the bottom of the hour to get to all of this.
[01:03:12.000 --> 01:03:23.000]  Then I'll hit the massive ADL news and then we will take some phone calls. I only have time today to take about 10. So I asked the folks taking the calls in there to just put 10 on the board.
[01:03:23.000 --> 01:03:33.000]  I don't want anybody else to not get on air and I'm getting better and better at actually taking every single call. I'd say about 80% of the time we take calls now we take them all.
[01:03:33.000 --> 01:03:42.000]  I've gotten around like 10 people on hold, 20 people on hold, but we're not doing that. We're not having people hold. We're going to your calls quickly. I've got a lot of good feedback about it.
[01:03:42.000 --> 01:03:49.000]  I used to be a good talk show host 25, 30, 25, 28 years ago, taking a lot of calls and really being good at it.
[01:03:49.000 --> 01:03:55.000]  Over time, I got to be one of the worst about even going to calls, but we have, we've tightened it up and done a lot.
[01:03:55.000 --> 01:04:06.000]  And I've also promised listeners that I'm going to be doing more than just once or twice a week special commercial light podcast and we're gearing up to very soon.
[01:04:06.000 --> 01:04:18.000]  I will at regimented times do three multi hour live call in shows and with special guests, but mainly calls and analysis and you can look for those in the evenings.
[01:04:18.000 --> 01:04:22.000]  Our speech is so vital. The enemy hates the fact that we're doing it so much.
[01:04:22.000 --> 01:04:29.000]  There's really a premium on it. And so if they don't want me to do it and they don't want me on air, well, then I've got to do that, don't I?
[01:04:29.000 --> 01:04:34.000]  So I've already promised a year ago to start doing more of that. I've been doing more of it.
[01:04:34.000 --> 01:04:40.000]  We're about to double or triple the amount of that that you have been seeing and a lot more.
[01:04:40.000 --> 01:04:43.000]  If we had more funds, we'd have even more talk show hosts, more reporters, everything else.
[01:04:43.000 --> 01:04:48.000]  But right now we're in a stabilization attack formation mode and having a great effect.
[01:04:48.000 --> 01:04:57.000]  Thanks to all of you. We're going to come back with the first report on this and I'll fill in some of the backstory and the targeting of our children, the next level evil murdering children.
[01:05:19.000 --> 01:05:25.000]  Organic based multivitamin back in stock massively discounted at infowarstore.com.
[01:05:25.000 --> 01:05:30.000]  Vitamin refusion incredible back in stock massively discounted infowarstore.com.
[01:05:30.000 --> 01:05:36.000]  The vitamin C zinc again organic vitamin C 1100% with the rose hips and zinc.
[01:05:36.000 --> 01:05:41.000]  This is the Linus Pauling formula. You want it infowarstore.com and the list goes on and on.
[01:05:41.000 --> 01:05:53.000]  DNA Force Plus, Brain Force Ultra, Supermell Vitality, Physic Magnesium, all of it from 40 to 60% off when you use promo code 1776 at infowarstore.com.
[01:05:53.000 --> 01:06:21.000]  You're insane. All the stuff going on in this world. If you don't boost your immune system, plus it keeps us on air a win-win.
[01:06:21.000 --> 01:06:34.000]  Pharma owned by the Big Macs through the UNWF is promoting government extermination of the mentally ill and the physically disabled, calling it liberal and trendy Bill Gates' death panels on steroids.
[01:06:34.000 --> 01:06:39.000]  Here is a critical Gregory's report and I'll give you the rest of the story.
[01:06:39.000 --> 01:07:04.000]  The film Soylent Green was made in 1973 and set in a dystopian world in the year 2022 where the government is secretly feeding the people food made of people and the most pleasant experience one can have is state assisted suicide.
[01:07:04.000 --> 01:07:14.000]  While government run media pushes the idea of cannibalism, government assisted suicide is officially now a thing in 2022.
[01:07:14.000 --> 01:07:23.000]  Before COVID, you could always count on modern medicine to keep you alive so long as you had the money or insurance to pay for it.
[01:07:23.000 --> 01:07:32.000]  But these days, the hospitals seem more likely to liquidate you and in Canada, they will help you kill yourself, even if you don't really want to die.
[01:07:32.000 --> 01:07:36.000]  Amir Farsud has applied for medically assisted dying known as Maid.
[01:07:36.000 --> 01:07:47.000]  He lives in constant agony due to a back injury but has started the process for end of life because his rooming house is up for sale and he can't find anywhere else to live that he can afford.
[01:07:47.000 --> 01:07:53.000]  He barely survives on Ontario disability support payments which are just over $1200 a month.
[01:07:53.000 --> 01:07:57.000]  He doesn't want to die, but being homeless is not an option.
[01:07:57.000 --> 01:08:01.000]  I know in my present health condition I wouldn't survive it anyway.
[01:08:01.000 --> 01:08:08.000]  Farsud meets the criteria for Maid, physical suffering due to disability that cannot be relieved.
[01:08:08.000 --> 01:08:15.000]  His doctor, who knows Farsud's real reason for Maid is his fear of being homeless, signed off on the application in August.
[01:08:15.000 --> 01:08:18.000]  Farsud needs a second to do the same.
[01:08:18.000 --> 01:08:24.000]  There's a 90 day waiting period he believes he could potentially access Maid in about a month.
[01:08:24.000 --> 01:08:32.000]  I don't wish to be dead, even with the pain, even with the Maids. I still want to be here.
[01:08:32.000 --> 01:08:41.000]  According to the Canadian government, they are getting several requests for suicide from children who they refer to as mature minors.
[01:08:41.000 --> 01:08:48.000]  And they are seeking to amend the laws so that these children can be euthanized without their parents' consent.
[01:08:48.000 --> 01:08:54.000]  There are posts on social media that suggest this might be true, which shouldn't surprise anyone.
[01:08:54.000 --> 01:09:03.000]  The quality of life for Canadians is at an all time low, and the motive for helping Canadians kill themselves is allegedly to save the government money.
[01:09:03.000 --> 01:09:09.000]  They have saved $90 million, so that's like four missiles flying to Ukraine.
[01:09:09.000 --> 01:09:19.000]  The government has infinite money for refugees, and for foreign aid, and for Democrat campaigns, and for waging war in Ukraine.
[01:09:19.000 --> 01:09:24.000]  But no money to keep people alive. That's too expensive. This is the plan how they're going to save money.
[01:09:24.000 --> 01:09:32.000]  Sure, they're going to welcome in a couple million foreigners every year, put them on the free healthcare ticket.
[01:09:32.000 --> 01:09:40.000]  But average Canadians, sorry. Sorry, it's time to suicide. It's time for death.
[01:09:40.000 --> 01:09:54.000]  After 6,465 individuals committed suicide with the help of Maid Medical Assistance in Dying, the Canadian government saved $86.9 million.
[01:09:54.000 --> 01:10:02.000]  About $13,000 per person. That's what an individual's life is worth today in Canada.
[01:10:02.000 --> 01:10:11.000]  The economists running Canada concluded that the savings from Maid are so far negligible, but the suicide program should continue.
[01:10:11.000 --> 01:10:16.000]  Bullets don't cost that much. I mean, we could really be ramping this up.
[01:10:16.000 --> 01:10:24.000]  Maybe you could have people pay tickets, like maybe this is a solution. Maybe in Canada you pay like $10,000 and you get to kill somebody.
[01:10:24.000 --> 01:10:37.000]  This is the predictable outcome of big government. When unnecessary jobs are created and given to lazy idiots, then economists and bureaucrats inevitably sort everything out.
[01:10:37.000 --> 01:10:47.000]  And they only see us as a resource, which turns civilization into a meat factory. Reporting for InfoWars, this is Greg Rees.
[01:10:47.000 --> 01:10:53.000]  And here is John Bound's report on the same evil subject that I'll break down what's really behind it all.
[01:10:53.000 --> 01:11:01.000]  I'm not gonna sit here and take any more.
[01:11:01.000 --> 01:11:11.000]  The third difference which we see in the forced industrial revolution is the fact that the winners take it all.
[01:11:11.000 --> 01:11:19.000]  Contrary to the previous industrial revolutions, it's very difficult to copy.
[01:11:19.000 --> 01:11:25.000]  So if you are a first-mover, you are the winners.
[01:11:25.000 --> 01:11:33.000]  And this will determine global competition on a national, but also on a business level to a large extent.
[01:11:33.000 --> 01:11:40.000]  And I hope in a not-too-hostile way in the coming years.
[01:11:40.000 --> 01:11:49.000]  It really is true in a social, Darwinistic fashion that is, we present all this that's very accurate and documented.
[01:11:49.000 --> 01:11:56.000]  And the general public does not rally and awaken and say no and bring the perpetrators to justice.
[01:11:56.000 --> 01:12:00.000]  That really, they've all been given ample warning and deserve what they get.
[01:12:00.000 --> 01:12:10.000]  And that's why the globalist target adults with deadly shots and assisted suicide and all the rest of it, because metaphysically in the natural law of the universe,
[01:12:10.000 --> 01:12:23.000]  if you can get somebody to hurt themselves out of their free will, even if you pretty much trick them, you still gotta give them a hint, then it doesn't come back on you metaphysically as bad.
[01:12:23.000 --> 01:12:40.000]  And what will happen to politics in your country in 20 years when somebody in San Francisco or in Beijing knows the entire medical and personal history of every politician,
[01:12:40.000 --> 01:12:52.000]  every judge and every journalist in your country, including all those sexual escapades, all their mental weaknesses and all their corrupt dealings?
[01:12:52.000 --> 01:12:58.000]  Will it still be an independent country or will it become a data colony?
[01:12:58.000 --> 01:13:05.000]  When you have enough data, you don't need to send soldiers in order to control a country.
[01:13:05.000 --> 01:13:10.000]  So they're definitely involved in a spiritual alchemy and they understand the laws of the universe.
[01:13:10.000 --> 01:13:19.000]  But when they cross the Rubicon of trying to euthanize children, trying to sterilize children, trying to wreck the brains of children,
[01:13:19.000 --> 01:13:28.000]  it commits an interdimensional crime that God will not put up with and will destroy us.
[01:13:28.000 --> 01:13:35.000]  Originally it was pericarditis and I was then told just before Christmas, actually it's perimarcarditis.
[01:13:35.000 --> 01:13:40.000]  So it's actually worse because I've got pericarditis and the mercarditis damage.
[01:13:40.000 --> 01:13:45.000]  So I have scarring on three parts of my heart and still the delining the muscle of my heart.
[01:13:45.000 --> 01:13:52.000]  The information which constricts it, that's when my heart rate goes up, that's what's constricting my heart and stopping me from breathing.
[01:13:52.000 --> 01:14:00.000]  And the other team who are fighting knows that and that's why they try to get us to go along and sanction the killing of children,
[01:14:00.000 --> 01:14:11.000]  whether it be abortion or assisted suicide or transgenderism as a form of genetic suicide for the people that actually get sterilized.
[01:14:11.000 --> 01:14:18.000]  And so they're trying to get us to lower our shields, ourselves.
[01:14:18.000 --> 01:14:28.000]  The depopulationists dream a 3D printed suicide machine, or in other words, a modern day gas chamber.
[01:14:28.000 --> 01:14:34.000]  The Sarko capsule, a high-tech death machine explicitly built for killing yourself was just 3D printed.
[01:14:34.000 --> 01:14:42.000]  The Sarko capsule is being touted by depopulationists as a way to efficiently and effortlessly kill oneself.
[01:14:42.000 --> 01:14:47.000]  Amir Farsud has applied for medically assisted dying known as Maid.
[01:14:47.000 --> 01:14:52.000]  He lives in constant agony due to a back injury but has started the process for end of life
[01:14:52.000 --> 01:14:57.000]  because his rooming house is up for sale and he can't find anywhere else to live that he can afford.
[01:14:57.000 --> 01:15:03.000]  Once inside the pot, the user will have to start the fatal process themselves.
[01:15:03.000 --> 01:15:07.000]  They will have to press a button which will reduce internal oxygen levels.
[01:15:07.000 --> 01:15:13.000]  The pod, which is biodegradable, can then be detached to be used as a coffin.
[01:15:13.000 --> 01:15:22.000]  When a Canadian veteran picked up the phone and called Veterans Affairs Canada to get treatment for his combat-related PTSD and a traumatic brain injury,
[01:15:22.000 --> 01:15:26.000]  he expected help getting better and getting his life back.
[01:15:26.000 --> 01:15:32.000]  Instead, he got an unexpected and unwanted offer to help him end it through medically assisted death.
[01:15:32.000 --> 01:15:34.000]  This is all being done by design.
[01:15:34.000 --> 01:15:37.000]  Well, the globalists say they're destroying the country by design.
[01:15:37.000 --> 01:15:41.000]  This is a pro-death, pro-tyranny cult.
[01:15:45.000 --> 01:15:51.000]  Alright, the rest of the story, when we come back, I'm going to explain how they're going to try to force everyone into this in phases.
[01:15:51.000 --> 01:15:55.000]  The future of the world will be laid out straight ahead. You might want to tune in.
[01:15:55.000 --> 01:16:00.000]  Alex, why is this taking so long?
[01:16:00.000 --> 01:16:02.000]  Why is this taking so long?
[01:16:02.000 --> 01:16:05.000]  In France, they can count all the paper ballots and they're done in a day.
[01:16:05.000 --> 01:16:07.000]  Why can't we do this here?
[01:16:07.000 --> 01:16:09.000]  The answer is fraud and corruption.
[01:16:09.000 --> 01:16:15.000]  If we don't fix the system, it doesn't matter whether the Republican nominee is Donald Trump or Governor de Sanctimonius.
[01:16:15.000 --> 01:16:17.000]  They're going to deny us Michigan.
[01:16:17.000 --> 01:16:19.000]  They're going to deny us Pennsylvania.
[01:16:19.000 --> 01:16:31.000]  They're going to deny us Arizona and I can't come to 270 electoral votes without any of those states where I believe there is an America first majority in every single one of them.
[01:16:31.000 --> 01:16:35.000]  So we need to keep fighting for reform of the system.
[01:16:35.000 --> 01:16:38.000]  Tucker Carlson said this better last night than anything else.
[01:16:38.000 --> 01:16:41.000]  Communications are the reason why we didn't well.
[01:16:41.000 --> 01:16:44.000]  That's why infowars.com is so damn important.
[01:16:44.000 --> 01:16:48.000]  That's why they're so desperate to take you off the air, Alex.
[01:16:48.000 --> 01:16:50.000]  People need to get behind infowars.
[01:16:50.000 --> 01:16:55.000]  This alternative media that we work so hard to bring you is vitally important.
[01:16:55.000 --> 01:16:58.000]  We need more of this communications, not less.
[01:17:01.000 --> 01:17:06.000]  I'm pointing my finger at you and I'm also pointing it right back at myself.
[01:17:06.000 --> 01:17:08.000]  You forget to take your multivitamins.
[01:17:08.000 --> 01:17:10.000]  You forget to take your vitamin D3.
[01:17:10.000 --> 01:17:12.000]  You forget to take your brain force plus.
[01:17:12.000 --> 01:17:14.000]  You forget to take DNA force plus.
[01:17:14.000 --> 01:17:17.000]  You forget to take DX3 and you know it makes your life better.
[01:17:17.000 --> 01:17:20.000]  And you know it makes you healthier and you constantly forget.
[01:17:20.000 --> 01:17:22.000]  And when you remember to do it, you're a lot healthier.
[01:17:22.000 --> 01:17:24.000]  This stuff will blow you away.
[01:17:24.000 --> 01:17:26.000]  Plus it funds our operation.
[01:17:26.000 --> 01:17:32.000]  We have the biggest settle that you're going right now at infowars.com with promo code 1776.
[01:17:32.000 --> 01:17:39.000]  Go to infowars.com and use promo code 1776 to get up to 60% off on these best selling products.
[01:17:39.000 --> 01:17:42.000]  The lowest deal is 40%.
[01:17:42.000 --> 01:17:48.000]  Most of the sales are 60% or 50% when you use promo code 1776.
[01:17:48.000 --> 01:17:50.000]  There's too many products to tell you about them all.
[01:17:50.000 --> 01:17:52.000]  They're all kick-ass. They keep us on the air.
[01:17:52.000 --> 01:17:55.000]  Please continue to support and I love you and I thank you.
[01:17:55.000 --> 01:18:13.000]  I am extremely honored to be seen by the globalists as their number one enemy.
[01:18:13.000 --> 01:18:25.000]  They know the truth about their globalist operations is exposed.
[01:18:25.000 --> 01:18:28.000]  Our main tool is free speech and the truth we promote using free speech.
[01:18:28.000 --> 01:18:35.000]  That's why when you share articles and videos from man.video or infowars.com or newswars.com it changes the world.
[01:18:35.000 --> 01:18:42.000]  And that's why when you go to infowars.com and get amazing products that empower you and your body and your immune system
[01:18:42.000 --> 01:18:47.000]  and your family you're also empowering the tip of the spear in the fight against the globalist.
[01:18:47.000 --> 01:18:53.000]  The fight starts at infowars.com and the support of the fight starts at infowars.com.
[01:18:53.000 --> 01:19:16.000]  God bless and thank you all for your support.
[01:19:23.000 --> 01:19:25.000]  Thank you so much for joining us today.
[01:19:25.000 --> 01:19:36.000]  We're going to be talking about virtual appointments, laboratory testing, diagnostics, prescriptions, treatment packages specifically for COVID, post-COVID, vaccine injury syndromes,
[01:19:36.000 --> 01:19:41.000]  and all the usual things that are seen in primary care.
[01:19:41.000 --> 01:19:49.000]  And then we have an entire array of holistic products, an online store, media, and health advice.
[01:19:49.000 --> 01:19:59.000]  Come see the wellness company and go to onlinehealthnow.com as a conduit to the wellness company.
[01:19:59.000 --> 01:20:10.000]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:20:10.000 --> 01:20:24.000]  All right, I'm going to give the toll free number out specifically on Trump announcing he's running for president and on the euthanasia,
[01:20:24.000 --> 01:20:30.000]  the forced killing of the population now taking place across the Western world,
[01:20:30.000 --> 01:20:35.000]  the so-called assisted suicide, which we always warned you would become something they pressured you into.
[01:20:35.000 --> 01:20:37.000]  We're going to get to that in a moment.
[01:20:37.000 --> 01:20:47.000]  But boy, there are so many clips from the last week of the big UN summit in Egypt, Cairo, that are just incredible.
[01:20:47.000 --> 01:20:58.000]  And when you watch these events and these other Davos group slash UN events, you see that Klaus Schwab is in charge in these videos directing the world leaders
[01:20:58.000 --> 01:21:00.000]  and walking around the world stage with him.
[01:21:00.000 --> 01:21:04.000]  He's the former head of the Bilderberg group.
[01:21:04.000 --> 01:21:07.000]  So they are flaunting this in our face.
[01:21:07.000 --> 01:21:17.000]  But notice this video we played this earlier this year out of the World Government Summit held in Dubai,
[01:21:17.000 --> 01:21:23.000]  2022 is now being blocked on YouTube because the ADL says it doesn't exist.
[01:21:23.000 --> 01:21:29.000]  So on the screen in a 60 foot tall wall, it says World Government Summit.
[01:21:29.000 --> 01:21:33.000]  But they go on to say, we're blocking this because this is a conspiracy and doesn't exist.
[01:21:33.000 --> 01:21:35.000]  And you go, well, that's crazy.
[01:21:35.000 --> 01:21:37.000]  Well, no, it's called gaslighting.
[01:21:37.000 --> 01:21:39.000]  They tell you they're doing it all.
[01:21:39.000 --> 01:21:42.000]  They tell you the shots don't work and kill you now.
[01:21:42.000 --> 01:21:45.000]  But if you criticize it, you're also banned.
[01:21:45.000 --> 01:21:52.000]  And the ADL is the group that organizes and runs it all with all the other sensors and fact checkers.
[01:21:52.000 --> 01:21:59.000]  Whether you're in Australia, whether you're in Europe, whether you're in the U.S. or Canada, it is the international ADL on record.
[01:21:59.000 --> 01:22:06.000]  And now they say if you criticize elections being stolen, open borders, forced injections, anything, it's all the same policy as Biden.
[01:22:06.000 --> 01:22:11.000]  It's the same policy in Germany, same policy in New Zealand, same policy in Canada.
[01:22:11.000 --> 01:22:13.000]  Because it's global government.
[01:22:13.000 --> 01:22:21.000]  So now we have the ADL giving their highest award like they gave Tim Cook when he censored me a few years ago.
[01:22:21.000 --> 01:22:24.000]  Before censoring me, they gave me an award and said so.
[01:22:24.000 --> 01:22:29.000]  We're honored to welcome Dr. Albert Borla next at Never Is Now.
[01:22:29.000 --> 01:22:38.000]  Dr. Borla, CEO of Pfizer, will be receiving the much-deserved 2022 ADL Courage Against Hate Award for his work in the public health sector from beyond.
[01:22:38.000 --> 01:22:44.000]  So Joseph Mengele did force medical experiments on people that killed a lot of folks.
[01:22:44.000 --> 01:22:46.000]  He's known as the Angel of Death.
[01:22:46.000 --> 01:22:54.000]  Of all the Nazis, he's like right below Hitler in the whole, you know, Nazis are the most evil thing on Earth, lexicon.
[01:22:54.000 --> 01:22:56.000]  And I agree they were bad.
[01:22:56.000 --> 01:23:02.000]  But nothing compared to these people on the scale of what they do or the covert sneakiness of it all.
[01:23:02.000 --> 01:23:11.000]  And so just on this topic, you have this guy with a forced injection, given secret liability protection, saying he owns your body, saying he wants to put chips in your body.
[01:23:11.000 --> 01:23:19.000]  And the ADL is now running around censoring anybody that says I own my body and saying that's Nazi.
[01:23:19.000 --> 01:23:28.000]  And that's in the 2021 June document that Biden put out saying it's terrorism to say you don't want these deadly shots.
[01:23:28.000 --> 01:23:35.000]  And I played Robert F. Kennedy Jr. yesterday pointing out that intelligence agencies are openly saying you're a terrorist if you don't want them to give you a deadly shot.
[01:23:35.000 --> 01:23:37.000]  Well, of course, they're coming to kill you.
[01:23:37.000 --> 01:23:42.000]  We have captured eugenics, depopulation, death cult governments.
[01:23:42.000 --> 01:23:52.000]  If they can't kill you in the womb, they'll try to sterilize you through transgenderism later or get you to commit suicide or make you commit suicide at the social credit score, which they're now saying they have.
[01:23:52.000 --> 01:23:55.000]  We're honored to welcome Dr. Albert Borla.
[01:23:55.000 --> 01:23:57.000]  And it goes on here.
[01:23:57.000 --> 01:23:59.000]  He responded.
[01:23:59.000 --> 01:24:07.000]  He's honored and humbled to accept the courage, I guess, hate award at the never is now summit for the ADL. It's high time.
[01:24:07.000 --> 01:24:19.000]  We raise our voices against anti-Semitism, racism in all forms and deliberate spread of hatred, which means not wanting to take the shot that grows primes in your body and kills you.
[01:24:19.000 --> 01:24:31.000]  We're honored and humbled. Isn't that just sweet? And then we have FTX run by Harvard, the Democratic Party and MIT giving billions of Ukraine hundreds of millions of Democratic Party.
[01:24:31.000 --> 01:24:46.000]  It was set up three and a half years ago and giving tens of millions to this organization together, COVID to make sure that any alternate treatment proven to be good, like hydroxychloroquine or you name it.
[01:24:46.000 --> 01:24:58.000]  We're going to be banned all the same organization, all the same group, literally trying to keep you from getting vitamin D3 or IV vitamin C to save you and wanting to innovate you and murder you with a ventilator.
[01:24:58.000 --> 01:25:06.000]  And then with weird crazy people going, you're a Nazi. We don't let us put this in your body. You're a Nazi of you. Don't open borders. You're a Nazi. We can't take your guns.
[01:25:06.000 --> 01:25:13.000]  Don't be a Nazi, America. Don't be a Nazi. Alex Jones is a Nazi.
[01:25:13.000 --> 01:25:24.000]  And when George Soros was selling Jews out to Hitler, both my grandfathers in the Army Air Corps and both of them almost died, I almost don't exist because of World War II.
[01:25:24.000 --> 01:25:39.000]  And then the very people that we saved, their grandchildren claim we're Nazis and have to be censored and have our rights taken and have things forced in our bodies by Joseph Mingola 2.0, Albert Borla.
[01:25:39.000 --> 01:25:52.000]  Screw Joseph Mingola and screw the ADL and screw Pfizer and screw the New World Order. I'm not your property and you're not going to kill me. You psychos. You crazy people.
[01:25:52.000 --> 01:25:58.000]  The ADL is now the society of Joseph Mingola, literally.
[01:25:58.000 --> 01:26:11.000]  Where's the ADL in Euthanasia? Where's the ADL in killing old people? Where's the ADL in Bill Gates St., killing old lady and higher-ten teachers? They're nowhere. Where's the ADL in the persecution of ultra-Orthodox Jews in Israel?
