[00:00:00.611 --> 00:00:00.871]  SIREN
[00:58:34.715 --> 00:58:37.478]  We have the strongest turmeric you're going to find out there.
[00:58:37.478 --> 00:58:39.280]  95% humanoid from bodies, ultimate turmeric formula.
[00:58:39.280 --> 00:58:40.201]  That's back in stock.
[00:58:40.201 --> 00:58:43.645]  And purchases at InfoWarstore.com are the highest quality supplements, desirable food.
[00:58:43.645 --> 00:58:46.508]  And you actually get them delivered in stock at InfoWarstore.com.
[00:58:46.508 --> 00:58:47.229]  So get those today.
[00:58:49.235 --> 00:58:53.218]  It's really smart to get high quality, storable food at InfoWareStore.com.
[00:58:53.218 --> 00:58:56.981]  It's also smart to drink filtered water with an Alexa Pure system.
[00:58:56.981 --> 00:59:00.044]  It's one of the highest rated out there and extremely affordable.
[00:59:00.044 --> 00:59:04.908]  And it's just as important to have your immune system boosted during times like this.
[00:59:04.908 --> 00:59:13.014]  And DNA Force Plus with PQQ, CoQ10, and so many other amazing ingredients is the base foundation for your entire body.
[00:59:13.014 --> 00:59:17.658]  Your mitochondrial output inside your cells, your telomeres, and so much more.
[00:59:18.218 --> 00:59:18.378]  Yeah.
[00:59:51.099 --> 00:59:58.520]  You're listening to the Alex Jones Show.
[00:59:58.520 --> 01:00:11.383]  He never gives up.
[01:00:11.383 --> 01:00:13.423]  He's Alex Jones.
[01:00:13.423 --> 01:00:16.564]  Broadcasting from deep in the heart of Texas.
[01:00:16.564 --> 01:00:17.504]  Worldwide.
[01:00:22.779 --> 01:00:29.406]  We've been here three hours and American Airlines sucks.
[01:00:29.406 --> 01:00:33.069]  They decided for whatever reason to screw everybody on this flight.
[01:00:33.069 --> 01:00:37.013]  It just frustrates me that some industries just get to screw you over and go, meh.
[01:00:38.254 --> 01:00:39.654]  You gotta fly at some point, right?
[01:00:39.654 --> 01:00:41.735]  And there's Gustavo!
[01:00:41.735 --> 01:00:43.715]  That's a TYT viewer.
[01:00:43.715 --> 01:00:51.277]  And I'm hungry, and I'm tired, and so, like, you know me, I get more agitated when I'm hungry and tired.
[01:00:51.277 --> 01:00:58.239]  So, look, if you guys think this is bad, wait till, if that plane doesn't actually come from the hangar in 20 minutes,
[01:01:00.959 --> 01:01:03.020]  Is the flight coming?
[01:01:03.020 --> 01:01:05.221]  Supervisor, is the flight coming?
[01:01:05.221 --> 01:01:07.783]  Supervisor, you at least gotta be honest.
[01:01:07.783 --> 01:01:09.484]  Is there a flight?
[01:01:09.484 --> 01:01:10.884]  Is there a plane?
[01:01:10.884 --> 01:01:12.225]  You gotta be honest.
[01:01:12.225 --> 01:01:13.666]  Is there a plane?
[01:01:13.666 --> 01:01:14.886]  Is there a plane?
[01:01:14.886 --> 01:01:17.988]  There's a plane!
[01:01:17.988 --> 01:01:18.768]  There's a plane!
[01:01:27.392 --> 01:01:28.533]  Where's the plane?
[01:01:28.533 --> 01:01:29.994]  Where's the plane?
[01:01:29.994 --> 01:01:31.535]  Is there a plane?
[01:01:31.535 --> 01:01:33.017]  Where is it?
[01:01:33.017 --> 01:01:34.218]  Where's the plane?
[01:01:34.218 --> 01:01:41.684]  No, but listen, if we just sit here and take it, they'd have us here until 6 in the morning, and then they'd f**k us even harder, okay?
[01:01:41.684 --> 01:01:44.626]  So, I need to- You're a supervisor, aren't you?
[01:01:44.626 --> 01:01:45.947]  Where's the plane?
[01:01:45.947 --> 01:01:47.469]  I'm sorry, I'm not gonna answer your question.
[01:01:47.469 --> 01:01:50.291]  No, I know, because I've been here for four hours!
[01:01:50.291 --> 01:01:51.732]  Don't give me this!
[01:01:51.732 --> 01:01:52.593]  Where's the plane?
[01:01:52.913 --> 01:01:54.434]  Here, I got a question for you.
[01:01:54.434 --> 01:01:58.275]  When did you make the decision that we weren't going to have a plane?
[01:01:58.275 --> 01:01:59.936]  When did you make that decision?
[01:01:59.936 --> 01:02:01.436]  Who made the decision?
[01:02:01.436 --> 01:02:03.017]  Who made the decision that we weren't?
[01:02:03.017 --> 01:02:04.558]  It's funny to you, right?
[01:02:04.558 --> 01:02:05.998]  It's not funny to us.
[01:02:05.998 --> 01:02:07.359]  Who made the decision?
[01:02:07.359 --> 01:02:08.439]  Who made the decision?
[01:02:08.439 --> 01:02:09.080]  Who made it?
[01:02:09.080 --> 01:02:10.580]  Well, who is it?
[01:02:10.580 --> 01:02:11.741]  That's what I'm asking.
[01:02:11.741 --> 01:02:12.861]  Whose fault is it?
[01:02:12.861 --> 01:02:14.082]  Whose fault is it?
[01:02:14.082 --> 01:02:14.742]  Is there a proof?
[01:02:15.302 --> 01:02:15.882]  Is there a crew?
[01:02:15.882 --> 01:02:17.343]  Is there a crew?
[01:02:17.343 --> 01:02:18.723]  Is there a plane or a crew?
[01:02:18.723 --> 01:02:21.284]  No, no, no, but they told us that four hours ago!
[01:02:21.284 --> 01:02:22.624]  Is it actually coming?
[01:02:22.624 --> 01:02:24.485]  Is it actually coming?
[01:02:24.485 --> 01:02:28.406]  Because I literally heard it was coming from the hangar three hours ago.
[01:02:41.390 --> 01:02:43.131]  He doesn't attack the animals.
[01:02:43.131 --> 01:02:56.180]  If I was the benevolent dictator of the world, I would legalize bestiality where you are giving, where you are pleasuring the animal.
[01:02:56.180 --> 01:02:57.701]  You see what I'm saying?
[01:02:57.701 --> 01:02:58.681]  I see what I'm saying.
[01:02:58.681 --> 01:03:00.142]  That guy's got some creepy lips, man.
[01:03:00.142 --> 01:03:08.688]  He talks about a dictator that wants to have worldwide legalized bestiality to pleasure animals.
[01:03:10.731 --> 01:03:14.973]  And see, it's almost evil to even cover what he's doing.
[01:03:14.973 --> 01:03:18.415]  Like, I never thought about pleasuring animals.
[01:03:18.415 --> 01:03:25.878]  And then, like, there's this big, fat, gross dude that defends Nazi collaborators and says, I'm the worst person in the world, but that he's doing all this.
[01:03:25.878 --> 01:03:28.179]  Okay, we've got huge coronavirus news.
[01:03:28.179 --> 01:03:30.240]  Mike Adams pops in at the bottom of the hour.
[01:03:30.240 --> 01:03:32.962]  I'm gonna come right back, and I'm gonna go to your phone calls as quickly as possible.
[01:03:32.962 --> 01:03:39.685]  These are all great callers, but Judy and Austin and Robert and Hobbs and Carlos and Bob and John and Tim and Chase.
[01:03:41.030 --> 01:03:42.691]  Chase always calls in and it's not first time callers.
[01:03:42.691 --> 01:03:43.352]  That's fine.
[01:03:43.352 --> 01:03:44.673]  Everybody can call in today.
[01:03:44.673 --> 01:03:47.956]  Agree, disagree, and we can cover whatever topics you want.
[01:03:47.956 --> 01:03:49.477]  So that's all coming up.
[01:03:49.477 --> 01:03:51.919]  And then I guess I'll just do this at the start of the next segment.
[01:03:51.919 --> 01:04:04.871]  I'll talk about some personal things that have gone on with me that are interesting and that you should know about here first before the spin doctors have had their chance to have fun with it.
[01:04:04.871 --> 01:04:07.073]  And I don't want to tell them, but there's no such thing as a
[01:04:09.361 --> 01:04:12.003]  Fake stuff doesn't hurt us because people know they're a bunch of liars.
[01:04:12.003 --> 01:04:16.146]  Because I'm going to tell people the exact truth when I come back.
[01:04:16.146 --> 01:04:17.647]  So get ready for that on the other side.
[01:04:21.914 --> 01:04:27.197]  I love how the corporate media will just ignore whatever I say on a topic, even though it's about me, and just say they're live.
[01:04:27.197 --> 01:04:31.619]  But you hear it, and then you promulgate it, and without you, I am so dead in the water.
[01:04:31.619 --> 01:04:33.179]  But that's okay.
[01:04:33.179 --> 01:04:35.941]  Because the Alamo went down in flames as well.
[01:04:35.941 --> 01:04:37.762]  And I'm not looking forward to that.
[01:04:37.762 --> 01:04:40.603]  But, I'm not afraid of it.
[01:04:40.603 --> 01:04:42.624]  And I kinda am looking forward to it.
[01:04:42.624 --> 01:04:44.885]  Why not enjoy?
[01:04:44.885 --> 01:04:45.846]  We'll be right back.
[01:04:45.846 --> 01:04:46.566]  Stay with us.
[01:04:46.566 --> 01:04:48.627]  InfoWars.com.
[01:04:48.627 --> 01:04:50.248]  The destiny of humanity's beacon.
[01:04:56.781 --> 01:05:06.732]  Six weeks ago, we warned you that the choreographed nature of the global media and governments concerning coronavirus told us it was a major globalist operation.
[01:05:06.732 --> 01:05:17.345]  Now, whether it's super deadly or not, the issue is it's being used by the globalists as a weapon against the world economy and against nation states and against the populist movement here in America.
[01:05:17.905 --> 01:05:19.186]  And against InfoWars.
[01:05:19.186 --> 01:05:20.688]  And that means against you.
[01:05:20.688 --> 01:05:28.755]  So however you're going to do it, now is the time to get ready and to get prepared with emergency supplies and items that are known to boost your immune system.
[01:05:29.773 --> 01:05:31.813]  They're all at InfoWarsStore.com.
[01:05:31.813 --> 01:05:34.734]  High quality, storable food when nobody else has got it.
[01:05:34.734 --> 01:05:44.416]  Super powerful formulas like DNA Force Plus, X2, X3, Body's Ultimate Turmeric Formula, and our Nano Silver line of products.
[01:05:44.416 --> 01:05:49.417]  A bunch of which has been sold out, but a bunch of which is coming back in later this week.
[01:05:49.417 --> 01:05:52.558]  So check it all out at InfoWarsStore.com and get prepared!
[01:06:20.528 --> 01:06:22.149]  Welcome back, I'm Alex Jones, your host.
[01:06:22.149 --> 01:06:26.770]  Into the second hour, taking your phone calls on this live March 10th Tuesday transmission.
[01:06:26.770 --> 01:06:31.052]  We have Mike Adams popping in at the bottom of the hour with huge news.
[01:06:31.052 --> 01:06:32.572]  Is he right in saying this?
[01:06:32.572 --> 01:06:34.473]  With the model show in Europe between Israel and
[01:06:36.189 --> 01:07:04.553]  Italy are doing breaking new analysis reveals President Trump must lock down the USA just like Italy in order to break the chain of exponential spread of coronavirus all air traffic and road traffic must be halted I'm not saying that that's what the math shows according to Mike who's been dead on so far and boy I sure hope he's wrong now so that's coming up and we'll just continue with your calls after that I'm about to go to your calls here in a moment now that said
[01:07:08.803 --> 01:07:24.866]  I want to not just get ahead of something, but I actually enjoy talking about this because it was quite the experience to see what's going on in this country and to go through it myself.
[01:07:24.866 --> 01:07:32.768]  Now, I talked about this on air quite a bit, that I've been a heavy drinker at times, not drunk at times, probably went more than four months just last year not drinking at all.
[01:07:33.956 --> 01:07:38.459]  And I've certainly gotten to the point where I don't have more than a beer or a glass of wine and drive a car.
[01:07:38.459 --> 01:07:45.064]  Because then I know that I will never blow above 0.8.
[01:07:45.064 --> 01:07:46.965]  And I've had police pull me over.
[01:07:46.965 --> 01:07:47.746]  And I'm totally honest.
[01:07:47.746 --> 01:07:52.849]  Yeah, I had two beers about two hours ago at a Mexican food restaurant or whatever.
[01:07:52.849 --> 01:07:56.332]  And they talked to me and that's it.
[01:07:56.332 --> 01:08:01.736]  Well, last night I'd been out at a Japanese restaurant with my wife.
[01:08:03.337 --> 01:08:12.042]  And that this little bitty tiny bottle of sake, I mean, just it's a little bit of shot glasses of it, but it's just a tiny little, little bottle of sake, maybe 16% alcohol.
[01:08:12.042 --> 01:08:12.943]  She didn't drink a lot of it.
[01:08:12.943 --> 01:08:14.744]  We didn't even finish it.
[01:08:14.744 --> 01:08:17.586]  I drank probably half of it.
[01:08:17.586 --> 01:08:21.388]  We go home later, need something from the store.
[01:08:21.388 --> 01:08:25.111]  I drive out, lights turn on, pulls me over.
[01:08:26.280 --> 01:08:28.420]  Says, Oh, you match the description of a black car.
[01:08:28.420 --> 01:08:30.421]  We heard some domestic dispute here.
[01:08:30.421 --> 01:08:31.701]  Okay, well, that was a speed.
[01:08:31.701 --> 01:08:35.662]  He goes, Yeah, five miles of a speed limit needs you to get out of the car.
[01:08:35.662 --> 01:08:36.682]  So I get out of the car.
[01:08:36.682 --> 01:08:38.723]  He says, You've been drinking.
[01:08:38.723 --> 01:08:45.584]  And I said, Yeah, about two hours ago, I went and ate at a Japanese restaurant and had a small bottle of sake with my wine.
[01:08:45.584 --> 01:08:46.384]  He says, All right.
[01:08:46.384 --> 01:08:49.465]  Then he starts having me do these.
[01:08:49.465 --> 01:08:50.085]  What do you call them?
[01:08:51.940 --> 01:08:55.762]  Yeah, sobriety check, where you stand on one foot and look at the other one for 10 seconds.
[01:08:55.762 --> 01:09:01.264]  He shows me what to do, and he can't do it, and goes, oh, that's my weight, that's my belt, did that.
[01:09:01.264 --> 01:09:02.365]  So I start laughing.
[01:09:02.365 --> 01:09:10.228]  Then I knew, I wasn't being mean, I was just like, so, I did it, but I was wobbling at 10 seconds.
[01:09:10.228 --> 01:09:13.510]  And he goes, well, that's it, you're going to jail.
[01:09:13.510 --> 01:09:18.252]  And I said, man, I just told you I had, hours ago, probably not even in my body,
[01:09:20.942 --> 01:09:23.823]  And he said, well, you failed this part, so are you going to breathalyze me?
[01:09:23.823 --> 01:09:25.083]  He goes, no, they do that at the jail.
[01:09:25.083 --> 01:09:26.464]  So we got there in like 20 minutes.
[01:09:26.464 --> 01:09:28.865]  They go in, and they had me blown.
[01:09:28.865 --> 01:09:30.285]  They go, keep blowing.
[01:09:30.285 --> 01:09:32.706]  So I leave, and they put me in the tank.
[01:09:32.706 --> 01:09:33.786]  The next guy comes through.
[01:09:33.786 --> 01:09:35.567]  He goes, I heard Alex Jones is here.
[01:09:35.567 --> 01:09:36.927]  He goes, there he is, Alex Jones!
[01:09:36.927 --> 01:09:41.509]  They're all in there saying that you literally don't have any alcohol in your blood at any level.
[01:09:41.509 --> 01:09:43.270]  They could barely even pick up, and you shouldn't be here.
[01:09:43.270 --> 01:09:43.770]  This is crazy.
[01:09:43.770 --> 01:09:44.290]  Why are you here?
[01:09:45.469 --> 01:09:50.532]  And it wasn't until I got out this morning that I actually got the paperwork, and that's what's really weird.
[01:09:50.532 --> 01:09:55.014]  Is that there were two guys in there getting tested, hearing that basically alcohol didn't even show up.
[01:09:55.014 --> 01:09:56.395]  And I'm not saying conspiracy here.
[01:09:56.395 --> 01:10:00.997]  It's not saying the police were out to get me at the local level.
[01:10:00.997 --> 01:10:05.940]  But still, the level they had was below the law and legal.
[01:10:05.940 --> 01:10:07.781]  So, there you go.
[01:10:08.871 --> 01:10:14.476]  But when you see this hit the news, and I welcome the policy, bring it, bring it.
[01:10:14.476 --> 01:10:17.199]  It'll be Jones arrested for DWI.
[01:10:17.199 --> 01:10:21.363]  And then whatever, Sandy Hook, you know they're gonna put that in there.
[01:10:21.363 --> 01:10:22.944]  Sandy Hook denier arrested.
[01:10:22.944 --> 01:10:24.445]  Well, you gotta arrest him for Sandy Hook.
[01:10:24.445 --> 01:10:25.366]  I mean, that's what they always say.
[01:10:26.187 --> 01:10:41.566]  And it'll just be some wild-ass stuff, and I want you to hear it up front, because I was being told this by folks that came out of there, going, yeah, they were talking about Alex Jones is here, and the first test showed no alcohol, and they couldn't believe it, and wait, it's him!
[01:10:41.566 --> 01:10:45.351]  So they kept having me blow and blow and blow and blow, and I was like,
[01:10:46.749 --> 01:10:48.270]  I mean, because I'm a big guy, man.
[01:10:48.270 --> 01:10:51.391]  A little bitty bottle of wine took at least two hours before.
[01:10:51.391 --> 01:10:54.413]  And I'd been at home, in the hot tub, drinking.
[01:10:54.413 --> 01:10:57.594]  I mean, I did not have zero buzz.
[01:10:57.594 --> 01:10:59.495]  Just zero.
[01:10:59.495 --> 01:11:04.057]  And I'm like, dude, you can't stand on one leg like you just wanted me to.
[01:11:04.057 --> 01:11:05.758]  I did it better than you did.
[01:11:05.758 --> 01:11:08.099]  And he had this light in my eyes and all this other crap.
[01:11:08.099 --> 01:11:10.240]  And man, he'd sit there with a light over the other side, like just for...
[01:11:11.570 --> 01:11:12.111]  A minute.
[01:11:12.111 --> 01:11:14.594]  And I'd finally get tired and go, oh, involuntary.
[01:11:14.594 --> 01:11:18.479]  I'm like, no, dude, I'm not going to stare for one minute at your light pen.
[01:11:18.479 --> 01:11:22.885]  So he wanted me and he got me.
[01:11:22.885 --> 01:11:28.813]  But then I learned from the jail guards, they go, no, Travis County had the lowest level of arrest in the country.
[01:11:29.890 --> 01:11:33.633]  Or as a country, it used to be Lone Star State in Texas.
[01:11:33.633 --> 01:11:34.954]  And so they had all this heat poem.
[01:11:34.954 --> 01:11:36.575]  I pull up the articles, it's true.
[01:11:36.575 --> 01:11:43.840]  And so now, it's not that deputy that did this, it's just they pull you over and you're truthful and go, yeah, I had two beers a couple hours ago.
[01:11:43.840 --> 01:11:44.760]  You're arrested.
[01:11:44.760 --> 01:11:47.582]  Doesn't matter, it's legal.
[01:11:47.582 --> 01:11:54.387]  So all these restaurants and all these bars in Texas and all over the country, you can't, they'll sell you beer.
[01:11:54.387 --> 01:11:55.108]  They'll sell you
[01:11:56.365 --> 01:11:56.745]  Why?
[01:11:56.745 --> 01:11:57.705]  They'll sell you liquor.
[01:11:57.705 --> 01:11:59.926]  You can't drink one drink.
[01:11:59.926 --> 01:12:02.566]  And I've been reading about Mothers Against Drunk Driving.
[01:12:02.566 --> 01:12:04.867]  You can't do this anywhere in the country now.
[01:12:04.867 --> 01:12:06.527]  One drink.
[01:12:06.527 --> 01:12:09.728]  They don't care if you're below the amount.
[01:12:09.728 --> 01:12:14.789]  Now, he gets beaten in court, but it's insane, folks.
[01:12:14.789 --> 01:12:24.071]  They're now arresting people and taking them to jail, and they're continuing prosecutions that show zero alcohol.
[01:12:24.071 --> 01:12:25.191]  I've got news articles on that.
[01:12:26.201 --> 01:12:31.524]  So this will just be a huge another thing, but you know what?
[01:12:31.524 --> 01:12:35.446]  I didn't even want alcohol when I started back on New Year's drinking some more.
[01:12:35.446 --> 01:12:40.228]  And so I'm going to have that power over them that I'm in a hundred percent quit.
[01:12:40.228 --> 01:12:42.989]  So that they can never again, but man, it's weird.
[01:12:42.989 --> 01:12:46.051]  You go to a restaurant, you they're like, hey, one, one, one, one beer.
[01:12:46.051 --> 01:12:47.772]  You can't have one.
[01:12:47.772 --> 01:12:51.834]  The bottle of sake was this tall.
[01:12:51.834 --> 01:12:52.454]  Between two people.
[01:12:53.737 --> 01:12:54.998]  And, oh, let me just show you.
[01:12:54.998 --> 01:12:57.359]  Hell, we're the Show Me Show here in Missouri.
[01:12:57.359 --> 01:12:59.780]  Let me show you right here.
[01:12:59.780 --> 01:13:01.041]  Dr. McCamp shot, please.
[01:13:01.041 --> 01:13:02.222]  Here you go, ladies and gentlemen.
[01:13:02.222 --> 01:13:05.023]  Here is my alcohol test right here.
[01:13:05.023 --> 01:13:06.124]  Two of them they put on there.
[01:13:06.124 --> 01:13:08.285]  0.076.
[01:13:08.285 --> 01:13:08.405]  It's 0.081.
[01:13:08.405 --> 01:13:08.806]  They even lowered it.
[01:13:17.150 --> 01:13:18.591]  That's like one beer, basically.
[01:13:18.591 --> 01:13:19.351]  And then 0.07.
[01:13:19.351 --> 01:13:23.774]  They kept testing, testing, testing, but that's the best ones they can get right there.
[01:13:23.774 --> 01:13:25.995]  So, Alex Jones, there's your takeaway.
[01:13:25.995 --> 01:13:26.835]  Innocent.
[01:13:26.835 --> 01:13:31.598]  Alex Jones arrested for DWI and was below the legal limit.
[01:13:31.598 --> 01:13:37.461]  But when they put it out in the news, it will be the exact opposite giant fiasco that I was
[01:13:38.061 --> 01:13:52.651]  You know, murdering children and running around with sickles, chopping people's heads off and burning down houses with canisters of gasoline and snorting 14 lines of, you know, 14 foot lines of cocaine and shoving bottle rockets up my rear end.
[01:13:52.651 --> 01:13:55.833]  I mean, by the time they're done, it's just going to be, oh, he's arrested.
[01:13:55.833 --> 01:13:56.434]  He's arrested.
[01:13:56.434 --> 01:13:59.496]  He's arrested.
[01:13:59.496 --> 01:14:02.338]  But for me, what was crazy is the cop goes,
[01:14:03.769 --> 01:14:04.510]  I'll do a demonstration.
[01:14:04.510 --> 01:14:06.631]  He goes, and then you just for 10 seconds, you do this.
[01:14:06.631 --> 01:14:08.032]  And he could, he goes, oh, sorry.
[01:14:08.032 --> 01:14:14.676]  My belt was, dude, it's hard to sit there and step on one foot with the other foot an inch off the ground and look at your foot.
[01:14:14.676 --> 01:14:16.718]  You try it.
[01:14:16.718 --> 01:14:19.380]  I was doing it this morning and I was having trouble.
[01:14:19.380 --> 01:14:22.582]  I did it better at 10 o'clock at night going to get ice cream.
[01:14:25.919 --> 01:14:30.483]  So I can't wait, even if they try to continue, because when you're under the log, it's thrown out.
[01:14:30.483 --> 01:14:33.286]  But even if they try to continue claiming it's a sobriety deal, that's great!
[01:14:33.286 --> 01:14:39.291]  Because I'll just have the cop on the squad car video, unable to do it for three seconds!
[01:14:39.291 --> 01:14:41.633]  How the... These guys are in good shape, by the way.
[01:14:41.633 --> 01:14:47.098]  I'm like, dude, you can't... Later in the car, I'm like, you can't do... Oh, my belt was... Oh, give me a break, dude.
[01:14:47.098 --> 01:14:48.720]  I did deadlifts yesterday.
[01:14:48.720 --> 01:14:50.121]  It was 10 o'clock at night.
[01:14:50.121 --> 01:14:51.142]  I've been in a hot tub.
[01:14:53.717 --> 01:14:56.200]  I've been doing other things too, you know, with the old lady.
[01:14:56.200 --> 01:14:57.742]  I mean, I was relaxed.
[01:14:57.742 --> 01:14:59.003]  I was tired.
[01:14:59.003 --> 01:15:04.469]  I went out to get Blue Bell ice cream and, you know, this stuff's going on, but listen, it's okay.
[01:15:04.469 --> 01:15:07.613]  I don't blame that guy because that's mothers against drunk driving.
[01:15:07.613 --> 01:15:10.856]  You know, it used to, the alcohol limit was like three times what it is now.
[01:15:11.718 --> 01:15:14.599]  But now, ladies and gentlemen, I want drunk drivers arrested.
[01:15:14.599 --> 01:15:16.740]  I want illegal aliens plowing folks over arrested.
[01:15:16.740 --> 01:15:19.040]  But citizens... Here's the thing.
[01:15:19.040 --> 01:15:24.622]  Restaurants should not be allowed to sell alcohol if these laws continue.
[01:15:24.622 --> 01:15:27.223]  You shouldn't be able to serve somebody a beer.
[01:15:27.223 --> 01:15:32.404]  If they drink that 16-ounce beer and walk out, they're gonna go to jail.
[01:15:32.404 --> 01:15:36.065]  So I called for all restaurants and bars to be shut down.
[01:15:36.065 --> 01:15:37.246]  Seriously.
[01:15:37.246 --> 01:15:40.607]  Because you can't go in one and have two beers and then not go to jail.
[01:15:42.065 --> 01:15:44.788]  So hey, I'm ready for the mainstream media attention.
[01:15:44.788 --> 01:15:48.911]  Bring it to me, because the listeners know you're a pack of lying scum.
[01:15:48.911 --> 01:15:50.153]  Travis County, great folks.
[01:15:50.153 --> 01:15:51.654]  We understand you got a quota.
[01:15:51.654 --> 01:15:52.615]  It's okay.
[01:15:52.615 --> 01:15:54.697]  Plus, I told you I only had that small amount.
[01:15:55.700 --> 01:16:01.465]  Finally, there's a way for you to get into the blockchain, the hottest financial sector without all the speculation.
[01:16:01.465 --> 01:16:06.549]  Now, enjoy a 27% annualized payment each month without the ups and downs of Bitcoin.
[01:16:06.549 --> 01:16:14.275]  Seen on programs broadcast on Fox Business News, blockchain data centers offer an equipment leasing program in the explosive digital asset marketplace.
[01:16:14.275 --> 01:16:22.161]  Inspired by entrepreneurs who sold picks and shovels during the gold rush, the money is in the mining equipment used to manufacture dozens of critical digital assets.
[01:16:22.321 --> 01:16:24.122]  Not a security IPO or note.
[01:16:24.122 --> 01:16:33.627]  Blockchain data centers have a proven turnkey equipment sale leaseback program with a 27% annualized lease payment deposited into your bank account each month.
[01:16:33.627 --> 01:16:34.467]  Don't miss this one.
[01:16:34.467 --> 01:16:35.487]  Stake your claim today.
[01:16:35.487 --> 01:16:35.768]  Call 800-600-3388.
[01:16:35.768 --> 01:16:36.188]  That's 800-600-3388.
[01:16:36.188 --> 01:16:37.809]  These valuable lease contracts won't last long.
[01:16:37.809 --> 01:16:38.089]  Call now.
[01:16:38.089 --> 01:16:38.149]  800-600-3388.
[01:16:38.149 --> 01:16:38.189]  800-600-3388.
[01:16:49.894 --> 01:16:58.778]  I'm here with Scott Youseum, founder of OMG Tax.
[01:16:58.778 --> 01:17:03.621]  Tell us how your company helps our listeners out there who have a problem with the IRS.
[01:17:03.621 --> 01:17:10.044]  My team of lawyers, enrolled agents, and licensed tax experts remove wage garnishment sometimes in the same day.
[01:17:10.044 --> 01:17:15.406]  We even have reduced the total debt some of our clients were required to pay through what is known as an offer in compromise.
[01:17:15.506 --> 01:17:17.788]  Can you give us an example of somebody you help?
[01:17:30.336 --> 01:17:40.865]  If you owe the IRS more than $10,000 and you want to see if it's possible to pay a lot less, call OMG Tax right now for a free tax-saving consultation.
[01:17:40.865 --> 01:17:41.125]  Call 800-486-8112.
[01:17:41.125 --> 01:17:41.185]  800-486-8112.
[01:17:41.185 --> 01:17:41.245]  800-486-8112.
[01:17:41.245 --> 01:17:41.486]  That's 800-486-8112.
[01:17:56.536 --> 01:17:57.317]  Everybody needs food.
[01:17:57.317 --> 01:17:58.879]  I'm proud we're selling high quality food.
[01:17:58.879 --> 01:18:01.682]  Elections, globalism, the economy, the bubble.
[01:18:01.682 --> 01:18:04.145]  This is something you need on your checklist to have done.
[01:18:04.145 --> 01:18:08.690]  But for me, it just is a bummer to know that everybody needs food.
[01:18:08.690 --> 01:18:12.654]  And I had long discussions this morning, over an hour long discussion with different individuals.
[01:18:12.694 --> 01:18:13.174]  We're good to go.
[01:18:42.312 --> 01:18:44.053]  But technically it's going to be six to eight weeks.
[01:18:44.053 --> 01:18:46.935]  And we want you to get a great deal and feel like we took care of you.
[01:18:46.935 --> 01:18:47.995]  So you come back again.
[01:18:47.995 --> 01:18:49.536]  We want relationships with you.
[01:18:49.536 --> 01:18:50.457]  We're not Satanists.
[01:18:50.457 --> 01:18:51.157]  We're the opposite.
[01:18:51.157 --> 01:18:52.418]  We don't screw people over.
[01:18:52.418 --> 01:18:55.240]  We believe in Jesus Christ and we've been blessed by you.
[01:18:55.240 --> 01:18:56.861]  We're all in this together.
[01:18:56.861 --> 01:18:58.742]  You want to break some globalist ribs.
[01:18:58.742 --> 01:19:00.563]  You want to crush some skulls politically.
[01:19:00.563 --> 01:19:03.504]  You want to drive ice picks through their eyeballs.
[01:19:03.504 --> 01:19:04.085]  Spiritually.
[01:19:04.085 --> 01:19:06.126]  There's nowhere you can spend money.
[01:19:06.126 --> 01:19:07.687]  There's nowhere you can place your bet.
[01:19:09.321 --> 01:19:12.483]  In a fight where it's gonna have more power per dollar.
[01:19:39.381 --> 01:19:40.822]  You're listening to the Alex Jones Show!
[01:20:21.605 --> 01:20:29.468]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[01:20:29.468 --> 01:20:31.709]  Okay, I got one rule today going to calls.
[01:20:31.709 --> 01:20:35.570]  I don't want to talk about me or the story I told about last night, any of it.
[01:20:35.570 --> 01:20:41.552]  I want to move forward with this coronavirus and the clear fact that it is a bioweapon meant to disrupt the U.S.
[01:20:41.552 --> 01:20:42.652]  economy.
[01:20:42.652 --> 01:20:44.713]  The hype around it is the weapon.
[01:20:44.713 --> 01:20:46.614]  How deadly the virus is, that's open for discussion.
[01:20:49.445 --> 01:20:52.286]  But you can hypothetically all day talk about just shut everything down.
[01:20:52.286 --> 01:20:53.567]  Don't even have humans alive!
[01:20:53.567 --> 01:20:56.348]  You won't have any coronavirus problem.
[01:20:56.348 --> 01:20:57.369]  Alright, who's been holding the longest?
[01:20:57.369 --> 01:20:58.029]  Is it Judy?
[01:20:58.029 --> 01:20:59.249]  Is it Austin?
[01:20:59.249 --> 01:20:59.910]  Is it Robert?
[01:20:59.910 --> 01:21:01.110]  Is it Hobbs?
[01:21:01.110 --> 01:21:02.671]  Is it Carlos?
[01:21:02.671 --> 01:21:07.613]  Who has been holding the longest?
[01:21:07.613 --> 01:21:09.554]  Let's talk to Joe in New Jersey and then Carlos.
[01:21:09.554 --> 01:21:11.155]  Joe, thanks for calling.
[01:21:11.155 --> 01:21:14.597]  Hey Alex.
[01:21:14.597 --> 01:21:15.257]  Hey brother, go ahead.
[01:21:16.229 --> 01:21:25.391]  Hey, I just want to say, you know, the supply chains are collapsing, coming into China, and we're relying on so much, as Tucker Carlson had said.
