[00:00:01.050 --> 00:00:03.591]  The Information War continues.
[00:25:17.960 --> 00:25:27.729]  And of course, for all of you that are holding Rita and Ray and Rasheesh, I believe, and Delilah and everybody else, your calls are coming up.
[00:25:27.729 --> 00:25:37.258]  Before we go back to our guest, my new film, my best work, two hours, thirty-five minutes long, is now out and is now shipping.
[00:25:38.681 --> 00:25:39.862]  It is martial law.
[00:25:39.862 --> 00:25:44.066]  9-1-1, Rise of the Police State, is really three films in one.
[00:25:44.066 --> 00:25:52.573]  We cover the latest police state developments, the police in their black uniforms and ski masks, the hover blimps, the sound cannons in New York, reporters being arrested.
[00:25:53.641 --> 00:25:58.004]  The, uh, how the left is totally controlled, as well as the so-called conservatives.
[00:25:58.004 --> 00:26:01.106]  That's the first 35 minutes of the film, was at the RNC.
[00:26:01.106 --> 00:26:07.529]  Then we spend an hour on 9-11 at Ground Zero, showing all the documents A to Z. I come right out and say it.
[00:26:07.529 --> 00:26:09.351]  I detail how the globalists carried 9-11 out.
[00:26:10.331 --> 00:26:13.072]  You'd have to be a conspiracy theorist to say they didn't.
[00:26:13.072 --> 00:26:15.272]  Their official story is impossible.
[00:26:15.272 --> 00:26:25.115]  The whole thing, in from end, top from bottom, all points of the compass, has been proven to be total lies, total fraud, and with all the confirmed information we have, we know how they did it.
[00:26:25.115 --> 00:26:28.796]  There isn't a jury in the world that wouldn't convict these people.
[00:26:28.796 --> 00:26:30.676]  Not a fair jury in the world.
[00:26:30.676 --> 00:26:33.457]  When shown this, it would take six months to put my case on.
[00:26:33.457 --> 00:26:34.577]  There's so much evidence.
[00:26:34.577 --> 00:26:36.238]  It's ridiculous.
[00:26:36.238 --> 00:26:37.258]  It's ridiculous.
[00:26:38.715 --> 00:26:40.936]  That's an hour of the film.
[00:26:40.936 --> 00:26:44.737]  Then the third hour gets into the mindset, the history, the ideology.
[00:26:44.737 --> 00:26:48.038]  We show that the Nazis didn't come out of nowhere.
[00:26:48.038 --> 00:27:00.562]  The Order of Death, the real German branch of it, we have mainstream news articles, encyclopedia documents, video clips, was founded over two hundred years ago in Germany.
[00:27:00.562 --> 00:27:07.504]  And how it founded Skull and Bones, Bohemian Grove, how it's behind Schwarzenegger, how it's behind the Bushes, the Bushes and the Nazis.
[00:27:08.132 --> 00:27:09.613]  Folks, it's incredible.
[00:27:09.613 --> 00:27:11.635]  You need this film.
[00:27:11.635 --> 00:27:18.400]  And the last ten minutes shows Bush giving his oath of office, and then we show for ten minutes, in rapid fire, what they've done to the Bill of Rights.
[00:27:19.466 --> 00:27:21.267]  You need martial law.
[00:27:21.267 --> 00:27:31.630]  You need to get it and make copies for non-profit, not-for-sale educational purposes, air it on AXS TV, show it to your church, show it to your VFW hall, get it out to people.
[00:27:31.630 --> 00:27:35.452]  My other films have caused a big effect because of you taking action.
[00:27:35.452 --> 00:27:36.752]  Believe me, this is the best.
[00:27:36.752 --> 00:27:39.613]  It won't be seen unless you get it and show it to folks.
[00:27:39.613 --> 00:27:41.474]  Please call to get your copy.
[00:27:41.474 --> 00:27:45.595]  A bunch of other big discounts on my other films right now as well.
[00:27:45.595 --> 00:27:46.976]  Just ask about all the specials.
[00:27:46.976 --> 00:27:47.596]  I mean, we've got
[00:27:48.297 --> 00:27:49.578]  There's so many different deals.
[00:27:49.578 --> 00:27:50.759]  Just ask about them when you call.
[00:27:50.759 --> 00:27:57.586]  1-888-253-3139 Or simply write to me, Alex Jones, at 3001 South Lamar, Suite 100, Austin, TX 78704
[00:28:12.245 --> 00:28:14.706]  And I always get emails that I talk too fast.
[00:28:14.706 --> 00:28:15.706]  Here's the toll-free number.
[00:28:15.706 --> 00:28:16.486]  1-888-253-3139.
[00:28:16.486 --> 00:28:24.609]  Or, go to InfoWars.com and order via the SafeSecure online shopping cart.
[00:28:24.609 --> 00:28:27.230]  Or go to PrisonPlanet.tv where all 12 of my films
[00:28:33.729 --> 00:28:34.209]  I don't know.
[00:28:34.209 --> 00:28:37.752]  About 20 other documentaries we've been authorized to post.
[00:28:37.752 --> 00:28:39.473]  My weekly TV reports I do.
[00:28:39.473 --> 00:28:41.234]  The Best of Austin TV Show.
[00:28:41.234 --> 00:28:42.155]  It's one Best of Austin.
[00:28:42.155 --> 00:28:44.196]  It's a good one hour show.
[00:28:44.196 --> 00:28:45.156]  That's up there every week.
[00:28:45.156 --> 00:28:46.778]  My Best Audio Interviews.
[00:28:46.778 --> 00:28:48.098]  This one will be up there.
[00:28:48.098 --> 00:28:49.960]  PrisonPlanet.TV.
[00:28:49.960 --> 00:28:50.480]  My book.
[00:28:50.480 --> 00:28:52.181]  Paul Watson's book.
[00:28:52.181 --> 00:28:53.582]  15 cents a day.
[00:28:53.582 --> 00:28:55.603]  Monthly and yearly subscriptions.
[00:28:55.603 --> 00:28:56.384]  PrisonPlanet.TV.
[00:28:59.373 --> 00:29:05.977]  Going back to Greg, Greg, tell folks about your website, not just American Free Press, but your website.
[00:29:05.977 --> 00:29:20.304]  Well, my website, I put it together basically, I put out about four months worth of articles at a time, and these will go back to November, and basically it's called www.arcticbeacon.citymaker.com
[00:29:24.850 --> 00:29:38.813]  And I list my stories and also a new publication, it lists the outline of a new publication I'm putting together which will have offices in Alaska and California called the Arctic Beacon, Alaska Frontier Truth.
[00:29:38.813 --> 00:29:41.353]  Why do you call it the Arctic Beacon?
[00:29:41.353 --> 00:29:46.954]  Well, basically I call it the Arctic Beacon because I'm very concerned about what's happening up there.
[00:29:46.954 --> 00:29:51.895]  I have friends in Alaska, I'm very close to the environment as far as
[00:29:53.125 --> 00:29:56.327]  I've done a lot of stories on it, and I feel very close to the mark.
[00:29:56.327 --> 00:29:58.969]  Gotcha, but you also cover 9-11.
[00:29:58.969 --> 00:30:07.555]  Yes, I do 9-11, and also, basically, I like to say any story that merits coverage should be done.
[00:30:07.555 --> 00:30:10.397]  Now, you've produced a documentary, have you not?
[00:30:10.397 --> 00:30:17.721]  Well, I've produced a 9-11 Citizens Commission Report, which is a print version.
[00:30:17.721 --> 00:30:18.602]  It's a 24-page
[00:30:21.624 --> 00:30:25.488]  I guess where I got confused is there's a video by almost the same name.
[00:30:25.488 --> 00:30:26.870]  Yeah, no, that's not me.
[00:30:26.870 --> 00:30:28.452]  I have not done one.
[00:30:29.737 --> 00:30:37.122]  However, I am in the process of beginning this publication, which is probably too long to go into specifics.
[00:30:37.122 --> 00:30:45.249]  I'll need to get you on when that comes up, but you heard me a few minutes ago say, I'll come right out and I'll say how 9-11 took place.
[00:30:45.249 --> 00:30:55.616]  Now I'm going to say this, and this is from years of study, I talked about 9-11 two months before it happened, I said they're going to blame it on Bin Laden, they're going to attack the World Trade Center, call the White House, tell Bush don't do it.
[00:30:55.616 --> 00:30:57.838]  I've never said call the White House since, or
[00:30:59.099 --> 00:31:00.380]  I mean before or after that.
[00:31:00.380 --> 00:31:02.061]  I don't just put these alerts out.
[00:31:02.061 --> 00:31:03.721]  Let me break down what happened on 9-11.
[00:31:03.721 --> 00:31:05.802]  You can disagree if you want.
[00:31:05.802 --> 00:31:10.345]  You've got these Arabs who are government agents who are part of drills.
[00:31:10.345 --> 00:31:11.165]  They're trained at U.S.
[00:31:11.165 --> 00:31:12.265]  military bases.
[00:31:12.265 --> 00:31:15.687]  Their houses, their cars, their credit cards are paid for by the U.S.
[00:31:15.687 --> 00:31:16.347]  government.
[00:31:16.347 --> 00:31:20.970]  They've got some useful idiot real terrorists under them because again, they're informants.
[00:31:22.643 --> 00:31:33.513]  From there, they are taking part in the weeks before 9-11, and this has been confirmed, in test flights, in other drills, in real-world drills where they're on board aircraft.
[00:31:33.513 --> 00:31:37.697]  The Pentagon is told it's a drill, this is all admitted, so is NORAD.
[00:31:37.697 --> 00:31:45.205]  They get on board the aircraft, a few of these fake phone calls are staged, and they can show Steve McQueen pitching Mustangs 25 years in the grave.
[00:31:47.481 --> 00:31:48.641]  Send out those phone calls.
[00:31:48.641 --> 00:31:50.182]  They're knocked out on board.
[00:31:50.182 --> 00:31:52.403]  The planes are then flown by remote control.
[00:31:52.403 --> 00:31:54.743]  Now, that's what all the evidence shows.
[00:31:54.743 --> 00:31:58.304]  You have to be a conspiracy theorist and not say that's what happened.
[00:31:58.304 --> 00:32:00.545]  Well, put it this way, Alex.
[00:32:00.545 --> 00:32:05.186]  Your story is much better than the government's story.
[00:32:05.186 --> 00:32:10.648]  And I, you know, to at this point pinpoint one way
[00:32:11.255 --> 00:32:25.642]  I think, you know, I can't say that, but I would say that most of the things you have said I would have to have verified in doing this 9-11 Commission report that we've done recently that's out for nationwide publication.
[00:32:25.642 --> 00:32:31.985]  So basically, one, I would compliment you on not mincing words and telling it the way it is.
[00:32:31.985 --> 00:32:36.928]  Now, if things are a little different, I mean, that's only what the truth is.
[00:32:36.928 --> 00:32:39.749]  It's an evolving process, and that's the reason why
[00:32:40.436 --> 00:32:45.418]  I hope, hopefully, one of these court cases will take hold so that the truth can come out.
[00:32:45.418 --> 00:32:49.780]  But let me tell you this, and to verify what you just said.
[00:32:49.780 --> 00:32:54.381]  NORAD and all that stuff that went on that day, it's just abominable.
[00:32:54.381 --> 00:33:00.944]  And the real interesting fact about 9-11 is the cover-up afterwards, which makes me believe that what you say is more truth.
[00:33:01.888 --> 00:33:21.317]  What the government's putting out, because they have tried to block every effort, block every effort, from FEMA taking away all of the hard evidence from a criminal murder scene, possibly, and destroying it, so now that you can't bring the evidence in to prove about all the factors that are caused, could a plane bring down the World Trade Center to begin with?
[00:33:21.317 --> 00:33:27.599]  And then every other fact, the black boxes, you go on to every possible cover-up, it's happening.
[00:33:27.599 --> 00:33:28.100]  That's why I
[00:33:29.489 --> 00:33:31.132]  I am very suspicious.
[00:33:43.416 --> 00:33:48.421]  Presidential Commissions, and they're all a bunch of, I would say, B.S.
[00:33:48.421 --> 00:33:51.243]  from Pearl Harbor all the way through Kennedy to this one.
[00:33:51.243 --> 00:33:53.886]  Listen, they first tried to have Henry Kissinger run.
[00:33:53.886 --> 00:33:54.486]  Exactly!
[00:33:54.486 --> 00:34:02.914]  I mean, most of the people on the Commission were in business with the Carlisle Group, or in the case of Chairman Keene, with the Bin Laden family members.
[00:34:02.914 --> 00:34:06.317]  But let's just go through this calmly here, because this is important.
[00:34:06.972 --> 00:34:10.255]  Let me break down why I come to my conclusion.
[00:34:10.255 --> 00:34:12.576]  There's too many points to go over them all, but here's a few.
[00:34:12.576 --> 00:34:14.197]  We have an official U.S.
[00:34:14.197 --> 00:34:19.061]  government plan to carry out 9-11 style attacks in Northwoods.
[00:34:19.061 --> 00:34:21.603]  We know the USS Liberty was engineered.
[00:34:21.603 --> 00:34:23.184]  We know the Gulf of Tonkin was faked.
[00:34:25.336 --> 00:34:30.861]  Continuing that the FBI cooked the bomb, trained the drivers, and bombed the World Trade Center the first time.
[00:34:30.861 --> 00:34:33.323]  We know they were running drills that morning.
[00:34:33.323 --> 00:34:35.666]  We know they were targeting the World Trade Center and Pentagon.
[00:34:35.666 --> 00:34:37.347]  We know Cheney was in control.
[00:34:37.347 --> 00:34:43.313]  We know Dick Cheney took control three months before from the shoot-down orders from the Pentagon.
[00:34:43.313 --> 00:34:48.518]  And hundreds and hundreds and hundreds... We know the hijackers were trained at Pensacola Naval Air Station.
[00:34:48.518 --> 00:34:51.100]  We know their houses, cars, credit cards were paid for.
[00:34:51.360 --> 00:34:57.402]  We know they'd leave the country, be on terrorist watch lists, and the State Department would order the embassies to let them back in.
[00:34:57.402 --> 00:35:00.703]  Even told the head of one embassy, yeah, this is for terror training.
[00:35:00.703 --> 00:35:06.204]  We know Hollywood people like James Woods were on board aircraft the week before with Muhammad Atta.
[00:35:06.204 --> 00:35:09.785]  He tells the FBI they're training to hijack planes.
[00:35:09.785 --> 00:35:12.246]  And then they say, shut your mouth, national security.
[00:35:12.246 --> 00:35:14.107]  I mean, we know what happened.
[00:35:15.837 --> 00:35:21.239]  Yeah, Alex, you present those things you say, I have to agree with you.
[00:35:21.239 --> 00:35:22.640]  I want to see this thing pushed.
[00:35:22.640 --> 00:35:33.584]  I want somehow for the American people, in our heartland, in the place where we need to get groundswell support, to really put these guys' foot to the fire and have them questioned.
[00:35:33.584 --> 00:35:34.804]  That's the point.
[00:35:34.804 --> 00:35:35.905]  We must do it.
[00:35:35.905 --> 00:35:37.485]  And I appreciate your work.
[00:35:37.485 --> 00:35:38.746]  And it can't be forgotten.
[00:35:38.746 --> 00:35:41.207]  Do you think they'll ever be brought to justice?
[00:35:41.207 --> 00:35:42.347]  Do I think so?
[00:35:42.347 --> 00:35:42.747]  Yes.
[00:35:42.747 --> 00:35:44.248]  You know, I'm an eternal optimist.
[00:35:45.047 --> 00:35:51.010]  And to say no would be to defeating every purpose or every reason that I continue writing this story.
[00:35:51.010 --> 00:36:03.255]  Because I believe that people together, although we are all imperfect in a sense, if we work hard, if we strive to find what happened, we will.
[00:36:03.255 --> 00:36:05.616]  But if we forget about it and give up, we won't.
[00:36:05.616 --> 00:36:11.219]  So it's now in the court of basically a small amount of people and it's up to us.
[00:36:12.051 --> 00:36:40.937]  to bring this forward, because once you listen to the facts, once you read and take time, one, you become utterly, utterly ashamed to be an American, two, unbelievably sorrowful that you didn't take action prior to this, or more action, individually, and three, you realize that you can't let it happen again and you must now take action, or your country, basically, in my opinion, you've got one foot right now in the fascism, and
[00:36:41.753 --> 00:36:44.696]  We need to act quickly.
[00:36:44.696 --> 00:36:48.419]  Let me just bolster what you just said.
[00:36:48.419 --> 00:37:04.493]  Even if they don't ever go to prison for the mass murder they committed, by exposing and getting the idea in people's minds that who stands to gain from terror, then that could back the global assault where they won't have the nerve to carry out another attack.
[00:37:04.493 --> 00:37:08.236]  Well I always said sometimes the court of public opinion is much more effective.
[00:37:08.991 --> 00:37:11.493]  than a court of law.
[00:37:11.493 --> 00:37:23.841]  And hopefully the court of public opinion will rise to a point where these gentlemen, and I use that term loosely, must be accountable for what they did and answer questions on the record.
[00:37:23.841 --> 00:37:26.923]  Well, there's two ways to look at this.
[00:37:26.923 --> 00:37:34.929]  We know 110% the government had total prior knowledge, opened all the doors, protected the so-called hijackers.
[00:37:35.966 --> 00:37:39.428]  Now, you can look at that view that they knew it and let it happen.
[00:37:39.428 --> 00:37:43.971]  Or, you can look at the other view that they engineered it and the official stories of fraud.
[00:37:43.971 --> 00:37:48.394]  And it has to be the second, because how does Al-Qaeda make NORAD stand down?
[00:37:48.394 --> 00:37:50.395]  How does Al-Qaeda run drills that morning?
[00:37:50.395 --> 00:37:52.576]  How does Al-Qaeda have all the evidence shredded?
[00:37:52.576 --> 00:37:55.598]  How does Al-Qaeda do all of this?
[00:37:55.598 --> 00:37:58.780]  Or, Alex, it could be a combination of the two amongst a number of people.
[00:37:59.920 --> 00:38:01.601]  Well, I'm not saying the whole government.
[00:38:01.601 --> 00:38:04.263]  A very tiny criminal group did this.
[00:38:04.263 --> 00:38:05.264]  Right.
[00:38:05.264 --> 00:38:12.329]  And I believe that you're probably right on, because Norad's stand down there is unbelievable.
[00:38:12.329 --> 00:38:18.353]  And for one, nobody to be even reprimanded for this is unbelievable.
[00:38:18.353 --> 00:38:26.599]  And that's one reason I have to fall into that third category that wasn't just complicity.
[00:38:26.599 --> 00:38:28.640]  It was actually helping this thing along.
[00:38:29.170 --> 00:38:33.173]  And providing the exact time and date.
[00:38:33.173 --> 00:38:35.355]  And just look at one thing.
[00:38:35.355 --> 00:38:40.639]  The most heavily traveled airspace in the world, and this has been said a million times.
[00:38:40.639 --> 00:38:45.303]  How can a plane fly an hour around Washington and blow up the Pentagon?
[00:38:45.303 --> 00:38:48.266]  And then they say they have no pictures of it.
[00:38:48.266 --> 00:38:52.289]  And if you represent a defendant in a criminal case, it's called a razor blade.
[00:38:52.833 --> 00:39:01.219]  You've got ten photos of every angle of him taking the razor blade out of a Target grocery store or Target supermarket.
[00:39:01.219 --> 00:39:02.961]  You understand my point?
[00:39:02.961 --> 00:39:09.966]  Well, the most surveilled area in the world, admittedly, is the Pentagon in Laney, Virginia, with the CIA, but they don't have any evidence.
[00:39:09.966 --> 00:39:17.412]  Right, and I did a story about the only piece of airplane on the front lawn of the Pentagon that was photographed by
[00:39:18.240 --> 00:39:24.666]  Army or Navy photographer, he's unavailable for comment about that photograph.
[00:39:24.666 --> 00:39:29.250]  One of the reporters that said he saw the plane hit, turns out was one of the guys on the government payroll.
[00:39:29.250 --> 00:39:31.012]  Yeah, of course.
[00:39:31.012 --> 00:39:39.940]  I want to see, just like you don't see pictures of ATA in Boston, I want to see pictures of that plane hitting the Pentagon since you have
[00:39:41.317 --> 00:39:42.559]  We're good to go.
[00:39:59.111 --> 00:40:00.573]  Well, that's all I'm saying.
[00:40:00.573 --> 00:40:02.054]  Greg, wherever you're at is good.
[00:40:02.054 --> 00:40:03.715]  Your phone was cutting out a few minutes ago.
[00:40:03.715 --> 00:40:05.097]  Wherever you're at is very good.
[00:40:05.097 --> 00:40:05.637]  Okay.
[00:40:05.637 --> 00:40:06.778]  Oh, I just started up again.
[00:40:06.778 --> 00:40:07.559]  Okay.
[00:40:07.559 --> 00:40:08.660]  That's alright.
[00:40:08.660 --> 00:40:15.847]  Again, Greg was at court today working on some legal procedures down there and is joining us via cell phone.
[00:40:15.847 --> 00:40:18.909]  Let's go ahead and take a few calls here.
[00:40:18.909 --> 00:40:22.012]  Sure, these will be all over the map, but that's okay.
[00:40:22.012 --> 00:40:22.833]  Let's go ahead.
[00:40:22.833 --> 00:40:23.634]  Who's up first here?
[00:40:25.323 --> 00:40:26.744]  Rita in Chicago.
[00:40:26.744 --> 00:40:27.664]  Rita, you're on the air.
[00:40:27.664 --> 00:40:28.524]  Go ahead.
[00:40:28.524 --> 00:40:29.745]  Hi, Alex.
[00:40:29.745 --> 00:40:31.345]  I called before your guest was on.
[00:40:31.345 --> 00:40:45.891]  I think he's great and everything, but, you know, the thing is, I think the priority now is 9-11, after I heard your interview with Mr. DeCamp, because whether you're a liberal or conservative, you can be anti-pedophile.
[00:40:45.891 --> 00:40:52.994]  And I think you get them all, all the way back to Reagan and Bush, and everybody in between, and international leaders.
[00:40:53.669 --> 00:40:58.090]  You know, once you start looking... Well, we don't have Reagan involved in all this, but... No, well, it's 89, right?
[00:40:58.090 --> 00:41:00.150]  Yeah, that's Bush Senior.
[00:41:00.150 --> 00:41:06.911]  We do have mainstream news, called boys, underage, in the White House.
[00:41:06.911 --> 00:41:07.792]  Yeah.
[00:41:07.792 --> 00:41:08.752]  And then what do you do?
[00:41:08.752 --> 00:41:11.972]  You take the testimony of the prostitute and you ask them what's really going on?
[00:41:11.972 --> 00:41:13.733]  Does that work in court?
[00:41:13.733 --> 00:41:15.133]  Let me bring that up to Greg.
[00:41:15.133 --> 00:41:18.493]  Greg, I mean, I'm sure... We don't just have fake reporters.
[00:41:18.493 --> 00:41:21.454]  We have fake reporters who are male prostitutes in the White House.
[00:41:22.603 --> 00:41:34.871]  Well, you know something, the Gannon story, I haven't even bothered to... I know the story, and it's something that needs to be followed up in depth, because this is a travesty.
[00:41:34.871 --> 00:41:37.853]  But put it this way, Alex, none of this stuff surprises me.
[00:41:37.853 --> 00:41:42.135]  And let me tell you something, don't be surprised, none of this stuff does.
[00:41:42.135 --> 00:41:48.219]  Because the people that are crying out that the media hasn't done a job, the media has never really done a good job.
[00:41:48.219 --> 00:41:49.940]  They've done a little better jobs at times.
[00:41:50.240 --> 00:41:53.363]  But now it's coming to the forefront only because it's consolidated.
[00:41:53.363 --> 00:42:02.550]  There's only a few owners involved, and now you're seeing there's little, little voice, even in small-town America, or in places where normally you would get a second voice.
[00:42:02.550 --> 00:42:09.816]  But the media acting this way doesn't surprise me, because the media at the levels of the Washington Post, the New York Times, the St.
[00:42:09.816 --> 00:42:13.859]  Louis... I work for the ABC, Cap Cities, a number of different newspapers.
[00:42:13.859 --> 00:42:16.041]  I know the way the game is played.
[00:42:16.041 --> 00:42:17.362]  And let me tell you this.
[00:42:17.961 --> 00:42:19.302]  It's only gotten worse.
[00:42:19.302 --> 00:42:21.625]  You're not going to get the freedom of the press and the media.
[00:42:21.625 --> 00:42:26.069]  They're basically... Yeah, but maybe there's pictures of them with the little boy, and that's why they're doing what they're doing.
[00:42:26.069 --> 00:42:27.110]  Right, right.
[00:42:27.110 --> 00:42:31.555]  So if we start looking at them all as pedophiles, you know, I don't think they can stand up to that heat.
[00:42:31.555 --> 00:42:32.576]  They're dug in on 9-11.
[00:42:32.576 --> 00:42:35.278]  They're not going to give a damn anything.
[00:42:35.278 --> 00:42:41.685]  And Gannon is just a, really, another tool of the Bush propaganda machine that is well-oiled and ready.
[00:42:42.205 --> 00:42:49.477]  To basically, like the story about the video tapes they're now putting out to all these TV stations.
[00:42:49.477 --> 00:42:52.762]  Yeah, we gotta break the fake news reports.
[00:42:52.762 --> 00:42:54.104]  And just saying, yeah, we're gonna do it.
[00:42:56.184 --> 00:42:57.885]  Hey folks, Alex Jones here.
[00:42:57.885 --> 00:43:01.106]  And the behavior of our police is a reflection of our government.
[00:43:01.106 --> 00:43:05.047]  One look in the mirror and we know our country is entering a high-tech police state.
[00:43:05.047 --> 00:43:09.629]  Here's just a sample from my documentary film, Police State 2 The Takeover.
[00:43:09.629 --> 00:43:13.550]  In downtown Seattle today, the First Amendment ended.
[00:43:13.550 --> 00:43:15.351]  A civil emergency was created by the police.
[00:43:15.931 --> 00:43:18.893]  Police attacked people on the street indiscriminately.
[00:43:18.893 --> 00:43:23.755]  The medical bills are going to be enormous for me.
[00:43:23.755 --> 00:43:26.976]  You see them here with their hands cupped behind their backs.
[00:43:26.976 --> 00:43:30.338]  They are being led into the Sandpoint Brig.
[00:43:30.338 --> 00:43:36.441]  The neighbors in that area of Sandpoint Naval Air Station were shocked to hear that the old brig was being reopened.
[00:43:36.981 --> 00:43:41.184]  This information is absolutely vital for all freedom lovers in the United States.
[00:43:41.184 --> 00:43:42.885]  Order your video today.
[00:43:42.885 --> 00:43:43.986]  Call toll free at 888-253-3139.
[00:43:43.986 --> 00:43:46.307]  The number to order to take over again is 888-253-3139.
[00:43:46.307 --> 00:43:47.548]  Or go to my website, Infowars.com.
[00:43:55.706 --> 00:43:59.789]  Black Berkey Replacement Elements are ideal for use in any gravity filter.
[00:43:59.789 --> 00:44:05.534]  These self-sterilizing filters can transform raw pond and lake water into delicious crystal clear drinking water.
[00:44:05.534 --> 00:44:16.082]  Ideal for travel or outdoor events and perfect in the event of hostile filtration environments such as local or national emergencies because they remove both harmful chemicals and pathogenic bacteria from water.
[00:44:16.082 --> 00:44:20.406]  So powerful they can remove pathogenic bacteria, cysts, parasites to non-detectable levels.
[00:44:20.526 --> 00:44:21.407]  We're good to go.
[00:44:35.715 --> 00:44:40.399]  Yes, the BlackBerkey filter elements leave in the helpful and beneficial minerals that your body needs.
[00:44:40.399 --> 00:44:44.882]  Normally $48 each, get a 2-pack for only $91 or 4-packs for only $173.
[00:44:44.882 --> 00:44:49.466]  Get the powerful BlackBerkey replacement filters now by calling New Millennium at 888-803-4438.
[00:44:49.466 --> 00:44:49.906]  That's 888-803-4438.
[00:44:56.917 --> 00:45:03.105]  Herbal Healer Academy is the global supplier of the finest natural medicine that you may need in these troubled times.
[00:45:03.105 --> 00:45:05.548]  We specialize in keeping you alive and healthy.
[00:45:05.548 --> 00:45:11.896]  We provide outstanding products like ECAC, colloidal silver 500 parts per million, olive leaf extract,
[00:45:12.236 --> 00:45:12.876]  We're good to go!
[00:45:34.841 --> 00:45:37.103]  Simply log on to HerbalHealer.com.
[00:45:37.103 --> 00:45:41.768]  Check out our online member testimonials and our hundreds of exceptional products.
[00:45:41.768 --> 00:45:45.012]  We have been working hard since 1988 to save the remnant.
[00:45:45.012 --> 00:45:50.878]  That's HerbalHealer.com, your website for safe, effective natural alternatives and education.
[00:46:10.521 --> 00:46:28.758]  I was going to add for our guest, Greg Siminski, that Greg, as the media consolidates, as they get caught with fake reporters and hundreds of millions of fake newscasts and paying these shows to promote torture, they're just losing their credibility with more and more people.
[00:46:28.758 --> 00:46:32.001]  And the alternative media is the fastest growing thing out there.
[00:46:32.779 --> 00:46:42.120]  And now about half of the public gets most of their news from alternative media, and those numbers are accelerating, so we see the mainstream media starting to panic, Greg.
[00:46:43.914 --> 00:46:55.378]  Put it this way, they don't have a choice right now because one, they're controlled by the advertising dollars and any time that you have the freedom of speech controlled by money, you're going to not have freedom of speech.
[00:46:55.378 --> 00:46:57.879]  Basically, I'm trying to figure out terms here.
[00:46:57.879 --> 00:47:02.761]  As far as the mainstream and the alternative, I don't consider the alternative the alternative anymore.
[00:47:03.721 --> 00:47:05.943]  Basically, two forms of media in this country.
[00:47:05.943 --> 00:47:09.945]  You've got the independent grassroots, real media, and you've got the corporate propaganda.
[00:47:09.945 --> 00:47:20.413]  If you want to go and express your opinions and get stories that talk about what's really going on in your country and people that are investigating the issues, you go to the alternative press.
[00:47:20.413 --> 00:47:21.814]  And maybe there should be another name.
[00:47:21.814 --> 00:47:30.540]  When you want to read about Clarence, and you want to read about Michael Jackson, and you want to read about fluff and entertainment, which has a place in society, I'm not saying it doesn't,
[00:47:31.112 --> 00:47:32.273]  That's what they do.
[00:47:32.273 --> 00:47:39.356]  And I don't really think they should enter into territory they can't back up.
[00:47:39.356 --> 00:47:43.017]  Yeah, they say we're not the real media when they're not the real media.
[00:47:43.017 --> 00:47:43.838]  Exactly.
[00:47:43.838 --> 00:47:45.979]  They have their place and I always said that.
[00:47:45.979 --> 00:47:50.821]  And that goes from 15, 20 years experience working with them and still having friends in the media.
[00:47:51.474 --> 00:47:58.016]  And in fact, one of my good friends I worked with years ago is a Time correspondent for the Pentagon for the last 15 years, Mark Thompson.
[00:47:58.016 --> 00:48:02.437]  We worked together in Oakland County in the courthouse together in 1978.
[00:48:02.437 --> 00:48:05.177]  And Mark works for Time Magazine.
[00:48:05.177 --> 00:48:11.219]  But anyway, and also a good friend of mine I work with is now the new managing editor of USA Today, Carol Stevens.
[00:48:11.219 --> 00:48:12.939]  I worked with her back in the 70s.
[00:48:12.939 --> 00:48:14.659]  Let's take a call, Greg.
[00:48:14.659 --> 00:48:19.381]  Let's talk to Rarsh in Connecticut.
[00:48:19.381 --> 00:48:20.481]  Rarsh, you're on the air.
[00:48:20.481 --> 00:48:20.901]  Go ahead.
[00:48:21.860 --> 00:48:27.262]  Yeah, I was going to actually make a comment on Terri Schiavo's book.
[00:48:27.262 --> 00:48:28.143]  Yeah, that's fine.
[00:48:28.143 --> 00:48:30.524]  Go ahead and make your comment.
[00:48:30.524 --> 00:48:40.608]  Would it be possible for you to maybe repeatedly call for your listeners to send Terri Schiavo the book?
[00:48:40.608 --> 00:48:45.730]  If she can be shown that she can read, it's going to blow the whole idea that she's
[00:48:47.905 --> 00:48:50.727]  Very incapacitated.
[00:48:50.727 --> 00:48:52.107]  The family's done all that.
[00:48:52.107 --> 00:48:54.309]  The family's shown all that.
[00:48:54.309 --> 00:48:56.230]  And we've shown all that.
[00:48:56.230 --> 00:48:59.052]  And Shivo doesn't even let them in there very much.
[00:48:59.052 --> 00:49:01.033]  Doesn't let them bring cameras in now.
[00:49:01.033 --> 00:49:04.235]  They had to basically snake a camera in years ago.
[00:49:04.235 --> 00:49:10.139]  Wait, he stopped allowing them to bring cameras in?
[00:49:10.139 --> 00:49:12.320]  Last time I talked to him, yeah.
[00:49:12.320 --> 00:49:15.142]  I mean, doesn't anyone kind of find that a little strange?
[00:49:15.498 --> 00:49:30.722]  Also, it looks to me, I mean, if you think about it, if she were in a rehab center, no judge in his right mind would be able to remove any sort of services from her.
[00:49:30.722 --> 00:49:34.523]  Yeah, well, Bush now has sent it to the federal court.
[00:49:34.523 --> 00:49:37.003]  And so that's where it stands right now.
[00:49:37.003 --> 00:49:41.244]  Is there any possibility for her to be moved out of that hospice?
