[00:00.000 --> 00:01.000]  Nails.
[25:07.200 --> 25:10.400]  But you can't even get the American people to realize what's happening.
[25:10.400 --> 25:15.240]  Here's a clip of a lady on national Russian TV, the equivalent of CNN in English, talking
[25:15.240 --> 25:20.280]  about what you just heard earlier from the German, from the Russian government reporting
[25:20.280 --> 25:21.280]  on this.
[25:21.280 --> 25:22.280]  Here it is.
[25:22.280 --> 25:27.280]  They've fled across the border, they've told us about their experiences.
[25:27.280 --> 25:33.520]  The war has been on for four or five days now.
[25:33.520 --> 25:34.520]  We are already tired.
[25:34.520 --> 25:36.800]  There are lots of bodies over there.
[25:36.800 --> 25:40.480]  Lots of people have been killed, mostly Asetians, but also Georgians.
[25:40.480 --> 25:47.160]  They had American emblems on the forearms, and they were in black uniforms.
[25:47.160 --> 25:48.160]  Are you scared?
[25:48.160 --> 25:49.800]  Of course I am.
[25:49.800 --> 25:51.640]  My son is in Rostov, Russia.
[25:51.640 --> 25:57.000]  I am alone here.
[25:57.000 --> 26:02.080]  My hand hurts a lot after I was shot, but I can't go to hospital because people are
[26:02.080 --> 26:03.080]  shooting outside.
[26:03.080 --> 26:04.080]  All right.
[26:04.080 --> 26:05.080]  That's right.
[26:05.080 --> 26:09.080]  U.S. backed forces, and I say U.S., our country's gone.
[26:09.080 --> 26:13.600]  People running our country are dismantling, running the military out, three, four tours
[26:13.600 --> 26:19.160]  destroying the dollar, destroying our borders, our sovereignty, and then now you have the
[26:19.160 --> 26:25.800]  Marine Corps mercenaries, the army, running a sneak attack against Russia.
[26:25.800 --> 26:29.640]  They wouldn't dare do this in the 80s when they used al-Qaeda to attack Russia.
[26:29.640 --> 26:30.880]  That's now declassified.
[26:30.880 --> 26:37.520]  For six months before they invaded Afghanistan, they had Afghan al-Qaeda attacking Russians
[26:37.520 --> 26:41.000]  in the neighboring states to get the Russians to come in.
[26:41.000 --> 26:44.880]  That was another lie to the American people that the Russians attacked Afghanistan.
[26:44.880 --> 26:45.880]  No.
[26:45.880 --> 26:50.320]  I bet next they'll tell us that Russia attacked Hitler, or I bet they'll tell us that Russia
[26:50.320 --> 26:51.320]  attacked Napoleon.
[26:51.320 --> 26:52.320]  No.
[26:52.320 --> 26:56.240]  Napoleon attacked Russia, Hitler attacked Russia, and the United States, the criminals
[26:56.240 --> 26:59.240]  that have hijacked our nation, they've hijacked or hijacked the plane.
[26:59.240 --> 27:00.920]  That is in a United Airlines pilot.
[27:00.920 --> 27:01.920]  That's a hijacker.
[27:01.920 --> 27:02.920]  Well, it's the same thing here.
[27:02.920 --> 27:03.920]  This isn't our military.
[27:03.920 --> 27:05.800]  This is not our government doing this.
[27:05.800 --> 27:08.920]  This is a pack of criminals.
[27:08.920 --> 27:13.400]  Ladies and gentlemen, do you want nuclear war with Russia?
[27:13.400 --> 27:14.900]  Is that what everybody wants?
[27:14.900 --> 27:19.160]  I know it's fun to pick on Arabs and attack them and go into nations that we set up and
[27:19.160 --> 27:21.640]  then told to invade Kuwait like Iraq.
[27:21.640 --> 27:25.000]  I know it's fun to act tough and not be able to find on the map, but say it's conservative
[27:25.000 --> 27:26.200]  to kill brown people.
[27:26.200 --> 27:27.800]  But do you want to mess with Russia?
[27:27.800 --> 27:32.960]  Now, I'm sorry, I have the Times of London here saying that Russia is threatening to
[27:32.960 --> 27:35.760]  use nuclear weapons against Western Europe and the US.
[27:35.760 --> 27:39.800]  They didn't do that during the Cold War.
[27:39.800 --> 27:43.600]  I have the articles here where before this happened, they said, you're encircling us
[27:43.600 --> 27:50.160]  in Georgia with troops in the Czech Republic, in Ukraine, in other areas.
[27:50.160 --> 27:51.160]  What is it?
[27:51.160 --> 27:52.160]  Nine countries.
[27:52.160 --> 27:55.120]  And the Russian Foreign Minister six months ago, then two months ago, and then again,
[27:55.120 --> 28:00.960]  Friday said, we will use any military means to protect us, including nuclear weapons.
[28:00.960 --> 28:01.960]  Okay.
[28:01.960 --> 28:10.400]  Now, can you imagine what the US would do if Russian troops attacked, say, Guantanamo
[28:10.400 --> 28:15.320]  Bay 90 miles off our coast and killed everybody?
[28:15.320 --> 28:16.320]  You never heard the end of it.
[28:16.320 --> 28:17.560]  I mean, this is the neocons.
[28:17.560 --> 28:19.200]  It's not enough to stage 9-11.
[28:19.200 --> 28:20.200]  It's not enough for Cheney.
[28:20.200 --> 28:25.360]  It comes out mainstream news last week, wanting to create fake Iranian patrol boats and have
[28:25.360 --> 28:29.840]  US Navy seals in them, attack US ships in the Strait of Hormuz off the coast of Iran
[28:29.840 --> 28:30.840]  to blame it on them.
[28:30.840 --> 28:34.360]  That's now mainstream news MSNBC reporting and we reported it before it was mainstream
[28:34.360 --> 28:35.360]  news.
[28:35.360 --> 28:37.360]  Psyhurst, New Yorker magazine, not enough.
[28:37.360 --> 28:39.320]  Now they have to attack Russia.
[28:39.320 --> 28:43.440]  And I got Jason Bermas coming back after the break to tell you, they always tell you, the
[28:43.440 --> 28:45.840]  new world order always tells you what they're going to do in advance.
[28:45.840 --> 28:48.160]  We'll talk about that and then take your phone calls.
[28:48.160 --> 28:52.880]  This is very, very serious, 877-590-5525.
[28:52.880 --> 28:58.280]  I'm sorry, we will not be talking about your favorite color, celebrity hairstyles, John
[28:58.280 --> 29:03.440]  Edwards and his girlfriend, or the Olympics, or Hillary Clinton's cat.
[29:03.440 --> 29:04.680]  We will be talking about serious issues.
[29:04.680 --> 29:08.480]  I want to hear from military that know about this going on in the buildup or a lot of Fort
[29:08.480 --> 29:11.080]  Hood troops that have already been in Georgia and rotated back.
[29:11.080 --> 29:12.080]  We'll be right back.
[29:12.080 --> 29:13.080]  Stay with us.
[29:13.080 --> 29:34.440]  Have you ever suffered from giardia, food poisoning, heavy metal poisoning, arthritis,
[29:34.440 --> 29:36.240]  fatigue, or high cholesterol?
[29:36.240 --> 29:40.080]  We are one of the 75 million Americans at the Center for Disease Control reports the
[29:40.080 --> 29:42.640]  suffering from internal parasites.
[29:42.640 --> 29:46.920]  If so, freshwater organics is proud to introduce you to a million-year-old miracle that has
[29:46.920 --> 29:51.080]  been used all over the world by health-conscious individuals seeking alternatives to chemicals
[29:51.080 --> 29:52.080]  and drugs.
[29:52.080 --> 29:58.080]  FPP, or fossilized phytoplankton powder, is a 100% natural, organic product with absolutely
[29:58.080 --> 29:59.080]  no additives.
[29:59.080 --> 30:03.880]  When taken daily, it is an excellent source of natural plant-based silica with 14 trace
[30:03.880 --> 30:04.880]  minerals.
[30:04.880 --> 30:07.600]  We believe it is a key to a healthy digestive tract.
[30:07.600 --> 30:18.920]  To find an FPP distributor near you, or to buy it now online, go to www.freshwaterorganics.com.
[30:18.920 --> 30:29.600]  You can also call toll-free at 888-949-3570, that's 888-949-3570.
[30:29.600 --> 30:33.680]  Did you know that pH balance is one of the most important factors in maintaining high
[30:33.680 --> 30:35.640]  energy and vibrant health?
[30:35.640 --> 30:40.800]  Most experts agree that the water you drink should be at a pH level of 9 or higher.
[30:40.800 --> 30:45.780]  Plasma pH drops combine a unique formula of the most alkaline minerals and elements.
[30:45.780 --> 30:49.760]  This product is a one-of-a-kind in its strength and effectiveness.
[30:49.760 --> 30:54.720]  Using plasma pH drops is one of the best ways to make your water alkaline while helping
[30:54.720 --> 30:58.200]  you get rid of acid and regaining your health and energy.
[30:58.200 --> 31:04.400]  With just 10 drops, you can raise the pH level of the water you drink up to the pH of 10.
[31:04.400 --> 31:09.040]  Alkalizing water helps the body rid itself of acidic waste and increases the oxygen content
[31:09.040 --> 31:10.200]  of your body.
[31:10.200 --> 31:15.280]  Disease organisms like bacteria and cancer cannot survive in an alkaline environment.
[31:15.280 --> 31:21.040]  Order your bottle of Alkavision Plasma pH drops now by going directly to alkavision.com,
[31:21.040 --> 31:29.120]  or call 269-344-3420 today.
[31:29.120 --> 31:34.080]  High fuel prices for gasoline and diesel are taking a huge bite out of budgets for individuals
[31:34.080 --> 31:37.280]  and businesses, but there is something you can do.
[31:37.280 --> 31:41.640]  Fuel Saver Incorporated's fuel enhancer formula will not only stretch each gallon of fuel
[31:41.640 --> 31:46.120]  further for mere pennies per treated gallon, but also cleans fuel injectors, pumps, and
[31:46.120 --> 31:47.800]  reduces emissions.
[31:47.800 --> 31:52.640]  Huge improvement in fuel economy typically ranges from 8 to 20 percent or more, saving
[31:52.640 --> 31:56.160]  you 30 to 80 cents on each gallon of fuel at the pump.
[31:56.160 --> 31:57.920]  Now there's a boost for your budget.
[31:57.920 --> 32:02.480]  Fuel Saver Incorporated's product is completely safe for your vehicle, gas or diesel.
[32:02.480 --> 32:08.120]  In fact, the product is currently in use in motorcycles, cars, trucks, buses, RVs, boats,
[32:08.120 --> 32:10.080]  ships, and locomotives.
[32:10.080 --> 32:12.320]  Go to fuelsaverinc.com today.
[32:12.320 --> 32:18.560]  Go to fuelsaverinc.com or call toll free 866-768-7811.
[32:18.560 --> 32:24.680]  Call now 866-768-7811 or go to fuelsaverinc.com.
[32:24.680 --> 32:28.120]  Fuel Saver Fuel Enhancer, start saving on fuel today.
[32:28.120 --> 32:29.120]  Hi there.
[32:29.120 --> 32:32.440]  I want to talk to you about a dirty word, hangover.
[32:32.440 --> 32:33.800]  I know, I know.
[32:33.800 --> 32:37.560]  As the makers of drink and made hangover defense tablets, we hear it every day.
[32:37.560 --> 32:41.040]  Grown respectable adults don't get hangovers.
[32:41.040 --> 32:44.800]  Those are what you got in college when you had about 10 too many at the frat house and
[32:44.800 --> 32:48.580]  then rolled out of bed bright and early at the crack of noon the next day.
[32:48.580 --> 32:52.480]  These days, well sure, sometimes you'll have a couple drinks with dinner and sometimes
[32:52.480 --> 32:55.840]  you'll wake up with a little headache feeling just a bit queasy.
[32:55.840 --> 32:57.880]  But that's not really a hangover, is it?
[32:57.880 --> 33:01.320]  Well, call it what you want, but now you don't need to get one.
[33:01.320 --> 33:05.520]  Thanks to drink and made hangover defense, just pop one fizzy drink and made tablet
[33:05.520 --> 33:08.480]  into a glass of water just after you have a couple drinks.
[33:08.480 --> 33:13.520]  They taste great and the patented guava leaf extract formula works while you sleep.
[33:13.520 --> 33:17.640]  So you wake up with no headache, no queasiness, no hangover.
[33:17.640 --> 33:19.960]  Look for the green box at retailers everywhere.
[33:19.960 --> 33:22.960]  For a location near you, visit drinkandmade.com.
[33:22.960 --> 33:24.480]  Drink and made hangover defense.
[33:24.480 --> 33:31.800]  It's how smart, responsible people like us avoid hangovers.
[33:31.800 --> 33:40.600]  More listening to GCN, the Genesis Communications Radio Network.
[33:40.600 --> 34:00.920]  Okay, folks, no more Mr. Nice Guy, I guess people down in our country are so arrogant
[34:00.920 --> 34:08.480]  and on such incredible power trips that they build up Georgia to attack Russia for the
[34:08.480 --> 34:13.400]  last decade, publicly say they're planning to do it, blow the hell out of a bunch of
[34:13.400 --> 34:18.760]  Russian military bases, slaughter civilians by the thousands, that's all admitted, and
[34:18.760 --> 34:23.000]  then tell the idiot public in this country that Russia attacked.
[34:23.000 --> 34:29.120]  While they put it in the bottom of each story that Georgia attacked them and is still fighting.
[34:29.120 --> 34:32.440]  When Russia is saying as soon as you pull out of these areas and stop attacking, we'll
[34:32.440 --> 34:33.440]  pull out.
[34:33.440 --> 34:38.400]  There's over 40,000 refugees that have poured across the border into Russia and it's the
[34:38.400 --> 34:39.680]  same deal.
[34:39.680 --> 34:43.280]  They attack Serbia and say that Serbia attacked them.
[34:43.280 --> 34:47.200]  They attack Russia and say that Russia attacked the Afghans.
[34:47.200 --> 34:49.240]  This is back in 1979.
[34:49.240 --> 34:50.560]  It's the same story.
[34:50.560 --> 34:54.720]  It's been done this time again and you watch Russian TV and they're like, we don't know
[34:54.720 --> 34:56.920]  why the US backed this attack.
[34:56.920 --> 34:57.920]  It's terrible.
[34:57.920 --> 34:59.160]  They're up attacking us.
[34:59.160 --> 35:00.320]  We have nuclear weapons.
[35:00.320 --> 35:01.840]  We may use them.
[35:01.840 --> 35:05.680]  And the average American just out having a great time, giggling, doesn't even know where
[35:05.680 --> 35:08.880]  Georgia is, thinks it's all funny.
[35:08.880 --> 35:12.880]  Jason Bermas, who again sits in when I'm out of town on the weekday show, the maker of
[35:12.880 --> 35:16.680]  loose change, and of course the new film, Fabled Enemies, you've been watching this and
[35:16.680 --> 35:18.400]  tracking this.
[35:18.400 --> 35:22.160]  What is it like for you to watch the news and hear them say that Russia attacked Georgia
[35:22.160 --> 35:27.200]  when it was a sneak attack by US backed forces and no doubt US military were involved?
[35:27.200 --> 35:29.800]  Well, it's very much like 1984.
[35:29.800 --> 35:34.880]  I feel like black is white and white is black and they're not going to tell you the truth
[35:34.880 --> 35:39.480]  and then you look at this whole grace period, 2002, they come out and say, listen, we're
[35:39.480 --> 35:40.840]  going to start training these guys.
[35:40.840 --> 35:42.920]  US special forces are going to Georgia.
[35:42.920 --> 35:46.480]  Later on, Georgia becomes a major military help for us in Iraq.
[35:46.480 --> 35:49.320]  Again, they are the third largest amount of troops there.
[35:49.320 --> 35:52.280]  I think they have something over 3,000 troops.
[35:52.280 --> 35:57.160]  Then they start running drills where we happen to be and we send US special forces troops
[35:57.160 --> 35:58.160]  there.
[35:58.160 --> 36:01.400]  Drills all around the Russian border right where they attacked.
[36:01.400 --> 36:02.400]  Exactly.
[36:02.400 --> 36:04.920]  I think Russia didn't really want to alarm people and that's why they started to do
[36:04.920 --> 36:09.160]  their quote unquote drills because that report came out before we found out that Georgian
[36:09.160 --> 36:12.400]  troops were doing drills with US forces prior to this conflict.
[36:12.400 --> 36:15.280]  They were saying, oh, well, the Russians were building up with these drills.
[36:15.280 --> 36:18.080]  No, it turns out the Russians were probably building up with these drills because they
[36:18.080 --> 36:22.880]  saw the influx of not only US forces, but radar equipment and missile equipment.
[36:22.880 --> 36:23.880]  Ukrainian.
[36:23.880 --> 36:24.880]  Exactly.
[36:24.880 --> 36:29.400]  And it's just so bizarre to me that somebody sent me this email and I didn't believe it
[36:29.400 --> 36:31.200]  at first, but I went and checked it out.
[36:31.200 --> 36:33.760]  They literally tell you they're going to do this stuff.
[36:33.760 --> 36:37.080]  In 2001, a very popular video game Ghost Recon came out.
[36:37.080 --> 36:41.120]  Now, this is Tom Clancy, who seems to be somewhat of a prophet.
[36:41.120 --> 36:45.400]  He wrote a book about hijackers hijacking jets to fly into the World Trade Center a
[36:45.400 --> 36:51.440]  year before 9-11, Fox TV with the lone government series, and I had the star of it on.
[36:51.440 --> 36:55.240]  The CIA approached them and said, we want you to do a pilot about hijack jets being
[36:55.240 --> 36:58.600]  flown into the World Trade Center to launch a war in Afghanistan, but the government's
[36:58.600 --> 36:59.600]  really going to do it.
[36:59.600 --> 37:00.600]  Then that really happened.
[37:00.600 --> 37:04.640]  Tell us the plot, and this is off their official website, of Ghost Recon 2002.
[37:04.640 --> 37:06.840]  Yeah, this actually came out in 2001.
[37:06.840 --> 37:10.600]  It was released on Xbox in 2002, but the story took place in 2008.
[37:10.600 --> 37:12.280]  I remember reading the synopsis.
[37:12.280 --> 37:13.280]  Yeah, yeah.
[37:13.280 --> 37:18.600]  The story took place again in 2008, and it was US special forces sent to Georgia to
[37:18.600 --> 37:19.600]  combat.
[37:19.600 --> 37:20.600]  Read the game box.
[37:20.600 --> 37:27.640]  In 2008, Russians go to combat in Ossetia, and then US forces go in to help them.
[37:27.640 --> 37:33.600]  The exact place, the exact time, seven years before with Tom Clancy's video game.
[37:33.600 --> 37:34.600]  Yeah, absolutely.
[37:34.600 --> 37:36.280]  And one of the really spooky aspects of this is...
[37:36.280 --> 37:37.280]  Read the whole thing like you did during the night.
[37:37.280 --> 37:38.280]  All right, sure.
[37:38.280 --> 37:41.520]  Ghost Recon begins in 2008 with civil unrest in Russia.
[37:41.520 --> 37:45.480]  Ultra-nationalists have seized power in Moscow with plans to rebuild the Iron Curtain.
[37:45.480 --> 37:50.960]  The first step is clandestine support of rebel factions in Georgia and Baltic states.
[37:50.960 --> 37:54.920]  This is where the ghosts come in, to silence the rebellion.
[37:54.920 --> 37:58.240]  Armed with the most advanced weaponry in the world, the soldiers of Ghost Recon force and
[37:58.240 --> 38:03.280]  covertly inserted into Eastern Europe and then given specific missions to curtail the
[38:03.280 --> 38:06.600]  rebels' actions and overthrow their benefactors.
[38:06.600 --> 38:10.840]  The game storyline stems from political turmoil that can be in the light of the last few years
[38:10.840 --> 38:16.120]  in which ultra-nationalist regimes came to power and placed its leader, Dmitry Arbetov,
[38:16.120 --> 38:17.920]  as Russia's president.
[38:17.920 --> 38:22.480]  By 2007, the threat posed by Arbetov administration became clear.
[38:22.480 --> 38:27.720]  Russia forms an alliance called the Russian Democratic Union, which is made up of previously
[38:27.720 --> 38:31.400]  conquered countries of the Ukraine, Belkras, and Kazakhstan.
[38:31.400 --> 38:35.320]  Together they launch a campaign to revive the long-dissolved Soviet Union by taking
[38:35.320 --> 38:37.120]  back former Soviet republics.
[38:37.120 --> 38:41.720]  But in reality, this was taken from Russia, Russia has these small mini-republics, and
[38:41.720 --> 38:43.640]  they were the ones that were attacked.
[38:43.640 --> 38:46.560]  They've been there since 93 under a UN deal.
[38:46.560 --> 38:53.920]  So listeners, a sneak attack Thursday by Georgian US-backed military forces against Russian
[38:53.920 --> 38:59.320]  enclave, thousands dead, Russian dead troops, Russia fights back to kick them out.
[38:59.320 --> 39:03.400]  The fighting is still raging, and you turn on our news, they'll just mention, oh, Russia
[39:03.400 --> 39:08.000]  attacked Georgia, George Bush, and Barack Obama say it's terrible.
[39:08.000 --> 39:13.680]  Again, we're not even choosing sides here, but the US shouldn't be preemptively attacking
[39:13.680 --> 39:20.680]  areas of Russia, killing Russian troops, and then lying in our media telling us that Russia
[39:20.680 --> 39:22.160]  needs to stop its attack.
[39:22.160 --> 39:25.920]  And then the world leaders are hand-in-hand at the Olympics.
[39:25.920 --> 39:28.440]  It's very weird and suspicious, and I think it's also ironic.
[39:28.440 --> 39:29.440]  They started on 888.
[39:29.440 --> 39:30.440]  Yeah.
[39:30.440 --> 39:34.600]  I think it's also ironic that a lot of the younger people in special forces may have
[39:34.600 --> 39:37.720]  actually played this video game when they were 14, 15 years old.
[39:37.720 --> 39:39.000]  I mean, this was a popular game.
[39:39.000 --> 39:40.000]  That's the preconditioner.
[39:40.000 --> 39:41.000]  Yeah, exactly.
[39:41.000 --> 39:42.000]  That's exactly what I thought.
[39:42.000 --> 39:45.960]  I mean, they literally were preconditioned for this same conflict, and now they're there,
[39:45.960 --> 39:48.440]  and the remnants of that video game are in their minds.
[39:48.440 --> 39:49.440]  Well, they knew.
[39:49.440 --> 39:53.440]  I mean, just what Clancy says, quote, I get my best in plots from intelligence, just like
[39:53.440 --> 39:58.480]  the makers, Chris Carter, with ex-files and lone gummins, said, yes, they're giving us
[39:58.480 --> 39:59.640]  these plots.
[39:59.640 --> 40:03.720]  Why is the government giving them plots and saying there'll be a war with Russia started
[40:03.720 --> 40:09.960]  up in Ossetia, the very place it happened, this tiny enclave of a million people?
[40:09.960 --> 40:12.160]  This will happen in 2008, and then it happens.
[40:12.160 --> 40:13.160]  Yeah.
[40:13.160 --> 40:17.880]  And then it's the US preemptively running the attack with the Georgians as their front.
[40:17.880 --> 40:22.160]  And there's a ton of promotion in the game for things like the United Nations and NATO,
[40:22.160 --> 40:27.400]  you know, again, promoting world government, preconditioning the populace and our military
[40:27.400 --> 40:28.880]  to accept that sort of thing.
[40:28.880 --> 40:29.880]  It's normal to them.
[40:29.880 --> 40:32.960]  You know, they have been preconditioned now, Alex, for this large conflict.
[40:32.960 --> 40:37.080]  And let's hope the rest of the game doesn't come through, because this is a larger Russian
[40:37.080 --> 40:38.080]  conflict.
[40:38.080 --> 40:39.080]  This only spans larger.
[40:39.080 --> 40:40.080]  I mean, it only gets larger.
[40:40.080 --> 40:44.760]  Well, everybody's watching in the scores of nations that ring the former Soviet Union
[40:44.760 --> 40:49.960]  where NATO and the international community using US taxpayer money, we can't just say
[40:49.960 --> 40:55.120]  it's the US doing this, have moved in everywhere and have moved weapons systems in, missile
[40:55.120 --> 40:56.440]  systems, radar systems.
[40:56.440 --> 41:01.320]  They've been giving them tanks, helicopters, jets, and Russia continues to stay.
[41:01.320 --> 41:02.320]  Stop it.
[41:02.320 --> 41:03.320]  Stop it.
[41:03.320 --> 41:04.320]  Stop it.
[41:04.320 --> 41:07.920]  Meanwhile, US deplores Russian action in Georgian conflict.
[41:07.920 --> 41:11.040]  The White House said Sunday that it deplores Russian actions in the Georgia conflict is
[41:11.040 --> 41:12.800]  dangerous and disproportionate.
[41:12.800 --> 41:16.880]  Where alarm of the situation says James Jeffrey, US President George W. Bush's deputy national
[41:16.880 --> 41:21.320]  security adviser told reporters in Beijing where the president was attending the Olympics.
[41:21.320 --> 41:25.200]  Jeffrey said the United States would be very, very concerned if reports around Russian ground
[41:25.200 --> 41:27.080]  attacks in Georgia were accurate.
[41:27.080 --> 41:31.320]  See, and you read that article, they just leave out that Georgia attacked them and is
[41:31.320 --> 41:32.400]  still attacking them.
[41:32.400 --> 41:35.040]  It's like, how dare Russia be involved?
[41:35.040 --> 41:41.000]  Now let's not forget, at the end of the last Serb conflict when Clinton had the Muslims
[41:41.000 --> 41:48.800]  out of Albania attack the Slavs in the Slavic state of Serbia fight back, the media then
[41:48.800 --> 41:53.080]  said that Serbia had premeditatedly attacked Kosovo, which was part of Serbia, which is
[41:53.080 --> 41:54.080]  ridiculous.
[41:54.080 --> 42:02.640]  Then, there was the head of NATO, General Jackson, gets a call, and Wesley Clark has
[42:02.640 --> 42:07.720]  ordered US fighter bombers to bomb Russian troops who tried to take over and landed at
[42:07.720 --> 42:09.920]  the airport in Pristina, in Kosovo.
[42:09.920 --> 42:16.840]  Okay, it's back in the late 90s, and Clark had given the order to attack Russian forces
[42:16.840 --> 42:17.840]  with bombers.
[42:17.840 --> 42:21.320]  The Russians peacefully landed, took over the capital and said, you're not going to take
[42:21.320 --> 42:24.640]  part of Serbia and give it to Muslims.
[42:24.640 --> 42:27.680]  And the crazy part about this is, we're fighting the Muslims, we're fighting, no, no.
[42:27.680 --> 42:31.960]  They used the Muslims as the shock troops to take over country after country after country
[42:31.960 --> 42:35.680]  in Eastern Europe, Central Asia, the Middle East.
[42:35.680 --> 42:40.440]  They overthrew secular nations in the Middle East using Muslims, so it was the same story,
[42:40.440 --> 42:44.400]  and back under Bill Clinton, they tried to launch an attack on Russians.
[42:44.400 --> 42:47.040]  Folks, we don't want to go to war with Russia.
[42:47.040 --> 42:53.240]  Okay, I mean, I know everybody's disconnected from reality in La La Land, but this is just
[42:53.240 --> 42:56.120]  absolutely insane, Jason.
[42:56.120 --> 43:00.800]  It is absolutely insane, and before the show, we were discussing motivation, and I can't
[43:00.800 --> 43:05.160]  help but think this is really to demonize Russian, maybe take the focus off of us as
[43:05.160 --> 43:10.440]  a world power in the Middle East, maybe take the focus off of us as being the sole problem
[43:10.440 --> 43:11.440]  in the world.
[43:11.440 --> 43:12.440]  And not just that.
[43:12.440 --> 43:17.240]  Two more, there's already two there, carrier attack groups are rampaging into the Gulf
[43:17.240 --> 43:22.200]  right now, according to the AP and Jerusalem Post, in a preparation to attack Iran.
[43:22.200 --> 43:25.320]  So it's getting Russia tied up in a conflict ahead of that.
[43:25.320 --> 43:28.480]  This could shape into World War III, we'll be right back.
[43:28.480 --> 43:32.560]  Hey, everybody, if you're anything like me, I'll bet you like to eat.
[43:32.560 --> 43:39.560]  I like egg scrambles for breakfast, fresh homemade bread, delicious pastas like lasagna,
[43:39.560 --> 43:41.160]  I love beef stroganoff.
[43:41.160 --> 43:46.880]  I love chicken noodle soup, I love desserts, all kinds of entrees and soups and desserts
[43:46.880 --> 43:49.160]  and breakfast, I love that stuff.
[43:49.160 --> 43:52.520]  Now food prices are skyrocketing just like gasoline prices.
[43:52.520 --> 43:56.640]  I mean, the gasoline prices have gone insanely high, probably going to go higher, grocery
[43:56.640 --> 44:00.080]  prices are right on their heels, how are people going to be able to afford to eat?
[44:00.080 --> 44:05.240]  Well, I found a way to buy really incredible foods like I just described at half the price
[44:05.240 --> 44:07.000]  of last year's grocery bill.
[44:07.000 --> 44:10.840]  For less than half of what you spent for the same amount of food last year, I can have
[44:10.840 --> 44:12.880]  it delivered to your door.
[44:12.880 --> 44:13.880]  Let me tell you how.
[44:13.880 --> 44:24.480]  Go to efoodsdirect.com right now, efoodsdirect.com or call the toll free number 800-409-5633,
[44:24.480 --> 44:28.880]  800-409-5633, cut those food costs now.
[44:28.880 --> 44:33.800]  Don't be a victim of sudden cardiac arrest due to inflammation of the arterial walls.
[44:33.800 --> 44:39.160]  Our hemp foods are anti-inflammatory and gluten free and can greatly benefit the health
[44:39.160 --> 44:40.920]  of the human body.
[44:40.920 --> 44:48.520]  By calling 908-691-2608 or visiting hempusa.org, you can benefit from this wonderful natural
[44:48.520 --> 44:49.920]  food source.
[44:49.920 --> 44:55.800]  Our customers are also purchasing this natural food for long term storage, camping, survival
[44:55.800 --> 44:58.000]  and emergency food rations.
[44:58.000 --> 45:04.160]  Call 908-691-2608 or visit hempusa.org today.
[45:04.160 --> 45:10.280]  hempusa.org believes that now is the time to plan for the future and food will be your
[45:10.280 --> 45:12.160]  greatest asset.
[45:12.160 --> 45:18.040]  People spend money on all kinds of things, but our warning is prepare now for food shortages
[45:18.040 --> 45:19.560]  in the future.
[45:19.560 --> 45:27.640]  So don't delay, call today, 908-691-2608 and see what our powder, seeds and oil can do
[45:27.640 --> 45:28.640]  for you.
[45:28.640 --> 45:34.480]  Have you ever suffered from giardia, food poisoning, heavy metal poisoning, arthritis,
[45:34.480 --> 45:36.280]  fatigue or high cholesterol?
[45:36.280 --> 45:40.200]  Maybe you're one of the 75 million Americans at the Center for Disease Control reports
[45:40.200 --> 45:42.840]  of suffering from internal parasites.
[45:42.840 --> 45:47.120]  If so, freshwater organics is proud to introduce you to a million year old miracle that has
[45:47.120 --> 45:51.280]  been used all over the world by health conscious individuals seeking alternatives to chemicals
[45:51.280 --> 45:52.280]  and drugs.
[45:52.280 --> 45:58.280]  FPP or fossilized phytoplankton powder is a 100% natural organic product with absolutely
[45:58.280 --> 45:59.280]  no additives.
[45:59.280 --> 46:04.160]  When taken daily it is an excellent source of natural plant based silica with 14 trace
[46:04.160 --> 46:05.160]  minerals.
[46:05.160 --> 46:07.760]  Many believe it is a key to a healthy digestive tract.
[46:07.760 --> 46:19.080]  To find an FPP distributor near you or to buy it now online go to www.freshwaterorganics.com.
[46:19.080 --> 46:28.600]  You can also call toll free at 888-949-3570.
[46:28.600 --> 46:29.600]  It's a fact.
[46:29.600 --> 46:33.520]  Since the creation of the Federal Reserve in 1913, all banks in these United States
[46:33.520 --> 46:37.040]  create money out of thin air for every single loan they issue.
[46:37.040 --> 46:40.720]  With never ending late fees over the limit fees and higher and higher interest rates,
[46:40.720 --> 46:45.160]  it has become mathematically impossible to repay all debt, making all of us slaves to
[46:45.160 --> 46:46.160]  our creditors.
[46:46.160 --> 46:50.480]  The Federal Debt Relief System has created a successful attorney backed program to legally
[46:50.480 --> 46:54.680]  eliminate credit card debt, personal loans, lines of credit and other unsecured debts
[46:54.680 --> 46:56.960]  which have been fraudulently created by the banks.
[46:56.960 --> 47:01.120]  We can terminate your unsecured debt within 18 months with a much lower monthly payment
[47:01.120 --> 47:03.360]  ending with nothing on your credit report.
[47:03.360 --> 47:07.040]  Join the thousands of Americans who now breathe with a sigh of relief because they have legally
[47:07.040 --> 47:08.440]  eliminated their debt.
[47:08.440 --> 47:12.360]  Instead of living each day in fear and frustration, it's time to take action and turn your life
[47:12.360 --> 47:13.360]  around.
[47:13.360 --> 47:17.480]  Visit the Federal Debt Relief System at 877-943-8600.
[47:17.480 --> 47:22.360]  That's 877-943-8600 or visit fdrs.org.
[47:22.360 --> 47:25.000]  Find out how you can break the cycle of debt slavery.
[47:25.000 --> 47:45.120]  Visit fdrs.org today.
