[00:00:00.149 --> 00:00:02.110]  ...of this Republic.
[00:25:49.819 --> 00:25:51.941]  This whole party's getting shaken down for papers!
[00:25:51.941 --> 00:25:53.822]  You can't walk down the street or stand on the street!
[00:25:54.469 --> 00:26:01.856]  See, all these little innocuous laws sound like they were no big deal, but now they can take your house and there's three-inch grass in Austin, Texas.
[00:26:01.856 --> 00:26:03.538]  $2,000 a day fines.
[00:26:03.538 --> 00:26:05.120]  See how all this stuff works?
[00:26:05.120 --> 00:26:10.965]  Let me see some ID, you cocktail pawn in Rosario, who said they quickly whipped out their driver's license.
[00:26:10.965 --> 00:26:11.426]  Yes, sir!
[00:26:12.501 --> 00:26:15.924]  Next thing he knew, Pond had the pink summons slip in his hand.
[00:26:15.924 --> 00:26:20.288]  Blame it on Bloomberg, they said, said the cop told them before driving away.
[00:26:20.288 --> 00:26:27.093]  When asked about the summons, police spokesman Deputy Chief Michael Collins issued the same statement he has made regarding other tickets.
[00:26:27.093 --> 00:26:38.002]  As the Daily News is fully aware, or should be aware, there are administrative procedures available to those who may have been issued summons in error, or for those who may have legitimate reason for violating these regulations.
[00:26:38.002 --> 00:26:41.145]  Those procedures are clearly described on the summons issued to violators.
[00:26:41.753 --> 00:27:09.065]  And then you go before the corrupt courts, but the border's wide open, they're funding every major terror group, they're burning the Bill of Rights, those are the big laws, that's treason, but here in Austin, I have friends, nice middle class people, go to a city park, they're having a barbecue, cops walk over, let me see your IDs, rumble through their stuff, and if somebody doesn't have their ID, they will put them in the police car, take them to jail, failure to ID,
[00:27:10.422 --> 00:27:11.223]  In a free country!
[00:27:11.223 --> 00:27:14.405]  You can't be in a park, walk down the street without your ID!
[00:27:14.405 --> 00:27:15.726]  Is that a free country, Aaron?
[00:27:15.726 --> 00:27:21.550]  It's a country that feels like it's free to harass people.
[00:27:21.550 --> 00:27:31.837]  It's a government that doesn't give a damn about what is right and only knows what is wrong.
[00:27:31.837 --> 00:27:36.260]  But there's one intriguing part about all this that you were reading, Alex.
[00:27:36.260 --> 00:27:38.802]  That is that the police are saying, blame it on Bloomberg.
[00:27:40.043 --> 00:27:43.384]  It's almost as if Mr. Bloomberg isn't aware of something.
[00:27:43.384 --> 00:27:46.745]  That the police are not in lockstep with him.
[00:27:46.745 --> 00:27:51.467]  That they don't approve of what they're being told to do, or ordered to do.
[00:27:51.467 --> 00:27:55.128]  And that's dangerous for Mr. Bloomberg.
[00:27:55.128 --> 00:27:56.868]  That's a good sign.
[00:27:56.868 --> 00:28:04.651]  Well, it's bizarre... Because it shows a lack of respect for the leader, the so-called leader of New York City.
[00:28:04.651 --> 00:28:05.591]  And that's very important.
[00:28:06.912 --> 00:28:14.717]  When you start to have people for part of government showing a lack of respect for the so-called leader, that is good for us.
[00:28:14.717 --> 00:28:22.962]  But how do you double property taxes when they know the city's falling apart and the citizens are all losing their jobs?
[00:28:22.962 --> 00:28:26.345]  How do you tell the police to crack down on little old ladies?
[00:28:26.345 --> 00:28:27.245]  That's in these articles.
[00:28:27.245 --> 00:28:29.567]  I've got a whole stack of them.
[00:28:29.567 --> 00:28:33.189]  Well, it's just a matter of, you know, the man is scared.
[00:28:33.189 --> 00:28:34.330]  He's doing scary things.
[00:28:35.174 --> 00:28:42.218]  But now it says of a little old ladies, it literally says handicapped old women and such have been videoed by the news.
[00:28:42.218 --> 00:28:49.343]  The light will change and say walk and if they're not totally across by the time it turns, they're giving them $200 fines.
[00:28:49.343 --> 00:28:52.065]  Does that sound like America to you?
[00:28:52.065 --> 00:28:52.945]  No, of course not.
[00:28:52.945 --> 00:28:53.886]  I mean, but this is what...
[00:28:55.228 --> 00:28:58.169]  But lazy Americans have allowed this to happen.
[00:28:58.169 --> 00:29:00.090]  We have to be very realistic.
[00:29:00.090 --> 00:29:12.256]  There's some people who have filled their head in the sand, but because... There's that expression, I think, of the effect that all it takes for evil to triumph is for good men to do nothing.
[00:29:12.256 --> 00:29:14.377]  And this is exactly what's happening here.
[00:29:14.377 --> 00:29:16.438]  Good people have chosen to do nothing.
[00:29:16.438 --> 00:29:19.920]  Good people have chosen to just let government take control of their lives.
[00:29:19.920 --> 00:29:22.201]  Well, now they're going to pay the price.
[00:29:24.477 --> 00:29:29.001]  But that is good news that the police are refusing a smallpox shot.
[00:29:29.001 --> 00:29:32.564]  They're getting mad about having to do this.
[00:29:32.564 --> 00:29:35.266]  They're waking up the gun controls of fraud.
[00:29:35.266 --> 00:29:37.268]  But still, they're following orders.
[00:29:37.268 --> 00:29:39.570]  What would happen if... Well, you know why, Alex?
[00:29:39.570 --> 00:29:41.451]  I mean, it all boils down to one word.
[00:29:41.451 --> 00:29:43.033]  Pension.
[00:29:43.033 --> 00:29:44.834]  Everyone's concerned about their pension.
[00:29:44.834 --> 00:29:47.957]  Yeah, but what if half the cops said, no, we're not going to do this anymore?
[00:29:48.763 --> 00:29:59.471]  It's like, uh, now it's eight of the provinces in Canada have refused to confiscate and register guns, and the feds are flipping out up there?
[00:29:59.471 --> 00:30:00.872]  Well, I think that's a good sign.
[00:30:00.872 --> 00:30:09.839]  You know, what we need to do is to help politicians see the light, and so more of them will do what we tell them to do.
[00:30:09.839 --> 00:30:12.301]  And that's why we have to take this attitude.
[00:30:12.301 --> 00:30:13.502]  These people work for us.
[00:30:13.502 --> 00:30:14.903]  That's what public servant means.
[00:30:15.549 --> 00:30:17.790]  They either follow our orders, or they get out.
[00:30:17.790 --> 00:30:21.872]  You know, I've told police that, and they'll say, Hey buddy, I pay taxes!
[00:30:21.872 --> 00:30:24.973]  I pay my own salary!
[00:30:24.973 --> 00:30:30.056]  Uh, well, then I'd like him to live on what he pays in taxes.
[00:30:30.056 --> 00:30:31.477]  Tell him that.
[00:30:31.477 --> 00:30:32.317]  Well, not that I said that.
[00:30:32.317 --> 00:30:34.518]  You pay your couple hundred dollars a month in taxes?
[00:30:34.518 --> 00:30:35.258]  Well, fine.
[00:30:35.258 --> 00:30:36.639]  Then you live on that.
[00:30:36.639 --> 00:30:41.461]  You and your entire family live on that couple hundred dollars a month.
[00:30:41.461 --> 00:30:42.902]  And so, you've got a deal.
[00:30:42.902 --> 00:30:43.722]  You live on your taxes.
[00:30:45.857 --> 00:30:47.998]  But don't expect to live on mine.
[00:30:47.998 --> 00:30:50.038]  Well, it's incredible.
[00:30:50.038 --> 00:31:01.782]  But it seems to be a dichotomy there, because I'll have a state police major walk over and go, Mr. Jones, in his cowboy hat, listen, I want you to know we were brought up, this was the Soviet Union, and we know something's wrong.
[00:31:01.782 --> 00:31:04.883]  And I said, well, how many of you are watching the show?
[00:31:04.883 --> 00:31:05.363]  I have a TV show.
[00:31:05.363 --> 00:31:06.823]  And he goes, well, a lot of us, a lot of us.
[00:31:06.823 --> 00:31:09.684]  He goes, the younger guys are kind of brainwashed.
[00:31:09.684 --> 00:31:11.825]  This is a high-level officer telling me this.
[00:31:13.035 --> 00:31:13.936]  I have no doubt.
[00:31:13.936 --> 00:31:19.059]  I mean, and he's right about a lot of the younger guys are, you know, victims of the public school system.
[00:31:19.059 --> 00:31:21.061]  Of course, they're brainwashed.
[00:31:21.061 --> 00:31:22.262]  Well, that's what Hitler said.
[00:31:22.262 --> 00:31:25.364]  You get the Jugend.
[00:31:25.364 --> 00:31:29.206]  Yeah, control the youth and you're well on your way.
[00:31:29.206 --> 00:31:35.651]  All right, Aaron, I want to go to some calls and folks, also later he'll be giving out a toll-free number and telling you about some of the incredible
[00:31:36.457 --> 00:31:38.798]  Thank you Alex and good afternoon to the both of you gentlemen.
[00:32:00.461 --> 00:32:10.503]  For a long time before I got put on the shelf as a school teacher by muscular dystrophy, I taught American and world history.
[00:32:10.503 --> 00:32:19.666]  And perhaps better than most people, I understand why the Jews said, never again after World War II.
[00:32:19.666 --> 00:32:28.548]  And I guess if there's hope in this, it's that Alex, you reported earlier in the week that Arizona was going to refuse to
[00:32:29.727 --> 00:32:47.953]  Cooperate with this terrorist colored alert system and although I'm not an advocate of decriminalizing marijuana, I am encouraged that eight western states have said that they
[00:32:49.252 --> 00:32:53.393]  Well, let me just say this.
[00:32:53.393 --> 00:32:58.435]  It does have real medical use in chemotherapy people, in glaucoma.
[00:32:58.435 --> 00:33:00.175]  The government ships in the hard drugs.
[00:33:00.175 --> 00:33:03.937]  We've got to be criminalized because they're shipping it in to create the crime.
[00:33:03.937 --> 00:33:08.738]  By it being illegal, that's 9 out of 10 robberies.
[00:33:08.738 --> 00:33:09.378]  It's a joke.
[00:33:09.378 --> 00:33:12.739]  It's like Satan punishing one of his demons.
[00:33:12.739 --> 00:33:17.781]  It's like Stalin telling you he's going to keep you safe from the Commissars.
[00:33:18.445 --> 00:33:22.428]  Aaron, do you see what I'm saying about the drug war on that subject?
[00:33:22.428 --> 00:33:25.150]  Oh, absolutely.
[00:33:25.150 --> 00:33:27.111]  I agree with you.
[00:33:27.111 --> 00:33:43.742]  I guess the better way to put this on the whole drug war, to get people a little more focused on it, so they understand how evil it is, is to ask people, when did you vote to give the government permission to dictate what you can or cannot do with your body?
[00:33:45.413 --> 00:33:49.477]  And sometimes, Alex, that pulls people into the argument a little better.
[00:33:49.477 --> 00:33:51.118]  They begin to see the bigger picture.
[00:33:51.118 --> 00:33:56.464]  Well, now they're trying to say smoking marijuana is a terrorist act, so you don't have any rights if you're smoking marijuana.
[00:33:56.464 --> 00:33:58.145]  The point is, I don't use any of these drugs.
[00:33:58.145 --> 00:34:04.131]  I drink two glasses of coffee in the morning, and that's about as deep in the drugs as I get maybe Tylenol twice a year.
[00:34:04.873 --> 00:34:19.780]  But, they're shipping the heroin and cocaine in to create the crisis, they make the profits, and then when they catch your dumb kid on the street with some marijuana, he gets three years in prison building widgets for George Bush's Wackenhut company.
[00:34:19.780 --> 00:34:20.360]  It's a joke!
[00:34:21.818 --> 00:34:22.858]  Well, it's more than a joke.
[00:34:22.858 --> 00:34:26.019]  I mean, this is a crisis that has happened.
[00:34:26.019 --> 00:34:28.280]  Yeah, the police are busting in doors with black steam hats.
[00:34:28.280 --> 00:34:43.264]  But again, you see, but again, it all boils down to if we can get millions of Americans just to answer the question, when did you vote to give the government permission to dictate what you can or cannot do with your body?
[00:34:43.264 --> 00:34:49.906]  Well, in some areas, and I don't agree with much with what Europe's done, but I do agree when they decriminalize drugs, people stop using them.
[00:34:49.906 --> 00:34:50.966]  It's not cool anymore.
[00:34:52.253 --> 00:34:53.174]  Well, of course it is.
[00:34:53.174 --> 00:34:56.177]  I mean, only a fool is going to go and use drugs.
[00:34:56.177 --> 00:35:01.622]  And then it loses the money, so the drug dealers aren't these status symbols.
[00:35:01.622 --> 00:35:04.645]  It's like the garbage it is.
[00:35:04.645 --> 00:35:06.106]  It's psychology, folks.
[00:35:06.106 --> 00:35:10.170]  Who decriminalized, I mean, who criminalized heroin?
[00:35:10.170 --> 00:35:10.911]  Roosevelt.
[00:35:10.911 --> 00:35:12.873]  Where does family make us money?
[00:35:12.873 --> 00:35:14.134]  Heroin dealing.
[00:35:14.134 --> 00:35:14.935]  Legally.
[00:35:14.935 --> 00:35:15.435]  Be right back.
[00:35:29.970 --> 00:35:38.942]  My friends, the British East India Company has the world monopoly on opium shipments into Western Europe, the United Kingdom and the US.
[00:35:38.942 --> 00:35:42.547]  Their main distributor was the Roosevelt family of Hyde Park.
[00:35:43.323 --> 00:35:52.727]  And they lobbied to criminalize it once competition came into the market, and they could still covertly control the market and make much higher profits.
[00:35:52.727 --> 00:36:00.150]  Lodum opium was sold by the bottle at drugstores, and you had less drug abuse then than you do today.
[00:36:00.150 --> 00:36:08.834]  They ship it in, make it illegal, they jack the prices up, and then gives it a fashionable look for low-level drug dealers, and your daughters become crack whores.
[00:36:08.834 --> 00:36:10.155]  We must decriminalize now.
[00:36:10.755 --> 00:36:12.096]  That's what I have to say about the drug war.
[00:36:12.096 --> 00:36:19.241]  Aaron Zellman, I want to get into JPFO and what you're doing to fight the gun grabbers and what your organization does and how folks can get involved.
[00:36:19.241 --> 00:36:20.302]  We've got loaded phones.
[00:36:20.302 --> 00:36:21.923]  We've just started going to them.
[00:36:21.923 --> 00:36:23.745]  I didn't ask you this before you did the interview.
[00:36:23.745 --> 00:36:25.506]  How long can you stay with us?
[00:36:25.506 --> 00:36:27.267]  Well, I'm going to have to wrap it up pretty soon.
[00:36:27.267 --> 00:36:28.728]  I have to go to an appointment.
[00:36:28.728 --> 00:36:29.309]  I understand.
[00:36:29.309 --> 00:36:31.370]  I don't want to disappoint people.
[00:36:31.370 --> 00:36:32.071]  Sure, I understand.
[00:36:32.071 --> 00:36:33.812]  Let's jam some calls in here then.
[00:36:33.812 --> 00:36:34.993]  Daryl in Pennsylvania.
[00:36:34.993 --> 00:36:35.393]  Go ahead.
[00:36:35.393 --> 00:36:35.974]  You're on the air.
[00:36:38.323 --> 00:36:39.384]  Okay, Daryl's gone.
[00:36:39.384 --> 00:36:41.025]  Brian in New York, you're on the air.
[00:36:41.025 --> 00:36:42.506]  Go ahead.
[00:36:42.506 --> 00:36:43.326]  Good afternoon, gentlemen.
[00:36:43.326 --> 00:36:45.107]  Thank you for taking my call.
[00:36:45.107 --> 00:36:45.708]  This is Elman.
[00:36:45.708 --> 00:36:46.989]  I think the problem is this.
[00:36:46.989 --> 00:36:49.490]  There's three kinds of people that make up a society.
[00:36:49.490 --> 00:36:53.673]  Those that want power, those that want justice, and those that want security.
[00:36:53.673 --> 00:36:57.455]  Unfortunately, the people that want security and power are only 5%.
[00:36:57.455 --> 00:37:01.057]  And the people that want the security are only 90%.
[00:37:01.057 --> 00:37:02.578]  The people that want power and justice are only 5%.
[00:37:03.931 --> 00:37:05.912]  Well, I'll tell you, that's exactly what's happening is...
[00:37:18.863 --> 00:37:22.508]  People want the government to take care of them, and it never has and never will.
[00:37:22.508 --> 00:37:24.030]  You're in New York, Brian.
[00:37:24.030 --> 00:37:30.518]  What is it like where, according to police-owned admissions, they've been ordered to just totally feed on you and squeeze on you?
[00:37:30.518 --> 00:37:33.822]  I'll give you two Chinese examples.
[00:37:33.822 --> 00:37:36.045]  They gave a woman a ticket to sit on the subway stop.
[00:37:36.045 --> 00:37:37.747]  She was six months pregnant because it was hot.
[00:37:38.573 --> 00:37:40.175]  She got a $105 ticket.
[00:37:40.175 --> 00:37:43.459]  Daxton on a milk crate got a $105 ticket.
[00:37:43.459 --> 00:37:45.201]  I mean, what is happening here, gentlemen?
[00:37:45.201 --> 00:37:46.843]  I look at it like this.
[00:37:46.843 --> 00:37:49.587]  Any society that's starting to fall goes through three phases.
[00:37:50.399 --> 00:37:54.740]  First it goes insane, then it becomes humiliated, then it becomes destroyed.
[00:37:54.740 --> 00:38:00.521]  I mean, the people on top, the way I see it, no matter who they are, these people on top, they mouth, they talk.
[00:38:00.521 --> 00:38:02.202]  These people have turned their back on God.
[00:38:02.202 --> 00:38:04.502]  I think they're like a small, little G-God.
[00:38:04.502 --> 00:38:05.462]  Absolutely.
[00:38:05.462 --> 00:38:06.643]  Great points, Brian.
[00:38:06.643 --> 00:38:08.503]  Let's talk to Daryl in Pennsylvania.
[00:38:08.503 --> 00:38:09.583]  Daryl, you are there.
[00:38:09.583 --> 00:38:10.944]  Go ahead.
[00:38:10.944 --> 00:38:12.124]  Hi, Alex and Aaron.
[00:38:12.124 --> 00:38:16.885]  This is Daryl Eberhardt, Crescent PA, and I've been a member of JPFO for going on six years.
[00:38:17.580 --> 00:38:40.338]  And I'd like to urge all of the NRA members out there, I'm a former one, but if they can't bring themselves to leave the NRA, which is a compromising organization, at least also join both JPFO and GOA, and JPFO is open to both Jews and non-Jews, because I don't see any room in the Second Amendment where it says the word shall not be infringed upon.
[00:38:40.338 --> 00:38:46.743]  I don't see any room for compromise there, so folks need to join JPFO and GOA so that they can get an aggressive
[00:38:47.413 --> 00:39:16.879]  uh... gun rights organization out there that uh... fighting on their behalf and absolutely before erin leaves us with a couple calls in a second senator alexander and uh... erin zellman what do you think about bush saying he'll re-sign the assault weapons ban and add a semi-automatic shotgun ban to it well the fruit doesn't fall very far from the tree does it for starters i guess his daddy was a gun grabber too uh... uh... well i'm not surprised at any of this because it's a uh...
[00:39:18.572 --> 00:39:23.153]  They got a little wink from the NRA saying, yeah, go ahead and do it.
[00:39:23.153 --> 00:39:26.954]  We'll be able to pacify the fools who will support us.
[00:39:26.954 --> 00:39:40.917]  And it also shows that there is a haughtiness that, yeah, you guys were dumb enough to let me get elected, so I don't care if you're around or not later on.
[00:39:40.917 --> 00:39:41.357]  All right.
[00:39:41.357 --> 00:39:42.818]  Thanks for the call, Daryl.
[00:39:42.818 --> 00:39:43.458]  Thanks, Daryl.
[00:39:43.458 --> 00:39:43.978]  Anything else?
[00:39:44.955 --> 00:39:45.815]  Okay.
[00:39:45.815 --> 00:39:47.556]  Let's talk to Tom in Ohio.
[00:39:47.556 --> 00:39:48.816]  You're on the air with Aaron Zellman.
[00:39:48.816 --> 00:39:49.237]  Go ahead.
[00:39:49.237 --> 00:39:50.457]  Hi, Aaron.
[00:39:50.457 --> 00:39:51.998]  It's good to talk to you.
[00:39:51.998 --> 00:39:54.258]  And I'm glad you're out there fighting the battle.
[00:39:54.258 --> 00:39:55.679]  Thank you.
[00:39:55.679 --> 00:40:00.281]  I think that we ought to take up the battle cry over here that Israel's got, Masada never again.
[00:40:00.281 --> 00:40:12.485]  And I talked to a guy named Henry Lazarus, a bureaucrat, Mr. Spivak, and told him that the UN was not a good organization.
[00:40:13.442 --> 00:40:21.946]  And that we have an expression over here of registration, confiscation, extermination.
[00:40:21.946 --> 00:40:23.566]  And I didn't get an answer from him.
[00:40:23.566 --> 00:40:26.468]  I think he was shocked at what I told him.
[00:40:26.468 --> 00:40:31.330]  Aaron, you said something about long-range shooting.
[00:40:31.330 --> 00:40:32.270]  What do you recommend?
[00:40:32.270 --> 00:40:34.491]  A .375 or something like that?
[00:40:34.491 --> 00:40:36.392]  Well, I don't think I'm going to get into that.
[00:40:36.392 --> 00:40:37.772]  I'm not an expert in that area.
[00:40:40.017 --> 00:40:42.199]  It's whatever you can handle, number one.
[00:40:42.199 --> 00:40:45.561]  And whatever you can handle out to 4, 5, or 600 yards.
[00:40:45.561 --> 00:40:47.642]  Why would you let that sort of open to everybody?
[00:40:47.642 --> 00:40:51.104]  Aaron, I know you've got to go, but I wanted to talk a little bit about JPFO.
[00:40:51.104 --> 00:40:52.906]  Can you stay with us about five minutes on the other side?
[00:40:52.906 --> 00:40:53.026]  Sure.
[00:40:53.026 --> 00:40:54.226]  Okay, great.
[00:40:54.226 --> 00:40:55.507]  Stay there, Tom.
[00:40:55.507 --> 00:40:56.128]  I'll let you finish up.
[00:40:56.128 --> 00:40:59.550]  We'll talk to Charles, and then that's it for calls.
[00:40:59.550 --> 00:41:03.913]  Just here on the other side real quick with Aaron Zellman, then I'll continue with the news and take more calls.
[00:41:03.913 --> 00:41:04.313]  Stay with me.
[00:41:07.383 --> 00:41:10.445]  We're on the march, the empire's on the run.
[00:41:10.445 --> 00:41:27.115]  Alex Jones and the GCN Radio Network.
[00:41:27.115 --> 00:41:32.238]  Waging war on corruption, Alex Jones on the GCN Radio Network.
[00:41:33.917 --> 00:41:41.583]  Alright, coming up in about five minutes, I'm going to get into the nuclear war they're trying to instigate with North Korea.
[00:41:41.583 --> 00:41:46.967]  Imagine out of a nuclear exchange or some type of expanded war.
[00:41:46.967 --> 00:41:52.632]  That'll prove to be a great diversion for the politicians and their masters that are shutting this country down.
[00:41:52.632 --> 00:41:54.153]  We'll get into that and much more.
[00:41:54.153 --> 00:41:56.034]  We're talking to Aaron Zelman.
[00:41:56.034 --> 00:41:59.137]  JPFO.org is the website.
[00:41:59.137 --> 00:42:01.919]  Real quick, let's finish up with the callers.
[00:42:03.216 --> 00:42:15.902]  Tom, you were asking just for, you know, when I go out deer hunting or something, or for, you know, target planking, they've actually got... Hold on, Tom.
[00:42:15.902 --> 00:42:25.927]  They've actually got organizations you can go join that do long-range shooting sports, but I would just recommend something like a .308 Bolt Action Remington 700.
[00:42:25.927 --> 00:42:26.767]  Now, go ahead, Tom.
[00:42:29.253 --> 00:42:34.239]  Aaron, I was wondering, why would you recommend not being able to shoot long range?
[00:42:34.239 --> 00:42:38.223]  Do you know about the weapons that we're going to be facing?
[00:42:38.223 --> 00:42:39.325]  Well, that's part of it.
[00:42:39.325 --> 00:42:44.771]  You know, you want to be as far away from the enemy as you can.
[00:42:46.308 --> 00:42:47.088]  Can you tell me why?
[00:42:47.088 --> 00:42:49.189]  Uh, sir, I think you know why from history.
[00:42:49.189 --> 00:42:50.429]  Thanks for the call, Tom.
[00:42:50.429 --> 00:42:51.729]  Appreciate it.
[00:42:51.729 --> 00:42:52.609]  Uh, let's go ahead.
[00:42:52.609 --> 00:42:59.791]  Uh, the reason I like long-range shooting rifles is because I do some hunting where the deer can be 600, 700 yards away.
[00:42:59.791 --> 00:43:01.711]  And I think Aaron's talking about it.
[00:43:01.711 --> 00:43:04.352]  We were invaded by a foreign power or something.
[00:43:04.352 --> 00:43:10.273]  I know it's treason to say that we would resist Communist Chinese troops invading, which our government says they'd like to do, but I think that's what he's talking about.
[00:43:10.273 --> 00:43:14.074]  Uh, let's go ahead and talk real quick to Charles in Pennsylvania.
[00:43:14.074 --> 00:43:15.134]  Charles, you're on the air.
[00:43:15.134 --> 00:43:15.494]  Go ahead.
[00:43:16.114 --> 00:43:25.779]  Mr. Jones, Mr. Zellman, you're right on the money, Mr. Zellman, but something you mentioned earlier, if I'm putting words in your mouth, stop me.
[00:43:25.779 --> 00:43:34.323]  Any assault on the Bill of Rights or on the Constitution should immediately be, there should be a reaction.
[00:43:34.323 --> 00:43:37.064]  And I think that's, I've been harping about this
[00:43:37.782 --> 00:43:40.885]  This is a problem that really needs to be done.
[00:43:55.510 --> 00:43:59.713]  Uh, tried to put in a ban, total ban, on any semi-automatic.
[00:43:59.713 --> 00:44:03.656]  You'd get six months in jail, or in a thousand dollar fine.
[00:44:03.656 --> 00:44:07.259]  It was reacted to by the good people of Youngstown.
[00:44:07.259 --> 00:44:11.342]  They came in mass yesterday, and it looks like it may be defeated.
[00:44:11.342 --> 00:44:20.089]  Now, that friend of Hillary Clinton, uh, from, uh, she's from Cleveland, she's not even from Youngstown, was down there.
[00:44:20.089 --> 00:44:23.091]  She was the one who organized that Million Mom March thing.
[00:44:24.298 --> 00:44:33.881]  And I just want to reiterate that what you're saying about this, that anytime this happens, we need to have a reaction to these people.
[00:44:33.881 --> 00:44:35.122]  A very strong reaction.
[00:44:35.122 --> 00:44:37.062]  Maybe people in every country and every state.
[00:44:37.062 --> 00:44:37.783]  And that's the point.
[00:44:37.783 --> 00:44:42.664]  When we were fighting them in Texas, the NRA was actually trying to stop us.
[00:44:42.664 --> 00:44:46.606]  They're there to make you think you've got representation, so you go to sleep.
[00:44:46.606 --> 00:44:47.366]  Look at L.A.
[00:44:47.366 --> 00:44:51.127]  where they're banning ammo over .40 caliber, banning sale of ammo.
[00:44:51.127 --> 00:44:53.828]  Aaron Zellman comments to what Charles was just saying.
[00:44:54.978 --> 00:45:02.080]  Well, I agree with what the man is saying, that we have to have a zero tolerance for rights destroyers.
[00:45:02.080 --> 00:45:05.201]  And I think this is something that people need to take to heart.
[00:45:05.201 --> 00:45:16.204]  That if someone's destroying your rights, if someone's destroying your ability to defend your life, someone's destroying your freedom or your privacy, you have to have a knee-jerk reaction to this.
[00:45:16.204 --> 00:45:17.925]  A zero tolerance.
[00:45:17.925 --> 00:45:18.665]  Absolutely.
[00:45:18.665 --> 00:45:20.866]  One more call, then we'll plug JPFO and let you go.
[00:45:20.866 --> 00:45:21.726]  Thanks for the call, Charles.
[00:45:22.681 --> 00:45:24.742]  Uh, who were you telling me was up next?
[00:45:24.742 --> 00:45:26.743]  I guess Warren in Colorado.
[00:45:26.743 --> 00:45:28.143]  Last caller for Aaron Zellman.
[00:45:28.143 --> 00:45:29.163]  Go ahead.
[00:45:29.163 --> 00:45:29.764]  Okay.
[00:45:29.764 --> 00:45:31.204]  Um, I hope I'm not wasting your time.
[00:45:31.204 --> 00:45:47.250]  Um, have you, have you heard of the article out of the Rocky Mountain News, uh, saying that deputies say that, uh, they're the sheriff deputies or the sheriff department is, uh, displaying, uh, Nazi garb.
[00:45:47.250 --> 00:45:49.951]  Uh, there's a article out of a Saturday, May 31.
[00:45:51.147 --> 00:46:05.935]  Well, I mean, look, in Mexico, the secret police wear black uniforms and face ski masks.
[00:46:05.935 --> 00:46:07.155]  In Russia, they do it.
[00:46:07.155 --> 00:46:13.759]  In Germany, I mean, when your police start wearing black uniforms with skull patches like our SWAT team does here in Austin,
[00:46:14.552 --> 00:46:15.833]  You've got a big problem.
[00:46:15.833 --> 00:46:22.920]  How important is the uniform and the insignia of death being on your police, Aaron?
[00:46:22.920 --> 00:46:25.762]  Well, you know, it has a conscious effect on people.
[00:46:25.762 --> 00:46:28.445]  It makes people fear the police.
[00:46:28.445 --> 00:46:32.508]  Because it makes people think that the police are the authority figure.
[00:46:32.508 --> 00:46:36.852]  And that you must do as you're ordered to do.
[00:46:36.852 --> 00:46:40.716]  In fact, the uniforms they wear are even more thuggish than what the Nazis wore.
[00:46:42.583 --> 00:46:46.707]  Well, modern technology has helped out a long way.
[00:46:46.707 --> 00:46:47.347]  Absolutely.
[00:46:47.347 --> 00:46:50.871]  You know, the Nazis would be doing it the same way today if they could.
[00:46:50.871 --> 00:46:57.337]  Well, just imagine what the Nazis could do with a computer system versus the holographic machine that they had.
[00:46:57.337 --> 00:46:58.378]  Just imagine.
[00:46:58.378 --> 00:47:00.079]  Yeah, that was IBM.
[00:47:00.079 --> 00:47:01.060]  Right, that's right.
[00:47:01.060 --> 00:47:07.326]  And, you know, Prescott Bush ran the big Nazi bank in New York, Grandmother Harriman, and paid that big million dollar fine.
[00:47:08.132 --> 00:47:14.856]  And then Bush went to one of the concentration camps and said how sad he was while he's destroying our Bill of Rights.
[00:47:14.856 --> 00:47:17.598]  What did you think of that, Aaron?
[00:47:17.598 --> 00:47:22.621]  Well, you know, it's all for show.
[00:47:22.621 --> 00:47:25.683]  I mean, people have to see this for what it is.
[00:47:25.683 --> 00:47:30.846]  It's like something evil trying to look good.
[00:47:30.846 --> 00:47:31.767]  Absolutely.
[00:47:31.767 --> 00:47:33.028]  Warren, thanks for the call, sir.
[00:47:33.700 --> 00:47:34.861]  Appreciate it.
[00:47:34.861 --> 00:47:37.303]  Aaron Zellman, how do folks get the free email alert?
[00:47:37.303 --> 00:47:39.564]  How do they join JPFO?
[00:47:39.564 --> 00:47:45.829]  The free email alerts are from our website, which is JPFO.org, and they can simply go there and sign on.
[00:47:45.829 --> 00:47:49.372]  And you've got the Grandpa Jack comic book series that... We have a whole series of them.
[00:47:49.372 --> 00:47:50.313]  We have eight of them now.
[00:47:50.313 --> 00:47:54.836]  The latest one is called, Is America Becoming a Police State?
[00:47:54.836 --> 00:47:59.760]  And, you know, they can learn more about the documentary we're working on that shows the connection between
[00:48:01.103 --> 00:48:05.266]  Gun control and genocide.
[00:48:05.266 --> 00:48:08.088]  Now, you also have a book, and I've got it somewhere on a shelf.
[00:48:08.088 --> 00:48:08.488]  What is it?
[00:48:08.488 --> 00:48:10.630]  Gun Control Gateway to Tyranny?
[00:48:10.630 --> 00:48:20.296]  It's one of our original books, yes, but that is a side-by-side comparison between the 1968 Gun Control Act and the 1938 Nazi gun control laws.
[00:48:20.296 --> 00:48:28.902]  By the way, on the back of the book, just Alex, just for what it's worth, we reprint the letter from the Library of Congress Law Library in Lewis Coffin.
[00:48:29.744 --> 00:48:42.474]  Who acknowledges to Senator Thomas Dodd that we have received the copies of the German weapons law, which you requested us to translate for you, and the translation is on its way back to you.
[00:48:42.474 --> 00:48:47.658]  And then that becomes the law with a few word changes, and he worked in the Nuremberg trials.
