[00:00:11.035 --> 00:00:13.196]  Welcome to your life.
[00:39:53.249 --> 00:39:55.951]  Back to the really important point that I was getting into.
[00:39:58.200 --> 00:40:07.763]  When you listen now to Rush Limbaugh, Glenn Beck, Sean Hannity, Fox News, and MSNBC, the White House, Media Matters, they've all said this.
[00:40:07.763 --> 00:40:08.984]  It's true.
[00:40:08.984 --> 00:40:18.247]  They say the talking points start on Alex Jones, and then they go out to the rest of the conservative media, and it's horrible because he's radicalizing them.
[00:40:19.121 --> 00:40:21.762]  And they also throw Matt Drudge in, because a lot of it starts with Drudge, I'll say.
[00:40:21.762 --> 00:40:37.387]  Starts with Alex Jones, starts with Matt Drudge at DrudgeReport.com, and it's just absolutely horrible, and we've traced back scores of bills that have even passed, and investigations to InfoWars.com, and this horrible, deranged demon.
[00:40:37.387 --> 00:40:41.788]  They've even used those words, deranged extremist, horrible person, on and on and on.
[00:40:43.444 --> 00:40:47.588]  Don't you understand that I'm not the one radicalizing?
[00:40:47.588 --> 00:40:51.251]  You radicalize people by your radical takeover.
[00:40:51.251 --> 00:41:03.901]  We just look radical because we're old-fashioned Americans that want basic freedom, basic rights to self-defense, basic private property, basic right to worship as we see fit or not to worship.
[00:41:03.901 --> 00:41:08.725]  We don't want big banks and corporations lobbying for higher taxes because they get the money in bank or bailouts.
[00:41:09.764 --> 00:41:13.487]  Or lobbying for Obamacare that's a direct tax to corporations.
[00:41:13.487 --> 00:41:18.591]  And then you sit around on TV and call us dumb effers like Zuckerberg.
[00:41:18.591 --> 00:41:25.117]  Or call us stupid and how lack of transparency helped get it passed.
[00:41:25.117 --> 00:41:28.840]  You guys have jumped the shark.
[00:41:28.840 --> 00:41:30.602]  And every poll shows you've lost the people.
[00:41:30.602 --> 00:41:31.923]  93% don't like Congress.
[00:41:35.441 --> 00:41:38.884]  The Republican Congress, though, in polls is now more popular than Obama.
[00:41:38.884 --> 00:41:40.806]  That is extremely rare to have Congress up at 40%.
[00:41:42.887 --> 00:41:44.008]  Only Republicans, though.
[00:41:44.008 --> 00:41:49.333]  And that's only because they're being given a shot to not drive the bus over the cliff.
[00:41:49.333 --> 00:42:05.389]  And if they don't respond, no amount of false flags, no amount of nuclear false flags, no amount of biological false flags, no amount of blowing up a federal building and blaming it on talk radio, no amount of you guys pulling dirty tricks is going to put your Humpty Dumpty back together again.
[00:42:05.669 --> 00:42:06.429]  So I'm going to tell you.
[00:42:06.429 --> 00:42:10.330]  I know you're a mad mob of crooks and there isn't really a central brain to it.
[00:42:10.330 --> 00:42:11.910]  There's more of an evil spirit.
[00:42:11.910 --> 00:42:14.951]  But you need to back off now.
[00:42:14.951 --> 00:42:17.411]  You need to stop being reckless now.
[00:42:17.411 --> 00:42:23.032]  Notice I talk to them like a FBI negotiator would talk to a psychopath holding six kids hostage.
[00:42:23.032 --> 00:42:25.873]  That's basically what my job is, is explain reality.
[00:42:25.873 --> 00:42:27.153]  You're not going to win.
[00:42:27.153 --> 00:42:28.333]  You're surrounded.
[00:42:28.333 --> 00:42:30.473]  You'll only be able to carry out these criminal operations.
[00:42:30.473 --> 00:42:31.714]  We weren't aware of you.
[00:42:31.714 --> 00:42:32.934]  We know who you are.
[00:42:32.934 --> 00:42:33.794]  You're not getting out.
[00:42:34.654 --> 00:42:37.115]  Right now you're just facing a long prison sentence.
[00:42:37.115 --> 00:42:40.336]  Don't hurt the kids.
[00:42:40.336 --> 00:42:43.037]  Everything will be alright.
[00:42:43.037 --> 00:42:46.779]  Put your hands up and just come out.
[00:42:46.779 --> 00:42:47.839]  Everything's going to be okay.
[00:42:47.839 --> 00:42:49.320]  Those are little kids.
[00:42:49.320 --> 00:42:50.160]  Here's their names.
[00:42:50.160 --> 00:42:51.560]  Their mommies and their daddies love them.
[00:42:51.560 --> 00:42:53.541]  Here, talk to their mommies and daddies.
[00:42:53.541 --> 00:42:54.382]  Because that's what you do.
[00:42:54.382 --> 00:43:00.464]  If people aren't pure psychopaths or pure sociopaths, you talk to them and they go, here's Jenny's puppy.
[00:43:01.414 --> 00:43:03.736]  Maybe you don't have emotions for humans, but maybe for a dog.
[00:43:03.736 --> 00:43:06.919]  You know, Hitler did for Blondie.
[00:43:06.919 --> 00:43:24.475]  Her little puppy Snoopies, Snoopies or Snoopette or Spotty or Blackie or whatever the dog's name is, Snowball, whatever the dog's name is, Stinker, wants to see her friend.
[00:43:25.402 --> 00:43:29.804]  Stinker sleeps in the bed with Jenny every night and cuddles up next to her.
[00:43:29.804 --> 00:43:32.826]  Why don't you let her come back to her doggie?
[00:43:32.826 --> 00:43:34.727]  See, that's how we have to talk to them.
[00:43:34.727 --> 00:43:36.267]  Do you understand psychopaths?
[00:43:36.267 --> 00:43:47.353]  Do you understand people like Gruber that when you're up dancing around on TV about how dumb we are and how you're ripping us off and how it's a giant scam to rip off innocent, healthy people to take over?
[00:43:47.353 --> 00:43:49.834]  Do you understand that we see you now and you're surrounded?
[00:43:54.758 --> 00:43:58.120]  It doesn't matter if you compromise the FBI and the CIA and all these other agencies.
[00:43:58.120 --> 00:43:58.941]  It doesn't matter.
[00:43:58.941 --> 00:44:03.243]  You're now nakedly running around committing all these crimes.
[00:44:03.243 --> 00:44:07.125]  And people are aware of it.
[00:44:07.125 --> 00:44:12.989]  Obamacare is a crime, in my educated view, and according to other educated views.
[00:44:12.989 --> 00:44:14.550]  And anybody can look at this screwjob.
[00:44:14.550 --> 00:44:17.372]  It is a manifest, premeditated screwjob.
[00:44:18.550 --> 00:44:21.553]  And Gruber said he only said it once and it was a misspeak.
[00:44:21.553 --> 00:44:25.036]  Now there's two other videos of him saying the exact same thing.
[00:44:25.036 --> 00:44:29.719]  In fact, we'll play those in the next segment.
[00:44:29.719 --> 00:44:37.126]  But it's the nature of these people, and I'm not even saying Gruber's a psychopath.
[00:44:37.126 --> 00:44:41.810]  Maybe he doesn't know that it's racketeering in the books.
[00:44:43.186 --> 00:44:51.429]  To organize a fraud and to sneak it through and to lie to the public when you know it's a giant screw job and benefits foreign banks just because you got $400,000.
[00:44:51.429 --> 00:44:59.171]  And I guess you've rationalized it by projecting it onto the public that they deserve it because they're dumb.
[00:44:59.171 --> 00:45:07.214]  A five-year-old doesn't deserve to be grabbed out of the back of their yard and taken and put in snuff films because they're, quote, dumb and got in the van.
[00:45:09.386 --> 00:45:10.847]  And Gruber would say, well, I'm not doing that.
[00:45:10.847 --> 00:45:13.469]  I'm not saying you're doing that, Gruber, but that's the criminal continuum.
[00:45:13.469 --> 00:45:21.494]  You know, you got you kind of here in the middle, saying, oh, you know what, death panels, you know, screwing people over, massively increasing taxes to foreign banks, lying to folks.
[00:45:21.494 --> 00:45:28.559]  Well, you know, we kept it secret, you know, hid it, lack of transparency, and the public being dumb, those two factors helping get us passed.
[00:45:28.559 --> 00:45:31.181]  They deserve it, you know, they're dumb.
[00:45:31.181 --> 00:45:34.443]  You got that kind of here in the middle of the continuum.
[00:45:34.443 --> 00:45:37.746]  And then over here, you got grabbing kids on the extreme end out of the back of their yard.
[00:45:39.008 --> 00:45:39.468]  And you know what?
[00:45:39.468 --> 00:45:41.150]  They always deserve it, huh?
[00:45:41.150 --> 00:45:42.210]  Stupid little kid!
[00:45:42.210 --> 00:45:45.093]  Shouldn't have got in the van!
[00:45:45.093 --> 00:45:45.753]  See?
[00:45:45.753 --> 00:45:52.498]  And we have to sit here and watch you parade back and forth, up and down in front of us, all arrogantly.
[00:45:52.498 --> 00:45:53.679]  And we're not supposed to get angry.
[00:45:53.679 --> 00:45:55.501]  They always say, don't get angry.
[00:45:55.501 --> 00:45:56.842]  That, that, that, that.
[00:45:56.842 --> 00:45:58.303]  Don't get angry like Alex Jones.
[00:45:58.303 --> 00:46:00.745]  That will discredit you.
[00:46:00.745 --> 00:46:04.788]  But in every case in history, our founders sure got angry.
[00:46:06.781 --> 00:46:08.903]  Imagine how domesticated America's gotten.
[00:46:08.903 --> 00:46:09.944]  I've used this example many times.
[00:46:09.944 --> 00:46:21.012]  When I go on BBC, In Studio, Live, and they can't shut me off, or CNN Live, or Fox Live, or anything, I will make a scene.
[00:46:21.012 --> 00:46:24.996]  Because if somebody's in a drug-induced coma, how do you try to wake them up?
[00:46:24.996 --> 00:46:25.916]  You start yelling and screaming.
[00:46:25.916 --> 00:46:28.058]  You throw cold water on them.
[00:46:28.058 --> 00:46:31.040]  You don't just, business as usual, let them control the debate.
[00:46:31.994 --> 00:46:41.601]  You have to overshoot the whole deal and boomerang back in on them to where they can't even respond because there's such overwhelming veritas that they're being hit with.
[00:46:41.601 --> 00:46:45.623]  And that's what people wake up to.
[00:46:45.623 --> 00:46:48.445]  That's what people are then aware of.
[00:46:48.445 --> 00:46:49.786]  That's what can get through to people.
[00:46:49.786 --> 00:46:59.553]  That's how we wake people up, is getting out of this trance, getting out of this comfort zone, getting angry, getting upset, like Howard Beale says in the 1970s movie, Network, the newscaster.
[00:47:02.039 --> 00:47:05.663]  I don't know what to do about the inflation and the Russians and the crime in the streets.
[00:47:05.663 --> 00:47:07.544]  All I know is first you've got to get mad.
[00:47:07.544 --> 00:47:08.946]  You've got to say, I'm a human being.
[00:47:08.946 --> 00:47:11.649]  My life has value!
[00:47:11.649 --> 00:47:16.173]  What do you see out of Al Gore and Hillary Clinton and Barack Obama and all these people?
[00:47:16.173 --> 00:47:17.554]  They say, you don't have value.
[00:47:17.554 --> 00:47:18.555]  Humans are ugly.
[00:47:18.555 --> 00:47:19.817]  Humans are bad.
[00:47:19.817 --> 00:47:20.818]  You have to do what we say.
[00:47:20.818 --> 00:47:21.659]  We'll perfect you.
[00:47:21.659 --> 00:47:22.740]  We'll make it a utopia.
[00:47:24.107 --> 00:47:25.448]  We'll tell you what's cool.
[00:47:25.448 --> 00:47:26.708]  We'll tell you what's trendy.
[00:47:26.708 --> 00:47:27.949]  We'll tell you the way to live.
[00:47:27.949 --> 00:47:29.210]  And then you'll be successful.
[00:47:29.210 --> 00:47:31.591]  And then you go and you comply with them.
[00:47:31.591 --> 00:47:33.612]  And you get degrees that don't matter.
[00:47:33.612 --> 00:47:35.933]  You get brain tumors from the cell phones.
[00:47:35.933 --> 00:47:38.135]  Stomach tumors in your guts from the GMO.
[00:47:38.135 --> 00:47:40.756]  You get mentally retarded and autistic children.
[00:47:40.756 --> 00:47:45.799]  You get all the curses of the glitz and the glamour of this system.
[00:47:45.799 --> 00:47:53.243]  Because this system is as alien as a deep space planetoid from a trillion light years away.
[00:47:54.431 --> 00:47:57.693]  That began its journey here at the beginning of civilization.
[00:47:57.693 --> 00:48:00.434]  This is fiction, but it's an allegory.
[00:48:00.434 --> 00:48:11.599]  Coming here with an army of scientific robots to take over covertly and set up a plan to incrementally enslave and then destroy humanity.
[00:48:11.599 --> 00:48:16.662]  But first, horribly defacing us, horribly torturing us, tearing us apart.
[00:48:17.796 --> 00:48:39.341]  Tearing our psyches apart, torturing us, rendering us down, sucking our souls and our spirit and our greatness out first, having a victory over our goodness, a victory over our love, a victory over our beauty, a victory over our honor, a victory over our strength.
[00:48:39.341 --> 00:48:45.823]  It is a demonic spirit out of the dimensions of hell.
[00:48:45.823 --> 00:48:46.643]  Event horizon.
[00:48:49.497 --> 00:48:57.179]  And even if the spirit isn't a real entity, we as a group collective are manifesting it.
[00:48:57.179 --> 00:49:07.821]  Any way you slice it, the group collective is manifesting a great evil and anyone who is not part of it can feel it rising.
[00:49:07.821 --> 00:49:09.121]  That's what I talked about yesterday.
[00:49:09.121 --> 00:49:13.682]  To have the knowledge of good and evil.
[00:49:13.682 --> 00:49:16.863]  See, at the time of the garden, whether you believe it or not, or it's an allegory,
[00:49:18.001 --> 00:49:18.782]  There is innocence.
[00:49:18.782 --> 00:49:24.987]  They have knowledge of man and woman being together, mating.
[00:49:24.987 --> 00:49:29.571]  They have knowledge of that there is a tree and they've been told not to eat of it.
[00:49:29.571 --> 00:49:32.294]  But it gives them the knowledge of evil.
[00:49:32.294 --> 00:49:34.916]  They already had the knowledge of good.
[00:49:34.916 --> 00:49:36.377]  Then they got the knowledge of evil.
[00:49:38.010 --> 00:49:44.677]  Of twisted science, of fraud, of scams, of manipulations, of not straight shooting.
[00:49:44.677 --> 00:49:51.205]  And someone who is into the knowledge of evil looks at me and I'm as alien to them as they're alien to me.
[00:49:51.205 --> 00:49:54.128]  Except I have the knowledge of good and evil as well.
[00:49:54.128 --> 00:49:57.452]  So even though I'm not inherently evil, I have the mind
[00:49:59.815 --> 00:50:06.298]  In a dual system, I have the knowledge of good and evil from the time of Adam and Eve.
[00:50:06.298 --> 00:50:09.539]  I wish I only had the knowledge of good.
[00:50:09.539 --> 00:50:12.240]  Pre-full.
[00:50:12.240 --> 00:50:17.002]  But the modern man, this is the great truth and I've said it before.
[00:50:17.002 --> 00:50:26.206]  Once you are baptized into the New World Order, once you spiritually are immersed in it from birth and your soul is able to be snuffed out, it's still there but it's twisted.
[00:50:26.206 --> 00:50:27.747]  It's a dark shade.
[00:50:28.655 --> 00:50:29.996]  of what it was.
[00:50:29.996 --> 00:50:32.717]  And it only resonates in the fraud.
[00:50:32.717 --> 00:50:34.478]  And so it invents evil.
[00:50:34.478 --> 00:50:37.660]  And it creates fallen evil systems.
[00:50:37.660 --> 00:50:44.663]  That's why anything that comes out of the New World Order, cell phones, GMOs, chemtrails, everything they do may have it look good on the surface.
[00:50:44.663 --> 00:50:47.124]  It's poison because it's evil.
[00:50:47.124 --> 00:50:48.245]  It can't help it.
[00:50:48.245 --> 00:50:49.506]  It's what it does.
[00:50:50.766 --> 00:50:58.551]  That's why things are so bad, is because this evil is rising, but also trying to anesthetize us to the pain while it does it.
[00:51:00.014 --> 00:51:02.736]  Are you ready to surrender your right to buy body armor?
[00:51:02.736 --> 00:51:03.516]  No joke.
[00:51:03.516 --> 00:51:06.218]  Congress is now trying to outlaw civilian body armor.
[00:51:06.218 --> 00:51:08.520]  And if House Bill H.R.
[00:51:08.520 --> 00:51:13.323]  5344 becomes law, you can kiss your right to protect yourself against rifle bullets goodbye.
[00:51:13.323 --> 00:51:16.125]  Don't put off your body armor purchase any longer.
[00:51:16.125 --> 00:51:18.627]  Go now to InfidelBodyArmor.com.
[00:51:18.627 --> 00:51:22.550]  Thousands of military veterans trust their lives to Infidel Body Armor.
[00:51:22.550 --> 00:51:23.671]  You should too.
[00:51:23.671 --> 00:51:26.633]  Spelled I-N-F-I-D-E-L.
[00:51:26.633 --> 00:51:28.094]  Infidel Body Armor.
[00:51:28.094 --> 00:51:29.195]  Just won't quit.
[00:51:30.151 --> 00:51:30.952]  This is Dan Pilla.
[00:51:30.952 --> 00:51:32.753]  Do you owe the IRS money you can't pay?
[00:51:32.753 --> 00:51:34.414]  Are tax debts crippling you?
[00:51:34.414 --> 00:51:37.237]  I've defended people from the IRS for over 30 years.
[00:51:37.237 --> 00:51:39.518]  I've helped thousands and I can help you too.
[00:51:39.518 --> 00:51:44.042]  I wrote the book on IRS settlement and I'm telling you, there's no such thing as a hopeless case.
[00:51:44.042 --> 00:51:47.985]  Call 800-34-NO-TAX to finally get free of IRS debt.
[00:51:47.985 --> 00:51:51.768]  With the IRS's new programs, there's never been a better time to solve your problem.
[00:51:51.768 --> 00:51:52.188]  Call 800-34-NO-TAX.
[00:51:52.188 --> 00:51:53.809]  That's 800-34-NO-TAX or my website, danpilla.com.
[00:51:59.232 --> 00:52:02.074]  Hi folks, Alex Jones here with some important information.
[00:52:02.074 --> 00:52:07.198]  I want to tell you about Matt Redhawk and his team of Patriots over at MyPatriotSupply.
[00:52:07.198 --> 00:52:15.323]  Several years ago, Matt was sitting in his two-bedroom apartment, frustrated with the direction this country was headed and the Charlatans willing to sell us out for a quick buck.
[00:52:15.323 --> 00:52:19.846]  Deciding to take action, a company run by Patriots for Patriots was born.
[00:52:19.846 --> 00:52:23.649]  MyPatriotSupply has never taken a loan or accepted outside funding.
[00:52:23.809 --> 00:52:29.751]  They now operate two distribution facilities and employ over 50 hard-working American men and women.
[00:52:29.751 --> 00:52:32.912]  It is rare to find companies who practice what they preach.
[00:52:32.912 --> 00:52:38.273]  And that's why I stock my pantry with high-quality, storable foods from My Patriot Supply.
[00:52:38.273 --> 00:52:46.456]  Go to mypatriotsupply.com forward slash alex today for special offers on emergency food storage or call their preparedness specialist at 866-229-0927.
[00:52:46.456 --> 00:52:46.636]  That's 866-229-0927.
[00:52:52.998 --> 00:52:55.620]  Do business with someone who shares your values.
[00:52:55.620 --> 00:52:58.763]  Buy Patriot Supply dot com slash Alex.
[00:52:58.763 --> 00:53:04.068]  Did you know by age 50, half of all men have an enlarged prostate?
[00:53:04.068 --> 00:53:11.015]  This means more urges to urinate, longer bathroom trips, waking at night to urinate, or issues with sex.
[00:53:11.015 --> 00:53:18.022]  If this sounds familiar, call us now, because we're shipping free bottles of Super Beta Prostate to listeners of this station.
[00:53:18.482 --> 00:53:25.165]  Super Beta Prostate is a non-prescription formula, guaranteed to reduce the symptoms of your enlarged prostate.
[00:53:25.165 --> 00:53:26.585]  It's yours, free!
[00:53:26.585 --> 00:53:28.526]  Pay only shipping and handling.
[00:53:28.526 --> 00:53:30.066]  Just call 1-800-852-1820.
[00:53:30.066 --> 00:53:42.291]  In clinical trials, the ingredient in Super Beta Prostate was shown to reduce urges to urinate, improve bladder emptying, reduce waking at night to urinate, and improve quality of life.
[00:53:42.731 --> 00:53:42.951]  USA!
[00:53:42.951 --> 00:53:43.191]  USA!
[00:53:43.191 --> 00:53:43.292]  USA!
[00:53:43.292 --> 00:53:43.472]  USA!
[00:53:43.472 --> 00:53:43.552]  USA!
[00:54:09.850 --> 00:54:16.014]  If you let one ant stand up to us, then they all might stand up.
[00:54:16.014 --> 00:54:20.998]  Those puny little ants outnumber us a hundred to one.
[00:54:20.998 --> 00:54:25.882]  And if they ever figure that out, there goes our way of life.
[00:54:25.882 --> 00:54:27.863]  It's not about food.
[00:54:27.863 --> 00:54:30.465]  It's about keeping those ants in line.
[00:54:37.105 --> 00:54:39.266]  The Alex Jones Show.
[00:54:39.266 --> 00:54:45.488]  Because there is a war on for your mind.
[00:54:45.488 --> 00:55:03.435]  There is a number one music video right now with Mickey Minaj, who's one of the biggest pop, hip-hop people in the world, that has Nazi and police state imagery and is clearly meant to show that it's bad.
[00:55:04.983 --> 00:55:07.487]  But a lot of people are calling for it to be taken down.
[00:55:07.487 --> 00:55:15.719]  That's kind of like feminist demand censorship of Princess Leia catcalling parody video.
[00:55:15.719 --> 00:55:17.302]  Well, we have the director.
[00:55:19.718 --> 00:55:20.739]  We're working on getting them on right now.
[00:55:20.739 --> 00:55:27.446]  They said they want to come on today to explain what's really going on with the film.
[00:55:27.446 --> 00:55:29.408]  So go ahead and set that up.
[00:55:29.408 --> 00:55:32.311]  And Nico, if you need to do it, even while Dr. Gribbs is on with us.
[00:55:32.311 --> 00:55:34.653]  I know Clive and Bundy's coming on as well today.
[00:55:34.653 --> 00:55:39.458]  Just whatever time slot you need because it's important and we need to discuss that.
[00:55:40.575 --> 00:55:42.917]  Video got launched yesterday, it has 4 million views.
[00:55:42.917 --> 00:55:45.499]  It'll end up getting like 100 million views.
[00:55:45.499 --> 00:56:03.995]  And again, we can have our police dressed like Nazis, we can have Nazi policies, we can have Nazi surveillance, Nazi secret testing, but whatever you do, don't ever show people
[00:56:10.836 --> 00:56:14.178]  Dressed up as Nazis.
[00:56:14.178 --> 00:56:17.179]  And of course, it's obvious why they want it down.
[00:56:17.179 --> 00:56:22.562]  It looks like they've got Obama dressed up like the Pope.
[00:56:22.562 --> 00:56:27.325]  And that's just a big no-no.
[00:56:27.325 --> 00:56:40.332]  And again, even if you don't agree with this and don't get what the music video's about, the reason they're trying to slap them down right now is they don't want hip-hop getting political, just like we talked about with Rick Ross yesterday on air.
[00:56:41.892 --> 00:56:48.457]  They do not want hip-hop getting political.
[00:56:48.457 --> 00:56:59.266]  Because the minute it gets really political, and isn't just race-baiting and gang-banging stuff, then it's become a worldwide force, the globalists basically push, to take over other cultures.
[00:56:59.994 --> 00:57:01.875]  It was a weapon designed to destroy blacks.
[00:57:01.875 --> 00:57:05.416]  It's been so successful that they've moved it on to the rest of the world.
[00:57:05.416 --> 00:57:10.179]  That's now American export culture, is thug gangsterism through hip-hop.
[00:57:10.179 --> 00:57:18.922]  And we had a special report that we shot last night that was one of the most powerful things we've ever shot with Rick Ross.
[00:57:18.922 --> 00:57:21.384]  But I mean, one of the most powerful things we've ever done, period.
[00:57:21.384 --> 00:57:28.787]  Where he calls out the fake Rick Ross and says, stop using this as a weapon, stop hurting the youth, stop pushing drug culture.
[00:57:30.382 --> 00:57:48.529]  See, you put a song out against Mind Control, the Illuminati, and Nazis, which is what the video does, then they want it taken down, because Mickey Minaj and the director, they need to be taught that you get off the script, you're done.
[00:57:48.529 --> 00:57:59.314]  You get up there and you twerk your rear end, and you get up there and you talk about gang banging, and you get up there and you talk about Mac and the G's, and slinging the rock, and everything's going to be alright.
[00:58:00.520 --> 00:58:04.042]  Throw it in the gutter, go buy another.
[00:58:04.042 --> 00:58:07.943]  Then everything is A-OK.
[00:58:07.943 --> 00:58:13.346]  Because you see, me and my homies would like to play this game.
[00:58:13.346 --> 00:58:16.227]  But the minute that happens, the government's going to come in on you.
[00:58:16.227 --> 00:58:17.207]  But what's going to happen?
[00:58:17.207 --> 00:58:19.828]  If it ever catches fire, A, it'll be super popular.
[00:58:19.828 --> 00:58:23.170]  So folks want to do this, because this is what's popular.
[00:58:23.170 --> 00:58:25.291]  I mean, look at this show, how popular it is.
[00:58:25.291 --> 00:58:27.252]  If it ever catches fire, we take over.
[00:58:27.252 --> 00:58:27.532]  Quick.
[00:58:27.532 --> 00:58:28.592]  It could happen quick.
[00:58:28.592 --> 00:58:29.793]  We get hip-hop on our side,
[00:58:30.802 --> 00:58:33.704]  I'm telling you, it's a major blow to the New World Order.
[00:58:33.704 --> 00:58:35.925]  It's the kind of thing that could take them down.
[00:58:35.925 --> 00:58:40.487]  Or a woman torturing herself on the Capitol Lawn.
[00:58:40.487 --> 00:58:42.028]  Thank you for listening to GCN.
[00:58:42.028 --> 00:58:43.229]  Please don't do it.
[00:58:43.229 --> 00:58:44.670]  Visit GCNlive.com today.
[00:58:50.492 --> 00:58:57.138]  When you're out on the road, the last place you want to be is on the road.
[00:58:57.138 --> 00:59:02.302]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[00:59:02.302 --> 00:59:11.009]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[00:59:11.009 --> 00:59:14.032]  They sew pride in every stitch.
[00:59:14.032 --> 00:59:17.195]  Guarantee you'll love the way they fit.
[00:59:29.178 --> 00:59:31.299]  We turn jeans inside out.
[00:59:31.299 --> 00:59:33.100]  Diamond Gusset Jeans.
[00:59:33.100 --> 00:59:35.961]  Made in the USA with unparalleled quality.
[00:59:35.961 --> 00:59:40.042]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection.
[00:59:40.042 --> 00:59:42.603]  So you can ride all day with confidence.
[00:59:42.603 --> 00:59:45.304]  Order yours at gusset.com.
[00:59:45.304 --> 00:59:46.884]  Diamond Gusset Jeans.
[00:59:46.884 --> 00:59:47.665]  Got it.
[00:59:47.665 --> 00:59:48.465]  Others don't.
[00:59:52.014 --> 01:00:04.578]  You're listening to the Alex Jones Show.
[01:00:04.578 --> 01:00:05.878]  Big Brother.
[01:00:05.878 --> 01:00:07.659]  Mainstream media.
[01:00:07.659 --> 01:00:09.399]  Government cover-ups.
[01:00:09.399 --> 01:00:11.000]  You want answers?
[01:00:11.000 --> 01:00:12.540]  Well, so does he.
[01:00:12.540 --> 01:00:16.742]  He's Alex Jones on the GCN Radio Network.
[01:00:16.742 --> 01:00:20.783]  And now, live from Austin, Texas, Alex Jones.
[01:00:24.574 --> 01:00:37.819]  Jeff Osborne, one of the top directors out there when it comes to music videos, you name it, says, sorry, I'm not sorry, and he joins us in one hour.
[01:00:37.819 --> 01:00:44.542]  Exclusive, Nicki Minaj's only director says, neither I nor the video are anti-Semitic.
[01:00:44.542 --> 01:00:48.563]  I mean, give me a break, folks.
[01:00:48.563 --> 01:00:50.744]  The video is exposing fascism
[01:00:54.358 --> 01:00:58.380]  And is exposing the Illuminati and mind control.
[01:00:58.380 --> 01:01:00.021]  You can listen to the song.
[01:01:00.021 --> 01:01:05.663]  It's got profanity in it, so we're not going to play it on commercial radio here, SEC radio.
[01:01:05.663 --> 01:01:07.984]  But he's come out and said, sorry, I'm not sorry.
[01:01:07.984 --> 01:01:11.586]  I had an opportunity in an outlet, which I knew would reach millions of people.
[01:01:11.586 --> 01:01:13.267]  I wanted to make a statement.
[01:01:13.267 --> 01:01:16.909]  The term New World Order isn't just an edgy pop culture reference.
[01:01:16.909 --> 01:01:20.270]  It's a very real and was a term used by President George H.W.
[01:01:20.270 --> 01:01:23.552]  Bush, ironically, 10 years to the day before 9-11.
[01:01:23.552 --> 01:01:23.972]  That's right.
[01:01:25.540 --> 01:01:28.041]  Guess who he's a listener?
[01:01:28.041 --> 01:01:35.082]  MKUltra, the school of the Americas, Bush family owned.
[01:01:35.082 --> 01:01:40.704]  The fact that in every recent war, the opposition leader has worked for the CIA.
[01:01:40.704 --> 01:01:42.304]  That's what's in the song.
[01:01:42.304 --> 01:01:44.925]  So they're just like, oh, it shows Nazis.
[01:01:44.925 --> 01:01:45.045]  Yeah.
[01:01:50.290 --> 01:01:53.012]  It's like when Charlie Chaplin dressed up as a Nazi.
[01:01:53.012 --> 01:01:54.333]  Did they call for them to ban it?
[01:01:54.333 --> 01:01:56.495]  No, he was making fun of Hitler.
[01:01:56.495 --> 01:01:57.696]  I've had it with these people.
[01:01:57.696 --> 01:01:59.417]  How stupid do they think you are?
[01:01:59.417 --> 01:02:00.698]  How dumb do they think I am?
[01:02:00.698 --> 01:02:04.661]  In fact, give me Charlie Chaplin's, uh, Dictator of the World.
[01:02:04.661 --> 01:02:05.702]  I forget the name of the film.
[01:02:05.702 --> 01:02:09.025]  The whole thing's... Yeah, yeah, I think it's the greatest speech.
[01:02:09.025 --> 01:02:12.868]  It's where he's bouncing the beach ball of the world on his butt.
[01:02:14.019 --> 01:02:18.263]  Hey, was Charlie Chaplin a credible comedian who was a Jew?
[01:02:18.263 --> 01:02:19.124]  Is he anti-Semitic?
[01:02:19.124 --> 01:02:21.106]  I'm tired of this!
[01:02:21.106 --> 01:02:22.868]  I'm tired of it!
[01:02:22.868 --> 01:02:33.238]  I tell you what, when George Soros gets arrested as a Nazi war criminal, which he is, a Nazi collaborator, then I'll start thinking you guys have any credibility.
[01:02:33.238 --> 01:02:33.719]  How's that sound?
[01:02:35.779 --> 01:02:40.383]  When the ADL comes out against Schwarzenegger saying he admires Hitler, then I'll have a little bit of respect for you.
[01:02:40.383 --> 01:02:41.264]  You know what, I don't.
[01:02:41.264 --> 01:02:45.467]  You use this to demonize people that are exposing fascism.
[01:02:45.467 --> 01:02:45.968]  That's what you do.
[01:02:53.695 --> 01:02:58.197]  Another quote is, look up from your smartphone and smell the bleeping roses.
[01:02:58.197 --> 01:03:05.739]  I'm trying to help you people vilify artists for using this type of imagery in their work as if they're part of the 1% Club.
[01:03:05.739 --> 01:03:09.741]  Believe me, any artist who has a brain cell knows they're not in that club.
[01:03:09.741 --> 01:03:10.161]  That's right.
[01:03:12.478 --> 01:03:17.983]  In my opinion, it's not glorification, it's a subliminal warning, because you can't openly say these kinds of things.
[01:03:17.983 --> 01:03:18.183]  Me?
[01:03:18.183 --> 01:03:20.045]  I don't give a bleep.
[01:03:20.045 --> 01:03:23.708]  I have no corporate interest, PR team, or image to maintain.
[01:03:23.708 --> 01:03:27.251]  That's the kind of talk that will bring down the globalists, just start straight shooting.
