[00:00:07.907 --> 00:00:09.648]  Now listen up!
[00:56:26.560 --> 00:56:27.181]  They don't want that.
[00:56:27.181 --> 00:56:28.822]  But I'll tell you what I am selling.
[00:56:28.822 --> 00:56:33.464]  That's victory and freedom, and having a spirit of standing up against these control freaks.
[00:56:33.464 --> 00:56:41.749]  They've jumped the shark, trying to say the president shouldn't say hydroxychloroquine's good, and others, and trying to say he was doing bad things when he was giving people truth and hope.
[00:56:42.349 --> 00:56:43.851]  But what is back is food.
[00:56:43.851 --> 00:56:45.813]  We can now sell storable food again.
[00:56:45.813 --> 00:56:48.636]  We had to stop for two weeks because they had to fill out the orders they had.
[00:56:48.636 --> 00:56:49.757]  Had to get more food in.
[00:56:49.757 --> 00:56:50.838]  They opened two more factories.
[00:56:50.838 --> 00:56:51.679]  Highest quality.
[00:56:51.679 --> 00:56:52.981]  The prices stayed low.
[00:56:52.981 --> 00:56:57.186]  Get your orders in now because the economy, the crazy election, the world's never going to be the same.
[00:56:57.186 --> 00:56:58.307]  You need to be prepared.
[00:56:58.847 --> 00:57:02.170]  And you need to get high quality storable food at InfoWarsTore.com.
[00:57:02.170 --> 00:57:06.314]  Anybody else telling you they've got it is lying to you unless they're charging you grocery store prices.
[00:57:06.314 --> 00:57:07.775]  Then they can get you food.
[00:57:07.775 --> 00:57:11.579]  But this is five times cheaper than you can get at the grocery store because there's no middlemen.
[00:57:11.579 --> 00:57:12.820]  And it funds the InfoWars.
[00:57:12.820 --> 00:57:14.341]  So InfoWarsTore.com.
[00:57:14.341 --> 00:57:16.063]  Get your orders in now so you get it!
[00:57:17.625 --> 00:57:20.086]  And you get a great price with all the inflation that's coming.
[00:57:20.086 --> 00:57:22.447]  You'll be able to, again, eat your insurance one way or another.
[00:57:22.447 --> 00:57:28.889]  And it's an investment that cannot fail unless you don't take action and get that order in at infowarestore.com.
[00:57:28.889 --> 00:57:34.051]  They are so pissed that we're still on air and that we told you to prep and we've been proven right about all this.
[00:57:34.051 --> 00:57:35.471]  They just don't know what to do.
[00:57:35.471 --> 00:57:37.452]  They're so angry that they're all collapsing.
[00:57:37.452 --> 00:57:38.512]  Everyone hates them.
[00:57:38.512 --> 00:57:46.915]  But you're tuning in and you're spreading the word and overriding these leftist, globalist, anti-human, anti-American, lying scum whose power is over!
[00:57:48.880 --> 00:57:50.761]  Hey, listen.
[00:57:50.761 --> 00:57:53.322]  Alex Jones and the Resistance are still on air.
[00:57:53.322 --> 00:57:56.003]  They're a banned-off video on InfoWars.com.
[00:57:56.003 --> 00:58:07.208]  All you gotta do is go to InfoWars.com, forward slash show, and you'll find Alex Jones' broadcast live, and you'll find Owen Schroeder, The War Room, David Knight, and so much more special broadcast films.
[00:58:08.680 --> 00:58:15.243]  Emergency reports, it's all there, and the globalists have worked around the clock to take them off air, but something's happening.
[00:58:15.243 --> 00:58:27.410]  The public has been spreading the word that the forbidden truth lives at InfoWars.com, Ford's live show, and Vandoff Video, and it's growing exponentially, and the attempts to censor are only backfiring.
[00:58:27.410 --> 00:58:31.772]  But we can supercharge this right now, if all of you listening realize, hey,
[00:58:36.078 --> 00:58:42.239]  I'm here to tell you, I don't need you to thank me and tell me I've done a good job.
[00:58:42.239 --> 00:58:44.220]  I've done nothing but my duty!
[00:58:44.220 --> 00:58:50.641]  I discovered a bunch of bloodthirsty scum coming after innocent people!
[00:59:07.161 --> 00:59:32.032]  For 24 years, Alex Jones and InfoWars have been sounding the alarm for patriots worldwide, waking people up to the New World Order, Bohemian Grove, the American Deep State, the rise of Communist China, the plan for global depopulation, and global elite pedophiles who prey off of our young.
[00:59:33.348 --> 00:59:39.754]  The enemy has done their best to destroy us, but because of your support, our fight continues.
[00:59:39.754 --> 00:59:40.855]  Join us.
[00:59:40.855 --> 00:59:45.479]  Support the Info War, and together, we will slay the dragon.
[00:59:45.479 --> 00:59:51.724]  Keep fighting, Alex, you're the gladiator.
[00:59:51.724 --> 00:59:54.387]  You're listening to the Alex Jones Show.
[01:00:04.451 --> 01:00:20.014]  Well, last night, I watched the two hours of nearly commercial-free, we just run six minutes an hour for the local stations to have some ad time, of the new TV slash radio show, Robert Barnes' American Countdown, and it was really good.
[01:00:20.014 --> 01:00:32.817]  Here's just a few minutes of it, then I'm gonna come back to the main transmission, get to all the big breaking news, and special guests, but here's just a few minutes from the new show, seven to nine weeknights, at VanDock Video and on our TV and radio satellites at Infowars.com.
[01:00:32.817 --> 01:00:33.677]  And it is, of course,
[01:00:34.582 --> 01:00:35.398]  American Countdown.
[01:01:03.223 --> 01:01:06.546]  Welcome tonight to the very first episode of American Countdown.
[01:01:06.546 --> 01:01:09.128]  We're going to be discussing the pandemic.
[01:01:09.128 --> 01:01:14.112]  Tonight resolved that the pandemic is more panic than play.
[01:01:14.112 --> 01:01:18.055]  Instead, and part of our opening statement, let's look at the evidence.
[01:01:18.055 --> 01:01:21.358]  This pandemic has been used as a pretext, as a premise,
[01:01:21.898 --> 01:01:34.351]  For a power grab by governors, by mayors, by town managers even, all across America in ways that have never happened in American history, that are unprecedented, that are unparalleled.
[01:01:34.351 --> 01:01:39.096]  Our constitutional forefounders determined years, determined way back in the late 1700s
[01:01:40.237 --> 01:01:45.819]  That our country did not have any exception for national emergencies from constitutional liberties.
[01:01:45.819 --> 01:01:54.103]  There is no reference to pandemics or viruses or public health crises or declaration of emergencies in the Constitution.
[01:01:54.103 --> 01:02:02.166]  There's nothing in there that says that the First Amendment to the United States Constitution or the Second or the Fourth or the Fifth or the Sixth or that any of the Bill of Rights
[01:02:02.426 --> 01:02:02.966]  We're good to go.
[01:02:17.938 --> 01:02:24.923]  We're far more familiar with the issues of pandemics and plagues and viruses than we even are today.
[01:02:24.923 --> 01:02:32.308]  And yet they chose not to form any exception or exemption, as a federal court determined today in Austin, Texas.
[01:02:32.308 --> 01:02:35.631]  Though ironically, only for Planned Parenthood so far.
[01:02:35.631 --> 01:02:41.295]  So apparently, essential services includes abortion, but doesn't include church.
[01:02:41.775 --> 01:02:45.838]  Doesn't include the right to purchase a gun for your own defense.
[01:02:45.838 --> 01:02:51.203]  Doesn't include the right to have free assembly either in church or for political purposes.
[01:02:51.203 --> 01:02:56.107]  Doesn't include the right to privacy under the Fourth Amendment unless it's for an abortion.
[01:02:56.107 --> 01:03:01.512]  Doesn't include the right to your business or your property under the Fifth Amendment unless, of course, it's Planned Parenthood.
[01:03:01.992 --> 01:03:14.806]  So the court's decision was right on the Constitution, but those principles of essential services should be extended and applied to all constitutionally protected liberties, not just the ones the left celebrates.
[01:03:14.806 --> 01:03:18.950]  But that isn't the only issue with this pandemic that is more panic than play.
[01:03:19.591 --> 01:03:48.002]  For example, if we examine the data behind the pandemic, we find that not only is it being used as a pretext for a political power grab that's beyond the constitutional constraints and is unprecedented in American legal history, but in addition to that, it is being used, of course, to crush the economy and facilitate Wall Street bailouts of an unprecedented portion, with the Fed committing to printing trillions of dollars to help their friends on Wall Street and corporate America, while ordinary Americans go to record levels of unemployment.
[01:03:48.602 --> 01:04:01.094]  At the same time, it endangers the re-election bid of President Trump, who had done such a good job rebuilding the economy over the past three years, only to see it ripped away from him under this pandemic panic.
[01:04:01.094 --> 01:04:02.576]  But it goes beyond that.
[01:04:02.576 --> 01:04:06.199]  Let's look at the actual data in the pandemic data itself.
[01:04:06.900 --> 01:04:18.426]  So according to the various models that originally came out of places like Imperial College in the UK and other places that were relied upon in the West, this pandemic was going to be completely unique.
[01:04:18.426 --> 01:04:22.128]  This virus was going to be unlike any virus in modern history.
[01:04:22.128 --> 01:04:34.774]  So for example, if we look at and contextualize the information by history, we find that in fact most viruses in the modern medical era, in the last century or so, does not have a wide infection rate over a compressed timetable.
[01:04:35.374 --> 01:04:43.823]  On average, what will happen is that a virus will expand at a rate of the worst version of a virus, the Spanish flu, in 1918.
[01:04:43.823 --> 01:04:49.669]  Over a three-month time period, its highest infection rate in any region exposed was approximately 10% of the population.
[01:04:49.669 --> 01:04:51.090]  All right, folks, we'll be right back.
[01:04:51.090 --> 01:04:55.935]  By the way, I was just watching Fox Business, and they're getting coffee, and they were showing the fake footage from Nellie St.
[01:04:55.935 --> 01:04:56.376]  Louis, New York.
[01:04:56.696 --> 01:04:59.438]  I just want to finish by saying your reputation's amazing.
[01:04:59.438 --> 01:05:00.779]  I will not let you down.
[01:05:00.779 --> 01:05:03.941]  You will be very, very impressed, I hope.
[01:05:03.941 --> 01:05:06.243]  You'll be looking at me in a year, in a year, or two years.
[01:05:06.243 --> 01:05:08.965]  Let's give me a little bit of a time to run things.
[01:05:08.965 --> 01:05:13.028]  But a year into office, you'll be saying, wow, I remember that interview.
[01:05:13.028 --> 01:05:15.090]  He said he was going to do it, and he did a great job.
[01:05:15.090 --> 01:05:16.691]  You'll be very proud of our country.
[01:05:16.691 --> 01:05:17.732]  Four years ago.
[01:05:18.635 --> 01:05:31.327]  Then billionaire businessman Donald Trump pledged himself to Infowars and our audience that he would not let us down, that he would take the globalists on, and that we would be very pleased with what he did.
[01:05:32.113 --> 01:05:34.214]  We are pleased with President Trump.
[01:05:34.214 --> 01:05:40.577]  He has proven that he's the real deal and has taken the globalist on a level never before seen.
[01:05:40.577 --> 01:05:47.521]  But now they're striking back at President Trump and the people using the invisible weapon of fear, the coronavirus.
[01:05:47.521 --> 01:05:49.742]  Yes, we should meet the virus head-on.
[01:05:49.742 --> 01:05:55.865]  Yes, we should save as many people as possible, but not at the expense of our hard-fought liberties and freedoms.
[01:06:29.818 --> 01:06:36.081]  We are live broadcasting worldwide from Texas.
[01:06:36.081 --> 01:06:42.124]  It is March 31st on this Tuesday edition.
[01:06:42.124 --> 01:06:46.046]  216 days left until this unbelievable election.
[01:06:46.046 --> 01:06:53.530]  And if the Deep State Democrats get back into power, they're going to release more bioweapons, even more deadly.
[01:06:53.530 --> 01:06:54.851]  They're going to lock everything down.
[01:06:54.851 --> 01:06:55.751]  They're going to arrest everybody.
[01:06:55.751 --> 01:06:58.472]  They're going to start a civil war.
[01:06:58.472 --> 01:06:59.333]  We've got to avert it.
[01:07:01.357 --> 01:07:05.879]  All right, in this hour, I'm going to cover all the huge breaking news.
[01:07:05.879 --> 01:07:11.241]  Just unbelievable how clear the picture's getting of exactly what happened and what's coming next.
[01:07:11.241 --> 01:07:22.186]  I want to open the phones up for first-time callers in this hour ahead of Jeff Nyquist joining us, a great journalist, analyzing what's happening.
[01:07:22.186 --> 01:07:24.307]  Then, of course, Paul Joseph Watson in the fourth hour.
[01:07:25.512 --> 01:07:35.360]  I gave Paul the inside baseball this morning on the presidential advisor and the big national media figure that also advises the president.
[01:07:35.360 --> 01:07:38.963]  And on what they told me in the last week, this morning and last week.
[01:07:38.963 --> 01:07:41.886]  And I went ahead and decided to talk about it today.
[01:07:41.886 --> 01:07:49.232]  Because I think now is the time to get into it.
[01:07:49.232 --> 01:07:52.675]  But it's just so crazy.
[01:07:54.690 --> 01:07:58.991]  But it's happening, and you just can't believe it.
[01:07:58.991 --> 01:08:05.072]  And I'm up here on air saying these things that I know are true, but it just sounds like it's not real.
[01:08:05.072 --> 01:08:15.775]  Like, we're getting locked down, drones are controlling us, we're under AI surveillance, big tech is censoring Trump, Tucker Carlson, Sean Hannity, Jair Bolsonaro.
[01:08:17.972 --> 01:08:39.750]  Saying hydroxychloroquine has been approved in Europe and did great with people that had COVID-19 and that doctors have been prescribing it off label with great results and so they took me off Google for saying what the president said and then now they've got huge articles out attacking me and they're now going after Tucker Carlson and Sean Hannity and the president and the president of Brazil?
[01:08:39.750 --> 01:08:44.734]  What the hell?
[01:08:44.734 --> 01:08:46.336]  That's in the news today!
[01:08:55.205 --> 01:09:04.428]  Two weeks ago, a week ago, all these governors shot their mouths off and said, you prescribe that, we'll have your ass arrested or lose your license.
[01:09:04.428 --> 01:09:06.108]  The media's like, President Trump, shut up!
[01:09:06.108 --> 01:09:09.129]  It's doctors that told him that.
[01:09:09.129 --> 01:09:10.789]  Since when can the President not talk?
[01:09:10.789 --> 01:09:14.110]  Only who the media approves.
[01:09:14.110 --> 01:09:16.731]  The same media that says that
[01:09:19.329 --> 01:09:20.229]  We're all doomed.
[01:09:20.229 --> 01:09:26.351]  The same media that tells us we shouldn't be carrying or watching the President's press conferences.
[01:09:26.351 --> 01:09:32.673]  Let me just read to you some of what's going around at Fox News.
[01:09:32.673 --> 01:09:34.714]  And again, this isn't even from the sources.
[01:09:34.714 --> 01:09:39.435]  This is just a separate thing I was sent.
[01:09:39.435 --> 01:09:44.037]  If the Democrats win in November, they're going to crush Fox News just as they've crushed the NRA.
[01:09:45.953 --> 01:09:48.755]  And we're going to deeply regret letting it happen.
[01:09:48.755 --> 01:09:57.041]  Everyone who thought it was fine when he platformed Alex Jones will look like an effing moron.
[01:09:57.041 --> 01:10:00.423]  That's the type of stuff going on in memos at the highest levels of Fox News.
[01:10:00.423 --> 01:10:08.048]  I'm not going to read you the rest.
[01:10:08.048 --> 01:10:10.690]  The folks giving me this stuff don't even say, don't say my name.
[01:10:10.690 --> 01:10:13.051]  They just know I'm not going to.
[01:10:13.051 --> 01:10:14.733]  But I'm sure everybody can get a good idea.
[01:10:15.717 --> 01:10:37.165]  But I was told a lot more last week by a White House advisor to the President that they understand that the deep state wants to overthrow the economy, bankrupt everybody that's in Cloward and Piven, and they want race war, and they're sold out the CHICOMS, and they're betting against America, and it's very sad.
[01:10:37.165 --> 01:10:38.226]  It is disgusting.
[01:10:38.226 --> 01:10:38.986]  It is horrifying.
[01:10:40.845 --> 01:10:40.945]  877-789-2539.
[01:10:40.945 --> 01:10:41.025]  877-789-2539.
[01:10:41.025 --> 01:10:44.367]  877-789-2539 is for people in the United States and for folks overseas that are able to use 1-800 numbers.
[01:10:44.367 --> 01:10:45.128]  Some folks can't.
[01:10:45.128 --> 01:10:49.191]  If you're on one of those computer lines or whatever, you dial your country code 512-646-1776.
[01:10:49.191 --> 01:10:49.851]  512-646-1776 or 877-789-ALEX.
[01:10:49.851 --> 01:10:51.953]  And I just want to take your calls on all these issues.
[01:11:10.814 --> 01:11:20.176]  You know, I think the best thing for me to do is just read headlines in the rest of this segment.
[01:11:20.176 --> 01:11:31.799]  But do you understand that I've got Democrats trying to plant child porn on us?
[01:11:31.799 --> 01:11:35.500]  I've got Democrats trying to put me in prison right now.
[01:11:35.500 --> 01:11:39.801]  I've got them doing dirty tricks that are just over the top and for security reasons I won't get into on air.
[01:11:40.540 --> 01:11:43.182]  A lot of people hear that and they go, oh, well I better be scared and roll over.
[01:11:43.182 --> 01:11:46.204]  No, you better politically get in their face.
[01:11:46.204 --> 01:11:53.270]  You can't bow to bullies like this and let them piss on you and tell you it's rain running down your back.
[01:11:53.270 --> 01:12:00.015]  It's just going to get worse from there on out.
[01:12:00.015 --> 01:12:05.960]  Things are out of control and we've put up with so much that it's inexorably going to the next level.
[01:12:05.960 --> 01:12:07.561]  It gets worse and worse and worse.
[01:12:10.290 --> 01:12:14.151]  So people say, how are you handling all this?
[01:12:14.151 --> 01:12:27.294]  I expect to be attacked by tyrants, but I expect you to get upset about it and see it's a threat to you and your family, and to politically demand Congress take action and the President take action now.
[01:12:27.294 --> 01:12:32.316]  Because this is concerted, organized crime, now censoring the President's tweets.
[01:12:32.316 --> 01:12:35.837]  Two years ago, I saw them shadow banning the President's tweets.
[01:12:35.837 --> 01:12:37.417]  Now they just outright delete them.
[01:12:38.939 --> 01:12:43.820]  And now it's the Brazilian president.
[01:12:43.820 --> 01:12:45.761]  And now it's Tucker Carlson and Sean Hannity.
[01:12:45.761 --> 01:12:49.522]  In fact, that's the part I didn't get to right here.
[01:12:49.522 --> 01:12:50.662]  They are now censoring.
[01:12:50.662 --> 01:12:52.783]  I've got the tweets right here.
[01:12:52.783 --> 01:12:58.864]  And we're all so used to this now that there's not even articles about this hardly.
[01:12:58.864 --> 01:13:05.446]  About Tucker Carlson and Sean Hannity having their tweets deleted.
[01:13:05.446 --> 01:13:08.167]  About an admitted treatment now approved!
[01:13:09.807 --> 01:13:10.828]  There are no ventilators!
[01:13:10.828 --> 01:13:11.589]  There is no hope!
[01:13:11.589 --> 01:13:12.310]  You're all dead!
[01:13:12.310 --> 01:13:13.431]  10 million are dead!
[01:13:13.431 --> 01:13:14.151]  2 million are dead!
[01:13:14.151 --> 01:13:15.052]  100,000 are dead!
[01:13:15.052 --> 01:13:18.496]  They keep moving the number down.
[01:13:18.496 --> 01:13:18.936]  Here's one.
[01:13:18.936 --> 01:13:30.909]  Gretchen says, thank you at Twitter for banning incredibly dangerous news coming from some Fox News hosts like Laura Ingraham during the coronavirus pandemic.
[01:13:30.909 --> 01:13:33.011]  Sad to say a huge part of America believe it.
[01:13:34.656 --> 01:13:43.102]  And then they have a whole article about Ingram talking about a New York City hospital that was prescribing hydroxychloroquine and Z-Pak and zinc and getting great results.
[01:13:43.102 --> 01:13:54.251]  And there's a big article about how it's been flagged and how they're taking down their tweets.
[01:13:54.251 --> 01:13:55.492]  I mean, think about that, man.
[01:13:55.492 --> 01:13:56.633]  You talk about censorship.
[01:13:57.409 --> 01:14:09.758]  The president, national talk show host, and then the media lies, the media that doesn't have any viewers, and goes, oh look, Laura Ingraham and Sean Hannity are talking about this with doctors.
[01:14:09.758 --> 01:14:10.938]  They're not allowed to do that.
[01:14:10.938 --> 01:14:13.200]  That's not approved.
[01:14:13.200 --> 01:14:14.941]  What?
[01:14:14.941 --> 01:14:19.764]  Every time there's been an outbreak or a problem, people look at unapproved, promising treatments and things off-label.
[01:14:19.764 --> 01:14:23.207]  But now you're not supposed to because you're supposed to have no hope.
[01:14:27.281 --> 01:14:28.321]  Well now it's approved!
[01:14:28.321 --> 01:14:29.222]  But you know what?
[01:14:29.222 --> 01:14:30.262]  It doesn't even matter!
[01:14:30.262 --> 01:14:31.622]  There's still articles everywhere!
[01:14:31.622 --> 01:14:33.423]  They came out with one today!
[01:14:33.423 --> 01:14:34.543]  Attacking yours truly!
[01:14:34.543 --> 01:14:38.805]  In New Yorker Magazine.
[01:14:38.805 --> 01:14:40.805]  From the Department of Snake Oil.
[01:14:40.805 --> 01:14:43.526]  April 6th, just to be in the print edition.
[01:14:43.526 --> 01:14:45.747]  So they're five days ahead, six days ahead.
[01:14:45.747 --> 01:14:48.988]  Alex Jones bogus coronavirus cures!
[01:14:48.988 --> 01:14:51.029]  Boy, you don't have me saying cure, do you?
[01:14:51.029 --> 01:14:54.770]  And it goes on to attack the president for hydroxychloroquine because they already wrote the article.
[01:14:55.692 --> 01:14:56.613]  Unapproved drug.
[01:14:56.613 --> 01:14:59.895]  Oh, how dare the president, hydroxychloroquine.
[01:14:59.895 --> 01:15:02.757]  How dare him?
[01:15:02.757 --> 01:15:05.058]  How dare you?
[01:15:05.058 --> 01:15:07.900]  Zik doesn't help you.
[01:15:07.900 --> 01:15:09.101]  Sunshine doesn't help you.
[01:15:09.101 --> 01:15:10.902]  Vitamin D doesn't help you.
[01:15:10.902 --> 01:15:12.103]  Silver doesn't help you.
[01:15:12.103 --> 01:15:14.144]  Hydroxychloroquine doesn't help you.
[01:15:14.144 --> 01:15:20.889]  But Bill Gates, coming up in six months, he's got a vaccine for you that's gonna help you real good.
[01:15:22.304 --> 01:15:23.585]  You don't need oxygen.
[01:15:23.585 --> 01:15:25.046]  You don't need water.
[01:15:25.046 --> 01:15:26.647]  You don't need food.
[01:15:26.647 --> 01:15:28.208]  You need nothing but vaccines.
[01:15:28.208 --> 01:15:33.051]  You can live off nothing but vaccines.
[01:15:33.051 --> 01:15:36.234]  Of course, that's not true, but that's what they would tell you.
[01:15:36.234 --> 01:15:38.775]  Man cannot live by tainted vaccines alone.
[01:15:38.775 --> 01:15:42.538]  Crumb, the Eugenics Commander-in-Chief.
[01:15:45.109 --> 01:15:48.857]  Ah, there's the Washington Post.
[01:15:48.857 --> 01:15:50.440]  We're luckily admitting we're alright.
[01:15:50.440 --> 01:15:51.422]  Oh, sorry.
[01:15:51.422 --> 01:15:52.965]  You're wrong again, scum.
[01:15:52.965 --> 01:15:53.826]  On purpose you were wrong.
[01:15:55.822 --> 01:15:59.263]  Attention all radio listeners who still need food supplies.
[01:15:59.263 --> 01:16:08.624]  If you've thought about the implication of food-related supply chain disruptions and are concerned about the coming quarantines, this will be the most important message you will ever hear.
[01:16:08.624 --> 01:16:09.564]  Here's why.
[01:16:09.564 --> 01:16:13.625]  In the next few days, all Americans will face extremely hard choices.
[01:16:13.625 --> 01:16:21.746]  If we've learned anything from China and Italy, it's that quarantines and enforced lockdowns are just a few days away here in the U.S.
[01:16:21.746 --> 01:16:24.387]  Listen, while dehydrated food is becoming scarce,
[01:16:24.747 --> 01:16:29.912]  You can still get enough open pollinated heirloom seeds to grow a one acre crisis garden.
[01:16:29.912 --> 01:16:36.699]  The truth is, growing nutrient-dense vegetables in the days ahead may actually be the single most important thing you do.
[01:16:36.699 --> 01:16:42.104]  Go to survivalseedbank.com and watch the new video to understand the nature of the threat.
[01:16:42.104 --> 01:16:43.386]  This could be life-saving!
[01:16:43.746 --> 01:16:46.627]  Lockdowns can last from six to eight weeks.
[01:16:46.627 --> 01:16:48.228]  Get free bonus seeds.
[01:16:48.228 --> 01:16:50.109]  Special quarantine reports, too.
[01:16:50.109 --> 01:16:52.410]  Go to survivalseedbank.com.
[01:16:52.410 --> 01:16:54.251]  That's survivalseedbank.com.
[01:16:55.970 --> 01:17:01.054]  Fellow Patriots, my name is Todd Savage, founder of BlackRifleRealEstate.com.
[01:17:01.054 --> 01:17:06.418]  Like you, I was a prisoner of the Alt-Left Sanctuary State until one day I chose to leave my family to freedom.
[01:17:06.418 --> 01:17:14.464]  Today we live on a sustainable 20-acre homestead where we shoot, hunt, garden, and homeschool our children without the tyranny of the nanny state looking over us.
[01:17:14.464 --> 01:17:19.908]  If you're ready to flee the city to the freedom of Idaho or Montana, our Black Rifle Real Estate team is here to help.
[01:17:19.908 --> 01:17:21.889]  Go to BlackRifleRealEstate.com.
[01:17:21.889 --> 01:17:23.170]  That's BlackRifleRealEstate.com.
[01:17:25.225 --> 01:17:27.867]  Hunters, anglers, campers and survivalists.
[01:17:27.867 --> 01:17:28.948]  Get back to nature.
[01:17:28.948 --> 01:17:36.274]  Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow.com.
[01:17:36.274 --> 01:17:39.677]  Slingbow products are compact and models start from just 1798.
[01:17:39.677 --> 01:17:43.260]  They're perfect for your bug out bag or storing in your vehicle.
[01:17:43.260 --> 01:17:47.423]  Give yourself and your loved ones the excitement and tradition of slingbow.
[01:17:47.423 --> 01:17:52.007]  A new frontier in archery and truly modern twist on this primitive survival tool.
[01:17:52.007 --> 01:17:54.669]  Feel the thrill only at slingbow.com.
[01:17:58.377 --> 01:18:03.599]  Allergies, dander, asthma, germs, toxins.
[01:18:03.599 --> 01:18:07.881]  There are many reasons why we need to think about what is really in the air around us.
[01:18:07.881 --> 01:18:12.322]  We may not be able to stop breathing, but we can control what's in the air we breathe.
[01:18:12.322 --> 01:18:20.725]  The revolutionary Alexa Pure Breathe air filtration system is a powerful ally in the fight against the dangerous toxins and viruses in the air.
[01:18:20.725 --> 01:18:27.948]  Powerful, quiet, and effective, the Breathe uses a four-step purification process to help you breathe easier and cleaner.
[01:18:28.368 --> 01:18:31.970]  Similar systems could cost hundreds to even thousands of dollars.
[01:18:31.970 --> 01:18:37.293]  But the Alexa Pure Breeze air purification is the best and most affordable bar none.
[01:18:37.293 --> 01:18:45.377]  The breeze and the ion cluster patented technology used in the system eliminate up to 99.97% of airborne contaminants.
[01:18:45.377 --> 01:18:50.739]  Get the Alexa Pure Breeze today and save big on a world-class air filtration system for your home.
[01:18:50.739 --> 01:18:53.021]  Don't keep breathing toxic or dangerous air.
[01:18:53.021 --> 01:18:55.042]  Get this special today at Infowarsstore.com.
[01:18:57.742 --> 01:19:02.044]  Getting your protein has never been easier with InfoWars Life Protein Bars.
[01:19:02.044 --> 01:19:09.266]  Available in delicious chocolate peanut butter and vanilla coconut flavors, these protein bars are the perfect answer for a snack on the go.
[01:19:09.266 --> 01:19:15.849]  InfoWars Life Protein Bars are nutrient-packed, portable protein bars for an easy-to-eat and great-tasting meal.
[01:19:15.849 --> 01:19:18.230]  Pre- or post-workout fuel alternative.
[01:19:18.650 --> 01:19:29.016]  At just 240 calories per bar and 15 grams of protein each, these bars will be your favorite at-hand snack for at home, in the car, at work, or on the go.
[01:19:29.016 --> 01:19:30.597]  For getting nutrients easily.
[01:19:30.597 --> 01:19:38.602]  High in fiber and nutrients with wholesome ingredients for high-level performance with great taste, such as whey protein and chocolate compounds.
[01:19:38.602 --> 01:19:42.604]  These protein bars can help you with the boost you need to reach your goals.
[01:19:42.964 --> 01:19:45.885]  Protein packed and full of fiber and healthy ingredients.
[01:19:45.885 --> 01:19:51.667]  Info Wars Life Protein Bars are a can't-miss snack for any Info Warrior serious about their energy.
[01:19:51.667 --> 01:19:59.749]  Try both flavors today at InfoWarsStore.com.
[01:19:59.749 --> 01:20:02.370]  You're listening to the Alex Jones Show!
[01:20:20.714 --> 01:20:29.399]  From the front lines of the Information War, it's Alex Jones.
[01:20:29.399 --> 01:20:37.083]  Standing high atop the New York skyline, from Midtown Manhattan,
[01:20:38.164 --> 01:20:42.426]  He's a red foreboding tower.
[01:20:42.426 --> 01:20:54.651]  No, Sauron's fortress has not descended like an alien spacecraft landing on the island.
[01:20:54.651 --> 01:20:57.032]  It is the Empire States Building.
[01:20:58.174 --> 01:21:13.302]  Festooned with a gigantic red siren with a white slit of a cat's eye to terrify and drive New Yorkers into fear.
[01:21:13.302 --> 01:21:17.704]  The red scary lights of the police.
[01:21:17.704 --> 01:21:25.468]  Stories up on DredgeReport.com from Summit.News and Paul Joseph Watson.
[01:21:25.468 --> 01:21:25.848]  And now,
[01:21:27.119 --> 01:21:28.780]  What is AP reporting?
[01:21:28.780 --> 01:21:30.121]  President Cuomo!
[01:21:30.121 --> 01:21:36.585]  His new dream for those fretting over Biden.
[01:21:36.585 --> 01:21:41.187]  He's a hero.
[01:21:41.187 --> 01:21:44.489]  As he power grabs massively and lies about the president.
[01:21:44.489 --> 01:21:47.571]  And Maddow says, there's no hospital ship coming to New York.
[01:21:47.571 --> 01:21:50.172]  We have that video coming up later.
[01:21:50.172 --> 01:21:52.454]  She said last week, there's no ship coming.
[01:21:52.454 --> 01:21:54.175]  There's no ship coming next week.
[01:21:54.175 --> 01:21:56.176]  Well, it's there, you lying witch.
[01:22:04.940 --> 01:22:07.382]  Let's talk to Dan in New York.
[01:22:07.382 --> 01:22:08.203]  Dan, you're on the air.
[01:22:08.203 --> 01:22:11.407]  What do you think about this?
[01:22:11.407 --> 01:22:12.608]  Cuomo is Satan.
[01:22:12.608 --> 01:22:16.612]  He's trying to hide his hooves and his split tongue.
[01:22:16.612 --> 01:22:20.576]  I've been living in New York under his tyranny for a long time now.
[01:22:21.577 --> 01:22:34.661]  Um, you know, there's so much that I want to say, but, you know, I've called you before and I told you about the 10 Planks to Communism, and now that they have a hold on rents, mortgages, and they're working on tax liens as well.
[01:22:34.661 --> 01:22:39.783]  They're getting the final planks of the 10 Planks to the Communist Manifesto completed.
[01:22:39.783 --> 01:22:41.183]  Guys, please put me on the 10 Planks.
[01:22:41.183 --> 01:22:42.184]  Exactly.
[01:22:42.184 --> 01:22:49.706]  And everyone, even conservative-minded people here in New York, are happy about this rent suspension, when it should be a rent renegotiation.
[01:22:50.346 --> 01:22:56.749]  What they're doing is the government is now saying they're the ones in control of addiction.
[01:22:56.749 --> 01:22:59.991]  And now they're going to nationalize everything.
[01:22:59.991 --> 01:23:01.112]  You're absolutely right.
[01:23:01.112 --> 01:23:04.093]  Trump is saying just give all these companies money.
[01:23:04.093 --> 01:23:08.055]  But instead the Democrats want nationalization and that's what Cuomo's doing.
