[00:00.000 --> 00:04.440]  It's a good idea, but thanks to Inventek, no one's going to cash in but me.
[44:34.300 --> 44:38.300]  and the first thing they talk about is how to keep it secret, the North American Union,
[44:38.300 --> 44:40.300]  how to enslave us, how to taxes.
[44:40.300 --> 44:48.300]  I mean, all I look, all I'm doing is covering the facts.
[44:48.300 --> 44:55.300]  Building seven, they love to poo-poo us, they love to make fun of us,
[44:55.300 --> 44:59.300]  and now we've got this BBC and CNN and another BBC.
[44:59.300 --> 45:03.300]  By the way, it did turn out that the BBC did have some archives up online.
[45:03.300 --> 45:04.300]  They did indeed pull those.
[45:04.300 --> 45:06.300]  They're admitting they pulled them.
[45:06.300 --> 45:11.300]  They're claiming that everything malfunctioned and they don't have any of the videotapes of 9-11,
[45:11.300 --> 45:16.300]  and their response is blown up and made the story a hundred.
[45:16.300 --> 45:22.300]  And I'm serious when I say that, more than a hundred times bigger.
[45:22.300 --> 45:29.300]  And now dig.com, it is not just the people that the quote, you know, dig brigades.
[45:29.300 --> 45:32.300]  How dig works is they have these select members.
[45:32.300 --> 45:36.300]  The longer you've been a member, the more, quote, power you have to deep six a story.
[45:36.300 --> 45:41.300]  You can have 2,000, 3,000, 5,000, doesn't matter, 10,000, votes for your story.
[45:41.300 --> 45:47.300]  Just five or six of these selected little enforcers that they might go and vote against you
[45:47.300 --> 45:49.300]  and your story's gone.
[45:49.300 --> 45:51.300]  But then dig lies and claims.
[45:51.300 --> 45:53.300]  Again, this is in the top 50 websites.
[45:53.300 --> 45:55.300]  Drudge is like 500 and something to give you an idea.
[45:55.300 --> 45:59.300]  I know I've talked a lot about this, but it's important.
[45:59.300 --> 46:04.300]  They did claims where digital democracy and it's what you want to read,
[46:04.300 --> 46:09.300]  what you think's most important, you vote the news up to the main page.
[46:09.300 --> 46:12.300]  I didn't, frankly, know what dig was six months ago.
[46:12.300 --> 46:14.300]  I'd seen links to it.
[46:14.300 --> 46:17.300]  I knew it was, you know, the basics.
[46:17.300 --> 46:21.300]  Then about three months ago, I saw headlines on other websites.
[46:21.300 --> 46:25.300]  Prison Planet banned from dig.
[46:25.300 --> 46:30.300]  And I went and saw their press release and they said, yes, this website is a fake news site.
[46:30.300 --> 46:32.300]  Prison Planet, it's not real.
[46:32.300 --> 46:37.300]  And it's a spam site and it's banned.
[46:37.300 --> 46:42.300]  Well, then people emailed and contacted them and we put a story up and dig,
[46:42.300 --> 46:44.300]  then allowed our stories to be reposted.
[46:44.300 --> 46:48.300]  But what happens is they get 1,000 votes, they go to the main page,
[46:48.300 --> 46:51.300]  and then normally something with 100 votes goes to the main page.
[46:51.300 --> 46:56.300]  And then, I mean, we're trying to get screenshots of it.
[46:56.300 --> 47:00.300]  It will go up for one minute and they take it down.
[47:00.300 --> 47:02.300]  So the BBC is calling Google.
[47:02.300 --> 47:08.300]  They took down the other clip of the other BBC channel live saying Building 7 had fallen 20 plus minutes before it did.
[47:08.300 --> 47:10.300]  They've taken down the CNN.
[47:10.300 --> 47:12.300]  We've been having to repost it.
[47:12.300 --> 47:15.300]  I mean, they're literally folks in real time jerking all this.
[47:15.300 --> 47:20.300]  They basically made archive.org, take down the archives of everything that happened.
[47:20.300 --> 47:25.300]  So first they say we've lost the tapes, then they go to archive.org and say take it down.
[47:25.300 --> 47:28.300]  I mean, how obvious does that get?
[47:28.300 --> 47:31.300]  We've lost the tapes.
[47:31.300 --> 47:36.300]  But we've got a story up on PrismPlanet.com,
[47:36.300 --> 47:46.300]  headline, media blacklist BBC fiasco Google digs censor 9-11 truth,
[47:46.300 --> 47:50.300]  and it's all being censored.
[47:50.300 --> 47:58.300]  And you go into that, we found on the BBC's own policy site that they record every news event on two different machines and computer.
[47:58.300 --> 48:02.300]  As I told you, I've talked to archivist and another one I don't know is contacted us.
[48:02.300 --> 48:07.300]  I need to vet and get him on.
[48:07.300 --> 48:13.300]  But the point is that, I mean, do you believe BBC on their number one new channel didn't tape that day?
[48:13.300 --> 48:16.300]  And then it turned out they had it posted on their site, so they took it down.
[48:16.300 --> 48:19.300]  Then they go to archive and it gets taken down.
[48:19.300 --> 48:21.300]  And then they're taking it down everywhere else.
[48:21.300 --> 48:23.300]  Oh, they're not worried about this, are they?
[48:23.300 --> 48:27.300]  Oh, it's no big deal.
[48:27.300 --> 48:30.300]  Because they know this can bring them down.
[48:30.300 --> 48:37.300]  And listen, don't worry, guys, show everybody that you're a bunch of globalists, show them that you're a bunch of censors, show them you're scared.
[48:37.300 --> 48:38.300]  Thank you.
[48:38.300 --> 48:40.300]  You made the story 100 times bigger.
[48:40.300 --> 48:42.300]  You're not very sophisticated.
[48:42.300 --> 48:50.300]  You're living in the world of 10, 20 years ago where you had media superiority, where no one could challenge you, where no one could call you out.
[48:50.300 --> 48:53.300]  So just keep acting like that.
[48:53.300 --> 49:06.300]  Because we've got millions of people watching everything you do, researching you, tracking you, tracking everything you do, scanning the information, finding more every second.
[49:06.300 --> 49:08.300]  We know you're the terrorist.
[49:08.300 --> 49:10.300]  We know you're behind 9-11 government.
[49:10.300 --> 49:13.300]  We know you're corrupt and we're not going to stop.
[49:13.300 --> 49:14.300]  Period.
[49:14.300 --> 49:17.300]  Period.
[49:17.300 --> 49:19.300]  Let's go ahead and talk to Josh and Philly.
[49:19.300 --> 49:21.300]  Thanks for holding.
[49:21.300 --> 49:23.300]  Hey, Alex, how are you doing?
[49:23.300 --> 49:24.300]  Good, sir.
[49:24.300 --> 49:25.300]  John.
[49:25.300 --> 49:26.300]  Okay, well, sorry.
[49:26.300 --> 49:27.300]  No problem.
[49:27.300 --> 49:28.300]  Great work.
[49:28.300 --> 49:32.300]  The reason why I'm calling today is to talk about the New World Order and One Religion.
[49:32.300 --> 49:37.300]  But before I do that, the last time I spoke to you about a month ago, we talked about Bank of America.
[49:37.300 --> 49:39.300]  I worked for them for a while.
[49:39.300 --> 49:45.300]  And the program, you actually, about a program where Mexicans can send money back to Mexico.
[49:45.300 --> 49:47.300]  The name of the program is actually Statesend.
[49:47.300 --> 49:48.300]  You caught me by surprise.
[49:48.300 --> 49:50.300]  I forgot the name of it.
[49:50.300 --> 49:52.300]  It's actually on their website.
[49:52.300 --> 49:57.300]  And Mexican illegals can send money back to Mexico.
[49:57.300 --> 49:59.300]  But citizens can.
[49:59.300 --> 50:00.300]  Let's be clear.
[50:00.300 --> 50:03.300]  Citizens have to show all this ID, but the illegals don't.
[50:03.300 --> 50:06.300]  And that is a corporate government policy.
[50:06.300 --> 50:08.300]  Yes, yes, yes.
[50:08.300 --> 50:16.300]  But the reason why I'm calling today is you had mentioned that one of the objectives of the New World Order is to establish One Religion.
[50:16.300 --> 50:31.300]  And I'm actually looking, I bookmarked an article from February 19th from the Times London online about the Anglican Church looking to unite with the Roman Catholic Church under the leadership of the Pope.
[50:31.300 --> 50:32.300]  Yeah, I saw that.
[50:32.300 --> 50:33.300]  Pretty scary.
[50:33.300 --> 50:39.300]  And I'm an Episcopalian and our church has been going through a lot of turmoil over the last few years.
[50:39.300 --> 50:43.300]  There's an organization called the American Anglican Council.
[50:43.300 --> 50:49.300]  That is, again, some of the things that the mainline church is doing, like a marriage and things like that.
[50:49.300 --> 50:57.300]  But I just, I didn't realize that you saw that article, but it's shocking how the things that you mentioned about One Religion.
[50:57.300 --> 51:02.300]  You know, I just saw that article and I immediately thought of you.
[51:02.300 --> 51:03.300]  I wasn't ignoring you.
[51:03.300 --> 51:06.300]  My producer comes in and starts talking to me while I'm live on air.
[51:06.300 --> 51:09.300]  And so I had to, I didn't hear the last 10 seconds of what you said.
[51:09.300 --> 51:10.300]  Say it again.
[51:10.300 --> 51:13.300]  No, I'm just saying that I heard you mention One Religion.
[51:13.300 --> 51:20.300]  I don't know if it was on George Norrie's program or on your program about the New World Order establishing One Religion.
[51:20.300 --> 51:25.300]  And then when I saw that article, I immediately thought of you and I don't know.
[51:25.300 --> 51:26.300]  Oh, no.
[51:26.300 --> 51:32.300]  I mean, the Catholic Church has said all religions are the same and called for One World Government, New World Order.
[51:32.300 --> 51:34.300]  So I'll comment on that on the other side.
[51:34.300 --> 51:35.300]  Thanks for the call.
[51:35.300 --> 51:41.300]  It's here after a year in production and traveling the distant lands.
[51:41.300 --> 51:44.300]  My new film Terror Storm is complete.
[51:44.300 --> 51:52.300]  Shocking, declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[51:52.300 --> 52:00.300]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[52:00.300 --> 52:03.300]  Terror Storm Chronicles, the lies that took us to war in Iran.
[52:03.300 --> 52:12.300]  A White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[52:12.300 --> 52:16.300]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[52:16.300 --> 52:18.300]  It's an anthology of government crimes.
[52:18.300 --> 52:22.300]  Terror Storm is a film that everyone who wants to be truly informed must see.
[52:22.300 --> 52:31.300]  Get your copy today on Infowars.com or PrisonPlanet.com or by calling toll-free 1-888-2533-139.
[52:31.300 --> 52:35.300]  Or watch it right now online at PrisonPlanet.tv.
[52:35.300 --> 52:40.300]  The Berkey Security Pack is your one-stop solution for unexpected emergencies.
[52:40.300 --> 52:45.300]  It provides you with purified water, light, power, and communications ability.
[52:45.300 --> 52:51.300]  The security pack includes a Berkey light water purifier, an LED base, two Berkey sport filtration bottles,
[52:51.300 --> 52:59.300]  the Berkey battery adapter, the Berkey MP solar charger, as well as a backup set of two black Berkey purification elements.
[52:59.300 --> 53:05.300]  The Berkey security pack is important every day and a must during emergencies because it provides purified water,
[53:05.300 --> 53:13.300]  long-term low-energy lighting, backup battery power for your Berkey LEDs, free long-term solar power for communications devices
[53:13.300 --> 53:18.300]  such as radios, walkie-talkies, and cell phones, as well as power for small applications.
[53:18.300 --> 53:22.300]  Get the one-stop solution for your emergency and everyday needs.
[53:22.300 --> 53:32.300]  The Berkey security pack, a retail value of $518 for only $399 by calling new millennium at 888-803-4438.
[53:32.300 --> 53:34.300]  Not yet available in Iowa.
[53:34.300 --> 53:38.300]  For years, you've been hearing about Herbal Healer Academy,
[53:38.300 --> 53:43.300]  and Helleth remains a leader in effective alternative and natural medicine and education.
[53:43.300 --> 53:47.300]  But how can they continue to hold that title for years on end?
[53:47.300 --> 53:56.300]  And the answer is high quality and huge selection. Just visit herbalhealer.com and shop online or request a free catalog.
[53:56.300 --> 53:59.300]  You're bound to find the alternative you're looking for.
[53:59.300 --> 54:04.300]  Did you know that Herbal Healer carries the latest, safest, and effective weight loss products?
[54:04.300 --> 54:10.300]  You can also count on Herbal Healer for the largest selection of safe and natural supplements just for children.
[54:10.300 --> 54:12.300]  And don't forget your pets.
[54:12.300 --> 54:18.300]  Herbal Healer even has natural mineral supplements for all your animals, including horses, cows, and birds.
[54:18.300 --> 54:22.300]  Take a peek at their online calendar and you're sure to find everything you need,
[54:22.300 --> 54:25.300]  and maybe something you didn't realize you needed.
[54:25.300 --> 54:30.300]  Visit HerbalHealer.com and don't forget to sign up for the free Herbal Healer newsletter.
[54:30.300 --> 54:43.300]  HerbalHealer.com, working with the power of nature.
[55:00.300 --> 55:25.300]  Welcome back.
[55:25.300 --> 55:33.300]  Glad you joined us today. Just finishing up John and Philly's question.
[55:33.300 --> 55:35.300]  Yeah, just type into Google.
[55:35.300 --> 55:38.300]  Pope calls for New World Order. You'll get Pope John Paul doing it.
[55:38.300 --> 55:44.300]  You'll get the Pope before him doing it. You'll get Rat Singer or Benedict doing it.
[55:44.300 --> 55:50.300]  And they had like 130 something religions meet last year and said it was a one world religion.
[55:50.300 --> 55:58.300]  And the UN is calling for a one world religion. And it's scary stuff. It's all about centralization.
[55:58.300 --> 56:03.300]  And people can debate whether the Catholic Church was the New World Order or is the New World Order.
[56:03.300 --> 56:10.300]  A lot of Catholics, great people, I'm just saying there's no doubt that the Catholic Church today is total New World Order.
[56:10.300 --> 56:15.300]  I mean, you cannot debate that. They're calling for a New World Order.
[56:15.300 --> 56:19.300]  But so are the major Protestant groups. They're just bought and paid for.
[56:19.300 --> 56:26.300]  And it's just horrible. Let's go ahead and talk to Rita in Illinois. Thanks for holding Rita.
[56:26.300 --> 56:29.300]  Good afternoon, Alex. How are you today?
[56:29.300 --> 56:30.300]  Pretty good.
[56:30.300 --> 56:36.300]  Good. I hope so. And I wanted to call you the day after you had that guy Smith on there.
[56:36.300 --> 56:41.300]  Yes, the propagandist over at the BBC. Winston Smith should be his real name.
[56:41.300 --> 56:47.300]  Yes, it's it. And you know what? I worked for a life insurance company. I took the training.
[56:47.300 --> 56:55.300]  And I read a book by Delgado. And I also, well, the other, the big thing is, man, you had him a couple of times.
[56:55.300 --> 56:59.300]  And the thing is, silence. And when somebody's hiding something from you, this is an old trick.
[56:59.300 --> 57:04.300]  But when somebody's hiding something from you, when he says, well, I need some proof, I hear you, but I don't believe you.
[57:04.300 --> 57:10.300]  You say, well, and then you give him proof, you know? And then before I hear you, but I don't believe you, you give him more proof.
[57:10.300 --> 57:15.300]  And you keep saying it. And you say, well, I did give you proof. And then leave silence.
[57:15.300 --> 57:22.300]  Let him sit there. Because if you don't fill in that gap at that point, someone who's hiding something, they'll just start, you know,
[57:22.300 --> 57:26.300]  they don't know what to say because you're not, you know, filling in that little thing.
[57:26.300 --> 57:30.300]  It's a conversational matter. The other thing was the book from Conversational Magic.
[57:30.300 --> 57:35.300]  No, I've been interrogated by police and border people and they'll ask a question.
[57:35.300 --> 57:39.300]  And then you say something back and then they just pause and look at you.
[57:39.300 --> 57:43.300]  Or they ask a question and then scream at you and tell you you're not supposed to talk.
[57:43.300 --> 57:47.300]  But, you know, I don't think about tactics. I just kind of go at it.
[57:47.300 --> 57:49.300]  But I should think about tactics when I'm...
[57:49.300 --> 57:52.300]  But you're on top now. You're on the top now.
[57:52.300 --> 57:55.300]  And the thing is, you guys should have laughed at him when Paul brought that up.
[57:55.300 --> 58:02.300]  No, a dropout, that's a new one on me. You guys should have all laughed because he was doing that.
[58:02.300 --> 58:06.300]  I know, but see, but see, they all go off those tactics in those books. I just go at it from the gut.
[58:06.300 --> 58:09.300]  Well, yeah, but you still, you got to hit them every way you can.
[58:09.300 --> 58:12.300]  No, I agree. I just don't think about tactics. I should.
[58:12.300 --> 58:16.300]  I have one more thing. There is this... I thought it was a new song.
[58:16.300 --> 58:19.300]  Did you hear that David Icky music video with you on it?
[58:19.300 --> 58:21.300]  No, I haven't heard it.
[58:21.300 --> 58:26.300]  Oh, it's called David Icky and it goes Problem Reaction Solution.
[58:26.300 --> 58:31.300]  It's a catchy little song. If I can try this, I got a little piece of it.
[58:31.300 --> 58:33.300]  My manipulation technique...
[58:33.300 --> 58:34.300]  You're in it.
[58:34.300 --> 58:39.300]  And it works like this. And it works like this.
[58:39.300 --> 58:43.300]  First of all, you create a problem when you get someone else to play for it.
[58:43.300 --> 58:44.300]  Listen, do me a favor.
[58:44.300 --> 58:45.300]  What?
[58:45.300 --> 58:47.300]  Just email it to me and we'll get it posted.
[58:47.300 --> 58:51.300]  How do you do that? I mean, because you've got that form now.
[58:51.300 --> 58:56.300]  You can enter links. You can enter the link to where it's located.
[58:56.300 --> 59:00.300]  It's just on YouTube. It's David Icky, Problem Reaction Solution. Easy to remember.
[59:00.300 --> 59:03.300]  Okay, we'll try to find it. I appreciate it.
[59:03.300 --> 59:07.300]  Yeah, we had to put that form thing up there because the email was crashing.
[59:07.300 --> 59:10.300]  I'm not kidding. The other day we cleaned that email.
[59:10.300 --> 59:39.300]  It was like $150,000 in there.
[01:00:10.300 --> 01:00:30.300]  That's $150,000.
[01:00:30.300 --> 01:00:40.300]  Big Brother, mainstream media, government cover-ups.
[01:00:40.300 --> 01:00:43.300]  You want answers? Well, so does he.
[01:00:43.300 --> 01:01:06.300]  He's Alex Jones on the GCN Radio Network. And now, live from Austin, Texas, Alex Jones.
[01:01:06.300 --> 01:01:09.300]  Welcome back, ladies and gentlemen. Welcome.
[01:01:09.300 --> 01:01:15.300]  It is high noon coming to you from the great state of Texas transmitting against tyranny worldwide.
[01:01:15.300 --> 01:01:18.300]  Continued open phones throughout the full three hours today.
[01:01:18.300 --> 01:01:20.300]  We'll have for about 30 minutes.
[01:01:20.300 --> 01:01:25.300]  The lawyer has broken the huge government involvement news concerning Oklahoma City.
[01:01:25.300 --> 01:01:30.300]  We'll be joining us with new revelations coming up in the next hour.
[01:01:30.300 --> 01:01:34.300]  Let's continue with your calls. Let's talk to Tom in Florida.
[01:01:34.300 --> 01:01:36.300]  Tom, you're on the air.
[01:01:36.300 --> 01:01:42.300]  Thank you, Alex, for having me on. You have my sincerest regards concerning what you're doing there,
[01:01:42.300 --> 01:01:46.300]  and I think you're an American hero.
[01:01:46.300 --> 01:01:51.300]  This might be out in the left field, but I keep hearing this animal ID thing,
[01:01:51.300 --> 01:01:54.300]  and I keep hearing something about the mention of registration.
[01:01:54.300 --> 01:02:00.300]  I'm sure you're familiar, and hopefully the listeners are familiar with the automobile registration,
[01:02:00.300 --> 01:02:05.300]  which occurs in every state, and which is effectively where you turn your vehicle over.
[01:02:05.300 --> 01:02:07.300]  You turn the legal over.
[01:02:07.300 --> 01:02:12.300]  And then you get a receipt of the deed, a receipt of the title.
[01:02:12.300 --> 01:02:17.300]  You turn legal title over to the state, and you receive equitable title.
[01:02:17.300 --> 01:02:22.300]  Let me explain how this works, and cops listening will laugh at this because they don't know.
[01:02:22.300 --> 01:02:25.300]  But any lawyer worth their salt or any constitutional scholar knows this.
[01:02:25.300 --> 01:02:30.300]  It's admiralty law, which the modern name is administrative law.
[01:02:30.300 --> 01:02:38.300]  It's a contract that then becomes a privilege because you become a war of the state with the license.
[01:02:38.300 --> 01:02:44.300]  And again, Supreme Court rulings, state rulings, you have a right to travel.
[01:02:44.300 --> 01:02:47.300]  But in 1918 was the first case.
[01:02:47.300 --> 01:02:53.300]  They said automobiles were new and were not the general and agreed upon conveyance.
[01:02:53.300 --> 01:02:57.300]  So they couldn't tax horses and things like that,
[01:02:57.300 --> 01:03:01.300]  but they could tax cars because the argument was they were messing up the roads.
[01:03:01.300 --> 01:03:05.300]  These rich people have cars. Let's make them pay a fee.
[01:03:05.300 --> 01:03:07.300]  And then that's how it began.
[01:03:07.300 --> 01:03:15.300]  Right. And basically, with the registration of the animals, it could possibly be the exact same thing.
[01:03:15.300 --> 01:03:21.300]  Well, sir, if you don't announce, within two days that a cow died,
[01:03:21.300 --> 01:03:24.300]  or if you don't announce that a chicken died, you have to report all this.
[01:03:24.300 --> 01:03:29.300]  This is like April 15, 365 days a year.
[01:03:29.300 --> 01:03:31.300]  There's auditors that come out to your property.
[01:03:31.300 --> 01:03:37.300]  And if you don't announce that, it's a $1,000 day fine for each infraction.
[01:03:37.300 --> 01:03:42.300]  But so somebody with 200 chickens or somebody with 30 cows, that's the average, about 35 cows.
[01:03:42.300 --> 01:03:46.300]  People, by the way, that have that just use that to pay the property tax.
[01:03:46.300 --> 01:03:48.300]  They don't even make money off the cows.
[01:03:48.300 --> 01:03:52.300]  In fact, most people that got 300 acres and 40, 50 cows,
[01:03:52.300 --> 01:03:56.300]  they end up going out of business because you can't even pay the bills for the property with that.
[01:03:56.300 --> 01:04:02.300]  And then they go work jobs at the power plant or at the prison or as a postman or whatever,
[01:04:02.300 --> 01:04:07.300]  or cowboying on three or four other ranches to try to keep your own family property.
[01:04:07.300 --> 01:04:10.300]  Believe me, folks, I've lived through it. I don't want to go off into it.
[01:04:10.300 --> 01:04:13.300]  So it's land, land rich, money poor.
[01:04:13.300 --> 01:04:16.300]  And so you've got to have a $10 tag per chicken.
[01:04:16.300 --> 01:04:18.300]  A chicken that's worth $4.
[01:04:18.300 --> 01:04:21.300]  Now, Big Agra wrote the law. They don't have to have tags on any of them.
[01:04:21.300 --> 01:04:23.300]  They have premise societies.
[01:04:23.300 --> 01:04:26.300]  But I'm sorry, I'm interrupting you, but I just want folks to know. Go ahead.
[01:04:26.300 --> 01:04:30.300]  Well, it appears then that they own your cow. They have legal rights.
[01:04:30.300 --> 01:04:33.300]  Yes. No, it's the end. Look, it's the end of farming and ranching.
[01:04:33.300 --> 01:04:35.300]  You think it was gone already? No, it's over.
[01:04:35.300 --> 01:04:40.300]  And there's no law. They're just saying it's a law and the people are complying like cowardly pieces of trash.
[01:04:40.300 --> 01:04:45.300]  Can I mention, there is a fellow who you may be aware of. His name is Alfred Adask.
[01:04:45.300 --> 01:04:50.300]  He's been reading law for about 23 years, and he would be an absolutely wonderful guy.
[01:04:50.300 --> 01:04:54.300]  I need to get it. I believe I had him on about four or five years ago. I need to get him on again very, very well.
[01:04:54.300 --> 01:04:57.300]  He's out of Dallas. Yeah, he's wonderful.
[01:04:57.300 --> 01:05:04.300]  He has a wonderful way of explaining how we have all been transferred voluntarily out of public law into private law
[01:05:04.300 --> 01:05:10.300]  and how all our municipalities are literally just North and corporations all linked together in a form of like strategy.
[01:05:10.300 --> 01:05:18.300]  Now, that's all true. The problem is, is that people think you can do filings and things to disprove this.
[01:05:18.300 --> 01:05:23.300]  They just send men with machine guns to kill you. They don't even follow their own laws.
[01:05:23.300 --> 01:05:26.300]  Thirty years ago they did. Now it's just lawlessness.
[01:05:34.300 --> 01:05:37.300]  It's here after a year in production and traveling to distant lands.
[01:05:37.300 --> 01:05:40.300]  My new film Terror Storm is complete.
[01:05:40.300 --> 01:05:46.300]  Shocking, declassified government documents prove that western governments are orchestrating terror attacks against their own populations
[01:05:46.300 --> 01:05:48.300]  as a pretext to enslave them.
[01:05:48.300 --> 01:05:55.300]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[01:05:55.300 --> 01:06:04.300]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spy, secret police torture,
[01:06:04.300 --> 01:06:07.300]  the latest 9-11 information, and much, much more.
[01:06:07.300 --> 01:06:11.300]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[01:06:11.300 --> 01:06:13.300]  It's an anthology of government crimes.
[01:06:13.300 --> 01:06:18.300]  Terror Storm is a film that everyone who wants to be truly informed must see.
[01:06:18.300 --> 01:06:27.300]  Get your copy today on Infowars.com or PrisonPlanet.com, or by calling toll-free 1-888-2533-139,
[01:06:27.300 --> 01:06:54.300]  or watch it right now online at PrisonPlanet.tv.
[01:06:58.300 --> 01:07:03.300]  It's so powerful it removes cysts, parasites, harmful bacteria, and chemicals like herbicides and pesticides.
[01:07:03.300 --> 01:07:07.300]  It even reduces radon 2-22 lead and other heavy metals.
[01:07:07.300 --> 01:07:14.300]  This lightweight, rugged 22-ounce filter is small enough to go everywhere, so take one to work and keep another in your glovebox for emergencies.
[01:07:14.300 --> 01:07:16.300]  Get the Berkey Sport for only $39.
[01:07:16.300 --> 01:07:22.300]  Get two for $70 by calling new millennium at triple-eight-803-4438.
[01:07:22.300 --> 01:07:30.300]  Order your Berkey Sport today. That's toll-free, triple-eight-803-4438, or order on the web at BerkeyWater.com.
[01:07:31.300 --> 01:07:34.300]  Hey, folks. Alex Jones here with an important question.
[01:07:34.300 --> 01:07:37.300]  When was the last time you used pure soap?
[01:07:37.300 --> 01:07:43.300]  I mean the hard-to-find kind that's all natural and not full of corrosive toxins and chemicals and detergents
[01:07:43.300 --> 01:07:47.300]  that just dry out your skin and have been connected to very serious health problems?
[01:07:47.300 --> 01:07:50.300]  Let me tell you something about the Calben Pure Soap Company.
[01:07:50.300 --> 01:07:54.300]  There's 100% unconditional guarantee on all their wonderful products.
[01:07:54.300 --> 01:08:01.300]  They're all natural, they're triple-concentrated, they're factory-direct, factory-owned, and operated since 1947.
[01:08:01.300 --> 01:08:05.300]  Earth-friendly, pure soaps for bathing, laundry, and kitchen.
[01:08:05.300 --> 01:08:08.300]  Try pure soap once and I'll guarantee you'll never use anything else.
[01:08:08.300 --> 01:08:14.300]  Now for the first time Calben Pure Soap is available, factory-direct to you and your family.
[01:08:14.300 --> 01:08:24.300]  Save up to 85% off supermarket and retail store prices. Call today for a Calben Soap catalog at 1-800-340-7091.
[01:08:24.300 --> 01:08:45.300]  Or on the web at calbenpuresoap.com.
[01:08:45.300 --> 01:08:52.300]  Welcome back, we're live, ladies and gentlemen. 8 minutes, 17 seconds into this second hour.
[01:08:52.300 --> 01:08:58.300]  We're going to go right back to your calls, Ron, John, Skip, Jenna, Todd, and many others that are patiently holding for the next 10 minutes.
[01:08:58.300 --> 01:09:01.300]  We are joined by Penny Langford.
[01:09:01.300 --> 01:09:10.300]  And we are honored to have her on with us, District Political Director for Congressman Ron Paul right here in the great state of Texas.
[01:09:10.300 --> 01:09:15.300]  Down there by Rockport is their offices, makes me want to go fishing, just hearing the name Rockport.
[01:09:15.300 --> 01:09:20.300]  And she's going to be one of the keynote speakers tomorrow at the Big Texas Independence Day Rally.
[01:09:20.300 --> 01:09:29.300]  This isn't a rally just to wave plastic Texas flags. This is a true rally for Texas to survive and not be swallowed into the North American Union.
[01:09:29.300 --> 01:09:34.300]  The Security and Prosperity Partnership, the Animal ID, and the whole shooting match.
[01:09:34.300 --> 01:09:37.300]  And Penny, thank you for spending time with us today.
[01:09:37.300 --> 01:09:39.300]  Thanks, Alice. Alex, I'm glad to be here.
[01:09:39.300 --> 01:09:45.300]  You have a lot going on with Ron Paul getting ready for his big presidential run, don't you?
[01:09:45.300 --> 01:09:59.300]  We're pretty busy. And, you know, an exploratory is when you put your feelers out and see if you have a name ID and basically a chance to actually, you know, run for president.
[01:09:59.300 --> 01:10:05.300]  And we have been overwhelmed with, you know, contributions and names of people who want to help.
[01:10:05.300 --> 01:10:08.300]  And Lou Dobbs, two nights in a row?
[01:10:08.300 --> 01:10:14.300]  Right, right. You know, we don't get much coverage from ABC and CBS and things like that.
[01:10:14.300 --> 01:10:26.300]  But with the activity on the Internet, you know, the thinking people, where they are being forced into recognizing Ron Paul.
[01:10:26.300 --> 01:10:28.300]  So it's really great.
[01:10:28.300 --> 01:10:38.300]  In fact, there's been a controversy. Four big websites were doing presidential polls and Ron Paul was winning all of them by like 80%, 65%.
[01:10:38.300 --> 01:10:41.300]  And so they've been pulling him off all the polls.
[01:10:41.300 --> 01:10:48.300]  Right. You know, matter of fact, a reporter called us from C-SPAN and they said, you know, how come he's so popular?
[01:10:48.300 --> 01:10:58.300]  And we basically just tell him, because these are people who can read, you know, and also, you know, he's the only one who voted against Internet regulation.
[01:10:58.300 --> 01:11:04.300]  He is for freedom and people know that. And so, you know, they're like, oh, really?
[01:11:04.300 --> 01:11:09.300]  Well, Penny, I'm not just saying this. You know, I'm supportive of you, Kim, in the past and others, but he's not perfect.
[01:11:09.300 --> 01:11:15.300]  Ron Paul is pretty much perfect. You don't find a perfectly cut diamond routinely in a streambed.
[01:11:15.300 --> 01:11:21.300]  But here we have, he is a founding father quality, a perfect conservative libertarian voting record.
[01:11:21.300 --> 01:11:29.300]  He is the type of person who would be out there in the arena by himself, you know, 10, 15 years ago when he was in Congress the first time in the 70s.
[01:11:29.300 --> 01:11:35.300]  He has done so much and held back so much that I just cannot think of a better president.
[01:11:35.300 --> 01:11:40.300]  I mean, he would have fit in, you know, back in the 1780s. This guy is an absolute diamond.
[01:11:40.300 --> 01:11:49.300]  Well, and I'll tell you why. The difference is very simple. You have politicians who are haughty and proud and want to be somebody.
[01:11:49.300 --> 01:11:58.300]  And then you have a Ron Paul who is a very humble man who wants to be a voice of the people and just discuss issues.
[01:11:58.300 --> 01:12:06.300]  He doesn't want power and he doesn't want pomp. You know, you can see by the things that he does that most people never know about.
[01:12:06.300 --> 01:12:20.300]  You know, he's never taken a junket. He always votes against his own pay raises. He has rejected his congressional pension and he has never, you know, been swayed by a lobbyist, a corporate lobbyist.
[01:12:20.300 --> 01:12:21.300]  So you can see those things.
