[00:00:09.864 --> 00:00:11.726]  Riding on the highway!
[00:24:16.528 --> 00:24:21.212]  People on Facebook, we have like 3 million likes on Facebook between our 7 channels.
[00:24:21.212 --> 00:24:22.733]  One of them has like a million basically.
[00:24:22.733 --> 00:24:23.553]  It's like 987,000 followers.
[00:24:28.522 --> 00:24:31.584]  And so we got this thing called Facebook Mentions about a week ago.
[00:24:31.584 --> 00:24:40.430]  The algorithm kicked in and gave us that like Brad Pitt and The Rock and only a couple hundred people had it, like 200 people had it.
[00:24:40.430 --> 00:24:42.552]  And I was doing it.
[00:24:42.552 --> 00:24:51.558]  I did like four of them and like each one got 200, 300, 400,000 views in like a couple hours.
[00:24:51.558 --> 00:24:55.841]  And I was sitting there thinking, I can just turn on something and talk to 300,000 people
[00:24:58.743 --> 00:25:01.144]  Most folks would be on some ego power trip.
[00:25:01.144 --> 00:25:06.968]  I'm like, what do I do with this platform?
[00:25:06.968 --> 00:25:09.769]  That's why do not call in and tell me how great I am.
[00:25:09.769 --> 00:25:12.130]  Do not call in and say how much you appreciate me.
[00:25:12.130 --> 00:25:13.131]  Appreciate me?
[00:25:13.131 --> 00:25:16.413]  I'm fighting for survival!
[00:25:16.413 --> 00:25:18.014]  I'm not doing you a favor.
[00:25:18.014 --> 00:25:19.454]  Do you understand that?
[00:25:19.454 --> 00:25:21.676]  This is not special to fight evil.
[00:25:21.676 --> 00:25:24.917]  It's not special to stand up against it from my perspective.
[00:25:24.917 --> 00:25:25.658]  It's survival.
[00:25:27.130 --> 00:25:31.552]  They're injecting children with things called vaccines that aren't vaccines.
[00:25:31.552 --> 00:25:35.574]  They're social control to brain damage them and hurt them.
[00:25:35.574 --> 00:25:40.256]  My God, what type of elite do we have?
[00:25:40.256 --> 00:25:47.480]  And then they write books like Ecoscience and Bertrand Russell writes books from the 30s right through the 80s and the 90s bragging about it.
[00:25:47.480 --> 00:25:52.202]  These people think they're gods and they say the public doesn't care.
[00:25:52.202 --> 00:25:53.743]  We must have the right to do it.
[00:25:53.743 --> 00:25:54.063]  You see,
[00:25:55.689 --> 00:26:04.451]  At a spiritual, intergalactic level, at an interstellar level, there are rules just written on the universe by God.
[00:26:04.451 --> 00:26:13.493]  And if you don't protest something, if you don't say no to it, then you are acquiescing and accepting it.
[00:26:13.493 --> 00:26:15.033]  And that's what I'm trying to get at here.
[00:26:15.033 --> 00:26:20.554]  Because all the things that are happening here are tertiary, and I've got a lot of news here.
[00:26:20.554 --> 00:26:22.294]  Boy, let me tell you.
[00:26:22.294 --> 00:26:25.235]  To the real world, that we have submitted
[00:26:26.673 --> 00:26:29.775]  To the point that these weird, creepy cult members are on TV.
[00:26:29.775 --> 00:26:43.264]  I played it last Friday, last Thursday, going, well that's right, in California, and in Florida, and in Texas, and in Missouri, and in Michigan, and in Illinois, and in New York, was all these newscasts, all by The Globalist, all written, all staged.
[00:26:44.266 --> 00:26:46.927]  We don't say boy and girl now, that's hurtful.
[00:26:46.927 --> 00:26:52.188]  And it's like weird teachers with weird big eyes going, we don't say boy and girl now.
[00:26:52.188 --> 00:26:54.169]  We do what we're told.
[00:26:54.169 --> 00:26:56.070]  We eat what we're told.
[00:26:56.070 --> 00:27:00.531]  I mean, it's a cult of flaming crazies!
[00:27:00.531 --> 00:27:02.091]  But they're not crazy.
[00:27:02.091 --> 00:27:03.312]  They've got a plan.
[00:27:03.312 --> 00:27:04.692]  They've taken over.
[00:27:04.692 --> 00:27:08.993]  They're ending the human species as we know it.
[00:27:08.993 --> 00:27:10.214]  It's war of the worlds, folks.
[00:27:11.223 --> 00:27:23.247]  Whether these globalists came from a trillion miles away, or whether they came from another dimension, or whether they're people doing this, all I'm telling you is, they're out to get us.
[00:27:23.247 --> 00:27:28.869]  And there's no mistake, it's diabolical, it's well-planned, it's scientific.
[00:27:28.869 --> 00:27:34.271]  And I don't know what I can say or do to get you to click to that, but I'm here to tell you it's real.
[00:27:34.271 --> 00:27:36.372]  And these people want to kill you and your family.
[00:27:37.549 --> 00:27:42.590]  Am I an enemy with some brainwashed cop out there writing tickets to fund this whole thing all day?
[00:27:42.590 --> 00:27:47.172]  The globalists are just there to raise taxes and things to bankrupt everybody.
[00:27:47.172 --> 00:27:48.512]  I got a report coming up on that.
[00:27:48.512 --> 00:27:50.873]  The feds plan to get rid of all small businesses.
[00:27:50.873 --> 00:27:52.833]  Not even letting them have bank accounts.
[00:27:52.833 --> 00:27:55.474]  The cashless society is here.
[00:27:55.474 --> 00:28:01.816]  So when they get up and say you can't say the name mother or father or boy or girl, you didn't build your business, and two plus two equals five.
[00:28:02.876 --> 00:28:05.478]  You think that's outrageous because you're not young.
[00:28:05.478 --> 00:28:08.239]  You're not 10 years old being taught all this.
[00:28:08.239 --> 00:28:11.922]  You were an earlier group, partially brainwashed but not totally.
[00:28:11.922 --> 00:28:13.963]  You think it's ridiculous and funny.
[00:28:13.963 --> 00:28:16.224]  These aren't environmentalist wackos.
[00:28:16.224 --> 00:28:18.086]  These aren't liberal kooks.
[00:28:18.086 --> 00:28:19.667]  These are scientific...
[00:28:20.447 --> 00:28:31.740]  Entities of evil here to conquer and take over resources, following a handbook, a directive, a battle plan, a program, a stratagem to take over.
[00:28:31.740 --> 00:28:33.842]  And we have their stratagem!
[00:28:33.842 --> 00:28:39.428]  And we are humanity that faced all the threats that came before us, that built civilization!
[00:28:40.129 --> 00:28:48.132]  But we must pass this great test to get off world and escape this system and become a Type 1 civilization.
[00:28:48.132 --> 00:28:52.013]  But first we must transcend the parasites and the globalists.
[00:28:52.013 --> 00:28:57.335]  And the Info War is only here to give you the idea of the opportunity to transcend.
[00:28:58.206 --> 00:29:02.847]  Will Donald Trump sign the GOP pledge precluding a third-party run?
[00:29:02.847 --> 00:29:12.871]  According to a close associate, the GOP candidate intends to sign the loyalty pledge that would bind him to endorse the Republican nominee and would preclude him a third-party run.
[00:29:12.871 --> 00:29:23.514]  The Republican National Committee has made it clear that they want every candidate running for nomination to sign a pledge not to break off and run as a third-party candidate under any circumstances.
[00:29:23.954 --> 00:29:31.597]  The GOP is worried that third-party campaigns will jeopardize the party's chances against the eventual Democratic presidential candidate.
[00:29:31.597 --> 00:29:40.401]  And as he's currently the most popular candidate, the GOP is concerned that Donald Trump may break off from the pact, and he has repeatedly threatened to do so.
[00:29:40.401 --> 00:29:50.506]  Republican presidential candidate Rand Paul reminded everyone that it was Ross Perot who ended up giving us the first Clinton, and if Trump breaks off, he could give us another Clinton.
[00:29:50.506 --> 00:29:53.147]  For more reports, visit InfoWars.com.
[00:29:59.119 --> 00:30:08.202]  Alex Jones here to tell you about how you can help spread liberty worldwide, while also enjoying what I have found to be the best tasting, 100% organic coffee on the planet.
[00:30:08.202 --> 00:30:16.305]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:30:16.605 --> 00:30:21.467]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:30:21.467 --> 00:30:28.270]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:30:28.270 --> 00:30:35.452]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:30:35.452 --> 00:30:42.295]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:30:42.455 --> 00:30:46.938]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:30:46.938 --> 00:30:50.341]  Available in original or with our immune support infusion blend.
[00:30:50.341 --> 00:30:56.645]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:30:56.645 --> 00:30:58.827]  Available at Infowarslife.com
[00:30:59.247 --> 00:31:08.996]  Most of the InfoWars radio listening audience is aware of the high-quality, affordable firearms available that are made right here in America at htfirearms.com.
[00:31:08.996 --> 00:31:15.503]  One of the most exciting things about htfirearms.com is the ability to upgrade your AR-15 platform today.
[00:31:15.503 --> 00:31:17.845]  They call it their low-profile platform.
[00:31:17.845 --> 00:31:21.088]  PVX muzzle brakes, proven to help control muzzle rise.
[00:31:22.409 --> 00:31:25.211]  6061 billet material with type 3 hard coating.
[00:31:25.211 --> 00:31:28.833]  Bolt carrier group for .308 and .556 ARs.
[00:31:28.833 --> 00:31:30.394]  Custom Kydex holsters.
[00:31:30.394 --> 00:31:35.258]  Ideal for concealed carry with .080 thick Kydex to ensure durability.
[00:31:35.258 --> 00:31:37.760]  Most competitors material use .060.
[00:31:37.760 --> 00:31:41.162]  Configure yours today at HDfirearms.com.
[00:31:41.162 --> 00:31:43.203]  And my favorite, single stage trigger.
[00:31:43.203 --> 00:31:46.606]  A home run upgrade for your AR-15 and AR-10 platforms.
[00:31:46.826 --> 00:31:50.728]  Find out more at HDfirearms.com today or call 770-485-7015.
[00:31:50.728 --> 00:31:56.430]  That's HDfirearms.com or call 770-485-7015.
[00:31:56.430 --> 00:32:02.472]  When cells become toxic, they die early and aging sets in.
[00:32:02.472 --> 00:32:06.954]  No one has put together a formula that focuses directly on brain health, nerve growth,
[00:32:06.954 --> 00:32:07.214]  We're good.
[00:32:29.006 --> 00:32:33.387]  Used since before the days of the Roman Empire to support the body's natural systems.
[00:32:33.387 --> 00:32:37.528]  Introducing the new Infowarslife.com Oil of Oregano Formulation.
[00:32:37.528 --> 00:32:42.489]  We have now procured the most high quality and potent forms of oregano oil on the market.
[00:32:42.489 --> 00:32:47.150]  Extracted directly from the wild herb and sealed in easy to use capsules.
[00:32:47.150 --> 00:32:50.610]  You will no longer need to endure the burning of liquid oregano on the tongue.
[00:32:50.610 --> 00:32:54.071]  Now available in our limited first run at Infowarslife.com.
[00:32:54.071 --> 00:32:55.891]  That's Infowarslife.com or call 888-253-3139.
[00:33:02.758 --> 00:33:12.700]  You're listening to the Alex Jones Show.
[00:33:12.700 --> 00:33:17.842]  You walk into this room at your own risk, because it leads to the future.
[00:33:17.842 --> 00:33:21.283]  Not a future that will be, but one that might be.
[00:33:21.283 --> 00:33:23.543]  This is not a new world.
[00:33:23.543 --> 00:33:26.844]  It is simply an extension of what began in the old one.
[00:33:27.933 --> 00:33:36.356]  It has patterned itself after every dictator who has ever planted the ripping imprint of a boot on the pages of history since the beginning of time.
[00:33:36.356 --> 00:33:44.419]  It has refinements, technological advances and a more sophisticated approach to the destruction of human freedom.
[00:33:44.419 --> 00:33:50.141]  But like every one of the super states that preceded it, it has one iron rule.
[00:33:50.141 --> 00:33:52.362]  Logic is an enemy and truth is a menace.
[00:33:57.739 --> 00:34:00.461]  This is Mr. Romney Wordsworth.
[00:34:00.461 --> 00:34:07.127]  In his last 48 hours on Earth, he's a citizen of the state, but will soon have to be eliminated.
[00:34:07.127 --> 00:34:11.912]  Because he's built out of flesh, and because he has a mind.
[00:34:11.912 --> 00:34:16.576]  Mr. Romney Wordsworth, who will draw his last breaths in the Twilight Zone.
[00:34:46.408 --> 00:34:52.912]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[00:34:52.912 --> 00:34:55.054]  It's Alex Jones.
[00:34:55.054 --> 00:34:56.255]  This is it.
[00:34:56.255 --> 00:35:00.217]  The desperate weak attempt to rouse humanity.
[00:35:00.217 --> 00:35:02.879]  But all great movements start weak.
[00:35:02.879 --> 00:35:06.161]  They start with the heart and they grow.
[00:35:06.161 --> 00:35:07.902]  Humanity will prevail.
[00:35:07.902 --> 00:35:12.525]  We will go through great pain on the journey to the next level of our development.
[00:35:12.525 --> 00:35:14.347]  This great challenge that we now face
[00:35:15.759 --> 00:35:19.040]  We'll decide the destiny of humanity forever.
[00:35:19.040 --> 00:35:21.401]  The enemy hopes you never realize that.
[00:35:21.401 --> 00:35:24.522]  They hope to brain damage you at birth.
[00:35:24.522 --> 00:35:28.743]  You know, the autistic children are those that were hit too hard.
[00:35:28.743 --> 00:35:32.585]  They're only meant to be stunned, slightly brain damaged.
[00:35:32.585 --> 00:35:35.446]  But some children are terminally brain damaged.
[00:35:35.446 --> 00:35:37.807]  Some died.
[00:35:37.807 --> 00:35:39.707]  Some of us will survive.
[00:35:39.707 --> 00:35:40.708]  Survive on to fight.
[00:35:40.708 --> 00:35:43.248]  And that's what we do now.
[00:35:43.248 --> 00:35:44.669]  In the face of this onslaught.
[00:35:46.593 --> 00:36:01.906]  To the new viewers, to the new listeners, will you join us in this fight or will you cynically decide that even though you ran head-on against the truth and it knocked you over to the ditch, you just dust yourself off and pretend like you never saw it.
[00:36:01.906 --> 00:36:05.709]  But the hair on the back of your neck is standing up.
[00:36:05.709 --> 00:36:08.231]  You know you've seen the truth.
[00:36:08.231 --> 00:36:11.073]  You know you've been visited by reality.
[00:36:11.073 --> 00:36:11.554]  You know that
[00:36:13.211 --> 00:36:16.092]  Honor and strength is greater than evil.
[00:36:16.092 --> 00:36:27.897]  And so in this world, you would be warned, not just once, not twice, but a hundred times, and then again a hundred.
[00:36:27.897 --> 00:36:33.660]  I have before me incredible news.
[00:36:34.944 --> 00:36:38.225]  AFP on screens brain damaging children.
[00:36:38.225 --> 00:36:43.866]  Bernie Sanders leading Hillary Clinton in new Hampshire polls by nine points.
[00:36:43.866 --> 00:36:46.607]  The rise of political outsiders.
[00:36:46.607 --> 00:36:47.107]  The U.S.
[00:36:47.107 --> 00:36:51.668]  warns Russia against more aid to Assad as he fights Al Qaeda and ISIS.
[00:36:51.668 --> 00:36:53.288]  Britain wants to quit Europe.
[00:36:53.288 --> 00:36:59.810]  Shock new poll shows EU no camp ahead for the first time as Cameron prepares to face down Tory rebels.
[00:37:01.195 --> 00:37:05.416]  Wealthy Gulf nations are criticized for temporary response to Syrian refugees.
[00:37:05.416 --> 00:37:19.279]  They won't take their own refugees when they launch the attacks on these countries and expect the Christian West to take their Islamic refugees.
[00:37:19.279 --> 00:37:27.361]  Europe's biggest bank dares to ask, is the Fed preparing for a controlled demolition of the market?
[00:37:27.361 --> 00:37:29.082]  The head of the Chinese central banks
[00:37:30.996 --> 00:37:44.407]  Zhu Zhanghong has come out in Bloomberg News and says currency tension has now caused the bubble to burst.
[00:37:44.407 --> 00:37:52.094]  It's coming out that Steve Jobs was a nightmare totalitarian authoritarian who oppressed people and was evil.
[00:37:54.585 --> 00:38:00.368]  Well, he doesn't let his children before he died play with iPads or iPhones, but he wants yours to.
[00:38:00.368 --> 00:38:06.652]  And he had deals with Foxconn in China for forced abortions and forced drugging and organ harvesting.
[00:38:11.063 --> 00:38:15.045]  But he had kind of a mullet.
[00:38:15.045 --> 00:38:18.387]  And he wore t-shirts like Zuckerberg.
[00:38:18.387 --> 00:38:19.988]  So he was non-threatening.
[00:38:19.988 --> 00:38:29.112]  Because everyone knows if you're in a yellow Volkswagen wearing a grey suit and you're a 16 year old girl, you get hit.
[00:38:29.112 --> 00:38:35.736]  Because it's a conspiracy theory to think there might be someone out there who wants to hurt you.
[00:38:35.736 --> 00:38:38.337]  Take the vaccines, eat the GMO.
[00:38:44.411 --> 00:38:49.115]  Peter loves you and your family.
[00:38:49.115 --> 00:38:52.398]  We represent honor.
[00:38:52.398 --> 00:38:57.623]  We are willing to slam like battering rams up against the enemy.
[00:38:57.623 --> 00:39:01.046]  But our power is limited.
[00:39:01.046 --> 00:39:02.848]  You give us the power.
[00:39:04.062 --> 00:39:10.947]  You give us the will to run into the enemy at a trillion light years speed.
[00:39:10.947 --> 00:39:13.209]  And we're ready to do it.
[00:39:13.209 --> 00:39:25.718]  But you have to make the spiritual decision to break with Lucifer and the devil and the god of this world and the fraud that has control of this planet and join with the Creator.
[00:39:27.594 --> 00:39:32.801]  You have to decide that Jehovah is what you want to follow, and not the Devil!
[00:39:32.801 --> 00:39:41.674]  And the moment you decide to join God, you will transcend the New World Order forever!
[00:39:41.674 --> 00:39:42.915]  The Devil Pope!
[00:39:43.999 --> 00:40:05.209]  A communist servant of evil calls for world government, calls for the West to accept the giant Islamic hordes that the West itself has triggered to flee their countries through Saudi Arabian attacks to balkanize and create civil war in our nations.
[00:40:05.209 --> 00:40:08.170]  Do I hate the average Islamic person?
[00:40:08.170 --> 00:40:09.131]  Absolutely not.
[00:40:09.131 --> 00:40:10.752]  Are they good people on average?
[00:40:10.752 --> 00:40:11.352]  Absolutely.
[00:40:11.991 --> 00:40:33.378]  But there is a purge of good Muslims and a move run by the New World Order to put radicals in charge and bring them in with weapons to launch attacks in Europe and the United States out of which a system of total control will rise!
[00:40:33.378 --> 00:40:37.800]  Can we show the footage I shot a month and a half ago in Rome of the 30-foot walls?
[00:40:38.772 --> 00:40:52.763]  and the security and the above-the-law tax-exempt sovereign state of the Vatican who now tells Catholics around the world that they should pay the money.
[00:40:52.763 --> 00:40:59.088]  All you'll do with the six and a half billion third world people wanting to get into the West that's only 600 million
[00:41:01.926 --> 00:41:24.841]  All you'll do by accepting them is cause more thousands of deaths coming across the Mediterranean, more deaths, more robberies, more killing, more collapse, as the military globalist takedown of the West launches the new war of the 21st century.
[00:41:24.841 --> 00:41:26.782]  It stands that you would be told the truth.
[00:41:28.453 --> 00:41:36.594]  It stands that you would be able to see the reality.
[00:41:36.594 --> 00:41:56.418]  It stands that you would be given the choice, but the enemy is out in the open, an arrogant, above the law, man that claims he has the keys to temporal and spiritual damnation, comes out!
[00:41:57.662 --> 00:42:03.047]  Crossing those keys when other popes have fought against abortion and communism.
[00:42:03.047 --> 00:42:06.410]  He crosses those keys.
[00:42:06.410 --> 00:42:10.794]  And does he block the Borag of abortion climbing across the city?
[00:42:10.794 --> 00:42:11.335]  No!
[00:42:11.335 --> 00:42:17.581]  He says Catholics should stop opposing abortion when he first got into power two years ago.
[00:42:17.581 --> 00:42:22.766]  And now he comes out and he says to the world on Thursday
[00:42:23.973 --> 00:42:26.797]  You will be forgiven of your abortion!
[00:42:26.797 --> 00:42:28.239]  Have your abortion!
[00:42:28.239 --> 00:42:32.525]  No, you will be forgiven of your abortion if you repent and admit it was wrong.
[00:42:33.922 --> 00:42:48.216]  You will not be forgiven if you then accept it's okay and do it knowingly because some pontiff, some man claiming he's God on a black throne told you it was okay!
[00:42:48.216 --> 00:42:53.361]  He is the whore on which the Antichrist will ride!
[00:42:53.361 --> 00:42:55.664]  We are seeing it manifest!
[00:42:58.394 --> 00:43:02.476]  Alex Jones here with a very important news alert for InfoWars listeners.
[00:43:02.476 --> 00:43:12.942]  We've confirmed through our major suppliers attempting to resupply Survival Shield X2 Deep Earth Crystals that elite corporations are buying up the supplies all over the world.
[00:43:12.942 --> 00:43:15.864]  So prices are going up and it's very hard to secure it.
[00:43:15.984 --> 00:43:24.811]  We have been able to secure a limited supply of the pure Deep Earth Crystals and have now been able to produce more Survival Shield Nascent Iodine X2.
[00:43:24.811 --> 00:43:26.673]  This is the good halogen.
[00:43:26.673 --> 00:43:29.735]  This is the opposite of the bad halogens like fluoride.
[00:43:29.735 --> 00:43:41.745]  Now we at InfoWarsLife.com are bringing you the only source of clean, pure 99.99 Ultra Pure Deep Earth Crystals from more than 7,000 feet below the Earth's surface.
[00:43:41.745 --> 00:43:43.006]  Watch the informational videos
[00:43:43.286 --> 00:43:43.767]  We're good.
[00:43:58.118 --> 00:44:07.860]  Most of the InfoWars radio listening audience is aware of the high-quality, affordable firearms available that are made right here in America at HDFirearms.com.
[00:44:07.860 --> 00:44:14.362]  One of the most exciting things about HDFirearms.com is the ability to upgrade your AR-15 platform today.
[00:44:14.362 --> 00:44:16.682]  They call it their low-profile platform.
[00:44:16.682 --> 00:44:21.304]  PVX muzzle brakes, proven to help control muzzle rise.
[00:44:21.304 --> 00:44:24.064]  6061 billet material with Type 3 hard coating.
[00:44:24.064 --> 00:44:25.845]  Bolt carrier group for .308 and .556 ARs.
[00:44:27.685 --> 00:44:29.246]  Custom Kydex holsters.
[00:44:29.246 --> 00:44:34.109]  Ideal for concealed carry with .080 thick Kydex to ensure durability.
[00:44:34.109 --> 00:44:36.611]  Most competitor's material use .060.
[00:44:36.611 --> 00:44:40.013]  Configure yours today at HDfirearms.com.
[00:44:40.013 --> 00:44:42.055]  And my favorite, single stage trigger.
[00:44:42.055 --> 00:44:45.697]  A home run upgrade for your AR-15 and AR-10 platforms.
[00:44:45.697 --> 00:44:48.079]  Find out more at HDfirearms.com today or call 770-485-7015.
[00:44:48.079 --> 00:44:49.119]  That's HDfirearms.com or call 770-485-7015.
[00:44:57.649 --> 00:44:57.756]  Yeah.
[00:44:59.008 --> 00:45:04.152]  Introducing Secret 12, the new InfoWarsLife vitamin B12 formulation.
[00:45:04.152 --> 00:45:10.277]  Secret 12 is a binary of nutrimedical grade bioavailable coenzyme forms of B12.
[00:45:10.277 --> 00:45:15.061]  Methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[00:45:15.061 --> 00:45:18.624]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[00:45:18.624 --> 00:45:20.606]  No needles, no injections.
[00:45:20.606 --> 00:45:25.730]  Secure your revolutionary Secret 12 formula right now at InfoWarsLife.com or call 888-253-3139.
[00:45:28.972 --> 00:45:33.353]  Use since before the days of the Roman Empire to support the body's natural systems.
[00:45:33.353 --> 00:45:37.495]  Introducing the new Infowarslife.com oil of oregano formulation.
[00:45:37.495 --> 00:45:42.456]  We have now procured the most high quality and potent forms of oregano oil on the market.
[00:45:42.456 --> 00:45:47.098]  Extracted directly from the wild herb and sealed in easy to use capsules.
[00:45:47.098 --> 00:45:50.579]  You will no longer need to endure the burning of liquid oregano on the tongue.
[00:45:50.579 --> 00:45:54.040]  Now available in our limited first run at Infowarslife.com.
[00:45:54.040 --> 00:45:55.880]  That's Infowarslife.com or call 888-253-3139.
[00:45:58.721 --> 00:46:01.984]  A clean, toxic-free body is the foundation of true health.
[00:46:01.984 --> 00:46:11.933]  Introducing Deep Cleanze by InfoWarsLife.com, a scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[00:46:11.933 --> 00:46:17.257]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[00:46:17.257 --> 00:46:26.125]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanze doesn't hold back.
[00:46:26.405 --> 00:46:35.288]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[00:46:35.288 --> 00:46:42.370]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spigyrex herbal processing technique.
[00:46:42.370 --> 00:46:47.732]  We use only the highest quality organic herbs backed by serious research, and we still bring it to you at the best price.
[00:46:47.892 --> 00:46:48.913]  You're listening to the Alex Jones Show!
[00:47:11.781 --> 00:47:13.282]  You have the power.
[00:47:13.282 --> 00:47:15.284]  Humanity has the power.
[00:47:15.284 --> 00:47:16.425]  We have the power.
[00:47:16.425 --> 00:47:17.726]  Do you want to fight?
[00:47:17.726 --> 00:47:22.149]  You better believe you got one!
[00:47:22.149 --> 00:47:27.174]  Rallying patriots worldwide in defense of human liberty.
[00:47:27.174 --> 00:47:36.021]  It's Alex Jones.
[00:47:36.021 --> 00:47:36.921]  One must be clear.
[00:47:37.876 --> 00:47:39.417]  I judge a tree by its fruits.
[00:47:39.417 --> 00:47:42.098]  I've never been anti-Catholic.
[00:47:42.098 --> 00:47:45.019]  I know so many great people that fight the globalists that are Catholic.
[00:47:45.019 --> 00:47:55.202]  I have to say predominantly the largest group fighting world government, communism, anti-family activities, it's been the Catholic people.
[00:47:55.202 --> 00:48:01.125]  And that's why I've been criticized a lot for not coming after the Catholic leadership.
[00:48:01.125 --> 00:48:04.346]  But with this Pope, he is so nakedly Mao Zedong.
[00:48:05.370 --> 00:48:17.698]  So nakedly Fidel Castro is going to visit in a couple days that I just absolutely would be a sellout if I didn't speak out against him with my full will.
[00:48:17.698 --> 00:48:21.280]  Despite the great dangers of that, obviously.
[00:48:21.280 --> 00:48:24.703]  This is an anathema, Pope.
[00:48:24.703 --> 00:48:29.265]  Calling for world government, calling for carbon taxes that will kill a billion people in the next 10 years.
[00:48:29.265 --> 00:48:31.547]  Lord Monckton's analysis shows, and I concur with it,
[00:48:34.693 --> 00:48:37.355]  It's truly sickening.
[00:48:37.355 --> 00:48:39.036]  Here's the headline, Leningradian.
[00:48:39.036 --> 00:48:45.742]  Pope Francis' abortion pardon, a great gift for Catholics in Boston, as if he's God.
[00:48:45.742 --> 00:48:51.326]  Not Christ forgiving, but a papa.
[00:48:51.326 --> 00:48:57.591]  And then we see the shocking images of a drowned Syrian boy, show tragic plight of refugees.
[00:48:57.591 --> 00:49:02.395]  Our government, five years ago, launches Al-Qaeda in Syria, kills 300,000 of these innocent people,
[00:49:04.898 --> 00:49:08.322]  And when Russia and Syria fight back, we call them terrorists.
[00:49:08.322 --> 00:49:13.468]  And our own media says that, quote, take out Assad, that'll stop ISIS, when that's a group attacking.
[00:49:13.468 --> 00:49:17.133]  And they show a dead little two-year-old toddler in the sand.
[00:49:17.133 --> 00:49:21.157]  But they won't show the tens of thousands of dead babies that I've seen online.
[00:49:21.957 --> 00:49:26.640]  And you've seen online that were killed by Western-backed rebels in Syria.
[00:49:26.640 --> 00:49:30.823]  So they create the crisis and then say, look, a dead baby!
[00:49:30.823 --> 00:49:32.985]  Let all these people in and pay for them!
[00:49:32.985 --> 00:49:38.629]  Because the Pope says!
[00:49:38.629 --> 00:49:41.851]  That's crazy town!
[00:49:41.851 --> 00:49:48.736]  But that's a system targeting people that are politically uninformed of what's happening.
[00:49:50.287 --> 00:49:56.871]  I want to open the phones up in the next hour, early in the next hour, on any of these issues, and I haven't scratched the surface of the news yet.
[00:49:56.871 --> 00:50:01.754]  The toll-free number to join us is 800... Well, that's the weekday number, excuse me.
[00:50:01.754 --> 00:50:06.297]  The toll-free number, as we produce everything out of house on Sunday, is 877-789-ALEX, 877-789-2539, and I haven't done this in about three weeks.
[00:50:06.297 --> 00:50:07.017]  It's first-time callers.
[00:50:17.421 --> 00:50:18.602]  877-789-2539.
[00:50:18.602 --> 00:50:23.723]  First time callers, your chance to get on air.
[00:50:23.723 --> 00:50:28.884]  International callers, country code 512-646-1776.
[00:50:28.884 --> 00:50:29.804]  512-646-1776.
[00:50:29.804 --> 00:50:36.186]  We'll start taking your calls at the start of the next hour.
[00:50:36.186 --> 00:50:43.388]  I'm going to come back and blitz through a lot of news in the next segment, but I wanted to go to break, since I mentioned it, with a Slate article.
[00:50:44.687 --> 00:50:49.133]  The government's secret war on small businesses, Operation Chokepoint, was meant to stop fraud.
[00:50:49.133 --> 00:50:50.955]  Yeah, the government runs the drugs.
[00:50:50.955 --> 00:50:54.159]  So why is the program going after legitimate businesses?
[00:50:54.159 --> 00:50:56.682]  They're shutting down everything that's mom and pop.
[00:50:56.682 --> 00:50:58.524]  It's a vertical integration.
[00:50:58.524 --> 00:51:00.286]  That's what world government is.
[00:51:00.286 --> 00:51:02.089]  Here is the report.
[00:51:03.027 --> 00:51:09.069]  Operation Choke Point was a program created by the Obama Administration's Financial Fraud Enforcement Task Force.
[00:51:09.069 --> 00:51:14.510]  The government says it's over now, but business owners across the country claim that's not true.
[00:51:14.510 --> 00:51:23.813]  It's a task force that most Americans probably have never heard of, but it has more control over the choices and decisions that Americans make than almost any other agency in the government.
[00:51:24.073 --> 00:51:26.174]  Brian Wise is the president of the U.S.
[00:51:26.174 --> 00:51:29.195]  Consumer Coalition, a consumer advocacy group.
[00:51:29.195 --> 00:51:48.522]  Chokepoint was supposed to be focused on mass-market consumer fraud when the program started in 2013, but it quickly morphed into something much bigger, a way for federal regulators to strong-arm banks into punishing any type of business that didn't meet their approval by putting them on their list of high-risk merchants.
[00:51:49.042 --> 00:51:53.426]  Government regulators are essentially telling banks that they need to be morality police.
[00:51:53.426 --> 00:51:57.730]  That these banks have to make moral decisions on who they can and cannot do business with.
