[00:00:00.209 --> 00:00:01.169]  ...and so on.
[00:56:54.499 --> 00:57:00.301]  Thomas Jefferson said tyranny, tyrants will take you as far as you let them.
[00:57:00.301 --> 00:57:02.721]  They will go all the way to hell.
[00:57:02.721 --> 00:57:06.262]  I mean, they will take you just to levels unimaginable, Tom.
[00:57:06.262 --> 00:57:07.303]  Thanks for the call.
[00:57:07.303 --> 00:57:08.563]  Fabian in Canada.
[00:57:08.563 --> 00:57:10.244]  You're on the air, Fabian.
[00:57:10.244 --> 00:57:11.244]  Hey.
[00:57:11.244 --> 00:57:12.204]  Hello?
[00:57:12.204 --> 00:57:12.545]  Hey.
[00:57:12.545 --> 00:57:13.185]  Hey, how's it going?
[00:57:15.299 --> 00:57:19.801]  I've got a question about the Comprehensive Annual Financial Reports in Canada.
[00:57:19.801 --> 00:57:21.522]  Yes.
[00:57:21.522 --> 00:57:24.323]  Do you know anything about them?
[00:57:24.323 --> 00:57:33.787]  Well, when we started exposing them with Walter Berrien and others in the late 90s, every county, every city, every state in Western Europe, the United States, Canada, England, Australia,
[00:57:35.160 --> 00:57:37.223]  Uh, water districts, school districts, you name it.
[00:57:37.223 --> 00:57:40.527]  Tens of thousands of governmental systems and quasi-governmental systems.
[00:57:40.527 --> 00:57:45.433]  We're publicly issuing them on the internet and putting out hard copies for anybody that requested them.
[00:57:45.433 --> 00:57:50.198]  And the state of Texas had close to a trillion extra cash, separate off books and investments.
[00:57:51.219 --> 00:57:55.140]  Uh, and, uh, the pension funds through government had it.
[00:57:55.140 --> 00:57:57.461]  And that's what they've stolen with the derivatives.
[00:57:57.461 --> 00:58:00.142]  They weren't about to let the people ever actually get that.
[00:58:00.142 --> 00:58:01.743]  And so, yes, it's the double set of books.
[00:58:01.743 --> 00:58:07.104]  You just have to Google the name of your town or city and comprehensive annual financial report.
[00:58:07.104 --> 00:58:09.025]  And, uh, you will be reading it.
[00:58:09.025 --> 00:58:13.086]  I've got the ones, uh, more recent ones from Alberta and Canada.
[00:58:13.086 --> 00:58:16.528]  Yeah, they began excising them.
[00:58:16.528 --> 00:58:18.668]  They began excising them by 2000, though.
[00:58:18.668 --> 00:58:20.249]  Not putting as much meat in there, but yes.
[00:58:21.764 --> 00:58:30.540]  Yeah, I can't find anything back behind 98 to actually see those numbers like you guys talk about on the Walter Brion and stuff.
[00:58:30.540 --> 00:58:33.865]  Well, I mean, if you see my film, Comprehensive Annual Financial Reports Exposed,
[00:58:34.654 --> 00:58:35.235]  Yeah, I have.
[00:58:35.235 --> 00:58:46.504]  And we show you the official state of Texas and the official city of Manhattan, New York State, small school districts where you might have 500 students total.
[00:58:46.504 --> 00:58:51.368]  You know, we'll have 35 million extra cream money that's totally off budget.
[00:58:51.368 --> 00:58:53.449]  See, they distract you with the discussion of budget.
[00:58:54.190 --> 00:58:58.753]  While over here you have the real set of books called Comprehensive Annual Financial Reports.
[00:58:58.753 --> 00:59:03.857]  And the Mafia invented this in the 30s in Chicago and they took over the city completely.
[00:59:03.857 --> 00:59:04.817]  A double set of books.
[00:59:04.817 --> 00:59:08.060]  And then the Pentagon adopted it in 50.
[00:59:08.060 --> 00:59:09.581]  And then it went worldwide then.
[00:59:09.581 --> 00:59:11.582]  It's called the Chicago 1313 model.
[00:59:11.582 --> 00:59:17.426]  I was also hoping to talk about Jay Ingram for a second.
[00:59:17.426 --> 00:59:18.167]  Jay Ingram.
[00:59:18.167 --> 00:59:18.547]  Who's that?
[00:59:18.547 --> 00:59:20.668]  He's on the Daily Planet.
[00:59:20.668 --> 00:59:22.750]  He's a big proporter of global warming.
[00:59:24.636 --> 00:59:27.799]  Was he saying we have to give up all of our freedoms or we're dead or something?
[00:59:27.799 --> 00:59:28.680]  Yeah, pretty much.
[00:59:28.680 --> 00:59:32.644]  You know, he's all for the overpopulation eugenics and... Alright, stay there.
[00:59:32.644 --> 00:59:42.654]  I'm gonna come back in 70 seconds, let you finish up real quick, and then we'll get to Joshua, Brian, Fred, Will, and many others.
[00:59:42.654 --> 00:59:45.257]  Thank you for listening to GCN.
[00:59:45.257 --> 00:59:47.138]  Be sure to visit GCNlive.com today.
[00:59:50.814 --> 00:59:52.494]  Hello friends, this is Alex Jones.
[00:59:52.494 --> 00:59:57.235]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:59:57.235 --> 01:00:00.196]  We need to be independent, and food and water is the key.
[01:00:00.196 --> 01:00:03.257]  You'll never have to stand in a bread line if you have your own bread.
[01:00:03.257 --> 01:00:09.338]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency if you simply prepare.
[01:00:09.338 --> 01:00:12.558]  No one is going to take care of your family in the final equation but you.
[01:00:12.558 --> 01:00:15.179]  You know eFoodsDirect.com is still able to shift storable
[01:00:15.439 --> 01:00:15.919]  I think so.
[01:00:45.579 --> 01:00:46.600]  Take action today.
[01:00:46.600 --> 01:00:53.526]  The first step is getting storable food.
[01:00:53.526 --> 01:00:55.928]  Waging war on corruption.
[01:00:55.928 --> 01:01:05.336]  Alex Jones on the GCN Radio Network.
[01:01:05.336 --> 01:01:06.637]  Big Brother.
[01:01:06.637 --> 01:01:08.418]  Mainstream media.
[01:01:08.418 --> 01:01:09.579]  Government cover-ups.
[01:01:09.579 --> 01:01:11.041]  You want answers?
[01:01:11.041 --> 01:01:12.482]  Well, so does he.
[01:01:13.148 --> 01:01:17.470]  He's Alex Jones on the GCN Radio Network.
[01:01:17.470 --> 01:01:23.092]  And now, live from Austin, Texas, Alex Jones.
[01:01:23.092 --> 01:01:23.712]  1-800-259-9231.
[01:01:23.712 --> 01:01:27.494]  That is the toll-free number to join us.
[01:01:27.494 --> 01:01:29.574]  Wide open phones throughout the show today.
[01:01:29.574 --> 01:01:31.115]  Tons of vital news and information.
[01:01:31.115 --> 01:01:34.016]  George Humphrey in studio coming up in about an hour and a half.
[01:01:34.016 --> 01:01:35.837]  We'll have open phones then as well.
[01:01:35.837 --> 01:01:38.358]  Alright, finishing up Fabian in Canada.
[01:01:38.358 --> 01:01:40.739]  Yeah, there's all these big newspapers and publications.
[01:01:41.999 --> 01:01:50.123]  I don't know about the particular publication that you're talking about, but it's all over the news, world leaders saying, we've got to cut our populations by 50%.
[01:01:50.123 --> 01:01:54.665]  That's what they tell the public, and we've got to have a one-child policy, a tax on children.
[01:01:54.665 --> 01:01:57.546]  That's why they want to destroy the economy, so you can't afford to have children.
[01:01:58.246 --> 01:02:04.209]  That phony feminism was about getting women out of the house so the state would raise the children so they could tax the man and the woman.
[01:02:04.209 --> 01:02:05.270]  That's in their own documents.
[01:02:05.270 --> 01:02:07.351]  Gloria Steinem was a CIA officer.
[01:02:07.351 --> 01:02:09.052]  She wrote about that in two books.
[01:02:09.052 --> 01:02:12.514]  Funded Miss Magazine to destroy the family.
[01:02:12.514 --> 01:02:14.695]  So you can all just be homeless and nobody cares about you.
[01:02:14.695 --> 01:02:15.936]  Nobody can defend you.
[01:02:15.936 --> 01:02:17.237]  The world's a dangerous place.
[01:02:17.237 --> 01:02:21.379]  The veneer of civilization is paper thin.
[01:02:21.379 --> 01:02:26.822]  And the family is the greatest defense against that, so they've done a good job of annihilating it.
[01:02:26.822 --> 01:02:27.823]  Fabian, go ahead and finish up.
[01:02:28.683 --> 01:02:35.784]  Yeah, I just asked him two questions at a little talk he had in Calgary, and one of them was, isn't the Earth CO2 impoverished?
[01:02:35.784 --> 01:02:40.325]  And he answered back with, well, wasn't it warmer back then, you know, when CO2 was higher?
[01:02:40.325 --> 01:02:46.266]  And then my other question was, doesn't CO2 come after temperature?
[01:02:46.266 --> 01:02:54.968]  And he's like, he uses the basic rebuttal to any CO2 argument, well, the instruments weren't good enough, or something.
[01:02:57.119 --> 01:03:05.262]  Well, this is why, and I appreciate your call, they want to restrict scientific inquiry they don't control.
[01:03:05.262 --> 01:03:10.905]  That's why they're trying to ban denying that there is global warming and climate change and that it's deadly.
[01:03:10.905 --> 01:03:16.147]  They want to ban that because they can't allow other scientific institutions to prove it's a fraud.
[01:03:16.147 --> 01:03:18.068]  You know, NASA's own scans of the sun.
[01:03:18.068 --> 01:03:19.028]  We don't have to believe NASA.
[01:03:19.028 --> 01:03:22.449]  We have all these other universities and governments looking at it.
[01:03:22.449 --> 01:03:23.810]  The sun goes through a 12-year cycle.
[01:03:24.898 --> 01:03:33.809]  And it was one of the hottest, you know, highest levels of radiation ever recorded coming off the sun, the different wavelengths, ever recorded in over 300 years.
[01:03:33.809 --> 01:03:38.455]  The sun's one of the most recorded, you know, things out there.
[01:03:38.455 --> 01:03:38.956]  It's important.
[01:03:41.764 --> 01:03:51.450]  Now, it's entered the coolest cycle ever before recorded, but it's set to now go back up in the cycle and peak in 2012.
[01:03:51.450 --> 01:03:52.210]  Isn't that interesting?
[01:03:52.210 --> 01:03:55.392]  And I have the big NASA report on that when we're live at PrisonPlanet.tv later.
[01:03:55.392 --> 01:03:58.934]  I'm going to put these articles up on screen and show you the different graphs.
[01:03:58.934 --> 01:04:07.239]  And that's why, when the sun went into the hottest cycle ever recorded, the ice moons of Jupiter and Saturn became liquid.
[01:04:08.376 --> 01:04:09.597]  Alex Jones, how are you doing my friend?
[01:04:32.552 --> 01:04:37.233]  I just want to give you and your listeners a quick update on the growing resistance here in the state of Florida.
[01:04:37.233 --> 01:04:42.314]  I spoke to you last week about what we're doing, and I tell you it is just growing and growing and growing.
[01:04:42.314 --> 01:04:45.395]  Two things specifically I want to discuss.
[01:04:45.395 --> 01:04:59.258]  We do have a 10th Amendment resolution introduced, and I encourage all your listeners who are Florida residents to visit, write this down please, www.billofrightsday.org.
[01:05:00.503 --> 01:05:07.151]  You can download the PDF and just print it directly off and send that to your state legislature and get that ball rolling.
[01:05:07.151 --> 01:05:17.102]  Secondly, we're currently organizing for a big In the Fed protest at the Jacksonville and the Miami Federal Reserve branches on the 25th of this month.
[01:05:17.102 --> 01:05:18.304]  It's a nationwide protest.
[01:05:18.908 --> 01:05:27.652]  I encourage everyone again, please come to our website, www.meetup.com backslash Orlando 9-11 Truth.
[01:05:27.652 --> 01:05:33.615]  And there are Glenn Beck 9-12 meetings where he's trying to take over our movement.
[01:05:33.615 --> 01:05:35.776]  We need to take over his movement.
[01:05:35.776 --> 01:05:37.537]  The 15th, there's tea parties everywhere.
[01:05:38.197 --> 01:05:41.518]  There is massive resistance forming everywhere.
[01:05:41.518 --> 01:05:43.238]  The will to resist is exploding.
[01:05:43.238 --> 01:05:45.439]  The media is trying to ignore it, but that doesn't matter.
[01:05:45.439 --> 01:05:46.339]  It's a dying dinosaur.
[01:05:46.339 --> 01:05:47.279]  Good to hear from you, Joshua.
[01:05:47.279 --> 01:05:48.119]  We've got to jump.
[01:05:48.119 --> 01:05:52.060]  Brian, Fred, Will, our team, and many others.
[01:05:52.060 --> 01:05:53.141]  Your call is straight ahead.
[01:05:53.141 --> 01:05:55.621]  I'm going to phone Blitz when we get back.
[01:05:55.621 --> 01:05:58.602]  On the other side of this quick break, InfoWars.com, PrisonPlanet.tv.
[01:06:00.970 --> 01:06:06.354]  Have you ever read the ingredients in your skin creams, personal hygiene products, vitamins, or herbal supplements?
[01:06:06.354 --> 01:06:14.921]  Did you know that most skin creams, body lotions, shampoos, and toothpastes contain chemical additives such as sodium lauryl sulfate, the same type of detergent used in dish soap?
[01:06:14.921 --> 01:06:18.504]  Did you know that many multivitamin supplements are made from synthetic vitamins?
[01:06:18.504 --> 01:06:21.726]  Do your herbal remedies have unwanted additives and fillers?
[01:06:21.726 --> 01:06:24.228]  Have you ever tested your body's pH level?
[01:06:24.228 --> 01:06:27.211]  Make the change to organic health and beauty products.
[01:06:27.211 --> 01:06:29.953]  Visit 2benatural.com and order today!
[01:06:30.353 --> 01:06:30.774]  We're good.
[01:06:46.349 --> 01:06:50.953]  Use coupon code RADIO for 15% discount and free alkaline food chart.
[01:06:50.953 --> 01:06:53.395]  Call 1-888-417-1375.
[01:06:53.395 --> 01:07:01.501]  That's 1-888-417-1375 to order or request your free catalog.
[01:07:01.501 --> 01:07:07.325]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[01:07:07.325 --> 01:07:14.311]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well funded.
[01:07:14.873 --> 01:07:21.460]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[01:07:21.460 --> 01:07:23.442]  Well, Obama's already fudging.
[01:07:23.442 --> 01:07:25.945]  He's fudged since day one in this election.
[01:07:25.945 --> 01:07:36.896]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[01:07:37.521 --> 01:07:39.182]  It's not about left or right.
[01:07:39.182 --> 01:07:41.043]  It's about a one world government.
[01:07:41.043 --> 01:07:47.947]  This film documents who Obama works for, the lies he is told, and his real agenda.
[01:07:47.947 --> 01:07:56.212]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[01:07:56.212 --> 01:07:57.793]  The Obama Deception.
[01:07:57.793 --> 01:08:00.955]  The people strike back.
[01:08:00.955 --> 01:08:06.118]  How would you like to finally be debt free without paying another cent to creditors and not have to file the
[01:08:08.063 --> 01:08:08.624]  Let's do it!
[01:08:25.848 --> 01:08:26.388]  I don't know.
[01:08:47.814 --> 01:08:50.497]  Call 718-615-0123.
[01:08:50.497 --> 01:08:53.760]  That's 718-615-0123.
[01:08:53.760 --> 01:08:57.503]  Or visit them online at DebtCrisisSolutions.com.
[01:08:57.503 --> 01:09:01.046]  That's DebtCrisisSolutions.com today!
[01:09:01.046 --> 01:09:06.451]  The Genesis Communications Radio Network proudly presents The Alex Jones Show.
[01:09:06.451 --> 01:09:08.733]  Because there's a war on for your mind.
[01:09:25.433 --> 01:09:45.889]  As we speak, the financial criminals, the treasury secretaries and governors of the private banking system are meeting in Europe to openly set up what they call a global government owned, run and paid for by the taxpayers
[01:09:47.890 --> 01:09:51.232]  But dominated by the elite.
[01:09:51.232 --> 01:10:02.559]  That is, we finance it, but it's private, and private groups then set the rules, the regulations over the planet.
[01:10:02.559 --> 01:10:15.548]  And it's all over the newspapers, hundreds and hundreds of newspapers, and that's why you see all these Fox News people and others having to come out and admit it's real, because they look ridiculous denying it like they always did in the past.
[01:10:17.529 --> 01:10:19.770]  So you'll have no say in it, no control.
[01:10:19.770 --> 01:10:28.395]  The very bankers that have engineered all this are out there having press conferences and diverting and distracting you about, oh, how they need more money.
[01:10:28.395 --> 01:10:30.576]  But Dick Morris is right on Fox News.
[01:10:30.576 --> 01:10:33.918]  That is the side show.
[01:10:33.918 --> 01:10:40.121]  The real issue is what they put in their draft resolutions.
[01:10:40.121 --> 01:10:44.384]  They want a world tax rate on average of over 80% on every man, woman, and child in the country.
[01:10:45.583 --> 01:10:55.407]  And no matter what nation you live in, on the planet, they want environmental carbon taxes on every facet of your life.
[01:10:55.407 --> 01:11:02.770]  They will control the value of currencies so they can manipulate things to their profit and destroy nations further to consolidate them.
[01:11:02.770 --> 01:11:04.991]  They will control global interest rates.
[01:11:04.991 --> 01:11:07.812]  This is all being set up right now.
[01:11:07.812 --> 01:11:11.054]  And we'll continue to track that as it unfolds.
[01:11:12.878 --> 01:11:14.299]  All right, let's go back to the calls.
[01:11:14.299 --> 01:11:16.281]  Let's talk to Brian in Alabama.
[01:11:16.281 --> 01:11:17.862]  Go ahead, Brian.
[01:11:17.862 --> 01:11:19.004]  Hey, how are you doing, Alex?
[01:11:19.004 --> 01:11:20.265]  Good, sir.
[01:11:20.265 --> 01:11:23.067]  I wanted to talk about the FEMA camp.
[01:11:23.067 --> 01:11:25.409]  I know you're doing a big expo there tomorrow, I think.
[01:11:25.409 --> 01:11:26.831]  It has a Glenn Beck show.
[01:11:26.831 --> 01:11:34.117]  But, you know, something people, I think, don't understand is that there's different types of FEMA camps.
[01:11:34.117 --> 01:11:36.960]  They're not all, like, giant death camps.
[01:11:36.960 --> 01:11:39.382]  And I want to know if you could, like, kind of speak to that a little bit.
[01:11:42.130 --> 01:12:02.501]  Well, I have been so busy because I'm already shooting new interviews for a new Obama film that I'm going to be releasing on July 4th as something to accompany and to compliment the Obama deception that's just taken off like a rocket.
[01:12:02.501 --> 01:12:10.026]  And so I, again, two weeks ago when Glenn Beck was saying he was going to debunk the FEMA camps and that
[01:12:11.128 --> 01:12:15.951]  He was going to see if they were real or not.
[01:12:15.951 --> 01:12:18.793]  I said, you watch, it's going to be a hit piece.
[01:12:18.793 --> 01:12:30.659]  In fact, to be clear, going back a few months ago, he started saying on every show, on radio and TV, on Fox and on his radio show, I'm going to look at the FEMA camps, it looks like they may be real.
[01:12:30.659 --> 01:12:32.020]  I'm going to cover them.
[01:12:32.020 --> 01:12:38.124]  And then show after show, he would go on other Fox shows and say, tonight on my show, I'm going to expose it, it looks like it's real.
[01:12:39.485 --> 01:12:42.867]  And I said, folks, he's only doing that to get your confidence.
[01:12:42.867 --> 01:12:44.988]  He's going to debunk them.
[01:12:44.988 --> 01:12:55.573]  These guys have lost so much credibility now that they have to first try to get your confidence to then stab you in the back.
[01:12:55.573 --> 01:13:01.356]  And then sure enough, last week he announces that coming up,
[01:13:03.206 --> 01:13:14.931]  The Monday after next, and that's now next Monday, that he's going to have popular mechanics on to debunk it and that it's not true and it was only kernels of truth.
[01:13:14.931 --> 01:13:22.055]  And so how they're going to do it is, they're going to go, yeah, there's a bill for homeless people to give them a safe place to live.
[01:13:22.055 --> 01:13:26.377]  And yeah, there's a few military plans if there's a terror attack for temporary shelter.
[01:13:27.409 --> 01:13:43.364]  And these are not death camps like the Nazis had, and these people have exaggerated, and then they're going to show Louisiana or Mississippi, those are some of the most famous photos, been out for a decade, quote, U.S.
[01:13:43.364 --> 01:13:45.726]  Army NATO training camp.
[01:13:45.726 --> 01:13:52.172]  And it's set up like a refugee camp in Kosovo, in Serbia, in Bosnia.
[01:13:53.908 --> 01:14:00.535]  And it's got barbed wire facing in, it's got guard towers.
[01:14:00.535 --> 01:14:03.097]  I'm guessing they're going to show that.
[01:14:03.097 --> 01:14:05.239]  Because I know how they operate and some of the things they said.
[01:14:05.239 --> 01:14:07.681]  Oh, we've got the photos, but it isn't what you think.
[01:14:07.681 --> 01:14:12.066]  So if they see, it's just, it's just an army training camp.
[01:14:13.988 --> 01:14:21.770]  And there won't be any discussions on the scores of different types of camps, the current camps that have prisoners on them.
[01:14:21.770 --> 01:14:31.974]  The city council members we've had on from like Washington State, where the army approached them and said, we want you to give us this city land because we're going to have a collapse of the society.
[01:14:31.974 --> 01:14:34.654]  This was like four years ago I had the city councilman on.
[01:14:34.654 --> 01:14:36.515]  It was on local NBC TV.
[01:14:36.515 --> 01:14:41.076]  See, I've got to, here's the problem, I have to sit down.
[01:14:41.076 --> 01:14:42.777]  This is the process with this much data.
[01:14:44.042 --> 01:14:48.586]  Because I didn't have enough webmasters in the past to always take any new FEMA Camp article and put it in a subsection.
[01:14:48.586 --> 01:14:50.267]  I don't have the money.
[01:14:50.267 --> 01:14:52.068]  But we're trying to work on this.
[01:14:52.068 --> 01:14:58.493]  And I have to sit down with a piece of paper and write probably 20-30 pages of notes of things I remember.
[01:14:58.493 --> 01:15:02.997]  Then I have to go on Google and spend hours and hours and hours.
[01:15:02.997 --> 01:15:06.319]  And I've got to do it tonight now.
[01:15:06.319 --> 01:15:07.480]  So I didn't do it last night.
[01:15:07.480 --> 01:15:10.262]  I got home and actually spent a few hours with my wife and children.
[01:15:10.262 --> 01:15:12.024]  Then I got tired at about 10 and went to bed.
[01:15:13.404 --> 01:15:18.286]  I just, it's such a responsibility, and I just can't handle it anymore.
[01:15:18.286 --> 01:15:24.268]  The point is, is that bills to put Americans in FEMA camps at the state levels.
[01:15:24.268 --> 01:15:28.049]  Rhode Island, where the governor said, if you criticize the government, you'll be put in a forced labor camp.
[01:15:28.049 --> 01:15:36.932]  That was in the major paper in the capital city there, and it was also on local TV.
[01:15:36.932 --> 01:15:38.413]  I have to find those and pull them.
[01:15:39.695 --> 01:15:41.637]  I have to show the accompanying legislation.
[01:15:41.637 --> 01:15:42.858]  I have to pull all the U.S.
[01:15:42.858 --> 01:15:43.538]  Army codes.
[01:15:43.538 --> 01:15:47.201]  I have to pull the civilian inmate labor camp program.
[01:15:47.201 --> 01:15:52.024]  I have to get all of that and all the video clips because I want to throw the kitchen sink at them.
[01:15:52.024 --> 01:15:54.646]  I want to show just hundreds of pieces of evidence.
[01:15:54.646 --> 01:16:04.914]  I mean, I could do a show right now and show 20, 30 pieces and Washington Post and Houston Chronicle and admitting they have camps for civil unrest and Senate hearings admitting it.
[01:16:04.914 --> 01:16:05.594]  No, no, no.
[01:16:05.594 --> 01:16:07.736]  I want to hit them with the whole picture.
[01:16:08.707 --> 01:16:20.355]  And then also counter how they're going to debunk and show that I understand their minds so well and how they operate that I'm going to predict how the debunking works next Monday.
[01:16:20.355 --> 01:16:21.356]  And here's the problem.
[01:16:21.356 --> 01:16:25.839]  I leave here today to go to George Humphrey's house to interview him for the next Obama film.
[01:16:25.839 --> 01:16:28.060]  I'll probably get home about 7.
[01:16:28.060 --> 01:16:28.701]  But I will do it.
[01:16:28.701 --> 01:16:33.184]  I'll drink a bunch of coffee and I'll stay up until 2 or 3 in the morning and I am going to come in here.
[01:16:33.184 --> 01:16:36.046]  In fact, guys, Hooge, Paul Hartman and
[01:16:37.711 --> 01:16:41.453]  Mr. Neihardt, I need you both here an hour early tomorrow.
[01:16:41.453 --> 01:16:42.513]  Can you do that?
[01:16:42.513 --> 01:16:52.158]  Because I have to bring in a huge group of printouts, mainstream news articles and bills, and I need you to have them already pulled up with a web address as a list, and then all the video clips.
[01:16:52.158 --> 01:16:55.260]  So that'll be a, we have to have like an hour meeting before tomorrow.
[01:16:55.260 --> 01:17:04.325]  I mean, think of Fox, they have, Beck has probably a hundred people working for him, and he... Do what, sir?
[01:17:04.325 --> 01:17:04.845]  Oh my God.
[01:17:05.967 --> 01:17:12.532]  That's right, I have lawyer meetings tomorrow and I, since I was getting home early, I told my kids I'd take them fishing.
[01:17:12.532 --> 01:17:13.813]  That fishing has to wait.
[01:17:13.813 --> 01:17:16.895]  I'm not going to, oh man, my wife is going to get mad.
[01:17:16.895 --> 01:17:21.159]  They've been so excited all week.
[01:17:21.159 --> 01:17:22.259]  No, I have to do it.
[01:17:22.259 --> 01:17:23.981]  I have to do it.
[01:17:23.981 --> 01:17:31.607]  See, I don't want to wait until Monday and then launch it hours before, because if we get the jump on them and have it all over the web debunking them before,
[01:17:32.637 --> 01:17:35.899]  Then, I can really expose them.
[01:17:35.899 --> 01:17:38.161]  I should have launched it earlier this week.
[01:17:38.161 --> 01:17:41.903]  Oh, man.
[01:17:41.903 --> 01:17:56.353]  You know, I could get ready on the nights this weekend and launch it Monday, and then get it up on the Alex Jones Channel on YouTube before, so it can go viral.
[01:17:56.353 --> 01:17:59.235]  All that matters is that I broadcast it before they broadcast the show.
[01:17:59.235 --> 01:18:00.316]  I know their attack profile.
[01:18:01.238 --> 01:18:05.460]  People always like that, you know, that trick that kind of illustrates for him.
[01:18:05.460 --> 01:18:11.444]  Because if I debunk it afterwards, it needs to be debunked before.
[01:18:11.444 --> 01:18:12.004]  Oh, man.
[01:18:12.004 --> 01:18:17.047]  Yeah, Burmese is in here tomorrow.
[01:18:17.047 --> 01:18:24.671]  See, I say I'm going to take a lot of calls and this happens because, you know, this isn't just quick answers.
[01:18:24.671 --> 01:18:27.412]  Brian in Alabama, there's going to be an expose on the FEMA camps.
[01:18:27.412 --> 01:18:30.494]  I mean, I already did one two or three weeks ago that I spent an hour on.
[01:18:31.977 --> 01:18:34.679]  And I showed, in fact, let's just get that up now.
[01:18:34.679 --> 01:18:36.661]  I know that's on PrisonPlanet.tv.
[01:18:36.661 --> 01:18:38.383]  What date was that?
[01:18:38.383 --> 01:18:46.049]  What was the date when, it was the day after Glenn Beck had Popper Mechanics on saying he was going to debunk it?
[01:18:46.049 --> 01:18:49.893]  No, no, no, that came after I said, watch, he's going to debunk it.
[01:18:49.893 --> 01:18:52.215]  He's claiming he's going to expose it, he's going to debunk it.
[01:18:52.215 --> 01:18:53.416]  So that was about a week before that.
[01:18:54.445 --> 01:18:56.787]  It's about two and a half weeks ago, it doesn't matter.
[01:18:56.787 --> 01:18:58.528]  You know, I can't do it all, ladies and gentlemen.
[01:18:58.528 --> 01:19:00.850]  I just can't do it all anymore.
[01:19:00.850 --> 01:19:03.772]  But does that answer your question there, Brian?
[01:19:03.772 --> 01:19:14.100]  Yeah, I was also going to talk about how, you know, some of the RECS 84 camps that you're talking about, you know, the civilian internment camps, there's one that actually I live really close to.
[01:19:14.100 --> 01:19:17.943]  It's in Fort McClellan, Alabama, and there's a few, I think, kind of unique
[01:19:18.581 --> 01:19:19.381]  We're good to go.
[01:19:43.302 --> 01:19:43.562]  Yeah, I think.
[01:19:59.890 --> 01:20:01.452]  Um, it's not going to be used anymore.
[01:20:01.452 --> 01:20:09.059]  They use it to, uh, burn up a bunch of, like, mustard gas and, uh, nerve agents from, like, World War I. That's from Anniston.
[01:20:09.059 --> 01:20:09.840]  That's from Anniston.
[01:20:09.840 --> 01:20:14.964]  Listen, you need to go shoot video of that, file a report, post it on YouTube.
[01:20:14.964 --> 01:20:15.545]  We'll link to it.
[01:20:15.545 --> 01:20:17.287]  But yes, I'm aware of those facilities.
[01:20:17.287 --> 01:20:20.249]  And again, they're all dual use.
[01:20:21.519 --> 01:20:27.221]  And so what they do is they go, well, yeah, we got some state prisoners that live at the base and the military oversees them.
[01:20:27.221 --> 01:20:28.021]  What's wrong with that?
[01:20:28.021 --> 01:20:30.301]  Again, acclimating everybody.
[01:20:30.301 --> 01:20:32.442]  They don't just immediately say these are death camps.
[01:20:32.442 --> 01:20:36.463]  Just like I told you, they wouldn't just immediately say troops on the streets.
[01:20:36.463 --> 01:20:38.124]  They had to acclimate you first.
[01:20:38.124 --> 01:20:39.204]  Look, I can't do it all.
[01:20:39.204 --> 01:20:40.944]  I need all of you to go to the camps.
[01:20:40.944 --> 01:20:44.465]  You can go to the 24 camps listed in the Civilian Inmate Labor Camp Program.
[01:20:44.465 --> 01:20:46.286]  Just Google Civilian Inmate Labor Camp Program.
[01:20:47.136 --> 01:20:51.378]  Army Regulation 210-35 and you can go to all the camps for yourself.
[01:20:51.378 --> 01:20:52.959]  I know they got the buses ready.
[01:20:52.959 --> 01:20:56.360]  By the way, we did dig out the Rocky Mountain News article.
[01:20:56.360 --> 01:20:57.061]  We did find that.
[01:20:57.061 --> 01:20:59.282]  Kurt Nimmo wrote an article about it with the incinerators.
[01:21:01.914 --> 01:21:08.075]  The new World Order Beast is genetically modifying your food.
[01:21:08.075 --> 01:21:14.497]  Mixing vegetables with animals and now experimenting with viruses.
[01:21:14.497 --> 01:21:20.238]  Without a long-term food solution, you will have just two options.
[01:21:20.238 --> 01:21:22.319]  Starve or surrender.
[01:21:22.319 --> 01:21:27.000]  All canned food supplies will eventually run out.
[01:21:27.000 --> 01:21:27.880]  What then?
[01:21:30.609 --> 01:21:33.691]  Grow your own healthy food and feed your family forever.
[01:21:33.691 --> 01:21:38.014]  SurvivalistSeeds.com is now the nation's largest bulk heirloom seed company.
[01:21:38.014 --> 01:21:40.896]  And it's owned by a real patriot, Big John Lipscomb.
[01:21:40.896 --> 01:21:48.120]  You can now have an infinite amount of healthy vegetables like a watermelon, a bundle of carrots, or tomatoes for a little more than a penny each.
[01:21:48.120 --> 01:21:50.002]  SurvivalistSeeds.com.
[01:21:50.002 --> 01:21:55.425]  And now you can go into business with Big John at SurvivalistSeeds.com by becoming an affiliate.
[01:21:55.425 --> 01:21:58.147]  See his link at SurvivalistSeeds.com.
[01:21:58.147 --> 01:21:58.947]  SurvivalistSeeds.com.
