[00:00.000 --> 00:13.160]  You're listening to the Alex Jones show
[32:24.000 --> 32:28.000]  100% organic coffee at InfowarsLife.com
[32:28.000 --> 32:35.000]  This coffee gives you a long, smooth pick me up for hours without the headaches and heartburn that so many other coffees give me personally
[32:35.000 --> 32:42.000]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican Farmers
[32:42.000 --> 32:46.000]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed
[32:46.000 --> 32:50.000]  Available in original or with our immune support infusion blend
[32:50.000 --> 32:56.000]  Be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee
[32:56.000 --> 33:01.000]  Available at InfowarsLife.com
[33:01.000 --> 33:10.000]  You're listening to the Alex Jones show
[33:10.000 --> 33:22.000]  For every question they don't want you to ask, he has the answer they don't want you to hear
[33:22.000 --> 33:48.000]  He is Alex Jones
[33:48.000 --> 33:55.000]  Alex Jones
[33:55.000 --> 34:01.000]  Google is being accused of hiding negative stories about Hillary and her campaign by changing its algorithm
[34:01.000 --> 34:06.000]  to marry stories like the Clinton body count story that's according to website Infowars
[34:06.000 --> 34:19.000]  It's confirmed there are at least some shooters to the fully automatic weapons
[34:19.000 --> 34:28.000]  It was almost as if it were a planned infusion, it just panicked
[34:28.000 --> 34:31.000]  I think this is a national security imperative
[34:31.000 --> 34:38.000]  It's clear things that we do not understand how they work, operating in areas that we can't control
[34:38.000 --> 34:39.000]  UFOs
[34:39.000 --> 34:44.000]  Is this global governance at last? Is it one world with central bankers in charge?
[34:44.000 --> 34:49.000]  Israel claims the attack was accidental, but some former US naval officers say it was on purpose
[34:49.000 --> 34:53.000]  They describe the day's action as part of a continuing cover-up
[34:53.000 --> 34:58.000]  Russian intelligence compiled a dossier on Mr. Trump during visits to Moscow
[34:58.000 --> 35:02.000]  Russia didn't stop, denied everything, called it all fake news
[35:02.000 --> 35:05.000]  And he accused CNN of being fake news
[35:05.000 --> 35:09.000]  This is an information if they kill Trump or remove Trump
[35:09.000 --> 35:13.000]  It will cause a massive civil war in this country
[35:13.000 --> 35:16.000]  This is a theme to high rambling
[35:16.000 --> 35:18.000]  We are at war with Russia
[35:18.000 --> 35:24.000]  Are you aware that Mr. Stone also stated publicly that he was in direct communication with Julian Assange and WikiLeaks
[35:24.000 --> 35:27.000]  The White House and the President are citing Infowars
[35:27.000 --> 35:29.000]  They could shut us down, you're next
[35:29.000 --> 35:34.000]  If you are receiving this transmission, you are the resistance
[35:34.000 --> 35:37.000]  It's Alex Jones
[35:45.000 --> 35:48.000]  Ladies and gentlemen, we are back live
[35:48.000 --> 35:55.000]  I don't want to sit here and talk about Infowars and make it about us, but the mainstream corporate media already does that
[35:55.000 --> 35:57.000]  You've got to ask yourself why
[35:57.000 --> 36:02.000]  Every major newspaper, every major local TV station that's globalist controlled
[36:02.000 --> 36:06.000]  The vast majority of them, every major TV network
[36:06.000 --> 36:11.000]  Says we need to be shut down, we're racist, we're Russian spies
[36:11.000 --> 36:14.000]  We're attacking, shooting families, victims
[36:14.000 --> 36:19.000]  We're saying nobody died in Parkland, none of that's true
[36:19.000 --> 36:22.000]  What are they still scared of?
[36:22.000 --> 36:27.000]  And if you know that, you know the answer to their weak spot
[36:27.000 --> 36:31.000]  And that's what's so frustrating to me
[36:31.000 --> 36:37.000]  Is it okay? Maybe I'm above average back when I was an old athletics
[36:37.000 --> 36:40.000]  Or maybe I was above average at public speaking
[36:40.000 --> 36:43.000]  But I'm not that special
[36:43.000 --> 36:48.000]  And I read the Council on Foreign Relations publications that are public
[36:48.000 --> 36:50.000]  I've read the UN documents
[36:50.000 --> 36:53.000]  I've read what David Rockefeller wrote in three of his books
[36:53.000 --> 36:56.000]  I've read what Mao Zedong wrote in his books
[36:56.000 --> 36:58.000]  I've read what Adolf Hitler wrote in his books
[36:58.000 --> 37:01.000]  I mean, I like to read what dictators actually say
[37:01.000 --> 37:04.000]  And the public's so ignorant
[37:04.000 --> 37:08.000]  If you're at the library checking out a Mao Zedong book or an Adolf Hitler book
[37:08.000 --> 37:12.000]  He wrote a couple books, not just Mein Kampf, Mein Struggle
[37:12.000 --> 37:15.000]  They look at you like, you're crazy
[37:15.000 --> 37:18.000]  It's like in a Mike Judge, my good buddy's film, Idiocracy
[37:18.000 --> 37:21.000]  The guy can talk in the future 200 years from now
[37:21.000 --> 37:23.000]  And the judges are like
[37:23.000 --> 37:28.000]  What is going on? What is going on with this guy?
[37:31.000 --> 37:35.000]  And that's what's frustrating is there's a global government
[37:35.000 --> 37:39.000]  It's tax-free, it's corporate, it's anti-free market
[37:39.000 --> 37:42.000]  It's anti-freedom, it's anti-western
[37:42.000 --> 37:44.000]  Because the West is about being open and free
[37:44.000 --> 37:49.000]  It's authoritarian, it's really creepy
[37:49.000 --> 37:52.000]  And it's coming down on us
[37:52.000 --> 37:56.000]  And if you look at Davos and Bilderberg and all these public groups
[37:56.000 --> 38:01.000]  That they said weren't public, like Bilderberg just a few years ago
[38:01.000 --> 38:04.000]  They wouldn't admit that world government existed a few years ago
[38:04.000 --> 38:10.000]  Look at how far we've come
[38:10.000 --> 38:15.000]  And so they act like I'm a weirdo
[38:15.000 --> 38:19.000]  Because I've actually read what the global is planned to do
[38:19.000 --> 38:23.000]  And it's even crazier what they're doing
[38:23.000 --> 38:26.000]  See, when I read the World Government Conference in Dubai
[38:26.000 --> 38:31.000]  With major world leaders there, and Elon Musk and Bill Gates and everybody
[38:31.000 --> 38:38.000]  And Elon Musk is like, I disagree with the elite, we shouldn't kill everybody
[38:38.000 --> 38:42.000]  And then the other billionaires say, no, we should
[38:42.000 --> 38:52.000]  That's what 19 years ago Bill Joy warned about in a major publication, Wired Magazine
[38:52.000 --> 38:57.000]  Why the future doesn't need us, I mean, these decisions have been made
[38:57.000 --> 39:02.000]  And we sit here like morons not doing anything about it
[39:02.000 --> 39:09.000]  And the establishment thought you were so dumb that for the 18 years of my 23 years on air
[39:09.000 --> 39:11.000]  They just ignored us
[39:11.000 --> 39:14.000]  We were bigger overall reach
[39:14.000 --> 39:18.000]  I get the numbers two years ago than we are now
[39:18.000 --> 39:21.000]  We're about the size we were four years ago because of the censorship
[39:21.000 --> 39:23.000]  I'll let the enemy know they've had an effect
[39:23.000 --> 39:26.000]  Only weapon I have is the truth
[39:26.000 --> 39:29.000]  But if they let us out in the open, we obviously dominate
[39:29.000 --> 39:33.000]  Just because we're covering real stuff, we take their own admissions and show people
[39:33.000 --> 39:35.000]  But it's all over the news
[39:35.000 --> 39:39.000]  Oh, Jones suddenly got big and was under scrutiny and Jones is being sued for this and that
[39:39.000 --> 39:42.000]  They're all fake lawsuits, none of it's even real
[39:42.000 --> 39:46.000]  They're being thrown out on a weekly basis, it still costs money to do that though
[39:46.000 --> 39:53.000]  But the issue is they now have to have CNBC articles admitting world government
[39:53.000 --> 40:00.000]  With a plan to live forever and to reduce the world population by 90% is the religion
[40:00.000 --> 40:02.000]  And that's all I'm saying
[40:02.000 --> 40:05.000]  And the globalists think I'm an idiot, they don't have any confidence in you
[40:05.000 --> 40:08.000]  Just like they didn't care if this info was known 20 years ago
[40:08.000 --> 40:10.000]  They thought nobody'd pick it up or nobody'd listen
[40:10.000 --> 40:14.000]  Now they still don't care and think anything of you
[40:14.000 --> 40:19.000]  And they're publicly admitting everything I told you
[40:19.000 --> 40:21.000]  Like you're not going to do anything
[40:21.000 --> 40:25.000]  And I just keep thinking you're like me and you want freedom in the future
[40:25.000 --> 40:27.000]  And don't want to live under authoritarianism
[40:27.000 --> 40:31.000]  But so many of you, because you get a little bit more Google money with your YouTube account
[40:31.000 --> 40:36.000]  Or a little more Twitter, you don't get any money, but more bots tweet you, they're fake people
[40:36.000 --> 40:39.000]  They're fake friends, but you feel like you're having an effect
[40:39.000 --> 40:44.000]  If you say something anti-free market, anti-American, anti-family, anti-Holics Jones
[40:44.000 --> 40:47.000]  Anti-free speech
[40:47.000 --> 40:54.000]  And I'm like, are the globalists right? The public's really this bad, really this weak, really this stupid
[40:54.000 --> 40:58.000]  And they don't want to have a future?
[40:58.000 --> 41:01.000]  So I'm not upset that I'm being attacked
[41:01.000 --> 41:05.000]  We're actually, in many ways, getting bigger and stronger because of it
[41:05.000 --> 41:08.000]  And now another upward trend the last few months
[41:08.000 --> 41:13.000]  I mean, I said we'd kind of peaked a few years ago, and they sensed that we were going down
[41:13.000 --> 41:16.000]  Now the massive attacks were going way back up
[41:16.000 --> 41:19.000]  But it doesn't matter, they know people that are already awake are already awake
[41:19.000 --> 41:23.000]  They don't care, it's meant to inoculate people psychologically who hear us or see us
[41:23.000 --> 41:27.000]  To just ignore it, it's like Stephen Colbert
[41:27.000 --> 41:29.000]  They had this cartoon they ran last week of me
[41:29.000 --> 41:34.000]  Where I go, there's fluoride in the water and the aliens will crawl up your rear end if you drink it
[41:34.000 --> 41:39.000]  Harvard admits the fluoride gives you cancer and lowers your IQ massively
[41:39.000 --> 41:42.000]  Don't believe me, but see Colbert, everything on Colbert is
[41:42.000 --> 41:47.000]  The waters find a drink, drink the fluoride, nothing's wrong with the frogs
[41:47.000 --> 41:49.000]  They know they're getting you
[41:49.000 --> 41:51.000]  Now there it is
[41:51.000 --> 41:58.000]  I caught them in a fluoride hot tub, devil worship in the fluoride
[41:58.000 --> 42:02.000]  And it's like God Almighty, they know exactly what they're doing
[42:02.000 --> 42:05.000]  So hey, your 10-year-old gets cancer, just remember
[42:05.000 --> 42:07.000]  Or you get sterilized or whatever
[42:07.000 --> 42:11.000]  They're not playing games here folks, they mean business, business
[42:11.000 --> 42:14.000]  So I didn't get to this big news, but I'll try to
[42:14.000 --> 42:19.000]  China's dictator says Internet control, key to stability, Reuters
[42:19.000 --> 42:22.000]  There's just a Reuters article about how everybody needs to censor the web
[42:22.000 --> 42:28.000]  And he praises the West for censorship and says, stop criticizing us for censorship
[42:28.000 --> 42:31.000]  And now if you want to have a great future, just shut the people up
[42:31.000 --> 42:34.000]  But China with its mobile execution vans and
[42:34.000 --> 42:36.000]  Buddhists get put in death camps and their organs taken
[42:36.000 --> 42:39.000]  And the West's like, hey, it's a good thing
[42:39.000 --> 42:43.000]  But they all go do yoga all day and worship yogis
[42:43.000 --> 42:46.000]  But they're like, but we need to kill Buddhists
[42:46.000 --> 42:50.000]  And you're like, okay, so it's all coming up
[42:50.000 --> 42:55.000]  But first, the government leaks DARPA documents on cell phones and mind controls
[42:55.000 --> 43:20.000]  And how many babies are dead
[43:20.000 --> 43:22.000]  Probiotic Fur Emo homemade fiber
[43:22.000 --> 43:27.480]  bacteria to help feed good bacteria, which helps you digest food, absorb nutrients, and
[43:27.480 --> 43:29.760]  even support your immune system.
[43:29.760 --> 43:34.840]  InfoWarsLife's cutting-edge formula only brings you the highest quality, organic and
[43:34.840 --> 43:37.320]  clinically studied ingredients.
[43:37.320 --> 43:42.240]  Cheap prebiotic fibers are used up only at the beginning of the colon, but our premium
[43:42.240 --> 43:49.160]  organic acacia fiber is slowly digested by the good bacteria throughout the entire colon
[43:49.160 --> 43:51.840]  for maximum prebiotic effect.
[43:51.840 --> 43:57.880]  Send to infowarslife.com or call 1-888-253-3139.
[43:57.880 --> 44:02.760]  After years of research working with top developers here in the United States with the latest
[44:02.760 --> 44:09.520]  cutting-edge science, we are rolling out three new digestive gut aids.
[44:09.520 --> 44:15.480]  One of them is a powerful pro-digestive enzyme, carnivore, for being able to break down meat
[44:15.480 --> 44:21.960]  other proteins better, and then the other two is a powerful 50 billion live probiotic
[44:21.960 --> 44:27.360]  culture of the very best strains in fluorolive advanced restoration.
[44:27.360 --> 44:32.920]  And we also have an everyday, extremely affordable fluorolive everyday maintenance, but all of
[44:32.920 --> 44:41.280]  these are the very cutting-edge, top-of-the-line probiotics and digestive enzymes at an extremely
[44:41.280 --> 44:42.800]  affordable price.
[44:42.800 --> 44:48.560]  That is my goal here, is to bring you the very best at the lowest price.
[44:48.560 --> 44:53.600]  When you purchase it at infowarsstore.com, you know you are also financing the attack
[44:53.600 --> 44:57.600]  on the globalist and the defense of our republic and freedom worldwide.
[44:57.600 --> 45:04.760]  Hey, did you know that you can now preserve your own food for up to 25 years and still
[45:04.760 --> 45:07.720]  maintain its nutrition and flavor?
[45:07.720 --> 45:08.720]  That's right.
[45:08.720 --> 45:13.440]  It's time to build your own food storage with Harvest Wright's Freeze Dryers.
[45:13.440 --> 45:18.640]  Go to infowarsstore.com to learn more and check out this innovative and smart technology
[45:18.640 --> 45:24.040]  that's easy to use, and let me tell you something, it is perfect for freeze-drying fruits, vegetables,
[45:24.040 --> 45:27.240]  meats, dairy products, desserts, and entire meals.
[45:27.240 --> 45:28.960]  Woo, that's what I'm talking about.
[45:28.960 --> 45:33.960]  And when compared to traditional methods of preservation, like canning or dehydrating,
[45:33.960 --> 45:37.960]  you know like what you get at the grocery store, there is no comparison.
[45:37.960 --> 45:43.800]  Harvest Wright Freeze Dryers retain 97% of the food's taste, color, and nutritional value
[45:43.800 --> 45:47.280]  and have a shelf life of up to 25 years.
[45:47.280 --> 45:50.720]  Now that's what I call the miracle of food preservation.
[45:50.720 --> 45:54.840]  Harvest Wright is truly the world's best, most affordable freeze dryer.
[45:54.840 --> 45:55.840]  So what are you waiting for?
[45:55.840 --> 45:58.800]  Check it out right now at infowarsstore.com.
[45:58.800 --> 46:01.600]  It's been sold out for months and now it's back.
[46:01.600 --> 46:03.960]  It's Myco ZX Plus.
[46:03.960 --> 46:09.160]  More price, more ingredients because we scaled up, signed to your contract with an even bigger,
[46:09.160 --> 46:12.120]  organic manufacturer and producer.
[46:12.120 --> 46:13.120]  Scalability.
[46:13.120 --> 46:18.840]  But now we're able to go at 50% off to $27 instead of $39, 50% off because there's a
[46:18.840 --> 46:21.880]  lot of product and a lot of ingredient, Myco ZX.
[46:21.880 --> 46:23.400]  Now it's the other side of the equation.
[46:23.400 --> 46:27.560]  Everybody thinks about probiotics, now great they are for your gut because of toxins in
[46:27.560 --> 46:31.840]  the environment, pesticides, herbicides, but more importantly than bad bacteria, the probiotics
[46:31.840 --> 46:36.520]  help displace, yeast mold creates slime walls.
[46:36.520 --> 46:41.040]  And once the candida and the yeast and the mold and all that get in there, it causes
[46:41.040 --> 46:42.040]  all sorts of serious issues.
[46:42.040 --> 46:46.760]  Well, this has got a bunch of concentrated herbs in it and compounds known to destroy
[46:46.760 --> 46:48.760]  that slime wall.
[46:48.760 --> 46:51.080]  Don't wait to start detoxifying your body until it's too late.
[46:51.080 --> 47:02.800]  Pick up a bottle of the new and improved Myco ZX Plus now from the InfoWars store.
[47:02.800 --> 47:21.200]  We're listening to the Alex Jones show.
[47:21.200 --> 47:36.520]  The world is a dangerous place, not because of evil, but because of those who look on
[47:36.520 --> 47:37.520]  and do nothing.
[47:37.520 --> 47:38.520]  If you are receiving this transmission, you are the resistance.
[47:38.520 --> 47:39.520]  We now take you live to the Central Texas Command Center.
[47:39.520 --> 47:40.520]  It's Alex Jones.
[47:40.520 --> 48:01.520]  The fighting is now close at hand, pray to God, let's crank this part up, and don't
[48:01.520 --> 48:10.360]  believe the church and state, believe in God, I'm with the high command, can you feel it?
[48:10.360 --> 48:18.680]  Myco the Mechanics, there's a gun and ammunition just inside the doorway, used only in emergency.
[48:18.680 --> 48:25.160]  I already took my iodine this morning, but I was talking to scientists, engineers, oil
[48:25.160 --> 48:30.240]  company folks just yesterday dealing with the shortages of X2, I'm going to get to the
[48:30.240 --> 48:33.520]  big news here.
[48:33.520 --> 48:38.240]  And I'm like, listen, our quest seven, eight years ago, knowing the iodine conspiracy that
[48:38.240 --> 48:42.800]  iodine deficiency is causing the goiters, the brain damage, the lower IQs, they put
[48:42.800 --> 48:47.400]  the bad halogen, the fluoride in the water, we've got to get a better source.
[48:47.400 --> 48:53.240]  And we use seaweed before, but it's not that pure because of iodine bounds or binds with
[48:53.240 --> 48:55.960]  many different things, it doesn't get absorbed by the body.
[48:55.960 --> 49:00.840]  We got a deep earth crystal source from gas drilling, seven to 12,000 feet where they
[49:00.840 --> 49:01.840]  find it.
[49:01.840 --> 49:05.880]  It's very hard to get the oil companies to stop and extract it for you, but we did.
[49:05.880 --> 49:12.080]  It goes into a palm oil solution and doesn't make you sick, at least in my case, many others,
[49:12.080 --> 49:13.080]  when you take it.
[49:13.080 --> 49:15.320]  So it's got five star reviews.
[49:15.320 --> 49:19.440]  I would tell everybody the stuff they mix with alcohol, whatever iodine does with that,
[49:19.440 --> 49:23.160]  all these folks that claim to have atomic iodine, it is not atomic iodine.
[49:23.160 --> 49:26.640]  Remember BuzzFeed had our stuff tested and said, it's not sodium iodine, it's not these
[49:26.640 --> 49:33.800]  other five times, it's just pure iodine, it's just pure, it's elemental.
[49:33.800 --> 49:36.600]  Yeah, nobody else has got that.
[49:36.600 --> 49:39.760]  So, it's gone way up on our price to get it.
[49:39.760 --> 49:41.760]  We may only have two more runs of it and that's it.
[49:41.760 --> 49:47.120]  I'm looking for other sources right now, but this may be the end of X2 and I hope it isn't,
[49:47.120 --> 49:49.680]  at least for a while, infoworksstore.com.
[49:49.680 --> 49:50.680]  It's still 25% off.
[49:50.680 --> 49:53.960]  We're about to sell out of it, but I got a rush shipment from the factory, it'll be
[49:53.960 --> 49:56.280]  months till we get more.
[49:56.280 --> 49:59.200]  Find out what X2 will do for you and your family.
[49:59.200 --> 50:06.040]  Even beyond secret 12, it's a great pure vitamin B12, methylcobalamin.
[50:06.040 --> 50:10.080]  And one other type, it's organic, it'll be uploaded, but it's 80% methylcobalamin, acetamylcobalamin,
[50:10.080 --> 50:12.720]  I can't pronounce them all.
[50:12.720 --> 50:16.640]  X2 is the pure 999999 halogen.
[50:16.640 --> 50:20.280]  Stuff we get explodes in the purple gas outside the test tube, that's being injected into
[50:20.280 --> 50:21.280]  palm oil.
[50:21.280 --> 50:22.360]  I mean, it's the real deal.
[50:22.360 --> 50:26.120]  The other iodine, it's your myrologist, sit there, it's like just black dirt.
[50:26.120 --> 50:29.640]  This is purple crystals, well I just showed it to your TV viewer.
[50:29.640 --> 50:36.600]  And what it does is amazing because it goes into your body live and I'm exhausted, whatever.
[50:36.600 --> 50:37.600]  Got stuff going on.
[50:37.600 --> 50:38.600]  Boom!
[50:38.600 --> 50:39.600]  Energy, 30 minutes later.
[50:39.600 --> 50:42.800]  It's, there's nothing like, it's downright incredible.
[50:42.800 --> 50:48.120]  It's available at infoworksstore.com or AAA2533139.
[50:48.120 --> 50:53.280]  We've also got specials with the real red pill, alpha power, you name it, with X2's,
[50:53.280 --> 50:58.160]  supermail vitality, 50% off by itself or when you get it, and free shipping, when you
[50:58.160 --> 50:59.880]  get supermail and the real red pill together.
[50:59.880 --> 51:05.080]  So that's another $6, $7 value on top of it, sounding for auto-ship, an additional 10%
[51:05.080 --> 51:07.560]  off, but here's the deal.
[51:07.560 --> 51:12.960]  Just like our information is game changing, what we do with these products is game changing.
[51:12.960 --> 51:18.320]  So you're not just supporting the very front lines of the resistance.
[51:18.320 --> 51:19.320]  And by the way, I'm no hero.
[51:19.320 --> 51:20.680]  You couldn't drag me away from this.
[51:20.680 --> 51:21.680]  I love it.
[51:21.680 --> 51:23.120]  I'm not living a boring life here.
[51:23.120 --> 51:24.840]  I'm having an effect on the world.
[51:24.840 --> 51:26.920]  I feel good, the spirit of God.
[51:26.920 --> 51:30.240]  And then by that, people say God fearing, it means, God fearing means you feel God's
[51:30.240 --> 51:31.240]  spirit.
[51:31.240 --> 51:33.600]  You do something bad, you feel it when you do something good, it's like, man, I feel
[51:33.600 --> 51:38.600]  really God feels good about what I'm doing, your discernment increases, it's magic.
[51:38.600 --> 51:41.440]  Not the devil's magic, God's magic.
[51:41.440 --> 51:42.940]  And there's a big difference.
[51:42.940 --> 51:46.240]  So I'm just inviting people to financially support us at infoworksstore.com.
[51:46.240 --> 51:50.920]  Okay, that said, I'll have to cover this more tomorrow because I did a bunch of research
[51:50.920 --> 51:54.160]  the last few days on Wednesday, Thursday, Friday to cover this.
[51:54.160 --> 51:59.200]  And Nico Acosta, our lead producer emailed me and a text message me yesterday, he said,
[51:59.200 --> 52:00.200]  why didn't you cover this?
[52:00.200 --> 52:02.800]  This is everything you've been talking about, Nick Begge.
[52:02.800 --> 52:04.880]  And I said, I actually had it in my stack.
[52:04.880 --> 52:05.880]  I didn't cover it.
[52:05.880 --> 52:07.480]  I'll cover it Sunday.
[52:07.480 --> 52:12.640]  But this is something I can spend a whole hour on because I've had the engineers on.
[52:12.640 --> 52:14.760]  I've had the physicists on.
[52:14.760 --> 52:15.960]  I've had the scientists on.
[52:15.960 --> 52:17.080]  I've had the doctors on.
[52:17.080 --> 52:19.560]  I've had the CIA people on.
[52:19.560 --> 52:22.640]  I've had them all on.
[52:22.640 --> 52:29.720]  And they said, listen, 2001, a space Odyssey, if you look at the screen of the phone or
[52:29.720 --> 52:31.520]  the screen or movie screen, that's what it is.
[52:31.520 --> 52:37.480]  It's telling you that's the obelisk.
[52:37.480 --> 52:38.480]  That's the obelisk.
[52:38.480 --> 52:48.920]  And I remember 20 years ago being told it's the dimensions of a 35 millimeter or 80 millimeter
[52:48.920 --> 52:49.920]  thing.
[52:49.920 --> 52:54.080]  And the obelisk is a screen turned upwards.
[52:54.080 --> 52:57.560]  And again, I'm not that smart because I'm a conduit.
[52:57.560 --> 53:03.120]  It's kind of the oracle is a, you know, high on gas out of a volcano.
[53:03.120 --> 53:04.120]  Not that I am.
[53:04.120 --> 53:08.280]  It's just projecting out from the ether, the information.
[53:08.280 --> 53:09.280]  That's all info wars is.
[53:09.280 --> 53:11.400]  It's kind of a crossroads of all this.
[53:11.400 --> 53:13.480]  And yes, we are an oracle.
[53:13.480 --> 53:14.480]  That's why they hate us.
[53:14.480 --> 53:20.080]  Simple wars is a real oracle of all the guests we have and all the collars and all the freedom.
[53:20.080 --> 53:22.280]  That's an oracle.
[53:22.280 --> 53:28.920]  And sometimes it's dark, sometimes it's light, but it's a true attempt at thought.
[53:28.920 --> 53:32.840]  And so that's why they hate us because the globals are all about dialing that down because
[53:32.840 --> 53:39.120]  if there's an oracle, if there's a free channel open, it's going to like dominoes, maybe queue
[53:39.120 --> 53:46.720]  up, V for Vendetta domino scene where he goes, all the dominoes go, and like the cops
[53:46.720 --> 53:48.520]  asked V, they go, why did you do this before?
[53:48.520 --> 53:51.560]  And he goes, I was waiting for you.
[53:51.560 --> 53:54.800]  Why didn't I do it before I was waiting for you?
[53:54.800 --> 53:56.200]  You were waiting for me.
[53:56.200 --> 54:01.480]  That's the whole point is they want to intimidate us to shut us down.
[54:01.480 --> 54:07.760]  But I did have people from the Defense Department, people from the CIA high level till it got
[54:07.760 --> 54:08.760]  ridiculous.
[54:08.760 --> 54:13.360]  So you come on here and say this, and it was so over the top the last month that I didn't
[54:13.360 --> 54:14.480]  cover it.
[54:14.480 --> 54:19.320]  And then I got some final calls and I saw some final news and I just felt the time was
[54:19.320 --> 54:27.080]  right to tell you this stuff when we start the next hour.
[54:27.080 --> 54:32.760]  But the globalists are getting ready to stage terror attacks against themselves to make themselves
[54:32.760 --> 54:40.160]  victims, Hollywood, CNN, Southern Poverty Law Center, ADL, I mean, it's happening now.
[54:40.160 --> 54:43.560]  The deep state doesn't mean those groups are part of it, but the deep state is loading
[54:43.560 --> 54:47.240]  the truck bombs right now with the ammonium nitrate.
[54:47.240 --> 54:51.720]  They're winding it up like 1995 when the states were pulling out of the UN and globalism
[54:51.720 --> 54:53.240]  and America was awakening.
[54:53.240 --> 54:55.360]  They're loading it all up right now.
[54:55.360 --> 54:56.360]  Have your cameras ready.
[54:56.360 --> 54:58.160]  Be on the ground when explosions go off.
[54:58.160 --> 54:59.640]  Get your cameras to the scene.
[54:59.640 --> 55:01.120]  That's why they hate this broadcast.
[55:01.120 --> 55:02.920]  You can duplicate no matter what they do to us.
[55:02.920 --> 55:05.320]  You can duplicate what they fear.
[55:05.320 --> 55:06.320]  You're better than us.
[55:06.320 --> 55:11.720]  There are people watching and listening right now way better than me.
[55:11.720 --> 55:17.240]  And just on cue, I was told a month ago, well, three and a half weeks ago that CNN will become
[55:17.240 --> 55:22.840]  an ISIS target, liberal groups will, they'll stage attacks against themselves.
[55:22.840 --> 55:26.240]  Then they will have an EMP strike.
[55:26.240 --> 55:30.600]  They'll claim North Korea did it and Trump did it because he didn't do the peace deal.
[55:30.600 --> 55:32.760]  And then they'll start World War three.
[55:32.760 --> 55:36.520]  Well that's all starting and it's scary as whatever.
[55:36.520 --> 55:39.160]  And maybe the EMP all was given was to manipulate me.
[55:39.160 --> 55:41.880]  I just have to now tell you, I don't know what to make of it.
[55:41.880 --> 55:45.880]  I'm trying to figure it out myself to everybody else as a talking pointer and agenda or they
[55:45.880 --> 55:47.240]  act like they know it all.
[55:47.240 --> 55:48.240]  I know a lot.
[55:48.240 --> 55:49.240]  Okay.
[55:49.240 --> 55:50.240]  I know a lot.
[55:50.240 --> 55:52.360]  I don't know 10%.
[55:52.360 --> 55:54.960]  They said the master knows they're the student.
[55:54.960 --> 56:01.360]  So I, at this point, my gut though, my subconscious is more powerful than my conscience than my
[56:01.360 --> 56:02.720]  conscious mind.
[56:02.720 --> 56:05.600]  It says go with this.
[56:05.600 --> 56:07.360]  So my gut says, say all this.
[56:07.360 --> 56:09.600]  I don't even know what I'm saying.
[56:09.600 --> 56:11.120]  You understand?
[56:11.120 --> 56:13.560]  I'm just saying my gut says go with this.
[56:13.560 --> 56:14.800]  I'm going now.
[56:14.800 --> 56:18.600]  And then sure enough, Zach didn't even know I was going to go with this yesterday, did
[56:18.600 --> 56:19.600]  a video on it.
[56:19.600 --> 56:23.080]  He was already calling Daria a producer and was already saying the exact same thing to
[56:23.080 --> 56:25.200]  her two days ago, I had no idea.
[56:25.200 --> 56:27.480]  So he's coming up right now.
[56:27.480 --> 56:30.880]  I didn't, I didn't mention this as the not go to it on purpose.
[56:30.880 --> 56:34.680]  I just, I just didn't get to it.
[56:34.680 --> 56:35.680]  Daily Mail reported it.
[56:35.680 --> 56:37.640]  Popular Mechanics reported it.
[56:37.640 --> 56:41.760]  There was a four year request from a threat fusion center and the CIA and they released
[56:41.760 --> 56:45.880]  1974 document, 44 years old.
[56:45.880 --> 56:49.840]  The year I was born, strangely enough, just a coincidence, I must say anything to do with
[56:49.840 --> 56:50.840]  me.
[56:50.840 --> 56:58.000]  It just says right here that they were testing towers and electromagnetic systems to control
[56:58.000 --> 57:04.520]  our sexual desire, our food desire, our happiness, our anger, and they confirmed that with wavelengths
[57:04.520 --> 57:14.240]  on towers and an electromagnetic range, that is the cell phone range that's from the documents
[57:14.240 --> 57:18.520]  real quick on TV, that they could, that they could control our moods.
[57:18.520 --> 57:19.520]  Okay.
[57:19.520 --> 57:24.280]  And it actually caused pain, caused hallucinations, broadcast sound in the brain, but we already
[57:24.280 --> 57:27.260]  had these patents 20 something years ago, they had patents 40 years ago, but we'd covered
[57:27.260 --> 57:28.760]  them 20 years ago.
[57:28.760 --> 57:30.360]  So why was this leaked now?
[57:30.360 --> 57:35.600]  Because there's patriots inside that the agencies, the agencies are our savior and
[57:35.600 --> 57:37.480]  they're our defeat.
[57:37.480 --> 57:41.520]  Liberty comes to our door and a uniform or tyranny comes to our door.
[57:41.520 --> 57:43.520]  It's a fight inside every organization.
[57:43.520 --> 57:46.040]  Second hour, only minutes away.
[57:46.040 --> 57:48.960]  Spread the links.
[57:48.960 --> 57:53.640]  You deserve a deep restful sleep with knockout by info wars life.
[57:53.640 --> 57:59.360]  Our organic formula is made from high quality natural ingredients such as valerian root
[57:59.360 --> 58:05.320]  extract, L tryptophan, lemon balm leaf extract and melatonin.
[58:05.320 --> 58:10.040]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[58:10.040 --> 58:14.920]  Millions of people around the world experience daytime drowsiness, but with the rapid speed
