[00:00:15.644 --> 00:00:16.994]  Alex Jones
[00:27:13.867 --> 00:27:17.008]  He thought it was a workplace type of... Alright, we have a question.
[00:27:17.008 --> 00:27:18.549]  What is it?
[00:27:18.549 --> 00:27:27.552]  What does this fellow think about Obama trying to get away with bringing the terrorists in and then blaming the Second Amendment for what he is an accomplice to?
[00:27:28.533 --> 00:27:40.797]  So he wants to know, why do you think that President Obama can get away with bringing these kind of people in, not vetting them, and then use that as a way to take away the Second Amendment?
[00:27:40.797 --> 00:27:45.799]  Number one, he has the backing behind him in the White House.
[00:27:45.799 --> 00:27:47.380]  He's a very slick politician.
[00:27:47.380 --> 00:27:51.921]  I think he's got a hidden agenda of what he wants for America.
[00:27:51.921 --> 00:27:57.223]  There's been all kinds of speculation on who he is, what his agenda is.
[00:27:58.078 --> 00:28:00.460]  And it's coming out.
[00:28:00.460 --> 00:28:04.102]  Putin probably looks at him as being Bozo the Clown.
[00:28:04.102 --> 00:28:13.689]  He can't pull anything off in the United States to show some courage and some determination to defend his own nation.
[00:28:13.689 --> 00:28:16.831]  Well, the President thinks that this is kind of like workplace violence.
[00:28:16.831 --> 00:28:17.731]  What is this?
[00:28:17.731 --> 00:28:20.733]  He's afraid to say it.
[00:28:20.733 --> 00:28:22.855]  He's on a different agenda.
[00:28:22.855 --> 00:28:25.897]  Workplace violence does occur.
[00:28:26.764 --> 00:28:37.473]  But when you had something like this come down, our San Bernardino Police Department, our FBI came up with certain resolutions and certain evidence.
[00:28:37.473 --> 00:28:41.456]  First thing he should have said is, this looks like terrorism.
[00:28:41.456 --> 00:28:41.876]  That's right.
[00:28:41.876 --> 00:28:42.257]  Stay there.
[00:28:42.257 --> 00:28:43.137]  Good points, Joe.
[00:28:43.137 --> 00:28:44.318]  We gotta go to break.
[00:28:45.419 --> 00:28:57.253]  We're going to come back and talk to some more folks straight ahead, then I'm going to go through these clips where they're announcing the draconian attack on our Second Amendment that our forbearers fought for because the leaders brought in jihadis.
[00:28:57.253 --> 00:29:04.141]  For all of recorded history, civilizations around the world praised the health benefits of silver.
[00:29:04.441 --> 00:29:14.124]  At InfoWarsLife, our mission is to bring you the highest quality, purest, cleanest, effective colloidal silver on the market today for the lowest price available.
[00:29:14.124 --> 00:29:21.486]  Now, InfoWarsLife.com has taken colloidal silver to the next level using a cutting-edge technique that is free of toxic artificial additives.
[00:29:21.486 --> 00:29:29.309]  InfoWarsLife.com developed a silver bullet by closely working with one of the top silver manufacturing labs in the United States.
[00:29:29.309 --> 00:29:32.590]  We set out to bring you the very best at the lowest price.
[00:29:32.990 --> 00:29:37.952]  Find out more about the proprietary development of Silver Bullet at Infowarslife.com.
[00:29:37.952 --> 00:29:42.373]  In these times, it's essential to have high-quality, loyal silver on hand.
[00:29:42.373 --> 00:29:45.554]  No survival chest is complete without Silver Bullet.
[00:29:45.554 --> 00:29:48.515]  Exclusively available at Infowarslife.com.
[00:29:48.515 --> 00:29:52.857]  Secure your Silver Bullet today at Infowarslife.com or by calling toll-free 888-253-3139.
[00:29:57.984 --> 00:30:06.351]  We have been fighting this war tirelessly with you at our side, day in and day out, exposing the ludicrous lies and criminal operations of the globalists.
[00:30:06.351 --> 00:30:08.653]  And we're starting to see big effects.
[00:30:08.653 --> 00:30:10.554]  And the word is getting out.
[00:30:10.554 --> 00:30:12.636]  The globalists want to make us dependent.
[00:30:12.636 --> 00:30:16.379]  And as Napoleon famously said, an army marches on its stomach.
[00:30:16.379 --> 00:30:21.843]  Ammunition, food, and supplies form the backbone of any offensive, including the Info War.
[00:30:21.843 --> 00:30:24.786]  And our enemies admit they're losing the Info War.
[00:30:25.066 --> 00:30:28.811]  We are in an information war, and we are losing that war.
[00:30:28.811 --> 00:30:35.299]  With this in mind, we have held strong to our principles and the decision to refuse any money from globalists or government.
[00:30:35.299 --> 00:30:42.067]  We are funding our crusade against tyranny the old-fashioned way, with pure free-market, free-will capitalism.
[00:30:42.287 --> 00:30:52.022]  Visit InfoWarsTore.com today or call 888-253-3139 and take advantage of free shipping right through December 18th and get your order before Christmas.
[00:30:52.022 --> 00:30:57.230]  May God bless you and your family and keep us strong as we forge ahead in this battle for humanity.
[00:30:57.711 --> 00:31:01.234]  When cells become toxic, they die early and aging sets in.
[00:31:01.234 --> 00:31:09.481]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:31:09.481 --> 00:31:14.885]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[00:31:14.885 --> 00:31:17.427]  You want the best that's out there at the lowest price anywhere?
[00:31:17.427 --> 00:31:19.529]  We now have the synergistic solution.
[00:31:19.529 --> 00:31:23.732]  Secure your DNA force today at InfoWarsLife.com or call toll-free 888-253-3139.
[00:31:27.672 --> 00:31:32.055]  Use since before the days of the Roman Empire to support the body's natural systems.
[00:31:32.055 --> 00:31:36.198]  Introducing the new Infowarslife.com Oil of Oregano Formulation.
[00:31:36.198 --> 00:31:41.141]  We have now procured the most high quality and potent forms of oregano oil on the market.
[00:31:41.141 --> 00:31:45.804]  Extracted directly from the wild herb and sealed in easy to use capsules.
[00:31:45.804 --> 00:31:49.287]  You will no longer need to endure the burning of liquid oregano on the tongue.
[00:31:49.287 --> 00:31:52.749]  Now available in our limited first run at Infowarslife.com.
[00:31:52.749 --> 00:31:54.570]  That's Infowarslife.com or call 888-253-3139.
[00:32:00.554 --> 00:32:10.281]  And it's that type of behavior that spurred me to do the research to develop a true nutraceutical formula that was designed to smooth out and help children focus.
[00:32:10.281 --> 00:32:12.982]  All of our children are hit with modern mind control.
[00:32:12.982 --> 00:32:16.545]  Television, music, fast food, GMOs, sugars, you name it.
[00:32:16.545 --> 00:32:22.869]  Young humans have not yet developed their nervous system and are being hammered daily by globalist concoctions.
[00:32:22.869 --> 00:32:27.432]  It's no wonder they can't focus and calm down and then are put on dangerous psychotropic drugs.
[00:32:27.432 --> 00:32:28.072]  I think so.
[00:33:01.155 --> 00:33:20.111]  You're listening to The Alex Jones Show.
[00:33:20.111 --> 00:33:25.776]  He aligns himself with the truth, and it's time for you to choose a side.
[00:33:25.776 --> 00:33:28.038]  You're listening to Alex Jones.
[00:33:35.512 --> 00:33:40.416]  Joe Biggs is on the ground with our intrepid crew.
[00:33:40.416 --> 00:33:49.363]  They were out investigating the American caliphate in Michigan and New York and other states this week when the terror attack took place in San Bernardino on Wednesday.
[00:33:49.363 --> 00:33:59.911]  Within two hours, Paul Joseph Watson had the Arabic surname, the connections to radical Islamic groups, and we believe connections to them to Facebook's pledging allegiance to ISIS.
[00:33:59.911 --> 00:34:01.532]  That was later confirmed a day later.
[00:34:02.455 --> 00:34:04.677]  Michael Savage was reporting it within two hours.
[00:34:04.677 --> 00:34:06.738]  Drudge was reporting it within a few hours.
[00:34:06.738 --> 00:34:12.643]  But the rest of the controlled media was not talking about it.
[00:34:12.643 --> 00:34:17.527]  And within the first three or four hours, they were blaming conservatives, veterans, and gun owners.
[00:34:17.527 --> 00:34:24.092]  In fact, they were blaming me, because I had Donald Trump on that day, Wednesday.
[00:34:24.092 --> 00:34:31.818]  We've been talking about radical Islamists being brought into the country, and how he'd been correct about celebrating 9-11 and other events, including the Paris attacks.
[00:34:33.223 --> 00:34:43.430]  And they were saying in the media and a bunch of publications that, oh look, Donald Trump and Alex Jones listeners have killed people with no proof.
[00:34:43.430 --> 00:34:48.693]  Then they went on at the White House-run Media Matters to say that we said it didn't even happen or was fake.
[00:34:48.693 --> 00:34:54.677]  No, we said it's a false flag in that they opened the borders up and brought the people in to begin with.
[00:34:54.677 --> 00:34:55.718]  And here's the big issue.
[00:34:57.529 --> 00:35:09.979]  What is the political mathematics, what is the political calculus to believe they can get away with the optics or the way this looks in France, in Germany, here in the United States and other places?
[00:35:09.979 --> 00:35:12.982]  Well, we know what the calculus is.
[00:35:12.982 --> 00:35:14.763]  What they do in Europe is what they do here.
[00:35:14.763 --> 00:35:18.306]  They have banned free speech in Germany and France against the open borders.
[00:35:18.306 --> 00:35:23.671]  They are arresting frontrunners in presidential elections for criticizing open borders like Marie Le Pen.
[00:35:25.922 --> 00:35:27.583]  Europe has fallen to total tyranny.
[00:35:27.583 --> 00:35:40.489]  The socialists and the big government types are so wedded to their totalitarianism and how sexy they think radical jihad is, that major feminist groups, liberals, socialists, you name it, are backing this.
[00:35:40.489 --> 00:35:45.892]  These are sick, self-hating freaks.
[00:35:45.892 --> 00:35:51.535]  Meanwhile, we have chilling messages from menacing migrants demanding open borders with Macedonia at checkpoint.
[00:35:51.535 --> 00:35:53.156]  Open your border or die.
[00:35:55.515 --> 00:35:57.936]  And here are some of the headlines at InfoWars.com.
[00:35:57.936 --> 00:36:02.658]  Liberals now openly admit we must destroy the Second Amendment, close quote.
[00:36:02.658 --> 00:36:06.039]  And then we have links to all these statements and admissions.
[00:36:06.039 --> 00:36:13.042]  This is a Louder with Crowder article, where they admit, yes, we're going to take your guns.
[00:36:13.042 --> 00:36:18.244]  And then we've got NBC News, CNN, and others saying, well, there was a Christmas tree.
[00:36:18.244 --> 00:36:20.125]  Maybe that's the fault.
[00:36:20.125 --> 00:36:24.127]  There were some big mouth Christians, too, that were being uppity.
[00:36:24.127 --> 00:36:24.907]  This will teach them.
[00:36:26.101 --> 00:36:36.448]  There is such a hatred of Christians and libertarians and veterans that the weird, fanatical left will do anything to basically say that we're exterminated.
[00:36:36.448 --> 00:36:38.049]  And these aren't real liberals.
[00:36:38.049 --> 00:36:40.591]  Again, Thomas Jefferson was a liberal.
[00:36:40.591 --> 00:36:42.092]  I'm a libertarian.
[00:36:42.092 --> 00:36:45.114]  I'm for freedom and open expression and tolerance.
[00:36:45.114 --> 00:36:46.815]  You people are intolerant.
[00:36:46.815 --> 00:36:54.060]  Scores of universities are banning Christmas and banning Christmas trees and saying the colors red and green or red and white are racist.
[00:36:54.060 --> 00:36:55.741]  I can't even believe how crazy this has gotten.
[00:36:57.005 --> 00:36:59.227]  But this is a cult takeover.
[00:36:59.227 --> 00:37:02.069]  The God has to be the state.
[00:37:02.069 --> 00:37:08.193]  And any outside group that's the enemy of their enemy is the New World Order's friend, to quote an old Arabic saying.
[00:37:10.623 --> 00:37:13.444]  Let's go back to Joe Biggs with us this segment, the next, and into the next hour.
[00:37:13.444 --> 00:37:14.625]  Then I'm going to open the phones up.
[00:37:14.625 --> 00:37:19.207]  Joe, I want to get your take on this big speech he's going to be giving tonight.
[00:37:19.207 --> 00:37:26.911]  I'll be doing a live Facebook mentions at 7, while he's giving his address, analyzing it, at InfoWars.com and on our major Facebook.
[00:37:26.911 --> 00:37:32.154]  We get sometimes millions of viewers for these mentions that we do, on average about 300,000.
[00:37:32.154 --> 00:37:35.536]  But that's coming up at 7 o'clock tonight central, about an hour after this broadcast ends.
[00:37:35.536 --> 00:37:37.237]  But I want to talk to some more of those locals.
[00:37:37.697 --> 00:37:50.666]  First, but Joe, I mean, I can't even believe that our government is run by such evil people that they would bring in a giant jihad army and there's no doubt Europe and the United States are going to face massive sleeper cell attacks.
[00:37:50.666 --> 00:38:00.073]  How does the political class think they'll scapegoat the Second Amendment and veterans and conservatives and take our guns while petting and loving and aiding and abetting the jihadis?
[00:38:00.073 --> 00:38:01.614]  How will this filth get away with this?
[00:38:03.100 --> 00:38:03.961]  I mean, it's ridiculous.
[00:38:03.961 --> 00:38:12.948]  I mean, even on social media, right after the attack took place, people were releasing the identity of the man who perpetrated it all, Saeed Farooq.
[00:38:12.948 --> 00:38:20.714]  But the government, the White House, was so scared because of political correctness that they couldn't even come out until later to do it.
[00:38:20.714 --> 00:38:22.055]  I mean, by then, it was all over.
[00:38:22.055 --> 00:38:26.018]  So that's why our government is so scared of political correctness.
[00:38:26.018 --> 00:38:31.762]  They just want to prance around everything and try to please everybody and be nice.
[00:38:31.762 --> 00:38:32.943]  Instead of doing what they have to do,
[00:38:33.283 --> 00:38:34.604]  Calling things what they are.
[00:38:34.604 --> 00:38:48.953]  You know, tonight's going to be a monumental time in history because this is only the third time that President Obama has even addressed, or this will be the fourth time, that President Obama has addressed the nation during primetime television at the Oval Office.
[00:38:48.953 --> 00:38:55.036]  I mean, and he's going to use this attack here in San Bernardino to start pushing that anti-gun stuff like he always does.
[00:38:55.036 --> 00:38:59.059]  The same thing he did at the Umpqua Community College in Oregon when we were there.
[00:38:59.059 --> 00:39:01.220]  Instead of going in, worrying about the victims,
[00:39:01.673 --> 00:39:04.855]  Talking about radical Islam, talking about the terrorist attacks.
[00:39:04.855 --> 00:39:09.197]  Instead, he's talking about and addressing the country about stricter gun control.
[00:39:09.197 --> 00:39:14.280]  He's so arrogant, and Joe, everybody knows that I'm not a, quote, Islamophobe.
[00:39:14.280 --> 00:39:18.222]  I didn't buy into all the fear-mongering, but maybe it wasn't fear-mongering.
[00:39:18.222 --> 00:39:22.164]  All I know is, we've got a president that wears a Wahhabist Islamic ring.
[00:39:22.924 --> 00:39:25.845]  Not just a Muslim ring, but a radical Muslim ring.
[00:39:25.845 --> 00:39:27.926]  His name is Barack Hussein Obama.
[00:39:27.926 --> 00:39:29.987]  He went to madrasas in Indonesia.
[00:39:29.987 --> 00:39:33.688]  He can speak Arabic better than most Muslims on record.
[00:39:33.688 --> 00:39:39.010]  He apologized in Egypt in his first big speech as president for America.
[00:39:39.010 --> 00:39:41.551]  And I tell you, this is looking more and more like a double cross.
[00:39:41.551 --> 00:39:45.853]  I mean, I don't know how he'll get away with this, but maybe he will.
[00:39:45.853 --> 00:39:47.834]  I mean, how far will this go?
[00:39:48.953 --> 00:39:50.474]  Well, I mean, you have Hillary Clinton.
[00:39:50.474 --> 00:39:53.935]  You've got all these people coming out and pushing for stricter gun control.
[00:39:53.935 --> 00:39:56.397]  Strict gun control didn't work in this instance.
[00:39:56.397 --> 00:39:59.438]  It hasn't worked in Chicago with all the stuff.
[00:39:59.438 --> 00:40:01.479]  It hasn't worked in New York.
[00:40:01.479 --> 00:40:03.020]  Strict gun control does not work.
[00:40:03.020 --> 00:40:06.681]  But it has let the government get more power, though, and take more liberties.
[00:40:06.681 --> 00:40:07.502]  Yeah, exactly.
[00:40:07.502 --> 00:40:09.043]  That's exactly what they want.
[00:40:09.043 --> 00:40:11.224]  That's why they allow this kind of stuff to happen.
[00:40:11.224 --> 00:40:13.565]  And it's just completely and totally ridiculous.
[00:40:13.565 --> 00:40:18.347]  Instead of putting our focus on talking about radical Islam and how we can defeat ISIS,
[00:40:19.363 --> 00:40:21.744]  We're too worried about political correctness.
[00:40:21.744 --> 00:40:26.447]  I was going to actually go back to this gentleman right here real quick and let him finish up.
[00:40:26.447 --> 00:40:29.409]  What did you want to go ahead and say about what's happened?
[00:40:29.409 --> 00:40:31.930]  What do you think about everything overall?
[00:40:31.930 --> 00:40:37.153]  Okay, bottom line is I thank Obama.
[00:40:37.153 --> 00:40:42.296]  President Obama has just had his agenda.
[00:40:42.296 --> 00:40:44.377]  He wants gun control.
[00:40:44.377 --> 00:40:48.259]  He feels that gun control will solve all of our problems.
[00:40:49.194 --> 00:40:51.777]  They will not solve all of our problems.
[00:40:51.777 --> 00:40:55.160]  Number one, in our Constitution, we have the right to bear arms.
[00:40:55.160 --> 00:41:00.284]  What we need to do is to get these laws into effect.
[00:41:00.284 --> 00:41:08.772]  To take these people that use these guns, or before they use these guns, to get some type of practical laws enforced for them not to use them.
[00:41:08.772 --> 00:41:15.258]  As far as mental illness goes, there's going to be a very, in my opinion, a very small percentage
[00:41:16.022 --> 00:41:19.564]  Uh, the people that, uh... Okay, tell him thank you.
[00:41:19.564 --> 00:41:22.026]  Look, there isn't a big gun problem.
[00:41:22.026 --> 00:41:23.867]  Overall gun violence is way down.
[00:41:23.867 --> 00:41:26.028]  They're hyping these things up like it's the end of the world.
[00:41:26.028 --> 00:41:29.370]  What is going to be big is jihad attacks are happening every week now.
[00:41:29.370 --> 00:41:33.072]  There were three or four more in England and Europe, Joe.
[00:41:33.072 --> 00:41:34.834]  I mean, how are they going to cover all these up?
[00:41:34.834 --> 00:41:44.159]  What are the Democrats going to do when their little baby migrants, by the hundreds of thousands and millions, uh, you know, large percentages of them start murdering everybody?
[00:41:44.159 --> 00:41:45.040]  What are they going to do?
[00:41:45.620 --> 00:41:47.741]  Will they suspend logic and come take my guns?
[00:41:47.741 --> 00:41:48.822]  Well, it's not going to happen, Joe.
[00:41:48.822 --> 00:41:50.803]  I'm sick of it.
[00:41:50.803 --> 00:41:51.344]  Yeah, exactly.
[00:41:51.344 --> 00:42:02.451]  I mean, like you said, we've got these sheriffs all over the country who are going out, posting Facebook messages, telling the public, hey, if you have that concealed weapons permit, go out, carry, exercise that right.
[00:42:02.451 --> 00:42:03.752]  Don't be afraid.
[00:42:03.752 --> 00:42:08.415]  People need those extra set of eyes and someone that can help the tier stop something like this from happening.
[00:42:09.153 --> 00:42:09.713]  Absolutely.
[00:42:09.713 --> 00:42:12.595]  It's insane to blame gun owners for what's happening.
[00:42:12.595 --> 00:42:17.418]  Joe, I want to come back in the next segment and go down the line and just tell folks, hey, we're about to go live.
[00:42:17.418 --> 00:42:18.939]  Give each person about a minute.
[00:42:18.939 --> 00:42:20.459]  I want to get people's, you know, take on it.
[00:42:20.459 --> 00:42:22.100]  I don't care if they agree, disagree.
[00:42:22.100 --> 00:42:24.482]  I want to talk to a bunch of those folks that are out there.
[00:42:24.482 --> 00:42:31.165]  They have got the site of the shooting or the site where the shooters lived is blocked off to regular media.
[00:42:31.165 --> 00:42:35.588]  But if you're corporate MSNBC or CNN, you're allowed to go in the crime scene.
[00:42:35.588 --> 00:42:37.349]  So Joe is way back.
[00:42:38.420 --> 00:42:41.403]  Uh, from, uh, where the killers actually lived.
[00:42:41.403 --> 00:42:45.968]  We're analyzing this because this is the triumph of brainwashing we're seeing.
[00:42:45.968 --> 00:42:49.231]  Where the government brings in the jihadis, protects them.
[00:42:49.231 --> 00:42:51.894]  The neighbors won't report them because of political correctness.
[00:42:51.894 --> 00:42:53.776]  They pledge allegiance to ISIS.
[00:42:53.776 --> 00:42:56.159]  One of them's from Saudi Arabia and nothing can be done.
[00:42:57.259 --> 00:43:00.542]  Monsanto going to trial for crimes against humanity.
[00:43:00.542 --> 00:43:07.108]  That's right, one of the most hated companies in the world will have to answer for its reign of toxic ecological terror.
[00:43:07.108 --> 00:43:16.677]  Several activist groups joined by food and farming experts are suing Monsanto, but the way they plan on having Monsanto answer for their crimes may surprise you and may be cause for concern.
[00:43:16.677 --> 00:43:18.439]  The International Court in The Hague, Netherlands
[00:43:18.619 --> 00:43:18.899]  We're good.
[00:43:34.411 --> 00:43:35.032]  We're good to go.
[00:43:53.570 --> 00:43:57.231]  Rob Dew reporting for InfoWars.com and InfoWars Nightly News.
[00:43:57.231 --> 00:44:06.734]  InfoWars Life and InfoWarsLife.com is extremely excited to announce our latest release, Winter Sun, a revolutionary type of vitamin D3.
[00:44:06.734 --> 00:44:11.416]  Winter Sun is a premium quality vitamin D3 nutritional supplement.
[00:44:11.416 --> 00:44:14.837]  It is produced by extracting oil from healthy nutrient-dense plants.
[00:44:15.017 --> 00:44:15.517]  We're good to go.
[00:44:38.152 --> 00:44:43.174]  Read the facts at InfoWarsLife.com about Winter Sun, Vitamin D3.
[00:44:43.174 --> 00:44:49.117]  Not only does Vitamin D3 promote a healthy mood, but Vitamin D supports our memory and brain function.
[00:44:49.117 --> 00:44:51.258]  Something the globalists are targeting.
[00:44:51.258 --> 00:44:53.879]  Visit InfoWars.com today or call 888-253-3139.
[00:44:57.987 --> 00:44:58.527]  I want my candy!
[00:44:58.527 --> 00:44:59.688]  I want my baby again!
[00:44:59.688 --> 00:45:01.269]  Mine, mine, mine!
[00:45:27.947 --> 00:45:28.727]  I think so.
[00:45:57.842 --> 00:46:01.043]  A clean, toxic-free body is the foundation of true health.
[00:46:01.043 --> 00:46:03.404]  Deep Cleanse by InfoWarsLife.com.
[00:46:03.404 --> 00:46:10.406]  A scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[00:46:10.406 --> 00:46:15.728]  Using our proprietary multi-step extraction technology, Deep Cleanse is our most affordable all-in-one cleanser.
[00:46:15.728 --> 00:46:24.711]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites and others, Deep Cleanse doesn't hold back.
[00:46:25.151 --> 00:46:34.020]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[00:46:34.020 --> 00:46:41.107]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spike G-Rex herbal processing technique.
[00:46:41.107 --> 00:46:46.473]  We use only the highest quality organic herbs backed by serious research, and we still bring it to you at the best.
[00:46:46.613 --> 00:46:47.794]  You're listening to the Alex Jones Show!
[00:47:14.580 --> 00:47:19.884]  He aligns himself with the truth and it's time for you to choose a side.
[00:47:19.884 --> 00:47:23.306]  You're listening to Alex Jones.
[00:47:23.306 --> 00:47:30.190]  In this segment and the next at least we're going to talk to folks in San Bernardino, California on the ground just right outside these
[00:47:31.411 --> 00:47:39.794]  City Health Department building area where the massacre was conducted by two operatives, two lone wolf assassins of ISIS.
[00:47:39.794 --> 00:47:40.834]  They've taken credit for it.
[00:47:40.834 --> 00:47:42.595]  They pledge allegiance to ISIS.
[00:47:42.595 --> 00:47:45.155]  ISIS has said that they were basically their minions.
[00:47:45.155 --> 00:47:52.398]  They've had the Islamic leaders out of Saudi Arabia call for soft kill and other asymmetrical warfare attacks.
[00:47:53.498 --> 00:47:55.519]  with automatic weapons across the U.S.
[00:47:55.519 --> 00:47:57.220]  and Europe in the last few months.
[00:47:57.220 --> 00:47:58.701]  That is now happening.
[00:47:58.701 --> 00:48:05.245]  Turkey is now threatening to blow up Russian ships in the Mediterranean because they dare fight ISIS.
[00:48:05.245 --> 00:48:06.206]  That is escalating.
[00:48:06.206 --> 00:48:08.707]  It's all coming up in the second hour.
[00:48:08.707 --> 00:48:17.892]  Now before I go any further, Facebook mentions is a function that a few hundred people with big Facebook accounts have.
[00:48:17.892 --> 00:48:20.534]  And normally when I do it, we reach about 200-300,000 people, which is still big.
[00:48:23.274 --> 00:48:25.835]  And I do it maybe once a week.
[00:48:25.835 --> 00:48:30.658]  Now, I've had a few since I've done this the last few months that have gotten 500,000, 700,000 views.
[00:48:30.658 --> 00:48:37.482]  Now, most of the videos I do get around 900,000 to a million views.
[00:48:37.482 --> 00:48:41.004]  And let me just give you an example right now if you're a TV viewer.
[00:48:41.004 --> 00:48:44.586]  If you're a radio listener, InfoWars.com forward slash show.
[00:48:44.586 --> 00:48:47.448]  And this just shows how upset people are about this.
[00:48:47.448 --> 00:48:51.270]  I shot this three hours ago outside with my cousin.
[00:48:53.157 --> 00:48:55.421]  We had the kids out at the park.
[00:48:55.421 --> 00:48:56.283]  Emergency!
[00:48:56.283 --> 00:49:01.112]  Obama to announce massive gun control push in speech tonight.
[00:49:01.112 --> 00:49:01.753]  210,000 views.
[00:49:04.284 --> 00:49:04.945]  In a couple hours.
[00:49:04.945 --> 00:49:06.666]  I mean, that'll be a million by tomorrow.
[00:49:06.666 --> 00:49:07.407]  Look at this one.
[00:49:07.407 --> 00:49:08.588]  Shot this Friday.
[00:49:08.588 --> 00:49:11.490]  Islamic terror cells now active.
[00:49:11.490 --> 00:49:13.292]  994,000 views.
[00:49:13.292 --> 00:49:15.173]  Obama has a Facebook mentions.
[00:49:15.173 --> 00:49:16.595]  The White House does.
[00:49:16.595 --> 00:49:18.136]  And they have a YouTube channel.
[00:49:18.136 --> 00:49:20.017]  His average video now gets about 10,000 views.
[00:49:20.017 --> 00:49:20.618]  The President gets 10,000 views.
[00:49:20.618 --> 00:49:21.479]  I get 994,000 views.
[00:49:21.479 --> 00:49:22.660]  And we're on over 170 AM and FM affiliates.
[00:49:30.325 --> 00:49:32.346]  We have billions of views on YouTube.
[00:49:32.346 --> 00:49:33.267]  I'm not bragging.
[00:49:33.267 --> 00:49:36.729]  I'm just saying, what a paper tiger.
[00:49:36.729 --> 00:49:39.852]  CNN's average show has 300,000 viewers.
[00:49:39.852 --> 00:49:42.393]  But they sit up there and lecture like they control reality.
[00:49:42.393 --> 00:49:44.034]  Same thing with MSNBC.
[00:49:44.034 --> 00:49:47.417]  They're a joke.
[00:49:47.417 --> 00:49:54.221]  Our YouTube channel has six... Let's go show folks.
[00:49:54.221 --> 00:49:55.622]  1,178,000 subscribers.
[00:49:55.622 --> 00:49:56.883]  One of dozens of channels.
[00:49:56.883 --> 00:49:58.764]  But click about for folks.
[00:49:58.764 --> 00:49:59.265]  Click about.
[00:50:00.558 --> 00:50:02.241]  And then let's show people how many views we have.
[00:50:02.241 --> 00:50:08.129]  600 plus million.
[00:50:08.129 --> 00:50:11.655]  Well, it's way more than that.
[00:50:11.655 --> 00:50:13.137]  So, go ahead and see that for yourself.
[00:50:13.137 --> 00:50:14.279]  That's just one channel.
[00:50:14.279 --> 00:50:16.101]  That's what they can't stand.
[00:50:17.790 --> 00:50:21.353]  We've got multiple billions of views on YouTube, all channels combined.
[00:50:21.353 --> 00:50:22.634]  They hate us.
[00:50:22.634 --> 00:50:32.703]  But they sit up there with that last illusion, with bigger and bigger sets, with more and more political operatives up there, with almost no viewers, lying to you, saying this wasn't jihad terror.
[00:50:32.703 --> 00:50:36.466]  Now this segment, the next, and the next, I'm talking to folks in San Bernardino, California.
[00:50:39.124 --> 00:50:47.067]  We are going to open the phones up for the balance of the transmission and announce the winner of a Facebook meme contest where they're trying to ban Christmas.
[00:50:47.067 --> 00:50:51.849]  We have a winner and a $1,000 prize will be announced in the final segment coming up today.
[00:50:51.849 --> 00:50:57.111]  Briefly, free shipping on all products at InfowarsStore.com through December 18th.
[00:50:57.111 --> 00:51:02.313]  That's the day you're guaranteed to get items before Christmas, whether it's water filtration systems or high-quality
[00:51:03.133 --> 00:51:06.617]  Nutraceuticals, or Hillary for Prison t-shirts, you name it.
[00:51:06.617 --> 00:51:09.900]  It's all available at infowarestore.com.
[00:51:09.900 --> 00:51:12.242]  And your purchase funds this operation.
[00:51:12.242 --> 00:51:16.846]  Now, they went ahead and extended this through today, but it will end today, I promise.
[00:51:16.846 --> 00:51:20.470]  $9.95 colloidal silver ends tonight.
[00:51:20.470 --> 00:51:21.831]  Okay?
[00:51:21.831 --> 00:51:24.874]  We've got huge other discounts as well.
[00:51:24.874 --> 00:51:25.915]  Brain Force, 10% off.
[00:51:28.325 --> 00:51:31.410]  Deep Cleanse is back in stock and is discounted $10.
[00:51:31.410 --> 00:51:35.958]  All pro-pure water filtration, gravity-fed systems, 25% off.
[00:51:35.958 --> 00:51:38.382]  And free shipping on super high quality non-GMO.
[00:51:40.467 --> 00:51:45.149]  Made in America, storable food at InfowarsSelect.com or InfowarsStore.com.
[00:51:45.149 --> 00:51:49.211]  Free shipping on that ends tonight, and the discounts end tonight as well.
[00:51:49.211 --> 00:51:50.391]  20% off and free shipping.
[00:51:50.391 --> 00:51:51.511]  That all ends tonight.
[00:51:51.511 --> 00:51:58.234]  There will be some more specials this week, but these specials are gone forever, starting tonight at midnight, InfowarsStore.com.
[00:51:58.234 --> 00:52:00.715]  Okay, Joe, I'm gonna get to everybody now.
[00:52:00.715 --> 00:52:02.436]  The total free number for folks to join us is 877-789-2539.
[00:52:02.436 --> 00:52:03.436]  First-time callers, 877-789-2539.
[00:52:03.436 --> 00:52:03.816]  Now, I want
[00:52:10.816 --> 00:52:12.558]  To go to all these people that are lined up to talk to you.
[00:52:12.558 --> 00:52:13.499]  Tell them we will.
[00:52:13.499 --> 00:52:16.282]  But first I've got to ask you, because the calculus just doesn't fit.
[00:52:17.099 --> 00:52:19.580]  And I study this stuff hardcore as you do.
