[00:00:20.808 --> 00:00:22.209]  Hello, ladies and gentlemen.
[00:24:33.777 --> 00:24:38.861]  And Mike, be prepared, I want to play it several times in a row for those that may miss the import.
[00:24:39.941 --> 00:24:44.025]  Of what we're witnessing here.
[00:24:44.025 --> 00:24:51.772]  Now, mercury is a neurotoxin.
[00:24:51.772 --> 00:24:54.655]  Mercury causes brain damage.
[00:24:54.655 --> 00:25:01.842]  It's even worse in fast-growing cells, growing brains of children newborn to four years of age.
[00:25:04.720 --> 00:25:16.125]  Autism has exploded over a thousand percent from one in less than 25,000, 20 years ago, to now more than one in a thousand.
[00:25:16.125 --> 00:25:18.586]  The new numbers that just came out are one out of 167.
[00:25:18.586 --> 00:25:23.108]  A year ago it was one out of 1,000.
[00:25:23.108 --> 00:25:24.709]  So this is going on.
[00:25:24.709 --> 00:25:26.470]  This is happening.
[00:25:26.470 --> 00:25:29.291]  And first they said, the mercury is good for you in the vaccines.
[00:25:29.291 --> 00:25:31.392]  Then they said, okay, we're taking it out.
[00:25:31.392 --> 00:25:33.813]  Now they admit they've actually increased them, thimerosal,
[00:25:34.699 --> 00:25:40.381]  Now they say, forget it, it's nutritious, just grin and bear it.
[00:25:40.381 --> 00:25:46.663]  There was a federal report right before school started this year that said, uh, mercury isn't bad for you.
[00:25:46.663 --> 00:25:59.788]  By the time CBS was done and this aired nationwide on different news channels, not just here in Austin, they got little memos to put this out, we've called them to confirm this, that mercury isn't just not bad for you, it is nutritious!
[00:26:01.172 --> 00:26:02.153]  Nutritious!
[00:26:02.153 --> 00:26:09.916]  Now, don't break the thermometer and drink it, and don't break your thermostat in your house and drink it, because you'll go into a coma.
[00:26:09.916 --> 00:26:15.779]  According to them, though, it helps your brain activity and helps your behavior.
[00:26:15.779 --> 00:26:22.142]  Well, yes, if you're a lobotomized mummy, your behavior will be satisfactory.
[00:26:22.142 --> 00:26:27.565]  This is the same local media that said, it's the law, you've got to be vaccinated for school, you'll be arrested.
[00:26:28.880 --> 00:26:30.181]  There's never been a law.
[00:26:30.181 --> 00:26:36.863]  We had to get a law passed in the last legislature saying it's against the law to say it's the law.
[00:26:36.863 --> 00:26:45.526]  But just a microcosm, one small slice of everything else, example of how they lie to you.
[00:26:45.526 --> 00:26:53.409]  Because Big Pharma buys half the commercials on the nightly news, literally half now, and owns the news media, and so they're going to tell you that Mercury's nutritious.
[00:26:56.320 --> 00:27:00.041]  They could change the preservative, but they don't seem to want to.
[00:27:00.041 --> 00:27:06.163]  It attacks key cerebral cortex thinking centers, and well, an IQ reduction is helpful.
[00:27:06.163 --> 00:27:07.183]  Don't believe me?
[00:27:07.183 --> 00:27:11.744]  Most major police departments will not hire someone with over 100 IQ now.
[00:27:11.744 --> 00:27:13.144]  Did you know that?
[00:27:13.144 --> 00:27:13.884]  That's been in the news.
[00:27:13.884 --> 00:27:18.486]  Just type in, police departments will not hire someone with over 100 IQ.
[00:27:18.486 --> 00:27:19.886]  It'll pop up on Google.
[00:27:23.863 --> 00:27:25.284]  They don't want you being smart.
[00:27:25.284 --> 00:27:27.464]  This is about control, feudalism.
[00:27:27.464 --> 00:27:30.945]  Aldous Huxley wrote about this in Brave New World.
[00:27:30.945 --> 00:27:37.888]  And before he died, he said that this was from his own experience inside the British government, that it was not a work of fiction, it was a futurist projection.
[00:27:37.888 --> 00:27:43.010]  So here's the next clip, CBS News, because I talk about this, people don't believe me.
[00:27:43.010 --> 00:27:43.550]  Here it is.
[00:27:43.550 --> 00:27:49.352]  Mercury is good for you, good for your intelligence, a nutritious part of your daily breakfast.
[00:27:49.352 --> 00:27:49.652]  Here it is.
[00:27:51.824 --> 00:27:56.549]  What about the effect mercury-containing vaccines may have on kids?
[00:27:56.549 --> 00:28:00.172]  A life-saving device wins over-the-counter approval by the FDA.
[00:28:00.172 --> 00:28:02.294]  And sick of your glasses and contact lenses?
[00:28:02.294 --> 00:28:05.017]  A new corrective eye surgery is approved today.
[00:28:05.017 --> 00:28:08.420]  Here's tonight's medical headlines with medical watch reporter Seema Mathur.
[00:28:11.036 --> 00:28:17.440]  Mercury-containing vaccines may help not harm kids, according to two new studies in the journal Pediatrics.
[00:28:17.440 --> 00:28:24.365]  There have been widespread concerns that mercury-based preservatives in vaccines might impair the neurological development of children.
[00:28:24.365 --> 00:28:31.890]  These new studies suggest that the opposite, that the preservatives may actually be associated with improved behavior and mental performance.
[00:28:31.890 --> 00:28:39.535]  A recent move by the Food and Drug Administration could save your or a loved one's life.
[00:28:39.535 --> 00:28:40.576]  Rewind that, Mike.
[00:28:41.095 --> 00:28:45.757]  I mean, this is getting too rich.
[00:28:45.757 --> 00:28:52.420]  Mercury is good for you.
[00:28:52.420 --> 00:28:53.501]  We'll play that again later.
[00:28:53.501 --> 00:28:58.183]  I want to end the show with Bush saying, no draft.
[00:28:58.183 --> 00:29:01.604]  And then saying, we will not have an all-volunteer army.
[00:29:01.604 --> 00:29:04.245]  But let's go ahead and go to some calls.
[00:29:04.245 --> 00:29:05.306]  Hello caller, you're on the air.
[00:29:05.697 --> 00:29:06.698]  Hey, Alex.
[00:29:06.698 --> 00:29:07.238]  Hello.
[00:29:07.238 --> 00:29:08.159]  Great show, man.
[00:29:08.159 --> 00:29:09.060]  I'm real proud of you.
[00:29:09.060 --> 00:29:15.705]  I saw you on the National Network, or I tuned in right after they had just finished talking to you.
[00:29:15.705 --> 00:29:20.809]  I thought they mentioned your name on the National Network.
[00:29:20.809 --> 00:29:29.517]  But I've seen you start, and I've always wondered early on, the black helicopter thing, I may worry, but you know what?
[00:29:29.517 --> 00:29:30.958]  You and everybody
[00:29:31.448 --> 00:29:35.610]  That is barking up the trees you're barking up are so important right now.
[00:29:35.610 --> 00:29:37.451]  Hold on just a second.
[00:29:37.451 --> 00:29:38.532]  He's distorting.
[00:29:38.532 --> 00:29:40.493]  Can you guys turn him down a little bit?
[00:29:40.493 --> 00:29:41.153]  Thanks.
[00:29:41.153 --> 00:29:41.673]  Go ahead, sir.
[00:29:41.673 --> 00:29:48.177]  They're so important right now because of this great veil of bull that is being pulled over our eyes.
[00:29:48.177 --> 00:30:00.503]  If there's not some people like you and the Democratic, you know, to lift this veil up and let us see under it, it's just, it's not gonna, yeah, it's scary.
[00:30:01.210 --> 00:30:11.072]  If we didn't have you here making noise about the wrongs going on, we would not be in a close election right now.
[00:30:11.072 --> 00:30:15.033]  Well, listen, I appreciate that call, but I'm going to be honest with you.
[00:30:15.033 --> 00:30:15.793]  I am nothing.
[00:30:15.793 --> 00:30:27.496]  I'm just an average guy who a decade ago came down here, got an AXS TV show, and got a syndicated radio show out of it, and has made some documentaries, and written a book, and been in a few movies.
[00:30:27.496 --> 00:30:29.217]  I'm just an average person.
[00:30:29.217 --> 00:30:30.497]  You can be that leader.
[00:30:31.916 --> 00:30:35.197]  And you talk about how you're counting on me.
[00:30:35.197 --> 00:30:43.619]  Being informed, knowing you're going into a gas chamber, doesn't help you unless you fight against going into it before it happens.
[00:30:43.619 --> 00:30:53.561]  And you talk about, again, you've broken through to the propaganda of the lies, but you're saying, man, if it wasn't for you, we wouldn't have a chance of neck-and-neck, the Democrats winning.
[00:30:53.561 --> 00:30:56.902]  Obviously, the Republican Party is the elite party right now.
[00:30:56.902 --> 00:30:58.983]  They've got the New World Order behind them.
[00:30:58.983 --> 00:31:00.363]  But Bush and Carrier cousins,
[00:31:01.064 --> 00:31:02.045]  Carries for the war.
[00:31:02.045 --> 00:31:03.085]  Carries for UNESCO.
[00:31:03.085 --> 00:31:04.346]  Carries for open borders.
[00:31:04.346 --> 00:31:05.606]  Carries for gun control.
[00:31:05.606 --> 00:31:09.108]  Carries for all the things Bush is for.
[00:31:09.108 --> 00:31:11.770]  All these different programs.
[00:31:11.770 --> 00:31:13.310]  So they give you a false choice.
[00:31:13.310 --> 00:31:14.651]  They stage the event.
[00:31:14.651 --> 00:31:16.712]  The power isn't in the presidency.
[00:31:16.712 --> 00:31:19.614]  It's at the county and city and state level.
[00:31:19.614 --> 00:31:22.315]  And that's where you've got to get involved, sir.
[00:31:22.315 --> 00:31:24.876]  So I challenge you to be a leader.
[00:31:24.876 --> 00:31:27.838]  And not to hold me up as some archetype
[00:31:29.163 --> 00:31:31.244]  That is somehow going to save you.
[00:31:31.244 --> 00:31:34.527]  Because I'm just an average guy.
[00:31:34.527 --> 00:31:36.008]  Go ahead, caller.
[00:31:36.008 --> 00:31:37.449]  Hi, Alex.
[00:31:37.449 --> 00:31:46.477]  I was just calling because I found out some information this weekend, and I did a little research on it.
[00:31:46.477 --> 00:31:54.323]  I had to pull my nephew out of public school in the Georgetown Independent School District.
[00:31:54.323 --> 00:31:56.805]  He was being pretty much targeted
[00:31:57.376 --> 00:32:10.104]  As an at-risk kid, whatever that meant, although they could provide no, you know, real reason that he was placed in that category, as he doesn't take any medication.
[00:32:10.104 --> 00:32:21.831]  And after, you know, a little bit of investigation on my part, with the school, and the school, you know, given the corporate line that
[00:32:23.487 --> 00:32:27.129]  You know, basically it was, you know, good for him or, you know, whatever.
[00:32:27.129 --> 00:32:42.015]  I've come to realize that there may not be a draft because they're already, the government now is building up and training 12 and 13 year old middle school kids.
[00:32:42.015 --> 00:32:48.938]  And you're correct in your instinctive statement, but how did you come up with this hypothesis?
[00:32:50.922 --> 00:32:53.583]  My nephew is supposed to be in some program called SOAR.
[00:32:53.583 --> 00:32:53.683]  Oh.
[00:32:53.683 --> 00:33:00.686]  But if you, you know, go online and try to find out about it, you get kind of different things.
[00:33:00.686 --> 00:33:02.287]  No, I know what it is, yeah.
[00:33:02.287 --> 00:33:04.728]  Okay.
[00:33:04.728 --> 00:33:17.314]  There's certain kids in the school that are, particularly my nephew, is being targeted by one of the teachers, who we found out was not a teacher, he's actually an aide, and who is also an ex-cop.
[00:33:19.611 --> 00:33:26.714]  And it's just kind of funny that they're also building, you know, these big, huge juvenile detention centers.
[00:33:26.714 --> 00:33:29.915]  But, you know, Georgetown's supposed to have a lot less crime.
[00:33:29.915 --> 00:33:33.536]  But then what's the need for the new, you know, juvenile detention centers?
[00:33:33.536 --> 00:33:41.119]  You made, you made... I'm not targeting him because they have searched him illegally without my sister's consent just the other day.
[00:33:41.119 --> 00:33:42.340]  And after that, we just pulled him out.
[00:33:43.123 --> 00:33:44.364]  You've made fabulous points.
[00:33:44.364 --> 00:33:46.285]  Let me briefly comment on it.
[00:33:46.285 --> 00:33:47.825]  A hundred thoughts went through my mind.
[00:33:47.825 --> 00:33:50.367]  A thousand pieces of evidence, literally.
[00:33:50.367 --> 00:33:59.371]  How do I articulate this encyclopedic information which you have instinctively tapped into?
[00:33:59.371 --> 00:34:01.772]  Prisons are a business.
[00:34:01.772 --> 00:34:04.654]  They've always been a business.
[00:34:04.654 --> 00:34:11.057]  And did you know the average school district for an at-risk child gets about eight times the funding
[00:34:11.769 --> 00:34:35.787]  that they get for a quote normal child and so they're given a quota just like the cops are given a quota that this is admitted you you know you get your twenty tickets uh... every two weeks or it might be forty tickets depending on the municipality or you're going to be demoted and fined and kicked out of the force you go out and raise money you're gone
[00:34:36.596 --> 00:34:42.658]  Well, they have quotas in the SOAR program, the WAVE program, the SAVE program, the DARE program.
[00:34:42.658 --> 00:34:43.919]  These are federally funded.
[00:34:43.919 --> 00:35:01.565]  And, again, six, seven years ago, I saw the documents where they put a cop or a, quote, teacher's aide, who was getting a cop salary and a teacher's salary, in for a semester class, usually in middle school, at that most out-of-control age, to get them in something.
[00:35:01.565 --> 00:35:02.886]  And they sit there as a mentor
[00:35:04.426 --> 00:35:08.830]  And they have them talk about what their parents do, write dossiers, write ledgers.
[00:35:08.830 --> 00:35:11.111]  They call it their journal.
[00:35:11.111 --> 00:35:16.376]  And they have a quota of so many children to get into the at-risk school.
[00:35:16.376 --> 00:35:22.180]  And then from there they move them, now even for being late to class, into juvenile hall.
[00:35:22.180 --> 00:35:23.782]  Then they get a lot of money for it.
[00:35:23.782 --> 00:35:25.403]  George Bush, when he was running for governor,
[00:35:26.790 --> 00:35:30.192]  Ann Richards had built lots of prisons and said juvenile crime was the big threat.
[00:35:30.192 --> 00:35:31.432]  Corporations told her to do it.
[00:35:31.432 --> 00:35:33.373]  Bush said, I'm going to double that.
[00:35:33.373 --> 00:35:35.534]  Juvenile crime, it's the threat, it's the threat.
[00:35:35.534 --> 00:35:39.656]  So they build all these big centers and there's going to be this surge of juvenile crime.
[00:35:39.656 --> 00:35:52.062]  Didn't happen, but if they can't get you into welfare or the psychiatric system, they're going to get you into the criminal justice system or under No Child Left Behind, recruiters are in every school trying to get your kids into the military.
[00:35:52.822 --> 00:36:00.508]  So it's about getting you into the system, taking something from the mafia, getting into their control.
[00:36:00.508 --> 00:36:08.454]  And they just randomly pick kids out that are aggressive, that show leadership skills, they're given a handout, a manual.
[00:36:08.454 --> 00:36:13.979]  And we've got Judge Jean Meir who has buildings named after her while she's in office here in Austin.
[00:36:13.979 --> 00:36:18.002]  There are similar judges across the western world.
[00:36:18.002 --> 00:36:20.704]  And she sits there in a class and they call the kid in to an
[00:36:22.193 --> 00:36:23.974]  Courtroom hearing in a portable building.
[00:36:23.974 --> 00:36:24.835]  It's not a real court.
[00:36:24.835 --> 00:36:26.256]  It's all color of law.
[00:36:26.256 --> 00:36:28.718]  You were late to class three times.
[00:36:28.718 --> 00:36:33.881]  Well, that's not even truancy state law, but it's all color of law.
[00:36:33.881 --> 00:36:35.202]  I'm putting you on probation.
[00:36:35.202 --> 00:36:38.304]  Parents, sign this document and I won't have him arrested.
[00:36:38.304 --> 00:36:39.365]  Now, there's no crime he committed.
[00:36:39.365 --> 00:36:40.526]  It's all color of law.
[00:36:40.526 --> 00:36:41.747]  Sign this document.
[00:36:41.747 --> 00:36:42.607]  This is how she looks.
[00:36:42.607 --> 00:36:47.011]  Sign this document, or you're going to jail.
[00:36:47.011 --> 00:36:47.531]  You understand me?
[00:36:47.531 --> 00:36:48.852]  I got power.
[00:36:48.852 --> 00:36:51.394]  I got men with black scheme-asking machine guns behind me.
[00:36:51.394 --> 00:36:51.734]  Understand?
[00:36:52.665 --> 00:36:54.990]  Son.
[00:36:54.990 --> 00:36:58.076]  And they go, oh yes ma'am, thank you for your help.
[00:36:58.076 --> 00:37:00.501]  Thank you for not putting my... Well, I'm doing you a favor, buddy.
[00:37:04.255 --> 00:37:06.377]  Your child's been late to class three times.
[00:37:06.377 --> 00:37:08.278]  They call that a truancy.
[00:37:08.278 --> 00:37:11.921]  But the state law says 14 unexcused absences in a semester.
[00:37:11.921 --> 00:37:13.102]  That's criminal truancy.
[00:37:13.102 --> 00:37:14.804]  They don't care if it's not the law.
[00:37:14.804 --> 00:37:17.346]  They con you into signing a contract.
[00:37:17.346 --> 00:37:19.888]  When you're really convicted, folks, a jury does it.
[00:37:19.888 --> 00:37:22.570]  You don't have to sign agreements, see?
[00:37:22.570 --> 00:37:25.332]  It's civil.
[00:37:25.332 --> 00:37:33.919]  And then, after the parent signs it, she goes, by the way, because now you've waived your rights, I'm ordering drug testing, and we're sending CPS to your house to investigate.
[00:37:34.801 --> 00:37:35.301]  Yes, ma'am.
[00:37:35.301 --> 00:37:35.822]  I just signed.
[00:37:35.822 --> 00:37:36.342]  I want your help.
[00:37:36.342 --> 00:37:37.603]  Shut up!
[00:37:37.603 --> 00:37:37.984]  Yes, ma'am.
[00:37:37.984 --> 00:37:39.205]  Thank you for your help.
[00:37:39.205 --> 00:37:39.965]  You're with the government.
[00:37:39.965 --> 00:37:40.846]  You must be good.
[00:37:40.846 --> 00:37:41.366]  Thank you.
[00:37:41.366 --> 00:37:45.090]  You know, these poor ignorant families, and they put this on the news?
[00:37:45.090 --> 00:37:46.290]  We already knew about it.
[00:37:46.290 --> 00:37:50.434]  We've covered it for years, but they put it on the news?
[00:37:50.434 --> 00:37:55.298]  And so your kid who was liked to class a few times and whatever, now they're in the system.
[00:37:55.298 --> 00:37:59.822]  Now they're going to be in juvenile for a month and on probation, and they're going to be going in and paying fines and fees.
[00:37:59.822 --> 00:38:03.785]  The probation officer, they're going to meet with all these other criminals and get into the system.
[00:38:04.665 --> 00:38:12.789]  To now work in the private prisons and be part of the New World Order.
[00:38:12.789 --> 00:38:17.291]  And so, this is what they're doing.
[00:38:17.291 --> 00:38:21.973]  And, uh... Am I saying the teachers are bad?
[00:38:21.973 --> 00:38:22.334]  No.
[00:38:22.334 --> 00:38:25.115]  But, I mean, I've interviewed the former deputy head of the Department of Education.
[00:38:25.115 --> 00:38:27.356]  I've interviewed all these people in the government.
[00:38:27.356 --> 00:38:29.277]  Reagan, Clinton, Bush administrations.
[00:38:31.215 --> 00:38:40.399]  It is the plan to break up the family, to get us all in debt, to have both parents working so your kid's at class until 8 o'clock at night.
[00:38:40.399 --> 00:38:42.880]  They've got the New Freedom Initiative I told you about years ago.
[00:38:42.880 --> 00:38:46.882]  It was called TMAP, now it's called New Freedom.
[00:38:46.882 --> 00:38:48.222]  Talk about Orwellian.
[00:38:48.222 --> 00:38:59.627]  And it says, in the actual plan, that every child will be forcibly, psychologically tested three times a year, and then it's going to start with the parents once a year.
[00:39:02.116 --> 00:39:05.538]  They're passing the federal laws right now.
[00:39:05.538 --> 00:39:08.360]  They're passing the National ID Card.
[00:39:08.360 --> 00:39:14.503]  They're doing all of this right now to everybody.
[00:39:14.503 --> 00:39:25.849]  I mean, folks, forcibly, psychologically testing people several times a year, doing it to the parents, that isn't freedom.
[00:39:25.849 --> 00:39:27.150]  But we're all mentally ill.
[00:39:27.150 --> 00:39:30.432]  See, we've all got to get into this new eugenics system.
[00:39:30.993 --> 00:39:31.613]  Go ahead, caller.
[00:39:31.613 --> 00:39:32.634]  You're on the air.
[00:39:32.634 --> 00:39:33.194]  Hello.
[00:39:33.194 --> 00:39:34.435]  Hello.
[00:39:34.435 --> 00:39:42.598]  I heard you mention on your radio show a couple days ago that you were looking for an intern.
[00:39:42.598 --> 00:39:48.041]  Well, I've said we should get about 50 interns to watch the hundreds of hours.
[00:39:48.041 --> 00:39:52.703]  You know, I'll just jam video cassettes in three different TVs and record the news.
[00:39:52.703 --> 00:39:57.225]  I've got all this incredible stuff that I never have time to go back and find and use.
[00:39:58.070 --> 00:40:03.053]  Yeah, I'm gonna get a bigger office, and then we're gonna allow, uh, have some interns in.
[00:40:03.053 --> 00:40:03.833]  Okay.
[00:40:03.833 --> 00:40:06.634]  Well, I'd be interested in that.
[00:40:06.634 --> 00:40:09.696]  Well, I'd be interested in having you, but I gotta get a bigger office first.
[00:40:09.696 --> 00:40:15.379]  Alright, well, uh... We can't be face-to-face and back-to-back.
[00:40:15.379 --> 00:40:16.159]  What's up?
[00:40:16.159 --> 00:40:17.240]  Hello?
[00:40:17.240 --> 00:40:17.860]  Yes, sir.
[00:40:17.860 --> 00:40:19.001]  What did you say?
[00:40:19.001 --> 00:40:23.963]  We can't be face-to-face, back-to-back, all jammed in my little bitty office.
[00:40:23.963 --> 00:40:27.645]  Well, uh, as soon as you do that, I'll, uh, help you out if you want.
[00:40:28.496 --> 00:40:29.996]  Well, we're going to be doing that soon.
[00:40:29.996 --> 00:40:30.836]  What else is on your mind?
[00:40:30.836 --> 00:40:33.157]  There's a lot.
[00:40:33.157 --> 00:40:34.617]  Too much to talk about.
[00:40:34.617 --> 00:40:40.238]  But I like what you're doing.
[00:40:40.238 --> 00:40:42.299]  Well, I like you being involved and concerned, sir.
[00:40:42.299 --> 00:40:43.359]  I appreciate that.
[00:40:43.359 --> 00:40:45.900]  Go ahead, caller.
[00:40:45.900 --> 00:40:52.181]  Yeah, Alex, I was wondering if you're talking about vaccines, if you'd seen that 60 Minutes 2 thing that was on just a few minutes ago?
[00:40:53.710 --> 00:41:07.060]  Uh, they had a thing on there saying that they did a study that there's no connection between vaccination and autism, and then Dan Rather said that people that worry about the mercury that used to be in the vaccines really have nothing to worry about.
[00:41:07.060 --> 00:41:12.925]  And that was just on, what, a half hour ago, I guess, on 60 Minutes 2?
[00:41:12.925 --> 00:41:22.632]  That's... I didn't see the special, but that's obviously the same federal report that came out two months ago saying mercury's actually good for you.
[00:41:22.632 --> 00:41:23.193]  And, uh...
[00:41:23.906 --> 00:41:27.650]  Autism has gone up over a thousand percent.
[00:41:27.650 --> 00:41:30.713]  I mean, people never saw autistic children.
[00:41:30.713 --> 00:41:35.397]  Now you go to the mall or the church and you'll see three or four kids going.
[00:41:35.397 --> 00:41:37.399]  I mean, your common sense tells you.
[00:41:37.399 --> 00:41:40.262]  I've interviewed Dr. Geyer, the head congressional expert.
[00:41:40.262 --> 00:41:42.504]  I've interviewed retired CDC people.
[00:41:42.504 --> 00:41:47.128]  I've interviewed epidemiologists, neuro doctors, all of them.
[00:41:47.128 --> 00:41:47.889]  And they'll tell you
[00:41:48.524 --> 00:41:51.726]  That this thimerosal preservative is hurting the kids.
[00:41:51.726 --> 00:41:53.507]  Now they say, no, it never hurts you.
[00:41:53.507 --> 00:41:55.129]  Then they say they took it out.
[00:41:55.129 --> 00:42:07.757]  I have the Associated Press on PrisonPlanet.com saying they actually increased it from 100 times safe levels to 250 times safe levels.
[00:42:07.757 --> 00:42:11.480]  And they now admit Gulf War Syndrome is real.
[00:42:11.480 --> 00:42:12.921]  It was in the vaccines.
[00:42:12.921 --> 00:42:15.662]  They were exposed to nerve gas.
[00:42:15.662 --> 00:42:17.744]  This is part of the eugenics program.
[00:42:18.587 --> 00:42:20.048]  And yeah, we're winning the fight.
[00:42:20.048 --> 00:42:22.450]  We're waking people up.
[00:42:22.450 --> 00:42:24.792]  16,000.
[00:42:24.792 --> 00:42:29.756]  16,000 parents refuse to have their kids vaccinated in Travis County.
[00:42:29.756 --> 00:42:42.527]  So they ran wall-to-wall TV, radio, news pieces, paid for paid for news ads on the channels, and then part of that print quo quo, which is highly illegal, the news channels ran pieces going, it's the law, take it or you're arrested.
[00:42:42.527 --> 00:42:43.187]  No law.
[00:42:43.187 --> 00:42:45.289]  We all know, again folks, there is no law.
[00:42:46.388 --> 00:42:50.711]  And then people wrote editorials in the paper, how nutritious it is, and you know, all this.
[00:42:50.711 --> 00:42:52.853]  That went on.
[00:42:52.853 --> 00:42:55.414]  But again, we know there's no law to do that.
[00:42:55.414 --> 00:42:58.036]  So, there's this massive program to do this.
[00:42:58.036 --> 00:43:01.819]  I have articles where they put HIV in the vaccines, mainstream news.
[00:43:01.819 --> 00:43:04.040]  Where they put hormones to sterilize women in them.
[00:43:04.040 --> 00:43:06.802]  Official CIA declassified documents.
[00:43:06.802 --> 00:43:08.744]  This is all on my website, all admitted.
[00:43:08.744 --> 00:43:08.864]  So,
[00:43:09.682 --> 00:43:14.986]  This is a government that forcibly sterilized 300,000 plus women from 1925 to 1985.
[00:43:14.986 --> 00:43:22.372]  This is a government that gave black men syphilis and let them die of it over 50 years and spread it to tens of thousands.
[00:43:22.372 --> 00:43:32.980]  This is a government that told the soldiers, walk into a bomb field 20 minutes after an A-bomb went off, it isn't bad for you, and then wouldn't give them medical care afterwards.
[00:43:32.980 --> 00:43:37.143]  This is a government that gave smallpox blankets to Indians.
[00:43:37.890 --> 00:43:41.091]  When are we going to stop being so damn naive?
[00:43:41.091 --> 00:43:41.811]  What do you think?
[00:43:41.811 --> 00:43:47.913]  Appreciate the call.
[00:43:47.913 --> 00:43:49.114]  Go ahead, caller.
[00:43:49.114 --> 00:43:53.836]  Yeah, Alex, just on the mercury, they also put mercury as a preservative.
[00:43:53.836 --> 00:43:55.176]  It's nutritious, ma'am.
[00:43:55.176 --> 00:43:57.957]  In eye drops and antihistamines.
[00:43:57.957 --> 00:43:59.337]  It's nutritious.
[00:43:59.337 --> 00:44:00.858]  Yeah, well, we don't do it.
[00:44:02.500 --> 00:44:03.561]  Well, you know what?
[00:44:03.561 --> 00:44:05.281]  You may be with Al-Qaeda.
[00:44:05.281 --> 00:44:08.222]  Anybody who disagrees with the government is undermining the state.
[00:44:08.222 --> 00:44:10.863]  Mercury is nutritious!
[00:44:10.863 --> 00:44:20.927]  Despite the fact there are hundreds of reports saying it's bad in vaccines, and thousands saying it's one of the most dangerous heavy metals, you, ma'am, are a conspiracy theorist.
[00:44:20.927 --> 00:44:24.368]  Mercury is nutritious!
[00:44:24.368 --> 00:44:29.010]  And if I won't take it in my vaccine, I'll get it in my antihistamine and my eye drops.
[00:44:29.511 --> 00:44:30.671]  Or your fillings.
[00:44:30.671 --> 00:44:31.271]  Right.
[00:44:31.271 --> 00:44:32.852]  Well, of course.
[00:44:32.852 --> 00:44:35.193]  And my tuna.
[00:44:35.193 --> 00:44:37.813]  Well, organic mercury isn't that bad.
[00:44:37.813 --> 00:44:39.494]  It's bound.
[00:44:39.494 --> 00:44:40.694]  Nature's designed like that.
[00:44:40.694 --> 00:44:52.297]  What's bad is a free, radical mercury that has been broken into tiny particles.
[00:44:52.297 --> 00:44:55.698]  And that's what's done in the thimerosal solution.
[00:44:56.813 --> 00:45:01.037]  Uh, is they break it down into many parts per million.
[00:45:01.037 --> 00:45:04.440]  I mean, if there's mercury bound up in the shrimp you eat, it's not that bad.
[00:45:04.440 --> 00:45:05.901]  It's not good for you.
[00:45:05.901 --> 00:45:08.963]  And at least they have a chelating agent for it, too.
[00:45:08.963 --> 00:45:10.444]  But, uh... Well, that's another thing.
[00:45:10.444 --> 00:45:12.086]  They have hundreds, hundreds.
[00:45:12.857 --> 00:45:16.480]  Of England, Ireland, U.S., France, China, Japan.
[00:45:16.480 --> 00:45:17.882]  These kids get autism.
[00:45:17.882 --> 00:45:23.086]  Your 18-month-old baby's talking, happy, fun, takes the shot, goes into convulsions, is going like this.
[00:45:23.086 --> 00:45:24.788]  They rush the kid in.
[00:45:24.788 --> 00:45:26.429]  Even medical doctors do this.
[00:45:26.429 --> 00:45:29.492]  Pump them with chelating agents, and the kid comes out of it.
[00:45:29.492 --> 00:45:31.894]  If you don't, diapers.
[00:45:31.894 --> 00:45:32.475]  Rest of their life.
[00:45:34.312 --> 00:45:35.792]  Mercury is good for me.
[00:45:35.792 --> 00:45:36.793]  But, but, exactly.
[00:45:36.793 --> 00:45:39.693]  If they get the mercury out, it's only some brain damage.
[00:45:39.693 --> 00:45:45.454]  The problem is the mercury sits there in the cerebral cortex, year after year, just continuing the damage.
[00:45:45.454 --> 00:45:47.375]  Right.
[00:45:47.375 --> 00:45:49.275]  Well, that's all I wanted to add to it, so thanks.
[00:45:49.275 --> 00:45:50.515]  Mercury is good for me.
[00:45:50.515 --> 00:45:51.416]  You must take vaccines.
[00:45:51.416 --> 00:45:52.296]  It's the law.
[00:45:52.296 --> 00:45:55.076]  Mercury is nutritious.
[00:45:55.076 --> 00:45:55.857]  I appreciate your call.
[00:45:55.857 --> 00:45:56.997]  I'm not trying to be mean, folks.
[00:45:56.997 --> 00:45:58.997]  I'm warning parents out there.
[00:45:58.997 --> 00:45:59.797]  You know.
[00:45:59.797 --> 00:46:01.518]  You never saw this 20, 30 years ago.
[00:46:01.518 --> 00:46:02.138]  Now it's everywhere.
[00:46:03.419 --> 00:46:04.620]  The government loves me.
[00:46:04.620 --> 00:46:06.121]  They are good.
[00:46:06.121 --> 00:46:08.403]  And what that is, is an overcooking.
[00:46:08.403 --> 00:46:13.026]  This is a eugenics program to brain damage the public by design.
[00:46:13.026 --> 00:46:16.990]  I have official documents.
[00:46:16.990 --> 00:46:18.951]  Hello caller.
[00:46:18.951 --> 00:46:21.033]  Hello caller.
[00:46:21.033 --> 00:46:21.553]  Hello.
[00:46:21.553 --> 00:46:23.595]  Yes.
[00:46:23.595 --> 00:46:30.480]  Speaking of mercury, I was going to tell people not to have their children go to dentists that use mercury fillings because
[00:46:31.317 --> 00:46:46.760]  I was reading something the other day and I believe it to be true because I've known kids that have had mercury fillings and after so many years those kids just sleep all the time because the fillings contain mercury.
[00:46:46.760 --> 00:46:48.961]  It's nutritious.
