[00:00.000 --> 00:01.500]  We've got a gun.
[34:59.500 --> 35:04.500]  Equal the population of the galaxy, which is a population of quadrillions of humans inhabiting millions of star systems.
[35:04.500 --> 35:07.500]  The larger the number, the more predictable is the future.
[35:07.500 --> 35:12.500]  Now, again, this is some of the earliest ideas on this put out to the general public.
[35:12.500 --> 35:23.500]  The idea is that they now use what you actually do, where you surf, what movies you watch, what books you read, what you eat, your family history, everything dumped into that.
[35:23.500 --> 35:33.500]  So they can then tailor propaganda and subliminals that most people are completely wide open to.
[35:33.500 --> 35:35.500]  And that's really the bottom line here.
[35:35.500 --> 35:39.500]  You're under social engineering. You're under massive manipulation.
[35:39.500 --> 35:45.500]  I would talk about the NSA and the echelon program, which is a 1970s program.
[35:45.500 --> 35:50.500]  It's not like crystal ball and prism and all the rest of these systems.
[35:50.500 --> 35:55.500]  And people say that's impossible, that's illegal. And I'm like, no, it's congressional record. Oh, shut up.
[35:55.500 --> 36:00.500]  I mean, even when it's admitted, the public can't believe it because that's a police state.
[36:00.500 --> 36:04.500]  There's no way I'm in America.
[36:04.500 --> 36:11.500]  There's no way our troops got hit with nerve gas that our own government blew up and they didn't give them treatment, even though it's admitted.
[36:11.500 --> 36:15.500]  Well, I do something about it, if that was the case.
[36:15.500 --> 36:18.500]  See, they know you.
[36:18.500 --> 36:26.500]  And they know to keep the food and entertainment flowing, even though it's poison food and poison cultural entertainment.
[36:26.500 --> 36:29.500]  I mean, look at what they put out in the media and Hollywood and the culture.
[36:29.500 --> 36:37.500]  It is meant to desensitize you to death and destruction and to think it's sexy, show that you have no immunity to it.
[36:37.500 --> 36:44.500]  Because when you see violence and torture and death and it's sold as sexy, instead of creating an immunity like physical poisons,
[36:44.500 --> 36:48.500]  psychic poisons like that actually make you to where you're accustomed to it.
[36:48.500 --> 36:51.500]  Psychological poisons.
[36:51.500 --> 36:59.500]  And so just look at it, turn it on and analyze what you're being hit with, anti-family, anti-male, anti-woman, dumb you down.
[36:59.500 --> 37:03.500]  This is a military operation by the globalist.
[37:03.500 --> 37:05.500]  And they call it that.
[37:05.500 --> 37:07.500]  So let's go over some of these headlines here.
[37:07.500 --> 37:11.500]  NSA spying flap extends to contents of U.S. phone calls.
[37:11.500 --> 37:13.500]  They admit they illegally listened to you.
[37:13.500 --> 37:15.500]  CNET News.
[37:15.500 --> 37:19.500]  Obama does not feel Americans' privacy violated chief of staff.
[37:19.500 --> 37:22.500]  Well, if he feels it, I mean, if he says you didn't build your business, you didn't.
[37:22.500 --> 37:25.500]  I mean, he doesn't feel.
[37:25.500 --> 37:29.500]  See, they program you with this language of five-year-olds.
[37:29.500 --> 37:36.500]  Janet Napolitano denies existence of Orwellian state, kind of like they denied the TSA would stick their hands down your pants till we showed 100 videos of it.
[37:36.500 --> 37:38.500]  Just always lie to you.
[37:38.500 --> 37:42.500]  That's not a political ticker.
[37:42.500 --> 37:44.500]  Facebook spying on people for the NSA.
[37:44.500 --> 37:46.500]  They are the NSA.
[37:46.500 --> 37:50.500]  Yahoo supplied data to Prism only after losing scrappy FISA fight.
[37:50.500 --> 37:52.500]  That's all for show.
[37:52.500 --> 37:59.500]  They grab all the data and then if they want to use something in court, they go do the FISA warrant.
[37:59.500 --> 38:01.500]  It all runs through the system.
[38:01.500 --> 38:03.500]  It's all accessible by thousands of companies.
[38:03.500 --> 38:06.500]  And I'm going to get to that in a moment.
[38:06.500 --> 38:07.500]  Here's another article.
[38:07.500 --> 38:10.500]  The Whistleblower's Guide to the Orwellian Galaxy.
[38:10.500 --> 38:12.500]  How to Leak to the Press.
[38:12.500 --> 38:21.500]  And it says the best way is an envelope with a fake address on it sent out and that is probably the best way.
[38:21.500 --> 38:32.500]  Or know where the press is, stalk the members of the press and drop something in their lap at the local restaurant.
[38:32.500 --> 38:37.500]  Or stick it in their purse when they're in the bathroom saying read this and give them basic data.
[38:37.500 --> 38:38.500]  That's how you do it.
[38:38.500 --> 38:39.500]  I've told you that over and over again.
[38:39.500 --> 38:41.500]  Here it is.
[38:41.500 --> 38:48.500]  Thumb your nose at the NSA with Raspberry PI and the onion system and Tor and all this stuff.
[38:48.500 --> 38:52.500]  Folks, when you run this stuff, this is when they do go look at you.
[38:52.500 --> 38:53.500]  Let's be clear.
[38:53.500 --> 38:58.500]  And they also put up this fake meme of talk about how you're a terrorist on the phone, how you're going to blow stuff up.
[38:58.500 --> 39:01.500]  And then the NSA won't be able to track a terrorist.
[39:01.500 --> 39:05.500]  That's all put out by their operatives or their useful idiots on record.
[39:05.500 --> 39:10.500]  They've done this over and over again for 15 years that I've seen to make you think, oh, they're trying to stop terrorists.
[39:10.500 --> 39:12.500]  Does everyone hears that?
[39:12.500 --> 39:13.500]  No.
[39:13.500 --> 39:21.500]  They're tracking everything you do to know you better than you know yourself to be able to give that select corporate data to key corporations to corner the market.
[39:21.500 --> 39:23.500]  And that's, by the way, in mainstream news.
[39:23.500 --> 39:25.500]  We covered it Friday.
[39:25.500 --> 39:33.500]  Bloomberg's reporting, oh, thousands of elite firms share their data and get the data and use it to manipulate the stock market and everything.
[39:33.500 --> 39:39.500]  Gee, how do you think all these big wigs, wink, wink, Bloomberg, inside info.
[39:39.500 --> 39:41.500]  The stock market is for suckers.
[39:41.500 --> 39:45.500]  Oh, you're like, oh, it's up with devalued dollars.
[39:45.500 --> 39:48.500]  Inflation is incredible right now.
[39:48.500 --> 39:51.500]  I've gone to hotels that were $100 a night, they're $300 a night.
[39:51.500 --> 39:55.500]  Hotels I've been to, they're $200 a night or $500 a night, just from a few years ago.
[39:55.500 --> 39:57.500]  All right, let's continue here.
[39:57.500 --> 40:05.500]  Oh, Rogers says the NSA lockbox stocked dozens of plots.
[40:05.500 --> 40:17.500]  The chairman of the House Intelligence Committee, oh, it stopped the plots of Al-Qaeda the government runs in Libya and Syria and how they let in 15 of the hijackers who are really CIA, source Toronto Star Associated Press.
[40:17.500 --> 40:24.500]  And they just think they can just call me a conspiracy theorist and you won't go look that up.
[40:24.500 --> 40:28.500]  NSA claims know-how to ensure no illegal spying.
[40:28.500 --> 40:29.500]  That's AP.
[40:29.500 --> 40:31.500]  I mean, what a joke.
[40:31.500 --> 40:38.500]  Senators skip classified briefing on NSA snooping to catch flights home because it was just a PR stunt by the NSA to lie to the public.
[40:38.500 --> 40:45.500]  Of course, the senators who are all involved in it, whose families make money off the spying companies.
[40:45.500 --> 40:57.500]  Thousands of companies, over 100 big ones, some of them getting $10 million apiece a year to spy on everything and then use that data for inside info on everything.
[40:57.500 --> 41:06.500]  And to know how to shut things down, where key areas of the economy are to shut things down to war game what will increase their profits.
[41:06.500 --> 41:12.500]  This gives AI crystal ball power, Oracle power to the elite.
[41:12.500 --> 41:14.500]  Now, you know why they call that company Oracle.
[41:14.500 --> 41:18.500]  Let's continue here.
[41:18.500 --> 41:24.500]  Sales of Orwell's 1984 up over 6000% after NSA news.
[41:24.500 --> 41:27.500]  1984 is child's play compared to what's really going on.
[41:27.500 --> 41:31.500]  Google's internet balloons offer remote access, web access.
[41:31.500 --> 41:35.500]  You can search this and pull this up.
[41:35.500 --> 41:43.500]  Where I said 10 years ago Google was going to launch balloons that were actually looking through your walls with wireless internet.
[41:43.500 --> 41:45.500]  Wireless internet actually looks through your walls.
[41:45.500 --> 41:49.500]  It's how connect can see through your whole house now and it's face scanning you.
[41:49.500 --> 41:54.500]  And so these are NSA balloons but oh, Vince Vaughn has a new movie coming out about Google.
[41:54.500 --> 41:56.500]  It's cute and fun and happy.
[41:56.500 --> 41:58.500]  It's a Google balloon, look honey.
[41:58.500 --> 42:00.500]  It's non-threatening.
[42:00.500 --> 42:01.500]  See how this works?
[42:01.500 --> 42:03.500]  They don't do any evil.
[42:03.500 --> 42:09.500]  Just drive around with your Google cars with government pass codes breaking into your computer stealing all your data on record.
[42:09.500 --> 42:12.500]  Isn't that sweet?
[42:12.500 --> 42:14.500]  Stealing all your data publicly.
[42:14.500 --> 42:17.500]  US agency said to swap data with thousands of firms.
[42:17.500 --> 42:18.500]  Yeah, here's that Bloomberg article.
[42:18.500 --> 42:26.500]  That's why when you go to get a hotel or you go to get a rent car, all the women behind the counter and men are on a power trip.
[42:26.500 --> 42:28.500]  And they say, so where are you going?
[42:28.500 --> 42:29.500]  What's she doing?
[42:29.500 --> 42:30.500]  It's at 20 questions.
[42:30.500 --> 42:33.500]  And I go, well, what are you putting that in your little database?
[42:33.500 --> 42:37.500]  And the woman will always swish her hair because she watches James Bond movies as programming.
[42:37.500 --> 42:40.500]  She goes, you bet I am, Mr. Jones.
[42:40.500 --> 42:41.500]  And you don't really live at this address.
[42:41.500 --> 42:43.500]  You live at that address.
[42:43.500 --> 42:46.500]  I'm like, oh, you like your little spy panel you've got there.
[42:46.500 --> 42:49.500]  Hey, take your cancer shots, toots.
[42:49.500 --> 42:51.500]  Okay, get in the coffin.
[42:51.500 --> 42:52.500]  Bye bye.
[42:52.500 --> 42:53.500]  Government killed you.
[42:53.500 --> 42:54.500]  You're not James Bond.
[42:54.500 --> 42:56.500]  You're dead is who you are.
[42:56.500 --> 42:59.500]  They already murdered you.
[42:59.500 --> 43:04.500]  In the last two years alone, the US has seen huge losses to our food supply.
[43:04.500 --> 43:09.500]  In 2011, storms and floods raged across the US costing us 20 billion in lost crops alone.
[43:09.500 --> 43:13.500]  In 2012, we saw the largest drought in the country in more than 50 years.
[43:13.500 --> 43:17.500]  You may think out of sight, out of mind, and so you don't think you will be affected.
[43:17.500 --> 43:19.500]  The fact is you are.
[43:19.500 --> 43:20.500]  We all are.
[43:20.500 --> 43:22.500]  Food shortages drive prices up for everyone.
[43:22.500 --> 43:27.500]  You might not be able to control mother nature, but you can control your food prices by freezing
[43:27.500 --> 43:31.500]  the cost and availability of your food supply with e Foods Direct.
[43:31.500 --> 43:36.500]  Be prepared before you need it with nutrient dense food you can store for up to 25 years.
[43:36.500 --> 43:38.500]  You can hope for the best, but hope won't feed you.
[43:38.500 --> 43:42.500]  Do what I've done and get your own supply of the best durable foods out there from e
[43:42.500 --> 43:43.500]  Foods Direct.
[43:43.500 --> 43:49.500]  Call 800-409-5633 or visit them on the web at efoodsdirect.com forward slash Alex and
[43:49.500 --> 43:50.500]  check out their spring specials.
[43:50.500 --> 43:57.500]  Again, that number is 800-409-5633 or on the web at efoodsdirect.com forward slash Alex.
[43:57.500 --> 44:00.500]  You can bet your life on e Foods Direct.
[44:00.500 --> 44:04.500]  There is an increased need to support our immunity and health.
[44:04.500 --> 44:09.500]  At Silver Lungs, we are committed to meeting your needs by providing a full selection of
[44:09.500 --> 44:11.500]  silver based products.
[44:11.500 --> 44:17.500]  Our most popular silver based products are the 32 ounce nano silver solutions.
[44:17.500 --> 44:23.500]  Our 2 ounce nano silver nasal applicators as well as our all natural silver soaps.
[44:23.500 --> 44:27.500]  Just released is our 100% natural silver gel.
[44:27.500 --> 44:32.500]  Our new silver gel is not based on synthetic gelling agents which quickly evaporate and
[44:32.500 --> 44:34.500]  leave the silver at the surface.
[44:34.500 --> 44:39.500]  But rather, we have formulated our silver gel using the natural skin nourishing chemistry
[44:39.500 --> 44:45.500]  of aloe vera to quickly penetrate and nourish the skin while delivering the silver more
[44:45.500 --> 44:46.500]  effectively.
[44:46.500 --> 44:53.500]  Visit www.silverlungs.com and click on our store page to find what silver based products
[44:53.500 --> 44:55.500]  are best for you.
[44:55.500 --> 45:09.500]  That's www.silverlungs.com.
[45:55.500 --> 46:20.500]  I'll see you
[46:20.500 --> 46:27.500]  in the next video.
[46:50.500 --> 47:08.500]  Bye.
[47:20.500 --> 47:43.500]  Bye.
[47:50.500 --> 48:16.500]  Bye.
[48:20.500 --> 48:49.500]  Bye bye.
[48:50.500 --> 49:19.500]  Bye bye.
[49:20.500 --> 49:48.500]  Bye bye.
[49:50.500 --> 50:15.500]  Bye bye.
[50:15.500 --> 50:27.500]  Bye bye.
[50:27.500 --> 50:47.500]  Bye bye.
[50:47.500 --> 51:07.500]  Bye bye.
[51:07.500 --> 51:32.500]  Bye bye.
[51:32.500 --> 51:44.500]  Bye bye.
[51:44.500 --> 52:04.500]  Bye bye.
[52:04.500 --> 52:27.500]  Bye bye.
[52:34.500 --> 52:59.500]  Bye bye.
[52:59.500 --> 53:11.500]  Bye bye.
[53:11.500 --> 53:31.500]  Bye bye.
[53:31.500 --> 53:51.500]  Bye bye.
[53:51.500 --> 54:10.500]  Bye bye.
[54:10.500 --> 54:35.500]  Bye bye.
[54:35.500 --> 54:47.500]  Bye bye.
[54:47.500 --> 55:07.500]  Bye bye.
[55:07.500 --> 55:27.500]  Bye bye.
[55:27.500 --> 55:47.500]  Bye bye.
[55:47.500 --> 56:07.500]  Bye bye.
[56:07.500 --> 56:27.500]  Bye bye.
[56:27.500 --> 56:47.500]  Bye bye.
[56:47.500 --> 57:07.500]  Bye bye.
[57:07.500 --> 57:27.500]  Bye bye.
[57:27.500 --> 57:47.500]  Bye bye.
[57:47.500 --> 58:07.500]  Bye bye.
[58:07.500 --> 58:27.500]  Bye bye.
[58:27.500 --> 58:47.500]  Bye bye.
[58:47.500 --> 59:07.500]  Bye bye.
[59:07.500 --> 59:27.500]  Bye bye.
[59:27.500 --> 59:47.500]  Bye bye.
[59:47.500 --> 01:00:07.500]  Bye bye.
[01:00:07.500 --> 01:00:17.500]  Bye bye.
[01:00:17.500 --> 01:00:41.500]  Bye bye.
[01:00:41.500 --> 01:01:01.500]  Bye bye.
[01:01:01.500 --> 01:01:21.500]  Bye bye.
[01:01:21.500 --> 01:01:41.500]  Bye bye.
[01:01:41.500 --> 01:02:01.500]  Bye bye.
[01:02:01.500 --> 01:02:21.500]  Bye bye.
[01:02:21.500 --> 01:02:41.500]  Bye bye.
[01:02:41.500 --> 01:03:01.500]  Bye bye.
[01:03:01.500 --> 01:03:21.500]  Bye bye.
[01:03:21.500 --> 01:03:41.500]  Bye bye.
[01:03:41.500 --> 01:04:01.500]  Bye bye.
[01:04:01.500 --> 01:04:21.500]  Bye bye.
[01:04:21.500 --> 01:04:41.500]  Bye bye.
[01:04:41.500 --> 01:04:51.500]  Bye bye.
[01:05:11.500 --> 01:05:31.500]  Bye bye.
[01:05:31.500 --> 01:05:51.500]  Bye bye.
[01:05:51.500 --> 01:06:01.500]  Bye bye.
[01:06:21.500 --> 01:06:33.500]  It's Alex Jones.
[01:06:33.500 --> 01:06:41.500]  Ladies and gentlemen, I am your host Gandalf Jones.
[01:06:41.500 --> 01:06:55.500]  Actually, if you're a radio listener, you can just try to figure out what I'm talking about, but if you're a TV viewer, I am smoking a corncob pipe and many pipes, including many types of wooden pipes have been outlawed in Florida.
[01:06:55.500 --> 01:07:13.500]  It is a felony. You've got to fill up all the private prisons with people. You've got to because the big private prison corporations on record are in the top 10 of lobbying groups, giving hundreds of millions a year to federal and state governments to have taxpayers pay for new prisons.
[01:07:13.500 --> 01:07:32.500]  Which then they service and run at giant profits and the prisoners work inside of the prisons, building everything you can imagine, not just furniture and license plates, but electronics, customer service, phone calls, you name it for 25 cents an hour or less.
[01:07:32.500 --> 01:07:44.500]  And then good old boys sitting around in the town wonder why they have no job. They're like, make them prisoners work and don't let them have air conditioner. They got hot tubs and color TV in there.
[01:07:44.500 --> 01:07:53.500]  I've got a cousin who is in the army and then he was worked for the post office and he triple dipped and for like a decade went to work for the state prisons.
[01:07:53.500 --> 01:08:06.500]  And he retired over it. He said, it's crazy. It's in the summer. It's 120 degrees in there and it makes people 10 times more violent. And the way these buildings are built, no breeze comes through.
[01:08:06.500 --> 01:08:15.500]  It is torture. And I've heard people on the radio don't have air conditioning for these prisoners. Yeah, torture them. That's going to be you.
[01:08:15.500 --> 01:08:23.500]  They're going to put in there. The violent criminals run the government. It's come out the State Department this year alone hired 2000 felons. A bunch of them aggravated.
[01:08:23.500 --> 01:08:33.500]  Police departments are hiring aggravated felons and it's always a mistake, but nobody gets fired. They want aggravated felons, period.
[01:08:33.500 --> 01:08:42.500]  That's how all this works, ladies and gentlemen. So here's the article. Former Tea Party governor makes possession of a bong a felony.
[01:08:42.500 --> 01:08:50.500]  Infowars.com and we have the different newspapers there. The Miami papers and others are reporting on the same thing.
[01:08:50.500 --> 01:08:59.500]  But I mean, even if it is for marijuana, give me a break, ladies and gentlemen. Alcohol is so much worse than marijuana and I'm not even a marijuana guy.
[01:08:59.500 --> 01:09:06.500]  I'm more of an alcohol type guy, but I'm even getting away from that. And that's right. J.R.R. Tolkien was a big pipe smoker.
[01:09:06.500 --> 01:09:14.500]  So J.R.R., if you ever come back from heaven or Douglas MacArthur, don't go to Florida. Great state, by the way. Great beaches.
[01:09:14.500 --> 01:09:18.500]  A lot of nice people and more marijuana and you can shake a stick at, which is the plan.
[01:09:18.500 --> 01:09:28.500]  Got to fill those private prisons up. Got to have an economy. Here's another one. Police trained to treat Keystone XL protesters as terrorists.
[01:09:28.500 --> 01:09:36.500]  Now, whereas I don't like these George Soros funded people trying to shut down our pipelines just so George Soros and Berkshire Hathaway
[01:09:36.500 --> 01:09:44.500]  on record can make all this money shipping the oil out of Canada via trains they own out to the West Coast and then to China.
[01:09:44.500 --> 01:09:52.500]  That's how business works. Use government here to shut down industry and then fund them. But still, they're not terrorists.
[01:09:52.500 --> 01:09:59.500]  And in the training manual, alternate links to they call them terrorists and talk about how horrible it is to protest.
[01:09:59.500 --> 01:10:09.500]  Why don't our police move to Turkey where protesting isn't allowed? Here's another one. Video game cast Tea Party and Patriot groups as enemy terrorists.
[01:10:09.500 --> 01:10:17.500]  Again. I see this all the time, every new video game, that's a shoot them up, every new movie, TV shows, you see it.
[01:10:17.500 --> 01:10:24.500]  The people that talk about the Constitution are child molesters or murderers. They're now saying it isn't Al Qaeda that's the enemy.
[01:10:24.500 --> 01:10:31.500]  It's the gun owners, the Tea Party, the libertarians. Can people see that Homeland Security was set up for us and they now admit it was?
[01:10:31.500 --> 01:10:36.500]  Anybody? Oh, you're protesting a pipeline. You're a terrorist. You're protesting for the Second Amendment. You're a terrorist.
[01:10:36.500 --> 01:10:42.500]  You're protesting for farmer rights. You're a terrorist. Oh, you're going to sit there and eat a bunch of Prozac and watch football.
[01:10:42.500 --> 01:10:53.500]  You're a good American. Absolutely incredible to see this type of stuff going on.
[01:10:53.500 --> 01:10:57.500]  All right. Now, I said I'd go to your phone calls and I want to go to your phone calls coming up the next segment.
[01:10:57.500 --> 01:11:02.500]  It's mother news here in a moment. But first, here's the number to join us for first time callers only.
[01:11:02.500 --> 01:11:11.500]  Please give new folks that have been able to get through, haven't been on a chance specifically on all the scandals on them now being in mainstream news.
[01:11:11.500 --> 01:11:20.500]  USA Today with the headline Friday. West funding Al Qaeda in fight against Assad.
[01:11:20.500 --> 01:11:25.500]  And they admit the main fighting group is Al Qaeda and they are killing Jews and Christians and everybody.
[01:11:25.500 --> 01:11:29.500]  But that's OK. See, I've been proven right again in your face.
[01:11:29.500 --> 01:11:36.500]  Want to talk about that? The NSA, Obama now with video and text messages to take over all the phones.
[01:11:36.500 --> 01:11:42.500]  And I guess they're saying turn on your TV and make you hear announcements even when it's off. That's coming up.
[01:11:42.500 --> 01:11:50.500]  Meanwhile, Congress has a 10 percent approval rating, lowest ever, which only makes them gear up more with a police state against us.
[01:11:50.500 --> 01:11:54.500]  They know they're illegitimate. They know they're criminal. We're going to be talking about all that.
[01:11:54.500 --> 01:12:01.500]  I want to get your take on all of this. And do you think it's a good idea that people with basically any type of pipe in Florida be given felonies?
[01:12:01.500 --> 01:12:06.500]  I mean, you've got to have an economy with people working for 25 cents an hour.
[01:12:06.500 --> 01:12:13.500]  Even the Chinese aren't that cheap. Poor Chinese. Maybe they should move their suicide nets around the penitentiary.
[01:12:13.500 --> 01:12:18.500]  Kind of like Apple has at Foxconn over there. So liberal to have suicide. That's so trendy.
[01:12:18.500 --> 01:12:22.500]  You know, Al Gore cares about you. So does Obama. He got a peace prize. Didn't you hear?
[01:12:22.500 --> 01:12:34.500]  877-789-ALEX. 877-789-2539. I want to hear from you with your questions, your comments. 877-789-ALEX.
[01:12:34.500 --> 01:12:47.500]  And we will get you up and on the air today. But just finishing up with this, since I mentioned it, and let's go ahead and go to this clip that I was talking about earlier.
[01:12:47.500 --> 01:12:54.500]  Where a 14 year old, the center of an NRA t-shirt controversy, and the report acts like it's OK.
[01:12:54.500 --> 01:13:00.500]  You know, he didn't take his shirt off. He had to follow an officer's order. And so now he's going to spend a year in jail.
[01:13:00.500 --> 01:13:05.500]  They're throwing the book at him. So if a cop said, take your cross off your neck. Do you do it?
[01:13:05.500 --> 01:13:13.500]  It's a lawful order. That's an unlawful order. But cops are taught now every order they give is a lawful order.
[01:13:13.500 --> 01:13:19.500]  Unbelievable. They need to sue them for civil rights violation of the First Amendment. You're like, oh, no, do what a cop says.
[01:13:19.500 --> 01:13:34.500]  Oh, and when they've arrested before people that won't quit giving a speech about Jesus at their valedictorian award, you as an individual could talk about ACDC or deer hunting or video games or loving Jesus or football.
[01:13:34.500 --> 01:13:44.500]  It's your free speech at the commencement speech. So you either support the First Amendment or you don't. You either support the second or you don't.
[01:13:44.500 --> 01:13:51.500]  And this cop needs to be fired. Let's go and go to a club. Here it is. A five hundred dollar fine and up to a year in jail.
[01:13:51.500 --> 01:14:01.500]  That's what the 14 year old student who refused to change his NRA shirt could face now that a judge has allowed the prosecution to move forward with its obstructing an officer charge.
[01:14:01.500 --> 01:14:08.500]  You know, I think eventually we're going to we're going to get through this, but I don't ever think it should have made it this far. Not at all.
[01:14:08.500 --> 01:14:17.500]  The Logan County Police Department initially claimed that at the time, eighth grader Jared Markham was arrested for disturbing the education process, obstruction.
[01:14:17.500 --> 01:14:23.500]  And we're told officers even went as far as threatening to charge him with making terroristic threats.
[01:14:23.500 --> 01:14:32.500]  Jared didn't do anything, in my view, of the facts that obstructed Officer Atkinson doing his job. I think Officer Atkinson could have done something.
[01:14:32.500 --> 01:14:36.500]  Yeah, by the way, I've read the complaint. They're saying wearing the gun was threatening.
[01:14:36.500 --> 01:14:42.500]  I saw one last week where the kids said your pop tart looks like a gun wasn't even shaped like one. And so they kicked him out.
[01:14:42.500 --> 01:14:50.500]  This is mind control, folks. And it shows the cops on the newscast. I mean, just move to North Korea, buddy.
[01:14:50.500 --> 01:14:59.500]  There you go. And don't worry, though, when the government says, you know, we're taking your private bank accounts as they're gearing up to do, the officers will be like, it's in order.
[01:14:59.500 --> 01:15:10.500]  Do as we say. Go to the FEMA camp. Take your shot. Government is gone. Romans 13. Do what Hitler says. You're supposed to do whatever the government says.
[01:15:10.500 --> 01:15:16.500]  That's why Jesus whipped the money changers. That's why that's why they went the fiery furnace and didn't follow orders.
[01:15:16.500 --> 01:15:24.500]  They were of the devil. They now teach. I've seen TV preachers saying the Christians were wrong to be thrown to the lions.
[01:15:24.500 --> 01:15:28.500]  They should have worshiped the gods. The Romans said these are not churches.
[01:15:28.500 --> 01:15:35.500]  These are authoritarian government megaphones where devil worship is happening in plain view of everyone.
[01:15:35.500 --> 01:15:47.500]  That's what it is. The IRS is now on tape telling pro-life groups you will not pray and you will not go out and protest.
[01:15:47.500 --> 01:15:57.500]  People are like, yes, sir. Romans 13 says, kill my baby. Kill that baby. Jesus said so.
[01:15:57.500 --> 01:16:11.500]  He said so. Cal Bend soap company can save you thousands of dollars and give you good old fashioned real soap that is triple concentrated and made from the highest quality vegetable and coconut oils.
[01:16:11.500 --> 01:16:29.500]  See them on the Web. Www dot five star soap dot com or call 1-800-340-7091 for a free catalog and buy American made products. Order the sampler. A one to two month supply or get a one to two year supply of soaps for all your cleaning needs.
[01:16:29.500 --> 01:16:45.500]  You're getting soap products twice as good as what you're using now. This is an amazing deal and you will love the way real soap makes your skin feel. Call 1-800-340-7091 or visit www dot five star soap dot com.
[01:16:45.500 --> 01:17:00.500]  Alex and his staff have used these earth friendly pure soaps for years. See them on the Web. Www dot five star soap dot com or call 1-800-340-7091 for a catalog.
[01:17:00.500 --> 01:17:25.500]  A little over a year ago, I began to do a lot of research into why, even if I had a pretty good sized meal, that I was still starving. And my research led me to a well known fact that most of the soils that we grow our crops on here in the United States and across the industrialized world are almost completely depleted of almost all of the key minerals and trace elements that our bodies need to rebuild themselves, fight off cancer and be healthy.
[01:17:25.500 --> 01:17:39.500]  I then searched out the best vitamin and mineral company out there and discovered Young Jevity. The Young Jevity products are designed to give you the real nutrition you need. And once you've got that, you don't have to eat as much to be satisfied.
[01:17:39.500 --> 01:17:59.500]  I've lost 37 pounds in two months simply getting the vitamins and minerals I need. Check it out for yourself. It's incredible. Go to info wars team dot com today and order your first canister of beyond tangy tangerine complete multivitamin mineral complex dietary supplement that's info wars team dot com.
[01:17:59.500 --> 01:18:15.500]  Now is the perfect time to spring clean your body with Supernatural Silver, a non toxic disinfectant for the body that can be used internally or externally. It helps the immune system by killing the bacteria, viruses and mold that cause disease.
[01:18:15.500 --> 01:18:34.500]  This helps to reduce the workload of your already overworked immune system and allows the immune system to refocus its energy and recharge. Supernatural Silver can help combat over 300 different conditions and it has the ability to kill over 143 types of bacteria, viruses, mold and yeast.
[01:18:34.500 --> 01:18:53.500]  Supernatural Silver's patented technology includes advanced scientific research with over 180 scientific studies conducted at independent universities, hospitals, research institutions and nursing homes. To see how Supernatural Silver can change your life, go to Supernatural Silver dot com.
[01:18:53.500 --> 01:18:59.500]  Use the promo code Silver 2013 for 20% off and like us on Facebook.
[01:18:59.500 --> 01:19:04.500]  You may be arrested and or subject to other police action.
[01:19:04.500 --> 01:19:30.500]  The grim future foretold in 1984 has become reality.
[01:19:30.500 --> 01:19:44.500]  1984 chronicles the sickening depths to which our republic has fallen. Prepare to enter the secretive world of emergency dictatorship, body scanners, sound cameras, citizen spies, stage terror and cameras on every street corner.
[01:19:44.500 --> 01:20:01.500]  It's only the beginning of the New World Order's hellish plan. The police state isn't coming. It's here. Secure your copy today at info wars dot com or see it online in the highest quality at prison planet dot TV.
[01:20:01.500 --> 01:20:17.500]  Coast to coast direct from Austin. You're listening to the Alex Jones Broadcasting Network.
[01:20:17.500 --> 01:20:33.500]  All right, here's what I'm going to do. I'm going to go to your phone calls because I start getting in the news. I'll never get to them. And then I'm going to show some video, break it down for radio listeners of what's happened in Turkey.
[01:20:33.500 --> 01:20:47.500]  A few weeks ago, they were going to shut down the only park left in Istanbul, formerly Constantinople, lost during the Crusades. And it was just a bunch of peaceful people out there saying don't shut it down.
[01:20:47.500 --> 01:20:55.500]  So the riot police came with bulldozers, tear gas, injured thousands, beat up some people, killed some people, disappeared some people.
[01:20:55.500 --> 01:21:08.500]  And so then people started protesting en masse. And it just shows how out of control the power structure worldwide is and how governments have been gearing up to crush the population.
[01:21:08.500 --> 01:21:19.500]  When meanwhile, the police are having their future crush as well. It really is sad how we have branded worldwide via media propaganda.
[01:21:19.500 --> 01:21:30.500]  Free speech is something terroristic or bad. But right now, let's go to your phone calls. Then I'm also going to get into Obama to take over your phone, take over your computer.
[01:21:30.500 --> 01:21:40.500]  Even when it's off, it will turn on now and give you Obama messages. They've been pumping you with flood messages and traffic messages just to get you ready and prepared.
[01:21:40.500 --> 01:21:52.500]  Now it's going to be political messages. And they have political messages on MSNBC saying your children belong to the state. Men are bad. The family is bad. World government is good.
[01:21:52.500 --> 01:21:59.500]  Just get ready for more and more because you put up with it. Let's go ahead. Who should I go to first here?
[01:21:59.500 --> 01:22:10.500]  Well, this new phone system, we have a new phone system and has like 20 lines instead of 11. They're just all lit up. Francis in New York, you're on the air. Go ahead.
[01:22:10.500 --> 01:22:12.500]  Happy Father's Day, Alex. How are you?
[01:22:12.500 --> 01:22:22.500]  That's hate speech. You're not allowed to say father in French or U.S. federal documents. Father or mother is hurtful. I'm not joking. You just committed a thought crime, sir.
