[00:00.000 --> 00:08.000]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[33:34.000 --> 33:44.000]  Don't forget I'm a documentary filmmaker. I produced over 20 films. I've directed more than 20, produced several others, loose change, final cut, invisible empire, a new order to find.
[33:44.000 --> 33:59.000]  They're all available at infowars.com. And I know that you, the audience of this transmission, are extremely informed, extremely well researched. In many cases, you're more informed than I am in specific areas of specialty that you've done more research into.
[33:59.000 --> 34:16.000]  But your friends, your family, your children, your grandparents, your parents, your neighbor, your employees, your bosses, the folks at your church or your synagogue or whatever the case may be, they know something's wrong now, but they don't know the specifics.
[34:16.000 --> 34:32.000]  It is so vital to get in-game blueprint for global enslavement, invisible empire, new order to find, the Obama deception, fall the republic, terror storm, films and materials that we offer at infowars.com and to get them out to people now.
[34:32.000 --> 34:43.000]  And best-selling books like Seeds of Destruction, Exposing Industry and Government Lies about the Safety of Genetically-Engineered Foods You're Eating, Jeffrey M. Smith.
[34:43.000 --> 34:49.000]  He's very conservative, he's very careful, he understates it, and the understatement is absolutely devastating.
[34:49.000 --> 35:01.000]  There is no doubt that they know that these GMO foods are causing low birth weight, sterilization, reduced fertility, toxic problems. Seeds of deception is such an important book.
[35:01.000 --> 35:13.000]  And he has one that's like a textbook, Genetic Roulette, The Documented Health Risk of Genetically-Engineered Foods. Jeffrey M. Smith, author of the number one international best-seller, Seeds of Deception.
[35:13.000 --> 35:16.000]  By the way, they're all available at infowars.com.
[35:16.000 --> 35:31.000]  Immune dysfunction, chronic illness, inflammation, death, 65 health risks, suppressed science and cover-ups, misfortune that the people are going through is just horrible. We need to warn the public.
[35:31.000 --> 35:49.000]  Misinformed Congress and regulators, this film is really my favorite. We've also got some films he's involved with, all available at infowars.com. And your purchase of the books and videos supports my operation and the authors and filmmakers whose books and videos we carry, like Jesse Ventura's American Conspiracy,
[35:49.000 --> 36:02.000]  number four on the New York Times best-seller list, and all the other great suppressed things. They've just republished Fretcher Prouties, The Secret Team, How the Government Really Works. He was the head of Black Ops and the Pentagon, liaison to the CIA.
[36:02.000 --> 36:17.000]  That book's now back in print, available at infowars.com. Or call toll-free, 888-253-3139. You can also write to me, PO Box 19549, Austin, Texas 78760.
[36:17.000 --> 36:25.000]  Whatever you do, don't procrastinate. Get involved today. Start reaching out to people. They're ready to hear the truth.
[36:25.000 --> 36:36.000]  Jeffrey Smith is the founder of the Institute for Responsible Technology, whose mission is to promote the responsible use of technology and stop genetically engineered foods and crops through grassroots and national strategies.
[36:36.000 --> 36:47.000]  He's an acclaimed international speaker, trusted authority on GMOs, best-selling author, admired filmmaker, seasondeception.com. Seasondeception.com is the website.
[36:47.000 --> 36:57.000]  And I wanted to get him on because I've literally seen hundreds of studies out of Canada, England, China, Japan, the United States.
[36:57.000 --> 37:11.000]  I've interviewed former GMO, Company Heads, who found that it was really hurting the guinea pigs and mice and rats. I've talked to other GMO Heads who would say, look, this stuff sterilizing the rats, reducing fertility.
[37:11.000 --> 37:20.000]  They'd say, well, that's not a problem. There's too many people. So the point is, whether you think there's too many people or not, we shouldn't have forced medication going on.
[37:20.000 --> 37:31.000]  And the bigger issue is this is irrevocably altering the DNA of the human species. So in the next 22 minutes, I wanted to get Jeffrey Smith's take on all of this.
[37:31.000 --> 37:36.000]  He would be with us longer, but he's on the road making a film right now. But here's a headline.
[37:36.000 --> 37:39.000]  Research links genetically modified food to long-term sterility.
[37:39.000 --> 37:46.000]  A new study done by Russian scientists suggests that genetically modified food may cause, kind of like jumping in front of a bus going under miles an hour, might hurt you.
[37:46.000 --> 37:51.000]  A new study done by Russian scientists suggests that genetically modified food may cause long-term sterility.
[37:51.000 --> 37:58.000]  That is, sterility in the second and third generations. The scientists used hamsters for the research and divided them into groups.
[37:58.000 --> 38:05.000]  One group of hamsters was fed normal diet without any soy products. A second group was fed non-GMO, genetically modified organism soy.
[38:05.000 --> 38:11.000]  The third ate GMO soy, and the fourth group was fed an even higher amount of GMO soy than the third.
[38:11.000 --> 38:17.000]  Each group produced about seven of eight liters of baby hamsters, each without any problems.
[38:17.000 --> 38:25.000]  But when the research selected new breeding pairs from the offspring, the second generation had a slower growth rate, and a bunch of other studies show that that our guests will go over in a moment,
[38:25.000 --> 38:32.000]  and research their sexual maturity later than normal. They also had a mortality rate five times higher.
[38:32.000 --> 38:42.000]  Oh, you like living till 25 instead of 100? That's what we're talking about. That's 100, you know, five times lower is 25.
[38:42.000 --> 38:47.000]  They also had a mortality rate five times higher than the hamsters did who ate the soy.
[38:47.000 --> 38:57.000]  Even more shocking was the fact that nearly all of the third generation GMO soy hamsters were sterile and also experienced hair growth inside their mouths.
[38:57.000 --> 39:02.000]  There are photos of that, and it goes on. Now, here, perfect soft-kill weapon.
[39:02.000 --> 39:07.000]  Mercury in the vaccines has been shown within one generation to reduce fertility and damage DNA.
[39:07.000 --> 39:12.000]  Folks, this is real, and we already have massive sperm count lowered levels.
[39:12.000 --> 39:16.000]  We have massive infertility in women. You know about it. You see it in the news.
[39:16.000 --> 39:25.000]  All right, I'm going to shut up for the next two segments and go to Jeffrey Smith, author of Genetic Roulette, which is so important to get, folks.
[39:25.000 --> 39:30.000]  Jeffrey, break down this new study by the Russians, and then let's go into some of the other studies we've seen.
[39:30.000 --> 39:36.000]  Yes, they actually, the scientists I spoke with said it was just a routine study.
[39:36.000 --> 39:42.000]  They just simply fed hamsters genetically modified soy in those four groups you said.
[39:42.000 --> 39:45.000]  Non-GM soy, GM soy, high GM soy, and no soy.
[39:45.000 --> 39:54.000]  And there was no problem in the groups that were eating the normal natural soy as part of their diet or no soy at all.
[39:54.000 --> 40:01.000]  But those that ate the genetically engineered soy, they didn't actually show the problems in the first generation.
[40:01.000 --> 40:04.000]  The second generation was slower growth, slower onset for maturity.
[40:04.000 --> 40:08.000]  But by the third generation, that's when the boom was hit, the boom hit.
[40:08.000 --> 40:14.000]  And that was when nearly all of the adults had lost the ability to have babies.
[40:14.000 --> 40:21.000]  And the infant mortality rate, the infant mortality rate, the rate at which they died at that birth or soon after,
[40:21.000 --> 40:30.000]  that was five times higher in one of the GM soy groups and four times higher in the other compared to the control.
[40:30.000 --> 40:39.000]  So you had both a level of infertility, slower growth, and also a higher death rate among the babies.
[40:39.000 --> 40:47.000]  Now, this man, Alexei Surov, had done some research on hamsters before and found quite a rare situation
[40:47.000 --> 40:52.000]  where hair and mucus would form inside the mouth of the hamsters.
[40:52.000 --> 40:57.000]  The pictures are so disgusting that when I posted my article in Huffington Post, I didn't put the picture there.
[40:57.000 --> 41:01.000]  I just linked to it in case people wanted to see it because they didn't want to force them.
[41:01.000 --> 41:09.000]  But it's just that inside the inside ring, inside the teeth, big gaping holes with hair and mucus growing in there.
[41:09.000 --> 41:15.000]  And this was published in a study by Surov some months before.
[41:15.000 --> 41:21.000]  But what he found out was that the group that was eating the genetically modified soy had a much higher incidence
[41:21.000 --> 41:26.000]  of this rare disorder than he had ever seen in his study,
[41:26.000 --> 41:34.000]  suggesting that there may be some very significant disorders resulting from the genetically engineered soy.
[41:34.000 --> 41:41.000]  Now, I asked him at this point, he released his information as part of a report on April 15th,
[41:41.000 --> 41:45.000]  and I asked him when it would be published and that would be in the summer.
[41:45.000 --> 41:50.000]  And he was cautious. He said, we don't know if it's the genetically engineered component.
[41:50.000 --> 41:55.000]  We don't know if it's the extra roundup herbicide on the soy.
[41:55.000 --> 41:58.000]  Let me explain what that means to those who are not familiar with GMO.
[41:58.000 --> 42:07.000]  The primary reason why people genetically modify crops is so they can drink a poisonous herbicide and not die.
[42:07.000 --> 42:14.000]  And roundup is the most popular. So you have roundup-ready soy beans, corn, cotton, canola and sugar beet
[42:14.000 --> 42:20.000]  that you can spray with a toxic roundup herbicide and it will kill all the other plant biodiversity,
[42:20.000 --> 42:22.000]  but not the roundup-ready crop.
[42:22.000 --> 42:32.000]  Now, I am learning just this month that the roundup itself has components in it that might promote sterility.
[42:32.000 --> 42:37.000]  And what happens is, and this is, I'm saying might because I'm still investigating and even once I've fully investigated,
[42:37.000 --> 42:39.000]  I probably would be cautious on the...
[42:39.000 --> 42:42.000]  And of course, this is Monsanto of Agent Orange fame.
[42:42.000 --> 42:51.000]  Yes, exactly. Monsanto is the one that produces roundup. They're one of the producers of Agent Orange and of course, PCBs.
[42:51.000 --> 42:54.000]  And they're in charge, by the way, to determine if their GM foods are safe.
[42:54.000 --> 43:04.000]  Hello, this is Alex Jones with some important questions.
[43:04.000 --> 43:09.000]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[43:09.000 --> 43:14.000]  My answer would be all I can get in the battle for freedom and the lives of your loved ones.
[43:14.000 --> 43:18.000]  Food is your only ammunition. How much do you want? When do you want it?
[43:18.000 --> 43:24.000]  Now or after the battle starts. When will you need it? Can you buy it without proper identification?
[43:24.000 --> 43:29.000]  Will there be any food? Will it make your children sick? If there's a quarantine and you can't feed yourself,
[43:29.000 --> 43:35.000]  will you go to the gathering center and be immunized? You wipe out all these problems if you have a good food supply.
[43:35.000 --> 43:41.000]  Food is your ammunition to fight for your freedom and your life. How much will you need? We don't know.
[43:41.000 --> 43:44.000]  How much do you want? All you can get. I'm Alex Jones.
[43:44.000 --> 43:51.000]  I want all of you good guys to live to fight another day. Call 1-800-409-5633
[43:51.000 --> 43:59.000]  or check it out on the web at eFoodsDirect.com. Again, that number 1-800-409-5633.
[44:01.000 --> 44:07.000]  The fall of America and the western world is an all-new 10-hour documentary and survival guide rolled into one.
[44:07.000 --> 44:12.000]  In this film, you will see the reasons why our government is failing and what you can do to prepare.
[44:12.000 --> 44:20.000]  Featuring Dr. Paul Craig Roberts, Joseph Farah, David Ike, Naomi Wolf, G. Edward Griffin, Doug McIntyre,
[44:20.000 --> 44:27.000]  Mark Crispin-Miller, Mickey Z, Doug Casey, David McElvaney, and myself, Alex Jones.
[44:27.000 --> 44:32.000]  Protect yourself and get the tools you need to protect your family from these difficult times.
[44:32.000 --> 44:38.000]  The fall of America and the western world, and www.thefallofamerica.net
[44:38.000 --> 44:42.000]  or click on the banners at infowars.com and prismplanet.com.
[44:42.000 --> 44:51.000]  Again, that website is www.thefallofamerica.net or call 800-655-1577.
[44:51.000 --> 45:09.000]  Prepare yourself and the ones you love today, www.fallofamerica.net.
[45:21.000 --> 45:24.000]  This is a great way to be able to monitor the value of your home.
[45:24.000 --> 45:26.000]  And again, it's absolutely free.
[45:26.000 --> 45:28.000]  There are tons of tools to help you.
[45:28.000 --> 45:32.000]  For instance, if you want to remodel your home, go to homegain.com.
[45:32.000 --> 45:39.000]  Use their home sale maximizer to help you determine which home improvements can most increase your home's value before you put it on the market.
[45:39.000 --> 45:42.000]  For 10 years, these folks have been helping home sellers and buyers.
[45:42.000 --> 45:45.000]  Visit their link at infowars.com.
[45:45.000 --> 45:50.000]  Look for Max, the orange homegain gorilla to help you with any real estate needs you might have.
[45:50.000 --> 45:53.000]  You'll love this site. It's homegain.com.
[45:53.000 --> 46:20.000]  H-O-M-E-G-A-I-N dot com. Check them out today.
[46:24.000 --> 46:33.000]  Invisible Empire chronicles how men of power and influence have worked in stealth for centuries to establish an oppressive world government.
[46:33.000 --> 46:38.000]  I believe, first of all, that we now need nothing short of a world constitution for the global financial system.
[46:38.000 --> 46:41.000]  Global governance with the establishment of the G20.
[46:41.000 --> 46:47.000]  So it's going to be an inner ruling elite and then everyone else. And I got news for you. You're everyone else.
[46:47.000 --> 47:01.000]  Invisible Empire, secure your copy today at infowars.com or prisonplanet.com or watch it online in the highest quality at prisonplanet.tv.
[47:01.000 --> 47:18.000]  Coast to coast, direct from Austin. You're listening to the Alex Jones Broadcasting Network.
[47:18.000 --> 47:33.000]  And I saw just last month Obama appointed the head regulator at the Food and Drug Administration as the former Monsanto executive.
[47:33.000 --> 47:45.000]  He was one that was in charge of policy at the FDA when the FDA said no testing was necessary. And he was based on a policy that claimed that the FDA wasn't aware of information showing that GMOs were different.
[47:45.000 --> 47:59.000]  But documents made public from a lawsuit shows, of course, that that was a lie because the overwhelming consensus among the FDA's own scientists were that GMOs were not only different but inherently dangerous and could create things like allergens, toxins, new diseases and nutritional problems.
[47:59.000 --> 48:11.000]  The person in charge of that policy, Michael Taylor, Monsanto's former attorney and later Monsanto's vice president, I believe because he put that policy through, is responsible probably for more food related illnesses and deaths than anyone in human history.
[48:11.000 --> 48:15.000]  And he is in charge of the food safety in the United States.
[48:15.000 --> 48:31.000]  Amazing. Now, again, this isn't just one prestigious Russian study, though. I mean, again, you have it all in your book, meticulously documented, but I've seen countless studies, not just in rats or mice or hamsters or rabbits that they tend to test on.
[48:31.000 --> 48:55.000]  But they've done studies showing humans with lower birth rate and higher mortality and that it's not just this type of soybean, whether it's the poison or the soybean itself, but separately in other GMO crops that are GMO, not for a pesticide related reason, but for, say, a flavor reason or for a longevity reason.
[48:55.000 --> 49:01.000]  I mean, this is really beginning to become crystal clear in focus.
[49:01.000 --> 49:15.000]  Well, let's talk first about the animal studies and then let's take a look for correlation in human studies. We do know, for example, that there are indigenous people in Argentina who've been sprayed by a roundup by plane and they're complaining of birth defects.
[49:15.000 --> 49:25.000]  It's possible. There might be sterility there too, infertility, but I'm not sure. But I think we can look with more confidence at the animal feedings.
[49:25.000 --> 49:34.000]  But in fact, the most important one, I think, that follows the hamster one, was done five years earlier also by someone with the Russian Academy of Sciences.
[49:34.000 --> 49:48.000]  And it was Irina Ermikova, a senior researcher at the Academy, and she just completely, innocently fed genetically modified soy flour. It was from Archer Daniels Midland Variety, bought in the store, the same kind that we eat here.
[49:48.000 --> 49:59.000]  And she fed it to female rats starting two weeks before they got pregnant and continued feeding them through pregnancy and lactation and then started feeding the offspring as part of their diet.
[49:59.000 --> 50:11.000]  What was interesting was that when the babies were born, many of the babies were smaller, quite a bit smaller, when they were from the GM-fed mothers.
[50:11.000 --> 50:21.000]  But most importantly, more than half of them died within three weeks. The control group that ate the GM, the non-GM soy, only one in ten died.
[50:21.000 --> 50:34.000]  There was a five-fold increase in infant mortality. With the hamster study we just discussed, there was a difference of five-fold, and that was 25% versus 5%, or in another group, 20% versus 5%.
[50:34.000 --> 50:41.000]  So it was four or five times higher with the hamsters, and it was five times higher with the rats.
[50:41.000 --> 50:55.000]  Now, what was interesting with the Irmikova study is she, of course, was attacked and vilified by the biopic industry. She published her research as preliminary, asking for more money to do follow-up research, but never got it.
[50:55.000 --> 51:05.000]  In fact, she told me this week after we spoke at the European Parliament together that her boss had been told by his boss under pressure that she couldn't do any more GM research.
[51:05.000 --> 51:13.000]  So one of her colleagues actually tried to comfort her by saying, well, maybe the GM soy will solve the overpopulation problem on Earth, and she wasn't comforting.
[51:13.000 --> 51:28.000]  But what happened was when she was attacked by the biopic industry, one of the valid issues was that she never did a biochemical analysis of the feed to see if there might be a toxin in the bag of flour.
[51:28.000 --> 51:42.000]  But after she had completed her research three times with similar results, coincidentally, the Russian Academy of Sciences facility where she was working started feeding all of the rats a rat chow based on genetically modified soy,
[51:42.000 --> 51:50.000]  and she had a brilliant idea of simply asking her colleagues after two months what was the infant mortality rate in their study.
[51:50.000 --> 51:55.000]  They weren't studying GMOs, they just happened to be feeding all of the rats GM soy.
[51:55.000 --> 51:58.000]  It turns out it skyrocketed to over 55%.
[51:58.000 --> 52:07.000]  This suggests it's not some obscure toxin that had made its way into her particular batch, but it was more likely a generic problem.
[52:07.000 --> 52:16.000]  In addition, when you go back further, Italian researchers had genetically modified soy to mice, and they found that the testicles were damaged.
[52:16.000 --> 52:20.000]  The structure and function of the testicles were changed, including the young sperm cell.
[52:20.000 --> 52:34.000]  And when they looked at the offspring in the embryo stage, a very, very young embryo stage, they removed it from the wounds of the pregnant mice who had been eating genetically modified soy or natural soy.
[52:34.000 --> 52:41.000]  And they found that those that had been eating genetically modified soy, the embryo DNA functioned differently.
[52:41.000 --> 52:50.000]  So her macovish was in Italy. Her macovish, back in Moscow, she decided to feed GM's soy also to male rats.
[52:50.000 --> 52:57.000]  And she showed me the picture which I use in my presentation, and the testicles changed from pink to blue.
[52:57.000 --> 53:08.000]  So normally the testicles are pink in male rats, and she showed the controls, and they were pink, but they were blue in those that were fed genetically modified soy.
[53:08.000 --> 53:16.000]  Incredible, absolutely incredible. And now, what is it? Eight major food crops are being genetically engineered, and now they want to go to hundreds?
[53:16.000 --> 53:26.000]  That's right, exactly. The goal of Monsanto, the explicit goal, is to genetically engineer 100% of all the commercial seeds in the world and patent them, and they have a plan to achieve it.
[53:26.000 --> 53:33.000]  Now, it doesn't stop with soy. We also have evidence of infertility with corn, and we also have it with the GM cotton.
[53:33.000 --> 53:44.000]  With the corn, the Austrian government fed a genetically modified corn that was both roundup ready and also produced its own toxic pesticide called BT.
[53:44.000 --> 53:57.000]  It was both events in the same gene, in the same DNA. So they found that the more of this corn that they fed to mice, the fewer the babies they had and the smaller the babies were.
[53:57.000 --> 54:03.000]  And by the way, large portions of the corn and things we now eat in the United States are of these GMO varieties.
[54:03.000 --> 54:05.000]  Yeah, about 85% of the corn.
[54:05.000 --> 54:19.000]  So folks, you're having your family lined annihilated right now. You're under assault, and if you walked up and punched a cop in the face, you go to prison, but they feed this to the cops, and the cops just love it.
[54:19.000 --> 54:21.000]  I'm just pointing out that we're all being assaulted.
[54:21.000 --> 54:32.000]  So we've seen this also in livestock. I happened to discover a new source that changed its animals to non-GM feed and found that the litter's got bigger.
[54:32.000 --> 54:43.000]  I do know of about two dozen farmers that claim that certain varieties of GM corn caused their pigs or cows to become sterile. Some pigs had false pregnancies or gave birth to bags of water.
[54:43.000 --> 54:54.000]  This isn't a joke. This isn't a game. And most of the food we eat now, when you go to a Mexican food restaurant and eat corn chips, it's frying you.
[54:54.000 --> 55:05.000]  Now, we can say no. We can take control of our society. We can demand real organic food. We can demand the feds don't change the organic descriptions to where it can be non-organic.
[55:05.000 --> 55:17.000]  This is life and death, and I know this stuff, and it's hard for me to not forget what I'm doing, but I've got to take care of my children. I've got to make sure they can have a healthy life and have grandchildren.
[55:17.000 --> 55:29.000]  This is eugenics. Make no mistake. Continuing, sir, you can go on for hours. What about the study? I was talking to you about that genetic engineer out of England who's just had a stroke, unfortunately.
[55:29.000 --> 55:36.000]  But I've interviewed him years ago who found similar things in his studies. Talk about that.
[55:36.000 --> 55:54.000]  Well, this is Dr. Arpad Poojtai, a very interesting case. He is the world's leading researcher in his field and was granted a $3 million by the UK government to create a way to test for the safety of GMOs, which was supposed to be implemented into the EU law.
[55:54.000 --> 56:11.000]  But what happened was he accidentally discovered that GM foods are very dangerous, that his rats, after 10 days, had smaller brains, livers and testicles, partial action, delivered damaged immune systems, and potentially pre-cancerous cell growth in the digestive tract.
[56:11.000 --> 56:27.000]  He went public with his concerns and was a hero for about two days at his institute. And then the pro-GM UK Prime Minister's office apparently placed two phone calls to the director of the institute on a Tuesday afternoon.
[56:27.000 --> 56:35.000]  On a Wednesday morning, Dr. Poojtai's contract was cancelled. His data was withdrawn. His team was dismantled. They never implemented the protocols.
[56:35.000 --> 56:46.000]  In fact, they told him if he spoke at all about his research, he would be sued. They went through a whole process to try and trash his reputation to promote the biotechnology industry.
[56:46.000 --> 56:56.000]  And what he had discovered was very interesting. You see, he fed rats a potato that was genetically engineered with a gene that produces an insecticide.
[56:56.000 --> 57:13.000]  But he had tested the insecticide over and over again on rats and knew it was safe. In fact, in his study, he fed some rats the natural potato spiked with the insecticide and others eating the genetically engineered potato that produced the insecticide from within each cell.
[57:13.000 --> 57:19.000]  But only those that ate the GM potato, the genetically modified potato, got these illnesses and got this section.
[57:19.000 --> 57:21.000]  So it's the way the poison was being delivered.
[57:21.000 --> 57:28.000]  Exactly. It was the process of creating, it was the process of genetically engineering the potato that caused the problem.
[57:28.000 --> 57:35.000]  And that was what his great concern for him was because he was aware that the same process was used to create the soy and corn and tomatoes.
[57:35.000 --> 57:43.000]  And it was eating their livers, folks. You know, you don't drink Jack Daniels because you don't want to die of liver failure. Hell, you eat potatoes and corn, you get it.
[57:43.000 --> 57:45.000]  I mean, this is serious.
[57:45.000 --> 58:00.000]  Hello, friends. This is Alex Jones. You've heard me talk about Calvin five star soaps for years. This is an American made product of the highest quality and compares to nothing you will find in stores.
[58:00.000 --> 58:10.000]  You can buy factory direct shipped via UPS right to your door. Check them out on the web at fivestarsoap.com or call 800-340-7091.
[58:10.000 --> 58:21.000]  Take my word for it. Once you've used pure soap, you won't buy anything else. Since 1947, Calvin's soap company has been showing consumers that soap can be tough on dirt and gentle on the environment.
[58:21.000 --> 58:29.000]  Buy American and stay clean as well as support info wars. Visit fivestarsoap.com today or call 1-800-340-7091.
[58:29.000 --> 58:31.000]  Well, Marty, what do you have to say?
[58:31.000 --> 58:50.000]  Founder and owner for over 63 years, satisfaction is guaranteed or double your dirt back. Call us at 1-800-340-7091 for free catalog or visit our website fivestarsoap.com. Thank you.
[58:50.000 --> 58:55.000]  The question is where should the American people draw their line in the sand?
[58:55.000 --> 58:58.000]  What have we got? A republic or a monarchy?
[58:58.000 --> 59:02.000]  A republic is based on a constitution which protects minority rights.
[59:02.000 --> 59:06.000]  Not democracy, not mob rule, two wolves and a sheep voting on what's for dinner.
[59:06.000 --> 59:12.000]  So they think they own our land, they think they own our water, children, our education, our money.
[59:12.000 --> 59:16.000]  We have to define who we are and what we will tolerate.
[59:16.000 --> 59:20.000]  Somebody's going to ask you what you did during the Patriot Uprising.
[59:20.000 --> 59:25.000]  We have the facts. We have the constitution. We have the Bill of Rights. We have common law.
[59:25.000 --> 59:29.000]  Knowledge is power, ladies and gentlemen, and I'm so excited to be able to offer you.
[59:29.000 --> 59:31.000]  Don't tread on me. Rise of the Republic.
[59:31.000 --> 59:36.000]  Tyranny is upon us, but liberty and the sleeping giant that is the American people is rising.
[59:36.000 --> 01:00:00.000]  A new tool in the info war. Don't tread on me. Order it at infowars.com or prisonplanet.com or call toll-free 888-253-3139 and support independent patriotic liberty films.
[01:00:07.000 --> 01:00:13.000]  Mainstream media. Government cover-ups. You want answers? Well, so does he.
[01:00:13.000 --> 01:00:22.000]  Geese Alex Jones on the GCN Radio Network. And now, live from Austin, Texas, Alex Jones.
[01:00:22.000 --> 01:00:27.000]  Thank you for joining us. We're now into the second hour.
[01:00:27.000 --> 01:00:36.000]  It is Sunday. You're listening on Sunday, June 13, 2010. Another hour laying out before us.
[01:00:36.000 --> 01:00:42.000]  We've got Jim Tucker with a boil down of what happened in Bilderberg 2010 and Key Intel on the green lighting.
[01:00:42.000 --> 01:00:46.000]  They're moving towards the majority of them green lighting and attack on Iran.
[01:00:46.000 --> 01:00:50.000]  And then, of course, Charlie Skelton, Mark Anderson, and others. That is coming up.
[01:00:50.000 --> 01:00:58.000]  And I wanted to get into fluoride right now. What business does the federal government have mandating the states and holding back their money
[01:00:58.000 --> 01:01:02.000]  if they don't fluoridate at least one part per million the water supply?
[01:01:02.000 --> 01:01:08.000]  When you hear the term fluoride, the bigger issue is that's a catch-all name for at least 150 chemicals they add.
[01:01:08.000 --> 01:01:19.000]  In some cities, over 300. The byproduct waste of fertilizer plants, aluminum plants, and nuclear weapons, purification, and also fuel rod production for nuclear power plants.
[01:01:19.000 --> 01:01:23.000]  I know you know that as listeners, but are you continuing to warn the public?
[01:01:23.000 --> 01:01:29.000]  We're seeing huge media propaganda right now pushing how great fluoride is for people because we're having major breakthroughs.
[01:01:29.000 --> 01:01:34.000]  I've caught them finagling now on the backs of toothpaste tubes before they said,
[01:01:34.000 --> 01:01:38.000]  if you swallow more than a pea size of this, call poison control.
[01:01:38.000 --> 01:01:41.000]  Now it has some gibberish. It doesn't even make sense. Not even proper English.
[01:01:41.000 --> 01:01:46.000]  It just says, if you call poison control immediately. So they've cut the pea size out.
[01:01:46.000 --> 01:01:52.000]  Very bizarre. EPA scientists and workers call for an end to water fluoridation because of cancer risk.
[01:01:52.000 --> 01:01:55.000]  This is from Organic Consumer Association.
[01:01:55.000 --> 01:02:05.000]  Now I interviewed these guys in 2001 and 2005, and then when I talk about how the majority of EPA scientists and FDA have done it as well,
[01:02:05.000 --> 01:02:10.000]  sent letters. They're top toxicologists, you name it. In fact, it was over 90%.
[01:02:10.000 --> 01:02:17.000]  And then the head of their union, who's a toxicologist, testified before Congress in 2000 and again in 2005.
[01:02:17.000 --> 01:02:24.000]  Whenever I talk about the second email saying, that's not true. There's not people in the government that don't like it. It's good for you.
[01:02:24.000 --> 01:02:30.000]  You know, come on. Squidbillies on Adult Swim on Cartoon Network says it's good.
[01:02:30.000 --> 01:02:34.000]  You know, Ted Turner, the eugenics guy, he owns it. He says it's good.
[01:02:34.000 --> 01:02:41.000]  You know, Barack Hussein Obama wants to sterilize us. You know, they make jokes on cartoons about this, but it's true. It's real.
[01:02:41.000 --> 01:02:46.000]  EPA scientists and workers call for an end to water fluoridation because of cancer risk.
[01:02:46.000 --> 01:02:52.000]  This is from Organic Consumer Association, and you can read it from ENS-Newswire.com.
[01:02:52.000 --> 01:02:58.000]  This is from 2005, August 30th, but I'm going to get these guys back on the show. It's been five years.
[01:02:58.000 --> 01:03:05.000]  EPA Union calls for nationwide moratorium on fluoridation, congressional hearings on adverse effects, your cancer cover-up.
[01:03:05.000 --> 01:03:07.000]  Youth cancer cover-up.
[01:03:07.000 --> 01:03:14.000]  D.C. 11 EPA employee unions, representing over 7,000 environmental and public health professionals of the civil service,
[01:03:14.000 --> 01:03:18.000]  have called for a moratorium on drinking water fluoridation programs across the country,
[01:03:18.000 --> 01:03:24.000]  and have asked the EPA management to recognize fluoride as posing a risk, a serious risk of causing cancer in people.
[01:03:24.000 --> 01:03:31.000]  The unions acted following revelations of the apparent cover-up of evidence from the Harvard School of Mental Medicine linking fluoridation
[01:03:31.000 --> 01:03:35.000]  with elevated risk of fatal bone cancer in young boys. More than doubles it.
[01:03:35.000 --> 01:03:42.000]  The unions sent letters to a key congressional committee asking Congress to legislate a moratorium pending a review
[01:03:42.000 --> 01:03:45.000]  of all the science of the risk and benefits of fluoridation.
[01:03:45.000 --> 01:03:52.000]  The letter cited the weight and evidence supporting a classification of fluoride as a likely human carcinogen,
[01:03:52.000 --> 01:03:59.000]  which includes other epidemiological results similar to those in the Harvard study, animal studies,
[01:03:59.000 --> 01:04:08.000]  and biological reasons why fluoride can reasonably be expected to cause the bone cancer or osteosarcoma seen in young boys and test animals.
[01:04:08.000 --> 01:04:12.000]  The unions also pointed out the recent work by Richard Moss of the Environmental Quality Institute,
[01:04:12.000 --> 01:04:20.000]  University of North Carolina, that links increase in lead levels in drinking water systems to the use of silo-co-fluoride
[01:04:20.000 --> 01:04:27.000]  fluoridating agents with chloramines disinfectant, that's also being added to your water, lead.
[01:04:27.000 --> 01:04:33.000]  Everyone knows lead in mercury is good. Don't listen to conspiracy theorist Alex Jones or all the EPA scientists.
[01:04:33.000 --> 01:04:39.000]  All right, again, we'll uncover this more coming up on Monday because I'm going to really get back into all the poison.
[01:04:39.000 --> 01:04:43.000]  Now, they're poisoning us by design, these degenerate control freaks.
[01:04:43.000 --> 01:04:52.000]  But coming up, Charlie Skelton, London Guardian, Jim Tucker, Mark Anderson on Club Bilderberg 2010 and the route of this scum.
[01:04:52.000 --> 01:04:55.000]  Great job, crew, I want to add today in here on Sunday.
[01:05:00.000 --> 01:05:05.000]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[01:05:05.000 --> 01:05:09.000]  Number one, new climate legislation could easily double or triple your electric bill.
[01:05:09.000 --> 01:05:15.000]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[01:05:15.000 --> 01:05:20.000]  It's true, total government control of electricity in the name of smart grid technology is coming.
[01:05:20.000 --> 01:05:25.000]  Number three, in some areas of the country, the power grid is dangerously overloaded.
[01:05:25.000 --> 01:05:29.000]  And now, new socialist legislation is only compounding the problem.
[01:05:29.000 --> 01:05:32.000]  Number four, dangerous weather is always a threat to local grids.
