[00:00:05.495 --> 00:00:06.215]  We're live.
[00:59:42.912 --> 00:59:51.915]  Submission to them is like tying a big boulder on your neck and throwing it into the ocean.
[00:59:51.915 --> 00:59:54.556]  You're listening to the Alex Jones Show.
[01:00:03.484 --> 01:00:15.530]  From the front lines of the Information War, it's Alex Jones.
[01:00:15.530 --> 01:00:17.651]  Alright.
[01:00:17.651 --> 01:00:20.092]  I did a good job a few weeks ago.
[01:00:20.092 --> 01:00:23.614]  For a month or so, taking a ton of calls and they were incredible.
[01:00:23.614 --> 01:00:29.857]  But the quickening has accelerated so much that I've been greedy with the time without getting in all the news that's here to cover.
[01:00:29.857 --> 01:00:31.238]  So I'm gonna do my best job this hour.
[01:00:32.679 --> 01:00:34.700]  Taken 10 calls or so.
[01:00:34.700 --> 01:00:35.840]  Please don't take more than that, guys.
[01:00:35.840 --> 01:00:36.881]  I don't want to leave people on hold.
[01:00:36.881 --> 01:00:38.862]  David Icke comes on.
[01:00:38.862 --> 01:00:53.428]  And hitting as much of this news as I possibly can, but... It's staggering to me that world governments now out in the open, mark of the beast, implantable microchips to buy and sell, forced inoculations.
[01:00:53.428 --> 01:00:54.749]  And there's not more resistance.
[01:00:54.749 --> 01:00:57.590]  But there is a huge resistance, so some positive things are happening.
[01:00:57.590 --> 01:01:01.932]  But here's a report on Communist China as it strengthens its nukes while the world dies.
[01:01:02.930 --> 01:01:11.902]  As the world continues to be distracted by the Chinese coronavirus, the Chinese are utilizing order out of chaos to strengthen their global position.
[01:01:12.366 --> 01:01:21.033]  The true cost of this coronavirus, the loss of life and economic devastation, right now is immeasurable.
[01:01:21.033 --> 01:01:27.478]  But what can be counted is the money governments around the world have already spent trying to combat it.
[01:01:27.478 --> 01:01:32.581]  So far it adds up to a staggering six and a half trillion dollars.
[01:01:33.402 --> 01:01:40.044]  In a class action launched in the United States, China is now being sued to get the money back.
[01:01:40.044 --> 01:01:45.986]  The lawsuit accuses Chinese authorities of negligence, lies and cover-ups.
[01:01:45.986 --> 01:01:52.348]  Do you think that there should be some consequences if in the end, you know, China was responsible for all of this?
[01:01:52.867 --> 01:01:56.411]  Well, if they were knowingly responsible, certainly.
[01:01:56.411 --> 01:01:59.535]  If it was a mistake, a mistake is a mistake.
[01:01:59.535 --> 01:02:03.419]  But if they were knowingly responsible, yeah, then there should be consequences.
[01:02:03.419 --> 01:02:07.144]  Recently, the New York Post reported China is denying U.S.
[01:02:07.144 --> 01:02:11.529]  claims that they are testing nuclear weapons outside of international law.
[01:02:11.869 --> 01:02:16.475]  Chinese Foreign Ministry spokesman Zhao Lijian said the U.S.
[01:02:16.475 --> 01:02:20.701]  neglects all the facts and makes wanton accusations against China.
[01:02:20.701 --> 01:02:23.424]  This is irresponsible and ill-intentioned.
[01:02:23.424 --> 01:02:27.570]  Zhao went on to call the claim a complete distortion of the facts.
[01:02:27.950 --> 01:02:40.915]  But according to an arms control report from the State Department obtained by the Wall Street Journal, the Chinese Communist Party may be conducting tests within the northwest region of the country using low explosive power.
[01:02:40.915 --> 01:02:53.501]  The Economic Times reported, indeed, China fired more than 100 ballistic missiles during testing and exercises in 2019, according to sources close to the U.S.
[01:02:53.501 --> 01:02:54.021]  military.
[01:02:54.281 --> 01:03:06.693]  Such a figure greatly exceeded what the USA and Russia launched, and it illustrates that China is not decelerating in any way its development of missiles for the PLA rocket force.
[01:03:06.693 --> 01:03:13.519]  China is attempting to overtake France as the third most powerful nuclear power in the world.
[01:03:13.519 --> 01:03:20.125]  Add to this China's military buildup in the South China Sea, a crackdown on democracy in Hong Kong,
[01:03:20.345 --> 01:03:30.031]  At least 15 veteran pro-democracy activists were arrested today in this very high-profile roundup, even though Hong Kong is still reeling from the coronavirus pandemic.
[01:03:30.031 --> 01:03:38.317]  Hong Kong's Democratic Party founder, 81-year-old Martin Li, was arrested and driven to the police station as cameras swarmed around him today.
[01:03:38.317 --> 01:03:47.823]  Li was one of many activists who protested against a since-withdrawn extradition bill that would have allowed Hong Kong residents to be sent to mainland China to stand trial.
[01:03:48.283 --> 01:03:54.291]  Authorities say the arrests were made on suspicion of organizing and taking part in illegal assemblies last year.
[01:03:54.291 --> 01:03:57.695]  And a global infiltration of the coronavirus response.
[01:03:58.257 --> 01:04:03.180]  French President Emmanuel Macron had a message for US President Donald Trump.
[01:04:03.180 --> 01:04:07.603]  France will not block Huawei or target specific companies.
[01:04:07.603 --> 01:04:17.209]  That's despite a concerted effort by American officials to persuade its allies to ban the Chinese tech giant from supplying 5G phone network systems.
[01:04:17.209 --> 01:04:22.453]  Recently, China offered to help both France and Canada with donations of masks.
[01:04:22.873 --> 01:04:31.436]  But hell, the installation of Huawei's 5G over Canadian Prime Minister Justin Trudeau and French President Macron's heads.
[01:04:31.436 --> 01:04:44.502]  The United Kingdom has already signed on to using the Chinese cancerous spy technology, but the UK has recently had second thoughts after China's lack of transparency on the coronavirus came to the fore.
[01:04:44.502 --> 01:04:52.585]  The world's reliance on China cloaked in a one-world policy has to end before the Chinese century endgame directive
[01:04:52.585 --> 01:04:53.050]  We're good.
[01:04:56.775 --> 01:04:58.957]  The official numbers are now in.
[01:04:58.957 --> 01:05:03.680]  The United States is in the biggest financial collapse in our history.
[01:05:03.680 --> 01:05:05.882]  This is the worst employment collapse in U.S.
[01:05:05.882 --> 01:05:10.825]  history by a very wide margin, writes Michael Snyder at the Economic Collapse Blog.
[01:05:10.825 --> 01:05:16.629]  At this point, we should no longer speak of economic collapse as something that will happen in the future.
[01:05:16.629 --> 01:05:18.030]  It is now here.
[01:05:18.030 --> 01:05:22.854]  And he does an excellent job in the article on InfoWars.com of laying it out.
[01:05:23.154 --> 01:05:25.495]  This was done by design.
[01:05:25.495 --> 01:05:37.641]  Trump fought to open the economy, but the hijacked blue cities and states with the tricoms and with Hollywood and the media held America underwater until we sucked it into our lungs.
[01:05:37.641 --> 01:05:41.162]  And now we're lying there like a fish dying.
[01:05:41.162 --> 01:05:43.023]  There's not much time to get the water out of our lungs.
[01:05:43.343 --> 01:05:49.668]  So remember for decades to come when millions starve to death worldwide and you live in slums with no medicine.
[01:05:49.668 --> 01:05:51.450]  The globalists did this!
[01:05:51.450 --> 01:05:53.131]  The globalists did this!
[01:05:53.131 --> 01:05:54.633]  The globalists did this!
[01:05:54.633 --> 01:05:55.854]  The globalists did this!
[01:06:08.058 --> 01:06:20.605]  There are seven and a half billion people on this planet and the globalist technocrats admit they can't control us and carry out their evil aims for us and our families unless they can trick us to submit.
[01:06:20.605 --> 01:06:26.468]  So they cast this whole thing of the virus where we're the heroes and we submit and we save everybody.
[01:06:27.495 --> 01:06:36.301]  By quarantining and not going out, it's only two weeks, and oh it's two months, oh it's six months, oh it's five years, oh it's an implantable microchip.
[01:06:36.301 --> 01:06:38.342]  It's all a lie.
[01:06:38.342 --> 01:06:48.529]  That's why they estimated 30, 40, 50 times the number of dead than they estimated it down, still 10 times lower than what they said, and they're so scared it's not going to even be as bad as the flu in 2018.
[01:06:51.051 --> 01:06:58.837]  It's going to turn out maybe in 40, 50, 60,000 and that's with them attributing every single death that came from something else.
[01:06:58.837 --> 01:07:03.880]  If you are infected with it, they call it a death, even if you jump off a building and commit suicide.
[01:07:03.880 --> 01:07:06.762]  And again, I tell friends and family that they go, really?
[01:07:06.762 --> 01:07:13.307]  And then I show them the NIH on television admitting the whole thing.
[01:07:13.307 --> 01:07:18.691]  But let me just try to say this right now, because we can get lost in the weeds on this whole situation.
[01:07:21.017 --> 01:07:32.163]  And I keep saying this every show now, and I don't say it to behave like I'm wounded, like Ryan Stelter saying he crawled in his bed last night and cried and pissed on himself.
[01:07:32.163 --> 01:07:43.589]  He said he snuggled the pillow and couldn't believe what we're all going through, and he hates the lockdown too, but he's a hero and has to do it to save the Earth.
[01:07:43.589 --> 01:07:44.569]  I'm not choking.
[01:07:44.569 --> 01:07:50.072]  I'm doing the show, and I'm eloquently, in most cases, covering a lot of the facts, and have a great guest on and taking your calls.
[01:07:53.666 --> 01:08:01.290]  There's something I haven't said yet and I spend hours a day trying to grasp what it is.
[01:08:01.290 --> 01:08:02.711]  It's like that needle in a haystack.
[01:08:02.711 --> 01:08:04.872]  Your subconscious knows what it is.
[01:08:04.872 --> 01:08:13.718]  It's that nagging thing that your subconscious saw but your conscious didn't notice.
[01:08:13.718 --> 01:08:19.581]  You think about it all day and all night and suddenly the next day you're out walking the dog and pops in your head.
[01:08:22.039 --> 01:08:27.581]  You think about that business partner and something you saw in the accounting that you missed, but you didn't miss it.
[01:08:27.581 --> 01:08:36.305]  It was fraud or something that was going on with your daughter and you didn't notice at the time, but later you thought about it and you go look in her purse and she's got drugs in there.
[01:08:36.305 --> 01:08:40.446]  Your subconscious is a thousand times or more powerful than the conscious.
[01:08:40.446 --> 01:08:41.547]  We call it the subconscious.
[01:08:41.547 --> 01:08:42.807]  It's the connection of the universe.
[01:08:42.807 --> 01:08:44.228]  It's not just the deeper mind.
[01:08:46.841 --> 01:08:54.607]  And when I come back from break, because I was going to do it this segment and I'm just too shook up to do it again, I'm going to try my best.
[01:08:54.607 --> 01:08:57.950]  And again, I don't do this for dramatic stuff, folks.
[01:08:57.950 --> 01:08:58.871]  This is so epic.
[01:08:58.871 --> 01:08:59.651]  This is so real.
[01:08:59.651 --> 01:09:01.473]  This is everything happening we knew was coming.
[01:09:01.473 --> 01:09:09.159]  And I just I have a huge feeling of sorrow, actually, and that that that we're going to watch billions die.
[01:09:10.405 --> 01:09:18.952]  And only when they're murdering people in mass and people are just dying everywhere will the sheeple finally wake up and then it'll be too late.
[01:09:18.952 --> 01:09:26.197]  And it might be five years, it might be ten years, if everybody just collapses and submits it might be six months, but we're going to see the Antichrist.
[01:09:26.197 --> 01:09:28.099]  They're going to be having sex with kids on TV.
[01:09:28.099 --> 01:09:29.760]  Hell, they already are.
[01:09:29.760 --> 01:09:30.501]  You're going to see
[01:09:32.145 --> 01:09:35.647]  The ocean die, you're going to see nuclear war, billions dead.
[01:09:35.647 --> 01:09:37.248]  I mean, it's just, it's happening.
[01:09:37.248 --> 01:09:38.709]  God's real.
[01:09:38.709 --> 01:09:40.169]  And I already knew this.
[01:09:40.169 --> 01:09:41.350]  I've already had experiences.
[01:09:41.350 --> 01:09:43.171]  I've already seen this unfold.
[01:09:43.171 --> 01:09:54.077]  I've already had dreams that come true, but now I'm coming to grips with, whoa, man, this is really going down.
[01:09:54.077 --> 01:09:57.979]  And I just have every millisecond deep sorrow.
[01:09:59.415 --> 01:10:01.098]  And I'll tell you, I have to fight my flesh.
[01:10:01.098 --> 01:10:07.528]  My flesh, because the brain and the soul runs things, but the flesh then sees what's happening and says, oh yeah, I'm with that.
[01:10:08.700 --> 01:10:10.882]  My flesh isn't saying, submit to the new world order.
[01:10:10.882 --> 01:10:16.006]  You know, usually your flesh, if you're not in tune with God, it kind of wants to side with Satan.
[01:10:16.006 --> 01:10:17.647]  No, no, my flesh is side with my spirit.
[01:10:17.647 --> 01:10:19.288]  It's like, but it's still cowardly.
[01:10:19.288 --> 01:10:20.569]  It's like, get out of here.
[01:10:20.569 --> 01:10:24.513]  Take your money and find a redoubt somewhere and dig in and just start farming and hoard food.
[01:10:24.513 --> 01:10:25.393]  God, get us out of here!
[01:10:25.393 --> 01:10:26.174]  Get us out of here!
[01:10:26.174 --> 01:10:27.775]  Get us out of here!
[01:10:27.775 --> 01:10:30.918]  So, so my flesh is saying, get me out of here.
[01:10:30.918 --> 01:10:31.718]  Get me out of here.
[01:10:31.718 --> 01:10:32.419]  Get me out of here.
[01:10:34.960 --> 01:10:43.462]  And my spirit's saying, oh no, my friend, you're going to stand up to the dragon face to face.
[01:10:43.462 --> 01:10:46.983]  And then there's an extreme feeling of guilt for my children and my family.
[01:10:46.983 --> 01:10:50.424]  And God's like, hey, you decided to have them get their spirit right.
[01:10:50.424 --> 01:10:56.025]  Get them close to God, son, while you still can, because I'm going to destroy the earth by fire.
[01:10:59.827 --> 01:11:01.048]  The souls matter.
[01:11:01.048 --> 01:11:03.150]  Don't get obsessed with that body.
[01:11:03.150 --> 01:11:12.258]  And so I'm just millisecond by millisecond coming to grips with, I knew it was all real, I spiritually knew it was real, but it's one thing to know something's real.
[01:11:12.258 --> 01:11:19.425]  When you see someone with a big stick, it's another thing when they crack you right upside the face with that and you feel your jaw break and your teeth going out.
[01:11:19.425 --> 01:11:22.948]  So, let me give you a little sick view though.
[01:11:22.948 --> 01:11:24.249]  My flesh is evil though.
[01:11:25.029 --> 01:11:34.275]  The flesh is over there like the devil on my left shoulder going, haha Jones, all these scum that love tyranny and love to submit, they're going to get torn limb from limb.
[01:11:34.275 --> 01:11:39.879]  Oh my God, what they've done to babies will be done to them while they're conscious.
[01:11:39.879 --> 01:11:42.561]  And so I've also got to, and I know you're all going through this too.
[01:11:42.561 --> 01:11:44.903]  So I just described where I'm at because I know you're there too.
[01:11:44.903 --> 01:11:51.748]  I don't want to veer into that evil of having fun with this because you know, that, I mean, I'm evil folks.
[01:11:51.748 --> 01:11:53.229]  I'm, I'm, I'm falling just like you are.
[01:11:53.942 --> 01:11:57.205]  And you know, I could actually enjoy all this.
[01:11:57.205 --> 01:12:00.569]  In fact, I even could see the aspects of enjoying it.
[01:12:00.569 --> 01:12:06.876]  But being cut off from God, though, is not something I want, so... I'm just gonna tell you this.
[01:12:06.876 --> 01:12:08.758]  Everybody better get their big boy pants on.
[01:12:10.259 --> 01:12:16.742]  Because, because you are facing, you're watching an interdimensional satanic invasion of this planet.
[01:12:16.742 --> 01:12:24.486]  And it's been planned for thousands of years and they're ready to take humanity down right before we go intergalactic, interdimensional.
[01:12:24.486 --> 01:12:27.488]  And this isn't a science fiction movie.
[01:12:27.488 --> 01:12:29.529]  It's not some Tom Cruise thing.
[01:12:29.529 --> 01:12:31.650]  It's real.
[01:12:31.650 --> 01:12:33.331]  And you've got free will folks.
[01:12:33.331 --> 01:12:36.172]  And so you're going to have to decide who you're with.
[01:12:36.172 --> 01:12:39.834]  For anyone that has discernment, that just means interdimensional sight.
[01:12:42.659 --> 01:12:46.262]  There's no debate that you don't want to be with Satan.
[01:12:46.262 --> 01:12:54.830]  It's just kind of like, God, this is going to be physically painful and I don't want to have to see my family go through this, but we're going to be with them on the other side.
[01:12:54.830 --> 01:13:02.357]  And that's really what you just got to gut up and get ready because what will protect your family is just riding them off right up front and put them in God's hands.
[01:13:03.766 --> 01:13:05.047]  Cause you can't control this.
[01:13:05.047 --> 01:13:06.528]  God's going to have to do it.
[01:13:06.528 --> 01:13:13.472]  And so when I say write it off, that's a term people know, but I mean, you got to turn over to God and say, I'm just not even going to worry about that.
[01:13:13.472 --> 01:13:14.752]  I'm going to do what's right.
[01:13:14.752 --> 01:13:22.177]  And I think in the end, God will hopefully see what I've done and protect my children.
[01:13:22.177 --> 01:13:30.902]  But I'm already starting to get into it right now, but you better get on your knees.
[01:13:30.902 --> 01:13:32.663]  You better get on your knees before the creator.
[01:13:33.706 --> 01:13:40.648]  Because none of us, no matter how strong we are, how great our intellect are, we cannot beat this.
[01:13:40.648 --> 01:13:45.929]  And when I tell you that, I got one finger pointed at you, I got three more pointed back at me.
[01:13:45.929 --> 01:13:49.390]  Because I am not happy right now.
[01:13:49.390 --> 01:13:50.851]  People say, wouldn't you be happy?
[01:13:50.851 --> 01:13:52.971]  You've been proven right, you've been vindicated.
[01:13:52.971 --> 01:13:53.952]  I've been vindicated?
[01:13:53.952 --> 01:13:56.032]  What the hell does that mean?
[01:13:56.032 --> 01:13:58.533]  I've been vindicated?
[01:13:58.533 --> 01:14:00.934]  Vindicated when it's 2,000 year information?
[01:14:00.934 --> 01:14:01.594]  God warned us?
[01:14:03.544 --> 01:14:08.705]  God literally avatared down to this planet to prove that he's gonna make us run this obstacle course.
[01:14:08.705 --> 01:14:10.926]  He'd do it?
[01:14:10.926 --> 01:14:12.306]  What do you think this all is?
[01:14:12.306 --> 01:14:14.207]  This ain't a damn game, folks.
[01:14:14.207 --> 01:14:16.147]  This is the real deal.
[01:14:16.147 --> 01:14:19.988]  This isn't a simulation.
[01:14:19.988 --> 01:14:22.209]  This is an entire solar system.
[01:14:23.280 --> 01:14:28.144]  And the surrounding heavens built for this operation right now.
[01:14:28.144 --> 01:14:36.570]  You don't think God creates new sentient beings with free will and then just gives them the power of the universe right away.
[01:14:36.570 --> 01:14:47.499]  God creates sentient beings made in the image of God with free will and then dumps us in to this grid to decide what we're going to do.
[01:14:49.161 --> 01:14:51.322]  And that's why the Satanists always say God is a sadist.
[01:14:51.322 --> 01:14:53.962]  Well, your God's so loving, why does your God do this?
[01:14:53.962 --> 01:14:56.823]  Because God believes in freedom.
[01:14:56.823 --> 01:14:58.984]  Something you Satanists don't seem to understand.
[01:14:58.984 --> 01:15:00.684]  You claim you're about freedom all day.
[01:15:00.684 --> 01:15:06.866]  Everything you do is about enslavement and microchips and total control and destroying children's innocence.
[01:15:06.866 --> 01:15:08.546]  You people aren't about freedom.
[01:15:08.546 --> 01:15:10.687]  You're about bondage and destruction!
[01:15:12.836 --> 01:15:17.380]  And God wants to create new consciousness and unlimited potential.
[01:15:17.380 --> 01:15:20.964]  And so God respects us enough to put us in this situation.
[01:15:20.964 --> 01:15:24.867]  And I understand that whatever happens to me or my family is God's will.
[01:15:24.867 --> 01:15:29.192]  And I appreciate God giving me consciousness and this incredible connection to God.
[01:15:29.192 --> 01:15:30.553]  This is amazing!
[01:15:30.553 --> 01:15:35.678]  But you can't be given absolute connection to the universe and not face evil!
[01:15:38.792 --> 01:15:43.336]  And so that's the great paradox, and that's why these Satanists try to create a system of total control.
[01:15:43.336 --> 01:15:48.340]  Because they blame God for allowing free will, and it scares them!
[01:15:48.340 --> 01:15:49.721]  I embrace God!
[01:15:49.721 --> 01:15:51.763]  I embrace the Majesty!
[01:15:51.763 --> 01:15:53.044]  I embrace the free will!
[01:15:55.859 --> 01:16:00.403]  If you're trying to quit drinking or doing too many drugs, listen to me.
[01:16:00.403 --> 01:16:02.504]  You don't know me and we'll never meet.
[01:16:02.504 --> 01:16:04.246]  I had a problem like you once.
[01:16:04.246 --> 01:16:10.791]  I drank and used to party a little too much till it got out of control and almost ruined my life.
[01:16:10.791 --> 01:16:15.875]  I realized I needed help to fix my problem before it totally destroyed me.
[01:16:15.875 --> 01:16:20.579]  If you've tried to fix your drinking and drug problem and you know you can't do it alone,
[01:16:21.019 --> 01:16:24.120]  You need to call the National Treatment Advisors.
[01:16:24.120 --> 01:16:31.123]  They'll immerse you into a 30-day program to replace your old habits with new habits and totally change your life.
[01:16:31.123 --> 01:16:36.304]  And if you have PPO private health insurance, the entire program may be covered.
[01:16:36.304 --> 01:16:39.606]  Fix your problem right now before it gets any worse.
[01:16:39.606 --> 01:16:40.566]  Get clean.
[01:16:40.566 --> 01:16:42.387]  Call now and learn more.
[01:16:42.387 --> 01:16:42.427]  800-506-6740.
[01:16:46.548 --> 01:16:46.669]  800-506-6740.
[01:16:46.669 --> 01:16:46.889]  That's 800-506-6740.
[01:16:55.959 --> 01:16:57.841]  Fully cooked, ready to eat bacon.
[01:16:57.841 --> 01:17:01.063]  I'm talking thick, meaty, center cut, presidential bacon.
[01:17:01.063 --> 01:17:02.664]  Savory and delicious.
[01:17:02.664 --> 01:17:05.506]  I buy some, I use some, I store some.
[01:17:05.506 --> 01:17:06.167]  Awesome.
[01:17:06.167 --> 01:17:09.269]  No refrigeration needed with a 10 year shelf life.
[01:17:09.269 --> 01:17:10.831]  NASA PAC Technology.
[01:17:10.831 --> 01:17:11.451]  Bacon.
[01:17:11.451 --> 01:17:15.614]  Fully cooked, fully hydrated, ready to eat right from the pack bacon.
[01:17:15.614 --> 01:17:17.035]  Or warm and served.
[01:17:17.035 --> 01:17:19.077]  Life saving, ready to eat bacon.
[01:17:19.077 --> 01:17:21.038]  10 year shelf life bacon.
[01:17:21.038 --> 01:17:23.821]  Ships free at fullycookedbacon.com.
[01:17:23.821 --> 01:17:25.102]  Fullycookedbacon.com.
[01:17:27.037 --> 01:17:31.721]  House flies defecate every four to five minutes, spreading diseases and germs.
[01:17:31.721 --> 01:17:35.483]  Protect your food and your health with Bug Assault.
[01:17:35.483 --> 01:17:40.868]  A miniaturized shotgun, which utilizes ordinary table salt as ammunition.
[01:17:40.868 --> 01:17:41.808]  Non-toxic.
[01:17:41.808 --> 01:17:43.410]  No batteries required.
[01:17:43.410 --> 01:17:43.650]  Only $39.95.
[01:17:43.650 --> 01:17:51.075]  Use discount code GCN and get an extra 10% off your purchase at BugAssault.com.
[01:17:51.075 --> 01:17:53.797]  Fire your fly swatter.
[01:17:53.797 --> 01:17:55.459]  Get your Bug Assault today.
[01:17:57.139 --> 01:18:01.981]  Ten weeks ago, I began to tell listeners that they needed to get high-quality, storable food.
[01:18:01.981 --> 01:18:13.146]  Not because of the virus, but because of the crises and the economic shutdown it would cause, because the Globeless were planning to hold America hostage and run a blockade through the blue cities and blue states.
[01:18:13.906 --> 01:18:18.350]  Now that prediction has come true, because the globalists are running an operation.
[01:18:18.350 --> 01:18:20.312]  It's not predictions.
[01:18:20.312 --> 01:18:22.594]  We have their battle plans.
[01:18:22.594 --> 01:18:30.861]  So, going back more than eight weeks ago, all major storable food companies were sold out, except MyPatriotSupply, because they're the biggest and we're pre-positioned.
[01:18:30.861 --> 01:18:38.888]  When it got to the point that they had so many orders coming in that they wouldn't be able to fulfill them in a timely manner, they stopped taking orders until they got caught back up.
[01:18:38.888 --> 01:18:39.028]  Well,
[01:18:39.588 --> 01:18:46.654]  In a constant search to upgrade your favorite formulas, we brought you a new way to get your B12 with the most effective and expensive form available.
[01:19:08.411 --> 01:19:20.637]  Ultra 12 uses methylcobalamin, a powerful way to get pure energy support for those serious about getting the B12 they need to fight deficiency and reach their peak.
[01:19:20.637 --> 01:19:22.778]  The results are simple.
[01:19:22.778 --> 01:19:31.122]  Ultra 12 can help make DNA, help the body produce energy and blood cells, and support healthy nerve and brain cells.
[01:19:32.637 --> 01:19:41.145]  We're bringing Ultra 12 down 40% to make sure you get this product before we run out.
[01:19:41.145 --> 01:19:44.568]  Now you can finally upgrade your daily routine.
[01:19:44.568 --> 01:19:51.214]  Get Ultra 12 today at 40% off to support the InfoWars store and experience true B12 power.
[01:19:59.959 --> 01:20:02.575]  You're listening to The Alex Jones Show.
[01:20:24.326 --> 01:20:26.428]  You are the robots.
[01:20:26.428 --> 01:20:30.130]  You are the hardware, the software.
[01:20:30.130 --> 01:20:33.633]  You are what this group is seeking to implant.
[01:20:34.697 --> 01:20:40.120]  With digital systems to track, trace, and control everything you do.
[01:20:40.120 --> 01:20:44.923]  The toll-free number to join us on this Monday, April 20th transmission is 877-789-ALEX.
[01:20:44.923 --> 01:20:45.003]  877-789-2539.
[01:20:45.003 --> 01:20:46.464]  First-time callers is what we're taking.
[01:20:46.464 --> 01:20:46.564]  877-789-2539.
[01:20:46.564 --> 01:20:46.644]  877-789-2539.
[01:20:46.644 --> 01:20:51.547]  I can only probably take 10 of your calls or so because David Icke's coming up in the third hour.
[01:21:03.976 --> 01:21:08.180]  Let me just try to boil this down.
[01:21:08.180 --> 01:21:10.902]  Ron Paul's a smart guy.
[01:21:10.902 --> 01:21:17.727]  But he projects too much of himself onto things instead of really getting into the mind of evil.
[01:21:17.727 --> 01:21:21.030]  There's an article on InfoWars.com from the Ron Paul Institute.
[01:21:21.030 --> 01:21:22.471]  Ron Paul!
[01:21:22.471 --> 01:21:32.319]  One of the lockdown was all a big mistake.
[01:21:32.319 --> 01:21:32.960]  Not a mistake.
[01:21:35.196 --> 01:21:37.819]  You think when NAMBLA supports raping kids, that's a mistake?
[01:21:37.819 --> 01:21:41.324]  They're coming for your kids.
[01:21:41.324 --> 01:21:42.686]  So it's that same attitude.
[01:21:42.686 --> 01:21:44.909]  It's the UN.
[01:21:44.909 --> 01:21:46.010]  It's the UN patents.
[01:21:46.010 --> 01:21:47.832]  It's Bill and Melinda Gates.
[01:21:47.832 --> 01:21:47.932]  It's...
[01:21:49.178 --> 01:22:11.833]  The NIH, it's the Wuhan lab protected the whole time with the UN and China releasing it to launch this global takeover by the World Health Organization as the authority with all the drills and all the Rockefeller and Bill and Melinda Gates Foundation programs like event 201 and the patents for 060606 for a injectable
[01:22:18.075 --> 01:22:19.416]  I said objectionable injection.
[01:22:19.416 --> 01:22:21.518]  I'm having Freudian slips.
[01:22:21.518 --> 01:22:31.506]  An injection into your body of nanotech so they track everything you do and control you with cryptocurrency.
[01:22:31.506 --> 01:22:33.188]  A world currency.
[01:22:33.188 --> 01:22:38.011]  Here's China, rolls out pilot test of digital currency.
[01:22:38.011 --> 01:22:46.879]  Our corruption, our evil, our not living on the land, our not caring about other people, our being removed from what is a normal human activity,
[01:22:50.100 --> 01:22:52.802]  Has dehumanized us.
[01:22:52.802 --> 01:22:53.983]  And we've been made obsolete.
[01:22:53.983 --> 01:22:54.824]  We've been made weak.
[01:22:54.824 --> 01:22:55.964]  We've been made soft.
[01:22:55.964 --> 01:22:58.086]  We've been made stupid.
[01:22:58.086 --> 01:23:03.830]  So that we would accept something that no one would ever go along with.
[01:23:03.830 --> 01:23:09.194]  And notice Bill Gates is criticizing President Trump.
[01:23:09.194 --> 01:23:12.457]  For coming out and saying we're pulling the funding of the WHO.
[01:23:12.457 --> 01:23:14.118]  They lied to us about the virus.
[01:23:14.118 --> 01:23:15.539]  They lied about it coming out of Wuhan.
[01:23:20.836 --> 01:23:24.777]  And Bill Gates comes out and says, oh, the WHO is wonderful.
[01:23:24.777 --> 01:23:27.518]  The National Institute of Health is wonderful because he funds them.
[01:23:27.518 --> 01:23:34.881]  And then Fauci comes out, who gave you all the false graphs that are 30, 40, 50 times worse than it is.
[01:23:34.881 --> 01:23:39.843]  He says, oh, you're going to cause it to come back because you're going out in public.
[01:23:39.843 --> 01:23:41.083]  And I predicted this 10 weeks ago.
[01:23:41.083 --> 01:23:45.565]  Then they can release a more deadly strain they've got and wipe out a whole bunch of people and say, see?
[01:23:47.068 --> 01:23:47.989]  You didn't submit.
[01:23:47.989 --> 01:23:49.851]  And people go, how do you keep predicting this?
[01:23:49.851 --> 01:23:53.395]  Well, 90% of us read their own documents.
[01:23:53.395 --> 01:23:55.016]  And I said 10 weeks ago, they've got other strains.
[01:23:55.016 --> 01:24:00.802]  And now we're learning they've got other strains that didn't mutate, but they released probably.
[01:24:00.802 --> 01:24:03.886]  And so it's perfect psychology to release something else then.
[01:24:04.952 --> 01:24:14.079]  In the areas that people rebel, they'll hit Texas, they'll hit Florida, they'll hit places where Republican governors don't play ball.
[01:24:14.079 --> 01:24:20.885]  They're probably out there at those beaches right now with drones flying over that folks just think are shooting video and just psst, psst, psst, psst.
[01:24:20.885 --> 01:24:31.213]  And the Democrats are openly saying, nurses are saying, oh, we hope it kills Republicans.
[01:24:31.213 --> 01:24:32.334]  How dare you come out?
[01:24:33.422 --> 01:24:37.587]  This is all their act of controlling us and having their will over us.
[01:24:37.587 --> 01:24:44.374]  So whatever horrible thing you can think of, better believe they've already got it on the drawing board or already doing it.
[01:24:44.374 --> 01:24:47.237]  So, here's the simple thing I've got to say.
[01:24:47.237 --> 01:24:51.321]  It's so important and at the heart of all this.
[01:24:51.321 --> 01:24:53.284]  You're going to have to get on your knees before God.
[01:24:53.284 --> 01:24:55.326]  I'm going to have to get on my knees before God even more.
[01:24:56.917 --> 01:24:58.778]  And just say, God, I love you.
[01:24:58.778 --> 01:25:00.799]  And I want justice for the children.
[01:25:00.799 --> 01:25:02.960]  And I don't want to join Satan.
[01:25:02.960 --> 01:25:10.463]  And please lift me up and guide me and direct me with discernment and understanding for the empowerment of humanity and your will to stand against this.
[01:25:10.463 --> 01:25:12.464]  And I turn my life over to you.
[01:25:13.254 --> 01:25:16.295]  I know you don't take the free will like the Satanists.
