[00:00:03.542 --> 00:00:06.303]  It's Friday, January 14th.
[01:10:49.398 --> 01:10:50.899]  So here's Tucker Carlson last night.
[01:10:50.899 --> 01:10:52.940]  We'll play part of it now, part of it coming up in Man Cal.
[01:10:53.880 --> 01:10:55.301]  It's running for Governor of Illinois.
[01:10:55.301 --> 01:10:56.641]  He's going to pop in.
[01:10:56.641 --> 01:11:06.125]  We have an Oath Keeper that got out of Oath Keepers right before January 6th because he saw troubling signs of what was going on and the federal provocateur stuff that was happening.
[01:11:06.125 --> 01:11:13.488]  I'm not saying Stuart Rhodes is a fed, but clearly feds infiltrated and there was a lot of manipulation going on.
[01:11:13.488 --> 01:11:19.750]  So we've got a lot of big info on that coming up next hour and so much more today here.
[01:11:19.750 --> 01:11:22.291]  But let's go ahead and go to the war on our children.
[01:11:23.823 --> 01:11:34.226]  And then I've got a big list of things here dealing with the new announcement of the domestic war on the American people.
[01:11:34.226 --> 01:11:41.329]  Like, people are like, whoa, the Cold War, you know, the Soviets are bad, but this is kind of a dangerous buildup of a military-industrial complex to counter them.
[01:11:41.329 --> 01:11:42.649]  It could be used against us.
[01:11:42.649 --> 01:11:46.030]  That was 1961 in January.
[01:11:46.030 --> 01:11:49.291]  Outgoing President Blightney Eisenhower.
[01:11:49.291 --> 01:11:50.912]  And now here we are.
[01:11:52.999 --> 01:12:00.363]  60 plus years later, 61 years later, and it happened.
[01:12:00.363 --> 01:12:01.084]  Oh wow, really?
[01:12:01.084 --> 01:12:01.644]  Yeah.
[01:12:01.644 --> 01:12:05.266]  Just like third world countries, you get a big giant bureaucracy and intelligence agency.
[01:12:05.266 --> 01:12:06.246]  They don't just take over.
[01:12:06.246 --> 01:12:07.147]  They don't just want money.
[01:12:07.147 --> 01:12:09.888]  They get on power trips.
[01:12:09.888 --> 01:12:12.570]  And remember, a bunch of them are Satanists.
[01:12:13.899 --> 01:12:13.999]  Yeah.
[01:12:34.958 --> 01:12:42.309]  They file court stuff against my co-host, Owen Schroyer, saying he attacked inside the Capitol, doesn't work for him, full words.
[01:12:42.309 --> 01:12:44.573]  They told a federal judge, he's lying, your honor.
[01:12:44.573 --> 01:12:46.075]  He wasn't with Alex Jones trying to stop it.
[01:12:46.075 --> 01:12:47.437]  He doesn't work there.
[01:12:47.437 --> 01:12:49.360]  He wasn't, those weren't his security.
[01:12:49.360 --> 01:12:50.622]  He, no, he's a liar.
[01:12:52.435 --> 01:12:54.595]  Well, they know that judge is in their pocket, obviously.
[01:12:54.595 --> 01:12:56.796]  I mean, because you can go look that up and see it's a lie.
[01:12:56.796 --> 01:12:58.356]  We have the exhibits, the video.
[01:12:58.356 --> 01:13:00.617]  Again, this isn't about Owen or Alex Jones.
[01:13:00.617 --> 01:13:04.998]  I mean, sure, they're coming after us because we're trying to defend everybody.
[01:13:04.998 --> 01:13:05.738]  We're warriors.
[01:13:05.738 --> 01:13:06.258]  We're up front.
[01:13:06.258 --> 01:13:07.258]  We're just being men.
[01:13:07.258 --> 01:13:08.118]  We're like throwbacks.
[01:13:08.118 --> 01:13:10.239]  We're like men stood up to evil, like, whoa, this is bad.
[01:13:10.239 --> 01:13:13.540]  I'm supposed to do something here.
[01:13:13.540 --> 01:13:14.640]  And that's why we're virile.
[01:13:14.640 --> 01:13:17.420]  Everybody can see it because that's what humans are.
[01:13:17.420 --> 01:13:20.101]  The stuff they've been doing to the water didn't completely work on us.
[01:13:22.293 --> 01:13:34.844]  So, think about that, and let that sink in, that they will put in federal filings, people that, they're even putting people in filings that weren't even in D.C.
[01:13:34.844 --> 01:13:42.090]  They're putting people in filings, they said, out of boats attacking the Potomac, and they don't even have a boat, and they weren't in the, they don't care.
[01:13:42.090 --> 01:13:43.251]  You're like, well that's sloppy.
[01:13:43.251 --> 01:13:44.613]  No, it's not sloppy.
[01:13:44.613 --> 01:13:45.934]  They say, let's commit major crimes.
[01:13:47.540 --> 01:13:51.981]  Let's get these judges to sign on to stuff that's total lies, and we'll have them really corrupt.
[01:13:51.981 --> 01:13:59.623]  Just like, let's inject children with gene therapies that give them cancer and heart attacks, and then instead they've learned the average person will cover up, like, God, my kid had a heart attack.
[01:13:59.623 --> 01:14:00.884]  Well, I'm not going to admit I did this.
[01:14:00.884 --> 01:14:02.864]  Oh, oh, I just, my kid had a heart attack.
[01:14:02.864 --> 01:14:06.465]  It's not from a shot, or, oh, oh, yeah, um.
[01:14:06.465 --> 01:14:09.266]  You see how they work?
[01:14:09.266 --> 01:14:12.647]  I mean, they've got this all figured out, except
[01:14:13.621 --> 01:14:21.804]  When you sell out your own species, and when you screw everybody else, it's like taking a dump in the pool.
[01:14:21.804 --> 01:14:25.225]  Pissing in the pool is bad enough, okay?
[01:14:25.225 --> 01:14:36.629]  But, imagine if you went to a public pool, and people didn't just decide to piss in it, so they gotta put way more chlorine in it, and then it burns your eyes, and there's ammonia in there, and you're basically bathing in a urinal.
[01:14:39.446 --> 01:14:41.788]  And people started crapping in it.
[01:14:41.788 --> 01:14:44.690]  Well, one person craps, you get out of the pool.
[01:14:44.690 --> 01:14:45.931]  And that's what the New World Order is.
[01:14:45.931 --> 01:14:51.095]  They're all in the pool crapping, pretending like they're doing it to us.
[01:14:51.095 --> 01:14:54.218]  The FBI's like, and Nancy Pelosi's like.
[01:14:55.772 --> 01:14:56.752]  I mean, seriously.
[01:14:56.752 --> 01:14:58.553]  And then they're like, I don't know who did that.
[01:14:58.553 --> 01:15:03.454]  There's like crap floating everywhere, and it stinks, and they've ruined everything, and it's horrible.
[01:15:03.454 --> 01:15:05.855]  And then we're like lifeguards going, don't crap in the pool.
[01:15:05.855 --> 01:15:08.056]  They go, arrest that terrorist.
[01:15:08.056 --> 01:15:09.516]  That's a terrorist.
[01:15:09.516 --> 01:15:11.577]  They don't, no one's crapping in the pool.
[01:15:13.493 --> 01:15:14.635]  And that's the gaslighting.
[01:15:14.635 --> 01:15:18.240]  They got new articles out going, OK, the Pentagon is PSYOPing you.
[01:15:18.240 --> 01:15:21.345]  We did do mass formation psychosis.
[01:15:21.345 --> 01:15:22.146]  For your own good.
[01:15:22.146 --> 01:15:23.628]  OK, fine, it's real.
[01:15:23.628 --> 01:15:25.912]  Last week it wasn't real, but it's real now.
[01:15:25.912 --> 01:15:27.013]  Look at these articles.
[01:15:27.013 --> 01:15:27.895]  It's real.
[01:15:27.895 --> 01:15:28.275]  It's good.
[01:15:28.275 --> 01:15:29.257]  Why don't you like it?
[01:15:32.850 --> 01:15:38.313]  I mean, Financial Times of London, PSYOPs are a crucial weapon in the war against disinformation.
[01:15:38.313 --> 01:15:42.796]  Thank God major military units are creating fear in the public for their own good.
[01:15:42.796 --> 01:15:45.077]  But if you say they're doing that, it doesn't exist.
[01:15:45.077 --> 01:15:47.118]  Now you live in Doublethink World.
[01:15:47.118 --> 01:15:50.080]  Now you're living in Winston Smith's 1984.
[01:15:50.080 --> 01:15:52.781]  Does anybody want to live in this?
[01:15:52.781 --> 01:15:54.242]  They're pooping in the pool.
[01:15:57.551 --> 01:16:13.076]  Christmas 2021 is over, but you've still got a really great chance to give yourself the gift of free speech and liberty and freedom into the new year, while at the same time making yourself healthier, wealthier, and wiser by boosting your immune system.
[01:16:13.076 --> 01:16:18.538]  Two of our top-selling products that have been sold out for a long time are now back in stock.
[01:16:19.258 --> 01:16:25.559]  Winter Sun, the highest quality vitamin D3, taken under the tongue for higher absorption, is back in stock.
[01:16:25.559 --> 01:16:29.020]  Despite the fact it's been sold out for months, it is 50% off.
[01:16:29.020 --> 01:16:42.323]  And then our number one bestseller of all time, Survival Shield X2 Deep Earth Crystal Iodine, the game changer, the missing link, not just for immune system, but all electrochemical activity in the body, it's back in stock, 50% off.
[01:16:42.323 --> 01:16:43.823]  So that's the New Year's special.
[01:16:44.363 --> 01:16:47.604]  And that's Christmas comes early in 2022, ladies and gentlemen.
[01:16:47.604 --> 01:16:54.506]  Give yourself the gift of health and clarity and focus with X2 and Winter Sun at infowarestore.com.
[01:16:54.506 --> 01:16:56.367]  50% off for a limited time.
[01:16:56.367 --> 01:16:57.787]  Thanks for keeping us on the air.
[01:16:57.787 --> 01:17:02.009]  I am recording this announcement on the afternoon of January 6, 2022.
[01:17:02.009 --> 01:17:10.932]  And that means there are only seven days left of us being able to offer our best-selling product, Vitamin Mineral Fusion, at 50% off.
[01:17:12.592 --> 01:17:13.053]  That's right.
[01:17:27.865 --> 01:17:31.187]  On sale for another seven days.
[01:17:31.187 --> 01:17:34.408]  So we're running this until next Thursday.
[01:17:34.408 --> 01:17:36.429]  And your purchase supports the broadcast.
[01:17:36.429 --> 01:17:39.370]  I want to thank you all for shopping with InfoWars.
[01:17:39.370 --> 01:17:44.893]  Without you, we would not have been on air and the world would be in a much worse position right now than it's in.
[01:17:44.893 --> 01:17:52.316]  Thanks to you supporting InfoWars, we have now become the number one beacon of truth, exposing the Great Reset and the New World Order.
[01:17:52.316 --> 01:17:57.258]  So support your immune system and support free speech and the fight for liberty at the same time at InfoWarsStore.com.
[01:17:57.518 --> 01:18:01.642]  Three very important life-saving words.
[01:18:01.642 --> 01:18:05.406]  Vitamins, minerals, amino acids.
[01:18:05.406 --> 01:18:09.670]  And you find them all in Vitamin Mineral Fusion.
[01:18:09.670 --> 01:18:18.178]  All the essential vitamins, all the essential minerals from really good, high-quality, absorbable sources, and a bunch of key
[01:18:19.119 --> 01:18:25.283]  Compounds, amino acids known to help get the nutrients into your tissues, into your cells.
[01:18:25.283 --> 01:18:34.308]  And despite the fact that the product is going to sell out in the next week or so, we're going to keep it on sale at 50% off for another seven days.
[01:18:34.308 --> 01:18:38.071]  So again, I am cutting this announcement on the afternoon of January 6, 2022.
[01:18:38.071 --> 01:18:41.413]  We're going to run this for a week and then
[01:18:42.193 --> 01:18:43.876]  We are going to be selling out of this product.
[01:18:43.876 --> 01:18:50.346]  Hopefully more comes in in the next month or so because it's a best seller and it's something everybody needs for their immune system and their body.
[01:18:50.346 --> 01:18:54.232]  Get your Vitamin Mineral Fusion now and support the InfoWar 360 win at InfoWarStore.com
[01:18:57.336 --> 01:19:01.540]  I never compromise the quality of ingredients we put in InfoWars Live products.
[01:19:01.540 --> 01:19:05.104]  And that's why for more than two years we've been sold out of Ultimate Bone Broth.
[01:19:05.104 --> 01:19:07.727]  And we could never get the ingredients again.
[01:19:07.727 --> 01:19:08.668]  Until now.
[01:19:08.668 --> 01:19:14.754]  And we have reformulated and not just used the same ingredients, we've boosted it and made them even stronger.
[01:19:14.754 --> 01:19:18.518]  So out of all the bone broths out there, I'm telling you, this is next level.
[01:19:18.518 --> 01:19:19.359]  Listen to what it's got in it.
[01:19:19.739 --> 01:19:24.943]  Cutting edge chicken bone broth protein isolate powder for better flavor and dissolvability.
[01:19:24.943 --> 01:19:34.450]  It's got turmeric root, chaga mushroom, bee pollen, goji berry, alfalfa herb powder, and a bunch of other amazing known berries that turbocharge your body with antioxidants.
[01:19:34.450 --> 01:19:38.594]  And then it's got a bunch of other incredible things like magnesium, potassium, and sodium added.
[01:19:38.594 --> 01:19:41.056]  I mean this sucker has got everything for your electrolytes.
[01:19:41.056 --> 01:19:41.356]  It's got
[01:19:41.596 --> 01:19:44.638]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:20:13.482 --> 01:20:17.564]  All right, the full report here on the Alex Jones Show is on Infowars.com.
[01:20:17.564 --> 01:20:22.687]  It's about 14 minutes long, but I'm going to air in this little nine-minute segment a lot of it.
[01:20:22.687 --> 01:20:38.736]  We now know that the White House and Justice Department, didn't just in Virginia as Tucker covers, but other places, went out and said, hey, call them terrorists and ask us to counter the terrorist parents that don't want pedophiles teaching their kids or critical race theory that's basically like Hitler, but from the other perspective.
[01:20:39.881 --> 01:20:42.322]  With white people teaching that whites are inherently evil.
[01:20:42.322 --> 01:20:45.444]  I mean, this is just the nastiest stuff you do to destroy a country.
[01:20:45.444 --> 01:20:47.164]  This is the takedown of the nation.
[01:20:47.164 --> 01:20:52.467]  And he laid it all out last night and how it's all tied to the terrorism and branding Americans as the enemy.
[01:20:52.467 --> 01:21:02.772]  And the martial law that Biden's really already put us under with the vaccine mandates and recording everybody that hasn't taken the shot that's in a secret database.
[01:21:02.772 --> 01:21:06.333]  I mean, this is all camps being built for those that haven't taken the shots.
[01:21:06.333 --> 01:21:09.335]  This is the imploding empire
[01:21:10.831 --> 01:21:15.452]  Looking at its citizens and saying, we can't loot third world countries anymore.
[01:21:15.452 --> 01:21:16.753]  We'll just loot them.
[01:21:16.753 --> 01:21:18.573]  Here's Tucker Carlson.
[01:21:18.573 --> 01:21:20.514]  Good evening and welcome to Tucker Carlson.
[01:21:20.514 --> 01:21:25.656]  Tonight, there was a lot going on right around the time of the last presidential inauguration.
[01:21:25.656 --> 01:21:37.199]  So you may have missed that on his very first day as president, Joe Biden ordered federal law enforcement and intelligence agencies to prepare a review of how the administration should fight terrorism.
[01:21:37.199 --> 01:21:39.280]  By last June, that report was complete.
[01:21:39.280 --> 01:21:39.880]  It concluded.
[01:21:40.410 --> 01:21:45.934]  That after more than 20 years, Islamic terror is no longer the greatest threat to this country.
[01:21:45.934 --> 01:21:53.940]  Instead, the agencies declared that domestic political extremism is quote, the most urgent terrorism threat the United States faces today.
[01:21:55.128 --> 01:21:56.570]  That's a very stark assessment.
[01:21:56.570 --> 01:22:00.895]  So you have to ask, who exactly are these terrorists who threaten us so urgently?
[01:22:00.895 --> 01:22:02.737]  And they're not who you might expect.
[01:22:02.737 --> 01:22:08.283]  The report did not even mention the BLM riots, the deadly BLM riots that had just taken place.
[01:22:08.283 --> 01:22:09.685]  There wasn't a word about Antifa.
[01:22:09.685 --> 01:22:15.051]  There was nothing about the gunmen who murdered 800 Americans in the city of Chicago last year, many of them children.
[01:22:15.051 --> 01:22:15.852]  No, they weren't there.
[01:22:16.664 --> 01:22:25.046]  Instead, the Biden administration declared that the quote, most lethal elements of today's domestic terror threat are political conservatives.
[01:22:25.046 --> 01:22:27.846]  They're people who disagree with Joe Biden.
[01:22:27.846 --> 01:22:32.687]  Now that report was released almost exactly six months ago, six months ago this Friday.
[01:22:32.687 --> 01:22:35.808]  It received relatively little attention and hasn't since.
[01:22:35.808 --> 01:22:39.828]  And no major news organization even asked the most obvious question.
[01:22:39.828 --> 01:22:42.249]  These terrorists who threaten us, where are they?
[01:22:43.340 --> 01:22:50.803]  If Trump voters are really the most, quote, lethal threat that our country faces today, where are all the people they've killed?
[01:22:50.803 --> 01:22:52.424]  That's not an easy question to answer.
[01:22:52.424 --> 01:22:56.246]  Just look at the numbers, which are fairly tidily kept.
[01:22:56.246 --> 01:23:02.129]  Take a look at all the Americans who died by violence over the past 12 months, and there are many thousands and thousands of Americans.
[01:23:02.129 --> 01:23:04.109]  I'm going to ask a simple question.
[01:23:04.109 --> 01:23:07.411]  How many of them were killed by right-wingers for political reasons?
[01:23:08.311 --> 01:23:09.671]  Not many.
[01:23:09.671 --> 01:23:13.353]  Or since we're talking about threats here, pose the question another way.
[01:23:13.353 --> 01:23:22.295]  Are you more in danger walking through a neighborhood that votes 90% Democrat or a neighborhood that votes 90% Republican?
[01:23:22.295 --> 01:23:23.656]  Come on.
[01:23:23.656 --> 01:23:26.136]  This claim is ridiculous.
[01:23:26.136 --> 01:23:27.037]  On its face.
[01:23:27.037 --> 01:23:30.518]  There is no substantial right-wing terror threat in this country.
[01:23:30.518 --> 01:23:31.798]  Certainly not in relative terms.
[01:23:31.798 --> 01:23:33.959]  There just isn't.
[01:23:33.959 --> 01:23:34.899]  And no one's shown there is.
[01:23:35.828 --> 01:23:37.309]  The White House knows this, of course.
[01:23:37.309 --> 01:23:39.771]  They can read the numbers as well as anyone else can.
[01:23:39.771 --> 01:23:43.194]  So they're working hard to create the illusion of that threat.
[01:23:43.194 --> 01:23:46.137]  Much hangs on their ability to do that.
[01:23:46.137 --> 01:23:56.105]  You may remember the story this fall about a group called the National School Boards Association, which sent a letter to the feds asking the DOJ to take a look at parents who don't like their kids' curriculums.
[01:23:56.803 --> 01:24:01.185]  Well, the Justice Department responded immediately to the letter, talking about customer service.
[01:24:01.185 --> 01:24:09.888]  Days later, the Attorney General announced the FBI would investigate moms who dared to complain at school board meetings as potential terrorists.
[01:24:09.888 --> 01:24:15.110]  Many people were shocked by this story, but we just learned it's worse even than we thought it was.
[01:24:15.110 --> 01:24:25.334]  A new Freedom of Information Act request has revealed that the National School Boards Association asked the feds to investigate parents because the feds asked them to ask the feds to investigate parents.
[01:24:26.109 --> 01:24:27.470]  See how that works?
[01:24:27.470 --> 01:24:33.794]  Apparently the Secretary of Education, Miguel Cardona, told school board administrators to write their letter to the White House.
[01:24:33.794 --> 01:24:39.517]  The White House then used that letter as a pretext to begin a crackdown on parents.
[01:24:39.517 --> 01:24:40.418]  See how that works?
[01:24:40.418 --> 01:24:42.119]  The snake eating its tail.
[01:24:42.119 --> 01:24:47.342]  When you don't have enough domestic terrorists to justify a political purge, then you just go ahead and create them.
[01:24:47.342 --> 01:24:48.543]  And that's exactly what they've been doing.
[01:24:49.454 --> 01:24:55.716]  This week, the campaign against this new American Al Qaeda entered a new and very ominous phase.
[01:24:55.716 --> 01:24:58.077]  Again, little noticed by the national media.
[01:24:58.077 --> 01:25:03.499]  This Tuesday, two days ago, the DOJ announced the creation of a new domestic terrorism unit.
[01:25:03.499 --> 01:25:04.599]  What will it do?
[01:25:04.599 --> 01:25:08.220]  Well, it will target, quote, anti-authority ideologues.
[01:25:08.220 --> 01:25:09.661]  Anti-authority ideologues.
[01:25:10.081 --> 01:25:15.285]  Now, keep in mind, this country was founded by people who are anti-authority ideologues.
[01:25:15.285 --> 01:25:24.370]  That's why they created America and baked the idea of opposing authority, so it doesn't get too big and take over your life, into our founding documents.
[01:25:24.370 --> 01:25:26.992]  These ideas are central to the American idea.
[01:25:26.992 --> 01:25:29.133]  In fact, they are the American idea.
[01:25:29.133 --> 01:25:31.735]  But in this administration, they are now crimes.
[01:25:31.735 --> 01:25:34.777]  Here's Matt Olson, the Assistant Attorney General, explaining.
[01:25:34.777 --> 01:25:39.080]  We face an elevated threat from domestic violent extremists.
[01:25:39.753 --> 01:25:49.967]  That is, individuals in the United States who seek to commit violent criminal acts in furtherance of domestic, social, or political goals.
[01:25:49.967 --> 01:25:55.195]  Domestic violent extremists are often motivated by a mix of ideologies and personal grievances.
[01:25:56.115 --> 01:26:06.604]  We've seen a growing threat from those who are motivated by racial animus, as well as those who ascribe to extremist, anti-government, and anti-authority ideologies.
[01:26:06.604 --> 01:26:13.309]  I've decided to establish a domestic terrorism unit to augment our existing approach.
[01:26:13.309 --> 01:26:18.753]  This group of dedicated attorneys will focus on the domestic terrorism threat.
[01:26:18.753 --> 01:26:19.934]  Who's the threat to the country?
[01:26:19.934 --> 01:26:25.459]  That guy is the threat to the country, and the people working for him and those propping him up, and the people
[01:26:26.477 --> 01:26:35.119]  Spreading the core lie here, which is that American citizens who distrust the government or don't like its policies are terrorists.
[01:26:35.119 --> 01:26:42.720]  Just today on MSNBC, Jason Johnson, one of its contributors, described the entire Republican Party as a terrorist organization.
[01:26:42.720 --> 01:26:44.741]  So you can see where this is going.
[01:26:44.741 --> 01:26:52.342]  Again, and we're quoting now, this is the Assistant Attorney General, we have seen a growing threat from those who subscribe to anti-government and anti-authority ideologies.
[01:26:53.206 --> 01:26:53.506]  Really?
[01:26:53.506 --> 01:26:55.087]  Is that threat growing?
[01:26:55.087 --> 01:26:56.007]  Is it true?
[01:26:56.007 --> 01:26:56.867]  Let's see here.
[01:26:56.867 --> 01:27:00.028]  That threat is being used to justify the creation of this agency.
[01:27:00.028 --> 01:27:02.029]  But it's not rooted in reality.
[01:27:02.029 --> 01:27:07.830]  27 years ago, back in 1995, you'll remember, 168 people were murdered in the Oklahoma City bombing.
[01:27:07.830 --> 01:27:09.071]  Another 700 were injured.
[01:27:10.271 --> 01:27:15.357]  Now, the investigation into what happened that day involved nearly 30,000 interviews.
[01:27:15.357 --> 01:27:19.061]  Investigators gathered 7,000 pounds of evidence.
[01:27:19.061 --> 01:27:20.423]  We could go on.
[01:27:20.423 --> 01:27:22.005]  It was an enormous investigation.
[01:27:22.005 --> 01:27:25.148]  Attorney General Merrick Garland, by the way, was part of it at the time.
[01:27:25.148 --> 01:27:26.270]  Here's the point.
[01:27:26.270 --> 01:27:29.493]  Despite the size of that investigation, no one
[01:27:30.575 --> 01:27:37.738]  Suggested, even hinted, that we might need to create a new domestic terror division within the DOJ to handle the problem.
[01:27:37.738 --> 01:27:38.418]  No.
[01:27:38.418 --> 01:27:44.781]  The whole thing was handled by FBI field offices, as things like this had been for many decades.
[01:27:44.781 --> 01:27:46.902]  The FBI field offices did their jobs.
[01:27:46.902 --> 01:27:51.964]  The man accused of doing it got the death penalty, and you may have noticed it didn't happen again.
[01:27:51.964 --> 01:27:54.245]  And then Joe Biden became president.
[01:27:54.245 --> 01:27:58.247]  And the number of so-called domestic terror investigations more than doubled.
[01:27:59.349 --> 01:28:05.828]  So the question is, what exactly are they investigating, if there's no substantial death toll from these terrorists in our midst?
[01:28:06.929 --> 01:28:09.230]  What exactly are the Feds looking into?
[01:28:09.230 --> 01:28:14.932]  Well, they're taking a close look at crimes like the plot to kidnap Michigan Governor Gretchen Whitmer.
[01:28:14.932 --> 01:28:17.974]  A plot that helped her political fortunes considerably.
[01:28:17.974 --> 01:28:19.234]  What did it consist of?
[01:28:19.234 --> 01:28:26.577]  Well, that conspiracy in the end turned out to have more FBI agents and informants involved than would-be kidnappers.
[01:28:26.577 --> 01:28:29.999]  The guy the Feds said were running it turned out to be homeless.
[01:28:29.999 --> 01:28:33.000]  He was living in the basement of a vacuum repair shop.
[01:28:33.000 --> 01:28:35.301]  His friends called him Captain Autism.
[01:28:36.260 --> 01:28:38.502]  And they called him that for a reason.
[01:28:38.502 --> 01:28:41.105]  He wasn't the ringleader of anything.
[01:28:41.105 --> 01:28:42.126]  He couldn't have been.
[01:28:42.126 --> 01:28:44.509]  The whole thing was ridiculous.
[01:28:44.509 --> 01:28:51.236]  But it stoked the storyline that was politically expedient, and so the media uncritically promoted it again and again, as if it were real.
[01:28:51.236 --> 01:28:56.902]  The media's job, by the way, to remind you, is to push back against government statements to find out if they're actually true.
[01:28:57.773 --> 01:29:00.255]  Christmas 2021 is gone.
[01:29:00.255 --> 01:29:07.821]  It's in the rearview mirror, but you can still take advantage of Christmas prices going to the New Year at InfoWareStore.com.
[01:29:07.821 --> 01:29:15.067]  On two of our best-selling products, now finally back in stock, we have the number one bestseller of all time.
[01:29:16.088 --> 01:29:24.451]  X2, the Deep Earth Crystal Iodine that is essential for all your body's activities, electrochemical functions of the cells, the mitochondria, your immune system.
[01:29:24.451 --> 01:29:26.052]  It is back in stock.
[01:29:26.052 --> 01:29:32.794]  X2 is 50% off at InfoWarstore.com and right in time for the deepest part of winter.
[01:29:33.919 --> 01:29:39.302]  We have Winter Sun Back in Stock, the highest quality vitamin D3 for your immune system.
[01:29:39.302 --> 01:29:44.345]  And again, your whole body is back in stock, ready to ship to you right now at InfoWarsTore.com.
[01:29:44.345 --> 01:29:50.689]  So it's a 360 wind, it keeps us on air, and it also makes your life so much healthier and better.
[01:29:50.689 --> 01:29:55.152]  So get your supply up to date at InfoWarsTore.com right now.
[01:29:57.739 --> 01:30:04.922]  Everything we've witnessed in the last few decades has only been the build-up for what the globalists are doing right now.
[01:30:04.922 --> 01:30:06.622]  This is their big offensive.
[01:30:06.622 --> 01:30:08.103]  This is their takeover.
[01:30:08.103 --> 01:30:12.104]  And this is the point that they're at their very weakest because now they've revealed themselves.
[01:30:12.104 --> 01:30:17.066]  Now their world government, their permanent martial law, their medical tyranny is out in the open.
[01:30:17.066 --> 01:30:19.247]  Their depopulation agenda has been exposed.
[01:30:20.307 --> 01:30:25.929]  They're using their corporate power and trillions to go across the planet and shut down people telling the truth.
[01:30:25.929 --> 01:30:31.351]  So listen, Paul Reveres, when you spread the word about the broadcast, when you pray for the broadcast, you're the tip of the spear.
[01:30:31.351 --> 01:30:35.012]  And when you buy products at InfoWarsTore.com, you keep us on air.
[01:30:35.012 --> 01:30:39.213]  Plus, we've got great products that have been sold out for months that are back in stock, 50% off, X2 and Winter Sun.
[01:30:42.074 --> 01:30:44.155]  Both of these are in our top five best sellers.
[01:30:44.155 --> 01:30:45.335]  They are so good for your body.
[01:30:45.335 --> 01:30:48.897]  And if there's two things you do for your body, it's these two products.
[01:30:48.897 --> 01:30:51.998]  They're all back in stock at InfoWareStore.com.
[01:30:51.998 --> 01:30:53.499]  50% off and it keeps us on the air.
[01:30:53.499 --> 01:30:59.621]  Only way we fail is if you don't take action.
[01:30:59.621 --> 01:31:00.562]  This is a great sponsor.
[01:31:01.306 --> 01:31:06.768]  We have one of the best deals you're going to find out there on a high-quality, high-rated satellite phone.
[01:31:06.768 --> 01:31:11.370]  You can't be tracked, you can't be traced, and it'll work anywhere in the world where you can see the sky.
[01:31:11.370 --> 01:31:15.732]  You can also buy cheap antennas and things for in your car or in your house that also are on the site.
[01:31:15.732 --> 01:31:17.632]  Infowarsphone.com.
[01:31:17.632 --> 01:31:19.133]  That's just a site that takes you to these folks.
[01:31:19.133 --> 01:31:22.014]  They supply the board for everybody with their systems as well.
[01:31:22.014 --> 01:31:29.357]  They're amazing folks, and you get a free phone, a $650 value, absolutely free, at Infowarsphone.com.
[01:31:30.197 --> 01:31:32.378]  Smartphones are always tracking everything you do.
[01:31:32.378 --> 01:31:32.838]  These aren't.
[01:31:32.838 --> 01:31:34.818]  And the calls are free when folks call you.
[01:31:34.818 --> 01:31:38.679]  You just pay $99.95 a month for your minutes.
[01:31:38.679 --> 01:31:39.579]  150 minutes.
[01:31:39.579 --> 01:31:40.719]  So the calls you were free.
[01:31:40.719 --> 01:31:41.920]  It works like a regular cell phone.
[01:31:41.920 --> 01:31:43.240]  You're not being tracked or traced.
[01:31:43.240 --> 01:31:44.520]  And I keep one in my car.
[01:31:44.520 --> 01:31:46.361]  I've given them to my parents as gifts.
[01:31:46.361 --> 01:31:48.761]  Way out in the middle of nowhere where regular phones don't work, they work.
[01:31:48.761 --> 01:31:49.741]  Infoworksphone.com or 941-955-1020.
[01:31:49.741 --> 01:31:50.902]  941-955-1020 and ask the Alex Jones Special.
[01:31:57.628 --> 01:32:10.895]  The average person on the face of this incredible planet is still unaware that there's a war between free individuals and nation-states on one side, and the globalists on the other, who are literally trying to create a post-human world.
[01:32:10.895 --> 01:32:19.300]  From the United States to Brazil, and of course triggered by the Brexit in the UK, nations were pulling out of the private, corporate, fascist world government.
[01:32:19.300 --> 01:32:25.424]  That's why they launched their Great Reset, and their program after collapsing us, of Build Back Better.
[01:32:26.524 --> 01:32:31.527]  This is nothing more than a top-down, vertical consolidation of the world economy.
[01:32:31.527 --> 01:32:42.632]  And because they couldn't take our guns, because we wouldn't bow, because the left, which is the ideology of this world government system, couldn't win, they released a biological weapon on us.
[01:32:43.372 --> 01:32:45.394]  Now we know, two years ago.
[01:32:45.394 --> 01:32:47.695]  We learned about it about 20 months ago.
[01:32:47.695 --> 01:32:48.295]  It's that simple.
[01:32:48.295 --> 01:32:51.397]  They can't beat us because of our free speech and our guns.
[01:32:51.397 --> 01:32:55.580]  So the Global Corporate Combine released COVID-19 and you know the rest is history.
[01:32:55.580 --> 01:33:00.243]  Expose this paradigm and we win.
[01:33:00.243 --> 01:33:06.127]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:33:16.553 --> 01:33:21.478]  Crashing through the lies and disinformation, it's Alex Jones.
[01:33:39.915 --> 01:33:41.176]  It's so big.
[01:33:41.176 --> 01:33:43.557]  It doesn't work on a campaign commercial.
[01:33:43.557 --> 01:33:44.778]  Okay, you're serious about this?
[01:33:44.778 --> 01:33:45.598]  I am serious.
