[00:00.000 --> 00:07.000]  And now, without a heart to call my own, I've been a happiness I've never known
[35:39.000 --> 35:44.000]  Rome would send a leader and a governor who would oppress in an area they were having trouble
[35:44.000 --> 35:50.000]  Then Rome would chastise him with drawing, send the savior, the people would put up with even more tyranny
[35:50.000 --> 35:55.000]  The British Empire tried to go invisible about 120 years ago because of massive resistance
[35:55.000 --> 36:03.000]  They found out they took the Union jack down and put up the country's flag but put a thug in of that country's color
[36:03.000 --> 36:07.000]  or ethnicity or stripe
[36:07.000 --> 36:11.000]  They would put them in and then the people would put up with more
[36:11.000 --> 36:17.000]  And so that's all this is. Kerry Bush, it's a staged event. It's a staged event. It's a staged event
[36:17.000 --> 36:23.000]  You go, who are we going to vote for? Forget the presidential elections. What matters is county and city and state
[36:23.000 --> 36:28.000]  You have power if you'd use it. They're trying to hedge you off at the pass with electronic voting machines
[36:28.000 --> 36:30.000]  Go ahead, caller
[36:30.000 --> 36:31.000]  Hey, Alex
[36:31.000 --> 36:32.000]  Hello
[36:32.000 --> 36:38.000]  Hey, I didn't know if you knew about this, but I wanted to mention I recently found out that down in Florida, I believe it's Miami, Florida
[36:38.000 --> 36:45.000]  They're starting to implement and forcing kids to thumbprint to be able to get on the school bus and off the school bus
[36:45.000 --> 36:54.000]  And they even say themselves, the Florida officials say themselves very bluntly, that the security
[36:54.000 --> 36:59.000]  The security purposes behind it far outweighed the civil liberty injustices
[36:59.000 --> 37:03.000]  So they're plainly admitting that it is a civil liberty injustice
[37:03.000 --> 37:11.000]  Secondly, I want to make a comment about how it's pretty cute and quaint here in the September 11th commissions
[37:11.000 --> 37:17.000]  Basically, they love to use this sort of thing to go ahead and admit everything that everybody's already known has been happening
[37:17.000 --> 37:25.000]  But then they try to make it like, oh, it's all failures. Oh, sorry, we had the information, but we just didn't act on it like we should have
[37:25.000 --> 37:33.000]  It's kind of ridiculous to think that something as powerful as the CIA can fail at something like this with that much overwhelming information that they had ahead of time
[37:33.000 --> 37:42.000]  When in reality, they make movements and actions on far less information for far less important things
[37:42.000 --> 37:45.000]  I hear you. Let me take your first comment
[37:45.000 --> 37:49.000]  I have the official federal documents and plans
[37:49.000 --> 37:59.000]  Well, my God, don't listen to me. Here is the Star Tribune
[37:59.000 --> 38:04.000]  Biometrics and needed weapon in the battle against new threats
[38:04.000 --> 38:12.000]  And this is from the 22nd of March. Okay
[38:12.000 --> 38:26.000]  The Army War College in 68 had bought the patents, the Army War College put out reports in 68 on the patents the Pentagon had bought for biometric thumbprint readers
[38:26.000 --> 38:31.000]  And they said this will knock out a black market, even people have got cards
[38:31.000 --> 38:35.000]  Because we'll make them thumb scan to buy and sell, tax them, control them, manipulate them
[38:35.000 --> 38:46.000]  I mean, I've read the document from 1968, 36 years ago
[38:46.000 --> 38:49.000]  I mean, these people are sick
[38:49.000 --> 38:51.000]  And I don't mean your son or daughter who's in the military
[38:51.000 --> 38:55.000]  You're saying my son or daughter, no, the egg heads in the Pentagon
[38:55.000 --> 39:02.000]  The egg heads, the people actually setting policy
[39:02.000 --> 39:10.000]  It's just this mindless group think, but problems I anticipate all the preconditioned responses
[39:10.000 --> 39:13.000]  And then there's no way to respond to all your preconditioned responses
[39:13.000 --> 39:15.000]  So I can't even effectively communicate
[39:15.000 --> 39:18.000]  The point is 100 preconditioned responses and I went through every one of them
[39:18.000 --> 39:23.000]  Maybe I can make a point because you'd see that thought in your mind that I was addressing as you had it
[39:23.000 --> 39:25.000]  Then you would realize I know what I'm talking about
[39:25.000 --> 39:29.000]  Just please listen to me, people, please listen to me
[39:29.000 --> 39:33.000]  This is going to be a hell on earth like you've never imagined
[39:33.000 --> 39:38.000]  You fat-bellied possums, you fat-bellied yuppies
[39:38.000 --> 39:42.000]  You thumb-sucking establishment bootlickers that think you're part of the system
[39:42.000 --> 39:45.000]  Wake up!
[39:45.000 --> 39:48.000]  It's a great point the caller brings up
[39:48.000 --> 39:57.000]  The Sentinel and others in Florida reported a $20 million program that will cover 44 schools
[39:57.000 --> 40:02.000]  All children will be thumb-scanned to get on the bus and GPS tracked in the vehicle
[40:02.000 --> 40:04.000]  And they admit it's to track and control them
[40:04.000 --> 40:07.000]  Thousands of school districts already make them thumb-scanned to get school lunches
[40:07.000 --> 40:12.000]  The federal plan is to train them to accept this to do anything
[40:12.000 --> 40:17.000]  Finland's already put it in
[40:17.000 --> 40:22.000]  It's total control
[40:22.000 --> 40:24.000]  It's going in everywhere
[40:24.000 --> 40:28.000]  SeaWorld, HEB, all just you name it
[40:28.000 --> 40:30.000]  It's going in everywhere
[40:30.000 --> 40:32.000]  Automatic breathalyzers in all cars
[40:32.000 --> 40:37.000]  Retina scanners to make sure you're not tired that measure microscopic vibrations in the eye
[40:37.000 --> 40:38.000]  Nanny state
[40:38.000 --> 40:40.000]  Oh, you're not being arrested for a crime
[40:40.000 --> 40:44.000]  You're being taken away for psychological evaluation and drugging
[40:44.000 --> 40:46.000]  Which is the Supreme Court's rule they can do
[40:46.000 --> 40:49.000]  I mean, people go in and protest having their land taken now
[40:49.000 --> 40:52.000]  The judge says put him in jail and they're people who spent four or five years
[40:52.000 --> 40:56.000]  Because they protested having their land taken without just compensation
[40:56.000 --> 41:00.000]  And they've been forcibly drugged with lithium in solitary confinement
[41:00.000 --> 41:05.000]  Folks, it's already here
[41:05.000 --> 41:08.000]  So what you bring up is absolutely true
[41:08.000 --> 41:11.000]  And the globalists didn't have prior knowledge of 9-11
[41:11.000 --> 41:13.000]  They carried out the attacks
[41:13.000 --> 41:15.000]  Most of the hijackers have been found still alive
[41:15.000 --> 41:17.000]  It was all a staged event
[41:17.000 --> 41:20.000]  And you got to watch the films, you got to read the book
[41:20.000 --> 41:25.000]  You got to go to the 9-11 archive of infowars.com and prisonplanet.com
[41:25.000 --> 41:27.000]  And read the hundreds and hundreds and hundreds of news articles
[41:27.000 --> 41:30.000]  And integrate the information and look at it
[41:30.000 --> 41:37.000]  The wildest conspiracy theory is to say that 19 hijackers did this alone
[41:37.000 --> 41:42.000]  It's more likely that I would sprout wings in flight of the moon here in front of you
[41:42.000 --> 41:44.000]  Let's go ahead and take calls
[41:44.000 --> 41:46.000]  Hello?
[41:46.000 --> 41:48.000]  Hello
[41:48.000 --> 41:51.000]  Yeah, go ahead
[41:51.000 --> 41:54.000]  There's three of you, there's only three phone lines here
[41:54.000 --> 41:56.000]  And you talked and then hung up
[41:56.000 --> 41:58.000]  So go ahead, Caller
[41:58.000 --> 42:01.000]  Hi Alex, I'm calling in regards to the election process
[42:01.000 --> 42:03.000]  I agree that it's very staged
[42:03.000 --> 42:06.000]  And the Democrats and the Republicans really offer no options to us
[42:06.000 --> 42:10.000]  I've been doing some research and realizing that you can pull up voting histories
[42:10.000 --> 42:12.000]  And things like that so you can make informed decisions
[42:12.000 --> 42:17.000]  George W. and John Kerry have an almost identical voting record
[42:17.000 --> 42:20.000]  Gun grabbing, open borders, NAFTA GATT, pro-war
[42:20.000 --> 42:23.000]  It's WWF wrestling
[42:23.000 --> 42:30.000]  But we've got a country where half the people in major polls think that the wrestling is real
[42:30.000 --> 42:33.000]  Well my question is, how do we make a change?
[42:33.000 --> 42:35.000]  It needs to be in a county, in a state, in a local government
[42:35.000 --> 42:41.000]  What do you think of the Libertarian Party and third party systems?
[42:41.000 --> 42:45.000]  Well I already said that the presidential system is a fraud and shot
[42:45.000 --> 42:50.000]  So I'm not focused on who the leader is because they're not leaders to begin with
[42:50.000 --> 42:54.000]  We have a criminal, shadow government, the New World Order
[42:54.000 --> 42:59.000]  Now that's come out in the open, the Phantom has stepped out from behind the curtain
[42:59.000 --> 43:03.000]  And so it's there, I'm saying it's at the county and city level
[43:03.000 --> 43:06.000]  And it doesn't matter if they're Libertarian or Republicans or Democrats
[43:06.000 --> 43:09.000]  If they will get into office and defend the Constitution
[43:09.000 --> 43:12.000]  Cut the size of government, which is their mechanism of control
[43:12.000 --> 43:16.000]  Expose the system, if we'll stop being decadent people
[43:16.000 --> 43:21.000]  And become educated and informed on the real historical paradigm, this would end
[43:21.000 --> 43:25.000]  It starts at the cellular level with you and I
[43:25.000 --> 43:29.000]  But don't you think that the Republicans and the Democrats are going to be predisposed
[43:29.000 --> 43:33.000]  To go into the more systematic approach that we currently have
[43:33.000 --> 43:36.000]  As opposed to going with a third party?
[43:36.000 --> 43:39.000]  Ma'am, I don't think you heard me
[43:39.000 --> 43:43.000]  Do you really think there's an election going on?
[43:43.000 --> 43:46.000]  We need to hang up on you, you got disconnected
[43:46.000 --> 43:49.000]  You can call back if you like, I don't know what's going on with the phone system in there
[43:49.000 --> 43:54.000]  Ma'am, the problem is I don't think you hear me
[43:54.000 --> 43:57.000]  I don't think it's getting through
[43:57.000 --> 44:05.000]  We haven't had a presidential election since they blew John Fitzgerald Kennedy's head off
[44:05.000 --> 44:10.000]  200 miles off the road from me
[44:10.000 --> 44:13.000]  That's when voter news services took over
[44:13.000 --> 44:15.000]  Do you know how they announced the returns?
[44:15.000 --> 44:18.000]  Do you know the process? I do
[44:18.000 --> 44:20.000]  And I'm not that smart, this is what freaks me out
[44:20.000 --> 44:22.000]  They just tell us who's president
[44:22.000 --> 44:24.000]  You know how they get those numbers, those returns?
[44:24.000 --> 44:29.000]  You better find out, because it doesn't even happen
[44:29.000 --> 44:33.000]  And now to head off local elections
[44:33.000 --> 44:37.000]  They're putting in with a $5 billion federal program
[44:37.000 --> 44:40.000]  Paying to have these CIA run machines put in
[44:40.000 --> 44:42.000]  And they're CIA run
[44:42.000 --> 44:45.000]  Three of the major companies are run by former deputy directors
[44:45.000 --> 44:47.000]  They've been caught defrauding coast to coast
[44:47.000 --> 44:50.000]  Clear Channel owns the heart systems
[44:50.000 --> 44:53.000]  It's a joke, it's a joke
[44:53.000 --> 44:56.000]  Face the magnitude
[44:56.000 --> 45:01.000]  I mean, I got Aaron Russo, the guy that's probably going to be the libertarian candidate for president
[45:01.000 --> 45:06.000]  And I think it'll be good for him to go around the country
[45:06.000 --> 45:09.000]  And educate people and talk about the new world order
[45:09.000 --> 45:12.000]  But everybody focuses on the presidency
[45:12.000 --> 45:15.000]  When a presidential election comes to be, it's the big chief
[45:15.000 --> 45:18.000]  When it's not a chief at all, it's a puppet
[45:18.000 --> 45:21.000]  60% of people come out and vote
[45:21.000 --> 45:24.000]  When 8% come out in the local election in Austin
[45:24.000 --> 45:28.000]  Where the real power is going on locally
[45:28.000 --> 45:34.000]  And again, pause that right there
[45:34.000 --> 45:36.000]  They know that you want a receipt
[45:36.000 --> 45:38.000]  There is no receipt, no record of your vote
[45:38.000 --> 45:45.000]  They give you a number that means nothing in the voting system that just logs the vote
[45:45.000 --> 45:47.000]  But that makes you think there's a receipt
[45:47.000 --> 45:50.000]  There's even policy reports about how to con you on that
[45:50.000 --> 45:52.000]  These idiots have put out, I'm just sick
[45:52.000 --> 45:55.000]  But it's so big, people can't believe it
[45:55.000 --> 45:58.000]  So yeah, I think third parties are great
[45:58.000 --> 46:01.000]  But I just said it's individuals, it's not parties
[46:01.000 --> 46:04.000]  It's voting records as you started your call
[46:04.000 --> 46:06.000]  Go ahead, caller
[46:06.000 --> 46:08.000]  Welcome
[46:08.000 --> 46:09.000]  Hello, caller
[46:09.000 --> 46:11.000]  It's a real pleasure to speak to you
[46:11.000 --> 46:12.000]  Good to talk to you
[46:12.000 --> 46:15.000]  I just moved here this last August from Chicago
[46:15.000 --> 46:20.000]  And I've been aware of you before then from friends of mine down here
[46:20.000 --> 46:23.000]  I have a question and a comment
[46:23.000 --> 46:25.000]  It's a real pleasure to have you down here
[46:25.000 --> 46:29.000]  And educating the community, as you said, from the local level
[46:29.000 --> 46:31.000]  Is where we can get things done
[46:31.000 --> 46:34.000]  I agree with all of what you say
[46:34.000 --> 46:36.000]  And I was just wondering here in Austin
[46:36.000 --> 46:39.000]  Since you are here and since you are educating the masses
[46:39.000 --> 46:41.000]  And you're continuing to do your work
[46:41.000 --> 46:45.000]  What more can I do personally to further the cause
[46:45.000 --> 46:51.000]  And cause some sort of change in this massive
[46:51.000 --> 46:56.000]  Sickening conspiracy that's going on throughout the world
[46:56.000 --> 47:03.000]  The comment I had is more of a toast to like-minded people
[47:03.000 --> 47:06.000]  Here's to Galileo and the curse of being right
[47:06.000 --> 47:09.000]  Here's to the rest of us who still keep up the fight
[47:09.000 --> 47:12.000]  Here's to the drinks, the lies, the stories we all tell
[47:12.000 --> 47:15.000]  And here's to the knowledge that they fear us all in hell
[47:15.000 --> 47:16.000]  Alright, you need to
[47:16.000 --> 47:19.000]  But if you could respond to what I can do personally
[47:19.000 --> 47:21.000]  On a local level here in Austin
[47:21.000 --> 47:24.000]  In order to enact some type of change
[47:24.000 --> 47:28.000]  And spreading the word of this massive
[47:28.000 --> 47:31.000]  Okay, well, as I said, sickening is the best word I can use
[47:31.000 --> 47:33.000]  To describe a conspiracy that's going on
[47:33.000 --> 47:37.000]  Did you write that?
[47:37.000 --> 47:40.000]  Did you write what you just said?
[47:40.000 --> 47:41.000]  Hello?
[47:41.000 --> 47:45.000]  Yeah, did you write what you just said?
[47:45.000 --> 47:46.000]  What's that?
[47:46.000 --> 47:47.000]  Turn your television up
[47:47.000 --> 47:48.000]  Okay
[47:48.000 --> 47:50.000]  Did you write what you just said?
[47:50.000 --> 47:52.000]  Did I like what I just said?
[47:52.000 --> 47:55.000]  Did you write, write, write?
[47:55.000 --> 47:56.000]  Oh, the toast?
[47:56.000 --> 47:59.000]  No, a good friend of mine from Chicago wrote that
[47:59.000 --> 48:01.000]  Well, it's good, you ought to email it to me
[48:01.000 --> 48:04.000]  I put on the site tipsandinfowords.com
[48:04.000 --> 48:05.000]  It's one of the better addresses
[48:05.000 --> 48:10.000]  Look, corruption is in the heart of man
[48:10.000 --> 48:15.000]  We just are in a very decadent cycle right now
[48:15.000 --> 48:19.000]  We need to have an enlightenment, a renaissance, an awakening
[48:19.000 --> 48:22.000]  That the world is round, the government is corrupt
[48:22.000 --> 48:23.000]  We've got to reduce its size
[48:23.000 --> 48:25.000]  But it's got to get bad before it gets better
[48:25.000 --> 48:27.000]  And I am, and I appreciate the call
[48:27.000 --> 48:30.000]  I am getting, you know, the response
[48:30.000 --> 48:32.000]  I am seeing people wake up
[48:32.000 --> 48:33.000]  And I know we can do it
[48:33.000 --> 48:36.000]  But just get involved, start a website
[48:36.000 --> 48:37.000]  Call the talk radio show
[48:37.000 --> 48:40.000]  Start an organization, pick an issue
[48:40.000 --> 48:42.000]  Be a leader, we need more leaders
[48:42.000 --> 48:44.000]  Don't help Alex Jones, don't
[48:44.000 --> 48:46.000]  You know, I'm great, forget all that
[48:46.000 --> 48:49.000]  You be a leader, that's what's going to change this
[48:49.000 --> 48:51.000]  Not being spectators, getting in the game
[48:51.000 --> 48:54.000]  They didn't build the new world order system overnight
[48:54.000 --> 48:58.000]  We're not going to tear it down overnight
[48:58.000 --> 49:00.000]  Anything that could tear it down overnight
[49:00.000 --> 49:04.000]  Would create the same tyranny overnight
[49:04.000 --> 49:06.000]  You must restrict the size of government
[49:06.000 --> 49:11.000]  Then when you get corrupt mafia kingpin systems in place
[49:11.000 --> 49:12.000]  Which is the norm
[49:12.000 --> 49:16.000]  They don't have the mechanism to control
[49:16.000 --> 49:18.000]  Go ahead, caller
[49:18.000 --> 49:19.000]  Hello
[49:19.000 --> 49:20.000]  Hello
[49:20.000 --> 49:24.000]  Yes, Alex, I've been aware of what you're talking about
[49:24.000 --> 49:26.000]  Since about 1969
[49:26.000 --> 49:32.000]  But I know it's a lot further back than that
[49:32.000 --> 49:35.000]  What's your view of when all this started
[49:35.000 --> 49:37.000]  Where it was first noticeable
[49:37.000 --> 49:41.000]  Well, I think it was about 10,000 years ago
[49:41.000 --> 49:42.000]  Or longer
[49:42.000 --> 49:46.000]  When the witch doctor had handed down
[49:46.000 --> 49:51.000]  Astrophilomical, some reasons I can't say words
[49:51.000 --> 49:56.000]  What's the term of the study of the stars?
[49:56.000 --> 49:57.000]  Astrological
[49:57.000 --> 49:59.000]  Yeah, okay, thank you
[49:59.000 --> 50:01.000]  Having a problem with that word, occasionally I do
[50:01.000 --> 50:04.000]  And there's another word I was looking for
[50:04.000 --> 50:05.000]  It's similar
[50:05.000 --> 50:07.000]  Astronomical
[50:07.000 --> 50:09.000]  Yeah, there you go, thank you
[50:09.000 --> 50:10.000]  Astronomical
[50:10.000 --> 50:15.000]  And they learned that they knew when to plant
[50:15.000 --> 50:17.000]  They knew when the sun would disappear
[50:17.000 --> 50:19.000]  They knew when the moon would disappear
[50:19.000 --> 50:21.000]  They could say, do what I say
[50:21.000 --> 50:25.000]  Or next month, a monster is going to eat the moon
[50:25.000 --> 50:27.000]  And they didn't know what was making the moon disappear
[50:27.000 --> 50:30.000]  But their knowledge, because they marked things down
[50:30.000 --> 50:32.000]  And had a long term memory
[50:32.000 --> 50:35.000]  And didn't put things in the Orwellian memory hole
[50:35.000 --> 50:38.000]  They could con the tribe to follow them
[50:38.000 --> 50:40.000]  Because they had the hidden knowledge
[50:40.000 --> 50:42.000]  They could scare them
[50:42.000 --> 50:43.000]  Okay?
[50:43.000 --> 50:44.000]  Yes, sir
[50:44.000 --> 50:50.000]  And that's when the manipulation began
[50:50.000 --> 50:53.000]  You know, when the first chief allied with the witch doctor
[50:53.000 --> 50:57.000]  To oppress some of his own tribe and make them slaves
[50:57.000 --> 51:00.000]  Or go conquer another neighboring tribe and make them slaves
[51:00.000 --> 51:02.000]  I mean, it's the same thing over and over again
[51:02.000 --> 51:06.000]  But the modern system used the British-funded Civil War
[51:06.000 --> 51:09.000]  They funded the Civil War in the south, manipulated it in the north
[51:09.000 --> 51:11.000]  Tried to break the country up
[51:11.000 --> 51:14.000]  Then when they had the dictator ship set up
[51:14.000 --> 51:18.000]  And Lincoln wanted to reverse it
[51:18.000 --> 51:22.000]  After he got the union back
[51:22.000 --> 51:27.000]  They then killed him and used that for the violation of the Tenth Amendment
[51:27.000 --> 51:29.000]  Against states' rights
[51:29.000 --> 51:31.000]  All powers, not directly, you know
[51:31.000 --> 51:34.000]  Given to the federal government or reserved the states or the people
[51:34.000 --> 51:37.000]  Then the Ninth Amendment as well
[51:37.000 --> 51:41.000]  Which is, you know, that there's all these other rights
[51:41.000 --> 51:44.000]  Not the ones simply enumerated here
[51:44.000 --> 51:46.000]  And so it got worse there
[51:46.000 --> 51:48.000]  Then 1913 fell a reserve
[51:48.000 --> 51:50.000]  Private banks took over our money system
[51:50.000 --> 51:54.000]  Then with that money, 1933 engineered
[51:54.000 --> 51:56.000]  After fears of depression
[51:56.000 --> 51:58.000]  The War Powers Act set up state police
[51:58.000 --> 52:01.000]  Driver's license, control
[52:01.000 --> 52:04.000]  The income tax that had been passed in 1913
[52:04.000 --> 52:06.000]  Was then implemented
[52:06.000 --> 52:09.000]  1947 National Security Act
[52:09.000 --> 52:12.000]  The elite power of the bankers who now own the government
[52:12.000 --> 52:14.000]  And had the threat of the Soviet Union
[52:14.000 --> 52:16.000]  Which they had funded as a pretext to get our troops
[52:16.000 --> 52:19.000]  And our intelligentsia to engage in wicked activities
[52:19.000 --> 52:21.000]  The name of defeating them
[52:21.000 --> 52:23.000]  Used that to go underground
[52:23.000 --> 52:25.000]  Then they began the narcotics trade to corrupt us
[52:25.000 --> 52:28.000]  The gambling, the systematic brainwashing
[52:28.000 --> 52:31.000]  The breakup of the family, feminism
[52:31.000 --> 52:33.000]  All the slave master systems
[52:33.000 --> 52:35.000]  To break up the family
[52:35.000 --> 52:37.000]  Now we're here, 2004
[52:37.000 --> 52:40.000]  They're using terrorism to hurt us into compact cities
[52:40.000 --> 52:44.000]  And from there, then start the orderly
[52:44.000 --> 52:47.000]  Biological warfare releases
[52:47.000 --> 52:51.000]  That will exterminate 85 to 95% of the world population
[52:51.000 --> 52:53.000]  That's official government plans
[52:53.000 --> 52:55.000]  Henry Kissinger, all of them
[52:55.000 --> 52:58.000]  What they're doing
[52:58.000 --> 53:00.000]  For some reason with the phones
[53:00.000 --> 53:03.000]  We get somebody online and they just, they're gone
[53:03.000 --> 53:05.000]  So I don't know if we're having a problem
[53:05.000 --> 53:07.000]  With the phone system in there or what, I apologize
[53:07.000 --> 53:09.000]  Go ahead and call her
[53:09.000 --> 53:11.000]  Hey Alex, do you know Gore Baidel
[53:11.000 --> 53:13.000]  And who he writes for?
[53:13.000 --> 53:15.000]  Well he's written for Vanity Fair
[53:15.000 --> 53:19.000]  He's an author, he's kind of a socialist anarchist
[53:19.000 --> 53:21.000]  Well I don't, I didn't
[53:21.000 --> 53:23.000]  Hold just a second, because he talks about
[53:23.000 --> 53:25.000]  Who he was, he talks about the real corruption
[53:25.000 --> 53:27.000]  But then gives you a socialist answer
[53:27.000 --> 53:28.000]  Go ahead
[53:28.000 --> 53:30.000]  Well I saw him on Bill Maher on HBO
[53:30.000 --> 53:32.000]  This past week
[53:32.000 --> 53:34.000]  He talked about voters' new service
[53:34.000 --> 53:36.000]  And how we've lost our vote
[53:36.000 --> 53:38.000]  And that they tabulate the votes
[53:38.000 --> 53:41.000]  I was wondering, had you ever interviewed him
[53:41.000 --> 53:43.000]  We've tried to go through his publisher
[53:43.000 --> 53:44.000]  But he's so swan
[53:44.000 --> 53:46.000]  He really sounded good the other night
[53:46.000 --> 53:49.000]  And he sat there and chewed one of the other panelists out
[53:49.000 --> 53:51.000]  Kind of like Alex, it was great
[53:51.000 --> 53:53.000]  You know, he came just short of calling him
[53:53.000 --> 53:55.000]  A fat belly possum like you did a while ago
[53:55.000 --> 53:58.000]  Excellent term dude, that was hilarious
[53:58.000 --> 54:01.000]  Basically that's what, I ask everybody
[54:01.000 --> 54:03.000]  How do we walk around in this illusion
[54:03.000 --> 54:06.000]  With all the chemtrails above our heads
[54:06.000 --> 54:08.000]  And all the chemtrails on the commercial
[54:08.000 --> 54:10.000]  And all this stuff right in front of us
[54:10.000 --> 54:13.000]  Look, the U.N. admits they got caught again
[54:13.000 --> 54:16.000]  Sterilizing women with vaccines
[54:16.000 --> 54:18.000]  I mean it's just, the CDC admits
[54:18.000 --> 54:20.000]  In their own internal documents
[54:20.000 --> 54:22.000]  The Dan Burton forced them to release
[54:22.000 --> 54:23.000]  It's the corporate minutes
[54:23.000 --> 54:25.000]  I read them two weeks ago in there
[54:25.000 --> 54:27.000]  It's, I wouldn't give my granddaughter this
[54:27.000 --> 54:28.000]  This is brain damage millions
[54:28.000 --> 54:30.000]  We've got to cover this up
[54:30.000 --> 54:32.000]  You're all sworn to national security
[54:32.000 --> 54:35.000]  And they just keep giving it to everybody
[54:35.000 --> 54:37.000]  Absolutely hilarious
[54:37.000 --> 54:39.000]  Fat belly possum, that was...
[54:39.000 --> 54:40.000]  I'm still laughing
[54:40.000 --> 54:42.000]  You know why I call them a fat belly possum?
[54:42.000 --> 54:45.000]  No, you were calling the liberal people
[54:45.000 --> 54:47.000]  That are just, you know, yeah, kill them
[54:47.000 --> 54:50.000]  You know, they've never been hurt or rolled a car
[54:50.000 --> 54:51.000]  Or whatever
[54:51.000 --> 54:53.000]  They're just fat belly possums
[54:53.000 --> 54:54.000]  I'm still laughing
[54:54.000 --> 54:56.000]  That's a good, that's a good one
[54:56.000 --> 54:57.000]  Well, thank you
[54:57.000 --> 54:58.000]  We'll talk to you, bro
[54:58.000 --> 54:59.000]  Later
[54:59.000 --> 55:00.000]  Thanks
[55:00.000 --> 55:01.000]  A possum creeps around in the dark
[55:01.000 --> 55:03.000]  And, I mean, I actually like possums
[55:03.000 --> 55:05.000]  It's an affectionate name
[55:08.000 --> 55:09.000]  All right
[55:09.000 --> 55:10.000]  Go ahead
[55:10.000 --> 55:11.000]  Hello
[55:11.000 --> 55:12.000]  Yes, sir
[55:12.000 --> 55:14.000]  Yeah, this system of tyranny
[55:14.000 --> 55:15.000]  That they're trying to push on us
[55:15.000 --> 55:19.000]  Have they ever tried to push it on America in the past?
[55:19.000 --> 55:22.000]  Well, there were always what the Nazis do
[55:22.000 --> 55:24.000]  And what others do with old tyrannies
[55:24.000 --> 55:25.000]  You know, I'm a Roman
[55:25.000 --> 55:26.000]  I'm not a slave
[55:26.000 --> 55:27.000]  And everybody else says so
[55:27.000 --> 55:28.000]  I'm for the system
[55:28.000 --> 55:30.000]  That's the old tyranny
[55:30.000 --> 55:32.000]  You know, oh, well, we have freedom
[55:32.000 --> 55:33.000]  Because we're white
[55:33.000 --> 55:35.000]  But blacks and Native Americans are slaves
[55:35.000 --> 55:37.000]  And we break their families up
[55:37.000 --> 55:38.000]  And kill their men
[55:38.000 --> 55:40.000]  And give them poison blankets
[55:40.000 --> 55:42.000]  And then we put them on these reservations
[55:42.000 --> 55:43.000]  And plantations
[55:43.000 --> 55:45.000]  That's what these are, these thumb scanners
[55:45.000 --> 55:46.000]  These cameras
[55:46.000 --> 55:48.000]  These highways ready to be shut down
[55:48.000 --> 55:50.000]  Police and black ski masks
[55:50.000 --> 55:51.000]  I wear it to keep you safe
[55:51.000 --> 55:52.000]  And cover my badge up
[55:52.000 --> 55:54.000]  That's a sign of freedom
[55:54.000 --> 55:56.000]  You know, this is the reservation
[55:56.000 --> 55:58.000]  It's all for a ignorant savage's own good
[55:58.000 --> 55:59.000]  The police say
[55:59.000 --> 56:01.000]  It's the same mentality
[56:01.000 --> 56:03.000]  When they're part of it, too
[56:03.000 --> 56:04.000]  They're being enslaved
[56:04.000 --> 56:05.000]  They're taking the vaccines
[56:05.000 --> 56:08.000]  They're drinking the Diet Coke
[56:08.000 --> 56:11.000]  Full of aspartame
[56:11.000 --> 56:14.000]  And so that's a really good point
[56:14.000 --> 56:16.000]  That you, a good question
[56:16.000 --> 56:17.000]  That you brought up there
[56:17.000 --> 56:18.000]  Go ahead and call her
[56:18.000 --> 56:19.000]  Hello?
[56:19.000 --> 56:20.000]  Yes
[56:20.000 --> 56:22.000]  Yes, sir, it's you
[56:22.000 --> 56:23.000]  You said hello
[56:23.000 --> 56:24.000]  Hello, hello?
[56:24.000 --> 56:25.000]  Hello, hello
[56:25.000 --> 56:26.000]  Okay
[56:26.000 --> 56:29.000]  Some people can't figure this out
[56:29.000 --> 56:33.000]  I don't think we'll take any more calls
[56:33.000 --> 56:37.000]  Sorry, we're out of time
[56:37.000 --> 56:38.000]  There's just so much going on
[56:38.000 --> 56:40.000]  So much happening
[56:40.000 --> 56:42.000]  And a lot I didn't have time to get to
[56:42.000 --> 56:45.000]  And they are really out of control
[56:45.000 --> 56:47.000]  Now, it's the norm in history
[56:47.000 --> 56:50.000]  I mean, there's so much bad stuff happening
[56:50.000 --> 56:52.000]  And people go, well, that's negative
[56:52.000 --> 56:54.000]  I choose to look on the bright side
[56:54.000 --> 56:55.000]  The bright side is
[56:55.000 --> 56:57.000]  We've still got pockets of talk radio
[56:57.000 --> 56:58.000]  That isn't neocon
[56:58.000 --> 57:00.000]  Ultra big government lies
[57:00.000 --> 57:02.000]  Gun-grabbing socialist lies
[57:02.000 --> 57:04.000]  Conning the so-called conservatives
[57:04.000 --> 57:06.000]  We've still got pockets of media
[57:06.000 --> 57:09.000]  That isn't fake liberal neo-fascist garbage
[57:09.000 --> 57:12.000]  We've still got the internet
[57:12.000 --> 57:13.000]  We're still reaching out
[57:13.000 --> 57:15.000]  And I've never seen so many people wake up
[57:15.000 --> 57:18.000]  That's the best piece of news I've got to you
[57:18.000 --> 57:19.000]  For you
[57:19.000 --> 57:22.000]  I have done over 1,500 radio interviews
[57:22.000 --> 57:23.000]  And I get emails on this
[57:23.000 --> 57:25.000]  You'll see a show from six months ago
[57:25.000 --> 57:27.000]  I'll say, you know, 1,300
[57:27.000 --> 57:29.000]  So you see old shows, tape, you know
[57:29.000 --> 57:30.000]  They're different numbers
[57:30.000 --> 57:31.000]  That's caused some confusion
