[00:00:08.629 --> 00:00:10.510]  It's Sunday, August 1st.
[00:27:25.205 --> 00:27:27.306]  And that'll collapse civilization.
[00:27:27.306 --> 00:27:30.787]  Everybody else will be scared to go into work, or be around anybody, or be around the vaccinated.
[00:27:31.914 --> 00:27:36.037]  This is a psychological weapon of fear.
[00:27:36.037 --> 00:27:38.198]  It's meant to destroy confidence in the government.
[00:27:38.198 --> 00:27:39.099]  You think the U.S.
[00:27:39.099 --> 00:27:43.042]  government will ever have credibility again when this all comes out?
[00:27:43.042 --> 00:27:47.085]  And it finally all clicked this morning, and it's why I actually got dizzy.
[00:27:47.085 --> 00:27:51.388]  You've heard, like, women will get told, hey, your husband was just found dead, and the woman will stagger back and fall over.
[00:27:51.388 --> 00:28:00.594]  I've been studying all day, and when this all crystallized in my mind, like a thousand points plus a thousand, I actually got dizzy, and I was stumbling around, and it all hit me.
[00:28:01.576 --> 00:28:05.257]  I had to sit down.
[00:28:05.257 --> 00:28:18.240]  That's why they did it during Trump and got him to sign on to it to discredit Trump and nationalism and patriotism and populism and they knew that Trump would be so pig-headed he'll keep defending it even as it starts killing everybody.
[00:28:18.240 --> 00:28:20.401]  So, man, they really know what they're doing.
[00:28:20.401 --> 00:28:22.161]  I mean, these are some sophisticated people.
[00:28:23.007 --> 00:28:24.068]  Wow.
[00:28:24.068 --> 00:28:35.237]  And again, if you're a new listener, it is completely confirmed, absolutely confirmed, even mainstream news, the vaccine doesn't help you, hurts you, and makes you spread all this other garbage.
[00:28:35.237 --> 00:28:37.739]  Just what all the science has said over a year ago, what happened.
[00:28:37.739 --> 00:28:41.382]  And it's just a giant trap, a giant bear trap.
[00:28:41.382 --> 00:28:42.242]  We're all caught in it.
[00:28:42.242 --> 00:28:43.764]  And I haven't even hit the new news.
[00:28:43.764 --> 00:28:46.406]  Sage, that's the big government agency in the UK?
[00:28:48.286 --> 00:28:52.774]  They say that the vaccinated could trigger a new super variant that kills 2.625 billion.
[00:28:52.774 --> 00:28:53.675]  Stay with us.
[00:28:59.967 --> 00:29:01.528]  Gerald of South Carolina.
[00:29:01.528 --> 00:29:02.308]  Go ahead, you're on the air.
[00:29:02.308 --> 00:29:03.049]  Trying to move quicker.
[00:29:03.049 --> 00:29:03.869]  Hey, Alex.
[00:29:03.869 --> 00:29:04.309]  Welcome.
[00:29:04.309 --> 00:29:09.452]  Would like to say, first off, thanks for being the voice of reason in amongst all this stupidity.
[00:29:09.452 --> 00:29:12.834]  Wanted to warn people, I've been trying to get a hold of you for a year, okay?
[00:29:12.834 --> 00:29:19.297]  I'm a double amputee, and I have bacteria infection on my lung that'll never go away.
[00:29:19.297 --> 00:29:20.958]  Living Defense saved my life.
[00:29:20.958 --> 00:29:25.120]  They had me on antibiotics for two years that almost killed me.
[00:29:25.120 --> 00:29:26.561]  Living Defense brought me back.
[00:29:26.841 --> 00:29:32.366]  I wanted to just quote from the Bible Jesus is saying as to where we are right now.
[00:29:32.366 --> 00:29:34.788]  This is Matthew 24 verse 9.
[00:29:34.788 --> 00:29:44.077]  Then they shall deliver you up to be afflicted, and shall kill you, and ye shall be hated of all nations for my name's sake.
[00:29:44.077 --> 00:29:49.562]  And then shall many be offended, and shall betray one another, and shall hate one another.
[00:29:49.562 --> 00:29:51.043]  That's right where we're at, brother.
[00:29:51.243 --> 00:30:00.708]  And that's because God's name is on the founding of this country, no matter what they say, and that's why the enemy hates it, because God created this country.
[00:30:00.708 --> 00:30:09.213]  Ladies and gentlemen, Owen Schroer here, the host of the InfoWars War Room, and I am very excited about our latest supplement edition to InfoWarsStore.com.
[00:30:09.213 --> 00:30:19.299]  Now, I've been supplementing with greens fibers and vegetable capsules for a long time, and so I was excited to hear that we were adding our own greens fiber caps to InfoWarsStore.com.
[00:30:19.779 --> 00:30:22.703]  But then I read the ingredients and I was blown away.
[00:30:22.703 --> 00:30:23.885]  Listen to this.
[00:30:23.885 --> 00:30:25.147]  Organic pea fiber.
[00:30:25.147 --> 00:30:26.588]  Organic alfalfa leaf.
[00:30:26.588 --> 00:30:28.050]  Organic wheatgrass leaf.
[00:30:28.050 --> 00:30:29.492]  Organic cilantro leaf.
[00:30:29.492 --> 00:30:30.914]  Organic kale leaf.
[00:30:30.914 --> 00:30:32.456]  Organic flax sprout.
[00:30:32.456 --> 00:30:34.059]  Organic quinoa sprout.
[00:30:34.059 --> 00:30:34.820]  Ladies and gentlemen,
[00:30:35.380 --> 00:30:37.501]  All of these things are so incredible for your health.
[00:30:37.501 --> 00:30:41.344]  Just one of these ingredients can be a life-changing supplement for your health.
[00:30:41.344 --> 00:30:46.086]  And we've packed it all in to Fiber Green Caps at Infowarsstore.com.
[00:30:46.086 --> 00:30:49.989]  So I'm excited to add this to my supplement routine every day.
[00:30:49.989 --> 00:30:52.170]  I suggest that you do the same thing.
[00:30:52.170 --> 00:30:55.011]  And right now, it's at an introductory price of $19.95.
[00:30:55.011 --> 00:30:56.532]  That's 33% off at Infowarsstore.com.
[00:31:01.920 --> 00:31:16.654]  The entire New World Order system is about making you feel pathetic and making you feel weak, making you play the part of a victim so you don't take your birthright as being made the image of God and the incredible mission and destiny we have being given free will.
[00:31:17.294 --> 00:31:25.480]  Being given free will, being given consciousness, is literally the seed of an entire universe, an entire system.
[00:31:25.480 --> 00:31:42.131]  And the fact that you're able to commune with God, the fact that you're able to see the beauty of the sunset, or the beauty of the waves in the ocean, or the beauty of your wife or your husband, or the beauty of your child learning knowledge, the beauty of music, the fact that you can commune with that and resonate with that is energetic.
[00:31:42.131 --> 00:31:45.574]  And that itself is what God teaches us is worship.
[00:31:46.154 --> 00:31:54.556]  So don't worship the globalists, don't worship the NFL, don't worship all the things of the system, but worship the things of God, because we're made by God.
[00:31:54.556 --> 00:32:01.177]  And appreciate your consciousness, and appreciate free speech, while you still have it, while you still have it.
[00:32:01.177 --> 00:32:07.278]  Hello, I'm Mike Lindell, and I'm coming to you with the most important commercial that I've ever done.
[00:32:07.278 --> 00:32:13.859]  All of you know what my pillow and myself have gone through in the last five months, in my efforts to bring the truth forward.
[00:32:14.753 --> 00:32:17.060]  Well, it's all come down to this.
[00:32:17.060 --> 00:32:20.570]  I'm having a cyber symposium on August 10th, 11th, and 12th.
[00:32:22.555 --> 00:32:30.741]  This historical event will be live-streamed 72 hours straight on my new platform FrankSpeech.com.
[00:32:30.741 --> 00:32:36.644]  You can help by getting everybody you know to go to FrankSpeech.com now.
[00:32:36.644 --> 00:32:47.372]  To help support this Cybersymposium event, I am offering some of the best prices ever on my pillow products, but they're only offered at FrankSpeech.com.
[00:32:47.372 --> 00:32:48.652]  Thank you and God bless.
[00:32:52.435 --> 00:32:54.738]  You're listening to the Alex Jones Show!
[00:33:22.180 --> 00:33:26.242]  Infowars.com is tomorrow's news.
[00:33:26.242 --> 00:33:35.527]  Today, you're listening to The Alex Jones Show.
[00:33:35.527 --> 00:33:39.310]  So, I've been politically awake and involved for over 30 years.
[00:33:39.310 --> 00:33:41.671]  I've been on air for 27, coming up on 28 years.
[00:33:44.785 --> 00:33:46.546]  And I knew the globalists wanted depopulation.
[00:33:46.546 --> 00:33:49.147]  I knew the Rockefellers set up the UN to carry it out.
[00:33:49.147 --> 00:33:55.370]  I'd read a lot of the books they'd written about different ways to sterilize this and different plans they had to launch depopulation.
[00:33:55.370 --> 00:34:04.114]  How they'd use the breakup of the family and the destruction of small businesses under UN environmental auspices.
[00:34:04.114 --> 00:34:11.057]  And I watched them eat around the edges of it, but I really hoped we could expose them and back them off so they wouldn't launch the main attack.
[00:34:13.095 --> 00:34:33.109]  But then when I saw what they rolled out in China, and the fear-mongering, and the Wuhan lab, and the lockdowns here, and the masks, and suppressing treatments for regular viral infections so they get some high death numbers, and sending sick people into nursing homes but not letting their families go in, I knew they were making their move.
[00:34:33.109 --> 00:34:39.174]  And then I'd already read Operation Lockstep, and I'd already read Spar's pandemic drill by John Hopkins.
[00:34:40.163 --> 00:34:49.646]  Years ago, because it was globalist battle drills on how they were going to bring in world government, how they admitted they were going to bring in worldwide authoritarianism.
[00:34:49.646 --> 00:35:06.150]  But when I saw all these top scientists come out last year and say, we've looked at what they say the vaccine does, it'll cause autoimmune disease, it'll cause brain damage, it will cause all of these serious problems, antibody-dependent enhancement,
[00:35:07.981 --> 00:35:16.183]  And all these top people were like, I think it'll kill 30-40% of those that take it within about 2-3 years, according to these rat studies.
[00:35:16.183 --> 00:35:17.383]  Then I went and looked up the studies.
[00:35:17.383 --> 00:35:22.204]  I didn't believe these people, even though they were respected, and it was all true.
[00:35:22.204 --> 00:35:28.406]  And then we watched people take the shots, start having heart attacks and strokes and all the rest of it, and now they're having this whole antibody
[00:35:30.126 --> 00:35:44.195]  Dependent enhancement, and it's all over the news, and they're now in the Washington Post saying people that have the shot are more likely to give people COVID now, and they're having autoimmune disorders, antibody dependence.
[00:35:44.195 --> 00:35:46.356]  Now you'd think, oh Jones, I bet he got happy.
[00:35:46.356 --> 00:35:47.376]  No, I didn't get happy.
[00:35:47.376 --> 00:35:52.179]  I am totally freaked out.
[00:35:52.179 --> 00:35:53.760]  Because it's one thing to know their plan.
[00:35:53.760 --> 00:35:54.801]  It's another thing to be living it.
[00:35:55.453 --> 00:36:14.185]  And to think about how psychotic they are, because they even, like I said, they've got the heads of major medical schools, the dean of the Baylor Medical School, that's one of the, that's a top ten medical school, saying this is crazy and evil and wrong, she's just out today!
[00:36:14.185 --> 00:36:21.990]  And now the CDC says, three-fourths of the people spreading it have it, from the shot, and this big one that I want to get Chris Skye's take on,
[00:36:22.842 --> 00:36:24.844]  Going to get Chris gone for a full hour this week.
[00:36:24.844 --> 00:36:27.766]  We got him until five minutes of the next hour.
[00:36:27.766 --> 00:36:29.868]  This is the British government agency SAGE.
[00:36:29.868 --> 00:36:41.857]  Next COVID variant could kill one in three people, 2.625 billion, in the estimates of the mutations, similar to what they saw with MERS, if it became gain-of-function.
[00:36:41.857 --> 00:36:43.459]  And they're telling you what they got next for you.
[00:36:43.459 --> 00:36:45.821]  They're going to claim it's a mutation.
[00:36:45.821 --> 00:36:51.045]  So Chris Skye, back in September of last year, was extremely prescient looking at their own
[00:36:51.810 --> 00:36:59.234]  Government documents that have been confirmed to be real, where they're talking about the permanent lockdown and a permanent dictatorship.
[00:36:59.234 --> 00:37:00.895]  Since he was last on, in fact, I forgot it.
[00:37:00.895 --> 00:37:03.256]  Guys, get the Nova Scotia health minister.
[00:37:03.256 --> 00:37:11.201]  Says we need to stop people demonstrating, stop people going outside, keep lockdowns, he said, to stop people talking.
[00:37:11.201 --> 00:37:17.624]  Since then, the German, the French, and the Australian health ministers have all said the same thing.
[00:37:17.624 --> 00:37:20.185]  So this is a real authoritarian takeover.
[00:37:20.185 --> 00:37:20.986]  Here's Chris Skye.
[00:37:22.000 --> 00:37:26.728]  Before Lockdown 2 was announced, now we're into Lockdown 3 in Canada, but Lockdown 2 is about to happen here.
[00:37:26.728 --> 00:37:28.551]  Here he is predicting it.
[00:37:28.551 --> 00:37:32.718]  It's Psychic Jimbro was the top trending thing on Twitter a few days ago.
[00:37:32.718 --> 00:37:35.383]  Recognized for predicting lockdown agenda, here it is.
[00:37:36.903 --> 00:37:37.823]  You don't need a mask.
[00:37:37.823 --> 00:37:39.244]  The mask is about compliance.
[00:37:39.244 --> 00:37:41.845]  Because they know Canadians like to do what they're told.
[00:37:41.845 --> 00:37:43.686]  So they tell you, you have to wear a mask.
[00:37:43.686 --> 00:37:45.867]  Next they're going to tell you, you have to contact trace.
[00:37:45.867 --> 00:37:48.128]  Then they're going to tell you, you have to take the vaccine.
[00:37:48.128 --> 00:37:51.930]  And because Canadians like to do what they're told, they're hoping that everyone just complies.
[00:37:51.930 --> 00:37:53.370]  And then guess what kids?
[00:37:53.370 --> 00:37:57.132]  Once you take your vaccine, like a dumb person that doesn't know any better,
[00:37:57.652 --> 00:38:09.623]  They're going to tell you, sorry, the vaccine isn't as effective as we thought it was going to be, so now you still got to wear your mask, still got to get contact trace, still have all the restrictions and social distancing, and still take your vaccine.
[00:38:09.623 --> 00:38:11.424]  And then what did you get out of all of this?
[00:38:11.424 --> 00:38:18.631]  You got a whole year where you weren't allowed to travel, your business was closed, they took your rights and freedoms, they forced the vaccine on you, and
[00:38:19.395 --> 00:38:20.216]  What happened?
[00:38:20.216 --> 00:38:21.857]  The same amount of people died.
[00:38:21.857 --> 00:38:23.278]  Everything is the exact same.
[00:38:23.278 --> 00:38:29.964]  And now they're gonna put you back on lockdown and bring it all the way till July of next year, so they can do the same thing again!
[00:38:29.964 --> 00:38:36.009]  Bring you from July, August, and September, getting you off lockdown, but just to bring you back on lockdown again.
[00:38:36.009 --> 00:38:41.253]  If you idiots haven't figured it out yet, it's a perpetual cycle that you never get out of.
[00:38:41.253 --> 00:38:46.197]  And it's a way to take your rights, your freedoms, close your business, take your wealth.
[00:38:46.197 --> 00:38:46.558]  Why?
[00:38:46.558 --> 00:38:48.159]  So you become dependent on government.
[00:38:48.539 --> 00:38:48.879]  Why?
[00:38:48.879 --> 00:38:52.581]  If you're independent, the government works for you like it's supposed to.
[00:38:52.581 --> 00:39:01.985]  If you depend on the government to give you a paycheck to feed your family every month, because they closed your business on you, now the government doesn't work for you, the government rules you!
[00:39:01.985 --> 00:39:10.069]  So instead of a middle class, we have the government, upper class, and the lower class dependents that rely on the government to survive.
[00:39:10.069 --> 00:39:12.490]  In other words, we have a slave class.
[00:39:12.490 --> 00:39:14.731]  And that's what they're trying to do, it's that simple.
[00:39:14.731 --> 00:39:16.492]  Alright, real Chris Sky,
[00:39:18.138 --> 00:39:18.759]  That's huge.
[00:39:41.000 --> 00:39:42.361]  I knew what was coming, like you said.
[00:39:42.361 --> 00:39:44.182]  I saw the document from the UN.
[00:39:44.182 --> 00:39:47.183]  I was traveling around the world trying to tell everybody what was coming.
[00:39:47.183 --> 00:39:50.124]  It was a coordinated response from all the world's governments.
[00:39:50.124 --> 00:39:53.026]  So, whenever something like that happens, it's suspect.
[00:39:53.026 --> 00:40:04.711]  So, I just got back from Ireland, where I predicted their lockdown to the day, and actually stayed there till the day they got locked down, September 20th, and I came back to Toronto to try to warn everybody here.
[00:40:05.291 --> 00:40:13.563]  And I went to our protest on Saturday in Toronto, September 26th, and that's when I made that video to let everybody know what was going to happen.
[00:40:13.563 --> 00:40:15.466]  Oh, my camera died.
[00:40:15.466 --> 00:40:15.746]  You're here.
[00:40:15.746 --> 00:40:16.287]  You sound great.
[00:40:16.287 --> 00:40:17.589]  Keep going.
[00:40:17.589 --> 00:40:18.070]  Okay, so...
[00:40:19.346 --> 00:40:21.008]  I had to let everybody know what was going to happen.
[00:40:21.008 --> 00:40:22.029]  People call me crazy.
[00:40:22.029 --> 00:40:24.431]  Now they see everything that I said came to light.
[00:40:24.431 --> 00:40:28.174]  So now we got to give a red alert and let everybody know what's going to happen next.
[00:40:28.174 --> 00:40:30.316]  And this is very, very important.
[00:40:30.316 --> 00:40:33.620]  Because they're going to try to make the biggest division we've ever seen in society.
[00:40:33.620 --> 00:40:38.844]  And that division is going to go way past the people versus mask wearers, non-mask wearers, etc.
[00:40:38.844 --> 00:40:42.528]  Now it's going to be turning the vaccinated against the unvaccinated.
[00:40:42.908 --> 00:40:45.849]  So they've already got us into the pacification process.
[00:40:45.849 --> 00:40:47.789]  They're trying to lull us into submission.
[00:40:47.789 --> 00:40:49.890]  They tried to give us a little bit of our freedom back.
[00:40:49.890 --> 00:40:51.550]  They wanted to destroy the freedom movement.
[00:40:51.550 --> 00:40:56.752]  They wanted to disorganize us, kill the momentum, kill everything we've been trying to do.
[00:40:56.752 --> 00:41:00.673]  In reality, they're prepping the stage already with predictive programming.
[00:41:00.673 --> 00:41:03.253]  We're already telling us cases are starting to rise.
[00:41:03.253 --> 00:41:05.734]  They're already telling us the vaccine doesn't work.
[00:41:05.734 --> 00:41:09.775]  They're already telling us unvaccinated people are dangerous.
[00:41:09.995 --> 00:41:15.197]  They're already trying to call for limiting the movement and restricting the freedoms of the unvaccinated.
[00:41:15.197 --> 00:41:24.362]  So what we're going to see, and this is why I've been on tour since July 17, all around Canada, to warn people that it's all coming back.
[00:41:24.362 --> 00:41:30.945]  And this time when they lock us down and put the mask back on us, it's going to be vaccinated people and unvaccinated people.
[00:41:30.945 --> 00:41:34.046]  Only this time we're going to be seeing the vaccinated people getting sick.
[00:41:34.426 --> 00:41:41.655]  They're going to blame the vaccinated people getting sick on a so-called new variant, when in reality it's the vaccine itself getting people sick.
[00:41:41.655 --> 00:41:48.964]  They're also going to go and blame the new variant on the unvaccinated, so they can demonize anybody who doesn't take the vaccine.
[00:41:48.964 --> 00:41:52.348]  So not only will this provide wonderful division that the government likes,
[00:41:52.748 --> 00:42:00.596]  It'll also set the stage for public consent of the majority, which are the vaccinated, to limit the freedom of movement on other people.
[00:42:00.596 --> 00:42:10.787]  And if you see what they're doing in France right now, you can't even go to a grocery store in France unless you show proof of vaccination or you show a negative COVID test.
[00:42:11.327 --> 00:42:13.968]  So they're doing this all over the world.
[00:42:13.968 --> 00:42:18.969]  And I'm trying to warn people that they're also trying to subvert us with political movements.
[00:42:18.969 --> 00:42:26.552]  Only political movements in Canada that are masquerading as freedom movements, when in reality there's no political solution to this problem.
[00:42:26.552 --> 00:42:34.214]  Americans are free right now, compared to Canadians, not because they waited for a new election and a new Donald Trump to save them.
[00:42:34.514 --> 00:42:38.497]  But because they employed what I call united non-compliance.
[00:42:38.497 --> 00:42:44.382]  They stood up as a nation, they took off their masks, they opened their businesses, and they just said no to the government.
[00:42:44.382 --> 00:42:48.585]  Stay right there, we're going to come right back in a few minutes to give you the floor.
[00:42:48.585 --> 00:42:55.230]  You're absolutely right about all this, and we need to get past political labels and political parties and get down to basic human rights.
[00:42:55.230 --> 00:42:56.751]  Stay with us, this is the InfoWar.
[00:43:00.962 --> 00:43:07.726]  There's one central fact of criminal psychology that criminologists all agree on.
[00:43:07.726 --> 00:43:11.289]  And that is criminals are extremely pathological.
[00:43:11.289 --> 00:43:12.450]  Even more the general public.
[00:43:12.450 --> 00:43:14.811]  They do the same things over and over again.
[00:43:14.811 --> 00:43:20.415]  And criminals like to commit the same types of crimes over and over again.
[00:43:20.415 --> 00:43:21.275]  Well guess what?
[00:43:21.275 --> 00:43:24.998]  It was Anthony Fauci and eugenicists globalists that
[00:43:26.315 --> 00:43:35.257]  ...ran the rollout of HIV and the mistreatment of it with AZT and other chemicals that actually killed more people than HIV and they were the ones involved in viral research.
[00:43:36.454 --> 00:43:41.955]  ...of viruses that would actually go attack the T lymphocytes in the body and create autoimmune disorders.
[00:43:41.955 --> 00:43:48.317]  The problem for them was, the viruses would then break down and would be non-lethal down the road.
[00:43:48.317 --> 00:43:57.599]  That's why they need to roll out the COVID-19 and the vaccine, because now they admit the COVID-19 vaccine destroys your immune system, basically giving you the equivalent of HIV.
[00:43:57.599 --> 00:43:58.659]  That's right, ladies and gentlemen.
[00:44:03.351 --> 00:44:04.632]  Jacob in Ohio.
[00:44:04.632 --> 00:44:05.012]  Welcome.
[00:44:05.012 --> 00:44:05.452]  Go ahead.
[00:44:05.452 --> 00:44:06.773]  Hey, how's it going, Alex?
[00:44:06.773 --> 00:44:07.314]  Good, brother.
[00:44:07.314 --> 00:44:08.414]  Great last caller.
[00:44:08.414 --> 00:44:11.476]  I just wanted to start with plugging your sleep supplement.
[00:44:11.476 --> 00:44:17.180]  It's basically the only way I get sleep anymore with all the gaslighting, demoralization, and absurdity.
[00:44:17.180 --> 00:44:18.761]  It's like we're living in a twilight zone.
[00:44:19.241 --> 00:44:20.963]  Alright, Eric in New Hampshire.
[00:44:20.963 --> 00:44:21.904]  Eric, thanks for calling.
[00:44:21.904 --> 00:44:22.284]  Go ahead.
[00:44:22.284 --> 00:44:23.825]  Hey Alex, thanks for taking my call.
[00:44:23.825 --> 00:44:26.848]  If I could, I just want to throw a quick plug out for one of the products.
[00:44:26.848 --> 00:44:28.510]  The X2 does wonders.
[00:44:28.510 --> 00:44:29.671]  I recommend it to everybody.
[00:44:29.671 --> 00:44:30.832]  You're on the fence about it.
[00:44:30.832 --> 00:44:31.633]  Get off the fence.
[00:44:31.633 --> 00:44:32.293]  Get the product.
[00:44:32.293 --> 00:44:33.695]  Support the Infowar.
[00:44:33.695 --> 00:44:35.016]  Tyler in Maine.
[00:44:35.016 --> 00:44:35.676]  You're on the air.
[00:44:35.676 --> 00:44:36.237]  Thanks for calling.
[00:44:36.237 --> 00:44:36.577]  Go ahead.
[00:44:36.577 --> 00:44:38.299]  Hey Alex, it's great to be on with you.
[00:44:38.299 --> 00:44:38.879]  It's an honor.
[00:44:39.880 --> 00:44:41.001]  Awesome.
[00:44:41.001 --> 00:44:44.622]  So, first thing I wanted to do is say I love the products.
[00:44:44.622 --> 00:44:46.422]  Alpha Power, even at 29.
[00:44:46.422 --> 00:44:49.183]  If you ask my better half, she loves it.
[00:44:49.183 --> 00:44:50.524]  And it helps in the bedroom.
[00:44:50.524 --> 00:44:52.105]  So, just number one for a few weeks.
[00:44:52.105 --> 00:44:53.185]  Well, it definitely works.
[00:44:53.185 --> 00:44:54.826]  It's not a joke.
[00:44:54.826 --> 00:44:55.466]  Absolutely.
[00:45:00.979 --> 00:45:09.166]  I preach about the dangers of cell phones all day long because they're supercomputers controlled by big tech that are spying on us everywhere we go and what we do.
[00:45:09.166 --> 00:45:17.932]  But because they have great cameras and great recording systems and great ways to communicate, I still have one because this Trojan horse, this Promethean Fire, has a lot of power.
[00:45:17.932 --> 00:45:24.878]  But when I'm not using it, I lock it up in a high-quality Faraday cage, a privacy pocket, at InfoWarsTore.com.
[00:45:24.878 --> 00:45:27.520]  We finally got them back in stock, the highest rated.
[00:45:27.520 --> 00:45:29.942]  They fit almost all types of Androids and iPhones.
[00:45:30.262 --> 00:45:30.422]  I think?
[00:46:00.162 --> 00:46:01.583]  We're good to go.
[00:46:22.879 --> 00:46:31.064]  This historical event will be live streamed 72 hours straight on my new platform FrankSpeech.com.
[00:46:31.064 --> 00:46:36.048]  You can help by getting everybody you know to go to FrankSpeech.com now.
[00:46:36.960 --> 00:46:47.685]  To help support this Cybersymposium event, I am offering some of the best prices ever on my pillow products, but they're only offered at FrankSpeech.com.
[00:46:47.685 --> 00:46:49.726]  Thank you and God bless.
[00:46:49.726 --> 00:46:56.188]  Go to FrankSpeech.com and enter promo code ALEX or call 800-675-4614 and use promo code ALEX.
[00:46:56.188 --> 00:46:57.989]  You're listening to the Alex Jones Show.
[00:47:23.692 --> 00:47:25.773]  Welcome back, I'm Alex Jones, your host.
[00:47:25.773 --> 00:47:31.196]  We're into the last segment of the first hour.
[00:47:31.196 --> 00:47:35.739]  And we have Chris Skye on the line with us from Canada.
[00:47:35.739 --> 00:47:40.121]  Whole other story how he's a political prisoner, how they've arrested him, how they're trying to say he can't travel.
[00:47:40.121 --> 00:47:43.863]  You got similar laws being passed in Australia and the UK.
[00:47:43.863 --> 00:47:48.966]  They're riding women down with Clydesdale horses and almost killing them if they dare go outside when they're not supposed to.
[00:47:49.750 --> 00:47:52.612]  But if you're a leftist group, you can go burn down cities.
[00:47:52.612 --> 00:47:54.794]  This is the martial law of global government.
[00:47:54.794 --> 00:47:57.055]  The martial law of the United Nations.
[00:47:57.055 --> 00:48:05.001]  And in Operation Lockstep, written by the Rockefeller Foundation, 11 years ago, they say they would use the threat of a virus for a takeover.
[00:48:05.001 --> 00:48:07.643]  And who's in control of world policy now?
[00:48:07.643 --> 00:48:11.946]  The Rockefeller Foundation directs Joe Biden and the United Nations.
[00:48:11.946 --> 00:48:15.448]  Bill Gates has been somewhat removed from command.
[00:48:15.448 --> 00:48:18.230]  Now, let's go back to Chris Sky.
[00:48:18.230 --> 00:48:19.391]  Chris, I want to point something out.
[00:48:20.143 --> 00:48:25.425]  When we talk about this a year and a half ago, or ten months ago, people go, okay, so what?
[00:48:25.425 --> 00:48:27.846]  But then when it comes true, they go, oh, this is amazing.
[00:48:27.846 --> 00:48:34.809]  You're saying what's coming next today, but I can play video clips right now of you on with us six months ago, and of me last year.
[00:48:35.783 --> 00:48:43.606]  Saying they're going to claim a new variance out, so that's why you've got to have this new booster, and they're going to say the variant came from the unvaccinated.
[00:48:43.606 --> 00:48:45.967]  It's so easy to know what they're going to do.
[00:48:45.967 --> 00:48:47.848]  So again, how do we do that?
[00:48:47.848 --> 00:48:50.489]  Because this is so incredibly premeditated.
[00:48:50.489 --> 00:49:01.293]  So finish up with what you were saying about what's coming next from your own research and their own admissions, and then how you think we can fight back against it because you got cut off by that break.
[00:49:02.441 --> 00:49:03.101]  No problem.
[00:49:03.101 --> 00:49:06.544]  So, as everybody knows, we're going back on another lockdown.
[00:49:06.544 --> 00:49:22.254]  Just like you said, the narrative is going to be over the next few weeks and few months, cases are rising, the vaccine's not working, variants are spreading, unvaccinated people are dangerous, and they're going to start calling for vaccine passports, not just for travel, but to limit the movements of these vaccinated people.
[00:49:23.294 --> 00:49:24.694]  The non-vaccinated people.
[00:49:24.694 --> 00:49:29.915]  So exactly what's going to happen in the fall is you're going to see a whole bunch of vaccinated people get sick.
[00:49:29.915 --> 00:49:32.376]  You're going to see them scream about rising cases.
[00:49:32.376 --> 00:49:35.536]  They're going to institute all the restrictions like masks and everything else.
[00:49:35.536 --> 00:49:37.577]  They're going to lock us all down again.
[00:49:37.577 --> 00:49:43.918]  And at the same time, they're going to be telling all the vaccinated people that you're sick because of these unvaccinated people.
[00:49:43.918 --> 00:49:48.639]  And that's going to get the public pretense that they need to start trying to impose restrictions
[00:49:49.119 --> 00:49:55.181]  Federally, in both countries, not just at the state or provincial level, on all the citizens.
[00:49:55.181 --> 00:49:56.401]  That's their plan.
[00:49:56.401 --> 00:49:58.421]  So why can we make it backfire?
[00:49:58.421 --> 00:49:59.522]  Simple.
[00:49:59.522 --> 00:50:03.203]  Everybody's carrot was, get the vaccine and life will go back to normal.
[00:50:03.203 --> 00:50:09.604]  And I already warned everybody that that was a lie, and they're just going to make you wear the mask and put the restrictions back on you after you've taken the jab.
[00:50:09.604 --> 00:50:15.306]  Well now, they're already telling everybody they've got to take a third jab, and maybe even a fourth jab this fall and winter.
[00:50:15.846 --> 00:50:26.395]  So, when you told these people they're going to get vaccinated, everything's going to go back to normal, and I'll come in there and say the only way out of this is united non-compliance, well, all those people that complied are going to get locked down in the winter.
[00:50:26.395 --> 00:50:31.839]  Then the government's going to have to tell them, oh, a fifth or sixth jab is going to be the thing that sets you free.
[00:50:32.339 --> 00:50:35.740]  Even the most compliant, even the most naive is not going to agree with that.
[00:50:35.740 --> 00:50:41.942]  And I've seen a massive shift in Canada in the last few months as I've been traveling around and doing my tours.
[00:50:41.942 --> 00:50:46.423]  Normally it's when I go to a freedom rally, everyone's there that knows me, they're there for me.
[00:50:46.423 --> 00:50:48.364]  So everyone knows me, everyone's excited to see me.
[00:50:48.664 --> 00:51:04.889]  Now, I can't even stand outside of a hotel for two minutes or even walk down the street without the average Canadian coming up to me enthusiastically and knowing who I am, knowing what I'm about, agreeing with me, appreciating me, and feeling the exact same way.
[00:51:04.889 --> 00:51:16.993]  We literally had a guy pull us over on the street, and I'm in Calgary, or Edmonton, sorry, driving, and we thought he was having like a road rage incident or something, but he just rolled down the window and started screaming how he has my book and how he loves us.
[00:51:17.473 --> 00:51:20.375]  And that's the kind of reception we're getting everywhere from the average Canadian.
[00:51:20.375 --> 00:51:21.376]  What does that tell you?
[00:51:21.376 --> 00:51:32.743]  It tells you that the average person, the largest demographic of Canadians, the non-voter, more than all the other parties put together, these are the people we need to engage for United Party clients.
[00:51:32.743 --> 00:51:33.303]  The silent majority.
[00:51:33.303 --> 00:51:33.923]  Exactly.
[00:51:33.923 --> 00:51:36.685]  Same thing, when you tell the story, you're not bragging, I'm not bragging.
