[00:01:09.073 --> 00:01:09.973]  Okay, welcome back.
[00:25:51.183 --> 00:25:53.465]  No, he didn't know anything!
[00:25:53.465 --> 00:25:56.267]  That's the point, isn't it?
[00:25:56.267 --> 00:25:58.929]  Look, folks, we are using science.
[00:25:58.929 --> 00:26:00.911]  We are using the facts.
[00:26:00.911 --> 00:26:02.212]  I wish this wasn't true.
[00:26:03.166 --> 00:26:04.327]  But look!
[00:26:04.327 --> 00:26:06.848]  All the evidence aside, motive!
[00:26:06.848 --> 00:26:11.350]  They would always ask in Roman times, and I cover this in the films, Q Bono!
[00:26:11.350 --> 00:26:12.491]  Or who stands?
[00:26:12.491 --> 00:26:13.431]  Who profits?
[00:26:13.431 --> 00:26:14.232]  Who gains?
[00:26:14.232 --> 00:26:15.672]  Who has a motive?
[00:26:15.672 --> 00:26:17.013]  Who gets trillions in oil?
[00:26:17.013 --> 00:26:18.954]  Who gets hundreds of billions in weapon sales?
[00:26:18.954 --> 00:26:21.715]  Who gets to invade all these countries for their oil?
[00:26:21.715 --> 00:26:24.777]  Who gets to be politically popular as a savior here in America?
[00:26:25.237 --> 00:26:27.057]  Who gets to set up a police state?
[00:26:27.057 --> 00:26:28.658]  Who gets to set up an empire?
[00:26:28.658 --> 00:26:30.698]  And it's not just that we know that's the motive.
[00:26:30.698 --> 00:26:33.559]  These bastards say it in PNAC.
[00:26:33.559 --> 00:26:35.239]  They say it in other white papers.
[00:26:35.239 --> 00:26:39.220]  They say it in Naval War College documents.
[00:26:39.220 --> 00:26:43.621]  They say it all over the place because they have to communicate with each other.
[00:26:43.621 --> 00:26:46.262]  And then he tried to say this, Jeff, the classic statement.
[00:26:47.208 --> 00:26:50.551]  Well, Mr. Jones, they couldn't keep something this big, that secret.
[00:26:50.551 --> 00:26:53.093]  Are you saying the whole government's involved?
[00:26:53.093 --> 00:26:56.936]  And I said, no, a tiny cell group is involved.
[00:26:56.936 --> 00:26:58.998]  And then he said, well, they still couldn't keep it secret.
[00:26:58.998 --> 00:27:01.200]  And I said, like they kept secret for 60 years?
[00:27:03.021 --> 00:27:14.634]  Starting in the 30s, going through the 1980s, of sterilizing 400,000 plus women and men, 33,000 of them, that's even ABC News, in secret.
[00:27:14.634 --> 00:27:17.137]  You're going to have a baby and they'd sterilize you.
[00:27:17.137 --> 00:27:23.585]  Now, black men in Tuskegee with syphilis, 13 plus hundred, high altitude, chemical, biological,
[00:27:24.185 --> 00:27:31.051]  It's ridiculous, of course!
[00:27:31.051 --> 00:27:36.196]  That's what the national security apparatus and national security state is all about!
[00:27:36.196 --> 00:27:39.739]  It's about keeping everything secret and controlling information!
[00:27:39.739 --> 00:27:49.427]  And then all these people go public, all these FBI agents, all these agents in government, all these prominent people, David Shippers, Larry Klayman, Robert Wright, they all go public.
[00:27:50.708 --> 00:27:51.209]  I think so.
[00:28:10.251 --> 00:28:10.611]  No, it's true.
[00:28:27.367 --> 00:28:32.308]  If that guy ever dares go on the radio again, I'll be surprised, especially with anybody who wants to argue with him.
[00:28:32.308 --> 00:28:33.549]  He just cleaned his clock.
[00:28:33.549 --> 00:28:37.870]  I mean, you reduced him to a quivering jello bowl, and that was it.
[00:28:37.870 --> 00:28:40.231]  After the first 30 minutes, he stopped talking.
[00:28:40.231 --> 00:28:42.051]  No, I wouldn't be surprised.
[00:28:42.051 --> 00:28:46.492]  Surprised he didn't excuse himself and leave.
[00:28:46.492 --> 00:28:47.513]  Hold on.
[00:28:47.513 --> 00:28:48.233]  We'll be right back.
