[00:00:05.911 --> 00:00:07.112]  It's Monday, April 27th.
[00:43:08.731 --> 00:43:11.415]  And then research DNA Force Plus and the types.
[00:43:24.163 --> 00:43:29.904]  This is our best-selling overall formula.
[00:43:29.904 --> 00:43:39.347]  And I've told listeners at the end of last year that we can't sell products at 50% off anymore because there's not enough markup in them to fund our operations.
[00:43:39.347 --> 00:43:48.929]  But because of what's happening and going on in the world right now, I really want everybody who hasn't used or tried or enjoyed the benefits of the AnyForce Plus
[00:43:58.203 --> 00:43:59.504]  Now that this U.N.
[00:43:59.504 --> 00:44:10.693]  global government, Shycom, Bill and Melinda Gates medical tyranny has seen how far they can push it now, we just lapped it up like poison.
[00:44:10.693 --> 00:44:15.277]  You know now they're going to launch more bio-attacks that are even more hardcore.
[00:44:15.277 --> 00:44:16.318]  This early one
[00:44:17.580 --> 00:44:20.744]  Does kill people, but see, it's a virus Bill and Melinda Gates own.
[00:44:20.744 --> 00:44:25.469]  It's a virus that's novel from others so they can give you a vaccine.
[00:44:25.469 --> 00:44:30.174]  See, a regular cold or flu virus, you really can't do a vaccine for because it's always mutating.
[00:44:30.174 --> 00:44:35.860]  But see, because this is a chimera and lab made, they can have a speciality.
[00:44:36.741 --> 00:44:38.343]  So it's a whole giant franchise.
[00:44:38.343 --> 00:44:40.105]  They get filthy rich off of it.
[00:44:40.105 --> 00:44:41.787]  They can surveil everybody.
[00:44:41.787 --> 00:44:43.549]  Everybody gets to become a suspect.
[00:44:43.549 --> 00:44:48.235]  And now when you have low numbers of death, it doesn't matter because they make a huge spectacle out of it.
[00:44:48.235 --> 00:44:52.580]  If you watch next year with the flu, it'll even be bigger as well.
[00:44:52.580 --> 00:44:55.183]  This is what they've done to us because we're a bunch of domesticated idiots.
[00:44:57.864 --> 00:45:12.691]  Hiding in plain view, Politico, the Associated Press, you name it, admit that a half a billion people, extra 500 million, are now at the subsistence starvation level on top of all the millions already starving because of the global lockdown.
[00:45:12.691 --> 00:45:21.995]  That is hundreds of times worse than all the deaths in the world caused by COVID-19 and the very people that cooked it up and gave it to the CHICOMS at the World Health Organization
[00:45:22.475 --> 00:45:29.703]  With Bill Gates involved, are now the ones running the operation to shut down society, create a depression, and forcibly inoculate everybody.
[00:45:29.703 --> 00:45:30.745]  This is insane.
[00:45:30.745 --> 00:45:33.448]  Ladies and gentlemen, if they succeed, it's over.
[00:45:33.448 --> 00:45:34.909]  You need to get prepared now.
[00:45:34.909 --> 00:45:39.435]  You need to get high-quality, storable food, now back in stock, at Infowarstore.com.
[00:45:39.435 --> 00:45:43.039]  And you need to get politically active and challenge this verbally everywhere.
[00:45:43.499 --> 00:45:49.764]  Big Tech is trying to censor everyone right now and bully people into saying you can't even challenge verbally social distancing.
[00:45:49.764 --> 00:45:51.766]  This is beyond 1984.
[00:45:51.766 --> 00:45:53.347]  The tyranny of the dual order is here.
[00:45:53.347 --> 00:45:55.789]  Get prepared now and spread the word in the Info War.
[00:45:55.789 --> 00:45:58.371]  You are the Paul Reveres!
[00:45:58.371 --> 00:46:03.455]  The America that we've known and loved, the America that was the land of the free, home of the brave, is dying right now.
[00:46:04.335 --> 00:46:11.085]  And everything our enemies are doing is about domesticating us, shutting us down, and making us dependent on them.
[00:46:11.085 --> 00:46:13.148]  The food shortages have begun.
[00:46:13.148 --> 00:46:16.073]  The depression is going to be long and very, very serious.
[00:46:16.073 --> 00:46:18.176]  In fact, it's probably too late now to even turn back.
[00:46:18.176 --> 00:46:19.217]  Trump tried to stop it.
[00:46:19.778 --> 00:46:22.319]  But the mainstream media working with the Tri-Com has blocked it.
[00:46:22.319 --> 00:46:26.841]  That's why you and myself, everybody else, has to get prepared now.
[00:46:26.841 --> 00:46:27.662]  Do not wait.
[00:46:27.662 --> 00:46:28.602]  It's not about the virus.
[00:46:28.602 --> 00:46:33.244]  It's about the economic chaos that's going to be unleashed in the next six months to a year.
[00:46:33.244 --> 00:46:36.105]  Get your high-quality, storable foods at InfoWareStore.com.
[00:46:36.105 --> 00:46:38.266]  They're available again, but for a limited time.
[00:46:38.266 --> 00:46:40.187]  The food supply is running out.
[00:46:40.187 --> 00:46:41.688]  There are major shortages.
[00:46:42.228 --> 00:46:47.133]  This is a globalist siege, a globalist lockdown, globalist terrorism.
[00:46:47.133 --> 00:46:50.396]  But we the people, the patriots, have to be prepared.
[00:46:50.396 --> 00:46:52.298]  We've already been proven right about prepping so far.
[00:46:52.298 --> 00:46:53.999]  We'll get ready to be really proven right.
[00:46:53.999 --> 00:47:00.145]  Get your storable foods now at InfoWarsTore.com.
[00:47:00.145 --> 00:47:02.768]  You're listening to the Alex Jones Show.
[00:47:21.149 --> 00:47:25.551]  The grid is going into place right now.
[00:47:25.551 --> 00:47:31.735]  And when it's completed, it will end the human species forever.
[00:47:31.735 --> 00:47:39.039]  It's a takeover, an attack, not of this world.
[00:47:39.039 --> 00:47:43.181]  All right, the crew's doing a great job, and that is not theatrics when I'm on air.
[00:47:44.691 --> 00:47:52.517]  Most people that work in government or corporations, the media, try to just do what the executives want and parrot the same loveless line.
[00:47:52.517 --> 00:47:57.181]  We built InfoWars to be independent, to be pro-truth, pro-America.
[00:47:57.181 --> 00:48:06.348]  And because of that, we've had all the guests and all the experts and really been immersed for 26 years in research and really know how things work.
[00:48:06.348 --> 00:48:11.472]  And so it's natural cause and effect or particles attracting each other
[00:48:12.469 --> 00:48:20.573]  That the military and the intelligence agencies, the White Hats, and the people in the White House do watch and listen to the show.
[00:48:20.573 --> 00:48:40.462]  And... Being connected at that level, and then connected at the level of reality that I'm at, and able to analyze everything that's going on, I have discovered things that I had a good idea were going on, but the true magnitude of it is so disgusting.
[00:48:42.099 --> 00:48:43.500]  That I become enraged.
[00:48:43.500 --> 00:48:48.284]  I mean, I've done hours of research last night, hours and hours of research today.
[00:48:48.284 --> 00:48:52.347]  I have devastating, devastating information.
[00:48:52.347 --> 00:49:02.115]  And there's so much of it that you look at it and you're like, how the hell did we allow this to happen?
[00:49:06.638 --> 00:49:17.072]  And then when you find out how real the president is and how isolated he is because of cowardice by the people around him, it's insane.
[00:49:18.103 --> 00:49:20.565]  Roger Stone advised the President, gave him good advice.
[00:49:20.565 --> 00:49:22.326]  He's facing prison.
[00:49:22.326 --> 00:49:24.888]  General Flynn advised the President, gave him good advice.
[00:49:24.888 --> 00:49:26.389]  He's facing prison.
[00:49:26.389 --> 00:49:27.650]  I gave the President good advice.
[00:49:27.650 --> 00:49:30.192]  I'm facing same thing right now, okay?
[00:49:30.192 --> 00:49:31.953]  It'll be out soon.
[00:49:31.953 --> 00:49:41.620]  That's how this works, and these people target you and they let you know, and they operate with impunity, folks, because the government is so full of cowards and social climbers.
[00:49:46.325 --> 00:49:51.850]  But I can tell you, I can look at how the tea leaves break, they're never going to get away with this.
[00:49:51.850 --> 00:49:55.012]  Now that people are awake, it's just going to be a disaster.
[00:49:55.012 --> 00:49:58.775]  It's going to be a train wreck.
[00:49:58.775 --> 00:50:00.717]  This is beyond a Mexican standoff.
[00:50:00.717 --> 00:50:05.100]  And I've got will to fight and will to stand up and will to speak out.
[00:50:05.100 --> 00:50:06.502]  I have plenty of courage.
[00:50:06.502 --> 00:50:13.387]  But at the same time, it's very demoralizing to see how far our country's fallen.
[00:50:13.387 --> 00:50:15.049]  Because it should be so easy to beat this.
[00:50:16.417 --> 00:50:24.381]  If this country had Backbone, and if the average person didn't live in a fantasy world.
[00:50:24.381 --> 00:50:25.301]  And you know, that's really it.
[00:50:25.301 --> 00:50:28.723]  As more people wake up, the globalists know their time is over.
[00:50:28.723 --> 00:50:29.943]  Let me do this.
[00:50:29.943 --> 00:50:31.904]  I'm going to re-grip, because I was so loaded for Bear.
[00:50:31.904 --> 00:50:34.245]  We did a great job the first 30 minutes, then I went sideways.
[00:50:34.245 --> 00:50:38.267]  We've been airing some incredible reports, though.
[00:50:38.267 --> 00:50:43.210]  I never air the same report in the same hour.
[00:50:44.775 --> 00:50:46.216]  But I might do it right now.
[00:50:46.216 --> 00:50:49.157]  This John Bowne report is as good as anything I've ever seen.
[00:50:49.157 --> 00:50:51.038]  It's so dead on.
[00:50:51.038 --> 00:50:53.419]  The Globalist Guide to Crushing the United States.
[00:50:53.419 --> 00:50:55.060]  That's the name of the live feed today, too.
[00:50:55.060 --> 00:51:01.023]  But under the live feed of the show at Infowars.com is that video he put together, that report.
[00:51:01.023 --> 00:51:06.045]  And watching that this morning and then watching it again when we aired it, I just...
[00:51:09.201 --> 00:51:17.564]  My brain just shut off and said, this isn't talking information, this is fighting information.
[00:51:17.564 --> 00:51:26.868]  And then Bill Gates prancing around, saying that we're never reopen and all of this crap.
[00:51:26.868 --> 00:51:34.631]  And then knowing that they coded this virus to come up false positive with anybody that ever had a cold in the last couple of years.
[00:51:34.631 --> 00:51:36.792]  You have the genetic material of that fight.
[00:51:37.774 --> 00:51:43.537]  In you that they could then say everyone suspect they needed a virus that infects everyone.
[00:51:43.537 --> 00:51:50.381]  And yes, they've got some varieties of it that do come back and do attack the brain and the testicles, not just the lungs.
[00:51:50.381 --> 00:51:56.504]  So there's a twist to COVID because now they did the drill locking us down with a weaker version.
[00:51:56.504 --> 00:52:00.226]  They're already releasing stronger versions, but they're gauging it.
[00:52:00.226 --> 00:52:01.706]  It's all scientific test.
[00:52:01.706 --> 00:52:04.448]  We're all in a big planetary laboratory.
[00:52:04.448 --> 00:52:06.429]  And now as it fully comes into view,
[00:52:10.370 --> 00:52:14.512]  And how it does tie in with the electromagnetic radiation, it's just unbelievable!
[00:52:14.512 --> 00:52:21.817]  I mean, I am grieving every millisecond right now, and I've never been guilty I had children.
[00:52:21.817 --> 00:52:38.707]  Because I knew that, you know, it's double down on things, trust in God, and I do trust in God, but I just look at how many truly evil people there are, and it just blows my mind that our species is so turned over to destructive impulses.
[00:52:40.131 --> 00:52:44.353]  But I'm going to do this now because I've got to worry about the future and keeping us here on air.
[00:52:44.353 --> 00:52:47.055]  Plus, we've got products you really need.
[00:52:47.055 --> 00:52:50.817]  If you don't get swearable food now, you're completely insane.
[00:52:50.817 --> 00:52:52.698]  The New World Order wants to make you dependent.
[00:52:52.698 --> 00:52:54.639]  They want to shut down food production.
[00:52:54.639 --> 00:52:59.402]  It's already out in the news that food production is breaking down across the board.
[00:52:59.402 --> 00:53:00.963]  The food supply chain is breaking.
[00:53:00.963 --> 00:53:03.184]  Tyson says it has plants closed.
[00:53:03.184 --> 00:53:05.085]  I mean, it's everywhere.
[00:53:05.085 --> 00:53:06.706]  The pension funds are going to go belly up.
[00:53:06.706 --> 00:53:08.046]  The states are going to go belly up.
[00:53:09.427 --> 00:53:11.971]  The it's all going down by design.
[00:53:11.971 --> 00:53:13.012]  This is the new older takeover.
[00:53:13.012 --> 00:53:21.964]  They were always planning it, but now they're launching it ahead of schedule because of our counter strike with nationalists like Balasaro and Trump and the Brexit.
[00:53:21.964 --> 00:53:27.371]  I mean, we've been winning the battles lately, so they've launched their full counter strike and.
[00:53:29.713 --> 00:53:30.454]  It's symbiotic.
[00:53:30.454 --> 00:53:33.998]  We need money to stay on air, and you're insane if you don't have terrible food.
[00:53:33.998 --> 00:53:40.304]  And we've got the highest quality that's actually got it in stock, packaging it and getting it out to you, because that's who I go and who I get.
[00:53:41.187 --> 00:53:43.548]  But I gotta tell you, they're getting so many orders, they may have to pause orders.
[00:53:43.548 --> 00:53:46.810]  If your order's been made, you're gonna get it when they say.
[00:53:46.810 --> 00:53:55.693]  But if you wait, they're gonna pause orders, they told me as early as next weekend, if the insane orders keep flooding in, as people figure out what's going on.
[00:53:55.693 --> 00:53:58.515]  Because you get this food so much more inexpensively than you get at the grocery store.
[00:53:58.515 --> 00:54:03.497]  Because your issue's not gonna be the next six weeks, next six, you know, months even.
[00:54:03.497 --> 00:54:05.998]  It's gonna be when this depression totally deepens,
[00:54:06.918 --> 00:54:21.651]  After the election, whether Trump wins or Trump loses, the globalists are continuing their plan and they're going to have next year's season of COVID-19 that's going to be, I predict, super horrible and absolutely real, because they want to kill people.
[00:54:21.651 --> 00:54:29.779]  But they want you to see the people doing it as the authorities, as the good guys, as the saviors, and have it all cut and dry that it came out of some bat soup facility.
[00:54:30.939 --> 00:54:41.164]  At a wet market, and not out of Chapel Hill, North Carolina, via Obama, to Wuhan, China, and back to us, as is all coming out.
[00:54:41.164 --> 00:54:42.285]  The good news is, U.S.
[00:54:42.285 --> 00:54:44.586]  intelligence, a lot of other groups are coming out and saying this.
[00:54:44.586 --> 00:54:45.667]  Lord Monckton's on later.
[00:54:45.667 --> 00:54:53.051]  He says it's a deliberate crime against humanity, a mass bio-attack to bring down the whole system and starve billions total in the aggregate.
[00:54:53.051 --> 00:54:53.371]  The U.N.
[00:54:53.371 --> 00:54:55.452]  says 30 million extra starving to death right now.
[00:54:55.452 --> 00:54:56.913]  I mean, this is so damn real.
[00:54:58.931 --> 00:55:02.834]  And so the fight inside of me wants to stay in place, stay on air, and fight this.
[00:55:02.834 --> 00:55:10.058]  And I don't think it's a lost cause yet, but I'm just here to tell you, I've never personally been making a lot of defensive measures.
[00:55:10.058 --> 00:55:11.339]  I am now.
[00:55:11.339 --> 00:55:18.264]  And having to really understand the long, dark winter's probably coming, like it did for those babies that got chopped up in their mother's wombs.
[00:55:18.264 --> 00:55:21.826]  And it's just so damn sad that we had a chance to turn this around.
[00:55:21.826 --> 00:55:25.089]  We may just be so weak that all hell's gonna break loose.
[00:55:25.089 --> 00:55:28.111]  And the very criminals that launch it will be our saviors.
[00:55:28.991 --> 00:55:33.358]  Come hunt us down and inject us with bioweapons and laugh at us while we slowly die.
[00:55:33.358 --> 00:55:37.504]  But again, InfoWarsTore.com, get restorable food now while you still can.
[00:55:37.504 --> 00:55:44.415]  All the idiots that have signed on to the system, that believe the system loves them, that believe the global system's good, you're idiots, you're fools.
[00:55:45.179 --> 00:55:47.680]  You have no idea what you're dealing with.
[00:55:47.680 --> 00:55:50.922]  Separately, X2's been sold out for a month and a half.
[00:55:50.922 --> 00:55:52.863]  High quality, dirt birth, crystal iodine.
[00:55:52.863 --> 00:55:54.865]  Nobody's got it of this purity or quality.
[00:55:54.865 --> 00:55:56.025]  It's been sold out.
[00:55:56.025 --> 00:55:57.626]  It's back in stock.
[00:55:57.626 --> 00:56:00.628]  Who knows, if they shut the whole economy down, maybe the last time you can ever get it.
[00:56:00.968 --> 00:56:03.929]  I would suggest any supplements you want from InfoWareStore.com.
[00:56:03.929 --> 00:56:05.970]  It's not like the food that takes a while to package and ship.
[00:56:05.970 --> 00:56:07.390]  It ships next day.
[00:56:07.390 --> 00:56:08.450]  InfoWareStore.com.
[00:56:08.450 --> 00:56:09.271]  Get your X2.
[00:56:09.271 --> 00:56:12.291]  The globals want you debilitated, dumb, starving to death.
[00:56:12.291 --> 00:56:13.752]  I want you free and empowered.
[00:56:13.752 --> 00:56:15.272]  And there's nothing like X2.
[00:56:15.272 --> 00:56:20.334]  And X3 is excellent as well to build that basic building block of your body's natural defenses.
[00:56:20.334 --> 00:56:22.695]  But it's essential, meaning it's essential.
[00:56:22.695 --> 00:56:23.735]  InfoWareStore.com.
[00:56:25.550 --> 00:56:38.553]  This is selling out, but we still have it 50% off when you get the Trio Pack, 25% off when you get it individually, and it's a natural organic hand sanitizer with a proprietary spray top with the organic essential oils.
[00:56:38.553 --> 00:56:39.713]  I love eucalyptus myself.
[00:56:39.713 --> 00:56:42.274]  We've got it in peppermint and lavender.
[00:56:42.274 --> 00:56:44.695]  I personally like to put a little bit on my face with the spray at your face.
[00:56:44.695 --> 00:56:47.755]  It's got the alcohol in it, but rub it in your hands.
[00:56:47.755 --> 00:56:50.156]  I like to, very refreshing, opens up the sinuses.
[00:56:51.260 --> 00:56:54.084]  That funds our operation, so it comes down to that.
[00:56:54.084 --> 00:56:59.130]  We've also got the new 5G Kills t-shirts in as the 5G kill grid goes in.
[00:56:59.130 --> 00:57:02.153]  If you want to fight back via the third dimension with that.
[00:57:03.365 --> 00:57:05.006]  Again, InfoWarsTore.com or 888-253-3139.
[00:57:23.317 --> 00:57:23.597]  We're good.
[00:57:47.711 --> 00:57:53.876]  Well, Communist China wouldn't sign on to the carbon taxes that would cut their energy use by half.
[00:57:53.876 --> 00:57:56.118]  And the United States wouldn't sign on to it.
[00:57:56.118 --> 00:57:57.279]  So guess what happened?
[00:57:57.279 --> 00:58:04.365]  Along came COVID-19 and Bill Gates is celebrating, saying it's already cut your carbon footprint by half.
[00:58:04.365 --> 00:58:07.728]  And that means you're going to be poor now and under his control.
[00:58:07.728 --> 00:58:08.329]  And of course,
[00:58:08.749 --> 00:58:15.699]  With the medical tyranny comes the forced inoculations, a eek microchip that comes with the vaccine, and so much more.
[00:58:15.699 --> 00:58:20.706]  And Bill Gates admits that 700,000 people will get sick and die from it.
[00:58:20.706 --> 00:58:25.252]  So remember folks, they're coming to hurt you and your family and destroy your basic rights.
[00:58:25.612 --> 00:58:27.293]  Serving with InfoWars is a great honor.
[00:58:27.293 --> 00:58:28.693]  But I still need my morning coffee.
[00:58:54.457 --> 00:59:03.842]  And luckily, our break room at the InfoWars headquarters is stocked full of high-quality InfoWars store Patriot Blend coffee.
[00:59:03.842 --> 00:59:15.488]  Grown in the high mountains of southern Mexico, the Chiapas farmers grow 100% organic, non-GMO coffee at the ideal altitude for the perfect cup.
[00:59:15.488 --> 00:59:19.690]  A robust coffee with great flavor and mild acidity.
[00:59:20.610 --> 00:59:24.633]  There has never been a more important time to support InfoWars.
[00:59:24.633 --> 00:59:31.538]  So if you love coffee and if you want to fight for freedom, then you can help.
[00:59:31.538 --> 00:59:34.460]  Order now at the InfoWars store.
[00:59:34.460 --> 00:59:44.266]  Sign up for auto-ship and get your own high-quality supply of Patriot Blend coffee delivered right to your door at InfoWarsStore.com.
[00:59:51.169 --> 01:00:00.973]  You're listening to the Alex Jones Show.
[01:00:00.973 --> 01:00:10.737]  Imagine if you were alive when Hitler was killing tens of millions of people.
[01:00:10.737 --> 01:00:13.798]  Russians, Poles, Jews, Germans, you name it.
[01:00:13.798 --> 01:00:14.799]  Imagine if you were alive.
[01:00:14.799 --> 01:00:15.559]  Many of you were.
[01:00:15.559 --> 01:00:19.441]  When Mao Zedong was killing 85 million of his own people, he admitted
[01:00:20.629 --> 01:00:24.711]  By the 1970s, from 1949 to then.
[01:00:24.711 --> 01:00:27.552]  We have a time to change this now.
[01:00:27.552 --> 01:00:30.834]  The globalists are launching their attack.
[01:00:30.834 --> 01:00:32.074]  They've been caught red-handed.
[01:00:32.074 --> 01:00:34.015]  They didn't even cover their tracks.
[01:00:34.015 --> 01:00:36.196]  They were so desperate in doing this.
[01:00:36.196 --> 01:00:37.637]  Burt Monckton joins us in an hour.
[01:00:37.637 --> 01:00:40.598]  Kill to tell, a real human death toll.
[01:00:40.598 --> 01:00:44.520]  But if you don't empathize with the 30 million people starving to death right now,
[01:00:45.831 --> 01:00:48.414]  That's triple what it would have been, currently.
[01:00:48.414 --> 01:00:51.918]  10 million is still unacceptable, then you have no empathy and you're insane.
[01:00:51.918 --> 01:00:53.279]  I know you care.
[01:00:53.279 --> 01:00:54.581]  Here's a special report from Jon Bowne.
[01:00:55.626 --> 01:01:01.249]  If you are a globalist technocrat, I wish I could say that we're halfway through, but I don't think so.
[01:01:01.249 --> 01:01:03.291]  It takes time to make a vaccine.
[01:01:03.291 --> 01:01:06.052]  There's a lot about the disease we don't understand.
[01:01:06.052 --> 01:01:12.056]  We know that we can get out of this, but it's going to be a while before things go back to normal.
[01:01:12.056 --> 01:01:12.836]  Media stew.
[01:01:12.836 --> 01:01:18.139]  But I don't want to hear from those people who are out there protesting with guns, right?
[01:01:18.139 --> 01:01:20.361]  And that is threatening, a threatening look for people.
[01:01:20.361 --> 01:01:21.882]  You're protesting with guns.
[01:01:21.882 --> 01:01:22.182]  Don't
[01:01:22.702 --> 01:01:28.086]  Don't criticize people who are taking a knee for at a ball game and entertainment.
[01:01:28.086 --> 01:01:30.228]  They say, I don't want people protesting at a ball game.
[01:01:30.228 --> 01:01:33.331]  When people who are peacefully protesting, don't give me that!
[01:01:33.331 --> 01:01:37.394]  When you're out there protesting with guns and saying, I want to get back to work!
[01:01:37.394 --> 01:01:38.395]  I want my liberty!
[01:01:38.395 --> 01:01:41.337]  Even a low-level power-mad politician.
[01:01:41.337 --> 01:01:45.701]  Untold numbers who gassed up on the way here or grabbed a bite on the way home.
[01:01:46.710 --> 01:01:51.052]  We know that this rally endangered people.
[01:01:51.052 --> 01:02:02.277]  Reveling in the prospect of order out of chaos, how can you do your part to assist in the demise of an entire country on forced lockdown due to the Chinese Controla virus?
[01:02:02.597 --> 01:02:04.038]  Well, this is a good start.
[01:02:04.038 --> 01:02:06.999]  First, you have to separate yourself from the chaff.
[01:02:06.999 --> 01:02:18.665]  As Greenwich Time reported, set in the director's office of the 270-acre Les Pars de Saint-Tropez, where LVMH Luxury Group Chairman Bernard Alnott, Ritz-Paris owner,
[01:02:18.885 --> 01:02:24.447]  Mohammed Al-Fayed and Indian steel magnate Lakshima Mittal have palatial villas.
[01:02:24.447 --> 01:02:31.269]  The medical unit is staffed with a doctor and lab technician to take and process samples from residents and their friends.
[01:02:31.269 --> 01:02:36.751]  And if you live in the Hamptons, you can have a doctor come to your house for just $1,000 a visit.
[01:02:36.751 --> 01:02:42.433]  As millions of average Americans lose their jobs, the billionaire class benefits.
[01:02:42.433 --> 01:02:43.994]  As Fast Company reported,
[01:02:44.494 --> 01:02:53.161]  Though the coronavirus itself may not discriminate in terms of who can be infected, the COVID-19 pandemic is far from a great equalizer.
[01:02:53.161 --> 01:03:06.792]  In the same month that 22 million Americans lost their jobs, the American billionaire class' total wealth increased by about 10%, or $282 billion more than it was at the beginning of March.
[01:03:06.792 --> 01:03:10.014]  They now have a combined net worth of $3.23 trillion.
[01:03:12.136 --> 01:03:17.817]  Of course, the populace must be controlled and culled, as was written on the Georgia Guidestones.
[01:03:17.817 --> 01:03:28.500]  Silicon Valley will continue to do its part to censor any dissent while using their digital herding platforms to monitor every life choice that the imprisoned populace makes.
[01:03:28.500 --> 01:03:37.442]  While the 5G grid rolls out and low-atmosphere satellites are positioned to aid in the Bill Gates' Mark of the Beast mandatory vaccination scenario,
[01:03:37.762 --> 01:03:52.375]  One way or another, everyone will be forced to submit their individuality to the Panopticon, and those that don't will become societal pariahs that will be cut off from the state, whether if it's by a chip under the skin or a tattoo on top of it.
[01:03:52.375 --> 01:03:58.640]  As Science Alert reported, for the people overseeing nationwide vaccination initiatives in developing countries,
[01:03:58.860 --> 01:04:03.282]  Keeping track of who had which vaccination and when can be a tough task.
[01:04:03.282 --> 01:04:06.263]  Researchers from MIT might have a solution.
[01:04:06.263 --> 01:04:16.048]  They've created an ink that can be safely embedded in the skin alongside the vaccine itself, and it's only visible using a special smartphone camera app and filter.
[01:04:16.628 --> 01:04:18.989]  Or we could just give them all chips in the head.
[01:04:18.989 --> 01:04:24.391]  Of course, it's key that currency becomes digital, as China is doing, working with U.S.
[01:04:24.391 --> 01:04:25.451]  multinationals.
[01:04:25.451 --> 01:04:37.295]  As Forbes reports, China, the country that banned initial coin offerings and made it tough for Bitcoin to operate, has been tossing around the idea to build its own digital currency, and some U.S.
[01:04:37.295 --> 01:04:42.997]  multinationals are reportedly willing to help roll it out, the South China Morning Post reported.
[01:04:43.337 --> 01:05:00.988]  Many American politicians will do their due diligence after being paid off by foreign entities to ignore the very laws of their land, as California is doing, for example, as Jamie White reported... What are champions made of?
[01:05:00.988 --> 01:05:02.129]  Here's a man who can show you.
[01:05:08.695 --> 01:05:10.276]  AAA-253-3139, AAA-253-3139, AAA-253-3139, is the InfoWars store hotline!
[01:05:10.276 --> 01:05:12.136]  AAA-253-3139, AAA-253-3139, AAA-253-3139, is the InfoWars store hotline!
[01:05:12.136 --> 01:05:13.477]  AAA-253-3139, is the InfoWars store hotline!
[01:05:13.477 --> 01:05:14.777]  AAA-253-3139, is the InfoWars store... FAKE!
[01:05:14.777 --> 01:05:15.898]  AAA-253-3139, is the InfoWars store hotline!
[01:05:15.898 --> 01:05:17.198]  AAA-253-3139, is the InfoWars store...
[01:05:34.884 --> 01:05:38.345]  InfoWarsStore.com is simply the best.
[01:05:38.345 --> 01:05:41.386]  InfoWarsStore.com beats out all the rest.
[01:05:41.386 --> 01:05:42.766]  888-233-139, 888-233-139, 888-233-139 is the InfoWarsStore hotline.
[01:05:42.766 --> 01:05:43.006]  888-233-139, 888-233-139, 888-233-139.
[01:05:43.006 --> 01:05:43.886]  That's InfoWarsStore.com.
[01:06:07.492 --> 01:06:15.339]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[01:06:15.339 --> 01:06:25.328]  The open assault on free humanity, the fact that it's public, the globalist NIH under Obama, Fauci, and Hillary Clinton developed COVID-19.
[01:06:27.802 --> 01:06:29.143]  Coronavirus.
[01:06:29.143 --> 01:06:30.463]  Chimeras.
[01:06:30.463 --> 01:06:32.604]  Sent it to Wuhan.
[01:06:32.604 --> 01:06:38.367]  Then deployed kits that had it infected on it so it would spread it.
[01:06:38.367 --> 01:06:42.289]  Blocked Trump from blocking the flights.
[01:06:42.289 --> 01:06:46.311]  Then turned around and said, we've got to lock everything down to save everybody for two weeks.
[01:06:46.311 --> 01:06:49.492]  We knew it would be a year and a half.
[01:06:49.492 --> 01:06:54.215]  Then they said, oh, we're never going to unlock you again, even though Communist China
[01:06:55.595 --> 01:06:57.235]  Was open for business.
[01:06:57.235 --> 01:07:07.457]  This has all been a giant coming out party for tyrants and all of their agendas being pushed.
[01:07:07.457 --> 01:07:14.058]  And then President Trump last Thursday gives a press conference.
[01:07:14.058 --> 01:07:17.979]  And he says, I've heard there's UV light they can put down on the body.
[01:07:17.979 --> 01:07:19.159]  And also disinfectants.
[01:07:19.159 --> 01:07:21.600]  He means zinc and vitamin C into the blood.
[01:07:21.600 --> 01:07:23.080]  Europe's doing that with incredible results.
[01:07:24.224 --> 01:07:39.771]  For anybody run down, say, or sick, they need zinc and vitamin C. And he looks at the doctors, Fauci and others, all on the Bill Gates payroll, and they don't defend him.
[01:07:39.771 --> 01:07:43.793]  And then the internet goes, well, wait a minute, here's zinc, here's vitamin C, here's the major studies.
[01:07:43.793 --> 01:07:45.974]  Hey, here's cedars-sinai.
[01:07:48.063 --> 01:08:08.931]  In the last few months saying they're testing it out and it's working great, putting this cleaned up light, doesn't have UV in it so it doesn't hurt you, that's a side effect, can burn your cells, because it burns viruses too, and bacteria, into the body, down into the bronchioles, into the lungs, can roll some of that beer on.
[01:08:08.931 --> 01:08:14.734]  And they then don't just attack the President and say he's a liar,
[01:08:16.280 --> 01:08:33.865]  They take it off YouTube, then they take it off Twitter and call it dangerous disinformation when Cedars-Sinai, other than maybe Mayo Clinic or John Hopkins, is the number one hospital and research hospital in the United States.
[01:08:33.865 --> 01:08:40.027]  Some argue the world.
[01:08:40.027 --> 01:08:41.928]  Where does Sumner Redstone get his healthcare?
[01:08:41.928 --> 01:08:42.508]  Cedars-Sinai.
[01:08:47.025 --> 01:08:48.788]  Where do people like Bill Gates get it?
[01:08:48.788 --> 01:08:49.569]  Cedars-Sinai.
[01:08:49.569 --> 01:08:51.653]  I looked it up.
[01:08:51.653 --> 01:08:58.283]  Bill Gates has a house in LA, just so you go to the hospital there, and one in San Diego.
[01:08:58.283 --> 01:09:01.649]  So the number one research facility in the US, arguably,
[01:09:03.660 --> 01:09:06.762]  He is not allowed to put a video out or talk to the president.
[01:09:06.762 --> 01:09:08.583]  Because you see, the globalists are scared.
[01:09:08.583 --> 01:09:09.984]  Trump's really the president.
[01:09:09.984 --> 01:09:14.848]  So he gets briefings, he has a secret service go around the rallies with boxes of what people hand them.
[01:09:14.848 --> 01:09:22.453]  And he demands it on overseas flights, sometimes 15 hours to, say, Japan from DC.
