[00:00.000 --> 00:16.640]  Defending the Republic from enemies, foreign, and domestic, it's Alex Jones.
[41:10.640 --> 41:14.640]  has to shut down or be part of a large corporate conglomerate.
[41:14.640 --> 41:20.640]  That's part of making us obsolete so that as the human world is phased out,
[41:20.640 --> 41:24.640]  they can simply look at us and say, because again, you are non-essential.
[41:24.640 --> 41:27.640]  That's what the robots and all of this is about.
[41:27.640 --> 41:31.640]  It's about setting it up where we're no longer in charge of our lives.
[41:31.640 --> 41:35.640]  We can be told to stay on our houses, and after all, shut up.
[41:35.640 --> 41:37.640]  This world doesn't belong to people anyways.
[41:37.640 --> 41:41.640]  It belongs to the new AI gods, the rich elitists that have merged with machines.
[41:41.640 --> 41:44.640]  Yeah, that sounds completely insane, doesn't it?
[41:44.640 --> 41:47.640]  That's actually the public plan they're pushing.
[41:47.640 --> 41:52.640]  These people are completely psychotic and make Hitler look like a choir boy.
[42:18.640 --> 42:23.640]  Well, ladies and gentlemen, this is the death of the Third World and the collapse of the First World.
[42:23.640 --> 42:29.640]  This is 21st century warfare carried out by the globalists, and they admit they've orchestrated it.
[42:29.640 --> 42:34.640]  They admit it's, quote, good to save the earth, and they're teaching us to be more frugal,
[42:34.640 --> 42:39.640]  and they want to make us poor so they can dictate our surrender to this post-human technocracy.
[42:39.640 --> 42:43.640]  I know all this sounds insane when I was talking about it 25 years ago,
[42:43.640 --> 42:47.640]  but now it's public because it's their operations manual.
[42:47.640 --> 42:52.640]  I wish this wasn't the case, but they're really our evil psychopaths in control of most major institutions,
[42:52.640 --> 42:54.640]  and we've got to stop them.
[42:54.640 --> 42:59.640]  The America that we've known and loved, the America that was the land of the free home of the brave,
[42:59.640 --> 43:05.640]  is dying right now, and everything our enemies are doing is about domesticating us,
[43:05.640 --> 43:07.640]  shutting us down and making us dependent on them.
[43:07.640 --> 43:12.640]  The food shortages have begun, the depression is going to be long and very, very serious.
[43:12.640 --> 43:14.640]  In fact, it's probably too late now to even turn back.
[43:14.640 --> 43:18.640]  Trump tried to stop it, but the mainstream media working with the tricoms blocked it.
[43:18.640 --> 43:23.640]  That's why you and myself, everybody else, has to get prepared now.
[43:23.640 --> 43:29.640]  Do not wait. It's not about the virus. It's about the economic chaos that's going to be unleashed in the next six months to a year.
[43:29.640 --> 43:31.640]  Get your high-quality, swarble foods.
[43:31.640 --> 43:34.640]  And in FullWareShore.com, they're available again before a limited time.
[43:34.640 --> 43:38.640]  The food supply is running out. There are major shortages.
[43:38.640 --> 43:43.640]  This is a globalist siege, a globalist lockdown, globalist terrorism.
[43:43.640 --> 43:46.640]  But we the people, the patriots, have to be prepared.
[43:46.640 --> 43:48.640]  We've already been proven right about prepping so far.
[43:48.640 --> 43:50.640]  We'll get ready to be really proven right.
[43:50.640 --> 44:14.640]  Get your swarble foods now at FullWareShore.com.
[44:20.640 --> 44:38.640]  Resistance to tyrants is obedience to God. It's Alex Jones.
[44:38.640 --> 44:42.640]  Now, we've got James O'Keefe coming up at the bottom of the next hour.
[44:42.640 --> 44:45.640]  It's Dr. Steve Pachennick, Dr. Nick Baggins, and others.
[44:45.640 --> 44:50.640]  But Ivan Raiklin's a really smart guy. We need to get him an external microphone
[44:50.640 --> 44:53.640]  so he might be in the room with us here when he's on Skype.
[44:53.640 --> 44:56.640]  But his audio is okay, but the point he's making are really important.
[44:56.640 --> 44:58.640]  We're going to go back to him here in just a moment.
[44:58.640 --> 45:01.640]  I'm at the whole General Flynn thing, but let me just remind listeners briefly.
[45:01.640 --> 45:05.640]  The only reason we're still here on air, despite all the DNC lawsuits and the attacks
[45:05.640 --> 45:09.640]  and all sorts of other stuff they have going on behind the scenes,
[45:09.640 --> 45:11.640]  is because of your financial support.
[45:11.640 --> 45:13.640]  We make it easy to support us.
[45:13.640 --> 45:16.640]  We have the very best grill oil you're going to find anywhere.
[45:16.640 --> 45:20.640]  This is the highest grade that we could possibly find out there,
[45:20.640 --> 45:23.640]  and it's at a very good price, and it's 50% off right now.
[45:23.640 --> 45:26.640]  It's very, very popular, and the level of D3 in this
[45:26.640 --> 45:29.640]  and other essential fatty acids is over the top.
[45:29.640 --> 45:33.640]  For adults, for children, for you name it, it really is next level.
[45:33.640 --> 45:39.640]  We also have the three different scents of essential oil in eucalyptus,
[45:39.640 --> 45:45.640]  peppermint, and of course, in lavender, and it's organic essential oil,
[45:45.640 --> 45:48.640]  and it's the organic alcohol, and that way it doesn't dry your hands out,
[45:48.640 --> 45:52.640]  which I just use on a regular basis, not for the stupid COVID-19 thing,
[45:52.640 --> 45:57.640]  but just on a general basis to desanitize and clean my hands up when I can't wash them
[45:57.640 --> 46:00.640]  or I'm out on the road or out taking care of business.
[46:00.640 --> 46:05.640]  Also, we have back in stock DNA Force Plus that has PQQ and CoQ10.
[46:05.640 --> 46:07.640]  If you don't know what that does to your cells,
[46:07.640 --> 46:11.640]  how it cleans out your mitochondria, how it actually helps grow new, healthier cells,
[46:11.640 --> 46:15.640]  how it makes telomeres last longer, doesn't make your telomeres grow,
[46:15.640 --> 46:19.640]  makes telomeres last longer, which is the same thing, basically.
[46:19.640 --> 46:23.640]  They don't get longer, they just shrink slower, which is the same thing,
[46:23.640 --> 46:25.640]  and it's a great formula, a very strong formula.
[46:25.640 --> 46:28.640]  It has a lot of other things that boosts those and help get into your cells.
[46:28.640 --> 46:30.640]  DNA Force Plus is something everybody should be taking,
[46:30.640 --> 46:34.640]  and it funds this operation infowarstore.com.
[46:34.640 --> 46:39.640]  We also have back in stock Ultra 12, very high-quality vitamin B12 taken out of the tongue.
[46:39.640 --> 46:42.640]  It's 50% off, and I don't normally do 50% off.
[46:42.640 --> 46:47.640]  I wasn't going to do it this year because that's so close to our breakeven on some of the products on others.
[46:47.640 --> 46:49.640]  We only make like 50%, 100% on that.
[46:49.640 --> 46:52.640]  That sounds like a lot with the overhead, with the bandwidth.
[46:52.640 --> 46:55.640]  It's very expensive for on this operation.
[46:55.640 --> 46:58.640]  We have our own video streams, we have our own audio files.
[46:58.640 --> 47:04.640]  We've seen a five-fold increase the last four months of the traffic to band.video,
[47:04.640 --> 47:07.640]  but the bills have been exponential, and so I'm not complaining,
[47:07.640 --> 47:09.640]  but you've seen the outages the last week.
[47:09.640 --> 47:12.640]  That wasn't sabotage, that was the company we used.
[47:12.640 --> 47:13.640]  It's a big one.
[47:13.640 --> 47:18.640]  Does not have servers big enough because it delivers to the servers and goes out to the cloud,
[47:18.640 --> 47:21.640]  but you still got to have a certain type of server that distributes that.
[47:21.640 --> 47:24.640]  We're having to upgrade even more expensive systems as we speak.
[47:24.640 --> 47:27.640]  I just pulled the trigger yesterday on systems that cost three times more.
[47:27.640 --> 47:31.640]  So that's why our success demands the funding.
[47:31.640 --> 47:37.640]  So get products you need, help get the word out and fund the Second American Revolution.
[47:37.640 --> 47:39.640]  Now more than ever, it is so critical.
[47:39.640 --> 47:42.640]  Now, going back to Ivan Reiklin.
[47:42.640 --> 47:45.640]  Ivan, you're making some really great points about Trump, General Flynn,
[47:45.640 --> 47:50.640]  everybody about to go on the offensive, the different camps inside U.S. intelligence agencies,
[47:50.640 --> 47:52.640]  the average person in the U.S. intelligence.
[47:52.640 --> 47:56.640]  You see how it says, a good patriotic American, but the bad guys up on top,
[47:56.640 --> 47:58.640]  clearly a civil war inside the government.
[47:58.640 --> 48:01.640]  The first year and a half, Trump fighting for his political life.
[48:01.640 --> 48:06.640]  Now he's beginning, if he can stay in office, past this next 178 days to go on the offense.
[48:06.640 --> 48:10.640]  What does offense look like?
[48:10.640 --> 48:17.640]  The offense looks like the first thing is, it was yesterday, the transition.
[48:17.640 --> 48:23.640]  Offense is going to transition into the legal filings that should be occurring with John Durham,
[48:23.640 --> 48:26.640]  the U.S. attorney based out of, I believe, Connecticut.
[48:26.640 --> 48:32.640]  And I would expect that in the next week, next week, yeah, probably next week would be the earliest,
[48:32.640 --> 48:41.640]  where you will start seeing criminal referrals and then criminal indictments on folks like Andrew McCabe,
[48:41.640 --> 48:49.640]  James Comey, Peter Scrock, potentially Lisa Page, and then it's going to escalate from there.
[48:49.640 --> 48:54.640]  That's probably the initial phase of the offensive operation.
[48:54.640 --> 48:59.640]  Now, for folks that don't know, we've been hearing two weeks forever the last few years,
[48:59.640 --> 49:04.640]  but now with the election coming up, with Durham's investigation, Durham has come out and said,
[49:04.640 --> 49:08.640]  we believe we have material for indictments, but we're still investigating.
[49:08.640 --> 49:12.640]  With a statement like that, I mean, he pretty much has to indict,
[49:12.640 --> 49:15.640]  especially with all these documents that have come out.
[49:15.640 --> 49:20.640]  Right, there's so many documents coming out. We still don't know all of the documents that were uncovered
[49:20.640 --> 49:26.640]  by the Eastern District of Missouri attorney that was assigned by Attorney General Barr to go ahead and review the Flint case.
[49:26.640 --> 49:32.640]  The initial documents came out, and then as those documents start to come out into the public light,
[49:32.640 --> 49:37.640]  there will be political pressure as well as the pressure for the American public.
[49:37.640 --> 49:43.640]  Once we start to learn what are in those documents, that's even worse than what we've seen.
[49:43.640 --> 49:47.640]  And depending on how those prosecutions go,
[49:47.640 --> 49:51.640]  again, once you prosecute someone, there's something called discovery,
[49:51.640 --> 49:59.640]  and it's going to open up even more risk to those players that were out to get President Trump via General Flint.
[49:59.640 --> 50:05.640]  And so that's really Trump's October surprise is to have all this opened up right during that point.
[50:05.640 --> 50:10.640]  My concern is, using the virus hysteria, we now know the Chinese hyped it up to hurt our economy.
[50:10.640 --> 50:14.640]  That's even the New York Times had to report that two weeks ago. We first said it 12 weeks ago.
[50:14.640 --> 50:23.640]  They're racing to try to kill the economy, hoping the American people blame Trump, but I don't think that's going to be successful.
[50:23.640 --> 50:31.640]  So one point I want to make before we kind of talk about the China virus is that the other phase that's going to happen is,
[50:31.640 --> 50:38.640]  it's going to really depend on how General Flint wants to proceed because there's probably going to be some civil matters
[50:38.640 --> 50:44.640]  that he can take up against those individuals that will also be criminally prosecuted by the Department of Justice.
[50:44.640 --> 50:48.640]  So that would be the second component of going on the offense.
[50:48.640 --> 50:58.640]  So financial ruin to these individuals, as well as he has the ability to go after his previous law firm that was in conspiring,
[50:58.640 --> 51:08.640]  essentially, with the previous attorney general, two previous attorneys ago, Eric Holder, who was a senior partner, I believe, at the law firm Covington-Berling.
[51:08.640 --> 51:17.640]  And at the end of all this, I would not be surprised if General Flint will be owning a law firm called Flint Covington-Berling based out of D.C.
[51:17.640 --> 51:23.640]  Because he has the potential to go after him to the maximum of their policy.
[51:23.640 --> 51:28.640]  I remember when this was unfolding three years ago, and I was like, what is he doing using that law firm?
[51:28.640 --> 51:38.640]  And now we know the FBI came in and was basically investigating the lawyers claiming they might have done something criminal to get them to do a secret deal to basically turn on Flint.
[51:38.640 --> 51:41.640]  I mean, that is unbelievable.
[51:41.640 --> 51:52.640]  This is unbelievable. This show, there's so much evidence out there right now showing this is probably the most corrupt FBI in the history of its existence.
[51:52.640 --> 51:57.640]  At the top level, like you said, not the not the line agents that are trying to do the right thing.
[51:57.640 --> 52:04.640]  They're following the rule of law, trying to make sure that their FISA warrants are done in the most professional legal manner.
[52:04.640 --> 52:12.640]  But when you have 17 out of 17 FISA warrants that were involved in this crossfire hurricane, having some sort of issue, it's not coincidence.
[52:12.640 --> 52:15.640]  When you're 100% wrong, that's not a coincidence.
[52:15.640 --> 52:26.640]  So it's also crazy of the 15 or so DOJ lawyers that were in the Mueller operation. Most of them are still other than Strock and Page running operations against pro-Trump people.
[52:26.640 --> 52:29.640]  We can't get into this yet, but I know you know about some of it off record.
[52:29.640 --> 52:34.640]  I mean, they're beavering around harassing some of Trump's top people right now still.
[52:34.640 --> 52:39.640]  Right. If you can, Alex, if you can pull up the tweet by James Comey from yesterday.
[52:39.640 --> 52:40.640]  I've got it right here.
[52:40.640 --> 52:42.640]  I kind of want to use the exact wording of it.
[52:42.640 --> 52:44.640]  Here it is. The DOJ has lost its way.
[52:44.640 --> 52:49.640]  Right. The DOJ has lost its way, but I'm going to interpret this for you.
[52:49.640 --> 52:52.640]  But career people, please stay because America needs you.
[52:52.640 --> 52:55.640]  The country is hungry for honest, competent leadership.
[52:55.640 --> 53:02.640]  The translation of that is please stay because if you don't, we are, and I can't use the next expletive behind that.
[53:02.640 --> 53:06.640]  And it starts with an F. We are pretty much screwed.
[53:06.640 --> 53:16.640]  And that was the theme of the just to kind of give context to this. On Tuesday, the first hearing after the China virus closed down Congress,
[53:16.640 --> 53:23.640]  the Senate Select Committee on Intelligence was having a hearing to confirm Congressman John Radcliffe.
[53:23.640 --> 53:31.640]  And to the numbers, the Democratic side was asking the question, are you going to protect the whistleblower?
[53:31.640 --> 53:37.640]  Because if you don't, we are, they're done. We are done.
[53:37.640 --> 53:45.640]  Because if it turns out Eric Ciarumala was above his eyeballs in the whole gas deal and honor Biden.
[53:45.640 --> 53:56.640]  Eric Ciarumala, Sean Misko, who went out the day after the Mueller investor, the Mueller hearing flopped, he went over to work for Adam Schiff.
[53:56.640 --> 54:04.640]  And then Adam Schiff, they created the next narrative to go after Trump with the Ukraine call. It's just nonstop.
[54:04.640 --> 54:09.640]  Here's why Trump and the Justice Department, if there's any good left in them, have to stop this.
[54:09.640 --> 54:14.640]  The deep state's not going to stop this. They're going to keep new attacks that just keep escalating.
[54:14.640 --> 54:22.640]  That tweet called for continued attack of the president. Stay where you are so you can continue to do what you're doing.
[54:22.640 --> 54:30.640]  And their hope is that if Biden wins, which I mean, seriously, I'm not even sure if he's going to be losing it.
[54:30.640 --> 54:36.640]  Well, they're going to do with the election fraud. The plan is to shoehorn in Obama and Hillary. They're already saying that.
[54:36.640 --> 54:38.640]  Yes.
[54:38.640 --> 54:42.640]  All right, stay right there. Stay right there. Stay right there, Ivan. We'll be right back with hour number two.
[54:42.640 --> 54:44.640]  And we've got folks.
[54:44.640 --> 54:55.640]  We've come a symbol, an emblem of not just American freedom, but worldwide Maverick spirit. It's not just myself or the host at Info Wars or the researchers or the journalists.
[54:55.640 --> 55:00.640]  It's you, the listeners, the activists, the people on the front lines in the arena.
[55:00.640 --> 55:09.640]  And it's the amazing guests and individuals that we interviewed that make Info Wars so special because we're not putting a filter in front of free minds.
[55:09.640 --> 55:20.640]  We're having an open discussion about the real state of the world, not the establishment and talking points that are put out by the Council on Foreign Relations, the Bilderberg Group, Davos Group and other globalists.
[55:20.640 --> 55:28.640]  We're pushing for a pro-human future where we build a planet and beyond based on humans, for humans, by humans.
[55:28.640 --> 55:35.640]  Not a world where the establishment hate themselves, protect their hate onto us and decide we're going to have a post-human world.
[55:35.640 --> 55:42.640]  I'm really excited to know that Info Wars has your support and I want to thank you all for being pro-human and pro-God.
[56:06.640 --> 56:19.640]  And there's another innovation. It's the spray cap. It doesn't just pour out a bunch of thick, gross, goo, but it's high quality and aerosolizes it in a really great way.
[56:19.640 --> 56:25.640]  I like to put it on my hands, rub a little bit on my face. It's got organic alcohol in it, so spray it right in your eyes.
[56:25.640 --> 56:29.640]  But I just love it, personally, as something that's a moisturizer as well.
[56:29.640 --> 56:39.640]  So, this is a real innovation. I don't know why others didn't think of coming out with a hand sanitizer that actually has essential oil in it so it doesn't dry you out, smells great.
[56:39.640 --> 57:05.640]  It's so refreshing. This is a big winner.
[57:05.640 --> 57:12.640]  Ivan Raiklin is our guest here for another five minutes. We're coming up at the bottom of the hour. We're joined by Project Veritas.
[57:12.640 --> 57:15.640]  You guessed it, James O'Keefe.
[57:15.640 --> 57:21.640]  Well, Ivan's been a green beret. He's a lawyer. He also has worked for the Defense Intelligence Agency that was headed up by General Flynn.
[57:21.640 --> 57:25.640]  He's friends with the family. I'll leave it at that. And he brought Flynn's son to one of our events.
[57:25.640 --> 57:29.640]  He's a great guy. I look forward to having them on air once they're able to do that.
[57:29.640 --> 57:38.640]  But just in closing, people need to know there's a civil war inside the government. And it's not like North versus South, where both sides had claims to why they were doing this.
[57:38.640 --> 57:45.640]  They were still all Americans. This is foreign, outside, chai-com, globalist money.
[57:45.640 --> 57:50.640]  The Chinese communists admit they're involved in Twitter, Facebook, Google. They own Hollywood. They own the debt.
[57:50.640 --> 57:58.640]  And I think the most exciting thing happening is that Trump and Pompeo are taking the gloves off and really just saying that the Democrats are now a fifth column of China.
[57:58.640 --> 58:07.640]  I mean, that's why the Democrats were so desperate to make it all about Russia, which, I mean, I'm nothing against Russia, but they can't keep their stoplights on their roads running right.
[58:07.640 --> 58:13.640]  They got a lot of problems. China, though, is very offensive worldwide and taking everything over. That's not debatable.
[58:13.640 --> 58:16.640]  The CFR loves China and says, get rid of America. Put them in charge.
[58:16.640 --> 58:22.640]  And the fact that Trump is finally standing up to their trade war against us is really exciting.
[58:22.640 --> 58:32.640]  And to see the fifth column swing into action against Trump, that should unify all Americans behind Trump if they have any common sense.
[58:32.640 --> 58:33.640]  You want me to react?
[58:33.640 --> 58:37.640]  I want your reaction to the whole, yeah, that whole situation.
[58:37.640 --> 58:53.640]  Yeah, so I agree with most of what you're saying. I think one of the key points that needs to really be rehashed is that we're not really sure, based on all the reporting on whether or not the virus was intentional,
[58:53.640 --> 59:04.640]  whether or not the virus was accidental. I can say this. I mean, China definitely used it to its advantage once the virus was out and it started to.
[59:04.640 --> 59:10.640]  Hillary said, don't let the crisis go to waste. Blame it on Trump. If that queue her up, please.
[59:10.640 --> 59:13.640]  Keep going, sir.
[59:13.640 --> 59:30.640]  Yes. So depending on how it played out, I mean, at this point, they are trying to provide all of the PPE and masks and all the healthcare items required in order to defend from this virus by production and sending it to the United States.
[59:30.640 --> 59:50.640]  What President Trump is doing, I think, is what's going on based on, you know, I'm an entrepreneur as well, and I'm seeing some of the shipments being log jammed at entry point into the United States so that we can actually produce some of that equipment here in the United States and distribute it for the long term effect of being able to have leverage over
[59:50.640 --> 1:00:01.640]  as we start to scale our production and things that we are really need from China and in the future, hopefully, we're not going to need that at the level that we.
[1:00:01.640 --> 1:00:12.640]  Let's talk about not officially the Defense Intelligence Agency's posture and what you think Trump should do. Let's do a few more minutes on the other side of this segment about who you see the global players as and where America's place is in that.
[1:00:12.640 --> 1:00:21.640]  You said you agree with most of what I said. I want to hear what you disagree with because that's always informative. Do one more segment with us. I want to play a few of those clips of Hillary and others that I mentioned.
[1:00:21.640 --> 1:00:32.640]  But first, you talk about log jam. We're out there searching around for the best place to get good mask that actually have infowars.com on them, also have Trump on them.
[1:00:32.640 --> 1:00:39.640]  I put in a big order with you guys just last week. They're already being printed up right here in the good old USA, made here in America.
[1:00:39.640 --> 1:00:45.640]  Tell folks about the mask you're producing. You also produced the mask for Laura Ingram.
[1:00:45.640 --> 1:00:46.640]  Laura Loomer.
[1:00:46.640 --> 1:00:47.640]  Laura Loomer, that's right.
[1:00:47.640 --> 1:00:50.640]  So I'm going to tell the prompter for you, Ivan.
[1:00:50.640 --> 1:01:08.640]  Right. There's a small little website called republicanlegion.com and just as the president essentially said, he wants to start production, the Defense Production Act to make sure that folks are producing the necessary goods we need in order to get the economy back started.
[1:01:08.640 --> 1:01:26.640]  I'm not really a big fan of masks. Right now I'm a healthy person, knock on wood, but for those that are potentially in a different situation, if you want to be able to go out in the economy and do it in a safe way, as per the surgeon general, when he did the video clip a few weeks back on how to create your own mask,
[1:01:26.640 --> 1:01:39.640]  you can either do it with your shirts at home or you can use something similar to this, patriotic American flag. You can breathe through it and then you essentially...
[1:01:39.640 --> 1:01:44.640]  Tell folks about the company that Laura Loomer and you guys are using, because I really like the mask. I've got a bunch of them coming in.
[1:01:44.640 --> 1:01:50.640]  Yeah, it's republicanlegion.com. And then like I said, if you want to go on the offense, you can get one of these maybe.
[1:01:50.640 --> 1:01:52.640]  All right, we'll be right back. Stay with us.
[1:01:52.640 --> 1:02:03.640]  I was talking to my wife tonight and I was saying our economy slowing down and shutting down is like shooting a deer and it runs 100 yards before it knows it's been shot and then it finally dies.
[1:02:03.640 --> 1:02:15.640]  She said, well, yeah, when I grew up in Omaha, Nebraska, one time there was an argument in the street and another man shot another man in the head and the man that got shot in the head had blood pouring out, a huge hole.
[1:02:15.640 --> 1:02:21.640]  He was holding it and he walked around gibbering, talking nonsense for about 60 seconds and then just fell over dead.
[1:02:21.640 --> 1:02:33.640]  Well, that's what's going to happen with our economy. It is in cardiac arrest. This has been done by design and the UN, the Chi Coms, the mainstream media orchestrated it, hyped it and tried to keep the economy closed.
[1:02:33.640 --> 1:02:44.640]  So remember, the depression that's coming and the third world collapse is all on the UN, on Bill and Melinda Gates, on Obama, on Hillary, on Biden, on the Democrats.
[1:02:44.640 --> 1:02:52.640]  We tried to stop it, we tried to fight it, but you guys said you wanted to wreck America and the world and now you've done it. Congratulations.
[1:03:15.640 --> 1:03:20.640]  Live from the Infowars.com studios, it's Alex Jones.
[1:03:24.640 --> 1:03:39.640]  Well, the Communist Chinese and the WHO, also run by a former leader in the Communist Party in Africa, has come out and said, China did a perfect job. We did a terrible job.
[1:03:39.640 --> 1:03:48.640]  That's a quote Bill Gates and funds most of it through these private foundations actually said, China's done perfect with their lockdown. We haven't done as good.
[1:03:48.640 --> 1:03:58.640]  So welding people inside their homes in a dystopic nightmare, shooting women at checkpoints, covering up the severity, all of that is perfect according to Bill Gates.
[1:03:58.640 --> 1:04:04.640]  Well, now we've seen the governor of California banning people going to the beaches.
[1:04:04.640 --> 1:04:14.640]  We've seen YouTube banning medical doctors that own big clinics, you know, saying that it has a less death rate than the flu when he was using the NIH's own numbers.
[1:04:14.640 --> 1:04:22.640]  They're trying to prolong the hysteria and the crisis to create a bad economy to drive Trump from power coming up in 178 days.
[1:04:22.640 --> 1:04:30.640]  And the Democrats in Hillary and people on HBO like Bill Maher have admitted all of that. This is incredibly transparent.
[1:04:30.640 --> 1:04:42.640]  And they hope we forget that and don't point out who triggered the hysteria, the blue states, the blue cities, first big tech, South by Southwest run by a horrible globalist piece of trash named Lewis Black.
[1:04:42.640 --> 1:04:50.640]  They created the precedent and then said, Oh, look, Trump isn't doing enough. Just shut down for 15 days. We said it won't be 15. It'll be years.
[1:04:50.640 --> 1:05:03.640]  And now Bill Gates goes on CNN and says that's right. It's never going to come back. And JPMorgan Chase says 10 to 12 years of depression. It's never coming back because when we go down to zero, the big banks can buy everything up.
[1:05:03.640 --> 1:05:11.640]  This is like the Soviet Union before it got started with the Bolshevik Revolution, bringing the country to its knees so they could then be enslaved.
[1:05:11.640 --> 1:05:24.640]  And first the communists took control of the cities, locked down the infrastructure and then took over the farms. San Antonio City Council passes resolution declaring Chinese virus to be hate speech.
[1:05:24.640 --> 1:05:33.640]  The ADL, the Southern Prairie Law Center, the Democratic Party are doing this. They passed similar resolutions that are totally unconstitutional.
[1:05:33.640 --> 1:05:43.640]  In New York, they claim they'll arrest you if you say the words illegal alien. I am going to go to San Antonio sometime this week in front of the Alamo with Bullhorn.
[1:05:43.640 --> 1:05:50.640]  They do it this weekend. They do it Monday or Tuesday. And I'm going to say Chinese virus, Chinese virus, Wuhan virus, Wuhan virus.
[1:05:50.640 --> 1:06:03.640]  And I'm going to see if they arrest me because, folks, it's the First Amendment and we have a right to say it. Here is a minute. There's 30 minutes of them praising themselves.
[1:06:03.640 --> 1:06:12.640]  In the empty San Antonio City City Council, the citizens are all obsolete. We're all non-essential. We're not allowed to be there to challenge things now.
[1:06:12.640 --> 1:06:20.640]  There's no citizens' communications now, you see. This is the bum rush that authoritarians everywhere are using for their power grab. Here it is.
[1:06:20.640 --> 1:06:37.640]  This item whereby you're claiming that persons are causing hate speech, hate crimes by means of simply saying that the source of the big virus that we are all experiencing came from China
[1:06:37.640 --> 1:06:44.640]  and thereby call it the China virus. Well, you're saying that I'd be committing a hate crime by saying that.
[1:06:44.640 --> 1:06:54.640]  Item five is a resolution affirming the city's commitment to the safety and well-being of all community members and combating hate speech.
[1:06:54.640 --> 1:07:14.640]  And whereas COVID-19 will not be stopped by political boundaries and was not created or caused by any race, nationality or ethnicity, and the World Health Organization has cautioned against using geographic descriptions that can fuel ethnic and racial discrimination.
[1:07:14.640 --> 1:07:30.640]  And whereas COVID-19 has infected people from all racial, national and ethnic backgrounds and whereas the City of San Antonio is fully committed to the safety, security and equal treatment of its residents as it confirms,
[1:07:30.640 --> 1:07:48.640]  confronts the COVID-19 pandemic and whereas each individual has the ability to promote inclusiveness, celebrate diversity, support all fellow community members, prevent the spread of misinformation and reject hate and bias in all forms.
[1:07:48.640 --> 1:08:01.640]  And whereas hate crimes, discrimination and aggression against Asians and Jews are on the rise throughout the country as these groups are being blamed for the COVID-19 outbreak and spread.
[1:08:01.640 --> 1:08:13.640]  And whereas as our history has shown, times of great fear, uncertainty and unrest can lead to the demonization, blaming and scapegoating of groups as the other.
[1:08:13.640 --> 1:08:25.640]  And whereas extremists are taking advantage of COVID-19 to spread their hateful ideologies, including anti-Semitism, racism, Islamophobia and xenophobia.
[1:08:25.640 --> 1:08:33.640]  All persons are encouraged to report any anti-Semitic discriminatory or racist incidents to the proper authorities for investigation.
[1:08:33.640 --> 1:08:53.640]  Section 3, the City of San Antonio will continue its efforts to promote, protect residents and target the victims of hate to prosecute and curb hate acts related to COVID-19 in partnership with non-state attorney's office and the San Antonio Police Department and other law enforcement partners.
[1:08:53.640 --> 1:09:03.640]  At a time of crisis, the city has always shown that we stand united, we stand together, and there's not room for discrimination or hate when we see it.
[1:09:03.640 --> 1:09:12.640]  So we shout it out collectively that San Antonio as a community will not tolerate it, and that's what this resolution is. And so I would ask for your support.
[1:09:12.640 --> 1:09:24.640]  So there you go. They're trying to say it's illegal to say it's the communist Chinese virus, even though you always say the name of where something comes from. But even if it was wrong, people have a right to say it.
[1:09:24.640 --> 1:09:37.640]  Ivan Raiklin, former of the Defense Intelligence Agency, a lawyer, Green Beret, friends of the Flynn's, all of this in the last hour, getting into General Flynn being exonerated. What do you make of what you just saw?
[1:09:37.640 --> 1:09:48.640]  A lot of these folks that are at city council and even up through governors, they have no clue what the U.S. Constitution is. I mean, there's something called the First Amendment, freedom of assembly, freedom of the press, freedom of speech, right?
[1:09:48.640 --> 1:09:58.640]  And those are things that we need to remind them. I think it was the governor of New Jersey that when he was questioned in an interview asked, well, don't you think you're violating people's First Amendment right to assemble?
[1:09:58.640 --> 1:10:08.640]  And he said, well, my decisions were made not even factoring in. I didn't even think about the First Amendment or the Constitution. These are the types of people that are leading these cities and towns.
[1:10:08.640 --> 1:10:21.640]  And to include governors. That's the New Jersey governor you mentioned earlier in the segment. What about the Democratic states that are headed up by governors that are from the Democratic Party, such as Cuomo in New York?
[1:10:21.640 --> 1:10:33.640]  If you start to look at the policies between Republican governors and how they actually implemented safeguards and safeguards and measures against the China virus, you're going to see a stark difference.
[1:10:33.640 --> 1:10:50.640]  If you can pull up the differences between the numbers of infections as well as death rates, unfortunately, in New York, the number is astronomically higher to Florida. And in terms of numbers, Florida I believe just surpassed New York in terms of total population.
[1:10:50.640 --> 1:10:57.640]  And remember, was the Democrats tried to block Trump blocking Chinese flights?
[1:10:57.640 --> 1:11:01.640]  Say that again, Alex. The Democrats tried to block Trump blocking Chinese flights.
[1:11:01.640 --> 1:11:18.640]  Right. I mean, they said, again, they said it was xenophobic. It was racist to block folks coming in from China. And then when he made that decision when quite a few people said that that was not necessary, the next target was, oh, you didn't do it in time.
[1:11:18.640 --> 1:11:37.640]  You should have done it earlier. Meanwhile, the entire left wing media industrial complex was saying the same thing that Nancy Pelosi, she was having her Chinese Lunar New Year, excuse me, Chinese New Year in San Francisco at the time, asking everybody to come out and party.
[1:11:37.640 --> 1:11:39.640]  Same thing Mayor de Blasio was doing in New York City.
[1:11:39.640 --> 1:11:48.640]  I think we don't have any memory. The consistent epic failures at every level. It's just ridiculous.
[1:11:48.640 --> 1:11:57.640]  In closing, do you think America is winning right now or are we going to succumb to the fear?
