[00:00:16.081 --> 00:00:18.103]  Awesome!
[00:58:27.381 --> 00:58:39.230]  Powered by an impressive list of ingredients, including grapefruit seed extract, pau d'arco bark, and grape seed extract, our formula is fueled by ingredients that stood the test of time as powerful micro-balancing properties.
[00:58:39.230 --> 00:58:44.054]  Pick up a bottle of the new and improved MycoZX Plus today at InfoWarsLife.com.
[00:58:44.054 --> 00:58:45.715]  That's InfoWarsLife.com.
[00:58:50.416 --> 00:58:57.064]  Infowars and free speech and your right to speech has been under unprecedented attack the last year or so.
[00:58:57.064 --> 00:59:01.749]  It's Orwellian, it's biblical, it's authoritarian, it's insane.
[00:59:01.749 --> 00:59:05.493]  And I keep trying to judge and gauge when is the right time
[00:59:06.374 --> 00:59:12.241]  To have to stumble up on deck as the captain of this operation and say, hey, we're sinking.
[00:59:12.241 --> 00:59:16.345]  I've begged for your support before and thanks for keeping us afloat, but this is the real SOS.
[00:59:16.345 --> 00:59:23.253]  If you don't buy a bunch of products and spread the word and keep fighting, InfoWars will be shut down, not just crippled.
[00:59:23.253 --> 00:59:24.094]  And so we've reached that point.
[00:59:24.898 --> 00:59:26.779]  It'll make the enemy happy, but, you know, whatever.
[00:59:26.779 --> 00:59:28.880]  We have withstood so many of their attacks.
[00:59:28.880 --> 00:59:31.462]  We've gone through so much because of your support.
[00:59:31.462 --> 00:59:32.823]  You have been there.
[00:59:32.823 --> 00:59:37.625]  But let me tell you, they are pissed they haven't been successful, and they're giving us their full assault.
[00:59:37.625 --> 00:59:43.769]  So we need your prayers, your financial support, and your word of mouth now at InfoWarsHore.com.
[00:59:43.769 --> 00:59:44.729]  It's your fight.
[00:59:44.729 --> 00:59:49.052]  Decide whether or not you want InfoWars to continue, because we could be shut down.
[00:59:53.285 --> 00:59:55.910]  You're listening to the Alex Jones Show!
[01:00:22.128 --> 01:00:24.108]  John Bolton's trying to start a war.
[01:00:24.108 --> 01:00:27.869]  He won't just keep Trump from getting re-elected, in my view.
[01:00:27.869 --> 01:00:29.510]  He could turn to a larger regional war.
[01:00:30.399 --> 01:00:35.542]  Putin says it'll be a catastrophe at the bare minimum and says the world can end.
[01:00:35.542 --> 01:00:41.025]  He said that the same day there's a new nuclear doctrine for the United States to preemptively nuke nations.
[01:00:41.025 --> 01:00:43.187]  We'll be looking at that classified document.
[01:00:43.187 --> 01:00:44.427]  It's classified.
[01:00:44.427 --> 01:00:46.969]  Coming up in the next segment.
[01:00:46.969 --> 01:00:50.011]  Yes, ladies and gentlemen, tomorrow's news today.
[01:00:50.011 --> 01:00:52.832]  Better believe Putin saw it that day and that's why he issued that emergency statement.
[01:00:55.114 --> 01:01:01.507]  But Putin is so deferential to the United States, he didn't even say where he got the information that he had the classified document.
[01:01:01.507 --> 01:01:06.237]  So, Roger, what can we do to keep Trump from not being suckered into this new war?
[01:01:07.847 --> 01:01:25.393]  Well, I think the best thing we can do is do exactly what we have been doing, which is to urge him to proceed with extreme caution and to recognize that some around him are not necessarily committed to his reform agenda, particularly when it comes to the foreign policy realm.
[01:01:25.393 --> 01:01:32.536]  I've always been uncomfortable with the disproportionate number of neocons that he has chosen to surround himself with.
[01:01:32.956 --> 01:01:41.082]  These are people who did not vote for him and do not support his foreign policy's goals, which of course are putting America first.
[01:01:41.082 --> 01:01:45.225]  Best thing we can do right now, Alex, is pray.
[01:01:45.225 --> 01:01:59.956]  I want to get back to what we had talked about because in the 40 years that I've been in American politics, I've never seen a situation with the mainstream media in which facts and truth and evidence no longer matters.
[01:02:00.556 --> 01:02:08.944]  I have been subjected to this myself, but I've never seen anything quite like the situation in which you have recently been smeared.
[01:02:08.944 --> 01:02:19.274]  The false claim that you purposely sent kiddie porn to the Sandy Hook plaintiffs is ludicrous as well as false.
[01:02:19.274 --> 01:02:20.135]  It's a smear.
[01:02:21.175 --> 01:02:23.617]  Somebody sends you something that's encrypted.
[01:02:23.617 --> 01:02:25.838]  You don't even open it.
[01:02:25.838 --> 01:02:31.962]  It ends up swept up in the discovery of nine million documents and then it's blamed on you.
[01:02:31.962 --> 01:02:33.563]  This is Kafka-esque.
[01:02:33.563 --> 01:02:35.304]  This is bizarre.
[01:02:35.304 --> 01:02:42.688]  But the way the mainstream media rushes out to say Jones sent kiddie porn is really outrageous.
[01:02:42.688 --> 01:02:48.071]  I have a lot of respect for those media outlets and those commentators who retracted and corrected and clarified.
[01:02:48.451 --> 01:02:50.012]  But I wonder, where are the big boys?
[01:02:50.012 --> 01:02:51.213]  Where's the Wall Street Journal?
[01:02:51.213 --> 01:02:53.234]  Where's Associated Press?
[01:02:53.234 --> 01:02:59.417]  When are they going to report that they made a mistake and what they said about you was inaccurate?
[01:02:59.417 --> 01:03:00.458]  It's outrageous.
[01:03:00.458 --> 01:03:05.420]  Well, that's what's incredible is they're leading in it, trying to get everybody else to do it.
[01:03:05.420 --> 01:03:09.923]  And like I said, saying I publish books I never published, I lost lawsuits I never lost.
[01:03:09.923 --> 01:03:12.864]  And then we contact them and they just tell our lawyers, fine, sue us.
[01:03:12.864 --> 01:03:14.425]  We're going to go with fake headlines.
[01:03:14.425 --> 01:03:15.806]  This is a new level.
[01:03:15.806 --> 01:03:17.347]  I think it signifies the climate.
[01:03:17.967 --> 01:03:23.350]  Instead of dialing their lives back, they're just going to dial their lives up to try to take Trump out.
[01:03:23.350 --> 01:03:36.676]  And it's why I think it continues to be important for people to support InfoWars by either going to the InfoWars.com store or making a contribution at the donate link, just like I urge people to go to StoneDefenseFund.com.
[01:03:36.676 --> 01:03:37.837]  Alex, we are both fighting.
[01:03:38.297 --> 01:03:45.423]  For our lives and the same tactics that have been used against me by the mainstream media are now being used against you.
[01:03:45.423 --> 01:03:52.428]  Is it coincidental that both of us played a key role in the nomination and therefore the ultimate election of Donald Trump?
[01:03:52.428 --> 01:03:53.409]  I think not.
[01:03:53.409 --> 01:03:59.254]  So we both need your help and I urge folks to continue to support InfoWars with your dollars.
[01:03:59.634 --> 01:04:00.634]  Roger, God bless you.
[01:04:00.634 --> 01:04:01.575]  We'll talk to you soon.
[01:04:01.575 --> 01:04:02.835]  Roger Stone did nothing wrong.
[01:04:02.835 --> 01:04:04.435]  Alex Jones did nothing wrong.
[01:04:04.435 --> 01:04:08.216]  All we did was reignite the brush fires in the minds of men and women.
[01:04:08.216 --> 01:04:14.458]  The American people took action, got Trump elected, and all hell's breaking loose because we're fighting for the heart and soul of our country in the future.
[01:04:14.458 --> 01:04:15.738]  Thank you, Roger.
[01:04:15.738 --> 01:04:16.158]  Thank you.
[01:04:16.158 --> 01:04:19.199]  All right, we're going to go to break, and we're going to come back.
[01:04:19.199 --> 01:04:22.780]  And what I'm going to do is air a special report.
[01:04:23.834 --> 01:04:26.355]  Where Pompeo admits that the CIA lies.
[01:04:26.355 --> 01:04:28.816]  That they've been lying about Iran.
[01:04:28.816 --> 01:04:30.757]  I'm not fans of Iran.
[01:04:30.757 --> 01:04:33.579]  But I want to start with this report.
[01:04:33.579 --> 01:04:36.980]  And then I'm gonna get into the nuclear doctrine that just changed.
[01:04:36.980 --> 01:04:42.263]  Where the United States has new policy for first strikes.
[01:04:42.263 --> 01:04:44.944]  Yes, ladies and gentlemen, it's all coming up.
[01:04:45.933 --> 01:04:49.058]  Some of the most important information we've ever covered.
[01:04:49.058 --> 01:04:50.240]  Please listen.
[01:04:50.240 --> 01:04:51.682]  Please save the audio and video.
[01:04:51.682 --> 01:04:53.164]  Please share the links.
[01:04:53.164 --> 01:04:56.810]  Because we've got to raise awareness.
[01:04:59.814 --> 01:05:03.896]  InfoWars, the most banned network in the world.
[01:05:03.896 --> 01:05:07.057]  Viewers and listeners, I wouldn't be here if it wasn't for you.
[01:05:07.057 --> 01:05:10.218]  And we're under unprecedented evil attacks as you've seen.
[01:05:10.218 --> 01:05:20.742]  But I wanted to take just a minute out here from the bottom of my heart to tell you how much it means to me that when you saw those lies against us last week, the worst things you can say about people that you knew they were liars.
[01:05:20.742 --> 01:05:22.443]  You went and looked it up and found out the truth.
[01:05:22.443 --> 01:05:27.585]  And so I feel very strong and I feel God's hand on my shoulder and I feel your love in my heart.
[01:05:27.585 --> 01:05:28.825]  And I want you to know that love is right back
[01:05:28.865 --> 01:05:30.526]  InfoWars, the most banned network in the world.
[01:06:03.248 --> 01:06:09.823]  You are listening to an InfoWars.com Frontline Report.
[01:06:09.823 --> 01:06:13.751]  If you are receiving this transmission, you are the Resistance.
[01:06:21.326 --> 01:06:31.189]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[01:06:31.189 --> 01:06:38.612]  President Trump says Iran made a big mistake by shooting down one of our Predator drones.
[01:06:38.612 --> 01:06:41.733]  Putin warns of a global nuclear catastrophe.
[01:06:41.733 --> 01:06:43.274]  We now know why.
[01:06:43.274 --> 01:06:45.294]  They have a classified U.S.
[01:06:45.294 --> 01:06:46.955]  government document they confirm is real.
[01:06:48.365 --> 01:06:50.066]  That details the U.S.
[01:06:50.066 --> 01:06:57.808]  preparing for first-strike nuclear war against China, Russia, Iran, and others.
[01:06:57.808 --> 01:07:01.749]  Yes, this is the stuff Armageddon's made of.
[01:07:01.749 --> 01:07:06.071]  First, let's go to this RT report to get the Russian perspective.
[01:07:07.062 --> 01:07:15.329]  Here is the story that all Americans should know about and be questioning, and I mean with a vengeance, okay?
[01:07:15.329 --> 01:07:16.370]  The U.S.
[01:07:16.370 --> 01:07:26.058]  is actively planning to carry out a tactical assault on Iran in response to the tanker attack in the Persian Gulf.
[01:07:26.738 --> 01:07:34.700]  This story, first reported in Israel, comes from multiple sources inside the United Nations.
[01:07:34.700 --> 01:07:43.242]  It describes the military actions being considered as an aerial bombing of Iran's nuclear facilities.
[01:07:43.242 --> 01:07:48.223]  The bombing, according to the sources, will be massive.
[01:07:49.181 --> 01:07:53.123]  But limited to a specific set of targets.
[01:07:53.123 --> 01:08:02.869]  Who is pushing this plan, this attack, this bombing of Iran, even more so than military officials?
[01:08:02.869 --> 01:08:15.337]  Secretary of State Mike Pompeo, who we have learned has recently traveled to CENTCOM, Central Command Headquarters, in Tampa, Florida, to meet with U.S.
[01:08:15.337 --> 01:08:17.779]  generals there to map this whole thing out.
[01:08:18.757 --> 01:08:32.819]  The trip squarely puts Pompeo out of his jurisdiction, but he is said to be getting carte blanche from President Trump, despite some pushback from military commanders, interestingly enough.
[01:08:33.994 --> 01:08:42.382]  Also interesting is as far as the US news media are concerned, Pompeo can do no wrong.
[01:08:42.382 --> 01:08:51.510]  He gets cover from them, it seems, simply because, well, because he's not President Trump, who they loathe.
[01:08:51.510 --> 01:08:59.216]  But even a cursory look at Pompeo's record and his past reveals a man who may not be
[01:09:01.138 --> 01:09:06.982]  May not be a real primetime player when it comes to foreign policy.
[01:09:06.982 --> 01:09:14.807]  He is actually a man who has no problems lying, cheating, and stealing.
[01:09:14.807 --> 01:09:20.170]  You know, in fact, who is accusing Mike Pompeo of lying, cheating, and stealing?
[01:09:20.170 --> 01:09:22.591]  I was the CIA director.
[01:09:22.591 --> 01:09:25.693]  We lied, we cheated, we stole.
[01:09:25.693 --> 01:09:29.456]  We had entire training courses.
[01:09:34.335 --> 01:09:36.977]  Did you hear that?
[01:09:36.977 --> 01:09:44.962]  The CIA is an organization under his command that lies, cheats, and steals.
[01:09:44.962 --> 01:09:47.684]  And it is a joke.
[01:09:47.684 --> 01:09:48.684]  Let me play that for you again.
[01:09:48.684 --> 01:09:51.426]  I was the CIA director.
[01:09:51.426 --> 01:09:52.667]  We lied, we cheated, we stole.
[01:09:52.667 --> 01:09:54.688]  We had entire training courses.
[01:10:01.241 --> 01:10:10.986]  So how do we know then that the comments he just made this week about needing to attack Iran because they're attacking tankers is not another lie or cheating or stealing?
[01:10:10.986 --> 01:10:11.486]  How do we know?
[01:10:14.255 --> 01:10:19.899]  Most of you who watch this channel don't need Mike Pompeo to tell you some of these things.
[01:10:19.899 --> 01:10:22.301]  You probably already knew that.
[01:10:22.301 --> 01:10:40.395]  But as we learn that he is drawing up plans, literally drawing up plans to attack Iran, it is my job and yours to be mindful of what may be about to happen based, if nothing else, on what's happened in the past.
[01:10:40.395 --> 01:10:41.556]  Because as Americans,
[01:10:42.901 --> 01:10:48.058]  It's not your right to know what's going on.
[01:10:48.058 --> 01:10:49.241]  It's your responsibility.
[01:10:50.942 --> 01:10:54.844]  This is the news with Rick Sanchez, where we believe it is time to do news again.
[01:10:54.844 --> 01:11:03.408]  Iranians are saying that this drone violated Iranian airspace early this morning and was then shot down somewhere south of the Strait of Hormuz.
[01:11:03.408 --> 01:11:15.615]  The Iranians also came out just a couple of minutes ago, we just got this, saying the drone also masqueraded what they call its identification equipment, so they're saying that it essentially shut off whatever transponding equipment was on it.
[01:11:16.155 --> 01:11:16.675]  The U.S.
[01:11:16.675 --> 01:11:18.497]  has a very different take on what happened.
[01:11:18.497 --> 01:11:19.677]  As you mentioned, the U.S.
[01:11:19.677 --> 01:11:24.520]  says that the drone was shot down over international airspace in the Strait of Hormuz.
[01:11:24.520 --> 01:11:25.401]  And the U.S.
[01:11:25.401 --> 01:11:29.303]  just coming out also a couple of minutes ago with a short statement saying that the U.S.
[01:11:29.303 --> 01:11:33.606]  did not fly any aircraft over Iranian airspace on Thursday.
[01:11:33.606 --> 01:11:34.587]  That is, of course, today.
[01:11:34.587 --> 01:11:35.547]  But you're absolutely right.
[01:11:35.547 --> 01:11:37.148]  The Iranians are very angry about this.
[01:11:37.148 --> 01:11:38.549]  Drawing a red line.
[01:11:38.549 --> 01:11:42.232]  This is what the commander of the Iranian Revolutionary Guard Corps had to say.
[01:11:42.232 --> 01:11:42.712]  Let's listen in.
[01:11:45.847 --> 01:11:50.594]  We have no intention to fight with any countries.
[01:11:50.594 --> 01:11:53.998]  But we are completely ready for war.
[01:11:53.998 --> 01:11:58.364]  What happened today was an obvious sign of this accurate message.
[01:12:02.412 --> 01:12:06.035]  So there you have it, the Iranians saying this was a clear message to the United States.
[01:12:06.035 --> 01:12:10.258]  All of this, of course, coming, guys, as the tensions between Iran and the U.S.
[01:12:10.258 --> 01:12:16.263]  have continued to flare up over the past week since those two tankers were attacked in the Gulf of Oman, the U.S.
[01:12:16.263 --> 01:12:18.765]  blaming the Iranians, the Iranians saying it wasn't them.
[01:12:18.765 --> 01:12:22.949]  And one of the things you guys might recall is that after that incident took place, the U.S.
[01:12:22.949 --> 01:12:28.013]  said that around that time, the Iranians had also tried to fire or did fire at a U.S.
[01:12:28.013 --> 01:12:29.574]  drone that was flying over the area.
[01:12:29.574 --> 01:12:30.255]  They say that time,
[01:12:30.495 --> 01:12:35.498]  They had missed the drone, so as you can see, those tensions still very, very much flaring up.
[01:12:35.498 --> 01:12:43.904]  As both sides say, they don't want this to escalate into a shooting war, but the Iranians clearly say they are prepared for a war.
[01:12:43.904 --> 01:12:47.066]  So here's the reality, here's the facts.
[01:12:47.066 --> 01:12:52.930]  Here's the takeaway that you cannot get away from.
[01:12:52.930 --> 01:12:56.513]  The United States is in a war with Iran right now.
[01:12:57.978 --> 01:13:04.283]  There's been a cold war going on with them since 1979 in the Islamic Revolution.
[01:13:04.283 --> 01:13:11.928]  Putin is warning the United States that a strike on Iran, if it goes well, will be a catastrophe.
[01:13:11.928 --> 01:13:15.491]  Oil prices are up over 6% as we speak.
[01:13:15.491 --> 01:13:17.592]  We don't know who sunk the oil tankers.
[01:13:17.592 --> 01:13:19.774]  We don't know who attacked the other 10 oil tankers.
[01:13:19.774 --> 01:13:25.118]  We don't know exactly who's shooting the missiles out of Iranian-controlled territory.
[01:13:26.414 --> 01:13:26.574]  I think?
[01:13:57.193 --> 01:14:11.237]  On this, when he joins us at the bottom of the hour, I'm going to go to break and I'm going to come back and get into the new nuclear doctrine and why I think this is so serious and what Putin has said and what others have said on the other side, a very important segment.
[01:14:11.237 --> 01:14:18.279]  But people are so used to us attacking Iraq or going into Syria or going into Afghanistan or some other place like
[01:14:21.035 --> 01:14:22.556]  Panama in the late 80s.
[01:14:22.556 --> 01:14:23.957]  This is not that, okay?
[01:14:23.957 --> 01:14:25.798]  This will be a big war.
[01:14:25.798 --> 01:14:28.560]  They've got proxy troops inside the U.S.
[01:14:28.560 --> 01:14:29.861]  and other countries.
[01:14:29.861 --> 01:14:32.503]  It's not going to be pretty if a real war kicks off.
[01:14:32.503 --> 01:14:33.524]  And so get ready for that.
[01:14:33.524 --> 01:14:35.165]  And our borders are collapsing.
[01:14:35.165 --> 01:14:37.446]  Our economy will go sideways.
[01:14:37.446 --> 01:14:38.887]  This will not be popular.
[01:14:38.887 --> 01:14:42.850]  But the neocons, the globalists are clearly trying to orchestrate it into this.
[01:14:42.850 --> 01:14:44.811]  At Bracken, I'm sure he's a smart guy with a different view.
[01:14:44.811 --> 01:14:47.513]  He's hosting 4th Hour.
[01:14:47.513 --> 01:14:49.054]  But I agree with Ron Paul.
[01:14:49.054 --> 01:14:50.235]  I agree with Tucker Carlson.
[01:14:52.048 --> 01:14:57.710]  And I agree with Rand Paul, and I agree with Joel Skousen, and I agree with myself that this is not a good idea.
[01:14:57.710 --> 01:15:01.992]  It smells like a trap, looks like a trap, walks like a trap.
[01:15:01.992 --> 01:15:05.914]  If it does all that, chances are you walk up in the woods and there's a big bear trap.
[01:15:05.914 --> 01:15:08.875]  You only stick your leg in it and find out if it looks like one, you know?
[01:15:08.875 --> 01:15:10.796]  Probably is one.
[01:15:10.796 --> 01:15:13.497]  Like red on yellow kills a fella, come across a coral snake.
[01:15:13.497 --> 01:15:14.337]  Might not want to pick it up.
[01:15:14.337 --> 01:15:17.298]  How about a rattlesnake?
[01:15:17.298 --> 01:15:18.319]  We'll go to break, we'll come back.
[01:15:20.263 --> 01:15:28.797]  Please remember, without you spreading the word about the show, without you telling friends, family, neighbors continually, hey, you know Alex Jones under attack, the show you're not supposed to listen to?
[01:15:28.797 --> 01:15:32.023]  Well, it's at Infowars.com and it's at Newswars.com.
[01:15:32.023 --> 01:15:32.664]  And it's at Summit.
[01:15:34.248 --> 01:15:36.530]  .News, Paul Watson's new site has links to it.
[01:15:36.530 --> 01:15:38.252]  Infowars.com.
[01:15:38.252 --> 01:15:45.718]  Tomorrow's news today, but Newswars.com isn't as censored on Twitter and Facebook and places, so you can share that link better.
[01:15:45.718 --> 01:15:47.039]  Newswars.com.
[01:15:47.039 --> 01:15:51.462]  Whatever you do, email the live links of the show, text message them, and word of mouth it.
[01:15:51.462 --> 01:15:54.005]  That breaks the back of the censors.
[01:15:54.005 --> 01:15:54.285]  Thank you.
[01:15:57.921 --> 01:16:08.984]  When you have a pain in the neck, a real pain in the neck, back, shoulder, or legs, you now have two convenient choices to get fast relief without taking another pill.
[01:16:08.984 --> 01:16:14.765]  Because now Sunny Bay heating wraps and pillows are available at both Amazon and Walmart.
[01:16:14.765 --> 01:16:15.425]  Yes!
[01:16:15.425 --> 01:16:21.287]  See Sunny Bay's four and a half to five star customer reviews on Amazon.com or Walmart.com.
[01:16:21.667 --> 01:16:30.093]  Our microwavable heat wraps, heatable neck pillows and extra large body wraps are designed better for perfect support where and when you need it.
[01:16:30.093 --> 01:16:39.139]  Even while driving, Sunny Bay wraps will not burn and stay balanced to provide soothing, hot or cold therapy to help treat temporary or chronic pain.
[01:16:39.139 --> 01:16:42.361]  And the best part, Sunny Bay quality products start at under $20.
[01:16:43.382 --> 01:16:51.387]  Join thousands of happy customers and see why Sunny Bay products have a lifetime 100% positive rating on both Amazon and Etsy.
[01:16:51.387 --> 01:16:52.167]  It's easy.
[01:16:52.167 --> 01:16:56.050]  Click Amazon or Walmart and search today for Sunny Bay.
[01:16:57.225 --> 01:16:59.187]  Heart disease is on the rise.
[01:16:59.187 --> 01:17:04.510]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[01:17:04.510 --> 01:17:06.092]  But the symptoms are there.
[01:17:06.092 --> 01:17:14.438]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[01:17:14.438 --> 01:17:20.122]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[01:17:20.302 --> 01:17:22.123]  My blood pressure has normalized.
[01:17:22.123 --> 01:17:24.283]  My diabetes has totally improved.
[01:17:24.283 --> 01:17:28.785]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[01:17:28.785 --> 01:17:30.985]  I recommend Heart and Body Extract to everyone.
[01:17:30.985 --> 01:17:38.828]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[01:17:38.868 --> 01:17:41.230]  Order your two-month supply today by calling 866-295-5305.
[01:17:41.230 --> 01:17:41.791]  That's 866-295-5305.
[01:17:41.791 --> 01:17:43.592]  Or order online at HBextract.com.
[01:17:43.592 --> 01:17:45.454]  Heart and Body Extract, 866-295-5305.
[01:17:45.454 --> 01:17:46.255]  Or HBextract.com.
[01:17:59.121 --> 01:18:11.155]  I just want listeners to understand, money is what allows us to beat this and stand against this, and we're seeing a lot of orders right now with the Save Info Wars 50% off, but we make only like $5, $10 on higher marked up stuff.
[01:18:11.155 --> 01:18:14.038]  We're making like $2 on the toothpaste at that price, and we're moving at
[01:18:14.398 --> 01:18:15.058]  I don't know.
[01:18:33.823 --> 01:18:34.784]  I like to be expanding.
[01:18:34.784 --> 01:18:35.544]  I like to be winning.
[01:18:35.544 --> 01:18:36.264]  I like to be fighting.
[01:18:36.264 --> 01:18:37.465]  And we are winning the Infowar.
[01:18:37.465 --> 01:18:38.346]  That's why we're so hated.
[01:18:38.346 --> 01:18:39.967]  But we need to be retreaded.
[01:18:39.967 --> 01:18:41.187]  We need to be tuned up.
[01:18:41.187 --> 01:18:42.228]  We need to be fixed up.
[01:18:42.228 --> 01:18:43.549]  We never have time to get it dried up.
[01:18:43.549 --> 01:18:45.090]  We got a lot of holes shot in us.
[01:18:45.090 --> 01:18:49.932]  And the enemy wants to silence us, then they're really going to plant child porn on us.
[01:18:49.932 --> 01:18:51.933]  Then they're going to kill me, or you, or anybody else.
[01:18:51.933 --> 01:18:54.775]  I mean, the Democrats now are going into a full revolutionary fervor.
[01:18:54.775 --> 01:18:56.236]  Funded by foreign banks and the Chai Comps.
[01:18:56.236 --> 01:18:57.877]  So, go to InfowarStore.com.
[01:18:58.945 --> 01:19:14.832]  It's not only that you have a unique voice in the public arena, in the public square, the other thing that's unique about InfoWars is it is the only network of this reach that is not backed by a corporate donor or corporate sugar daddy, that's not backed by some billionaire, that's not being funded by a secret foreign government.
[01:19:14.832 --> 01:19:16.552]  It is completely independent of all that.
[01:19:16.552 --> 01:19:27.437]  It is an old school American 1776 style experiment in the expression of the freedom of press and freedom of speech that in fact the founders were so concerned with at the beginning of the country, they actually tried to
[01:19:27.637 --> 01:19:28.217]  We're good.
[01:20:01.350 --> 01:20:03.979]  You're listening to the Alex Jones Show!
[01:20:28.254 --> 01:20:29.635]  I'm Alex Jones, your host.
[01:20:29.635 --> 01:20:31.395]  Thank you for joining us.
[01:20:31.395 --> 01:20:36.657]  This is music that I'm playing to be ominous, on purpose, to get people's attention.
[01:20:36.657 --> 01:20:38.418]  That's air raid sirens.
[01:20:38.418 --> 01:20:51.963]  That's what you'll hear for about 10 minutes when the ICBMs are up in space, about to come in over major cities and have their nose cones pop open on re-entry and deliver their payload of thermonuclear weapons.
[01:20:56.129 --> 01:20:58.550]  Yes, ladies and gentlemen, that's what we're talking about.
[01:20:58.550 --> 01:21:11.577]  We now know why Vladimir Putin came out last week on the 11th, the day this happened, and issued an emergency warning of nuclear war with the United States and the end of civilization as we know it.
[01:21:11.577 --> 01:21:16.559]  Here's the Infowars.com headline that no one seemed to pay attention to, even the Russian news barely mentioned it.
[01:21:16.559 --> 01:21:21.102]  Putin warns of nuclear global catastrophe once
[01:21:22.202 --> 01:21:37.466]  Treaties expire in 2021 and says the United States doesn't even talk to Russia anymore about nuclear weapons or policy and that it's unprecedented and that it's very, very dangerous.
[01:21:37.466 --> 01:21:38.707]  Today, Putin said the U.S.
[01:21:38.707 --> 01:21:43.468]  military action against Iran would be catastrophic for the region at a minimum.
[01:21:43.468 --> 01:21:49.890]  He added it could trigger an escalation of hostilities of unpredictable types, like World War III.
[01:21:52.093 --> 01:21:52.753]  Here's another report.
[01:21:52.753 --> 01:21:53.114]  The U.S.
[01:21:53.114 --> 01:21:59.218]  says it won't rule out nuclear first strike because allies wouldn't trust it otherwise.
[01:21:59.218 --> 01:22:02.500]  Very, very provocative.
[01:22:02.500 --> 01:22:13.247]  And now we know, I already knew about this but I wasn't at liberty to talk about it, that Tucker Carlson talks to the President every day and the deep state listens to it with extreme anger.
[01:22:13.247 --> 01:22:15.849]  That's why Tucker's had to leave to an undisclosed location.
[01:22:17.208 --> 01:22:18.468]  I'll leave it at that.
[01:22:18.468 --> 01:22:19.848]  Probably already said too much.
[01:22:19.848 --> 01:22:22.809]  But that's how serious all of this is.
[01:22:22.809 --> 01:22:29.270]  And there's only a few people advising the President that he's being set up by the neocons, but he agrees with Tucker and others.
[01:22:29.270 --> 01:22:32.551]  And I've talked to two people that were very close to these discussions.
[01:22:32.551 --> 01:22:33.771]  I'll leave it at that.
[01:22:33.771 --> 01:22:35.051]  I'll leave it at that.
[01:22:35.051 --> 01:22:39.912]  Two people, one of which was involved in the discussions.
[01:22:39.912 --> 01:22:41.472]  This is very serious.
[01:22:41.472 --> 01:22:43.253]  Now, what are we talking about?
[01:22:43.253 --> 01:22:44.373]  You see this doctrine right here?
[01:22:45.572 --> 01:22:47.653]  This is first strike doctrine.
[01:22:47.653 --> 01:22:49.873]  Hillary and Obama admitted this was classified.
[01:22:49.873 --> 01:22:53.474]  They changed this somewhere around six years ago.
[01:22:53.474 --> 01:22:57.835]  To have a first strike on Russia or China or Iran or others.
[01:22:57.835 --> 01:22:59.796]  This was leaked out in the press.
[01:22:59.796 --> 01:23:05.317]  And that the Pentagon was considering using smaller tactical nuclear weapons.
[01:23:05.317 --> 01:23:07.758]  Which I'm not against using if somebody attacks us.
[01:23:07.758 --> 01:23:08.858]  That way you don't go to full-scale war.
[01:23:10.871 --> 01:23:20.436]  But you start putting in intercontinental ballistic missiles, or submarine-launched missiles, where they can't tell if it's a tactical nuke, or a full-powered nuke, or they can't tell if it's just a regular supersonic missile.
[01:23:20.436 --> 01:23:21.217]  That's what Putin said.
[01:23:21.217 --> 01:23:24.398]  They're forced to respond.
[01:23:24.398 --> 01:23:31.042]  You have a bad actor on a high-tech submarine fire a missile that you believe is a state actor, and it's somebody like Spectre.
[01:23:31.042 --> 01:23:36.265]  Somebody like a leftist arm of the CIA, or Israel, or Saudi Arabia, or somebody else.
[01:23:36.265 --> 01:23:37.566]  All these countries do false flags.
[01:23:38.336 --> 01:23:50.625]  But nuclear operations, Joint Publication 3-72, was released, it's been developed in the last year, it was really already in place for six years according to my intel, and leaks.
[01:23:50.625 --> 01:23:53.728]  But now it's official policy.
[01:23:53.728 --> 01:23:57.290]  It was out for one day, Putin responded, they pulled it.
[01:23:57.290 --> 01:24:04.996]  We were able to get it from the Google Archive, it has not been taken down, and it's all the doctrines we've heard before, from the 1960s, from this man,
[01:24:08.837 --> 01:24:13.442]  Who was the basis of Stanley Kubrick's film Dr. Strange Love?
[01:24:13.442 --> 01:24:16.104]  Based on Dr. Khan.
[01:24:16.104 --> 01:24:19.588]  Nuclear weapons experts alarmed by new Pentagon war fighting doctrine.
[01:24:19.588 --> 01:24:20.129]  London Guardian.
[01:24:20.862 --> 01:24:23.724]  And again, I don't just read this because I agree with the Guardian on a regular basis.
[01:24:23.724 --> 01:24:25.165]  This is accurate info.
[01:24:25.165 --> 01:24:27.307]  The Guardian can also lie, so be careful.
[01:24:27.307 --> 01:24:34.612]  The Pentagon believes using nuclear weapons could create conditions for decisive results as the restoration of strategic stability.
