[00:00.000 --> 00:11.000]  Waging war on corruption, it's Alex Jones coming to you live from the front lines of the info war.
[46:18.000 --> 46:26.000]  MycoZX Plus is the result of the search for that formula, a unique natural formula designed to support the body's natural cleansing of yeast and fungal organisms.
[46:26.000 --> 46:29.000]  There's no better product to help your body fight back.
[46:29.000 --> 46:38.000]  MycoZX Plus helps support a healthy microbial balance in the body, supports your digestive tract, and addresses the intestinal yeast that can cause you problems if it goes unchecked.
[46:38.000 --> 46:50.000]  Powered by an impressive list of ingredients, including grapefruit seed extract, poudarco bark, and grape seed extract, our formula is fueled by ingredients that stood the test of time as powerful micro balancing properties.
[46:50.000 --> 47:09.000]  Pick up a bottle of the new and improved MycoZX Plus today at InfoWarsLife.com. That's InfoWarsLife.com.
[47:21.000 --> 47:31.000]  Live from the InfoWars.com studios, you're listening to the Alex Jones show.
[47:31.000 --> 47:34.000]  Alright, it's Memorial Day.
[47:34.000 --> 47:54.000]  Zach has probably been a caller for a year and a half when I heard him say stuff that I knew was absolutely secret that nobody had repeatedly. I checked him out. He said, yeah, here's who I am. Checked out his background. He's been on TV, been in the media, been using PsyOps at a lot of levels, families well to do over in the Mediterranean.
[47:54.000 --> 48:02.000]  And so I said, okay, tell me more stuff. He never told me anything secret because they're listening to the phones. This morning they were doing dial tones, hanging up.
[48:02.000 --> 48:11.000]  I was doing a live feed earlier. My phone had plenty of power. They cut that live feed off. I mean, they're watching us. Hell, I had Michael Caputo on from the Trump campaign.
[48:11.000 --> 48:18.000]  He said, no, about, you know, a lot of the time they talked, it was all about you and are you a mastermind and what do you do and blah, blah, blah. The FBI.
[48:18.000 --> 48:24.000]  So I talked to other people. Well, now Zach hadn't slept all night. The FBI had him much yesterday. I talked to him four or five hours ago.
[48:24.000 --> 48:32.000]  He was really coach and he seems a little, little frazzled right now. And he during the break was like, well, yeah, because America is show evil and run by such bad people now.
[48:32.000 --> 48:42.000]  And he's a little freaked out by the threats they made on him. He won't even tell me what those threats are. The FBI said he almost got in a fist fight with them, the things they were saying and doing because it was so crazy to hear that I'm the mastermind.
[48:42.000 --> 48:50.000]  Roger Stone is the mastermind. You know, we're going to get it. He's going to admit we're criminals or he's going to go jail. All this stuff because he knows it's not true.
[48:50.000 --> 49:02.000]  He's been doing this moment like I had family that was in Vietnam and they were in Guatemala. And there was this moment at the orphanage when they found out they were trafficking kids out for pedophiles.
[49:02.000 --> 49:11.000]  And that was the moment that this family member I had back in the 70s and the 80s said, I'm not part of this. And they blew him and his partner up and all this other stuff.
[49:11.000 --> 49:20.000]  He lived, but I mean, I already know. I already know it's dangerous. I already know it's real. I already know what's going on at the bottom of the rabbit hole. I already get it. I want that spider.
[49:20.000 --> 49:32.000]  I'm ready to die for it. Let's get in there. So I get the fact exactly how many sleep in you. It's Memorial Day. You might have a few Budweisers, but just finish up your point of why you're subset, what you can say, what you can't say.
[49:32.000 --> 49:43.000]  Because I know, you know, they say you're not supposed to talk because what you do in Psyops. This isn't Psyops. This is you, a citizen, a patriot, a guy that was in Libya, all these other places that saw what you weren't supposed to see.
[49:43.000 --> 49:53.000]  We already know all about it. We already got it from Plumlee and Colonel Shaffer and everybody else. We already know everything. The public knows the decision has been made to move on from that.
[49:53.000 --> 50:04.000]  The point is, is that what is it that's got you at this point in time, the fair con thing, the must thing, all of it. You've been dead on what you've said on here. So what else do you want to add?
[50:04.000 --> 50:17.000]  Yeah, so Alex Jones and Roger Stone have concocted the complete downfall of America. I don't think so. I don't think so.
[50:17.000 --> 50:26.000]  So tell me what you were saying this morning. You were very fluent. You let it all out. I mean, tell me what got you so upset while they were telling you this stuff. I mean, break it down.
[50:26.000 --> 50:46.000]  When I was questioned by the FBI, they announced or questioned my association with you. And they said, so you and Alex Jones, like for sure, like it's orchestrated, right?
[50:46.000 --> 51:11.000]  Like you, Roger, everything like Roger knows Trump. Alex knows me. I know me. No. They believe in true fruition that Roger Stone is running the Trump campaign that Alex Jones is talking to Zach and Zach is running in for wars.
[51:11.000 --> 51:27.000]  Here's the shit kicker. Excuse me. I'm sorry to lay that one more time, Zach, please. Go ahead, Zach. Here's the problem. Here's the problem. Alex, we've never talked. We're not we're not connected.
[51:27.000 --> 51:35.000]  I've never been to Austin. We've never to be specific when you laid out that Vegas stuff that I was asked not to add to it. I knew you weren't be asking.
[51:35.000 --> 51:45.000]  And he said, OK, here's who I am. I looked you up and you were in the newspaper. And then we've talked, I don't know, maybe, maybe seven, eight, nine times where you're like, should I do this documentary? Should I get out of the military?
[51:45.000 --> 51:47.000]  And I'm like, dude, do whatever you want.
[51:47.000 --> 51:54.000]  The same Netflix that Barack Obama and Michelle. Oh, just got a contract deal, by the way.
[51:54.000 --> 52:07.000]  Yeah. So that's the discussion, what you should do with your career. And I told you, make that a decision. So just so it's on the record, though, why this upset you to be accused of being a trader when you're not. I mean, just because criminals that have hijacked the government.
[52:07.000 --> 52:12.000]  Oh, oh, they accuse me of being a trader. And I promise you, I'm not.
[52:12.000 --> 52:22.000]  But just because there's criminals in the government, don't take that like you've had your character besmirched and freak out by that. This is a come to Jesus moment where you realize just how bad it is.
[52:22.000 --> 52:37.000]  Alex, Alex, this. So like this show right now, like we're working it out on air. And it's not easy. It's not like we could like just have like a workshop and say, hey, you should say this or you should say that.
[52:37.000 --> 52:38.000]  It's difficult.
[52:38.000 --> 52:45.000]  Oh, I know. You said they accused you of like, about a month ago, being here and it was all being staged. No.
[52:45.000 --> 52:59.000]  Yeah, 100%. They said, oh, you're in the other room with Alex. I said, no, I've never met Alex. I've talked to him on the phone. They said, no, you're in the other room with him. And you like he has a narrative for you.
[52:59.000 --> 53:05.000]  I said, no, that never happened to see their all followers. They get the narrative.
[53:05.000 --> 53:15.000]  And that's what you believe that stupidity. Do you believe that? But you made great points about organic. We all know the truth. I mean, I've had, I've had, I've had, I've had.
[53:15.000 --> 53:30.000]  Tonto Peranto on the hero Benghazi. He's a great guy. He loves the show. He told us what went on. What's our sources? The guys on the ground, the guys at sitcom. I mean, it's not Zach, even though Zach's been in sitcom.
[53:30.000 --> 53:36.000]  Don't you get it? We're all pissed off, man. We all know it went on, but there's such followers. They can't believe we all think alike.
[53:36.000 --> 53:46.000]  Listen, maybe, maybe I'm not as elegant. Like, I'm not as elegant as I usually am because I'm stressed out because of this.
[53:46.000 --> 53:48.000]  I understand, brother. It's really been up all night.
[53:48.000 --> 53:56.000]  What I'm saying is so problematic and so perpetuated that I don't know how to say it.
[53:56.000 --> 54:01.000]  Now, I know you're sitting on top all the stuff, you know, we don't want the classified stuff. We already know all this to everything that's going on.
[54:01.000 --> 54:08.000]  The big issue here is we get the whole global agenda. You can, you can have propaganda, but you also have movements and you have signs and we get the agenda.
[54:08.000 --> 54:16.000]  We know, we know where the new order is going better than their top people because we're not followers like them. That said, you've done a great job.
[54:16.000 --> 54:23.000]  You've exposed a lot. The fair con thing is out. How big is that? That he has this backhanded thing where he knows he's got to come out.
[54:23.000 --> 54:29.000]  Well, the thing is, how did you, how did you reach out to him? How did it happen?
[54:29.000 --> 54:38.000]  And my question is, fair con would say it, you would say it, everyone would say it. How was the connection made?
[54:38.000 --> 54:44.000]  Well, I mean, you've shown you a lot of good connections because I've talked to some of them about you talking to them separately.
[54:44.000 --> 54:45.000]  I don't mean to be.
[54:45.000 --> 54:50.000]  No, no, I understand. I understand that it was, it was, it was very stopped to me.
[54:50.000 --> 54:57.000]  I'm trying. I'm trying. I'm trying to save this country. I'm sorry. I'm sorry that all these things are going on.
[54:57.000 --> 55:06.000]  I don't want pedophiles to run our country. So period. If you have a problem with me, combine me, I'm not going to stop.
[55:06.000 --> 55:09.000]  I'm not going to stop talking to Alex Jones. Period.
[55:09.000 --> 55:16.000]  All right, Zach, what you need to do is relax, get some sleep. Let's get you back on tomorrow to break this down.
[55:16.000 --> 55:21.000]  We really appreciate you. Roger Stone's coming up. Okay. You've done a good job. I'm sorry they threatened you.
[55:21.000 --> 55:25.000]  Pulled you off that boat, all the rest of it when you were trying to go out and fishing.
[55:25.000 --> 55:29.000]  But you told me a lot of interesting things about what they said and thank you for giving us that picture.
[55:29.000 --> 55:34.000]  We already knew from Michael Caputo was on Monday, you know, seven days ago, six days ago.
[55:34.000 --> 55:40.000]  We already know they're honing in on me and Roger Stone. That's their plan. It's totally insane.
[55:40.000 --> 55:42.000]  You are the epicenter.
[55:42.000 --> 55:44.000]  But it shows how empty they are.
[55:44.000 --> 55:45.000]  You are the epicenter.
[55:45.000 --> 55:49.000]  And there's no Russia gate. There's no nothing. And so this is all they got.
[55:49.000 --> 55:54.000]  There's nothing. There's nothing. There's Trump and Alex Jones. Period.
[55:54.000 --> 55:57.000]  That's really silly. God bless you. We're going to talk soon.
[55:57.000 --> 56:03.000]  The truth is there's the American people and there's Matt Drudge and there's WorldNet Daily and there's the Daily Caller.
[56:03.000 --> 56:09.000]  And there's all these groups and all these organizations and Turning Point and Candice Owens and Kanye West.
[56:09.000 --> 56:16.000]  They've decided because I've said so much and done so much, they can demonize me and they've got more material to make me look crazy.
[56:16.000 --> 56:19.000]  It's not that I'm that good. It's that I'm that real.
[56:19.000 --> 56:24.000]  They've decided to choose me as the albatross to hang around Trump's neck.
[56:24.000 --> 56:33.000]  And they think with enough demonization in the last few years, enough lies, enough edited tapes that when they hang around my neck, everybody will buy it and desert me.
[56:33.000 --> 56:40.000]  I'm not worried about it because I took on the globals for the children, not because I'm a hero, but because just like Tommy Robinson,
[56:40.000 --> 56:51.000]  watching them for a year, traffic kids in front of his tanning salon, little girls crying, 7, 8, 9, 10 years old being shoved into cars with men by Muslims.
[56:51.000 --> 56:54.000]  But it was Brits and others coming to get the kids. They're all involved.
[56:54.000 --> 56:59.000]  Don't just blame the Muslims. He had to start physically beating their asses and got put in prison for it.
[56:59.000 --> 57:05.000]  I beat their ass the first time. I'm just telling you, but that's what he sat there and had to watch.
[57:05.000 --> 57:10.000]  He's a hero because he's still a man. He's not a demon. He knows when he sees evil, he's going to fight.
[57:10.000 --> 57:14.000]  So he's in a secret prison and the government's ordered no reporting on it.
[57:14.000 --> 57:19.000]  And Zach this morning was not as exhausted as he is. He's been up all night. He was calling me at 3 a.m.
[57:19.000 --> 57:23.000]  He's really exhausted and freaked out because of all the stuff he knows, the horrible things he saw in Libya.
[57:23.000 --> 57:30.000]  And all the classified stuff he knows about putting the women in cages and all the stuff Hillary and Soros are up to.
[57:30.000 --> 57:35.000]  He's scared for his family, for everybody just because it freaks him out as a person what's happening.
[57:35.000 --> 57:40.000]  You can hear the threats they made yesterday are horrible, but this is what it is. This is where we've come to.
[57:40.000 --> 57:45.000]  Roger Stone's coming up. We've got incredible information, but 13 people have been raided.
[57:45.000 --> 57:49.000]  The focus is info wars. Our enemies are celebrating.
[57:49.000 --> 57:56.000]  Western Europe has already banned free speech and an iron curtain of censorship is sending down over the UK.
[57:56.000 --> 58:04.000]  They're set to pass rules, not a law, that if you criticize Islam or gays, you'll get six months in prison.
[58:04.000 --> 58:08.000]  We know we're only about a year or two behind what's happening in the UK.
[58:08.000 --> 58:13.000]  CNN and many others are calling for info wars to be shut down, taken off the web.
[58:13.000 --> 58:20.000]  Slate magazine has a professor and others saying go beyond censorship, brainwash young people against info wars.
[58:20.000 --> 58:25.000]  Psychologically inoculate them with lies so they don't actually hear what we have to say.
[58:25.000 --> 58:28.000]  We are the most hated news source in the world by globalists.
[58:28.000 --> 58:36.000]  It is so critical that you go to infowars.com or slash newsletter and sign up for the free newsletter so we can be in contact with you.
[58:36.000 --> 58:45.000]  And so the censors can't bully their way in and block us being able to engage in free, open dialogue as a society that is critical to this fight.
[58:45.000 --> 58:48.000]  We will prevail if you take action and I know you will.
[58:54.000 --> 58:58.000]  Memorial Day blowout special free shipping and up to 50% off your favorite products.
[58:58.000 --> 59:04.000]  To help celebrate Memorial Day, we're dropping the prices to unprecedented levels on new and old favorite products.
[59:04.000 --> 59:11.000]  Now's the time to take advantage of these incredibly low prices of fan favorite supplements, gear and more with free shipping while supporting the info war.
[59:11.000 --> 59:16.000]  Super male and super female vitality, 50% off with free shipping.
[59:16.000 --> 59:21.000]  X2 bio true selenium combo, 50% off with free shipping.
[59:21.000 --> 59:40.000]  Brainforce plus, alpha power, the real red pill plus, DNA force plus, floor life products, immune wall, pollen block, info wars life select storeable foods one year, six month and three month food supply, 50% off with free shipping.
[59:40.000 --> 59:47.000]  Don't forget to sign up for our newsletter to gain VIP access to exclusive store wide deals at infowars.com forward slash newsletter.
[59:47.000 --> 59:53.000]  Join the fight for freedom.
[59:53.000 --> 01:00:19.000]  You're listening to the Alex Jones show.
[01:00:19.000 --> 01:00:33.000]  Government cover ups. You want to stop tyranny? Well, so does he live from the info wars.com studios. It's Alex Jones.
[01:00:33.000 --> 01:00:38.000]  You know, some people drink to take courage before a fight.
[01:00:38.000 --> 01:00:46.000]  I drink because I've got too much fight. I have a temperate rock tower people around me apart.
[01:00:46.000 --> 01:00:50.000]  But I've stopped that as much as I can as well.
[01:00:50.000 --> 01:00:55.000]  A lot of wires got crossed today because I only had three crew members that could come in on emergency calls to this live broadcast.
[01:00:55.000 --> 01:01:01.000]  We had a great rebroadcast lined up for his memorial day. We're live at 12 noon central 1pm Eastern.
[01:01:01.000 --> 01:01:05.000]  Roger Stone thought he was on at 11 30 central. So he's not responding now.
[01:01:05.000 --> 01:01:13.000]  He thought we've made him sit there on hold for 30 minutes. That wasn't the case because he gave me the big download on Mueller does plan to frame him.
[01:01:13.000 --> 01:01:19.000]  The focus has changed to Alex Jones and Roger Stone.
[01:01:19.000 --> 01:01:22.000]  And just American collusion.
[01:01:22.000 --> 01:01:25.000]  So I guess us being anti Hillary is a crime.
[01:01:25.000 --> 01:01:32.000]  That's what they were telling Zach. Zach was like lining up exactly what Roger had told me Saturday.
[01:01:32.000 --> 01:01:36.000]  And Sunday off air.
[01:01:36.000 --> 01:01:43.000]  That's why I know Zach's credible. Plus he's been in the news. Folks know he is. And you know, Zach's under a lot of pressure. He's been up all night.
[01:01:43.000 --> 01:01:49.000]  And I understand that. I just you've heard him many times. You heard off study was, you know, he's a real person.
[01:01:49.000 --> 01:01:58.000]  He's not like DSQ deep state Q that is a fabrication and of course has the media loving it and promoting it and pushing it.
[01:01:58.000 --> 01:02:04.000]  I'm Alex Jones. I've been around 23 years. I said Trump would win. I said, you know, cell phones were giving you brain tumors.
[01:02:04.000 --> 01:02:09.000]  I said, GMO was killing you. It's all admitted. I'm just a fan of humanity. You're telling the truth.
[01:02:09.000 --> 01:02:14.000]  Moving forward. And I'm so far down this thing now.
[01:02:14.000 --> 01:02:23.000]  I've already worked through every possible permutation of what they can do to me. And I just accept it because somebody's got to stand up to them if humanity has a future.
[01:02:23.000 --> 01:02:30.000]  It's not a heroic action. It is a self preservation action.
[01:02:30.000 --> 01:02:39.000]  Tommy Robinson is in prison. One hour after he was arrested and the judge orders no one to cover it.
[01:02:39.000 --> 01:02:48.000]  And there's photos of the judge smirking like the Joker. That archetypal image of delusional tyranny is all we need.
[01:02:48.000 --> 01:02:56.000]  You know, tyranny and the corruption tends to take over when people get large ass and decadent.
[01:02:56.000 --> 01:03:07.000]  But once they get in total power, then they start flaunting it and they find that the sleeping giant was sleeping, not intimidated.
[01:03:07.000 --> 01:03:14.000]  So that's the news on that front. There's no where I'd rather be on Memorial Day than right here on air and live with you.
[01:03:14.000 --> 01:03:21.000]  I did the whole last hour didn't even plug, you know, they're trying to shut us down when you financially support us and get great products at the same time.
[01:03:21.000 --> 01:03:26.000]  It's all possible. So I salute you and I thank you.
[01:03:26.000 --> 01:03:36.000]  A lot of people have been pre-programmed by the media and everything that when the U.S. government comes and tells you you're a bad person, you're supposed to ball up in the corner and piss yourself.
[01:03:36.000 --> 01:03:41.000]  You know, the same U.S. government lets illegal aliens shoot women in the back and lets them go.
[01:03:41.000 --> 01:03:52.000]  Let's jihadist murder people in mass and covers it up. So this isn't our government. This is a parasitic overlay, a face-sucking system we're trying to remove.
[01:03:52.000 --> 01:03:57.000]  And it's going to be a bloody process, but we're not going to have a future if we don't do it.
[01:03:57.000 --> 01:04:09.000]  So I'm not just going to hide myself off forever and hope it passes me over so I can physically eat steaks and act powerful and strut around.
[01:04:09.000 --> 01:04:17.000]  I want to be part of the real zest that made humanity, the real zest that led us to this point and can lead us to the next point.
[01:04:17.000 --> 01:04:27.000]  I know there's a real stairway to heaven, but it's paved with taking action and will and historical research and understanding and total commitment.
[01:04:27.000 --> 01:04:33.000]  And if you just totally commit, then there's no more fear.
[01:04:33.000 --> 01:04:41.000]  But I know soldiers, I know people that have been leaders, multiple leaders, Navy SEAL, SEAL Team 6, Delta Force, all nine yards.
[01:04:41.000 --> 01:04:47.000]  And they're strong guys and they're great and everything, but when it comes to moral courage to speak out,
[01:04:47.000 --> 01:05:05.000]  I know guys that have Congressional Medal of Honor winners are scared to talk because they are conforming to their own death.
[01:05:17.000 --> 01:05:23.000]  Every batch is analyzed for purity and D3 content. It's completely free of toxins and allergens.
[01:05:23.000 --> 01:05:27.000]  Simply put, if you want the best at an extremely low price, this is it.
[01:05:27.000 --> 01:05:31.000]  Winner's Son is the result of our pursuit of the best source of vitamin D3.
[01:05:31.000 --> 01:05:39.000]  The research and development took over two years, but the result, as verified by independent laboratories, is the best vegan vitamin D3 product in the world.
[01:05:39.000 --> 01:05:47.000]  Read the facts at InfowarsLife.com about Winner's Son vitamin D3. Not only does vitamin D3 promote a healthy mood,
[01:05:47.000 --> 01:05:52.000]  but vitamin D supports our memory and brain function. Something the globalists are targeting.
[01:05:52.000 --> 01:06:09.000]  Visit Infowars.com today or call 888-253-3139.
[01:06:09.000 --> 01:06:24.000]  Defending the Republic from enemies, foreign and domestic, it's Alex Jones.
[01:06:24.000 --> 01:06:40.000]  And look to the left and look to the right, but you're one of the dangerous ones.
[01:06:40.000 --> 01:07:02.000]  We are winning in the take-back of the Republic, but those of us on the front lines are going to be demonized.
[01:07:02.000 --> 01:07:20.000]  We're going to be attacked and we're going to be twisted, at least our doppelgangers, our strawmen, into something to hurt America.
[01:07:20.000 --> 01:07:27.000]  The enemy takes our strengths and twists our swords into lies.
[01:07:27.000 --> 01:07:34.000]  And that's what they're doing to Donald Trump. They're doing it to me. They're doing it to anybody else that sticks their heads up.
[01:07:34.000 --> 01:07:40.000]  You can go to DrudgeReport.com and you can see all about Tommy Robinson in prison.
[01:07:40.000 --> 01:07:46.000]  You can see the link over the right-hand side to the Soviet events.
[01:07:46.000 --> 01:07:57.000]  Tommy Robinson Update, UK in shock as judge orders cover-up in Soviet-style disappearance of journalists.
[01:07:57.000 --> 01:08:00.000]  Activists jailed in London. Judge orders pressed blackout.
[01:08:00.000 --> 01:08:09.000]  Robinson silence. There is almost no coverage of this in the U.S. other than Infowars.com and DrudgeReport.com.
[01:08:09.000 --> 01:08:13.000]  It isn't like I'm up there going, oh look, I'm exclusive. I don't want to be exclusive.
[01:08:13.000 --> 01:08:24.000]  I was sitting there at 7 a.m. catching catfish on a totally calm lake with no one on it.
[01:08:24.000 --> 01:08:28.000]  And my children put their life preservers on to get in a little fishing boat.
[01:08:28.000 --> 01:08:35.000]  My young, my middle daughter and my son, my older daughter was up there with my baby and my wife.
[01:08:35.000 --> 01:08:40.000]  They were so excited and they said, Daddy, let's go to that island where we catch all those fish.
[01:08:40.000 --> 01:08:49.000]  And I said, I'm sorry, I got to leave. And my middle daughter, sweetheart, said, again, Daddy?
[01:08:49.000 --> 01:09:05.000]  And I'm not even complaining. Tommy Robinson is in a prison, but we're all going to be there if we don't start fighting as the sacrifices it takes.
[01:09:05.000 --> 01:09:11.000]  I know 13 people have been questioned the last week and a half. I talked to Michael Caputo, the only one that had courage to come on and say his name,
[01:09:11.000 --> 01:09:15.000]  because they threatened him. They said, you don't talk about this or you're going to prison.
[01:09:15.000 --> 01:09:21.000]  They threatened Zach. And Zach's a combat veteran, decorated, well-known guy in PsyOps, an officer.
[01:09:21.000 --> 01:09:29.000]  You heard him breaking down earlier on there because his family and the Pentagon and the FBI said you're going to prison if you talk to Jones again.
[01:09:29.000 --> 01:09:35.000]  So you need to understand the levels we're at. And then Lewis Farrakhan, they take what he says out of context.
[01:09:35.000 --> 01:09:39.000]  He said stuff I don't agree with. He invited me to his house a few years ago, said, I actually like Trump.
[01:09:39.000 --> 01:09:44.000]  How do I break that to my people? And he played this clip from Wonder Roger Stone.
[01:09:44.000 --> 01:09:51.000]  This clip happened Friday morning with Viral Saturday. Lewis Farrakhan gives a backhanded endorsement of Trump.
[01:09:51.000 --> 01:09:55.000]  Even more sophisticated than Connie just saying, I love Trump. We have a right to do this.
[01:09:55.000 --> 01:10:00.000]  He says, oh yeah, Trump is out to get us whatever you have. But boy, the elite really hate him.
[01:10:00.000 --> 01:10:03.000]  And boy, he's an anomaly, isn't he? And Connie, stuff's good happening.
[01:10:03.000 --> 01:10:08.000]  I know for a fact Farrakhan likes Trump. They don't know what to do.
[01:10:08.000 --> 01:10:12.000]  Farrakhan didn't even say don't tell people that. I'm at dinner with him after a three-hour interview.
[01:10:12.000 --> 01:10:18.000]  I'm at his house dinner for hours and hours. Man, these guys could talk forever.
[01:10:18.000 --> 01:10:26.000]  Super intense. Super smart. And they wanted to know the future.
[01:10:26.000 --> 01:10:30.000]  They could instinctively get Trump was not to get black people who wanted to change things.
[01:10:30.000 --> 01:10:34.000]  He just wants prosperity. So here's Lewis Farrakhan basically endorsing Trump.
[01:10:34.000 --> 01:10:40.000]  They understand folks. And we're going to Roger Stone in two minutes. Here is Lewis Farrakhan.
[01:10:40.000 --> 01:10:46.000]  And some people would argue that it's better now that the racism is more in our face rather than hitting.
[01:10:46.000 --> 01:10:49.000]  Excuse me. What's your perspective on that?
[01:10:49.000 --> 01:10:56.000]  Well, that wasn't the intent of this administration to do a lot of good for us.
[01:10:56.000 --> 01:11:01.000]  But the nature of this administration is good for us.
[01:11:01.000 --> 01:11:05.000]  Say pause. Start over again. He didn't even really give him a backhand account.
[01:11:05.000 --> 01:11:11.000]  I wish I could talk like that because Farrakhan's probably the most well-spoken person in the world today.
[01:11:11.000 --> 01:11:16.000]  Even better than Trump, better than Roger Stone. The way he takes it all.
[01:11:16.000 --> 01:11:20.000]  I'm not being honest about Farrakhan. I was with him for three hours on air and then hours and hours at dinner.
[01:11:20.000 --> 01:11:24.000]  And it was like he got every nuance, every angle you name it.
[01:11:24.000 --> 01:11:31.000]  I'm not kissing his ass. It's just true. And notice that guy's like, yeah, the racism's out in the open now with Trump.
[01:11:31.000 --> 01:11:34.000]  Farrakhan knows the truth from all the rappers and everybody else about Trump.
[01:11:34.000 --> 01:11:38.000]  So he likes black people. He likes everybody. He really likes black people. He likes the energy.
[01:11:38.000 --> 01:11:42.000]  And that's Roger Stone, but he won't tell you.
[01:11:42.000 --> 01:11:50.000]  The point is, is that he's sitting there and Farrakhan just takes that like a judo move and pushes it aside and goes,
[01:11:50.000 --> 01:11:55.000]  oh yeah, but that wasn't the intent to help us.
[01:11:55.000 --> 01:12:02.000]  He just sidesteps that. But notice he's this big disruptor that he endorses Trump because he knows he just comes out and endorses him.
[01:12:02.000 --> 01:12:05.000]  He'll be destroyed. But can he get these folks to come to the water and drink?
[01:12:05.000 --> 01:12:08.000]  You can lead a horse to water. Can you make it drink?
[01:12:08.000 --> 01:12:12.000]  Because the establishment you hate wants to kill everybody that supports Trump.
[01:12:12.000 --> 01:12:14.000]  Let's go to this clip. Here it is.
[01:12:14.000 --> 01:12:21.000]  And some people would argue that it's better now that the racism is more in our face rather than hitting, hitting, excuse me.
[01:12:21.000 --> 01:12:23.000]  What's your perspective on that?
[01:12:23.000 --> 01:12:30.000]  Well, that wasn't the intent of this administration to do a lot of good for us.
[01:12:30.000 --> 01:12:36.000]  But the nature of this administration is good for us.
[01:12:36.000 --> 01:12:42.000]  Because now, you know, sometimes you think you're where you are not.
[01:12:42.000 --> 01:12:47.000]  And so Trump is letting you know where you really stand.
[01:12:47.000 --> 01:12:52.000]  And because of Trump's way, he is an anomaly.
[01:12:52.000 --> 01:12:58.000]  There's never been no president quite like Mr. Trump.
[01:12:58.000 --> 01:13:00.000]  But there's something that he's doing.
[01:13:00.000 --> 01:13:04.000]  I'm going to come out in a few weeks and talk about it.
[01:13:04.000 --> 01:13:11.000]  But Trump is destroying every enemy that was an enemy of our rise.
[01:13:11.000 --> 01:13:13.000]  Who's the enemy of our rise?
[01:13:13.000 --> 01:13:18.000]  Is it the Department of Justice where we get none?
[01:13:18.000 --> 01:13:25.000]  Is it Congress where you make a law that favors us and then you turn around and destroy it?
[01:13:25.000 --> 01:13:34.000]  Is it the media that has destroyed every black leader that stood up for us, calling us out of our name?
[01:13:34.000 --> 01:13:41.000]  Martin Luther King suffered it, Malcolm suffered it, Dubois suffered it, Marcus Gavi suffered it.
[01:13:41.000 --> 01:13:44.000]  So he's attacking the media, calls it fake news.
[01:13:44.000 --> 01:13:54.000]  Well, I don't think everything is fake, but I know very well that we have been the victims of some fake news.
[01:13:54.000 --> 01:13:58.000]  He's beating up the FBI.
[01:13:58.000 --> 01:14:01.000]  Go at it, baby.
[01:14:01.000 --> 01:14:10.000]  Because they've been beating the hell out of us ever since J. Edgar Hoover and the counterintelligence program of the U.S. government.
[01:14:10.000 --> 01:14:15.000]  So go ahead, Mr. Trump.
[01:14:15.000 --> 01:14:19.000]  So that's Farrakhan trying to wake people up who've been brainwashed.
[01:14:19.000 --> 01:14:21.000]  We've all been brainwashed.
[01:14:21.000 --> 01:14:24.000]  But it's a historic moment because the truth is, Trump is pragmatic.
[01:14:24.000 --> 01:14:26.000]  He wants everybody to have a future.
[01:14:26.000 --> 01:14:29.000]  The globalists know that. That's why they're out to get him.
[01:14:29.000 --> 01:14:31.000]  And this is a pretty big time to be alive, Roger Stone.
[01:14:31.000 --> 01:14:33.000]  We're going to come back for two seconds with you.
[01:14:33.000 --> 01:14:34.000]  I appreciate you being here with us.
[01:14:34.000 --> 01:14:35.000]  None of us were going to come in today.
[01:14:35.000 --> 01:14:37.000]  You had plans with your family at the beach.
[01:14:37.000 --> 01:14:38.000]  Your wife's been sick.
[01:14:38.000 --> 01:14:41.000]  But history, we've now 12 people you've talked to.
[01:14:41.000 --> 01:14:45.000]  Now, Army officer, they came to him and they said,
[01:14:45.000 --> 01:14:51.000]  Roger Stone, Alex Jones, the masterminds with Trump, of treason, you better agree that you've been part of it.
[01:14:51.000 --> 01:14:53.000]  And he's like, this is insane. I've never met him.
[01:14:53.000 --> 01:14:55.000]  I've been a guest on one show with Roger Stone.
[01:14:55.000 --> 01:14:57.000]  This is the level, Roger.
[01:14:57.000 --> 01:14:59.000]  No, it's really extraordinary, Alex.
[01:14:59.000 --> 01:15:04.000]  You know, having come up empty-handed on the whole Russian collusion, WikiLeaks nonsense,
[01:15:04.000 --> 01:15:09.000]  although they continue to ask those insane questions of people.
[01:15:09.000 --> 01:15:19.000]  And then you have mainstream media outlets like the Atlantic or the Wall Street Journal that continue to further this whole fake narrative,
[01:15:19.000 --> 01:15:25.000]  you know, continuing under the premise that, oh, Assange is an agent of the Russians.
[01:15:25.000 --> 01:15:27.000]  WikiLeaks is a Russian front.
[01:15:27.000 --> 01:15:28.000]  It's nonsense.
[01:15:28.000 --> 01:15:30.000]  There's no question about it, Alex.
[01:15:30.000 --> 01:15:31.000]  They intend to frame me.
[01:15:31.000 --> 01:15:33.000]  They intend to frame you.
[01:15:33.000 --> 01:15:41.000]  They want to charge us on some bogus offense that is designed to leverage my testimony against the president of the United States.
[01:15:41.000 --> 01:15:42.000]  Well, let me say this.
[01:15:42.000 --> 01:15:45.000]  John Dean, I am not.
[01:15:45.000 --> 01:15:47.000]  That's right. And the weird thing is I have no fear.
