[00:00:00.250 --> 00:00:00.350]  What?
[00:27:59.830 --> 00:28:01.131]  It's time to speak out.
[00:28:02.593 --> 00:28:03.714]  You brought up Ron Paul.
[00:28:03.714 --> 00:28:11.602]  Ron Paul is probably the last best hope we have right now to turn things around.
[00:28:11.602 --> 00:28:12.122]  He's it.
[00:28:12.122 --> 00:28:18.748]  And that's why, like you said, active duty military is the largest contributor to his campaign.
[00:28:18.748 --> 00:28:21.992]  Out of all the other candidates combined, he gets more than they do.
[00:28:22.972 --> 00:28:37.917]  So it's very important that we take the time now so that our children don't end up having... I can't even imagine the world that they're going to live in, considering what we deal with now.
[00:28:37.917 --> 00:28:49.842]  Well, it's a world, Joe, where Corzine can take a billion plus dollars and be caught in perjury and he isn't even going to get in trouble.
[00:28:49.842 --> 00:28:50.362]  Absolutely.
[00:29:01.189 --> 00:29:16.679]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions, yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[00:29:16.679 --> 00:29:20.342]  My name is Mario Cifaldi and I'm the developer of the Silver Lungs Generator.
[00:29:21.365 --> 00:29:34.137]  Not only does the Silver Lung System produce endless colloidal and ionic silver solutions, it also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[00:29:34.137 --> 00:29:41.404]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[00:29:42.085 --> 00:29:52.457]  Be sure to watch our new 7-minute video tour of the Silver Lungs System at www.SilverLungs.com to learn more about how the Silver Lungs System works.
[00:29:52.457 --> 00:29:56.382]  As well, we are always ready to answer any questions you may have.
[00:29:56.382 --> 00:29:59.505]  That's www.SilverLungs.com
[00:30:00.186 --> 00:30:01.768]  Hi, this is Alex Jones.
[00:30:01.768 --> 00:30:08.073]  This holiday season, more than half of our nation is in need of help due to the shattered economy.
[00:30:08.073 --> 00:30:12.096]  So now is the time to express the holiday spirit more than ever.
[00:30:12.096 --> 00:30:17.381]  Consider helping those you love with the most important gift, a supply of delicious, easy
[00:30:17.461 --> 00:30:18.122]  I think so.
[00:30:32.418 --> 00:30:40.245]  In case of a grab-and-go emergency, order their Combo Gift Pack and you'll save hundreds, plus get free shipping on your entire order.
[00:30:40.245 --> 00:30:50.114]  Call eFoods today at 800-409-5633 or visit them online at efoodsdirect.com forward slash Alex to find the special.
[00:30:50.114 --> 00:30:56.440]  That's 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:30:56.440 --> 00:30:58.802]  You can bet your life on eFoods Direct.
[00:31:00.478 --> 00:31:07.119]  When you're out on the road, the last place you want to be is on the road.
[00:31:07.119 --> 00:31:12.261]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[00:31:12.261 --> 00:31:20.983]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[00:31:20.983 --> 00:31:23.463]  They sew pride in every stitch.
[00:31:23.463 --> 00:31:27.184]  Guarantee you'll love the way they fit.
[00:31:29.349 --> 00:31:34.070]  They put a Diamond Gusset in the crotch where you need it most.
[00:31:34.070 --> 00:31:37.911]  Blue Diamond Gussets got it.
[00:31:37.911 --> 00:31:39.131]  Others don't.
[00:31:39.131 --> 00:31:41.291]  We turn jeans inside out.
[00:31:41.291 --> 00:31:43.072]  Diamond Gusset Jeans.
[00:31:43.072 --> 00:31:45.952]  Made in the USA with unparalleled quality.
[00:31:45.952 --> 00:31:50.193]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection.
[00:31:50.193 --> 00:31:52.574]  So you can ride all day with confidence.
[00:31:52.574 --> 00:31:55.274]  Order yours at gusset.com.
[00:31:55.274 --> 00:31:57.655]  Diamond Gusset Jeans got it.
[00:31:57.655 --> 00:31:58.155]  Others don't.
[00:31:59.995 --> 00:32:03.917]  You may be arrested and or subject to other police action.
[00:32:03.917 --> 00:32:05.177]  Tyranny is here.
[00:32:05.177 --> 00:32:09.059]  The grim future foretold in 1984 has become reality.
[00:32:09.059 --> 00:32:11.500]  It really says that the state is God.
[00:32:11.500 --> 00:32:17.203]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[00:32:17.203 --> 00:32:23.446]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[00:32:23.866 --> 00:32:29.851]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[00:32:29.851 --> 00:32:34.034]  Police State 4 chronicles the sickening depth to which our republic has fallen.
[00:32:34.034 --> 00:32:38.318]  Prepare to enter the secretive world of emergency dictatorship.
[00:32:38.318 --> 00:32:44.283]  Body scanners, sound cannons, citizen spies, stage terror, and cameras on every street corner.
[00:32:44.283 --> 00:32:47.826]  It's only the beginning of the New World Order's hellish plan.
[00:32:47.826 --> 00:32:49.807]  The police state isn't coming.
[00:32:49.807 --> 00:32:50.248]  It's here.
[00:32:50.908 --> 00:32:57.712]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv.
[00:33:12.566 --> 00:33:19.772]  Defending the Republic from enemies foreign and domestic, it's Alex Jones!
[00:33:32.142 --> 00:33:34.846]  The people have the power in this country.
[00:33:34.846 --> 00:33:39.633]  The powers that be, this elitist cabal that runs things.
[00:33:39.633 --> 00:33:46.824]  And they do, the special interests, they pull the puppet strings of our non-representing representatives.
[00:33:46.824 --> 00:33:47.705]  They're the ones.
[00:33:48.837 --> 00:33:53.481]  That put up this smoke screen to have you think you don't have the power.
[00:33:53.481 --> 00:34:00.387]  But it's your labor that funds all of these efforts, all of these illegal wars and everything else.
[00:34:00.387 --> 00:34:06.492]  And you have the power, each and every person listening to this show tonight has the power to change things.
[00:34:08.393 --> 00:34:20.335]  And that's why I'm here, is because I feel compelled, I feel duty-bound to educate people and give them the knowledge, arm them with the knowledge to be able to fight back.
[00:34:21.502 --> 00:34:22.362]  Well said, Joe.
[00:34:22.362 --> 00:34:25.583]  Now, we've got in front of us what your wife directed us to.
[00:34:25.583 --> 00:34:26.023]  Yes.
[00:34:26.023 --> 00:34:29.324]  You know, there with your family in the background today, and you're home from work now.
[00:34:29.324 --> 00:34:30.224]  I can cover it.
[00:34:30.224 --> 00:34:36.186]  Statement of work, Federal Emergency Management Agency, National Continuity Program.
[00:34:36.186 --> 00:34:44.588]  She sent us emails linking to public contracts last week, and she called up this week and said, look, you got the wrong documents.
[00:34:44.588 --> 00:34:46.209]  Yes, Department of Defense,
[00:34:47.219 --> 00:34:47.579]  We're good to go.
[00:35:04.724 --> 00:35:06.125]  It's a fascinating document.
[00:35:06.125 --> 00:35:12.788]  And first of all, just so everybody understands, this is all public information.
[00:35:12.788 --> 00:35:15.509]  This is what's called a solicitation for contract.
[00:35:15.509 --> 00:35:21.612]  And basically, the government has a website, fedbizops.gov, where they put out
[00:35:22.452 --> 00:35:27.935]  Draft statements of work, and contractors will go and bid for the work.
[00:35:27.935 --> 00:35:35.019]  It's a very convoluted, hard to search through system, which is why things are very easy to overlook.
[00:35:35.019 --> 00:35:43.223]  Case in point, if you wanted to look up contracts, you type in Department of Homeland Security, you're going to see thousands of contracts that come up.
[00:35:43.223 --> 00:35:49.206]  And you'd have to comb through each and every one of them to find it, unless you know the key words and the key acronyms.
[00:35:49.286 --> 00:35:50.527]  Well, it's got 35 agencies on it.
[00:35:50.527 --> 00:35:53.069]  There's probably hundreds of thousands of contracts.
[00:35:53.069 --> 00:35:53.589]  Absolutely.
[00:35:53.589 --> 00:35:59.213]  I mean, and like I said, and that's just, you know, that's just, that's what makes it so difficult.
[00:35:59.213 --> 00:36:04.957]  So I can totally understand how, you know, it may have been missed or misinterpreted.
[00:36:04.957 --> 00:36:06.317]  And it's very easy to do.
[00:36:06.317 --> 00:36:15.544]  You know, just recently I saw a solicitation, Department of Education, wanting 500 military, militarized shotguns.
[00:36:16.434 --> 00:36:16.794]  Really?
[00:36:16.794 --> 00:36:17.854]  You know?
[00:36:17.854 --> 00:36:20.015]  But this is all public information.
[00:36:20.015 --> 00:36:31.397]  So this document... And expanding on that, I've probably been to 20 urban warfare drills, researched this for 14 years, 13 years or so, because I wasn't on to this the first few years on air.
[00:36:31.397 --> 00:36:35.938]  And when I read these documents, I understand some of it, but it's all meant to be Greek.
[00:36:35.938 --> 00:36:43.720]  It's all put in a military contractor parlance where the general public doesn't know what blue groups against red groups mean.
[00:36:44.784 --> 00:36:45.505]  Exactly right.
[00:36:45.505 --> 00:36:49.930]  Well, let me let me go this I'm on page three of the document and this is
[00:36:51.161 --> 00:36:55.783]  There's only certain paragraphs that you really have to key in on to understand what it's all about.
[00:36:55.783 --> 00:37:01.405]  And it says, other efforts of the Operations Division, and Operations Division is exactly that.
[00:37:01.405 --> 00:37:05.526]  They oversee the operations of continuity of government.
[00:37:05.526 --> 00:37:09.367]  They are the contractor support with government oversight.
[00:37:09.367 --> 00:37:16.590]  So, other efforts of the Operations Division includes initiatives such as Operation Rendezvous, or OPRON.
[00:37:17.430 --> 00:37:34.256]  Task Force Rendezvous, the development and integration of the Federal Emergency Response Official Repository System, National Security Special Event Contingency Support, Disaster Relief, and Humanitarian Assistance Contingency Support.
[00:37:34.816 --> 00:37:54.831]  And then it says, additional efforts of the operations division include geospatial information system, which is like a tactical, a battlefield, it gives a battlefield... That's what I saw with the Marines with big projectors on the wall, where they have the satellites real time.
[00:37:54.831 --> 00:37:55.311]  Yes.
[00:37:55.311 --> 00:38:01.216]  Where they have the transponders as blue group, the militias they were practicing fighting in California were red group.
[00:38:01.596 --> 00:38:02.177]  Right.
[00:38:02.177 --> 00:38:07.944]  And they had Humvees with robot guns that anybody not in blue group was going to be killed.
[00:38:07.944 --> 00:38:09.586]  And this was 12 years ago.
[00:38:09.586 --> 00:38:13.611]  Well, I mean, it's advanced.
[00:38:13.611 --> 00:38:16.735]  Same concept, but the technology has advanced somewhat.
[00:38:17.876 --> 00:38:21.579]  Blue Force situational awareness is what you're talking about.
[00:38:21.579 --> 00:38:29.965]  And in that sense, it's much like for years, for example, commercial aircraft have a transponder on it.
[00:38:29.965 --> 00:38:34.408]  And that system is called Interrogation Friend or Foe, IFF.
[00:38:34.408 --> 00:38:35.649]  That's what that stands for.
[00:38:36.429 --> 00:38:45.938]  And basically, Blue Force situational awareness is the exact same thing that you have with commercial aircraft, military aircraft, and everything else.
[00:38:45.938 --> 00:38:57.308]  They have a transponder where a signal goes out, the plane responds, and then on the operator's screen, you're gonna either have like a circle, a square, or a triangle.
[00:38:58.149 --> 00:39:08.019]  And it's going to be either a circle for friendly, it's going to be a square for unknown, and a triangle for bad guy.
[00:39:08.019 --> 00:39:09.941]  And so that's what you have.
[00:39:09.941 --> 00:39:13.405]  Blue Force situational awareness is exactly that.
[00:39:13.405 --> 00:39:16.148]  Because of today's technology, I mean, a transponder can be...
[00:39:17.609 --> 00:39:18.969]  I mean, look at RFID.
[00:39:18.969 --> 00:39:23.391]  Well, our cell phones have little triangulators, so we know they've actually used those.
[00:39:23.391 --> 00:39:31.493]  And so they've got a full battlefield scub they can tie into cameras on the street, surveillance systems, satellites, drones, any of it.
[00:39:31.493 --> 00:39:37.215]  And so they, no friend or foe, and this is talking about incontinent government with camps
[00:39:38.335 --> 00:39:45.997]  Having people with their transponder badges in the blue group against the red group, and the red group is the American people, I guess.
[00:39:45.997 --> 00:39:51.558]  Right, well, this is the scary thing about when you talk blue force situational awareness.
[00:39:51.558 --> 00:39:55.639]  The first thing that I think about when I think of that is overseas.
[00:39:55.639 --> 00:40:04.081]  In Afghanistan, in Iraq, in Libya, wherever we're waging illegal wars, that's where I envision blue force situational awareness.
[00:40:04.841 --> 00:40:12.623]  What I don't envision is having Blue Force situational awareness on our own soil.
[00:40:12.623 --> 00:40:17.664]  It's almost too crazy to wrap your arms around.
[00:40:17.664 --> 00:40:19.965]  It's just too much to understand.
[00:40:19.965 --> 00:40:23.646]  It's what Ron Paul said, NDAA is a declaration of war against the American people.
[00:40:23.866 --> 00:40:25.766]  It is, it truly is.
[00:40:25.766 --> 00:40:29.427]  And here's the thing that people need to understand.
[00:40:29.427 --> 00:40:34.348]  A lot of these representatives and senators, of course they don't read the bills.
[00:40:34.348 --> 00:40:35.688]  They don't do that.
[00:40:35.688 --> 00:40:36.768]  Same thing in government.
[00:40:36.768 --> 00:40:45.250]  These draft statements of work, nine times out of ten, are written by the contractor, submitted back to the government.
[00:40:45.250 --> 00:40:49.271]  And the guy there, he's just like, well, yeah, okay, I'll just pass this on through.
[00:40:49.271 --> 00:40:51.471]  Okay, fine, put my signature on it, and out it goes.
[00:40:52.131 --> 00:40:55.373]  So, oftentimes, they don't even know what's in there.
[00:40:55.373 --> 00:40:59.336]  They just know that they get an overview, okay, this is there, this is there, this is there.
[00:40:59.336 --> 00:41:04.900]  Make sure that you guys hit this point, this point, and this point, and then they ship it on through.
[00:41:04.900 --> 00:41:11.445]  So, if a company like Halliburton, who we know has ties to this elitist cabal,
[00:41:12.947 --> 00:41:18.109]  Oh wow, I get it.
[00:41:18.109 --> 00:41:24.372]  They're actually influencing policy by the way the contracts are written, and the higher-ups don't even understand that.
[00:41:40.760 --> 00:41:41.540]  You know?
[00:41:41.540 --> 00:41:49.062]  And so... Well, look, I've been studying this particular type of thing for 13, 14 years, and I barely have a elementary understanding.
[00:41:49.062 --> 00:41:54.063]  And I guess it's part of the complexity of the world allows corruption to hide in it.
[00:41:54.063 --> 00:41:55.383]  Absolutely.
[00:41:55.383 --> 00:42:00.524]  And, you know, there's another... This is extremely interesting.
[00:42:00.524 --> 00:42:05.325]  On page 5, they come out with Mount Weather Emergency Operations Center.
[00:42:06.625 --> 00:42:11.707]  I've been doing this for probably three or four years now.
[00:42:11.707 --> 00:42:16.788]  And like I said off air, it's because of you that I woke up and listening to yourself.
[00:42:16.788 --> 00:42:24.471]  Yeah, Mount Weather is one of the alternate government heads along with Colorado Springs and Cheyenne Mountain.
[00:42:24.471 --> 00:42:28.452]  I mean, they've made movies about martial law where Mount Weather runs it all.
[00:42:29.052 --> 00:42:30.113]  Well, exactly right.
[00:42:30.113 --> 00:42:33.896]  But for years and years, they denied the existence of Mount Weather.
[00:42:33.896 --> 00:42:38.379]  And now, when I say that, I mean, yes, we know Mount Weather's there.
[00:42:38.379 --> 00:42:42.963]  And they say, yes, it's a 564-acre Department of Homeland Security facility.
[00:42:42.963 --> 00:42:47.486]  But what people don't understand is, hey, look, it's a deep underground military base.
[00:42:47.486 --> 00:42:50.689]  It's one of those, just like Cheyenne Mountain and everything else.
[00:43:01.451 --> 00:43:03.172]  Hi folks, this is Alex Jones.
[00:43:03.172 --> 00:43:08.477]  I'm looking for people that have the wisdom to spot savings, opportunity, and recognize risk.
[00:43:08.477 --> 00:43:10.018]  Saving means to make money.
[00:43:10.018 --> 00:43:18.806]  The Cal Bend Pure Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated and twice as good as what you're using now.
[00:43:19.526 --> 00:43:27.071]  Soaps made from vegetable and coconut oils that contain no useless dyes, perfumes, deodorants, or antibacterials.
[00:43:27.071 --> 00:43:35.076]  Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores, and deteriorating clothing called lint.
[00:43:35.076 --> 00:43:40.319]  If you want something better, if you want something you've never had before, you have to do something you've never done before.
[00:43:40.319 --> 00:43:42.480]  Getting a free catalog is easy by calling 800-340-7091.
[00:43:45.242 --> 00:43:48.447]  Or see Calvin on the web at FiveStarSoap.com.
[00:43:48.447 --> 00:43:50.730]  Take charge of your health now by calling 800-340-7091.
[00:43:50.730 --> 00:43:52.953]  Or see Calvin on the web at FiveStarSoap.com.
[00:44:00.086 --> 00:44:01.667]  Hi, this is Alex Jones.
[00:44:01.667 --> 00:44:07.970]  This holiday season, more than half of our nation is in need of help due to the shattered economy.
[00:44:07.970 --> 00:44:11.992]  So now is the time to express the holiday spirit more than ever.
[00:44:11.992 --> 00:44:16.814]  Consider helping those you love with the most important gift, a supply of delicious,
[00:44:17.074 --> 00:44:21.578]  Easy to fix and very storable foods from eFoodsDirect.com.
[00:44:21.578 --> 00:44:31.848]  Their holiday gift and family packs start at $99 for a 16-day supply, while their five-week supply of quick and easy to fix meals includes a personal backpack.
[00:44:32.088 --> 00:44:40.151]  In case of a grab-and-go emergency, order their Combo Gift Pack and you'll save hundreds, plus get free shipping on your entire order.
[00:44:40.151 --> 00:44:49.995]  Call eFoods today at 800-409-5633 or visit them online at efoodsdirect.com forward slash Alex to find the special.
[00:44:49.995 --> 00:44:56.338]  That's 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:44:56.338 --> 00:44:58.679]  You can bet your life on eFoods Direct.
[00:44:59.841 --> 00:45:04.404]  This is Alex Jones with 5 good reasons you should consider buying a solar power generator.
[00:45:04.404 --> 00:45:05.304]  Number 1.
[00:45:05.304 --> 00:45:08.727]  New climate legislation could easily double or triple your electric bill.
[00:45:08.727 --> 00:45:09.587]  Number 2.
[00:45:09.587 --> 00:45:14.490]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:45:14.490 --> 00:45:15.231]  It's true.
[00:45:15.231 --> 00:45:20.094]  Total government control of electricity in the name of smart grid technology is coming.
[00:45:20.094 --> 00:45:20.934]  Number 3.
[00:45:20.934 --> 00:45:24.517]  In some areas of the country, the power grid is dangerously overloaded.
[00:45:24.517 --> 00:45:28.199]  And now, new socialist legislation is only compounding the problem.
[00:45:28.419 --> 00:45:29.220]  Number 4.
[00:45:29.220 --> 00:45:31.982]  Dangerous weather is always a threat to local grids.
[00:45:31.982 --> 00:45:35.666]  Every year, thousands of families lose their power from weather-related outages.
[00:45:35.666 --> 00:45:36.447]  Number 5.
[00:45:36.447 --> 00:45:40.590]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:45:40.590 --> 00:45:45.355]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:45:45.635 --> 00:45:49.820]  You can get more information at www.mysolarbackup.com.
[00:45:49.820 --> 00:45:51.602]  That's mysolarbackup.com.
[00:45:51.602 --> 00:45:53.865]  Remember, the government doesn't own the sun.
[00:45:53.865 --> 00:45:56.187]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:46:01.567 --> 00:46:05.530]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[00:46:05.530 --> 00:46:14.397]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[00:46:14.397 --> 00:46:19.021]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[00:46:19.021 --> 00:46:29.850]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[00:46:30.470 --> 00:46:39.973]  With continued legislation threatening the sale of nano silver products, you can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[00:46:39.973 --> 00:46:45.395]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[00:46:45.395 --> 00:46:52.898]  Go to www.SilverLungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[00:46:52.898 --> 00:46:55.299]  That's www.SilverLungs.com.
[00:47:01.147 --> 00:47:04.749]  Coast to Coast, direct from Austin.
[00:47:04.749 --> 00:47:07.931]  You're listening to the Alex Jones Broadcasting Network.
[00:47:22.001 --> 00:47:24.867]  We're good to go.
[00:47:50.103 --> 00:47:52.425]  What if I say I'm not gonna surrender?
[00:47:52.425 --> 00:47:56.547]  What if I say you're the pretender?
[00:47:56.547 --> 00:48:00.010]  What if I say 1776 is the answer to 1984?
[00:48:00.010 --> 00:48:04.273]  You're the pretender!
[00:48:04.273 --> 00:48:13.039]  What if I say I will never surrender?
[00:48:13.039 --> 00:48:18.963]  What if I say you're the pretender?
[00:48:20.470 --> 00:48:22.851]  I am fired up.
[00:48:22.851 --> 00:48:26.292]  You know, that last caller was asking, when do we get violent?
[00:48:26.292 --> 00:48:29.533]  The first person to shoot loses.
[00:48:29.533 --> 00:48:35.774]  We're not looking for a fight, but I'll tell you, my ideology, my worldview is not like Gandhi's.
[00:48:35.774 --> 00:48:38.315]  It's a mix of George Washington and Mahatma Gandhi.
[00:48:40.118 --> 00:48:48.246]  I understand the globalists want violence up front, and they want to characterize people who are against their tyranny as the criminals and as the disorder.
[00:48:48.246 --> 00:48:49.648]  The globalists are criminals.
[00:48:49.648 --> 00:48:57.556]  They are the disorder, hiding behind their three-piece suits and behind their stolen billions, and the military and police that they've tried to brainwash.
[00:48:57.556 --> 00:49:02.541]  But the good news is the police and military are waking up, and you know 10 years ago I wasn't saying that.
[00:49:03.536 --> 00:49:06.298]  I can go over all the evidence, but I want to go to Gerald Cilente.
[00:49:06.298 --> 00:49:16.163]  The point is, 70 plus percent of all donations for the military are to Ron Paul, for both parties, all presidential candidates.
[00:49:16.163 --> 00:49:18.264]  Police are supporting Ron Paul.
[00:49:18.264 --> 00:49:27.009]  Bloomberg bemoaned it last month, saying give this man your money so he can fire you, and pointed out, guess who gets the majority of federal employee donations?
[00:49:27.009 --> 00:49:28.129]  Ron Paul.
[00:49:28.129 --> 00:49:31.071]  That tells you the folks inside the federal government know what's going on.
[00:49:31.071 --> 00:49:32.652]  They're sitting there watching what's happening.
[00:49:33.655 --> 00:49:37.361]  They're just paymasters who pay the stolen money out to the mega corporations!
[00:49:39.482 --> 00:49:40.383]  They know!
[00:49:40.383 --> 00:49:40.843]  They know!
[00:50:09.462 --> 00:50:13.664]  Woke me up.
[00:50:13.664 --> 00:50:15.645]  When you wake somebody up, all you say, get up.
[00:50:15.645 --> 00:50:17.286]  You're not doing the work, you just get up.
[00:50:17.286 --> 00:50:18.166]  You're up, you're awake.
[00:50:18.166 --> 00:50:21.728]  Now you see, you see the same thing I see.
[00:50:21.728 --> 00:50:24.009]  You're not believing what Alex Jones is saying.
[00:50:24.009 --> 00:50:25.490]  You're not buying into what I'm saying.
[00:50:25.490 --> 00:50:28.392]  You're seeing, you're seeing it.
[00:50:28.392 --> 00:50:33.374]  All right, Gerald Salente is just a great friend of the show.
[00:50:33.374 --> 00:50:38.157]  And we really appreciate him coming on right here near the end of the year to give us
[00:50:39.741 --> 00:50:42.703]  He is 12 Trends First here.
[00:50:42.703 --> 00:50:47.968]  For our audience, you can get the full details at TrendsResearch.com, where trend alerts and everything else are posted.
[00:50:47.968 --> 00:50:49.609]  But he's giving it to us here first.
[00:50:49.609 --> 00:50:52.211]  I tried to get him on the last two weeks, and he said, well, I'm traveling.
[00:50:52.211 --> 00:50:55.113]  Plus, Alex, I'm riding the 12 Trends Deep Analysis.
[00:50:56.280 --> 00:50:59.024]  I'd love to come on, but I've got to come on once this is ready.
[00:50:59.024 --> 00:51:03.649]  So you're hearing it here first, and he'll be with us, I guess, five minutes to the next hour, then he's got to go.
[00:51:03.649 --> 00:51:07.835]  But we're very honored to have Gerald Cilente of TrendsResearch.com.
[00:51:07.835 --> 00:51:10.978]  And I have here in my hot little hands the top 12 trends of 2012.
[00:51:10.978 --> 00:51:14.683]  But Gerald, let me ask you the question this way today.
[00:51:15.464 --> 00:51:16.485]  Because I've read over these trends.
[00:51:16.485 --> 00:51:19.247]  Some of it is new.
[00:51:19.247 --> 00:51:23.129]  Some of it is, you know, basically tweaked analysis that you've already gone over.
[00:51:23.129 --> 00:51:25.010]  But a lot of this is key groundbreaking material.
[00:51:25.010 --> 00:51:29.393]  And we respect your analytical mind when it comes to this.
[00:51:29.393 --> 00:51:34.837]  But do you want to give us an MF Global update first or get into the top trends first?
[00:51:34.837 --> 00:51:39.780]  And then I want to air this clip of the head of the CME Group confirming.
[00:51:39.780 --> 00:51:45.284]  So he's gone from criticizing you to now agreeing with you and saying Corzine did take the money and is lying.
[00:51:46.445 --> 00:51:48.086]  Well, the update is this.
[00:51:48.086 --> 00:51:58.753]  So far I've gotten, they've reinstituted about 70% of the lost funds in my type of account.
[00:51:58.753 --> 00:52:02.475]  Having said that, it's only part of the story.
[00:52:02.475 --> 00:52:13.243]  Because what happened is, when they closed out my positions, I remember I bought gold at $1,443 an ounce that I was going to pick up in December.
[00:52:14.420 --> 00:52:21.086]  When they took all the money out, they closed the positions down the day they went bankrupt.
[00:52:21.086 --> 00:52:25.290]  And they, remember I showed you the corrected statement?
[00:52:25.290 --> 00:52:26.050]  It was now $1,765 an ounce, not $1,443.
[00:52:26.050 --> 00:52:29.914]  So when they went bankrupt, and my positions closed out in December, I had to sell them.
[00:52:41.804 --> 00:52:45.767]  And I didn't buy him according to them at $14.43.
[00:52:45.767 --> 00:52:48.488]  I bought him at $17.65.
[00:52:48.488 --> 00:52:50.970]  So I had to eat those losses.
[00:52:50.970 --> 00:52:53.712]  So now I have that problem on my hand.
[00:52:53.712 --> 00:52:56.213]  Now here's the best part of the deal.
[00:52:56.213 --> 00:53:00.176]  You know, I want whatever money I have, I want to get it back, right?
[00:53:01.149 --> 00:53:03.031]  So I call up the broker.
[00:53:03.031 --> 00:53:10.319]  Remember, the way they got the name broker is that you're broker than when you started.
[00:53:10.319 --> 00:53:12.321]  That's how they made the name up.
[00:53:12.321 --> 00:53:18.248]  So now I call them up, I say, listen, wire transfer whatever money I have in there, get it into my bank.
[00:53:18.248 --> 00:53:18.829]  Check it out.
[00:53:19.329 --> 00:53:21.510]  We can't do that.
[00:53:21.510 --> 00:53:24.291]  We're gonna send you a check.
[00:53:24.291 --> 00:53:26.633]  That's what I mean you can't wire transfer me.
[00:53:26.633 --> 00:53:29.094]  I said you guys never quit.
[00:53:29.094 --> 00:53:37.058]  You're really quick to take the money when I wire transfer it in, but you won't get it out.
[00:53:37.058 --> 00:53:37.258]  So.
[00:53:38.427 --> 00:53:40.248]  They won't wire transfer the money.
[00:53:40.248 --> 00:53:42.850]  I haven't received it yet.
[00:53:42.850 --> 00:53:45.052]  And now you know that story.
[00:53:45.052 --> 00:53:49.275]  Now it takes time for the check to clear and on and on.
[00:53:49.275 --> 00:54:04.527]  Now, in saying this, it's very important because as you well know, I went public with this to warn people that what you think you have in your account really isn't yours.
[00:54:04.527 --> 00:54:07.830]  Because they have all of these loopholes in place.
[00:54:08.490 --> 00:54:14.294]  Where your money is only as safe as the last loophole that they put in.
[00:54:14.294 --> 00:54:16.976]  And I don't care who it's with.
[00:54:16.976 --> 00:54:18.377]  It makes no difference.
[00:54:18.377 --> 00:54:23.201]  By the way, I tried to go to a local bank and follow my own advice and get out some cash.
[00:54:23.201 --> 00:54:29.526]  And it wasn't even, quote, above the amount where they file a fenced-in deal.
[00:54:29.526 --> 00:54:31.247]  And they acted like my wife was a crook.
[00:54:31.807 --> 00:54:36.830]  Freaked out, and then started calling me, saying, we need to know your wife's occupation.
[00:54:36.830 --> 00:54:40.632]  It's gotta go in the Federal Financial Crimes Enforcement file.
[00:54:40.632 --> 00:54:42.874]  And I'm like, for less than $10,000?
[00:54:42.874 --> 00:54:47.416]  But even if it was $10,000, I mean, what on earth?
[00:54:47.416 --> 00:54:50.718]  I mean, this country is a giant prison, Gerald.
[00:54:50.718 --> 00:54:53.019]  Everywhere, you're treated like trash.
[00:54:53.019 --> 00:54:58.663]  And then all these little people, they get off on enforcing it on others.
[00:54:58.663 --> 00:55:00.704]  It's sick, it's like a nation of maggots.
[00:55:01.618 --> 00:55:08.142]  You know, you really hit on it, you know, as I've been saying, you know, your money isn't yours unless you have it!
[00:55:08.142 --> 00:55:09.483]  End of story!
[00:55:09.483 --> 00:55:22.752]  Last Wednesday, I called up HSBC, and I told them that I was coming in Thursday morning at 9.30 in the morning to make a withdrawal.
[00:55:22.752 --> 00:55:23.733]  I gave them the amount.
[00:55:25.458 --> 00:55:27.902]  They said they only could give it to me in hundreds and fifties.
[00:55:27.902 --> 00:55:30.967]  If I wanted to wait until Monday, I could get it in hundreds.
[00:55:30.967 --> 00:55:31.929]  I said, that's fine.
