[00:00.000 --> 00:29.000]  It's Super Bowl 51, we're going to be telling you who the winner is before we get to it.
[35:43.200 --> 35:44.720]  But see I'm not a dog
[35:44.720 --> 35:49.120]  I'm not a cat and what all of this is the same thing. You're like, well, so what let them have fun
[35:49.440 --> 35:50.480]  I get it
[35:50.480 --> 35:52.800]  Sports are great for your kids to be in or for you to be in
[35:53.360 --> 35:55.360]  Or to go see your friends in it
[35:55.600 --> 35:57.600]  I'm not saying it's unhealthy overall
[35:57.600 --> 36:04.880]  It's that the way it's force fed and the messages they then couple to it all the anti-gun messages all the open border messages
[36:05.200 --> 36:07.200]  All the anti-trump messages
[36:07.360 --> 36:15.200]  All the feminist anti-family garbage all the green police outie commercials and then force feeding us the devil worshipper
[36:15.760 --> 36:18.560]  Lady gaga and all the weird rituals they conducted
[36:18.800 --> 36:24.640]  Oh, it's the big pageant of the super bowl and the players coming in through like a spaceship entrance
[36:24.640 --> 36:31.680]  With glowing walls all around them like this is the most magic thing in all the world
[36:32.240 --> 36:34.240]  Nothing is more important. Meanwhile
[36:35.760 --> 36:41.680]  We discovered three years ago via ice sources and it was later confirmed in the new york times of all places
[36:42.080 --> 36:44.080]  but we were down in mcowlin, texas
[36:45.440 --> 36:46.560]  And
[36:46.560 --> 36:50.080]  Our reporters have it on tape. They admit it. Yes. We're ordered to bring in illegals
[36:50.080 --> 36:56.560]  Only 17% are actually children. It's it's adults. They're from the middle east china latin america europe
[36:56.560 --> 37:00.240]  You name it and a lot of them have serious diseases and we're ordered to let them in
[37:01.520 --> 37:03.520]  And we'd air these videos
[37:03.680 --> 37:05.680]  of senior border patrol telling us this
[37:06.240 --> 37:11.040]  And they'd get a 500 000 views when when other videos we do get 10 million
[37:12.480 --> 37:15.120]  The most important stuff in the world was like, okay
[37:15.120 --> 37:22.480]  So what the president ignored federal law on how you're able to come through a port of entry with a proper passport proper visa
[37:22.880 --> 37:29.600]  Time to be here. What your purpose is check for, you know diseases check for vegetables, uh, you know things that are
[37:30.240 --> 37:32.240]  Diseases in the plants all of it
[37:34.000 --> 37:39.440]  Because you know if you get one little egg pack of a type of beetle into hawaii that's going to wipe it out same deal
[37:39.440 --> 37:43.440]  And they say no
[37:45.120 --> 37:50.080]  We don't care it doesn't matter then we get a president that says oh seven nations
[37:50.800 --> 37:52.800]  Obama's done four before four the same
[37:53.360 --> 37:55.360]  He also bombed him at the same time
[37:56.240 --> 38:00.880]  You're not vetted. You're not you don't have real passports. You're your governments have collapsed. We found you always fake passports
[38:01.440 --> 38:04.000]  Uh, we need to have extreme vetting actually know who you are
[38:04.000 --> 38:09.600]  And run you through a database biometrically and they said oh my gosh, you're the meanest racist in the world
[38:10.880 --> 38:12.480]  And you can't do it. You're horrible
[38:12.480 --> 38:17.920]  And so one federal judge said trump was right another federal judge even more senior said he was right file the brief
[38:18.000 --> 38:20.000]  But then another judge said he was wrong
[38:20.800 --> 38:26.080]  And so the night circuit in san francisco the most globalist one out there almost all up appointed by democrats
[38:27.760 --> 38:29.760]  They come out and they say that's right trump
[38:29.760 --> 38:36.960]  We're not going to even look at what you're doing basically until you give us some other big filing
[38:37.120 --> 38:40.080]  And then even then if they refuse it, which they're sure to do
[38:40.800 --> 38:42.640]  It'll take five
[38:42.640 --> 38:49.120]  Of the supreme court justices to overwrite it and right now the supreme cuts courts four four scale make
[38:50.320 --> 38:55.520]  So the media can then take trump's perfect record of delivering and doing everything he said he would do
[38:55.520 --> 38:57.520]  Do
[38:57.760 --> 38:59.440]  Run around
[38:59.440 --> 39:00.880]  Get upset
[39:00.880 --> 39:02.640]  Say he's this horrible person
[39:02.640 --> 39:08.640]  Sell it like his agenda is fascist and evil and then start calling for his impeachment his murder all the rest of it
[39:09.440 --> 39:15.440]  When it's obama and hillary and john carrey that destabilized the middle east caused the huge flow of refugees
[39:15.840 --> 39:20.240]  And destabilized the whole place to try to help saudi arabia put all these jihadis in
[39:21.840 --> 39:23.840]  So while
[39:23.840 --> 39:28.560]  We're all busy here even debating what the media is doing understand
[39:30.960 --> 39:35.680]  Trump is doing his basic duty and even using laws that obama signed
[39:36.240 --> 39:40.880]  And cnn even ran articles going oh look at trump. He criticizes obama all day
[39:41.360 --> 39:45.120]  But he used an obama law to do this, you know, I thought obama's bad
[39:45.120 --> 39:54.080]  The point is of course he should use an existing law without having to pass another one and then sign an executive order on top of it
[39:54.080 --> 39:58.400]  But again, they're attacking saying it's illegal and bad and horrible, but then admitting on the other side of their mouth
[39:58.400 --> 40:00.400]  Oh, look, he's copying obama
[40:01.840 --> 40:08.080]  Meanwhile, you've got the washington post is the only liberal publication to ask how far can protest go
[40:08.400 --> 40:13.040]  Well, not when they're riots or you're trying to kill people are beating people are burning up people's cars
[40:13.040 --> 40:15.040]  Are trying to burn up larry king's car
[40:16.720 --> 40:18.240]  All because he's white
[40:18.240 --> 40:24.720]  How far can protesters go before the government steps in and that's because the washington post realizes the head of uc berkeley
[40:25.840 --> 40:27.840]  The legislatures come out and said hey
[40:29.360 --> 40:33.280]  Trump you better not cut our federal funding. We're going to continue to not let people have
[40:34.640 --> 40:40.640]  Events at universities if the mob of people say they can't we're bullies. We're thugs
[40:40.640 --> 40:43.520]  We're going to stop you mean i've got the news articles here where they're saying
[40:44.560 --> 40:52.400]  They had robert reich go on cnn friday and say that it was trump supporters that rioted at uc berkeley
[40:53.520 --> 40:59.520]  ms mbc i played the clip friday said that mylo was throwing firebombs
[41:01.840 --> 41:04.720]  Mylo the gay conservative activists had nothing
[41:04.720 --> 41:09.600]  Of any such they lie and they lie and they lie
[41:14.320 --> 41:20.240]  So let's go over some of the things they're now pushing against president trump because this is the grip of bullies
[41:20.480 --> 41:22.480]  This is the group of thugs
[41:22.960 --> 41:25.440]  These are the people trying to shut down our free speech
[41:25.520 --> 41:32.480]  Of course, I want to punch him in the face robert denaro slams donald trump again on the view and says when people are bullies
[41:32.480 --> 41:37.440]  You have to bully them back. So if I want to just walk up to robert denaro because I know he acts tough in movies
[41:37.520 --> 41:38.960]  And I break his nose
[41:38.960 --> 41:40.160]  That's him gonna do that
[41:40.160 --> 41:44.880]  But I walk right up and I punch him up under the nose and actually tear his nose completely off his face
[41:45.280 --> 41:49.360]  His old ugly nose his old his his old buzzard beak
[41:49.920 --> 41:51.920]  directly off his face, okay
[41:52.720 --> 41:54.720]  And he falls down and hits his head
[41:54.880 --> 42:00.080]  Is that okay because I said he was a bully because I dehumanized him by the way, I like robert denaro as an actor
[42:00.080 --> 42:06.480]  And I think he's right on vaccines. Hey, buddy. You got censored with the movie you tried to show about vaccine dangers
[42:06.880 --> 42:11.920]  Donald trump is putting robert kindy jr. You admire at the head of the commission to find out
[42:12.080 --> 42:14.080]  This is wounding millions of people a year
[42:14.640 --> 42:18.080]  Killing thousands and thousands the government knows it's been declassified
[42:18.880 --> 42:25.120]  Why don't you not get bullied by peer pressure and do the right thing denaro and actually find out how good donald trump is
[42:26.160 --> 42:28.160]  donald trump's reenacting glass steagle
[42:28.160 --> 42:33.120]  Something that everybody agrees you need except the globalist so banks can't run scams
[42:33.360 --> 42:37.520]  He's trying to get money back to poor people. He's trying to cut taxes on poor people. He's trying to
[42:39.120 --> 42:44.880]  Kill carbon taxes police the tpp totally illegal global government talk about checks and balances
[42:45.600 --> 42:49.120]  Our government had sold us out to without even having a vote trump just killed it
[42:50.080 --> 42:56.640]  But the media's saying he's in a lecture. He's ineffectual almost out of Freudian slip. He's intellectual. He's ineffectual. He's evil
[42:56.640 --> 43:00.560]  He's bad. He's our la la. It's the end of trump and then we come back all the articles
[43:00.560 --> 43:05.920]  Where they say kill him kill him kill him murder him kill him and so much more i'm alex schoen stay with us
[43:07.760 --> 43:13.360]  National defense labs and citizen armor has given info wars the exclusive
[43:13.600 --> 43:18.480]  On distributing to the american people the true next generation in body armor
[43:18.560 --> 43:26.080]  Basically what we're bringing to the info wars team is a new line of dynamic lightweight body armor
[43:26.080 --> 43:32.240]  It is lighter more flexible easier to wear more comfortable and stronger than anything else on the market
[43:32.320 --> 43:37.200]  You said when you talk to people that have been using this actually testing it for years the people that currently attested for us
[43:37.280 --> 43:41.040]  They didn't just say outstanding what they really say about them. They want to know how do they get it?
[43:41.280 --> 43:48.240]  Where do they find it a lot of my law enforcement official buddies want to know the same thing the backpack body armor is only
[43:49.040 --> 43:51.760]  $200. I mean, it's unbelievable. It's a quarter inch thick
[43:51.760 --> 43:56.720]  It's got a 20 year warranty is waterproof. You can wear it. It's comfortable and we shot everything you can imagine at it
[43:56.960 --> 44:02.160]  Again fund the info or get the game changing in nano tech tubes. It's a win-win
[44:02.960 --> 44:07.280]  $200 go check out all their different products the force toward calm. It's amazing
[44:07.920 --> 44:12.800]  Over the years there have been a lot of powerful advancements in the field of science and nutraceuticals
[44:13.040 --> 44:19.760]  Young jevity integrates years of scientific research into creating fantastic products like beyond tangy tangerine
[44:19.760 --> 44:21.760]  plant-derived minerals and much more
[44:21.840 --> 44:26.480]  Young jevity also offers you an ingenious way to augment your income and the best part
[44:26.560 --> 44:30.880]  You'll be helping your friends and family along the way visit info wars team
[44:30.960 --> 44:36.960]  Dot com today become a member it discounts on the amazing products and free shipping when you sign up for auto ship
[44:37.120 --> 44:43.600]  And you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time
[44:43.600 --> 44:49.600]  Another win-win. That's why i'm a member of the young jevity team at info wars team dot com and you can be too
[44:49.760 --> 44:55.200]  It's simple. Just go to info wars team dot com today complete a short sign up and you're part of the team
[44:55.360 --> 44:58.480]  That's info wars team dot com or info wars health dot com
[44:58.640 --> 45:04.800]  So many people call into my radio show and tell me how young jevity and the products at info wars team dot com have changed their lives
[45:04.960 --> 45:06.960]  Check it out for yourself today
[45:08.800 --> 45:13.200]  We have the new products at info wars life dot com bio true selenium
[45:13.200 --> 45:16.240]  We've had so many requests over the years for selenium
[45:16.320 --> 45:24.240]  And just recently we were able to source a certified organic bio available selenium from mustard seed extract
[45:24.320 --> 45:29.280]  When you take selenium in the body, it actually benefits the detoxification systems in your body
[45:29.360 --> 45:36.480]  It helps balance the thyroid gland. It helps detoxify selenium is another one of those absolute must-haves
[45:36.560 --> 45:39.600]  The highest concentration of selenium is in the thyroid gland
[45:39.600 --> 45:45.440]  But it's actually used all over the body as a matter of fact, there's 25 genes in the body that are directly
[45:46.000 --> 45:49.200]  dependent upon selenium so it really is a
[45:49.760 --> 45:56.320]  All-around nutrient that everybody really needs. I'm taking it now every day. This is so key bio true
[45:56.640 --> 45:59.920]  Selenium is the product the best selenium that we could bring you
[45:59.920 --> 46:04.480]  We believe it's the best out there at a very very low price exclusively available at info wars life dot com
[46:04.560 --> 46:07.920]  Or by calling toll free triple eight two five three three one three nine
[46:07.920 --> 46:13.760]  Please listen carefully because I'm about to point out three things that will save you a lot of money
[46:13.840 --> 46:20.800]  While you get high quality products and fund the info war a 360 win number one when you choose auto ship before checkout
[46:20.880 --> 46:25.200]  We give you 10 off on your order at info warshore.com number two
[46:25.360 --> 46:32.320]  You're also able to get items that are out of stock when you sign up for auto ship because we hold back a surplus for auto ship customers
[46:32.320 --> 46:37.520]  Number three, we're giving you free shipping on all orders above 50 dollars
[46:37.680 --> 46:43.600]  Listeners have been requesting this for years because it's so easy to forget to reorder the products that you need each month
[46:43.760 --> 46:51.280]  Just go to info warshore.com select your favorite product or products click on auto ship and choose how often you want us to send you another order
[46:51.520 --> 46:56.720]  As you know, I coined the term 360 win and with the new auto ship feature at info wars life.com
[46:56.800 --> 47:02.080]  This is a sure win 10 off on auto ship win win win at info wars life.com
[47:02.080 --> 47:08.080]  Free shipping on orders above 50 bucks and all out of stock items are never out of stock when you sign up for auto ship
[47:12.320 --> 47:14.960]  You're listening to the alex jones show
[47:14.960 --> 47:16.960]  Go
[47:30.240 --> 47:34.960]  Live from the info wars.com studios, it's alex jones
[47:40.000 --> 47:42.000]  So
[47:42.000 --> 47:48.960]  A lot of people ask me alex won't you just have fun on a sunday like this and go watch the super bowl you deserve to relax
[47:50.720 --> 47:55.600]  If it was a wholesome event and wasn't filled with anti-gun anti-family propaganda
[47:56.080 --> 48:00.880]  And wasn't used to divert men into systems of being ineffectual
[48:01.600 --> 48:03.600]  ineffective
[48:04.320 --> 48:07.840]  Then I would before it as a wholesome form of r&r like
[48:07.840 --> 48:13.840]  Like mountain climbing or hiking or swimming or playing in sports yourself, but the nfl
[48:14.880 --> 48:16.880]  And all this stuff is just
[48:18.480 --> 48:20.880]  A pointless idol to waste away your life
[48:22.000 --> 48:26.400]  And it's a joke and the globalists are laughing at you and then george
[48:26.880 --> 48:32.800]  Herbert walker the author of the world government program to get rid of our sovereignty the guy that was the head of the cia
[48:33.200 --> 48:35.200]  And the head us ambassador to china
[48:35.200 --> 48:38.640]  Who got the deal through to let giant china take over u.s?
[48:39.440 --> 48:41.440]  control of much of the planet
[48:42.480 --> 48:49.920]  To leverage out free societies and then lady gaga and the pope the globalist pope that most catholics are battling
[48:51.040 --> 48:56.720]  Who's openly calling for world government and badmouthing christianity in europe and calling for an islamic takeover
[48:58.480 --> 49:00.640]  He's gonna have some video at the super bowl
[49:02.240 --> 49:04.240]  Or like the super crapper
[49:04.240 --> 49:07.680]  Like the super bowl is like a porta potty that has a door on the bottom
[49:07.680 --> 49:10.400]  And you you climb into it when you watch it on television
[49:10.800 --> 49:18.000]  And then george herbert walker bush and the pope and lady gaga and madonna and a bunch of spoiled rotten roi'd head football players
[49:18.080 --> 49:20.080]  and a bunch of people all come and
[49:21.120 --> 49:23.120]  Get inside the porta potty and go to town on you
[49:25.120 --> 49:26.160]  Pope
[49:26.160 --> 49:32.640]  Prepares video message for fans attending super bowl. He says sports is healthy and brings us together and we should do it more
[49:32.640 --> 49:38.160]  Don't have culture. Don't have tribalism. Don't have family. Don't have values. Don't have a country
[49:38.400 --> 49:40.080]  Don't have nationalism
[49:40.080 --> 49:47.440]  Just go to the big corporate sports games with the big rituals and all the satanism and all the rest of cried
[49:50.080 --> 49:55.040]  And all the drunkenness that go to this clearly big giant evil event
[49:56.640 --> 49:58.640]  And now the pope is
[49:58.640 --> 50:06.000]  One more person that wants to use the porta potty on people. I mean, that's it. The super bowl is a big toilet
[50:07.200 --> 50:12.800]  And when you climb into the super bowl, you willingly go in there and open your mouth like a baby bird
[50:13.200 --> 50:17.600]  So pope frances can get over your mouth and squat and crap right in your mouth
[50:18.320 --> 50:22.000]  Now the reason I bring up pope frances in that I never would talk like that, but he's the pope
[50:22.000 --> 50:28.240]  He said a few months ago that if you believe in nationalism or support Donald Trump or question government lies
[50:28.880 --> 50:34.400]  That you quote are someone that takes sexual pleasure in eating feces
[50:37.120 --> 50:42.480]  Now it's thinking about that everything they say is the opposite of what it really is so when you listen to him
[50:43.600 --> 50:45.600]  You're spiritually
[50:47.120 --> 50:49.920]  Communing with that and by the way, if you're a new listener just type in
[50:49.920 --> 50:53.040]  Pope likens conspiracies
[50:53.840 --> 50:57.920]  To the sexual desire for feces people won't believe it. Let's put it on screen
[50:58.960 --> 51:04.560]  There it is pope frances compares fake news consumption to eating feces if you read the actual quote. It's conspiracies. It's
[51:05.920 --> 51:11.440]  It will the very same london guardian ran reports that he used blackmail the last pope of pedophilia inside the church
[51:11.440 --> 51:16.640]  Which we know is going on to get control and he isn't even a catholic, but is a jesuit communist
[51:16.640 --> 51:23.440]  See the Jesuits were designed to go in and take over non-christian countries. Well, why not just overthrow christianity itself?
[51:26.640 --> 51:33.280]  Hillary says she loves jeewittical thinking can we put that quote back up on screen earlier ineffectual
[51:34.640 --> 51:37.680]  The crew was asking is that a word I said no it's same as ineffective
[51:38.240 --> 51:44.640]  Ineffectual they're telling us trumps ineffectual. He's gotten more done than any president in 16 days
[51:44.640 --> 51:47.920]  He's gotten more done than any president in a year and it's all good
[51:47.920 --> 51:54.640]  It's all constitutional and of course the pack of criminals and both political parties and the foreign banks and all of them that think
[51:54.640 --> 51:56.640]  We're broken think they rule us
[51:57.520 --> 51:59.520]  Are freaking out because they know he's
[51:59.920 --> 52:05.120]  Affectual they know he's effective. They know he's getting it done the trump effect
[52:06.400 --> 52:12.080]  Not producing we'll put it back on screen not producing. This is ineffectual not producing any or the desired effect
[52:12.080 --> 52:17.520]  Lacking ability or quality to cope with a roller situation. Same message. He's a loser
[52:17.520 --> 52:23.120]  He doesn't know anything. Obama knows Obama was a community organizer and was giving everything forget some guy that made
[52:23.520 --> 52:27.840]  Hundreds of billions of dollars total for his companies. Just forget it. He's a loser
[52:28.400 --> 52:30.400]  And again, why am I so behind trump?
[52:31.040 --> 52:34.400]  Because right down the line. He's right on everything but torture
[52:35.200 --> 52:39.760]  And last week he said, you know what I've talked to general mattis and he's against it
[52:39.760 --> 52:42.560]  I've talked to general mattis and he's against it and now
[52:43.120 --> 52:45.120]  I'm against it
[52:47.440 --> 52:49.200]  And now
[52:49.200 --> 52:53.280]  He's even coming out and saying he's against general surveillance of the public as he learns more
[52:53.600 --> 52:59.200]  That's what scares them is trumps real smart and knows more than I do on most subjects, but as he gets informed
[53:00.400 --> 53:02.560]  He goes and checks it out and changes course
[53:03.440 --> 53:05.440]  In fact, he's not pigheaded
[53:05.440 --> 53:11.520]  When he knows you're lying to him and trying to intimidate him he comes off as pigheaded horseheaded a mule
[53:13.760 --> 53:17.280]  But anybody ever got anything done in history behave more like a jackass
[53:19.680 --> 53:23.600]  So what are they pushing what are they doing? Oh, of course, I want to punch him in the face
[53:23.600 --> 53:28.960]  Robert DeNiro slams Donald trump again on the view and says when people are bullies you have to bully them back
[53:28.960 --> 53:30.960]  Now the whole world's being bullied right now
[53:30.960 --> 53:34.160]  Leftist magazine shows trump and crosshairs says why not?
[53:34.720 --> 53:40.160]  Calls for basically killing him and then I've got a breakdown of the democrats this week having the former deputy head of the defense department
[53:40.400 --> 53:47.760]  Shop a coup at the pentagon imagine you show up with pentagon. I'm here. I used to run this place. I'm going to visit everybody about a coup
[53:48.720 --> 53:50.720]  wanting trump
[53:51.200 --> 53:53.200]  To come arrest her
[53:53.200 --> 53:58.960]  See that's why they're having people beat up women at all the rallies I saw in DC if I was there and saw in San Francisco last week
[53:58.960 --> 54:03.280]  and all over they target women they target on camera and and they
[54:04.320 --> 54:09.200]  They target trumps family and they and they target congresswomen who support trumps children and
[54:09.760 --> 54:13.520]  They're trying to get us into a physical fight so that if trump
[54:14.160 --> 54:18.880]  Rightfully has the FBI go after the former head of the defense department the deputy head
[54:19.120 --> 54:23.840]  It'll be look. She was just saying remove him and he had her arrested. See he's a tyrant
[54:23.840 --> 54:30.080]  I mean we just attacked a bunch of women and burned things and then if the police do anything it's trumps fashion. In fact
[54:31.040 --> 54:33.520]  The day after they attack people in at UCLA
[54:35.520 --> 54:37.520]  Or you see Berkeley
[54:37.760 --> 54:39.760]  I saw us today and it was like
[54:39.840 --> 54:43.840]  Trump dangerous for free speech some are calling for censoring it
[54:44.080 --> 54:47.600]  Berkeley it was like that nasty and then the next day it was on the news
[54:47.600 --> 54:56.160]  Some trump people were attacking women no they would show their people attacking women in black outfits and say we did it
[54:56.560 --> 55:02.160]  Just like they said when I was attacked that I was arrested and thrown out of the of the inauguration
[55:02.480 --> 55:04.480]  No such thing ever happened
[55:05.920 --> 55:10.400]  But they don't care because they're going after the audience they know is not informed
[55:10.400 --> 55:15.120]  Or the 12,000 tweets have called for trump assassination since the inauguration daily mail
[55:16.720 --> 55:21.680]  Rage of trump's uk critics astounding says lord carry says he doesn't really know what the real crimes are
[55:21.680 --> 55:26.320]  I love it. It's all these women at women's marches holding up images of women in burkas
[55:27.840 --> 55:33.840]  And then women we have this video on info wars all over the world saying I'm converting to Islam because they have such hatred of the west
[55:33.840 --> 55:41.200]  Yeah, wait till they dump acid on your face because you're caught showing your face in public the more liberal countries just make you wear a high jib
[55:44.640 --> 55:46.640]  In most of the Muslim countries
[55:47.280 --> 55:49.280]  You get your face burned off, but that's okay
[55:50.720 --> 55:56.080]  I'll find that video was on info wars of like it. I think the headline is feminist call for
[55:56.720 --> 56:02.720]  Women being beaten sharia law. I don't know if you've ever heard of it. I don't know if you've ever heard of it
[56:02.720 --> 56:04.720]  Beating sharia law. I mean it is just
[56:05.440 --> 56:08.880]  I think jaymson put it together. It is just it's just you're you're there
[56:09.280 --> 56:11.280]  Within going f you white male
[56:11.680 --> 56:13.920]  We love Islam. We love sharia law
[56:13.920 --> 56:19.840]  Then you learn a big sharia law woman ran for sorrows the whole dc march and you're like really
[56:20.640 --> 56:22.640]  really
[56:23.520 --> 56:25.840]  Rage of trump morgan freedman
[56:27.600 --> 56:32.080]  Morgan freedman trump has to be a good president what I see is a guy who will not lose
[56:32.080 --> 56:34.080]  That's up on info wars.com
[56:34.480 --> 56:36.480]  Morgan freedman came out and said that to arp
[56:37.760 --> 56:40.800]  Trump comes out and his quote defended killer putin on national tv
[56:40.880 --> 56:45.520]  We've got a lot of killers you think our country is so innocent and they talk about he's a killer
[56:45.520 --> 56:50.160]  You know, we don't want peace with them and he says a bunch of countries are killing we kill they kill we stop all the war
[56:50.160 --> 56:51.520]  It's stupid
[56:51.520 --> 56:53.920]  They only take the quote out of context bill o'reilly
[56:56.320 --> 56:58.320]  To act like trump is
[56:58.320 --> 57:00.320]  Sitting there
[57:01.680 --> 57:07.280]  Pushing anything that russia does and I look how he still friends with bill o'reilly who openly throws them under the bus constantly
[57:10.080 --> 57:12.640]  So that's just some of the news we're going to go to break
[57:13.440 --> 57:14.720]  We're going to come back
[57:14.720 --> 57:19.440]  And we're going to talk to roger stone about breaking news inside the white house and more than we've got a reporter
[57:19.440 --> 57:25.200]  Owen shroyer on the ground in houston covering the super bowl. That's coming up today throughout the week day transmission
[57:25.200 --> 57:26.720]  11 a.m. To 3 p.m.
[57:26.720 --> 57:30.720]  I'll be covering a lot more news and taking your calls also
[57:31.520 --> 57:36.880]  Please support the broadcast. We have one of the biggest specials of last year. We're bringing back
[57:37.360 --> 57:41.120]  25 off the alexa pure water filtration systems are the very best
[57:41.440 --> 57:45.680]  Info or store.com and alexa breeze air filters and that ends tomorrow
[57:46.240 --> 57:49.040]  So take advantage of the water filtration and air filtration today
[57:49.280 --> 57:54.080]  These are the very best units the lowest price and when they're discounted 25 you cannot beat it
[57:54.080 --> 57:57.040]  25 percent. You cannot beat it info or store.com. Stay with us
[57:58.000 --> 58:02.240]  Men give your body the support it needs with info wars life prostaguard
[58:02.720 --> 58:06.640]  It's time to start assisting the body in regulating proper prostate balance
[58:07.120 --> 58:09.120]  Info wars life has set out to bring you
[58:09.200 --> 58:11.520]  Formulations that are not only the highest quality out there
[58:11.760 --> 58:17.840]  But formulas that you can use on a daily basis to give your body the natural herbs and extracts that our experts recommend
[58:17.840 --> 58:26.160]  The prostaguard formula does just that with this mixture of plant-based nutrients and antioxidants that help give your body total support
[58:26.320 --> 58:29.040]  It's a hand-selected blend of saw palmetto
[58:29.520 --> 58:31.520]  lycopene plant sterols
[58:31.840 --> 58:33.840]  zinc vitamin d3
[58:33.920 --> 58:35.680]  selenium and copper
[58:35.680 --> 58:40.240]  Prostaguard is something that the men on the info wars crew take every day and from our research
[58:40.400 --> 58:46.080]  It's something that men should really be adding to their daily regimen in order to keep their body going at optimal levels
[58:46.080 --> 58:51.520]  Now is the time to start naturally supporting your body. Get prostaguard on your side today
[58:52.080 --> 58:54.080]  exclusively at info wars life.com
[58:54.480 --> 58:56.480]  That's info wars life.com
[58:59.120 --> 59:02.720]  Electrify your day with secret 12. It's like lightning in a bottle
[59:02.880 --> 59:05.840]  We all have days in which we just can't seem to perform at the level
[59:05.840 --> 59:13.600]  We'd like to info wars life secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms
[59:13.600 --> 59:19.600]  Of vitamin b12 proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels
[59:19.680 --> 59:22.960]  The reality is it's hard to take in the proper amount of vitamins
[59:23.040 --> 59:29.040]  We need each day with our modern diets secret 12 by info wars life is an easy way to naturally
[59:29.120 --> 59:33.120]  Upgrade your vitamin b12 intake and support your body's natural systems
[59:33.280 --> 59:37.760]  It pairs two forms of vitamin b12 into one explosive formula
[59:37.760 --> 59:43.840]  Vitamin b12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes
[59:43.920 --> 59:46.800]  But it also assists with many other functions of the body
[59:47.040 --> 59:50.400]  Electrify your mind and body and take your health to the next level
[59:50.640 --> 59:56.480]  Experience the power of secret 12 at info wars life.com. That's info wars life.com
[59:56.480 --> 1:00:04.480]  You're listening to the alex jones show
[1:00:26.480 --> 1:00:33.360]  All right roger stones coming up in the next segment, but i'll just make a point here
[1:00:35.840 --> 1:00:37.680]  I've been so busy producing
[1:00:37.680 --> 1:00:43.120]  Broadcast and actually going out and shooting the videos the live reports trying to manage the crew that
[1:00:44.240 --> 1:00:51.360]  I've not been the best at all the different platforms there are out there to make sure that our lives feeds and our in our podcast get out to folks
[1:00:51.360 --> 1:00:56.560]  We already dominate to a great extent the the internet
[1:00:58.160 --> 1:01:00.160]  not just, you know
[1:01:00.480 --> 1:01:02.480]  political news, but but
[1:01:02.880 --> 1:01:05.280]  info wars all put together is one of the biggest
[1:01:06.240 --> 1:01:08.240]  media outlets in the world
[1:01:08.960 --> 1:01:11.840]  But for me, it's not how big we are. It's how effective we are
[1:01:13.040 --> 1:01:16.560]  And an example is joe rogan has one of the top five podcasts in the world
[1:01:16.560 --> 1:01:22.080]  He's been doing it seven and a half years 90 million downloads a month 20 million on youtube. That's 110 million
[1:01:22.640 --> 1:01:25.520]  I was talking to him about it if you count all the derivative stuff
[1:01:27.040 --> 1:01:29.040]  200 million people
[1:01:29.040 --> 1:01:31.040]  watch or listen to
[1:01:31.040 --> 1:01:36.400]  The podcast now some people obviously don't see the whole thing, but 200 million people that's a lot. Okay
[1:01:37.760 --> 1:01:39.760]  Now info wars
[1:01:39.760 --> 1:01:41.760]  Basically does the same thing or more
[1:01:42.000 --> 1:01:44.000]  But I don't care
[1:01:44.000 --> 1:01:51.680]  He's not about who has the biggest I went on joe's show and I talked to him yesterday and he said yes, it's now the biggest ever
[1:01:52.560 --> 1:01:56.880]  And he said he's been on iTunes for seven and a half eight years since they started
[1:01:56.880 --> 1:02:00.560]  He said it's never happened. They held it up for a day and a half and we're gonna censor it till there was a backlash
[1:02:03.360 --> 1:02:05.840]  And it's already shot up to the very top of the charts
[1:02:07.360 --> 1:02:11.440]  And of course, you know, there's hundreds of youtube versions of it with 1.9 million
[1:02:11.440 --> 1:02:16.560]  300,000 400,000 200,000 100. I mean right now there's more than 10 million views of it conservatively
[1:02:16.560 --> 1:02:19.360]  I just wouldn't look myself and that was just spending a few minutes to look it up
[1:02:20.400 --> 1:02:24.880]  On youtube there's so many versions of it that count of 10 million views up just an hour
[1:02:25.600 --> 1:02:28.720]  And I didn't spend that much time doing the research maybe 45 minutes
[1:02:28.720 --> 1:02:31.360]  But the point is is that I don't have time to do all this research
[1:02:31.840 --> 1:02:37.680]  I go on there. It's number one ever and he said top rock stars top movie stars everybody on
[1:02:38.080 --> 1:02:40.080]  Joseph movie star tv star
[1:02:40.080 --> 1:02:42.080]  um
[1:02:42.880 --> 1:02:44.880]  You know host the ufc
[1:02:46.800 --> 1:02:51.600]  One of the top 10 comedians of the country sometimes he gives me is 20,000 people to come here speak him speak alone
[1:02:51.760 --> 1:02:54.400]  He sells out the moody theater 5,000 every time he comes to austin
[1:02:54.880 --> 1:02:58.960]  He sells out four shows in a row at cap city comedy club that holds like 2000
[1:03:00.080 --> 1:03:02.080]  The point is he's a big big celebrity
[1:03:03.360 --> 1:03:05.360]  and
[1:03:05.360 --> 1:03:10.400]  I coming on the show is the biggest thing ever happened to it. The point is is that I'm sitting there talking to my crew
[1:03:12.160 --> 1:03:14.800]  We think about how itunes has blocked us having our own
