[00:00.000 --> 00:22.000]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[41:42.000 --> 41:46.000]  100,000 to a million euro fine.
[41:46.000 --> 41:51.000]  If you don't accept military aged men into your country,
[41:51.000 --> 41:54.000]  who all seem to have their own Facebook accounts bragging about
[41:54.000 --> 41:57.000]  how many people they killed, sometimes posing with dead bodies
[41:57.000 --> 42:01.000]  or women they've captured, who they're selling into slavery.
[42:01.000 --> 42:03.000]  Oh, yeah, they let you sit in the news.
[42:03.000 --> 42:06.000]  Oh, you actually sold women to sex slavery and you're on tape
[42:06.000 --> 42:07.000]  executing people?
[42:07.000 --> 42:10.000]  Baby, we want you.
[42:10.000 --> 42:13.000]  And what's the Green Party say?
[42:13.000 --> 42:16.000]  They came out and they told the women in Cologne,
[42:16.000 --> 42:19.000]  a bunch of them got raped, the mayor who's the Green Party
[42:19.000 --> 42:22.000]  ahead in that state, by the way, not just mayor,
[42:22.000 --> 42:25.000]  she said, don't wear short dresses, sweetheart.
[42:25.000 --> 42:29.000]  She said, don't wear short dresses and go around together in groups
[42:29.000 --> 42:32.000]  or wear rape bracelets.
[42:32.000 --> 42:35.000]  But more on the article, European globalists are preparing
[42:35.000 --> 42:39.000]  to force central European nations to accept mandated migrant quotas
[42:39.000 --> 42:43.000]  and open borders according to Hungarian prime minister.
[42:43.000 --> 42:46.000]  And then it goes on from there that he has been notified
[42:46.000 --> 42:48.000]  that they will just take control of his borders,
[42:48.000 --> 42:49.000]  which they've been saying they'll do.
[42:49.000 --> 42:50.000]  They've been threatening Italy.
[42:50.000 --> 42:54.000]  If Italy stops the Zodiac boats that George Soros funds publicly,
[42:54.000 --> 42:56.000]  bringing in thousands every few days into Italy,
[42:56.000 --> 42:59.000]  they said, we'll stop your ships.
[43:00.000 --> 43:03.000]  Crooked Hillary is at it again, gaslighting the population.
[43:03.000 --> 43:07.000]  She says Trump is using the FISA memo as a scapegoat
[43:07.000 --> 43:08.000]  for the Russia probe.
[43:08.000 --> 43:11.000]  Speaking to students at Georgetown University,
[43:11.000 --> 43:14.000]  Clinton said her loss is attributed to misogyny and sexism,
[43:14.000 --> 43:17.000]  but another contributing factor was the outgrowth
[43:17.000 --> 43:20.000]  of all the anxiety and insecurity playing on some people
[43:20.000 --> 43:22.000]  and leading them on a hunt for scapegoats.
[43:22.000 --> 43:24.000]  But thanks to those damning text messages
[43:24.000 --> 43:27.000]  between two anti-Trump FBI investigators,
[43:27.000 --> 43:30.000]  we know the Russia investigation was meant to be Clinton's
[43:30.000 --> 43:33.000]  scapegoat for losing the 2016 election.
[43:33.000 --> 43:36.000]  Peter Struck and his mistress Lisa Page outlined
[43:36.000 --> 43:40.000]  an insurance policy to derail Trump should he win the election.
[43:40.000 --> 43:44.000]  FBI officials like Struck and former deputy director Andrew McCabe
[43:44.000 --> 43:46.000]  were quarterbacking the investigation
[43:46.000 --> 43:48.000]  into Clinton's illegal server.
[43:48.000 --> 43:52.000]  The FISA memo itself details evidence of the Clinton campaign,
[43:52.000 --> 43:55.000]  including with the FBI, DOJ, and the State Department.
[43:55.000 --> 43:58.000]  Leigh-Anne McAdoo, Infowars.com.
[44:01.000 --> 44:04.000]  Over a year in the making, produced by one of the top organic firms
[44:04.000 --> 44:08.000]  in the country, that if you want proven studies and documentation,
[44:08.000 --> 44:11.000]  let me speak for hours just on the files I have here,
[44:11.000 --> 44:14.000]  of what this is proven to do, the ingredients in this,
[44:14.000 --> 44:19.000]  this is the ultimate immune system boost for this time of year,
[44:19.000 --> 44:23.000]  anytime of the year, but immune wall is incredible and folks.
[44:23.000 --> 44:26.000]  Other formulas that aren't even as good are $70, $80.
[44:26.000 --> 44:28.000]  It's a great deal at $39.
[44:28.000 --> 44:32.000]  Immune wall, beta-glucans, olive leaf, and so much more.
[44:32.000 --> 44:35.000]  It is concentrated, you need to go read what is in here.
[44:35.000 --> 44:39.000]  The mushroom blend of the most expensive, highest quality mushrooms
[44:39.000 --> 44:41.000]  that just incredibly accelerate.
[44:41.000 --> 44:44.000]  A citrus peel blend, I mean, this is the next level.
[44:44.000 --> 44:47.000]  It's now available, ladies and gentlemen, immune wall.
[44:47.000 --> 44:50.000]  I think it's beyond seasonal, beta-glucan, olive leaf,
[44:50.000 --> 44:54.000]  and more, immune wall, Infowarsstore.com, Infowarslife.com,
[44:54.000 --> 45:23.000]  or cripple 835-33139.
[45:24.000 --> 45:50.000]  Thank you.
[45:50.000 --> 46:16.000]  Thank you.
[46:16.000 --> 46:42.000]  Thank you.
[46:42.000 --> 47:10.000]  Thank you.
[47:10.000 --> 47:36.000]  Thank you.
[47:36.000 --> 47:57.000]  Thank you.
[47:57.000 --> 48:24.000]  Thank you.
[48:24.000 --> 48:50.000]  Thank you.
[48:50.000 --> 49:16.000]  Thank you.
[49:16.000 --> 49:42.000]  Thank you.
[49:42.000 --> 50:09.000]  Thank you.
[50:09.000 --> 50:38.000]  Thank you.
[50:38.000 --> 51:07.000]  Thank you.
[51:07.000 --> 51:34.000]  Thank you.
[51:34.000 --> 52:01.000]  Thank you.
[52:01.000 --> 52:30.000]  Thank you.
[52:30.000 --> 52:57.000]  Thank you.
[52:57.000 --> 53:24.000]  Thank you.
[53:24.000 --> 53:51.000]  Thank you.
[53:51.000 --> 54:17.000]  Thank you.
[54:17.000 --> 54:44.000]  Thank you.
[54:44.000 --> 55:10.000]  Thank you.
[55:10.000 --> 55:37.000]  Thank you.
[55:37.000 --> 56:04.000]  Thank you.
[56:04.000 --> 56:31.000]  Thank you.
[56:31.000 --> 56:58.000]  Thank you.
[56:58.000 --> 57:25.000]  Thank you.
[57:25.000 --> 57:49.000]  Thank you.
[57:49.000 --> 58:16.000]  Thank you.
[58:16.000 --> 58:44.000]  Thank you.
[58:44.000 --> 59:11.000]  Thank you.
[59:11.000 --> 59:38.000]  Thank you.
[59:38.000 --> 59:53.000]  Thank you.
[59:53.000 --> 01:00:17.000]  Thank you.
[01:00:17.000 --> 01:00:44.000]  Thank you.
[01:00:44.000 --> 01:01:12.000]  Thank you.
[01:01:12.000 --> 01:01:39.000]  Thank you.
[01:01:39.000 --> 01:02:06.000]  Thank you.
[01:02:06.000 --> 01:02:33.000]  Thank you.
[01:02:33.000 --> 01:03:00.000]  Thank you.
[01:03:00.000 --> 01:03:27.000]  Thank you.
[01:03:27.000 --> 01:03:54.000]  Thank you.
[01:03:54.000 --> 01:04:21.000]  Thank you.
[01:04:21.000 --> 01:04:49.000]  Thank you.
[01:04:49.000 --> 01:05:16.000]  Thank you.
[01:05:16.000 --> 01:05:43.000]  Thank you.
[01:05:43.000 --> 01:06:09.000]  Thank you.
[01:06:09.000 --> 01:06:36.000]  Thank you.
[01:06:36.000 --> 01:07:03.000]  Thank you.
[01:07:03.000 --> 01:07:31.000]  Thank you.
[01:07:31.000 --> 01:07:58.000]  Thank you.
[01:07:58.000 --> 01:08:26.000]  Thank you.
[01:08:26.000 --> 01:08:54.000]  Thank you.
[01:08:54.000 --> 01:09:22.000]  Thank you.
[01:09:22.000 --> 01:09:49.000]  Thank you.
[01:09:49.000 --> 01:10:16.000]  Thank you.
[01:10:16.000 --> 01:10:43.000]  Thank you.
[01:10:43.000 --> 01:11:09.000]  Thank you.
[01:11:09.000 --> 01:11:36.000]  Thank you.
[01:11:36.000 --> 01:12:05.000]  Thank you.
[01:12:05.000 --> 01:12:33.000]  Thank you.
[01:12:33.000 --> 01:13:00.000]  Thank you.
[01:13:00.000 --> 01:13:27.000]  Thank you.
[01:13:27.000 --> 01:13:54.000]  Thank you.
[01:13:54.000 --> 01:14:21.000]  Thank you.
[01:14:21.000 --> 01:14:48.000]  Thank you.
[01:14:48.000 --> 01:15:15.000]  Thank you.
[01:15:15.000 --> 01:15:42.000]  Thank you.
[01:15:42.000 --> 01:16:08.000]  Thank you.
[01:16:08.000 --> 01:16:34.000]  Thank you.
[01:16:34.000 --> 01:16:57.000]  Thank you.
[01:16:57.000 --> 01:17:26.000]  Thank you.
[01:17:26.000 --> 01:17:55.000]  Thank you.
[01:17:56.000 --> 01:17:58.000]  Thank you.
[01:18:26.000 --> 01:18:54.000]  Thank you.
[01:18:54.000 --> 01:19:21.000]  Thank you.
[01:19:21.000 --> 01:19:47.000]  Thank you.
[01:19:47.000 --> 01:20:02.000]  Thank you.
[01:20:02.000 --> 01:20:29.000]  Thank you.
[01:20:29.000 --> 01:20:55.000]  Thank you.
[01:20:55.000 --> 01:21:22.000]  Thank you.
[01:21:22.000 --> 01:21:49.000]  Thank you.
[01:21:49.000 --> 01:22:16.000]  Thank you.
[01:22:16.000 --> 01:22:42.000]  Thank you.
[01:22:42.000 --> 01:23:08.000]  Thank you.
[01:23:08.000 --> 01:23:35.000]  Thank you.
[01:23:35.000 --> 01:24:02.000]  Thank you.
[01:24:02.000 --> 01:24:29.000]  Thank you.
[01:24:29.000 --> 01:24:56.000]  Thank you.
[01:24:56.000 --> 01:25:23.000]  Thank you.
[01:25:23.000 --> 01:25:50.000]  Thank you.
[01:25:50.000 --> 01:26:19.000]  Thank you.
[01:26:19.000 --> 01:26:46.000]  Thank you.
[01:26:46.000 --> 01:27:15.000]  Thank you.
[01:27:15.000 --> 01:27:42.000]  Thank you.
[01:27:42.000 --> 01:28:09.000]  Thank you.
[01:28:09.000 --> 01:28:36.000]  Thank you.
[01:28:36.000 --> 01:29:03.000]  Thank you.
[01:29:03.000 --> 01:29:27.000]  Thank you.
[01:29:27.000 --> 01:29:56.000]  Thank you.
[01:29:57.000 --> 01:30:23.000]  Thank you.
[01:30:23.000 --> 01:30:50.000]  Thank you.
[01:30:50.000 --> 01:31:17.000]  Thank you.
[01:31:17.000 --> 01:31:44.000]  Thank you.
[01:31:44.000 --> 01:32:11.000]  Thank you.
[01:32:11.000 --> 01:32:38.000]  Thank you.
[01:32:38.000 --> 01:33:05.000]  Thank you.
[01:33:08.000 --> 01:33:37.000]  Thank you.
[01:33:37.000 --> 01:34:04.000]  Thank you.
[01:34:04.000 --> 01:34:31.000]  Thank you.
[01:34:31.000 --> 01:34:58.000]  Thank you.
[01:34:58.000 --> 01:35:27.000]  Thank you.
[01:35:28.000 --> 01:35:55.000]  Thank you.
[01:35:55.000 --> 01:36:22.000]  Thank you.
[01:36:22.000 --> 01:36:50.000]  Thank you.
[01:36:50.000 --> 01:37:17.000]  Thank you.
[01:37:17.000 --> 01:37:41.000]  Thank you.
[01:37:47.000 --> 01:38:14.000]  Thank you.
[01:38:14.000 --> 01:38:41.000]  Thank you.
[01:38:41.000 --> 01:39:08.000]  Thank you.
[01:39:08.000 --> 01:39:36.000]  Thank you.
[01:39:36.000 --> 01:40:04.000]  Thank you.
[01:40:04.000 --> 01:40:31.000]  Thank you.
[01:40:31.000 --> 01:40:57.000]  Thank you.
[01:40:57.000 --> 01:41:21.000]  Thank you.
[01:41:21.000 --> 01:41:48.000]  Thank you.
[01:41:48.000 --> 01:42:10.000]  Thank you.
[01:42:10.000 --> 01:42:38.000]  Thank you.
[01:42:38.000 --> 01:42:48.000]  Thank you.
[01:43:08.000 --> 01:43:35.000]  Thank you.
[01:43:35.000 --> 01:43:58.000]  Thank you.
[01:43:58.000 --> 01:44:25.000]  Thank you.
[01:44:25.000 --> 01:44:52.000]  Thank you.
[01:44:52.000 --> 01:45:19.000]  Thank you.
[01:45:19.000 --> 01:45:47.000]  Thank you.
[01:45:47.000 --> 01:46:16.000]  Thank you.
[01:46:17.000 --> 01:46:44.000]  Thank you.
[01:46:44.000 --> 01:47:12.000]  Thank you.
[01:47:12.000 --> 01:47:39.000]  Thank you.
[01:47:39.000 --> 01:48:06.000]  Thank you.
[01:48:06.000 --> 01:48:34.000]  Thank you.
[01:48:34.000 --> 01:49:01.000]  Thank you.
[01:49:01.000 --> 01:49:28.000]  Thank you.
[01:49:28.000 --> 01:49:55.000]  Thank you.
[01:49:55.000 --> 01:50:23.000]  Thank you.
[01:50:23.000 --> 01:50:50.000]  Thank you.
[01:50:50.000 --> 01:51:17.000]  Thank you.
[01:51:17.000 --> 01:51:44.000]  Thank you.
[01:51:44.000 --> 01:52:13.000]  Thank you.
[01:52:13.000 --> 01:52:40.000]  Thank you.
[01:52:40.000 --> 01:53:07.000]  Thank you.
[01:53:07.000 --> 01:53:34.000]  Thank you.
[01:53:34.000 --> 01:54:01.000]  Thank you.
[01:54:01.000 --> 01:54:28.000]  Thank you.
[01:54:28.000 --> 01:54:55.000]  Thank you.
[01:54:55.000 --> 01:55:22.000]  Thank you.
[01:55:22.000 --> 01:55:49.000]  Thank you.
[01:55:49.000 --> 01:56:17.000]  Thank you.
[01:56:17.000 --> 01:56:44.000]  Thank you.
[01:56:44.000 --> 01:57:12.000]  Thank you.
[01:57:12.000 --> 01:57:39.000]  Thank you.
[01:57:39.000 --> 01:58:05.000]  Thank you.
[01:58:05.000 --> 01:58:32.000]  Thank you.
[01:58:32.000 --> 01:58:59.000]  Thank you.
[01:58:59.000 --> 01:59:26.000]  Thank you.
[01:59:26.000 --> 01:59:51.000]  Thank you.
[01:59:51.000 --> 02:00:18.000]  Thank you.
[02:00:18.000 --> 02:00:45.000]  Thank you.
[02:00:45.000 --> 02:01:12.000]  Thank you.
[02:01:12.000 --> 02:01:39.000]  Thank you.
[02:01:39.000 --> 02:02:06.000]  Thank you.
[02:02:06.000 --> 02:02:33.000]  Thank you.
[02:02:33.000 --> 02:03:00.000]  Thank you.
[02:03:00.000 --> 02:03:27.000]  Thank you.
[02:03:27.000 --> 02:03:55.000]  Thank you.
[02:03:55.000 --> 02:04:24.000]  Thank you.
[02:04:25.000 --> 02:04:53.000]  Thank you.
[02:04:53.000 --> 02:05:22.000]  Thank you.
[02:05:23.000 --> 02:05:50.000]  Thank you.
[02:05:50.000 --> 02:06:19.000]  Thank you.
[02:06:20.000 --> 02:06:47.000]  Thank you.
[02:06:47.000 --> 02:07:14.000]  Thank you.
[02:07:14.000 --> 02:07:42.000]  Thank you.
[02:07:42.000 --> 02:08:11.000]  Thank you.
[02:08:12.000 --> 02:08:39.000]  Thank you.
[02:08:39.000 --> 02:09:06.000]  Thank you.
[02:09:06.000 --> 02:09:33.000]  Thank you.
[02:09:33.000 --> 02:10:00.000]  Thank you.
[02:10:00.000 --> 02:10:27.000]  Thank you.
[02:10:27.000 --> 02:10:54.000]  Thank you.
[02:10:54.000 --> 02:11:23.000]  Thank you.
[02:11:24.000 --> 02:11:51.000]  Thank you.
[02:11:51.000 --> 02:12:18.000]  Thank you.
[02:12:18.000 --> 02:12:46.000]  Thank you.
[02:12:46.000 --> 02:13:13.000]  Thank you.
[02:13:13.000 --> 02:13:42.000]  Thank you.
[02:13:43.000 --> 02:14:10.000]  Thank you.
[02:14:10.000 --> 02:14:32.000]  Thank you.
[02:14:32.000 --> 02:14:59.000]  Thank you.
[02:14:59.000 --> 02:15:26.000]  Thank you.
[02:15:26.000 --> 02:15:55.000]  Thank you.
[02:15:55.000 --> 02:16:23.000]  Thank you.
[02:16:23.000 --> 02:16:52.000]  Thank you.
[02:16:53.000 --> 02:17:20.000]  Thank you.
[02:17:20.000 --> 02:17:47.000]  Thank you.
[02:17:47.000 --> 02:18:14.000]  Thank you.
[02:18:14.000 --> 02:18:41.000]  Thank you.
[02:18:41.000 --> 02:18:56.000]  Thank you.
[02:18:56.000 --> 02:19:23.000]  Thank you.
[02:19:23.000 --> 02:19:51.000]  Thank you.
[02:19:51.000 --> 02:20:18.000]  Thank you.
[02:20:18.000 --> 02:20:45.000]  Thank you.
[02:20:45.000 --> 02:21:12.000]  Thank you.
[02:21:12.000 --> 02:21:39.000]  Thank you.
[02:21:39.000 --> 02:22:06.000]  Thank you.
[02:22:06.000 --> 02:22:34.000]  Thank you.
[02:22:34.000 --> 02:23:03.000]  Thank you.
[02:23:03.000 --> 02:23:30.000]  Thank you.
[02:23:30.000 --> 02:23:59.000]  Thank you.
[02:24:00.000 --> 02:24:27.000]  Thank you.
[02:24:27.000 --> 02:24:49.000]  Thank you.
[02:24:49.000 --> 02:25:15.000]  Thank you.
[02:25:15.000 --> 02:25:42.000]  Thank you.
[02:25:42.000 --> 02:26:09.000]  Thank you.
[02:26:09.000 --> 02:26:36.000]  Thank you.
[02:26:36.000 --> 02:27:03.000]  Thank you.
[02:27:03.000 --> 02:27:30.000]  Thank you.
[02:27:30.000 --> 02:27:57.000]  Thank you.
[02:27:57.000 --> 02:28:24.000]  Thank you.
[02:28:24.000 --> 02:28:50.000]  Thank you.
[02:28:50.000 --> 02:29:16.000]  Thank you.
[02:29:16.000 --> 02:29:44.000]  Thank you.
[02:29:44.000 --> 02:30:13.000]  Thank you.
[02:30:14.000 --> 02:30:43.000]  Thank you.
[02:30:44.000 --> 02:30:56.000]  Thank you.
[02:31:14.000 --> 02:31:41.000]  Thank you.
[02:31:41.000 --> 02:31:56.000]  Thank you.
[02:31:56.000 --> 02:32:23.000]  Thank you.
[02:32:23.000 --> 02:32:50.000]  Thank you.
[02:32:50.000 --> 02:33:19.000]  Thank you.
[02:33:20.000 --> 02:33:47.000]  Thank you.
[02:33:47.000 --> 02:34:14.000]  Thank you.
[02:34:14.000 --> 02:34:41.000]  Thank you.
[02:34:41.000 --> 02:35:08.000]  Thank you.
[02:35:08.000 --> 02:35:36.000]  Thank you.
[02:35:36.000 --> 02:36:03.000]  Thank you.
[02:36:03.000 --> 02:36:30.000]  Thank you.
[02:36:30.000 --> 02:36:57.000]  Thank you.
[02:36:57.000 --> 02:37:24.000]  Thank you.
[02:37:24.000 --> 02:37:52.000]  Thank you.
[02:37:52.000 --> 02:38:19.000]  Thank you.
[02:38:19.000 --> 02:38:46.000]  Thank you.
[02:38:46.000 --> 02:39:13.000]  Thank you.
[02:39:13.000 --> 02:39:41.000]  Thank you.
[02:39:41.000 --> 02:40:08.000]  Thank you.
[02:40:08.000 --> 02:40:35.000]  Thank you.
[02:40:35.000 --> 02:41:03.000]  Thank you.
[02:41:03.000 --> 02:41:30.000]  Thank you.
[02:41:30.000 --> 02:41:57.000]  Thank you.
[02:41:57.000 --> 02:42:25.000]  Thank you.
[02:42:25.000 --> 02:42:54.000]  Thank you.
[02:42:55.000 --> 02:43:22.000]  Thank you.
[02:43:22.000 --> 02:43:49.000]  Thank you.
[02:43:49.000 --> 02:44:16.000]  Thank you.
[02:44:16.000 --> 02:44:43.000]  Thank you.
[02:44:43.000 --> 02:45:10.000]  Thank you.
[02:45:10.000 --> 02:45:39.000]  Thank you.
[02:45:40.000 --> 02:46:07.000]  Thank you.
[02:46:07.000 --> 02:46:34.000]  Thank you.
[02:46:34.000 --> 02:46:59.000]  Thank you.
[02:46:59.000 --> 02:47:21.000]  You're listening to the Alex Jones show.
[02:47:21.000 --> 02:47:31.000]  Welcome back.
[02:47:31.000 --> 02:47:41.000]  I have other sources that are in similar walks of life in other areas.
[02:47:41.000 --> 02:47:51.000]  I have a question for you.
[02:47:51.000 --> 02:48:01.000]  It's very pragmatic as well.
[02:48:01.000 --> 02:48:30.000]  I have a question for you.
[02:48:30.000 --> 02:48:45.000]  You see the bigger globalist plan, it's just chaos for everybody.
[02:48:45.000 --> 02:49:12.000]  I have a question for you.
[02:49:12.000 --> 02:49:41.000]  I have a question for you.
[02:49:41.000 --> 02:50:10.000]  I have a question for you.
[02:50:10.000 --> 02:50:39.000]  I have a question for you.
[02:50:39.000 --> 02:51:01.000]  I have a question for you.
[02:51:01.000 --> 02:51:30.000]  I have a question for you.
[02:51:30.000 --> 02:51:59.000]  I have a question for you.
[02:51:59.000 --> 02:52:28.000]  I have a question for you.
[02:52:28.000 --> 02:52:54.000]  I have a question for you.
[02:52:54.000 --> 02:53:23.000]  I have a question for you.
[02:53:23.000 --> 02:53:52.000]  I have a question for you.
[02:53:53.000 --> 02:54:22.000]  I have a question for you.
[02:54:22.000 --> 02:54:42.000]  I have a question for you.
[02:54:42.000 --> 02:55:08.000]  I have a question for you.
[02:55:08.000 --> 02:55:32.000]  I have a question for you.
[02:55:32.000 --> 02:55:59.000]  I have a question for you.
[02:55:59.000 --> 02:56:14.000]  I have a question for you.
[02:56:14.000 --> 02:56:42.000]  I have a question for you.
[02:56:42.000 --> 02:57:11.000]  I have a question for you.
[02:57:11.000 --> 02:57:40.000]  I have a question for you.
[02:57:40.000 --> 02:58:07.000]  I have a question for you.
[02:58:07.000 --> 02:58:34.000]  I have a question for you.
[02:58:34.000 --> 02:59:02.000]  I have a question for you.
[02:59:02.000 --> 02:59:31.000]  I have a question for you.
[02:59:32.000 --> 02:59:56.000]  I have a question for you.
[02:59:56.000 --> 03:00:25.000]  I have a question for you.
[03:00:25.000 --> 03:00:54.000]  I have a question for you.
[03:00:54.000 --> 03:01:23.000]  I have a question for you.
[03:01:24.000 --> 03:01:51.000]  I have a question for you.
[03:01:51.000 --> 03:02:17.000]  I have a question for you.
[03:02:17.000 --> 03:02:44.000]  I have a question for you.
[03:02:44.000 --> 03:03:10.000]  I have a question for you.
[03:03:10.000 --> 03:03:39.000]  I have a question for you.
[03:03:40.000 --> 03:04:07.000]  I have a question for you.
[03:04:07.000 --> 03:04:34.000]  I have a question for you.
[03:04:34.000 --> 03:05:03.000]  I have a question for you.
[03:05:04.000 --> 03:05:32.000]  I have a question for you.
[03:05:32.000 --> 03:05:55.000]  I have a question for you.
[03:06:02.000 --> 03:06:27.000]  I have a question for you.
[03:06:27.000 --> 03:06:54.000]  I have a question for you.
[03:06:54.000 --> 03:07:21.000]  I have a question for you.
[03:07:21.000 --> 03:07:48.000]  I have a question for you.
[03:07:48.000 --> 03:08:17.000]  I have a question for you.
[03:08:18.000 --> 03:08:47.000]  I have a question for you.
[03:08:48.000 --> 03:09:15.000]  I have a question for you.
[03:09:15.000 --> 03:09:41.000]  I have a question for you.
[03:09:41.000 --> 03:10:08.000]  I have a question for you.
[03:10:08.000 --> 03:10:37.000]  I have a question for you.
[03:10:38.000 --> 03:11:05.000]  I have a question for you.
[03:11:05.000 --> 03:11:31.000]  I have a question for you.
[03:11:31.000 --> 03:11:58.000]  I have a question for you.
[03:11:58.000 --> 03:12:23.000]  I have a question for you.
[03:12:23.000 --> 03:12:50.000]  I have a question for you.
[03:12:50.000 --> 03:13:17.000]  I have a question for you.
[03:13:17.000 --> 03:13:42.000]  I have a question for you.
[03:13:42.000 --> 03:14:09.000]  I have a question for you.
[03:14:09.000 --> 03:14:36.000]  I have a question for you.
[03:14:36.000 --> 03:15:03.000]  I have a question for you.
[03:15:03.000 --> 03:15:32.000]  I have a question for you.
[03:15:32.000 --> 03:15:53.000]  I have a question for you.
[03:15:53.000 --> 03:16:22.000]  I have a question for you.
[03:16:23.000 --> 03:16:52.000]  I have a question for you.
[03:16:53.000 --> 03:17:20.000]  I have a question for you.
[03:17:20.000 --> 03:17:46.000]  I have a question for you.
[03:17:46.000 --> 03:18:15.000]  I have a question for you.
[03:18:15.000 --> 03:18:44.000]  I have a question for you.
[03:18:44.000 --> 03:19:12.000]  I have a question for you.
[03:19:12.000 --> 03:19:39.000]  I have a question for you.
[03:19:39.000 --> 03:20:06.000]  I have a question for you.
[03:20:06.000 --> 03:20:35.000]  I have a question for you.
[03:20:35.000 --> 03:21:02.000]  I have a question for you.
[03:21:02.000 --> 03:21:29.000]  I have a question for you.
[03:21:29.000 --> 03:21:56.000]  I have a question for you.
[03:21:56.000 --> 03:22:23.000]  I have a question for you.
[03:22:23.000 --> 03:22:51.000]  I have a question for you.
[03:22:51.000 --> 03:23:20.000]  I have a question for you.
[03:23:21.000 --> 03:23:50.000]  I have a question for you.
[03:23:51.000 --> 03:24:20.000]  I have a question for you.
[03:24:21.000 --> 03:24:50.000]  I have a question for you.
[03:24:51.000 --> 03:25:20.000]  I have a question for you.
[03:25:21.000 --> 03:25:48.000]  I have a question for you.
[03:25:48.000 --> 03:26:15.000]  I have a question for you.
[03:26:15.000 --> 03:26:42.000]  I have a question for you.
[03:26:42.000 --> 03:27:09.000]  I have a question for you.
[03:27:09.000 --> 03:27:36.000]  I have a question for you.
[03:27:36.000 --> 03:28:03.000]  I have a question for you.
[03:28:03.000 --> 03:28:32.000]  I have a question for you.
[03:28:33.000 --> 03:29:00.000]  I have a question for you.
[03:29:00.000 --> 03:29:23.000]  I have a question for you.
[03:29:23.000 --> 03:29:52.000]  I have a question for you.
[03:29:53.000 --> 03:30:20.000]  I have a question for you.
[03:30:20.000 --> 03:30:48.000]  I have a question for you.
[03:30:48.000 --> 03:31:15.000]  I have a question for you.
[03:31:15.000 --> 03:31:42.000]  I have a question for you.
[03:31:42.000 --> 03:32:09.000]  I have a question for you.
[03:32:09.000 --> 03:32:36.000]  I have a question for you.
[03:32:36.000 --> 03:33:05.000]  I have a question for you.
[03:33:05.000 --> 03:33:33.000]  I have a question for you.
[03:33:33.000 --> 03:34:02.000]  I have a question for you.
[03:34:03.000 --> 03:34:30.000]  I have a question for you.
[03:34:30.000 --> 03:34:56.000]  I have a question for you.
[03:34:56.000 --> 03:35:25.000]  I have a question for you.
[03:35:26.000 --> 03:35:53.000]  I have a question for you.
[03:35:53.000 --> 03:36:21.000]  I have a question for you.
[03:36:21.000 --> 03:36:50.000]  I have a question for you.
[03:36:50.000 --> 03:37:17.000]  I have a question for you.
[03:37:17.000 --> 03:37:43.000]  I have a question for you.
[03:37:43.000 --> 03:38:06.000]  I have a question for you.
[03:38:06.000 --> 03:38:33.000]  I have a question for you.
[03:38:33.000 --> 03:39:02.000]  I have a question for you.
[03:39:02.000 --> 03:39:29.000]  I have a question for you.
[03:39:29.000 --> 03:39:50.000]  I have a question for you.
[03:39:50.000 --> 03:40:17.000]  I have a question for you.
[03:40:17.000 --> 03:40:44.000]  I have a question for you.
[03:40:44.000 --> 03:40:49.000]  If you are trying to recruit the British Army, then where is the recruitment for us?
[03:40:49.000 --> 03:40:55.000]  Where is the recruitment for normal young men, full of testosterone, who want to go in the army to fight?
[03:40:55.000 --> 03:40:57.000]  They want to go in to be the best.
[03:40:57.000 --> 03:41:04.000]  The British Army are trying to get rid of the slogan, be the best, because it is too elicited.
[03:41:04.000 --> 03:41:05.000]  They want to get rid of it.
[03:41:05.000 --> 03:41:12.000]  If you compare this, I will ask any of you viewers to go on the Chinese Army recruitment video.
[03:41:12.000 --> 03:41:15.000]  Go on Russia's recruitment video.
[03:41:15.000 --> 03:41:23.000]  It is men with six pats, with face paint on them, shooting people in the head, firing rockets, driving tanks.
[03:41:23.000 --> 03:41:25.000]  It is adrenaline packed.
[03:41:25.000 --> 03:41:28.000]  It is young men who are going to go out and fight.
[03:41:28.000 --> 03:41:33.000]  These men are supposed to go out and get bullets fired at them and die.
[03:41:33.000 --> 03:41:35.000]  This is the Chinese one.
[03:41:35.000 --> 03:41:37.000]  These men are going to do.
[03:41:37.000 --> 03:41:39.000]  We want them to have a corner to cry in.
[03:41:39.000 --> 03:41:42.000]  We want them to have someone to talk to if they are gay.
[03:41:42.000 --> 03:41:44.000]  That is the reality of it.
[03:41:44.000 --> 03:41:46.000]  It is an embarrassment to our army.
[03:41:46.000 --> 03:41:49.000]  Then I ask the motives of why they are doing this.
[03:41:49.000 --> 03:41:53.000]  I am aware that the British Army, I believe, want to lose another 10,000 people.
[03:41:53.000 --> 03:41:58.000]  Through this campaign that they have launched, people are dropping out every day.
[03:41:58.000 --> 03:42:00.000]  Maybe that is why they have done it.
[03:42:00.000 --> 03:42:03.000]  It is a complete embarrassment to our British military.
[03:42:03.000 --> 03:42:08.000]  So many people serving for it are so angered and frustrated.
[03:42:08.000 --> 03:42:10.000]  This is, do I have to be a superhero?
[03:42:10.000 --> 03:42:13.000]  This is actually one that shows the man crying in a little while.
[03:42:13.000 --> 03:42:18.000]  When you compare it to what they want our military to be like in the future,
[03:42:18.000 --> 03:42:22.000]  they basically want transgender Muslims leading our military.
