[00:00.000 --> 00:25.000]  I don't want to believe this. I don't want to be right. I want to be wrong. But I'm sorry.
[1:13:30.000 --> 1:13:40.000]  what was likely to happen, and this is why in the fact sheets, even the FDA, the FDA requires recipients of the vaccine get that requires doctors give to their recipients.
[1:13:40.000 --> 1:13:47.000]  And a lot of people are not getting these say that they have no idea what the duration of immunity the vaccine can even provide.
[1:13:47.000 --> 1:13:54.000]  And in this, and why is that? It's because, first of all, this is the first time mRNA has ever been used in any drug or vaccine.
[1:13:54.000 --> 1:14:03.000]  And the reason why is because in all the prior tests, the more you used mRNA, the less effective it became and the more side effects got worse.
[1:14:03.000 --> 1:14:14.000]  And so the prediction was that what would happen with this vaccine, these mRNA vaccines especially, is that the effectiveness would, they would quit creating antibodies.
[1:14:14.000 --> 1:14:23.000]  And that's all really a vaccine is medically just creates antibodies to respond to an infection that the antibodies would decline over time.
[1:14:23.000 --> 1:14:31.000]  And the problem with mRNA is the more shots you get. The reason why there aren't a bunch of mRNA drugs running around is because the more shots you get,
[1:14:31.000 --> 1:14:38.000]  the more you take it, the worse the side effects get. And so you get declining effectiveness and worse side effects.
[1:14:38.000 --> 1:14:48.000]  So it's a perfectly written disaster movie script. And that's what we're already seeing in Israel, Iceland, UK, the data that was coming out, the vaccine effect.
[1:14:48.000 --> 1:14:53.000]  Remember they predicted 95% effective. Well, it started going down right away.
[1:14:53.000 --> 1:15:02.000]  And then it was 84%. And then it was 73%. And now the most recent Pfizer data written by pro-Pfizer people who have connections to Pfizer,
[1:15:02.000 --> 1:15:10.000]  the medical report you just mentioned, it's all the way down to 42%. And that's of the Delta variant only being at 70% in the state of Florida,
[1:15:10.000 --> 1:15:17.000]  which means it's effective. This is likely, as you know, somewhere around 25% and keeps going down and down and down.
[1:15:17.000 --> 1:15:24.000]  And this is why it's so frustrating. We got to go to a break here, Robert, but let's pick it back up with where we left off with the religious exemption,
[1:15:24.000 --> 1:15:29.000]  which you were in the middle of, and then you can finish off because I know people really want to get this information.
[1:15:29.000 --> 1:15:32.000]  And you're going to have to bookworm it a little bit. You're going to have to hoop, jump a little bit.
[1:15:32.000 --> 1:15:37.000]  But, you know, if you don't want to take the vaccine. But again, this is why it's so frustrating is, like, I can sit here.
[1:15:37.000 --> 1:15:41.000]  I know everything that Robert Barnes is saying is true because I've done it.
[1:15:41.000 --> 1:15:47.000]  I mean, I remember months ago, the crew printed out like all these different fact sheets and gave them to me from all the different vaccines.
[1:15:47.000 --> 1:15:53.000]  And it says on it, it literally says, we don't know if the vaccine works. It's on the sheet.
[1:15:53.000 --> 1:15:59.000]  And then I tell people that and they're like, oh, you're a conspiracy theorist.
[1:16:23.000 --> 1:16:27.000]  It needs both the regular shows and special reports and share them with everyone you know.
[1:16:27.000 --> 1:16:34.000]  Take action now by texting the word news, NEWS, to 833-470-0438.
[1:16:34.000 --> 1:16:39.000]  That's 833-470-0438 for info or emergency news alerts,
[1:16:39.000 --> 1:16:46.000]  or text the word show to 833-470-0438 and receive live show notifications.
[1:16:46.000 --> 1:16:51.000]  Take action now, rate the chain reaction until others to share those texts.
[1:16:51.000 --> 1:16:55.000]  This is alerts at 833-470-0438.
[1:17:22.000 --> 1:17:25.000]  Fireplace heat without fireplace smoke.
[1:17:25.000 --> 1:17:51.000]  It's the world's most versatile pistol accessory.
[1:17:51.000 --> 1:18:01.000]  I'm a very humble person, but I'm also a bold person.
[1:18:01.000 --> 1:18:06.000]  And so as bad as things are with the globalist attack on humanity, with all the terrible things that are unfolding,
[1:18:06.000 --> 1:18:11.000]  I want you to know that a lot of positive things are happening as well.
[1:18:11.000 --> 1:18:15.000]  I'm a public figure, so I get to see things the general public doesn't get to see.
[1:18:15.000 --> 1:18:23.000]  Whether it's police chiefs or members of Congress or even folks in Hollywood or mainstream media or industry,
[1:18:23.000 --> 1:18:26.000]  people are really, really awakening the establishment.
[1:18:26.000 --> 1:18:31.000]  They don't want to go on with the globalist, but they're scared, they're looking for leadership.
[1:18:31.000 --> 1:18:33.000]  Well, that's where M4 comes in.
[1:18:33.000 --> 1:18:37.000]  You fund us, you support M4store.com, you get great products at the same time.
[1:18:37.000 --> 1:18:41.000]  We will then go out and do what the globalist says unpopular,
[1:18:41.000 --> 1:18:47.000]  but the globalist will target you for it to show people that it's safe to tell the truth and to take the heat.
[1:18:47.000 --> 1:18:52.000]  That's our job, so please keep us on air so we can hit the barbed wire,
[1:18:52.000 --> 1:18:55.000]  so we can be the shock groups for the information war.
[1:18:55.000 --> 1:19:22.000]  Fund us at M4store.com.
[1:19:25.000 --> 1:19:53.000]  Thank you.
[1:19:53.000 --> 1:20:01.000]  Beautifully said, brother. I thank you so much for your call and Godspeed.
[1:20:01.000 --> 1:20:13.000]  You're listening to the Alex Jones show.
[1:20:13.000 --> 1:20:16.000]  We're back here on the Alex Jones show. Robert Barnes is with us.
[1:20:16.000 --> 1:20:21.000]  We were cut off by the break and myself just providing some context to what Robert Barnes was saying,
[1:20:21.000 --> 1:20:24.000]  but I think this is a very important thing.
[1:20:24.000 --> 1:20:27.000]  And when I have all these people asking me this question,
[1:20:27.000 --> 1:20:33.000]  that means I know that the audience is asking this question to other people and they want to hear from legal experts as well.
[1:20:33.000 --> 1:20:36.000]  And the question I keep getting asked is, what should I do?
[1:20:36.000 --> 1:20:42.000]  What can I do if my employer, my boss, the company I work for is going to mandate the COVID vaccine?
[1:20:42.000 --> 1:20:46.000]  And we're seeing this come and it's coming down the track fast.
[1:20:46.000 --> 1:20:48.000]  And so a lot of people are wondering what to do.
[1:20:48.000 --> 1:20:51.000]  Robert Barnes went through the medical exemptions in the last segment,
[1:20:51.000 --> 1:20:54.000]  started getting into the religious exemptions cut off by the break.
[1:20:54.000 --> 1:20:58.000]  So Robert, pick it back up where you left off with the religious exemptions.
[1:20:58.000 --> 1:21:02.000]  And again, folks, the question for legal expert, renowned attorney Robert Barnes,
[1:21:02.000 --> 1:21:07.000]  what should I do? What can I do if my employer and or the company I work for,
[1:21:07.000 --> 1:21:09.000]  my boss mandates the COVID vaccine?
[1:21:09.000 --> 1:21:13.000]  Robert Barnes, pick it up where you left off with the religious exemption.
[1:21:13.000 --> 1:21:15.000]  Absolutely. So first, you'll get the policy.
[1:21:15.000 --> 1:21:19.000]  Second, see if you have medical exemptions. Third, look at religious exemptions
[1:21:19.000 --> 1:21:22.000]  because aborted fetus cells were used in this.
[1:21:22.000 --> 1:21:25.000]  There's a lot of people that have religious objections to that.
[1:21:25.000 --> 1:21:28.000]  There's additional people that have religious objections to what feels like
[1:21:28.000 --> 1:21:32.000]  Mark of the Beast kind of revelations kind of policies that are coming out,
[1:21:32.000 --> 1:21:36.000]  particularly with the talk of later on making this a chip and a quantum tattoo.
[1:21:36.000 --> 1:21:40.000]  There's people who oppose the forced aspect of these vaccines
[1:21:40.000 --> 1:21:44.000]  and the way it is being used to mark people and segregate people
[1:21:44.000 --> 1:21:48.000]  because of certain religious overtones that that has.
[1:21:48.000 --> 1:21:52.000]  There can be additional religious grounds to object to this particular vaccine
[1:21:52.000 --> 1:21:55.000]  that depends on your own religious beliefs.
[1:21:55.000 --> 1:21:58.000]  And there's letters out there, examples of it.
[1:21:58.000 --> 1:22:03.000]  There's examples up on my site, which is the Viva Barnes Law.locals.com site
[1:22:03.000 --> 1:22:07.000]  that includes exemption letter examples from employees,
[1:22:07.000 --> 1:22:11.000]  exemption letter examples from people on religious grounds, legal grounds.
[1:22:11.000 --> 1:22:15.000]  There's people who get anxiety in response to the risk of this vaccine.
[1:22:15.000 --> 1:22:17.000]  That can be a medical exemption.
[1:22:17.000 --> 1:22:20.000]  There's some states that have a philosophical exemption,
[1:22:20.000 --> 1:22:23.000]  an ethical exemption that can be asserted.
[1:22:23.000 --> 1:22:28.000]  For example, in the United Kingdom, they're allowing people to fill out their own exemptions
[1:22:28.000 --> 1:22:32.000]  and in certain cases, being a vegetarian turns out to be an exemption.
[1:22:32.000 --> 1:22:34.000]  So there can be a wide range of exemptions.
[1:22:34.000 --> 1:22:38.000]  And then the next step is even if you have no religious exemptions,
[1:22:38.000 --> 1:22:41.000]  no medical exemptions, and your employer is actually mandating it,
[1:22:41.000 --> 1:22:46.000]  not just kind of suggesting it, you can look at reasonable accommodations.
[1:22:46.000 --> 1:22:49.000]  Your employer should be making accommodations for this.
[1:22:49.000 --> 1:22:53.000]  And that includes maybe there's the alternative to take temperature checks before you go in.
[1:22:53.000 --> 1:22:58.000]  Maybe there's other, maybe there's COVID antibody testing that can be done
[1:22:58.000 --> 1:23:00.000]  instead of the vaccine.
[1:23:00.000 --> 1:23:02.000]  Maybe there can be COVID testing that can be done.
[1:23:02.000 --> 1:23:06.000]  And so for some, and I understand some people don't like those tests.
[1:23:06.000 --> 1:23:10.000]  But for many people, that is a preferred alternative to either losing their job
[1:23:10.000 --> 1:23:12.000]  or taking the vaccine.
[1:23:12.000 --> 1:23:14.000]  So what it comes and maybe you can work remotely,
[1:23:14.000 --> 1:23:18.000]  maybe you can work in a part of the building that has low risk.
[1:23:18.000 --> 1:23:21.000]  So the look at that's all the things your employer should be doing,
[1:23:21.000 --> 1:23:23.000]  religious exemptions, medical exemptions,
[1:23:23.000 --> 1:23:26.000]  provide in some cases philosophical and ethical exemptions.
[1:23:26.000 --> 1:23:28.000]  They should not be in quiet.
[1:23:28.000 --> 1:23:31.000]  You don't have to have a priest or a pastor sign off on it.
[1:23:31.000 --> 1:23:35.000]  Your religious exemption is I just object on religious grounds, period.
[1:23:35.000 --> 1:23:38.000]  And they're really not supposed to inquire beyond that.
[1:23:38.000 --> 1:23:45.000]  Well, you can be a man with your male genitals exposed in a female bathroom.
[1:23:45.000 --> 1:23:46.000]  And that's okay.
[1:23:46.000 --> 1:23:48.000]  So yeah, I don't think they should ask you about that.
[1:23:48.000 --> 1:23:50.000]  And this is coming down the pike.
[1:23:50.000 --> 1:23:52.000]  If it's not already there, folks, it's already happening.
[1:23:52.000 --> 1:23:55.000]  Alex Jones has called into the broadcast.
[1:23:55.000 --> 1:23:57.000]  He wants to ask Robert Barnes a question.
[1:23:57.000 --> 1:24:01.000]  Guys, queue up Alex here live on the air.
[1:24:01.000 --> 1:24:04.000]  Yeah, guys, I'm just walking around in a store.
[1:24:04.000 --> 1:24:08.000]  And here's an example of demanding stuff just like the vaccines.
[1:24:08.000 --> 1:24:12.000]  I'm at a target getting some stuff from my kids and there's literally full of people.
[1:24:12.000 --> 1:24:14.000]  There's not one human checker.
[1:24:14.000 --> 1:24:16.000]  It's all people checker themselves out.
[1:24:16.000 --> 1:24:18.000]  And I went over and I said, I want a human checker.
[1:24:18.000 --> 1:24:21.000]  And then half the line I was in of 20 people said we want human checkers.
[1:24:21.000 --> 1:24:24.000]  All these lazy people get out the back and started checking us out.
[1:24:24.000 --> 1:24:28.000]  And you have to understand once they get rid of humans with robotics and cell checkout,
[1:24:28.000 --> 1:24:31.000]  that's going to collapse the whole US economy, the whole world economy, the human economy.
[1:24:31.000 --> 1:24:33.000]  That's a side issue.
[1:24:33.000 --> 1:24:37.000]  The reason I called in is I heard Barnes talking about exemptions and getting around it.
[1:24:37.000 --> 1:24:38.000]  I think that's all great.
[1:24:38.000 --> 1:24:42.000]  Everybody should do that in the areas that are under blue control, under global control.
[1:24:42.000 --> 1:24:44.000]  But Robert, what about upfront?
[1:24:44.000 --> 1:24:46.000]  Just to feed this because it's not even a vaccine.
[1:24:46.000 --> 1:24:49.000]  It's experimental and it violates the number code.
[1:24:49.000 --> 1:24:54.000]  What about just stopping the whole thing worldwide instead of just letting them put us in these ghettos of unvaccinated?
[1:24:54.000 --> 1:24:55.000]  I mean, I agree.
[1:24:55.000 --> 1:24:56.000]  It's a two-prong approach.
[1:24:56.000 --> 1:25:00.000]  Religious exemptions, conscientious exemptions, medical exemptions, all that are key.
[1:25:00.000 --> 1:25:04.000]  What about the two-prong approach of stopping this at the international and national level
[1:25:04.000 --> 1:25:08.000]  by putting liability back onto the companies and the media that bully people to do this?
[1:25:08.000 --> 1:25:10.000]  There's always a liability protection.
[1:25:10.000 --> 1:25:11.000]  They give it anything they call a vaccine.
[1:25:11.000 --> 1:25:14.000]  There's a lot of other ways and places they have liability when they're doing this.
[1:25:14.000 --> 1:25:18.000]  So what about putting liability back onto the institutions, the companies and schools,
[1:25:18.000 --> 1:25:22.000]  try to force this by demanding that they sign a form that they're going to be liable for whatever happens?
[1:25:22.000 --> 1:25:24.000]  I just want to hear what you had to say, Robert.
[1:25:24.000 --> 1:25:25.000]  Thanks.
[1:25:25.000 --> 1:25:26.000]  Well, exactly.
[1:25:26.000 --> 1:25:32.000]  So as I say, one additional component everybody should do after reasonable accommodations is ask your employer.
[1:25:32.000 --> 1:25:40.000]  Have they clarified with their insurer that they will cover and compensate for any injury that the vaccine inflicts?
[1:25:40.000 --> 1:25:43.000]  And Robert, this is on the document on your website, right?
[1:25:43.000 --> 1:25:49.000]  About the OSHA decision that it's going to be the employer that forces the mandate that's going to be held liable?
[1:25:49.000 --> 1:25:50.000]  Absolutely.
[1:25:50.000 --> 1:25:52.000]  I mean, they can be held liable under their health insurance coverage.
[1:25:52.000 --> 1:25:55.000]  They can be held liable under their workers' compensation coverage.
[1:25:55.000 --> 1:26:02.000]  They can be held liable under their liability coverage because really this is kind of a conspiracy to commit battery against individuals.
[1:26:02.000 --> 1:26:05.000]  So they have major risk and they don't understand this risk.
[1:26:05.000 --> 1:26:10.000]  And they don't understand the risk because they don't understand the riskiness of this particular vaccine,
[1:26:10.000 --> 1:26:17.000]  that it's worst effects maybe over time because we have no idea how this mRNA vaccine will ultimately work.
[1:26:17.000 --> 1:26:24.000]  So those are all the ways you can approach your employer to try to negotiate a way out of being put into the situation
[1:26:24.000 --> 1:26:26.000]  with either your job or the vaccine.
[1:26:26.000 --> 1:26:32.000]  But as to Alex's point, the other two areas to fight back in are the court of public opinion and the courts of law.
[1:26:32.000 --> 1:26:34.000]  In the court of public opinion, it matters.
[1:26:34.000 --> 1:26:40.000]  Even Fox News, when they try to sort of rig the poll results to get as many people for mandates as possible,
[1:26:40.000 --> 1:26:44.000]  they couldn't get more than half the country to be for any kind of mandate.
[1:26:44.000 --> 1:26:49.000]  And if that's where we're at now, we keep hammering away in the court of public opinion
[1:26:49.000 --> 1:26:54.000]  and we're going to get a lot of more people on our side and that will be a major restraint on the ability
[1:26:54.000 --> 1:26:59.000]  of any of these employers or governments to do any of this nonsense with mandating it in the first place.
[1:26:59.000 --> 1:27:03.000]  In terms of the courts of law, there's multiple challenges.
[1:27:03.000 --> 1:27:09.000]  While this is an emergency use authorized vaccine, I believe it violates the federal statute to a mandated period.
[1:27:09.000 --> 1:27:13.000]  Secondly, I believe it violates the Nuremberg Code of 1947 that Alex mentioned,
[1:27:13.000 --> 1:27:17.000]  which required informed consent for any form of medical experimentation.
[1:27:17.000 --> 1:27:19.000]  And clearly this is medical experimentation.
[1:27:19.000 --> 1:27:25.000]  That's a just Cogan's norm of international law as recognized as the right to sue against piracy.
[1:27:25.000 --> 1:27:31.000]  I believe it violates in the state and government actor context your constitutional rights under the first, fourth, fifth, sixth
[1:27:31.000 --> 1:27:37.000]  and ninth amendments to the United States Constitution and will be bringing claims and claims are being brought all across the country today
[1:27:37.000 --> 1:27:41.000]  and next week and the week after on this precise issue.
[1:27:41.000 --> 1:27:44.000]  I believe the FDA's approval violated the FDA's process.
[1:27:44.000 --> 1:27:52.000]  Bobby Kennedy and I will be suing next week to try to enjoy the FDA from licensing this period so that it can't go forward.
[1:27:52.000 --> 1:27:58.000]  And we're bringing suits for employees and others and public against public accommodations because in my view,
[1:27:58.000 --> 1:28:04.000]  this violates the Americans with Disabilities Act because this is perceiving that you have a physical limitation that you really don't have.
[1:28:04.000 --> 1:28:07.000]  They think your immunity is deficient when it's not.
[1:28:07.000 --> 1:28:14.000]  But that all that matters for ADA is they perceive that you have physical limitation and I believe it's the common law toward a battery.
[1:28:14.000 --> 1:28:20.000]  So we're going to be bringing all those legal challenges all across the country for people being harmed by these mandates.
[1:28:20.000 --> 1:28:28.000]  All right. And I do want to focus in on I think what is the overarching issue here and what we've discussed in the last two segments
[1:28:28.000 --> 1:28:31.000]  is the most real world approach to this.
[1:28:31.000 --> 1:28:37.000]  Because I mean, yeah, we can talk about how it's experimental and I want to talk about how it's in violation of the Nuremberg Code.
[1:28:37.000 --> 1:28:39.000]  But it's this weird thing where it's like it doesn't even matter.
[1:28:39.000 --> 1:28:46.000]  It's just this it's this weird acceptance that we just have to say, OK, it's an experimental vaccine and it's potentially deadly
[1:28:46.000 --> 1:28:47.000]  and there's all these side effects.
[1:28:47.000 --> 1:28:50.000]  But no, you just have to take it even though it's not effective.
[1:28:50.000 --> 1:28:52.000]  It's really twilight zone level thing.
[1:28:52.000 --> 1:28:54.000]  And that's kind of the that's kind of a long shot.
[1:28:54.000 --> 1:28:55.000]  But to me, that's the home run.
[1:28:55.000 --> 1:28:57.000]  That's the grand slam.
[1:28:57.000 --> 1:29:05.000]  Attention, radio listeners, if you're concerned about the coming chaos after the November elections, this will be an extremely important message.
[1:29:05.000 --> 1:29:13.000]  Here's why, no matter what the outcome in November, catastrophic social upheaval is a very real possibility.
[1:29:13.000 --> 1:29:15.000]  Here's why this is important.
[1:29:15.000 --> 1:29:23.000]  Listen, we all know that silver and gold have been historic hedges against the uncertain waves of social chaos and unstable currencies.
[1:29:23.000 --> 1:29:32.000]  But did you know that there's been times in the past during times of extreme hardship when Americans put another store of value above even silver and gold?
[1:29:32.000 --> 1:29:33.000]  It's true.
[1:29:33.000 --> 1:29:39.000]  Open pollinated seeds have been and could very well be the ultimate store of value in the coming hard times ahead.
[1:29:39.000 --> 1:29:43.000]  Go to survivalseedbank.com to get heirloom seeds below wholesale.
[1:29:43.000 --> 1:29:48.000]  Visit survivalseedbank.com this week and get hundreds of dollars in free bonuses.
[1:29:48.000 --> 1:29:53.000]  Beat the coming chaos, beat rising food prices, but above all, don't wait.
[1:29:53.000 --> 1:29:58.000]  Beat the crowds by claiming your own survivalseedbank today.
[1:30:02.000 --> 1:30:03.000]  Granny Do Right.
[1:30:03.000 --> 1:30:04.000]  Granny Do Right.
[1:30:04.000 --> 1:30:05.000]  Thanks for holding her on the air.
[1:30:05.000 --> 1:30:06.000]  Go ahead.
[1:30:06.000 --> 1:30:09.000]  Yeah, and first of all, let me say I love your products.
[1:30:09.000 --> 1:30:15.000]  I am a granny and we're all the senior citizens out there that may have spent a lifetime in the sun like me.
[1:30:15.000 --> 1:30:19.000]  I was loaded up with sunspots or age spots as they're lovingly called.
[1:30:19.000 --> 1:30:25.000]  But since taking your X2 for the last couple of years, my skin was just really gorgeous actually.
[1:30:25.000 --> 1:30:31.000]  People think I'm 55 years old and I was already taking your other supplements.
[1:30:31.000 --> 1:30:36.000]  But I thought, you know, well, maybe that's what I need to do because I just thought it was a hopeless situation.
[1:30:36.000 --> 1:30:39.000]  But when I started taking it, I mean, it doesn't happen immediately.
[1:30:39.000 --> 1:30:45.000]  But, you know, over a period of time, I started noticing, okay, you know, this is a ticket.
[1:30:45.000 --> 1:30:46.000]  This is working.
[1:30:46.000 --> 1:30:47.000]  This is wonderful.
[1:30:47.000 --> 1:30:51.000]  You know, I don't have to put on derma blend anymore, you know.
[1:30:51.000 --> 1:31:10.000]  So anyway, it worked wonderfully and it really has totally cleared up my skin.
[1:31:51.000 --> 1:32:06.000]  The first time I heard the speech, the first time I read the writings of Teddy Roosevelt, I was in sixth grade.
[1:32:06.000 --> 1:32:11.000]  And we had this history teacher that had us write a paper on the man in the arena.
[1:32:11.000 --> 1:32:15.000]  And I just remember thinking about that saying, I want to be the man in the arena.
[1:32:15.000 --> 1:32:27.000]  But when it comes to media, Info Wars has been the tip of that spear, but Mike Lindell has come along and done just as good a job as we've done, maybe even better when it comes to election fraud and other issues.
[1:32:27.000 --> 1:32:35.000]  And that's why if you go to mypillow.com and use promo code Alex, you get up to 66% off on all the amazing products.
[1:32:35.000 --> 1:32:38.000]  He's got so many, not just pillows, not just towels, not just sheets.
[1:32:38.000 --> 1:32:43.000]  And then you fund Info Wars and Mike Lindell in the fight for free speech against the globalist.
[1:32:43.000 --> 1:32:47.000]  There's not a better place to spend your money than mypillow.com with promo code Alex.
[1:32:47.000 --> 1:32:54.000]  And if you do it, it funds the Info War, it funds the election investigation, and it stands up against the globalist bullies.
[1:32:54.000 --> 1:33:18.000]  So if you go to mypillow.com, promo code Alex, take action now.
[1:33:18.000 --> 1:33:24.000]  All right, final segment with Bob Barnes here, and it's just so funny to me.
[1:33:24.000 --> 1:33:29.000]  The story just got published at the Micey's Institute.
[1:33:29.000 --> 1:33:33.000]  Yet again, the media's COVID narrative doesn't add up.
[1:33:33.000 --> 1:33:37.000]  It never has added up. Fauci's narratives have never added up.
[1:33:37.000 --> 1:33:41.000]  The CDC's narratives have never added up. The media's narratives never added up.
[1:33:41.000 --> 1:33:52.000]  And it's just the frustration of anybody who actually follows the news knowing it's never added up versus the people that just take the loving spoonful that the propaganda agents on television give them.
[1:33:52.000 --> 1:33:57.000]  That's why they're so duped into believing all of it, but we can go on and on about that.
[1:33:57.000 --> 1:34:08.000]  So Robert, you got into the, which to me is just more of a real world application for people that don't want to be forced to take a vaccine to have a job, the religious exemption, the medical exemption,
[1:34:08.000 --> 1:34:15.000]  and just how maybe, I mean, quite frankly, they can kind of play their hand against the employer and say, OK, are you ready to be held liable?
[1:34:15.000 --> 1:34:19.000]  Do you know this is what it says about the vaccine? Get a little tit for tat there.
[1:34:19.000 --> 1:34:28.000]  But to me, the long shot here, the swinging for the fence is the, you know, 50-yard hook around the tree to get to the green.
[1:34:28.000 --> 1:34:32.000]  I mean, to me, that's the Nuremberg code. The Nuremberg code's already been written.
[1:34:32.000 --> 1:34:39.000]  It's already been decided. It's one of the biggest, you know, legal events of all time, you know, from war crimes and crimes against humanity.
[1:34:39.000 --> 1:34:42.000]  It still exists. We've never said, oh, the Nuremberg code isn't good anymore.
[1:34:42.000 --> 1:34:46.000]  We've never said that we're not going to, you know, go to that for advice now.
[1:34:46.000 --> 1:34:53.000]  What about that level of it that this is an experimental vaccine? Fauci is out saying now you're going to have to take booster vaccines for the rest of your life.
[1:34:53.000 --> 1:34:57.000]  Yeah, Fauci saying that today. So what about the long shot here?
[1:34:57.000 --> 1:35:02.000]  What about the swinging for the fences? What about playing the 70-yard hook to get to the green and win the Masters?
[1:35:02.000 --> 1:35:10.000]  The Nuremberg code presenting that this is a experimental vaccine and you making me take this as a violation of the Nuremberg code.
[1:35:10.000 --> 1:35:15.000]  And then if you want, even go a step further and say, do you know what punishment for violating the Nuremberg code is?
[1:35:15.000 --> 1:35:18.000]  So what about that aspect of this issue?
[1:35:18.000 --> 1:35:29.000]  Oh, definitely. My view is the Nuremberg code of 1947 provided what's called a just Kogan's norm of international law that is enforceable in every court in the world,
[1:35:29.000 --> 1:35:36.000]  based on the acceptance of this universal human value, which is the right of informed consent.
[1:35:36.000 --> 1:35:38.000]  And both of those parts have to exist.
[1:35:38.000 --> 1:35:51.000]  And the notably when the Biden Justice Department interpreted the statute, the emergency use authorization statute, which codified the Nuremberg code explicitly in the original discussions about it.
[1:35:51.000 --> 1:35:56.000]  They didn't discuss it when they said, oh, then form consent just means you're informed before you get rate.
[1:35:56.000 --> 1:36:02.000]  That's not what the Nuremberg code provides for the Nuremberg code requires informed and consent.
[1:36:02.000 --> 1:36:08.000]  And that means you have to that means there has to be no coercion. That means there has to be no adverse consequences.
[1:36:08.000 --> 1:36:15.000]  And to give examples of the other organizations, including government organizations who agreed that this is what the Nuremberg code required.
[1:36:15.000 --> 1:36:19.000]  The FDA has previously said it. The CDC has previously said it.
[1:36:19.000 --> 1:36:21.000]  The Defense Department has previously said it.
[1:36:21.000 --> 1:36:24.000]  Various labor government organizations have previously said it.
[1:36:24.000 --> 1:36:33.000]  They all acknowledge that in particular they often said you could not have an employer mandate this, or you could not have a school mandate this,
[1:36:33.000 --> 1:36:41.000]  because it would be a violation of the Nuremberg code of 1947, because this is an experimental vaccine using experimental technology.
[1:36:41.000 --> 1:36:44.000]  So my view and we're going to be litigating that all across the country.
[1:36:44.000 --> 1:36:49.000]  Can governments do this? Can employers do this? Can places of public accommodation do it?
[1:36:49.000 --> 1:36:59.000]  Because if they can, then the Nuremberg code of 1947 is dead. And we're back to the eugenics era of Coromatsu and of Buck and of Jacobson.
[1:36:59.000 --> 1:37:06.000]  Decisions that were morally horrendous decisions that took us down the path of the Nazis that said the government owned your body.
[1:37:06.000 --> 1:37:13.000]  And that's why we have to fight back at every single level, court of public opinion, court of law, by every means attainable to us.
[1:37:13.000 --> 1:37:20.000]  Well, that's the crazy thing about this is I'm not somebody who sits here and just for political debate points or, you know, some sort of influence,
[1:37:20.000 --> 1:37:24.000]  like calls everybody a Nazi, like the left has done. And by the way, they've been doing that for years.
[1:37:24.000 --> 1:37:29.000]  You can go back, watch, they called Bush a Nazi for eight years. So it's really just an old tactic.
[1:37:29.000 --> 1:37:35.000]  I mean, I'll use it for historical reference, but it's like this is a real thing. This is actually what Nazis did.
[1:37:35.000 --> 1:37:41.000]  This is actually what Dr. Mangelo was on trial for. Like this is a real thing, the propaganda of Goebbels, all of it.
[1:37:41.000 --> 1:37:49.000]  And that's just a historical context. And now it's all back. And the people that want to point their finger and call everybody a Nazi are the ones enforcing this Nazi rule.
[1:37:49.000 --> 1:37:53.000]  But it's like, I don't even want to obsess over the Nazis. They've almost made us numb to it.
[1:37:53.000 --> 1:37:57.000]  Even though, you know, I guess everybody would say historically, maybe you could argue the Nazis were the worst ever.
[1:37:57.000 --> 1:38:01.000]  Maybe it's the Chinese communists. But let's get back to what's happening now.
[1:38:01.000 --> 1:38:08.000]  The Biden administration, the Democrats are now proposing you have to have a vaccine passport to even travel domestically.
[1:38:08.000 --> 1:38:14.000]  They want it on interstates. They want it on airports to travel domestically. Where do you see this going, Bob Barnes?
[1:38:14.000 --> 1:38:27.000]  Well, note the irony. I worked with some pilots who pushed back against the airlines and the airlines capitulated this week and recognized that they were not going to require any of their pilots to get vaccinated.
[1:38:27.000 --> 1:38:35.000]  Because a bunch of them are ready to walk off the job, a bunch of them are ready to sue, a bunch of them are ready to quit, a bunch of them are willing to protest it by any means possible.
[1:38:35.000 --> 1:38:44.000]  And yet we're going to require all the travelers on the airlines that airlines agreed that the pilots can't be forced to be vaccinated to be forced to be vaccinated.
[1:38:44.000 --> 1:38:52.000]  And by the way, airlines are not a vector of spreading COVID anyway, because their air filtration system gets down to such a low level.
[1:38:52.000 --> 1:39:00.000]  COVID-19 does not travel on airlines. It has never been a super spreader event. It does not travel at any great degree at all.
[1:39:00.000 --> 1:39:08.000]  So they're not a risk vector in the first place. And so the idea that we're going to compel this, it's going to be a papers please environment.
[1:39:08.000 --> 1:39:19.000]  It's going to be papers please to cross the border of a state, papers please to get on a plane, papers please to get on a train, papers please to get on a boat, papers please to travel anywhere.
[1:39:19.000 --> 1:39:27.000]  And ultimately they're talking about papers please before you can get your coffee at the coffee shop, before you can go to the grocery store to buy essential groceries,
[1:39:27.000 --> 1:39:32.000]  before you can even get medical treatment, emergency medical treatment at a hospital.
[1:39:32.000 --> 1:39:37.000]  California is saying you can't even go visit a loved one in the hospital unless you're vaccinated.
[1:39:37.000 --> 1:39:45.000]  And so it's amazing. Now, apparently you can party with Barack Obama, it was many people as you want regardless of whether you're vaccinated,
[1:39:45.000 --> 1:39:51.000]  but you can't go see your grandmother in the hospital or your child in the hospital unless you're vaccinated.
[1:39:51.000 --> 1:39:59.000]  And this is in vaccinated from what for what a vaccination that according to the Pfizer's own reports increasingly does not work.
[1:39:59.000 --> 1:40:11.000]  According to, I mean, if vaccines work, why is Israel, why is Gibraltar, why is Iceland three countries with a very high sky high vaccination levels talking about locking down.
