[00:00:04.497 --> 00:00:06.372]  Mechanism, not globalism!
[00:30:51.445 --> 00:30:52.046]  That's right.
[00:30:52.046 --> 00:30:56.331]  At this point, if Trump does what he says, we can look to a new era of economic prosperity.
[00:30:56.331 --> 00:30:59.274]  Rob Due reporting for InfoWars.com and InfoWars Nightly News.
[00:31:12.549 --> 00:31:14.270]  I got in here at 8.30.
[00:31:14.270 --> 00:31:15.591]  I was kind of run down.
[00:31:15.591 --> 00:31:17.552]  You know, I just didn't feel like I was going to make it.
[00:31:17.552 --> 00:31:19.413]  And I really wanted to do a good job on the interview.
[00:31:19.413 --> 00:31:22.315]  I got my bottle of Brain Force right there and popped two of them.
[00:31:22.315 --> 00:31:24.596]  And about 20 minutes later, it's like, bing!
[00:31:24.596 --> 00:31:26.577]  Everything just kind of clears up.
[00:31:26.577 --> 00:31:28.038]  It's got four and a half stars.
[00:31:28.038 --> 00:31:29.378]  People really love it.
[00:31:29.378 --> 00:31:29.979]  Read about it.
[00:31:29.979 --> 00:31:33.821]  Find out why third-party nutraceutical sites give it such high praise.
[00:31:33.821 --> 00:31:39.084]  Because it really does have the best organic-based systems that will blow your socks off.
[00:31:39.264 --> 00:31:43.308]  I haven't pulled an all-nighter like that in a while, but I probably could not have done it without Brain Force.
[00:31:43.308 --> 00:31:49.454]  I went home about 6.45 this morning, took three hours of sleep, got up, took two more Brain Force and came in.
[00:31:49.454 --> 00:31:55.379]  You will find Brain Force and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[00:31:59.577 --> 00:32:01.298]  I'm Alex Jones with a simple question.
[00:32:01.298 --> 00:32:05.581]  Will you and your family be financially protected if there's another economic meltdown?
[00:32:05.581 --> 00:32:09.164]  Like many experts, I believe another devastating crash is coming.
[00:32:09.164 --> 00:32:11.206]  I think it's a matter of when, not if.
[00:32:11.206 --> 00:32:14.108]  Don't wait for another crisis that could wipe out your hard-earned money.
[00:32:14.108 --> 00:32:19.632]  Do what I did and call United States Gold Vault at 844-541-ALEX.
[00:32:19.632 --> 00:32:21.013]  It's a company I trust.
[00:32:21.013 --> 00:32:26.797]  They're offering gold and silver coin survival packs that could help safeguard your money in an economic meltdown.
[00:32:27.097 --> 00:32:30.318]  I'm talking real money, not paper or worthless stocks.
[00:32:30.318 --> 00:32:34.739]  China recently bought more than a billion dollars worth of gold, proving that gold is on the move.
[00:32:34.739 --> 00:32:40.581]  Gold and silver are recognized worldwide as one of the most stable means of protecting finances.
[00:32:40.581 --> 00:32:41.261]  Don't delay.
[00:32:41.261 --> 00:32:48.283]  Call 844-541-ALEX now and get a rugged double locked bank bag to securely store your coins absolutely free.
[00:32:48.283 --> 00:32:52.764]  These are dangerous times and you need to make financial protection a priority.
[00:32:53.084 --> 00:32:55.706]  I personally own these survival packs and you should too.
[00:32:55.706 --> 00:32:57.227]  Pick up the phone and call 844-541-ALEX now.
[00:32:57.227 --> 00:33:16.161]  From the front lines of the information war, it's Alex Jones.
[00:33:20.216 --> 00:33:25.339]  Let's look at some of the headlines up on DrugsReport.com and also InfoWars.com.
[00:33:25.339 --> 00:33:28.520]  Analysis, Trump would have beaten Obama in 2012.
[00:33:28.520 --> 00:33:32.102]  The New World Order is in trouble.
[00:33:32.102 --> 00:33:34.043]  Mainstream media has a big article out on that.
[00:33:34.043 --> 00:33:35.504]  World government is in trouble.
[00:33:35.504 --> 00:33:40.227]  That the leaders of world government are panicking, even though world government doesn't exist.
[00:33:40.227 --> 00:33:45.009]  It's kind of like death panels being in the Obamacare bill or the IRS giving you $5,000 fines.
[00:33:46.897 --> 00:33:47.998]  It also doesn't exist.
[00:33:47.998 --> 00:33:51.320]  That's the racist Alex Jones saying that.
[00:33:51.320 --> 00:33:52.361]  Oh, where was I racist?
[00:33:52.361 --> 00:33:53.041]  We don't care.
[00:33:53.041 --> 00:33:53.862]  It's a magic word.
[00:33:53.862 --> 00:33:54.782]  We use it over and over again.
[00:33:54.782 --> 00:33:56.263]  We're so intellectual.
[00:33:56.263 --> 00:34:01.927]  No, they know that their audience are a bunch of buffoons who just hear that word and like pee-pee on themselves.
[00:34:01.927 --> 00:34:09.292]  You know, like you come in a room or something, a little dog is scared of you and it doesn't know you and he's kind of like pssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss
[00:34:09.471 --> 00:34:12.653]  You know, Obamacare is meant to really hurt the economy and screw you.
[00:34:12.653 --> 00:34:14.714]  Big megabanks wrote it and they're laughing at you.
[00:34:14.714 --> 00:34:19.197]  Here's Gruber that wrote it, saying he thinks you're an idiot and it's meant to trouble your prices.
[00:34:19.197 --> 00:34:21.018]  No, racist!
[00:34:21.018 --> 00:34:23.320]  It's like, okay, all right.
[00:34:23.320 --> 00:34:31.265]  Literally, we have footage, but they're cussing so much we can't play it, because it would just be nothing but beeps, of what we call the New Age Relics discovered.
[00:34:31.265 --> 00:34:32.245]  These two women.
[00:34:32.245 --> 00:34:33.326]  There's a bunch of them out there.
[00:34:33.326 --> 00:34:34.487]  This is just in downtown Austin.
[00:34:35.998 --> 00:34:42.042]  Two days before the election, screaming and screaming and screaming like, like, like they're being murdered.
[00:34:42.042 --> 00:34:44.804]  Like they have just found dead children.
[00:34:44.804 --> 00:34:52.408]  I mean, it is the most hysterical, out of their mind, just, he's a homophobe, he wants to hurt the people.
[00:34:52.408 --> 00:34:55.670]  And then he's like, whoa, when did he say that?
[00:34:55.670 --> 00:34:57.111]  Sounds like a cat fight.
[00:35:05.643 --> 00:35:07.784]  This is just at the start.
[00:35:07.784 --> 00:35:13.108]  And they just inflict and infect these women's brains with scientific warfare.
[00:35:13.108 --> 00:35:19.752]  And then they teach all the men to walk around and act real beta, and then like prostrate themselves in front of the women and go, I'm beta, I'm beta.
[00:35:19.752 --> 00:35:22.853]  And the woman's totally mad because there's no real men around, but she doesn't know why.
[00:35:22.853 --> 00:35:25.075]  Subconsciously, she hates men, but she really loves them.
[00:35:26.854 --> 00:35:29.016]  You ought to see these social justice warrior women, though, man.
[00:35:29.016 --> 00:35:36.222]  Because when you really start arguing with them and laughing at them and smiling, they start getting really excited, their cheeks get all red, they're like... I'm like, this is a test.
[00:35:36.222 --> 00:35:37.423]  You give me your phone number?
[00:35:37.423 --> 00:35:38.825]  They're like, maybe.
[00:35:38.825 --> 00:35:40.686]  I was like, oh yeah, that's what I thought.
[00:35:40.686 --> 00:35:43.949]  Listen, sweetheart, did you not have a daddy at home?
[00:35:43.949 --> 00:35:45.150]  I'm sorry you didn't.
[00:35:45.150 --> 00:35:46.571]  I'm not saying that mean, it's just...
[00:35:47.483 --> 00:35:51.586]  It's so sad that they think the state is their daddy.
[00:35:51.586 --> 00:35:59.212]  And they see a big, orange-headed toad hopping around that just wants to cut their taxes and empower the country, and they're scared of it.
[00:35:59.212 --> 00:36:01.614]  They're scared of Americana.
[00:36:01.614 --> 00:36:03.275]  And that's what Donald Trump is.
[00:36:03.275 --> 00:36:07.438]  A big, fat slice of it.
[00:36:07.438 --> 00:36:09.380]  A big, ridiculous slice of it.
[00:36:09.380 --> 00:36:10.661]  America is ridiculous.
[00:36:10.661 --> 00:36:14.424]  It's big, it's rich, it's opportunities, it's decadence.
[00:36:14.424 --> 00:36:15.584]  I'm not even saying it's all good.
[00:36:16.448 --> 00:36:17.192]  But it's better!
[00:36:18.325 --> 00:36:28.428]  Then what the New World Order wants, the big orange toads, a lot better than weirdo billionaires devil worshipping, bringing little kids to party where they simulate drinking blood.
[00:36:28.428 --> 00:36:40.151]  Let me see, people doing that and saying they want to make us poor and they hate us, in the WikiLeaks, or someone that openly wants to hire minorities and put them in charge of major operations and create wealth.
[00:36:40.151 --> 00:36:42.172]  That's a very horrible person.
[00:36:42.172 --> 00:36:46.753]  Under $40,000 a year, he's trying to get a bill passed where you pay zero tax.
[00:36:49.557 --> 00:36:51.678]  I've seen people with $40,000 paychecks.
[00:36:51.678 --> 00:36:57.981]  There's some of them in this office, and I've seen, as I sign the checks, what's being taken out of them.
[00:36:57.981 --> 00:36:58.542]  $10,000 a year?
[00:36:58.542 --> 00:36:59.222]  You don't want to keep that?
[00:36:59.222 --> 00:37:00.503]  Okay, I'm sorry.
[00:37:00.503 --> 00:37:03.004]  That's what that big, fat, orange toad wants to do.
[00:37:03.004 --> 00:37:07.126]  By the way, I don't mean that meanly.
[00:37:07.126 --> 00:37:11.188]  I kind of call myself a toad, so that's like a nickname that my parents have for me.
[00:37:11.188 --> 00:37:12.229]  I've had it for a while.
[00:37:12.229 --> 00:37:15.710]  My kids call me the toad, so it's a very endearing thing.
[00:37:15.710 --> 00:37:16.551]  But look at Trump.
[00:37:16.551 --> 00:37:18.392]  He's quite like a magical, large, golden toad.
[00:37:19.741 --> 00:37:23.783]  Hopping around, and they just don't know why they can't beat him.
[00:37:23.783 --> 00:37:33.467]  It's like Diller, the big globalist media guy, said he has a magical evil behind him.
[00:37:33.467 --> 00:37:35.187]  It's called not wanting to screw people over.
[00:37:35.187 --> 00:37:36.128]  That's what it is.
[00:37:36.128 --> 00:37:44.891]  That's why they try to brand him constantly as wanting to screw everybody, because the truth is he just does hard-nosed deals with big corporations, and they know it and don't like it, because he did it his way.
[00:37:44.891 --> 00:37:46.372]  You know the Frank Sinatra song?
[00:37:47.538 --> 00:37:50.041]  I did it my way.
[00:37:50.041 --> 00:37:50.822]  That's what Trump's done.
[00:37:50.822 --> 00:37:52.584]  Alright, let's stop right there.
[00:37:52.584 --> 00:38:01.014]  I want to start getting to these clips, but before I do that, here's the really sad stuff.
[00:38:01.014 --> 00:38:02.777]  We have a stack of videos here.
[00:38:03.905 --> 00:38:05.787]  And I've met reports more of this happening in Austin.
[00:38:05.787 --> 00:38:07.088]  It's very, very sad.
[00:38:07.088 --> 00:38:21.723]  And it's meant to elicit a prison culture where if there's enough racial attacks on white people, it's going to create a big racist backlash when 90% of Hispanics and blacks and other folks are not foaming at the mouth racists that want to beat you up in a parking lot.
[00:38:25.231 --> 00:38:36.957]  I pulled into a Dutch Shell yesterday and had two different people who knew who I was kind of bug their eyes out of me and one guy started going like this and I just went, standing by my car, just went, okay.
[00:38:36.957 --> 00:38:37.997]  And the guy walked off.
[00:38:37.997 --> 00:38:40.338]  I guess I wasn't like a woman or some little, little person.
[00:38:40.338 --> 00:38:41.619]  I mean, I'm not the toughest guy around.
[00:38:41.619 --> 00:38:47.002]  I'm an old guy these days, but he's a pretty big black guy, but I was just like, huh?
[00:38:48.566 --> 00:38:49.067]  I don't know.
[00:39:18.406 --> 00:39:21.207]  And Hispanic guy, pretty wild-eyed.
[00:39:21.207 --> 00:39:25.708]  And then the guy behind the counter, I'm sitting there getting my Gatorade.
[00:39:25.708 --> 00:39:28.789]  I know Gatorade's crappy, but I give myself a treat occasionally.
[00:39:28.789 --> 00:39:31.069]  I like how orange Gatorade tastes.
[00:39:31.069 --> 00:39:33.210]  And he's like, man, things are crazy.
[00:39:33.210 --> 00:39:33.510]  Yeah.
[00:39:33.510 --> 00:39:35.651]  He's like, yeah, yeah.
[00:39:35.651 --> 00:39:36.751]  I'm like, yeah, it's horrible.
[00:39:36.751 --> 00:39:38.051]  Trump wants to cut everybody's taxes.
[00:39:38.051 --> 00:39:38.632]  He goes, I don't know.
[00:39:38.632 --> 00:39:39.092]  I like it.
[00:39:39.092 --> 00:39:39.472]  I like it.
[00:39:39.472 --> 00:39:40.432]  Man, it's scary.
[00:39:40.432 --> 00:39:42.753]  People are pissed.
[00:39:42.753 --> 00:39:43.693]  This is in South Austin.
[00:39:45.009 --> 00:39:55.036]  And I'm like, whoa, I guess I, see, oh, I'm the type of guy that goes in and he's barbecuing and he's tossing and hangs out and, you know, likes to go to blue collar areas.
[00:39:55.036 --> 00:39:56.937]  What it'll cause is me not to do that.
[00:39:56.937 --> 00:40:00.760]  See, and that then isolates everybody and we're now in our prison.
[00:40:00.760 --> 00:40:03.242]  And that's what DrudgeReport.com has linked.
[00:40:03.242 --> 00:40:06.844]  Shock video from Chicago, and there's videos pouring in across the country.
[00:40:06.844 --> 00:40:10.487]  Police cars getting burned, things being blown up, people being killed, you name it.
[00:40:10.487 --> 00:40:13.469]  A shock video, black mob viciously beats white Trump voter.
[00:40:15.427 --> 00:40:17.108]  And it's all on tape.
[00:40:17.108 --> 00:40:19.148]  We're going to be playing that.
[00:40:19.148 --> 00:40:24.330]  You got folks on national TV saying, you know, we need to kill these people.
[00:40:24.330 --> 00:40:25.250]  People have to die.
[00:40:25.250 --> 00:40:30.472]  Anti-Trump protester calls for violence on CNN.
[00:40:30.472 --> 00:40:33.153]  And then I was talking to some of the crew here this morning and they said, well, no,
[00:40:34.784 --> 00:40:41.106]  One fellow works here, lives next door to a cab driver who got attacked by two Hispanic males and mugged.
[00:40:41.106 --> 00:40:42.046]  And they got the license plate.
[00:40:42.046 --> 00:40:43.706]  The guy's even got arrested later.
[00:40:43.706 --> 00:40:47.187]  And they said, we're going to beat you up because you're white.
[00:40:47.187 --> 00:40:48.848]  And the person's like, white?
[00:40:48.848 --> 00:40:49.628]  They go, Trump!
[00:40:49.628 --> 00:40:51.889]  Sort of beating him, but of course robbing.
[00:40:51.889 --> 00:40:54.870]  See, most criminals aren't pure sociopaths.
[00:40:54.870 --> 00:40:58.571]  So they want to think what they're doing is right and OK.
[00:40:58.571 --> 00:41:00.151]  And that's what I wanted to say here.
[00:41:00.151 --> 00:41:03.332]  Think about how the mainstream media is and what you've done.
[00:41:07.011 --> 00:41:13.234]  Like Putin said, look what you've done putting Al-Qaeda in charge of Syria, killing 300 plus thousand people.
[00:41:13.234 --> 00:41:17.756]  It's like 400,000 last time I checked, but 200 plus thousand are Christians.
[00:41:17.756 --> 00:41:19.217]  Look what you've done!
[00:41:19.217 --> 00:41:20.958]  For no reason, just to be evil.
[00:41:20.958 --> 00:41:25.520]  And now, you're really up there on TV going, racist KKK has taken the country.
[00:41:25.520 --> 00:41:32.724]  He's going to deport everyone, and kill everyone, and enslave you, and hurt you, and he hates women, he hates gays, and all this made up, or exaggerated, or twisted stuff.
[00:41:33.581 --> 00:41:42.204]  And then a bunch of people, whether they be white, black, Hispanic, that are kind of the desperate-eyed, lottery ticket mentality, just get into the hype and go, I'm mad, man, I'm gonna go out and do something.
[00:41:42.204 --> 00:41:45.805]  And I look at these photos and videos of the women that are out protesting.
[00:41:45.805 --> 00:41:47.425]  It's like 70% women in most cases.
[00:41:47.425 --> 00:42:01.290]  They look totally desperate, scared, but well-fed in this horrible country, just stumbling around, bitching, totally just screaming and yelling and a bunch of mindless hysteria.
[00:42:01.290 --> 00:42:01.870]  And what are they doing?
[00:42:03.618 --> 00:42:15.723]  They're ensuring that the incredible altruism and Christian edict to try to mop up classism, statism, racism that was the greatest in this country anywhere in history.
[00:42:15.723 --> 00:42:18.844]  You go, well I was taught it was the worst.
[00:42:18.844 --> 00:42:21.205]  That's why, folks.
[00:42:21.205 --> 00:42:23.446]  Because it was the idea and it was building.
[00:42:23.446 --> 00:42:24.387]  They have to destroy that.
[00:42:24.387 --> 00:42:27.268]  So they're creating the total division right now.
[00:42:28.732 --> 00:42:30.794]  They're doing it right now.
[00:42:30.794 --> 00:42:37.900]  Destroying Martin Luther King's dream right now so they can rule us by the great game divide and conquer.
[00:42:37.900 --> 00:42:39.521]  Divide and conquer.
[00:42:39.521 --> 00:42:40.082]  And they've done it.
[00:42:41.789 --> 00:42:52.871]  We have to set about being very, very focused, very, very truthful, very, very brave, and standing up to this, and explaining to people, and deprogramming them, and reaching out to them, and understanding what's happening.
[00:42:52.871 --> 00:43:02.153]  But we also have to route the source of it, the Democratic Party, the Republican Party leadership, the MSM, what's left of it, because they're gone.
[00:43:02.153 --> 00:43:11.355]  They're going to try to reorganize right now, and you can see they're all shell-shocked, but their only instinct is to double down with the race baiting, and to say, this election was a white lash.
[00:43:14.318 --> 00:43:20.121]  When record numbers, I have them right here, it's in the Associated Press, I even admit it, of blacks and Hispanics voted for Trump.
[00:43:20.121 --> 00:43:21.462]  Record numbers!
[00:43:21.462 --> 00:43:37.850]  People are leaving the Democratic Party plantation, they're leaving the Republican Party plantation, and Trump needs to deliver now with tax cuts and to hold spending where it is, and to actually have real projects in this country to create jobs and to create innovation.
[00:43:38.672 --> 00:43:47.156]  And to get people to positively begin to think about building up society and having optimism, which can very easily be done.
[00:43:47.156 --> 00:43:49.697]  We can fire this engine up in just a few months.
[00:43:49.697 --> 00:43:50.497]  Here's the problem.
[00:43:50.497 --> 00:43:51.558]  And here's my advice to Donald Trump.
[00:43:51.558 --> 00:43:55.760]  I'm going to shoot some special reports on this and I'm going to be talking to him probably today.
[00:43:55.760 --> 00:44:01.222]  He was saying to him, he's smart, he knows this, but here's the bottom line.
[00:44:04.847 --> 00:44:15.473]  They're going to try to implode the economy before he even physically gets in, in middle of January.
[00:44:15.473 --> 00:44:17.234]  They're going to work as hard as they can.
[00:44:17.234 --> 00:44:22.117]  And I said this Tuesday night, Wednesday morning, Drudge linked to it.
[00:44:22.117 --> 00:44:23.218]  He put the video on screen.
[00:44:23.218 --> 00:44:34.064]  I think the headline from memory is, globalist, it's exact headline, globalist plan to destroy economy to bring down Trump.
[00:44:37.881 --> 00:44:40.083]  And then obviously blaming on him when it's their whole system.
[00:44:40.083 --> 00:44:41.444]  He hasn't even gotten involved yet.
[00:44:41.444 --> 00:44:48.270]  They did plunge the market, but now because of individuals getting involved and people having more exuberance over it, there's going to be tax cuts.
[00:44:48.270 --> 00:44:49.291]  It's gone way back up.
[00:44:49.291 --> 00:44:49.832]  300, 400 points.
[00:44:49.832 --> 00:44:50.172]  Just, that's epic.
[00:44:52.714 --> 00:44:59.601]  So the good news is there's a fight going on and it's between people who understand what's going on and folks that are not aware of what's happening.
[00:44:59.601 --> 00:45:12.415]  And then there's that little group in between that's trying to manipulate both sides against each other when prosperity for everybody is what's going to make this country and this world have a future.
[00:45:12.415 --> 00:45:15.178]  And you read the WikiLeaks, it's all about
[00:45:18.544 --> 00:45:24.186]  Picking winners and losers and keeping people poor so you can dominate them and control them and use them like chattel.
[00:45:24.186 --> 00:45:29.168]  It is the most selfish, satanic, evil crap I've ever seen.
[00:45:29.168 --> 00:45:36.451]  And Christ said, it'd be better for you to kill yourself than to hurt these children.
[00:45:36.451 --> 00:45:39.852]  And if you elaborate on that, it means childlike minds.
[00:45:39.852 --> 00:45:45.374]  I mean, who would go rob, say, a Down Syndrome, say, 10-year-old walking down the street?
[00:45:46.527 --> 00:45:47.307]  You know, we hear about that.
[00:45:47.307 --> 00:45:47.668]  It's worse.
[00:45:47.668 --> 00:45:50.189]  We hear that, you know, some people mugged a 30-year-old man.
[00:45:50.189 --> 00:45:51.390]  It's still bad, but he's a man.
[00:45:51.390 --> 00:45:55.352]  But, you know, if you mug a retarded kid... See, political correctness.
[00:45:55.352 --> 00:45:56.812]  Mugging a kid's okay, just don't say retarded.
[00:45:56.812 --> 00:45:58.833]  No, I'm gonna use the words I want.
[00:45:58.833 --> 00:45:59.954]  Nothing against retarded children.
[00:45:59.954 --> 00:46:00.434]  That's the word.
[00:46:00.434 --> 00:46:01.054]  Retarded.
[00:46:01.054 --> 00:46:01.855]  Held back.
[00:46:01.855 --> 00:46:03.015]  See, it's a war on words.
[00:46:03.015 --> 00:46:06.717]  And then, next, mentally disabled isn't... Oh, disabled isn't the right word.
[00:46:06.717 --> 00:46:08.138]  See, it's all about them controlling language.
[00:46:08.138 --> 00:46:10.980]  Retarded child.
[00:46:10.980 --> 00:46:11.500]  Mugging them...
[00:46:13.149 --> 00:46:16.470]  It's terrible because we know they're even more disadvantaged.
[00:46:16.470 --> 00:46:18.711]  It's an even more cowardly move.
[00:46:18.711 --> 00:46:23.372]  We have an instinct to protect and build up the least of us, and they're removing that from us.
[00:46:23.372 --> 00:46:25.853]  Oh, let's kill the retarded child.
[00:46:25.853 --> 00:46:27.553]  That's what the big liberals are calling for.
[00:46:27.553 --> 00:46:29.053]  Let's kill grandma.
[00:46:29.053 --> 00:46:34.375]  But we love grandma and we represent grandma, but kill her and hire 10 teachers, Bill Gates said.
[00:46:36.598 --> 00:46:37.759]  Who robs a pregnant woman?
[00:46:37.759 --> 00:46:42.261]  Thief snatches necklace off Florida woman's neck just hours before she gave birth.
[00:46:42.261 --> 00:46:43.162]  See?
[00:46:43.162 --> 00:46:44.162]  People get outraged by that.
[00:46:44.162 --> 00:46:50.986]  So, I have all these videos I'm going to play in a moment of the latest knockout games and people being attacked, people being beat up.
[00:46:50.986 --> 00:46:56.569]  Imagine the image of, say, a bunch of Caucasian men beating up a Hispanic woman.
[00:46:56.569 --> 00:46:58.010]  People would be outraged.
[00:46:58.010 --> 00:46:59.611]  It happens when people wave Mexican flags.
[00:46:59.611 --> 00:47:00.711]  Nobody cares.
[00:47:00.711 --> 00:47:01.232]  To a white woman.
[00:47:01.952 --> 00:47:08.974]  The hundreds of videos out every few months of black people beating whites sometimes to death, and it's just all a big joke.
[00:47:08.974 --> 00:47:11.515]  It's because they inherently deserve it.
[00:47:11.515 --> 00:47:16.957]  Some poor white guy, and then they're beating him up, an old guy.
[00:47:16.957 --> 00:47:21.278]  It's just a total joke.
[00:47:21.278 --> 00:47:28.100]  But I'll tell you this right now, and they're in his car robbing him while all this is going on.
[00:47:28.100 --> 00:47:30.181]  The answer to this is carrying a firearm.
[00:47:35.649 --> 00:47:40.511]  And the beating just goes on and on and on and on and on and on and it's totally racial.
[00:47:40.511 --> 00:47:45.532]  It's just like five guys in KKK robes beating up some old black guy.
[00:47:45.532 --> 00:47:51.854]  Remember the old black guy that got drugged to death in East Texas?
[00:47:51.854 --> 00:47:54.455]  It was the biggest national story for several years.
[00:47:54.455 --> 00:47:57.736]  And what was crazy was is that he'd been a prison guy himself.
[00:47:57.736 --> 00:48:00.477]  They'd been in the prisons, been in prison wars with each other.
[00:48:00.477 --> 00:48:03.898]  The KKK and then the black race group he was in.
[00:48:05.128 --> 00:48:08.250]  And they drug him to death, and it was wrong, it was terrible.
[00:48:08.250 --> 00:48:17.975]  Then, three black males about a year later in the same town saw an old drunk white bum and drug him to death.
[00:48:17.975 --> 00:48:18.936]  Now here's the difference.
[00:48:18.936 --> 00:48:20.316]  They hadn't been in a gang war with each other.
[00:48:20.316 --> 00:48:25.319]  This was a completely innocent drunk white bum doing nothing to black people, and they killed him.
[00:48:25.319 --> 00:48:26.660]  Now listen, both things are evil.
[00:48:28.488 --> 00:48:31.049]  No one covered it but the local newspaper.
[00:48:31.049 --> 00:48:47.532]  That's how controlled the media is in this country, is that it's so controlled that all these racial attacks happening, to where now, I guess I cannot safely, especially with my children, in this climate, I have to, for safety, like it's a prison!
[00:48:47.532 --> 00:48:50.013]  You've succeeded, MSNBC!
[00:48:50.013 --> 00:48:51.973]  I'm gonna more and more have to segregate
[00:48:54.850 --> 00:48:59.633]  And from areas where, because I'm white, I'm going to be attacked.
[00:48:59.633 --> 00:49:02.054]  I mean, it's deafening.
[00:49:02.054 --> 00:49:03.835]  It's going on.
[00:49:03.835 --> 00:49:05.256]  And it's intensifying.
[00:49:05.256 --> 00:49:07.538]  And this is what the so-called liberals...
[00:49:09.488 --> 00:49:10.268]  Have done to us?
[00:49:10.268 --> 00:49:12.109]  This is what liberals do?
[00:49:12.109 --> 00:49:20.692]  No, this is what George Soros does, stirring up the different Islamic groups to bring down their countries, funding the Arab Spring, and the media promoting it like it was a good thing.
[00:49:20.692 --> 00:49:29.494]  And what they did in Ukraine, and what they do everywhere else, they go and find the different racial or religious divisions, and they turn them against each other.
[00:49:29.494 --> 00:49:34.736]  In the Ukraine, it's Catholic against Orthodox.
[00:49:34.736 --> 00:49:36.096]  It's Russian against Ukrainian.
[00:49:40.450 --> 00:49:42.392]  In Eastern Ukraine, what's it mean?
[00:49:42.392 --> 00:49:44.874]  Does Ukraine just mean border?
[00:49:44.874 --> 00:49:46.435]  Eastern Ukraine's always been part of Russia.
[00:49:46.435 --> 00:49:48.216]  It's just total mental illness, folks.
[00:49:48.216 --> 00:49:54.001]  But they go in there, and they create this division, and they play it off, and people go along with it.
[00:49:54.001 --> 00:49:54.621]  And do you know how?
[00:49:54.621 --> 00:49:56.162]  I'm gonna skip this break.
[00:49:56.162 --> 00:50:00.025]  Do you know how George Soros overthrew Ukraine two and a half years ago?
[00:50:00.025 --> 00:50:01.366]  He brags!
[00:50:01.366 --> 00:50:04.549]  He got $5 billion of our tax money, he matched it to $2 billion.
[00:50:06.236 --> 00:50:27.382]  7 billion and they went out and they had TV stations they bought air stuff constantly showing bad cops shooting people and beating people then they said the whole government did this used a few case points and then started shooting police and then burning things and then they called it a civil war and then our media got behind it and the CIA got behind it and they overthrew Ukraine
[00:50:28.991 --> 00:50:30.752]  Now, you see what they're doing here now?
[00:50:30.752 --> 00:50:41.596]  This is an attempt to overthrow the country, and it got so desperate that even our own corrupt agencies said, they're really going to overthrow the whole thing and bankrupt everything and really have a race war?
[00:50:41.596 --> 00:50:42.677]  You know what?
[00:50:42.677 --> 00:50:45.918]  We already know they're doing all this pedophile stuff and stealing and everything.
[00:50:45.918 --> 00:50:46.618]  We've got the files.
[00:50:46.618 --> 00:50:47.939]  Go ahead and release them.
[00:50:47.939 --> 00:50:49.199]  This is too much.
[00:50:49.199 --> 00:50:50.940]  Finally, some sanity.
[00:50:50.940 --> 00:50:55.362]  And if Hillary wouldn't have conceded because they were already trying to steal the election, they did steal some states,
[00:50:56.994 --> 00:51:04.784]  You know what's ready to come out, and I told you months before it was pedophilia, and I told you months before it was devil worship, I told you, they attacked me.
[00:51:04.784 --> 00:51:09.549]  Oh, Alex says we're devil worshipers, he's crazy, ha ha ha!
[00:51:09.549 --> 00:51:10.891]  There's nothing on these WikiLeaks.
[00:51:10.891 --> 00:51:14.015]  Oh, and they're Satanists.
[00:51:14.015 --> 00:51:15.156]  Of course they're Satanists.
[00:51:16.209 --> 00:51:17.609]  Have you read the other show?
[00:51:17.609 --> 00:51:20.611]  I can't wait to make them poor, keep them in the dark and hopeless.
[00:51:20.611 --> 00:51:24.792]  Aye, we all agree, submerging them into despair is the way to do it.
[00:51:24.792 --> 00:51:27.073]  Totally bankrupting them, these pathetic scum.
[00:51:27.073 --> 00:51:34.235]  I mean, who sits around, like, writing emails, like, filthy American people, I hate these black people and Mexicans, so shut up and ask me for stuff.
[00:51:34.235 --> 00:51:36.316]  It's just like, what the hell?
[00:51:38.263 --> 00:51:41.207]  And they go on TV and go, thank God they're all so stupid.
[00:51:41.207 --> 00:51:43.811]  And they got Charlie Rose and all the White House writers.
[00:51:43.811 --> 00:51:46.294]  Yeah, we wrote stuff about how they'd be able to keep their doctor.
[00:51:46.294 --> 00:51:47.035]  That was a really funny one.
[00:51:50.134 --> 00:52:01.099]  They're so disconnected, they're celebrating how they're effing everybody over on TV because they live in all the big compact cities with the desperate, dumbed down, poor people.
[00:52:01.099 --> 00:52:04.841]  Whether they're white or black, you look at them, their souls have been sucked out.
[00:52:04.841 --> 00:52:06.221]  Just shuffling around.
[00:52:06.221 --> 00:52:09.403]  So they pull up with their $200,000 Mercedes and go into their multi-million dollar...
[00:52:10.083 --> 00:52:25.879]  ...flats and they sit there and like shove the maid aside and hop around and laugh and hehehehe and they look out the window at all the poor, desperate people that watch TV all day and have had their souls sucked and been taught they're ugly and poor and bad because they're not on Lifestyles of the Rich and Famous.
[00:52:25.879 --> 00:52:27.800]  Madison Avenue has warped their brains.
[00:52:27.800 --> 00:52:30.043]  There's psychological warfare manuals on this.
[00:52:31.252 --> 00:52:32.393]  They've taken their families away.
[00:52:32.393 --> 00:52:33.414]  They've taken their honor away.
[00:52:33.414 --> 00:52:34.855]  They've taken away who they were.
