[00:00:06.913 --> 00:00:07.954]  Hello, my friends.
[00:23:55.435 --> 00:23:56.056]  It's sedition.
[00:23:56.056 --> 00:23:57.977]  People like you need to be arrested.
[00:23:57.977 --> 00:23:59.158]  And I've talked to others.
[00:23:59.158 --> 00:23:59.999]  They've called in to talk to us.
[00:23:59.999 --> 00:24:01.680]  They've said, your time's coming.
[00:24:01.680 --> 00:24:02.300]  I'm a jail guard.
[00:24:02.300 --> 00:24:04.762]  When we get you, we're going to kill you.
[00:24:04.762 --> 00:24:06.404]  I've had those calls on the radio.
[00:24:06.404 --> 00:24:10.407]  And you're going, well, I'm just exposing the facts that all this is happening.
[00:24:10.407 --> 00:24:11.107]  Here's the evidence.
[00:24:11.107 --> 00:24:11.888]  I don't want your evidence.
[00:24:13.151 --> 00:24:15.092]  We're going to kill you.
[00:24:15.092 --> 00:24:17.853]  Because deep down they're afraid of this system.
[00:24:17.853 --> 00:24:20.894]  Deep down their subconscious mind knows this is all happening and true.
[00:24:20.894 --> 00:24:24.295]  So they engage in double-think, which isn't a tool of the stupid.
[00:24:24.295 --> 00:24:31.157]  The stupid just don't care and are worried about their lottery tickets and their beer, just like the proles in 1984.
[00:24:31.157 --> 00:24:36.859]  But the lower-level party, the dwindling middle class, trying to hold on to that power position,
[00:24:37.723 --> 00:24:42.087]  Uh, do the mental trick of this is scary, this is real, this is going on, I'm gonna join it.
[00:24:42.087 --> 00:24:43.228]  I think y'all need to be arrested.
[00:24:43.228 --> 00:24:44.369]  You need to be arrested.
[00:24:44.369 --> 00:24:46.030]  The person has, they have fear in their eyes when they do it.
[00:24:46.030 --> 00:24:49.833]  They know you're, they know you're right, but you need to be arrested.
[00:24:49.833 --> 00:24:51.034]  I'm bad.
[00:24:51.034 --> 00:24:53.836]  I need to be taken in, just like Winston.
[00:24:53.836 --> 00:24:54.277]  And you know what?
[00:24:54.277 --> 00:24:57.960]  What happens to Winston may end up happening to me someday, but I don't care.
[00:24:57.960 --> 00:25:00.562]  Because in this space and time, I stood up against him.
[00:25:00.562 --> 00:25:02.403]  And I know it can be resistant.
[00:25:02.403 --> 00:25:03.424]  And I know we're gonna stop him.
[00:25:04.309 --> 00:25:07.931]  And I'll never go along with raping and murdering women and children.
[00:25:07.931 --> 00:25:11.134]  And I'll never go along with putting cancer viruses in the vaccines.
[00:25:11.134 --> 00:25:21.240]  And I'll never go along with, well, just like we wired the internet in 2000, in 2024, the Army says, we're wiring the kids.
[00:25:21.240 --> 00:25:22.721]  Official Army reports.
[00:25:22.721 --> 00:25:23.802]  Official sanction.
[00:25:23.802 --> 00:25:26.184]  You're gonna be getting your port.
[00:25:26.184 --> 00:25:27.304]  Oh, you don't believe me?
[00:25:27.304 --> 00:25:28.745]  The years I told you it?
[00:25:28.745 --> 00:25:32.368]  Seattle, Times, Washington Post,
[00:25:33.567 --> 00:25:37.090]  Christian Science Monitor, and they say it's very good.
[00:25:37.090 --> 00:25:38.210]  It's glowing.
[00:25:38.210 --> 00:25:42.634]  Remember a couple years ago it was weird to say when I said they're gonna put chips under the skin?
[00:25:42.634 --> 00:25:45.496]  Now they're moving to make police, military, government people do it.
[00:25:45.496 --> 00:25:47.277]  To get into the trendy nightclub.
[00:25:47.277 --> 00:25:48.478]  Mom, I gotta have the chip.
[00:25:48.478 --> 00:25:50.219]  I get half price if I get it.
[00:25:50.219 --> 00:25:51.400]  Oh, I guess.
[00:25:51.400 --> 00:25:52.841]  Damn, everybody else is getting it.
[00:25:52.841 --> 00:25:55.943]  I try to go to SeaWorld, hand scanners going in.
[00:25:55.943 --> 00:25:58.125]  Disney World's putting them in.
[00:25:58.125 --> 00:26:00.467]  Kroger's, HEB, all over.
[00:26:00.467 --> 00:26:00.967]  It's happening.
[00:26:02.583 --> 00:26:04.545]  Go ahead and go to 1984.
[00:26:04.545 --> 00:26:07.589]  We'll come back and take some calls and got some other news.
[00:26:07.589 --> 00:26:10.132]  But many cases we have surpassed it.
[00:26:10.132 --> 00:26:11.793]  Here's the torture scene.
[00:26:11.793 --> 00:26:18.661]  He's now been grabbed for having an unauthorized love affair and thinking that Big Brother is a liar.
[00:26:18.661 --> 00:26:21.604]  And his job was telling the lies in the Ministry of Truth.
[00:26:21.604 --> 00:26:21.985]  And here it is.
[00:26:42.164 --> 00:26:43.973]  6079 Smith!
[00:26:43.973 --> 00:26:44.617]  Open your eyes!
[00:27:15.322 --> 00:27:19.123]  Keep away from me, Smith.
[00:27:19.123 --> 00:27:26.606]  I'm an agent of Goldstein.
[00:27:26.606 --> 00:27:27.687]  I don't know it myself.
[00:27:27.687 --> 00:27:35.830]  I thought crime was so insidious.
[00:27:35.830 --> 00:27:36.970]  It just creeps up on you.
[00:27:45.734 --> 00:27:49.377]  My daughter found it out.
[00:27:49.377 --> 00:27:53.220]  Very proud of her.
[00:27:53.220 --> 00:28:01.007]  Very grateful I've been discovered before it's too late.
[00:28:01.007 --> 00:28:06.732]  They won't shoot me, will they, Smith?
[00:28:06.732 --> 00:28:09.194]  I feel I could be very useful in a labour camp.
[00:28:18.956 --> 00:28:28.401]  Room 101!
[00:28:28.401 --> 00:28:30.902]  No!
[00:28:30.902 --> 00:28:32.843]  Please!
[00:28:32.843 --> 00:28:36.044]  You don't have to take me there!
[00:28:36.044 --> 00:28:37.765]  Why?
[00:28:37.765 --> 00:28:41.127]  There's nothing I won't confess!
[00:28:41.127 --> 00:28:43.868]  Nothing!
[00:28:43.868 --> 00:28:45.409]  I've told you everything already!
[00:28:47.469 --> 00:28:52.716]  What is it you want me to know?
[00:28:52.716 --> 00:28:53.898]  Take him instead of me.
[00:28:53.898 --> 00:28:56.901]  He's the thought criminal.
[00:28:56.901 --> 00:28:57.783]  It's him you want.
[00:29:52.585 --> 00:29:58.199]  You spoke of me a long time ago.
[00:29:58.199 --> 00:30:00.805]  You knew this would happen, Winston.
[00:30:00.805 --> 00:30:01.607]  Don't deceive yourself.
[00:30:21.578 --> 00:30:24.881]  The photos of you and the girl will be recycled for proletarian use.
[00:31:05.101 --> 00:31:09.063]  Do you know where you are, Winston?
[00:31:09.063 --> 00:31:12.744]  I... I don't know.
[00:31:12.744 --> 00:31:15.505]  I can guess.
[00:31:15.505 --> 00:31:18.326]  In the Ministry of Love.
[00:31:18.326 --> 00:31:21.707]  Do you know how long you've been here?
[00:31:21.707 --> 00:31:21.847]  No.
[00:31:23.976 --> 00:31:24.516]  Weeks?
[00:31:24.516 --> 00:31:26.878]  Months?
[00:31:26.878 --> 00:31:34.622]  Do you know why you're here?
[00:31:34.622 --> 00:31:38.144]  Shall I tell you why we brought you here?
[00:31:38.144 --> 00:31:40.185]  To cure you.
[00:31:40.185 --> 00:31:41.105]  To make you sane.
[00:31:41.105 --> 00:31:42.586]  No!
[00:31:42.586 --> 00:31:47.749]  No!
[00:31:47.749 --> 00:31:47.849]  No!
[00:32:15.520 --> 00:32:19.421]  You know perfectly well what is the matter with you, Winston.
[00:32:19.421 --> 00:32:23.643]  You've known it for years, though you've fought against the knowledge.
[00:32:23.643 --> 00:32:26.383]  You are mentally deranged.
[00:32:26.383 --> 00:32:30.225]  You suffer from a defective memory.
[00:32:30.225 --> 00:32:32.946]  You've never tried to cure yourself of it because you did not choose to.
[00:32:32.946 --> 00:32:40.088]  It was a small effort of will which you were not ready to make.
[00:32:40.088 --> 00:32:40.648]  For example,
[00:32:48.148 --> 00:32:51.070]  Eastasia.
[00:32:51.070 --> 00:32:54.433]  Oceania is at war with Eastasia.
[00:32:54.433 --> 00:32:56.435]  Eastasia.
[00:32:56.435 --> 00:32:58.116]  Good.
[00:32:58.116 --> 00:33:04.602]  And Oceania has always been at war with Eastasia, has it not?
[00:33:04.602 --> 00:33:12.749]  Tell me what you think you remember.
[00:33:12.749 --> 00:33:13.770]  I remember...
[00:33:16.167 --> 00:33:20.208]  Until only a week before I was arrested.
[00:33:20.208 --> 00:33:24.349]  We weren't at war with East Asia at all.
[00:33:24.349 --> 00:33:28.410]  It was Eurasia.
[00:33:28.410 --> 00:33:30.650]  And lasted four years, I think.
[00:33:30.650 --> 00:33:32.971]  Another example.
[00:33:32.971 --> 00:33:36.332]  A serious delusion.
[00:33:36.332 --> 00:33:40.533]  Photographs about which you've had hallucinations.
[00:33:40.533 --> 00:33:42.073]  Which you believed you held in your hands.
[00:33:45.629 --> 00:33:56.014]  They never existed.
[00:33:56.014 --> 00:33:57.355]  Say what you're about to say, Winston.
[00:33:57.355 --> 00:34:01.657]  They exist.
[00:34:01.657 --> 00:34:04.838]  In memory.
[00:34:04.838 --> 00:34:07.880]  I remember.
[00:34:07.880 --> 00:34:10.661]  You remember.
[00:34:10.661 --> 00:34:13.662]  I do not remember.
[00:34:13.662 --> 00:34:14.723]  Only the disciplined mind.
[00:34:15.788 --> 00:34:19.190]  I can see reality, Winston.
[00:34:19.190 --> 00:34:22.012]  It needs an act of self-destruction.
[00:34:22.012 --> 00:34:24.653]  An effort of the will.
[00:34:24.653 --> 00:34:30.816]  Do you remember writing in your diary, freedom is the freedom to say two plus two equals four?
[00:34:30.816 --> 00:34:34.819]  Yes.
[00:34:34.819 --> 00:34:38.181]  How many fingers am I holding up, Winston?
[00:34:38.181 --> 00:34:39.321]  Four.
[00:34:39.321 --> 00:34:40.642]  And if the party says there are not four,
[00:34:55.868 --> 00:34:57.529]  That's no use.
[00:34:57.529 --> 00:35:00.131]  You're lying.
[00:35:00.131 --> 00:35:02.113]  How many fingers, please?
[00:35:02.113 --> 00:35:06.236]  Four.
[00:35:06.236 --> 00:35:06.956]  Four.
[00:35:06.956 --> 00:35:10.919]  What else can I say?
[00:35:10.919 --> 00:35:12.000]  Five.
[00:35:12.000 --> 00:35:13.361]  Anything you like.
[00:35:13.361 --> 00:35:16.043]  Please stop it.
[00:35:16.043 --> 00:35:19.705]  Stop the pain.
[00:35:19.705 --> 00:35:22.548]  What the hell?
[00:35:26.673 --> 00:35:31.655]  How can I put what I see into my eyes?
[00:35:31.655 --> 00:35:37.457]  It's all too big, it's all... Sometimes, Winston.
[00:35:37.457 --> 00:35:39.398]  Sometimes they're five.
[00:35:39.398 --> 00:35:40.198]  Sometimes they're three.
[00:36:01.852 --> 00:36:16.732]  Humanity is in the human mind, not in the individual mind, which makes mistakes and soon perishes, but in the mind of the party, which is collective
[00:36:32.824 --> 00:36:37.349]  How many fingers, Winston?
[00:36:37.349 --> 00:36:39.612]  Four.
[00:36:39.612 --> 00:36:40.413]  Four.
[00:36:40.413 --> 00:36:43.056]  I suppose there are four.
[00:36:43.056 --> 00:36:46.581]  I tried to see five.
[00:36:46.581 --> 00:36:47.542]  I wish I could.
[00:37:08.328 --> 00:37:21.879]  How many wins?
[00:37:21.879 --> 00:37:24.841]  I don't know.
[00:37:24.841 --> 00:37:25.462]  I don't know.
[00:37:47.601 --> 00:37:50.142]  No one escapes, Winston.
[00:37:50.142 --> 00:37:52.784]  There are no martyrs here.
[00:37:52.784 --> 00:37:56.806]  All the confessions made here are true.
[00:37:56.806 --> 00:38:01.208]  We do not destroy the heretic because he resists us.
[00:38:01.208 --> 00:38:05.210]  As long as he resists us, we never destroy him.
[00:38:05.210 --> 00:38:09.093]  We make him one of ourselves before we kill him.
[00:38:09.093 --> 00:38:11.774]  We make his brain perfect before we blow it out.
[00:38:13.584 --> 00:38:24.146]  And then, when there is nothing left but sorrow and love, Big Brother, we shall lift you clean out of history.
[00:38:24.146 --> 00:38:28.927]  We shall turn you into gas and pour you into the stratosphere.
[00:38:28.927 --> 00:38:31.467]  Nothing will remain of you.
[00:38:31.467 --> 00:38:34.128]  Not a name in a register.
[00:38:34.128 --> 00:38:37.549]  Not a memory in a living brain.
[00:38:37.549 --> 00:38:39.109]  You'll be annihilated in the past.
[00:38:48.981 --> 00:38:57.785]  I... I... I... This time it won't hurt you.
[00:38:57.785 --> 00:39:03.908]  Now, before we bring this session to an end, I want you to ask me your questions.
[00:39:03.908 --> 00:39:09.711]  I want you to clear your mind.
[00:39:09.711 --> 00:39:13.773]  Julia... She betrayed you, Winston.
[00:39:13.773 --> 00:39:14.994]  Immediately.
[00:39:14.994 --> 00:39:15.654]  Unreservedly.
[00:39:17.358 --> 00:39:25.599]  All her rebellion, deceit, folly, dirty-mindedness has been turned out of her.
[00:39:25.599 --> 00:39:30.300]  Does... Does Big Brother exist?
[00:39:30.300 --> 00:39:30.780]  Of course.
[00:39:30.780 --> 00:39:37.862]  In the same way as me?
[00:39:37.862 --> 00:39:43.362]  You do not exist.
[00:39:43.362 --> 00:39:46.223]  You've not asked me the question that is up most in your mind, Winston.
[00:39:48.697 --> 00:39:52.605]  You know what is in a woman, a woman.
[00:39:52.605 --> 00:39:53.828]  Everyone knows what's in a woman.
[00:40:21.064 --> 00:40:27.590]  What country is Oceania at war with?
[00:40:27.590 --> 00:40:29.851]  I don't remember.
[00:40:29.851 --> 00:40:32.994]  Oceania is at war with East Asia.
[00:40:32.994 --> 00:40:34.936]  Do you remember that now?
[00:40:34.936 --> 00:40:37.938]  Yes.
[00:40:37.938 --> 00:40:42.282]  How many fingers am I holding up?
[00:40:42.282 --> 00:40:44.343]  Five.
[00:40:44.343 --> 00:40:47.206]  You see at least that it is possible.
[00:40:51.840 --> 00:40:58.487]  You've understood the reality of the past and of the present, Winston.
[00:40:58.487 --> 00:40:59.448]  Now, what of the future?
[00:40:59.448 --> 00:41:06.575]  The question, how does one man assert power?
[00:41:21.920 --> 00:41:30.545]  The power is tearing human minds apart and putting them together again in new shapes of your own choosing.
[00:41:30.545 --> 00:41:34.067]  Power is not a means, it is an end.
[00:41:34.067 --> 00:41:39.591]  In our world there will only be triumph and self-abasement.
[00:41:39.591 --> 00:41:41.032]  Everything else we shall destroy.
[00:41:41.032 --> 00:41:43.353]  The past is forbidden.
[00:41:57.401 --> 00:42:02.024]  There is no loyalty except loyalty to the party.
[00:42:02.024 --> 00:42:05.567]  There is no love except love of Big Brother.
[00:42:05.567 --> 00:42:06.748]  All competing pleasures.
[00:42:26.277 --> 00:42:30.520]  You were thinking that my face is old and tired.
[00:42:30.520 --> 00:42:37.946]  That while I talk of power, I'm unable to prevent the decay of my own body.
[00:42:37.946 --> 00:42:41.709]  But the individual is only a cell, Winston.
[00:42:41.709 --> 00:42:46.033]  And the weariness of the cell is the vigor of the organism.
[00:42:46.033 --> 00:42:47.894]  You'll fail.
[00:42:47.894 --> 00:42:50.136]  Why?
[00:42:50.136 --> 00:42:53.359]  It's impossible.
[00:42:53.359 --> 00:42:53.799]  Hatred.
[00:42:55.179 --> 00:42:55.880]  I have no fear.
[00:42:55.880 --> 00:42:57.621]  I have no life.
[00:42:57.621 --> 00:42:59.483]  Why is hate less vital than love?
[00:42:59.483 --> 00:43:02.867]  I don't know.
[00:43:02.867 --> 00:43:05.690]  Somehow it will fail.
[00:43:05.690 --> 00:43:09.053]  Something will defeat you.
[00:43:09.053 --> 00:43:11.295]  Life will defeat you.
[00:43:11.295 --> 00:43:13.458]  We control life.
[00:43:13.458 --> 00:43:15.540]  At all levels.
[00:43:15.540 --> 00:43:16.681]  We create human nature.
[00:43:38.706 --> 00:43:41.328]  In the end, they'll beat you.
[00:43:41.328 --> 00:43:46.451]  It's a relationship that'll tear you to pieces.
[00:43:46.451 --> 00:43:49.734]  On what evidence?
[00:43:49.734 --> 00:43:52.716]  Goldstein's book.
[00:43:52.716 --> 00:43:54.297]  I wrote it.
[00:43:54.297 --> 00:43:57.599]  Or at least I collaborated in writing it.
[00:43:57.599 --> 00:44:02.222]  No book is individually produced, as you know.
[00:44:02.222 --> 00:44:06.385]  I just believe it.
[00:44:06.385 --> 00:44:07.426]  I know you'll fail.
[00:44:16.920 --> 00:44:19.922]  This principle.
[00:44:19.922 --> 00:44:22.784]  I don't know.
[00:44:22.784 --> 00:44:25.766]  The spirit of man.
[00:44:25.766 --> 00:44:28.808]  And do you consider yourself a man?
[00:44:28.808 --> 00:44:32.471]  Yes.
[00:44:32.471 --> 00:44:36.674]  If you're a man, you're the last man.
[00:44:36.674 --> 00:44:39.316]  Your kind is extinct.
[00:44:39.316 --> 00:44:42.898]  We are the inheritors.
[00:44:42.898 --> 00:44:44.420]  Do you understand
[00:44:47.335 --> 00:44:50.541]  You're outside history.
[00:44:50.541 --> 00:44:56.092]  You don't exist.
[00:44:56.092 --> 00:44:56.353]  Get up.
[00:45:21.470 --> 00:45:38.018]  Look at you.
[00:45:38.018 --> 00:45:38.858]  You're rotting away.
[00:45:53.143 --> 00:45:55.744]  He's the last man.
[00:45:55.744 --> 00:46:00.567]  If you're a human, that is humanity.
[00:46:00.567 --> 00:46:03.928]  It will not last forever.
[00:46:03.928 --> 00:46:07.750]  You can escape from it whenever you choose.
[00:46:07.750 --> 00:46:09.891]  Everything depends on you.
[00:46:09.891 --> 00:46:12.752]  You did it.
[00:46:12.752 --> 00:46:15.174]  You reduced me to this.
[00:46:15.174 --> 00:46:17.715]  No, Winston.
[00:46:17.715 --> 00:46:21.296]  You reduced yourself to it.
[00:46:21.296 --> 00:46:22.437]  Well, well, you should.
[00:46:25.700 --> 00:46:29.262]  Might take a long time.
[00:46:29.262 --> 00:46:31.644]  Don't give up hope.
[00:46:31.644 --> 00:46:36.327]  Everyone is cured sooner or later.
[00:46:36.327 --> 00:46:41.971]  And in the end, we shall shoot you.
[00:46:41.971 --> 00:46:45.293]  The law of gravity is nonsense.
[00:46:45.293 --> 00:46:47.615]  No such law exists.
[00:46:47.615 --> 00:46:54.560]  If I think I float, and you think I float, then it happens.
[00:46:54.560 --> 00:46:54.980]  I love you.
[00:47:00.145 --> 00:47:01.945]  You are the body.
[00:47:01.945 --> 00:47:03.886]  You're one of us.
[00:47:03.886 --> 00:47:05.706]  One of the chosen.
[00:47:05.706 --> 00:47:08.027]  I love you.
[00:47:08.027 --> 00:47:14.969]  I love you too.
[00:47:14.969 --> 00:47:18.570]  Julia.
[00:47:18.570 --> 00:47:22.251]  Julia, my love.
[00:47:22.251 --> 00:47:22.531]  Julia.
[00:47:22.531 --> 00:47:22.651]  Julia!
[00:47:29.383 --> 00:47:31.465]  Julia!
[00:47:31.465 --> 00:47:39.371]  Get up.
[00:47:39.371 --> 00:47:42.554]  Stand up straighter.
[00:47:42.554 --> 00:47:48.539]  Look me in the face.
[00:47:48.539 --> 00:47:54.624]  Tell me, Winston, and remember, no lies.
[00:47:54.624 --> 00:47:56.746]  What are your true feelings towards Big Brother?
[00:47:59.096 --> 00:48:00.597]  I hate him.
[00:48:00.597 --> 00:48:03.058]  You must love him.
[00:48:03.058 --> 00:48:06.019]  It's not enough to obey him.
[00:48:06.019 --> 00:48:09.820]  You must love him.
[00:48:09.820 --> 00:48:09.980]  Room 101.
[00:48:38.644 --> 00:48:43.945]  You asked me once, Winston, what was in Room 1.
[00:48:43.945 --> 00:48:49.627]  Alright, we're gonna take a few calls, go over a few final news items here in the last 11 minutes or so that we've got left.
[00:48:49.627 --> 00:48:54.348]  But that looked like Austin Police Department people.
[00:48:54.348 --> 00:49:05.431]  You know, the good guys wear black helmets and black uniforms and trudgeons and gotta go out and deal with demonstrators and gotta take liberties and secretly arrest people and torture's a good thing, man, we gotta beat those Arabs!
[00:49:06.903 --> 00:49:08.524]  See, a lot of people love Big Brother.
[00:49:08.524 --> 00:49:13.185]  A lot of them believe, you know, that we were always against Saddam Hussein.
[00:49:13.185 --> 00:49:14.986]  He was never our ally.
[00:49:14.986 --> 00:49:16.766]  We were always against Bin Laden.
[00:49:16.766 --> 00:49:20.968]  He isn't from the biggest Arab CIA family vacationing with the Bushes.
[00:49:20.968 --> 00:49:22.688]  Bush didn't have them flown out of the country.
[00:49:22.688 --> 00:49:23.769]  Bush didn't fund them.
[00:49:23.769 --> 00:49:27.210]  They didn't use Al-Qaeda to attack the Serbs in 1998.
[00:49:27.210 --> 00:49:28.990]  Just forget the facts.
[00:49:28.990 --> 00:49:30.371]  These people were always our enemies.
[00:49:32.682 --> 00:49:35.984]  Gotta learn to love the lies, love the propaganda.
[00:49:35.984 --> 00:49:40.446]  Believe them until you can stand in that hallway and tell me I should be arrested.
[00:49:40.446 --> 00:49:42.967]  What are you talking about?
[00:49:42.967 --> 00:49:46.209]  I mean, people I used to be my friends are now inner party members.
[00:49:46.209 --> 00:49:48.930]  They believe it.
[00:49:48.930 --> 00:49:49.811]  They think the government
[00:49:54.028 --> 00:49:57.110]  Growth rate doubling in the last couple years under Bush is conservative.
[00:49:57.110 --> 00:49:58.351]  Big government's conservative.
[00:49:58.351 --> 00:50:00.492]  I think assault weapons bans are conservative.
[00:50:00.492 --> 00:50:05.895]  By the way, I told you years ago I saw the federal plans to turn city buses into mass roundup vehicles.
[00:50:08.691 --> 00:50:14.996]  And of course they would condition you and have it as a pretext that it was to do alcohol testing at major checkpoints.
[00:50:14.996 --> 00:50:19.239]  Then the feds are going to build hardened checkpoints under the roads and make you pay a toll to pay for it.
[00:50:19.239 --> 00:50:21.561]  Well, they're turning dozens of the buses into those.
[00:50:21.561 --> 00:50:26.425]  Years ago they were trying the police on them, but at first it's going to be to stop the drunks.
[00:50:26.425 --> 00:50:31.549]  Like the Amber Alert was to save kidnapped children, but now it's got report illegal guns, report terrorists.
[00:50:31.549 --> 00:50:35.432]  It's like the cameras were for traffic, but oh now Homeland Security runs it.
[00:50:37.068 --> 00:50:40.229]  Thousands of similarities between 1984 and the real world.
[00:50:40.229 --> 00:50:43.629]  But see now, big brothers in the news and they say big brother helping.
[00:50:43.629 --> 00:50:44.530]  Big brother good.
[00:50:44.530 --> 00:50:47.350]  Police in black ski masks and black uniforms, good.
[00:50:47.350 --> 00:50:50.831]  People knew a few decades ago that that was bad, but now it's good.
[00:50:50.831 --> 00:50:59.473]  In fact, our uniforms are much scarier than those.
[00:50:59.473 --> 00:51:00.973]  All right.
[00:51:00.973 --> 00:51:05.914]  We are going to go ahead and go to a couple of phone calls here.
[00:51:07.305 --> 00:51:08.446]  And you're on the air, caller.
[00:51:08.446 --> 00:51:08.846]  Go ahead.
[00:51:08.846 --> 00:51:10.447]  Is it me?
[00:51:10.447 --> 00:51:11.227]  Yes.
[00:51:11.227 --> 00:51:11.688]  Okay, great.
[00:51:11.688 --> 00:51:12.388]  How's it going, bud?
[00:51:12.388 --> 00:51:12.728]  Welcome.
[00:51:12.728 --> 00:51:13.609]  How you doing?
[00:51:13.609 --> 00:51:14.509]  Well, I'm doing pretty good.
[00:51:14.509 --> 00:51:15.009]  My name's Gary.
[00:51:15.009 --> 00:51:17.431]  I'm in Austin, and I've been listening to your show for years.
[00:51:17.431 --> 00:51:26.115]  I got, maybe not a suggestion directly towards you, but I'm coming up with a new idea trying to fight this whole undertow dragging from the depths of destruction in our country.
[00:51:26.115 --> 00:51:31.779]  And it seems to me these bigwigs and these elitists really are into the money thing, right?
[00:51:31.779 --> 00:51:34.240]  And an old American thing was that we were going to refuse
[00:51:34.833 --> 00:51:36.294]  Here's the difference, great points.
[00:51:36.294 --> 00:51:38.134]  In 1776, when we stopped paying taxes, it was gold and silver.
[00:51:38.134 --> 00:51:39.935]  It wasn't a fiat money system.
[00:51:39.935 --> 00:51:41.195]  The crown really needed that money.
[00:52:04.801 --> 00:52:07.303]  The globalists print the money out of nothing.
[00:52:07.303 --> 00:52:10.425]  They need you to accept that money.
[00:52:10.425 --> 00:52:14.268]  Then they get your labor, control of your life through it.
[00:52:14.268 --> 00:52:20.193]  Okay, so they've got more control of the entire infrastructure.
[00:52:20.193 --> 00:52:21.975]  And with money they print out of nothing.
[00:52:21.975 --> 00:52:29.080]  The private banks that are owned by private families, Federal Reserves owned by private families, they're able to buy the world with it.
[00:52:29.080 --> 00:52:31.282]  So it's a quite sophisticated system.
[00:52:31.282 --> 00:52:32.763]  So you first need to get to that level.
[00:52:34.651 --> 00:52:38.113]  They could just print more money for the government if you don't pay your taxes.
[00:52:38.113 --> 00:52:40.393]  The taxes are there to control.
[00:52:40.393 --> 00:52:49.377]  Just as O'Brien, the torture master, said, we're here to break up your family, get your children, you know, destroy your mind.
[00:52:49.377 --> 00:52:55.400]  That's what government wants, and we have policy reports saying that.
[00:52:55.400 --> 00:52:56.460]  Go ahead, caller.
[00:52:56.460 --> 00:52:57.160]  Hello.
[00:52:57.160 --> 00:52:58.421]  Welcome.
[00:52:58.421 --> 00:52:59.061]  Good evening.
[00:52:59.061 --> 00:52:59.421]  Good evening.
[00:53:01.365 --> 00:53:09.449]  I've only been listening for the last seven months, and I've been listening to you and some other programming on the Genesis Communication Network.
[00:53:09.449 --> 00:53:18.413]  And there are several things that I, you know, have learned and been very concerned with, and I consider myself educated and aware.
[00:53:18.413 --> 00:53:29.578]  And my biggest concern is, other than trying to problem-solve myself, by educating others and leading them to listening to your programming,
[00:53:30.396 --> 00:53:37.539]  And boycotting places I know are into things like Vera Chips and what not.
[00:53:37.539 --> 00:53:40.100]  Cancer and vaccines concerns me.
[00:53:40.100 --> 00:53:41.121]  What can we do?
[00:53:41.121 --> 00:53:44.542]  What can someone like me do?
[00:53:44.542 --> 00:53:53.306]  Well, again, there's only a few thousand top globalists, but through their propaganda they get the middle class, or what you'd call the outer party, to go along with them.
[00:53:53.306 --> 00:53:59.829]  And then the massive people, what Orwell would call the proles, you know, the 80%, all they care about is the lottery and
[00:54:00.891 --> 00:54:03.293]  You know, running around acting like idiots.
[00:54:03.293 --> 00:54:08.657]  And then they're actually reducing the middle class and creating an even larger dumbed-down population.
[00:54:08.657 --> 00:54:11.759]  But, it is people in the party.
[00:54:11.759 --> 00:54:15.722]  And again, that's the analogy for people that are able to even think.
[00:54:15.722 --> 00:54:16.623]  Okay?
[00:54:16.623 --> 00:54:19.625]  Who had some basic education in the world.
[00:54:19.625 --> 00:54:24.508]  That doesn't so much mean official, you know, sponsored education.
[00:54:24.508 --> 00:54:27.971]  We outnumber the inner party thousands to one.
[00:54:29.213 --> 00:54:41.740]  And so we just have to stop going along, have to start speaking out, have to get our own media venues to find people amongst the proles that are candidates because we don't pick them, they pick themselves.
[00:54:42.426 --> 00:54:46.268]  Who are candidates to get involved and wake up other proles.
[00:54:46.268 --> 00:54:50.691]  Again, I'm kind of in the 1984 nomenclature and lingo here.
[00:54:50.691 --> 00:54:52.312]  But that's where it lies.
[00:54:52.312 --> 00:54:53.513]  It's a process.
[00:54:53.513 --> 00:54:57.355]  I mean, if I could go down and spend all my time at the legislature, I could defeat a lot of bills.
[00:54:57.355 --> 00:55:00.817]  I've gone on there personally and stopped quite a few bills because it was important to me.
[00:55:00.817 --> 00:55:02.818]  But I don't have enough time and energy to do it all.
[00:55:02.818 --> 00:55:04.159]  So many hands make light work.
[00:55:04.159 --> 00:55:05.300]  So first, become informed.
[00:55:05.900 --> 00:55:08.301]  Become educated, then go out and educate others.
[00:55:08.301 --> 00:55:14.665]  Start your own media system, because media is control, and our truth smashes their mountains of lies.
[00:55:14.665 --> 00:55:22.168]  So I understand the frustration, but it's a process, and you first got to get your mind around their system to do that.
[00:55:22.168 --> 00:55:25.130]  Or you can just pick issues that you know are wrong.
[00:55:25.130 --> 00:55:27.391]  You know it's wrong that government wants our guns.
[00:55:27.391 --> 00:55:29.072]  You know slaves are disarmed.
[00:55:29.072 --> 00:55:33.994]  You know they want our guns so they can push us around with their helpers in black uniforms.
[00:55:33.994 --> 00:55:34.374]  You know in 1984,
[00:55:36.340 --> 00:55:39.301]  The proles or the outer party don't own guns.
[00:55:39.301 --> 00:55:41.582]  You know, in the real world, slaves don't own guns.
[00:55:41.582 --> 00:55:43.503]  So you educate others about this.
[00:55:43.503 --> 00:55:46.465]  And you don't do it from a, I'm a Republican, you're a dumb liberal.
[00:55:46.465 --> 00:55:51.247]  And the liberal goes, wait a minute, Bush is corrupt, so Bush must be bad too because he's for guns.
