[00:00.000 --> 00:16.000]  Leading a frontal assault on the lives of the New World Order, it's Alex Jones.
[01:10:26.000 --> 01:10:29.000]  So you judge a tree by its fruits.
[01:10:29.000 --> 01:10:32.000]  For every tree is known by its own fruit.
[01:10:32.000 --> 01:10:40.000]  For of thorns, men do not gather figs, nor of a bramble bush gathereth they grapes.
[01:10:40.000 --> 01:10:47.000]  A good man out of the good treasure of his heart bringeth forth that which is good.
[01:10:47.000 --> 01:10:52.000]  And an evil man out of the evil treasure of his heart bringeth forth that which is evil.
[01:10:52.000 --> 01:10:58.000]  For the abundance of the heart is mouth speaketh.
[01:10:58.000 --> 01:11:05.000]  So you ask, why everywhere does the left lust after brainwashing and sexualizing children?
[01:11:05.000 --> 01:11:08.000]  Why do they lust after breaking up the family?
[01:11:08.000 --> 01:11:10.000]  Why do they lust after creating crime?
[01:11:10.000 --> 01:11:13.000]  Why do they lust after attacking Christians?
[01:11:13.000 --> 01:11:15.000]  Why do they lust after abortion?
[01:11:15.000 --> 01:11:16.000]  Why?
[01:11:16.000 --> 01:11:19.000]  Because it's the abundance of their heart.
[01:11:19.000 --> 01:11:21.000]  It is spiritual.
[01:11:21.000 --> 01:11:23.000]  It is an operating system.
[01:11:23.000 --> 01:11:24.000]  It is a trance.
[01:11:24.000 --> 01:11:26.000]  It is a program.
[01:11:26.000 --> 01:11:27.000]  Call it a program.
[01:11:27.000 --> 01:11:31.000]  In the modern parlance, call it a spell in the ancient.
[01:11:31.000 --> 01:11:32.000]  Put a spell on you.
[01:11:32.000 --> 01:11:37.000]  Countries and civilizations go under mass psychosis.
[01:11:37.000 --> 01:11:43.000]  And if you have leaders pushing the psychosis, once you get people to go a few degrees past their conscience,
[01:11:43.000 --> 01:11:51.000]  and to give up on God's operating system, they degrade to the very lowest common denominator,
[01:11:51.000 --> 01:11:55.000]  black pyramids, eating babies.
[01:11:55.000 --> 01:11:59.000]  Every culture builds black pyramids and then starts murdering babies.
[01:11:59.000 --> 01:12:04.000]  That's the spirit, the wavelength, whatever you want to say it is.
[01:12:04.000 --> 01:12:08.000]  Every culture, black pyramids.
[01:12:08.000 --> 01:12:12.000]  In fact, finally they start killing their own children.
[01:12:12.000 --> 01:12:14.000]  And then societies collapse.
[01:12:14.000 --> 01:12:20.000]  The final equation, the priest class kills the young priest and then slits their own throats.
[01:12:20.000 --> 01:12:24.000]  That's the Satanic program.
[01:12:24.000 --> 01:12:27.000]  I mean, how many Roman emperors committed suicide?
[01:12:27.000 --> 01:12:29.000]  This is the final thing.
[01:12:29.000 --> 01:12:39.000]  And at the end, Roman emperors were engaged in human sacrifice themselves.
[01:12:39.000 --> 01:12:41.000]  This is what happens over and over again.
[01:12:41.000 --> 01:12:48.000]  Nero, with dressed as a werewolf, this is in mainline history, Roman histories.
[01:12:48.000 --> 01:12:54.000]  And they would chain a young boy to a pillar around the dining feast while they're all sitting around their rugs.
[01:12:54.000 --> 01:13:03.000]  And he would come in, dressed like a werewolf, and rip the young boy's throat out and it had blood spray in his face.
[01:13:03.000 --> 01:13:13.000]  So, out of the abundance of their heart, out of the abundance of their heart,
[01:13:13.000 --> 01:13:17.000]  remember what the convicted murderer said with Desmond is amazing?
[01:13:17.000 --> 01:13:25.000]  He said, listen kids, if your parents are watching this, bring the children closer so that we can corrupt them.
[01:13:25.000 --> 01:13:37.000]  And then his partner goes, that was an actor.
[01:13:37.000 --> 01:13:41.000]  And when they're done, they'll take everything you've got.
[01:13:41.000 --> 01:13:45.000]  Your honor, your will, your courage, and you'll be like one of them.
[01:13:45.000 --> 01:13:47.000]  Their shoulders are always down.
[01:13:47.000 --> 01:13:54.000]  They always rock round like zombies in a movie.
[01:13:54.000 --> 01:13:59.000]  And you go look at those devil worshipers, and hell Satan, the lowest, the low type.
[01:13:59.000 --> 01:14:03.000]  They're all super weak, hunchback skinny, trying to look.
[01:14:03.000 --> 01:14:08.000]  They're all too lazy to even clean plaque off their teeth.
[01:14:08.000 --> 01:14:15.000]  And again, it's the worship of weakness, the worship of fallenness.
[01:14:15.000 --> 01:14:19.000]  And they're going to take you with them.
[01:14:19.000 --> 01:14:30.000]  They're going to get you unless you realize who they are and what they are and don't virtue signal to them.
[01:14:30.000 --> 01:14:32.000]  Don't try to appease them.
[01:14:32.000 --> 01:14:36.000]  Don't care about them.
[01:14:36.000 --> 01:14:38.000]  And they're cowards too.
[01:14:38.000 --> 01:14:40.000]  Now you've got to know when to hold them, know when to fold them.
[01:14:40.000 --> 01:14:42.000]  But when they confront you, it's good to let them know.
[01:14:42.000 --> 01:14:44.000]  You're falling ugly trash.
[01:14:44.000 --> 01:14:45.000]  You're failed.
[01:14:45.000 --> 01:14:46.000]  Go back to your God.
[01:14:46.000 --> 01:14:48.000]  Get behind me, Satan.
[01:14:48.000 --> 01:14:50.000]  Because they are gone.
[01:14:50.000 --> 01:14:56.000]  Their only vision is your children and destroying the earth's potential.
[01:14:56.000 --> 01:15:03.000]  They believe that they can attain something if they can destroy the planet before we go to launch face.
[01:15:03.000 --> 01:15:08.000]  And they are just an intergalactic, demonic transmission spewed out of hell.
[01:15:08.000 --> 01:15:10.000]  Try to bring the planet down before the next level.
[01:15:10.000 --> 01:15:13.000]  But we will make the jump and nothing's going to stop it.
[01:15:13.000 --> 01:15:16.000]  Most people aren't going to make it, but it's not going to matter.
[01:15:16.000 --> 01:15:19.000]  We are already moving into jump position.
[01:15:19.000 --> 01:15:21.000]  And the enemy knows it.
[01:15:21.000 --> 01:15:24.000]  And we're going to have a pro-human future.
[01:15:24.000 --> 01:15:26.000]  And we're not just going to go to the stars.
[01:15:26.000 --> 01:15:27.000]  We're going to go interdimensional.
[01:15:27.000 --> 01:15:29.000]  We're not just going interstellar.
[01:15:29.000 --> 01:15:30.000]  We're going interdimensional.
[01:15:30.000 --> 01:15:35.000]  And as we travel up this true stairway to heaven, each new challenge.
[01:15:35.000 --> 01:15:37.000]  People won't want to play video games anymore.
[01:15:37.000 --> 01:15:40.000]  They'll realize this is the real universe with the real levels.
[01:15:40.000 --> 01:15:42.000]  This is where you want to get that score.
[01:15:42.000 --> 01:15:46.000]  Not in Super Mario Brother, not in Donkey Kong.
[01:15:46.000 --> 01:15:47.000]  We'll be right back.
[01:15:47.000 --> 01:15:50.000]  I'm Alex Jones, transmitting from the third dimension.
[01:15:50.000 --> 01:16:16.000]  Planet Earth, two-thirds of the way out on the Spiral Arm Milky Way Galaxy.
[01:16:16.000 --> 01:16:20.000]  If you're ready to flee the city to the freedom of Idaho or Montana,
[01:16:20.000 --> 01:16:22.000]  our Black Rifle Real Estate team is here to help.
[01:16:22.000 --> 01:16:24.000]  Go to blackriflerealestate.com.
[01:16:24.000 --> 01:16:53.000]  Most of you know that heart disease is the number one silent killer in the U.S.
[01:16:53.000 --> 01:17:18.000]  Hello, I'm Daniel Correal.
[01:17:18.000 --> 01:17:26.640]  case. Call 800-34-NO-TAX or go to my website, danpilla.com, that's danpilla.com, danpilla.com.
[01:17:26.640 --> 01:17:31.840]  Hunters, anglers, campers and survivalists, get back to nature, expand your horizons with
[01:17:31.840 --> 01:17:36.400]  the highest quality, most versatile, unique sling shots and sling bows on the market at
[01:17:36.400 --> 01:17:42.320]  slingbow.com. Sling bow products are compact and models start from just 1798. They're perfect
[01:17:42.320 --> 01:17:47.200]  for your bug out bag or storing in your vehicle. Give yourself and your loved ones the excitement
[01:17:47.200 --> 01:17:52.480]  and tradition of sling bow, a new frontier in archery and truly modern twist on this primitive
[01:17:52.480 --> 01:17:56.160]  survival tool. Feel the thrill only at slingbow.com.
[01:18:07.440 --> 01:18:13.760]  By leaps and by bounds, the number one best-selling supplement family in the world
[01:18:13.760 --> 01:18:20.320]  is energy drinks and energy supplements. But they are riddled with dyes and toxins and synthetic
[01:18:20.320 --> 01:18:25.120]  caffeine and other chemicals that sure get you a quick boost but burn out in just a few hours
[01:18:25.120 --> 01:18:29.440]  and have terrible side effects. We have developed, hands down from our research,
[01:18:29.440 --> 01:18:35.200]  the most powerful, healthy energy drink pre-workout and beyond system in the world.
[01:18:35.840 --> 01:18:41.040]  There's nothing else like it, you must experience it. It is a total game changer and it comes in
[01:18:41.040 --> 01:18:45.920]  easy to use packets to mix it with fruit juice or water, whatever you'd like. Warning though,
[01:18:45.920 --> 01:18:50.160]  it's very, very strong, it lasts 10 hours, so take a half packet the first time you take it
[01:18:50.160 --> 01:18:55.760]  because TurboForce is named TurboForce because it will take you into overdrive. TurboForce
[01:18:55.760 --> 01:19:04.400]  at m4slife.com. What you have witnessed is the biggest development in free speech in the western
[01:19:04.400 --> 01:19:13.440]  world's history. This is a digital, AI-enforced gag order, not to say the name Alex Jones,
[01:19:13.440 --> 01:19:14.800]  our m4wars.com.
[01:19:20.000 --> 01:19:26.000]  This is Nazi Germany level. This is racketeering. This is cartels. Mr. President, we need your
[01:19:26.000 --> 01:19:33.360]  help. We need it now. You can take on Big Tech. They saw m4wars as a dominant, independent,
[01:19:33.360 --> 01:19:40.000]  anti-war, pro-human, pro-sovereign, pro-family, populist organization. So they thought first
[01:19:40.000 --> 01:19:45.840]  they could come for Alex Jones, then when people say, okay, take him off the air, everyone else
[01:19:45.840 --> 01:19:50.960]  like Domino's would fall. The way to fight back is to support m4wars now more than ever and make
[01:19:50.960 --> 01:19:56.080]  it a standard of freedom and free speech. Understand that they believe they can take us down, they'll
[01:19:56.080 --> 01:19:57.280]  take everybody else down.
[01:19:57.280 --> 01:20:03.920]  You're listening to the Alex Jones show.
[01:20:03.920 --> 01:20:22.560]  You found it. The tip of the spear.
[01:20:22.560 --> 01:20:34.480]  Crashing through the lies and disinformation. It's Alex Jones.
[01:20:38.160 --> 01:20:43.120]  All right. Welcome back, ladies and gentlemen. Thank you so much for joining us on this live
[01:20:43.120 --> 01:20:51.680]  Tuesday, May 21, 2019 global transmission. Count Dankula is going to be joining us.
[01:20:51.680 --> 01:21:00.480]  He has been put in jail. He's facing more prison time for having his pug do a Hitler salute as a
[01:21:00.480 --> 01:21:05.920]  joke. Now, again, I'm going to explain something here. This is critical.
[01:21:09.600 --> 01:21:15.760]  These gangsters, these psychological terrorists, these bullies have almost every comedian I know
[01:21:15.760 --> 01:21:22.640]  or watch and other political pundits, ceding the moral high ground of the establishment to the
[01:21:22.640 --> 01:21:29.920]  left as if these monsters, as if these authoritarian bullies deserve that or as if anyone deserves
[01:21:29.920 --> 01:21:38.080]  that. They're the threat because everybody I know and people I like from Joe Rogan to you name it,
[01:21:38.080 --> 01:21:47.280]  they're like, oh, Count Dankula doesn't deserve to go to jail. He wasn't really meaning to be
[01:21:47.280 --> 01:21:55.280]  pro Hitler when he had the dog do how Hitler. And when I talk about Joe, it was a couple of
[01:21:55.280 --> 01:22:03.120]  guests on Joe's show that I've seen bring up Dankula or bring up other cases of famous comedians
[01:22:03.120 --> 01:22:10.720]  like McDonald's and others that just said mild things like retarded. Well, retarded just means
[01:22:10.720 --> 01:22:16.800]  the definition of being behind. But the left said, well, we think that's a hurtful word,
[01:22:16.800 --> 01:22:24.800]  so you can't use it. So Norm McDonald is now back and he said retarded once. No, stop apologizing.
[01:22:24.800 --> 01:22:35.520]  The Nazis have a right to say how Hitler. You have a right to say hail pop tarts if you want.
[01:22:36.960 --> 01:22:43.120]  That's what free speech in the West is about. And so they shouldn't be banned,
[01:22:43.120 --> 01:22:50.400]  even if Count Dankula was a Nazi and not doing funny humor like John Cleese did
[01:22:50.400 --> 01:23:00.080]  and like Charlie Chaplin did. In one of Charlie Chaplin's Hitler videos, movies from the 30s
[01:23:00.080 --> 01:23:08.160]  and 40s, they've got a dog hiling Hitler. Disney has dogs and ducks in anti Hitler propaganda.
[01:23:09.680 --> 01:23:15.120]  You can pull those up. They're online, type in Disney cartoons, anti Nazi cartoons, Disney.
[01:23:15.120 --> 01:23:24.080]  And we love the funeral so much and his new world order is such. We love the new world order.
[01:23:24.080 --> 01:23:28.880]  And it's Donald Duck running around hiling Hitler, making fun of Hitler.
[01:23:30.560 --> 01:23:36.560]  Because Americans believe in free speech and they also got satire. But even if Donald Duck
[01:23:36.560 --> 01:23:48.720]  wanted to how Hitler for real, it's his right to do it. You understand? I know you understand.
[01:23:49.440 --> 01:23:55.040]  So everyone goes, oh, Alex Jones isn't really a white supremacist like they're saying,
[01:23:55.040 --> 01:24:03.280]  he shouldn't be the platform or Tommy Robinson. He's not really anti-Semitic. Yes, they're lying
[01:24:03.280 --> 01:24:11.040]  about people. But even if Tommy Robinson was a Nazi, even if I was a Nazi, even if Count
[01:24:11.040 --> 01:24:17.680]  Dankula was a Nazi, a failed system that ruined Europe, killed a third of the Germans,
[01:24:17.680 --> 01:24:22.480]  killed 20 million Russians, what a horrible system. But if somebody wants to be in
[01:24:24.000 --> 01:24:30.560]  to a failed evil system, that is their right if they want to be a Satanist. That's their right
[01:24:30.560 --> 01:24:33.760]  as long as they don't act on the tenets of it, the real tenets.
[01:24:36.880 --> 01:24:44.640]  So think about that. That's coming up next hour, Hitler dog's creator. And of course, the video
[01:24:46.320 --> 01:24:50.880]  got millions of views. You know, my YouTube channel's down. I don't know if we have it saved,
[01:24:50.880 --> 01:24:59.280]  but my late great principal dog captain was white and gray, but didn't have hair under his nose.
[01:24:59.280 --> 01:25:06.320]  He looked like Hitler. And when there was a coffee or teapot controversy from JC Penney,
[01:25:07.600 --> 01:25:13.040]  where people thought that it did a shadow, talk about schizophrenia, of Hitler's mustache
[01:25:13.840 --> 01:25:21.280]  from the handle, they withdrew the teapot when that happened. And so I remember
[01:25:21.280 --> 01:25:27.840]  somebody pointing out, well, captain looks like he has a Hitler mustache.
[01:25:29.440 --> 01:25:35.200]  So let's get rid of it. I made the joke, you know, let's execute the dog because he also
[01:25:35.200 --> 01:25:39.360]  has a Hitler mustache. And there's a video that's somewhere online, Alex Jones and Hitler dog.
[01:25:40.080 --> 01:25:47.120]  Will I be arrested for calling the dog Hitler? Now, I think I even have the dog's arm go up
[01:25:47.120 --> 01:25:53.360]  and you know, say how Hitler. Now, again, what happened that John Cleese in the 70s and 80s
[01:25:53.360 --> 01:25:58.960]  could do his Hitler jokes and Charlie Chaplin can do his Hitler jokes and actually how Hitler himself,
[01:26:00.240 --> 01:26:06.320]  but today you can't because these are real authoritarians. Even if you want
[01:26:07.760 --> 01:26:12.720]  to be pro Hitler, you have to have that right because they're always going to project it on
[01:26:12.720 --> 01:26:17.680]  people and say you don't have a right to be pro Hitler and then take your rights away as well
[01:26:19.360 --> 01:26:28.160]  and then expand it out. I was on the Logan Paul podcast and I said retarded and they cut it out
[01:26:28.160 --> 01:26:43.840]  of the podcast. They cut it out of the podcast. Retarded is just the word meaning behind. They're
[01:26:43.840 --> 01:26:52.560]  now saying don't use the word Negro. They're now talking about changing the name of Negro Madelo
[01:26:52.560 --> 01:26:59.280]  because in Spanish, Negro just means black because people go to order beer or they go
[01:26:59.280 --> 01:27:04.000]  to the grocery store and they're so ignorant. They're seeing Hitler mustaches and teapots and
[01:27:04.560 --> 01:27:07.680]  you know, they're just, I mean, they're really concerned here and there's always weird white
[01:27:07.680 --> 01:27:16.080]  people. And so now you're not supposed to use the scientific name. It's like homosexual heterosexual.
[01:27:16.080 --> 01:27:23.680]  Well, the homosexuals said we feel like you're being mean to us. We want you to use the word gay.
[01:27:24.560 --> 01:27:31.680]  So a word that just meant happy. He was a gay lad. It was a gay day. Now they don't just remove
[01:27:31.680 --> 01:27:48.640]  words. They take over words, but it's incredible to now have the word police running around the
[01:27:48.640 --> 01:27:55.440]  planet, taking over words, destroying words, changing the meaning of words. And so comedians
[01:27:55.440 --> 01:28:02.880]  and professors and political leaders and in your own daily lives, folks, don't put up with people
[01:28:02.880 --> 01:28:08.640]  changing the meaning of words. Don't let people project on to you what they're claiming and understand
[01:28:08.640 --> 01:28:15.440]  that the black Israelites have a right to say that whites are subhuman. The Nazis have a right to
[01:28:15.440 --> 01:28:21.760]  say blacks are subhuman. All these little fringe groups, though, are being used by the academic
[01:28:21.760 --> 01:28:28.800]  police state and the leftist control system, which is truly authoritarian and Orwellian,
[01:28:28.800 --> 01:28:33.840]  to take all of our freedoms. So you don't say, hey, that's not fair. You know, if someone didn't mean
[01:28:33.840 --> 01:28:38.560]  to hurt someone's feelings, it's just a joke. You shouldn't ban their speech because that's the
[01:28:38.560 --> 01:28:44.880]  extension. If you hurt someone's feelings, you no longer have free speech. No, I have a right to
[01:28:44.880 --> 01:28:50.800]  offend you. You have a right to offend me. My free speech doesn't end when you're offended. We better
[01:28:50.800 --> 01:28:55.680]  use these freedoms or lose them just like Europe did. We're following the exact same path.
[01:28:57.200 --> 01:29:01.200]  Stocks and options trading involves financial risk and is not suitable for all investors.
[01:29:01.200 --> 01:29:05.840]  Hey, guys, it's Scott Bauer here, CEO of Prosper Trading Academy. Are you looking for a super hot
[01:29:05.840 --> 01:29:10.480]  stock tip? Here at Prosper, we are always looking for exciting opportunities in the markets. And
[01:29:10.480 --> 01:29:15.440]  right now, all my students are salivating over the stock we are watching. In fact, I've got this
[01:29:15.440 --> 01:29:20.960]  hot stock written down right here, and I'm about to text it to you for free. I just need to know
[01:29:20.960 --> 01:29:28.640]  where to send it. Simply text HOT to 48542, and I'll text it to you instantly. How do I know
[01:29:28.640 --> 01:29:34.080]  this stock is so hot? Well, I'm a former CBOE market maker for Amazon Options, former vice
[01:29:34.080 --> 01:29:39.440]  president of Goldman Sachs, and I have over 25 years of professional trading experience.
[01:29:39.440 --> 01:29:44.320]  I'm telling you, this stock is hot. But be warned, the stock may move soon, so you need to claim it
[01:29:44.320 --> 01:29:53.280]  before it does. Text HOT to 48542, and I'll text you this hot stock instantly. Text HOT to 48542,
[01:29:53.280 --> 01:29:56.960]  and I'll text you this hot stock instantly. Message and data rates may apply.
[01:29:59.040 --> 01:30:06.560]  In for the most banned network in the world. Tom and Texas police officer on the border
[01:30:06.560 --> 01:30:11.280]  talks about MS-13 and more. Thanks for calling, Tom. Yes, sir. Thank you for taking my call.
[01:30:11.280 --> 01:30:16.640]  Just want to thank you for your products. I have the InfoWars Pcals on outside of my cell phone
[01:30:16.640 --> 01:30:20.720]  case. My trucks, sports, the shirts, all the equipment, I find it's the best way to get your
[01:30:20.720 --> 01:30:25.360]  word out. God bless you, brother. And I have three or four InfoWars bumper stickers in my glove box
[01:30:25.360 --> 01:30:29.440]  right now. I hand out if I get to talking to somebody just to help spread that word. You're
[01:30:29.440 --> 01:30:33.600]  our only hope, brother. I'm telling you, you're more important than I am. It's people like you on
[01:30:33.600 --> 01:30:37.600]  the ground, as you know, that's boots on the ground. All of our best sellers, Alpha Power,
[01:30:37.600 --> 01:30:43.360]  Violent Mental Fusion, BioTrux Selenium, X-Tube, RainForce Plus, Supermobile Vitality, DNA Force,
[01:30:43.360 --> 01:30:48.080]  Plus, Superblue, Produx, toothpaste, 4-5 Equinole Silver, Iodine, Silver Bullet Colloidal Silver,
[01:30:48.080 --> 01:30:52.960]  Real Red Pill, Real Red Pill Plus. It goes on and on and on. Check it all out and know,
[01:30:52.960 --> 01:30:57.120]  funding us will change the world. All of it. We're coming through the storm. Thanks to you.
[01:30:59.760 --> 01:31:02.640]  Mike in New Jersey. You're on the air. Thanks for calling, Mike.
[01:31:02.640 --> 01:31:05.440]  You are the man, Alex. I'm so glad to be talking to you.
[01:31:05.440 --> 01:31:08.320]  I'm so excited. I'm such a big fan. Ever since I've been listening,
[01:31:08.320 --> 01:31:12.160]  I've been buying your products. I got to do a shout out for the bone broth.
[01:31:12.160 --> 01:31:17.680]  The bone broth. The bone broth. The bone broth. The bone broth. The bone broth.
[01:31:17.680 --> 01:31:22.400]  Tastes like, tastes like great milkshake. You know, if you just add it to milk.
[01:31:22.400 --> 01:31:26.800]  It tastes like oval theme. It tastes like oval theme. It tastes like oval theme.
[01:31:26.800 --> 01:31:32.880]  Like good. I feel great since I've been taking it. My daughter uses the bubblegum fluoride
[01:31:32.880 --> 01:31:39.120]  3 toothpaste. I'd use the super male vitality, a host of other products. So thank you so much
[01:31:39.120 --> 01:31:42.800]  for that as well. Brother, you're thanking me for buying the products and keeping us on air.
[01:31:42.800 --> 01:31:46.800]  I'm thanking you. But yes, this is the ultimate bone broth formula with the turmeric,
[01:31:46.800 --> 01:31:51.840]  the chocolate mushroom, the true bone broth. It is next level. It really is good. So thank you.
[01:31:51.840 --> 01:31:54.240]  I feel great since I've been taking it. Thank you.
[01:31:54.240 --> 01:32:03.440]  It's never been easy to figure out the essentials of a new supplement routine.
[01:32:04.160 --> 01:32:09.280]  That's why we created the eight pack power stack, your go to option for the building blocks of a
[01:32:09.280 --> 01:32:15.040]  successful approach to supplementation. This one stop shop for those looking to simplify or adjust
[01:32:15.040 --> 01:32:21.040]  their routine is perfect for new and old info warriors alike. With the eight pack power stack,
[01:32:21.040 --> 01:32:26.160]  there's no trial and error, messy bottles laying across the counter or 20 minute morning habits.
[01:32:27.280 --> 01:32:31.280]  Just take the wake up and work or rest and recover packs each day for quick,
[01:32:31.280 --> 01:32:35.840]  easy to use and conveniently accessible formulas to help you reach your peak without the deep
[01:32:35.840 --> 01:32:41.680]  supplement knowledge stacks of bottles and complicated routine featuring eight different
[01:32:41.680 --> 01:32:46.720]  formulas for a total take on your health and wellness. You can find what you like and get
[01:32:46.720 --> 01:32:53.520]  even more powerful versions in the store. Head to info wars store.com and check out eight pack
[01:32:53.520 --> 01:33:03.920]  power stack today and jumpstart your supplement routine. You're listening to the Alex Jones show.
[01:33:03.920 --> 01:33:17.920]  You founded the tip of the spear. It is the Alex Jones show.
[01:33:26.720 --> 01:33:31.440]  Well, ladies and gentlemen, Bernie Sanders is set to be arrested.
[01:33:31.440 --> 01:33:39.840]  That's right. Under leftist thought crimes, anything that anyone is
[01:33:42.480 --> 01:33:49.040]  offended by is then banned. And then you have to have a debate about whether you really offended
[01:33:49.040 --> 01:33:56.240]  anybody. Remember Count Dankula, who's joining us the next hour, did the funny viral Hitler dog
[01:33:56.240 --> 01:34:01.600]  video similar to Charlie Chaplin or things that John Cleese had done that was put on national
[01:34:01.600 --> 01:34:07.360]  television and in movie theaters. Well, he's already been in jail. He's facing more jail time
[01:34:07.360 --> 01:34:13.040]  and giant fines because he hasn't apologized for his thought crime. Kind of Twitter always wants
[01:34:13.040 --> 01:34:19.840]  you to delete your tweet or they'll delete your whole page. They make you take part in your own
[01:34:19.840 --> 01:34:24.640]  lynching. Well, the conservatives are jumping on the bandwagon. The American mirror who are great
[01:34:24.640 --> 01:34:32.240]  folks have jumped on a tub. Bernie Sanders holds up fried chicken leg for pitcher with a black man
[01:34:32.240 --> 01:34:40.080]  in South Carolina. And they go on to say he better get a better black advisor. You know, I don't like
[01:34:40.080 --> 01:34:47.360]  Bernie Sanders because of his politics, because of the swindling he does him and his wife and his
[01:34:47.360 --> 01:34:54.160]  family robbing college funds, nepotism, you know, the million dollar homes, the $100,000 cars,
[01:34:54.160 --> 01:34:59.360]  they're hypocrites. Nothing wrong with nice homes and cars, but they say money's bad and they stole it.
[01:35:02.400 --> 01:35:09.680]  But in the South, and most of the country, everybody likes fried chicken. So it's in the North
[01:35:09.680 --> 01:35:14.000]  when a bunch of black folks moved up there after the Civil War that Northerners had never seen
[01:35:14.000 --> 01:35:20.320]  fried chicken and collared greens and chicken fried steak and stuff like that. Poor babies.
[01:35:20.320 --> 01:35:24.960]  So they thought that's black food. And there's an obsession in the North. I love
[01:35:24.960 --> 01:35:32.560]  Northerners, but it's weird. And I've seen it in the Midwest too. And out West, Northwest people
[01:35:33.440 --> 01:35:36.640]  will actually make jokes if they see eating watermelon or fried chicken.
[01:35:38.960 --> 01:35:43.600]  And it's a weird thing where they call it soul food. And it's kind of a weird thing. You go
[01:35:43.600 --> 01:35:48.480]  eat the soul food. They don't really have Southern cooking in the North, but they'll call it soul food
[01:35:48.480 --> 01:35:52.960]  places. And so it's kind of like a joke. Like, oh, you're eating your fried chicken. I'm like,
[01:35:52.960 --> 01:35:56.960]  you're damn right. I'm eating my fried chicken. Just like grandma always made it. Mama made it.
[01:35:56.960 --> 01:36:03.600]  But see the mental illness. There's a projection that Bernie Sanders is at a guy's restaurant.
[01:36:04.480 --> 01:36:08.480]  And he's like, this is really good chicken. And he holds it up and it starts eating it.
[01:36:08.480 --> 01:36:13.600]  Bill Clinton did that and got in trouble a few years ago. I hate Bill Clinton. But they said,
[01:36:13.600 --> 01:36:18.640]  Bill Clinton's posing with black people with a plate of chicken. Bill Clinton's from Arkansas.
[01:36:18.640 --> 01:36:26.160]  He's been eating fried chickens as he was six months old. But again, that is the insanity of this.
[01:36:27.920 --> 01:36:30.560]  In fact, national media made it a really big thing. It was like,
[01:36:31.680 --> 01:36:36.960]  Jones was in a fried chicken place. They'd laugh about it and like, oh, he got thrown out of a
[01:36:36.960 --> 01:36:41.600]  fried chicken place, which I didn't. The left attacked me. I finished. I left. They got thrown
[01:36:41.600 --> 01:36:47.600]  out. So it was that undertone of, look, he's eating fried chicken. Man, I tell you, it's weird.
[01:36:47.600 --> 01:36:53.760]  I love folks up north, but they'll ask me, do you ride horses to work and stuff like that. And so
[01:36:53.760 --> 01:36:58.400]  there's these, there's these stereotypes. And the reason I'm talking a lot about this is
[01:37:00.160 --> 01:37:03.360]  the right wing is jumping on board now because the left.
[01:37:05.440 --> 01:37:08.880]  If I went out, if I was still on Twitter and I went to some restaurant and held up a piece
[01:37:08.880 --> 01:37:14.880]  of fried chicken by a black guy, they'd say, Jones does secret white supremacist, you know, signal.
[01:37:17.840 --> 01:37:21.200]  But do we have to act like the control freak mental patient left?
[01:37:24.320 --> 01:37:28.800]  When they project onto us, if we're eating fried chicken that we're, it's some code word,
[01:37:29.600 --> 01:37:35.040]  or if I buy a watermelon store, it's because I'm mimicking black people. That's insane.
[01:37:35.040 --> 01:37:45.200]  That's crazy. So again, it's the same thing. And it shows how far they've gone. So now the
[01:37:45.200 --> 01:37:52.560]  right wing projects on Sanders that he was insensitive standing by a black man in his
[01:37:52.560 --> 01:38:00.480]  restaurant, eating a piece of his chicken, holding up his product. Like if you went into a deli
[01:38:00.480 --> 01:38:05.680]  and you hold up somebody's Rubin and said, man, that's a nice Rubin, or you went into a Mexican
[01:38:05.680 --> 01:38:12.000]  food restaurant and you had a big plate enchiladas. It's like Trump on Cinco de Mayo tweeted out
[01:38:12.000 --> 01:38:20.000]  that Trump hotel was serving a Cinco de Mayo taco bowl. I thought, hmm, taco bowl. People went,
[01:38:20.000 --> 01:38:26.960]  Oh, it's a sick joke by Trump. No, he's saying Cinco de Mayo, he Mexican food, you know.
[01:38:26.960 --> 01:38:35.680]  But again, that's the left saying all information, all culture, everything is owned by them. And
[01:38:35.680 --> 01:38:40.640]  they'll tell you what you mean, and they'll tell you what you can use, and they'll tell you what
[01:38:40.640 --> 01:38:46.880]  you can do. And then conservatives try to use their own magic back at them. Conservatives go,
[01:38:46.880 --> 01:38:54.880]  Okay, Bernie posed with chicken. He's insensitive. And the left doesn't care. They go, Oh, Bernie
[01:38:54.880 --> 01:39:00.080]  didn't mean it like that. So we keep trying to go along with the corporate media and the universities
[01:39:00.080 --> 01:39:05.680]  and these bullies by playing their political correctness came. Hey, Lewis Farrakhan, he's still
[01:39:05.680 --> 01:39:10.720]  on Facebook. But all these other people aren't well, you know what, we'll just ban their names
[01:39:10.720 --> 01:39:15.360]  from it. And we'll ban him as a token person as well, who's not a conservative.
[01:39:17.360 --> 01:39:24.080]  Bernie Sanders visited a taste of black Columbia. By the way, this is making me hungry.
[01:39:24.080 --> 01:39:28.880]  I don't normally do it. And it's kind of fast foodie and probably has some bad additives. But I want
[01:39:31.040 --> 01:39:39.440]  I want Popeyes chicken tenders with Yeah, that's what I want for lunch. I'm gonna eat that on air.
