[00:00:03.004 --> 00:00:04.945]  Big show.
[00:56:40.921 --> 00:56:47.047]  And I just think folks should become aware of the fact you are being targeted, whether you deny it or not, it's still going on.
[00:56:48.032 --> 00:56:52.677]  But we've got Houston voters rejecting non-discrimination measure.
[00:56:52.677 --> 00:56:55.941]  These are conflicting votes and also rulings.
[00:56:55.941 --> 00:56:56.582]  And then U.S.
[00:56:56.582 --> 00:56:59.024]  school violated transgender student rights.
[00:56:59.024 --> 00:57:00.666]  Let's play the Houston News first.
[00:57:00.666 --> 00:57:01.066]  Here it is.
[00:57:02.274 --> 00:57:14.560]  One of the biggest objections we had was the fact that this ordinance allowed biological males, even registered sex offenders, who on any given day identified as a female, to go into a female restroom, shower, or locker room.
[00:57:14.560 --> 00:57:18.422]  If that business owner said no, that business owner could be prosecuted.
[00:57:18.422 --> 00:57:20.323]  We thought that was just plain wrong.
[00:57:20.323 --> 00:57:22.824]  And Houstonians, I believe, felt that was just plain wrong.
[00:57:23.024 --> 00:57:27.525]  I'm going to come back and play the other clip to show you where Illinois is at, but think about it.
[00:57:47.022 --> 00:57:49.745]  They have signs up saying no men in women's bathrooms.
[00:57:49.745 --> 00:57:57.772]  One of the most famous so-called trannies in national history lived here in Austin and died a few years ago.
[00:57:57.772 --> 00:58:00.855]  And I was on AXS TV 18 years ago and he had a show.
[00:58:00.855 --> 00:58:05.260]  And they would go in the men's bathroom, the women's bathroom, they were obsessed with bathrooms.
[00:58:05.260 --> 00:58:06.281]  He and his girlfriends.
[00:58:08.308 --> 00:58:18.999]  And, I mean, they would take drugs in there, vomit all over the place, do other stuff in there, and they got kicked out, and they said, you're against this because we're transgender, and they said, no, you're vomiting everywhere.
[00:58:18.999 --> 00:58:22.422]  They would vomit in there almost every week, and the liberals all celebrated the vomit.
[00:58:23.413 --> 00:58:25.433]  Everything else, I'm not kidding.
[00:58:25.433 --> 00:58:33.155]  He had a big beard, he had a slobber coming out of his mouth, and they all would just bow to him because they want to make humanity hideous.
[00:58:33.155 --> 00:58:36.656]  Their God is hideous ugliness.
[00:58:36.656 --> 00:58:38.596]  And that's why they worshipped him.
[00:58:38.596 --> 00:58:40.277]  But hey, don't think we wanted Houston.
[00:58:40.277 --> 00:58:41.617]  They've got our kids.
[00:58:41.617 --> 00:58:42.877]  They've got our kids.
[00:58:42.877 --> 00:58:46.398]  They're teaching five-year-olds right now to bow down to Leslie Cochran here in Austin.
[00:58:48.780 --> 00:58:58.885]  Most of the InfoWars radio listening audience is aware of the high-quality, affordable firearms available that are made right here in America at HDFirearms.com.
[00:58:58.885 --> 00:59:05.008]  One of the most exciting things about HDFirearms.com is the ability to upgrade your AR-15 platform today.
[00:59:05.008 --> 00:59:07.349]  They call it their low-profile platform.
[00:59:07.349 --> 00:59:10.591]  PVX muzzle brakes, proven to help control muzzle rise.
[00:59:11.932 --> 00:59:14.714]  6061 billet material with type 3 hard coating.
[00:59:14.714 --> 00:59:18.336]  Bolt carrier group for .308 and .556 ARs.
[00:59:18.336 --> 00:59:19.897]  Custom Kydex holsters.
[00:59:19.897 --> 00:59:24.760]  Ideal for concealed carry with .080 thick Kydex to ensure durability.
[00:59:24.760 --> 00:59:27.262]  Most competitors' material use .060.
[00:59:27.262 --> 00:59:30.664]  Configure yours today at hdfirearms.com.
[00:59:30.664 --> 00:59:32.706]  And my favorite, single stage trigger.
[00:59:32.706 --> 00:59:36.108]  A home run upgrade for your AR-15 and AR-10 platforms.
[00:59:36.328 --> 00:59:39.911]  Find out more at HDFirearms.com today or call 770-485-7015.
[00:59:39.911 --> 00:59:42.012]  That's HDFirearms.com or call 770-485-7015.
[00:59:42.012 --> 00:59:44.194]  You're listening to the Alex Jones Show!
[01:00:04.895 --> 01:00:06.216]  Big Brother.
[01:00:06.216 --> 01:00:07.977]  Mainstream media.
[01:00:07.977 --> 01:00:09.739]  Government cover-ups.
[01:00:09.739 --> 01:00:11.320]  You want answers?
[01:00:11.320 --> 01:00:12.701]  Well, so does he.
[01:00:12.701 --> 01:00:17.065]  He's Alex Jones on the GCN Radio Network.
[01:00:17.065 --> 01:00:22.088]  And now, live from Austin, Texas, Alex Jones.
[01:00:22.088 --> 01:00:27.933]  Now, we've got huge economic news, huge military news, huge police state news, a bunch of guests coming up.
[01:00:27.933 --> 01:00:33.617]  But the reason I'm focusing so much on the whole transgender situation is what Camille Paglia, professor
[01:00:34.833 --> 01:00:50.502]  is talking about, she's a liberal, in the classical sense, that every time a society is about to collapse, there's this obsession with men becoming women and vice versa.
[01:00:50.502 --> 01:00:58.186]  And if they can force you to let men come in women's bathrooms, because there's not going to be women doing the other thing,
[01:00:59.795 --> 01:01:00.976]  Statistically.
[01:01:00.976 --> 01:01:04.180]  And then force that also on public schools and other facilities.
[01:01:04.180 --> 01:01:06.523]  They can do anything they want.
[01:01:06.523 --> 01:01:08.966]  They can set and control the definitions.
[01:01:08.966 --> 01:01:14.272]  And this is an attack, a scientific attack on civilization, on the family unit.
[01:01:14.272 --> 01:01:15.354]  It's not about diversity.
[01:01:15.354 --> 01:01:16.535]  It's not about tolerance.
[01:01:16.535 --> 01:01:17.917]  It's about an overwrite.
[01:01:19.053 --> 01:01:28.498]  So if you just join us, I'm going to play part of this piece from the AP analyzing it about Houston rejects non-discrimination measure.
[01:01:28.498 --> 01:01:30.939]  Notice how they call it a non-discrimination measure.
[01:01:30.939 --> 01:01:38.743]  You can't discriminate, see any discrimination, that you're a certain religion, you're a certain culture, you're a certain sex, isn't allowed.
[01:01:38.743 --> 01:01:42.685]  Mother and father, he or she, boy or girl, is hurtful.
[01:01:42.685 --> 01:01:44.546]  You must give up your identity.
[01:01:44.546 --> 01:01:45.847]  Your identity is hurtful.
[01:01:45.847 --> 01:01:46.207]  Here it is.
[01:01:47.632 --> 01:01:59.900]  One of the biggest objections we had was the fact that this ordinance allowed biological males, even registered sex offenders, who on any given day identified as a female, to go into a female restroom, shower, or locker room.
[01:01:59.900 --> 01:02:03.782]  If that business owner said no, that business owner could be prosecuted.
[01:02:03.782 --> 01:02:05.323]  We thought that was just plain wrong.
[01:02:05.323 --> 01:02:08.185]  The Houstonians, I believe, felt that was just plain wrong.
[01:02:08.285 --> 01:02:15.587]  This shows that the liberal leftist ideas of the Democrats, led by this mayor and led by Hillary Clinton, are going to be rejected.
[01:02:15.587 --> 01:02:20.349]  Not just by Republicans, but by Democrats who came out against this.
[01:02:20.349 --> 01:02:22.610]  It's just common sense and common decency.
[01:02:22.610 --> 01:02:24.891]  We don't want men in women's ladies rooms.
[01:02:24.891 --> 01:02:27.011]  This had nothing to do with equal rights.
[01:02:27.011 --> 01:02:29.992]  We already have equal rights guaranteed under our Constitution.
[01:02:29.992 --> 01:02:34.594]  This was a campaign of fear-mongering and deliberate
[01:02:35.518 --> 01:02:35.778]  Lies.
[01:02:35.778 --> 01:02:37.198]  There's the fruit mayor.
[01:02:37.198 --> 01:02:37.999]  Deliberate lies.
[01:02:37.999 --> 01:02:39.599]  I don't mean fruit because she's a lesbian, I mean she's a fruitcake.
[01:02:39.599 --> 01:02:40.399]  This is a misinformation.
[01:02:40.399 --> 01:02:46.260]  This is a calculated campaign of lies designed to demonize.
[01:02:46.260 --> 01:02:47.620]  There's women crying.
[01:02:47.620 --> 01:02:49.121]  We need men in the bathroom.
[01:02:49.121 --> 01:02:52.001]  We need 50 year old boys in the girls room.
[01:02:52.001 --> 01:02:54.442]  This guy looks like a linebacker.
[01:02:54.442 --> 01:02:55.902]  He wants to be in the women's bathroom.
[01:03:00.563 --> 01:03:02.544]  You don't have mitochondrial DNA, bud.
[01:03:02.544 --> 01:03:05.024]  You don't have a uterus, sorry.
[01:03:05.024 --> 01:03:12.886]  You're obsessed with bathrooms!
[01:03:12.886 --> 01:03:14.227]  Get him off, get him off.
[01:03:14.227 --> 01:03:15.507]  You know what this is really gonna do?
[01:03:15.507 --> 01:03:18.708]  It's gonna turn everything into one-person bathrooms, which is fine with me.
[01:03:18.708 --> 01:03:22.689]  I don't like being around men either in the bathroom.
[01:03:22.689 --> 01:03:23.809]  You want to get right down to it.
[01:03:24.991 --> 01:03:27.292]  They're trying to make the military now where the men and women are together.
[01:03:27.292 --> 01:03:29.434]  I mean this is just totally jacking on people.
[01:03:29.434 --> 01:03:31.135]  Now let's go to the Illinois piece.
[01:03:31.135 --> 01:03:35.978]  This is where, oh no, they're not just going to the bathrooms, they're going to go in the showers.
[01:03:35.978 --> 01:03:47.625]  Men with genitals, testicles and penises, using scientific terms here, are going to go in to the bathroom with your daughter.
[01:03:47.625 --> 01:03:49.266]  And it's an act of domination.
[01:03:49.266 --> 01:03:49.746]  Here's the clip.
[01:03:50.720 --> 01:03:51.081]  Oh my gosh.
[01:04:09.657 --> 01:04:15.340]  The superintendent of your school district suggests that you may not really be a girl.
[01:04:15.340 --> 01:04:17.782]  There's not 800,000 sex slaves in America.
[01:04:17.782 --> 01:04:19.002]  They don't need any help.
[01:04:19.002 --> 01:04:22.624]  And say that your rights have been trampled.
[01:04:22.624 --> 01:04:24.785]  There's not 100,000 people dead in Mexico from the drug war.
[01:04:24.785 --> 01:04:25.466]  That's not a problem.
[01:04:25.466 --> 01:04:30.629]  Incredibly validating and incredibly inspirational.
[01:04:30.629 --> 01:04:34.571]  Oh, so beautiful and courage filled.
[01:04:35.011 --> 01:04:37.052]  So there you go, they rule that girl's bathroom.
[01:04:37.052 --> 01:04:39.853]  Here comes the 18-year-old, 19-year-old that's flunked twice with his...
[01:04:58.580 --> 01:05:06.643]  You've heard of the US government wasting money on studies like mountain lions on treadmills, shrimp on treadmills, and even the effects of Swedish massage on rabbits.
[01:05:06.643 --> 01:05:09.884]  This latest example of waste comes out of the Illinois EPA.
[01:05:09.884 --> 01:05:15.165]  In fact, I tweeted, state government needs nine-step anal retentive plan to compost pumpkins?
[01:05:15.165 --> 01:05:16.506]  That's right, it's all in the article.
[01:05:16.506 --> 01:05:20.327]  Illinois EPA, pumpkins must be managed to protect human health by Kit Daniels.
[01:05:20.507 --> 01:05:26.732]  And in it, you can find a link to the actual nine-step process for local cities to collect pumpkins for composting.
[01:05:26.732 --> 01:05:27.713]  Here's step two.
[01:05:27.713 --> 01:05:34.638]  Pumpkins must not be accepted from other persons, including but not limited to owners and operators of rented or leased residences where pumpkins were used for decorative purposes.
[01:05:34.638 --> 01:05:38.421]  Commercial haulers and other commercial, industrial, agricultural, and government operations are entities.
[01:05:38.421 --> 01:05:39.562]  How are you going to figure that out?
[01:05:39.562 --> 01:05:40.223]  Step nine.
[01:05:40.223 --> 01:05:46.888]  The transfer and ultimate disposition of pumpkins received at the collection event must comply with the agency's approval, including all conditions contained in the approval.
[01:05:47.108 --> 01:05:49.168]  Do you have your TPS report cover sheet?
[01:05:49.168 --> 01:05:51.689]  Did you see the memo about this?
[01:05:51.689 --> 01:05:54.789]  If you don't, then you cannot compost pumpkins in Illinois!
[01:05:54.789 --> 01:05:55.369]  Okay.
[01:05:55.369 --> 01:05:58.570]  Rob Dewey reporting for InfoWars.com and InfoWars Nightly News.
[01:05:58.570 --> 01:06:08.292]  Most of the InfoWars radio listening audience is aware of the high quality, affordable firearms available that are made right here in America at htfirearms.com.
[01:06:08.292 --> 01:06:14.813]  One of the most exciting things about htfirearms.com is the ability to upgrade your AR-15 platform today.
[01:06:14.813 --> 01:06:16.913]  They call it their low profile platform.
[01:06:17.133 --> 01:06:18.774]  PVX Muzzle Brakes.
[01:06:18.774 --> 01:06:21.735]  Proven to help control muzzle rise.
[01:06:21.735 --> 01:06:24.516]  6061 Billet Material with Type 3 Hard Coating.
[01:06:24.516 --> 01:06:28.137]  Bolt Carrier Group for .308 and .556 ARs.
[01:06:28.137 --> 01:06:29.698]  Custom Kydex Holsters.
[01:06:29.698 --> 01:06:34.560]  Ideal for concealed carry with .080 thick Kydex to ensure durability.
[01:06:34.560 --> 01:06:37.061]  Most competitors' material use .060.
[01:06:37.061 --> 01:06:40.462]  Configure yours today at hdfirearms.com.
[01:06:40.462 --> 01:06:42.503]  And my favorite, Single Stage Trigger.
[01:06:42.503 --> 01:06:45.884]  A home run upgrade for your AR-15 and AR-10 platforms.
[01:06:46.124 --> 01:06:50.326]  Find out more at HDfirearms.com today or call 770-485-7015.
[01:06:50.326 --> 01:06:58.330]  That's HDfirearms.com or call 770-485-7015.
[01:06:58.330 --> 01:07:04.073]  Your liver can be full of fatty deposits, built-up toxins, and even dangerous objects known as liver stones.
[01:07:04.073 --> 01:07:15.418]  We worked with the top developers in the field of detox to take tried and true herbs and other compounds known to safely cleanse the liver and infuse it with the latest research and technological development on
[01:07:15.598 --> 01:07:18.781]  Concentrating these ingredients to give you the maximum effect.
[01:07:18.781 --> 01:07:26.787]  Liver Shield is the only liver support product on the market that uses a patented Spigyrex blend of powerful organic herbs that support detoxification.
[01:07:26.787 --> 01:07:32.211]  And when you visit Infowarslife.com, see the instructional video on how to do a six-day liver detox.
[01:07:32.211 --> 01:07:35.914]  This isn't a game, and let me tell you, the results are dramatic.
[01:07:35.914 --> 01:07:40.038]  Liver Shield is totally organic and made of the safest, high-quality herbs.
[01:07:40.038 --> 01:07:43.921]  But that said, you need to consult your physician before you do the full detox.
[01:07:44.341 --> 01:07:48.463]  Liver Shield can also be used daily by itself for overall upkeep of the liver.
[01:07:48.463 --> 01:07:53.545]  Secure your Liver Shield today exclusively at InfoWarsLife.com for the lowest price available.
[01:07:53.545 --> 01:07:55.386]  That's InfoWarsLife.com or call 888-253-3139.
[01:08:01.129 --> 01:08:03.891]  He's the T-Rex of political talk.
[01:08:03.891 --> 01:08:08.433]  Alex Jones on the GCN Radio Network.
[01:08:08.433 --> 01:08:09.794]  They just joined us.
[01:08:09.794 --> 01:08:15.217]  Leanne McAdoo just sent Nico a text saying, you need to correct Alex.
[01:08:15.217 --> 01:08:18.039]  Men have mitochondrial DNA as well.
[01:08:18.039 --> 01:08:22.862]  Let me be technical, and I'm not going back to the textbooks and the science and watching Discovery Channel.
[01:08:22.862 --> 01:08:26.884]  I don't claim to be a scientist, but I've talked to genetic engineers.
[01:08:26.884 --> 01:08:30.286]  I have vestigial breast.
[01:08:31.781 --> 01:08:35.643]  I have nipples, but I'm not a woman.
[01:08:35.643 --> 01:08:37.324]  I do not have a uterus.
[01:08:37.324 --> 01:08:39.766]  Men and women are two different species.
[01:08:39.766 --> 01:08:44.428]  And I'm glad she was technically correcting me because I can elaborate on it now.
[01:08:44.428 --> 01:08:54.134]  Going from memory, anybody can look this up for themselves, women from the first woman to the last woman pass the entire mitochondrial DNA line down.
[01:08:55.276 --> 01:09:06.264]  Men pass basically a shell and it doesn't pass on all the information and it only passes on to males.
[01:09:06.264 --> 01:09:15.771]  So that's the difference, is that the mitochondrial DNA of women is the difference between the photo of a Ferrari and a Ferrari.
[01:09:15.771 --> 01:09:19.314]  Women have the Ferrari, men have a photo of the Ferrari.
[01:09:19.314 --> 01:09:23.017]  Women have real breasts that make milk, men have vestigial breasts.
[01:09:26.181 --> 01:09:29.183]  Men do not have a uterus.
[01:09:29.183 --> 01:09:34.026]  Now I know that's probably a conspiracy theory, but that's what's going on here.
[01:09:34.026 --> 01:09:46.193]  And so I was saying these men that say they're women do not have uteruses and do not have the full mitochondrial DNA.
[01:09:46.193 --> 01:09:48.815]  Just like I don't have real mammary glands.
[01:09:50.666 --> 01:09:52.247]  That's what I'm getting at.
[01:09:52.247 --> 01:09:54.527]  In fact, let's just show people.
[01:09:54.527 --> 01:09:55.848]  We have my weight loss photos.
[01:09:55.848 --> 01:09:57.769]  We can actually put it up there.
[01:09:57.769 --> 01:09:59.589]  I will assure you those are not mammary glands.
[01:09:59.589 --> 01:10:02.190]  I do have a big chest, though.
[01:10:02.190 --> 01:10:06.612]  And it's actually one of the areas with very low fat, since I've been exercising so much.
[01:10:06.612 --> 01:10:12.634]  But I will assure you, ladies and gentlemen, that I can't feed babies with those.
[01:10:12.634 --> 01:10:15.295]  But a woman who is fertile can.
[01:10:16.522 --> 01:10:18.543]  So, that is what it is.
[01:10:18.543 --> 01:10:20.544]  By the way, that's not my super weight loss.
[01:10:20.544 --> 01:10:23.585]  That's from month to month, last few months losing weight.
[01:10:23.585 --> 01:10:31.449]  You can actually go back to my best ones when I was the fattest probably was Bilderberg four years ago in England when I weighed about 280 pounds.
[01:10:31.449 --> 01:10:32.590]  I weigh less than 240 now.
[01:10:32.590 --> 01:10:35.671]  And you can really see where I had this huge belly.
[01:10:35.671 --> 01:10:38.913]  And I'm not really trying to start a plug here out of the gate.
[01:10:38.913 --> 01:10:42.454]  A lot of stations just tuned in and just joined us.
[01:10:42.454 --> 01:10:43.515]  Yeah, that's me in England.
[01:10:43.515 --> 01:10:44.856]  That's my huge triple chin.
[01:10:44.856 --> 01:10:45.256]  But can we
[01:10:46.016 --> 01:10:49.719]  Just type in Alex Jones Speech at Bilderberg, England and get me up on the stage.
[01:10:49.719 --> 01:10:55.082]  That's when I was really starting to look like John Belushi or something before he died.
[01:10:55.082 --> 01:10:59.445]  I mean, I was really, really getting fat.
[01:10:59.445 --> 01:11:08.612]  Yeah, just type into Google Alex Jones Bilderberg, England or Alex Jones Speech and you can see me up on the stage and that is some of the really, really, really portly ones.
[01:11:08.612 --> 01:11:13.335]  Yeah, that's me 50-something pounds lighter now.
[01:11:15.905 --> 01:11:17.366]  I carried it pretty good, man.
[01:11:17.366 --> 01:11:18.286]  280 pounds, 5'11".
[01:11:18.286 --> 01:11:22.748]  I mean, look at the size of that head!
[01:11:22.748 --> 01:11:25.309]  It must have its own weather systems!
[01:11:25.309 --> 01:11:28.190]  But again, I'm not against a man who thinks he's a woman.
[01:11:28.190 --> 01:11:32.032]  I'm not against a guy that, you know, wants to go have a sex change.
[01:11:32.032 --> 01:11:32.752]  That's your issue.
[01:11:32.752 --> 01:11:33.453]  I'm a libertarian.
[01:11:33.453 --> 01:11:36.174]  But don't make me pay for it in taxpayer money.
[01:11:36.174 --> 01:11:38.975]  And don't try to teach my 7-year-old daughter about it.
[01:11:40.219 --> 01:11:46.485]  Because we're, quote, tolerant, and then now you want to put men and women in each other's bathrooms?
[01:11:46.485 --> 01:11:52.612]  But thank you for Leanne correcting me, because that made me actually elaborate, because I tend to oversimplify things.
[01:11:52.612 --> 01:11:53.673]  Just look into it for yourself.
[01:11:53.673 --> 01:11:56.796]  I assure you, women do have uteruses.
[01:11:56.796 --> 01:11:58.918]  Women do have a higher fat content.
[01:11:58.918 --> 01:12:03.403]  Their brain has three times the connections between left and right hemisphere, which makes them more
[01:12:06.511 --> 01:12:10.674]  Intuitive makes them more psychic, you could say.
[01:12:10.674 --> 01:12:12.456]  Intuition.
[01:12:12.456 --> 01:12:17.600]  But it also makes women get more emotional in a combat situation.
[01:12:17.600 --> 01:12:22.864]  And that's why every government that's tried to put women statistically in with men, big problems.
[01:12:22.864 --> 01:12:31.912]  Because when arms and legs and stuff are blown off and guts is everywhere, they found women in combat tend to commit even more atrocities than men, by the way, historically.
[01:12:32.771 --> 01:12:40.136]  Once you get women in an actual murdering position, once a woman goes into the mode of killing people, it's not a pretty picture as well.
[01:12:40.136 --> 01:12:42.917]  And they had trouble turning it off.
[01:12:42.917 --> 01:12:48.881]  And just the idea that men and women are different, they say is sexist.
[01:12:48.881 --> 01:12:50.502]  Or that men and women exist is sexist.
[01:12:50.502 --> 01:12:59.588]  And I kind of went off on this jag because we've got Camille Pagli in a big article up on Infowars.com saying this is basically preparation for the collapse of civilization.
[01:13:00.825 --> 01:13:02.327]  I don't normally play clips twice.
[01:13:02.327 --> 01:13:04.930]  I've got so many other clips I want to get to, but this one's so powerful.
[01:13:04.930 --> 01:13:07.894]  Can we cue up the Camille Paglia piece again?
[01:13:07.894 --> 01:13:11.077]  And then coming up, we do have Wayne Madsen's report.
[01:13:12.034 --> 01:13:20.656]  Integrated from the radio show and his trip out to the Evergreen Air Base, the CIA Air Base in Arizona, tying it into 9-11.
[01:13:20.656 --> 01:13:28.139]  That is coming up as well at 8 after, at 1-08 today, or 1-30.
[01:13:28.139 --> 01:13:30.559]  Actually, I have a guest at 1-08.
[01:13:30.559 --> 01:13:32.060]  That's what this says.
[01:13:32.060 --> 01:13:34.220]  What time is the guest?
[01:13:34.220 --> 01:13:35.241]  I've moved it to 1-30.
[01:13:35.241 --> 01:13:35.741]  Okay, good.
[01:13:35.741 --> 01:13:36.841]  This is total transparency.
[01:13:36.841 --> 01:13:39.702]  Everything's out in the open here, so we're just wargaming the show here on the air.
[01:13:40.834 --> 01:13:43.015]  To the lawyer, I move to 1.30.
[01:13:43.015 --> 01:13:48.919]  We will air that at 1 o'clock today, the special report.
[01:13:48.919 --> 01:13:52.782]  And we have the population breakdown on why China is getting rid of its one-job policy.
[01:13:52.782 --> 01:13:54.963]  Big victory for humanity.
[01:13:54.963 --> 01:14:03.469]  That is coming up with Stephen Mosier of pop.org, the population organization that studies all of that.
[01:14:05.359 --> 01:14:08.160]  And wow, the Washington Post even having to tell the truth.
[01:14:08.160 --> 01:14:12.583]  Horrors of one-child policy leave deep scars in Chinese society.
[01:14:12.583 --> 01:14:18.466]  You got Bill Gates and Ted Turner and them pushing that here.
[01:14:18.466 --> 01:14:22.408]  So, wow, the Washington Post did some good?
[01:14:22.408 --> 01:14:27.530]  Wow, maybe the worm is starting to turn.
[01:14:27.530 --> 01:14:28.951]  So that's all coming up.
[01:14:28.951 --> 01:14:33.834]  Before I get into the police state news, some really positive news on elections around the country.
[01:14:34.773 --> 01:14:37.015]  The military news and more.
[01:14:37.015 --> 01:14:39.838]  I do want to just remind listeners we're listeners supported.
[01:14:39.838 --> 01:14:52.089]  We're not like NPR that gets $455 million or more a year from taxpayers and begs for money every week and does infomercials for their so-called non-commercial sponsors.
[01:14:52.089 --> 01:14:55.032]  We don't get billions of dollars like NBC and MSNBC.
[01:14:56.874 --> 01:14:58.235]  To push all the propaganda.
[01:14:58.235 --> 01:15:01.456]  We are only funded by our sponsors and you, the listeners.
[01:15:01.456 --> 01:15:03.757]  And I basically have bypassed sponsors.
[01:15:03.757 --> 01:15:05.038]  I mean, I can get sponsors.
[01:15:05.038 --> 01:15:09.080]  It's just, it's really hard to get the highest quality consistently and have them stay with you.
[01:15:09.080 --> 01:15:09.720]  We've done that.
[01:15:09.720 --> 01:15:14.662]  We're about 80% self-funded with PrisonPlanet.tv nightly news memberships.
[01:15:14.662 --> 01:15:15.963]  One membership, $5.95.
[01:15:15.963 --> 01:15:18.104]  20 people can use each month.
[01:15:18.104 --> 01:15:19.184]  PrisonPlanet.tv.
[01:15:19.184 --> 01:15:20.365]  I want to thank all the subscribers.
[01:15:22.060 --> 01:15:29.701]  We have the best water filtration systems, the best non-GMO, high quality heirloom seeds, full spectrum, one of the biggest selections online.
[01:15:30.919 --> 01:15:39.022]  We have some of the best Patriot, anti-tyranny, pro-gun, pro-liberty, anti-socialist, Hillary for prison shirts, you name it.
[01:15:39.022 --> 01:15:47.905]  A limited selection of limited edition, made in America, Molon Labé belt buckles and long sleeves.
[01:15:47.905 --> 01:15:50.966]  Those are back in the camos that are always selling out.
[01:15:50.966 --> 01:15:53.467]  The women's Molon Labé with the gold leaf.
[01:15:53.467 --> 01:15:55.788]  It's one of the best looking, sexiest shirts out there.
[01:15:56.308 --> 01:15:58.110]  I mean, wait until you see your wife or girlfriend in one of these.
[01:15:58.110 --> 01:16:01.134]  You can see photos of Leanne doing a great job modeling that.
[01:16:01.134 --> 01:16:02.355]  They're on the site.
[01:16:02.355 --> 01:16:08.782]  InfoWarsStore.com or InfoWarsLife.com.
[01:16:08.782 --> 01:16:10.224]  Brain Force is the new special.
[01:16:10.224 --> 01:16:10.624]  25% off.
[01:16:14.348 --> 01:16:15.029]  25% off.
[01:16:15.029 --> 01:16:18.150]  We're going to run that for one week.
[01:16:18.150 --> 01:16:22.593]  The other specials will end today in an hour and 43 minutes from now.
[01:16:22.593 --> 01:16:25.835]  That's free shipping on storable food and 10% off.
[01:16:25.835 --> 01:16:33.179]  Free shipping on the water filters and 10% off at InfoWarsStore.com or again, InfoWarsLife.com, 888-253-3139.
[01:16:33.179 --> 01:16:34.500]  And finally, 25% off.
[01:16:43.075 --> 01:16:46.936]  Liver Shield and Oxy Powder together to do the liver cleanse that you've heard so much about.
[01:16:46.936 --> 01:16:54.239]  See the informational videos and more at Infowarslife.com or 888-253-3139.
[01:16:54.239 --> 01:16:58.981]  But if you want to experience, to have a shot, because I mean, we really haven't found anybody.
[01:16:59.361 --> 01:17:01.463]  Except maybe a few calls, a few emails.
[01:17:01.463 --> 01:17:08.890]  We're talking 99% of people have had dramatic explosive results with the liver shield and the six-day cleanse with the Oxy-Powder.
[01:17:08.890 --> 01:17:16.057]  But I would still consult your physician and read the five-star reviews for yourself and it is just ridiculous what happens.
[01:17:16.738 --> 01:17:17.318]  Ridiculous.
[01:17:17.318 --> 01:17:21.961]  I mean, Rob Dew in one week lost 12 pounds of crud that was in his intestines.
[01:17:21.961 --> 01:17:22.902]  He was in really good shape.
[01:17:22.902 --> 01:17:25.083]  Plays basketball, coaches basketball.
[01:17:25.083 --> 01:17:27.104]  Had a basketball scholarship in college.
[01:17:27.104 --> 01:17:28.245]  He's like 6'4".
[01:17:28.245 --> 01:17:29.265]  Great shape.
[01:17:29.265 --> 01:17:33.107]  And it just, even his little belly though, all he had, voop, gone.
[01:17:33.107 --> 01:17:33.968]  Now that's what happened with him.
[01:17:35.140 --> 01:17:39.004]  See what happens for you, regardless of your support in the broadcast, and we salute you.
[01:17:39.004 --> 01:17:41.426]  Also, spread the word about our local affiliates.
[01:17:41.426 --> 01:17:42.387]  That's vital.
[01:17:42.387 --> 01:17:44.268]  The enemy does not want this info out.
[01:17:44.268 --> 01:17:47.791]  We're in a race against the globalists to defeat them before they shut us shut down.
[01:17:47.791 --> 01:17:48.852]  Free speech.
[01:17:48.852 --> 01:17:58.621]  Become local sponsors of local AM and FM, or bare minimum, call the sponsors and thank them for sponsoring, and go shop with those local sponsors, because they're sponsoring this show.
[01:17:58.621 --> 01:17:59.042]  It's not
[01:18:00.010 --> 01:18:00.891]  Please do it.
[01:18:00.891 --> 01:18:02.692]  This is for you, too.
[01:18:02.692 --> 01:18:10.436]  We gotta get aggressive and vote with our dollars.
[01:18:10.436 --> 01:18:20.121]  Now, let's go ahead and get into some of the positive news.
[01:18:20.121 --> 01:18:22.343]  In Virginia and several other states,
[01:18:23.166 --> 01:18:28.510]  We'll cover this when we come back, because I've mixed my stacks up here.
[01:18:28.510 --> 01:18:37.777]  Three states, Bloomberg, anti-gunners for governor, lieutenant governor, and other top positions have gone down big time.
[01:18:39.326 --> 01:18:45.490]  Also, San Francisco sheriff known for sanctuary city defense loses election bid.
[01:18:45.490 --> 01:18:58.739]  Sheriff subject of national criticism after Mexican illegal immigrant allegedly shot, well he admits he shot her, he said it was an accident, and killed 32 year old woman on the San Francisco waterfront.
[01:18:58.739 --> 01:19:04.663]  Meanwhile, waves of Cubans, because they get so many more benefits than others, are crossing U.S.
[01:19:04.663 --> 01:19:05.584]  border from Mexico.
[01:19:07.785 --> 01:19:11.927]  Obama administration still refusing to enforce immigration laws.
[01:19:11.927 --> 01:19:14.508]  National media ignores black-on-white hate crime assault.
[01:19:14.508 --> 01:19:15.648]  I want to cover this when we come back.
[01:19:15.648 --> 01:19:17.829]  That's actually important.
[01:19:17.829 --> 01:19:18.909]  Oh, here it is.
[01:19:18.909 --> 01:19:25.312]  Bloomberg and his Virginia Senate candidate failed with gun control pitch.
[01:19:25.312 --> 01:19:30.434]  Billionaire contributor hoped winning Virginia election fights was a promise of more gun control.
[01:19:30.434 --> 01:19:32.174]  That didn't work for him.
[01:19:32.174 --> 01:19:36.316]  Weapons cache of fully autos hidden in Swedish immigrant center.
[01:19:38.252 --> 01:19:40.854]  Rioting illegals demand entry into Britain.
