[00:00:00.564 --> 00:00:01.257]  Say Alex Jones!
[00:42:21.715 --> 00:42:22.955]  A lot of you have done that.
[00:42:22.955 --> 00:42:23.656]  I commend you.
[00:42:23.656 --> 00:42:25.777]  That gets past the censors.
[00:42:25.777 --> 00:42:34.062]  I was sent over the last four days five or six examples by friends, family, and others where they're trying to send friends and family
[00:42:35.228 --> 00:42:43.651]  Clips of InfoWars are InfoWars links, and it's being blocked by the browsers that their internet companies are using.
[00:42:43.651 --> 00:42:45.972]  So this is next level censorship.
[00:42:45.972 --> 00:42:47.593]  And if it happens to us, it's going to happen to you.
[00:42:47.593 --> 00:42:49.434]  So we've got a word of mouth.
[00:42:49.434 --> 00:42:53.095]  Tell folks about InfoWars.com.
[00:42:53.095 --> 00:42:55.716]  You don't have to.
[00:42:55.716 --> 00:43:00.778]  Yeah, it's 400 million in sales, but their stock is down 40 plus billion.
[00:43:03.456 --> 00:43:06.959]  Their overall sales are down 25%.
[00:43:06.959 --> 00:43:10.562]  But what about boycotts being used?
[00:43:10.562 --> 00:43:12.063]  How about buycotts?
[00:43:12.063 --> 00:43:13.364]  That's the answer.
[00:43:13.364 --> 00:43:14.926]  We have to build the infrastructure.
[00:43:14.926 --> 00:43:16.687]  We can't just not support the enemy.
[00:43:16.687 --> 00:43:17.828]  We've got to build our own thing.
[00:43:17.828 --> 00:43:19.189]  That's where InfoWars comes in.
[00:43:19.189 --> 00:43:23.353]  Before I write the rest of this news, let me just say this.
[00:43:23.353 --> 00:43:27.657]  We have incredible game-changing products that, just like our information, changes the world, will change your life.
[00:43:28.499 --> 00:43:33.243]  You need our 3000mg CBD oil for your neurological systems, your joints, your bones, your whole body.
[00:43:33.243 --> 00:43:34.984]  It's incredible the best there is.
[00:43:34.984 --> 00:43:39.888]  30%, 33% off what this company sells it all over the country for.
[00:43:39.888 --> 00:43:40.928]  It's one of the top labels.
[00:43:40.928 --> 00:43:42.910]  We private labeled it under Rebel Zen.
[00:43:42.910 --> 00:43:45.632]  Doesn't get you high, doesn't make you tired, does the opposite.
[00:43:45.632 --> 00:43:46.733]  I'm on it right now.
[00:43:46.733 --> 00:43:52.037]  Clarifies, focuses you, makes you way more, I would say just confident.
[00:43:54.358 --> 00:44:03.763]  It's 33% off Rebels Inn, 3,000 milligram to take under the tongue and also an incredibly powerful salve for sore muscles, joints and bones.
[00:44:03.763 --> 00:44:05.424]  Get Vitamin Mineral Fusion.
[00:44:05.424 --> 00:44:13.749]  But let me tell you, I meant to give this to the crew, to text this to you because I went over and had a meeting with the sales guys this morning and saw what we have here.
[00:44:13.749 --> 00:44:15.610]  And here's what's selling out.
[00:44:15.610 --> 00:44:18.752]  So this stuff will not be on sale within a week because it's selling out.
[00:44:18.752 --> 00:44:20.233]  Some of this won't be on sale just a few days.
[00:44:21.320 --> 00:44:23.762]  All the storable food, air and water filtration.
[00:44:23.762 --> 00:44:26.084]  Highest quality air and water filtration.
[00:44:26.084 --> 00:44:33.169]  Already super low price, but 10% off is the best you're going to find anywhere on Alexa Pure and Alexa Pure Breeze.
[00:44:33.169 --> 00:44:34.671]  Both water and air filtration.
[00:44:34.671 --> 00:44:36.192]  Krill oil about to sell out.
[00:44:36.192 --> 00:44:37.773]  Bone broth about to sell out.
[00:44:37.773 --> 00:44:39.414]  Turbo Force about to sell out.
[00:44:39.414 --> 00:44:43.457]  And despite that, it's still all on sale at infowarestore.com.
[00:44:47.444 --> 00:44:49.385]  Or 888-253-3139.
[00:44:49.385 --> 00:44:53.607]  Also, we got a first shipment of Vitamin Mineral Fusion sold out for five months.
[00:44:53.607 --> 00:44:56.969]  All the vitamins, all the minerals, everything you need, key amino acids.
[00:44:56.969 --> 00:45:02.912]  So many problems are the fact that people are taking synthetic vitamins, or they're not getting enough vitamins and minerals in their food or amino acids.
[00:45:02.912 --> 00:45:08.875]  This is all the high quality ones that you absorb in one little scoop you put in a pitcher
[00:45:09.924 --> 00:45:10.244]  I'm good.
[00:45:29.457 --> 00:45:34.641]  Infowarsstore.com or 888-253-3139.
[00:45:34.641 --> 00:45:36.642]  We don't have George Soros, we have you.
[00:45:36.642 --> 00:45:38.444]  And we've proven we're fighting.
[00:45:38.444 --> 00:45:40.285]  We've proven we're having a huge effect.
[00:45:40.285 --> 00:45:41.686]  We're proving we're changing the world.
[00:45:41.686 --> 00:45:43.608]  So share the articles and videos.
[00:45:43.608 --> 00:45:45.829]  Tell folks about the forbidden URL.
[00:45:45.829 --> 00:45:46.830]  Get around the AI.
[00:45:46.830 --> 00:45:47.791]  Do it word of mouth.
[00:45:47.791 --> 00:45:48.932]  Overpower the system.
[00:45:48.932 --> 00:45:49.892]  Infowars.com.
[00:45:49.892 --> 00:45:52.054]  Ban.video.
[00:45:52.054 --> 00:45:52.775]  Take clips out.
[00:45:52.775 --> 00:45:53.415]  Keep sharing it.
[00:45:53.415 --> 00:45:54.116]  You know who you are.
[00:45:54.116 --> 00:45:54.776]  I commend you.
[00:45:54.776 --> 00:45:55.977]  You're the reason this is all happening.
[00:45:55.977 --> 00:45:57.098]  You're just as important as I am.
[00:45:58.834 --> 00:46:02.976]  Get a copy of The Great Reset and The War for the World, either signed or unsigned.
[00:46:02.976 --> 00:46:04.556]  The signed copies are almost gone.
[00:46:04.556 --> 00:46:05.577]  That's a fundraiser.
[00:46:05.577 --> 00:46:10.839]  But take action, whatever you do, and I thank you humbly for your support.
[00:46:10.839 --> 00:46:11.960]  Infowarsstore.com or 888-253-3139.
[00:46:11.960 --> 00:46:15.301]  But look at what President Trump is doing.
[00:46:21.118 --> 00:46:35.363]  Indicted three times, about to be indicted a fourth time in Georgia by George Soros funded and installed globalist puppets and they admit when they get Trump they're coming after everybody else.
[00:46:35.363 --> 00:46:41.785]  They're declaring that opposition to their new world order is illegal because it's unpopular and the people are turning against them.
[00:46:41.785 --> 00:46:46.367]  But this criminal permanent deep state is not giving up.
[00:46:47.637 --> 00:47:03.123]  They're illegal, they're illegitimate, they're a fraud, they're unpopular, they're stupid, they're corrupt, but they have the big banks and the mega corporations and the UN behind them, and they're still just bulldozering over us.
[00:47:03.123 --> 00:47:14.087]  Shame on people that didn't want to be censored, who came out against Trump even before he made the mistake and pushed the poison shot, which is still a terrible black mark on him.
[00:47:14.087 --> 00:47:16.688]  But I saw all these other talk show hosts that wouldn't support him,
[00:47:18.743 --> 00:47:21.046]  Seven, eight, nine years ago.
[00:47:21.046 --> 00:47:31.920]  And then who loved bashing Trump all day and talking about where he didn't do the right thing or where he messed up and brought a deep state person in who he's now exposing on after, Bill Barr, others.
[00:47:33.288 --> 00:47:41.335]  But they don't talk about Biden and Obama and Prince Charles, King Charles and the globalists and Klaus Schwab and their New World Order.
[00:47:41.335 --> 00:47:51.165]  They just holier-than-thou all day bash and attack Trump because it makes them feel good and because they get promoted on social media when they do it.
[00:47:51.165 --> 00:47:57.711]  When I knew Q was a fraud and was bad, for sure, about four or five years ago,
[00:47:59.090 --> 00:48:13.059]  Some of the folks that set up the original thing and it got taken away from them by MSM and Big Tech was when they told you everything was gonna be fine, go to sleep, you didn't have to do anything.
[00:48:13.059 --> 00:48:23.346]  But was also when they began to attack all the original people that were real and who were public and who'd been battling the whole globalist program.
[00:48:26.459 --> 00:48:27.880]  So they're going to try to infiltrate our movements.
[00:48:27.880 --> 00:48:28.620]  They're going to try to lead them.
[00:48:28.620 --> 00:48:29.961]  They're going to try to misdirect them.
[00:48:29.961 --> 00:48:32.082]  We can't let them do that.
[00:48:32.082 --> 00:48:35.163]  And we have to understand that there isn't some magic group supporting Trump.
[00:48:35.163 --> 00:48:37.945]  There isn't some secret army so you can feel good.
[00:48:37.945 --> 00:48:39.545]  Because I know this is scary.
[00:48:39.545 --> 00:48:41.386]  You have to admit we do have a secret army.
[00:48:41.386 --> 00:48:43.607]  It's called God and his angels.
[00:48:43.607 --> 00:48:44.688]  It's called Jesus Christ.
[00:48:44.688 --> 00:48:48.910]  He's sitting down here to give us the owner's manual and the cheat sheet.
[00:48:48.910 --> 00:48:53.412]  We have free will, but God gave us a cheat sheet to make the right decision.
[00:48:57.315 --> 00:48:58.656]  But you are God's army.
[00:48:58.656 --> 00:49:00.537]  It's you that's going to have to spread the word.
[00:49:00.537 --> 00:49:02.238]  It's you that's going to have to share the articles.
[00:49:02.238 --> 00:49:04.139]  It's you that's going to have to go speak at city council.
[00:49:04.139 --> 00:49:05.699]  It's you that's going to have to run for office.
[00:49:05.699 --> 00:49:09.921]  It's you that's going to have to donate and support institutions and organizations that tell the truth.
[00:49:09.921 --> 00:49:10.882]  It's you.
[00:49:10.882 --> 00:49:12.063]  It's you.
[00:49:12.063 --> 00:49:13.003]  Look in the mirror.
[00:49:13.003 --> 00:49:20.607]  Not some magic secret army.
[00:49:20.607 --> 00:49:22.228]  And I can tell you the good news, and I'll go to these clips.
[00:49:24.292 --> 00:49:34.260]  By the grace of God and your work keeping us on air, InfoWars is the most influential media organization being listened to by the entire resistance.
[00:49:34.260 --> 00:49:35.761]  Whether it's RFK Jr.
[00:49:35.761 --> 00:49:45.489]  or Tulsi Gabbard's on the supposed left, or there's Tucker Carlson and Joe Rogan and the Tate Brothers and all those other people.
[00:49:45.489 --> 00:49:46.770]  We are the recognized
[00:49:48.220 --> 00:49:50.041]  Experts on this.
[00:49:50.041 --> 00:49:52.101]  This broadcast, what we do, what I do.
[00:49:52.101 --> 00:49:57.343]  And I'm only bringing that information to let you know the importance of your support and the importance of what you've done.
[00:49:57.343 --> 00:49:58.744]  Because they tell me this.
[00:49:58.744 --> 00:49:59.724]  They call me.
[00:49:59.724 --> 00:50:02.625]  I have dinner with these people.
[00:50:02.625 --> 00:50:07.287]  Some of the names I've met with, and I'm not going to say I've met with them, because the enemy will use that against them.
[00:50:07.287 --> 00:50:09.788]  But you can put two and two together.
[00:50:09.788 --> 00:50:10.648]  People get it.
[00:50:10.648 --> 00:50:11.929]  They know they're under attack.
[00:50:11.929 --> 00:50:14.910]  They get there's no way out of this unless we recognize we're under attack.
[00:50:17.264 --> 00:50:20.507]  So we're doing our most important work ever now.
[00:50:20.507 --> 00:50:24.231]  Realize the critical juncture, the crossroads we're in now.
[00:50:24.231 --> 00:50:27.675]  So let's start with one of these clips.
[00:50:27.675 --> 00:50:29.177]  Play clip 9 and 10 back to back.
[00:50:29.177 --> 00:50:30.678]  Here's Trump knocking it out of the park.
[00:50:30.678 --> 00:50:32.560]  Think of the level of election meddling.
[00:50:32.560 --> 00:50:33.782]  It's beyond election meddling.
[00:50:33.782 --> 00:50:35.624]  They're indicting the leading candidate.
[00:50:36.661 --> 00:50:46.306]  In the primary and against Biden, they are trying to pin him down while they commit all these mass crimes in front of us and won't even go after Fauci who's producing bioweapons that can kill us all.
[00:50:46.306 --> 00:50:49.067]  They don't even care about their own self-preservation.
[00:50:49.067 --> 00:50:50.368]  Here it is.
[00:50:50.368 --> 00:50:52.029]  But in the other case, it's free speech.
[00:50:53.288 --> 00:50:57.313]  Means that we cannot ever criticize or look after election.
[00:50:57.313 --> 00:50:59.596]  Once that happens, you have tyranny.
[00:50:59.596 --> 00:51:00.838]  We can't look at elections.
[00:51:00.838 --> 00:51:02.339]  We cannot criticize.
[00:51:02.339 --> 00:51:07.226]  Well, Hillary Clinton criticized and all of these, Stacey Abrams still hasn't conceded.
[00:51:07.226 --> 00:51:08.988]  I mean, all of these people criticize.
[00:51:10.171 --> 00:51:14.314]  I mean, you would have half of Congress right now in jail.
[00:51:14.314 --> 00:51:16.136]  It's the craziest thing I've ever seen.
[00:51:16.136 --> 00:51:19.598]  He is criticizing the election!
[00:51:19.598 --> 00:51:24.262]  And let me tell you, there's a lot to criticize, which you'll find out over the coming weeks.
[00:51:24.262 --> 00:51:35.450]  Isn't it terrible that a political opponent, though, can haphazardly charge you with a fake crime in the middle of your campaign in order to interfere with your time, your money, your message?
[00:51:35.450 --> 00:51:40.014]  And there is nothing you can do, in theory, to stop this travesty of justice.
[00:51:40.094 --> 00:51:40.731]  Isn't that a shame?
[00:51:41.641 --> 00:51:59.094]  How can my corrupt political opponent, crooked Joe Biden, put me on trial during an election campaign that I'm winning by a lot, but forcing me nevertheless to spend time and money away from the campaign trail in order to fight bogus, made-up accusations and charges?
[00:51:59.094 --> 00:52:00.174]  That's what they're doing.
[00:52:00.174 --> 00:52:02.576]  I'm sorry, I won't be able to go to Iowa today.
[00:52:02.576 --> 00:52:10.282]  I won't be able to go to New Hampshire today because I'm sitting in a courtroom on bullshit because his Attorney General
[00:52:12.346 --> 00:52:12.926]  Charged me with something.
[00:52:12.926 --> 00:52:13.166]  Terribly.
[00:52:13.166 --> 00:52:13.366]  Bullshit!
[00:52:13.366 --> 00:52:14.287]  Bullshit!
[00:52:14.287 --> 00:52:14.467]  Bullshit!
[00:52:14.467 --> 00:52:14.667]  Bullshit!
[00:52:14.667 --> 00:52:14.867]  Bullshit!
[00:52:14.867 --> 00:52:15.107]  Bullshit!
[00:52:15.107 --> 00:52:16.528]  Bullshit!
[00:52:16.528 --> 00:52:16.748]  Bullshit!
[00:52:16.748 --> 00:52:16.948]  Bullshit!
[00:52:16.948 --> 00:52:17.128]  Bullshit!
[00:52:17.128 --> 00:52:17.388]  Bullshit!
[00:52:17.388 --> 00:52:17.988]  Bullshit!
[00:52:17.988 --> 00:52:18.208]  Bullshit!
[00:52:18.208 --> 00:52:18.448]  Bullshit!
[00:52:18.448 --> 00:52:18.808]  Bullshit!
[00:52:18.808 --> 00:52:19.529]  Bullshit!
[00:52:19.529 --> 00:52:19.709]  Bullshit!
[00:52:19.709 --> 00:52:19.889]  Bullshit!
[00:52:19.889 --> 00:52:20.249]  Bullshit!
[00:52:20.249 --> 00:52:20.969]  Bullshit!
[00:52:20.969 --> 00:52:21.169]  Bullshit!
[00:52:21.169 --> 00:52:21.389]  Bullshit!
[00:52:21.389 --> 00:52:21.709]  Bullshit!
[00:52:21.709 --> 00:52:22.390]  Bullshit!
[00:52:22.390 --> 00:52:22.570]  Bullshit!
[00:52:22.570 --> 00:52:22.790]  Bullshit!
[00:52:22.790 --> 00:52:23.090]  Bullshit!
[00:52:23.090 --> 00:52:23.790]  Bullshit!
[00:52:23.790 --> 00:52:23.970]  Bullshit!
[00:52:23.970 --> 00:52:24.210]  Bullshit!
[00:52:24.210 --> 00:52:24.510]  Bullshit!
[00:52:24.510 --> 00:52:25.171]  Bullshit!
[00:52:25.171 --> 00:52:25.351]  Bullshit!
[00:52:25.351 --> 00:52:25.551]  Bullshit!
[00:52:25.551 --> 00:52:25.851]  Bullshit!
[00:52:25.851 --> 00:52:26.511]  Bullshit!
[00:52:26.511 --> 00:52:26.691]  Bullshit!
[00:52:26.691 --> 00:52:26.891]  Bullshit!
[00:52:26.891 --> 00:52:27.171]  Bullshit!
[00:52:27.171 --> 00:52:27.892]  Bullshit!
[00:52:27.892 --> 00:52:28.072]  Bullshit!
[00:52:28.072 --> 00:52:28.252]  Bullshit!
[00:52:28.252 --> 00:52:28.572]  Bullshit!
[00:52:28.572 --> 00:52:29.212]  Bullshit!
[00:52:29.212 --> 00:52:29.392]  Bullshit!
[00:52:29.392 --> 00:52:29.572]  Bullshit!
[00:52:29.572 --> 00:52:29.972]  Bullshit!
[00:52:29.972 --> 00:52:30.553]  Bullshit!
[00:52:30.553 --> 00:52:30.733]  Bullshit!
[00:52:30.733 --> 00:52:30.913]  Bullshit!
[00:52:30.913 --> 00:52:31.953]  Bullshit!
[00:52:31.953 --> 00:52:32.173]  Bullshit!
[00:52:32.173 --> 00:52:33.514]  Bullshit!
[00:52:33.514 --> 00:52:33.754]  Bullshit!
[00:52:33.754 --> 00:52:34.014]  Bullshit!
[00:52:34.014 --> 00:52:34.234]  Bullshit!
[00:52:34.234 --> 00:52:34.534]  Bullshit!
[00:52:34.534 --> 00:52:35.994]  Bullshit!
[00:52:35.994 --> 00:52:36.275]  Bullshit!
[00:52:36.275 --> 00:52:36.515]  Bullshit!
[00:52:36.515 --> 00:52:36.695]  Bullshit!
[00:52:36.695 --> 00:52:36.995]  Bullshit!
[00:52:36.995 --> 00:52:37.255]  Bullshit!
[00:52:37.255 --> 00:52:37.475]  Bullshit!
[00:52:37.475 --> 00:52:37.655]  Bullshit!
[00:52:37.655 --> 00:52:38.035]  Bullshit!
[00:52:38.035 --> 00:52:38.235]  Bullshit!
[00:52:38.235 --> 00:52:38.655]  Bullshit!
[00:52:38.655 --> 00:52:38.896]  Bullshit!
[00:52:38.896 --> 00:52:39.176]  Bullshit!
[00:52:39.176 --> 00:52:39.476]  Bullshit!
[00:52:39.476 --> 00:52:39.796]  Bullshit
[00:52:40.936 --> 00:52:44.017]  The Democrats can flop men's penises in front of little kids' faces.
[00:52:44.017 --> 00:52:45.358]  We're not supposed to show it to you.
[00:52:45.358 --> 00:52:47.859]  Democrats can cuss all over broadcast TV, radio.
[00:52:47.859 --> 00:52:48.559]  They're fine.
[00:52:48.559 --> 00:52:50.840]  But if we do, we're bad.
[00:52:50.840 --> 00:52:54.381]  It's time to stop letting them live by double standards.
[00:52:54.381 --> 00:52:57.062]  We don't want to shake penises in children's faces.
[00:52:57.062 --> 00:52:57.742]  But you know what?
[00:52:57.742 --> 00:53:00.583]  If they do it, we're going to show it to you.
[00:53:00.583 --> 00:53:02.404]  Even if you don't want to look at it.
[00:53:02.404 --> 00:53:04.145]  And that'll end this crap real fast.
[00:53:06.946 --> 00:53:12.808]  If a couple little girls and boys with their skin burned off helped end the Vietnam War, what's it going to take for us to do?
[00:53:12.808 --> 00:53:15.049]  Stop hiding it.
[00:53:15.049 --> 00:53:18.710]  Because when we hide the reality of what's going on, we become accomplices to it.
[00:53:18.710 --> 00:53:22.191]  I'm still not going to have a big crash show, I'm not going to have a bunch of cussing on here.
[00:53:22.191 --> 00:53:23.472]  This is not some comedy program.
[00:53:23.472 --> 00:53:25.552]  This is deadly serious.
[00:53:25.552 --> 00:53:29.694]  And it is bullshit what's going on.
[00:53:29.694 --> 00:53:30.234]  It's crap.
[00:53:31.314 --> 00:53:33.195]  All right, I'm done talking about that.
[00:53:33.195 --> 00:53:34.915]  Let's go to a black gentleman.
[00:53:34.915 --> 00:53:39.857]  I'm seeing so many black folks all over Twitter, Facebook, you name it, saying the same thing.
[00:53:39.857 --> 00:53:43.159]  Man says, the more you go after Trump, the more we're going to support him.
[00:53:43.159 --> 00:53:45.440]  Here's a clip.
[00:53:45.440 --> 00:53:49.481]  The more you indict, the more we vote.
[00:53:49.481 --> 00:53:54.003]  The more you indict, the more money we send.
[00:53:54.003 --> 00:53:56.004]  We're going to vote for Donald Trump.
[00:53:56.004 --> 00:53:57.765]  You can drum up dossiers.
[00:53:57.765 --> 00:53:59.665]  You can drum up indictments.
[00:53:59.665 --> 00:54:00.486]  You can do all of that.
[00:54:01.397 --> 00:54:05.421]  The more you do it, the more we voting for Trump.
[00:54:05.421 --> 00:54:07.163]  So do what you want to.
[00:54:07.163 --> 00:54:08.765]  You know, throw us all in jail.
[00:54:08.765 --> 00:54:10.026]  Indict all of us.
[00:54:10.026 --> 00:54:12.409]  We're still voting for Donald Trump.
[00:54:12.409 --> 00:54:14.871]  And it has nothing to do with Donald Trump.
[00:54:14.871 --> 00:54:21.638]  It has everything to do with the job that he did when he was sitting in the seat.
[00:54:21.638 --> 00:54:22.880]  Our gas prices was low.
[00:54:24.232 --> 00:54:25.813]  Our economy was booming.
[00:54:25.813 --> 00:54:27.614]  The world was at peace.
[00:54:27.614 --> 00:54:29.716]  With nobody stealing.
[00:54:29.716 --> 00:54:30.656]  He didn't need to steal.
[00:54:30.656 --> 00:54:33.679]  The man's worth almost 9 billion dollars.
[00:54:33.679 --> 00:54:35.580]  Joe Biden needs to steal.
[00:54:35.580 --> 00:54:37.201]  He's a career politician.
[00:54:37.201 --> 00:54:41.124]  He done steal and gave his family 10 million dollars.
[00:54:41.124 --> 00:54:42.305]  Here, for his daughter.
[00:54:42.305 --> 00:54:43.645]  10 million dollars for Hunter.
[00:54:43.645 --> 00:54:46.367]  10 million dollars for his dead son.
[00:54:46.367 --> 00:54:46.988]  His wife.
[00:54:46.988 --> 00:54:49.510]  Everybody done stole money in his family.
[00:54:49.510 --> 00:54:50.010]  Everybody.
[00:54:51.425 --> 00:54:54.588]  For the last 60 years, this man has been stealing money.
[00:54:54.588 --> 00:54:56.669]  And you wondering why we voting for Trump?
[00:54:56.669 --> 00:54:58.651]  Because y'all drumming up stuff?
[00:54:58.651 --> 00:55:00.873]  Because you got the FBI in your back pocket?
[00:55:00.873 --> 00:55:03.455]  Because you got the CIA in your back pocket?
[00:55:03.455 --> 00:55:05.677]  It's not going to influence our votes.
[00:55:05.677 --> 00:55:08.540]  Now if you want to steal the election like you did the last one, go right ahead.
[00:55:08.540 --> 00:55:09.661]  We know you stole it.
[00:55:09.661 --> 00:55:18.128]  Ain't no way in the world this man having 60,000 people at a rally and this man's got 800 people at his rally and he wins the election.
[00:55:18.951 --> 00:55:22.193]  Man, you know, Arizona holding out their results.
[00:55:22.193 --> 00:55:28.457]  All these states holding out their results because they taking buy-offs too, man.
[00:55:28.457 --> 00:55:29.658]  This man has been paying off.
[00:55:29.658 --> 00:55:31.339]  He paid off Ukraine.
[00:55:31.339 --> 00:55:34.060]  He paid off Russia for the dossier.
[00:55:34.060 --> 00:55:38.023]  This man's paid off everybody, man.
[00:55:38.023 --> 00:55:43.426]  And Senator McCarthy or whatever you are, Representative McCarthy, you're worthless, dude.
[00:55:43.426 --> 00:55:44.607]  You're worthless.
[00:55:44.607 --> 00:55:46.068]  Go handle your debt ceiling, man.
[00:55:48.012 --> 00:55:50.094]  You are worthless.
[00:55:50.094 --> 00:55:51.915]  You do us no good.
[00:55:51.915 --> 00:55:54.277]  None.
[00:55:54.277 --> 00:55:55.718]  Okay?
[00:55:55.718 --> 00:56:04.524]  This man has been indicted four times since you've been in office and you haven't indicted these stealing people, not once.
[00:56:04.524 --> 00:56:07.507]  Biden's stealing everything.
[00:56:07.507 --> 00:56:09.668]  Stealing money, stealing access.
[00:56:09.668 --> 00:56:14.632]  Okay, shut down our gas pipeline and our gas went out the roof.
[00:56:16.786 --> 00:56:18.967]  You're darn right we still voting for Trump.
[00:56:18.967 --> 00:56:21.147]  It ain't got nothing to do with Donald Trump.
[00:56:21.147 --> 00:56:23.748]  It's got everything to do with Donald Trump's policy.
[00:56:23.748 --> 00:56:27.869]  It's got everything to do with Donald Trump's past experience.
[00:56:27.869 --> 00:56:28.989]  In the office.
[00:56:28.989 --> 00:56:30.630]  In the seat.
[00:56:30.630 --> 00:56:34.411]  We see the difference.
[00:56:34.411 --> 00:56:37.392]  You think we need to have indictment?
[00:56:37.392 --> 00:56:42.173]  We don't care about no dang indictments about something he did before he was president.
[00:56:42.173 --> 00:56:43.554]  Man worked nine billion dollars.
[00:56:43.554 --> 00:56:44.774]  I'm sure he did a lot of stuff.
[00:56:46.778 --> 00:56:47.278]  Okay?
[00:56:47.278 --> 00:56:50.700]  Before he was president.
[00:56:50.700 --> 00:56:54.121]  Just because you hate him, don't mean that we hate him.
[00:56:54.121 --> 00:56:55.141]  And I don't even know the man.
[00:56:55.141 --> 00:56:57.782]  I don't care to know him.
[00:56:57.782 --> 00:57:02.104]  Just put him back in office because he did the best job in there.
[00:57:02.104 --> 00:57:03.444]  Not Biden.
[00:57:03.444 --> 00:57:04.065]  Not Obama.
[00:57:04.065 --> 00:57:07.266]  I don't even want to talk about that dude.
[00:57:07.266 --> 00:57:08.646]  Did nothing.
[00:57:08.646 --> 00:57:09.687]  Nothing for eight years.
[00:57:10.658 --> 00:57:11.678]  Nothing!
[00:57:11.678 --> 00:57:13.419]  But, I'm sorry, you did.
[00:57:13.419 --> 00:57:15.820]  Evidently, you was blackmailing Ukraine.
[00:57:15.820 --> 00:57:18.241]  You and Joe Biden was blackmailing Ukraine.
[00:57:18.241 --> 00:57:20.882]  Cuz you the big guy!
[00:57:20.882 --> 00:57:23.483]  Y'all ain't gonna ask him no questions?
[00:57:23.483 --> 00:57:27.024]  News reporters scared because they Rhino?
[00:57:27.024 --> 00:57:28.585]  Fox scared cuz they Rhino?
[00:57:29.349 --> 00:57:32.350]  They're scared because they're bought and paid for and the people see right through it.
[00:57:32.350 --> 00:57:33.490]  We're in an incredible time.
[00:57:33.490 --> 00:57:36.190]  Hour number two coming up right now.
[00:57:36.190 --> 00:57:36.850]  The phone's up.
[00:57:36.850 --> 00:57:40.911]  I got so much news, so many topics to cover, so many video clips.
[00:57:40.911 --> 00:57:42.471]  I'm so blessed to be here.
[00:57:42.471 --> 00:57:43.992]  Thank you all for keeping us on air.
[00:57:43.992 --> 00:57:44.652]  Thanks to the great crew.
[00:57:44.652 --> 00:57:45.532]  We'll be right back.
[00:57:45.532 --> 00:57:46.592]  Now spread the word right now.
[00:57:46.592 --> 00:57:55.434]  Tell us about the products, how we support you, how we support all of ourselves and the big event coming up.
[00:57:56.539 --> 00:58:05.645]  Well, yeah, the first one, you obviously can go to MyPillow.com, use that promo code ALEX, and you can get all these great discounts on all of our products.
[00:58:05.645 --> 00:58:11.469]  And just by visiting this site, you're going to get a $20 free gift emailed to you immediately.
[00:58:11.469 --> 00:58:19.474]  And there's the biggest special we have right now, the 20-year anniversary MyPillow for 1998 for the queen size, normally $69.98.
[00:58:19.474 --> 00:58:24.317]  We're celebrating our anniversary with what my employees love to invest.
[00:58:24.677 --> 00:58:27.119]  Producing and making the MyPillow.
[00:58:27.119 --> 00:58:36.646]  And the model of businessmen and women with can-do know-how using the money for Americana freedom to fight the globalists is what they fear.
[00:58:36.646 --> 00:58:38.167]  That's what the debanking is about.
[00:58:38.167 --> 00:58:39.989]  That's what the financial attacks are about.
[00:58:39.989 --> 00:58:47.595]  That's why we've got to rush to support MyPillow.com and InfoWars.com, plus their great products at both places, because we are the tip of the spear.
[00:58:49.978 --> 00:58:52.862]  InfoWars is a one-of-a-kind operation.
[00:58:52.862 --> 00:58:56.346]  And so, please, go to InfoWars store and just make a donation.
[00:58:56.346 --> 00:58:57.968]  And you can make it one time or recurring.
[00:58:57.968 --> 00:59:01.392]  You have a little profile there, cancelling time.
[00:59:01.392 --> 00:59:05.758]  Every 15 days, every month, every 3 months, every 6 months, up to 9 months.
[00:59:06.733 --> 00:59:10.555]  You can go in and every month or every week, whenever you want, you program it.
[00:59:10.555 --> 00:59:13.497]  You just click it, and then you decide when you want to make a donation.
[00:59:13.497 --> 00:59:14.598]  So please do that as well.
[00:59:14.598 --> 00:59:19.841]  That way we get 95% of it after credit card fees, instead of making 20, 30, 40% like we do on the products.
[00:59:19.841 --> 00:59:21.442]  But these really are amazing products.
[00:59:21.442 --> 00:59:23.163]  The big July 4th sale is going on right now.
[00:59:23.163 --> 00:59:26.145]  This is such a critical platform in the fight against the New World Order.
[00:59:26.145 --> 00:59:28.126]  The enemies out in the open were vindicated.
[00:59:28.126 --> 00:59:29.527]  People are listening more than ever.
[00:59:29.527 --> 00:59:31.648]  But in this major recession going into depression,
[00:59:32.188 --> 00:59:34.609]  And with supply chain breakdowns, I know it's hard.
[00:59:34.609 --> 00:59:35.550]  I know times are tough.
[00:59:35.550 --> 00:59:37.170]  So, thank you for your support.
[00:59:37.170 --> 00:59:40.812]  But whatever you do, pray for the broadcast and share the articles and the videos.
[00:59:40.812 --> 00:59:42.092]  That you can do for free.
[00:59:42.092 --> 00:59:44.273]  And that's just as important as keeping us on air.
[00:59:44.273 --> 00:59:47.515]  So however God leads you in your heart to support us, please support us now.
[00:59:47.515 --> 00:59:49.195]  And I thank you from the bottom of my heart.
[00:59:49.195 --> 00:59:53.157]  God bless you.
[00:59:53.157 --> 00:59:57.119]  If you are receiving this transmission, you are the resistance.
[01:00:01.171 --> 01:00:11.236]  I respect China's achievements which are tremendous over the last over 40 years.
