[00:00:00.000 --> 00:00:21.640]  A
[00:52:06.130 --> 00:52:10.130]  and we have to take these people on with everything we've got.
[00:52:10.130 --> 00:52:15.130]  God is watching, and evil people like Bill Gates must be stood against.
[00:52:15.130 --> 00:52:20.130]  We must resist them with all our heart, all our soul, all our will, all our spirit,
[00:52:20.130 --> 00:52:22.130]  everything we've got.
[00:52:22.130 --> 00:52:24.130]  And I know that's hard.
[00:52:24.130 --> 00:52:29.130]  I know it's hard to admit all this and to face this, but it's here.
[00:52:29.130 --> 00:52:31.130]  And it's going to get a lot worse if we don't.
[00:52:31.130 --> 00:52:36.130]  So from the bottom of my heart, please go to InfoWarsTore.com.
[00:52:36.130 --> 00:52:39.130]  Donate $5, $10, whatever you can give a month.
[00:52:39.130 --> 00:52:41.130]  Do the recurring donations so you don't forget.
[00:52:41.130 --> 00:52:43.130]  Cancel any time for free.
[00:52:43.130 --> 00:52:45.130]  Sign up for products you need.
[00:52:45.130 --> 00:52:48.130]  You're going to get it every month, every two, every six, up to nine months,
[00:52:48.130 --> 00:52:51.130]  so it ships to you whenever you want it.
[00:52:51.130 --> 00:52:54.130]  So you make that decision to support today,
[00:52:54.130 --> 00:52:58.130]  and then you go make that decision with a monthly donation.
[00:52:58.130 --> 00:52:59.130]  Work with me every two months.
[00:52:59.130 --> 00:53:03.130]  You just set it to whatever you want, whether it's $5 or $100 or $10,
[00:53:03.130 --> 00:53:06.130]  and then we can take that money and fight.
[00:53:06.130 --> 00:53:07.130]  I want to hire more reporters.
[00:53:07.130 --> 00:53:09.130]  I want to be on the road.
[00:53:09.130 --> 00:53:13.130]  I want to not have them pin me down, spending my time trying to get money
[00:53:13.130 --> 00:53:14.130]  just to hold them off.
[00:53:14.130 --> 00:53:16.130]  I told you we could keep holding them off.
[00:53:16.130 --> 00:53:18.130]  God's in charge.
[00:53:18.130 --> 00:53:21.130]  But God has to work through you.
[00:53:21.130 --> 00:53:24.130]  So, you know, the crew hasn't gotten raises in years,
[00:53:25.130 --> 00:53:29.130]  and we haven't done bonuses in over a year, and they work hard,
[00:53:29.130 --> 00:53:31.130]  and a lot of them aren't paid that much.
[00:53:31.130 --> 00:53:33.130]  So I'd really like to be strong.
[00:53:33.130 --> 00:53:37.130]  I'd like to go into this battle, the most intense part of it we've hit so far,
[00:53:37.130 --> 00:53:40.130]  ready, focused, and it's the funds that do it,
[00:53:40.130 --> 00:53:43.130]  plus we've got products you really need.
[00:53:43.130 --> 00:53:47.130]  Three different types of organic, fluoride-free toothpaste that are amazing.
[00:53:47.130 --> 00:53:49.130]  Super Female Vitality, Super Male Sold Out.
[00:53:49.130 --> 00:53:51.130]  Great for your obedience, stamina, energy.
[00:53:51.130 --> 00:53:52.130]  It's the pink label.
[00:53:52.130 --> 00:53:53.130]  It's the same for the males.
[00:53:53.130 --> 00:53:55.130]  Just we're out of Super Male.
[00:53:55.130 --> 00:53:57.130]  It's 60% off still.
[00:53:57.130 --> 00:53:58.130]  We've got the Nitric Boost.
[00:53:58.130 --> 00:54:00.130]  It flushes out your cardiovascular system.
[00:54:00.130 --> 00:54:05.130]  It's so important right now, obviously, but it has great other benefits to it
[00:54:05.130 --> 00:54:07.130]  for libido and things like that.
[00:54:07.130 --> 00:54:11.130]  Infowarsstore.com, we have the 3,000-milligram internal,
[00:54:11.130 --> 00:54:14.130]  and then we have the 1,000-milligram cream.
[00:54:14.130 --> 00:54:16.130]  Highest quality CBD you're going to find anywhere.
[00:54:16.130 --> 00:54:18.130]  33% off.
[00:54:18.130 --> 00:54:21.130]  We private label it.
[00:54:22.130 --> 00:54:28.130]  Infowarsstore.com, and that's where you get great products
[00:54:28.130 --> 00:54:33.130]  and know that you are keeping us in attack formation, pressing the attack,
[00:54:33.130 --> 00:54:38.130]  not giving up because physically and financially we are shot up.
[00:54:38.130 --> 00:54:43.130]  But we're having our most devastating effects ever,
[00:54:43.130 --> 00:54:46.130]  and I intend to just, you can tell I'm getting more hardcore
[00:54:46.130 --> 00:54:50.130]  because the enemy's about to move against everybody really seriously again.
[00:54:50.130 --> 00:54:52.130]  They're probably going to have a stock market crash.
[00:54:52.130 --> 00:54:53.130]  They're going to bring in a new global currency.
[00:54:53.130 --> 00:54:55.130]  It's going to get rough as hell, folks.
[00:54:55.130 --> 00:54:58.130]  They're coming after our children, open pedophilia, open devil worship.
[00:54:58.130 --> 00:55:01.130]  I mean, it's going to get so insane, ladies and gentlemen,
[00:55:01.130 --> 00:55:04.130]  and I don't know if we're going to be on air another month, another five years.
[00:55:04.130 --> 00:55:05.130]  It's all part of God's plan.
[00:55:05.130 --> 00:55:07.130]  The Lord works mysterious ways.
[00:55:07.130 --> 00:55:09.130]  But I know this.
[00:55:09.130 --> 00:55:13.130]  The effects we're having now are unprecedented,
[00:55:13.130 --> 00:55:16.130]  and people out there, prominent smart people,
[00:55:16.130 --> 00:55:20.130]  are understanding the angle and worldview we look at things,
[00:55:20.130 --> 00:55:22.130]  and it's like a decoding is happening,
[00:55:22.130 --> 00:55:25.130]  and they won't need me to tell them over the horizon soon.
[00:55:25.130 --> 00:55:30.130]  In fact, it's already happening, and soon my mission will be –
[00:55:30.130 --> 00:55:31.130]  I mean, I still have important work to do,
[00:55:31.130 --> 00:55:33.130]  but the primary mission has already been completed,
[00:55:33.130 --> 00:55:37.130]  detonating the main resistance movement that you did, all of us together,
[00:55:37.130 --> 00:55:40.130]  and then now getting people ready for how horrible it's going to be
[00:55:40.130 --> 00:55:45.130]  and how terrible it's going to be as they engage in administrative warfare against us,
[00:55:45.130 --> 00:55:48.130]  chemically, biologically, radiologically, financially,
[00:55:48.130 --> 00:55:53.130]  and as they just absolutely come down on humanity with both feet.
[00:55:53.130 --> 00:56:01.130]  So our most important work is here, and it's empowering.
[00:56:01.130 --> 00:56:02.130]  It's insane.
[00:56:02.130 --> 00:56:03.130]  It's dangerous.
[00:56:03.130 --> 00:56:04.130]  It's wild.
[00:56:04.130 --> 00:56:05.130]  It's real.
[00:56:05.130 --> 00:56:09.130]  Truth is stranger than fiction, and we are living this together right now.
[00:56:09.130 --> 00:56:12.130]  So I love you, and I appreciate you,
[00:56:12.130 --> 00:56:16.130]  but you should not take anything for granted that the electricity will be on
[00:56:16.130 --> 00:56:18.130]  in a month or a year or a week,
[00:56:18.130 --> 00:56:21.130]  or that nuclear missiles might not rain down tomorrow,
[00:56:21.130 --> 00:56:24.130]  or that they're going to release some new horrible plague next month.
[00:56:24.130 --> 00:56:29.130]  I mean, this is – we're up against really evil people, okay,
[00:56:29.130 --> 00:56:31.130]  that want total control of the future,
[00:56:31.130 --> 00:56:33.130]  that want to use us as guinea pigs, as mad scientists,
[00:56:33.130 --> 00:56:37.130]  for why we're such a technology, and it's on.
[00:56:37.130 --> 00:56:42.130]  So just get ready, get focused, get prepared,
[00:56:42.130 --> 00:56:48.130]  and then support the outlets and operations that are fearlessly taking on the globalists.
[00:56:48.130 --> 00:56:51.130]  Fabulous work going on from Tucker Carlson.
[00:56:51.130 --> 00:56:57.130]  Joe Rogan is on fire, completely awake now, and he'll fight them in his own way,
[00:56:57.130 --> 00:57:00.130]  and I just – I see it from Russell Brand, you name it.
[00:57:00.130 --> 00:57:05.130]  I mean, it's just from Tulsi Gabbard to RFK Jr. to you, all of you out there.
[00:57:05.130 --> 00:57:09.130]  The whole world is becoming Alex Jones, because it's not Alex Jones they're becoming.
[00:57:09.130 --> 00:57:15.130]  They're now taking the blinders off, or use the they-live analogy, putting the sunglasses on.
[00:57:15.130 --> 00:57:19.130]  And it's rough sometimes to get people to put the glasses on,
[00:57:19.130 --> 00:57:23.130]  start – put these glasses on or start eating concrete.
[00:57:23.130 --> 00:57:26.130]  And then all you've got to do is put the things on, man, and it's whoa.
[00:57:26.130 --> 00:57:29.130]  Just admit you're under attack, admit these are psychotics,
[00:57:29.130 --> 00:57:32.130]  and admit that bowing down to them will get us all killed, all right?
[00:57:32.130 --> 00:57:35.130]  Hour number two, tons of news, so much more, big guest.
[00:57:35.130 --> 00:57:40.130]  It's all coming up, InfoWars.com, but please go to InfoWarsStore.com right now
[00:57:40.130 --> 00:57:46.130]  and sign up for auto-ship, sign up for auto-donate so we can move forward stronger than ever.
[00:57:46.130 --> 00:57:47.130]  Thank you so much.
[00:57:49.130 --> 00:57:53.130]  Coffee has not been available at InfoWarsStore.com for two years
[00:57:53.130 --> 00:57:56.130]  because the price went up too high and the quality was starting to go down.
[00:57:56.130 --> 00:58:00.130]  I turned out so many other producers that wanted to partner with us,
[00:58:00.130 --> 00:58:03.130]  but when the folks at Minuteman came to me a year ago and I began to try their coffees,
[00:58:03.130 --> 00:58:04.130]  I was blown away.
[00:58:04.130 --> 00:58:10.130]  We finally have three great coffees that are the best they have to offer available to you right now.
[00:58:10.130 --> 00:58:12.130]  This is the best coffee I've ever tasted.
[00:58:12.130 --> 00:58:16.130]  It smells amazing, and it's some of the strongest coffee I've ever drank.
[00:58:16.130 --> 00:58:20.130]  Ladies and gentlemen, these three single-source Colombian coffees
[00:58:20.130 --> 00:58:23.130]  are now available at InfoWarsStore.com exclusively.
[00:58:23.130 --> 00:58:26.130]  Escape the Prison Planet Light Roast.
[00:58:26.130 --> 00:58:29.130]  Tastes great. It's the strong one, really strong.
[00:58:29.130 --> 00:58:31.130]  But these are all close second and thirds.
[00:58:31.130 --> 00:58:33.130]  Medium Roast, Wake of America.
[00:58:33.130 --> 00:58:35.130]  Woo! That's my go-to.
[00:58:35.130 --> 00:58:40.130]  Dark Roast, tip of the spear, tastes the best and is amazing and is still very, very strong.
[00:58:40.130 --> 00:58:41.130]  Gives you that pep.
[00:58:41.130 --> 00:58:45.130]  They're all three available at InfoWarsStore.com, and they fund our operation,
[00:58:45.130 --> 00:58:48.130]  and each order gets a Pocket Constitution Citizen Rulebook.
[00:58:49.130 --> 00:58:54.130]  With all the craziness in the world, the collapsing borders, the war with Russia,
[00:58:54.130 --> 00:58:58.130]  the insanity, the currency devaluations, the economy going crazy,
[00:58:58.130 --> 00:59:02.130]  you are crazy, in my view, if you don't get high-quality storable food
[00:59:02.130 --> 00:59:04.130]  and water filtration and self-defense.
[00:59:04.130 --> 00:59:06.130]  Now, we're not selling guns and ammo.
[00:59:06.130 --> 00:59:09.130]  That's for you to go out and get for yourself and learn how to use if you haven't.
[00:59:09.130 --> 00:59:11.130]  And I'm preaching the choir on that.
[00:59:11.130 --> 00:59:15.130]  But a lot of people got plenty of guns, but they don't have enough storable food or water filtration.
[00:59:15.130 --> 00:59:19.130]  This is something you need now, and we've got it in the food department
[00:59:19.130 --> 00:59:22.130]  and in the high-quality water filtration department.
[00:59:22.130 --> 00:59:25.130]  The highest quality food, the best water filtration at the lowest prices
[00:59:25.130 --> 00:59:27.130]  you're going to find and still get quality.
[00:59:27.130 --> 00:59:33.130]  InfoWarsStore.com is running a special right now for 10% off on all storable food
[00:59:33.130 --> 00:59:35.130]  and on water and air filtration.
[00:59:35.130 --> 00:59:38.130]  Ladies and gentlemen, you cannot beat this deal.
[00:59:38.130 --> 00:59:39.130]  Our prices are already the lowest.
[00:59:39.130 --> 00:59:42.130]  At 10% off, it's an insane deal for a limited time.
[00:59:42.130 --> 00:59:46.130]  Go to InfoWarsStore.com and get prepared while you still can.
[00:59:47.130 --> 00:59:51.130]  If you are receiving this transmission, you are the resistance.
[01:00:02.130 --> 01:00:06.130]  As most of us have feared, the lockdowns are coming back.
[01:00:06.130 --> 01:00:10.130]  Federal officials from the TSA and from the U.S. Border Patrol
[01:00:11.130 --> 01:00:15.130]  have contacted InfoWars and revealed that the Biden administration
[01:00:15.130 --> 01:00:19.130]  is now setting the stage for full COVID lockdowns.
[01:00:19.130 --> 01:00:23.130]  The whistleblowers told us that they will begin in mid-September
[01:00:23.130 --> 01:00:28.130]  with incremental restrictions such as masking TSA employees
[01:00:28.130 --> 01:00:31.130]  and then masking other government employees
[01:00:31.130 --> 01:00:36.130]  and then masking non-government workers and then masking everyone.
[01:00:36.130 --> 01:00:40.130]  Fires and floods are everywhere and our billionaire ruling class
[01:00:40.130 --> 01:00:45.130]  are now being very open about their plans to lock us all down again
[01:00:45.130 --> 01:00:47.130]  in order to save humanity.
[01:00:47.130 --> 01:00:49.130]  One thing that maybe surprised you most?
[01:00:49.130 --> 01:00:51.130]  Something you learned the last year?
[01:00:51.130 --> 01:00:54.130]  Well, I learned that people don't know as much as they think they know
[01:00:54.130 --> 01:00:59.130]  but the biggest thing you learn is that the pandemic was bound to occur
[01:00:59.130 --> 01:01:03.130]  and this isn't the worst one that's imaginable at all.
[01:01:04.130 --> 01:01:08.130]  Society has a terrible time preparing for things that are remote,
[01:01:08.130 --> 01:01:11.130]  that are possible and will occur sooner or later.
[01:01:11.130 --> 01:01:13.130]  There'll be another pandemic, we know that.
[01:01:13.130 --> 01:01:19.130]  We know there's a nuclear, chemical, biological and now cyber threat
[01:01:19.130 --> 01:01:25.130]  and each one of those has terrible possibilities
[01:01:25.130 --> 01:01:28.130]  and we do some things about it
[01:01:29.130 --> 01:01:36.130]  but it's just not something that society seems particularly capable
[01:01:36.130 --> 01:01:38.130]  when fully coming to grips with.
[01:01:38.130 --> 01:01:43.130]  The cyber threat, you know, we've just started
[01:01:43.130 --> 01:01:48.130]  and look at the damage that's already been done.
[01:01:48.130 --> 01:01:50.130]  The mask mandates are coming back.
[01:01:50.130 --> 01:01:52.130]  The lockdowns are returning.
[01:01:53.130 --> 01:01:58.130]  Will you comply or will you stand together against this decrepit old tyranny
[01:01:58.130 --> 01:02:00.130]  that seeks to rule over us all?
[01:02:00.130 --> 01:02:03.130]  Now is the time to make that decision.
[01:02:03.130 --> 01:02:06.130]  Reporting for InfoWars, this is Greg Reese.
[01:02:23.130 --> 01:02:29.130]  Well, way out west, southwest, down in Texas,
[01:02:29.130 --> 01:02:32.130]  there's this fella, fella I want to tell you about,
[01:02:32.130 --> 01:02:35.130]  fella by the name of Alex Jones.
[01:02:35.130 --> 01:02:39.130]  At least that was the handle his freedom-loving parents gave him
[01:02:39.130 --> 01:02:42.130]  and he made pretty good use of it himself.
[01:02:42.130 --> 01:02:46.130]  This Alex Jones, he's a straight shooter.
[01:02:46.130 --> 01:02:48.130]  He calls himself an info warrior,
[01:02:49.130 --> 01:02:51.130]  a globalist killer.
[01:02:51.130 --> 01:02:54.130]  He's a truth bomber, dropping nukes of knowledge
[01:02:54.130 --> 01:02:57.130]  across radio waves, television sets,
[01:02:57.130 --> 01:03:00.130]  and all over the world wide web.
[01:03:00.130 --> 01:03:04.130]  Many have tried to stop him, shut him up, or silence him,
[01:03:04.130 --> 01:03:06.130]  but it never quite worked out.
[01:03:06.130 --> 01:03:08.130]  Not for a man like him.
[01:03:08.130 --> 01:03:11.130]  He's a real Paul Revere of the 21st century,
[01:03:11.130 --> 01:03:12.130]  a truth teller.
[01:03:12.130 --> 01:03:15.130]  Hell, even more honest than old honest Abe Lincoln.
[01:03:15.130 --> 01:03:17.130]  That's Alex Jones.
[01:03:17.130 --> 01:03:21.130]  There's a lot about the man that didn't make a whole lot of sense to me.
[01:03:21.130 --> 01:03:24.130]  Not until I tuned into InfoWars, that is.
[01:03:24.130 --> 01:03:27.130]  Then things started to become clear.
[01:03:27.130 --> 01:03:30.130]  The tyranny encircling the globe
[01:03:30.130 --> 01:03:33.130]  and every freedom-loving patriot on it.
[01:03:33.130 --> 01:03:36.130]  Inch by inch, mile by mile,
[01:03:36.130 --> 01:03:39.130]  power-hungry politicians and money-hungry whores
[01:03:39.130 --> 01:03:42.130]  were swallowing the whole damn thing whole.
[01:03:42.130 --> 01:03:44.130]  The whole damn thing whole.
[01:03:44.130 --> 01:03:46.130]  A real prison planet.
[01:03:46.130 --> 01:03:49.130]  Not even God was allowed to remain untouched
[01:03:49.130 --> 01:03:52.130]  by these Satan-serving degenerates.
[01:03:52.130 --> 01:03:54.130]  Not God, or his son.
[01:03:54.130 --> 01:03:58.130]  Until Alex Jones had something to say about it, that is.
[01:03:58.130 --> 01:04:01.130]  Now this story that's about to unfold,
[01:04:01.130 --> 01:04:03.130]  it started back in the late 90s,
[01:04:03.130 --> 01:04:06.130]  just about the time the Twin Towers collapsed.
[01:04:06.130 --> 01:04:09.130]  Like two tall stacks of pancakes
[01:04:09.130 --> 01:04:12.130]  with hot boiling syrup pouring on down,
[01:04:12.130 --> 01:04:15.130]  bubbling up from the inside out.
[01:04:15.130 --> 01:04:19.130]  I only mention it because, well, sometimes there's a man.
[01:04:19.130 --> 01:04:22.130]  I won't say hero, because what's a hero?
[01:04:22.130 --> 01:04:25.130]  But sometimes there's a man.
[01:04:25.130 --> 01:04:27.130]  And I'm talking about Alex Jones here.
[01:04:27.130 --> 01:04:29.130]  Sometimes there's a man.
[01:04:29.130 --> 01:04:32.130]  Well, he's the man for his time and place.
[01:04:32.130 --> 01:04:34.130]  He fits right in there.
[01:04:34.130 --> 01:04:37.130]  And that's Alex Jones.
[01:04:37.130 --> 01:04:40.130]  Live from the Central Texas Command Center,
[01:04:40.130 --> 01:04:42.130]  deep in the heart of Texas,
[01:04:42.130 --> 01:04:44.130]  it's Alex Jones.
[01:04:50.130 --> 01:04:53.130]  All right, we're going to break.
[01:04:53.130 --> 01:04:55.130]  Then come back.
[01:04:55.130 --> 01:04:57.130]  It's a nice thing the crew made.
[01:05:00.130 --> 01:05:03.130]  A lot of listeners have complained in the last two years
[01:05:03.130 --> 01:05:06.130]  that our amazing, high-quality coffee has not been available.
[01:05:06.130 --> 01:05:09.130]  And that's because the prices went up too high for the raw beans
[01:05:09.130 --> 01:05:11.130]  and the quality had gone down some.
[01:05:11.130 --> 01:05:14.130]  I turned down so many companies that wanted to work with us.
[01:05:14.130 --> 01:05:17.130]  But now we have brought back the coffee,
[01:05:17.130 --> 01:05:20.130]  and it's even better from a national supplier
[01:05:20.130 --> 01:05:23.130]  that's veteran-owned and veteran-operated.
[01:05:23.130 --> 01:05:26.130]  It's powered by the company Minuteman Coffee.
[01:05:26.130 --> 01:05:29.130]  Ladies and gentlemen, this is the best-tasting,
[01:05:29.130 --> 01:05:35.130]  best-smelling, strongest coffee that I have ever drank.
[01:05:35.130 --> 01:05:37.130]  It is game-changing.
[01:05:37.130 --> 01:05:39.130]  All you got to do is buy a bag of it and try it.
[01:05:39.130 --> 01:05:42.130]  I know you're going to be hooked, which will then fund your Operation A360 win.
[01:05:42.130 --> 01:05:46.130]  Go to infowarstore.com right now for Escape the Prison Planet light roast.
[01:05:46.130 --> 01:05:48.130]  That's the strongest.
[01:05:48.130 --> 01:05:50.130]  The amazing medium roast, Wake Up America.
[01:05:50.130 --> 01:05:54.130]  And finally, the best-tasting dark roast, Tip of the Spear,
[01:05:54.130 --> 01:05:58.130]  now exclusively available at infowarstore.com.
[01:05:58.130 --> 01:06:00.130]  Get your coffee now.
[01:06:01.130 --> 01:06:04.130]  You're listening to The Alex Jones Show.
[01:06:05.130 --> 01:06:32.130]  ♪♪♪
[01:06:32.130 --> 01:06:47.130]  ♪♪♪
[01:06:47.130 --> 01:06:49.130]  All right, we're now in hour number two on this live Tuesday,
[01:06:49.130 --> 01:06:52.130]  August 22nd, global transmission.
[01:06:52.130 --> 01:06:57.130]  Dr. Stella Emanuel joins us in studio, bottom of the hour.
[01:06:57.130 --> 01:07:00.130]  And then we've got another very informed talk show host,
[01:07:00.130 --> 01:07:05.130]  Stu Peters, joining us a little bit later in the third hour today.
[01:07:06.130 --> 01:07:12.130]  All right, let's talk about perception and the windows and doors of perception here.
[01:07:12.130 --> 01:07:17.130]  Biden is a total puppet, a pedophile, a chi-com globalist agent,
[01:07:17.130 --> 01:07:21.130]  absolutely vicious and evil to the maximum.
[01:07:21.130 --> 01:07:26.130]  And he's there so that we all attack him and attack his idiot son
[01:07:26.130 --> 01:07:28.130]  instead of the globalists behind him.
[01:07:28.130 --> 01:07:31.130]  And that said, I'm not going to cry myself to sleep tonight if he gets impeached
[01:07:31.130 --> 01:07:33.130]  or if people move against him politically.
[01:07:33.130 --> 01:07:35.130]  I don't want to kill him and turn him into a martyr,
[01:07:35.130 --> 01:07:39.130]  so nobody try anything against that creature.
[01:07:41.130 --> 01:07:47.130]  But the Maui tragic fire that's killed thousands happened, what,
[01:07:47.130 --> 01:07:49.130]  how many days ago, two weeks ago?
[01:07:50.130 --> 01:07:53.130]  And Biden, until a couple days ago, just wouldn't even respond to it
[01:07:53.130 --> 01:07:56.130]  because he knew they hadn't cut, his advisors knew they hadn't cut the trees
[01:07:56.130 --> 01:07:59.130]  and left the power on and didn't turn the sirens on and wouldn't give them water.
[01:07:59.130 --> 01:08:03.130]  And it's guaranteed, the globalists have been trying to get the land the last few years,
[01:08:03.130 --> 01:08:07.130]  that they administratively created an atmosphere to let this happen.
[01:08:07.130 --> 01:08:10.130]  And so they just wanted to go away and have you forget about it.
[01:08:10.130 --> 01:08:13.130]  That's why they kept everybody out, a 12-mile exclusion zone,
[01:08:13.130 --> 01:08:16.130]  won't tell you how many people are dead, won't even give you an idea,
[01:08:16.130 --> 01:08:19.130]  won't talk about the children, because they want to run around,
[01:08:19.130 --> 01:08:23.130]  the Democratic Party, the governor, Biden, and say, it's global warming.
[01:08:24.130 --> 01:08:27.130]  That's why 70-mile-an-hour winds hit, which hit on a routine basis,
[01:08:27.130 --> 01:08:30.130]  and they hadn't trimmed the trees and left the power on.
[01:08:31.130 --> 01:08:34.130]  They fall down the brush, it sets on fire, it's up against houses,
[01:08:34.130 --> 01:08:37.130]  it burns everybody out in a matter of an hour and a half.
[01:08:40.130 --> 01:08:42.130]  But it shows their arrogance only goes so far.
[01:08:42.130 --> 01:08:44.130]  They were hoping you'd just forget about it.
[01:08:45.130 --> 01:08:49.130]  They were hoping it would just go away, but it didn't.
[01:08:49.130 --> 01:08:53.130]  So now he hauled ass to Maui, just two days ago, he said,
[01:08:53.130 --> 01:08:55.130]  well, I don't know when I'm going to go to Hawaii.
[01:08:55.130 --> 01:08:59.130]  Then he jumps on Air Force One, flies all the way across the United States,
[01:08:59.130 --> 01:09:03.130]  halfway across the Pacific Ocean, and lands and struts around smiling
[01:09:03.130 --> 01:09:06.130]  and talks about a fire at his house and all about him.
[01:09:07.130 --> 01:09:09.130]  Almost killed his cat.
[01:09:11.130 --> 01:09:17.130]  And they did this because there was such an outrage,
[01:09:17.130 --> 01:09:21.130]  particularly in Democrats going, wait, we get $700,
[01:09:22.130 --> 01:09:27.130]  but an illegal alien gets $10,000 a month in New York City.
[01:09:28.130 --> 01:09:31.130]  They get $2,200 a month everywhere else.
[01:09:32.130 --> 01:09:37.130]  And a Social Security person, what do you max out at? $1,600 a month?
[01:09:39.130 --> 01:09:42.130]  People get this. You pay into something your whole life,
[01:09:42.130 --> 01:09:44.130]  and then an illegal alien gets $10,000 a month.
[01:09:45.130 --> 01:09:47.130]  And free housing, everything else.
[01:09:47.130 --> 01:09:51.130]  It's about bringing the country down, ploward and pivot, and bankrupting it.
[01:09:52.130 --> 01:09:55.130]  But the good news is, so much pressure was on them,
[01:09:55.130 --> 01:10:00.130]  and there was such a firestorm, pun intended, politically over this,
[01:10:01.130 --> 01:10:03.130]  that they went, oops.
[01:10:04.130 --> 01:10:06.130]  Well, exactly right. You can't just steal all the control
[01:10:06.130 --> 01:10:09.130]  and have all the big central banks and run the globalist government
[01:10:09.130 --> 01:10:12.130]  and cut off the pipelines, the power, and all the rest of it,
[01:10:12.130 --> 01:10:17.130]  and not upkeep for almost five years after BlackRock bought the utility.
[01:10:18.130 --> 01:10:20.130]  And they're doing it in other places like California, not cutting the trees now, too.
[01:10:21.130 --> 01:10:24.130]  Saying, we don't fix the old infrastructure, it's bad, it's evil.
[01:10:24.130 --> 01:10:29.130]  And then it turns the infrastructure into a flamethrower, into a firebomb.
[01:10:30.130 --> 01:10:34.130]  In fact, a bomber with 100 firebombs in it
[01:10:35.130 --> 01:10:37.130]  couldn't have done as much damage that quick as all those power lines
[01:10:37.130 --> 01:10:41.130]  falling down all throughout the town with the power and the juice turned on.
[01:10:42.130 --> 01:10:46.130]  The default is that when they have it, trim trees particularly,
[01:10:47.130 --> 01:10:51.130]  you can look this up anywhere, that's why your power goes off when the storms hit.
[01:10:51.130 --> 01:10:54.130]  It's not because your power went off, it's because they cut the power.
[01:10:56.130 --> 01:10:59.130]  Because if they don't, it's going to fry all the systems when it falls
[01:10:59.130 --> 01:11:03.130]  and blow up the transmitters, the transformers,
[01:11:04.130 --> 01:11:06.130]  and it's going to take 10 times more money to fix it.
[01:11:07.130 --> 01:11:09.130]  That's why they say, get to high ground, move out of the town,
[01:11:09.130 --> 01:11:12.130]  when a hurricane is coming into Florida or coming into South Texas,
[01:11:12.130 --> 01:11:14.130]  they tell you, you need to evacuate, you need to go to Austin,
[01:11:14.130 --> 01:11:17.130]  you need to go to Dallas, and you see the highways full of people leaving
[01:11:17.130 --> 01:11:20.130]  because once the winds hit 50 miles an hour,
[01:11:21.130 --> 01:11:24.130]  the power goes off because they turn it off.
[01:11:24.130 --> 01:11:26.130]  And I said that the day after it happened.
[01:11:26.130 --> 01:11:29.130]  I said, it's the power lines and they've not turned the power off
[01:11:29.130 --> 01:11:31.130]  and they now completely admit that.
[01:11:32.130 --> 01:11:34.130]  And it's not like I'm some engineer or a whiz-bang,
[01:11:34.130 --> 01:11:36.130]  it's important to know how this stuff works.
[01:11:36.130 --> 01:11:40.130]  The average leftist, though, thinks food just arrives in a grocery store.
[01:11:41.130 --> 01:11:43.130]  They're like, oh, we need to get rid of all the coal plants
[01:11:43.130 --> 01:11:47.130]  and have clean electricity to run our cars,
[01:11:47.130 --> 01:11:52.130]  and they're not even having 10% of the energy they need to power the cars
[01:11:52.130 --> 01:11:54.130]  if half our cars were electric.
[01:11:55.130 --> 01:11:56.130]  It's a bridge to nowhere.
[01:11:57.130 --> 01:11:59.130]  It's a sabotage system, period.
[01:12:00.130 --> 01:12:01.130]  End of story.
[01:12:02.130 --> 01:12:05.130]  But this was extremely, extremely illustrative.
[01:12:05.130 --> 01:12:06.130]  Illustrative.
[01:12:07.130 --> 01:12:08.130]  That he had to go.
[01:12:09.130 --> 01:12:12.130]  And it shows there's a bottom to their arrogance
[01:12:13.130 --> 01:12:15.130]  when they know their own constituents.
[01:12:15.130 --> 01:12:18.130]  I mean, here's another story that ties right into this.
[01:12:21.130 --> 01:12:25.130]  You've heard Nancy Pelosi say, MS-13, you shouldn't talk bad about them,
[01:12:25.130 --> 01:12:26.130]  they're God's children.
[01:12:28.130 --> 01:12:30.130]  The vicious, most evil gang on earth,
[01:12:31.130 --> 01:12:33.130]  that's not globalist fully controlled, even though they launder money
[01:12:33.130 --> 01:12:34.130]  through the Democrats.
[01:12:35.130 --> 01:12:37.130]  I'll play that clip in a moment of her saying God's children.
[01:12:40.130 --> 01:12:43.130]  They're human smuggling and laundering and working for the Democrats.
[01:12:44.130 --> 01:12:48.130]  But now this, Chicago Democrat unveils plan to tackle violent crime,
[01:12:49.130 --> 01:12:51.130]  ask gangs to only shoot people at night.
[01:12:52.270 --> 01:13:03.670]  Because Chicago is a failed state, as dangerous as the worst places in Mexico, or you hear
[01:13:03.670 --> 01:13:08.070]  about Sicily's dangerous with the Mafia and kidnappings, and it is, but it's nothing statistically
[01:13:08.070 --> 01:13:09.070]  compared to this.
[01:13:09.070 --> 01:13:11.910]  So we hear all these travel advisories about the rest of the world, how dangerous they
[01:13:11.910 --> 01:13:12.910]  are.
[01:13:12.910 --> 01:13:14.950]  Our blue cities are hell holes.
[01:13:14.950 --> 01:13:15.950]  Here's Pelosi on MS-13.
[01:13:15.950 --> 01:13:22.590]  Since you brought up the subject of immigration again, it reminds me that, and as I was talking
[01:13:22.590 --> 01:13:27.950]  about the religious groups and how they're concerned about feeding the hungry and Gospel
