[00:00:00.209 --> 00:00:01.770]  What you're witnessing?
[00:22:13.468 --> 00:22:21.014]  So in some ways, SWAT has been over and has covered this little area where all of this happened for the past week.
[00:22:21.014 --> 00:22:26.158]  And they stayed until about 9.30, 10 o'clock that night, and nothing ever came from it.
[00:22:26.158 --> 00:22:29.640]  The campus put out a $5,000 reward for any information.
[00:22:29.640 --> 00:22:31.021]  Hadn't heard anything.
[00:22:31.021 --> 00:22:34.284]  Today, we all know what happened.
[00:22:35.560 --> 00:22:37.460]  It hit the fan, that's for sure.
[00:22:37.460 --> 00:22:45.642]  I just heard that report on the phone there, and it sounded like they were saying that he was trying to holler to the police from the window or something like that.
[00:22:45.642 --> 00:22:51.063]  Well, basically, the individual was going around taking his time, killing all the people that were told, stay indoors.
[00:22:51.063 --> 00:22:52.803]  They do the exact opposite.
[00:22:52.803 --> 00:22:56.724]  And so it looks like that there were people jumping out and other things.
[00:22:56.724 --> 00:23:01.045]  People saying, hey, he's in here, help us, while he's going around killing people.
[00:23:02.407 --> 00:23:08.991]  Who knows by then what really happened, and we'll probably never know, you know, for a year or so, then we found out what happened at Columbine.
[00:23:08.991 --> 00:23:12.553]  I mean, do you really believe Harrison Clybull were able to get over 100?
[00:23:12.553 --> 00:23:22.760]  It was 124 bombs, some of them, you know, huge 60-something gallon tanks of propane that two people could hardly carry.
[00:23:23.320 --> 00:23:23.400]  Yeah.
[00:23:53.080 --> 00:23:58.042]  I mean, what do you think about that, my friend?
[00:23:58.042 --> 00:24:01.444]  Yeah, that's impossible that they could get all those bombs in there that day.
[00:24:01.444 --> 00:24:01.904]  We know that.
[00:24:01.904 --> 00:24:06.546]  We also know how many kids got killed by men in black that day.
[00:24:06.546 --> 00:24:08.707]  I don't know if there were any shots fired.
[00:24:08.707 --> 00:24:11.449]  By the way, I know Paul Watson's doing an article on this.
[00:24:11.449 --> 00:24:12.409]  Paul, type in it.
[00:24:12.409 --> 00:24:13.550]  CBS News is the one.
[00:24:13.550 --> 00:24:16.011]  I pulled it up when I was at a friend's house a few months ago.
[00:24:16.011 --> 00:24:18.012]  I was telling him about it and he didn't believe it, so I pulled it up.
[00:24:18.012 --> 00:24:18.552]  It's something like,
[00:24:19.652 --> 00:24:22.074]  Hundreds of bombs at Columbine.
[00:24:22.074 --> 00:24:25.116]  And then it's 124 or 126 CBS News headlines.
[00:24:25.116 --> 00:24:27.518]  I think it's 124, memory serves.
[00:24:27.518 --> 00:24:29.099]  Go ahead, sorry.
[00:24:29.099 --> 00:24:33.822]  Well, I'm wondering now if we're going to find something like that with this because of the whole bomb threat.
[00:24:33.822 --> 00:24:35.042]  It's a giant.
[00:24:35.042 --> 00:24:38.745]  Bottom line, it's either a giant provocateur op or it's a pure government op.
[00:24:39.568 --> 00:24:40.549]  Or it's a mental patient.
[00:24:40.549 --> 00:24:53.658]  But you know, before I even knew about this, last hour, when I just had seen the article that was a mass shooting, I said, if we hear there's multiple shooters, if there's a whole bunch of people shot, if there's any kind of drills involved, or anything before, it's a black op.
[00:24:53.658 --> 00:24:56.380]  And this thing has black op.
[00:24:56.380 --> 00:24:57.060]  Oh my God.
[00:24:57.060 --> 00:24:58.041]  Oh my God.
[00:24:58.041 --> 00:24:59.962]  All of the above, sounds like to me.
[00:24:59.962 --> 00:25:00.583]  Oh my God.
[00:25:00.583 --> 00:25:02.104]  Well, I hope it's not a black op.
[00:25:02.104 --> 00:25:04.345]  It's a lot more scary if it's the government.
[00:25:04.345 --> 00:25:07.588]  But, I mean, we know the DC sniper, that was total black op.
[00:25:07.588 --> 00:25:07.968]  The Jewish
[00:25:09.566 --> 00:25:13.568]  School thing, it was black op, with furrow, we'll be right back with you.
[00:25:13.568 --> 00:25:18.370]  The Berkey Security Pack is your one-stop solution for unexpected emergencies.
[00:25:18.370 --> 00:25:22.992]  It provides you with purified water, light, power, and communications ability.
[00:25:22.992 --> 00:25:36.999]  The Security Pack includes a Berkey Light Water Purifier, an LED Base, two Berkey Sport Filtration Bottles, the Berkey Battery Adapter, the Berkey MP Solar Charger, as well as a backup set of two Black Berkey Purification Elements.
[00:25:37.239 --> 00:25:54.169]  The Berkey Security Pack is important every day and a must during emergencies because it provides purified water, long-term low-energy lighting, backup battery power for your Berkey LEDs, free long-term solar power for communications devices such as radios, walkie-talkies, and cell phones.
[00:25:54.209 --> 00:25:54.549]  I think so.
[00:26:13.340 --> 00:26:17.261]  When making important financial decisions, you should always know the facts.
[00:26:17.261 --> 00:26:21.062]  That's why Midas Resources is willing to pay you to read the facts.
[00:26:21.062 --> 00:26:30.243]  Midas Resources, a team of hand-picked financial specialists with decades of financial experience who are ready to provide you with state-of-the-art, up-to-date financial services.
[00:26:30.243 --> 00:26:34.484]  Midas Resources offers a host of services and stands behind their products.
[00:26:34.484 --> 00:26:38.705]  In fact, if you call and order their free Midas Report, Midas Resources will pay you
[00:26:39.345 --> 00:26:44.990]  This detailed report will provide you with financial history on the safest and most profitable areas to invest in.
[00:26:44.990 --> 00:26:50.594]  If you read the report, Midas Resources will send you a free Walking Liberty Silver Half Dollar.
[00:26:50.594 --> 00:26:51.915]  So, what are you waiting for?
[00:26:51.915 --> 00:26:58.100]  Get the facts and call Midas Resources toll-free at 888-292-2709.
[00:26:58.100 --> 00:27:00.983]  That's 888-292-2709.
[00:27:00.983 --> 00:27:06.347]  And remember, if you read the Midas Report, you'll receive a free Walking Liberty Silver Half Dollar.
[00:27:13.931 --> 00:27:15.795]  Government is best, which governs least.
[00:27:15.795 --> 00:27:17.278]  Wake up and smell the fascism.
[00:27:17.278 --> 00:27:20.484]  Being in government means never having to say you're sorry.
[00:27:20.484 --> 00:27:23.209]  What part of unconstitutional do you not understand, George?
[00:27:23.772 --> 00:27:31.054]  In today's world full of tyranny and injustice, sometimes it seems the only thing we still have is our freedom of speech.
[00:27:31.054 --> 00:27:39.676]  Exercise your freedom of speech by purchasing your choice of hundreds of different Liberty Stickers, from humorous to serious, at LibertyStickers.com.
[00:27:39.676 --> 00:27:43.517]  LibertyStickers.com can even customize your own bumper stickers.
[00:27:43.517 --> 00:27:46.017]  It's time to stand up for what you believe.
[00:27:46.017 --> 00:27:47.338]  Invest in your freedom.
[00:27:47.338 --> 00:27:51.959]  Get your stickers at LibertyStickers.com for your family, friends, and community.
[00:27:52.439 --> 00:27:54.520]  Go to LibertyStickers.com or call 877-873-9626.
[00:27:54.520 --> 00:27:55.180]  That's 877-873-9626.
[00:27:55.180 --> 00:27:57.421]  And express your freedom of speech today.
[00:27:57.421 --> 00:27:58.102]  Call 877-873-9626.
[00:27:58.102 --> 00:27:58.362]  That's 877-873-9626.
[00:28:13.314 --> 00:28:17.157]  Are you looking for a one-stop shop to find all your favorite books and videos?
[00:28:17.157 --> 00:28:18.337]  Look no further!
[00:28:18.337 --> 00:28:21.319]  Northern Voice Bookstore has everything you need.
[00:28:21.319 --> 00:28:30.005]  Hundreds of titles, from self-defense, survival, and financial freedom, to history, politics, conspiracy, and everything you need to know about the New World Order.
[00:28:30.005 --> 00:28:31.686]  You can order everything you need on the web.
[00:28:32.246 --> 00:28:44.316]  24 hours a day at NorthernVoiceBookstore.com or send $2 for our latest catalog to Northern Voice Bookstore, Post Office Box 281, Wildwood, PA 15091.
[00:28:44.316 --> 00:28:54.344]  Northern Voice Bookstore offers a broad range of different perspectives and believes strongly that the American people need alternative sources of information in order to understand the society they live in today.
[00:28:54.344 --> 00:28:57.587]  You won't find a better selection of books or videos anywhere.
[00:28:57.587 --> 00:29:00.349]  So make Northern Voice Bookstore your bookstore!
[00:29:00.689 --> 00:29:08.276]  Visit us online at northernvoicebookstore.com or send $2 for our latest catalog to Northern Voice Bookstore, P.O.
[00:29:08.276 --> 00:29:11.078]  Box 281, Wildwood, PA 15091.
[00:29:11.078 --> 00:29:22.909]  We don't need no education We don't need no thought control
[00:29:33.425 --> 00:29:40.112]  Alright, we got Larry Pratt popping in to break down victim disarmament and what should have been done at this school.
[00:29:40.112 --> 00:29:49.021]  I'm gonna tell you right now, my children are not going to any of these colleges until they change the gun laws where at least the faculty can be armed.
[00:29:49.021 --> 00:29:49.501]  Period.
[00:29:49.501 --> 00:29:51.083]  And they're not going to any public school either.
[00:29:51.992 --> 00:30:04.743]  So somebody can just go, I mean the schools lock it down, so your children scrabble like gerbils up against a cage wall, the windows are all barred, they got fences around them, and they've already had cases where people are like, let me out!
[00:30:04.743 --> 00:30:08.026]  And they just walk up and dun-dun-dun-dun-dun-dun.
[00:30:08.026 --> 00:30:10.168]  You know, the Terminator.
[00:30:10.168 --> 00:30:12.630]  I mean this is just absolutely incredible.
[00:30:12.630 --> 00:30:20.136]  By the way, I mean it's not, you just hide, you run and you hide, you wait till the person comes around the corner and you at least go after them.
[00:30:20.714 --> 00:30:25.876]  You know, they've had a lot of school shooting cases where the principal has to run out to their car, get the gun out of the car.
[00:30:25.876 --> 00:30:32.319]  Remember, in one case, the principal got fired, went in and took him out.
[00:30:32.319 --> 00:30:36.100]  In another case, went in and just ran the shooter off.
[00:30:36.100 --> 00:30:37.681]  And he didn't get in trouble.
[00:30:37.681 --> 00:30:44.563]  I mean, thank God the principal went in and got their gun and took this person out.
[00:30:44.563 --> 00:30:46.164]  Look, it's fine for the police to have guns.
[00:30:46.164 --> 00:30:47.745]  What about us?
[00:30:47.745 --> 00:30:48.685]  We're the good people.
[00:30:52.614 --> 00:31:01.624]  We need to be protected from the postman, and the crazy cops, and the criminals, and everybody going postal.
[00:31:01.624 --> 00:31:04.648]  I mean, every office needs an instant access pistol safe.
[00:31:04.648 --> 00:31:07.251]  A couple of them with trusted employees.
[00:31:07.251 --> 00:31:11.876]  And, uh, you know, if somebody ever busts in here, I mean, folks, I mean, let me tell you this fast.
[00:31:15.666 --> 00:31:17.987]  And I got a 7-shot .357 Magnum.
[00:31:17.987 --> 00:31:19.988]  I go with a revolver because it's simple.
[00:31:19.988 --> 00:31:21.149]  It's not going to jam.
[00:31:21.149 --> 00:31:23.510]  And when I've got adrenaline going through me, it's going to get the job done.
[00:31:23.510 --> 00:31:27.352]  Let me take the rounds out of it.
[00:31:27.352 --> 00:31:29.353]  And again, folks, I never talk about guns a lot on the air.
[00:31:29.353 --> 00:31:30.514]  I'm just for the Second Amendment.
[00:31:30.514 --> 00:31:32.395]  I've got quite a few.
[00:31:32.395 --> 00:31:34.616]  And I know how to use them.
[00:31:34.616 --> 00:31:36.977]  And you just need to be ready, ladies and gentlemen.
[00:31:36.977 --> 00:31:41.039]  See, I'm spinning the cylinder.
[00:31:41.039 --> 00:31:42.960]  You need to be ready, ladies and gentlemen.
[00:31:44.036 --> 00:31:46.657]  And I'm so busy I never get to go to the range but three or four times a year.
[00:31:46.657 --> 00:31:48.958]  Everybody needs to do it more than that.
[00:31:48.958 --> 00:31:51.459]  And you need to protect yourself.
[00:31:51.459 --> 00:31:54.401]  I got a .357 Magnum Smith & Wesson.
[00:31:54.401 --> 00:31:58.422]  I bought this after they quit being gun banners.
[00:31:58.422 --> 00:32:10.488]  And again, I know how to use the fanciest of guns, but for something for quick defense, this is something I can, at 50 yards, I can shoot somebody in the chest with this.
[00:32:11.238 --> 00:32:17.921]  At 50 yards, I can shoot about a 4 or 5 inch pattern with this handgun.
[00:32:17.921 --> 00:32:18.782]  That's when I'm calm.
[00:32:18.782 --> 00:32:28.086]  But people will tell you in the office or other places you need a shotgun, but that's something again that's too big, too hard to store.
[00:32:28.086 --> 00:32:33.849]  And the point is, somebody comes around here wanting trouble, I'm not going down without a fight.
[00:32:33.849 --> 00:32:34.809]  Okay?
[00:32:34.809 --> 00:32:40.832]  And I'm not going to live in a filth-bagged state or city where they tell me I can't have this protection I've got in my hand right now.
[00:32:43.829 --> 00:32:49.652]  But again, in those dormitories with your sons and daughters, they're not able to have an incident access pistol safe.
[00:32:49.652 --> 00:32:52.173]  They're not able to protect themselves.
[00:32:52.173 --> 00:33:01.117]  They've got to sit there while some piece of trash, mental patient, drug addict, or government operative, or some mind control victim, and we know that goes on.
[00:33:01.117 --> 00:33:03.478]  They've got to sit there while they have their way with them.
[00:33:03.478 --> 00:33:06.079]  Going back to our guest, Matt Kazee.
[00:33:06.079 --> 00:33:08.219]  Matt, again, you live there on campus.
[00:33:08.219 --> 00:33:09.280]  What area of campus do you live on?
[00:33:10.182 --> 00:33:11.805]  I'm pretty much right in the heart of campus.
[00:33:11.805 --> 00:33:17.957]  I'm about less than a block away from the ROTC dorms and in the armory, which is
[00:33:18.447 --> 00:33:21.249]  Pretty much less than a block away from this second shooter.
[00:33:21.249 --> 00:33:25.491]  And again, the armory can have weapons, the troops can have weapons, but you, the evil citizen, can't.
[00:33:25.491 --> 00:33:29.673]  Because I know under federal law, any university, you can't have guns.
[00:33:29.673 --> 00:33:35.977]  I guess you've got to live there where you can't have guns while there's multiple shooters running around foaming at the mouth on a routine basis?
[00:33:35.977 --> 00:33:37.138]  Yeah, that's crazy.
[00:33:37.138 --> 00:33:37.718]  That's crazy.
[00:33:37.718 --> 00:33:41.080]  Have they announced anything that they have caught him or that he killed himself on the news yet?
[00:33:41.955 --> 00:33:43.456]  Uh, yeah, I think that Bob was just out there.
[00:33:43.456 --> 00:33:45.558]  I think they're saying they killed himself, but they're not sure.
[00:33:45.558 --> 00:33:48.240]  They're could, you know, stay in your homes.
[00:33:48.240 --> 00:33:53.545]  Okay, I just ran up there just while, in between break, and you can tell that it's over.
[00:33:53.545 --> 00:33:55.627]  I mean, it's just a completely different tone.
[00:33:55.627 --> 00:33:57.668]  All the vehicles are still there, but it's over.
[00:33:57.668 --> 00:34:05.835]  You know that they had to, they had so many people dead, they had to bring in the local Blacksburg Transit buses to carry them out.
[00:34:05.835 --> 00:34:07.877]  They didn't have enough ambulances.
[00:34:09.275 --> 00:34:13.237]  And I sent you guys a bunch of pictures, actually, that's getting sent right now.
[00:34:13.237 --> 00:34:14.838]  And there are a couple of pictures of that.
[00:34:14.838 --> 00:34:18.519]  And when I get off the phone, I'm going to go back out there and try and photograph it.
[00:34:18.519 --> 00:34:23.822]  And I will find out the story on this guy from local students.
[00:34:23.822 --> 00:34:28.124]  I'm pretty sure he is a student, is what I've heard so far.
[00:34:28.124 --> 00:34:29.964]  Do you have a cell phone?
[00:34:29.964 --> 00:34:31.945]  Can you go out on the ground for us out there?
[00:34:31.945 --> 00:34:33.046]  Oh yeah, I sure can.
[00:34:33.046 --> 00:34:37.448]  Tell you what, during the break, give him the hotline, John.
[00:34:39.861 --> 00:34:41.582]  John Harmon, will you give him the hotline?
[00:34:41.582 --> 00:34:43.363]  John's the best doing five jobs.
[00:34:43.363 --> 00:34:44.104]  Give him the hotline.
[00:34:44.104 --> 00:34:44.864]  Have him call right now.
[00:34:44.864 --> 00:34:45.905]  Let's get him on the horn.
[00:34:45.905 --> 00:34:46.465]  Let's come back.
[00:34:46.465 --> 00:34:47.546]  Talk to our eyewitness.
[00:34:47.546 --> 00:34:48.627]  Then we'll jam some calls in.
[00:34:48.627 --> 00:34:50.007]  Try to get into the rosy news.
[00:34:50.007 --> 00:34:52.129]  Big 9-11 news at PrisonPlanet.com.
[00:34:52.129 --> 00:34:56.211]  We cannot let what's happening overshadow that important news.
[00:34:56.211 --> 00:34:56.852]  We'll be right back.
[00:34:56.852 --> 00:35:03.516]  Stay with us.
[00:35:03.516 --> 00:35:04.897]  We're on the march.
[00:35:04.897 --> 00:35:06.398]  The Empire's on the run.
[00:35:07.410 --> 00:35:13.333]  Alex Jones and the GCN Radio Network.
[00:35:13.333 --> 00:35:20.477]  Craig Walcott, chartered financial consultant and host of the Dead Doctors Don't Lie radio program, a million-dollar earner in the network marketing field since 1989.
[00:35:20.477 --> 00:35:22.839]  I certainly know what it takes to succeed.
[00:35:22.839 --> 00:35:28.482]  I also know without proper tools, your chance for significant income in the network marketing field can quickly fade.
[00:35:28.482 --> 00:35:34.405]  The sad truth is that 99% of the people who enter network marketing will never spend the time nor money to develop the skills they need.
[00:35:34.665 --> 00:35:37.286]  That's where MLM Incorporated steps in.
[00:35:37.286 --> 00:35:44.390]  No matter what network marketing venture you're involved in, MLM Incorporated can provide you the successful tools you need to truly succeed.
[00:35:44.390 --> 00:35:54.155]  A subscription to MLM Incorporated will provide you access to the three-hour industrial revolution of network marketing seminar where you will learn to perform at a level you never thought possible.
[00:35:54.155 --> 00:35:57.537]  Radio, TV, Internet, direct mail will all be at your fingertips.
[00:35:57.717 --> 00:35:59.899]  Weekly training calls, no additional charge.
[00:35:59.899 --> 00:36:02.401]  Plus so much more can't be mentioned in 60 seconds.
[00:36:02.401 --> 00:36:08.826]  Visit MLMincorporated.com to hear how you can become one of the elite income earners in the network marketing field.
[00:36:08.826 --> 00:36:12.309]  MLMincorporated.com where your success is guaranteed.
[00:36:13.030 --> 00:36:15.792]  Right now, 65% of Americans are overweight.
[00:36:15.792 --> 00:36:22.077]  Experts say by the year 2010, that number will increase to 75% and 35% will be obese.
[00:36:22.077 --> 00:36:31.444]  Because of these deadly statistics, Dr. Joel Wallach, host of Dead Doctors Don't Lie, has done extensive research and has found what he believes is the biggest breakthrough in weight loss in 50 years.
[00:36:31.444 --> 00:36:32.925]  It's called SlenderFX.
[00:36:32.925 --> 00:36:42.112]  SlenderFX opens the door for a healthy metabolism, permanent weight loss, reduction of low thyroid symptoms, and considerably increased energy by helping to balance your leptin levels.
[00:36:42.452 --> 00:36:44.774]  Finally, a weight loss breakthrough you can trust.
[00:36:44.774 --> 00:36:49.937]  Go to NoFatNow.com and discover the amazing benefits of Slender FX today.
[00:36:49.937 --> 00:36:52.319]  Take the 90 day challenge just in time for summer.
[00:36:52.319 --> 00:36:57.142]  If it's not everything we say and more, simply return the empty bottles and get your money back, guaranteed.
[00:36:57.142 --> 00:36:58.723]  Visit NoFatNow.com or call 800-972-8211.
[00:36:58.723 --> 00:36:59.023]  That's 800-972-8211.
[00:36:59.023 --> 00:37:02.946]  And for a limited time only, find out how you can get a free bottle of Slender FX by going to NoFatNow.com.
[00:37:13.933 --> 00:37:21.118]  This is Elizabeth Border, author of the two-book set, America Attacked and Chaos and Chemtrails.
[00:37:21.118 --> 00:37:27.982]  I wrote these books because I believe that every American should have the vital chemtrails research info.
[00:37:27.982 --> 00:37:38.369]  I was much heartened and encouraged when a radio listener recently wrote me, quote, you are truly a great writer, so clear and powerful and thorough in your communication.
[00:37:38.369 --> 00:37:41.831]  You have the strength to forge ahead in the midst of darkness.
[00:37:42.131 --> 00:37:45.432]  And you also believe in the power of goodness and truth.
[00:37:45.432 --> 00:37:48.693]  I hope you listeners will order these crucial books.
[00:37:48.693 --> 00:37:52.834]  Send your check for $32 post-pay to Radio Liberty, P.O.
[00:37:52.834 --> 00:37:54.235]  Box 969, Soquel, S-O-Q-U-E-L, California, 95073.
[00:37:54.235 --> 00:37:57.716]  $32 to Radio Liberty, Box 969, Soquel, California, 95073.
[00:37:57.716 --> 00:37:58.236]  Or call 1-800-544-8927.
[00:37:58.236 --> 00:37:58.296]  1-800-544-8927.
[00:38:19.626 --> 00:38:22.189]  Every morning at the mine you could see him arrive.
[00:38:22.189 --> 00:38:24.611]  He stood six foot six and weighed 245.
[00:38:24.611 --> 00:38:27.653]  Kind of broad at the shoulder and narrow at the hip.
[00:38:27.653 --> 00:38:31.236]  And everybody knew you didn't give no lift to Big John.
[00:38:33.012 --> 00:38:35.773]  Big John!
[00:38:35.773 --> 00:38:38.614]  Big John!
[00:38:38.614 --> 00:38:41.495]  Big Bad John!
[00:38:41.495 --> 00:38:44.696]  Big John!
[00:38:44.696 --> 00:38:47.357]  Nobody seemed to know where John called home.
[00:38:47.357 --> 00:38:50.058]  He just drifted into town and stayed all alone.
[00:38:50.058 --> 00:38:54.499]  Didn't say much, kinda quiet and shy, but he didn't spoke at all.
[00:38:54.499 --> 00:38:56.300]  He just said hi to Big John.
[00:38:58.579 --> 00:39:09.669]  Somebody said he came from New Orleans where he got in a fight over a Cajun queen and a crashing blow from a huge right hand sent a Louisiana fella to the promised land.
[00:39:09.669 --> 00:39:12.131]  Big John!
[00:39:12.131 --> 00:39:14.933]  Big John!
[00:39:14.933 --> 00:39:17.735]  Big John!
[00:39:17.735 --> 00:39:20.598]  Big Bad John!
[00:39:20.598 --> 00:39:21.599]  Big John!
[00:39:28.805 --> 00:39:31.765]  Welcome back, ladies and gentlemen.
[00:39:31.765 --> 00:39:36.187]  John, Richard, Chris, Paul, everybody's been holding it forever.
[00:39:36.187 --> 00:39:39.008]  And I meant to get to the Rosie O'Donnell news.
[00:39:39.008 --> 00:39:39.988]  Big developments there.
[00:39:39.988 --> 00:39:40.848]  Never really got to.
[00:39:40.848 --> 00:39:42.369]  You can read it at Prison Planet.
[00:39:42.369 --> 00:39:46.370]  Because of the shooting, we're working on getting a report out asking, is this a black op?
[00:39:46.370 --> 00:39:47.050]  Like the others.
[00:39:47.050 --> 00:39:50.451]  I mean, if the government's done black ops before, then we know they have.
[00:39:51.051 --> 00:39:54.593]  We got him dead to rights on the Beltway Sniper.
[00:39:54.593 --> 00:40:00.635]  We got him dead to rights on the Buford Furrow in the Jewish School.
[00:40:00.635 --> 00:40:03.917]  We got him dead to rights on Columbine.
[00:40:03.917 --> 00:40:08.379]  I mean, it's just John Lennon, Ronald Reagan.
[00:40:08.379 --> 00:40:11.340]  I mean, it just goes on and on.
[00:40:11.340 --> 00:40:12.921]  I mean, it's just unbelievable.
[00:40:12.921 --> 00:40:15.562]  McVeigh, definite mind control there.
[00:40:16.946 --> 00:40:21.450]  I mean, his doctor, appointed by the government, was the father of modern mind control.
[00:40:21.450 --> 00:40:26.675]  Jolly and Wes, who just died a few years ago, and was there from the time he got arrested to the time he was executed.
[00:40:26.675 --> 00:40:31.980]  The top head mind control doctor, 1977 MKUltra hearings.
[00:40:31.980 --> 00:40:33.842]  I mean, just unbelievable!
[00:40:37.149 --> 00:40:43.073]  It's just, they think we're so stupid, or the public doesn't know there's such a thing as mind control.
[00:40:43.073 --> 00:40:51.698]  Let me tell you, the stuff you saw in Manchurian Candidate, the new one that came out, is exactly, exactly how things bounce.
[00:40:51.698 --> 00:40:54.860]  That's how the ball bounces.
[00:40:54.860 --> 00:40:58.682]  And that's exactly what they can do.
[00:40:58.682 --> 00:41:00.563]  That is so accurate, it is chilling.
[00:41:01.303 --> 00:41:05.306]  But they don't get you in facilities and hop you up on drugs for a week and torture you.
[00:41:05.306 --> 00:41:07.248]  They do it for months or years.
[00:41:07.248 --> 00:41:12.232]  And it works real well.
[00:41:12.232 --> 00:41:15.494]  Oh, man.
[00:41:15.494 --> 00:41:18.176]  Unbelievable.
[00:41:18.176 --> 00:41:20.098]  I mean, this didn't happen in the past in America.
[00:41:20.098 --> 00:41:21.939]  And you do have some nuts that go kill people.
[00:41:21.939 --> 00:41:23.741]  And you've got people that go to their work and kill people.
[00:41:23.741 --> 00:41:26.003]  But you've got postal stuff.
[00:41:26.003 --> 00:41:26.743]  Most of that's real.
[00:41:26.743 --> 00:41:28.765]  They go shoot their boss and co-workers.
[00:41:30.638 --> 00:41:36.881]  But this business of going around shooting 50-something people, killing 30-something of them, that's not normal.
[00:41:36.881 --> 00:41:43.965]  And by normal, I mean even in the sick world of mass shootings, that's not what you see in the criminology.
[00:41:43.965 --> 00:41:53.711]  Now, he lives on campus, and he's Matt Kazee, a listener of this show, there in Blacksburg, Virginia.
[00:41:53.711 --> 00:41:54.611]  It is Monday, April 16th, 2012.
[00:41:56.417 --> 00:42:02.099]  We're going to be talking about 9-11 and tax time and a bunch of war news, but we're talking about a mass shooting.
[00:42:02.099 --> 00:42:05.020]  Now the real test is, you know they already had a bunch of gun bills prepared.
[00:42:05.020 --> 00:42:10.722]  They've just been introducing last week and will be introducing this next week.
[00:42:10.722 --> 00:42:18.504]  And when they get back in session in the next few weeks, excuse me, they've been preparing bills and doing press conferences about bills in the last month, to be more exact.
[00:42:18.504 --> 00:42:24.146]  And now you're going to see them all introduced in the endless drum beating so that next time there's a mass shooting,
[00:42:24.901 --> 00:42:27.942]  We'll all be totally disarmed, and whoever's got the gun can kill 200, 300.
[00:42:27.942 --> 00:42:39.425]  And, uh... During breaks, I have been watching CNN and Fox, flipping back and forth, and it's exactly what I thought it was.
[00:42:39.425 --> 00:42:48.048]  It's video and photos of cops, hours into the shooting, while shooting's still going on, standing behind the doors of their patrol cars, cowering.
[00:42:49.119 --> 00:42:57.681]  When they knew the basic building, they should have immediately had police charged from all four sides in heavy body armor.
[00:42:57.681 --> 00:43:00.061]  They should have had SWAT teams lowered onto the roof.
[00:43:00.061 --> 00:43:01.422]  And they got SWAT teams all over the place.
[00:43:01.422 --> 00:43:02.482]  They all got helicopters.
[00:43:02.482 --> 00:43:05.322]  But these guys got to sit around and plan for hours.
[00:43:05.322 --> 00:43:07.963]  I mean, if you want to do some planning, they've all got armored vehicles.
[00:43:07.963 --> 00:43:13.904]  They should have rammed an armored vehicle right through the front door and gone right in there and killed this person.
[00:43:13.904 --> 00:43:17.465]  But no, they had to wait hours while he walked around shooting everybody.
[00:43:18.806 --> 00:43:22.247]  Four hours and fifteen minutes at Columbine they shot there.
[00:43:22.247 --> 00:43:25.128]  I'm tired of it!
[00:43:25.128 --> 00:43:25.548]  I know this.
[00:43:25.548 --> 00:43:33.490]  If there's ever a mass shooting around here, I mean, back, I mean, back when it happened at the Tower, the citizens just pulled their rifles out and kept him pinned down and stopped him from killing.
[00:43:33.490 --> 00:43:41.552]  He killed most of the people in the first ten minutes and then folks started shooting back and then he only killed one or two more and wounded a couple because people, the police and the citizens were shooting at him.
[00:43:41.552 --> 00:43:42.772]  Hundreds of people were shooting at him.
[00:43:45.237 --> 00:43:52.121]  Mike Hanson's daddy drove the ambulance right up there and was loading police that had been shot and citizens in.
[00:43:52.121 --> 00:44:00.405]  Literally, it was in the newspaper with flecks of concrete cutting him, hitting him in the face with bullets from that Marine shooting at him.
[00:44:00.405 --> 00:44:08.269]  For those who don't know Mike, he's done work for me for years, runs the TV show, but his daddy, what was his dad's name?
[00:44:08.269 --> 00:44:09.890]  Everybody knows him around town, all the old timers.
[00:44:09.890 --> 00:44:12.591]  It was a German name.
[00:44:14.369 --> 00:44:16.730]  I can't believe I can't remember his name.
[00:44:16.730 --> 00:44:17.430]  Otto Hanson.
[00:44:17.430 --> 00:44:20.852]  There you go.
[00:44:20.852 --> 00:44:21.992]  Ah, it doesn't matter.
[00:44:21.992 --> 00:44:23.413]  Otto liked to drive race cars.
[00:44:23.413 --> 00:44:27.495]  He had, you know, they did the drag racing back when the cops wouldn't come after you for that.
[00:44:27.495 --> 00:44:30.276]  And that was back when ambulances drove fast, too.
[00:44:30.276 --> 00:44:32.557]  He liked the ambulances because you had to drive fast.
[00:44:32.557 --> 00:44:33.117]  Otto Hanson.
[00:44:33.117 --> 00:44:37.499]  That's what made America great was the people that were daredevils and liked risk.
[00:44:37.499 --> 00:44:39.920]  Not a bunch of cowards following procedure.
[00:44:41.129 --> 00:44:47.311]  But I guarantee you, folks, if there was some mass shooting and I tried to go down there and go in or go help the police, they'd gun me down and say I was a shooter.
[00:44:47.311 --> 00:44:53.133]  That's how America's changed, ladies and gentlemen, and it's been done by design, so the people and the government are at each other's throats.
[00:44:53.133 --> 00:44:54.093]  I'm going to shut up.
[00:44:54.093 --> 00:44:56.414]  Matt Kazee is on the ground.
[00:44:56.414 --> 00:45:00.996]  He's gone down to the area with the police near the shooting where they've got it cordoned off.
[00:45:00.996 --> 00:45:04.037]  Matt, you're there in Blacksburg, Virginia, at the campus.
[00:45:04.037 --> 00:45:05.457]  Tell us what's happening.
[00:45:05.457 --> 00:45:07.618]  Yes, I'm standing in the middle of about 200 police cars.
[00:45:09.036 --> 00:45:17.238]  I'm right in front of the building where this happened, and you can tell it's all over, folks.
[00:45:17.238 --> 00:45:18.299]  They've got it under control.
