[00:00:02.058 --> 00:00:04.350]  Let's go!
[00:44:34.492 --> 00:44:36.033]  But you can go pay two or three times.
[00:44:36.033 --> 00:44:38.835]  There's four or five other filters out there that are just as good.
[00:44:38.835 --> 00:44:44.059]  We sell the very best, highest-grade water filtration system for half the price of the leading competitor.
[00:44:44.059 --> 00:44:49.543]  And the media says we're bad and a cult for telling you you should filter your water.
[00:44:49.543 --> 00:44:51.184]  You should also filter your shower water.
[00:44:51.184 --> 00:44:52.765]  That's another way you absorb this crap.
[00:44:52.765 --> 00:44:54.307]  But I'm done talking about that.
[00:44:54.307 --> 00:44:56.888]  The point is, you can get the filters at Infowarstore.com.
[00:44:56.888 --> 00:44:58.089]  They're discounted right now.
[00:44:58.089 --> 00:44:58.810]  Finally back in stock.
[00:44:59.150 --> 00:45:00.732]  Hey everybody, Rodney Outbound here.
[00:45:00.732 --> 00:45:06.097]  I want to thank Alex Jones and InfoWars for offering scholarships to River University.
[00:45:06.097 --> 00:45:13.744]  Maybe you're watching InfoWars today and you don't know what to do with the problems that we face in the world today.
[00:45:13.744 --> 00:45:18.308]  You've been through COVID-19, 2019, 2021, 2022, 2023.
[00:45:18.308 --> 00:45:24.674]  But here at River University, not only do we show you what the problem is, but we show you how to deal with it.
[00:45:25.114 --> 00:45:36.676]  Come, a full three-year bachelor degree will train you up in ministry, government, worship, that you can go out and actually bring about a transformation in the earth today.
[00:45:36.676 --> 00:45:43.237]  We have graduates going all over the world, from the Arctic to the Outback, and right here, this is what we do.
[00:45:43.237 --> 00:45:50.058]  We specialize in training people and equipping them for transformation, and that's what you'll do.
[00:45:50.058 --> 00:45:53.959]  So scan the QR code right now or go to riveruniversity.org
[00:45:54.759 --> 00:45:59.864]  And get the free scholarship offered to you by InfoWars.
[00:45:59.864 --> 00:46:04.910]  We finally have our original best-selling colloidal silver back in stock.
[00:46:06.135 --> 00:46:08.896]  Supply chain breakdowns and all the problems of the economy.
[00:46:08.896 --> 00:46:15.258]  We could not get the highest quality colonel silver for almost three years back in stock.
[00:46:15.258 --> 00:46:16.319]  But now we've got it.
[00:46:16.319 --> 00:46:18.880]  30 parts per million from the top lab.
[00:46:18.880 --> 00:46:20.280]  We got a limited shipment.
[00:46:20.280 --> 00:46:21.981]  Hopefully we'll have a lot of it in the future.
[00:46:21.981 --> 00:46:28.023]  But if you want to experience and have in your medicine cabinet, have in your preparedness arsenal,
[00:46:28.743 --> 00:46:31.465]  High quality colloidal silver from the best manufacturer.
[00:46:31.465 --> 00:46:37.430]  We have it right now private labeled under the name Silver Bullet at InfoWarStore.com.
[00:46:37.430 --> 00:46:39.832]  Limited supply, 30% off.
[00:46:39.832 --> 00:46:42.754]  InfoWarStore.com Silver Bullet.
[00:46:42.754 --> 00:46:49.919]  Research colloidal silver, find out what a game changer it is, and then get yours at InfoWarStore.com.
[00:46:49.919 --> 00:46:52.421]  Silver Bullet, back in stock, 30% off.
[00:46:52.421 --> 00:46:53.702]  InfoWarStore.com.
[00:47:01.644 --> 00:47:06.241]  Leading a frontal assault on the lies of the New World Order.
[00:47:06.241 --> 00:47:07.566]  It's Alex Jones!
[00:47:15.131 --> 00:47:17.854]  Welcome back to the final segment of hour number one.
[00:47:17.854 --> 00:47:22.978]  The Q Shaman joins us next hour.
[00:47:22.978 --> 00:47:32.768]  Well, recently, Sergey Brin was at the World Economic Forum with Klaus Schwab and he talked about AI predicting elections so you don't need
[00:47:34.881 --> 00:47:39.322]  To vote anymore, the technocrats will tell you who the winner is.
[00:47:39.322 --> 00:47:45.984]  And they've always said for decades at the WEF, their goal is to get rid of elections and have, quote, technocrats running things.
[00:47:45.984 --> 00:47:47.905]  That's the Bloomberg famous headline.
[00:47:47.905 --> 00:47:50.385]  Elections to be replaced, leaders to be replaced with technocrats.
[00:47:50.385 --> 00:47:54.907]  Well, that's called technological dictatorship, technocracy.
[00:47:54.907 --> 00:47:55.607]  And here he is.
[00:47:58.314 --> 00:48:05.620]  So technology now is and digital technologies mainly have an analytical power.
[00:48:05.620 --> 00:48:14.327]  Now we go into a predictive power and we have seen the first examples and your company very much involved into it.
[00:48:14.327 --> 00:48:17.790]  But since the next step could be to go into a prescriptive
[00:48:18.870 --> 00:48:33.702]  Mode, which means you do not even have to have elections anymore because you can already predict what, predict and afterwards you can say, why do we need elections?
[00:48:33.702 --> 00:48:36.444]  Because we know what the result will be.
[00:48:36.444 --> 00:48:37.845]  Can you imagine such a world?
[00:48:38.968 --> 00:48:41.550]  Why is it that we need elections?
[00:48:41.550 --> 00:48:43.832]  Can you imagine such a world?
[00:48:43.832 --> 00:48:50.458]  Well, what did one of the top election computer scientists tell Congress before they stole 2020 and 2022?
[00:48:50.458 --> 00:48:59.325]  He said, Google and Facebook and others are already stealing it by making it 96% leftist propaganda and not letting you have access to what others say.
[00:48:59.325 --> 00:49:04.610]  That can swing things 30 points and is.
[00:49:04.610 --> 00:49:05.371]  Unless you're aware of it.
[00:49:06.434 --> 00:49:07.835]  Buzz now.
[00:49:07.835 --> 00:49:09.155]  The old days they'd show you a push poll.
[00:49:09.155 --> 00:49:10.536]  Oh, the candidate's 10 points ahead.
[00:49:10.536 --> 00:49:12.857]  No need for you to go vote for the other candidate.
[00:49:12.857 --> 00:49:14.898]  You'll just waste your vote.
[00:49:14.898 --> 00:49:16.018]  Stay at home.
[00:49:16.018 --> 00:49:17.459]  It's brainwashing.
[00:49:17.459 --> 00:49:21.241]  Like Theranos that the WF and Bill Gates were involved in.
[00:49:21.241 --> 00:49:25.042]  And that woman that just got convicted and sent to prison.
[00:49:25.042 --> 00:49:27.924]  And they're like, oh, 100 blood tests a minute.
[00:49:27.924 --> 00:49:29.204]  Oh, it was all a fraud.
[00:49:29.204 --> 00:49:35.067]  2024 will be a litmus test for AI effect on elections and voters' faith in them.
[00:49:38.646 --> 00:49:39.567]  Theranos scandal.
[00:49:39.567 --> 00:49:43.971]  Who is Elizabeth Holmes and why is she on trial now convicted?
[00:49:43.971 --> 00:49:46.354]  It's scam after fraud after scam.
[00:49:46.354 --> 00:49:58.025]  Yeah, they now have top influencers that are AI, that are these supposedly beautiful women, talking about their beautiful bikinis and all the rest of it, and men are now willing to form relationships with that like something out of the new Blade Runner movie.
[00:49:58.025 --> 00:49:58.606]  Yeah, there's one of them.
[00:50:00.933 --> 00:50:02.554]  But it doesn't have a family history.
[00:50:02.554 --> 00:50:04.035]  It won't take care of you when you're sick.
[00:50:04.035 --> 00:50:05.336]  It's not going to make a child of you.
[00:50:05.336 --> 00:50:06.897]  It's not a real person.
[00:50:06.897 --> 00:50:17.664]  I know you know that, but that is their attempt to have illusion and a computer showing you what you think is the perfect woman.
[00:50:17.664 --> 00:50:26.951]  So while the AI takes over womanhood, the left attacks real women and doesn't want them to have a role so they don't have the power in society and culture.
[00:50:26.951 --> 00:50:28.432]  It's called a pincer attack.
[00:50:29.582 --> 00:50:33.163]  AI influencers surge in popularity despite not being real.
[00:50:33.163 --> 00:50:35.883]  Men don't care, studies show.
[00:50:35.883 --> 00:50:39.564]  I wouldn't call them men at all.
[00:50:39.564 --> 00:50:40.844]  So there you go.
[00:50:40.844 --> 00:50:43.225]  That's their big goal.
[00:50:43.225 --> 00:50:45.145]  That's how they plan to depopulate us.
[00:50:45.145 --> 00:50:46.126]  Let's go to the next clip.
[00:50:46.126 --> 00:50:49.406]  So there's Klaus Schwab saying, we don't need the elections.
[00:50:49.406 --> 00:50:51.407]  We don't need no stinking badges.
[00:50:51.407 --> 00:50:57.348]  Here's Joe Rogan and Patrick McDavid on the hypocrisy of Joe Biden trying to arrest Donald Trump.
[00:50:58.979 --> 00:50:59.219]  Yeah.
[00:50:59.219 --> 00:51:03.081]  And the people that love Trump, they feel like this is a witch hunt.
[00:51:03.081 --> 00:51:06.122]  And they feel like all the things he's getting indicted for are bullshit anyway.
[00:51:06.122 --> 00:51:11.965]  Not only does it not work, but it kind of hardens their position that he's being targeted.
[00:51:11.965 --> 00:51:16.287]  And that this is, these are like the actions of a banana republic.
[00:51:16.727 --> 00:51:19.208]  You take your political rival and you arrest him.
[00:51:19.208 --> 00:51:23.789]  And specifically, you charge him with things that you're guilty of.
[00:51:23.789 --> 00:51:28.131]  Like the documents, like the classified documents.
[00:51:28.131 --> 00:51:30.852]  Biden's guilty of the exact same issue!
[00:51:30.852 --> 00:51:36.113]  You gotta respect the level of deceptiveness that's been used.
[00:51:36.113 --> 00:51:41.855]  I mean, look at what Hillary did, going and saying, hey, it's Russia, but it was really, you know, what she was doing.
[00:51:41.855 --> 00:51:43.676]  And now they're using a similar play as well.
[00:51:45.882 --> 00:51:49.084]  Patrick McDavid on Joe Rogan.
[00:51:49.084 --> 00:51:54.146]  So, it's not exactly right though.
[00:51:54.146 --> 00:51:57.608]  Biden wasn't allowed to have all those documents as Vice President.
[00:51:57.608 --> 00:51:58.728]  The President is.
[00:51:58.728 --> 00:52:02.030]  So, that's not correct.
[00:52:02.030 --> 00:52:06.972]  But again, Joe at least is going that far to say he's guilty of the same thing.
[00:52:06.972 --> 00:52:09.313]  No, Trump did nothing.
[00:52:09.313 --> 00:52:12.535]  So, let's go to the next clip.
[00:52:12.535 --> 00:52:13.375]  This is R.O.K.
[00:52:13.375 --> 00:52:13.736]  Jr.
[00:52:13.736 --> 00:52:14.376]  with Jimmy Dorn.
[00:52:16.625 --> 00:52:22.310]  And this is, well you'll see it for yourself, but people that don't know, I don't like Bernie Sanders.
[00:52:22.310 --> 00:52:23.711]  I don't like Al Gore.
[00:52:23.711 --> 00:52:25.172]  Al Gore won the 2020 election.
[00:52:25.172 --> 00:52:26.453]  The evidence was there.
[00:52:26.453 --> 00:52:27.835]  I looked at the evidence.
[00:52:27.835 --> 00:52:29.076]  Bush lost.
[00:52:29.076 --> 00:52:33.639]  He was super unpopular, so you know what they did with 9-11 to try to stay in power.
[00:52:33.639 --> 00:52:40.805]  Doesn't mean I support Al Gore, but I'm not gonna lie to you, and I think if you look at the evidence yourself, most of you already know that's true.
[00:52:40.805 --> 00:52:41.686]  But R.O.K.
[00:52:41.686 --> 00:52:42.227]  Jr.
[00:52:42.227 --> 00:52:43.508]  and what they did to Bernie Sanders,
[00:52:46.022 --> 00:52:48.424]  Is the real central point now.
[00:52:48.424 --> 00:52:56.430]  Bernie Sanders, and we even got interviews of Richard Reeves when he was a reporter here.
[00:52:56.430 --> 00:53:01.233]  Richard Reeves, who would still be a reporter here, but he had a big heart attack and got taken out of the games.
[00:53:01.233 --> 00:53:03.255]  Great guy, loved to death.
[00:53:03.255 --> 00:53:09.399]  Richard got an interview in New Hampshire with a superdelegate of Hillary's, and he says at the bar, we ought to find that.
[00:53:09.399 --> 00:53:10.840]  See if McBreen or Duke can find that.
[00:53:14.690 --> 00:53:17.791]  It's like 2016, right, for the primary.
[00:53:17.791 --> 00:53:20.072]  And he says, yeah, Bernie can win New Hampshire.
[00:53:20.072 --> 00:53:21.572]  He can win California, doesn't matter.
[00:53:21.572 --> 00:53:23.773]  We're going to give those votes to Hillary.
[00:53:23.773 --> 00:53:25.734]  And they did just that.
[00:53:25.734 --> 00:53:26.694]  But they've gone further.
[00:53:26.694 --> 00:53:37.517]  If you campaign in all these different states they've listed, then they automatically preclude you and take your votes away.
[00:53:37.517 --> 00:53:39.178]  I mean, how is that?
[00:53:39.178 --> 00:53:42.099]  So they're rigging it all for Joe Biden in front of everybody.
[00:53:42.918 --> 00:53:47.582]  And again, not letting Trump, they think, run with all these criminal charges.
[00:53:47.582 --> 00:53:51.745]  Not letting RFK get on the ballot in key states.
[00:53:51.745 --> 00:53:57.089]  That's naked election meddling on a scale of 1 to 10, it's an 11.
[00:53:57.089 --> 00:54:01.293]  I mean, it is brazen, it is butt naked, and it's crazy!
[00:54:02.523 --> 00:54:07.107]  But you see the average leptist programmed by big tech, programmed by AI, programmed by dopamine.
[00:54:07.107 --> 00:54:12.773]  They get promoted on Facebook and Instagram and Google and YouTube and Twitter in the past.
[00:54:12.773 --> 00:54:14.554]  They just spout nonsense.
[00:54:14.554 --> 00:54:16.316]  Two men can have a baby.
[00:54:16.316 --> 00:54:18.698]  Two women can have a baby in prison.
[00:54:18.698 --> 00:54:20.420]  Cut little boys' pee-pees off.
[00:54:20.420 --> 00:54:24.424]  I mean, it's all a litmus test of how far will you lunatics go?
[00:54:24.424 --> 00:54:25.705]  And here's R.F.K.
[00:54:25.705 --> 00:54:25.745]  Jr.
[00:54:27.662 --> 00:54:30.663]  Laying this out and saying to the world, how is this fair?
[00:54:30.663 --> 00:54:32.083]  Well then don't run if it's rigged.
[00:54:32.083 --> 00:54:32.524]  No.
[00:54:32.524 --> 00:54:34.284]  He'll be able to inject real issues.
[00:54:34.284 --> 00:54:36.405]  He'll be able to really expose the fraud.
[00:54:36.405 --> 00:54:39.426]  You go into the fraud to demonstrate it.
[00:54:39.426 --> 00:54:42.927]  They want you to give up because of the fraud and, hey, we'll arrest you if you question elections.
[00:54:42.927 --> 00:54:45.608]  Or, hey, we'll come after you or we'll say you're crazy.
[00:54:45.608 --> 00:54:48.949]  But the majority of Americans, upwards of 80%, believe there's election fraud.
[00:54:48.949 --> 00:54:49.529]  Because there is.
[00:54:50.745 --> 00:54:53.047]  So just because the game's rigged, you don't give up.
[00:54:53.047 --> 00:54:57.331]  You go out and show the referees cheating over and over and over and over and over again.
[00:54:57.331 --> 00:54:58.652]  They'll say, Jones, you're an idiot.
[00:54:58.652 --> 00:55:00.154]  Why do you keep committing to this?
[00:55:00.154 --> 00:55:04.017]  Well, because I'm not rolling over and we're winning the hearts and minds.
[00:55:04.017 --> 00:55:05.759]  The system is what's on the rocks.
[00:55:05.759 --> 00:55:06.340]  Not us.
[00:55:06.340 --> 00:55:07.180]  We're going up.
[00:55:07.180 --> 00:55:09.102]  They're going down.
[00:55:09.102 --> 00:55:11.504]  Resistance is victory when you have the truth.
[00:55:11.504 --> 00:55:11.925]  Here's the clip.
[00:55:13.089 --> 00:55:23.575]  And then the Democratic Party is doing a bunch of things to make sure that I can't, that even if I win more votes than Joe Biden, that they won't count.
[00:55:23.575 --> 00:55:30.458]  Oh, the Democratic Party thinks that I may win New Hampshire, so they've removed Joe Biden from New Hampshire.
[00:55:30.458 --> 00:55:37.282]  And they say that if any candidate, they've passed a rule that says any candidate who actively campaigns in New Hampshire,
[00:55:39.019 --> 00:55:39.239]  I don't
[00:55:54.417 --> 00:55:58.062]  That any votes that you get in Georgia won't count for you either.
[00:55:58.062 --> 00:56:00.565]  What?
[00:56:00.565 --> 00:56:02.347]  Yeah, this is what they're doing.
[00:56:02.347 --> 00:56:10.238]  So I don't know, you know, my name won't be able to appear on the ballot in Georgia if I campaign to New Hampshire.
[00:56:12.179 --> 00:56:14.800]  That's what the DNC is up to now.
[00:56:14.800 --> 00:56:17.101]  So, but I thought Democrats are saving democracy.
[00:56:17.101 --> 00:56:19.582]  This seems like the opposite of democracy.
[00:56:19.582 --> 00:56:21.763]  This seems like totalitarianism.
[00:56:21.763 --> 00:56:26.505]  It's not a good template for democracy, this election cycle.
[00:56:26.505 --> 00:56:30.226]  There are no debates.
[00:56:30.226 --> 00:56:31.446]  You know, I really like R.L.K.
[00:56:31.446 --> 00:56:31.546]  Jr.
[00:56:31.546 --> 00:56:32.607]  and I really like Jimmy Dore.
[00:56:34.036 --> 00:56:39.960]  But you know what Joe Rogan told me, and what RFK, through one of his people, told me just yesterday?
[00:56:39.960 --> 00:56:49.047]  Alex, we love you and what you're doing, and I hang out with Joe on a routine basis, but things are just too radioactive right now, and it's like putting two radioactive sources together, it'll cause an explosion.
[00:56:49.047 --> 00:56:50.048]  Isn't that what we want?
[00:56:50.048 --> 00:56:58.914]  I mean, I'm fine that RFK isn't coming on, and I'm fine that Joe right now has said, yeah, I wanted you on, but there's just too much going on, because Joe can then go out and tell the truth and not get as much heat and have a bigger effect, he thinks.
[00:56:58.914 --> 00:57:00.015]  I don't think that's the case.
[00:57:02.109 --> 00:57:11.518]  The point is, I'm very glad to be seen as, quote, the hydrogen bomb of talk show hosts.
[00:57:11.518 --> 00:57:15.702]  So, there you just saw how they're trying to preclude R.L.K.
[00:57:15.702 --> 00:57:25.470]  Jr., and it's fraud, and it's an attack on the Republic, an attack on your right to vote who you want, and then they want to say it's illegal to question this and indict Trump for it.
[00:57:25.470 --> 00:57:27.973]  It's just over-the-top desperation.
[00:57:29.349 --> 00:57:30.489]  Desperation.
[00:57:30.489 --> 00:57:33.090]  Big D. Desperation.
[00:57:33.090 --> 00:57:34.311]  Desperation.
[00:57:34.311 --> 00:57:36.691]  But that's a dangerous foe when they're desperate.
[00:57:36.691 --> 00:57:39.292]  Because they can really pull some bad stuff.
[00:57:39.292 --> 00:57:41.973]  Attack the power grid, blame it on us, mass shootings, bombings.
[00:57:41.973 --> 00:57:45.014]  And I'm telling you, they got that card in their hand getting ready to play it.
[00:57:45.014 --> 00:57:46.734]  We gotta expose it and back them down.
[00:57:46.734 --> 00:57:47.295]  We'll be right back.
[00:57:47.295 --> 00:57:49.735]  Hour number two.
[00:57:49.735 --> 00:57:54.597]  For everything the globalists hit us with, God, through Mother Nature, has given us the answer.
[00:57:55.424 --> 00:57:55.584]  I don't
[00:58:17.952 --> 00:58:19.694]  Because that's who we're getting it from.
[00:58:19.694 --> 00:58:22.397]  Made right here in Central Texas.
[00:58:22.397 --> 00:58:26.041]  Our private label name is Rebel Zen.
[00:58:26.041 --> 00:58:31.667]  Rebel Zen is a private label of one of the top three or four CBD makers in the country.
[00:58:31.667 --> 00:58:34.470]  It's based right here in Texas and we're giving it to you at 30% off.
[00:58:34.470 --> 00:58:35.571]  And here's what's even crazier.
[00:58:36.192 --> 00:58:37.573]  InfoWars is a one-of-a-kind operation.
[00:58:37.573 --> 00:58:40.754]  And so, please, go to InfoWars store and just make a donation.
[00:58:40.754 --> 00:58:43.135]  And you can make it one time or recurring.
[00:58:43.135 --> 00:58:44.696]  You have a little profile there.
[00:58:44.696 --> 00:58:45.937]  Cancel anytime.
[00:58:45.937 --> 00:58:49.779]  Every 15 days, every month, every 3 months, every 6 months, up to 9 months,
[00:59:06.357 --> 00:59:10.179]  You can go in and every month or every week, whenever you want, you program it.
[00:59:10.179 --> 00:59:13.121]  You just click it and then you decide when you want to make a donation.
[00:59:13.121 --> 00:59:14.221]  So please do that as well.
[00:59:14.221 --> 00:59:19.464]  That way we get 95% of it after credit card fees instead of making 20, 30, 40% like we do on the products.
[00:59:19.464 --> 00:59:21.065]  But these really are amazing products.
[00:59:21.065 --> 00:59:22.785]  The big July 4th sale is going on right now.
[00:59:22.785 --> 00:59:25.767]  This is such a critical platform in the fight against the New World Order.
[00:59:25.767 --> 00:59:27.748]  The enemies out in the open were vindicated.
[00:59:27.748 --> 00:59:29.149]  People are listening more than ever.
[00:59:29.149 --> 00:59:31.270]  But in this major recession going into depression,
[00:59:31.830 --> 00:59:34.231]  And with supply chain breakdowns, I know it's hard.
[00:59:34.231 --> 00:59:36.791]  I know times are tough, so thank you for your support.
[00:59:36.791 --> 00:59:40.432]  But whatever you do, pray for the broadcast and share the articles and the videos.
[00:59:40.432 --> 00:59:43.893]  That you can do for free, and that's just as important as keeping us on air.
[00:59:43.893 --> 00:59:48.814]  So however God leads you in your heart to support us, please support us now, and I thank you from the bottom of my heart.
[00:59:48.814 --> 00:59:53.276]  God bless you.
[00:59:53.276 --> 00:59:57.237]  If you are receiving this transmission, you are the resistance.
[01:00:03.624 --> 01:00:09.230]  Now on to hour number two on this live Friday edition, the Q Shaman, as Aiden Voyage joins us.
[01:00:09.230 --> 01:00:12.534]  Coming up, next segment.
[01:00:12.534 --> 01:00:13.895]  The full clip's about six minutes long.
[01:00:13.895 --> 01:00:15.777]  It's posted up on InfoWars.com.
[01:00:15.777 --> 01:00:16.818]  We'll play a few minutes of it here.
[01:00:16.818 --> 01:00:21.223]  Here's Vivek Ramaswamy, formally announced his plan to shut down the FBI.
[01:00:21.223 --> 01:00:22.364]  I think it's got to be done.
[01:00:22.364 --> 01:00:23.325]  It can't be reformed now.
[01:00:23.325 --> 01:00:24.387]  It's got to be shut down.
[01:00:24.387 --> 01:00:25.368]  Here's his breakdown.
[01:00:25.990 --> 01:00:34.913]  Which brings me to the first arm of the administrative state that I have committed in my administration.
[01:00:34.913 --> 01:00:38.394]  We will not just reform.
[01:00:38.394 --> 01:00:41.255]  Reform is a false promise.
[01:00:41.255 --> 01:00:44.476]  I don't think the people who make that promise believe it's false.
[01:00:44.476 --> 01:00:46.737]  I think they're good people who fundamentally think it's true.
[01:00:46.737 --> 01:00:48.617]  Mostly Republicans are the ones you'll hear it from.
[01:00:48.617 --> 01:00:51.858]  We're going to reform a government bureaucracy.
[01:00:51.858 --> 01:00:53.499]  We're going to reform the administrative state.
[01:00:53.499 --> 01:00:54.219]  We're going to reform
[01:00:55.202 --> 01:00:57.723]  The FBI.
[01:00:57.723 --> 01:01:01.804]  I believe that's a false promise because it cannot be done.
[01:01:01.804 --> 01:01:07.266]  I stand not on the side of reform, I stand on the side of the American Revolution.
[01:01:07.266 --> 01:01:23.952]  And that is why today I am announcing, formally, our plan not to reform the FBI, but to actually shut it down in a way that restores the integrity of our constitutional republic.
[01:01:29.266 --> 01:01:35.130]  And I'd like to explain to you why this is far more practical than it actually sounds.
[01:01:35.130 --> 01:01:40.093]  I have to admit to you guys, this scares a lot of people when I say this.
[01:01:40.093 --> 01:01:52.160]  I cannot tell you the number of my former colleagues and friends who were would-be donors that say my plan to shut down agencies like the ones I'm telling you about today, give them pause in supporting me.
[01:01:52.160 --> 01:01:57.364]  But what I tell them back is actually, you know what's extreme is actually the existence
[01:01:58.351 --> 01:02:03.493]  of a bureaucracy that says that we the people have no say in how our governments actually run or held accountable.
[01:02:03.493 --> 01:02:07.114]  So today, here's the structure of how the federal government is organized.
[01:02:07.114 --> 01:02:14.956]  My task here is to explain to you not only what we will do, but why it is the more practical plan than the status quo.
[01:02:14.956 --> 01:02:26.020]  At the local level, you have the equivalent of the Department of Justice in the form of local prosecutors, and you have the local police, the equivalent at the federal level of the US Marshals.
[01:02:27.915 --> 01:02:33.359]  You do not have a separate investigative unit that sits in between.
[01:02:33.359 --> 01:02:44.929]  When that 35,000 person strong investigative bureaucracy, the FBI, sits in between, that is a formula for corruption.
[01:02:44.929 --> 01:02:48.612]  That is a formula for politicization.
[01:02:48.612 --> 01:02:54.897]  When a bureaucracy exists that should not have exist, that is a formula for rot.
[01:02:54.897 --> 01:02:56.298]  It is the same FBI
[01:02:57.369 --> 01:03:00.711]  That investigated Martin Luther King Jr.
[01:03:00.711 --> 01:03:11.118]  and threatened him with suicide 60 years ago on the back of illicit collected tapes that now threatens its political opponents of a different political persuasion.
[01:03:11.118 --> 01:03:12.439]  So the problems with this are clear.
[01:03:12.439 --> 01:03:15.281]  We have redundancy and waste.
[01:03:15.281 --> 01:03:21.725]  35,000 employees but only 15,000 of them are either agents or actually in investigative roles.
[01:03:21.725 --> 01:03:25.908]  20,000 plus of those employees are just in so-called support roles.
[01:03:27.159 --> 01:03:28.319]  Think about the waste.
[01:03:28.319 --> 01:03:40.324]  That's an extra 1.4 billion dollars per year, just in the headcount costs for that support staff, not counting what they actually spend their money and resources on, which is about ten times more than this.
[01:03:40.324 --> 01:03:42.745]  Mission creep then becomes a problem.
[01:03:42.745 --> 01:03:54.649]  After 9-11 in particular, the mission of this institution completely was dissolved, so that it was able to creep in many different directions, taking on projects it shouldn't have taken on.
[01:03:55.939 --> 01:04:02.903]  And that was the formula and the road that led to the political weaponization that we see today.
[01:04:02.903 --> 01:04:07.165]  This is the status quo as it exists today.
[01:04:07.165 --> 01:04:18.652]  And I'm proud to show you... This is how it will look by the end of 2025.
[01:04:18.652 --> 01:04:21.613]  The end of my first year of my first term.
[01:04:24.056 --> 01:04:26.196]  We will eliminate the FBI.
[01:04:26.196 --> 01:04:29.617]  It will no longer exist as an institution.
[01:04:29.617 --> 01:04:31.677]  But we will be able to move to the U.S.
[01:04:31.677 --> 01:04:51.521]  Marshals, to the DEA, to a series of enforcement agencies that have not been politicized in the same way as the FBI, a subset of the 15,000 employees that are actually conducting real work, and the remaining 20,000 will have an opportunity to search for honest work in the private sector.
[01:04:51.521 --> 01:04:52.201]  We'll be right back.
[01:04:52.201 --> 01:04:52.561]  Stay with us.
[01:04:53.339 --> 01:04:54.982]  There's a worker shortage, last time I heard.
[01:05:06.371 --> 01:05:07.312]  Well, yeah.
[01:05:07.312 --> 01:05:15.497]  The first one, you obviously can go to MyPillow.com, use that promo code ALEX, and you can get all these great discounts on all of our products.
[01:05:15.497 --> 01:05:21.300]  And just by visiting this site, you're going to get a $20 free gift emailed to you immediately.
[01:05:21.300 --> 01:05:28.725]  And there's the biggest special we have right now, the 20-year anniversary MyPillow for $19.98 for the queen size, normally $69.98.
[01:05:30.146 --> 01:05:36.969]  We're celebrating our anniversary with what my employees love to invest, producing and making the MyPillow.
[01:05:36.969 --> 01:05:46.492]  And the model of businessmen and women with can-do know-how using the money for Americana freedom to fight the globalists is what they fear.
[01:05:46.492 --> 01:05:47.992]  That's what the debanking is about.
[01:05:47.992 --> 01:05:49.813]  That's what the financial attacks are about.
[01:05:49.813 --> 01:05:57.416]  That's why we've got to rush to support MyPillow.com and InfoWars.com, plus their great products at both places, because we are the tip of the spear.
[01:06:06.916 --> 01:06:16.459]  Gentlemen, we have called you together to inform you that we are going to overthrow the United States government.
[01:06:16.459 --> 01:06:23.302]  Leading a frontal assault on the lives of the New World Order, it's Alex Jones.
[01:06:23.302 --> 01:06:25.783]  You still think that jet fuel brought down the World Trade Center?
[01:06:28.917 --> 01:06:32.041]  Does anybody else see a problem here?
[01:06:32.041 --> 01:06:37.128]  If the government has nothing to hide, why are they so afraid to answer a few questions?
[01:06:37.128 --> 01:06:39.111]  This story does not add up.
[01:07:14.199 --> 01:07:17.622]  Lois!
[01:07:17.622 --> 01:07:27.171]  Lois!
[01:07:27.171 --> 01:07:34.317]  Jake Chambly, aka Q Shaman, probably the most iconic image of January 6th, is our guest.
[01:07:34.317 --> 01:07:40.103]  He did a great job with Harrison Smith this morning on American Journal, AAM, Central, Infowars.com, Porter's Last Show.
[01:07:41.893 --> 01:07:50.020]  And he is well known for meandering on government property and keeping it real with Capitol Police on January 6th, saying a prayer for him.
[01:07:50.020 --> 01:07:58.708]  And when the footage began to come out, they knew it was coming out, that he was completely innocent, and they waved him in, like most of the crowd, after re-eps and the D.C.
[01:07:58.708 --> 01:08:02.011]  police broke in, he was released from prison.
[01:08:02.011 --> 01:08:03.011]  They said good behavior.
[01:08:03.872 --> 01:08:07.814]  Regardless, ladies and gentlemen, normally they shave 10% off a sentence for good behavior.
[01:08:07.814 --> 01:08:10.276]  They shaved, what, 20% off or so, or more, 30%.
[01:08:10.276 --> 01:08:17.320]  He has got a website, ForbiddenTruthAcademy.com, on Twitter, at American Shaman.
[01:08:17.320 --> 01:08:19.501]  Now let me just say something right here.
[01:08:19.501 --> 01:08:31.789]  I apologize to Jacob for, a few days after I got back, after that disaster on January 6th, knowing we were set up, knowing that Trump wasn't going to replace him on the inauguration, knowing that was a PSYOP,
[01:08:33.047 --> 01:08:33.548]  I don't know.
[01:08:52.904 --> 01:08:56.386]  And he kind of became the little subject of that.
[01:08:56.386 --> 01:09:00.468]  I've been on a lot of people, including folks here at the office.
[01:09:00.468 --> 01:09:04.230]  I mean, I was royally pissed off for a long time, and I still am.
[01:09:07.074 --> 01:09:10.276]  So many others of hundreds of innocent people are still in prison.
[01:09:10.276 --> 01:09:18.341]  I want to get him back soon to talk about his worldview on the New World Order and all the things that are coming out and spirituality and the Great Awakening that I agree with him is here.
[01:09:18.341 --> 01:09:20.202]  And we'll do some of that here in the hour later.
[01:09:20.202 --> 01:09:23.965]  But I want to talk about January 6th, President Trump's indictment.
