[00:00.000 --> 00:12.720]  The year is 2020.
[42:42.200 --> 42:47.880]  to two weeks get it before the next big rush comes take action get the best normal food
[42:47.880 --> 42:55.160]  at the best price now at info or store.com and it supports the info.
[42:55.160 --> 42:59.920]  Attention attention attention to anyone that still wants to live in a free country the
[42:59.920 --> 43:05.440]  new world order chai com globalist syndicate is making its move to implode the dollar and
[43:05.440 --> 43:10.400]  thrust the United States into a civil war by contesting the election they are openly
[43:10.400 --> 43:14.800]  wargaming this at the highest levels of democratic party Nancy Pelosi and others have gone on
[43:14.800 --> 43:20.480]  television and said they will contest the election Trump is going they will hold a separate
[43:20.480 --> 43:25.840]  inauguration for Biden and Kamala Harris and anyone challenging that will be called a racist
[43:25.840 --> 43:31.480]  they will then trigger race riots and violence they've already beta tested around the country
[43:31.480 --> 43:36.240]  we are not living in normal times when these type of things happen in history people are
[43:36.240 --> 43:41.440]  usually caught flat footed because they can't believe they're living in such a criminal era
[43:41.440 --> 43:45.880]  we are we are living in the period where this criminal globalist syndicate has been feeding
[43:45.880 --> 43:50.960]  on America is being exposed and removed now is the time for all good men and women to
[43:50.960 --> 43:59.840]  come to their aid of the country spread the word now paul reveres you're listening to the alex
[43:59.840 --> 44:24.720]  jones show
[44:24.720 --> 44:50.640]  all right i'm not ready to cover this topic i gotta rebroadcast um i gotta go take care
[44:50.640 --> 44:54.720]  of technical stuff around the office anyone else i may have to stand the show today people
[44:54.720 --> 44:59.040]  just do that not a big deal i just i got too many little technicals i got to deal with
[44:59.040 --> 45:02.240]  and i'm very frustrated because i think i've got work i need to get done here at the office
[45:02.240 --> 45:07.480]  to win the war and maybe it's time for me to stop hosting the show because i could be here
[45:07.480 --> 45:12.600]  and get so much done and get things organized if i maybe do the show once a week maybe that's
[45:12.600 --> 45:18.560]  the answer to all this because i really got a lot of work i need to get done okay we got
[45:18.560 --> 45:24.120]  some really good reports here for everybody a lot of really important things for everybody
[45:24.120 --> 45:38.480]  here let's see what we're gonna hear oh hell we just need to air a lot of these of these
[45:38.480 --> 45:42.360]  things all speak for themselves you know what i mean let's air clip 15 tucker carlson and
[45:42.360 --> 45:50.840]  josh holly and then uh let's uh go to ticking time bomb and then we'll figure out something
[45:50.840 --> 45:56.320]  after that stay with us are we gonna see joe biden in the next couple of days after three
[45:56.320 --> 46:02.880]  months of encouraging this violence tell us that he's against it now of course not and
[46:02.880 --> 46:07.840]  the reason is tucker is that the the marxist left and let's just call it what it is the
[46:07.840 --> 46:11.840]  marxist left is essentially in control now the democratic party i mean these are the
[46:11.840 --> 46:17.520]  people who say that america is structurally oppressive and structurally racist and structurally
[46:17.520 --> 46:23.200]  evil and joe biden is is absolutely enthralled to them so this is why he can't come out and
[46:23.200 --> 46:27.320]  condemn what we're seeing right in front of our own eyes which is the assault on law abiding
[46:27.320 --> 46:31.960]  americans and it's time for republicans to stand up clearly and say enough is enough
[46:31.960 --> 46:36.560]  we're not going to be part of this we're not going to condone this ideology this marxist
[46:36.560 --> 46:41.960]  ideology and we're going to protect the american people it's the first job of government and
[46:41.960 --> 46:46.960]  it's time that the american people were protected law abiding citizens it is the first job of
[46:46.960 --> 46:51.160]  government amen you said that is clearly as i've heard anybody say are we gonna start
[46:51.160 --> 46:57.200]  to see more republican office holders say what you just said well i sure hope so and
[46:57.200 --> 47:01.840]  i hope that we will send a very clear message as republicans that this is the job of government
[47:01.840 --> 47:07.560]  and any elected official who has law enforcement responsibility and won't do it needs to resign
[47:07.560 --> 47:11.040]  that means these democrat governors and mayors who are allowing their streets to descend
[47:11.040 --> 47:16.320]  into chaos allowing workers and their families to be assaulted they need to resign and i
[47:16.320 --> 47:20.480]  would just say that the president united states i'd encourage him to use all lawful means
[47:20.480 --> 47:25.000]  at his authority as he has pledged to do to protect the american people in every city
[47:25.000 --> 47:29.200]  it shouldn't be just because you live in a blue state or you live in a blue city that
[47:29.200 --> 47:33.400]  therefore you are not entitled to the rule of law the protection of law every american
[47:33.400 --> 47:38.320]  deserves it as an american and it's time that we sent that message loud and clear it's exactly
[47:38.320 --> 47:42.580]  right because when government won't protect its citizens you get chaos and seventeen
[47:42.580 --> 47:46.680]  year olds with guns start showing up and saying i need to protect the city i mean that's
[47:46.680 --> 48:02.680]  what happens when the police disappear
[48:02.680 --> 48:25.760]  state of war and you have precious little time to save yourself
[48:25.760 --> 48:34.320]  it's a slow process which we call active measures the first state being demoralization it takes
[48:34.320 --> 48:41.760]  from fifteen to twenty years to demoralize the nation the next stage is destabilization
[48:41.760 --> 48:49.360]  what matters is essentials economy foreign relations defense systems the next stage
[48:49.360 --> 48:59.840]  is crisis with a violent change of power structure and economy period of normalization this is
[48:59.840 --> 49:05.360]  what will happen in united states if you allow all these schmucks to put a big brother government
[49:05.360 --> 49:22.720]  in washington dc we will promise lots of things never mind whether the promises are fulfilled
[49:22.720 --> 49:28.160]  or not i'm not throwing a fit here on air because of the crew i am i am just in i am
[49:28.160 --> 49:32.760]  an information complete overload right now i mean i've got so much good news here i've
[49:32.760 --> 49:39.640]  got so much bad news here and i've got so much coming in and so much breaking and so
[49:39.640 --> 49:45.920]  much intel that i'm just overwhelmed because we've got all this exciting stuff happening
[49:45.920 --> 49:49.000]  but i've got to process all this and then i already had something else planned right
[49:49.000 --> 49:55.040]  now and then all the things being put on my desk are incredible because other hosts on
[49:55.040 --> 49:59.200]  other shows who like an hour and maybe forty five minutes of that's their time it's all
[49:59.200 --> 50:03.520]  pre-program it's teleprompters they go to this clip they say that they read this with
[50:03.520 --> 50:06.960]  me i'm telling them what to do i'm getting the articles they're getting the articles
[50:06.960 --> 50:11.520]  i'm reading these things i'm reading documents i'm taking calls from the crew i'm taking
[50:11.520 --> 50:15.440]  calls from my wife and i'm not complaining i think i need to just start turning my cell
[50:15.440 --> 50:26.960]  phone off when i am up here on the air because i hit this max out point now uh where i just
[50:26.960 --> 50:31.400]  can't do it and the show's a good broadcast we got sixty seven days out you can cut the
[50:31.400 --> 50:36.160]  suspense with a knife we all know it uh i i've started this thing the last few months
[50:36.160 --> 50:41.000]  where i have to go to rebroadcast sometime just so i don't start yelling and screaming
[50:41.000 --> 50:47.600]  but we have some very good news and some very exciting news and some incredible news that
[50:47.600 --> 50:53.240]  if we just package this information right like this one story that's breaking around
[50:53.240 --> 50:57.720]  the country it would defeat the whole cup of nineteen hoax and if people got excited
[50:57.720 --> 51:01.920]  about that it would stop the post industrial world and the global collapse and the hell
[51:01.920 --> 51:08.640]  that's coming and so yeah i don't choke under pressure of giving a speech or the police or
[51:08.640 --> 51:15.800]  you know stuff like that but i do get overwhelmed of the pressure that if we don't do this just
[51:15.800 --> 51:20.120]  right we're screwed and and that's really what i'm trying to get across to everybody
[51:20.120 --> 51:24.760]  is that we're not in the normal times we were before that were tumultuous and that were
[51:24.760 --> 51:29.640]  dangerous and we're out of control i mean look at this story on info wars dot com now
[51:29.640 --> 51:36.240]  again we already knew about this five months ago but now it's breaking that from florida
[51:36.240 --> 51:44.560]  to texas to california to new york to michigan to pennsylvania to ohio to arkansas everywhere
[51:44.560 --> 51:53.480]  they purposely did a hundred to one two hundred to one three hundred to one fake covid positives
[51:53.480 --> 51:57.880]  well we know if one person has it they say fifteen have it so when you hear trumps taking
[51:57.880 --> 52:06.200]  away stuff from the cdc and not letting them count people that have covid is having covid
[52:06.200 --> 52:23.440]  but they don't have it i mean this story alone and the pre meditated evil of this look at
[52:23.440 --> 52:30.720]  this article in info wars dot com texas county drops from four thousand six hundred active
[52:30.720 --> 52:40.840]  covid cases to under a hundred after audit and this is on the local news in collin county
[52:40.840 --> 52:45.360]  but i guarantee you like the sun came up this morning if medical doctors come out and talk
[52:45.360 --> 52:49.680]  about this it'll get banned off youtube facebook and twitter faster and you can say kiss my
[52:49.680 --> 52:55.560]  ass all right i'm gonna go to break and then i've got they've got a criminal investigation
[52:55.560 --> 53:01.040]  thank god the just department is at least open criminal investigations on these democrat
[53:01.040 --> 53:06.800]  governors that sent infected people with other diseases into in the nursing homes to kill
[53:06.800 --> 53:11.160]  a bunch of old people to get higher numbers because they had to have some numbers cold
[53:11.160 --> 53:15.520]  blooded murderers qualmo and all the rest of them knew some just all of the scum of
[53:15.520 --> 53:19.880]  the earth my god that's all coming up that's that's big that's big positive news i should
[53:19.880 --> 53:25.640]  open the show up with that so the pressure is getting to me the pressure is getting everybody
[53:25.640 --> 53:29.240]  it's one hell of a ton to be alive but whatever you do let's win this fight tell everybody
[53:29.240 --> 53:32.600]  right now about the broadcast and i'm gonna come back in the next hour and i'm gonna
[53:32.600 --> 53:38.120]  nail the secrets to the feeding the globalist and what they're gonna move next with if we
[53:38.120 --> 53:43.560]  don't stop them and just a basic philosophy that makes my head hurt but is really important
[53:43.560 --> 53:47.240]  in telling information that i know you're already gonna recognize and know yourself but the
[53:47.240 --> 53:51.920]  key is getting that kernel of knowledge that can grow a mighty oak tree out to everyone
[53:51.920 --> 53:57.840]  else and again support the broadcast get info wars t-shirt spread the word meet like-minded
[53:57.840 --> 54:02.400]  people i ran into a fella who came out to the illegal swimming event we had in austin
[54:02.400 --> 54:08.160]  because the parks are all closed by the criminal mayor but everyone's ignoring them now and
[54:08.160 --> 54:13.680]  he said you know i i i was wearing this info wars t-shirt and these people bought my lunch
[54:13.680 --> 54:19.120]  at the gas station i was buying you weren't lying when you said that no you'll probably
[54:19.120 --> 54:23.280]  meet your next best friend maybe your wife your husband your your or you might get hit
[54:23.280 --> 54:27.280]  in the head with a tire iron i told you it's if you go wear an info wars shirt out there
[54:27.280 --> 54:30.600]  it's quite the adventure we got a bunch of them that don't have info wars on them that
[54:30.600 --> 54:34.120]  scares you let me tell you you need to be watching out your info wars shirt because that's a
[54:34.120 --> 54:39.120]  sign you're not a slave of satan that's a sign you're not dead that you're alive and
[54:39.120 --> 54:48.520]  the dead don't like the living it was a sleeper product it wasn't popular at first but as
[54:48.520 --> 54:52.800]  people tried it it's become one of our top five best sellers i'm talking about the eight
[54:52.800 --> 54:58.560]  pack power stack thirteen different pills filled with super nutrients vitamins minerals
[54:58.560 --> 55:02.600]  and more that you take in the morning and one pack and at night it's available right
[55:02.600 --> 55:09.240]  now at 60% off for a limited time you get it with survival shield x2 that's now back
[55:09.240 --> 55:13.240]  in stock this has changed my life and so many other people's lives now here's the problem
[55:13.240 --> 55:18.200]  some of the patented ingredients that are in a pack power stack because of the shutdown
[55:18.200 --> 55:23.880]  and the lockdown are not available for us even reorder it so this could be the last shipment
[55:23.880 --> 55:29.400]  that we ever have it's in stock now take advantage of this new combo special part of a larger
[55:29.400 --> 55:35.000]  cell you have and free shipping on these cell items like eight pack power stack and x2 at
[55:35.000 --> 55:41.320]  infowarstore.com take advantage and get eight pack power stack with x2 60% off and free
[55:41.320 --> 55:49.880]  shipping biggest deal on this ever i don't have to tell you that fish oil is known to
[55:49.880 --> 55:54.760]  be so good for your brain so good for your heart so good for your cells your cardiovascular
[55:54.760 --> 56:01.880]  system your lungs your sleep it's amazing well we set out a few years ago to go out and develop
[56:01.880 --> 56:08.840]  with top manufacturers the strongest highest quality purest fish oil out there and this blend
[56:08.840 --> 56:16.440]  is amazing ultimate fish oil back in stock at infowarstore.com wild anchovy purified fish oil
[56:16.440 --> 56:23.720]  ultra pure arctic krill oil high quality wild caught salmon oil vitamin d vitamin e supports
[56:23.720 --> 56:28.600]  optimal heart health supports optimal joint health supports optimal cognitive health supports
[56:28.600 --> 56:33.160]  immune function supports vascular health supports circulatory health it goes on and on
[56:33.160 --> 56:38.040]  get your ultimate fish oil discounted with free shipping right now at infowarstore.com
[56:38.040 --> 56:54.040]  and ultimate krill oil as well infowarstore.com you're listening to the alex jones show
[56:57.720 --> 57:01.640]  here's some highlights of last night's powerful war with oan shroyer that i'll be back
[57:01.640 --> 57:11.800]  giving you an hour of pure excellence i promise this is clear deception yep this is clearly an
[57:11.800 --> 57:17.560]  attack on america from the media yep yep it's a technocracy you know and it's and the worst part
[57:17.560 --> 57:24.200]  of this technocracy is that the nerds are dumb you know bill gates is dumb the who is dumb you
[57:24.200 --> 57:31.160]  know it reminds me that in june or late may who had to end up retracting they said that there
[57:31.160 --> 57:36.520]  you couldn't make antibodies from the coronavirus and then everybody said okay well then how are
[57:36.520 --> 57:41.240]  we supposed to have a vaccine and then who ended up withdrawing that tweet withdrawing that letter
[57:41.240 --> 57:45.160]  so that bill gates could go out and say oh it's coming in four months it's coming in two months
[57:45.160 --> 57:48.440]  it's coming at the end of the year it's coming at the beginning of next year and it just seemed
[57:48.440 --> 57:52.840]  a little schizophrenic and so here we go with the second pass at it where they're going to
[57:52.840 --> 57:56.760]  throttle us with the science throw us into a schizophrenic rage and then we're just going
[57:56.760 --> 58:02.680]  to listen to the technocrats who again are crappy nerds they don't actually understand what they're
[58:02.680 --> 58:07.160]  talking about you'll see once again you'll see written house running away you'll see this guy
[58:07.160 --> 58:11.160]  with the red shirt wrapped around his face chasing after him he throws something and then you see him
[58:11.160 --> 58:15.560]  basically attack and at that point you hear the gunfire and then written house actually runs around
[58:15.560 --> 58:20.520]  the cars and re enters the frame on the left so let's go to clip number six now this is the first
[58:20.520 --> 58:28.760]  shooting i believe this is from bg on the scene if i'm not mistaken so here's some pain
[58:33.080 --> 58:38.120]  and here you see written house once again entering from the left there he is he approaches the man
[58:38.120 --> 58:43.320]  who is now down having been shot in the head he looks at him he gets his phone out he actually
[58:43.320 --> 58:49.000]  calls 911 and as he's running away it's very faint you can actually hear him say i just shot somebody
[58:49.000 --> 58:54.280]  we're thinking that he called 911 which is the proper thing to do if you are in a shootout
[58:54.280 --> 58:58.360]  as a legal gun owner the first thing you do is call the police and let them know what happened
[58:58.360 --> 59:03.000]  and let them know you're not a threat i'll tell you right now and i've been saying it for a long
[59:03.000 --> 59:09.640]  long time and i wonder if anyone in dc is ever gonna pull their head out of their inflated ass
[59:09.640 --> 59:21.400]  cut the head off the snake period i don't know what you got to do to get rid of this mainstream
[59:21.400 --> 59:28.040]  media propaganda i don't know what you got to do to stop the black lives matter and antifa riot mobs
[59:28.040 --> 59:33.720]  i don't know what you got to do to bring down this democrat terrorist hate group cabal i don't know
[59:33.720 --> 59:38.120]  what you got to do to stop sorrows from funding all of it i don't know what you got to do to remove
[59:38.120 --> 59:45.000]  all of obama's judges off the bench and all of sorrows's lawyers off of the bench but you better
[59:45.000 --> 59:53.560]  do it and you better do it fast real fast otherwise all this stuff about oh the best is yet to come
[59:53.560 --> 1:00:02.920]  well unless you have a bloodlust for death in the streets then no no the best is not yet to come
[1:00:02.920 --> 1:00:13.960]  um so with that we go out to your phone calls you'll get two minutes max so we
[1:00:16.360 --> 1:00:20.840]  yeah he even is tolerant there he's getting attacked and he doesn't even fire yet now he's falling
[1:00:23.320 --> 1:00:25.560]  there's the first shot there's the second
[1:00:25.560 --> 1:00:32.680]  third and he gets up
[1:00:34.280 --> 1:00:40.440]  and continues to calmly walk away of your other gunfire ring out now we're not even sure where
[1:00:40.440 --> 1:00:46.280]  that's coming from and this clip actually continues as call written house uh runs to the police and
[1:00:46.280 --> 1:00:51.640]  you actually see him basically attempt to turn himself in uh at the end of this clip he's walking
[1:00:51.640 --> 1:00:55.080]  towards the police there that are now approaching the scene they've been alerted that somebody's been
[1:00:55.080 --> 1:01:02.280]  shot uh and the ems and uh police are rushing in like they always do like they are paid to do like
[1:01:02.280 --> 1:01:07.480]  you know is a prerequisite for having any sort of civilization the police the authority who have
[1:01:07.480 --> 1:01:13.800]  been endowed with the monopoly on violence in order to quell unrest just like this they are now
[1:01:13.800 --> 1:01:18.040]  rushing towards the scene you see uh call written house approaching with his hands up here's the
[1:01:18.040 --> 1:01:27.800]  slow motion of that second shooting event you see somebody tried to jump on him to attack him he
[1:01:27.800 --> 1:01:32.120]  gets shot you see somebody else hit him in the head with a skateboard he is shot now there's a
[1:01:32.120 --> 1:01:38.600]  brief moment and where this guy pauses and then attacks now it's hard to see in this video but
[1:01:38.600 --> 1:01:44.920]  we'll show you with these still images that last person to attack was holding a pistol at the time
[1:01:44.920 --> 1:01:50.120]  and was near um you know this is some of the excellent reporting you get on the war room
[1:01:50.120 --> 1:02:01.800]  it's amazing three p.m. central you hear that that's the march of the united nations
[1:02:03.080 --> 1:02:09.240]  and the billa malinda gage foundation coming with their battle plan psychological warfare
[1:02:09.240 --> 1:02:15.240]  operation with the forced inoculations and the permanent lockdown of civilization and
[1:02:15.240 --> 1:02:20.920]  society they're outlawing people being able to get colds or the flu they're creating artificial
[1:02:20.920 --> 1:02:25.480]  phobias for normal death that takes place they're not even promising to have a cure to it all
[1:02:25.480 --> 1:02:31.160]  they're just inflicting new phobias on everyone to bring in their planetary regime directed by the
[1:02:31.160 --> 1:02:40.040]  who with vaccines that actually change your dna and make you owned by microsoft it's a final
[1:02:40.040 --> 1:03:02.840]  frontier it's the year 2020 it's not coming it's here and submission is blood in the water
[1:03:02.840 --> 1:03:09.480]  never before have i turned on you you look too good to me the media i think i crap me into and i
[1:03:09.480 --> 1:03:15.240]  just can't let you be but it's a free for all and the heart has said you can't bet your life
[1:03:15.240 --> 1:03:33.720]  all right this can't be done in one show or one segment but i'm gonna give it a shot
[1:03:34.600 --> 1:03:36.840]  i'm your host alex jones we're now in the second hour
[1:03:38.920 --> 1:03:42.280]  we have some special guests coming up i'll tell you about one in studio but let me just start now
[1:03:42.280 --> 1:03:50.760]  we can look at the world and take each event on its own and just address it in a one-dimensional
[1:03:50.760 --> 1:03:58.440]  fashion or we can look what has led to that and obviously hollywood the chinese that
[1:03:59.000 --> 1:04:03.640]  communists that know most of it have financed the race riots the breakdown of civilization
[1:04:03.640 --> 1:04:12.440]  with all the purge movies and all the hunt movies but it's not conservatives that are hunting the
[1:04:12.440 --> 1:04:18.520]  innocent liberals that was in all the earlier purges then the new movies came out where the
[1:04:18.520 --> 1:04:27.240]  left hunts the right wing that's all just a tiny microcosm of being two-dimensional
[1:04:27.240 --> 1:04:34.600]  seeing the pre-programming for race war in hundreds of shows hundreds of movies tens
[1:04:34.600 --> 1:04:40.520]  of thousands of news articles and then going gee i wonder why they're pushing that
[1:04:42.760 --> 1:04:47.160]  and then you can read wiki leaks white papers you can read documents you can see statements
[1:04:47.160 --> 1:04:52.120]  by the communists and by the globalists and by the chikoms admitting they plan to break our country up
[1:04:52.120 --> 1:05:01.080]  and it all culminated with the joker early this year which showed rioting and killing police and
[1:05:01.080 --> 1:05:06.360]  burning everything down and how beautiful and wonderful it is to put out the green light
[1:05:08.120 --> 1:05:13.320]  to all the child molesters and all the methods and all the devil worshipers to go out and go crazy
[1:05:14.040 --> 1:05:18.600]  and try to get black people to go along with you and look it was just black people doing this or
[1:05:18.600 --> 1:05:23.080]  leading it i'd say it there's a lot of black folks involved but they're mainly young and dumb
[1:05:24.040 --> 1:05:29.160]  it's it's led by really trashy white people and then academics above them so i said i'd come to
[1:05:29.160 --> 1:05:35.560]  this segment and give you solutions to the big enchilada well first off people need to realize
[1:05:35.560 --> 1:05:46.760]  that being aware and being informed and being engaged is not work it is building your mental
[1:05:46.760 --> 1:05:53.160]  muscles it's it's making neuron neural connections that you're an active person in the world that's
[1:05:53.160 --> 1:06:00.680]  affecting your destiny and others not a receiver not a jellyfish not a potted plant that doesn't
[1:06:00.680 --> 1:06:07.240]  control its own destiny and so first you have to decide that you have a destiny
[1:06:09.640 --> 1:06:13.480]  and then you have to get knowledge and history and understanding and then
[1:06:13.480 --> 1:06:17.320]  you have to really think about what is the nature of the world and discover that there's
[1:06:17.320 --> 1:06:20.680]  good versus evil and that's a constant and it's a law of the universe
[1:06:22.920 --> 1:06:28.760]  and then you have to decide that you do have a soul and and and that you're an electrical
[1:06:28.760 --> 1:06:37.240]  being of energy not a white person not a black person not an old person not a young person but a
[1:06:37.240 --> 1:06:44.120]  transcendent creation made the image of god and the enemy knows that and doesn't like that
[1:06:47.400 --> 1:06:50.360]  so you have to love yourself because you love god and god made you
[1:06:52.200 --> 1:06:58.040]  but you have to hate the part of you that is not closest to god to recognize that you have to
[1:06:58.040 --> 1:07:07.320]  choose who you serve serve god serve yourself so there's all these books about self-help and all
[1:07:07.320 --> 1:07:11.800]  these different ideas and I quite frankly I haven't read it hardly any of them I've scanned over them
[1:07:11.800 --> 1:07:16.360]  and it's regurgitation of three or four different old philosophies and a lot of it's true a lot of
[1:07:16.360 --> 1:07:29.240]  it's not but if you're a leader here's an example if you're a leader are you a leader leading people
[1:07:29.240 --> 1:07:34.280]  according to the orthodoxy or according to a particular system are you a good manager are
[1:07:34.280 --> 1:07:41.720]  you a good priest of whatever order it is you're pushing did you originate by a direct connection
[1:07:41.720 --> 1:07:51.000]  to god and in god's universe the prime directive or was it some filtered system of man another
[1:07:51.000 --> 1:07:59.320]  knowledge of evil fallen system and so that's the beginning of are you a leader leading people in
[1:07:59.320 --> 1:08:08.600]  someone else's philosophy or are you a leader seeking the truth using god's discernment god's
[1:08:08.600 --> 1:08:14.280]  spirit through you to gain greater knowledge of the universe to help others and help yourself
[1:08:15.000 --> 1:08:19.800]  build a wider greater pure more beautiful enlightened open system
[1:08:23.400 --> 1:08:29.080]  but to do that you're not just going to have to focus on god's guidance you're
[1:08:29.080 --> 1:08:35.320]  going to have to face the darkness and realize what it is because to know god and to know the
[1:08:35.320 --> 1:08:48.520]  light is to also know say and to not play games with that so real leadership is pure individualism
[1:08:48.520 --> 1:08:55.080]  connected to god but realizing that you yourself will have to make sacrifices for the greater
[1:08:55.080 --> 1:08:59.320]  collective now they invert that and say oh we're all a collective but a small group tells what to
[1:08:59.320 --> 1:09:04.840]  do no no no individuals make decisions that are right for everyone and themselves and others
[1:09:04.840 --> 1:09:14.120]  for the greater good that is the pure collectivism of god but in that collective in that colony
[1:09:14.120 --> 1:09:18.840]  organism there is the individual spirit the individual cell the individual system
[1:09:20.760 --> 1:09:30.200]  that is pointed at god not pointed at man's system that's why we have god over our republic because
[1:09:30.200 --> 1:09:35.240]  man would make themselves god we have to recognize we are not god we are not the highest there is a
[1:09:35.240 --> 1:09:40.120]  transcendence there are more levels above us we must recognize that we are children
[1:09:43.160 --> 1:09:46.600]  now i can talk for a thousand hours on these subjects but i just want you to understand that
[1:09:47.960 --> 1:09:52.440]  let's just get to some basics i talked about one example of propaganda and not being one-dimensional
[1:09:53.400 --> 1:09:59.560]  being two-dimensional well three-dimensional would be well okay we know that there's propaganda
[1:09:59.560 --> 1:10:04.280]  making us do this why is this being done who is behind that that's third-dimensional
[1:10:06.280 --> 1:10:12.200]  and then fourth-dimensional what is the oppositional groups what's the larger pantheon of systems and
[1:10:12.200 --> 1:10:17.400]  is there a fifth-dimensional system directing those systems against each other for another aim
[1:10:18.200 --> 1:10:23.240]  you can't just look at this aim the right hand or the left hand aim you have to then look at the
[1:10:23.240 --> 1:10:29.000]  larger systems around that and what is really governing them and most people that are at advanced
[1:10:29.000 --> 1:10:33.880]  level of research understand the universe gets stuck at a fifth-dimensional level but then there
[1:10:33.880 --> 1:10:41.000]  are the dimensions above that you caught up in the fifth dimension in the complexity and the
[1:10:41.000 --> 1:10:46.840]  machiavellianness of it from a human perspective and you think that oh it must get more complex as
[1:10:46.840 --> 1:10:54.360]  you go up but it actually gets more simple but more pure but because we're not pure beings we
[1:10:54.360 --> 1:10:59.720]  cannot even begin to read that information understand it because we're children and it's
[1:10:59.720 --> 1:11:07.320]  a process of learning just like in life on this level of our spirits experience our souls experience
[1:11:08.040 --> 1:11:12.360]  a three-year-old doesn't know what an 80-year-old knows a 20-year-old doesn't know what a 60-year-old
[1:11:12.360 --> 1:11:20.040]  knows a man will never know what a woman knows a woman will never know what a man knows but
[1:11:20.040 --> 1:11:25.880]  through this level we fuse at the next level that's why the satanists try to create a system
[1:11:26.520 --> 1:11:32.280]  on this level where they fuse man and woman it's an abomination because they've just seen the next
[1:11:32.280 --> 1:11:42.440]  level but still the spirit is male with female now i don't want to get esoteric because you're
[1:11:42.440 --> 1:11:45.080]  not going to get any of this in books you're not going to get any of this in globalist
[1:11:45.080 --> 1:11:48.440]  writings i get any of this in church you're not going to get this in solemn and secret scrolls
[1:11:48.440 --> 1:11:51.160]  you're not going to get this anywhere you're going to get this with a direct connection to God
[1:11:51.160 --> 1:12:00.040]  but let's talk when we come back about specifics now and specifics to lead us out of this evil
[1:12:00.040 --> 1:12:05.480]  and what specific leadership could be executed now that would change the world because we have the
[1:12:05.480 --> 1:12:13.240]  keys to the castle we have the deed to the castle we have the will to open the door to the castle
[1:12:13.240 --> 1:12:19.240]  we have the mind and the soul that once we're in the castle to realize it's not a castle at all
[1:12:20.920 --> 1:12:29.320]  but another dimensional gateway and itself a ship that once you realize this a ship opens up
[1:12:30.120 --> 1:12:36.360]  and is a whole another level of the universe but we'll move past the big trillion mile view
[1:12:36.360 --> 1:12:43.400]  right into the subatomic view on the other side here on terra firma planet earth the year 2020
[1:12:43.400 --> 1:12:48.200]  the year of vision the year of awakening the year of understanding the year of the saintness fear
[1:12:48.200 --> 1:12:54.360]  stay with us i'm going to say something right now that is one of the most important things i've
[1:12:54.360 --> 1:13:01.000]  ever said so please listen very very carefully donald trump is not the reason they released
[1:13:01.000 --> 1:13:06.520]  covid or had the lockdown they already had this plan the rockefeller foundation and billa melinda
[1:13:06.520 --> 1:13:12.120]  gates it is beyond critical it is life and death for you and your family to understand
[1:13:12.120 --> 1:13:17.880]  no matter where you live on the planet but this is a worldwide world government take over on record
[1:13:18.600 --> 1:13:24.520]  that it's never going to end the united nations has admitted that first it's a month then it's six
[1:13:24.520 --> 1:13:29.800]  months then they say okay it's two years they're now saying two years they're now saying you'll
[1:13:29.800 --> 1:13:35.960]  never go back to normal no more gatherings no more anything constant force inoculations
[1:13:35.960 --> 1:13:42.200]  that they admit don't even work in the way they say they work they change your dna this is the
[1:13:42.200 --> 1:13:47.480]  culling of the planet this is the beginning of the straitjacket being put on you before you're
[1:13:47.480 --> 1:13:54.840]  slowly tortured to death and kill do you understand how do you contest an election in the year 2020
[1:13:54.840 --> 1:14:00.920]  well you trigger race riots and you tell the blue states and blue cities when you're the
[1:14:00.920 --> 1:14:07.000]  speaker of the house that you are legitimately now the president that's what she said on cbs news
[1:14:07.000 --> 1:14:13.000]  and that you're going to have those blue states secede yes that's officially called a civil war
[1:14:13.000 --> 1:14:17.320]  ladies and gentlemen and the democrats are backed by the eu hollywood the chicobs and the whole
[1:14:17.320 --> 1:14:22.920]  globalist system this is treason with a capital t and our federal government is so paralyzed
[1:14:22.920 --> 1:14:27.480]  with cowards they won't even stand up against it and do anything even though our president has
[1:14:27.480 --> 1:14:32.200]  been exposing it but here's the bottom line you need storeable food we've got the best quality
[1:14:32.200 --> 1:14:36.520]  ready to ship to you right now two to four week delivery with 80 days out from the election you
[1:14:36.520 --> 1:14:40.840]  need to get high quality storeable food right now in case they are able to pull this off we're
[1:14:40.840 --> 1:14:44.280]  going to have a great depression war on the streets that will make a road warrior look like a cake
[1:14:44.280 --> 1:14:49.720]  walk your high quality storeable foods now and get ready and get prepared at infowarstore.com get
[1:14:49.720 --> 1:14:57.240]  prepared you're listening to the alex jones show
[1:15:04.040 --> 1:15:09.880]  news analysis reports it's the alex jones show
[1:15:13.080 --> 1:15:19.400]  all right so let's cut right to the chase here leadership now is about understanding
[1:15:19.400 --> 1:15:24.760]  the types of leadership and there's leadership by example there's there's there's there's
[1:15:24.760 --> 1:15:30.680]  leadership by carrying out your duty but if you boil it all down there's leadership of following
[1:15:30.680 --> 1:15:34.760]  other people's directives and so within that system you're leading people to go along with
[1:15:34.760 --> 1:15:42.280]  something else or are you leading people against the system we have to then know what system is
[1:15:42.280 --> 1:15:47.240]  that well there's a global government system coming in and absorbing all the other systems
[1:15:47.240 --> 1:15:54.200]  to create one system so there's no resistance that's an oversimplification and so when you
