[00:00:00.069 --> 00:00:01.290]  Welcome my friends.
[00:41:56.703 --> 00:41:58.504]  You know, your vote is wasted.
[00:41:58.504 --> 00:41:59.185]  No, it's not.
[00:41:59.745 --> 00:42:07.330]  A wasted vote is not voting your heart and conscience for the candidate that you think would do the best job for you.
[00:42:07.330 --> 00:42:24.222]  And if we would all break this mold of somehow thinking that, you know, and stop the Democrats and Republicans and their two-party dictatorship that's going on in this country, and start voting for third-party candidates, start electing people that are not part of this system that we have.
[00:42:24.833 --> 00:42:33.382]  We were talking during a break and you said Obama's the best of the three, and I tend to agree, but it's kind of like, you know, the best of three latrines.
[00:42:33.382 --> 00:42:41.070]  I mean, he is for the establishment on every issue, but he did vote right on the war, so we got to hand him, you know, that.
[00:42:41.070 --> 00:42:46.856]  But your take on this race, Barack Obama, Hillary, bomb, bomb, bomb, bomb, Iran, McCain.
[00:42:47.737 --> 00:42:59.169]  Well, first of all, McCain has already said that we'll stay in Iraq for 100 years if we have to, so that eliminates him from any consideration on my part.
[00:42:59.169 --> 00:43:01.612]  The problem with Hillary is this.
[00:43:01.612 --> 00:43:06.257]  If you count when George H.W.
[00:43:06.257 --> 00:43:08.159]  Bush was vice president with Reagan,
[00:43:08.820 --> 00:43:14.245]  We have had only, in the administration, we've had only Bushes and Clintons since 1980.
[00:43:14.245 --> 00:43:15.846]  Now that's 28 years.
[00:43:15.846 --> 00:43:18.368]  Are we a dual monarchy?
[00:43:18.368 --> 00:43:27.876]  Because if Hillary gets elected for two terms, that's another eight years of Clintons, which will be more than half of my adult life.
[00:43:27.876 --> 00:43:35.682]  I'm 36 years old, and we've had Clintons and Bushes in the White House since over half of the time that I've been allowed to vote.
[00:43:36.573 --> 00:43:37.314]  That's a good point.
[00:43:37.314 --> 00:43:41.056]  When Reagan got in with his VP, how old were you in 1980?
[00:43:41.056 --> 00:43:44.579]  In 1980, I would have been what?
[00:43:44.579 --> 00:43:45.240]  I was born in 51.
[00:43:45.240 --> 00:43:47.681]  So, I don't know.
[00:43:47.681 --> 00:43:48.322]  Do the math.
[00:43:48.322 --> 00:43:50.524]  I've been up since 430.
[00:43:50.524 --> 00:43:52.525]  That's more than half your life.
[00:43:52.525 --> 00:43:53.786]  Yeah.
[00:43:53.786 --> 00:43:56.688]  It's more than half of my life.
[00:43:56.688 --> 00:44:01.592]  We've had Bush's or Clinton's only part of the White House or the administration.
[00:44:03.388 --> 00:44:05.311]  I agree with you, and that brings me into the next subject.
[00:44:20.098 --> 00:44:30.533]  You have boldly spoken out as a soldier yourself, understanding how firearms operate, that the Kennedy situation with JFK is a cover-up.
[00:44:30.533 --> 00:44:35.159]  I know you've been on a book tour, but the BBC came out on Monday
[00:44:36.040 --> 00:44:55.448]  Uh, with video footage and photos from the Ambassador Hotel, and they had, what, four different former CIA colleagues watch the film footage and say, yeah, you know, that's the known CIA officers from Southeast Asia, and the known CIA officers that on his deathbed
[00:44:56.701 --> 00:44:59.867]  E. Howard Hunt said we're involved killing JFK.
[00:44:59.867 --> 00:45:00.889]  He was running the operation.
[00:45:00.889 --> 00:45:03.013]  I, by the way, folks, have the only video of that.
[00:45:03.013 --> 00:45:03.915]  It hasn't been released yet.
[00:45:03.915 --> 00:45:05.999]  I'm going to put it in a film I'm making about JFK.
[00:45:05.999 --> 00:45:06.861]  I got it from his son, St.
[00:45:06.861 --> 00:45:07.823]  John Hunt.
[00:45:09.295 --> 00:45:13.399]  So now we even have the film footage of them there at the Ambassador Hotel.
[00:45:13.399 --> 00:45:19.844]  We have this individual, Caesar, shooting him in the back four times.
[00:45:19.844 --> 00:45:21.525]  You're talking Robert now, right?
[00:45:21.525 --> 00:45:23.347]  Yes, Robert Kennedy.
[00:45:23.347 --> 00:45:31.554]  So I'm just giving the listeners some background here, but now with Robert Kennedy, even the BBC and NBC are saying the CIA killed him.
[00:45:31.554 --> 00:45:33.315]  A, are you aware of those revelations?
[00:45:33.315 --> 00:45:36.258]  And B, your comment, not just on JFK, but RFK.
[00:45:37.238 --> 00:45:57.706]  Well, I certainly have studied the JFK murder much more than the RFK murder, because when I was wrestling, it was interesting that I flew a lot, and so one day I picked up a book on the JFK, one of the conspiracy books, and I got hooked on it, because it's far more intriguing than anything Tom Clancy could even write about.
[00:45:58.486 --> 00:46:02.467]  And so I've studied it for years and years.
[00:46:02.467 --> 00:46:10.229]  I believe totally that Howard Hunt and the same people that did Watergate are the ones who were instrumental in killing John F. Kennedy.
[00:46:10.229 --> 00:46:12.749]  What I found interesting, though, is this.
[00:46:12.749 --> 00:46:19.971]  Do you remember when LBJ announced that he would not seek, nor would he accept, his nomination for a second term as president?
[00:46:19.971 --> 00:46:20.191]  In 1967, yes, sir.
[00:46:21.651 --> 00:46:22.212]  Exactly.
[00:46:22.212 --> 00:46:28.639]  Isn't it, do you think it's just coincidence that a mere three days later Robert F. Kennedy was assassinated?
[00:46:32.500 --> 00:46:36.564]  Absolutely, but now, I mean, the coroner in L.A.
[00:46:36.564 --> 00:46:41.508]  always said he was shot four times in the back with a different caliber than what Serhan Serhan was shooting.
[00:46:41.508 --> 00:46:47.112]  Serhan only got one shot off before they grabbed him and aimed the gun at the floor and he still squeezed off the rounds.
[00:46:47.112 --> 00:46:52.296]  And then you've got this known CIA operative who was behind
[00:46:53.517 --> 00:46:57.480]  I think so, and I think John F. Kennedy, to me, if you take that also from a standpoint of very basic common sense,
[00:47:19.151 --> 00:47:35.566]  Okay, they want us to believe that Oswald was this disgruntled little Marine who became Marxist-Leninist, ran off to Russia, defected, married a Russian woman, came back, hated our policy on Cuba, decided to get famous and shoot the President, right?
[00:47:35.566 --> 00:47:36.807]  That's incredible.
[00:47:36.807 --> 00:47:44.834]  Well, first of all, if that's true, then why would anything have to be locked up because of national security?
[00:47:45.606 --> 00:48:01.500]  Because I was a Navy SEAL with a top-secret security clearance when I was in, and I certainly knew a few things, but I didn't know that much that would require the majority of everything, including my tax records, to be locked up because of national security.
[00:48:01.500 --> 00:48:10.888]  But now, if you were involved in a secret CIA, shall we say, espionage program to a false defection over to Russia,
[00:48:11.508 --> 00:48:16.790]  Well then certainly you would have knowledge and documentation that probably should be locked up.
[00:48:16.790 --> 00:48:17.950]  Well here's the proof!
[00:48:17.950 --> 00:48:18.970]  Here's the proof!
[00:48:18.970 --> 00:48:23.531]  Three years ago, because it is 40-something years later, they did release a CIA control number.
[00:48:23.531 --> 00:48:28.573]  He was at the U-2 spy base in Japan, and then when he defected back to the U.S.
[00:48:28.573 --> 00:48:29.773]  they didn't even debrief him.
[00:48:29.773 --> 00:48:35.535]  They just let him come right back into the country with his bride, as if he'd just defected and been an evil traitor.
[00:48:35.535 --> 00:48:36.555]  They just let him back in.
[00:48:37.055 --> 00:48:45.582]  Well, actually, that isn't quite true, because he disappeared in Amsterdam for a couple days and it was there, I believe, that he went to a CIA safe house.
[00:48:45.582 --> 00:48:48.184]  No, I know, but I mean, officially, they say they just let him in.
[00:48:48.184 --> 00:48:48.624]  You're right.
[00:48:48.624 --> 00:48:49.384]  Exactly.
[00:48:49.384 --> 00:48:58.932]  Officially, they say he just got in, but if you follow it closely, you'll realize that he spent a couple days in Holland, and I think that's where it took place, at a safe house.
[00:48:58.932 --> 00:49:02.134]  Governor Ventura, you, in your book, talking about...
[00:49:03.815 --> 00:49:21.852]  With a fake news headline saying, while independent presidential candidate Jesse Ventura is in a coma for the fourth consecutive day clung to life with family members gathered at his side, a White House press spokesman denied mounting allegations that accused assassin Raul Santana was part of a wider plot.
[00:49:21.852 --> 00:49:25.295]  One entry reads, what are you saying at the end of the book with that statement?
[00:49:25.795 --> 00:49:30.457]  Well, what I'm saying is, the book is factual all the way till the last chapter.
[00:49:30.457 --> 00:49:36.379]  And I'm kind of throwing it out there, I hope I don't ruin it for everybody, but the last chapter is fiction.
[00:49:36.379 --> 00:49:40.340]  And I use myself as an example, and here's what I'm saying.
[00:49:40.340 --> 00:49:53.064]  I believe very strongly that if an independent candidate like myself, a rogue, were to get into the President's race legitimately, if the polls believed it looked like he had a chance to win,
[00:49:53.684 --> 00:50:10.473]  I believe that that candidate would either be physically assassinated or would be assassinated credibility-wise or in some manner by our government because I do not believe they would ever allow a true independent or a citizen to become President of the United States.
[00:50:10.473 --> 00:50:15.016]  And I would say, and I say this in all seriousness, watch out Barack Obama.
[00:50:16.468 --> 00:50:17.230]  Absolutely.
[00:50:17.230 --> 00:50:20.857]  Incredible revelations from Jesse the Mind Ventura, Governor.
[00:50:20.857 --> 00:50:28.111]  Ventura, final segment coming up, sir, but not just the book, Don't Start a Revolution Without Me, any personal websites or other places you want to give out?
[00:50:29.615 --> 00:50:31.216]  Uh, no, not really.
[00:50:31.216 --> 00:50:37.981]  Just, again, I look forward to people hopefully waking up in this country and stop being a lemming.
[00:50:37.981 --> 00:50:39.643]  Stop being lemmings.
[00:50:39.643 --> 00:50:42.605]  Shows like yours, Alex, can help prevent this.
[00:50:42.605 --> 00:50:47.588]  Well, let's talk about how we prevent it, how we stand up to the oligarchy on the other side.
[00:50:47.588 --> 00:50:51.091]  Final segment with Governor Jesse Ventura.
[00:50:51.091 --> 00:50:52.932]  I'm Alex Jones, InfoWars.com.
[00:50:54.528 --> 00:51:07.686]  Now from the makers of Loose Change, the most downloaded film in internet history, comes the long-awaited release of Loose Change Final Cut, an entirely new two-hour film that completely destroys the official fable forever.
[00:51:07.686 --> 00:51:11.512]  Loose Change Final Cut hopes to be a catalyst for a new independent investigation.
[00:51:11.852 --> 00:51:18.737]  In which family members receive answers to their questions and the true perpetrators of this horrendous crime are brought to justice.
[00:51:18.737 --> 00:51:22.140]  Loose Change Final Cut is the ultimate 9-11 expose.
[00:51:22.140 --> 00:51:30.045]  From hijackers being trained at US military bases to bombs in the buildings, Loose Change Final Cut is the one 9-11 film everyone must see.
[00:51:30.045 --> 00:51:35.449]  Secure your copy of Loose Change Final Cut today at InfoWars.com or PrisonPlanet.com.
[00:51:35.449 --> 00:51:39.152]  While you're visiting the online video store, be sure to check out the huge discounts.
[00:51:39.412 --> 00:51:45.677]  On films like Endgame, Blueprint for Global Enslavement, America, Freedom to Fascism, and hundreds of other titles.
[00:51:45.677 --> 00:51:48.299]  We're in a no-holds-bar information war.
[00:51:48.299 --> 00:51:54.284]  Truth is our weapon, and PrisonPlanet.com has the tools you need to take the fight back to Big Brother.
[00:51:54.284 --> 00:51:56.105]  Hi, this is Brother Michael Dimon.
[00:51:56.105 --> 00:52:02.090]  You can now get the most important package ever on what has happened to the Catholic Church in the last 50 years.
[00:52:02.090 --> 00:52:06.594]  Find out how this massive crisis concerning the Catholic Church happened, what happened,
[00:52:06.894 --> 00:52:07.394]  We're good to go.
[00:52:25.968 --> 00:52:30.192]  The last word monastery spelled M-O-N-A-S-T-E-R-Y.
[00:52:30.192 --> 00:52:30.672]  Or call us at 1-800-275-1126.
[00:52:30.672 --> 00:52:30.892]  That's 1-800-275-1126.
[00:52:30.892 --> 00:52:34.055]  Or mail in your order to us at 4425 Schneider Road, Fillmore, NY 14735.
[00:52:34.055 --> 00:52:38.098]  The total cost for this massive package of information is only $10.
[00:52:38.098 --> 00:52:39.279]  $15 for UPS ground or $30 outside the U.S.
[00:52:54.514 --> 00:52:55.235]  Alright, Dad.
[00:52:55.235 --> 00:52:56.536]  Let me get this straight.
[00:52:56.536 --> 00:52:58.699]  Uncivil Liberties takes place in the future, right?
[00:52:58.699 --> 00:52:59.720]  Like Star Wars?
[00:52:59.720 --> 00:53:00.561]  Yeah, that's right.
[00:53:00.561 --> 00:53:01.742]  Slightly in the future.
[00:53:01.742 --> 00:53:02.823]  Wait a second.
[00:53:02.823 --> 00:53:06.107]  I thought Star Wars took place a long, long time ago.
[00:53:06.107 --> 00:53:07.148]  Alright, Einstein.
[00:53:07.148 --> 00:53:09.330]  But it is kind of like Star Wars anyway.
[00:53:09.330 --> 00:53:15.958]  Just like Star Wars, there's an evil empire and some people have started an armed rebellion to fight the evil empire.
[00:53:16.218 --> 00:53:19.500]  Okay, so don't tell me, the government's the bad guys again?
[00:53:19.500 --> 00:53:20.640]  Yep, that's right.
[00:53:20.640 --> 00:53:23.341]  Oh, so your character's like Luke Skywalker?
[00:53:23.341 --> 00:53:24.402]  Not exactly.
[00:53:24.402 --> 00:53:25.222]  I know!
[00:53:25.222 --> 00:53:26.523]  You're Chewbacca!
[00:53:26.523 --> 00:53:35.587]  Not really, but my character does help the rebellion to stop the government's evil tracking system, which is happening now in the real world, just like in Uncivil Liberties.
[00:53:35.587 --> 00:53:38.749]  Wait a second, they can't track us, it's a free country!
[00:53:38.749 --> 00:53:39.289]  Exactly.
[00:53:40.322 --> 00:53:44.107]  Uncivil Liberties, a political thriller ripped from today's headlines.
[00:53:44.107 --> 00:53:50.096]  Go to uncivilliberties.com to receive your full-length feature on DVD for only $13.95.
[00:53:50.096 --> 00:53:52.940]  Purchase a copy today at uncivilliberties.com.
[00:54:08.559 --> 00:54:11.901]  Websites are PrisonPlanet.com, InfoWars.com.
[00:54:11.901 --> 00:54:15.022]  Be sure and check them out daily.
[00:54:15.022 --> 00:54:30.970]  As we chronicle the criminal activities of the New World Order, which is just simply the big private central banks that own the military industrial complex and the dominant media, who are on out-of-control power trips, Governor Ventura has agreed to stay 15 minutes graciously into the next hour.
[00:54:30.970 --> 00:54:31.370]  And why?
[00:54:32.305 --> 00:54:38.730]  I interviewed him about a year and a half ago, and he got into some questions of 9-11, but he said he wanted to research it more.
[00:54:38.730 --> 00:54:50.138]  He told me he read 16 books on that subject and others, while he's had time down at his summer or winter home in Mexico, and he said he'd be happy to get into 9-11.
[00:54:50.138 --> 00:54:55.521]  He brought it up, so he's staying with us a little bit longer to have time to get into that.
[00:54:55.521 --> 00:54:57.123]  Governor Ventura, you've got the floor.
[00:54:57.123 --> 00:54:58.383]  Give us your take on 9-11.
[00:54:59.604 --> 00:55:01.805]  Well, first of all, Alex, let me state this.
[00:55:01.805 --> 00:55:13.409]  You know, being ex-military, when the attack initially took place and I was governor, I went on a very focused tunnel vision mode that our country had been attacked and what the hell do we need to do to repel it?
[00:55:13.409 --> 00:55:22.453]  So I today kicked myself because at that point in time I had a position of power and if I would have, you know, not been
[00:55:23.093 --> 00:55:42.328]  The way I was, the way all of us were so shocked when it happened, that in that position of power I could have raised a lot more questions at that time about the things that went down that day, and where today when I raise those questions naturally it doesn't quite have the impact that it would have had back then.
[00:55:42.328 --> 00:55:47.051]  But to me it's questions that are not being answered and haven't been answered about 9-11.
[00:55:48.392 --> 00:55:58.279]  And, you know, first and foremost, I think, is the fact that, okay, in New York City and Manhattan, two planes struck two buildings.
[00:55:58.279 --> 00:56:00.300]  We'll all be in agreement on that, I think.
[00:56:01.084 --> 00:56:05.346]  But how is it that a third building fell five hours later?
[00:56:05.346 --> 00:56:08.688]  You know what they call World Trade Center Building No.
[00:56:08.688 --> 00:56:09.249]  7?
[00:56:09.249 --> 00:56:25.397]  And for people that think, well, it was just a smaller building, it was 51 stories high, which of course in Manhattan probably isn't that big of a building, but if you were to move that building to Austin, Texas, or to Minneapolis, Minnesota, it would be a huge building.
[00:56:25.397 --> 00:56:29.700]  How could this building just implode into its own footprint five hours later?
[00:56:30.280 --> 00:56:31.641]  That's my first question.
[00:56:31.641 --> 00:56:35.002]  The 9-11 Commission never even brought it up.
[00:56:35.002 --> 00:56:40.705]  They didn't devote even one page to that in their big volume of investigation.
[00:56:40.705 --> 00:56:45.867]  Number two, how could those buildings fall at the speed of gravity?
[00:56:46.972 --> 00:56:54.254]  You know, if you put a stopwatch on them, both of those World Trade Center buildings were on the ground in 10 seconds.
[00:56:54.254 --> 00:56:55.575]  How can that be?
[00:56:55.575 --> 00:57:02.117]  If you took a billiard ball and dropped it from the height of the World Trade Center in a vacuum, it would hit the ground in 9.3 seconds.
[00:57:03.937 --> 00:57:13.905]  And if you took that same billiard ball and dropped it 10 stories at a time, and merely stopped it and started it, it would take 30 seconds.
[00:57:13.905 --> 00:57:23.393]  If you dropped it every floor of the World Trade Center to the ground, simply stopping and starting it on gravity, it would take over 100 seconds to reach the ground.
[00:57:23.393 --> 00:57:24.514]  Amazing.
[00:57:24.514 --> 00:57:30.758]  And yet they're telling us that, and I could go on now after studying it, the planes hit the building.
[00:57:30.758 --> 00:57:31.059]  Okay.
[00:57:32.279 --> 00:57:46.585]  Jet fuel is four-fifths kerosene, which is not a hot burning fuel, and they want us to believe that it melted these steel-structured girders and caused these buildings to pancake-collapse to the ground?
[00:57:46.585 --> 00:57:51.607]  I was on the site within two weeks after it happened, and I saw none of these pancakes.
[00:57:51.607 --> 00:57:58.690]  Wouldn't they all be piled up in a huge mass on the ground, and yet everything was blown into dust?
[00:57:58.690 --> 00:57:59.430]  Aerosolized.
[00:58:00.484 --> 00:58:05.869]  You know, and when you look at it from that aspect, none of it makes any sense.
[00:58:05.869 --> 00:58:10.333]  If you apply common sense again to it, it does not make any sense.
[00:58:10.333 --> 00:58:17.639]  Never before in the annals of history has a fire caused a steel-structured building to fall to the ground.
[00:58:17.639 --> 00:58:23.324]  Governor Ventura, as the way three of them did, Governor Ventura, stay with us.
[00:58:23.324 --> 00:58:25.726]  Seventy-second break, we're coming right back to you.
[00:58:25.726 --> 00:58:26.407]  Coming in hot.
[00:58:27.421 --> 00:58:31.606]  And as an underwater demolitions expert, I want to get your take on explosives.
[00:58:31.606 --> 00:58:33.068]  We'll be right back.
[00:58:33.068 --> 00:58:37.033]  Thank you for listening to GCN.
[00:58:37.033 --> 00:58:44.842]  Visit GCNlive.com today.
[00:58:44.842 --> 00:58:46.163]  It is a big idea.
[00:58:47.290 --> 00:58:49.052]  A New World Order.
[00:58:49.052 --> 00:58:53.215]  In the near future, Earth is dominated by a powerful new government.
[00:58:53.215 --> 00:58:56.798]  It's known as the Bilderberg Group.
[00:58:56.798 --> 00:58:59.580]  Put their objective to be world domination.
[00:58:59.580 --> 00:59:02.763]  For thousands of years, their dark order grew.
[00:59:02.763 --> 00:59:10.089]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:59:13.118 --> 00:59:18.541]  For the first time in history, the elite's plan for world government is blown wide open.
[00:59:18.541 --> 00:59:22.424]  You will learn the secret that drives the entire New World Order agenda.
[00:59:22.424 --> 00:59:24.985]  Bilderberg is making great progress toward a world government.
[00:59:24.985 --> 00:59:26.146]  Most people have no idea.
[00:59:26.146 --> 00:59:26.946]  They're not after money.
[00:59:26.946 --> 00:59:28.207]  They have all the money they need.
[00:59:28.207 --> 00:59:29.208]  They're after power.
[00:59:29.208 --> 00:59:30.508]  That's what they're after these years.
[00:59:30.508 --> 00:59:34.491]  Order In Game on DVD at PrisonPlanet.com or InfoWars.com.
[00:59:35.111 --> 00:59:39.076]  Or watch it online right now at PrisonPlanet.tv.
[00:59:39.076 --> 00:59:39.836]  In game.
[00:59:39.836 --> 00:59:41.859]  Blueprint for global enslaving.
[00:59:41.859 --> 00:59:47.065]  You have been warned.
[00:59:47.065 --> 00:59:49.447]  Waging war on corruption.
[00:59:49.447 --> 00:59:52.210]  Alex Jones on the GCN Radio Network.
[00:59:58.018 --> 00:59:59.239]  We're good to go.
[01:00:29.369 --> 01:00:31.951]  We're back live, ladies and gentlemen.
[01:00:31.951 --> 01:00:34.933]  Governor Jesse Ventura is our guest for another 15 minutes or so.
[01:00:34.933 --> 01:00:39.115]  The new book just came out yesterday, Don't Start the Revolution Without Me.
[01:00:39.115 --> 01:00:45.460]  As part of your SEAL training, you first went through underwater demolitions or frog teams, didn't you, sir?
[01:00:45.460 --> 01:00:56.007]  And so having a knowledge of controlled demolition, we've had a lot of engineers, physicists, architects look at it and say that even if jet fuel could have weakened the steel, it would have had a
[01:00:57.119 --> 01:01:00.382]  Collapse where it fell over sideways or certain parts crinkled.
[01:01:00.382 --> 01:01:17.476]  It wouldn't have aerosolized and fallen straight down with pyroclastic flows of steel blown in one and two-story pieces sheared off at 45-degree angles with perfect blast points shooting out hundreds of feet and dust shooting out miles.
[01:01:17.476 --> 01:01:21.760]  Can you comment on that with your background, Governor, in underwater demolitions as a frogman?
[01:01:22.281 --> 01:01:22.701]  Sure.
[01:01:22.701 --> 01:01:24.945]  First of all, it's the same training.
[01:01:24.945 --> 01:01:29.954]  You know, people for some reason want to separate the UDT from the SEAL.
[01:01:29.954 --> 01:01:31.276]  And it's all the same.
[01:01:31.276 --> 01:01:35.924]  Initially, it's called BUDS, which is Basic Underwater Demolition SEAL Training.
[01:01:36.525 --> 01:01:44.934]  And when you graduate from BUDS, you're fully qualified as a demolition expert, whether you go to a UDT team or to a SEAL team.
[01:01:44.934 --> 01:01:58.449]  It's basically the needs of the Navy, and actually they would generally send the better swimmers to the UDT teams because they tend to work a little bit more in the water, and every class your top swimmers will go to the UDT teams.
[01:01:58.909 --> 01:01:59.370]  We're good to go.
[01:02:20.510 --> 01:02:24.632]  Am I a demolition expert on a controlled demolition to drop a building?
[01:02:24.632 --> 01:02:25.632]  No.
[01:02:25.632 --> 01:02:35.076]  Because our standard policy, when we would figure out how to blow something up, we would use the slide rule and then we always had a standard rule, when in doubt, overload.
[01:02:36.070 --> 01:02:43.877]  So, uh, what that means is when you figure out how to blow it up, throw on an extra haversack of C4 just to make sure you get the job done.
[01:02:43.877 --> 01:02:49.863]  Because in our type of demolition work, in warfare, you're not worried about whether everything blows up.
[01:02:49.863 --> 01:02:56.830]  You don't worry about a controlled demolition, which is what they would use to drop a building so that it wouldn't affect any of the other buildings.
[01:02:56.830 --> 01:02:59.212]  My point is, is that you've worked with explosives.
[01:02:59.212 --> 01:03:00.073]  What does it look like to you?
[01:03:00.794 --> 01:03:14.530]  Well, upon looking at the film in super slow motion and the way the building fell and comparing that to the way that they do like a controlled demolition of a hotel in Las Vegas, they both fell identical.
[01:03:15.342 --> 01:03:34.669]  And it just is beyond me, and again, I kicked myself for when it initially happened that the light didn't go off, but again, I was so shocked that this thing had even taken place that I, you know, again, I apologize for not being more aware, but I don't think I was alone as were most of the people in the United States.
[01:03:34.669 --> 01:03:35.910]  Well, what about Seven?
[01:03:35.910 --> 01:03:38.251]  I mean, you talk about the free-fall speed of the 110-story towers.
[01:03:39.751 --> 01:03:40.952]  At the speed of gravity.
[01:03:40.952 --> 01:03:42.673]  Seven falls at the speed of gravity.
[01:03:42.673 --> 01:03:49.177]  And it's the classic where you see the penthouse fall, the central beam they blow out, then they blow the side beams, it collapses.
[01:03:49.177 --> 01:03:52.679]  The CIA, the FBI, Defense Intelligence, we're all based there.
[01:03:52.679 --> 01:03:56.401]  We have videos of police saying, get back, they're gonna blow it up.
[01:03:56.401 --> 01:03:59.203]  Firemen saying, get back, the government said they're gonna blow it up.
[01:03:59.203 --> 01:04:01.104]  Then they say, oh, we didn't blow it up.
[01:04:01.104 --> 01:04:02.985]  Have you seen those videos of police saying, get back?
[01:04:03.645 --> 01:04:04.986]  No, I have not.
[01:04:04.986 --> 01:04:21.171]  I haven't seen those, but I did watch the actual film of Building 7 going down, and in my opinion, there's no doubt that that building was brought down with demolition, and when you look at how that building came down, it came down identical to the other two.
[01:04:21.171 --> 01:04:22.632]  Just incredible.
[01:04:22.632 --> 01:04:29.674]  When we come back, I want to talk about how we could investigate this, or where this should go, Governor, in your view, and then your take on the war.
[01:04:30.726 --> 01:04:32.007]  And that's basically it.
[01:04:32.007 --> 01:04:37.991]  Final segment with Governor Jesse Ventura, the new book, Don't Start the Revolution Without Me.
[01:04:37.991 --> 01:04:41.113]  And I know some stations just joined us that don't carry the first hour.
[01:04:41.113 --> 01:04:45.996]  Don't worry, in the days to come we're going to re-air this interview in its entirety.
[01:04:45.996 --> 01:04:49.638]  We'll be right back with the final segment with Jesse, the mind Ventura.
[01:04:51.803 --> 01:04:57.748]  Hey ladies, if you love to shop, then visit HerbalHealer.com to browse through their online catalog.
[01:04:57.748 --> 01:05:03.372]  You'll find thousands of effective, alternative, and natural products for you and the whole family.
[01:05:03.372 --> 01:05:10.998]  Besides the amazing products you'll find, this shopping is guilt-free because you're investing in your health, and your health is priceless.
[01:05:10.998 --> 01:05:18.343]  While online, sign up to receive the Herbal Healer newsletter, which will keep you informed on the latest and greatest products in education.
[01:05:18.343 --> 01:05:21.666]  Did you know that Herbal Healer offers not only natural medicine,
[01:05:21.786 --> 01:05:30.490]  But also tension-relieving herbal teas, cookbooks, aromatherapy, products for pampering, and more great products to help you soothe and relax after a long day.
[01:05:30.490 --> 01:05:33.792]  Want to learn more for yourself and to help others in the future?
[01:05:33.792 --> 01:05:36.313]  Join the Herbal Healer Correspondence Program.
[01:05:36.313 --> 01:05:39.375]  You can work at your own pace from the comfort of your own home.
[01:05:39.375 --> 01:05:43.517]  This accredited, exciting program can help you gain skills and knowledge.
[01:05:43.517 --> 01:05:46.078]  Can you believe you can find all this at one stop?
[01:05:46.078 --> 01:05:47.919]  HerbalHealer.com.
[01:05:47.919 --> 01:05:50.541]  Celebrating 18 years of dedication.
[01:05:51.673 --> 01:05:53.674]  Our beloved Republic is on her knees.
[01:05:53.674 --> 01:05:57.276]  The forces of globalism are destroying national sovereignty worldwide.
[01:05:57.276 --> 01:05:59.757]  But in Liberty's darkest hour, there is hope.
[01:05:59.757 --> 01:06:02.819]  The first time in modern history, the people are beginning to wake up.
[01:06:02.819 --> 01:06:08.602]  It is essential that Patriots worldwide accelerate their fellow man's understanding of the New World Order Master Plan.
[01:06:08.602 --> 01:06:12.524]  We have a short time frame to fully awaken and energize the people to meet this threat.
[01:06:12.884 --> 01:06:18.088]  In the Info War, PrisonPlanet.tv is a powerful weapon in the battle to regain our freedom.
[01:06:18.088 --> 01:06:21.171]  PrisonPlanet.tv is a vault of forbidden information.
[01:06:21.171 --> 01:06:28.437]  All 18 of my documentary films can be downloaded or streamed in super high quality directly to your computer or iPhone and shared with others.
[01:06:28.437 --> 01:06:34.462]  Thousands of special video reports, from tainted vaccines to martial law, can be found in this online video library.
[01:06:34.462 --> 01:06:39.006]  My weekly news television broadcast, thousands of exclusive audio interviews, and so much more.
[01:06:39.306 --> 01:06:42.169]  The Info War is waiting for you to set it free.
[01:06:42.169 --> 01:06:44.230]  Join PrisonPlanet.tv.
[01:06:44.230 --> 01:06:46.232]  Burn the info bombs to disk.
[01:06:46.232 --> 01:06:48.374]  Put them on the file sharing networks.
[01:06:48.374 --> 01:06:50.196]  Bring down the New World Order.
[01:06:50.196 --> 01:06:50.936]  PrisonPlanet.tv
[01:06:52.403 --> 01:07:01.326]  More than 700 chemicals have been found in our drinking water, and did you know that you have greater exposure to these chemicals while taking hot showers than when drinking the water?
[01:07:01.326 --> 01:07:06.468]  That's because many chemicals are inhaled when they evaporate, and others are absorbed into the skin.
[01:07:06.468 --> 01:07:17.592]  The KDF Dual Media Shower Filter works with both hot and cold water, and it's designed to reduce chlorine, lead, mercury, and iron, and it inhibits the growth of bacteria, mold, algae, and fungus.
[01:07:17.992 --> 01:07:23.755]  The KDF Dual Media Shower Filter typically lasts 10,000 gallons or one year, whichever comes first.
[01:07:23.755 --> 01:07:30.039]  Hospitals, restaurants, and water treatment facilities use this media to reduce chlorine, iron, heavy metals, and bacteria.
[01:07:30.039 --> 01:07:31.059]  What about you?
[01:07:31.059 --> 01:07:35.802]  Order your KDF shower filter normally, $49 for our special price of only $39.99 with free shipping.
[01:07:37.503 --> 01:07:42.986]  Call the Berkey Guy and order now by calling 1-877-886-3653.
[01:07:42.986 --> 01:07:46.809]  That's 1-877-886-3653.
[01:07:46.809 --> 01:07:51.492]  Or simply click on the banner at GCNlive.com to order online now.
[01:07:51.492 --> 01:07:56.895]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[01:07:56.895 --> 01:08:00.677]  Because there's a war on for your mind.
[01:08:00.677 --> 01:08:03.139]  Well, we've got to have him back sometime in the near future.
