[00:00:04.500 --> 00:00:09.762]  They're live!
[00:38:48.871 --> 00:38:50.272]  Because it could have been a thousand pages long.
[00:38:52.586 --> 00:38:54.767]  It's on pre-order at InfoWareStore.com.
[00:38:54.767 --> 00:38:58.668]  You also get a signed copy, and we need the money, but I'm going to sign every damn one of them.
[00:38:58.668 --> 00:39:01.428]  So, I'm going to be up here for a long time.
[00:39:01.428 --> 00:39:02.949]  The books start coming in next week.
[00:39:02.949 --> 00:39:05.929]  They don't ship out until later in August.
[00:39:05.929 --> 00:39:13.831]  Get your great reset at InfoWareStore.com, and then separately when we come back, we need to show this too, because I don't... I'm not invested in the film.
[00:39:13.831 --> 00:39:16.432]  I don't make money off the film, other than the DVDs of it we sell.
[00:39:18.132 --> 00:39:21.614]  Alex's war brought tears to my eyes, and it really is fair.
[00:39:21.614 --> 00:39:26.375]  And it shows what a maniac I am, and sometimes I act like a fool.
[00:39:26.375 --> 00:39:31.137]  But it shows the beautiful things we've done, and all the great people we've worked with, and it brought tears to my eyes.
[00:39:31.137 --> 00:39:32.258]  People are blown away by it.
[00:39:33.732 --> 00:39:39.400]  You guys have that graphic actually in the computer of where it's showing in theaters around the country.
[00:39:39.400 --> 00:39:43.827]  But the best thing to do is just go to Alex's War with an S on the end.
[00:39:43.827 --> 00:39:46.191]  Alex'swar.com.
[00:39:46.191 --> 00:39:47.713]  Yeah, that's an earlier list.
[00:39:47.713 --> 00:39:48.514]  There's a bigger one now.
[00:39:49.605 --> 00:39:55.491]  But the point is, is that it is showing in more than, what, 10 states right now.
[00:39:55.491 --> 00:39:59.115]  It's showing in Austin, Texas as well.
[00:39:59.115 --> 00:40:01.238]  And it's very important to sell that out.
[00:40:01.238 --> 00:40:03.120]  Then the theaters will book it more.
[00:40:03.120 --> 00:40:06.003]  But right now, it's one showing per day in a bunch of towns.
[00:40:06.003 --> 00:40:10.007]  And I'm told it's sold out most places, but a few small towns it hasn't.
[00:40:10.007 --> 00:40:10.888]  We appreciate those.
[00:40:11.989 --> 00:40:14.031]  Groups and theaters that have done this.
[00:40:14.031 --> 00:40:20.257]  We want to reach out to all of the theater owners around the country to contact alexiswar.com.
[00:40:20.257 --> 00:40:26.262]  And this small band of great folks is working very, very hard to make sure you can get it for your theater as well.
[00:40:26.262 --> 00:40:28.544]  But this is a culture war.
[00:40:28.544 --> 00:40:35.731]  The Great Reset is number one now on more than 20 charts, including history and world history ahead of Obama, Yuval Harari, and many others.
[00:40:36.685 --> 00:40:42.006]  And yes, we do get funds from the Great Reset sales coming up in a few months.
[00:40:42.006 --> 00:40:46.647]  We get instant sales at M4Shore.com, but I kind of want you to go to Amazon and get it.
[00:40:46.647 --> 00:40:48.368]  I don't want to push it to number one.
[00:40:48.368 --> 00:40:51.088]  It's like number 40-something in the world.
[00:40:51.088 --> 00:40:52.249]  As of Friday, it was number 50.
[00:40:52.249 --> 00:40:55.329]  I haven't checked that today.
[00:40:55.329 --> 00:40:56.810]  All right, I'm going to stop right there.
[00:40:56.810 --> 00:40:59.610]  This is a total culture war, and I appreciate you all.
[00:40:59.610 --> 00:41:01.031]  It's just an amazing time to be alive.
[00:41:03.854 --> 00:41:09.924]  Here is the Lincoln Project on the failed MSNBC lying about me and demonizing me.
[00:41:09.924 --> 00:41:11.166]  You can check anything we say.
[00:41:11.166 --> 00:41:13.090]  It's right there for you to see.
[00:41:13.991 --> 00:41:17.314]  Microplastics, nanotech, the damn shots for nanotech.
[00:41:17.314 --> 00:41:17.954]  It's all coming out.
[00:41:17.954 --> 00:41:19.796]  They're colonizing us with it.
[00:41:19.796 --> 00:41:26.642]  And then, as I said, a little brief statement I made that really explains that over until I got sued the first six years of Sandy Hook, we barely talked about it.
[00:41:26.642 --> 00:41:27.362]  I thought it happened.
[00:41:27.362 --> 00:41:29.544]  I thought they might have actually killed a bunch of kids in a false flag.
[00:41:29.544 --> 00:41:30.665]  Wasn't sure.
[00:41:30.665 --> 00:41:34.028]  Adam Lanza was tied to the CIA, all the rest of it.
[00:41:34.028 --> 00:41:34.849]  That came out in the news.
[00:41:36.368 --> 00:41:39.050]  And you know, all the ways he got the guns, the rest of it.
[00:41:39.050 --> 00:41:40.510]  Then I kind of thought, okay, maybe folks are right.
[00:41:40.510 --> 00:41:43.532]  I mean, it was a totally staged deal, because that happens sometimes.
[00:41:43.532 --> 00:41:46.474]  And then I thought, nah, it probably happened.
[00:41:46.474 --> 00:41:48.615]  And then they sued me.
[00:41:48.615 --> 00:41:51.556]  And then they defaulted me because I couldn't have a real trial.
[00:41:51.556 --> 00:41:54.618]  And then now they want $150 million that doesn't exist.
[00:41:54.618 --> 00:41:59.361]  And then we'll end with the CIA and its manipulation of media, just so folks know that really happens.
[00:41:59.361 --> 00:42:01.162]  Then John Bowne's report, and then I'm coming back.
[00:42:02.796 --> 00:42:10.303]  With incredible information on the COVID attack, the mass deaths that are taking place, and so much more on this live Sunday broadcast.
[00:42:10.303 --> 00:42:13.425]  And then, couldn't find Endgame 2.0.
[00:42:13.425 --> 00:42:14.606]  Man, somebody's got to find that.
[00:42:14.606 --> 00:42:15.527]  So good.
[00:42:15.527 --> 00:42:16.068]  So informative.
[00:42:16.068 --> 00:42:18.210]  Well, it's just their documents.
[00:42:18.210 --> 00:42:27.998]  But we did find two other derivatives of Endgame that have gotten no attention in years and years, probably a decade, that we're going to put back out in the public consciousness tonight.
[00:42:27.998 --> 00:42:28.739]  So stay with us.
[00:42:30.413 --> 00:42:31.673]  Well, I think it's interesting.
[00:42:31.673 --> 00:42:42.537]  Remember that years ago, Alex Jones lost a custody case with his wife over their children because she said, we can't raise our kids around someone like this.
[00:42:42.537 --> 00:42:45.057]  And his defense was, it's all an act.
[00:42:45.057 --> 00:42:49.879]  Right now, with the kids from Sandy Hook and their parents... Hit pause.
[00:42:49.879 --> 00:42:50.879]  Hit pause.
[00:42:50.879 --> 00:42:51.859]  Back at the beginning of this, guys.
[00:42:51.859 --> 00:42:58.441]  See, I'm going to play these clips and then, you know, take a break, log over the news and come back with a bit.
[00:42:58.441 --> 00:42:59.682]  Offered a million dollar award.
[00:43:00.618 --> 00:43:04.020]  Of a video where I say I'm an actor and it's all fake.
[00:43:04.020 --> 00:43:07.481]  That's not true.
[00:43:07.481 --> 00:43:15.585]  And I'm not going to go back over this, but in my custody battle, my ex-wife for my children, where he says I lost the children, really?
[00:43:15.585 --> 00:43:15.865]  I did?
[00:43:15.865 --> 00:43:20.487]  That's why they live with me?
[00:43:20.487 --> 00:43:23.589]  Now they've moved, grown up and moved out?
[00:43:23.589 --> 00:43:24.169]  None of it's true.
[00:43:28.942 --> 00:43:32.384]  She wanted to show a clip of me as the Joker and said, he's insane.
[00:43:32.384 --> 00:43:33.825]  He's telling kids to use drugs.
[00:43:33.825 --> 00:43:34.926]  It was reverse psychology.
[00:43:34.926 --> 00:43:35.446]  I'm a Joker.
[00:43:35.446 --> 00:43:36.386]  I want you to die.
[00:43:36.386 --> 00:43:38.568]  Take drugs, kids.
[00:43:38.568 --> 00:43:40.369]  Anti-drug, anti-fluoride PSA.
[00:43:41.687 --> 00:43:43.488]  And my lawyer said that's him being an actor.
[00:43:43.488 --> 00:43:45.810]  He doesn't mean that when he's saying it's satire.
[00:43:45.810 --> 00:43:47.551]  Not that everything I do is satire.
[00:43:47.551 --> 00:43:55.156]  But again, these are these little decepticons that just reinforce the same lies and beat us over the head with them over and over and over.
[00:43:55.156 --> 00:43:56.457]  You don't get a jury.
[00:43:56.457 --> 00:43:57.798]  You don't get free speech.
[00:43:57.798 --> 00:43:58.499]  You're an actor.
[00:43:58.499 --> 00:43:59.019]  You're fake.
[00:43:59.019 --> 00:44:02.161]  No, you're fake reading off a list of garbage.
[00:44:02.161 --> 00:44:03.962]  Sorry, I'm going to stop now.
[00:44:03.962 --> 00:44:04.723]  Let's play it back to back.
[00:44:05.911 --> 00:44:09.995]  He's saying, well, he's already put his organization into bankruptcy to protect it.
[00:44:09.995 --> 00:44:16.983]  And Ari, what I think is interesting, whether or not it's Alex Jones or so many of these people around January 6th that we've seen... Well, let's stop right there, guys.
[00:44:16.983 --> 00:44:19.105]  I want to back it up to the beginning.
[00:44:19.105 --> 00:44:21.347]  I don't want to interrupt it, okay?
[00:44:21.347 --> 00:44:23.509]  Now we're going to play it from the beginning.
[00:44:23.509 --> 00:44:23.850]  Here it is.
[00:44:25.106 --> 00:44:26.348]  Well, I think it's interesting.
[00:44:26.348 --> 00:44:37.247]  Remember that years ago, Alex Jones lost a custody case with his wife over their children because she said, we can't raise our kids around someone like this.
[00:44:37.247 --> 00:44:38.850]  And his defense was, it's all an act.
[00:44:39.725 --> 00:44:48.251]  Right now, with the kids from Sandy Hook and their parents, he's saying, well, he's already put his organization into bankruptcy to protect it.
[00:44:48.251 --> 00:45:00.218]  And Ari, what I think is interesting, whether or not it's Alex Jones or so many of these people around January 6th that we've seen take the Fifth Amendment, which is they have no respect or regard for human decency or the law.
[00:45:00.218 --> 00:45:07.583]  But when they are suddenly in the target of American jurisprudence, they hide behind the very Constitution that so many of them disdain.
[00:45:10.069 --> 00:45:10.770]  Well put.
[00:45:10.770 --> 00:45:16.135]  What is Alex Jones' position, in your view, in today's Republican Party?
[00:45:16.135 --> 00:45:30.228]  I think he is right up there with the Steve Bannon's and the Tucker Carlson's of the world, which is he provides a safe place for otherwise, as you said, incredibly destructive, strange, weird, you know, theories.
[00:45:30.228 --> 00:45:34.072]  I was watching a little clip of him today, Ari, and I wouldn't recommend that for your mental health.
[00:45:34.878 --> 00:45:37.942]  You know, there's a giant dragon waiting to eat all of us.
[00:45:37.942 --> 00:45:40.926]  We've already had the nanotechnology implanted in us.
[00:45:40.926 --> 00:45:42.188]  They're all ready to kill us.
[00:45:42.188 --> 00:45:44.891]  I mean, this stuff, it boggles the mind.
[00:45:44.891 --> 00:45:49.878]  I mean, you know, Charlatan and Clown doesn't begin to say it, but he has the voice.
[00:45:50.639 --> 00:45:52.221]  That speaks to millions of people.
[00:45:52.221 --> 00:46:00.870]  And it's not just the folks that watch him on YouTube, which I think he's been banned from, but also his clips get pushed around and they further these conspiracy theories.
[00:46:00.870 --> 00:46:08.057]  And I was just watching your last segment where Jay-Z says that information doesn't equal knowledge or wisdom.
[00:46:08.057 --> 00:46:11.441]  And I think that's the truth, which is folks are taking in information
[00:46:12.021 --> 00:46:13.643]  It doesn't matter whether or not it's true.
[00:46:13.643 --> 00:46:14.584]  You can hold your iPhone.
[00:46:14.584 --> 00:46:19.069]  It's got every last bit of human knowledge that's ever been invented within it.
[00:46:19.069 --> 00:46:23.393]  And yet we have people that believe the same sort of superstitions as they did in the 15 and 1600s.
[00:46:34.378 --> 00:46:38.260]  I've been saying I believe Sandy Hook happened for six years.
[00:46:38.260 --> 00:46:46.826]  What they did was put out edited tapes where I would say some people believe Sandy Hook is totally fake and absolutely synthetic.
[00:46:46.826 --> 00:46:49.467]  I've questioned it, but now I think it happened.
[00:46:49.467 --> 00:46:56.092]  So for the first two years I thought it happened, then I questioned it, then I said I believed it happened long before they sued me.
[00:46:56.092 --> 00:47:01.875]  But they would edit tapes out to then have me questioning it to say I was denying it.
[00:47:01.875 --> 00:47:02.576]  I never said
[00:47:03.703 --> 00:47:07.208]  The plaintiff's names until this week.
[00:47:07.208 --> 00:47:10.252]  Under Texas law, you can't sue somebody unless you've said their name.
[00:47:10.252 --> 00:47:13.096]  But this judge didn't care and just waved that through.
[00:47:13.096 --> 00:47:18.864]  So, they're trying to keep the full videos out of what I actually said and now we're airing the videos from six...
[00:47:19.685 --> 00:47:19.865]  Yes, sir.
[00:47:37.268 --> 00:47:42.292]  I don't have a right to a jury, and she found me guilty, claiming I didn't provide enough discovery.
[00:47:42.292 --> 00:47:45.975]  We gave them hundreds of thousands of documents, all the videos, everything.
[00:47:45.975 --> 00:47:51.138]  And they claimed, no, that's not enough, you're hiding something, and defaulted me, and the judge found me guilty.
[00:47:51.138 --> 00:47:54.301]  In America, judges don't find you guilty, juries do.
[00:47:54.301 --> 00:47:58.944]  So who's on really trial here is the out-of-control, weaponized judiciary.
[00:47:58.944 --> 00:47:59.685]  Thank you.
[00:47:59.685 --> 00:48:00.545]  Thank you very much.
[00:48:00.545 --> 00:48:05.289]  I thought that it was a matter of real concern
[00:48:07.043 --> 00:48:08.284]  Do you have any people
[00:48:37.099 --> 00:48:49.744]  Being paid by the CIA who are contributing to a major circulation, American Journal.
[00:48:49.744 --> 00:48:54.345]  We do have people who submit pieces to American Journal.
[00:48:54.345 --> 00:49:03.389]  Do you have any people paid by the CIA who are working for
[00:49:06.505 --> 00:49:10.946]  Television networks.
[00:49:10.946 --> 00:49:18.588]  This, I think, gets into the kind of, uh, getting into the details, Mr. Chairman, that I'd like to get into in an executive session.
[00:49:18.588 --> 00:49:24.349]  Uh, at CBS, uh, we, uh, had been contacted by the CIA.
[00:49:24.349 --> 00:49:34.471]  As a matter of fact, by the time I became the head of the whole news and public affairs operation in 1954, ships had been established, and I was told about them and asked if I'd carry on with them.
[00:49:34.471 --> 00:49:34.831]  We have
[00:49:35.785 --> 00:49:39.226]  Quite a lot of detailed information.
[00:49:39.226 --> 00:49:57.432]  And we will evaluate it and we will include any evidence of wrongdoing or any evidence of impropriety in our final report and make recommendations.
[00:49:57.432 --> 00:50:04.374]  Do you have any people being paid by the CIA
[00:50:06.266 --> 00:50:18.090]  Who are contributing to the National News Services, AP and UPI.
[00:50:18.090 --> 00:50:19.991]  Well again, I think we're getting into the kind of...
[00:50:23.470 --> 00:50:34.839]  Recently, the central bank digital currencies have been the talking point at the global confabs because they lead to the creation of a global currency system.
[00:50:34.839 --> 00:50:41.625]  Good afternoon, everybody, and welcome to the session on resetting digital currencies.
[00:50:41.625 --> 00:50:46.529]  The theme of this year's forum, as you know, is a crucial year to rebuild trust.
[00:50:47.029 --> 00:50:50.290]  With all the current issues on our agenda, we tend to forget
[00:51:15.757 --> 00:51:19.633]  That we are in the midst of the 4th Industrial Revolution.
[00:51:20.543 --> 00:51:29.285]  which accelerates global change in much more comprehensive and faster ways than the previous three revolutions.
[00:51:29.285 --> 00:51:34.947]  The objective is to quickly recognize the potential of new technologies.
[00:51:34.947 --> 00:51:39.448]  History is truly at a turning point.
[00:51:39.448 --> 00:51:47.690]  We do not yet know the full extent and the systemic and structural changes which will happen.
[00:51:47.690 --> 00:51:48.210]  However,
[00:51:49.246 --> 00:51:57.674]  We do know that global energy systems, food systems and supply chains will be deeply affected.
[00:51:57.674 --> 00:52:12.608]  And as Bloomberg gleefully reported, key Democratic congressional allies are urging President Joe Biden's administration to support a new injection of resources for countries at the IMF to help them deal with the fallout from Russia's invasion of Ukraine.
[00:52:12.708 --> 00:52:24.771]  To the tune of at least $650 billion in additional IMF reserve assets, the demand is being led by Representative Pramila Jayapal and Senator Elizabeth Warren.
[00:52:24.771 --> 00:52:37.315]  Zero Hedge recently put the puzzle pieces together concerning the Democrats' proposed $650 billion flooding of the IMF with special drawing right funds.
[00:52:37.315 --> 00:52:39.796]  What are special drawing right funds?
[00:52:41.016 --> 00:52:51.239]  The Special Drawing Rights, or SDR, was created by the IMF in 1969 to supplement the official reserves of its member countries.
[00:52:51.239 --> 00:53:03.063]  The SDR is an interest-bearing international reserve asset that can only be held by the IMF, its member countries, and designated official entities known as prescribed holders.
[00:53:03.063 --> 00:53:07.485]  In addition to this role, the SDR serves as the unit of account of the IMF.
[00:53:07.825 --> 00:53:08.165]  I think so.
[00:53:30.330 --> 00:53:33.473]  Because funding allocations in the U.S.
[00:53:33.473 --> 00:53:38.817]  have already hit their maximum, and new funding bills are being defeated in the Senate.
[00:53:38.817 --> 00:53:42.320]  At the IMF, there are no checks and balances.
[00:53:42.320 --> 00:53:48.765]  They can ask for almost any amount of money in the form of SDRs without oversight.
[00:53:49.085 --> 00:53:59.411]  There are always strings attached when it comes to the IMF, and in exchange for SDRs, the globalists will certainly want more centralized control.
[00:53:59.411 --> 00:54:03.333]  The Ukrainian war is not merely a money laundering operation.
[00:54:03.333 --> 00:54:13.338]  It is a linchpin to transfer the global economy out of the money printing of central banks, and directly into the hands of globalists controlling the IMF.
[00:54:13.658 --> 00:54:20.326]  We are being looted in real time of our property, currency, sovereignty, and our very lives.
[00:54:20.326 --> 00:54:21.467]  John Bowne reporting.
[00:54:25.097 --> 00:54:28.120]  Very important John Bowne report at BAN.VIDEO.
[00:54:28.120 --> 00:54:30.103]  Can't find this information anywhere else.
[00:54:30.103 --> 00:54:32.465]  Only way it gets out is you share it.
[00:54:32.465 --> 00:54:33.186]  We put it together.
[00:54:33.186 --> 00:54:33.867]  We do the research.
[00:54:33.867 --> 00:54:35.929]  We fight the globalists at point blank range.
[00:54:35.929 --> 00:54:42.196]  We go through the persecution and pain because we believe in you and we know that God is in control and we're going to win together.
[00:54:42.196 --> 00:54:46.221]  But if you don't take action, we are doomed.
[00:54:46.221 --> 00:54:46.461]  Okay.
[00:54:48.274 --> 00:54:56.358]  The first thing we air today was the new Gregory's Report that just came out a few hours ago, the environmentalist Trojan horse of the depopulation death cult.
[00:54:56.358 --> 00:54:59.580]  And that's exactly what this situation is.
[00:54:59.580 --> 00:55:15.909]  Now, all over the world, they're announcing smart cities that are basically walled areas where you're a prisoner, but you get a universal basic income if you agree to live in that area and submit to all the surveillance and controls.
[00:55:17.321 --> 00:55:21.668]  Everyone else is put under a form of siege economically where they can't operate.
[00:55:21.668 --> 00:55:25.915]  That's why they're attacking people that live on farms and now calling it racist everywhere.
[00:55:25.915 --> 00:55:27.878]  We try to get out of the big cities.
[00:55:27.878 --> 00:55:30.422]  What does that have to do with it?
[00:55:30.422 --> 00:55:31.344]  Here's a CNN report.
[00:55:32.332 --> 00:55:33.573]  Future or fantasy?
[00:55:33.573 --> 00:55:42.977]  Designs unveiled for one building city, structure 106 miles long in Saudi Arabia, similar to what the Dubai project has already set up.
[00:55:42.977 --> 00:55:56.862]  But if you look at it, instead of building a wall around groups, you put people in a wall that is actually a giant supermax prison and 250 square foot coffin apartments for the average person.
[00:55:56.862 --> 00:55:59.664]  This is the model of the future.
[00:55:59.664 --> 00:56:00.144]  High tech,
[00:56:01.578 --> 00:56:04.580]  Prison walled cities.
[00:56:04.580 --> 00:56:07.201]  Very important report from Zero Hedge.
[00:56:07.201 --> 00:56:10.223]  It's also linked up on Infowars.com.
[00:56:10.223 --> 00:56:14.646]  UN World Economic Forum behind global war on farmers say experts.
[00:56:14.646 --> 00:56:25.733]  And it goes over in 12 pages the links, the admissions, and the WEF admitting that now runs the UN officially that this is what they're doing, shutting down farmers.
[00:56:25.733 --> 00:56:27.534]  All over the world paying them to stop producing.
[00:56:28.194 --> 00:56:33.836]  Paying to move off their land, banning them having cows, put the protestor about the Netherlands and so many other places.
[00:56:33.836 --> 00:56:35.877]  This is the attack.
[00:56:35.877 --> 00:56:37.698]  You will eat the bugs, you will love it.
[00:56:37.698 --> 00:56:39.319]  Global food crisis.
[00:56:39.319 --> 00:56:43.701]  Restaurant czar expects winter shortages, tells public to stock up now.
[00:56:43.701 --> 00:56:45.482]  That's from Breitbart.
[00:56:45.482 --> 00:56:53.905]  The head of a major food chain in Ireland has expressed concern that the country may face food shortages this coming winter.
[00:56:53.905 --> 00:56:55.446]  Telling the public they should stock up.
[00:56:55.446 --> 00:56:57.587]  Pat Madonna
[00:56:58.786 --> 00:57:04.251]  You see, the problem about living in a high-tech, just-on-time delivery system is
[00:57:18.723 --> 00:57:21.905]  If you have people working together in open society, it works.
[00:57:21.905 --> 00:57:28.188]  But when you bring technocrats in that try to deliberately sack it and shut it down, it creates total destruction.
[00:57:28.188 --> 00:57:43.175]  In his warning, he put great emphasis on difficulties to do with fertilizer in the country, the lack of which has the danger of having farmers' crop yields, something that has somehow not stopped the likes of Sri Lanka and the Netherlands and Canada from trying to clamp down on fertilizer use.
[00:57:43.775 --> 00:57:47.536]  In the service of their green agenda, which is not a green agenda.
[00:57:47.536 --> 00:57:50.817]  It is a post-industrial world collapse agenda.
[00:57:50.817 --> 00:57:57.499]  You realize how fundamental it is to shut off oil and coal and natural gas and not let us have alternatives?
[00:57:57.499 --> 00:57:59.559]  And say it's part of a great transition.
[00:57:59.559 --> 00:58:04.081]  You realize how fundamental it is when they do this and then constant headlines like this.
[00:58:04.081 --> 00:58:09.882]  I want to live on a farm is code for I want to get away from black people.
[00:58:09.882 --> 00:58:12.623]  What the hell does that even mean?
[00:58:14.662 --> 00:58:31.834]  So I cannot stress to you enough how big this is, how seismic this is, and how it's not COVID-19 that caused global starvation, but the globalists themselves.
[00:58:31.834 --> 00:58:35.757]  So what I'm going to do now is air clip 11, 9, 10, and 15 back to back.
[00:58:43.911 --> 00:59:07.496]  And then we're going to air back-to-back segwaying out of this the two Tucker Carlson clips we have where he bravely exposes the admitted documents that the mandatory vaccines aren't vaccines and don't work and that this is a devastating weapon being used against us.
[00:59:07.496 --> 00:59:10.096]  We're going to air all of those clips 11, 9, 10, 15 and
[00:59:14.542 --> 00:59:19.164]  21 and 22, back to back, and then I'm going to come back with the rest of the story.
[00:59:19.164 --> 00:59:21.926]  But this is not our opinion.
[00:59:21.926 --> 00:59:36.152]  Insurance actuaries we've been covering for a year and a half are now confirmed in Europe, in the UK, in Canada, in the US, in Australia, in New Zealand, everywhere, a 40 plus percent increase in deaths 18 to 63 working age.
[00:59:38.877 --> 00:59:47.425]  And a multi-thousand percent death rate increase in people 12 and up who were getting the shots.
[00:59:47.425 --> 00:59:56.234]  And now, we don't have numbers yet on the babies, but floods of reports are coming in about the mass death and carnage taking place with them.
[00:59:56.234 --> 01:00:01.699]  So we're going to hit first the Globalist announcing, Yuval Harari and others, that you're obsolete.
[01:00:02.910 --> 01:00:06.434]  You'll be like an ant or a potted plant if you don't accept the augmentation.
[01:00:06.434 --> 01:00:08.277]  You won't be allowed into the future society.
[01:00:08.277 --> 01:00:09.338]  You'll be left behind.
[01:00:09.338 --> 01:00:15.065]  But they're shutting down the old society and bringing in a tyrannical society that's post-human.
[01:00:15.065 --> 01:00:21.634]  And once you submit to the AI takeover, the cyborg takeover, you're even caught more in a trap.
[01:00:22.639 --> 01:00:24.040]  But that's how they phrase it.
[01:00:24.040 --> 01:00:24.921]  That's how they prepare it.
[01:00:24.921 --> 01:00:25.801]  I had a clip on Friday.
[01:00:25.801 --> 01:00:29.104]  I didn't get to it, but it's everywhere where they're saying, you won't own your car.
[01:00:29.104 --> 01:00:30.165]  You won't own your cell phone.
[01:00:30.165 --> 01:00:31.306]  You won't own your house.
[01:00:31.306 --> 01:00:32.166]  You won't own your apartment.
[01:00:32.166 --> 01:00:33.487]  You'll rent everything.
[01:00:33.487 --> 01:00:41.833]  They want everyone to be totally dependent on the corporate system so they can then attach that to your behavior, the social credit score, and the carbon taxes.
[01:00:42.762 --> 01:00:43.622]  We know the enemy battle plan.
[01:00:43.622 --> 01:00:47.764]  It only gets worse from here until we stand up and say no and stop complying.
[01:00:47.764 --> 01:00:49.125]  So many people serve the system delusionally
[01:01:14.252 --> 01:01:18.937]  Believing they're about to build a utopia when they're building a dystopia.
[01:01:18.937 --> 01:01:28.546]  So here are those reports back-to-back and then we shall return and get into the mass death being caused by the shots and the latest developments.
[01:01:29.650 --> 01:01:47.079]  Previously in history, if you were on the wrong side of history, if you didn't understand what was happening and you lost the competition, then you ended up as some kind of serf or manual laborer being exploited by the people who understand and have the power.
[01:01:47.079 --> 01:01:54.262]  Now, if you're left behind, you're facing something far worse, which is to be completely irrelevant.
[01:01:54.262 --> 01:01:57.024]  They won't even need you as a serf or as a slave.
[01:01:57.284 --> 01:01:59.706]  The pandemic has been the ultimate disruptor.
[01:01:59.706 --> 01:02:04.009]  It has changed our realities and given us cause to pause and reflect.
[01:02:04.009 --> 01:02:08.372]  In the disruption is an opportunity for us to reset.
[01:02:08.372 --> 01:02:13.115]  And over the next three years, there is much work to do.
[01:02:13.115 --> 01:02:18.519]  We will build back better from the COVID crisis.
[01:02:18.519 --> 01:02:19.920]  Better.
[01:02:19.920 --> 01:02:21.281]  Stronger.
[01:02:21.281 --> 01:02:24.884]  With an answer to the many challenges New Zealand already faced.
[01:02:24.884 --> 01:02:26.505]  This is our opportunity.
[01:02:27.785 --> 01:02:35.908]  Fortunately for us, we already have a blueprint for such a world in the Sustainable Development Goals and the 2030 Agenda.
[01:02:35.908 --> 01:02:45.492]  We've incorporated the principles of the 2030 Agenda into our domestic policymaking in a way that we hope will drive system-level actions.
[01:02:45.492 --> 01:02:48.813]  This is not just a new scorecard.
[01:02:48.813 --> 01:02:54.295]  It is about fundamentally changing how we make decisions and therefore how we allocate resources.
[01:02:55.080 --> 01:02:58.481]  What is happening in New Zealand keeps astonishing me.
[01:02:58.481 --> 01:03:00.661]  It's sinister new race politics.
[01:03:00.661 --> 01:03:02.482]  It's new health fascism.
[01:03:02.482 --> 01:03:03.982]  It's harsh lockdowns.
[01:03:03.982 --> 01:03:08.443]  It's draconian plans to fight global warming by taxing cattle burps.
[01:03:08.443 --> 01:03:11.004]  And now the latest sign of authoritarianism.
[01:03:11.004 --> 01:03:14.565]  It's a plan to ban smoking for future generations.
[01:03:14.565 --> 01:03:16.545]  A plan now urged in Australia too.
[01:03:16.545 --> 01:03:23.827]  Here is New Zealand's Associate Health Minister explaining the end of the freedom to smoke in New Zealand, even in private.
[01:03:24.614 --> 01:03:35.643]  We are legislating for a smoke-free generation by making it an offence to sell or supply tobacco products to those aged 14 when the law comes into effect.
[01:03:35.643 --> 01:03:45.992]  As they age, they and future generations will never legally be able to purchase tobacco because the truth is there is no safe age to start smoking.
[01:03:45.992 --> 01:03:50.436]  The way it works is each year it goes by
[01:03:51.738 --> 01:03:54.320]  The ban extends to older people.
[01:03:54.320 --> 01:03:59.844]  So, if you're 14 now, you'll never be able to legally buy cigarettes in New Zealand.
[01:03:59.844 --> 01:04:01.325]  Now, you may be like me.
[01:04:01.325 --> 01:04:05.547]  You loathe smoking, support bans on smokers stinking up your air.
[01:04:05.547 --> 01:04:08.690]  But this ban takes government bullying to a certain new level.
[01:04:08.690 --> 01:04:13.613]  Yet, just one party in the New Zealand Parliament, the ACT Party, has said it's against.
[01:04:13.613 --> 01:04:16.915]  Joining me is the leader of ACT, David Seymour.
[01:04:16.915 --> 01:04:18.776]  David Seymour, thank you so much for your time.
[01:04:18.776 --> 01:04:20.758]  Why is your party against this bill?
[01:04:22.199 --> 01:04:27.625]  There's no longer a public interest in further regulating smoking.
[01:04:27.625 --> 01:04:35.393]  We tax smokers to the extent that they are more than paying for any impact they have on the healthcare system.
[01:04:35.393 --> 01:04:38.316]  We have informed smokers to the point that
[01:04:38.556 --> 01:04:56.003]  I don't know anyone who doesn't think that smoking is dangerous, and we have regulated where people can smoke to the point where you can't smoke at work, you can't smoke in hospitality venues, you can't smoke anywhere except outdoor areas and your own home.
[01:04:56.003 --> 01:04:59.084]  So what is the remaining public interest?
[01:04:59.084 --> 01:05:02.725]  You can be as anti-smoking as you like, but that's not the question.
[01:05:02.725 --> 01:05:04.706]  There is no remaining public reason
[01:05:05.327 --> 01:05:08.896]  To further regulate smoking by only harming themselves.
[01:05:08.896 --> 01:05:10.120]  Fully informed.
[01:05:10.120 --> 01:05:11.824]  I think people should be able to make such choices.
[01:05:12.600 --> 01:05:16.063]  We're seeing, what we're seeing is that we are in a transition.
[01:05:16.063 --> 01:05:27.433]  We had this strong economic growth because of the work that this president has done in the past 18 months, and now what we're seeing is a transition into stable and steady growth.
[01:05:27.433 --> 01:05:35.260]  So how did they release a vaccine and then make it mandatory when they didn't understand the long-term effects of the drug?
[01:05:36.343 --> 01:05:38.725]  That's a very good question.
[01:05:38.725 --> 01:05:40.126]  Here's Deborah Birx.
[01:05:40.126 --> 01:05:44.790]  She's the former White House COVID response director, again on Fox News.
