[00:00:06.863 --> 00:00:10.267]  Excuse me?
[00:44:18.271 --> 00:44:20.995]  Because why should they care if there's an economy that works and operates?
[00:44:20.995 --> 00:44:22.497]  They're just going to steal all the money anyways.
[00:44:24.178 --> 00:44:31.908]  That's why banks are getting ready to charge you to have deposits and are going to start just taking taxes, private taxes to them, right out of your bank accounts.
[00:44:31.908 --> 00:44:32.308]  Why not?
[00:44:32.308 --> 00:44:33.650]  They've gotten away with everything else.
[00:44:33.650 --> 00:44:38.957]  You put up with double, triple, quadruple prices for health care paid to foreign banks that own insurance companies.
[00:44:38.957 --> 00:44:40.839]  Well, why not just take your bank account?
[00:44:40.839 --> 00:44:42.081]  You'll put up with anything!
[00:44:48.166 --> 00:44:55.430]  You'll put up if you're camping somewhere with a game warden jumping out even when you don't even have guns or aren't hunting and start bossing you around.
[00:44:55.430 --> 00:45:01.494]  I can't go to the National Seashore without weirdos coming over to us and everybody else camping and harassing us and bugging their eyes out.
[00:45:01.494 --> 00:45:03.415]  And I'm probably like, stop bugging your eyes out at me!
[00:45:03.415 --> 00:45:06.877]  Stop asking me if I'm a criminal, you damn freak!
[00:45:06.877 --> 00:45:08.978]  You're the criminal, you dirtbag scum!
[00:45:08.978 --> 00:45:15.982]  You're run by a criminal government that knows it's gotten away with bloody murder and is just wanting to keep the public down!
[00:45:15.982 --> 00:45:17.763]  And all that's going to do is finally wake them up!
[00:45:18.592 --> 00:45:19.712]  Excuse me, I'm in a bad mood.
[00:45:19.712 --> 00:45:22.574]  I apologize, I'm using mild verbiages.
[00:45:22.574 --> 00:45:23.714]  I'm gonna stop right now.
[00:45:23.714 --> 00:45:26.575]  I'm gonna knock it off right now.
[00:45:26.575 --> 00:45:28.336]  I just don't like being treated like a slave.
[00:45:28.336 --> 00:45:29.876]  I don't like going into slavery.
[00:45:29.876 --> 00:45:37.059]  I don't like seeing the public so dumbed down, completely obsessed with every mindless idiot issue you can imagine.
[00:45:37.059 --> 00:45:40.100]  In fact, you guys printed me the top 10 Bing searches.
[00:45:40.100 --> 00:45:42.882]  I was gonna give it to the reporters.
[00:45:42.882 --> 00:45:43.722]  You guys print me that again?
[00:45:45.452 --> 00:45:47.493]  I was walking around with it and lost it.
[00:45:47.493 --> 00:45:48.653]  I said I'd go to your phone calls.
[00:45:48.653 --> 00:45:51.234]  I'm gonna go to them.
[00:45:51.234 --> 00:45:53.735]  And then coming up, Nobel Prize Economist warns of U.S.
[00:45:53.735 --> 00:45:55.075]  stock market bubble.
[00:45:55.075 --> 00:45:57.016]  Really?
[00:45:57.016 --> 00:46:00.717]  15 signs that we are near the peak of an absolutely massive stock market bubble.
[00:46:00.717 --> 00:46:01.977]  I'm gonna cover that.
[00:46:01.977 --> 00:46:08.480]  Reporter tells MSNBC, Obama administration most hostile to the media in U.S.
[00:46:08.480 --> 00:46:10.280]  history.
[00:46:10.280 --> 00:46:10.940]  I said CNN.
[00:46:10.940 --> 00:46:12.561]  I just got the old CNN reporter on there.
[00:46:14.107 --> 00:46:17.648]  DHS Googling travelers before they enter the U.S.
[00:46:17.648 --> 00:46:22.030]  Amazon unveils plan for deliveries by drone.
[00:46:22.030 --> 00:46:27.251]  Migraines linked to plastic cups and bottles, gender-bending chemical and packaging may trigger the attacks.
[00:46:27.251 --> 00:46:37.155]  I've been telling you that for 15 years being attacked is anti-gay because I also pointed out that it also makes you well become feminine.
[00:46:37.155 --> 00:46:37.675]  Just a fact.
[00:46:39.310 --> 00:46:41.311]  Continuing, get ready to pay more online.
[00:46:41.311 --> 00:46:44.373]  Supremes refuse to hear Internet tax case.
[00:46:44.373 --> 00:46:45.454]  Transgene escape.
[00:46:45.454 --> 00:46:50.037]  GMOs spreading uncontrollably around the world.
[00:46:50.037 --> 00:46:53.419]  That is just some of what is coming up today.
[00:46:53.419 --> 00:46:59.243]  And that is only the tip of the iceberg that we have up on Infowars.com and PrisonPlanet.com.
[00:47:02.978 --> 00:47:06.519]  America doesn't have a lobby for freedom anymore.
[00:47:06.519 --> 00:47:10.921]  America doesn't have individualism where we won't stand for being treated like slaves.
[00:47:10.921 --> 00:47:17.263]  So if you go to the front page of DrudgeReport.com, it is Obama bowing to the Saudi King.
[00:47:17.263 --> 00:47:26.346]  And now it's come out in mainstream news that Saudi Arabia and China literally control what goes on our news and literally control what is allowed to be in movies.
[00:47:26.346 --> 00:47:27.806]  That's how controlled we are.
[00:47:27.806 --> 00:47:31.628]  They used our open society to come in and take over and then
[00:47:34.198 --> 00:47:39.421]  Make our freedoms that are our escape valve from their tyranny illegal.
[00:47:39.421 --> 00:47:40.542]  That's what they're doing right now.
[00:47:40.542 --> 00:47:45.064]  They're declaring that Americans trying to be free and have a future is illegal.
[00:47:45.064 --> 00:47:53.569]  We're gonna go to break, come back and go to Jeff, California, Brian, Bruce, Terry and everybody else that's patiently holding and take calls right into the bottom of the next hour.
[00:47:53.569 --> 00:47:55.750]  Then I will get to all of this other news.
[00:47:55.750 --> 00:47:58.872]  But since I mentioned it, here is that clip.
[00:48:00.145 --> 00:48:01.346]  From MSNBC.
[00:48:01.346 --> 00:48:05.569]  I thought it's racist to criticize Obama and say he's a tyrant.
[00:48:05.569 --> 00:48:06.670]  I thought it's terrorist.
[00:48:06.670 --> 00:48:13.455]  I mean, I thought... But now they're saying that Obama administration most hostile to media in US history.
[00:48:13.455 --> 00:48:16.517]  Finally truth coming out of them as they implode.
[00:48:16.517 --> 00:48:17.318]  Here it is.
[00:48:17.318 --> 00:48:18.519]  Let's use the P word here.
[00:48:18.519 --> 00:48:19.900]  This is propaganda.
[00:48:19.900 --> 00:48:23.122]  When it comes from the White House, government covering the government.
[00:48:23.122 --> 00:48:25.724]  It's not what you're supposed to do in the United States of America.
[00:48:26.084 --> 00:48:27.865]  But we have an administration.
[00:48:27.865 --> 00:48:30.766]  Every president gets to the point where he dislikes the press.
[00:48:30.766 --> 00:48:31.886]  It's that simple.
[00:48:31.886 --> 00:48:34.428]  And every administration tries to manipulate the press.
[00:48:34.428 --> 00:48:40.510]  But this is the most hostile to the media that has been in the United States' history.
[00:48:40.510 --> 00:48:43.291]  Not only do we have this thing where... Wait, you would go that far?
[00:48:43.291 --> 00:48:43.972]  I would go that far.
[00:48:43.972 --> 00:48:45.032]  The most hostile in history?
[00:48:45.032 --> 00:48:49.534]  The most hostile because, first of all, we have this situation where they are, in fact,
[00:48:50.134 --> 00:48:51.075]  Shutting out the press.
[00:48:51.075 --> 00:49:02.721]  And by the way, when they say you can't have every photographer in, they know full well that there's a thing called a pool, which is to say you have one representative from each of the media that represents all of them and shows the pictures.
[00:49:02.721 --> 00:49:06.544]  What's happening is the dinosaurs don't have viewers anymore, so they're not needed.
[00:49:06.544 --> 00:49:10.826]  And they're going directly to total content Soviet management.
[00:49:10.826 --> 00:49:16.810]  And so these people are freaking out because they're not getting invited to the cocktail parties and feeling important like peacocks.
[00:49:17.290 --> 00:49:19.032]  They've now been thrown out in the cold.
[00:49:19.032 --> 00:49:20.053]  Hey, don't worry.
[00:49:20.053 --> 00:49:25.318]  Once the economy goes into full depression, you're not going to get anything, idiot.
[00:49:25.318 --> 00:49:29.342]  You helped sell out the greatest country in the world, traitor.
[00:49:29.342 --> 00:49:35.348]  Now you're going to get nothing but sorrow, weeping and wailing and gnashing of teeth.
[00:49:35.348 --> 00:49:36.289]  Enjoy it.
[00:49:36.289 --> 00:49:37.810]  You earned it.
[00:49:37.810 --> 00:49:38.411]  You earned it.
[00:49:39.926 --> 00:49:41.667]  Benedict Arnold.
[00:49:41.667 --> 00:49:42.427]  Now we're going to break.
[00:49:42.427 --> 00:49:43.688]  Coming back briefly.
[00:49:43.688 --> 00:49:44.768]  The new magazine is in.
[00:49:44.768 --> 00:49:45.809]  We sell it at cost.
[00:49:45.809 --> 00:49:46.969]  Big color, glossy.
[00:49:46.969 --> 00:49:51.351]  December issue about the death of the dinosaur media and the police state, the attack on the Second Amendment.
[00:49:51.351 --> 00:49:52.232]  It's a great tool.
[00:49:52.232 --> 00:49:53.252]  Give a gift subscription.
[00:49:53.252 --> 00:49:57.514]  We have 35% off right now through Christmas to give gift subscriptions.
[00:49:57.514 --> 00:50:00.296]  12 issues delivered to your friends and family's door.
[00:50:00.876 --> 00:50:08.720]  And that includes the shipping in the price of $39.95, 12 issues, plus some bumper stickers delivered to their door.
[00:50:08.720 --> 00:50:10.021]  Great way to wake somebody up.
[00:50:10.021 --> 00:50:16.405]  Give it to the police department, the library, your church, your school, your university, chancellor, InfoWar.
[00:50:16.405 --> 00:50:19.746]  12 color issues, $39.95, shipping included.
[00:50:19.746 --> 00:50:20.847]  That's at cost.
[00:50:20.847 --> 00:50:22.308]  Actually below cost, with a special.
[00:50:22.788 --> 00:50:27.038]  We've got at cost, ladies and gentlemen, so many other products that are meant to get the word out.
[00:50:27.038 --> 00:50:30.466]  Now what funds us is great products like the Nascent Iodine.
[00:50:31.653 --> 00:50:53.806]  We now have in stock the proprietary special form that I think is the most amazing health discovery I've ever made and it's available right now at Infowarslife.com and our new Arabica coffee, Wake Up America coffee, available at Infowarslife.com or by calling toll free 888-253-3139.
[00:50:53.806 --> 00:50:57.308]  Try this coffee and I assure you, you won't be disappointed.
[00:50:57.308 --> 00:50:58.329]  I want to hear your reviews.
[00:51:00.247 --> 00:51:10.934]  In the last 50 years, iodine has been phased out of our staple foods and replaced with the halogen bromine, a practice now banned in nations around the world.
[00:51:10.934 --> 00:51:12.995]  Guess what else is in the halogen family?
[00:51:12.995 --> 00:51:13.876]  Fluoride.
[00:51:13.876 --> 00:51:15.797]  Ladies and gentlemen, Alex Jones here.
[00:51:15.797 --> 00:51:22.382]  In 1924, the federal government did the right thing and encouraged salt producers to add iodine.
[00:51:22.382 --> 00:51:27.305]  It's the good halogen on the periodic table, and the results are on record.
[00:51:27.305 --> 00:51:30.007]  Reports documented a 15-point IQ increase.
[00:51:30.327 --> 00:51:30.827]  We're good.
[00:52:01.633 --> 00:52:08.438]  Big business has discovered the preparedness market, and that makes it difficult to know where to go and who to trust.
[00:52:08.438 --> 00:52:13.202]  MyPatriotSupply.com is owned and operated by patriots just like you.
[00:52:13.202 --> 00:52:22.709]  Has the best prices on storable food, non-GMO seeds, water filtration devices, home canning equipment, survival and self-reliance books, and more.
[00:52:22.709 --> 00:52:28.634]  MyPatriotSupply.com has old-fashioned values and the absolute best customer service in the industry.
[00:52:28.874 --> 00:52:30.455]  Look for the deal of the day.
[00:52:30.455 --> 00:52:33.858]  Unique, affordable survival supplies that fit anyone's budget.
[00:52:33.858 --> 00:52:37.701]  Get same-day shipping on all orders and free shipping on orders over $49.
[00:52:37.701 --> 00:52:41.044]  Call 866-229-0927.
[00:52:41.044 --> 00:52:45.167]  866-229-0927.
[00:52:45.167 --> 00:52:51.572]  Or visit MyPatriotSupply.com for emergency preparedness, self-reliance, and food independence.
[00:52:51.572 --> 00:52:54.234]  Shop with a name you know and a name you can trust.
[00:52:54.454 --> 00:52:57.482]  Before it's time to survive, it's time to prepare.
[00:52:57.482 --> 00:52:58.806]  MyPatriotsSupply.com
[00:53:01.058 --> 00:53:08.783]  That's the sound of a .44 Magnum and TraumaMaxx, a high-tech hybrid Kevlar bulletproof vest from InfidelBodyArmor.com.
[00:53:08.783 --> 00:53:11.265]  We'll stop it and most pistol rounds.
[00:53:11.265 --> 00:53:18.090]  TraumaMaxx is a major breakthrough in pistol-rated body armor, and prices start at just $170 per insert.
[00:53:18.090 --> 00:53:23.333]  More protection, more stopping power, more mobility, and it weighs less than 5 pounds.
[00:53:23.333 --> 00:53:25.995]  Get details at InfidelBodyArmor.com.
[00:53:25.995 --> 00:53:29.158]  That's I-N-F-I-D-E-L-BodyArmor.com.
[00:53:30.018 --> 00:53:35.301]  The challenge, creating delicious GMO-free foods with a 25-year shelf life.
[00:53:35.301 --> 00:53:39.903]  The solution, Numena Foods, a pioneer in healthy, storable foods.
[00:53:39.903 --> 00:53:47.488]  Our meals are GMO and gluten-free, contain no MSG, aspartame, or high fructose corn syrup, and we never use chemicals or preservatives.
[00:53:47.488 --> 00:53:49.929]  Just good, healthy food at great prices.
[00:53:49.929 --> 00:53:53.611]  Call us today at 888-597-0775 or visit GMOFreeFoodStorage.com.
[00:53:53.611 --> 00:53:56.252]  That's GMOFreeFoodStorage.com.
[00:54:10.388 --> 00:54:13.890]  All right, it was Vivian Kubrick sent me this text.
[00:54:13.890 --> 00:54:15.310]  It's a quote so I can read it.
[00:54:15.310 --> 00:54:25.615]  I looked it up, it's William Godwin, 1756 to 1836, and here's the quote about tyranny.
[00:54:25.615 --> 00:54:35.099]  What can be more shameless than for society to make an example of those whom she has goaded to the breach of order?
[00:54:36.152 --> 00:54:44.975]  Instead of amending her own institutions, which by standing order into tyranny, produce the mischief.
[00:54:44.975 --> 00:54:52.318]  On the Penal Law, an Inquiry Concerning the Principle of Political Justice, 1793, BK 7, Chapter 3.
[00:54:52.318 --> 00:54:55.379]  From a law dictionary.
[00:54:55.379 --> 00:54:55.919]  William Godwin.
[00:55:03.809 --> 00:55:10.852]  Yeah, they push you into revolting, and then they're all ready to crush the rebellion and bring in the total tyranny.
[00:55:10.852 --> 00:55:18.954]  And that is the cold-blooded scientific implementation of a wicked society.
[00:55:18.954 --> 00:55:22.816]  Let's go to your phone calls, and I'm gonna just massively take your calls in the next hour.
[00:55:22.816 --> 00:55:26.217]  I've got so much news, but I'm going to your calls right now.
[00:55:26.217 --> 00:55:29.858]  Let's go ahead and talk to California in Indiana.
[00:55:29.858 --> 00:55:31.119]  You're on the air, California.
[00:55:32.216 --> 00:55:35.678]  Mr. Jones, shout out to all my Info Warriors in Indiana.
[00:55:35.678 --> 00:55:48.165]  I just thought I had a solution maybe to the divide and conquer and the one thing that brings everybody together is music and you're the one degree of separation between a lot of top music stars.
[00:55:48.165 --> 00:55:55.909]  Could you imagine a Woodstock level event with Willie Nelson, Ted Nugent, KRS-One, Professor Griff,
[00:55:56.687 --> 00:55:59.631]  Billy Corgan, you know, all these top stars coming together.
[00:56:15.055 --> 00:56:18.639]  And then we came down and did it, and then somebody threatened to kill everybody.
[00:56:18.639 --> 00:56:23.643]  We had the event, and Willie's people got scared, and Ventura said, I don't even care, just have your concert.
[00:56:23.643 --> 00:56:25.565]  We don't need to speak to a crowd of 5,000 people.
[00:56:25.565 --> 00:56:27.747]  I mean, it doesn't really save the world.
[00:56:27.747 --> 00:56:37.857]  I mean, it's good to raise money for Farm Aid or Africa Aid or whatever, but then, I mean, I'm not saying it's a bad idea, but everybody thinks one event's going to change the world.
[00:56:37.857 --> 00:56:38.958]  It's lots of events.
[00:56:39.520 --> 00:56:41.981]  I'll tell you the event that's going to change the world.
[00:56:41.981 --> 00:56:45.043]  They try to come and do it on their Waco or confiscate guns.
[00:56:45.043 --> 00:56:47.144]  That may be the shot heard around the world.
[00:56:47.144 --> 00:56:48.925]  But I don't even want it to get to that point.
[00:56:48.925 --> 00:56:52.506]  I want to have a velvet revolution of ideas, sir.
[00:56:52.506 --> 00:56:54.727]  But I'm not shooting down your idea.
[00:56:54.727 --> 00:57:03.271]  It's just that getting a bunch of music stars to work together with all of their people that are around them is like trying to herd cats.
[00:57:03.271 --> 00:57:04.872]  Have you ever tried to herd cats, sir?
[00:57:04.872 --> 00:57:06.273]  Have you ever tried to make a cat do what you want?
[00:57:07.202 --> 00:57:11.568]  I just think if you build it, I think they will come if they recognize this country is in trouble.
[00:57:11.568 --> 00:57:16.335]  And another idea I got is the free radio listen line is a great thing.
[00:57:16.335 --> 00:57:18.038]  I've used it plenty of times.
[00:57:18.038 --> 00:57:19.300]  There's a company out there that'll
[00:57:20.103 --> 00:57:23.905]  Pay you for every call as long as you let them play an ad at the beginning of the thing.
[00:57:23.905 --> 00:57:27.626]  And we could have a thing called Operation Are You Listening?
[00:57:27.626 --> 00:57:32.309]  And it's much easier if I stood out here on the road with a number and said, Are You Listening?
[00:57:32.309 --> 00:57:35.010]  People are more apt to... Sure, tell me the name of the company and we'll look into it.
[00:57:35.010 --> 00:57:39.172]  Because as it is now, I just pay, so people can call the free listen line.
[00:57:39.172 --> 00:57:40.892]  If it's the only way they have to listen.
[00:57:40.892 --> 00:57:41.793]  What's the name of the company?
[00:57:42.665 --> 00:57:44.387]  I can't think of the name of the company right now.
[00:57:44.387 --> 00:57:45.248]  I will send us a link.
[00:57:45.248 --> 00:57:46.649]  I've got to jump, brother.
[00:57:46.649 --> 00:57:49.071]  Good solution ideas there.
[00:57:49.071 --> 00:57:50.853]  Brian in Florida, you're on the air.
[00:57:50.853 --> 00:57:52.155]  Go ahead.
[00:57:52.155 --> 00:57:54.217]  Yes, good morning, Alex.
[00:57:54.217 --> 00:57:56.439]  I want to tell you about two things.
[00:57:56.439 --> 00:58:02.205]  First one, when I was on Black Friday... Do me a favor, get off the speakerphone.
[00:58:02.205 --> 00:58:02.485]  Okay.
[00:58:05.623 --> 00:58:06.423]  Okay, is that better?
[00:58:06.423 --> 00:58:08.044]  Yeah, go ahead.
[00:58:08.044 --> 00:58:23.912]  Okay, I took a friend of mine, we went out to the Navy Shopping Mall here in our town, and they had a high, about 12-foot high-leaked fence up where you go into the main area to shop.
[00:58:24.824 --> 00:58:30.467]  And they were checking your IDs, and I said, yeah, I speak... Let me stop you.
[00:58:30.467 --> 00:58:31.567]  I want to know where that is.
[00:58:31.567 --> 00:58:33.448]  I want you to go shoot video of that.
[00:58:33.448 --> 00:58:38.030]  They've planned to put TSA-style checkpoints in the malls, then the streets.
[00:58:38.030 --> 00:58:38.430]  Stay there.
[00:58:38.430 --> 00:58:40.911]  Don't hang up.
[00:58:40.911 --> 00:58:42.452]  I'm going to come right back to you, brother.
[00:58:42.452 --> 00:58:44.113]  I want to hear about this.
[00:58:44.113 --> 00:58:45.934]  This has always been the plan.
[00:58:45.934 --> 00:58:48.074]  The new TSA training videos show them doing it.
[00:58:48.074 --> 00:58:48.995]  This is hell on earth.
[00:58:50.734 --> 00:58:56.215]  Alex Jones here, and I want to tell you about a longtime friend of the show, My Patriot Supply.
[00:58:56.215 --> 00:59:05.097]  As you might remember, this is the company that stood up to the DHS and exposed FEMA's secret plan to begin hoarding emergency survival food.
[00:59:05.097 --> 00:59:12.918]  It has always been my belief that it's key to stand behind companies who share the same values as their fellow Patriots.
[00:59:12.918 --> 00:59:20.320]  My Patriot Supply brings us their exclusive Patriot Pantry brand, along with many other fine preparedness products.
[00:59:20.840 --> 00:59:24.781]  I personally store and use their high-quality products.
[00:59:24.781 --> 00:59:28.982]  It tastes great, and it's easy to store for up to 25 years.
[00:59:28.982 --> 00:59:36.123]  For a limited time, you can save $50 instantly on a four-week supply of food, along with other special offers.
[00:59:36.123 --> 00:59:43.324]  Visit mypatriotsupply.com forward slash Alex today, with the New World Order making rapid advances on every front.
[00:59:43.324 --> 00:59:47.365]  It is essential to prepare with My Patriot Supply today.
[00:59:53.177 --> 00:59:55.578]  Waging war on corruption.
[00:59:55.578 --> 01:00:04.922]  Alex Jones on the GCN Radio Network.
[01:00:04.922 --> 01:00:06.223]  Big Brother.
[01:00:06.223 --> 01:00:08.004]  Mainstream media.
[01:00:08.004 --> 01:00:09.745]  Government cover-ups.
[01:00:09.745 --> 01:00:11.345]  You want answers?
[01:00:11.345 --> 01:00:12.886]  Well, so does he.
[01:00:12.886 --> 01:00:17.068]  He's Alex Jones on the GCN Radio Network.
[01:00:17.068 --> 01:00:21.130]  And now, live from Austin, Texas, Alex Jones.
[01:00:23.766 --> 01:00:37.309]  Alright folks, we were just now talking to Brian in Florida, and two years ago the TSA came out with their new training video showing them at football games, high school events, shopping malls, with checkpoints searching everyone.
[01:00:37.309 --> 01:00:41.089]  I saw them at the JFK event in Dallas.
[01:00:41.089 --> 01:00:45.270]  The feds had police attack us for peacefully demonstrating.
[01:00:45.270 --> 01:00:48.991]  I mean, they don't want you thinking you have any rights.
[01:00:50.945 --> 01:01:02.089]  I want to know what mall you're at and what you saw, because I need citizen journalists to get there to videotape it and to get it up on YouTube.
[01:01:02.089 --> 01:01:04.129]  People say they want to be journalists, they want to work for us.
[01:01:04.129 --> 01:01:05.570]  We don't know who people are from Adam.
[01:01:07.034 --> 01:01:18.404]  If folks want to work here or be auxiliary reporters and get paid, A, I'd be able to make the money to do that, but B, you're going to need to go out, shoot the video, ask the questions, put it up, and say, ReportingForInfoWars.com.
[01:01:18.404 --> 01:01:19.925]  It'll end up being on our news.
[01:01:19.925 --> 01:01:21.987]  Just conduct yourself, you know, with, uh...
[01:01:23.291 --> 01:01:24.612]  With decent decorum.
[01:01:24.612 --> 01:01:27.553]  Don't act like I would and start screaming at him.
[01:01:27.553 --> 01:01:30.715]  But the point is, is that this has always been the plan.
[01:01:30.715 --> 01:01:33.637]  And Florida seems to be the rollout for so many.
[01:01:33.637 --> 01:01:38.079]  So sir, tell me where the mall is, what you saw, what was happening.
[01:01:38.079 --> 01:01:39.420]  Start over.
[01:01:39.420 --> 01:01:43.222]  Okay, this was at the Navy Shopping Mall.
[01:01:43.222 --> 01:01:45.403]  It was on federal grounds.
[01:01:45.403 --> 01:01:47.164]  Oh, well that's different.
[01:01:47.164 --> 01:01:49.205]  But you're saying you haven't seen this before?
[01:01:50.652 --> 01:01:55.974]  No, I don't go a whole lot to the malls here, but I do go to that big shopping mall in Avon.
[01:01:55.974 --> 01:01:57.555]  I'm retired Navy.
[01:01:57.555 --> 01:02:00.376]  So anyway, they have military and fatigues.
[01:02:00.376 --> 01:02:09.340]  They're checking IDs before you come into this gated area to even get to the mall buildings and ask to see our ID cards.
[01:02:11.542 --> 01:02:15.545]  We showed in the meantime, I said, what are you guys, TSA or something?
[01:02:15.545 --> 01:02:18.627]  And the girl, I guess I kind of took her off guard.
[01:02:18.627 --> 01:02:20.248]  She says, yes, I know she wasn't.
[01:02:20.248 --> 01:02:23.150]  She was military type.
[01:02:23.150 --> 01:02:26.853]  And so anyway, we went into a shopping, come out.
[01:02:26.853 --> 01:02:32.737]  They also had police there with guns on them, regular cops.
[01:02:32.737 --> 01:02:37.240]  We come out of the mall and I had to take back the car.
[01:02:37.240 --> 01:02:41.003]  I had to go in the same area where I got the car from where I went in that gated area.
[01:02:42.134 --> 01:02:51.197]  And so I brought the cart back up to the gate, started to go through, and the same guard says, Sir, I need to see your ID card.
[01:02:51.197 --> 01:02:55.538]  I said, look, do I need an ID card to put this cart back?
[01:02:55.538 --> 01:02:59.259]  So basically, I got in their face a little bit.
[01:02:59.259 --> 01:03:00.099]  They didn't like it.
[01:03:00.099 --> 01:03:02.560]  They didn't make me show my ID card again.
[01:03:02.560 --> 01:03:05.761]  But that's what this whole country is coming to.
[01:03:06.730 --> 01:03:23.177]  No, listen, the Rand Corporation said it in 1998 in their first issue that I had seen, and I believe it's the first publishing publicly of the National Stabilization Force, and this is it, total conversion to North Korea.
[01:03:23.177 --> 01:03:26.719]  And they're just Pavlovianly, incrementally doing it.
[01:03:26.719 --> 01:03:33.202]  I'm telling you, man, everywhere I go, police just jump out and, especially to families and stuff, and act like you're a criminal.
[01:03:34.185 --> 01:03:44.336]  And they're there on record, the cops don't even know this in most cases, but this is why it's being done in the manuals, to literally break our will.
[01:03:44.336 --> 01:03:50.943]  In fact, in this army warfare, psych warfare training film from 1961 that we're putting clips of in Obama Deception 2,
[01:03:54.312 --> 01:04:06.238]  I'm trying to think of the exact term that they use, but they basically say, go out, get in their face, question the civilians, dominate them, break them, let them know they're being watched.
[01:04:06.238 --> 01:04:09.359]  You know, this is how we do it.
[01:04:09.359 --> 01:04:14.601]  And I mean, I'm watching military training stuff for how they take over other countries and occupy them.
[01:04:14.601 --> 01:04:15.442]  They're doing it here.
[01:04:16.741 --> 01:04:19.962]  And again, the government has a 6% approval rating.
[01:04:19.962 --> 01:04:21.802]  I thought it was consent of the governed.
[01:04:21.802 --> 01:04:25.063]  They know we know they're criminals, and they're going to take everything.
[01:04:25.063 --> 01:04:26.324]  Go ahead, sorry.
[01:04:26.324 --> 01:04:28.324]  So they know there's going to be a revolt.
[01:04:28.324 --> 01:04:30.685]  So they're going to blow stuff up and say, we did it.
[01:04:30.685 --> 01:04:31.345]  That's what they're going to do.
[01:04:31.345 --> 01:04:34.246]  They're going to blow stuff up, little kids and stuff, and say, we did it.
[01:04:34.246 --> 01:04:35.086]  It's 101.
[01:04:35.086 --> 01:04:37.367]  How does an unpopular criminal group do it?
[01:04:37.367 --> 01:04:39.728]  They blow stuff up and blame the patriots.
[01:04:39.728 --> 01:04:40.448]  God bless you, sir.
[01:04:40.448 --> 01:04:41.708]  Good to hear from you, Brian.
[01:04:41.708 --> 01:04:42.809]  Interesting points.
[01:04:42.809 --> 01:04:43.469]  All right, Bruce.
[01:04:44.509 --> 01:04:47.632]  Jeff, John, Terry, many others, your phone calls are coming up.
[01:04:47.632 --> 01:04:49.513]  First time callers today, 800-259-9231.
[01:04:49.513 --> 01:04:55.218]  By the way, when I say all this, this isn't rhetoric.
[01:04:55.218 --> 01:04:58.600]  Words cannot describe how real this is.
[01:05:00.299 --> 01:05:03.761]  Alex Jones here with a very important announcement for Truth Seekers.
[01:05:03.761 --> 01:05:09.705]  We've carried a lot of amazing films and books over the years on the online video bookstore at Infowars.com.
[01:05:09.705 --> 01:05:16.310]  And out of all the titles we've carried, one stands out because it is just so chillingly convincing.
[01:05:16.310 --> 01:05:21.993]  And that's Dreams from My Real Father by Joel Gilbert, available at Infowars.com.
[01:05:21.993 --> 01:05:25.636]  This film exposes the fraud that Obama is like nothing I've seen.
[01:05:25.816 --> 01:05:29.620]  If you want to know who Obama's real daddy is, this is the film for you.
[01:05:29.620 --> 01:05:34.225]  Don't forget, your purchase supports our broadcast and our growing media network.
[01:05:34.225 --> 01:05:36.727]  You'll also find it at infowarshop.com.
[01:05:36.727 --> 01:05:40.592]  None Dare Call a Conspiracy by Gary Allen, the book that woke me up.
[01:05:40.592 --> 01:05:45.016]  We're also carrying Behind the Green Mask, UN Agenda 21, by Rosa Corey.
[01:05:45.016 --> 01:05:47.659]  This book is coffin nails to the globalist takeover.
[01:05:47.959 --> 01:05:54.788]  The Greater Good, the most professional and up-to-date film I've ever seen, exposing the scourge that is vaccines.
[01:05:54.788 --> 01:05:59.054]  These titles and a lot more are all available at InfoWarshop.com.
[01:06:00.692 --> 01:06:01.753]  I had tried everything.
[01:06:01.753 --> 01:06:04.114]  I'd cut back the amount of food I was eating.
[01:06:04.114 --> 01:06:07.235]  I was lifting weights and jogging, but nothing was working.
[01:06:07.235 --> 01:06:12.077]  My body was literally starving for minerals and trace elements, as well as key vitamins.
[01:06:12.077 --> 01:06:18.941]  And as soon as I had that, I immediately could eat half of what I was eating previously and be satisfied.
[01:06:18.941 --> 01:06:29.386]  Now, there are hundreds of great products at Infowarsteam.com, but I want to point out the three that have helped me lose 37 pounds in just two months.
[01:06:30.146 --> 01:06:34.628]  Products like Beyond Tangy Tangerine, Pollen Burst, and Rebound.
[01:06:34.628 --> 01:06:40.871]  When I started taking the Tangy Tangerine and other products every day, I lost more than 37 pounds in just two months.
[01:06:40.871 --> 01:06:42.452]  Now that's results.
[01:06:42.452 --> 01:06:49.236]  I want to challenge my listeners to go to InfoWarsTeam.com and to order just three of their products.
[01:06:49.236 --> 01:06:54.959]  And you will see the changes in the way you look, feel, and in your appetite almost immediately.
[01:06:54.959 --> 01:06:57.520]  Start your journey to health and wellness today.
[01:06:57.520 --> 01:06:59.141]  InfoWarsTeam.com
[01:06:59.961 --> 01:07:05.765]  My friends, Alex Jones here to tell you about some of the most important information concerning you and your family's health.
[01:07:05.765 --> 01:07:13.150]  Radiation levels have more than doubled in the last 60 years in the Northern Hemisphere from all of the nuclear testing and radiological accidents.
[01:07:13.150 --> 01:07:16.512]  Radioactive contamination is now in most of the food supply.
